Hybridization REF	TCGA-BH-A0DH-01A-11R-A084-07
RARRES3	3.656375
PLXNA1	-1.2241
KIAA0100	0.4396
PMF1	0.0395
FNDC1	5.12225
HS2ST1	0.4095
CRELD2	0.55475
C8G	-1.722
CD82	2.184
LIM2	-1.6725
UNQ6490	0.5975
MMP16	-0.0855
DRD3	-0.235
C5orf26	-1.703
C11orf73	-0.010625
PTP4A2	2.2605
OR4M2	0.478
HPCA	-1.437
SEC14L1	-0.613333333333333
CHFR	-0.52275
EMILIN1	0.89175
NDUFS4	-0.35125
COL18A1	-0.466625
PDZD3	-0.1097
C9orf16	-0.036
ERBB2IP	-0.140166666666667
EMX2	1.13225
FUS	-0.3915
TF	-3.479
CLCN4	-0.182333333333333
CXorf56	0.734
C11orf72	0.448
ELAC2	-0.817333333333333
NPR1	-1.0085
ASS1	-3.033
USP42	0.032875
POLR2J	-0.434
SEC23IP	0.951
UQCRC1	-0.27025
LOC729603	-0.581
C1orf71	-0.364875
POLG	-1.8075
ADAM23	-3.5685
TFR2	-1.95525
RICTOR	-0.7829
MGC39606	0.167
C19orf55	-0.299125
SNAPC1	-1.9305
GNA11	0.81325
CCDC52	0.674
FSIP1	4.4575
UPF3A	-1.2165
IGSF11	-2.565
LAGE3	0.88425
CHST6	-2.3325
UNC13B	1.746375
TTLL4	-0.84075
ZNF687	0.13725
SDC2	-1.5552
COX7A2	-0.41375
LAMB4	-0.07275
FAM24A	0.311
LRRTM3	-0.269333333333333
GPHB5	-0.13225
OR4C13	0.3815
EIF3EIP	-0.547285714285714
HABP4	-1.459
TMEM125	4.41775
CNTN2	0.00437500000000001
ASNSD1	-0.0945
FUT4	-0.73425
ACF	-3.232
LOC158381	0.602
CDH8	0.29525
AGPS	0.972833333333333
C4orf18	1.80475
PECI	1.13641666666667
UNG	-0.454
GSTP1	-2.429375
DCUN1D5	-0.3605
DKFZP564J0863	0.375
SLC9A3R1	2.240625
BCDO2	-1.077875
CHMP7	1.14425
REM2	1.833
DNHD1	-0.771875
FKBP4	0.0175
ZNF350	2.4685
MGC11102	0.532
BST1	0.08925
KISS1R	0.5065
NCR2	-0.0915
DEFB125	0.6585
UBE2W	1.359625
KRT15	4.742
C10orf99	0.3645
SCN11A	0.331375
GFI1	-2.35525
RDHE2	1.99616666666667
FHL1	-1.25966666666667
OSGEP	0.0221666666666667
GATA1	-3.07183333333333
SMC6	-0.73225
TTTY14	-1.28475
LPIN3	-0.6045
RPL4	-0.719
RBPMS	0.369
PRPF3	-1.60533333333333
EMR1	-2.024
SPATA19	-0.30925
XCR1	0.3355
IRX3	0.6861
RBM6	-1.267
KLF4	-0.8935
UNC5CL	1.3555
SEBOX	0.071
BTK	-0.75425
KRCC1	0.807
C6orf27	0.7925
SYTL5	0.5395
PRND	2.065375
LOC653319	-1.824
PIGL	-1.626125
HUS1	-0.117166666666667
SFRS6	-0.196333333333333
C17orf77	-0.088
UIMC1	-1.24033333333333
FXYD2	-2.1936
LOC283152	2.616
ZNF667	0.57725
ZCCHC12	-1.02675
TFEC	2.5173
ATP7B	2.2025
POLD2	-1.15883333333333
RG9MTD1	-0.5265
ACOT2	1.9305
HIST1H4I	-1.012875
PPARGC1A	-2.4767
ETFA	-0.5841
POLRMT	-0.45675
ZNF146	-0.088
MIA2	-2.136
KLHL6	-0.6825
HOXB5	-1.613
NENF	0.701166666666667
CUGBP1	0.738
PRSS22	2.22016666666667
CASC4	2.0339
CUL4B	0.0972
CENPJ	-2.3561
PITX1	0.0771666666666667
FLJ31033	0.6905
CELSR3	-2.64466666666667
ZNF568	1.17
ITSN1	-0.6145
EHBP1L1	-1.271
C19orf2	-0.66325
DCTN1	0.40475
LIN28B	-2.54416666666667
TNKS2	-0.421
C1QBP	-0.595
CADPS2	1.1375
SRMS	0.3815
GJA9	0.467
MGC24975	-0.636833333333333
TRIM45	0.0511666666666667
TSP50	0.685
TCP1	-2.0875
TMED7	1.1845
CMA1	0.482
CENPL	-0.9865
PTCRA	0.2485
FST	-3.307
VWCE	-4.074
PAWR	1.71025
ABCC12	0.0866666666666667
LDLR	-0.247
ASTN2	2.2778
LOC441212	-1.18725
GPATCH8	-0.28525
TANC2	0.760083333333333
KIF4A	-0.0475
C18orf18	-2.34425
PGM1	-0.81575
KIAA0258	2.15875
CPD	2.465375
SNCAIP	-1.04375
DCT	-4.1385
HLA-DOA	2.27686363636364
OR11L1	0.552
UPK1B	0.00333333333333335
DNAJB4	-0.118125
UGT1A8	0.44575
HIST1H4L	-1.0205
PECR	-1.78
HSPA2	2.32725
WFIKKN1	-1.382
SERP1	1.42875
SYDE2	1.987
TACR2	1.454
NUP85	-0.96675
CD177	-0.0133333333333333
LGR5	-0.900833333333333
PIGG	-0.475083333333333
PTHR1	-2.52616666666667
RAB5A	0.2514
FLJ13224	-0.3495
USP9Y	-0.0784999999999999
C7orf53	-2.205
LRP1B	4.7635
XAF1	1.7265
ABCG8	-0.6525
ANKDD1A	-0.526833333333333
DAND5	-1.92
SPAG6	0.136166666666667
LINCR	0.601
ZDHHC22	-1.23425
CCDC60	0.4685
THOC7	-1.4445
TCTA	1.0314
OR8K3	0.395
NY-REN-7	-0.6455
B2M	1.13016666666667
C6orf141	0.965875
LPPR4	0.838
SQLE	-0.642125
SEPHS1	-0.88325
BTBD14B	0.324357142857143
PLRG1	-0.31175
SPG7	-0.9835625
ZNF614	0.666166666666667
PARD6G	0.0558333333333333
INPP5B	-0.0983
GRPEL2	0.038
PPID	-0.6118
TRIM56	-0.52925
UBE2J1	-0.190125
IL20RA	4.02375
LOC387856	0.63975
C1orf107	0.00125
UTS2R	0.568
C19orf22	0.56625
SAFB2	0.32425
KIAA0652	0.354125
KLRG1	-0.924333333333333
MS4A8B	1.51716666666667
FRAG1	1.20625
KIAA1546	-0.05725
E2F4	-1.5839
CLEC4M	0.354666666666667
BTBD14A	-0.213
KIAA0999	0.9802
GYPA	-3.30383333333333
TAC1	1.9677
TRAIP	-2.13883333333333
KIAA0232	1.1334
ERCC8	-1.353
GPX4	0.861375
KIAA0368	-1.109625
GPR157	-1.6785
CTAGE4	0.219
C9orf30	-2.97566666666667
OR52A1	-0.016
HSP90B3P	-0.144
ALG9	-0.7343
BTBD10	0.7135
SDK2	-0.0785
BAIAP3	-0.55975
RABGGTB	-0.574
ANKRD40	0.808166666666667
KRT74	0.0465
CALCOCO2	0.738857142857143
SNCA	-2.93875
TMSL8	-4.921
C2orf53	0.292
ESRRB	-0.18775
ARHGAP26	-1.318875
TDRD9	-2.7985
HRAS	0.197166666666667
KLRC4	-1.9595
JAGN1	0.487166666666667
BSDC1	0.6965
RNF43	0.3088
NDUFAF1	0.93425
PHF12	0.50025
OR1L3	0.1715
FOLR2	1.34075
LYZL6	0.213166666666667
tcag7.1260	-2.357
WSB1	-1.0625
PROS1	-1.1532
OSTN	0.3535
PSMB8	1.239
SOCS4	-0.077
DDIT4L	4.0615
MAS1	0.092
MGC34796	1.71
CSHL1	-0.0606666666666667
TBCCD1	0.523333333333333
ZBTB7C	0.0055
AP2S1	0.4165
P15RS	-0.2108
VAT1	-0.3497
SHANK3	0.5425
TUFM	0.328666666666667
THEG	-1.11075
KRT34	-2.295
SGSM3	-0.084125
TOMM22	-0.617625
SOCS3	0.151166666666667
CPO	-0.175
POP4	0.3195
BHLHB3	1.028
MALL	0.97825
OR1B1	0.193
PARK2	0.174166666666667
GPR124	-0.48775
LCE1E	0.295
RUVBL2	-0.4945
CGRRF1	0.4722
ACPL2	-0.3205
WNT10B	-2.032875
BAIAP2L2	-2.308125
ISCA1	-0.0065
C1orf125	0.252375
RPAP1	-0.38375
RAI16	0.0546666666666667
RPL27	-1.345375
NLRP9	0.7525
EPN1	0.1235
LOC388610	0.162875
SLC35A1	0.8001
GAL	-4.0795
SLC14A2	0.1455
RDH11	-0.264833333333333
FAM138F	0.257
AUH	-1.119
FLJ40243	0.033
C14orf129	0.1305
MBD2	-0.803666666666667
ABHD14B	-0.435625
PIGT	0.15775
ALS2CR4	-0.672375
ALAS1	-0.2219
FOXO1	0.466666666666667
CRLF3	-0.34275
C20orf107	0.451
FARS2	1.311
CCDC28A	-0.4
NPHP3	-1.57375
OR13F1	-0.146
TSEN54	-0.60125
DEFB106B	0.204
OR8B4	1.2975
STH	0.85
ZC3H14	-0.1475
CBX2	-1.4255
TMEM49	-0.96875
C6orf21	1.412
FLJ20920	1.159375
CRTAP	0.221642857142857
DDX50	-0.288
STYXL1	0.9805
BLVRB	1.57233333333333
LOC147650	-0.3055
MMP24	0.59475
GRID1	0.878
BANF1	-0.485666666666667
CTAGEP	0.276
HMBS	-2.3485
SLC25A24	1.11266666666667
C14orf50	1.1515
MRO	0.0498333333333333
SLC25A15	-1.98675
FAM84B	1.7182
TDP1	-0.962
C16orf78	0.528333333333333
C11orf57	-0.873
RFK	-0.067125
ZFYVE9	0.54225
STCH	-0.4113
WIBG	0.63175
LOC283871	-0.0221666666666667
GBA2	-0.4662
NDUFB3	0.004
HSD17B13	-0.2235
GRIN3A	0.6978
FMNL1	-0.4415
SEPT7	-0.1791
GNLY	2.7415
GRAMD1C	1.74316666666667
ZNF165	1.1945
USP38	1.0835
FAM83A	-3.02666666666667
C14orf24	1.19725
ARMCX3	1.290875
ARHGDIB	0.928833333333333
AK1	0.899625
KIAA1045	0.26675
DNAJB13	-0.4015
NEU2	0.5275
HIST1H4B	-1.11266666666667
FAM20B	0.2804
HES2	1.48107142857143
FAM73B	-0.5871
LOC388381	-0.38575
INTS7	-0.371909090909091
AMPH	0.6865
ZNF775	-0.4255
UCKL1	-1.26683333333333
C10orf97	-0.09975
C1orf161	-0.34725
ALDH1L1	-0.3
FLJ39378	0.2655
SLC23A1	-0.567
RBM4B	-0.32575
THAP4	-0.2795
OGFRL1	0.94175
KIAA0831	0.14075
PPP1R15A	-0.619333333333333
C1orf96	-0.594357142857143
C12orf11	-2.01575
BMF	0.22375
MAN1A1	0.652625
KIAA1600	1.16116666666667
NLGN4X	-1.03775
ALOX12	-1.6605
RB1CC1	0.0853
NEIL2	0.6567
EIF4E	0.207761904761905
ABHD5	-0.548
EXOC4	-0.0183333333333333
CIP29	-0.473166666666667
BATF2	0.702
SLC29A4	-1.019
HTR4	0.45175
EMB	-1.07375
TRAF6	0.67225
LMNB1	-1.739
FAM19A5	-1.566
SHE	1.3225
PIK3C2B	1.133
C15orf15	-0.6503
USP15	0.0892
TCEAL2	1.08175
C5orf39	-1.46266666666667
PTGER2	-0.48825
SLC31A1	-0.0775
IFT172	0.10225
ADAM29	0.3435
GFOD1	0.46425
ST7L	0.3515
C15orf26	-2.95975
PKN3	-1.58225
CNTD1	3.76133333333333
COMMD1	0.808875
NTRK2	2.43925
FOXN3	-0.355125
MFGE8	-0.6254
PFKFB2	-0.148166666666667
TAS2R4	0.21825
ENTHD1	0.174833333333333
PRMT5	-0.715875
MGC16384	-1.569875
LOC442229	0.14
TSKU	0.65875
KRTCAP3	3.687125
PDLIM1	-1.2068
KCNS2	0.5285
RNF126	-1.203
CEP63	0.181
CLIC4	-0.69125
hCG_1990170	-0.6
ACR	0.0762
KLK7	1.21275
ALOX5AP	3.78
RIPK3	3.77925
TAS2R9	-0.045
C19orf18	2.232
BIRC6	0.241428571428571
ZNF16	1.42
RFT1	-0.7785
SLC8A2	-1.7325
TACC1	0.923125
ITGAD	0.479
SAMHD1	0.96575
SH3PXD2B	0.3434
EPC2	0.7285
C20orf85	0.18575
ATP13A2	0.747
KRT4	1.392
CAPNS1	0.27725
MDM2	0.489666666666667
PCDH20	1.70625
KCNK9	0.183
OR2C1	0.8685
KLHDC3	-0.284166666666667
IPPK	0.6155
EFHD2	-0.53225
GALR3	0.5715
NBEA	0.917166666666667
ABCA6	1.8329
CLDN3	2.41216666666667
AKT2	-0.0712142857142857
EGFR	-2.6199
RBM16	-0.18925
ZDHHC3	-0.1635
SLC25A4	-2.51866666666667
CYB5B	-0.6375
CPXM1	-1.202
NDRG1	-1.90269230769231
FLJ43826	0.43525
OR5L2	-0.0588
FARP2	-0.1346
MRPL46	-0.196916666666667
LDHAL6B	-0.408833333333333
MAPKAPK3	-0.101
NCAM2	1.1565
PRKD2	0.0333333333333333
ZFP36L1	0.9372
CYSLTR1	0.308
OR4C3	-0.7265
HIST1H2AJ	3.313
CCNB2	-2.12677777777778
ZNF10	0.268875
TMEM175	0.474
FAM134A	1.4055
TIGD4	0.2085
PCNP	-0.8745
MGC39715	-0.128
LQK1	-0.58175
CREB1	0.7659
TMPRSS3	3.21025
C4orf32	2.844
LAT	-2.01008333333333
KCNA3	-0.0605
SKIV2L2	-0.83625
ROPN1B	-2.42925
tcag7.23	-1.081
CDT1	-3.175625
ZHX2	1.5855
CD28	-3.67975
ZNF624	0.63675
SEPT2	-0.04325
SOHLH2	-1.15125
MCOLN3	2.188625
UNQ1945	0.5495
MASP2	-1.041
ZNRF3	0.964
GPATCH3	-0.66275
AGL	-0.452375
QRICH2	-0.029
PSD4	1.2285
CCNB1IP1	-2.63725
ENPP7	0.0335
OBFC1	0.69275
KCNG3	-1.882
C14orf79	0.644833333333333
ENPEP	0.344833333333333
SCT	1.445
SKI	1.105125
SEC61G	-2.0445
CAPN11	0.02325
ATXN7L3	-0.9845
DBNDD1	-0.717333333333333
FAIM	0.70375
ANKRD36	-0.4485
GABRP	1.48166666666667
TACSTD2	2.60916666666667
EIF3J	-0.43475
PPP2R2A	-0.032
TEKT4	-0.685833333333333
PVALB	-4.312
F10	-2.89666666666667
FAM134C	1.6176
COMP	4.749
EFCBP1	-2.2599375
SCLT1	0.7865
TAL1	-1.3381
ACSL1	1.05675
ABCC5	0.237416666666667
ABL1	-0.783722222222222
RBBP7	0.476833333333333
PTPRG	-0.594625
NCOR1	-0.0225
SPINK4	3.66733333333333
TXNRD1	-1.1318
TNRC15	0.727375
C9orf138	1.2085
UBE2H	0.489
BRDT	0.826
C8orf31	-0.4285
CCNE2	-1.36136363636364
SLC6A8	-2.336
CALCR	-3.3595
PPP1CB	0.122916666666667
ABHD8	0.85375
ARF5	0.0155
SLC24A4	0.43175
CCT3	-0.67175
ZNF121	-0.24775
SLC3A2	0.0899
OR13A1	0.0355
SLC5A10	1.08675
RAD50	0.02925
IER5	-0.262
MTHFD1L	-2.36275
MBTPS2	1.11125
MVK	-0.35225
NCL	-0.7107
PSMD10	-0.144
MOBP	0.137625
FLJ32894	-0.0915
HRH1	-1.61766666666667
C5orf30	1.112
NUDT16L1	1.1265
RASGRP3	3.54533333333333
PRKRIP1	-0.2568
CCDC75	0.95575
LOC253970	0.29875
KIAA1239	0.14625
MED21	-0.133
SYT11	0.33175
NTSR2	-0.4825
EGFL11	1.272
CXorf59	0.172
OR2A25	0.379
SPTBN2	-0.1955
LRMP	-1.2305
RNF111	0.236
PTH	-0.0915
LOC619208	1.1815
KIAA0895	0.623
RANBP5	-1.439
P2RY10	1.01933333333333
NME5	2.03333333333333
DDX21	-1.13625
LRSAM1	0.4735
HDAC11	2.761
VMO1	1.80525
NOLA2	-0.168
ADAR	0.131583333333333
MTO1	-1.35566666666667
SF4	0.177166666666667
P2RX1	-0.0481666666666667
HBM	0.1465
EN2	0.6175
C14orf172	0.102
TM9SF2	-0.2541
INHBE	-1.20083333333333
TCTE3	-0.454916666666667
TOX2	-3.15025
CTAGE3	0.578125
HBB	2.7346
MED15	-1.54733333333333
CASR	0.91975
C6orf66	-1.96416666666667
MTPN	-0.0945
UNC50	-0.244
C21orf33	0.22225
IRF2	0.802625
PGR	2.61933333333333
GPR84	2.829
CROCCL1	-3.67075
SRPX	-1.9135
BRE	0.241
FGF10	3.17475
SDC3	-0.9695
ZRSR1	0.428
DKFZP434P211	-0.589
SOX6	-1.6535
RPUSD2	0.03975
C14orf173	-0.340583333333333
MAPK11	-0.747166666666667
TBC1D22A	-0.1105
FAM123A	-0.383
COL4A6	-3.11116666666667
TOMM70A	0.79
NAB1	-1.68175
MGC16385	-0.60925
TSPAN18	-0.578
MED31	-0.0025
PLG	-0.17225
CAPSL	0.9075
ZNF532	-0.1041
ASB14	0.256
CA8	-2.183
NUDT16P	0.482333333333333
SLFN11	-1.4235
LRRIQ2	1.150625
NOL7	0.0486666666666667
BRMS1L	-0.821
JARID1A	-0.168
PANK2	-0.96225
ICAM3	0.28775
MDS1	-0.13575
TAF8	-0.1485
RNF139	1.523
ZNF594	0.782
ADAM8	1.692375
SFTPC	-0.071
MAN2B2	1.347125
RGS12	0.398
EIF1AY	-4.51641666666667
LRRIQ1	-1.699
GPR150	0.694
CCDC21	-1.753
PRRG3	0.1205
SAA4	-2.15
RAPGEF5	1.009875
ZCCHC2	-0.731083333333333
MGC39372	1.4405
PPP4R2	0.932666666666667
CDCA2	-1.32916666666667
OR4D5	0.412333333333333
PTGFRN	1.8249
SIGLEC5	1.83183333333333
C19orf61	-0.369333333333333
NMUR2	0.515
KIAA1586	-1.26633333333333
DAGLA	0.676333333333333
CHCHD6	-0.39575
GPR32	0.498
NEUROD6	0.240833333333333
SLC2A4RG	-0.27975
CA5B	0.68625
FBXL3	0.77075
MPHOSPH9	-0.923
HMG2L1	0.20025
HCN4	0.435666666666667
CEACAM19	0.1635
SH2D4B	0.189333333333333
HFE2	-0.537
TGM4	-0.117666666666667
LYPD2	-0.468
TBC1D15	0.48125
MRPS21	-0.2041
NONO	-0.9138
CLEC5A	2.382375
ITCH	0.4087
MGAT3	-0.840166666666667
MBP	-0.88925
RPP25	0.51
SOSTDC1	-1.03875
HRC	-1.63475
TRIM48	-0.0795
TMEM133	-0.8275
ECEL1P2	-1.2835
HOXC11	-0.919
DOK5	-1.282
HELZ	0.0528333333333333
LOC348180	-0.815
MGC33894	1.015
ADRB3	0.444
DMD	-0.183083333333333
PTRH2	-0.3765
MPEG1	2.5735
NDUFA12	0.179
KRTAP2-4	0.0268333333333333
STAMBPL1	-1.11216666666667
ADCY2	-0.8125
UNQ6125	0.7385
KLHL20	0.711666666666667
SRM	-1.74425
OTC	-0.26225
TMIE	-0.182833333333333
SNX8	0.6825
LIPK	0.662
CHURC1	0.941833333333333
KLC2	0.362333333333333
HDAC1	-0.0406666666666667
FAM128A	0.984333333333333
FNDC3B	-0.1028
MTCP1	0.327
WFDC10B	-0.1601
PCDHGB3	0.4255
ATRNL1	2.7115
CAV2	-0.813
MED26	-0.241
DUS1L	-0.2525
CHRM3	-1.384875
NEK9	1.157
WARS2	0.56025
TBX22	0.463
TOMM40	-0.67475
RP6-213H19.1	0.137166666666667
TUBGCP5	-0.5235
IGSF6	5.32825
TPPP	0.0218333333333333
UNQ6190	0.882
GSTM5	-0.2195
BTD	1.40366666666667
PDCD1LG2	0.0128333333333334
SNRPB2	-1.16216666666667
ERICH1	-0.750125
APOA4	-1.7575
HOXA11	-1.2745
NARG1	-0.274375
MKX	-0.38075
RAB28	-0.284285714285714
PKP3	0.76575
SH3GL2	-0.5165
CTSO	3.84975
RPN2	0.1678125
IL28RA	0.716666666666667
SFMBT1	0.77675
WDR57	0.147375
FER1L3	1.70941666666667
HSF5	0.0773333333333334
TTC9B	1.5195
C4BPA	-4.10766666666667
ALB	-4.33428571428571
SORBS3	0.132875
UPF2	-0.066
JPH1	-0.017
AGBL2	1.45975
DOPEY1	1.424
TERF1	-0.115666666666667
KIF22	0.33
NINJ1	1.53525
SEC61A2	-0.0561666666666667
HIST1H1D	0.689166666666667
SFXN4	0.029375
UCP3	0.0935
ZNF703	0.775333333333333
MYL6B	-0.0145
TREM1	2.19275
OR52E6	0.3165
CKMT2	1.877
HLA-C	2.13175
SLC13A3	-0.105833333333333
TIMP4	-1.34925
SLIT2	1.7945
RSF1	0.238055555555556
LONRF1	-1.56342857142857
MON1A	-0.4435
CACNG6	-1.85666666666667
DPPA4	-5.71666666666667
ZSWIM3	-0.238
ZNF804A	0.457333333333333
CCIN	0.69925
SLC25A31	-0.3555
KCNMB4	-1.68625
RABL5	0.555375
GALNS	-0.9683
STX6	0.561375
HIST1H1C	0.835833333333333
CIDEB	-0.121125
CASP4	-0.538
PDK3	1.4194
KCNJ11	1.9475
TPR	-0.292375
ZSCAN20	-0.8535
MTX2	-0.63475
HIST1H2BH	0.99025
LOC283767	-0.46275
LYRM7	-0.987166666666667
BRD3	-0.0698333333333333
HIST1H2BO	0.76325
MAGEB10	0.0765
SLC45A1	0.74725
SERPINA3	4.42365
KIAA0143	0.7525
KCNJ16	0.840833333333333
KRT79	0.284
FABP2	-0.48975
NUT	0.7345
ZNF57	-0.46775
FBXL4	0.71675
CLEC9A	2.45
UGT8	-1.4855
BMP2K	-0.12325
MAPK4	-3.918
SLC25A23	-0.3709
HINT1	-0.1562
KRTAP13-1	0.671
SFXN5	0.5571
CHCHD2	-0.113333333333333
FAM3D	0.185
NDP	-3.214125
RHOBTB1	-0.6965
SLC4A4	-1.021
RPL38	-1.0605
HTF9C	-1.39466666666667
AP2A2	0.199125
ZBTB46	-0.509
MAP7D1	-0.0205
AOX1	-0.207
CYR61	0.779333333333333
DTNA	-0.939857142857143
JRKL	-0.54
TMOD3	0.327
EEA1	0.6108
ADCK5	-0.57075
IL1R1	-0.685666666666667
KLK3	0.152571428571429
HRSP12	-0.14275
KTN1	0.28025
LOH11CR2A	0.0516
RELL2	-2.17175
MAB21L1	0.641
C20orf59	-1.35566666666667
PHKB	-1.006
ADAM2	-1.93766666666667
TBC1D8B	0.670333333333333
FAM13A1	-1.3869375
LAPTM4B	-0.815333333333333
LCN8	0.161
TMEM147	0.8105
SYT4	-0.00533333333333335
XPO7	-0.35
C9orf62	0.4995
GPR75	0.456
TRIM5	0.977125
APOC1	-0.0261666666666667
RNASE4	1.62266666666667
PARD6B	-0.208625
ARID1A	-0.167666666666667
TPD52L3	0.1923
RRAGB	2.0415
RCN2	-0.4895
HIST2H2BE	0.1165625
STARD7	0.15875
SHMT2	-1.1415
KIAA1751	-0.0401666666666667
MLYCD	-0.1285
LOC162632	0.0781
UQCRH	-1.34375
RP11-217H1.1	0.6559375
SDHA	-0.914666666666667
NCLN	-0.1414
ZNF17	0.5175
RCBTB2	-2.36025
VEGFB	0.577
RP4-747L4.3	0.4575
COLQ	0.1662
MPN2	-0.638166666666667
DRG2	0.372
KLRB1	3.57975
ALPK2	-2.06975
DNASE2B	0.98725
FLJ23834	1.0685
AXUD1	-0.253
SAFB	0.1036
NSUN4	0.113
RFX2	0.6905
MAPK8IP1	-0.588666666666667
FANCD2	-1.22414285714286
ANKZF1	-1.72583333333333
C19orf50	-0.45325
DUSP8	1.064625
SENP5	0.505
NFKBIL2	-0.846
LBR	-1.803375
IGFL1	0.693
LZTS2	0.43775
IL2RG	-0.356
CCDC51	-0.61875
KLF3	0.154625
ANKRD37	-2.017
KCTD14	-0.0201666666666667
FZR1	0.13825
SLC44A4	4.079
ESPL1	-1.09425
GMPR2	0.1909
TBC1D19	-0.755
ERGIC1	1.467
ERBB4	3.9969
TSPAN32	-0.190416666666667
MAP4	-0.78825
GPHN	-1.6305
SLC6A2	-0.343375
HIVEP1	-0.43325
DFFB	-0.8727
EIF4EBP2	0.6665
DMRT1	2.49525
HSPB6	-0.44875
IER2	-0.39
AIFM1	-0.23
WWC2	-0.0504166666666667
MRPL4	-0.355
FLJ21062	0.0145
EPB41L4A	1.91958333333333
SH2D6	0.61125
TAF4B	-1.7185
GAL3ST3	-0.3625
MALT1	-1.676
RTDR1	0.12725
ARVCF	0.31575
MEX3B	-2.31666666666667
FBXO16	2.11375
KIF7	-0.9045
C1QC	3.9295
ZNF783	-0.347333333333333
ZNF85	0.91325
MMP13	2.944
KIAA0329	0.444
RTP3	-0.412
ZBED3	-0.45725
CLGN	2.2775
SLC25A37	-1.75425
hCG_18290	-0.666
OR5AS1	0.6395
SMARCC2	0.241333333333333
FAM109A	-0.204833333333333
CCDC12	-0.7265
USF2	0.9237
DEPDC7	-2.83925
C20orf24	-0.638166666666667
JMJD3	0.5025
DSP	1.73978571428571
SLIC1	0.427625
FAM20A	0.3325
IRF2BP2	0.517625
ZNF230	0.3455
MSN	-0.991142857142857
SLC9A5	-2.428
EPDR1	-2.461
MUSK	0.259833333333333
ZNF434	0.361333333333333
SMARCD1	-0.545
