Hybridization REF	TCGA-C8-A12V-01A-11R-A115-07
BHLHB3	1.7675
MALL	1.38225
OR1B1	0.231
PARK2	0.418666666666667
GPR124	0.181875
LCE1E	-0.2735
RUVBL2	-1.10375
CGRRF1	0.887
ACPL2	0.60625
WNT10B	-1.2815
BAIAP2L2	-1.467125
ISCA1	0.041
C1orf125	-0.2945
RPAP1	-0.98725
RAI16	-1.10066666666667
RPL27	-0.685125
NLRP9	0.386
EPN1	-0.4055
LOC388610	-1.732
SLC35A1	0.3233
GAL	-3.66925
SLC14A2	0.61825
RDH11	-0.00433333333333333
FAM138F	-0.544
AUH	-0.21975
FLJ40243	0.71375
C14orf129	0.323166666666667
MBD2	-0.481333333333333
ABHD14B	-0.82725
PIGT	-0.676375
ALS2CR4	0.605125
ALAS1	0.3824
FOXO1	1.95666666666667
CRLF3	0.781875
C20orf107	0.4935
FARS2	-0.00175
CCDC28A	0.84525
NPHP3	-0.66325
OR13F1	0.6575
TSEN54	-0.175
DEFB106B	0.1615
OR8B4	0.5535
STH	-0.22725
ZC3H14	-0.686125
CBX2	0.087
TMEM49	-1.346
C6orf21	0.3785
FLJ20920	-0.14125
CRTAP	-0.4265
DDX50	-0.25725
STYXL1	-0.2135
BLVRB	-0.0418333333333333
LOC147650	0.4635
MMP24	0.00225
GRID1	1.84883333333333
BANF1	-0.796
CTAGEP	0.58575
HMBS	-2.20675
SLC25A24	0.959
C14orf50	-0.31675
MRO	0.952833333333333
SLC25A15	-0.6245
FAM84B	0.4998
TDP1	0.2495
C16orf78	0.117166666666667
C11orf57	0.3895
RFK	-0.695625
ZFYVE9	-0.0165
STCH	-0.1461
WIBG	-0.34625
LOC283871	-0.658
GBA2	-0.9612
NDUFB3	0.001
HSD17B13	-0.015
GRIN3A	3.48783333333333
FMNL1	0.0426666666666667
SEPT7	0.2368
GNLY	5.5695
GRAMD1C	0.183
ZNF165	1.3015
USP38	0.95575
FAM83A	-3.438
C14orf24	0.449916666666667
ARMCX3	1.1635
ARHGDIB	1.16216666666667
AK1	-1.1395
KIAA1045	0.16725
DNAJB13	0.088
NEU2	0.0055
HIST1H4B	0.209166666666667
FAM20B	-0.5575
HES2	0.00185714285714286
FAM73B	-0.7967
LOC388381	0.2695
INTS7	0.368090909090909
AMPH	0.01175
ZNF775	-0.94875
UCKL1	-1.42916666666667
C10orf97	-0.0465
C1orf161	0.01125
ALDH1L1	-0.85225
FLJ39378	-0.137625
SLC23A1	-2.2795
RBM4B	0.839
THAP4	-0.00500000000000001
OGFRL1	3.4615
KIAA0831	0.808625
PPP1R15A	-0.556333333333333
C1orf96	0.421357142857143
C12orf11	-1.9665
BMF	1.052375
MAN1A1	0.138375
KIAA1600	1.1145
NLGN4X	-0.828
ALOX12	-1.28766666666667
RB1CC1	0.8302
NEIL2	0.9672
EIF4E	-0.23652380952381
ABHD5	0.04325
EXOC4	-0.4745
CIP29	-0.926833333333333
BATF2	3.66975
SLC29A4	0.187375
HTR4	1.13425
EMB	1.0245
TRAF6	1.5515
LMNB1	-2.156
FAM19A5	-1.950625
SHE	1.9495
PIK3C2B	1.31775
C15orf15	-0.6608
USP15	0.0125
TCEAL2	1.3125
C5orf39	0.340166666666667
PTGER2	-0.29475
SLC31A1	-0.115125
IFT172	0.411
ADAM29	0.275
GFOD1	0.7905
ST7L	1.27233333333333
C15orf26	-2.71325
PKN3	-1.98275
CNTD1	-0.273666666666667
COMMD1	0.531625
NTRK2	5.1245
FOXN3	0.544
MFGE8	0.1319
PFKFB2	1.28116666666667
TAS2R4	0.097
ENTHD1	2.68116666666667
PRMT5	-1.01925
MGC16384	-0.8845
LOC442229	-0.2585
TSKU	-0.51675
KRTCAP3	4.133125
PDLIM1	0.3905
KCNS2	0.097
RNF126	-0.761166666666667
CEP63	-0.133625
CLIC4	0.512625
hCG_1990170	2.87725
ACR	2.0031
KLK7	1.31225
ALOX5AP	4.814125
RIPK3	3.82925
TAS2R9	0.6925
C19orf18	1.646
BIRC6	0.367071428571429
ZNF16	0.717
RFT1	-0.401
SLC8A2	-0.468
TACC1	0.374125
ITGAD	1.4595
SAMHD1	3.2825
SH3PXD2B	1.0615
EPC2	1.27225
C20orf85	0.454375
ATP13A2	-0.0716666666666667
KRT4	0.271625
CAPNS1	-0.0465
MDM2	-0.429666666666667
PCDH20	0.56925
KCNK9	0.6325
OR2C1	-0.0125
KLHDC3	-0.903
IPPK	-0.3265
EFHD2	0.583875
GALR3	-1.6305
NBEA	0.699333333333333
ABCA6	3.2841
CLDN3	1.51066666666667
AKT2	-0.568357142857143
EGFR	0.5382
RBM16	0.331875
ZDHHC3	-0.1909
SLC25A4	-2.196
CYB5B	-1.09533333333333
CPXM1	-1.81225
NDRG1	-0.206153846153846
FLJ43826	0.1195
OR5L2	0.1152
FARP2	-0.0991
MRPL46	-0.84225
LDHAL6B	0.3078
MAPKAPK3	-0.360833333333333
NCAM2	-3.2765
PRKD2	0.228833333333333
ZFP36L1	1.8926
CYSLTR1	1.51625
OR4C3	-0.2835
HIST1H2AJ	0.4665
CCNB2	-1.67111111111111
ZNF10	0.629375
TMEM175	-0.121
FAM134A	0.583166666666667
TIGD4	-0.145
PCNP	-0.2015
MGC39715	0.8675
LQK1	-0.81375
CREB1	1.1771
TMPRSS3	0.16775
C4orf32	-0.14425
LAT	0.529416666666667
KCNA3	1.277
SKIV2L2	-1.07425
ROPN1B	3.31
tcag7.23	-0.2085
CDT1	-2.288375
ZHX2	1.719
CD28	-0.49225
ZNF624	0.80775
SEPT2	0.8045
SOHLH2	-2.22314285714286
MCOLN3	-0.066875
UNQ1945	0.557
MASP2	-1.3305
ZNRF3	-0.0118
GPATCH3	-0.5945
AGL	0.767125
QRICH2	-0.101
PSD4	1.02933333333333
CCNB1IP1	-1.45775
ENPP7	0.2855
OBFC1	-0.266
KCNG3	-0.96825
C14orf79	-1.56125
ENPEP	1.7825
SCT	1.377
SKI	0.333375
SEC61G	-0.08425
CAPN11	0.44225
ATXN7L3	-0.7735
DBNDD1	-0.618
FAIM	1.2645
ANKRD36	0.041
GABRP	5.435
TACSTD2	1.734
EIF3J	-0.176
PPP2R2A	-0.1985
TEKT4	-0.3695
PVALB	-3.99
F10	-3.01516666666667
FAM134C	0.4584
COMP	4.567125
EFCBP1	-3.0251875
SCLT1	0.936375
TAL1	-1.0962
ACSL1	1.0405
ABCC5	0.405666666666667
ABL1	-1.07083333333333
RBBP7	-0.212416666666667
PTPRG	-1.040125
NCOR1	-0.0285
SPINK4	-2.6255
TXNRD1	-0.6325
TNRC15	0.53075
C9orf138	1.061625
UBE2H	0.813166666666667
BRDT	0.067
C8orf31	0.02275
CCNE2	-0.282636363636364
SLC6A8	-0.903375
CALCR	-2.9735
PPP1CB	0.691333333333333
ABHD8	-0.03875
ARF5	-0.4908
SLC24A4	1.9645
CCT3	-0.327
ZNF121	1.08025
SLC3A2	-1.4911
OR13A1	0.343
SLC5A10	-0.902
RAD50	-0.663875
IER5	-1.178875
MTHFD1L	-1.175125
MBTPS2	0.59325
MVK	-1.59525
NCL	0.7327
PSMD10	0.32325
MOBP	0.196714285714286
FLJ32894	0.0245
HRH1	0.555333333333333
C5orf30	-2.062
NUDT16L1	0.0639
RASGRP3	6.22266666666667
PRKRIP1	-0.6414
CCDC75	0.36875
LOC253970	0.10525
KIAA1239	-0.216
MED21	-0.344
SYT11	1.3335
NTSR2	-0.366
EGFL11	1.3255
CXorf59	1.3345
OR2A25	-0.11425
SPTBN2	-0.704
LRMP	0.483
RNF111	0.402
PTH	0.2645
LOC619208	0.415666666666667
KIAA0895	0.8885
RANBP5	-1.310125
P2RY10	3.8705
NME5	3.09766666666667
DDX21	-0.1585
LRSAM1	-0.6465
HDAC11	-0.367666666666667
VMO1	2.48975
NOLA2	-0.795333333333333
ADAR	1.65391666666667
MTO1	0.1735
SF4	-0.175833333333333
P2RX1	0.473333333333333
HBM	0.1055
EN2	-1.5915
C14orf172	-0.259
TM9SF2	0.3018
INHBE	-0.7245
TCTE3	-0.135166666666667
TOX2	-1.2355
CTAGE3	0.51625
HBB	3.2613
MED15	-0.5995
CASR	0.36775
C6orf66	-0.845166666666667
MTPN	-0.277375
UNC50	0.60925
C21orf33	-0.4155
IRF2	1.935375
PGR	-2.3565
GPR84	4.35225
CROCCL1	-1.6625
SRPX	-2.504
BRE	0.553166666666667
FGF10	0.6535
SDC3	1.398
ZRSR1	0.338166666666667
DKFZP434P211	-0.585125
SOX6	0.1245
RPUSD2	-0.28825
C14orf173	-0.33425
MAPK11	-0.095
TBC1D22A	0.465
FAM123A	-0.3105
COL4A6	-2.47666666666667
TOMM70A	-0.147
NAB1	0.692625
MGC16385	0.324
TSPAN18	-0.584
MED31	-0.062
PLG	-0.27275
CAPSL	0.0705
ZNF532	1.6853
ASB14	-0.28175
CA8	-1.63225
NUDT16P	1.18716666666667
SLFN11	0.5905
LRRIQ2	-0.034
NOL7	-0.0336666666666667
BRMS1L	0.3395
JARID1A	0.252666666666667
PANK2	0.9265
ICAM3	0.074
MDS1	0.97425
TAF8	-0.298
RNF139	0.69625
ZNF594	0.364333333333333
ADAM8	3.466875
SFTPC	-0.45125
MAN2B2	0.580125
RGS12	-0.0868125
EIF1AY	-4.93508333333333
LRRIQ1	-1.204
GPR150	-2.23825
CCDC21	-1.13233333333333
PRRG3	0.4075
SAA4	-0.39175
RAPGEF5	1.2475
ZCCHC2	0.562916666666667
MGC39372	1.539
PPP4R2	0.205666666666667
CDCA2	-0.513
OR4D5	0.968666666666667
PTGFRN	1.2577
SIGLEC5	3.85166666666667
C19orf61	-0.7585
NMUR2	-0.1225
KIAA1586	-1.8255
DAGLA	0.467
CHCHD6	-0.50275
GPR32	-0.0195
NEUROD6	0.205666666666667
SLC2A4RG	-0.9063125
CA5B	0.40425
FBXL3	0.911
MPHOSPH9	-0.26225
HMG2L1	0.6905
HCN4	-1.693
CEACAM19	0.2815
SH2D4B	0.9535
HFE2	-0.81
TGM4	0.2326
LYPD2	-0.1245
TBC1D15	0.178
MRPS21	-0.2136
NONO	-0.1989
CLEC5A	2.370125
ITCH	0.8354
MGAT3	1.35166666666667
MBP	0.644375
RPP25	-1.03525
SOSTDC1	3.608
HRC	-2.01075
TRIM48	0.45
TMEM133	-0.33275
ECEL1P2	-0.23575
HOXC11	-0.7535
DOK5	1.42775
HELZ	0.4765
LOC348180	-0.9225
MGC33894	-0.0725
ADRB3	0.129
DMD	0.49225
PTRH2	-0.42725
MPEG1	4.04983333333333
NDUFA12	-0.171833333333333
KRTAP2-4	-0.16075
STAMBPL1	0.219
ADCY2	1.60466666666667
UNQ6125	0.409
KLHL20	0.217166666666667
SRM	-1.28975
OTC	0.11025
TMIE	0.673833333333333
SNX8	0.5105
LIPK	null
CHURC1	-0.182333333333333
KLC2	0.3305
HDAC1	-0.621
FAM128A	-0.635
FNDC3B	1.8527
MTCP1	0.586666666666667
WFDC10B	0.1993
PCDHGB3	0.2685
ATRNL1	-2.5641
CAV2	-0.453375
MED26	0.55
DUS1L	0.64925
CHRM3	-1.41875
NEK9	-0.00574999999999999
WARS2	0.45075
TBX22	-0.57
TOMM40	-1.1125
RP6-213H19.1	0.0183333333333333
TUBGCP5	-0.66675
IGSF6	5.8665
TPPP	0.342833333333333
UNQ6190	-0.4125
GSTM5	-0.094625
BTD	-0.145666666666667
PDCD1LG2	2.93816666666667
SNRPB2	0.317833333333333
ERICH1	0.962375
APOA4	-1.675375
HOXA11	-1.5555
NARG1	-0.85025
MKX	-0.318
RAB28	-0.0248571428571429
PKP3	0.3215
SH3GL2	-2.688
CTSO	3.54625
RPN2	1.6414375
IL28RA	-0.0661666666666667
SFMBT1	0.37525
WDR57	-1.931
FER1L3	0.110083333333333
HSF5	-0.021
TTC9B	-0.18875
C4BPA	-0.00483333333333333
ALB	-5.58292857142857
SORBS3	0.073875
UPF2	0.838
JPH1	0.577
AGBL2	0.108
DOPEY1	1.7015
TERF1	0.584583333333333
KIF22	-1.37383333333333
NINJ1	-0.16975
SEC61A2	-0.0551666666666667
HIST1H1D	0.404166666666667
SFXN4	-0.39425
UCP3	0.4526
ZNF703	0.0398333333333333
MYL6B	-0.48875
TREM1	1.21325
OR52E6	0.6285
CKMT2	2.1095
HLA-C	3.009375
SLC13A3	-1.67416666666667
TIMP4	-2.59075
SLIT2	1.71475
RSF1	0.135055555555556
LONRF1	0.157714285714286
MON1A	-0.133666666666667
CACNG6	-2.57833333333333
DPPA4	-5.93883333333333
ZSWIM3	0.2175
ZNF804A	0.720166666666667
CCIN	1.54125
SLC25A31	0.25625
KCNMB4	-1.987
RABL5	0.18875
GALNS	-0.084
STX6	0.3485
HIST1H1C	1.74033333333333
CIDEB	0.794375
CASP4	1.44016666666667
PDK3	0.4606
KCNJ11	0.0085
TPR	-0.41475
ZSCAN20	-1.0105
MTX2	-0.355
HIST1H2BH	1.6935
LOC283767	0.986
LYRM7	-1.4595
BRD3	-0.741333333333333
HIST1H2BO	1.392
MAGEB10	0.441
SLC45A1	0.58225
SERPINA3	2.6538
KIAA0143	1.742
KCNJ16	3.0256
KRT79	-0.3545
FABP2	-1.00375
NUT	-0.503
ZNF57	0.37475
FBXL4	0.548375
CLEC9A	2.149
UGT8	1.77683333333333
BMP2K	1.45575
MAPK4	-1.99925
SLC25A23	-0.4566
HINT1	-0.3063
KRTAP13-1	0.2365
SFXN5	-0.1399
CHCHD2	0.0439166666666667
FAM3D	3.53
NDP	1.604875
RHOBTB1	-0.450333333333333
SLC4A4	-0.4805
RPL38	0.6965
HTF9C	-0.3615
AP2A2	0.367375
ZBTB46	0.07
MAP7D1	-0.26325
AOX1	-1.621
CYR61	0.901916666666667
DTNA	-1.8475
JRKL	0.66525
TMOD3	-0.519
EEA1	-0.1629
ADCK5	-0.627
IL1R1	4.21816666666667
KLK3	-0.358714285714286
HRSP12	0.667
KTN1	0.23475
LOH11CR2A	0.5728
RELL2	-0.6855
MAB21L1	0.936
C20orf59	-0.686666666666667
PHKB	0.18425
ADAM2	-2.55966666666667
TBC1D8B	1.45433333333333
FAM13A1	-0.0265625
LAPTM4B	0.563916666666667
LCN8	0.0605
TMEM147	0.2705
SYT4	-0.271
XPO7	0.432
C9orf62	-2.4695
GPR75	0.456
TRIM5	0.992625
APOC1	1.412
RNASE4	-0.1615
PARD6B	-3.801125
ARID1A	-0.380083333333333
TPD52L3	-0.0033
RRAGB	0.2435
RCN2	-0.369
HIST2H2BE	1.3670625
STARD7	0.4085
SHMT2	-1.45475
KIAA1751	-0.4415
MLYCD	0.28425
LOC162632	-0.604
UQCRH	-0.48625
RP11-217H1.1	1.59025
SDHA	-1.40483333333333
NCLN	-0.1908
ZNF17	0.860166666666667
RCBTB2	0.14225
VEGFB	-0.8295
RP4-747L4.3	0.9885
COLQ	0.285
MPN2	-1.03283333333333
DRG2	0.07275
KLRB1	6.70475
ALPK2	-1.33925
DNASE2B	1.42625
FLJ23834	0.601333333333333
AXUD1	0.123833333333333
SAFB	-0.4729
NSUN4	0.44075
RFX2	0.4945
MAPK8IP1	-0.501333333333333
FANCD2	-1.02435714285714
ANKZF1	-1.3115
C19orf50	-0.498375
DUSP8	-0.489125
SENP5	0.672875
NFKBIL2	-0.77575
LBR	0.157
IGFL1	-0.8655
LZTS2	0.021125
IL2RG	1.9375
CCDC51	-0.97075
KLF3	0.40675
ANKRD37	-1.8065
KCTD14	2.05583333333333
FZR1	-0.51775
SLC44A4	-1.6147
ESPL1	-0.82425
GMPR2	-0.3818
TBC1D19	-0.789666666666667
ERGIC1	-0.562777777777778
ERBB4	-0.2606
TSPAN32	1.72683333333333
MAP4	-0.702875
GPHN	-0.6495
SLC6A2	-0.195625
HIVEP1	1.1305
DFFB	0.7369
EIF4EBP2	0.6655
DMRT1	-0.41025
HSPB6	-0.3525
IER2	0.396166666666667
AIFM1	-0.16825
WWC2	-0.271083333333333
MRPL4	-0.76725
FLJ21062	-0.593333333333333
EPB41L4A	0.334833333333333
SH2D6	0.5285
TAF4B	0.61575
GAL3ST3	-0.1365
MALT1	0.125
RTDR1	0.17975
ARVCF	-0.23875
MEX3B	1.1045
FBXO16	1.294
KIF7	-2.335
C1QC	4.5225
ZNF783	-0.3765
ZNF85	0.3175
MMP13	1.483
KIAA0329	0.1985
RTP3	0.58
ZBED3	-0.26
CLGN	-4.564
SLC25A37	-1.48433333333333
hCG_18290	0.102
OR5AS1	0.2175
SMARCC2	-0.6155
FAM109A	-0.537666666666667
CCDC12	-0.29725
USF2	0.0463
DEPDC7	0.49225
C20orf24	1.78633333333333
JMJD3	-0.686
DSP	0.632428571428571
SLIC1	1.161875
FAM20A	3.3775
IRF2BP2	0.6955
ZNF230	0.8875
MSN	0.858928571428571
SLC9A5	-2.035
EPDR1	-2.0421
MUSK	0.474833333333333
ZNF434	0.252666666666667
SMARCD1	-0.344666666666667
ZFP106	-0.155
ZNF347	0.8324
GTF2E1	0.84825
RY1	0.4005
