Hybridization REF	TCGA-AO-A128-01A-11R-A10J-07
USP6NL	0.92675
ABCD4	-0.504666666666667
DIMT1L	-0.418583333333333
TEK	-0.24175
SLC25A46	-0.20225
LARP7	-1.3958
CD160	2.66633333333333
MT1JP	-1.03983333333333
PHF20	-0.548
CPNE4	-1.1865
GTPBP1	0.0665714285714286
RAB33B	0.324666666666667
ALDOC	-2.428
ZNF212	-0.13375
NUDT1	-0.1025
RFPL2	1.318
ZNF83	-0.351666666666667
GDPD5	-0.518875
PDCD4	0.53445
CEP350	0.55375
OR10A2	0.5405
CST7	3.51425
CIAO1	-0.88825
SELL	2.6815
OR8J3	0.0245
LTBP4	0.292166666666667
SIRT6	0.58725
CCL19	4.85825
PPIL1	-0.566666666666667
GBP7	1.11266666666667
STK17A	0.2078
ABR	0.39275
OR9G1	0.0875
FOXE1	-0.433125
CNGA3	0.2715
GML	0.5785
CD38	3.23225
ZDHHC6	-0.215333333333333
NEFH	-1.83075
CTDSP2	0.387333333333333
PGBD5	-0.946166666666667
CCNY	0.515214285714286
RMND5B	-0.325333333333333
ZNF257	-0.44075
FLJ22167	0.4595
EXOSC7	-0.4095
ROR2	0.975
MAOA	-1.731125
TNNT3	-0.0756666666666667
GYPC	-0.43125
C7orf33	0.496
PLIN	0.198333333333333
LOC90826	0.02725
RNF4	0.0979
F8A1	0.737666666666667
PLEKHG4	-0.16025
GRB2	0.92955
HIST1H2AD	1.19325
DUS3L	-0.4575
EIF1	-0.310333333333333
RP5-1077B9.4	0.335666666666667
FPGT	1.12075
GDF10	-0.695666666666667
COQ9	-0.4
GCC2	0.0880714285714286
RARRES3	3.50875
PLXNA1	1.1028
KIAA0100	-0.0542
PMF1	0.04725
FNDC1	4.48175
HS2ST1	0.0115833333333333
CRELD2	2.33825
C8G	1.22
CD82	2.28975
LIM2	-0.4245
UNQ6490	-0.00650000000000001
MMP16	-0.484
DRD3	0.00524999999999999
C5orf26	-1.7035
C11orf73	0.0375
PTP4A2	-0.14525
OR4M2	0.037
HPCA	-0.0515
SEC14L1	0.0741666666666667
CHFR	0.557625
EMILIN1	0.764125
NDUFS4	-0.841
COL18A1	0.02725
PDZD3	0.0208
C9orf16	-0.561666666666667
ERBB2IP	-0.3885
EMX2	1.67675
FUS	-0.77975
TF	-3.2447
CLCN4	1.44966666666667
CXorf56	1.28625
C11orf72	0.259
ELAC2	-0.111916666666667
NPR1	-1.112
ASS1	0.9695
USP42	0.760875
POLR2J	-0.153
SEC23IP	0.6275
UQCRC1	-0.19875
LOC729603	-0.0055
C1orf71	0.138
POLG	-1.1685
ADAM23	-3.9135
TFR2	-0.829
RICTOR	-0.7309
MGC39606	0.318
C19orf55	-0.273
SNAPC1	-1.33283333333333
GNA11	1.253125
CCDC52	0.185833333333333
FSIP1	-0.2845
UPF3A	-0.584125
IGSF11	-2.15333333333333
LAGE3	0.58225
CHST6	-2.858
UNC13B	0.596
TTLL4	1.204
ZNF687	0.366875
SDC2	-1.4634
COX7A2	-0.60825
LAMB4	-0.1875
FAM24A	0.0845
LRRTM3	-0.608833333333333
GPHB5	0.2035
OR4C13	-0.3825
EIF3EIP	-0.406
HABP4	-0.7425
TMEM125	4.344
CNTN2	0.047375
ASNSD1	-0.46575
FUT4	0.99275
ACF	-3.4815
LOC158381	-0.1025
CDH8	-0.12675
AGPS	-0.488
C4orf18	1.06
PECI	-1.66091666666667
UNG	-0.70025
GSTP1	0.6145
DCUN1D5	-0.888666666666667
DKFZP564J0863	-0.05675
SLC9A3R1	0.1255
BCDO2	-0.12925
CHMP7	0.0775
REM2	0.614
DNHD1	0.18475
FKBP4	-0.332625
ZNF350	1.82725
MGC11102	-0.051625
BST1	2.04525
KISS1R	0.7795
NCR2	0.168
DEFB125	0.131
UBE2W	1.75225
KRT15	0.957125
C10orf99	0.3915
SCN11A	-0.229875
GFI1	0.549
RDHE2	0.234333333333333
FHL1	-2.61766666666667
OSGEP	0.1615
GATA1	-3.61983333333333
SMC6	-0.8835
TTTY14	-0.6745
LPIN3	-0.156
RPL4	-0.7587
RBPMS	0.7663
PRPF3	-0.0215
EMR1	0.857
SPATA19	0.3255
XCR1	0.341
IRX3	-2.199
RBM6	-0.716
KLF4	-0.854
UNC5CL	-1.174
SEBOX	0.068
BTK	1.1405
KRCC1	0.817
C6orf27	0.1325
SYTL5	-0.968
PRND	0.00612499999999999
LOC653319	-1.15
PIGL	-1.788125
HUS1	-0.0351666666666667
SFRS6	0.13125
C17orf77	0.0655
UIMC1	-0.627333333333333
FXYD2	-1.3298
LOC283152	-0.285
ZNF667	0.70475
ZCCHC12	-0.4075
TFEC	5.1712
ATP7B	-1.55633333333333
POLD2	-0.49
RG9MTD1	0.132
ACOT2	-0.9735
HIST1H4I	-0.827375
PPARGC1A	-2.8914
ETFA	-2.2069
POLRMT	0.02175
ZNF146	0.20575
MIA2	-0.7565
KLHL6	1.26666666666667
HOXB5	1.4245
NENF	0.662166666666667
CUGBP1	-0.264
PRSS22	1.37516666666667
CASC4	0.4048
CUL4B	-0.1268
CENPJ	-0.9737
PITX1	0.0328333333333333
FLJ31033	1.76666666666667
CELSR3	-0.4025
ZNF568	-0.097
ITSN1	-0.20425
EHBP1L1	0.868166666666667
C19orf2	-0.30175
DCTN1	-0.62
LIN28B	-2.9615
TNKS2	1.377
C1QBP	-0.564375
CADPS2	1.6835
SRMS	0.32025
GJA9	0.210166666666667
MGC24975	-0.407666666666667
TRIM45	-1.48
TSP50	-0.21775
TCP1	-0.698
TMED7	0.4809
CMA1	0.1575
CENPL	0.486666666666667
PTCRA	1.3005
FST	-1.79025
VWCE	-3.53575
PAWR	-1.3095
ABCC12	-0.077
LDLR	-0.2306
ASTN2	-0.8911
LOC441212	-0.81925
GPATCH8	-0.25675
TANC2	-2.018
KIF4A	-1.115
C18orf18	-1.53875
PGM1	0.29875
KIAA0258	-0.238
CPD	1.062
SNCAIP	-1.56725
DCT	-4.03783333333333
HLA-DOA	3.68190909090909
OR11L1	0.348
UPK1B	-0.548333333333333
DNAJB4	-0.7045
UGT1A8	-0.31875
HIST1H4L	-1.0955
PECR	-1.82366666666667
HSPA2	0.46525
WFIKKN1	-0.675
SERP1	1.500375
SYDE2	-1.15675
TACR2	0.431
NUP85	-0.624
CD177	-0.364833333333333
LGR5	-1.189
PIGG	-0.297166666666667
PTHR1	-2.54083333333333
RAB5A	0.6664
FLJ13224	0.166
USP9Y	-1.058
C7orf53	-0.828
LRP1B	-0.63425
XAF1	4.4094
ABCG8	-0.1245
ANKDD1A	0.362
DAND5	-1.942
SPAG6	1.621
LINCR	2.5495
ZDHHC22	-1.69
CCDC60	0.3945
THOC7	-0.643833333333333
TCTA	1.4745
OR8K3	0.14975
NY-REN-7	-0.64325
B2M	2.21
C6orf141	-2.443875
LPPR4	1.536
SQLE	-2.30825
SEPHS1	-0.017
BTBD14B	0.574857142857143
PLRG1	-0.4115
SPG7	-0.7194375
ZNF614	0.339333333333333
PARD6G	-0.463666666666667
INPP5B	-0.00279999999999999
GRPEL2	-0.35925
PPID	-0.4776
TRIM56	0.77475
UBE2J1	0.780375
IL20RA	-0.13175
LOC387856	-0.20725
C1orf107	1.00008333333333
UTS2R	0.64475
C19orf22	0.2755
SAFB2	0.632375
KIAA0652	0.209125
KLRG1	0.15
MS4A8B	-0.0766666666666667
FRAG1	-0.2155
KIAA1546	0.0825
E2F4	-0.382
CLEC4M	0.2895
BTBD14A	0.88225
KIAA0999	0.7052
GYPA	-2.93266666666667
TAC1	-0.518
TRAIP	-0.445
KIAA0232	-0.241
ERCC8	-1.126375
GPX4	0.547375
KIAA0368	-0.623
GPR157	-0.8825
CTAGE4	0.8665
C9orf30	-1.06716666666667
OR52A1	0.155
HSP90B3P	0.275
ALG9	-1.1176
BTBD10	0.2475
SDK2	0.516
BAIAP3	-2.3355
RABGGTB	-0.622875
ANKRD40	0.173166666666667
KRT74	0.133
CALCOCO2	0.454285714285714
SNCA	-3.7005
TMSL8	-2.38275
C2orf53	-0.2935
ESRRB	-0.25325
ARHGAP26	1.27125
TDRD9	2.40775
HRAS	-0.141666666666667
KLRC4	-0.448
JAGN1	0.2
BSDC1	0.01075
RNF43	-1.4509
NDUFAF1	-0.6555
PHF12	0.3315
OR1L3	0.161
FOLR2	2.302
LYZL6	0.214166666666667
tcag7.1260	-0.671
WSB1	-0.841
PROS1	-1.2163
OSTN	0.3145
PSMB8	2.31125
SOCS4	-0.21525
DDIT4L	5.9965
MAS1	-0.256
MGC34796	0.4085
CSHL1	0.482166666666667
TBCCD1	0.502
ZBTB7C	-0.0675
AP2S1	0.019
P15RS	-0.0898
VAT1	-1.4681
SHANK3	0.623833333333333
TUFM	-0.892833333333333
THEG	-0.5385
KRT34	-1.4795
SGSM3	0.32075
TOMM22	-0.31425
SOCS3	2.36166666666667
CPO	0.319
POP4	0.162
BHLHB3	-0.119
MALL	3.7165
OR1B1	0.016
PARK2	0.306
GPR124	0.912625
LCE1E	-0.0915
RUVBL2	-0.29675
CGRRF1	-0.4459
ACPL2	0.1915
WNT10B	-0.775
BAIAP2L2	-0.70525
ISCA1	0.0875
C1orf125	0.01825
RPAP1	-1.2185
RAI16	-0.151
RPL27	-0.97025
NLRP9	0.2205
EPN1	0.4725
LOC388610	-0.007625
SLC35A1	-0.3061
GAL	-3.2975
SLC14A2	0.48975
RDH11	-1.225
FAM138F	-0.512
AUH	0.12675
FLJ40243	0.12625
C14orf129	0.1525
MBD2	-0.272333333333333
ABHD14B	-0.353
PIGT	-0.132125
ALS2CR4	-1.234375
ALAS1	1.2101
FOXO1	1.51366666666667
CRLF3	0.56525
C20orf107	1.1345
FARS2	0.15725
CCDC28A	0.68375
NPHP3	-1.1525
OR13F1	0.256
TSEN54	-0.04775
DEFB106B	0.1007
OR8B4	0.5565
STH	-0.3765
ZC3H14	-0.656625
CBX2	-0.3635
TMEM49	-1.27025
C6orf21	0.148
FLJ20920	-0.999625
CRTAP	-0.245142857142857
DDX50	-0.16975
STYXL1	0.62025
BLVRB	0.242
LOC147650	1.3095
MMP24	-0.48925
GRID1	0.372666666666667
BANF1	-0.359666666666667
CTAGEP	0.48925
HMBS	-1.81975
SLC25A24	-0.713
C14orf50	0.2015
MRO	0.747333333333333
SLC25A15	-1.19925
FAM84B	-0.014
TDP1	0.1585
C16orf78	0.259
C11orf57	-0.16025
RFK	-0.20475
ZFYVE9	0.812
STCH	-0.5237
WIBG	0.33475
LOC283871	-0.434333333333333
GBA2	-0.1614
NDUFB3	-0.13125
HSD17B13	-0.389
GRIN3A	4.06466666666667
FMNL1	1.04983333333333
SEPT7	0.2013
GNLY	5.162
GRAMD1C	-0.869833333333333
ZNF165	-0.18675
USP38	0.7675
FAM83A	-2.726
C14orf24	-0.0288333333333333
ARMCX3	0.701625
ARHGDIB	1.327
AK1	0.444625
KIAA1045	-0.4315
DNAJB13	-0.0358333333333333
NEU2	0.3245
HIST1H4B	-0.257833333333333
FAM20B	0.1593
HES2	-0.0735714285714286
FAM73B	0.1285
LOC388381	0.1215
INTS7	0.455
AMPH	0.09625
ZNF775	-0.152375
UCKL1	-0.574
C10orf97	-0.1665
C1orf161	-0.0135
ALDH1L1	-1.38675
FLJ39378	-0.57175
SLC23A1	-1.118
RBM4B	-0.51775
THAP4	0.0103333333333333
OGFRL1	1.52325
KIAA0831	-0.26725
PPP1R15A	0.580833333333333
C1orf96	0.862428571428571
C12orf11	-1.69025
BMF	0.913625
MAN1A1	-0.3385
KIAA1600	0.789166666666667
NLGN4X	3.135
ALOX12	-1.07066666666667
RB1CC1	0.9641
NEIL2	0.1347
EIF4E	-0.107
ABHD5	0.5585
EXOC4	-0.483833333333333
CIP29	-0.507166666666667
BATF2	4.15775
SLC29A4	-0.9195
HTR4	0.14175
EMB	0.97775
TRAF6	0.80375
LMNB1	-0.32925
FAM19A5	-1.480875
SHE	0.68175
PIK3C2B	1.4645
C15orf15	-1.3942
USP15	0.174
TCEAL2	0.0925
C5orf39	0.597
PTGER2	1.90225
SLC31A1	0.9320625
IFT172	0.64225
ADAM29	0.26225
GFOD1	0.3275
ST7L	-0.0978333333333333
C15orf26	-2.764
PKN3	-1.3425
CNTD1	0.892333333333333
COMMD1	0.033125
NTRK2	4.00941666666667
FOXN3	0.145875
MFGE8	0.6156
PFKFB2	0.73
TAS2R4	-0.10175
ENTHD1	0.651
PRMT5	-0.7925
MGC16384	-1.048875
LOC442229	-0.3865
TSKU	-0.1165
KRTCAP3	1.17475
PDLIM1	0.813
KCNS2	0.14925
RNF126	-0.094
CEP63	0.307625
CLIC4	-0.427875
hCG_1990170	-0.99775
ACR	1.8828
KLK7	-0.16925
ALOX5AP	4
RIPK3	3.9565
TAS2R9	0.273
C19orf18	2.689
BIRC6	-0.0917142857142857
ZNF16	1.3485
RFT1	-0.22875
SLC8A2	0.17325
TACC1	0.939
ITGAD	1.745
SAMHD1	3.0795
SH3PXD2B	0.3739
EPC2	0.5765
C20orf85	0.256375
ATP13A2	1.132
KRT4	0.326
CAPNS1	-0.20025
MDM2	-0.589666666666667
PCDH20	1.3545
KCNK9	0.327
OR2C1	-0.1185
KLHDC3	-0.434
IPPK	0.133
EFHD2	1.352875
GALR3	0.55925
NBEA	-1.00616666666667
ABCA6	2.1487
CLDN3	-3.06583333333333
AKT2	0.272142857142857
EGFR	-0.2578
RBM16	-0.135
ZDHHC3	0.1299
SLC25A4	-2.18966666666667
CYB5B	-1.05833333333333
CPXM1	-0.52375
NDRG1	-0.637384615384615
FLJ43826	0.2575
OR5L2	0.0226666666666667
FARP2	1.057
MRPL46	-0.833666666666667
LDHAL6B	0.119166666666667
MAPKAPK3	-0.171333333333333
NCAM2	-2.8885
PRKD2	1.27483333333333
ZFP36L1	1.4523
CYSLTR1	0.5255
OR4C3	0.076
HIST1H2AJ	-0.359
CCNB2	-1.90733333333333
ZNF10	-0.21475
TMEM175	0.527
FAM134A	0.410666666666667
TIGD4	0.0135
PCNP	-0.04575
MGC39715	-0.04675
LQK1	-1.96625
CREB1	0.4966
TMPRSS3	0.4825
C4orf32	-0.504125
LAT	0.918083333333333
KCNA3	0.594
SKIV2L2	-0.98325
ROPN1B	-2.396
tcag7.23	0.08
CDT1	-2.497
ZHX2	-0.18425
CD28	-0.8125
ZNF624	0.564
SEPT2	0.489333333333333
SOHLH2	-2.187875
MCOLN3	-0.973625
UNQ1945	0.7265
MASP2	-0.3285
ZNRF3	-0.6739
GPATCH3	0.1655
AGL	-0.68375
QRICH2	0.248
PSD4	1.43566666666667
CCNB1IP1	-2.94525
ENPP7	-0.09025
OBFC1	0.07625
KCNG3	-2.06675
C14orf79	0.580333333333333
ENPEP	0.932666666666667
SCT	1.6725
SKI	0.873875
SEC61G	0.253
CAPN11	-0.001
ATXN7L3	0.3225
DBNDD1	-1.2195
FAIM	-0.6675
ANKRD36	-0.937
GABRP	5.42233333333333
TACSTD2	1.78166666666667
EIF3J	-1.036
PPP2R2A	-0.17525
TEKT4	0.339833333333333
PVALB	-3.5465
F10	-3.16966666666667
FAM134C	0.5854
COMP	3.714
EFCBP1	-2.395375
SCLT1	0.854125
TAL1	-1.8403
ACSL1	2.705
ABCC5	0.86225
ABL1	-0.573944444444444
RBBP7	-0.129166666666667
PTPRG	-1.143875
NCOR1	0.0612
SPINK4	-1.90666666666667
TXNRD1	-1.1378
TNRC15	0.4515
C9orf138	1.264875
UBE2H	1.06166666666667
BRDT	0.1175
C8orf31	0.11525
CCNE2	-0.414545454545454
SLC6A8	-1.07175
CALCR	-2.26425
PPP1CB	0.19875
ABHD8	0.12025
ARF5	0.4011
SLC24A4	1.29325
CCT3	0.5125
ZNF121	0.38275
SLC3A2	-1.0185
OR13A1	0.2
SLC5A10	-0.12575
RAD50	-0.591875
IER5	0.18
MTHFD1L	-2.005625
MBTPS2	0.5995
MVK	-0.531375
NCL	-0.0227
PSMD10	0.237
MOBP	0.300875
FLJ32894	-0.4185
HRH1	-0.967333333333333
C5orf30	-2.587
NUDT16L1	0.1816
RASGRP3	3.99016666666667
PRKRIP1	0.2405
CCDC75	0.23125
LOC253970	0.335
KIAA1239	-0.44725
MED21	-0.6005
SYT11	1.25075
NTSR2	-0.36
EGFL11	-0.0375
CXorf59	1.502
OR2A25	0.071
SPTBN2	0.027
LRMP	0.400333333333333
RNF111	0.021
PTH	0.17
LOC619208	0.183166666666667
KIAA0895	-0.4805
RANBP5	-1.52025
P2RY10	3.25183333333333
NME5	-1.06933333333333
DDX21	-0.4115
LRSAM1	0.2195
HDAC11	0.420833333333333
VMO1	2.71225
NOLA2	-0.3605
ADAR	1.68675
MTO1	-0.762666666666667
SF4	0.625166666666667
P2RX1	0.0145
HBM	0.29025
EN2	0.8105
C14orf172	-0.135
TM9SF2	0.4479
INHBE	-1.29616666666667
TCTE3	1.22616666666667
TOX2	-0.352
CTAGE3	0.588625
HBB	3.2028
MED15	-0.372
CASR	0.27775
C6orf66	-0.840166666666667
MTPN	0.04625
UNC50	-0.0995
C21orf33	-0.245375
IRF2	2.010625
PGR	-2.42583333333333
GPR84	4.17725
CROCCL1	-1.36325
SRPX	-3.10825
BRE	0.150666666666667
FGF10	-0.797
SDC3	2.16933333333333
ZRSR1	0.839333333333333
DKFZP434P211	0.106875
SOX6	-0.1865
RPUSD2	-0.695
C14orf173	0.122833333333333
MAPK11	-0.0432
TBC1D22A	0.765
FAM123A	-0.4485
COL4A6	-4.11266666666667
TOMM70A	0.16375
NAB1	0.605125
MGC16385	-0.16425
TSPAN18	-0.726166666666667
MED31	0.07775
PLG	-0.46275
CAPSL	0.273
ZNF532	0.9613
ASB14	-0.15575
CA8	-3.641
NUDT16P	1.15316666666667
SLFN11	0.2305
LRRIQ2	0.571375
NOL7	-0.536166666666667
BRMS1L	-0.345125
JARID1A	0.432833333333333
PANK2	0.14775
ICAM3	0.54225
MDS1	-0.176
TAF8	-0.131
RNF139	0.23275
ZNF594	-0.332833333333333
ADAM8	3.532625
SFTPC	-0.4355
MAN2B2	1.34725
RGS12	0.208625
EIF1AY	-4.77625
LRRIQ1	-0.641333333333333
GPR150	0.8995
CCDC21	-0.5945
PRRG3	0.015
SAA4	-0.53925
RAPGEF5	0.78225
ZCCHC2	0.80075
MGC39372	2.041
PPP4R2	0.916
CDCA2	-0.499166666666667
OR4D5	0.8795
PTGFRN	0.4157
SIGLEC5	2.43116666666667
C19orf61	0.170333333333333
NMUR2	0.4075
KIAA1586	-1.03216666666667
DAGLA	0.590333333333333
CHCHD6	-0.2675
GPR32	0.3245
NEUROD6	0.288166666666667
SLC2A4RG	-0.1825
CA5B	0.07525
FBXL3	0.27025
MPHOSPH9	-0.41675
HMG2L1	-0.17125
HCN4	0.651666666666667
CEACAM19	1.497
SH2D4B	2.41266666666667
HFE2	-0.967
TGM4	-0.235833333333333
LYPD2	0.112
TBC1D15	0.33475
MRPS21	0.0276
NONO	-0.195
CLEC5A	1.745125
ITCH	-0.0708
MGAT3	2.86866666666667
MBP	0.216375
RPP25	-0.21125
SOSTDC1	-2.94625
HRC	-2.1345
TRIM48	-0.132
TMEM133	-0.20375
ECEL1P2	-0.628
HOXC11	0.4455
DOK5	0.17
HELZ	0.128333333333333
LOC348180	-0.268
MGC33894	0.099
ADRB3	0.0935
DMD	0.499583333333333
PTRH2	-1.08075
MPEG1	4.0635
NDUFA12	-0.2325
KRTAP2-4	0.0854166666666667
STAMBPL1	0.1395
ADCY2	-1.58166666666667
UNQ6125	0.386
KLHL20	0.4765
SRM	0.08925
OTC	-0.1325
TMIE	1.21516666666667
SNX8	0.18025
LIPK	-0.3075
CHURC1	-0.447833333333333
KLC2	0.211666666666667
HDAC1	-0.530333333333333
FAM128A	-1.1485
FNDC3B	1.1162
MTCP1	-0.0873333333333333
WFDC10B	1.4883
PCDHGB3	0.1365
ATRNL1	-2.0582
CAV2	-1.53225
MED26	0.468833333333333
DUS1L	0.13825
CHRM3	-1.554375
NEK9	0.091
WARS2	-0.6995
TBX22	0.18
TOMM40	-0.278
RP6-213H19.1	-2.08816666666667
TUBGCP5	-0.706
IGSF6	6.05375
TPPP	0.0415
UNQ6190	-0.0115
GSTM5	0.11175
BTD	0.452666666666667
PDCD1LG2	2.9655
SNRPB2	-0.322333333333333
ERICH1	0.046625
APOA4	-1.539
HOXA11	2.03975
NARG1	-0.586
MKX	-0.77975
RAB28	-1.03064285714286
PKP3	1.17175
SH3GL2	-2.72
CTSO	2.64025
RPN2	0.33775
IL28RA	-0.543333333333333
SFMBT1	0.4985
WDR57	-0.8175
FER1L3	0.984636363636364
HSF5	0.4315
TTC9B	1.0745
C4BPA	0.016
ALB	-3.60271428571429
SORBS3	-0.1225
UPF2	0.187
JPH1	0.611
AGBL2	-0.8645
DOPEY1	1.703
TERF1	0.220666666666667
KIF22	-0.880166666666667
NINJ1	1.2225
SEC61A2	0.0419166666666667
HIST1H1D	-0.555333333333333
SFXN4	-0.321375
UCP3	0.565
ZNF703	0.0308333333333333
MYL6B	-0.5565
TREM1	1.30025
OR52E6	0.4045
CKMT2	-0.8145
HLA-C	3.3445
SLC13A3	-1.47383333333333
TIMP4	-2.9575
SLIT2	1.35
RSF1	0.0603888888888889
LONRF1	-1.11342857142857
MON1A	0.882
CACNG6	-1.6525
DPPA4	-4.91583333333333
ZSWIM3	0.0585
ZNF804A	1.167
CCIN	0.8665
SLC25A31	0.38825
KCNMB4	-2.34575
RABL5	1.391375
GALNS	-0.0725
STX6	0.995
HIST1H1C	-0.645166666666667
CIDEB	0.783125
CASP4	1.445
PDK3	1.3727
KCNJ11	-0.3365
TPR	0.554375
ZSCAN20	-0.3965
MTX2	-1.15725
HIST1H2BH	0.25
LOC283767	1.67225
LYRM7	-0.883333333333333
BRD3	0.564833333333333
HIST1H2BO	0.05925
MAGEB10	2.35
SLC45A1	1.06175
SERPINA3	1.6698
KIAA0143	1.6165
KCNJ16	-0.338166666666667
KRT79	-0.23175
FABP2	-0.7085
NUT	0.59125
ZNF57	0.04475
FBXL4	0.18925
CLEC9A	1.6435
UGT8	-0.772833333333333
BMP2K	1.166
MAPK4	-3.6385
SLC25A23	-1.379
HINT1	-0.8758
KRTAP13-1	0.2345
SFXN5	-0.5691
CHCHD2	0.0425
FAM3D	0.9055
NDP	-1.1375
RHOBTB1	-1.51583333333333
SLC4A4	-1.252375
RPL38	-0.46925
HTF9C	-0.159833333333333
AP2A2	0.372375
ZBTB46	2.0595
MAP7D1	0.947875
AOX1	-0.991
CYR61	-0.224916666666667
DTNA	-0.952642857142857
JRKL	0.16625
TMOD3	0.33675
EEA1	0.589
ADCK5	0.51625
IL1R1	1.31766666666667
KLK3	0.423642857142857
HRSP12	1.68225
KTN1	-0.444
LOH11CR2A	1.013
RELL2	-0.356
MAB21L1	0.35575
C20orf59	-1.14966666666667
PHKB	-0.18225
ADAM2	-1.70483333333333
TBC1D8B	1.4415
FAM13A1	-0.8768125
LAPTM4B	-0.0830833333333333
LCN8	0.334
TMEM147	-0.156
SYT4	-0.0781666666666667
XPO7	0.113
C9orf62	1.06825
GPR75	0.0125
TRIM5	1.211125
APOC1	2.142
RNASE4	-1.04333333333333
PARD6B	-1.86375
ARID1A	0.3635
TPD52L3	-0.088
RRAGB	1.4185
RCN2	-1.22166666666667
HIST2H2BE	0.4483125
STARD7	-0.12775
SHMT2	-1.00725
KIAA1751	0.17
MLYCD	0.698625
LOC162632	-0.8338
UQCRH	-1.0235
RP11-217H1.1	1.8555
SDHA	-1.07466666666667
NCLN	0.2953
ZNF17	0.411
RCBTB2	0.276
VEGFB	-0.6728
RP4-747L4.3	2.47825
COLQ	0.9756
MPN2	-0.7735
DRG2	-0.3415
KLRB1	6.3925
ALPK2	-1.2015
DNASE2B	1.12875
FLJ23834	0.344666666666667
AXUD1	1.31083333333333
SAFB	0.0097
NSUN4	-0.5005
RFX2	-0.775833333333333
MAPK8IP1	-0.473166666666667
FANCD2	-0.495928571428571
ANKZF1	-0.7845
C19orf50	0.15225
DUSP8	-0.087625
SENP5	0.93725
NFKBIL2	0.252
LBR	-0.694875
IGFL1	0.0205
LZTS2	0.508875
IL2RG	3.13825
CCDC51	0.65925
KLF3	0.854375
ANKRD37	-1.33475
KCTD14	-0.0551666666666667
FZR1	0.412333333333333
SLC44A4	1.2028
ESPL1	-0.758125
GMPR2	-0.5167
TBC1D19	-0.4445
ERGIC1	-0.0438518518518519
ERBB4	-1.5354
TSPAN32	1.05591666666667
MAP4	1.040625
GPHN	-0.6295
SLC6A2	0.021875
HIVEP1	0.56075
DFFB	0.1523
EIF4EBP2	1.276375
DMRT1	-0.06
HSPB6	-0.2455
IER2	0.3885
AIFM1	0.547
WWC2	-1.38625
MRPL4	0.1835
FLJ21062	-0.0506666666666667
EPB41L4A	-0.00208333333333333
SH2D6	0.3375
TAF4B	-0.221
GAL3ST3	-0.3615
MALT1	0.198666666666667
RTDR1	1.2425
ARVCF	-0.653125
MEX3B	-0.1245
FBXO16	-0.24275
KIF7	-1.91325
C1QC	4.35483333333333
ZNF783	0.0475
ZNF85	-0.119
MMP13	-0.928
KIAA0329	0.062125
RTP3	1.522
ZBED3	-0.94625
CLGN	-4.8115
SLC25A37	-0.837916666666667
hCG_18290	-0.27275
OR5AS1	0.184
SMARCC2	0.09575
FAM109A	-0.0515
CCDC12	0.11075
USF2	0.5628
DEPDC7	-2.093
C20orf24	0.419166666666667
JMJD3	0.3775
DSP	0.681785714285714
SLIC1	1.508375
FAM20A	4.372875
IRF2BP2	0.608125
ZNF230	0.051
MSN	1.601
SLC9A5	-1.331
EPDR1	-2.4822
MUSK	0.04
ZNF434	0.179833333333333
SMARCD1	-0.0585
ZFP106	-0.75075
ZNF347	0.0507
