Hybridization REF	TCGA-A8-A07J-01A-11R-A00Z-07
PITX1	-0.996
FLJ31033	1.558
CELSR3	-1.90683333333333
ZNF568	-0.69425
ITSN1	0.0571666666666667
EHBP1L1	-0.190666666666667
C19orf2	-0.927
DCTN1	1.3405
LIN28B	-2.71783333333333
TNKS2	-0.3615
C1QBP	-0.348625
CADPS2	2.14925
SRMS	1.51175
GJA9	0.7005
MGC24975	-1.25183333333333
TRIM45	0.173333333333333
TSP50	-1.088
TCP1	-1.712
TMED7	0.2404
CMA1	1.1765
CENPL	-1.238
PTCRA	1.3785
FST	-1.7785
VWCE	-4.11875
PAWR	-0.3945
ABCC12	1.71633333333333
LDLR	-2.3625
ASTN2	2.3592
LOC441212	-1.442625
GPATCH8	-0.04525
TANC2	0.15025
KIF4A	-3.24575
C18orf18	-1.769
PGM1	-0.543
KIAA0258	0.9855
CPD	1.336375
SNCAIP	-0.5885
DCT	-4.3545
HLA-DOA	3.25177272727273
OR11L1	0.342
UPK1B	-0.644166666666667
DNAJB4	-0.2305
UGT1A8	-0.03825
HIST1H4L	-1.8735
PECR	-0.7205
HSPA2	0.4945
WFIKKN1	-0.761
SERP1	1.59275
SYDE2	1.3875
TACR2	0.6915
NUP85	-0.49425
CD177	3.947
LGR5	-2.40916666666667
PIGG	0.124583333333333
PTHR1	-0.0211666666666667
RAB5A	-0.1564
FLJ13224	-0.128
USP9Y	-2.26166666666667
C7orf53	-1.827
LRP1B	2.41125
XAF1	2.5283
ABCG8	-0.458
ANKDD1A	-0.164833333333333
DAND5	-2.4605
SPAG6	0.8785
LINCR	0.1585
ZDHHC22	-1.377
CCDC60	-0.536
THOC7	-2.1345
TCTA	1.0446
OR8K3	0.335
NY-REN-7	-1.428
B2M	2.19083333333333
C6orf141	-0.319125
LPPR4	1.65825
SQLE	-1.95975
SEPHS1	-0.68925
BTBD14B	0.422571428571429
PLRG1	-0.64075
SPG7	0.4618125
ZNF614	-1.25983333333333
PARD6G	0.590166666666667
INPP5B	0.3548
GRPEL2	-0.6555
PPID	-0.868
TRIM56	0.4155
UBE2J1	-0.26075
IL20RA	2.2065
LOC387856	1.60575
C1orf107	-0.0735833333333333
UTS2R	2.134
C19orf22	0.9125
SAFB2	0.1565
KIAA0652	1.20725
KLRG1	0.2905
MS4A8B	-0.0914
FRAG1	0.6095
KIAA1546	-0.1515
E2F4	-0.7076
CLEC4M	0.380833333333333
BTBD14A	-1.20575
KIAA0999	0.9496
GYPA	-4.11433333333333
TAC1	0.3291
TRAIP	-2.37016666666667
KIAA0232	0.5675
ERCC8	-1.59
GPX4	0.75925
KIAA0368	-0.749875
GPR157	-0.749666666666667
CTAGE4	0.9165
C9orf30	-1.35233333333333
OR52A1	-0.293
HSP90B3P	-0.411
ALG9	-0.3577
BTBD10	1.0075
SDK2	0.47375
BAIAP3	-0.0685
RABGGTB	-1.23925
ANKRD40	0.380666666666667
KRT74	0.4585
CALCOCO2	0.606785714285714
SNCA	-2.20425
TMSL8	-6.31025
C2orf53	0.648
ESRRB	-0.5145
ARHGAP26	-1.387
TDRD9	-2.2735
HRAS	-0.268833333333333
KLRC4	-2.1885
JAGN1	-0.623333333333333
BSDC1	0.6345
RNF43	-0.2033
NDUFAF1	0.7335
PHF12	0.19
OR1L3	-0.48875
FOLR2	2.88233333333333
LYZL6	-0.0268333333333333
tcag7.1260	-1.082
WSB1	-1.5155
PROS1	-0.54
OSTN	0.362
PSMB8	0.733
SOCS4	-0.010875
DDIT4L	1.87775
MAS1	0.0015
MGC34796	1.704
CSHL1	0.0318333333333333
TBCCD1	1.1065
ZBTB7C	0.379
AP2S1	-0.348125
P15RS	-0.4126
VAT1	0.5668
SHANK3	1.66466666666667
TUFM	1.20433333333333
THEG	-1.407
KRT34	-2.78966666666667
SGSM3	-0.1065
TOMM22	-0.569625
SOCS3	0.744833333333333
CPO	1.0675
POP4	0.33025
BHLHB3	3.28
MALL	1.53525
OR1B1	0.501
PARK2	0.518166666666667
GPR124	1.66325
LCE1E	-0.0915
RUVBL2	-0.39175
CGRRF1	0.2117
ACPL2	0.926
WNT10B	-1.982625
BAIAP2L2	-2.497375
ISCA1	0.4505
C1orf125	-0.568875
RPAP1	-0.31875
RAI16	-0.5575
RPL27	-1.018125
NLRP9	-0.093
EPN1	1.1715
LOC388610	-1.2515
SLC35A1	-0.0926
GAL	-4.02825
SLC14A2	0.19775
RDH11	-0.75
FAM138F	-0.8115
AUH	-0.19375
FLJ40243	-0.00475000000000003
C14orf129	0.3225
MBD2	-0.440833333333333
ABHD14B	0.553625
PIGT	0.358625
ALS2CR4	-0.760625
ALAS1	0.6394
FOXO1	1.1185
CRLF3	-0.457125
C20orf107	-0.2225
FARS2	0.706
CCDC28A	0.723
NPHP3	-0.82625
OR13F1	0.223
TSEN54	-0.4045
DEFB106B	0.2702
OR8B4	-0.079
STH	1.97475
ZC3H14	-0.24375
CBX2	-0.4155
TMEM49	-0.461
C6orf21	0.334
FLJ20920	1.23
CRTAP	0.381071428571429
DDX50	-0.2445
STYXL1	0.29025
BLVRB	0.268
LOC147650	-1.208
MMP24	-0.026
GRID1	1.32366666666667
BANF1	0.0795
CTAGEP	0.26425
HMBS	-1.93575
SLC25A24	0.215333333333333
C14orf50	0.68375
MRO	1.9785
SLC25A15	-1.528
FAM84B	0.685
TDP1	-1.3005
C16orf78	-0.0313333333333333
C11orf57	-0.74125
RFK	-0.70275
ZFYVE9	-2.37742857142857
STCH	-1.2187
WIBG	0.45075
LOC283871	-0.154833333333333
GBA2	0.1306
NDUFB3	-1.17525
HSD17B13	0.5155
GRIN3A	1.61383333333333
FMNL1	0.657166666666667
SEPT7	-0.2329
GNLY	2.886
GRAMD1C	1.95483333333333
ZNF165	-1.391
USP38	0.49125
FAM83A	-3.19416666666667
C14orf24	0.162833333333333
ARMCX3	1.0785
ARHGDIB	0.588833333333333
AK1	0.24975
KIAA1045	0.3415
DNAJB13	0.197333333333333
NEU2	0.4635
HIST1H4B	-1.30116666666667
FAM20B	-0.5517
HES2	0.405928571428571
FAM73B	0.5665
LOC388381	0.298
INTS7	-0.692909090909091
AMPH	2.73475
ZNF775	0.30875
UCKL1	-0.981
C10orf97	-0.34725
C1orf161	-0.11075
ALDH1L1	2.03025
FLJ39378	-0.08225
SLC23A1	-2.1535
RBM4B	0.2665
THAP4	0.472666666666667
OGFRL1	0.46875
KIAA0831	0.297125
PPP1R15A	0.0201666666666667
C1orf96	-0.827142857142857
C12orf11	-0.96775
BMF	1.623125
MAN1A1	0.265
KIAA1600	0.997166666666667
NLGN4X	-0.6625
ALOX12	-1.47783333333333
RB1CC1	0.0951
NEIL2	0.7667
EIF4E	0.294818181818182
ABHD5	-0.43825
EXOC4	0.8605
CIP29	-0.0618333333333333
BATF2	-0.0215
SLC29A4	-0.297125
HTR4	-0.37925
EMB	0.02025
TRAF6	0.3585
LMNB1	-4.95475
FAM19A5	-0.6335
SHE	2.34625
PIK3C2B	1.543
C15orf15	-0.6809
USP15	-0.1838
TCEAL2	1.17325
C5orf39	-0.804333333333333
PTGER2	2.54025
SLC31A1	-0.309375
IFT172	0.06375
ADAM29	0.53075
GFOD1	-0.24325
ST7L	0.780833333333333
C15orf26	-3.7905
PKN3	-1.00475
CNTD1	2.10116666666667
COMMD1	0.053875
NTRK2	3.6025
FOXN3	0.868875
MFGE8	0.2047
PFKFB2	0.124833333333333
TAS2R4	0.24575
ENTHD1	0.662333333333333
PRMT5	-0.028125
MGC16384	-1.448875
LOC442229	-0.2965
TSKU	0.097375
KRTCAP3	2.684
PDLIM1	0.1041
KCNS2	0.984
RNF126	-0.740833333333333
CEP63	-0.104625
CLIC4	0.19225
hCG_1990170	-1.34075
ACR	0.5602
KLK7	-0.901333333333333
ALOX5AP	4.43625
RIPK3	4.439
TAS2R9	0.341
C19orf18	0.6515
BIRC6	0.204857142857143
ZNF16	1.404
RFT1	-0.71825
SLC8A2	-0.46775
TACC1	1.17625
ITGAD	1.15325
SAMHD1	2.429
SH3PXD2B	1.9476
EPC2	0.9865
C20orf85	0.899875
ATP13A2	0.742666666666667
KRT4	0.501875
CAPNS1	0.683
MDM2	-0.618666666666667
PCDH20	3.6885
KCNK9	0.3175
OR2C1	-0.947
KLHDC3	-0.456166666666667
IPPK	1.586
EFHD2	0.62675
GALR3	1.51475
NBEA	1.65833333333333
ABCA6	3.9982
CLDN3	1.9985
AKT2	0.111857142857143
EGFR	-2.0639
RBM16	-0.361375
ZDHHC3	0.2409
SLC25A4	-0.443333333333333
CYB5B	-0.635166666666667
CPXM1	1.25125
NDRG1	-0.723538461538462
FLJ43826	0.54725
OR5L2	-0.0141666666666667
FARP2	0.7855
MRPL46	-0.415916666666667
LDHAL6B	-0.1435
MAPKAPK3	0.121666666666667
NCAM2	0.95675
PRKD2	1.11216666666667
ZFP36L1	1.1851
CYSLTR1	-0.37475
OR4C3	0.42
HIST1H2AJ	0.667
CCNB2	-3.25511111111111
ZNF10	-1.584125
TMEM175	0.797
FAM134A	1.5155
TIGD4	0.1145
PCNP	0.026
MGC39715	0.216
LQK1	-1.43025
CREB1	0.8471
TMPRSS3	0.99275
C4orf32	1.33575
LAT	-1.218
KCNA3	-0.962
SKIV2L2	-0.448
ROPN1B	-4.27125
tcag7.23	-1.005
CDT1	-3.638375
ZHX2	1.202375
CD28	-1.79975
ZNF624	0.817
SEPT2	0.8795
SOHLH2	-1.915375
MCOLN3	0.35225
UNQ1945	0.7985
MASP2	-1.723
ZNRF3	-1.2791
GPATCH3	0.405
AGL	0.792625
QRICH2	-0.457
PSD4	2.0215
CCNB1IP1	-2.07875
ENPP7	0.4365
OBFC1	0.23925
KCNG3	-2.91775
C14orf79	1.4885
ENPEP	2.05666666666667
SCT	2.4105
SKI	1.226125
SEC61G	-1.918
CAPN11	0.50125
ATXN7L3	0.77375
DBNDD1	-0.2765
FAIM	0.2255
ANKRD36	-2.38
GABRP	-0.115166666666667
TACSTD2	2.99283333333333
EIF3J	-0.8675
PPP2R2A	0.37525
TEKT4	0.192333333333333
PVALB	-4.42933333333333
F10	-1.8955
FAM134C	1.9278
COMP	5.411
EFCBP1	-2.221625
SCLT1	-0.50475
TAL1	-0.5595
ACSL1	2.97525
ABCC5	0.70525
ABL1	-0.330722222222222
RBBP7	0.821166666666667
PTPRG	-0.91
NCOR1	0.5344
SPINK4	-2.99933333333333
TXNRD1	-1.4258
TNRC15	0.241875
C9orf138	0.463875
UBE2H	0.355666666666667
BRDT	2.104
C8orf31	-0.11875
CCNE2	-2.96081818181818
SLC6A8	-2.0375
CALCR	-3.99425
PPP1CB	1.1795
ABHD8	1.407
ARF5	0.4237
SLC24A4	1.21975
CCT3	-0.2755
ZNF121	-0.653125
SLC3A2	-0.2944
OR13A1	0.5445
SLC5A10	-0.39625
RAD50	-0.529
IER5	1.04
MTHFD1L	-2.409
MBTPS2	0.631
MVK	-0.2485
NCL	-0.136
PSMD10	-0.55125
MOBP	0.331285714285714
FLJ32894	0.588
HRH1	-0.691666666666667
C5orf30	-0.634
NUDT16L1	1.4322
RASGRP3	4.409
PRKRIP1	-0.5382
CCDC75	-0.58225
LOC253970	-0.371333333333333
KIAA1239	2.73425
MED21	-1.0235
SYT11	1.16375
NTSR2	-0.2595
EGFL11	0.517
CXorf59	0.6955
OR2A25	-0.301
SPTBN2	-1.181
LRMP	-0.7955
RNF111	0.40375
PTH	0.124
LOC619208	0.257666666666667
KIAA0895	-0.01225
RANBP5	-0.992875
P2RY10	0.750666666666667
NME5	3.91266666666667
DDX21	-1.388
LRSAM1	0.734
HDAC11	1.47183333333333
VMO1	2.22725
NOLA2	-0.6025
ADAR	0.78125
MTO1	-1.928
SF4	0.4535
P2RX1	1.0695
HBM	-0.05625
EN2	1.4855
C14orf172	0.193
TM9SF2	0.6581
INHBE	-1.05183333333333
TCTE3	-0.692333333333333
TOX2	-2.737
CTAGE3	0.021375
HBB	4.5977
MED15	-0.8005
CASR	0.915
C6orf66	-2.40566666666667
MTPN	-0.365125
UNC50	0.05325
C21orf33	0.584375
IRF2	1.065
PGR	1.48583333333333
GPR84	2.354
CROCCL1	-2.94225
SRPX	-0.003
BRE	0.580666666666667
FGF10	1.8825
SDC3	2.03033333333333
ZRSR1	1.05033333333333
DKFZP434P211	0.00787499999999998
SOX6	0.085
RPUSD2	-0.05175
C14orf173	-0.245583333333333
MAPK11	-0.468166666666667
TBC1D22A	0.8275
FAM123A	-1.814
COL4A6	0.645
TOMM70A	-0.067
NAB1	-0.32
MGC16385	-0.210125
TSPAN18	0.717333333333333
MED31	-0.801
PLG	-0.877
CAPSL	2.686
ZNF532	1.4125
ASB14	0.4825
CA8	-3.271
NUDT16P	2.01383333333333
SLFN11	-0.2845
LRRIQ2	-0.03975
NOL7	0.14
BRMS1L	-0.967625
JARID1A	0.233833333333333
PANK2	-0.29825
ICAM3	-0.1175
MDS1	-0.784
TAF8	-0.06325
RNF139	0.645
ZNF594	0.102333333333333
ADAM8	3.0375
SFTPC	-0.12125
MAN2B2	2.218625
RGS12	0.686875
EIF1AY	-5.06558333333333
LRRIQ1	-1.8882
GPR150	2.66475
CCDC21	-0.851
PRRG3	1.4845
SAA4	-4.497
RAPGEF5	0.57375
ZCCHC2	-0.571416666666667
MGC39372	-1.2045
PPP4R2	-0.486166666666667
CDCA2	-2.41283333333333
OR4D5	0.7025
PTGFRN	2.0933
SIGLEC5	2.54933333333333
C19orf61	0.6585
NMUR2	0.0325
KIAA1586	-1.04366666666667
DAGLA	0.9815
CHCHD6	-0.306
GPR32	0.263
NEUROD6	0.0706
SLC2A4RG	0.4926875
CA5B	-0.15625
FBXL3	1.82125
MPHOSPH9	-1.491
HMG2L1	-0.55075
HCN4	1.72383333333333
CEACAM19	-0.55225
SH2D4B	0.716
HFE2	-0.732
TGM4	-0.01325
LYPD2	-0.4325
TBC1D15	0.16225
MRPS21	-0.9105
NONO	-0.8276
CLEC5A	2.93525
ITCH	-0.6091
MGAT3	-0.550666666666667
MBP	0.3625
RPP25	-1.012
SOSTDC1	-3.907
HRC	-1.3915
TRIM48	-0.1245
TMEM133	0.29025
ECEL1P2	-0.811
HOXC11	-0.225
DOK5	0.48625
HELZ	0.402166666666667
LOC348180	-0.7075
MGC33894	0.33475
ADRB3	-0.3855
DMD	0.08125
PTRH2	-1.3015
MPEG1	3.7405
NDUFA12	-0.257
KRTAP2-4	0.3505
STAMBPL1	-0.951833333333333
ADCY2	1.71633333333333
UNQ6125	0.172
KLHL20	0.210833333333333
SRM	-1.4045
OTC	-0.206
TMIE	-0.0508333333333333
SNX8	0.22375
LIPK	0.5375
CHURC1	-0.321083333333333
KLC2	0.305333333333333
HDAC1	-0.209833333333333
FAM128A	-0.0173333333333333
FNDC3B	-0.1758
MTCP1	-0.112833333333333
WFDC10B	-0.0952
PCDHGB3	-0.07
ATRNL1	1.0198
CAV2	0.76375
MED26	0.305666666666667
DUS1L	0.2935
CHRM3	-0.963375
NEK9	2.13925
WARS2	0.244
TBX22	-0.443
TOMM40	-0.82975
RP6-213H19.1	-2.196
TUBGCP5	-0.6985
IGSF6	5.655
TPPP	0.766333333333333
UNQ6190	0.0945
GSTM5	1.195125
BTD	1.5215
PDCD1LG2	0.753166666666667
SNRPB2	-0.884166666666667
ERICH1	-0.66425
APOA4	-1.8965
HOXA11	-0.623
NARG1	-0.931625
MKX	0.2275
RAB28	-0.0265
PKP3	0.77975
SH3GL2	-2.94975
CTSO	3.96275
RPN2	0.153625
IL28RA	0.353833333333333
SFMBT1	-0.6135
WDR57	0.544125
FER1L3	1.80408333333333
HSF5	-0.583333333333333
TTC9B	-0.0485
C4BPA	-4.772
ALB	-4.67807142857143
SORBS3	0.156625
UPF2	-0.222
JPH1	-0.6725
AGBL2	2.09
DOPEY1	0.7155
TERF1	-0.681916666666667
KIF22	-0.288333333333333
NINJ1	1.6705
SEC61A2	-1.60241666666667
HIST1H1D	-0.888833333333333
SFXN4	-0.57825
UCP3	0.0622
ZNF703	0.9965
MYL6B	-0.708
TREM1	2.90325
OR52E6	-0.401
CKMT2	2.65675
HLA-C	2.673875
SLC13A3	-1.90866666666667
TIMP4	1.34625
SLIT2	3.04225
RSF1	0.0923888888888889
LONRF1	-1.00442857142857
MON1A	-0.674
CACNG6	-1.3305
DPPA4	-5.15183333333333
ZSWIM3	0.1875
ZNF804A	1.20083333333333
CCIN	1.945
SLC25A31	-0.136333333333333
KCNMB4	0.58125
RABL5	0.0305
GALNS	-0.1745
STX6	0.572
HIST1H1C	-0.338166666666667
CIDEB	-0.602875
CASP4	0.9795
PDK3	0.4869
KCNJ11	3.077
TPR	-0.44475
ZSCAN20	-0.26
MTX2	-0.3465
HIST1H2BH	1.19975
LOC283767	1.91525
LYRM7	-1.51383333333333
BRD3	0.404666666666667
HIST1H2BO	0.993
MAGEB10	0.526
SLC45A1	2.562
SERPINA3	2.21805
KIAA0143	1.1895
KCNJ16	1.2495
KRT79	-0.1455
FABP2	-1.141
NUT	-0.534
ZNF57	-0.24775
FBXL4	0.03025
CLEC9A	2.3095
UGT8	-1.982
BMP2K	0.06675
MAPK4	-4.2585
SLC25A23	-0.415
HINT1	-1.0946
KRTAP13-1	0.287
SFXN5	1.4305
CHCHD2	-0.2085
FAM3D	1.074
NDP	-3.715125
RHOBTB1	0.230333333333333
SLC4A4	-0.120142857142857
RPL38	-0.543
HTF9C	-0.676333333333333
AP2A2	0.899625
ZBTB46	0.755
MAP7D1	1.3245
AOX1	0.352
CYR61	-0.736
DTNA	-0.902071428571429
JRKL	-0.28775
TMOD3	-0.3315
EEA1	0.0181
ADCK5	-0.61025
IL1R1	1.543
KLK3	1.72828571428571
HRSP12	-1.0825
KTN1	0.07625
LOH11CR2A	1.3244
RELL2	-1.50125
MAB21L1	2.01025
C20orf59	-0.612
PHKB	-0.37425
ADAM2	-2.13583333333333
TBC1D8B	1.10316666666667
FAM13A1	-0.608
LAPTM4B	-0.831916666666667
LCN8	-0.0415
TMEM147	0.4745
SYT4	0.728166666666667
XPO7	-0.59
C9orf62	2.21425
GPR75	-0.0645
TRIM5	1.41375
APOC1	1.01616666666667
RNASE4	0.951
PARD6B	-1.881
ARID1A	0.67975
TPD52L3	0.5844
RRAGB	1.83783333333333
RCN2	-1.2405
HIST2H2BE	0.0465625
STARD7	0.664
SHMT2	-0.30175
KIAA1751	-0.0746666666666666
MLYCD	0.966625
LOC162632	-0.7029
UQCRH	-1.61825
RP11-217H1.1	0.1205
SDHA	0.016
NCLN	0.2225
ZNF17	0.813833333333333
RCBTB2	-0.97
VEGFB	0.843
RP4-747L4.3	-0.56675
COLQ	0.798
MPN2	-0.551833333333333
DRG2	0.18375
KLRB1	5.39175
ALPK2	-1.97925
DNASE2B	3.91175
FLJ23834	1.14283333333333
AXUD1	1.17
SAFB	0.1809
NSUN4	0.15475
RFX2	1.31116666666667
MAPK8IP1	1.09
FANCD2	-1.89242857142857
ANKZF1	-0.737666666666667
C19orf50	-0.021125
DUSP8	0.50325
SENP5	-0.103375
NFKBIL2	-0.78325
LBR	-1.001625
IGFL1	0.81
LZTS2	0.478125
IL2RG	-0.438625
CCDC51	-0.4035
KLF3	0.226
ANKRD37	-2.475
KCTD14	-1.4795
FZR1	0.57525
SLC44A4	3.4243
ESPL1	-1.822125
GMPR2	0.418
TBC1D19	0.0348333333333333
ERGIC1	1.1137037037037
ERBB4	4.4939
TSPAN32	1.37166666666667
MAP4	0.854125
GPHN	-0.82825
SLC6A2	0.43175
HIVEP1	-0.0835
DFFB	-0.5162
EIF4EBP2	0.844625
DMRT1	-0.151333333333333
HSPB6	0.63925
IER2	0.0713333333333333
AIFM1	0.17425
WWC2	-0.302083333333333
MRPL4	-0.1885
FLJ21062	1.725
EPB41L4A	1.07625
SH2D6	-0.08625
TAF4B	-1.01275
GAL3ST3	0.7765
MALT1	-0.994666666666667
RTDR1	-0.642
ARVCF	-0.3685
MEX3B	-0.670166666666667
FBXO16	0.30325
KIF7	0.35575
C1QC	4.25966666666667
ZNF783	-0.648
ZNF85	-0.602
MMP13	4.573
KIAA0329	0.687
RTP3	-1.042
ZBED3	-0.22425
CLGN	0.90125
SLC25A37	-1.3675
hCG_18290	-0.806
OR5AS1	0.73
SMARCC2	1.23833333333333
FAM109A	0.526
CCDC12	-0.55675
USF2	1.0213
DEPDC7	-1.9085
C20orf24	-0.606833333333333
JMJD3	1.0135
DSP	0.562785714285714
SLIC1	0.971875
FAM20A	2.185375
IRF2BP2	0.24575
ZNF230	-0.093
MSN	0.532357142857143
SLC9A5	-2.2075
EPDR1	-0.3637
MUSK	0.211833333333333
ZNF434	0.880833333333333
SMARCD1	0.0925
ZFP106	-0.2455
ZNF347	-0.7214
GTF2E1	0.40675
