Hybridization REF	TCGA-C8-A12O-01A-11R-A115-07
ASNSD1	-0.21275
FUT4	0.217375
ACF	-2.98
LOC158381	1.029
CDH8	0.6475
AGPS	-0.570833333333333
C4orf18	2.61625
PECI	0.104666666666667
UNG	-0.132125
GSTP1	-1.55225
DCUN1D5	-0.721166666666667
DKFZP564J0863	-0.677
SLC9A3R1	1.485375
BCDO2	-0.762375
CHMP7	-0.484625
REM2	0.2345
DNHD1	-0.050125
FKBP4	0.064375
ZNF350	0.7835
MGC11102	0.44575
BST1	2.5185
KISS1R	1.1955
NCR2	-0.021
DEFB125	-0.362
UBE2W	0.509
KRT15	2.03875
C10orf99	0.214
SCN11A	0.27525
GFI1	-1.792
RDHE2	3.26066666666667
FHL1	-0.755833333333333
OSGEP	0.484833333333333
GATA1	-3.36016666666667
SMC6	-1.245
TTTY14	-1.24175
LPIN3	-0.063
RPL4	-0.0317
RBPMS	0.6431
PRPF3	-0.903666666666667
EMR1	-1.205
SPATA19	0.623
XCR1	0.818
IRX3	2.1373
RBM6	-1.0965
KLF4	-0.2271
UNC5CL	-0.991
SEBOX	0.563
BTK	-0.24975
KRCC1	0.24025
C6orf27	0.329
SYTL5	-0.674
PRND	3.388125
LOC653319	-0.7485
PIGL	-0.793625
HUS1	-0.0135
SFRS6	-0.0474166666666666
C17orf77	1.0205
UIMC1	-0.539833333333333
FXYD2	-1.2482
LOC283152	0.30975
ZNF667	-1.85875
ZCCHC12	-0.6285
TFEC	3.8534
ATP7B	-0.593666666666667
POLD2	-0.541666666666667
RG9MTD1	-1.08975
ACOT2	0.229833333333333
HIST1H4I	-0.871125
PPARGC1A	-2.1257
ETFA	-0.4715
POLRMT	-0.48375
ZNF146	-0.13525
MIA2	-3.6405
KLHL6	0.204666666666667
HOXB5	0.435375
NENF	1.02033333333333
CUGBP1	-0.09275
PRSS22	1.855
CASC4	1.7694
CUL4B	-0.0486
CENPJ	-1.8898
PITX1	1.71933333333333
FLJ31033	1.153
CELSR3	0.555
ZNF568	0.041
ITSN1	-0.901666666666667
EHBP1L1	-0.844333333333333
C19orf2	-1.01575
DCTN1	0.20325
LIN28B	-3.762
TNKS2	-1.07925
C1QBP	-1.253875
CADPS2	1.417
SRMS	0.1385
GJA9	0.3545
MGC24975	-0.172333333333333
TRIM45	-1.901
TSP50	0.25875
TCP1	-1.264
TMED7	0.6812
CMA1	0.7075
CENPL	-1.6075
PTCRA	0.1705
FST	-3.243
VWCE	-3.515
PAWR	0.61175
ABCC12	2.34833333333333
LDLR	-1.1174
ASTN2	0.0788
LOC441212	-0.880375
GPATCH8	0.038
TANC2	-0.612083333333333
KIF4A	-1.3265
C18orf18	-1.527
PGM1	-0.32025
KIAA0258	0.13475
CPD	1.195875
SNCAIP	-0.81825
DCT	-3.82633333333333
HLA-DOA	2.62290909090909
OR11L1	0.735
UPK1B	-0.226666666666667
DNAJB4	0.53825
UGT1A8	-0.162
HIST1H4L	-2.2865
PECR	-0.999666666666667
HSPA2	1.11175
WFIKKN1	-1.1565
SERP1	1.041875
SYDE2	1.09225
TACR2	0.075
NUP85	-0.34275
CD177	0.102833333333333
LGR5	-1.375
PIGG	0.0410833333333334
PTHR1	-0.558833333333333
RAB5A	0.6148
FLJ13224	-0.0235
USP9Y	-1.58266666666667
C7orf53	-0.5805
LRP1B	-1.129
XAF1	2.1362
ABCG8	-0.7075
ANKDD1A	-0.246833333333333
DAND5	-2.461
SPAG6	0.5765
LINCR	1.36875
ZDHHC22	-1.022125
CCDC60	-0.432
THOC7	-1.06583333333333
TCTA	1.2727
OR8K3	0.44875
NY-REN-7	-0.6585
B2M	1.71216666666667
C6orf141	-1.406875
LPPR4	1.5895
SQLE	0.66125
SEPHS1	-0.5135
BTBD14B	0.478428571428571
PLRG1	-0.36075
SPG7	-0.6988125
ZNF614	-0.747666666666667
PARD6G	0.986666666666667
INPP5B	-1.123
GRPEL2	-0.016875
PPID	-0.7259
TRIM56	-0.74875
UBE2J1	0.3045
IL20RA	4.58775
LOC387856	0.6115
C1orf107	0.959083333333334
UTS2R	0.93925
C19orf22	0.0635
SAFB2	-0.64975
KIAA0652	0.20575
KLRG1	-0.298833333333333
MS4A8B	0.242833333333333
FRAG1	1.001
KIAA1546	-0.707
E2F4	-0.8395
CLEC4M	0.0583333333333333
BTBD14A	-0.4785
KIAA0999	-0.2054
GYPA	-3.80566666666667
TAC1	0.7768
TRAIP	-0.621
KIAA0232	0.4642
ERCC8	-1.627625
GPX4	0.403125
KIAA0368	-0.8675
GPR157	-0.787333333333333
CTAGE4	0.972
C9orf30	-1.18083333333333
OR52A1	0.242
HSP90B3P	-0.197
ALG9	-0.2521
BTBD10	0.96975
SDK2	-0.11525
BAIAP3	-0.16425
RABGGTB	-1.0045
ANKRD40	-0.267833333333333
KRT74	0.3055
CALCOCO2	0.342142857142857
SNCA	-2.7965
TMSL8	-2.81075
C2orf53	0.2365
ESRRB	-0.26025
ARHGAP26	-0.11325
TDRD9	-2.184
HRAS	0.111166666666667
KLRC4	-0.9455
JAGN1	-0.0318333333333333
BSDC1	0.1175
RNF43	-0.794
NDUFAF1	0.191
PHF12	0.3215
OR1L3	0.55175
FOLR2	0.872833333333333
LYZL6	0.155166666666667
tcag7.1260	-0.889
WSB1	-1.05083333333333
PROS1	-0.4405
OSTN	0.754
PSMB8	1.12
SOCS4	0.0375
DDIT4L	0.953
MAS1	-0.1855
MGC34796	1.69675
CSHL1	0.203
TBCCD1	-0.037
ZBTB7C	0.0635
AP2S1	0.433625
P15RS	-0.1917
VAT1	-0.5538
SHANK3	1.3435
TUFM	0.1095
THEG	0.55925
KRT34	-0.876
SGSM3	1.416125
TOMM22	0.028375
SOCS3	0.38
CPO	0.492
POP4	0.1765
BHLHB3	1.09175
MALL	1.0395
OR1B1	0.421
PARK2	0.194
GPR124	1.076875
LCE1E	-0.79
RUVBL2	-0.585
CGRRF1	0.8357
ACPL2	0.6315
WNT10B	-1.897875
BAIAP2L2	-1.643625
ISCA1	-0.0255
C1orf125	-0.147
RPAP1	0.03525
RAI16	-0.2845
RPL27	-0.13325
NLRP9	0.3035
EPN1	0.871
LOC388610	-0.730125
SLC35A1	0.9343
GAL	-1.8055
SLC14A2	0.35525
RDH11	-0.188666666666667
FAM138F	0.6965
AUH	-0.821
FLJ40243	0.46475
C14orf129	0.718833333333333
MBD2	-0.4335
ABHD14B	1.038375
PIGT	0.862875
ALS2CR4	-0.474125
ALAS1	-0.0189
FOXO1	0.9545
CRLF3	-0.080625
C20orf107	0.4635
FARS2	0.10025
CCDC28A	-0.39875
NPHP3	-1.4305
OR13F1	0.3415
TSEN54	-0.31525
DEFB106B	0.3161
OR8B4	0.3705
STH	0.79125
ZC3H14	-0.5125
CBX2	-1.533
TMEM49	-0.44325
C6orf21	0.839
FLJ20920	0.49225
CRTAP	0.185
DDX50	-0.000750000000000001
STYXL1	0.358
BLVRB	0.234
LOC147650	-0.1735
MMP24	0.20025
GRID1	2.36366666666667
BANF1	-0.312666666666667
CTAGEP	0.827
HMBS	-0.81775
SLC25A24	0.8995
C14orf50	-0.044
MRO	1.8255
SLC25A15	-1.23525
FAM84B	2.176
TDP1	-0.279
C16orf78	-0.0286666666666666
C11orf57	-0.994625
RFK	-1.167625
ZFYVE9	-0.9535
STCH	-0.8928
WIBG	0.562
LOC283871	0.851833333333333
GBA2	-0.8803
NDUFB3	0.26975
HSD17B13	-0.744
GRIN3A	1.11233333333333
FMNL1	-0.109
SEPT7	-0.875
GNLY	4.161
GRAMD1C	0.489833333333333
ZNF165	-0.16925
USP38	1.28175
FAM83A	-2.7935
C14orf24	0.399416666666667
ARMCX3	1.284375
ARHGDIB	0.489
AK1	-0.161125
KIAA1045	0.15475
DNAJB13	-0.0871666666666667
NEU2	1.191
HIST1H4B	-1.43833333333333
FAM20B	-0.4961
HES2	1.78164285714286
FAM73B	-0.5512
LOC388381	-0.752
INTS7	-0.675272727272727
AMPH	1.53475
ZNF775	0.071375
UCKL1	-0.723
C10orf97	0.345
C1orf161	0.1895
ALDH1L1	-1.2795
FLJ39378	0.045875
SLC23A1	-0.6795
RBM4B	0.0925
THAP4	0.0811666666666667
OGFRL1	1.56625
KIAA0831	-0.2795
PPP1R15A	-0.423666666666667
C1orf96	-0.246214285714286
C12orf11	-1.37675
BMF	0.384375
MAN1A1	-0.147625
KIAA1600	0.06
NLGN4X	-0.70725
ALOX12	-0.931
RB1CC1	-0.4754
NEIL2	0.5168
EIF4E	-0.196636363636364
ABHD5	0.6715
EXOC4	-0.556833333333333
CIP29	-0.238833333333333
BATF2	1.35425
SLC29A4	-0.552
HTR4	0.4945
EMB	-1.359
TRAF6	0.9405
LMNB1	-2.70975
FAM19A5	0.4955
SHE	1.45925
PIK3C2B	0.46825
C15orf15	-0.8835
USP15	-0.0308
TCEAL2	0.838
C5orf39	-0.769166666666667
PTGER2	-0.6295
SLC31A1	-0.798125
IFT172	0.17525
ADAM29	0.417
GFOD1	-0.586
ST7L	0.180166666666667
C15orf26	-2.8035
PKN3	-1.14925
CNTD1	1.33333333333333
COMMD1	0.151375
NTRK2	1.85616666666667
FOXN3	0.325875
MFGE8	0.8239
PFKFB2	0.688
TAS2R4	-0.7095
ENTHD1	1.858
PRMT5	-0.668
MGC16384	-1.4535
LOC442229	-0.5795
TSKU	0.934125
KRTCAP3	2.95225
PDLIM1	0.5561
KCNS2	0.45925
RNF126	-0.234833333333333
CEP63	-0.85575
CLIC4	0.169125
hCG_1990170	-0.48325
ACR	0.5144
KLK7	1.81525
ALOX5AP	3.984125
RIPK3	2.703
TAS2R9	0.0975
C19orf18	-0.384
BIRC6	-0.196714285714286
ZNF16	0.648
RFT1	-0.06475
SLC8A2	-0.61975
TACC1	0.2245
ITGAD	1.39575
SAMHD1	1.362
SH3PXD2B	1.2364
EPC2	0.37625
C20orf85	0.254875
ATP13A2	0.8965
KRT4	0.607125
CAPNS1	0.261
MDM2	-0.315916666666667
PCDH20	0.929
KCNK9	0.715
OR2C1	0.0465
KLHDC3	-0.673333333333333
IPPK	-0.2105
EFHD2	-0.411875
GALR3	1.15725
NBEA	-0.4535
ABCA6	3.0248
CLDN3	2.15633333333333
AKT2	-0.687285714285714
EGFR	-0.3273
RBM16	-0.101
ZDHHC3	0.4074
SLC25A4	-0.704333333333333
CYB5B	-0.7505
CPXM1	0.53625
NDRG1	-0.273153846153846
FLJ43826	0.10375
OR5L2	0.189166666666667
FARP2	0.2637
MRPL46	-0.24325
LDHAL6B	0.177166666666667
MAPKAPK3	0.3675
NCAM2	-0.88975
PRKD2	-0.208666666666667
ZFP36L1	1.2672
CYSLTR1	-0.71475
OR4C3	0.21325
HIST1H2AJ	1.996
CCNB2	-1.43222222222222
ZNF10	-0.607
TMEM175	0.468
FAM134A	0.522833333333333
TIGD4	-0.0225
PCNP	-0.8445
MGC39715	0.75775
LQK1	-0.43725
CREB1	0.4123
TMPRSS3	0.0825
C4orf32	0.98225
LAT	-1.07516666666667
KCNA3	-0.1805
SKIV2L2	-1.92375
ROPN1B	-2.98425
tcag7.23	-0.558
CDT1	-2.351625
ZHX2	1.434625
CD28	-1.8005
ZNF624	0.4535
SEPT2	0.395
SOHLH2	-1.80575
MCOLN3	0.12
UNQ1945	0.4925
MASP2	-0.7135
ZNRF3	0.7286
GPATCH3	-0.26425
AGL	3.125375
QRICH2	0.0465
PSD4	0.850666666666667
CCNB1IP1	-1.95
ENPP7	0.703
OBFC1	0.888
KCNG3	-1.6905
C14orf79	0.161833333333333
ENPEP	2.274
SCT	0.872
SKI	0.1725
SEC61G	-1.1765
CAPN11	-0.0395
ATXN7L3	-0.198
DBNDD1	0.489166666666667
FAIM	0.16175
ANKRD36	-1.8755
GABRP	1.80366666666667
TACSTD2	1.14233333333333
EIF3J	0.27575
PPP2R2A	-0.97775
TEKT4	-1.73966666666667
PVALB	-3.2435
F10	-2.14833333333333
FAM134C	0.381
COMP	4.11125
EFCBP1	-2.686875
SCLT1	-1.256625
TAL1	-1.1538
ACSL1	1.7825
ABCC5	0.04375
ABL1	-0.7565
RBBP7	0.0494166666666667
PTPRG	-0.80475
NCOR1	-0.576
SPINK4	-0.989333333333333
TXNRD1	0.0459
TNRC15	-0.461125
C9orf138	0.0735
UBE2H	0.354166666666667
BRDT	0.3018
C8orf31	-0.0775
CCNE2	-0.623363636363636
SLC6A8	-0.662875
CALCR	-3.65275
PPP1CB	0.628666666666667
ABHD8	-0.07725
ARF5	-0.0946
SLC24A4	1.058
CCT3	-0.44975
ZNF121	-0.46275
SLC3A2	-0.9899
OR13A1	0.3555
SLC5A10	-0.4325
RAD50	-0.699375
IER5	0.279375
MTHFD1L	-1.39825
MBTPS2	1.031
MVK	0.035625
NCL	0.3815
PSMD10	0.037
MOBP	0.439714285714286
FLJ32894	0.5635
HRH1	-0.0571666666666666
C5orf30	0.623
NUDT16L1	0.6163
RASGRP3	3.7155
PRKRIP1	-0.7316
CCDC75	-1.38475
LOC253970	-1.065
KIAA1239	0.3665
MED21	0.0365
SYT11	0.878166666666667
NTSR2	0.0525
EGFL11	0.848
CXorf59	0.8975
OR2A25	0.22525
SPTBN2	-0.51
LRMP	-1.05
RNF111	0.46075
PTH	0.3985
LOC619208	0.625833333333333
KIAA0895	0.8445
RANBP5	-1.279875
P2RY10	1.10083333333333
NME5	3.25883333333333
DDX21	0.045
LRSAM1	0.1025
HDAC11	1.17833333333333
VMO1	2.38375
NOLA2	-0.214666666666667
ADAR	1.05383333333333
MTO1	-0.861166666666667
SF4	-0.563666666666667
P2RX1	0.214833333333333
HBM	0.61475
EN2	0.694
C14orf172	0.48625
TM9SF2	0.2586
INHBE	-1.068
TCTE3	-0.0108333333333333
TOX2	-2.49375
CTAGE3	0.12075
HBB	2.9553
MED15	-0.136833333333333
CASR	0.6825
C6orf66	-0.860833333333333
MTPN	-1.3745
UNC50	-0.09725
C21orf33	1.13025
IRF2	0.845375
PGR	2.11016666666667
GPR84	2.795
CROCCL1	-2.54175
SRPX	-0.48875
BRE	0.657333333333333
FGF10	1.94775
SDC3	0.013
ZRSR1	0.137333333333333
DKFZP434P211	-0.736875
SOX6	0.0215
RPUSD2	0.165
C14orf173	-0.0834166666666667
MAPK11	0.0405
TBC1D22A	0.6775
FAM123A	-0.68
COL4A6	-2.1495
TOMM70A	-0.57825
NAB1	-0.057125
MGC16385	-0.677125
TSPAN18	-0.6005
MED31	-0.73275
PLG	-0.28275
CAPSL	1.753
ZNF532	1.2975
ASB14	-0.1755
CA8	1.08075
NUDT16P	1.84683333333333
SLFN11	0.207
LRRIQ2	-1.264
NOL7	-0.545166666666667
BRMS1L	-0.573
JARID1A	-0.0508333333333333
PANK2	-0.185
ICAM3	-0.399
MDS1	-0.32975
TAF8	-1.14275
RNF139	1.27575
ZNF594	-0.789
ADAM8	3.06075
SFTPC	-0.02
MAN2B2	1.03875
RGS12	-0.2281875
EIF1AY	-4.44341666666667
LRRIQ1	-1.968
GPR150	1.07025
CCDC21	-1.35533333333333
PRRG3	0.461
SAA4	-3.46825
RAPGEF5	2.141125
ZCCHC2	0.448583333333333
MGC39372	1.4955
PPP4R2	0.4895
CDCA2	-2.62716666666667
OR4D5	0.369
PTGFRN	1.3547
SIGLEC5	2.55833333333333
C19orf61	-0.000666666666666667
NMUR2	0.231
KIAA1586	-1.84483333333333
DAGLA	1.33633333333333
CHCHD6	-0.6795
GPR32	0.8595
NEUROD6	0.1685
SLC2A4RG	0.0248125
CA5B	0.3945
FBXL3	1.2305
MPHOSPH9	-1.0075
HMG2L1	0.62325
HCN4	0.669833333333333
CEACAM19	0.10625
SH2D4B	0.675333333333333
HFE2	-0.8185
TGM4	-0.0166666666666667
LYPD2	0.37225
TBC1D15	0.5665
MRPS21	-0.6329
NONO	-0.9337
CLEC5A	3.3995
ITCH	0.124
MGAT3	0.9335
MBP	-0.3265
RPP25	-0.114
SOSTDC1	0.576
HRC	-1.201
TRIM48	0.3095
TMEM133	1.01
ECEL1P2	-1.2625
HOXC11	1.111
DOK5	0.90425
HELZ	0.4215
LOC348180	-0.69825
MGC33894	0.397
ADRB3	0.1385
DMD	-0.34125
PTRH2	-0.08975
MPEG1	2.62683333333333
NDUFA12	0.199
KRTAP2-4	0.62625
STAMBPL1	-0.6525
ADCY2	1.10866666666667
UNQ6125	0.53
KLHL20	-0.417333333333333
SRM	-0.39
OTC	0.0635
TMIE	0.380333333333333
SNX8	-0.1875
LIPK	0.244
CHURC1	-0.477416666666667
KLC2	0.441833333333333
HDAC1	-0.698166666666667
FAM128A	0.645
FNDC3B	0.9748
MTCP1	-0.0555
WFDC10B	0.0178
PCDHGB3	-0.1515
ATRNL1	-2.5097
CAV2	-0.143125
MED26	-0.084
DUS1L	0.483
CHRM3	-2.465
NEK9	0.2
WARS2	-0.383
TBX22	-0.174
TOMM40	-0.62175
RP6-213H19.1	-0.278833333333333
TUBGCP5	-0.2005
IGSF6	4.5925
TPPP	0.537333333333333
UNQ6190	0.7075
GSTM5	-0.26275
BTD	0.899
PDCD1LG2	0.935166666666667
SNRPB2	-0.328833333333333
ERICH1	-0.5455
APOA4	-1.332125
HOXA11	-1.60475
NARG1	0.314375
MKX	-0.87125
RAB28	-0.0655714285714286
PKP3	2.13325
SH3GL2	-0.63575
CTSO	3.14825
RPN2	0.907625
IL28RA	0.342833333333333
SFMBT1	0.8055
WDR57	-0.39125
FER1L3	1.25408333333333
HSF5	0.0486666666666667
TTC9B	0.36425
C4BPA	-1.93
ALB	-4.15592857142857
SORBS3	1.00025
UPF2	0.546
JPH1	0.245
AGBL2	-0.58725
DOPEY1	1.081
TERF1	-0.0361666666666667
KIF22	-0.727166666666667
NINJ1	0.6225
SEC61A2	-0.26425
HIST1H1D	-1.60916666666667
SFXN4	-0.192
UCP3	-0.2494
ZNF703	1.6895
MYL6B	-0.57325
TREM1	2.90475
OR52E6	0.4315
CKMT2	1.529
HLA-C	1.91075
SLC13A3	-1.54566666666667
TIMP4	-2.4325
SLIT2	1.8785
RSF1	-0.692166666666667
LONRF1	-0.700928571428571
MON1A	1.17933333333333
CACNG6	-1.36233333333333
DPPA4	-4.95516666666667
ZSWIM3	0.40675
ZNF804A	0.3095
CCIN	2.081
SLC25A31	-0.055
KCNMB4	0.21075
RABL5	0.776875
GALNS	-0.0294
STX6	-0.721
HIST1H1C	-1.15616666666667
CIDEB	0.206125
CASP4	-0.5
PDK3	0.2354
KCNJ11	1.964
TPR	-1.0565
ZSCAN20	-0.2435
MTX2	-0.59075
HIST1H2BH	-0.202
LOC283767	0.37425
LYRM7	-1.47344444444444
BRD3	-1.34683333333333
HIST1H2BO	-0.56
MAGEB10	0.4445
SLC45A1	0.62825
SERPINA3	3.7444
KIAA0143	1.83225
KCNJ16	0.372333333333333
KRT79	0.08025
FABP2	-1.00925
NUT	-0.18825
ZNF57	-0.27425
FBXL4	-0.031
CLEC9A	1.27
UGT8	-0.9845
BMP2K	0.57825
MAPK4	-2.56425
SLC25A23	0.1525
HINT1	-0.2212
KRTAP13-1	0.1955
SFXN5	-0.416
CHCHD2	0.254333333333333
FAM3D	0.9075
NDP	-2.79725
RHOBTB1	-0.504
SLC4A4	-1.2355
RPL38	0.02
HTF9C	0.0415
AP2A2	0.8255
ZBTB46	-1.581
MAP7D1	0.472375
AOX1	-1.21083333333333
CYR61	0.871666666666667
DTNA	-0.324857142857143
JRKL	-0.398
TMOD3	0.07125
EEA1	0.9712
ADCK5	0.75775
IL1R1	1.91283333333333
KLK3	0.484285714285714
HRSP12	0.298
KTN1	0.74525
LOH11CR2A	0.9724
RELL2	0.59525
MAB21L1	1.44575
C20orf59	-0.447166666666667
PHKB	0.42725
ADAM2	-2.11183333333333
TBC1D8B	2.005
FAM13A1	-1.57175
LAPTM4B	0.998
LCN8	0.21
TMEM147	0.397
SYT4	-0.572
XPO7	-0.8755
C9orf62	1.48825
GPR75	0.259
TRIM5	-0.47175
APOC1	0.491166666666667
RNASE4	2.049
PARD6B	-1.14375
ARID1A	-0.150583333333333
TPD52L3	-0.4541
RRAGB	0.583333333333333
RCN2	-0.404166666666667
HIST2H2BE	-0.047125
STARD7	-0.573
SHMT2	-0.75925
KIAA1751	0.284166666666667
MLYCD	0.3745
LOC162632	-1.0656
UQCRH	-1.1735
RP11-217H1.1	0.755
SDHA	0.0453333333333333
NCLN	0.0878
ZNF17	-0.0725
RCBTB2	-0.97625
VEGFB	-0.6773
RP4-747L4.3	1.62675
COLQ	0.13
MPN2	-0.582666666666667
DRG2	-0.21425
KLRB1	3.595
ALPK2	-1.62
DNASE2B	1.108
FLJ23834	-0.661333333333333
AXUD1	0.9365
SAFB	-0.8484
NSUN4	-0.409
RFX2	0.514833333333333
MAPK8IP1	0.8205
FANCD2	-0.0816428571428571
ANKZF1	-1.70516666666667
C19orf50	-0.091125
DUSP8	0.732
SENP5	-0.62325
NFKBIL2	-0.4005
LBR	-1.33475
IGFL1	0.43
LZTS2	0.3305
IL2RG	0.251375
CCDC51	0.577
KLF3	0.540625
ANKRD37	-0.9135
KCTD14	-1.54666666666667
FZR1	0.00900000000000001
SLC44A4	2.2967
ESPL1	-0.51475
GMPR2	-0.3005
TBC1D19	-0.3375
ERGIC1	0.711222222222222
ERBB4	0.191
TSPAN32	0.571333333333333
MAP4	-0.005625
GPHN	0.06475
SLC6A2	0.10075
HIVEP1	0.719
DFFB	-0.4536
EIF4EBP2	0.82825
DMRT1	0.27975
HSPB6	0.01425
IER2	-0.559666666666667
AIFM1	0.5715
WWC2	0.375416666666667
MRPL4	-0.27325
FLJ21062	-0.23
EPB41L4A	1.13375
SH2D6	0.359
TAF4B	-1.2405
GAL3ST3	-0.0515
MALT1	-0.438333333333333
RTDR1	0.7675
ARVCF	0.581375
MEX3B	-0.00466666666666667
FBXO16	1.6015
KIF7	-1.34175
C1QC	3.546
ZNF783	-0.482666666666667
ZNF85	-0.95125
MMP13	5.2545
KIAA0329	0.436375
RTP3	-0.7515
ZBED3	-0.53325
CLGN	-1.988
SLC25A37	-1.62391666666667
hCG_18290	0.178
OR5AS1	0.0755
SMARCC2	0.300083333333333
FAM109A	0.103333333333333
CCDC12	-0.19175
USF2	0.1083
DEPDC7	-1.3225
C20orf24	0.276166666666667
JMJD3	-0.3655
DSP	1.01878571428571
SLIC1	0.587
FAM20A	1.253625
IRF2BP2	0.145375
ZNF230	-0.5395
MSN	-0.2045
SLC9A5	-0.963
EPDR1	-0.1886
MUSK	0.437
ZNF434	0.196
SMARCD1	-0.7215
ZFP106	-0.13525
ZNF347	-0.802
