Hybridization REF	TCGA-BH-A0W4-01A-11R-A109-07
SYDE2	1.26775
TACR2	0.412
NUP85	-0.5425
CD177	-0.702833333333333
LGR5	-2.084
PIGG	-0.0245
PTHR1	-0.819
RAB5A	0.076
FLJ13224	-0.27
USP9Y	-1.76316666666667
C7orf53	-0.667
LRP1B	-0.32275
XAF1	1.001
ABCG8	-0.418
ANKDD1A	-0.614
DAND5	-1.989
SPAG6	0.175666666666667
LINCR	-1.113
ZDHHC22	-1.60375
CCDC60	0.2265
THOC7	-1.21816666666667
TCTA	0.9509
OR8K3	0.3505
NY-REN-7	-0.6495
B2M	0.733333333333333
C6orf141	-0.64975
LPPR4	2.19
SQLE	-1.834
SEPHS1	-0.55475
BTBD14B	0.618785714285715
PLRG1	-0.13425
SPG7	-0.8565625
ZNF614	0.192666666666667
PARD6G	1.543
INPP5B	-1.1014
GRPEL2	-0.477125
PPID	-0.6828
TRIM56	-0.23
UBE2J1	-0.54125
IL20RA	4.39225
LOC387856	0.59
C1orf107	0.0101666666666666
UTS2R	0.88875
C19orf22	-0.4285
SAFB2	-0.344625
KIAA0652	-0.00475
KLRG1	-0.9425
MS4A8B	2.14966666666667
FRAG1	0.46925
KIAA1546	0.708
E2F4	-1.5697
CLEC4M	0.09
BTBD14A	-0.44125
KIAA0999	1.6127
GYPA	-3.29983333333333
TAC1	1.8131
TRAIP	-1.1225
KIAA0232	1.0227
ERCC8	-0.68725
GPX4	0.86075
KIAA0368	-0.285375
GPR157	-0.549333333333333
CTAGE4	0.959
C9orf30	-1.19133333333333
OR52A1	-0.0125
HSP90B3P	-0.459
ALG9	-0.3252
BTBD10	0.728
SDK2	-0.03325
BAIAP3	-0.7165
RABGGTB	-0.93075
ANKRD40	-0.406333333333333
KRT74	0.1335
CALCOCO2	-0.245
SNCA	-3.93425
TMSL8	-3.4175
C2orf53	0.0495
ESRRB	-0.73525
ARHGAP26	-1.7555
TDRD9	-2.059
HRAS	0.00566666666666666
KLRC4	-2.9865
JAGN1	-0.469333333333333
BSDC1	0.23275
RNF43	0.3695
NDUFAF1	0.03325
PHF12	0.18875
OR1L3	0.3575
FOLR2	1.39291666666667
LYZL6	0.0391666666666667
tcag7.1260	-2.1315
WSB1	-1.7465
PROS1	-0.193
OSTN	0.414
PSMB8	0.32275
SOCS4	0.038125
DDIT4L	1.12525
MAS1	0.2695
MGC34796	1.3355
CSHL1	0.177166666666667
TBCCD1	0.2775
ZBTB7C	0.0345
AP2S1	-0.13225
P15RS	0.1254
VAT1	-0.5927
SHANK3	1.13633333333333
TUFM	-0.5125
THEG	-0.2285
KRT34	-2.08275
SGSM3	0.0555
TOMM22	-0.6795
SOCS3	1.66983333333333
CPO	0.8865
POP4	0.107
BHLHB3	2.417
MALL	0.86875
OR1B1	0.1805
PARK2	0.881666666666667
GPR124	-0.141625
LCE1E	-0.1075
RUVBL2	-0.336
CGRRF1	0.6582
ACPL2	0.86225
WNT10B	-2.41225
BAIAP2L2	-2.298125
ISCA1	0.4015
C1orf125	0.60475
RPAP1	-0.99125
RAI16	-0.218
RPL27	-0.07
NLRP9	-0.141
EPN1	0.1485
LOC388610	-1.082875
SLC35A1	1.1612
GAL	-2.13625
SLC14A2	0.07
RDH11	-0.217666666666667
FAM138F	-0.266
AUH	0.383
FLJ40243	0.286
C14orf129	0.763833333333333
MBD2	0.149833333333333
ABHD14B	-0.119375
PIGT	0.320625
ALS2CR4	0.08075
ALAS1	-0.1239
FOXO1	1.715
CRLF3	-0.770875
C20orf107	-0.116
FARS2	0.77875
CCDC28A	0.87975
NPHP3	-0.04675
OR13F1	0.008
TSEN54	-0.6965
DEFB106B	0.0876
OR8B4	0.2195
STH	2.366
ZC3H14	-0.402
CBX2	-0.0445
TMEM49	-0.37625
C6orf21	0.3575
FLJ20920	0.93925
CRTAP	0.177785714285714
DDX50	-0.13925
STYXL1	0.0495
BLVRB	-0.269833333333333
LOC147650	0.525333333333333
MMP24	0.2065
GRID1	1.807
BANF1	-0.645
CTAGEP	0.33625
HMBS	-1.60325
SLC25A24	0.485166666666667
C14orf50	1.823
MRO	-0.132
SLC25A15	0.15525
FAM84B	1.1002
TDP1	-0.6965
C16orf78	0.017
C11orf57	-0.343
RFK	-0.68775
ZFYVE9	-0.88075
STCH	-0.153
WIBG	0.413
LOC283871	-0.539666666666667
GBA2	-0.1814
NDUFB3	-0.0135
HSD17B13	-0.4745
GRIN3A	0.243166666666667
FMNL1	-1.32833333333333
SEPT7	-0.6264
GNLY	1.539
GRAMD1C	1.14283333333333
ZNF165	0.23025
USP38	0.5665
FAM83A	-3.66333333333333
C14orf24	0.399833333333333
ARMCX3	1.21975
ARHGDIB	0.636166666666667
AK1	0.098
KIAA1045	0.1275
DNAJB13	-0.634
NEU2	0.274
HIST1H4B	-1.14333333333333
FAM20B	-0.4874
HES2	1.71471428571429
FAM73B	-0.3568
LOC388381	0.604
INTS7	-0.800545454545454
AMPH	2.594
ZNF775	0.094625
UCKL1	-0.7405
C10orf97	0.341
C1orf161	-0.29125
ALDH1L1	0.15525
FLJ39378	-0.046
SLC23A1	-1.9815
RBM4B	-0.3685
THAP4	0.011
OGFRL1	0.5765
KIAA0831	0.48225
PPP1R15A	0.198333333333333
C1orf96	-0.6795
C12orf11	-2.044
BMF	0.937375
MAN1A1	-0.575125
KIAA1600	0.709666666666667
NLGN4X	0.2815
ALOX12	-1.23133333333333
RB1CC1	-0.1756
NEIL2	0.9166
EIF4E	0.182954545454545
ABHD5	-0.20775
EXOC4	0.067
CIP29	-0.236833333333333
BATF2	-1.61075
SLC29A4	-0.32275
HTR4	0.2685
EMB	-0.06425
TRAF6	0.28725
LMNB1	-2.162
FAM19A5	-0.328375
SHE	1.36575
PIK3C2B	0.89925
C15orf15	-0.5125
USP15	-0.00610000000000001
TCEAL2	1.6445
C5orf39	-1.24816666666667
PTGER2	0.524
SLC31A1	-0.4878125
IFT172	0.5615
ADAM29	-0.13825
GFOD1	0.21175
ST7L	0.429166666666667
C15orf26	-0.32475
PKN3	-1.671
CNTD1	2.04966666666667
COMMD1	0.7555
NTRK2	3.173
FOXN3	0.217875
MFGE8	0.025
PFKFB2	0.239166666666667
TAS2R4	-0.183
ENTHD1	0.523166666666667
PRMT5	-0.646625
MGC16384	-1.49975
LOC442229	-0.76175
TSKU	0.055375
KRTCAP3	2.315125
PDLIM1	0.4926
KCNS2	0.376
RNF126	-0.6235
CEP63	0.00712500000000001
CLIC4	-0.446125
hCG_1990170	-0.70875
ACR	0.5175
KLK7	2.9855
ALOX5AP	2.843125
RIPK3	3.9865
TAS2R9	0.312
C19orf18	1.9075
BIRC6	0.0136428571428572
ZNF16	0.768
RFT1	-0.53725
SLC8A2	-0.7895
TACC1	-0.25475
ITGAD	0.364
SAMHD1	0.30875
SH3PXD2B	1.3367
EPC2	0.97475
C20orf85	3.164375
ATP13A2	1.3145
KRT4	0.501
CAPNS1	0.20575
MDM2	-0.238666666666667
PCDH20	2.752
KCNK9	0.7765
OR2C1	0.1685
KLHDC3	-0.961666666666667
IPPK	0.7285
EFHD2	-0.429625
GALR3	0.8225
NBEA	1.47733333333333
ABCA6	2.7577
CLDN3	1.62116666666667
AKT2	-0.429071428571429
EGFR	-1.0049
RBM16	0.508
ZDHHC3	0.1842
SLC25A4	-0.319
CYB5B	-1.15416666666667
CPXM1	1.413
NDRG1	-1.92976923076923
FLJ43826	0.29875
OR5L2	0.1415
FARP2	0.1373
MRPL46	-0.65375
LDHAL6B	0.0646666666666667
MAPKAPK3	-0.520166666666667
NCAM2	0.862
PRKD2	0.265333333333333
ZFP36L1	2.415
CYSLTR1	-0.74675
OR4C3	-0.04675
HIST1H2AJ	1.0405
CCNB2	-2.53711111111111
ZNF10	0.41725
TMEM175	0.352
FAM134A	0.7155
TIGD4	0.228
PCNP	-0.1485
MGC39715	-0.34875
LQK1	-0.16475
CREB1	0.5544
TMPRSS3	2.7125
C4orf32	1.79875
LAT	-2.025
KCNA3	0.281
SKIV2L2	-0.4255
ROPN1B	-0.94425
tcag7.23	0.207
CDT1	-3.040625
ZHX2	1.08425
CD28	-4.03625
ZNF624	0.51125
SEPT2	0.547666666666667
SOHLH2	-1.59325
MCOLN3	0.21175
UNQ1945	0.218
MASP2	-1.515
ZNRF3	0.3742
GPATCH3	-0.23675
AGL	2.54025
QRICH2	-0.8595
PSD4	1.05416666666667
CCNB1IP1	-1.65375
ENPP7	-0.20875
OBFC1	0.272
KCNG3	-2.0825
C14orf79	1.29808333333333
ENPEP	1.742
SCT	1.731
SKI	0.701125
SEC61G	-0.9825
CAPN11	1.04475
ATXN7L3	-0.40975
DBNDD1	-0.323666666666667
FAIM	0.20525
ANKRD36	-0.7375
GABRP	1.193
TACSTD2	2.34933333333333
EIF3J	-0.5335
PPP2R2A	0.3575
TEKT4	0.947
PVALB	-1.13033333333333
F10	-2.12266666666667
FAM134C	0.5653
COMP	4.498
EFCBP1	-1.805
SCLT1	0.223
TAL1	-1.2947
ACSL1	1.30425
ABCC5	0.365
ABL1	-0.319833333333333
RBBP7	-0.09275
PTPRG	0.595875
NCOR1	-0.4872
SPINK4	-0.789666666666667
TXNRD1	-1.8072
TNRC15	0.84025
C9orf138	0.611125
UBE2H	1.063
BRDT	1.55066666666667
C8orf31	0.21725
CCNE2	-1.79018181818182
SLC6A8	-2.137375
CALCR	-4.294
PPP1CB	0.431
ABHD8	0.1685
ARF5	0.0468
SLC24A4	0.72325
CCT3	-0.6405
ZNF121	0.317375
SLC3A2	-1.1419
OR13A1	0.581
SLC5A10	-0.1325
RAD50	0.121375
IER5	0.26925
MTHFD1L	-2.209875
MBTPS2	0.215
MVK	-0.699
NCL	-0.1352
PSMD10	-0.251
MOBP	0.16725
FLJ32894	-0.601
HRH1	-0.452833333333333
C5orf30	2.31525
NUDT16L1	0.8857
RASGRP3	2.838
PRKRIP1	-0.3884
CCDC75	-0.30875
LOC253970	0.03425
KIAA1239	0.1175
MED21	-0.11
SYT11	0.073
NTSR2	-0.341
EGFL11	0.2645
CXorf59	0.596
OR2A25	0.18575
SPTBN2	-2.04625
LRMP	-1.55233333333333
RNF111	0.47525
PTH	0.2155
LOC619208	1.195
KIAA0895	1.236
RANBP5	-0.890375
P2RY10	-0.33
NME5	4.6735
DDX21	-1.3135
LRSAM1	0.2305
HDAC11	1.124
VMO1	1.67725
NOLA2	-0.04
ADAR	0.36525
MTO1	-0.673
SF4	0.273666666666667
P2RX1	-0.0113333333333333
HBM	-0.00625
EN2	0.716
C14orf172	-0.02025
TM9SF2	0.4701
INHBE	-1.66083333333333
TCTE3	-0.209
TOX2	-3.3895
CTAGE3	0.44075
HBB	3.5298
MED15	-0.413833333333333
CASR	0.2105
C6orf66	-0.992333333333333
MTPN	-0.718625
UNC50	0.0305
C21orf33	0.25075
IRF2	0.70425
PGR	3.86316666666667
GPR84	2.00125
CROCCL1	-1.55125
SRPX	-0.39775
BRE	0.440166666666667
FGF10	1.24475
SDC3	-0.0985
ZRSR1	-0.0676666666666667
DKFZP434P211	-0.21125
SOX6	0.16
RPUSD2	-0.59275
C14orf173	0.0363333333333333
MAPK11	-0.158833333333333
TBC1D22A	0.3495
FAM123A	-0.937
COL4A6	-1.273
TOMM70A	-0.2405
NAB1	-0.307375
MGC16385	-0.675125
TSPAN18	-0.373333333333333
MED31	-0.4565
PLG	-0.38425
CAPSL	4.812
ZNF532	0.9319
ASB14	0.08075
CA8	0.40425
NUDT16P	0.934666666666667
SLFN11	-1.1825
LRRIQ2	-0.165125
NOL7	-0.515833333333333
BRMS1L	-0.766
JARID1A	0.33
PANK2	-0.4835
ICAM3	-0.44175
MDS1	-0.40375
TAF8	-0.4875
RNF139	0.99375
ZNF594	0.0861666666666667
ADAM8	0.9505
SFTPC	-0.135625
MAN2B2	1.25575
RGS12	0.6460625
EIF1AY	-4.95308333333333
LRRIQ1	1.59266666666667
GPR150	1.0415
CCDC21	-1.27666666666667
PRRG3	0.34525
SAA4	-2.37375
RAPGEF5	1.15825
ZCCHC2	0.3705
MGC39372	0.0765
PPP4R2	-0.0265
CDCA2	-2.50766666666667
OR4D5	0.2265
PTGFRN	1.1023
SIGLEC5	1.2165
C19orf61	-0.126666666666667
NMUR2	0.433
KIAA1586	-0.142166666666667
DAGLA	0.427333333333333
CHCHD6	-0.036
GPR32	0.6455
NEUROD6	-0.00116666666666666
SLC2A4RG	0.1209375
CA5B	0.01925
FBXL3	1.783
MPHOSPH9	-1.41325
HMG2L1	0.2345
HCN4	0.3275
CEACAM19	-0.2945
SH2D4B	0.157333333333333
HFE2	-1.07
TGM4	0.2325
LYPD2	0.033
TBC1D15	0.01625
MRPS21	-0.1375
NONO	-0.8355
CLEC5A	1.3985
ITCH	-0.0798
MGAT3	-0.434666666666667
MBP	-0.906625
RPP25	-1.75475
SOSTDC1	2.0865
HRC	-1.74875
TRIM48	0.261
TMEM133	0.6595
ECEL1P2	-1.19425
HOXC11	-0.673
DOK5	-0.564
HELZ	0.233166666666667
LOC348180	-1.14625
MGC33894	0.2955
ADRB3	0.1205
DMD	0.1805
PTRH2	-0.8835
MPEG1	2.062
NDUFA12	-0.034
KRTAP2-4	0.0571666666666667
STAMBPL1	-1.10883333333333
ADCY2	0.374666666666667
UNQ6125	-0.0795
KLHL20	-0.270333333333333
SRM	-1.0845
OTC	0.0775
TMIE	-0.239666666666667
SNX8	-0.179
LIPK	0.438
CHURC1	0.811
KLC2	0.0493333333333333
HDAC1	-0.475
FAM128A	0.7915
FNDC3B	0.0341
MTCP1	-0.384833333333333
WFDC10B	-0.0573
PCDHGB3	0.0905
ATRNL1	1.2776
CAV2	0.330375
MED26	0.0208333333333333
DUS1L	-0.0385
CHRM3	-1.76525
NEK9	0.10275
WARS2	0.86725
TBX22	-0.1805
TOMM40	-1.16075
RP6-213H19.1	-0.588666666666667
TUBGCP5	-0.39075
IGSF6	4.09425
TPPP	0.982666666666667
UNQ6190	0.2435
GSTM5	-0.575125
BTD	1.15266666666667
PDCD1LG2	-0.0225
SNRPB2	-0.509666666666667
ERICH1	-0.288375
APOA4	-1.595625
HOXA11	-2.16125
NARG1	-0.087625
MKX	-0.0995
RAB28	-0.229785714285714
PKP3	0.8735
SH3GL2	-2.10925
CTSO	3.37825
RPN2	0.237375
IL28RA	0.0421666666666666
SFMBT1	0.295
WDR57	-0.51075
FER1L3	1.42791666666667
HSF5	0.2215
TTC9B	0.2145
C4BPA	-4.19083333333333
ALB	-3.74542857142857
SORBS3	0.629625
UPF2	-0.339
JPH1	-0.861
AGBL2	1.732
DOPEY1	1.6485
TERF1	-0.214166666666667
KIF22	-0.639166666666667
NINJ1	2.0185
SEC61A2	-0.668916666666667
HIST1H1D	-0.524833333333333
SFXN4	-0.424875
UCP3	-0.0639
ZNF703	1.639
MYL6B	-0.36575
TREM1	1.72475
OR52E6	0.1885
CKMT2	2.5145
HLA-C	1.443625
SLC13A3	-1.63233333333333
TIMP4	-0.3015
SLIT2	2.59225
RSF1	0.201333333333333
LONRF1	-1.07507142857143
MON1A	-0.0751666666666667
CACNG6	-1.74
DPPA4	-5.65466666666667
ZSWIM3	-0.8865
ZNF804A	-0.107833333333333
CCIN	1.07
SLC25A31	0.27025
KCNMB4	-0.00725
RABL5	0.9415
GALNS	-0.6551
STX6	0.269625
HIST1H1C	-3.06933333333333
CIDEB	0.572125
CASP4	-0.00783333333333333
PDK3	-0.4581
KCNJ11	1.5945
TPR	-0.49575
ZSCAN20	0.096
MTX2	-0.15625
HIST1H2BH	-0.708
LOC283767	2.28175
LYRM7	-1.21111111111111
BRD3	-0.7445
HIST1H2BO	-1.52025
MAGEB10	0.2815
SLC45A1	1.295
SERPINA3	2.9587
KIAA0143	1.192
KCNJ16	1.0145
KRT79	0.183
FABP2	-0.55375
NUT	-0.1475
ZNF57	0.165
FBXL4	0.5945
CLEC9A	0.3415
UGT8	-1.37983333333333
BMP2K	1.58925
MAPK4	-3.66075
SLC25A23	-0.2017
HINT1	-0.2303
KRTAP13-1	-0.13
SFXN5	1.303
CHCHD2	0.1135
FAM3D	0.0445
NDP	-1.482625
RHOBTB1	0.5065
SLC4A4	-0.3365
RPL38	-0.09025
HTF9C	-0.5815
AP2A2	0.673125
ZBTB46	-0.7925
MAP7D1	0.08725
AOX1	-0.585166666666667
CYR61	1.37983333333333
DTNA	-0.570428571428572
JRKL	0.01425
TMOD3	-0.0645
EEA1	0.1235
ADCK5	-0.1305
IL1R1	1.525
KLK3	0.3375
HRSP12	-0.80725
KTN1	0.97825
LOH11CR2A	1.0197
RELL2	-1.303
MAB21L1	1.64175
C20orf59	-1.702
PHKB	-0.49625
ADAM2	-1.208
TBC1D8B	1.476
FAM13A1	-0.6116875
LAPTM4B	-1.36091666666667
LCN8	0.0095
TMEM147	0.41
SYT4	-0.0558333333333333
XPO7	-1.135
C9orf62	1.19325
GPR75	0.691
TRIM5	0.644625
APOC1	-0.666666666666667
RNASE4	1.303
PARD6B	0.198625
ARID1A	0.778
TPD52L3	0.3719
RRAGB	1.29566666666667
RCN2	-0.4765
HIST2H2BE	-0.6905
STARD7	-0.304
SHMT2	-1.66725
KIAA1751	-0.228833333333333
MLYCD	-0.04075
LOC162632	-0.3682
UQCRH	-1.56975
RP11-217H1.1	0.398375
SDHA	-0.926333333333333
NCLN	-0.2109
ZNF17	0.935166666666667
RCBTB2	-1.63175
VEGFB	-0.2265
RP4-747L4.3	0.712
COLQ	0.883
MPN2	-0.532166666666667
DRG2	-0.007
KLRB1	3.2105
ALPK2	-2.2905
DNASE2B	0.815
FLJ23834	1.20166666666667
AXUD1	1.31683333333333
SAFB	-0.429
NSUN4	-0.34475
RFX2	0.405833333333333
MAPK8IP1	0.531333333333333
FANCD2	-1.3
ANKZF1	-1.41933333333333
C19orf50	-0.347375
DUSP8	1.120375
SENP5	-0.331
NFKBIL2	-0.79075
LBR	-1.813375
IGFL1	2.699
LZTS2	0.32075
IL2RG	-1.43375
CCDC51	-0.15125
KLF3	-0.136875
ANKRD37	-1.151
KCTD14	-0.567
FZR1	0.263166666666667
SLC44A4	3.3301
ESPL1	-1.28775
GMPR2	0.0487
TBC1D19	-0.162333333333333
ERGIC1	0.292555555555556
ERBB4	3.6467
TSPAN32	-0.276166666666667
MAP4	-0.01925
GPHN	-0.621
SLC6A2	0.263
HIVEP1	0.674
DFFB	-0.3813
EIF4EBP2	0.275625
DMRT1	-0.42125
HSPB6	0.289
IER2	0.754
AIFM1	-0.4805
WWC2	0.34525
MRPL4	-0.5895
FLJ21062	1.65016666666667
EPB41L4A	1.26966666666667
SH2D6	-0.15725
TAF4B	-1.43475
GAL3ST3	-0.4415
MALT1	-0.7675
RTDR1	0.2305
ARVCF	0.549375
MEX3B	-0.7425
FBXO16	1.60375
KIF7	-0.45425
C1QC	3.73733333333333
ZNF783	-0.429333333333333
ZNF85	0.17175
MMP13	3.5415
KIAA0329	0.434875
RTP3	-0.691
ZBED3	0.0165
CLGN	-0.41925
SLC25A37	-1.23083333333333
hCG_18290	0.2885
OR5AS1	0.2035
SMARCC2	0.309083333333333
FAM109A	-0.0203333333333333
CCDC12	0.201
USF2	0.3125
DEPDC7	-1.713
C20orf24	-0.777666666666667
JMJD3	0.241
DSP	2.21307142857143
SLIC1	0.030375
FAM20A	1.349125
IRF2BP2	0.328875
ZNF230	-0.162
MSN	-0.821214285714286
SLC9A5	-1.8845
EPDR1	-2.2018
MUSK	-0.242333333333333
ZNF434	0.492333333333333
SMARCD1	-0.443
ZFP106	0.11975
ZNF347	0.2425
GTF2E1	-0.16775
