Hybridization REF	TCGA-D8-A13Y-01A-11R-A115-07
OR8J3	-0.585
LTBP4	-0.578
SIRT6	-0.5655
CCL19	3.4705
PPIL1	-1.64483333333333
GBP7	0.85
STK17A	-1.7758
ABR	0.01725
OR9G1	0.2635
FOXE1	-0.775125
CNGA3	-0.399
GML	-0.0415
CD38	-4.17825
ZDHHC6	-0.469833333333333
NEFH	-1.69125
CTDSP2	0.92825
PGBD5	2.09983333333333
CCNY	0.318357142857143
RMND5B	0.482083333333333
ZNF257	0.99575
FLJ22167	-0.229875
EXOSC7	-0.835333333333333
ROR2	0.7175
MAOA	0.049625
TNNT3	0.439333333333333
GYPC	-2.381
C7orf33	0.1035
PLIN	1.9685
LOC90826	-0.7325
RNF4	-0.1545
F8A1	0.809166666666667
PLEKHG4	-0.30775
GRB2	-1.1788
HIST1H2AD	0.687
DUS3L	-1.25816666666667
EIF1	-0.842833333333333
RP5-1077B9.4	-1.399
FPGT	1.234
GDF10	-2.7204
COQ9	-0.779
GCC2	0.638785714285714
RARRES3	-0.37975
PLXNA1	-0.2077
KIAA0100	-0.5389
PMF1	-0.29525
FNDC1	4.78875
HS2ST1	-0.6885
CRELD2	0.42625
C8G	-1.321
CD82	1.23925
LIM2	-1.4445
UNQ6490	-1.186
MMP16	-0.64275
DRD3	0.39425
C5orf26	-0.51525
C11orf73	-0.5895
PTP4A2	0.687875
OR4M2	0.5345
HPCA	-1.05383333333333
SEC14L1	-0.7525
CHFR	-0.911
EMILIN1	0.684625
NDUFS4	0.38825
COL18A1	-0.651625
PDZD3	-0.1202
C9orf16	-0.0506666666666667
ERBB2IP	-0.840666666666666
EMX2	3.95475
FUS	-0.69025
TF	-4.1032
CLCN4	1.7435
CXorf56	0.14075
C11orf72	0.24775
ELAC2	-0.921666666666667
NPR1	-1.714
ASS1	-1.5045
USP42	0.775625
POLR2J	-0.1145
SEC23IP	-0.473166666666667
UQCRC1	0.15
LOC729603	-0.7815
C1orf71	0.128375
POLG	1.3465
ADAM23	-4.31
TFR2	-0.7675
RICTOR	0.5323
MGC39606	1.3995
C19orf55	-0.38625
SNAPC1	-0.694166666666667
GNA11	0.25775
CCDC52	0.5925
FSIP1	3.4355
UPF3A	-0.486
IGSF11	-2.27183333333333
LAGE3	1.45375
CHST6	-1.797
UNC13B	-0.49025
TTLL4	-1.18675
ZNF687	0.522
SDC2	0.6732
COX7A2	0.942
LAMB4	0.0545
FAM24A	0.001
LRRTM3	0.104
GPHB5	0.135
OR4C13	-0.4235
EIF3EIP	-0.599857142857143
HABP4	-0.154
TMEM125	3.29875
CNTN2	3.20825
ASNSD1	-0.23175
FUT4	-0.385125
ACF	-2.80725
LOC158381	-0.881
CDH8	-0.25725
AGPS	-0.6505
C4orf18	1.014
PECI	-0.112833333333333
UNG	-0.3655
GSTP1	-1.9155
DCUN1D5	-1.71716666666667
DKFZP564J0863	-0.19525
SLC9A3R1	0.437625
BCDO2	-1.676625
CHMP7	-0.88
REM2	1.0425
DNHD1	-0.75775
FKBP4	0.169375
ZNF350	1.99325
MGC11102	0.75325
BST1	1.175
KISS1R	-0.4855
NCR2	0.274
DEFB125	1.306
UBE2W	0.6915
KRT15	-2.20575
C10orf99	0.4415
SCN11A	0.0322857142857143
GFI1	-2.165
RDHE2	3.41333333333333
FHL1	0.141666666666667
OSGEP	0.446
GATA1	-3.4995
SMC6	0.38125
TTTY14	-1.25575
LPIN3	0.17925
RPL4	-1.6434
RBPMS	-1.4502
PRPF3	0.703166666666667
EMR1	-2.832
SPATA19	-0.59475
XCR1	0.5165
IRX3	-0.00379999999999994
RBM6	-0.503
KLF4	-0.9254
UNC5CL	-0.745
SEBOX	-0.2715
BTK	-1.90475
KRCC1	1.11925
C6orf27	-0.2235
SYTL5	-1.9955
PRND	2.43325
LOC653319	-0.2025
PIGL	-1.43475
HUS1	0.182333333333333
SFRS6	0.737916666666667
C17orf77	0.1385
UIMC1	0.291333333333333
FXYD2	-2.1247
LOC283152	-0.0215
ZNF667	-1.563
ZCCHC12	1.11625
TFEC	1.6541
ATP7B	-0.364166666666667
POLD2	-0.386666666666667
RG9MTD1	-0.18875
ACOT2	-1.54966666666667
HIST1H4I	1.8205
PPARGC1A	-1.8986
ETFA	-0.678
POLRMT	-1.3475
ZNF146	-0.586125
MIA2	1.41
KLHL6	-1.66466666666667
HOXB5	0.32975
NENF	1.20716666666667
CUGBP1	0.40425
PRSS22	0.314666666666667
CASC4	1.8056
CUL4B	0.3936
CENPJ	-0.9241
PITX1	-0.392333333333333
FLJ31033	0.218666666666667
CELSR3	1.17316666666667
ZNF568	1.05975
ITSN1	0.244083333333333
EHBP1L1	-0.612333333333333
C19orf2	-0.784
DCTN1	-0.27375
LIN28B	-3.421
TNKS2	-1.93075
C1QBP	-1.958375
CADPS2	1.76775
SRMS	0.2665
GJA9	0.2265
MGC24975	-0.8655
TRIM45	0.478166666666667
TSP50	-0.1535
TCP1	0.2165
TMED7	0.2624
CMA1	0.186
CENPL	0.644166666666667
PTCRA	-0.351
FST	-4.37
VWCE	-3.3845
PAWR	-0.6175
ABCC12	0.4624
LDLR	-2.9954
ASTN2	1.5973
LOC441212	0.002375
GPATCH8	0.02625
TANC2	0.155583333333333
KIF4A	-0.439
C18orf18	0.9005
PGM1	0.264
KIAA0258	0.61475
CPD	0.663375
SNCAIP	-0.4595
DCT	-4.49116666666667
HLA-DOA	2.02895454545455
OR11L1	0.515
UPK1B	-0.938
DNAJB4	-0.298125
UGT1A8	-0.611
HIST1H4L	-0.2055
PECR	-1.02033333333333
HSPA2	0.64375
WFIKKN1	2.277
SERP1	-0.341375
SYDE2	-0.1495
TACR2	-0.1765
NUP85	-0.29425
CD177	-0.593
LGR5	-2.21733333333333
PIGG	-0.928833333333333
PTHR1	-1.19566666666667
RAB5A	0.9503
FLJ13224	0.5285
USP9Y	-1.64616666666667
C7orf53	2.097
LRP1B	2.39075
XAF1	0.274
ABCG8	0.0555
ANKDD1A	1.39783333333333
DAND5	1.152
SPAG6	-0.2942
LINCR	0.51275
ZDHHC22	1.507125
CCDC60	0.512
THOC7	-0.015
TCTA	1.2197
OR8K3	0.208
NY-REN-7	-0.33775
B2M	0.440333333333333
C6orf141	1.485875
LPPR4	3.672
SQLE	-0.886875
SEPHS1	0.1065
BTBD14B	-0.219642857142857
PLRG1	-0.96475
SPG7	-1.53025
ZNF614	-0.251333333333333
PARD6G	-0.326
INPP5B	0.1148
GRPEL2	1.224875
PPID	-0.2272
TRIM56	0.05375
UBE2J1	-0.6625
IL20RA	0.0915
LOC387856	0.0232500000000001
C1orf107	0.404416666666667
UTS2R	-1.3775
C19orf22	-1.7285
SAFB2	-0.287875
KIAA0652	-0.1595
KLRG1	0.621666666666667
MS4A8B	4.7265
FRAG1	-0.16025
KIAA1546	0.5885
E2F4	-1.9193
CLEC4M	-0.31
BTBD14A	-1.13975
KIAA0999	0.0444
GYPA	-4.28416666666667
TAC1	-1.0274
TRAIP	0.0925
KIAA0232	0.0906
ERCC8	-0.685875
GPX4	0.263625
KIAA0368	0.270125
GPR157	-1.42033333333333
CTAGE4	1.2155
C9orf30	-0.5765
OR52A1	-0.4945
HSP90B3P	-0.8175
ALG9	-0.5303
BTBD10	0.018
SDK2	0.09525
BAIAP3	0.869
RABGGTB	0.05975
ANKRD40	0.4165
KRT74	0.3765
CALCOCO2	2.28178571428571
SNCA	-3.5445
TMSL8	2.267875
C2orf53	-0.3945
ESRRB	-0.572
ARHGAP26	-0.735
TDRD9	-2.70975
HRAS	0.6505
KLRC4	-1.344
JAGN1	-0.0845
BSDC1	0.2545
RNF43	-2.1354
NDUFAF1	0.35675
PHF12	0.15325
OR1L3	0.2015
FOLR2	1.43
LYZL6	0.142
tcag7.1260	-2.154
WSB1	-1.19916666666667
PROS1	-0.7548
OSTN	0.446
PSMB8	-0.34825
SOCS4	0.566142857142857
DDIT4L	3.06575
MAS1	-1.241
MGC34796	1.019
CSHL1	0.221333333333333
TBCCD1	-0.182166666666667
ZBTB7C	-0.1635
AP2S1	-0.618625
P15RS	0.7184
VAT1	-1.136
SHANK3	0.939333333333333
TUFM	-1.17116666666667
THEG	3.29725
KRT34	-1.89775
SGSM3	-1.20525
TOMM22	-1.148375
SOCS3	-0.689
CPO	-0.4575
POP4	-0.53825
BHLHB3	-0.92375
MALL	-0.69925
OR1B1	0.132
PARK2	0.0645
GPR124	0.456625
LCE1E	0.293
RUVBL2	-1.33225
CGRRF1	1.145
ACPL2	-0.25025
WNT10B	-1.759875
BAIAP2L2	-0.520375
ISCA1	0.227
C1orf125	-0.378125
RPAP1	-0.19125
RAI16	-1.51033333333333
RPL27	-1.38275
NLRP9	0.3065
EPN1	0.0905
LOC388610	-2.479125
SLC35A1	-0.5494
GAL	-3.46375
SLC14A2	0.127
RDH11	-1.11683333333333
FAM138F	-0.9435
AUH	0.209
FLJ40243	0.264666666666667
C14orf129	0.206
MBD2	0.0631666666666667
ABHD14B	-0.801875
PIGT	2.471875
ALS2CR4	0.015375
ALAS1	0.1486
FOXO1	-0.210166666666667
CRLF3	-1.46775
C20orf107	0.775
FARS2	-0.17625
CCDC28A	0.70925
NPHP3	-1.3585
OR13F1	0.5645
TSEN54	-0.40475
DEFB106B	0.129555555555556
OR8B4	-1.4085
STH	1.494
ZC3H14	-0.81375
CBX2	-0.2225
TMEM49	-0.83225
C6orf21	0.305
FLJ20920	-0.266125
CRTAP	-0.405285714285714
DDX50	0.43775
STYXL1	-0.02375
BLVRB	-1.01533333333333
LOC147650	0.214
MMP24	0.06475
GRID1	2.39316666666667
BANF1	-0.217666666666667
CTAGEP	0.767
HMBS	-2.29575
SLC25A24	-0.0495
C14orf50	1.56525
MRO	1.33033333333333
SLC25A15	-0.9025
FAM84B	2.1843
TDP1	-0.2865
C16orf78	-0.9735
C11orf57	0.230125
RFK	0.3955
ZFYVE9	-0.702625
STCH	0.4463
WIBG	0.5225
LOC283871	0.266666666666667
GBA2	-0.6086
NDUFB3	-0.16325
HSD17B13	-0.46025
GRIN3A	-0.079
FMNL1	-1.41616666666667
SEPT7	-0.0048
GNLY	0.198
GRAMD1C	1.84583333333333
ZNF165	1.5085
USP38	0.4265
FAM83A	-0.555833333333333
C14orf24	0.710416666666667
ARMCX3	0.6285
ARHGDIB	-1.96066666666667
AK1	1.170625
KIAA1045	-0.733
DNAJB13	-0.146
NEU2	0.604
HIST1H4B	-0.151166666666667
FAM20B	-0.052
HES2	-0.305230769230769
FAM73B	-0.891
LOC388381	0.32875
INTS7	0.413
AMPH	3.4215
ZNF775	-0.27275
UCKL1	0.551166666666667
C10orf97	0.7205
C1orf161	0.22575
ALDH1L1	-1.42475
FLJ39378	-0.975125
SLC23A1	-2.506
RBM4B	0.81625
THAP4	-0.283166666666667
OGFRL1	0.3065
KIAA0831	0.219
PPP1R15A	-0.937
C1orf96	1.10857142857143
C12orf11	-1.43525
BMF	1.4665
MAN1A1	-0.57225
KIAA1600	-0.486166666666667
NLGN4X	-1.41225
ALOX12	-2.2615
RB1CC1	1.5724
NEIL2	-0.265
EIF4E	-0.770863636363636
ABHD5	0.5235
EXOC4	-0.444666666666667
CIP29	-0.144333333333333
BATF2	-0.7025
SLC29A4	-0.513625
HTR4	-0.879
EMB	0.4935
TRAF6	1.0715
LMNB1	-1.53275
FAM19A5	-0.159
SHE	1.25825
PIK3C2B	0.24875
C15orf15	-1.0287
USP15	-0.5918
TCEAL2	3.15225
C5orf39	-1.544
PTGER2	-0.5875
SLC31A1	-0.6841875
IFT172	0.584
ADAM29	-0.25375
GFOD1	0.24025
ST7L	1.31816666666667
C15orf26	-1.25025
PKN3	-1.1725
CNTD1	1.3845
COMMD1	0.41425
NTRK2	2.05533333333333
FOXN3	-1.126375
MFGE8	0.4892
PFKFB2	1.13783333333333
TAS2R4	0.174
ENTHD1	0.68
PRMT5	-0.885625
MGC16384	-0.751
LOC442229	-0.7855
TSKU	0.869875
KRTCAP3	2.98475
PDLIM1	-0.351
KCNS2	0.81025
RNF126	-0.818166666666667
CEP63	0.9055
CLIC4	-1.0625
hCG_1990170	0.16575
ACR	0.7948
KLK7	0.12025
ALOX5AP	1.26525
RIPK3	2.89025
TAS2R9	-0.414
C19orf18	1.2615
BIRC6	-0.214928571428571
ZNF16	0.966
RFT1	0.14425
SLC8A2	0.48
TACC1	-0.17725
ITGAD	1.75125
SAMHD1	0.49475
SH3PXD2B	0.5996
EPC2	0.79525
C20orf85	1.7275
ATP13A2	-0.175
KRT4	0.704125
CAPNS1	-0.7955
MDM2	0.239
PCDH20	2.61375
KCNK9	0.376
OR2C1	-0.0185
KLHDC3	-0.902833333333333
IPPK	-0.064
EFHD2	-0.81275
GALR3	-1.08375
NBEA	0.669166666666667
ABCA6	1.6304
CLDN3	1.26266666666667
AKT2	-1.45278571428571
EGFR	0.5333
RBM16	1.067
ZDHHC3	0.0616
SLC25A4	0.2575
CYB5B	-1.573
CPXM1	-1.73025
NDRG1	0.238923076923077
FLJ43826	0.63
OR5L2	0.56
FARP2	-1.1473
MRPL46	1.05616666666667
LDHAL6B	0.656666666666667
MAPKAPK3	-0.974333333333333
NCAM2	-2.9075
PRKD2	-1.03316666666667
ZFP36L1	-0.2165
CYSLTR1	-2.24625
OR4C3	0.7065
HIST1H2AJ	1.3075
CCNB2	0.238
ZNF10	0.655625
TMEM175	0.00600000000000001
FAM134A	0.852833333333333
TIGD4	0.6345
PCNP	-0.14925
MGC39715	0.33725
LQK1	-1.20875
CREB1	0.5359
TMPRSS3	-3.1855
C4orf32	3.0435
LAT	-1.882
KCNA3	1.2945
SKIV2L2	-0.43525
ROPN1B	-0.855
tcag7.23	-0.866
CDT1	-1.660375
ZHX2	0.819125
CD28	-3.048
ZNF624	0.36975
SEPT2	-0.895666666666667
SOHLH2	-2.309
MCOLN3	1.249875
UNQ1945	0.106
MASP2	-0.644
ZNRF3	0.5825
GPATCH3	-1.17225
AGL	0.784875
QRICH2	0.23
PSD4	-0.367
CCNB1IP1	-1.368
ENPP7	-0.21525
OBFC1	-0.44675
KCNG3	0.89875
C14orf79	-0.27375
ENPEP	2.81133333333333
SCT	0.7295
SKI	-0.1205
SEC61G	-0.08275
CAPN11	-0.46275
ATXN7L3	-1.3025
DBNDD1	-0.431333333333333
FAIM	1.3935
ANKRD36	0.2665
GABRP	3.84133333333333
TACSTD2	-4.4964
EIF3J	0.20125
PPP2R2A	-1.35025
TEKT4	-0.591333333333333
PVALB	-2.67566666666667
F10	-3.24233333333333
FAM134C	-0.15
COMP	3.576875
EFCBP1	-4.450125
SCLT1	0.832125
TAL1	-1.741
ACSL1	0.8045
ABCC5	0.7835
ABL1	-0.849666666666667
RBBP7	0.869333333333333
PTPRG	-1.118875
NCOR1	-0.8213
SPINK4	-0.02
TXNRD1	-0.3494
TNRC15	0.88725
C9orf138	-0.066125
UBE2H	-0.678166666666667
BRDT	0.195
C8orf31	0.5715
CCNE2	2.63854545454545
SLC6A8	-1.449625
CALCR	-4.787
PPP1CB	0.00641666666666665
ABHD8	-0.52275
ARF5	-1.3538
SLC24A4	1.87
CCT3	-0.02725
ZNF121	0.623375
SLC3A2	-0.9695
OR13A1	0.18
SLC5A10	-0.801
RAD50	-0.01575
IER5	0.288125
MTHFD1L	-1.351375
MBTPS2	0.07575
MVK	-1.3155
NCL	0.5558
PSMD10	0.65625
MOBP	-0.355142857142857
FLJ32894	1.041
HRH1	-0.420666666666667
C5orf30	0.869
NUDT16L1	0.2653
RASGRP3	3.37
PRKRIP1	-0.1584
CCDC75	1.129
LOC253970	2.9755
KIAA1239	4.47325
MED21	-0.1325
SYT11	1.39183333333333
NTSR2	0.8165
EGFL11	1.127
CXorf59	1.1015
OR2A25	0.559
SPTBN2	0.304
LRMP	-1.98083333333333
RNF111	0.0385
PTH	-0.1275
LOC619208	0.372166666666667
KIAA0895	1.40975
RANBP5	-1.127875
P2RY10	-2.02583333333333
NME5	3.02916666666667
DDX21	-1.02725
LRSAM1	-0.068
HDAC11	0.4905
VMO1	2.03125
NOLA2	-0.0626666666666666
ADAR	0.205583333333333
MTO1	0.745
SF4	-0.243166666666667
P2RX1	-0.0906666666666667
HBM	1.2205
EN2	-0.6405
C14orf172	-0.14175
TM9SF2	-0.2714
INHBE	1.00233333333333
TCTE3	1.93933333333333
TOX2	1.393
CTAGE3	0.9805
HBB	1.4971
MED15	-1.53616666666667
CASR	0.40275
C6orf66	-0.749833333333333
MTPN	-1.309125
UNC50	-0.84025
C21orf33	0.2115
IRF2	-0.056
PGR	1.13466666666667
GPR84	0.36125
CROCCL1	-1.61725
SRPX	-2.71875
BRE	0.210166666666667
FGF10	0.370666666666667
SDC3	-0.278
ZRSR1	-0.1085
DKFZP434P211	-0.730125
SOX6	0.7145
RPUSD2	0.456
C14orf173	-0.75025
MAPK11	0.380333333333333
TBC1D22A	-1.4455
FAM123A	2.2435
COL4A6	-0.386833333333333
TOMM70A	0.1015
NAB1	0.179125
MGC16385	-0.63925
TSPAN18	-0.0491666666666667
MED31	-0.355
PLG	0.687
CAPSL	4.294
ZNF532	1.1222
ASB14	-0.2385
CA8	0.0925
NUDT16P	1.55783333333333
SLFN11	-1.2285
LRRIQ2	1.70575
NOL7	-0.783166666666667
BRMS1L	0.804625
JARID1A	0.607
PANK2	0.57825
ICAM3	-1.91
MDS1	-0.239
TAF8	-1.27775
RNF139	0.9745
ZNF594	0.0411666666666667
ADAM8	3.151875
SFTPC	1.084375
MAN2B2	-0.09325
RGS12	0.0154375
EIF1AY	-4.96290909090909
LRRIQ1	-0.2665
GPR150	-1.44775
CCDC21	-1.18716666666667
PRRG3	-0.07325
SAA4	-4.27575
RAPGEF5	2.158875
ZCCHC2	0.537916666666667
MGC39372	-1.385
PPP4R2	0.7195
CDCA2	-1.14433333333333
OR4D5	0.467333333333333
PTGFRN	0.0608
SIGLEC5	0.683666666666667
C19orf61	-1.57733333333333
NMUR2	-0.492
KIAA1586	-0.854666666666667
DAGLA	0.505166666666667
CHCHD6	-0.78725
GPR32	0.423
NEUROD6	0.3524
SLC2A4RG	0.54525
CA5B	-0.26525
FBXL3	0.21
MPHOSPH9	-0.16675
HMG2L1	0.4365
HCN4	-1.12833333333333
CEACAM19	0.17225
SH2D4B	0.853
HFE2	-0.4025
TGM4	1.23725
LYPD2	0.02725
TBC1D15	-0.472
MRPS21	-0.1276
NONO	-0.2016
CLEC5A	0.906375
ITCH	-0.0112
MGAT3	0.371333333333333
MBP	-0.0777142857142857
RPP25	0.982
SOSTDC1	-3.59775
HRC	-1.66475
TRIM48	-0.047
TMEM133	-0.33675
ECEL1P2	-1.03875
HOXC11	0.108
DOK5	-1.1625
HELZ	0.730333333333333
LOC348180	-1.85525
MGC33894	-0.224
ADRB3	-0.003
DMD	-0.954583333333333
PTRH2	-0.1805
MPEG1	2.38483333333333
NDUFA12	-0.578
KRTAP2-4	-0.357
STAMBPL1	-0.448166666666667
ADCY2	1.95366666666667
UNQ6125	-0.1915
KLHL20	0.333333333333333
SRM	-2.0625
OTC	-0.38
TMIE	2.94266666666667
SNX8	-0.728
LIPK	-0.2015
CHURC1	-0.798333333333333
KLC2	0.205
HDAC1	0.3445
FAM128A	0.1565
FNDC3B	-0.7287
MTCP1	0.0915
WFDC10B	-0.229
PCDHGB3	-0.1685
ATRNL1	-0.9273
CAV2	-0.904875
MED26	0.192166666666667
DUS1L	-1.0565
CHRM3	-1.46175
NEK9	-0.755
WARS2	-0.241
TBX22	0.2435
TOMM40	-0.99975
RP6-213H19.1	0.0608333333333333
TUBGCP5	0.8435
IGSF6	4.5215
TPPP	3.14466666666667
UNQ6190	1.586
GSTM5	-0.5185
BTD	0.270666666666667
PDCD1LG2	-0.708833333333333
SNRPB2	0.214166666666667
ERICH1	-0.527625
APOA4	-1.384375
HOXA11	-0.7255
NARG1	-0.866375
MKX	-0.1705
RAB28	-0.551142857142857
PKP3	0.19925
SH3GL2	2.572
CTSO	1.8865
RPN2	0.3708125
IL28RA	1.09216666666667
SFMBT1	1.792
WDR57	-1.287125
FER1L3	-0.714083333333333
HSF5	0.9275
TTC9B	1.35
C4BPA	-4.962
ALB	-5.32921428571429
SORBS3	0.59125
UPF2	0.7785
JPH1	0.6035
AGBL2	-0.481
DOPEY1	2.1265
TERF1	1.03058333333333
KIF22	-0.0566666666666666
NINJ1	0.6895
SEC61A2	1.08716666666667
HIST1H1D	0.751166666666667
SFXN4	-1.256875
UCP3	0.9543
ZNF703	0.754
MYL6B	1.3545
TREM1	1.181
OR52E6	1.11
CKMT2	3.98975
HLA-C	1.17375
SLC13A3	0.0526666666666667
TIMP4	1.835
SLIT2	1.45975
RSF1	1.20894444444444
LONRF1	-0.978071428571429
MON1A	0.9315
CACNG6	1.33366666666667
DPPA4	-5.9955
ZSWIM3	2.08725
ZNF804A	0.259
CCIN	0.8865
SLC25A31	-0.311
KCNMB4	-0.68825
RABL5	1.168625
GALNS	-0.1484
STX6	0.7395
HIST1H1C	1.7495
CIDEB	0.58575
CASP4	-1.15233333333333
PDK3	-0.4938
KCNJ11	1.4375
TPR	0.176375
ZSCAN20	0.669
MTX2	-0.60975
HIST1H2BH	0.48025
LOC283767	0.91975
LYRM7	-0.246944444444445
BRD3	-0.812666666666667
HIST1H2BO	0.216
MAGEB10	-0.728
SLC45A1	0.872
SERPINA3	-2.6107
KIAA0143	0.763
KCNJ16	0.0256
KRT79	-0.82925
FABP2	-0.3325
NUT	-0.093
ZNF57	0.28175
FBXL4	0.272875
CLEC9A	0.0535
UGT8	-1.70833333333333
BMP2K	0.04525
MAPK4	-1.17775
SLC25A23	-1.758
HINT1	1.1788
KRTAP13-1	0.4635
SFXN5	0.1594
CHCHD2	0.28325
FAM3D	2.205
NDP	-3.159375
RHOBTB1	-0.00283333333333334
SLC4A4	3.389125
RPL38	-0.39025
HTF9C	-1.15383333333333
AP2A2	-0.31625
ZBTB46	-0.166
MAP7D1	0.186
AOX1	-1.111
CYR61	-0.712166666666667
DTNA	-0.572285714285714
JRKL	-0.52525
TMOD3	-0.32725
EEA1	-0.4871
ADCK5	0.72375
IL1R1	0.218166666666667
KLK3	0.219357142857143
HRSP12	-0.925
KTN1	1.03925
LOH11CR2A	0.5487
RELL2	0.33025
MAB21L1	0.7075
C20orf59	-0.77
PHKB	-0.79125
ADAM2	-1.8462
TBC1D8B	0.125666666666667
FAM13A1	1.0225
LAPTM4B	-0.20725
LCN8	0.039
TMEM147	-0.25
SYT4	7.34533333333333
XPO7	-0.675
C9orf62	-1.24075
GPR75	0.8605
TRIM5	-1.801125
APOC1	0.723833333333333
RNASE4	0.520833333333333
PARD6B	-2.073625
ARID1A	-0.838083333333333
TPD52L3	0.448333333333333
RRAGB	-0.0273333333333333
RCN2	-0.476166666666667
HIST2H2BE	0.2720625
STARD7	-1.0345
SHMT2	0.7405
KIAA1751	1.50333333333333
MLYCD	-0.39525
LOC162632	-0.7875
UQCRH	-0.9455
RP11-217H1.1	-0.2015625
SDHA	-0.967
NCLN	-0.9119
ZNF17	1.41866666666667
RCBTB2	-1.397
VEGFB	0.4758
RP4-747L4.3	-0.32025
COLQ	-0.222
MPN2	-0.626333333333333
DRG2	-1.2925
KLRB1	1.75475
ALPK2	-2.7715
DNASE2B	1.0915
FLJ23834	-1.02666666666667
AXUD1	0.2085
SAFB	-0.5431
NSUN4	-0.99275
RFX2	1.41133333333333
MAPK8IP1	1.48183333333333
FANCD2	-0.263642857142857
ANKZF1	-1.099
C19orf50	-1.19225
DUSP8	0.5975
SENP5	1.258375
NFKBIL2	-0.05
LBR	0.935
IGFL1	1.419
LZTS2	-0.001
IL2RG	-1.80725
CCDC51	0.2715
KLF3	0.241
ANKRD37	-0.77675
KCTD14	2.51366666666667
FZR1	-0.678833333333333
SLC44A4	2.4847
ESPL1	0.280625
GMPR2	-0.8231
TBC1D19	-0.3425
ERGIC1	-0.129296296296296
ERBB4	4.088
TSPAN32	-0.433666666666667
MAP4	-1.282375
GPHN	-1.403
SLC6A2	-0.102875
HIVEP1	-0.0195
DFFB	-0.8589
EIF4EBP2	0.067125
DMRT1	0.4245
HSPB6	-0.4525
IER2	-0.685
AIFM1	-0.1795
WWC2	-0.362916666666667
MRPL4	-1.11025
FLJ21062	1.07716666666667
EPB41L4A	0.0461666666666666
SH2D6	0.76975
TAF4B	-0.9665
GAL3ST3	0.182
MALT1	-0.772
RTDR1	2.0095
ARVCF	-0.17075
MEX3B	1.9705
FBXO16	0.48575
KIF7	0.7475
C1QC	3.71283333333333
ZNF783	0.328166666666667
ZNF85	0.54075
MMP13	-1.6435
KIAA0329	0.964857142857143
RTP3	-0.455
ZBED3	1.0515
CLGN	1.58925
SLC25A37	-2.06626086956522
hCG_18290	0.57275
OR5AS1	0.4725
SMARCC2	0.296833333333333
FAM109A	-0.837
CCDC12	0.0155
USF2	-0.0298
DEPDC7	-1.16025
C20orf24	0.264166666666667
JMJD3	-0.138
DSP	0.856428571428571
SLIC1	-0.4505
FAM20A	0.944375
IRF2BP2	0.071625
ZNF230	0.446
MSN	-1.36942857142857
SLC9A5	-0.864
EPDR1	-0.9678
MUSK	-0.156666666666667
ZNF434	-0.98
