Hybridization REF	TCGA-AN-A0FF-01A-11R-A034-07
GBP7	0.739666666666667
STK17A	-0.8606
ABR	0.37525
OR9G1	-0.595
FOXE1	-0.7685
CNGA3	-0.1975
GML	-0.0245
CD38	-1.82925
ZDHHC6	-0.324
NEFH	-1.7515
CTDSP2	0.352916666666667
PGBD5	-1.03066666666667
CCNY	-0.104928571428571
RMND5B	0.587083333333333
ZNF257	-0.7005
FLJ22167	-0.253375
EXOSC7	-0.531666666666667
ROR2	1.345375
MAOA	0.16925
TNNT3	0.9075
GYPC	-1.13475
C7orf33	-1.156
PLIN	3.9995
LOC90826	-0.396
RNF4	-0.1947
F8A1	0.576
PLEKHG4	-0.50675
GRB2	0.30975
HIST1H2AD	2.464
DUS3L	-1.0465
EIF1	-0.303666666666667
RP5-1077B9.4	-0.709
FPGT	2.142
GDF10	1.69983333333333
COQ9	-0.11225
GCC2	0.158571428571429
RARRES3	2.90175
PLXNA1	-0.8882
KIAA0100	-0.3215
PMF1	0.36875
FNDC1	5.1105
HS2ST1	-0.2575
CRELD2	0.12025
C8G	-0.4965
CD82	1.5495
LIM2	-2.294
UNQ6490	0.8305
MMP16	0.01475
DRD3	0.53575
C5orf26	-0.75225
C11orf73	-0.153875
PTP4A2	1.5685
OR4M2	-0.247
HPCA	-1.45483333333333
SEC14L1	-0.835
CHFR	-0.138125
EMILIN1	0.633625
NDUFS4	-0.23075
COL18A1	-0.329
PDZD3	-0.0527
C9orf16	-0.0991666666666667
ERBB2IP	0.358
EMX2	2.88975
FUS	-0.379
TF	-3.7815
CLCN4	-0.849666666666667
CXorf56	-0.60275
C11orf72	0.65475
ELAC2	-0.0541666666666667
NPR1	-0.6315
ASS1	-2.42433333333333
USP42	-0.031
POLR2J	-0.653
SEC23IP	0.492166666666667
UQCRC1	-0.02
LOC729603	-1.31825
C1orf71	0.972
POLG	-1.8745
ADAM23	-3.5045
TFR2	-1.2695
RICTOR	-0.7589
MGC39606	-0.05775
C19orf55	-0.19025
SNAPC1	-1.204
GNA11	0.353125
CCDC52	0.044
FSIP1	5.7635
UPF3A	-0.414875
IGSF11	-2.04116666666667
LAGE3	-0.75225
CHST6	-1.882
UNC13B	0.405875
TTLL4	-0.804375
ZNF687	0.662375
SDC2	-1.053
COX7A2	-0.51675
LAMB4	-0.10225
FAM24A	-2.417
LRRTM3	-0.8275
GPHB5	-0.275
OR4C13	0.38
EIF3EIP	-0.558642857142857
HABP4	-1.1575
TMEM125	3.727
CNTN2	0.59025
ASNSD1	-0.1005
FUT4	-0.298375
ACF	-4.08425
LOC158381	0.9445
CDH8	-0.49
AGPS	0.00283333333333335
C4orf18	5.1
PECI	0.3775
UNG	-0.249625
GSTP1	-2.09
DCUN1D5	-1.4545
DKFZP564J0863	-0.8025
SLC9A3R1	1.545125
BCDO2	-0.76525
CHMP7	-0.5845
REM2	0.54
DNHD1	-0.455875
FKBP4	-0.054625
ZNF350	1.79975
MGC11102	-0.35525
BST1	1.14025
KISS1R	0.7945
NCR2	0.3305
DEFB125	0.507
UBE2W	0.982875
KRT15	3.47575
C10orf99	0.3825
SCN11A	0.456125
GFI1	-2.05925
RDHE2	0.618833333333333
FHL1	-0.686
OSGEP	0.0615
GATA1	-3.20133333333333
SMC6	-0.9275
TTTY14	-1.11525
LPIN3	-0.4205
RPL4	-0.7365
RBPMS	-0.1305
PRPF3	-0.433166666666667
EMR1	-1.817
SPATA19	0.64225
XCR1	0.532
IRX3	1.9045
RBM6	-1.1145
KLF4	-0.8146
UNC5CL	-1.928
SEBOX	-0.622
BTK	0.064
KRCC1	1.752
C6orf27	0.3505
SYTL5	-1.35
PRND	1.71685714285714
LOC653319	-0.9985
PIGL	-0.73475
HUS1	-0.302333333333333
SFRS6	-0.0753333333333333
C17orf77	0.741
UIMC1	-0.567166666666667
FXYD2	-1.531
LOC283152	2.7765
ZNF667	-0.53725
ZCCHC12	-1.2595
TFEC	4.3407
ATP7B	0.879833333333333
POLD2	-1.179
RG9MTD1	0.054
ACOT2	0.652166666666667
HIST1H4I	-0.65325
PPARGC1A	-1.8825
ETFA	-1.3423
POLRMT	-0.073
ZNF146	0.07975
MIA2	-1.7275
KLHL6	-0.9105
HOXB5	-0.899
NENF	1.10133333333333
CUGBP1	0.471
PRSS22	1.83816666666667
CASC4	2.0594
CUL4B	-0.3202
CENPJ	-1.5856
PITX1	-0.5355
FLJ31033	1.483
CELSR3	-1.70916666666667
ZNF568	0.9545
ITSN1	-0.4525
EHBP1L1	-0.7795
C19orf2	-0.684
DCTN1	-0.0055
LIN28B	-3.208
TNKS2	-0.22525
C1QBP	-0.636
CADPS2	1.248
SRMS	-0.31425
GJA9	0.312
MGC24975	-0.428833333333333
TRIM45	0.0645
TSP50	0.262
TCP1	-2.05075
TMED7	0.4838
CMA1	1.314
CENPL	-0.402
PTCRA	0.299
FST	-4.72875
VWCE	-3.831
PAWR	0.6285
ABCC12	2.64083333333333
LDLR	-1.6825
ASTN2	1.0241
LOC441212	-1.07675
GPATCH8	0.02
TANC2	-0.532583333333333
KIF4A	-1.54975
C18orf18	-1.1885
PGM1	-1.02375
KIAA0258	-0.28875
CPD	1.654625
SNCAIP	-1.50775
DCT	-4.08266666666667
HLA-DOA	2.63333333333333
OR11L1	0.9465
UPK1B	-0.577
DNAJB4	-0.383875
UGT1A8	-1.21275
HIST1H4L	-0.731
PECR	-0.617166666666667
HSPA2	2.41825
WFIKKN1	-1.783
SERP1	1.23075
SYDE2	2.1175
TACR2	0.746
NUP85	-0.7555
CD177	1.59333333333333
LGR5	-2.73333333333333
PIGG	0.516666666666667
PTHR1	-1.875
RAB5A	0.2246
FLJ13224	-0.228
USP9Y	-2.57533333333333
C7orf53	-1.9955
LRP1B	-1.18575
XAF1	3.3547
ABCG8	-1.706
ANKDD1A	-0.2495
DAND5	0.0005
SPAG6	-0.0546666666666666
LINCR	2.6015
ZDHHC22	-0.6385
CCDC60	-0.9285
THOC7	-1.4115
TCTA	1.0589
OR8K3	0.1305
NY-REN-7	-0.5075
B2M	2.17216666666667
C6orf141	0.678875
LPPR4	2.8045
SQLE	-1.611625
SEPHS1	-0.4635
BTBD14B	0.595714285714286
PLRG1	-0.624
SPG7	-0.446625
ZNF614	0.201833333333333
PARD6G	0.862166666666667
INPP5B	-0.4997
GRPEL2	-0.219875
PPID	-0.532
TRIM56	-0.27975
UBE2J1	-1.01525
IL20RA	2.6665
LOC387856	0.13225
C1orf107	0.94975
UTS2R	1.2095
C19orf22	-0.61625
SAFB2	0.1305
KIAA0652	-0.2765
KLRG1	-0.479166666666667
MS4A8B	4.4425
FRAG1	0.248
KIAA1546	-0.12475
E2F4	-1.1709
CLEC4M	0.949666666666667
BTBD14A	-0.89125
KIAA0999	1.4755
GYPA	-4.0228
TAC1	0.00679999999999999
TRAIP	-1.0435
KIAA0232	0.935
ERCC8	-1.308375
GPX4	0.78675
KIAA0368	-0.649875
GPR157	-0.6875
CTAGE4	0.8785
C9orf30	-1.05316666666667
OR52A1	-0.3535
HSP90B3P	-0.4535
ALG9	-0.2785
BTBD10	1.018
SDK2	-0.2625
BAIAP3	0.861
RABGGTB	-0.656375
ANKRD40	-0.5025
KRT74	0.0235
CALCOCO2	0.479285714285714
SNCA	-3.255
TMSL8	-4.473375
C2orf53	-1.9015
ESRRB	-0.86275
ARHGAP26	-1.0535
TDRD9	-2.19625
HRAS	0.557666666666667
KLRC4	-2.0185
JAGN1	-0.124166666666667
BSDC1	0.6695
RNF43	0.1931
NDUFAF1	0.781
PHF12	0.36025
OR1L3	-0.48775
FOLR2	2.07466666666667
LYZL6	0.182833333333333
tcag7.1260	-2.0525
WSB1	-1.483
PROS1	-0.7627
OSTN	0.4145
PSMB8	1.86025
SOCS4	-0.331125
DDIT4L	0.906
MAS1	0.5075
MGC34796	1.81975
CSHL1	0.209833333333333
TBCCD1	0.0625
ZBTB7C	0.392
AP2S1	-0.230375
P15RS	0.1187
VAT1	-1.0738
SHANK3	0.798
TUFM	-0.438
THEG	-1.80525
KRT34	-1.59275
SGSM3	-0.507625
TOMM22	-1.045875
SOCS3	1.14083333333333
CPO	0.618
POP4	0.22625
BHLHB3	0.4485
MALL	0.87925
OR1B1	0.081
PARK2	-0.1365
GPR124	0.383875
LCE1E	0.486
RUVBL2	-0.67875
CGRRF1	0.4585
ACPL2	0.45125
WNT10B	-1.97975
BAIAP2L2	-2.050875
ISCA1	-0.4915
C1orf125	3.015875
RPAP1	-0.833
RAI16	0.334166666666667
RPL27	-0.789
NLRP9	1.775
EPN1	-0.2435
LOC388610	-3.0965
SLC35A1	0.5083
GAL	-4.03725
SLC14A2	0.7185
RDH11	-0.468833333333333
FAM138F	-0.7205
AUH	-0.1785
FLJ40243	-0.3935
C14orf129	0.500833333333333
MBD2	-0.577833333333333
ABHD14B	-0.07975
PIGT	0.934875
ALS2CR4	-0.5035
ALAS1	-0.593
FOXO1	0.379166666666667
CRLF3	-0.208125
C20orf107	-0.1835
FARS2	1.1595
CCDC28A	0.38925
NPHP3	-0.98775
OR13F1	0.1105
TSEN54	-0.338
DEFB106B	0.0879
OR8B4	0.609
STH	0.62175
ZC3H14	-0.70175
CBX2	0.1975
TMEM49	-2.05325
C6orf21	0.3215
FLJ20920	1.064125
CRTAP	0.138285714285714
DDX50	-0.33375
STYXL1	-0.51175
BLVRB	0.319166666666667
LOC147650	-0.1205
MMP24	-0.31625
GRID1	0.936833333333333
BANF1	-0.865166666666667
CTAGEP	0.44
HMBS	-1.5745
SLC25A24	0.603833333333333
C14orf50	1.0225
MRO	1.5235
SLC25A15	-0.55175
FAM84B	1.172
TDP1	-0.7925
C16orf78	0.2725
C11orf57	0.580375
RFK	-0.714375
ZFYVE9	0.9425
STCH	-1.4016
WIBG	0.85425
LOC283871	-0.258166666666667
GBA2	-0.6215
NDUFB3	0.565
HSD17B13	0.72325
GRIN3A	0.599166666666667
FMNL1	-0.585
SEPT7	-0.5761
GNLY	2.9825
GRAMD1C	1.79283333333333
ZNF165	0.4155
USP38	0.82425
FAM83A	-3.20833333333333
C14orf24	0.430416666666667
ARMCX3	1.679125
ARHGDIB	0.1775
AK1	0.506125
KIAA1045	-0.0815
DNAJB13	-0.718833333333333
NEU2	0.3625
HIST1H4B	-0.317
FAM20B	0.6224
HES2	-0.550714285714286
FAM73B	-0.7775
LOC388381	0.00025
INTS7	0.219
AMPH	4.3495
ZNF775	0.17575
UCKL1	-0.669833333333333
C10orf97	-0.225
C1orf161	-0.137
ALDH1L1	0.11375
FLJ39378	0.30425
SLC23A1	-1.0705
RBM4B	-0.0165
THAP4	0.272166666666667
OGFRL1	-0.0505
KIAA0831	-0.08925
PPP1R15A	-0.942833333333333
C1orf96	1.11492857142857
C12orf11	-2.526
BMF	0.11625
MAN1A1	-1.50375
KIAA1600	0.416
NLGN4X	-0.87875
ALOX12	-0.945666666666667
RB1CC1	-0.4803
NEIL2	0.2485
EIF4E	-0.598772727272727
ABHD5	-0.61375
EXOC4	0.100666666666667
CIP29	0.7515
BATF2	2.7085
SLC29A4	-0.9455
HTR4	0.40875
EMB	0.31575
TRAF6	0.605
LMNB1	-0.30725
FAM19A5	-1.433875
SHE	0.94375
PIK3C2B	1.4045
C15orf15	-0.9624
USP15	0.0441
TCEAL2	0.718
C5orf39	-0.566
PTGER2	-0.47275
SLC31A1	-1.107125
IFT172	0.3615
ADAM29	0.191
GFOD1	-0.1115
ST7L	0.0808333333333333
C15orf26	-2.597
PKN3	-1.41375
CNTD1	2.81916666666667
COMMD1	0.390875
NTRK2	2.80527272727273
FOXN3	-0.466125
MFGE8	-1.1156
PFKFB2	0.405166666666667
TAS2R4	-0.33075
ENTHD1	0.916
PRMT5	-0.934875
MGC16384	-0.99975
LOC442229	0.446
TSKU	0.576875
KRTCAP3	3.322
PDLIM1	-0.1961
KCNS2	-1.12
RNF126	-0.664666666666667
CEP63	0.113625
CLIC4	-1.05825
hCG_1990170	-0.38225
ACR	0.2582
KLK7	-0.55775
ALOX5AP	3.54275
RIPK3	3.72925
TAS2R9	0.16
C19orf18	2.944
BIRC6	-0.508142857142857
ZNF16	0.7975
RFT1	-0.2935
SLC8A2	-1.37475
TACC1	-0.1505
ITGAD	2.41675
SAMHD1	1.3685
SH3PXD2B	0.6698
EPC2	0.82675
C20orf85	0.630375
ATP13A2	1.38283333333333
KRT4	0.4685
CAPNS1	-0.18725
MDM2	0.77725
PCDH20	6.04425
KCNK9	0.6875
OR2C1	0.0615
KLHDC3	-0.907333333333333
IPPK	-0.131
EFHD2	0.8015
GALR3	1.449
NBEA	2.0865
ABCA6	2.6248
CLDN3	1.849
AKT2	-0.272285714285714
EGFR	-2.1374
RBM16	0.102125
ZDHHC3	-0.0289
SLC25A4	0.508333333333333
CYB5B	-1.13633333333333
CPXM1	-0.18
NDRG1	-1.90476923076923
FLJ43826	0.264
OR5L2	-0.398166666666667
FARP2	0.5997
MRPL46	-0.3545
LDHAL6B	-0.267166666666667
MAPKAPK3	-0.359833333333333
NCAM2	-1.416
PRKD2	0.354333333333333
ZFP36L1	1.1148
CYSLTR1	0.2945
OR4C3	-0.58975
HIST1H2AJ	1.349
CCNB2	-1.50366666666667
ZNF10	0.2215
TMEM175	0.652
FAM134A	0.882666666666667
TIGD4	0.856
PCNP	-0.33925
MGC39715	-0.92275
LQK1	-0.99175
CREB1	0.3967
TMPRSS3	0.75825
C4orf32	2.619875
LAT	-0.7985
KCNA3	1.5865
SKIV2L2	-0.59475
ROPN1B	-3.31975
tcag7.23	-1.0265
CDT1	-2.3365
ZHX2	0.572375
CD28	-3.1465
ZNF624	0.638
SEPT2	0.2075
SOHLH2	-0.948571428571429
MCOLN3	0.0541428571428571
UNQ1945	0.081
MASP2	-0.7995
ZNRF3	0.5119
GPATCH3	-0.20775
AGL	0.456375
QRICH2	0.3455
PSD4	1.12866666666667
CCNB1IP1	-2.0345
ENPP7	-0.4845
OBFC1	0.203
KCNG3	-1.473
C14orf79	0.632083333333333
ENPEP	1.818
SCT	0.719
SKI	0.77625
SEC61G	-0.572
CAPN11	0.3105
ATXN7L3	-0.43
DBNDD1	-0.289833333333333
FAIM	0.53475
ANKRD36	-0.307
GABRP	-0.180333333333333
TACSTD2	2.52616666666667
EIF3J	-0.5355
PPP2R2A	-0.3815
TEKT4	-1.084
PVALB	-3.10516666666667
F10	-2.24666666666667
FAM134C	0.6484
COMP	4.329
EFCBP1	-2.8735625
SCLT1	1.0935
TAL1	-1.3183
ACSL1	0.83675
ABCC5	1.36441666666667
ABL1	-0.499222222222222
RBBP7	0.476916666666667
PTPRG	-1.469125
NCOR1	0.2297
SPINK4	3.10816666666667
TXNRD1	-0.6136
TNRC15	1.308625
C9orf138	0.97925
UBE2H	0.755166666666667
BRDT	0.592666666666667
C8orf31	-0.229
CCNE2	-1.48890909090909
SLC6A8	-1.994125
CALCR	-1.3
PPP1CB	0.521166666666667
ABHD8	0.225
ARF5	-0.0414
SLC24A4	0.46425
CCT3	-0.004
ZNF121	0.402125
SLC3A2	-0.9843
OR13A1	0.169
SLC5A10	0.47775
RAD50	0.056
IER5	0.273875
MTHFD1L	-2.1915
MBTPS2	0.1875
MVK	-0.69
NCL	-0.3432
PSMD10	-0.66875
MOBP	0.2925
FLJ32894	-0.132
HRH1	-0.8585
C5orf30	1.09675
NUDT16L1	0.6555
RASGRP3	3.81216666666667
PRKRIP1	-0.1809
CCDC75	0.32325
LOC253970	0.2795
KIAA1239	1.5185
MED21	-0.839
SYT11	0.171666666666667
NTSR2	-0.067
EGFL11	2.06
CXorf59	0.645
OR2A25	-0.28575
SPTBN2	-1.959
LRMP	-0.83
RNF111	0.52825
PTH	0.085
LOC619208	0.511333333333333
KIAA0895	0.36975
RANBP5	-0.849625
P2RY10	1.52666666666667
NME5	4.08166666666667
DDX21	-1.289
LRSAM1	-0.139
HDAC11	1.73633333333333
VMO1	1.637
NOLA2	-0.392166666666667
ADAR	1.931
MTO1	-1.42966666666667
SF4	0.304833333333333
P2RX1	0.1025
HBM	0.3195
EN2	1.384
C14orf172	0.16925
TM9SF2	0.5072
INHBE	-2.89266666666667
TCTE3	-0.301545454545455
TOX2	-2.82725
CTAGE3	0.515
HBB	3.5357
MED15	-1.20933333333333
CASR	0.177
C6orf66	-1.78783333333333
MTPN	-0.2365
UNC50	-0.01275
C21orf33	0.118375
IRF2	1.29975
PGR	1.01116666666667
GPR84	2.213
CROCCL1	-1.42175
SRPX	-1.01025
BRE	-0.186333333333333
FGF10	4.44375
SDC3	-0.456666666666667
ZRSR1	0.7195
DKFZP434P211	-0.786625
SOX6	-0.328
RPUSD2	-0.1985
C14orf173	0.0393333333333333
MAPK11	-0.135333333333333
TBC1D22A	0.1155
FAM123A	-0.909
COL4A6	-3.43766666666667
TOMM70A	-0.11025
NAB1	-0.174875
MGC16385	-0.170875
TSPAN18	0.474166666666667
MED31	-0.10775
PLG	-0.394
CAPSL	-0.071
ZNF532	-0.129
ASB14	-0.0285
CA8	0.53225
NUDT16P	2.16883333333333
SLFN11	-0.678
LRRIQ2	0.80175
NOL7	-0.352
BRMS1L	-0.4955
JARID1A	0.3665
PANK2	-0.5045
ICAM3	-0.25775
MDS1	-0.87875
TAF8	-0.673
RNF139	0.94275
ZNF594	0.447333333333333
ADAM8	2.431875
SFTPC	-0.192
MAN2B2	1.294875
RGS12	0.9635625
EIF1AY	-4.23966666666667
LRRIQ1	1.5785
GPR150	1.38675
CCDC21	-1.28833333333333
PRRG3	0.555
SAA4	-3.4495
RAPGEF5	1.9635
ZCCHC2	0.681916666666667
MGC39372	-0.2765
PPP4R2	0.33
CDCA2	-1.31666666666667
OR4D5	0.333666666666667
PTGFRN	0.7654
SIGLEC5	1.29366666666667
C19orf61	-0.266
NMUR2	-0.017
KIAA1586	-0.632166666666667
DAGLA	0.551166666666667
CHCHD6	-0.5315
GPR32	0.8685
NEUROD6	0.125666666666667
SLC2A4RG	0.076
CA5B	-0.7235
FBXL3	1.073
MPHOSPH9	-1.33375
HMG2L1	-0.15525
HCN4	0.7855
CEACAM19	-0.3275
SH2D4B	0.288666666666667
HFE2	-0.286
TGM4	0.246
LYPD2	-0.62125
TBC1D15	0.36125
MRPS21	0.6307
NONO	-1.1049
CLEC5A	1.83175
ITCH	-0.2459
MGAT3	-1.04183333333333
MBP	-0.852625
RPP25	-0.31375
SOSTDC1	-2.1315
HRC	-1.3195
TRIM48	0.171
TMEM133	-0.07825
ECEL1P2	-1.2425
HOXC11	-0.4195
DOK5	0.11025
HELZ	-0.111
LOC348180	-0.68325
MGC33894	0.02625
ADRB3	0.0395
DMD	-0.18275
PTRH2	-0.676
MPEG1	3.41766666666667
NDUFA12	0.592166666666667
KRTAP2-4	-0.000749999999999917
STAMBPL1	-0.790333333333333
ADCY2	-1.4975
UNQ6125	0.649
KLHL20	0.600166666666667
SRM	-1.42075
OTC	0.0265
TMIE	-0.0996666666666667
SNX8	-0.50525
LIPK	-2.841
CHURC1	0.265583333333333
KLC2	0.398333333333333
HDAC1	-0.184166666666667
FAM128A	1.5895
FNDC3B	-0.2057
MTCP1	-0.276833333333333
WFDC10B	0.6615
PCDHGB3	1.3565
ATRNL1	-1.8916
CAV2	-0.843125
MED26	0.0631666666666667
DUS1L	-0.095
CHRM3	-1.479
NEK9	0.29125
WARS2	0.302
TBX22	-0.2575
TOMM40	-1.12025
RP6-213H19.1	-0.8545
TUBGCP5	0.077
IGSF6	5.697
TPPP	0.0383333333333334
UNQ6190	0.509
GSTM5	0.3725
BTD	0.111
PDCD1LG2	-0.201333333333333
SNRPB2	-0.243
ERICH1	-0.58975
APOA4	-1.343875
HOXA11	-1.226
NARG1	-0.331
MKX	-0.37025
RAB28	-0.335285714285714
PKP3	1.0775
SH3GL2	1.20225
CTSO	3.041
RPN2	0.5146875
IL28RA	0.779333333333333
SFMBT1	1.02925
WDR57	-0.6255
FER1L3	1.91333333333333
HSF5	0.456833333333333
TTC9B	0.60075
C4BPA	-3.091
ALB	-3.89630769230769
SORBS3	0.40325
UPF2	-0.147
JPH1	0.2035
AGBL2	1.5505
DOPEY1	0.3975
TERF1	-0.06225
KIF22	-0.1035
NINJ1	2.06075
SEC61A2	0.0708333333333333
HIST1H1D	0.772833333333333
SFXN4	-0.17775
UCP3	0.6293
ZNF703	1.25733333333333
MYL6B	-0.06925
TREM1	1.539
OR52E6	-0.2275
CKMT2	1.19975
HLA-C	2.315125
SLC13A3	-1.376
TIMP4	-0.36575
SLIT2	2.0835
RSF1	0.0252222222222222
LONRF1	-0.952357142857143
MON1A	0.0363333333333333
CACNG6	-0.7955
DPPA4	-4.8225
ZSWIM3	-0.04925
ZNF804A	0.321
CCIN	1.0245
SLC25A31	0.6255
KCNMB4	-1.23025
RABL5	0.457125
GALNS	-0.6035
STX6	0.8615
HIST1H1C	1.23733333333333
CIDEB	-0.194125
CASP4	0.368333333333333
PDK3	-0.1256
KCNJ11	0.929
TPR	0.023625
ZSCAN20	-0.2485
MTX2	-0.00599999999999999
HIST1H2BH	1.892
LOC283767	0.91475
LYRM7	-1.29966666666667
BRD3	0.574833333333333
HIST1H2BO	1.702
MAGEB10	-0.49
SLC45A1	1.85
SERPINA3	3.23005
KIAA0143	1.15725
KCNJ16	-0.9784
KRT79	-1.9245
FABP2	-0.7855
NUT	0.68175
ZNF57	-0.54375
FBXL4	-0.27475
CLEC9A	1.214
UGT8	-1.22733333333333
BMP2K	0.23625
MAPK4	-1.158
SLC25A23	-0.526
HINT1	-0.8781
KRTAP13-1	0.3565
SFXN5	0.9311
CHCHD2	-0.14425
FAM3D	0.6695
NDP	-2.161875
RHOBTB1	0.799666666666667
SLC4A4	-1.2165
RPL38	-0.71825
HTF9C	-0.790166666666667
AP2A2	0.352625
ZBTB46	-1.354
MAP7D1	0.096625
AOX1	-1.055
CYR61	0.668416666666667
DTNA	-0.134928571428571
JRKL	-0.25925
TMOD3	0.05925
EEA1	0.3294
ADCK5	-0.46725
IL1R1	0.224666666666667
KLK3	0.760357142857143
HRSP12	0.214
KTN1	0.385
LOH11CR2A	-0.2433
RELL2	-2.00175
MAB21L1	1.54125
C20orf59	-1.17316666666667
PHKB	-0.06425
ADAM2	-2.324
TBC1D8B	1.383
FAM13A1	-1.0535
LAPTM4B	-1.68233333333333
LCN8	0.205
TMEM147	0.5035
SYT4	-0.478166666666667
XPO7	-0.411
C9orf62	1.8545
GPR75	-0.0175
TRIM5	0.537875
APOC1	0.543666666666667
RNASE4	0.900666666666667
PARD6B	1.5465
ARID1A	0.458333333333333
TPD52L3	1.033125
RRAGB	1.09233333333333
RCN2	-0.430166666666667
HIST2H2BE	1.7565625
STARD7	-0.1005
SHMT2	-1.632
KIAA1751	0.629833333333333
MLYCD	0.70425
LOC162632	-0.4207
UQCRH	-1.42425
RP11-217H1.1	0.213125
SDHA	-1.236
NCLN	-0.4815
ZNF17	0.6775
RCBTB2	-1.4875
VEGFB	0.1389
RP4-747L4.3	0.64825
COLQ	-0.00699999999999999
MPN2	-0.952333333333333
DRG2	-0.24975
KLRB1	4.791
ALPK2	-3.087
DNASE2B	5.61375
FLJ23834	1.90333333333333
AXUD1	0.351
SAFB	-0.0775
NSUN4	-0.04325
RFX2	-0.961166666666667
MAPK8IP1	-0.187333333333333
FANCD2	-1.31614285714286
ANKZF1	-1.46433333333333
C19orf50	-0.61675
DUSP8	1.171
SENP5	0.249125
NFKBIL2	-0.80775
LBR	-1.30775
IGFL1	0.6065
LZTS2	0.633625
IL2RG	-0.2175
CCDC51	-0.01525
KLF3	0.564125
ANKRD37	-1.41625
KCTD14	-3.0095
FZR1	0.2465
SLC44A4	3.8087
ESPL1	-0.083
GMPR2	-0.1278
TBC1D19	-0.133333333333333
ERGIC1	0.242333333333333
ERBB4	2.4906
TSPAN32	0.58075
MAP4	-0.189125
GPHN	1.10275
SLC6A2	0.16775
HIVEP1	0.13
DFFB	-0.0362
EIF4EBP2	0.393625
DMRT1	0.0425
HSPB6	0.301
IER2	0.896666666666667
AIFM1	-0.151
WWC2	0.665833333333333
MRPL4	-0.5285
FLJ21062	0.951666666666667
EPB41L4A	1.06275
SH2D6	0.12475
TAF4B	-0.7995
GAL3ST3	-0.625
MALT1	-0.793833333333333
RTDR1	-0.17425
ARVCF	-0.972625
MEX3B	-1.06516666666667
FBXO16	1.81475
KIF7	-1.996
C1QC	3.87233333333333
ZNF783	-0.567
ZNF85	0.25475
MMP13	5.8555
KIAA0329	0.643571428571429
RTP3	-1.49
ZBED3	-0.27125
CLGN	-0.16225
SLC25A37	-1.798875
hCG_18290	-0.871
OR5AS1	-0.363
SMARCC2	0.778416666666667
FAM109A	0.359833333333333
CCDC12	-0.0985
USF2	0.6404
DEPDC7	-2.14175
C20orf24	-0.636333333333333
JMJD3	0.387
DSP	2.36292857142857
SLIC1	0.205
FAM20A	0.31725
IRF2BP2	1.684875
ZNF230	0.43
MSN	-0.772928571428572
SLC9A5	-1.669
EPDR1	-1.1536
MUSK	0.281666666666667
