Hybridization REF	TCGA-BH-A0BP-01A-11R-A115-07
DUS3L	-1.03183333333333
EIF1	-0.345833333333333
RP5-1077B9.4	-1.35883333333333
FPGT	0.9465
GDF10	2.116
COQ9	-0.60075
GCC2	0.604
RARRES3	2.26
PLXNA1	-0.2463
KIAA0100	-0.2684
PMF1	-0.799
FNDC1	5.2415
HS2ST1	-0.36525
CRELD2	0.2855
C8G	-2.264
CD82	0.578
LIM2	-0.931
UNQ6490	0.5195
MMP16	0.153
DRD3	-0.37
C5orf26	-0.7895
C11orf73	-0.5495
PTP4A2	1.3895
OR4M2	0.104
HPCA	-1.44733333333333
SEC14L1	-0.507
CHFR	-0.415
EMILIN1	0.8745
NDUFS4	-0.371
COL18A1	0.142375
PDZD3	-0.0419
C9orf16	0.332666666666667
ERBB2IP	-0.0383333333333333
EMX2	4.1225
FUS	-0.818
TF	-2.4023
CLCN4	0.1055
CXorf56	0.4955
C11orf72	0.41
ELAC2	-1.02308333333333
NPR1	0.759
ASS1	-0.0335
USP42	0.521
POLR2J	-0.8605
SEC23IP	0.461166666666667
UQCRC1	-0.5315
LOC729603	-0.49075
C1orf71	-0.519625
POLG	-2.025
ADAM23	-2.12875
TFR2	-1.80175
RICTOR	-0.0411
MGC39606	1.33575
C19orf55	-0.28525
SNAPC1	-0.743166666666667
GNA11	0.584625
CCDC52	-0.3165
FSIP1	6.007
UPF3A	-0.834375
IGSF11	-2.122
LAGE3	-0.55
CHST6	0.4755
UNC13B	0.151
TTLL4	-1.686125
ZNF687	0.52575
SDC2	-0.4366
COX7A2	-0.23875
LAMB4	-0.33825
FAM24A	-0.8275
LRRTM3	-0.8005
GPHB5	0.12775
OR4C13	0.379
EIF3EIP	-0.0831428571428572
HABP4	-0.184
TMEM125	3.00025
CNTN2	0.630625
ASNSD1	0.1235
FUT4	-0.021
ACF	-3.96875
LOC158381	0.4875
CDH8	-0.146
AGPS	-0.1555
C4orf18	3.854375
PECI	-0.669083333333333
UNG	-0.92475
GSTP1	-1.431625
DCUN1D5	-1.53333333333333
DKFZP564J0863	-0.076
SLC9A3R1	1.480875
BCDO2	-0.87225
CHMP7	-0.5765
REM2	1.375
DNHD1	-0.512625
FKBP4	-0.8995
ZNF350	2.2315
MGC11102	0.06425
BST1	1.586
KISS1R	-0.3695
NCR2	0.1245
DEFB125	-0.1055
UBE2W	1.6685
KRT15	1.4855
C10orf99	0.00549999999999999
SCN11A	0.568625
GFI1	-2.593
RDHE2	5.37666666666667
FHL1	2.07566666666667
OSGEP	0.170333333333333
GATA1	-3.47083333333333
SMC6	-1.259
TTTY14	-1.042
LPIN3	0.29425
RPL4	0.1675
RBPMS	0.1189
PRPF3	-0.9885
EMR1	-2.077
SPATA19	0.16425
XCR1	0.025
IRX3	0.5655
RBM6	-0.66675
KLF4	-0.151
UNC5CL	-1.73575
SEBOX	0.1605
BTK	-0.954
KRCC1	1.5195
C6orf27	0.1105
SYTL5	0.1215
PRND	4.29775
LOC653319	-1.403
PIGL	-1.73125
HUS1	0.002
SFRS6	-0.0425833333333333
C17orf77	0.367
UIMC1	-0.296
FXYD2	-1.8907
LOC283152	-0.2475
ZNF667	-0.39675
ZCCHC12	-0.7395
TFEC	2.9731
ATP7B	0.217333333333333
POLD2	-1.45483333333333
RG9MTD1	-0.25575
ACOT2	0.549
HIST1H4I	-0.422625
PPARGC1A	-2.0173
ETFA	0.1596
POLRMT	-0.70575
ZNF146	0.595125
MIA2	-0.99
KLHL6	-0.597166666666667
HOXB5	-0.13375
NENF	-0.130833333333333
CUGBP1	-0.73975
PRSS22	1.01033333333333
CASC4	1.6347
CUL4B	0.5209
CENPJ	-1.7446
PITX1	-0.326333333333333
FLJ31033	0.0978333333333333
CELSR3	-1.32116666666667
ZNF568	0.5985
ITSN1	0.502833333333333
EHBP1L1	-1.07933333333333
C19orf2	-0.19125
DCTN1	-0.06325
LIN28B	-3.8644
TNKS2	-0.441
C1QBP	-1.025625
CADPS2	1.10725
SRMS	-0.132
GJA9	0.163833333333333
MGC24975	-0.2205
TRIM45	-0.161666666666667
TSP50	0.1465
TCP1	-0.849
TMED7	0.1881
CMA1	0.93
CENPL	-1.029
PTCRA	-0.23
FST	-2.9185
VWCE	-3.39825
PAWR	0.347
ABCC12	1.419
LDLR	-0.7251
ASTN2	0.5347
LOC441212	-0.996625
GPATCH8	-0.31775
TANC2	0.35525
KIF4A	-2.89175
C18orf18	-1.1035
PGM1	-0.41575
KIAA0258	0.7695
CPD	-0.2125
SNCAIP	0.05725
DCT	-4.26316666666667
HLA-DOA	2.51931818181818
OR11L1	0.3085
UPK1B	-0.376666666666667
DNAJB4	1.050125
UGT1A8	-0.543
HIST1H4L	-1.4615
PECR	-0.922166666666667
HSPA2	1.76475
WFIKKN1	-2.371
SERP1	0.05275
SYDE2	2.742
TACR2	0.354
NUP85	-0.828
CD177	0.196
LGR5	-2.20266666666667
PIGG	1.34625
PTHR1	-0.0408333333333333
RAB5A	0.2613
FLJ13224	-0.015
USP9Y	-2.06283333333333
C7orf53	-0.738
LRP1B	-0.27125
XAF1	1.804
ABCG8	-0.0805
ANKDD1A	0.203833333333333
DAND5	-1.1775
SPAG6	0.342333333333333
LINCR	0.9905
ZDHHC22	-1.291
CCDC60	-1.255
THOC7	-0.6755
TCTA	0.9438
OR8K3	0.15475
NY-REN-7	-0.81925
B2M	0.7615
C6orf141	-2.1475
LPPR4	3.3305
SQLE	-0.97225
SEPHS1	-0.67775
BTBD14B	0.635428571428571
PLRG1	-0.4285
SPG7	-0.9438125
ZNF614	-0.186166666666667
PARD6G	0.4205
INPP5B	-0.4908
GRPEL2	-0.419625
PPID	-0.5503
TRIM56	0.3575
UBE2J1	-0.65975
IL20RA	3.06925
LOC387856	0.3515
C1orf107	0.77425
UTS2R	0.0315
C19orf22	-0.29825
SAFB2	-0.18975
KIAA0652	-0.723625
KLRG1	-0.202833333333333
MS4A8B	2.87633333333333
FRAG1	-0.50525
KIAA1546	0.094
E2F4	-1.5504
CLEC4M	-0.234
BTBD14A	-0.026
KIAA0999	0.4143
GYPA	-3.60133333333333
TAC1	4.8906
TRAIP	-2.016
KIAA0232	0.8252
ERCC8	-1.018
GPX4	0.639125
KIAA0368	-0.497875
GPR157	-0.549333333333333
CTAGE4	0.173
C9orf30	-1.03883333333333
OR52A1	0.3125
HSP90B3P	-0.7925
ALG9	-0.766
BTBD10	0.272
SDK2	-0.11425
BAIAP3	0.61625
RABGGTB	-0.3285
ANKRD40	0.726
KRT74	0.3495
CALCOCO2	1.86364285714286
SNCA	-2.54375
TMSL8	-1.939125
C2orf53	-0.339
ESRRB	-0.603
ARHGAP26	-1.136125
TDRD9	-1.96275
HRAS	-0.456
KLRC4	-1.864
JAGN1	-0.588833333333333
BSDC1	0.85025
RNF43	0.5123
NDUFAF1	0.20725
PHF12	-0.005
OR1L3	0.12225
FOLR2	2.19233333333333
LYZL6	0.15
tcag7.1260	-1.644
WSB1	-0.968833333333333
PROS1	0.3326
OSTN	0.456
PSMB8	-0.15475
SOCS4	-0.298375
DDIT4L	2.05075
MAS1	-0.2655
MGC34796	1.52
CSHL1	0.182166666666667
TBCCD1	-0.446
ZBTB7C	-0.123
AP2S1	-1.2025
P15RS	-0.8957
VAT1	-0.9985
SHANK3	0.904
TUFM	-0.566666666666667
THEG	-0.4615
KRT34	-1.83475
SGSM3	0.140125
TOMM22	-0.18425
SOCS3	1.69716666666667
CPO	0.245
POP4	0.452
BHLHB3	2.1135
MALL	1.639
OR1B1	0.2485
PARK2	0.4
GPR124	1.433875
LCE1E	0.2075
RUVBL2	-1.287
CGRRF1	0.8408
ACPL2	0.23125
WNT10B	-1.915875
BAIAP2L2	-2.1715
ISCA1	-0.11
C1orf125	-0.093
RPAP1	-1.4755
RAI16	-0.150166666666667
RPL27	-1.04725
NLRP9	0.224
EPN1	0.503
LOC388610	-1.70975
SLC35A1	-0.0164
GAL	-3.846
SLC14A2	0.2505
RDH11	-1.0645
FAM138F	-0.3755
AUH	-0.02675
FLJ40243	0.69675
C14orf129	0.475
MBD2	-0.274333333333333
ABHD14B	0.0785
PIGT	0.493375
ALS2CR4	0.01525
ALAS1	0.2986
FOXO1	1.68866666666667
CRLF3	-1.090125
C20orf107	-0.1985
FARS2	0.61
CCDC28A	0.50175
NPHP3	-0.7435
OR13F1	0.3505
TSEN54	-0.97075
DEFB106B	0.297
OR8B4	0.0715
STH	1.1835
ZC3H14	-0.567125
CBX2	-0.2835
TMEM49	-0.5355
C6orf21	0.33
FLJ20920	0.079125
CRTAP	0.181928571428571
DDX50	-0.049
STYXL1	0.72675
BLVRB	-0.397166666666667
LOC147650	-0.252333333333333
MMP24	0.408
GRID1	2.27233333333333
BANF1	-0.6235
CTAGEP	0.014
HMBS	-2.785
SLC25A24	0.228666666666667
C14orf50	0.445
MRO	1.8035
SLC25A15	-0.8495
FAM84B	1.9902
TDP1	-0.4575
C16orf78	0.0716666666666666
C11orf57	-0.258
RFK	-0.510625
ZFYVE9	-1.212125
STCH	0.2949
WIBG	0.24075
LOC283871	-1.09483333333333
GBA2	-1.1079
NDUFB3	0.0865
HSD17B13	0.29025
GRIN3A	0.952666666666667
FMNL1	-1.13383333333333
SEPT7	-0.1456
GNLY	2.5435
GRAMD1C	1.16233333333333
ZNF165	0.28675
USP38	1.1635
FAM83A	-1.976
C14orf24	0.873666666666667
ARMCX3	2.574875
ARHGDIB	-0.0263333333333333
AK1	0.343375
KIAA1045	0.0985
DNAJB13	-0.366333333333333
NEU2	0.4045
HIST1H4B	-0.627166666666667
FAM20B	-0.8753
HES2	0.752214285714286
FAM73B	-0.881
LOC388381	0.33225
INTS7	-0.514545454545455
AMPH	1.79625
ZNF775	-0.4545
UCKL1	-1.0135
C10orf97	0.6365
C1orf161	-0.2585
ALDH1L1	2.05875
FLJ39378	-0.203375
SLC23A1	-1.163
RBM4B	0.20675
THAP4	-0.136833333333333
OGFRL1	0.1995
KIAA0831	0.084125
PPP1R15A	-0.0025
C1orf96	-0.371
C12orf11	-2.04125
BMF	-0.115375
MAN1A1	0.30225
KIAA1600	1.04383333333333
NLGN4X	0.44425
ALOX12	-1.40933333333333
RB1CC1	0.7391
NEIL2	0.6507
EIF4E	-0.069
ABHD5	0.91275
EXOC4	-0.259
CIP29	-0.444666666666667
BATF2	-0.50675
SLC29A4	0.672
HTR4	0.2925
EMB	-1.15325
TRAF6	0.7065
LMNB1	-3.954
FAM19A5	0.106875
SHE	2.5025
PIK3C2B	1.2945
C15orf15	-0.4609
USP15	0.7075
TCEAL2	1.6825
C5orf39	-0.975
PTGER2	-0.681
SLC31A1	-0.6293125
IFT172	0.47875
ADAM29	0.33925
GFOD1	1.37775
ST7L	0.296666666666667
C15orf26	-2.15675
PKN3	-1.53925
CNTD1	1.9535
COMMD1	0.65225
NTRK2	3.84358333333333
FOXN3	0.905125
MFGE8	0.3961
PFKFB2	0.024
TAS2R4	-0.12225
ENTHD1	0.338
PRMT5	-1.523375
MGC16384	-0.9755
LOC442229	-0.3425
TSKU	-0.030875
KRTCAP3	3.270875
PDLIM1	1.2696
KCNS2	0.066
RNF126	-0.766333333333333
CEP63	0.298
CLIC4	0.432625
hCG_1990170	-0.36675
ACR	1.8264
KLK7	3.4835
ALOX5AP	2.638
RIPK3	2.09075
TAS2R9	0.1335
C19orf18	3.108
BIRC6	0.0821428571428572
ZNF16	0.751
RFT1	-0.2025
SLC8A2	-0.426
TACC1	1.19675
ITGAD	1.0765
SAMHD1	1.24075
SH3PXD2B	1.1
EPC2	0.548
C20orf85	0.783375
ATP13A2	-0.211166666666667
KRT4	0.276375
CAPNS1	0.089
MDM2	0.0733333333333333
PCDH20	0.78425
KCNK9	0.308
OR2C1	0.071
KLHDC3	-1.74216666666667
IPPK	-0.368
EFHD2	-0.290625
GALR3	0.01175
NBEA	0.308166666666667
ABCA6	4.1625
CLDN3	0.952833333333333
AKT2	-0.713714285714286
EGFR	-0.8364
RBM16	0.143125
ZDHHC3	1.0744
SLC25A4	-0.505666666666667
CYB5B	-0.968166666666667
CPXM1	-0.14225
NDRG1	-1.32
FLJ43826	0.853
OR5L2	0.222666666666667
FARP2	0.4608
MRPL46	0.0528333333333333
LDHAL6B	-0.0995
MAPKAPK3	-0.506833333333333
NCAM2	-2.31325
PRKD2	-0.216
ZFP36L1	1.0193
CYSLTR1	-0.26625
OR4C3	0.1075
HIST1H2AJ	1.6225
CCNB2	-2.85144444444444
ZNF10	-0.030125
TMEM175	0.1375
FAM134A	0.6755
TIGD4	-0.402
PCNP	-0.44625
MGC39715	0.36475
LQK1	-1.07825
CREB1	1.5869
TMPRSS3	-1.34125
C4orf32	2.586125
LAT	-1.8585
KCNA3	-0.2605
SKIV2L2	-0.9295
ROPN1B	-0.2825
tcag7.23	-0.875
CDT1	-3.1575
ZHX2	1.691875
CD28	-2.43975
ZNF624	0.434
SEPT2	0.279666666666667
SOHLH2	-1.3025
MCOLN3	-0.601375
UNQ1945	-0.0915
MASP2	-1.387
ZNRF3	0.328
GPATCH3	-0.79075
AGL	1.492375
QRICH2	-0.157
PSD4	0.2035
CCNB1IP1	-1.86775
ENPP7	-0.057
OBFC1	0.10175
KCNG3	-1.17075
C14orf79	-0.383
ENPEP	1.7695
SCT	1.5075
SKI	0.64475
SEC61G	-0.02775
CAPN11	0.5275
ATXN7L3	-1.12975
DBNDD1	-1.10033333333333
FAIM	0.72225
ANKRD36	0.829
GABRP	3.244
TACSTD2	2.647
EIF3J	-0.41325
PPP2R2A	-1.022
TEKT4	-0.0895
PVALB	-3.2935
F10	-2.16016666666667
FAM134C	0.2424
COMP	4.624625
EFCBP1	-2.267
SCLT1	1.132125
TAL1	-1.0329
ACSL1	2.8825
ABCC5	1.03641666666667
ABL1	-0.551833333333333
RBBP7	0.0445833333333333
PTPRG	-0.09825
NCOR1	-0.7455
SPINK4	2.32866666666667
TXNRD1	-0.9159
TNRC15	1.013
C9orf138	1.36525
UBE2H	1.37783333333333
BRDT	0.000333333333333334
C8orf31	-0.216
CCNE2	-1.63163636363636
SLC6A8	-1.402125
CALCR	-3.472
PPP1CB	0.77325
ABHD8	-0.7065
ARF5	-0.3641
SLC24A4	0.57375
CCT3	-0.3155
ZNF121	1.177625
SLC3A2	-1.3825
OR13A1	0.0635
SLC5A10	-0.36
RAD50	-0.758125
IER5	0.24
MTHFD1L	-1.663625
MBTPS2	0.02025
MVK	-0.929125
NCL	-0.2152
PSMD10	0.641
MOBP	0.06475
FLJ32894	-0.416
HRH1	0.755166666666667
C5orf30	0.35975
NUDT16L1	0.5126
RASGRP3	3.52566666666667
PRKRIP1	-0.5145
CCDC75	1.35775
LOC253970	-0.24
KIAA1239	3.257
MED21	-0.94975
SYT11	0.850166666666667
NTSR2	-0.6455
EGFL11	0.0535
CXorf59	0.6475
OR2A25	0.34225
SPTBN2	-0.55275
LRMP	-1.21683333333333
RNF111	-0.336
PTH	-0.0195
LOC619208	0.493
KIAA0895	0.11775
RANBP5	-1.221125
P2RY10	0.665666666666667
NME5	4.15383333333333
DDX21	-0.70225
LRSAM1	0.35
HDAC11	0.810333333333333
VMO1	2.04175
NOLA2	-0.801333333333333
ADAR	0.616166666666667
MTO1	-0.964166666666667
SF4	-0.260166666666667
P2RX1	-0.220333333333333
HBM	-0.0585
EN2	-0.5055
C14orf172	-0.215
TM9SF2	0.6189
INHBE	-1.007
TCTE3	0.12225
TOX2	-2.4215
CTAGE3	0.62575
HBB	3.6987
MED15	-0.849
CASR	0.04
C6orf66	-1.18316666666667
MTPN	0.22125
UNC50	0.219
C21orf33	-0.308375
IRF2	0.465375
PGR	-0.954
GPR84	1.8875
CROCCL1	-2.217
SRPX	0.069
BRE	-0.3925
FGF10	1.91525
SDC3	0.834
ZRSR1	0.689666666666667
DKFZP434P211	-0.059875
SOX6	-0.088
RPUSD2	-0.5535
C14orf173	-0.130166666666667
MAPK11	0.3765
TBC1D22A	0.415
FAM123A	-0.7925
COL4A6	-0.678833333333333
TOMM70A	-0.24275
NAB1	0.281125
MGC16385	-0.9765
TSPAN18	0.566166666666667
MED31	0.4365
PLG	-0.632
CAPSL	2.802
ZNF532	0.9138
ASB14	-0.3175
CA8	1.59475
NUDT16P	0.271333333333333
SLFN11	-0.244
LRRIQ2	-0.36625
NOL7	-0.403666666666667
BRMS1L	-1.13875
JARID1A	0.280166666666667
PANK2	-0.33125
ICAM3	-0.34475
MDS1	0.7675
TAF8	-0.778
RNF139	1.66575
ZNF594	-0.2355
ADAM8	1.2145
SFTPC	-0.301125
MAN2B2	0.990625
RGS12	0.159875
EIF1AY	-4.44325
LRRIQ1	1.89516666666667
GPR150	0.062
CCDC21	-1.72616666666667
PRRG3	0.58775
SAA4	-1.02225
RAPGEF5	1.4575
ZCCHC2	0.934833333333333
MGC39372	0.1065
PPP4R2	0.2795
CDCA2	-2.57583333333333
OR4D5	0.450666666666667
PTGFRN	0.868
SIGLEC5	0.903666666666667
C19orf61	-0.858333333333333
NMUR2	0.217
KIAA1586	-0.5465
DAGLA	-0.365
CHCHD6	-1.12425
GPR32	0.7755
NEUROD6	-0.193833333333333
SLC2A4RG	-0.140625
CA5B	0.81425
FBXL3	1.2265
MPHOSPH9	-1.4865
HMG2L1	0.44925
HCN4	-0.355166666666667
CEACAM19	-0.11575
SH2D4B	0.4985
HFE2	-0.807
TGM4	-0.152333333333333
LYPD2	0.1855
TBC1D15	-0.0585
MRPS21	-0.0312
NONO	-1.2808
CLEC5A	1.614
ITCH	0.5275
MGAT3	0.5175
MBP	0.2805
RPP25	-0.601
SOSTDC1	1.96625
HRC	-1.18775
TRIM48	0.1985
TMEM133	0.45075
ECEL1P2	-1.568
HOXC11	0.4355
DOK5	0.40175
HELZ	0.6365
LOC348180	-0.78225
MGC33894	0.14575
ADRB3	-0.1535
DMD	0.7085
PTRH2	-0.003
MPEG1	3.00016666666667
NDUFA12	0.103666666666667
KRTAP2-4	-0.1835
STAMBPL1	-1.63533333333333
ADCY2	-0.0983333333333333
UNQ6125	0.137
KLHL20	1.2155
SRM	-1.287
OTC	0.22475
TMIE	0.0381666666666667
SNX8	-0.381
LIPK	0.5385
CHURC1	1.479
KLC2	0.154166666666667
HDAC1	-0.677666666666667
FAM128A	-0.458333333333333
FNDC3B	0.2894
MTCP1	-0.26
WFDC10B	0.2692
PCDHGB3	-0.0235
ATRNL1	-2.1578
CAV2	1.583
MED26	1.04816666666667
DUS1L	0.25
CHRM3	-1.315625
NEK9	-0.04575
WARS2	0.099
TBX22	0.4275
TOMM40	-1.3305
RP6-213H19.1	0.065
TUBGCP5	-0.73775
IGSF6	4.9485
TPPP	2.59066666666667
UNQ6190	0.512
GSTM5	1.334
BTD	0.797833333333333
PDCD1LG2	-0.1435
SNRPB2	-0.170166666666667
ERICH1	0.0485
APOA4	-1.680375
HOXA11	-1.2015
NARG1	-0.889125
MKX	2.88275
RAB28	-0.967714285714286
PKP3	0.1715
SH3GL2	-0.74475
CTSO	2.9485
RPN2	-0.0590625
IL28RA	-0.463333333333333
SFMBT1	-0.044
WDR57	-1.516125
FER1L3	1.08125
HSF5	0.543833333333333
TTC9B	-0.4795
C4BPA	-2.64083333333333
ALB	-4.24471428571429
SORBS3	0.328875
UPF2	0.1395
JPH1	-0.8355
AGBL2	0.3055
DOPEY1	1.668
TERF1	0.32625
KIF22	-0.230666666666667
NINJ1	0.50575
SEC61A2	0.195833333333333
HIST1H1D	0.016
SFXN4	-0.629
UCP3	0.2107
ZNF703	0.870666666666667
MYL6B	-1.52825
TREM1	1.6515
OR52E6	0.751
CKMT2	4.40175
HLA-C	1.42575
SLC13A3	-1.7655
TIMP4	3.047
SLIT2	3.31775
RSF1	0.259888888888889
LONRF1	-0.840071428571429
MON1A	-0.411333333333333
CACNG6	-1.43183333333333
DPPA4	-5.35766666666667
ZSWIM3	-0.10475
ZNF804A	0.0296666666666667
CCIN	2.056
SLC25A31	0.08375
KCNMB4	0.788
RABL5	0.88975
GALNS	-0.4159
STX6	0.358875
HIST1H1C	2.585
CIDEB	0.083125
CASP4	0.177333333333333
PDK3	-0.2782
KCNJ11	0.0335
TPR	-0.574
ZSCAN20	-0.34
MTX2	-0.62275
HIST1H2BH	1.6765
LOC283767	2.31975
LYRM7	-0.973722222222222
BRD3	-0.337
HIST1H2BO	1.244
MAGEB10	1.0195
SLC45A1	0.90575
SERPINA3	2.3272
KIAA0143	1.326
KCNJ16	1.62
KRT79	-0.30325
FABP2	-0.89075
NUT	0.08025
ZNF57	-0.234
FBXL4	-0.21175
CLEC9A	1.3565
UGT8	-1.108
BMP2K	0.41875
MAPK4	-2.83925
SLC25A23	-0.5353
HINT1	-0.6798
KRTAP13-1	0.1925
SFXN5	-0.3945
CHCHD2	-0.153583333333333
FAM3D	1.04
NDP	-2.5585
RHOBTB1	0.552
SLC4A4	0.2005
RPL38	0.5955
HTF9C	-0.826666666666667
AP2A2	0.215625
ZBTB46	-0.214
MAP7D1	0.480875
AOX1	0.276833333333333
CYR61	0.730083333333333
DTNA	0.285928571428571
JRKL	0.15875
TMOD3	0.2745
EEA1	0.0857
ADCK5	-0.78925
IL1R1	3.0925
KLK3	0.139642857142857
HRSP12	-0.117
KTN1	0.208
LOH11CR2A	0.8711
RELL2	-1.63275
MAB21L1	1.64975
C20orf59	-1.056
PHKB	-0.1535
ADAM2	-1.69833333333333
TBC1D8B	2.1235
FAM13A1	-0.7244375
LAPTM4B	0.21775
LCN8	-0.2215
TMEM147	0.588
SYT4	0.435833333333333
XPO7	-0.7305
C9orf62	0.08625
GPR75	0.1705
TRIM5	0.501625
APOC1	0.618666666666667
RNASE4	0.898666666666667
PARD6B	-1.784625
ARID1A	-0.337083333333333
TPD52L3	0.0608
RRAGB	0.749333333333333
RCN2	0.167166666666667
HIST2H2BE	1.17375
STARD7	-0.569
SHMT2	-1.34525
KIAA1751	-0.0733333333333333
MLYCD	0.33525
LOC162632	-0.8559
UQCRH	-0.909
RP11-217H1.1	0.021
SDHA	-0.768333333333333
NCLN	-0.543
ZNF17	0.472833333333333
RCBTB2	-0.80075
VEGFB	0.09
RP4-747L4.3	1.37675
COLQ	0.2733
MPN2	-0.7285
DRG2	-1.0725
KLRB1	3.818
ALPK2	-2.3255
DNASE2B	1.83525
FLJ23834	-0.086
AXUD1	0.544333333333333
SAFB	-0.4075
NSUN4	-0.9135
RFX2	1.2125
MAPK8IP1	-0.429166666666667
FANCD2	-1.46771428571429
ANKZF1	-1.75166666666667
C19orf50	-0.21825
DUSP8	0.87525
SENP5	0.510875
NFKBIL2	-1.17825
LBR	-1.704
IGFL1	0.0805
LZTS2	0.016875
IL2RG	-1.20025
CCDC51	-0.64125
KLF3	0.416375
ANKRD37	-1.4915
KCTD14	-0.633666666666667
FZR1	0.295916666666667
SLC44A4	2.4131
ESPL1	-1.52825
GMPR2	-0.7766
TBC1D19	-0.967833333333333
ERGIC1	0.152259259259259
ERBB4	1.1845
TSPAN32	-0.0645833333333334
MAP4	-0.06675
GPHN	-0.8505
SLC6A2	0.459875
HIVEP1	1.22
DFFB	-0.7941
EIF4EBP2	0.920375
DMRT1	-0.35675
HSPB6	0.699
IER2	0.713333333333333
AIFM1	-0.1195
WWC2	0.395333333333333
MRPL4	-1.16425
FLJ21062	2.12716666666667
EPB41L4A	1.30325
SH2D6	0.30575
TAF4B	-1.215
GAL3ST3	-0.4895
MALT1	-1.178
RTDR1	0.733
ARVCF	0.116875
MEX3B	0.993333333333333
FBXO16	0.8375
KIF7	-0.973
C1QC	3.97483333333333
ZNF783	-0.180166666666667
ZNF85	1.3245
MMP13	4.866
KIAA0329	0.5325
RTP3	-1.1975
ZBED3	-0.5765
CLGN	-0.60325
SLC25A37	-1.41708333333333
hCG_18290	0.197
OR5AS1	0.433
SMARCC2	0.0745
FAM109A	-0.537833333333333
CCDC12	-0.086
USF2	0.0029
DEPDC7	-1.2215
C20orf24	-0.316166666666667
JMJD3	0.2935
DSP	2.02557142857143
SLIC1	0.15975
FAM20A	1.624625
IRF2BP2	0.74475
ZNF230	-1.029
MSN	-0.0447857142857143
SLC9A5	-1.9735
EPDR1	-0.2835
MUSK	0.208
ZNF434	-0.193333333333333
SMARCD1	-1.0305
ZFP106	0.456
ZNF347	0.9999
GTF2E1	-0.19425
RY1	0.0035
ATAD2B	0.229375
