Hybridization REF	TCGA-A2-A0YK-01A-22R-A109-07
FSIP1	2.4545
UPF3A	-0.299
IGSF11	-2.4215
LAGE3	-0.01675
CHST6	-2.3465
UNC13B	0.1855
TTLL4	-0.533875
ZNF687	0.415625
SDC2	-0.6697
COX7A2	-0.60775
LAMB4	-0.00724999999999999
FAM24A	0.052
LRRTM3	-1.09583333333333
GPHB5	0.04475
OR4C13	0.185
EIF3EIP	0.568857142857143
HABP4	0.0035
TMEM125	2.54225
CNTN2	0.42675
ASNSD1	-0.06125
FUT4	0.647125
ACF	-4.21525
LOC158381	0.5285
CDH8	0.44925
AGPS	-0.405833333333333
C4orf18	3.12875
PECI	-0.247166666666667
UNG	-0.847
GSTP1	-0.390125
DCUN1D5	-1.77516666666667
DKFZP564J0863	-1.1165
SLC9A3R1	0.464875
BCDO2	-0.220875
CHMP7	0.505875
REM2	1.286
DNHD1	-0.278
FKBP4	-0.62825
ZNF350	1.9305
MGC11102	-0.28025
BST1	1.41625
KISS1R	0.2595
NCR2	0.0635
DEFB125	-0.897
UBE2W	0.4395
KRT15	4.443
C10orf99	-0.0655
SCN11A	0.72425
GFI1	-0.65375
RDHE2	1.45766666666667
FHL1	1.32283333333333
OSGEP	-0.2975
GATA1	-3.82233333333333
SMC6	-1.02975
TTTY14	-1.04825
LPIN3	-0.03875
RPL4	0.1703
RBPMS	0.72
PRPF3	-0.671
EMR1	-1.8365
SPATA19	0.40475
XCR1	-0.1185
IRX3	1.2577
RBM6	-0.15725
KLF4	0.8873
UNC5CL	-0.74525
SEBOX	-0.036
BTK	0.44375
KRCC1	1.101
C6orf27	0.3485
SYTL5	-0.9995
PRND	2.04271428571429
LOC653319	-1.371
PIGL	-1.795375
HUS1	-0.833166666666667
SFRS6	-0.354083333333333
C17orf77	0.867
UIMC1	-0.217333333333333
FXYD2	-1.5076
LOC283152	-0.0465
ZNF667	0.67325
ZCCHC12	-0.1185
TFEC	3.5464
ATP7B	2.1265
POLD2	-1.1095
RG9MTD1	-0.31575
ACOT2	0.581166666666667
HIST1H4I	-1.724625
PPARGC1A	-1.2692
ETFA	-1.2794
POLRMT	-0.38625
ZNF146	-0.022125
MIA2	-1.43
KLHL6	0.701833333333333
HOXB5	0.00875
NENF	0.411833333333333
CUGBP1	-1.0075
PRSS22	1.04033333333333
CASC4	1.2067
CUL4B	0.1102
CENPJ	-1.4812
PITX1	-0.273
FLJ31033	1.22316666666667
CELSR3	-2.6255
ZNF568	0.516
ITSN1	-0.46125
EHBP1L1	-0.0353333333333333
C19orf2	-0.36525
DCTN1	-0.25825
LIN28B	-3.735
TNKS2	-0.4635
C1QBP	-0.807125
CADPS2	1.82875
SRMS	0.63925
GJA9	0.131833333333333
MGC24975	-0.420666666666667
TRIM45	-0.525833333333333
TSP50	0.92575
TCP1	-1.381
TMED7	0.2417
CMA1	2.824
CENPL	-1.237
PTCRA	1.085
FST	-3.00375
VWCE	-3.49625
PAWR	-0.84525
ABCC12	1.6855
LDLR	-1.988
ASTN2	1.7303
LOC441212	-0.909875
GPATCH8	-0.00500000000000001
TANC2	-1.42191666666667
KIF4A	-2.40725
C18orf18	-1.176
PGM1	-0.6745
KIAA0258	0.41525
CPD	0.5275
SNCAIP	0.15525
DCT	-4.49483333333333
HLA-DOA	3.40668181818182
OR11L1	0.148
UPK1B	-0.632
DNAJB4	0.444375
UGT1A8	0.0555
HIST1H4L	-2.0635
PECR	-1.05316666666667
HSPA2	1.0595
WFIKKN1	-1.7535
SERP1	1.079375
SYDE2	1.0755
TACR2	0.233
NUP85	-0.8535
CD177	-0.7025
LGR5	-1.99283333333333
PIGG	0.0911666666666667
PTHR1	-0.6285
RAB5A	0.3067
FLJ13224	-0.2005
USP9Y	-2.264
C7orf53	-1.2765
LRP1B	2.6595
XAF1	2.577
ABCG8	-0.563
ANKDD1A	-0.1945
DAND5	-1.7285
SPAG6	0.826166666666667
LINCR	2.60125
ZDHHC22	-1.819
CCDC60	-1.3575
THOC7	-1.56233333333333
TCTA	1.001
OR8K3	0.028
NY-REN-7	-0.49475
B2M	1.87733333333333
C6orf141	-3.08275
LPPR4	3.525
SQLE	-3.08475
SEPHS1	-0.59225
BTBD14B	0.0542142857142857
PLRG1	-0.03325
SPG7	-0.437875
ZNF614	0.00533333333333333
PARD6G	0.901333333333333
INPP5B	-0.3949
GRPEL2	-0.719625
PPID	-0.5563
TRIM56	0.2205
UBE2J1	0.33825
IL20RA	4.983
LOC387856	0.5765
C1orf107	0.67
UTS2R	0.394
C19orf22	-0.42025
SAFB2	-0.128875
KIAA0652	0.4845
KLRG1	1.25883333333333
MS4A8B	2.26183333333333
FRAG1	0.335
KIAA1546	0.8755
E2F4	-0.8196
CLEC4M	0.256166666666667
BTBD14A	-1.85675
KIAA0999	0.9363
GYPA	-3.61333333333333
TAC1	2.8934
TRAIP	-1.5305
KIAA0232	0.8393
ERCC8	-1.258
GPX4	0.75025
KIAA0368	-0.063375
GPR157	-0.0963333333333334
CTAGE4	1.758
C9orf30	-1.7245
OR52A1	-0.004
HSP90B3P	-0.461
ALG9	-0.487
BTBD10	0.72375
SDK2	0.112
BAIAP3	-0.90875
RABGGTB	-1.342
ANKRD40	-0.778666666666667
KRT74	1.3035
CALCOCO2	0.512642857142857
SNCA	-2.201
TMSL8	-4.180375
C2orf53	0.77
ESRRB	-0.42025
ARHGAP26	-0.106625
TDRD9	-2.8485
HRAS	-0.207666666666667
KLRC4	-1.9355
JAGN1	0.1595
BSDC1	0.48775
RNF43	0.495
NDUFAF1	-0.396
PHF12	-0.413
OR1L3	0.68575
FOLR2	2.58708333333333
LYZL6	0.3786
tcag7.1260	-1.372
WSB1	-1.24466666666667
PROS1	0.9437
OSTN	0.2155
PSMB8	1.494
SOCS4	0.3945
DDIT4L	1.98375
MAS1	0.014
MGC34796	0.3195
CSHL1	0.0356666666666667
TBCCD1	0.183
ZBTB7C	-0.0475
AP2S1	-0.343625
P15RS	-0.4294
VAT1	-0.8476
SHANK3	1.55883333333333
TUFM	-0.337333333333333
THEG	-0.7
KRT34	-1.97975
SGSM3	0.781
TOMM22	-0.698625
SOCS3	1.618
CPO	0.8505
POP4	0.0145
BHLHB3	2.46025
MALL	2.41175
OR1B1	0.396
PARK2	1.491
GPR124	1.19325
LCE1E	-0.028
RUVBL2	-0.837
CGRRF1	0.4518
ACPL2	0.02225
WNT10B	-1.83775
BAIAP2L2	-2.2415
ISCA1	0.513
C1orf125	-0.1855
RPAP1	-0.80325
RAI16	-0.302833333333333
RPL27	-0.51275
NLRP9	-0.0285
EPN1	0.035
LOC388610	-0.41625
SLC35A1	0.7632
GAL	-4.0385
SLC14A2	0.052
RDH11	-0.816666666666667
FAM138F	-0.291
AUH	0.22325
FLJ40243	0.867
C14orf129	0.312833333333333
MBD2	-0.399666666666667
ABHD14B	0.166
PIGT	0.4265
ALS2CR4	0.109625
ALAS1	0.4155
FOXO1	2.43866666666667
CRLF3	0.197875
C20orf107	0.084
FARS2	0.76875
CCDC28A	0.43725
NPHP3	0.1965
OR13F1	0.3525
TSEN54	-0.629
DEFB106B	-0.3299
OR8B4	0.3185
STH	1.04425
ZC3H14	-0.217875
CBX2	0.056
TMEM49	-1.281
C6orf21	0.241
FLJ20920	0.51275
CRTAP	0.616428571428571
DDX50	0.05275
STYXL1	-0.28325
BLVRB	-0.181833333333333
LOC147650	-0.420666666666667
MMP24	0.374
GRID1	1.85916666666667
BANF1	-0.501666666666667
CTAGEP	0.5065
HMBS	-2.389
SLC25A24	-0.696
C14orf50	0.87475
MRO	0.691
SLC25A15	-0.926
FAM84B	1.0737
TDP1	-1.1715
C16orf78	-0.1068
C11orf57	-0.45975
RFK	-0.91825
ZFYVE9	-1.412625
STCH	-1.4991
WIBG	0.213
LOC283871	-0.685666666666667
GBA2	0.0873
NDUFB3	-0.4345
HSD17B13	1.3015
GRIN3A	1.93633333333333
FMNL1	0.4455
SEPT7	-0.0359
GNLY	3.9235
GRAMD1C	1.0175
ZNF165	-0.7685
USP38	0.89325
FAM83A	-2.34266666666667
C14orf24	0.23275
ARMCX3	0.815625
ARHGDIB	1.68416666666667
AK1	-0.046
KIAA1045	1.62425
DNAJB13	-0.398833333333333
NEU2	0.46
HIST1H4B	-1.89566666666667
FAM20B	-0.5339
HES2	0.0587142857142857
FAM73B	-0.0094
LOC388381	0.5305
INTS7	-0.408818181818182
AMPH	1.37925
ZNF775	-0.25475
UCKL1	-0.457833333333333
C10orf97	0.8165
C1orf161	-0.14175
ALDH1L1	1.5265
FLJ39378	-0.318625
SLC23A1	-2.1755
RBM4B	0.67025
THAP4	-0.0335
OGFRL1	0.582
KIAA0831	0.29125
PPP1R15A	0.187
C1orf96	-0.660285714285714
C12orf11	-2.5925
BMF	0.486875
MAN1A1	-0.17525
KIAA1600	0.8235
NLGN4X	1.339
ALOX12	-1.34583333333333
RB1CC1	-0.2709
NEIL2	0.222
EIF4E	-0.280227272727273
ABHD5	-0.06775
EXOC4	-0.142833333333333
CIP29	-0.234
BATF2	1.68575
SLC29A4	-0.589375
HTR4	0.61375
EMB	0.324
TRAF6	0.8405
LMNB1	-2.645
FAM19A5	-0.71375
SHE	2.73225
PIK3C2B	1.55375
C15orf15	-0.192
USP15	0.4009
TCEAL2	1.708
C5orf39	0.407666666666667
PTGER2	-0.28275
SLC31A1	-0.5726875
IFT172	0.3905
ADAM29	0.4305
GFOD1	1.146
ST7L	0.629166666666667
C15orf26	-2.406
PKN3	-1.1065
CNTD1	1.74883333333333
COMMD1	0.172
NTRK2	3.97416666666667
FOXN3	1.003
MFGE8	1.041
PFKFB2	0.431333333333333
TAS2R4	-0.24325
ENTHD1	2.27316666666667
PRMT5	-0.52225
MGC16384	-0.458375
LOC442229	-0.99275
TSKU	0.234625
KRTCAP3	1.90675
PDLIM1	0.9176
KCNS2	0.3225
RNF126	-0.125
CEP63	-0.247375
CLIC4	-0.155125
hCG_1990170	2.418
ACR	0.9349
KLK7	3.17875
ALOX5AP	3.46075
RIPK3	3.82975
TAS2R9	0.252
C19orf18	1.3395
BIRC6	0.3585
ZNF16	0.9575
RFT1	-0.31725
SLC8A2	-0.91925
TACC1	1.310125
ITGAD	1.059
SAMHD1	1.92825
SH3PXD2B	1.2507
EPC2	0.70625
C20orf85	-0.18775
ATP13A2	0.102833333333333
KRT4	0.102
CAPNS1	0.22925
MDM2	-0.75125
PCDH20	3.43475
KCNK9	0.286
OR2C1	0.04
KLHDC3	-0.910166666666667
IPPK	0.613
EFHD2	0.373625
GALR3	0.4195
NBEA	0.189833333333333
ABCA6	4.2943
CLDN3	1.11916666666667
AKT2	-0.6925
EGFR	-0.2003
RBM16	0.440625
ZDHHC3	0.2259
SLC25A4	-0.1685
CYB5B	-1.11416666666667
CPXM1	1.10675
NDRG1	-0.784615384615385
FLJ43826	0.72175
OR5L2	-0.304666666666667
FARP2	0.8469
MRPL46	-0.565166666666667
LDHAL6B	0.248
MAPKAPK3	-0.167666666666667
NCAM2	-1.18
PRKD2	0.772333333333333
ZFP36L1	1.4782
CYSLTR1	1.62875
OR4C3	0.3145
HIST1H2AJ	0.4125
CCNB2	-3.21377777777778
ZNF10	0.405
TMEM175	0.3535
FAM134A	0.354166666666667
TIGD4	0.847
PCNP	-0.0565
MGC39715	0.3195
LQK1	-3.1
CREB1	0.749
TMPRSS3	1.81275
C4orf32	1.952125
LAT	0.1635
KCNA3	0.4645
SKIV2L2	-0.55425
ROPN1B	2.91575
tcag7.23	0.16
CDT1	-3.23175
ZHX2	1.19375
CD28	-1.057
ZNF624	0.64475
SEPT2	0.44575
SOHLH2	-0.00512499999999998
MCOLN3	-0.36
UNQ1945	0.186
MASP2	-1.3805
ZNRF3	-0.4931
GPATCH3	0.06775
AGL	1.570875
QRICH2	0.1275
PSD4	1.49233333333333
CCNB1IP1	-0.75975
ENPP7	0.18025
OBFC1	-0.23075
KCNG3	-2.7275
C14orf79	0.433666666666667
ENPEP	2.55233333333333
SCT	1.358
SKI	0.6465
SEC61G	-1.712
CAPN11	2.0965
ATXN7L3	-0.44875
DBNDD1	-1.11566666666667
FAIM	-0.559
ANKRD36	-0.8525
GABRP	5.04416666666667
TACSTD2	2.45716666666667
EIF3J	-0.879
PPP2R2A	-0.45725
TEKT4	0.423
PVALB	0.726166666666667
F10	-0.636
FAM134C	0.6735
COMP	4.55625
EFCBP1	-1.3021875
SCLT1	0.4025
TAL1	-0.6728
ACSL1	2.55625
ABCC5	0.545
ABL1	-0.572555555555555
RBBP7	-0.347583333333333
PTPRG	-0.0275
NCOR1	-0.0585
SPINK4	-1.9646
TXNRD1	-0.5993
TNRC15	0.54
C9orf138	0.91875
UBE2H	0.307333333333333
BRDT	2.608
C8orf31	-0.0105
CCNE2	-2.19572727272727
SLC6A8	-1.98625
CALCR	-3.6215
PPP1CB	0.999
ABHD8	-0.17475
ARF5	0.0714
SLC24A4	1.40025
CCT3	-0.09425
ZNF121	0.34925
SLC3A2	-0.6452
OR13A1	0.1395
SLC5A10	-0.40425
RAD50	-0.157625
IER5	0.089375
MTHFD1L	-1.6955
MBTPS2	-0.33625
MVK	-0.548625
NCL	-0.2311
PSMD10	-0.65175
MOBP	0.512875
FLJ32894	0.1565
HRH1	-0.539833333333333
C5orf30	0.93375
NUDT16L1	0.4127
RASGRP3	4.285
PRKRIP1	-0.2612
CCDC75	-0.402
LOC253970	-0.047
KIAA1239	0.86125
MED21	-0.676
SYT11	0.821416666666667
NTSR2	-0.297
EGFL11	0.1655
CXorf59	-1.301
OR2A25	-0.2675
SPTBN2	0.6855
LRMP	0.315166666666667
RNF111	0.4625
PTH	-0.1855
LOC619208	0.358333333333333
KIAA0895	-0.2735
RANBP5	-0.764
P2RY10	3.01883333333333
NME5	2.216
DDX21	-1.0195
LRSAM1	0.316
HDAC11	0.9415
VMO1	1.3415
NOLA2	-0.4195
ADAR	0.936666666666667
MTO1	-0.1135
SF4	0.141833333333333
P2RX1	0.9655
HBM	-0.05175
EN2	0.621
C14orf172	-0.17525
TM9SF2	0.9532
INHBE	-1.76
TCTE3	-0.0480833333333333
TOX2	-1.39675
CTAGE3	0.0215
HBB	4.5487
MED15	-0.317833333333333
CASR	-0.63825
C6orf66	-1.11383333333333
MTPN	-0.607875
UNC50	-0.3765
C21orf33	-0.0705
IRF2	1.182875
PGR	-1.70466666666667
GPR84	2.1605
CROCCL1	-1.6285
SRPX	1.17175
BRE	0.364666666666667
FGF10	2.1025
SDC3	0.916166666666667
ZRSR1	0.758833333333333
DKFZP434P211	-0.01075
SOX6	0.5605
RPUSD2	-0.32925
C14orf173	-0.627833333333333
MAPK11	0.244333333333333
TBC1D22A	0.7245
FAM123A	-0.469
COL4A6	-0.933
TOMM70A	-0.17825
NAB1	-0.00424999999999996
MGC16385	-0.497625
TSPAN18	0.0981666666666667
MED31	-0.7595
PLG	-0.636
CAPSL	0.847
ZNF532	0.8581
ASB14	0.89475
CA8	-0.26825
NUDT16P	1.19783333333333
SLFN11	0.269
LRRIQ2	-0.2275
NOL7	-0.715166666666667
BRMS1L	-0.3345
JARID1A	0.408333333333333
PANK2	-0.60325
ICAM3	0.548
MDS1	0.1995
TAF8	-0.62225
RNF139	0.3495
ZNF594	-0.159166666666667
ADAM8	2.191875
SFTPC	-0.52075
MAN2B2	1.349875
RGS12	0.3018125
EIF1AY	-5.04491666666667
LRRIQ1	-1.08516666666667
GPR150	0.75675
CCDC21	-1.5595
PRRG3	0.82775
SAA4	-2.12475
RAPGEF5	1.918125
ZCCHC2	-0.0485
MGC39372	1.1185
PPP4R2	-0.115666666666667
CDCA2	-2.969
OR4D5	0.374333333333333
PTGFRN	0.7165
SIGLEC5	2.33316666666667
C19orf61	-0.31
NMUR2	-0.046
KIAA1586	-1.2565
DAGLA	-0.129666666666667
CHCHD6	-0.56025
GPR32	0.2495
NEUROD6	0.185
SLC2A4RG	0.449125
CA5B	0.34025
FBXL3	1.86625
MPHOSPH9	-1.531
HMG2L1	0.56475
HCN4	0.489333333333333
CEACAM19	0.1925
SH2D4B	0.6565
HFE2	-0.7855
TGM4	-0.836333333333333
LYPD2	0.36225
TBC1D15	0.30275
MRPS21	-0.3709
NONO	-0.9921
CLEC5A	1.35225
ITCH	-0.4187
MGAT3	0.496166666666667
MBP	0.524125
RPP25	-0.5555
SOSTDC1	2.87325
HRC	-0.294
TRIM48	-0.1875
TMEM133	0.7665
ECEL1P2	-1.3125
HOXC11	0.3285
DOK5	0.13975
HELZ	0.148
LOC348180	-1.19475
MGC33894	0.12275
ADRB3	-0.1085
DMD	1.44991666666667
PTRH2	-1.6015
MPEG1	3.6975
NDUFA12	-0.337
KRTAP2-4	-0.0195
STAMBPL1	-0.8665
ADCY2	0.066
UNQ6125	0.6715
KLHL20	0.3965
SRM	-1.1295
OTC	2.53075
TMIE	0.7665
SNX8	-0.23225
LIPK	0.2245
CHURC1	0.855083333333333
KLC2	0.0281666666666667
HDAC1	0.038
FAM128A	0.036
FNDC3B	-0.5381
MTCP1	-0.485833333333333
WFDC10B	-0.1115
PCDHGB3	0.319
ATRNL1	-1.7297
CAV2	1.025625
MED26	0.181166666666667
DUS1L	-0.2835
CHRM3	-0.40025
NEK9	0.902
WARS2	-0.63375
TBX22	-0.0175
TOMM40	-1.2035
RP6-213H19.1	-1.17583333333333
TUBGCP5	-0.10075
IGSF6	5.01725
TPPP	0.956666666666667
UNQ6190	-0.887
GSTM5	2.844375
BTD	0.835833333333333
PDCD1LG2	1.61716666666667
SNRPB2	-0.736166666666667
ERICH1	0.320875
APOA4	-1.8645
HOXA11	-2.09225
NARG1	-0.338
MKX	-0.50175
RAB28	-0.111642857142857
PKP3	0.70625
SH3GL2	-3.16225
CTSO	4.256
RPN2	-0.090125
IL28RA	0.793666666666667
SFMBT1	0.35375
WDR57	-0.022625
FER1L3	0.751916666666667
HSF5	0.2762
TTC9B	0.1925
C4BPA	-1.61283333333333
ALB	-2.70128571428571
SORBS3	0.636875
UPF2	-0.1055
JPH1	-0.468
AGBL2	0.18325
DOPEY1	1.495
TERF1	-0.489666666666667
KIF22	-0.811666666666667
NINJ1	0.438
SEC61A2	-0.92
HIST1H1D	-0.930666666666667
SFXN4	-0.611625
UCP3	0.6653
ZNF703	1.22233333333333
MYL6B	-0.48925
TREM1	0.831
OR52E6	0.672
CKMT2	3.1585
HLA-C	2.579625
SLC13A3	-0.7365
TIMP4	1.06975
SLIT2	3.6625
RSF1	-0.262111111111111
LONRF1	-0.628857142857143
MON1A	0.324666666666667
CACNG6	-2.0065
DPPA4	-5.29666666666667
ZSWIM3	0.49125
ZNF804A	0.462
CCIN	1.86525
SLC25A31	0.1545
KCNMB4	-0.24
RABL5	0.031125
GALNS	-0.7799
STX6	0.351
HIST1H1C	-1.656
CIDEB	0.646625
CASP4	0.7635
PDK3	-0.6742
KCNJ11	1.6125
TPR	-0.294625
ZSCAN20	-1.0925
MTX2	-0.71075
HIST1H2BH	-0.5505
LOC283767	1.81675
LYRM7	-0.858222222222222
BRD3	-0.102333333333333
HIST1H2BO	-0.73125
MAGEB10	-0.92
SLC45A1	0.98175
SERPINA3	0.5064
KIAA0143	1.20525
KCNJ16	3.11783333333333
KRT79	-0.0445
FABP2	-0.23825
NUT	-0.56575
ZNF57	-0.14775
FBXL4	0.233375
CLEC9A	2.822
UGT8	0.545166666666667
BMP2K	2.07475
MAPK4	-2.15725
SLC25A23	-0.7749
HINT1	-0.2079
KRTAP13-1	0.471
SFXN5	0.1726
CHCHD2	-0.308833333333333
FAM3D	3.7035
NDP	-1.962375
RHOBTB1	-1.00416666666667
SLC4A4	0.663
RPL38	-0.36325
HTF9C	-0.496333333333333
AP2A2	0.594875
ZBTB46	-0.2495
MAP7D1	0.32825
AOX1	0.7195
CYR61	2.19658333333333
DTNA	-0.238785714285714
JRKL	0.246
TMOD3	-0.11225
EEA1	-0.0316
ADCK5	-0.346
IL1R1	2.1295
KLK3	1.1815
HRSP12	-1.0965
KTN1	0.43625
LOH11CR2A	0.972
RELL2	-1.60625
MAB21L1	3.416
C20orf59	-1.58633333333333
PHKB	0.24425
ADAM2	-2.05616666666667
TBC1D8B	1.75183333333333
FAM13A1	0.627375
LAPTM4B	-1.31475
LCN8	-0.2345
TMEM147	0.0635
SYT4	-0.5394
XPO7	-0.941
C9orf62	0.4
GPR75	0.676
TRIM5	0.636875
APOC1	-0.927833333333333
RNASE4	1.2235
PARD6B	-2.466375
ARID1A	0.494583333333333
TPD52L3	0.3155
RRAGB	1.19916666666667
RCN2	-0.988833333333333
HIST2H2BE	-0.73325
STARD7	0.14175
SHMT2	-1.398
KIAA1751	-0.346
MLYCD	-0.00175000000000001
LOC162632	-1.118
UQCRH	-1.71875
RP11-217H1.1	-0.3296875
SDHA	-0.675833333333333
NCLN	-0.5836
ZNF17	0.9455
RCBTB2	-0.41075
VEGFB	0.2363
RP4-747L4.3	1.219
COLQ	0.5782
MPN2	-0.702333333333333
DRG2	-0.232
KLRB1	6.5095
ALPK2	-2.339
DNASE2B	2.131
FLJ23834	-0.5145
AXUD1	1.7005
SAFB	0.0683
NSUN4	-0.09675
RFX2	0.574166666666667
MAPK8IP1	0.131666666666667
FANCD2	-1.462
ANKZF1	-1.46716666666667
C19orf50	-0.2925
DUSP8	0.573375
SENP5	-0.52175
NFKBIL2	-1.0875
LBR	-0.518
IGFL1	0.6215
LZTS2	0.365
IL2RG	1.432625
CCDC51	-0.35675
KLF3	0.43375
ANKRD37	-1.054
KCTD14	1.17316666666667
FZR1	-0.284083333333333
SLC44A4	3.7528
ESPL1	-1.435125
GMPR2	-0.0927
TBC1D19	-0.530666666666667
ERGIC1	0.195037037037037
ERBB4	2.8905
TSPAN32	1.01783333333333
MAP4	-0.02925
GPHN	-0.3625
SLC6A2	0.541875
HIVEP1	0.6815
DFFB	-0.2918
EIF4EBP2	0.510375
DMRT1	-0.48925
HSPB6	0.723
IER2	1.117
AIFM1	-0.6785
WWC2	0.278
MRPL4	-0.48225
FLJ21062	0.938333333333333
EPB41L4A	1.4665
SH2D6	0.149
TAF4B	0.03825
GAL3ST3	-0.41
MALT1	-0.437333333333333
RTDR1	-0.23
ARVCF	0.056625
MEX3B	-0.296
FBXO16	-1.261
KIF7	-0.6405
C1QC	3.8735
ZNF783	-0.107833333333333
ZNF85	0.10375
MMP13	2.4735
KIAA0329	0.549375
RTP3	-0.3095
ZBED3	0.2545
CLGN	0.07525
SLC25A37	-0.617291666666667
hCG_18290	0.24525
OR5AS1	-0.146
SMARCC2	0.549833333333333
FAM109A	-0.24
CCDC12	0.122
USF2	0.5631
DEPDC7	-2.8535
C20orf24	-0.947166666666667
JMJD3	0.281
DSP	1.34971428571429
SLIC1	1.34075
FAM20A	2.018875
IRF2BP2	1.0935
ZNF230	0.155
MSN	0.151785714285714
SLC9A5	-2.06
EPDR1	-0.9963
MUSK	0.3975
ZNF434	0.245
SMARCD1	-0.484333333333333
ZFP106	0.34375
ZNF347	0.5268
GTF2E1	-0.297
RY1	-0.532833333333333
ATAD2B	0.067875
