Hybridization REF	TCGA-BH-A0HO-01A-11R-A034-07
OR11L1	0.6665
UPK1B	-0.6045
DNAJB4	-0.2725
UGT1A8	-0.85025
HIST1H4L	-3.0085
PECR	-0.625
HSPA2	2.24375
WFIKKN1	-1.742
SERP1	1.20125
SYDE2	0.789
TACR2	0.5605
NUP85	-1.197
CD177	0.761833333333333
LGR5	-1.66783333333333
PIGG	0.519666666666667
PTHR1	-2.032
RAB5A	0.3247
FLJ13224	0.208
USP9Y	-1.329
C7orf53	-0.7885
LRP1B	-1.1315
XAF1	2.6884
ABCG8	-1.006
ANKDD1A	-0.825333333333333
DAND5	-2.126
SPAG6	6.08633333333333
LINCR	1.32775
ZDHHC22	-1.3785
CCDC60	-0.053
THOC7	-0.96
TCTA	1.4987
OR8K3	0.64475
NY-REN-7	-0.54675
B2M	2.096
C6orf141	-0.221125
LPPR4	2.71275
SQLE	-0.86475
SEPHS1	-0.702
BTBD14B	0.306571428571429
PLRG1	-0.53375
SPG7	-0.9654375
ZNF614	-0.229333333333333
PARD6G	0.692666666666667
INPP5B	-0.3031
GRPEL2	0.198125
PPID	-0.9106
TRIM56	-0.2815
UBE2J1	0.27075
IL20RA	7.28075
LOC387856	-0.1715
C1orf107	0.852333333333333
UTS2R	0.48625
C19orf22	-0.4275
SAFB2	-0.57525
KIAA0652	-0.062625
KLRG1	-0.0513333333333333
MS4A8B	0.2085
FRAG1	0.64425
KIAA1546	-0.7005
E2F4	-1.3931
CLEC4M	0.121833333333333
BTBD14A	-0.81325
KIAA0999	2.3304
GYPA	-3.71233333333333
TAC1	-0.222777777777778
TRAIP	-2.16783333333333
KIAA0232	0.7412
ERCC8	-0.895625
GPX4	0.454625
KIAA0368	-0.32925
GPR157	-1.2025
CTAGE4	0.732
C9orf30	-1.66216666666667
OR52A1	0.542
HSP90B3P	0.382
ALG9	0.168
BTBD10	0.0865
SDK2	-0.97275
BAIAP3	-1.18025
RABGGTB	0.099625
ANKRD40	0.0558333333333333
KRT74	0.542
CALCOCO2	0.811928571428571
SNCA	-2.82975
TMSL8	-4.837
C2orf53	-0.02
ESRRB	-0.46075
ARHGAP26	-1.594
TDRD9	-2.486
HRAS	0.18
KLRC4	-2.311
JAGN1	0.3875
BSDC1	0.9925
RNF43	-0.4015
NDUFAF1	1.287
PHF12	0.37075
OR1L3	0.2715
FOLR2	1.54791666666667
LYZL6	0.459
tcag7.1260	-1.9395
WSB1	-1.96266666666667
PROS1	-1.258
OSTN	0.788
PSMB8	1.491
SOCS4	-0.203
DDIT4L	2.70675
MAS1	0.9345
MGC34796	2.46475
CSHL1	-0.00166666666666665
TBCCD1	-0.224666666666667
ZBTB7C	-0.1625
AP2S1	-0.366
P15RS	0.5793
VAT1	-1.0218
SHANK3	0.896166666666667
TUFM	0.00216666666666665
THEG	-0.6805
KRT34	-2.89925
SGSM3	0.567875
TOMM22	-0.25825
SOCS3	-0.3425
CPO	0.5755
POP4	0.245
BHLHB3	0.0135
MALL	0.7845
OR1B1	0.428
PARK2	0.722833333333333
GPR124	0.362375
LCE1E	0.3115
RUVBL2	-0.6015
CGRRF1	0.5894
ACPL2	0.73575
WNT10B	-2.500625
BAIAP2L2	-0.97
ISCA1	0.3515
C1orf125	-0.11575
RPAP1	-0.39125
RAI16	-0.670166666666667
RPL27	0.029125
NLRP9	0.141
EPN1	0.183
LOC388610	-1.552625
SLC35A1	0.7794
GAL	-4.625
SLC14A2	0.50975
RDH11	-0.437666666666667
FAM138F	0.363
AUH	0.64225
FLJ40243	-0.21425
C14orf129	0.559833333333333
MBD2	0.5545
ABHD14B	0.53725
PIGT	1.86575
ALS2CR4	-0.58575
ALAS1	0.0361
FOXO1	-0.132
CRLF3	-0.109
C20orf107	0.06
FARS2	0.77375
CCDC28A	0.9195
NPHP3	-2.03025
OR13F1	0.8665
TSEN54	-0.71975
DEFB106B	0.8513
OR8B4	0.692
STH	0.53175
ZC3H14	-0.545375
CBX2	0.085
TMEM49	-1.3805
C6orf21	0.9245
FLJ20920	1.498375
CRTAP	0.279857142857143
DDX50	0.079
STYXL1	0.31525
BLVRB	0.527666666666667
LOC147650	-0.0328333333333333
MMP24	0.44975
GRID1	1.50016666666667
BANF1	-1.62883333333333
CTAGEP	0.471
HMBS	-1.4135
SLC25A24	0.731666666666667
C14orf50	2.98325
MRO	1.32883333333333
SLC25A15	0.2235
FAM84B	1.0994
TDP1	-1.2605
C16orf78	0.0586666666666667
C11orf57	0.300125
RFK	0.443375
ZFYVE9	0.6295
STCH	-0.4762
WIBG	0.3155
LOC283871	-0.501666666666667
GBA2	-0.3874
NDUFB3	0.45475
HSD17B13	-0.4575
GRIN3A	0.646
FMNL1	-0.581666666666667
SEPT7	-0.7605
GNLY	2.411
GRAMD1C	1.59283333333333
ZNF165	0.7475
USP38	0.6565
FAM83A	-3.074
C14orf24	1.18516666666667
ARMCX3	0.720375
ARHGDIB	0.283833333333333
AK1	0.915625
KIAA1045	-0.39075
DNAJB13	-0.259166666666667
NEU2	0.34
HIST1H4B	-1.5915
FAM20B	-0.1567
HES2	0.153285714285714
FAM73B	-0.5162
LOC388381	-0.3535
INTS7	-0.666272727272727
AMPH	4.59625
ZNF775	-0.418625
UCKL1	-0.583333333333333
C10orf97	0.64425
C1orf161	-0.23325
ALDH1L1	-0.83175
FLJ39378	0.09025
SLC23A1	-1.7705
RBM4B	-0.3675
THAP4	0.738666666666667
OGFRL1	1.25825
KIAA0831	0.27175
PPP1R15A	-1.10366666666667
C1orf96	-0.0529999999999999
C12orf11	-0.8355
BMF	-0.19175
MAN1A1	0.306375
KIAA1600	0.435666666666667
NLGN4X	1.59625
ALOX12	-1.58516666666667
RB1CC1	-0.275
NEIL2	1.1864
EIF4E	0.646454545454546
ABHD5	0.31875
EXOC4	-0.837166666666667
CIP29	0.1125
BATF2	3.0825
SLC29A4	-0.726375
HTR4	-0.0265
EMB	2.389
TRAF6	0.6055
LMNB1	-1.9115
FAM19A5	-1.178625
SHE	1.331
PIK3C2B	0.993
C15orf15	-0.1878
USP15	-0.1556
TCEAL2	-0.03375
C5orf39	-0.743166666666667
PTGER2	-2.47525
SLC31A1	-1.0120625
IFT172	0.62175
ADAM29	0.18275
GFOD1	-0.14625
ST7L	0.519666666666667
C15orf26	-2.46725
PKN3	-1.6555
CNTD1	3.1325
COMMD1	0.766
NTRK2	2.46966666666667
FOXN3	-0.487875
MFGE8	-1.3499
PFKFB2	0.926833333333333
TAS2R4	-0.265
ENTHD1	-0.369333333333333
PRMT5	-0.66975
MGC16384	-2.0305
LOC442229	-0.33375
TSKU	-0.70525
KRTCAP3	4.6255
PDLIM1	-0.981
KCNS2	0.3485
RNF126	-0.205833333333333
CEP63	0.09825
CLIC4	-1.289625
hCG_1990170	-0.722
ACR	0.1272
KLK7	0.293
ALOX5AP	4.265375
RIPK3	2.904
TAS2R9	1.0455
C19orf18	-2.029
BIRC6	0.124285714285714
ZNF16	0.8705
RFT1	-0.497
SLC8A2	-0.805
TACC1	-0.89625
ITGAD	1.23175
SAMHD1	1.93175
SH3PXD2B	0.5026
EPC2	0.7735
C20orf85	0.10275
ATP13A2	1.0665
KRT4	1.161875
CAPNS1	0.07
MDM2	-0.180416666666667
PCDH20	5.4005
KCNK9	0.862
OR2C1	-0.156
KLHDC3	-1.087
IPPK	0.6325
EFHD2	0.101
GALR3	0.522
NBEA	2.55733333333333
ABCA6	2.3322
CLDN3	0.660833333333333
AKT2	0.108071428571429
EGFR	-2.5846
RBM16	0.453
ZDHHC3	0.1886
SLC25A4	0.446
CYB5B	-1.2305
CPXM1	-0.40125
NDRG1	-2.02823076923077
FLJ43826	0.35475
OR5L2	-0.0753333333333333
FARP2	0.6786
MRPL46	-0.357666666666667
LDHAL6B	0.0143333333333333
MAPKAPK3	0.368
NCAM2	-2.9435
PRKD2	0.0111666666666666
ZFP36L1	1.4582
CYSLTR1	0.94425
OR4C3	0.259333333333333
HIST1H2AJ	0.956
CCNB2	-2.78811111111111
ZNF10	-0.318125
TMEM175	-0.154
FAM134A	0.696833333333334
TIGD4	0.605
PCNP	-0.4245
MGC39715	0.2615
LQK1	-0.202
CREB1	0.0779
TMPRSS3	-2.464
C4orf32	1.944
LAT	-2.17333333333333
KCNA3	-0.7485
SKIV2L2	-0.71475
ROPN1B	-3.68075
tcag7.23	0.1215
CDT1	-3.2265
ZHX2	0.521875
CD28	-1.533
ZNF624	1.18525
SEPT2	-0.252916666666667
SOHLH2	-0.22225
MCOLN3	0.791375
UNQ1945	1.0335
MASP2	-0.637
ZNRF3	0.4561
GPATCH3	-0.5345
AGL	-0.611625
QRICH2	-0.003
PSD4	1.05533333333333
CCNB1IP1	-1.94675
ENPP7	-0.019
OBFC1	0.8955
KCNG3	-1.294
C14orf79	0.67525
ENPEP	1.87333333333333
SCT	0.6305
SKI	0.246375
SEC61G	-1.04025
CAPN11	0.00549999999999998
ATXN7L3	-0.3315
DBNDD1	-0.191166666666667
FAIM	0.92175
ANKRD36	-1.6975
GABRP	0.886833333333333
TACSTD2	1.7425
EIF3J	-0.29375
PPP2R2A	-0.23325
TEKT4	-0.58
PVALB	-3.95366666666667
F10	-2.98966666666667
FAM134C	0.9621
COMP	3.953
EFCBP1	-2.0068125
SCLT1	0.18675
TAL1	-0.9083
ACSL1	1.17275
ABCC5	0.0706666666666667
ABL1	-0.973
RBBP7	0.250916666666667
PTPRG	-1.3115
NCOR1	0.29
SPINK4	0.1505
TXNRD1	-2.1216
TNRC15	0.687
C9orf138	-0.04375
UBE2H	0.3715
BRDT	0.168666666666667
C8orf31	-0.11775
CCNE2	-1.55218181818182
SLC6A8	-1.736875
CALCR	-3.1675
PPP1CB	0.887333333333333
ABHD8	0.39625
ARF5	-0.3822
SLC24A4	0.6025
CCT3	-0.26825
ZNF121	0.65425
SLC3A2	-1.7024
OR13A1	0.4455
SLC5A10	0.078
RAD50	0.399125
IER5	0.18525
MTHFD1L	-2.059
MBTPS2	0.642
MVK	-0.254125
NCL	0.0352
PSMD10	-0.3765
MOBP	0.52975
FLJ32894	-1.77
HRH1	-0.539166666666667
C5orf30	0.4495
NUDT16L1	0.7136
RASGRP3	4.56333333333333
PRKRIP1	-0.5708
CCDC75	-0.9185
LOC253970	0.4455
KIAA1239	0.07525
MED21	0.1095
SYT11	0.532833333333333
NTSR2	-0.7335
EGFL11	-0.098
CXorf59	1.7895
OR2A25	0.657
SPTBN2	-3.0255
LRMP	-0.994833333333333
RNF111	-0.30625
PTH	0.3845
LOC619208	0.541666666666667
KIAA0895	0.71925
RANBP5	-0.68475
P2RY10	0.5955
NME5	5.048
DDX21	-0.768
LRSAM1	-0.294
HDAC11	1.48
VMO1	3.15025
NOLA2	0.0571666666666667
ADAR	1.14566666666667
MTO1	-0.972833333333333
SF4	0.0426666666666667
P2RX1	-0.32
HBM	1.0095
EN2	0.9825
C14orf172	-0.00549999999999999
TM9SF2	1.1817
INHBE	-1.50233333333333
TCTE3	0.787166666666667
TOX2	-3.51075
CTAGE3	0.358875
HBB	3.9088
MED15	-1.1755
CASR	0.57275
C6orf66	-0.468333333333333
MTPN	-0.972625
UNC50	0.48875
C21orf33	0.549625
IRF2	1.115
PGR	3.79416666666667
GPR84	3.856
CROCCL1	-2.334
SRPX	-2.17025
BRE	0.311666666666667
FGF10	4.53325
SDC3	-0.837333333333333
ZRSR1	-0.214166666666667
DKFZP434P211	-1.068
SOX6	3.689
RPUSD2	-0.21375
C14orf173	-0.0803333333333333
MAPK11	-0.921833333333333
TBC1D22A	0.1425
FAM123A	-0.781
COL4A6	-1.27766666666667
TOMM70A	0.115
NAB1	0.0955
MGC16385	-0.663875
TSPAN18	-0.491166666666667
MED31	0.12775
PLG	-0.9815
CAPSL	0.7095
ZNF532	0.3348
ASB14	0.16675
CA8	-3.993
NUDT16P	2.84
SLFN11	-0.8505
LRRIQ2	0.114
NOL7	-0.190333333333333
BRMS1L	-0.023125
JARID1A	-0.08
PANK2	-0.4975
ICAM3	-0.35525
MDS1	-0.67375
TAF8	-0.5115
RNF139	0.66175
ZNF594	-0.520833333333333
ADAM8	2.126
SFTPC	-0.179875
MAN2B2	2.113625
RGS12	0.2226875
EIF1AY	-4.60925
LRRIQ1	-1.85916666666667
GPR150	0.58525
CCDC21	-1.8875
PRRG3	0.392
SAA4	-3.129
RAPGEF5	1.799125
ZCCHC2	0.230416666666667
MGC39372	0.447
PPP4R2	0.585333333333333
CDCA2	-2.3635
OR4D5	0.738
PTGFRN	0.914
SIGLEC5	3.075
C19orf61	-0.579166666666667
NMUR2	0.1225
KIAA1586	-1.29366666666667
DAGLA	1.25733333333333
CHCHD6	-0.4545
GPR32	0.828
NEUROD6	-0.0528333333333333
SLC2A4RG	-0.3275
CA5B	-0.28475
FBXL3	1.2535
MPHOSPH9	-1.5035
HMG2L1	0.31375
HCN4	-0.233833333333333
CEACAM19	-0.5775
SH2D4B	0.411833333333333
HFE2	-0.1515
TGM4	0.3362
LYPD2	0.221
TBC1D15	0.13775
MRPS21	0.433
NONO	-0.9155
CLEC5A	3.101375
ITCH	0.035
MGAT3	-0.860166666666667
MBP	0.1145
RPP25	-0.87675
SOSTDC1	-2.187
HRC	-1.12725
TRIM48	-1.181
TMEM133	1.4405
ECEL1P2	-1.2165
HOXC11	-2.016
DOK5	1.53725
HELZ	0.312166666666667
LOC348180	-1.1245
MGC33894	0.266
ADRB3	0.647
DMD	-0.226666666666667
PTRH2	-0.26175
MPEG1	3.62233333333333
NDUFA12	-0.049
KRTAP2-4	0.180166666666667
STAMBPL1	-0.3695
ADCY2	-1.2196
UNQ6125	-0.4745
KLHL20	-0.192666666666667
SRM	-0.62525
OTC	-0.195
TMIE	-0.0845
SNX8	-0.23725
LIPK	-0.072
CHURC1	-0.1545
KLC2	0.424333333333333
HDAC1	-0.985666666666667
FAM128A	1.351
FNDC3B	0.1028
MTCP1	-0.206833333333333
WFDC10B	0.5827
PCDHGB3	-0.0555
ATRNL1	-1.3064
CAV2	-1.0365
MED26	-0.398
DUS1L	0.59175
CHRM3	-2.221375
NEK9	0.2505
WARS2	0.93925
TBX22	0.218
TOMM40	-1.504
RP6-213H19.1	-0.942
TUBGCP5	-0.74025
IGSF6	5.59275
TPPP	1.32
UNQ6190	0.257
GSTM5	1.669625
BTD	1.90183333333333
PDCD1LG2	-0.0973333333333333
SNRPB2	-0.726833333333333
ERICH1	-0.441875
APOA4	-1.59125
HOXA11	-2.26
NARG1	-0.01225
MKX	-1.0445
RAB28	-0.133142857142857
PKP3	1.329
SH3GL2	0.3225
CTSO	4.22125
RPN2	1.0875625
IL28RA	0.299
SFMBT1	0.791
WDR57	-0.18625
FER1L3	0.81825
HSF5	0.566833333333333
TTC9B	1.14275
C4BPA	-3.76433333333333
ALB	-4.29014285714286
SORBS3	0.741375
UPF2	-0.345
JPH1	-0.2625
AGBL2	-0.079
DOPEY1	1.835
TERF1	0.205083333333333
KIF22	-1.44933333333333
NINJ1	1.18525
SEC61A2	-0.386666666666667
HIST1H1D	-1.14216666666667
SFXN4	0.617375
UCP3	-0.1495
ZNF703	0.585333333333333
MYL6B	-0.5975
TREM1	1.949
OR52E6	-0.321
CKMT2	1.05025
HLA-C	2.835375
SLC13A3	-1.02116666666667
TIMP4	-0.89875
SLIT2	1.91125
RSF1	-0.335555555555556
LONRF1	-0.885857142857143
MON1A	0.236
CACNG6	-2.2525
DPPA4	-5.337
ZSWIM3	0.12475
ZNF804A	0.118166666666667
CCIN	0.542
SLC25A31	-0.11875
KCNMB4	-1.09975
RABL5	0.797375
GALNS	-0.7945
STX6	0.297625
HIST1H1C	-1.16866666666667
CIDEB	0.660625
CASP4	0.682833333333333
PDK3	-0.2274
KCNJ11	2.4105
TPR	-0.523
ZSCAN20	-0.658
MTX2	-0.157
HIST1H2BH	0.326
LOC283767	0.12975
LYRM7	-0.932055555555556
BRD3	-0.6745
HIST1H2BO	-0.1505
MAGEB10	0.2755
SLC45A1	2.67475
SERPINA3	3.47085
KIAA0143	1.213
KCNJ16	0.715333333333333
KRT79	-0.11725
FABP2	-0.5895
NUT	-0.315333333333333
ZNF57	-0.30125
FBXL4	0.97925
CLEC9A	0.6165
UGT8	-1.73933333333333
BMP2K	0.28075
MAPK4	0.08875
SLC25A23	-0.4468
HINT1	-0.265
KRTAP13-1	0.208
SFXN5	1.0895
CHCHD2	0.130166666666667
FAM3D	1.5765
NDP	-0.05725
RHOBTB1	-0.609833333333333
SLC4A4	-1.160625
RPL38	-0.1915
HTF9C	-0.0361666666666667
AP2A2	0.392625
ZBTB46	-0.4195
MAP7D1	-0.20325
AOX1	-1.46183333333333
CYR61	-0.4145
DTNA	-0.411571428571429
JRKL	-0.75
TMOD3	-0.10425
EEA1	0.0914
ADCK5	-0.6605
IL1R1	0.331833333333333
KLK3	0.226714285714286
HRSP12	-0.405
KTN1	0.348
LOH11CR2A	2.1093
RELL2	-1.20875
MAB21L1	3.3385
C20orf59	-0.790333333333333
PHKB	0.09525
ADAM2	-2.3735
TBC1D8B	2.6145
FAM13A1	-0.5825625
LAPTM4B	-0.709333333333333
LCN8	0.0195
TMEM147	1.3225
SYT4	-0.390833333333333
XPO7	-1.0145
C9orf62	1.26825
GPR75	0.114
TRIM5	0.733
APOC1	0.533166666666667
RNASE4	1.32433333333333
PARD6B	-2.017125
ARID1A	-0.12725
TPD52L3	-0.104666666666667
RRAGB	0.503
RCN2	-0.467833333333333
HIST2H2BE	0.39825
STARD7	-0.61975
SHMT2	-1.5685
KIAA1751	-0.0908333333333334
MLYCD	0.154
LOC162632	0.2152
UQCRH	-0.97325
RP11-217H1.1	1.0609375
SDHA	-1.51183333333333
NCLN	0.1831
ZNF17	0.412666666666667
RCBTB2	-0.91
VEGFB	0.2552
RP4-747L4.3	0.8015
COLQ	-0.3171
MPN2	-0.969166666666667
DRG2	-0.25825
KLRB1	4.488
ALPK2	-2.80275
DNASE2B	6.38575
FLJ23834	4.564
AXUD1	0.388833333333333
SAFB	-0.5774
NSUN4	0.26525
RFX2	-0.289333333333333
MAPK8IP1	-0.498
FANCD2	-1.62007142857143
ANKZF1	-1.41416666666667
C19orf50	-0.3675
DUSP8	2.042125
SENP5	-0.291375
NFKBIL2	-0.0220000000000002
LBR	-1.225125
IGFL1	0.035
LZTS2	0.208375
IL2RG	-0.81675
CCDC51	0.013
KLF3	0.534625
ANKRD37	-1.00475
KCTD14	-1.79983333333333
FZR1	0.50725
SLC44A4	4.2982
ESPL1	-1.320625
GMPR2	-0.0658
TBC1D19	-0.085
ERGIC1	1.84011111111111
ERBB4	3.5984
TSPAN32	0.6445
MAP4	-0.409375
GPHN	-0.107
SLC6A2	-0.135625
HIVEP1	-0.171
DFFB	-0.2201
EIF4EBP2	0.42425
DMRT1	-0.45075
HSPB6	-0.04775
IER2	-0.872333333333333
AIFM1	0.26725
WWC2	-0.565666666666667
MRPL4	-0.3185
FLJ21062	2.7065
EPB41L4A	1.39816666666667
SH2D6	0.25525
TAF4B	-1.2995
GAL3ST3	-0.1385
MALT1	-1.26333333333333
RTDR1	-0.14225
ARVCF	-0.188375
MEX3B	-1.68466666666667
FBXO16	2.13325
KIF7	-1.906
C1QC	4.41516666666667
ZNF783	-0.951666666666667
ZNF85	-0.15875
MMP13	2.4745
KIAA0329	0.540875
RTP3	-2.5025
ZBED3	-0.6045
CLGN	3.44075
SLC25A37	-1.57370833333333
hCG_18290	0.225
OR5AS1	0.3155
SMARCC2	0.0695833333333333
FAM109A	-0.143666666666667
CCDC12	-0.3605
USF2	0.6694
DEPDC7	-1.4
C20orf24	-0.896
JMJD3	0.2155
DSP	1.86128571428571
SLIC1	0.459375
FAM20A	0.72325
IRF2BP2	0.421625
ZNF230	0.111
MSN	-0.689
SLC9A5	-1.375
EPDR1	-2.1856
MUSK	0.122
