Hybridization REF	TCGA-BH-A0DL-01A-11R-A115-07
CTDSP2	0.262666666666667
PGBD5	1.88216666666667
CCNY	0.177071428571429
RMND5B	0.7565
ZNF257	-2.73925
FLJ22167	-1.398375
EXOSC7	-0.761333333333333
ROR2	-0.09625
MAOA	1.870375
TNNT3	-0.170333333333333
GYPC	-1.19825
C7orf33	1.142
PLIN	1.31483333333333
LOC90826	-0.28475
RNF4	0.0569
F8A1	1.10466666666667
PLEKHG4	-2.10475
GRB2	0.0642
HIST1H2AD	-0.0155
DUS3L	-0.599
EIF1	-0.1945
RP5-1077B9.4	0.164333333333333
FPGT	1.583
GDF10	-1.45416666666667
COQ9	0.3625
GCC2	0.1825
RARRES3	3.29875
PLXNA1	0.2927
KIAA0100	-0.5835
PMF1	0.47725
FNDC1	4.35
HS2ST1	0.71275
CRELD2	-0.08325
C8G	-0.807
CD82	3.0495
LIM2	-0.893
UNQ6490	0.387
MMP16	-0.52025
DRD3	0.106
C5orf26	-1.14375
C11orf73	-0.4945
PTP4A2	1.12025
OR4M2	0.8025
HPCA	-0.611
SEC14L1	-0.328666666666667
CHFR	0.42225
EMILIN1	1.0565
NDUFS4	-1.22275
COL18A1	-0.34625
PDZD3	-0.2669
C9orf16	0.761666666666667
ERBB2IP	0.164
EMX2	1.9225
FUS	-0.8255
TF	-2.6235
CLCN4	0.844666666666667
CXorf56	1.0665
C11orf72	0.42475
ELAC2	-0.695916666666667
NPR1	-1.1825
ASS1	-0.249333333333333
USP42	0.323375
POLR2J	-0.4705
SEC23IP	-0.0733333333333333
UQCRC1	-0.22275
LOC729603	-0.271
C1orf71	0.1925
POLG	-0.877
ADAM23	-2.77875
TFR2	-1.00125
RICTOR	-1.307
MGC39606	0.43425
C19orf55	-0.263625
SNAPC1	-0.208333333333333
GNA11	-0.11175
CCDC52	-0.5605
FSIP1	-1.687
UPF3A	-0.615125
IGSF11	-1.49433333333333
LAGE3	0.68875
CHST6	0.3195
UNC13B	-0.75425
TTLL4	1.536125
ZNF687	-0.033875
SDC2	-1.5769
COX7A2	-0.98825
LAMB4	0.19475
FAM24A	0.353
LRRTM3	-0.845166666666667
GPHB5	-0.30425
OR4C13	0.0205
EIF3EIP	0.1585
HABP4	-1.0925
TMEM125	2.3025
CNTN2	0.068
ASNSD1	-0.6175
FUT4	-0.222
ACF	-3.15
LOC158381	0.4675
CDH8	2.206
AGPS	-0.414
C4orf18	0.676375
PECI	-1.74933333333333
UNG	-0.675125
GSTP1	1.422
DCUN1D5	-1.12366666666667
DKFZP564J0863	0.38575
SLC9A3R1	0.8105
BCDO2	2.1305
CHMP7	-0.541
REM2	-0.1535
DNHD1	-0.06275
FKBP4	0.146
ZNF350	0.5955
MGC11102	0.592
BST1	0.97425
KISS1R	1.9205
NCR2	0.623
DEFB125	0.1645
UBE2W	1.67125
KRT15	4.124875
C10orf99	2.7805
SCN11A	-0.3775
GFI1	-0.29825
RDHE2	5.1665
FHL1	-2.60333333333333
OSGEP	0.116166666666667
GATA1	-2.62566666666667
SMC6	-0.24425
TTTY14	-0.79725
LPIN3	0.161
RPL4	0.0768
RBPMS	-1.7168
PRPF3	-0.306833333333333
EMR1	-0.505
SPATA19	0.1225
XCR1	1.4565
IRX3	2.4264
RBM6	-0.835
KLF4	1.4851
UNC5CL	-1.1895
SEBOX	0.046
BTK	0.46525
KRCC1	1.15125
C6orf27	0.9905
SYTL5	-1.3265
PRND	1.497125
LOC653319	-0.53
PIGL	-0.21275
HUS1	-0.0525
SFRS6	0.89625
C17orf77	0.976
UIMC1	-0.892166666666667
FXYD2	-1.1931
LOC283152	-0.37275
ZNF667	-0.1405
ZCCHC12	-1.35775
TFEC	4.7168
ATP7B	-2.32483333333333
POLD2	-0.919333333333333
RG9MTD1	-0.3575
ACOT2	-1.31466666666667
HIST1H4I	-0.9425
PPARGC1A	-1.1097
ETFA	-1.5641
POLRMT	-0.793
ZNF146	0.277125
MIA2	-2.1695
KLHL6	0.296166666666667
HOXB5	-1.574875
NENF	0.5495
CUGBP1	-0.06025
PRSS22	3.04666666666667
CASC4	1.1963
CUL4B	0.2395
CENPJ	-1.0294
PITX1	1.459
FLJ31033	1.18183333333333
CELSR3	-1.23283333333333
ZNF568	-0.352
ITSN1	-1.10975
EHBP1L1	0.717666666666667
C19orf2	-0.7895
DCTN1	0.54575
LIN28B	-4.274
TNKS2	0.6315
C1QBP	-1.14825
CADPS2	-0.389
SRMS	0.601
GJA9	0.306666666666667
MGC24975	-1.046
TRIM45	0.117666666666667
TSP50	0.398
TCP1	-0.90875
TMED7	0.0872
CMA1	0.146
CENPL	0.234166666666667
PTCRA	1.0915
FST	-3.04675
VWCE	-3.59325
PAWR	1.44625
ABCC12	-0.260166666666667
LDLR	-0.9099
ASTN2	0.4417
LOC441212	-0.290625
GPATCH8	-0.1755
TANC2	-0.126333333333333
KIF4A	-1.06
C18orf18	-0.6155
PGM1	-0.01725
KIAA0258	0.859
CPD	-0.69975
SNCAIP	1.24525
DCT	-3.61383333333333
HLA-DOA	3.61381818181818
OR11L1	0.6775
UPK1B	-0.541
DNAJB4	-0.561375
UGT1A8	-0.29925
HIST1H4L	0.3135
PECR	-0.960166666666667
HSPA2	2.63475
WFIKKN1	-2.0115
SERP1	0.261625
SYDE2	0.284
TACR2	0.6335
NUP85	-0.39025
CD177	0.111333333333333
LGR5	-1.9165
PIGG	-0.108833333333333
PTHR1	-1.98616666666667
RAB5A	-0.3137
FLJ13224	0.0415
USP9Y	-2.11266666666667
C7orf53	-0.0965
LRP1B	0.24075
XAF1	3.6763
ABCG8	-0.573
ANKDD1A	0.187333333333333
DAND5	-1.942
SPAG6	0.391333333333333
LINCR	2.267
ZDHHC22	-1.423625
CCDC60	0.138
THOC7	-2.01333333333333
TCTA	0.6632
OR8K3	0.257
NY-REN-7	-0.87575
B2M	1.829
C6orf141	-2.402125
LPPR4	1.2775
SQLE	-0.15525
SEPHS1	-0.481
BTBD14B	1.2355
PLRG1	0.32675
SPG7	0.0531875
ZNF614	-0.402166666666667
PARD6G	2.4325
INPP5B	-0.2927
GRPEL2	0.5105
PPID	-0.5041
TRIM56	0.74125
UBE2J1	-0.12925
IL20RA	3.4115
LOC387856	-0.11675
C1orf107	0.82725
UTS2R	1.814
C19orf22	-0.268
SAFB2	0.44575
KIAA0652	-0.49175
KLRG1	-0.470666666666667
MS4A8B	-0.321
FRAG1	-0.13925
KIAA1546	0.9925
E2F4	-0.4523
CLEC4M	0.7695
BTBD14A	-0.413
KIAA0999	0.274
GYPA	-3.846
TAC1	-0.5699
TRAIP	-0.750333333333333
KIAA0232	0.5284
ERCC8	-1.122125
GPX4	-0.019875
KIAA0368	-1.418875
GPR157	1.33666666666667
CTAGE4	1.106
C9orf30	-1.294
OR52A1	-0.308
HSP90B3P	-0.782
ALG9	-0.7072
BTBD10	0.013
SDK2	0.03575
BAIAP3	-1.55675
RABGGTB	-0.66675
ANKRD40	-0.365833333333333
KRT74	0.8255
CALCOCO2	0.387
SNCA	-3.36
TMSL8	-5.10625
C2orf53	0.3745
ESRRB	-0.60425
ARHGAP26	-0.013625
TDRD9	-2.612
HRAS	0.517166666666667
KLRC4	-2.252
JAGN1	-0.443166666666667
BSDC1	0.92
RNF43	-1.0079
NDUFAF1	-0.0775
PHF12	0.20925
OR1L3	0.3085
FOLR2	2.2035
LYZL6	0.1105
tcag7.1260	2.4635
WSB1	-0.957833333333333
PROS1	0.6937
OSTN	0.2605
PSMB8	1.032
SOCS4	0.22975
DDIT4L	0.45725
MAS1	-0.1865
MGC34796	0.48775
CSHL1	0.245666666666667
TBCCD1	-0.272166666666667
ZBTB7C	0.433
AP2S1	-0.14125
P15RS	-0.3189
VAT1	-0.7695
SHANK3	0.429333333333333
TUFM	0.0543333333333333
THEG	0.3695
KRT34	1.00175
SGSM3	0.789875
TOMM22	0.051125
SOCS3	1.52566666666667
CPO	0.8345
POP4	-0.2635
BHLHB3	2.3275
MALL	3.7455
OR1B1	-0.0255
PARK2	0.615
GPR124	-0.498875
LCE1E	0.158
RUVBL2	-0.77075
CGRRF1	-0.1157
ACPL2	0.079
WNT10B	-1.000625
BAIAP2L2	-1.7105
ISCA1	-0.757
C1orf125	-0.724625
RPAP1	-0.81925
RAI16	0.320666666666667
RPL27	-0.59925
NLRP9	0.1305
EPN1	0.343
LOC388610	-2.828625
SLC35A1	-0.9872
GAL	-3.48575
SLC14A2	0.28875
RDH11	-0.147666666666667
FAM138F	-0.234
AUH	0.16375
FLJ40243	0.1395
C14orf129	0.328833333333333
MBD2	-0.0243333333333334
ABHD14B	-0.837875
PIGT	-0.46675
ALS2CR4	-0.32075
ALAS1	-0.345
FOXO1	0.462666666666667
CRLF3	-0.2665
C20orf107	-0.6795
FARS2	0.09225
CCDC28A	-0.08075
NPHP3	-0.85775
OR13F1	0.08
TSEN54	0.012
DEFB106B	0.121
OR8B4	0.387
STH	-0.60225
ZC3H14	-0.221625
CBX2	-0.3115
TMEM49	-1.221
C6orf21	0.05
FLJ20920	-0.3885
CRTAP	-1.50442857142857
DDX50	-0.60475
STYXL1	0.1235
BLVRB	-1.083
LOC147650	-0.660166666666667
MMP24	-0.121
GRID1	1.198
BANF1	-0.1535
CTAGEP	0.332
HMBS	-1.11825
SLC25A24	0.449166666666667
C14orf50	0.25525
MRO	0.285833333333333
SLC25A15	-2.13325
FAM84B	1.0281
TDP1	-0.2925
C16orf78	0.205
C11orf57	0.124375
RFK	-1.5275
ZFYVE9	0.235125
STCH	-1.2341
WIBG	0.31425
LOC283871	-0.619
GBA2	-0.7147
NDUFB3	0.0465
HSD17B13	-0.98475
GRIN3A	2.39883333333333
FMNL1	0.0225
SEPT7	-0.0988
GNLY	4.3805
GRAMD1C	0.418
ZNF165	-0.60475
USP38	0.80375
FAM83A	2.947
C14orf24	0.264
ARMCX3	-0.81025
ARHGDIB	0.706833333333333
AK1	0.340875
KIAA1045	0.368
DNAJB13	-0.447333333333333
NEU2	0.5905
HIST1H4B	-0.2975
FAM20B	0.3354
HES2	2.63428571428571
FAM73B	0.3001
LOC388381	-0.10375
INTS7	-0.00681818181818182
AMPH	-0.4175
ZNF775	0.55375
UCKL1	-0.382166666666667
C10orf97	-0.828
C1orf161	1.80475
ALDH1L1	-1.6435
FLJ39378	-0.535
SLC23A1	-1.643
RBM4B	-0.0355
THAP4	0.223333333333333
OGFRL1	2.30375
KIAA0831	0.559125
PPP1R15A	-0.517333333333333
C1orf96	0.817142857142857
C12orf11	-1.91725
BMF	1.526
MAN1A1	-1.295625
KIAA1600	0.356166666666667
NLGN4X	-0.8715
ALOX12	-1.555
RB1CC1	0.9017
NEIL2	0.1986
EIF4E	-0.0404090909090909
ABHD5	0.6515
EXOC4	0.315833333333333
CIP29	-0.278333333333333
BATF2	2.43625
SLC29A4	-0.99975
HTR4	0.0815
EMB	-0.6245
TRAF6	0.44275
LMNB1	-0.74825
FAM19A5	-1.3
SHE	1.43375
PIK3C2B	1.1085
C15orf15	-0.9432
USP15	0.1053
TCEAL2	-0.50375
C5orf39	0.298666666666667
PTGER2	-1.6245
SLC31A1	1.6320625
IFT172	0.84275
ADAM29	0.26675
GFOD1	0.69575
ST7L	0.841166666666667
C15orf26	-1.894
PKN3	-1.3415
CNTD1	-0.425666666666667
COMMD1	0.303375
NTRK2	3.10108333333333
FOXN3	0.6455
MFGE8	-0.7546
PFKFB2	1.22783333333333
TAS2R4	-0.26025
ENTHD1	0.903666666666667
PRMT5	-0.731125
MGC16384	-0.7075
LOC442229	-0.34975
TSKU	1.450375
KRTCAP3	2.538875
PDLIM1	0.2073
KCNS2	0.1795
RNF126	-0.364
CEP63	0.606375
CLIC4	-0.643625
hCG_1990170	2.1055
ACR	0.0598
KLK7	6.03825
ALOX5AP	3.862875
RIPK3	3.11225
TAS2R9	0.2285
C19orf18	1.586
BIRC6	0.0806428571428572
ZNF16	1.264
RFT1	-0.5625
SLC8A2	-0.4815
TACC1	0.49175
ITGAD	1.2185
SAMHD1	2.2555
SH3PXD2B	1.5626
EPC2	0.39025
C20orf85	0.405125
ATP13A2	0.991
KRT4	0.669125
CAPNS1	-0.2535
MDM2	0.28325
PCDH20	-0.078
KCNK9	0.685
OR2C1	-0.2885
KLHDC3	-0.832666666666667
IPPK	0.855
EFHD2	2.44075
GALR3	1.885
NBEA	-2.082
ABCA6	2.2344
CLDN3	-1.38066666666667
AKT2	-0.510071428571429
EGFR	4.7385
RBM16	-0.36125
ZDHHC3	0.4539
SLC25A4	-1.10566666666667
CYB5B	-1.34566666666667
CPXM1	-0.78475
NDRG1	1.87676923076923
FLJ43826	-0.0125
OR5L2	0.287
FARP2	0.8352
MRPL46	0.0290833333333333
LDHAL6B	0.2976
MAPKAPK3	-0.334833333333333
NCAM2	-3.67325
PRKD2	0.413833333333333
ZFP36L1	1.7501
CYSLTR1	0.22275
OR4C3	0.4825
HIST1H2AJ	0.9575
CCNB2	-0.792333333333333
ZNF10	-0.257625
TMEM175	1.5075
FAM134A	0.876666666666667
TIGD4	-0.684
PCNP	-0.4215
MGC39715	2.24725
LQK1	0.56925
CREB1	0.945
TMPRSS3	-1.09025
C4orf32	0.897375
LAT	-0.64675
KCNA3	1.023
SKIV2L2	-0.9955
ROPN1B	1.72475
tcag7.23	-0.7795
CDT1	-1.218375
ZHX2	0.99425
CD28	-2.45175
ZNF624	0.306
SEPT2	0.35
SOHLH2	-2.510625
MCOLN3	-1.529375
UNQ1945	0.8665
MASP2	-1.138
ZNRF3	-0.1207
GPATCH3	0.3745
AGL	0.47425
QRICH2	-0.609
PSD4	1.3575
CCNB1IP1	-1.7095
ENPP7	0.181
OBFC1	0.69875
KCNG3	-1.923
C14orf79	0.647583333333333
ENPEP	0.613666666666667
SCT	0.7695
SKI	2.0115
SEC61G	1.71775
CAPN11	-0.03125
ATXN7L3	0.1725
DBNDD1	-0.406666666666667
FAIM	-0.35825
ANKRD36	-0.646
GABRP	5.15316666666667
TACSTD2	3.53166666666667
EIF3J	-0.157
PPP2R2A	-0.67125
TEKT4	-0.0195
PVALB	-2.862
F10	-2.29866666666667
FAM134C	0.563
COMP	3.03775
EFCBP1	-3.863375
SCLT1	1.878
TAL1	-1.6112
ACSL1	2.58525
ABCC5	0.43775
ABL1	-0.808222222222222
RBBP7	-1.15016666666667
PTPRG	-1.68925
NCOR1	-0.2219
SPINK4	-2.4585
TXNRD1	-1.5694
TNRC15	1.489125
C9orf138	1.15875
UBE2H	1.14316666666667
BRDT	0.368833333333333
C8orf31	-0.29325
CCNE2	-0.0842727272727272
SLC6A8	-1.246
CALCR	-4.289
PPP1CB	1.09916666666667
ABHD8	-0.18175
ARF5	0.3765
SLC24A4	1.06625
CCT3	0.292
ZNF121	0.752
SLC3A2	-0.6159
OR13A1	0.3305
SLC5A10	0.1175
RAD50	0.29775
IER5	1.640625
MTHFD1L	-1.696
MBTPS2	-0.138
MVK	-0.4625
NCL	0.3076
PSMD10	0.07675
MOBP	0.184875
FLJ32894	-1.388
HRH1	0.091
C5orf30	-0.5915
NUDT16L1	-0.0226
RASGRP3	3.93466666666667
PRKRIP1	-0.0222
CCDC75	0.972
LOC253970	-0.19425
KIAA1239	3.154
MED21	-0.22
SYT11	0.668916666666667
NTSR2	0.0975
EGFL11	-0.177
CXorf59	0.6885
OR2A25	0.302
SPTBN2	1.55
LRMP	-0.202333333333333
RNF111	0.579
PTH	0.0245
LOC619208	0.084
KIAA0895	-0.0225
RANBP5	-1.6575
P2RY10	1.80566666666667
NME5	-1.92433333333333
DDX21	-0.7085
LRSAM1	0.808
HDAC11	0.627333333333333
VMO1	2.8005
NOLA2	-0.123166666666667
ADAR	1.7145
MTO1	-0.945
SF4	0.257166666666667
P2RX1	0.779333333333333
HBM	-0.05775
EN2	1.9365
C14orf172	0.5115
TM9SF2	-0.464
INHBE	-1.58183333333333
TCTE3	0.5705
TOX2	-2.242
CTAGE3	0.753875
HBB	2.7464
MED15	-0.674666666666667
CASR	0.50625
C6orf66	-1.50983333333333
MTPN	0.45225
UNC50	-0.283
C21orf33	-0.302875
IRF2	1.896625
PGR	-3.446
GPR84	3.98075
CROCCL1	-1.515
SRPX	-3.25675
BRE	0.552333333333333
FGF10	0.1705
SDC3	0.1195
ZRSR1	0.413333333333333
DKFZP434P211	0.3125
SOX6	-0.1615
RPUSD2	0.2735
C14orf173	0.329166666666667
MAPK11	-0.147833333333333
TBC1D22A	0.139
FAM123A	-1.3995
COL4A6	-1.86483333333333
TOMM70A	-0.20675
NAB1	0.82475
MGC16385	0.776875
TSPAN18	0.289833333333333
MED31	-0.33025
PLG	-0.45825
CAPSL	-0.2345
ZNF532	1.465
ASB14	-0.32525
CA8	-0.161
NUDT16P	0.905333333333333
SLFN11	-0.9365
LRRIQ2	0.6405
NOL7	-0.437833333333333
BRMS1L	0.39325
JARID1A	1.247
PANK2	0.36275
ICAM3	-0.6415
MDS1	1.154
TAF8	-0.491
RNF139	0.528
ZNF594	-0.649833333333333
ADAM8	2.894375
SFTPC	-0.032375
MAN2B2	0.383
RGS12	1.115375
EIF1AY	-4.5485
LRRIQ1	-1.6085
GPR150	1.98675
CCDC21	-0.523333333333333
PRRG3	0.186
SAA4	0.4585
RAPGEF5	3.16475
ZCCHC2	0.950916666666667
MGC39372	1.0885
PPP4R2	0.0868333333333333
CDCA2	-0.710666666666667
OR4D5	0.086
PTGFRN	2.0357
SIGLEC5	2.16683333333333
C19orf61	-0.289666666666667
NMUR2	-0.071
KIAA1586	-1.40583333333333
DAGLA	-1.79266666666667
CHCHD6	-0.34125
GPR32	0.3825
NEUROD6	0.00899999999999999
SLC2A4RG	0.163875
CA5B	-1.01175
FBXL3	-0.377
MPHOSPH9	-0.847
HMG2L1	0.345
HCN4	1.34416666666667
CEACAM19	2.43875
SH2D4B	0.5645
HFE2	-1.4645
TGM4	-0.6304
LYPD2	0.2395
TBC1D15	0.02425
MRPS21	-0.9434
NONO	-0.2814
CLEC5A	3.408
ITCH	0.0681
MGAT3	-0.832333333333333
MBP	-0.109125
RPP25	0.8105
SOSTDC1	5.02175
HRC	-1.9985
TRIM48	-0.0315
TMEM133	-1.1695
ECEL1P2	-1.7255
HOXC11	0.56
DOK5	-1.65075
HELZ	-0.216166666666667
LOC348180	-0.256
MGC33894	0.14425
ADRB3	-0.5775
DMD	-0.409833333333333
PTRH2	-0.81625
MPEG1	3.73133333333333
NDUFA12	-0.476666666666667
KRTAP2-4	0.0801666666666667
STAMBPL1	-0.956666666666667
ADCY2	-0.413833333333333
UNQ6125	0.3305
KLHL20	1.18816666666667
SRM	-0.521
OTC	0.14975
TMIE	1.48683333333333
SNX8	0.7405
LIPK	2.202
CHURC1	0.596333333333333
KLC2	0.263333333333333
HDAC1	0.415833333333333
FAM128A	0.0215
FNDC3B	1.1399
MTCP1	-0.0566666666666667
WFDC10B	0.0411
PCDHGB3	-0.029
ATRNL1	-0.871
CAV2	1.1865
MED26	-0.114333333333333
DUS1L	0.62875
CHRM3	0.77675
NEK9	0.224
WARS2	0.35375
TBX22	-1.083
TOMM40	-0.696
RP6-213H19.1	-1.37716666666667
TUBGCP5	-0.000750000000000001
IGSF6	5.559
TPPP	-0.382333333333333
UNQ6190	-0.207
GSTM5	-0.313125
BTD	-0.919333333333333
PDCD1LG2	1.36966666666667
SNRPB2	-1.00516666666667
ERICH1	-0.28525
APOA4	-1.342625
HOXA11	-2.12125
NARG1	-0.42375
MKX	-2.25775
RAB28	-0.273285714285714
PKP3	1.73925
SH3GL2	-3.281
CTSO	2.8975
RPN2	0.5523125
IL28RA	0.742666666666667
SFMBT1	0.06825
WDR57	-0.371125
FER1L3	0.9525
HSF5	0.369833333333333
TTC9B	-0.0115
C4BPA	-3.85066666666667
ALB	-3.92928571428571
SORBS3	-0.330125
UPF2	0.2855
JPH1	-0.529
AGBL2	-1.404
DOPEY1	0.906
TERF1	-0.10875
KIF22	-0.554333333333333
NINJ1	0.69125
SEC61A2	-0.510666666666667
HIST1H1D	0.137333333333333
SFXN4	-0.010875
UCP3	1.4317
ZNF703	1.33516666666667
MYL6B	-0.37125
TREM1	3.314
OR52E6	0.141
CKMT2	-0.93425
HLA-C	2.441
SLC13A3	-0.835833333333333
TIMP4	-2.7585
SLIT2	1.05025
RSF1	-0.0328888888888889
LONRF1	-1.4145
MON1A	-0.180666666666667
CACNG6	-0.990833333333333
DPPA4	-4.639
ZSWIM3	0.14275
ZNF804A	0.571333333333333
CCIN	1.025
SLC25A31	0.14725
KCNMB4	-1.5085
RABL5	-0.377
GALNS	0.0101
STX6	2.57125
HIST1H1C	-2.226
CIDEB	0.91525
CASP4	1.51516666666667
PDK3	-1.0681
KCNJ11	-0.824
TPR	0.265
ZSCAN20	-0.0985
MTX2	-0.12175
HIST1H2BH	0.00275
LOC283767	1.895
LYRM7	-1.24477777777778
BRD3	-0.364
HIST1H2BO	-0.34375
MAGEB10	0.718
SLC45A1	-0.46475
SERPINA3	2.6135
KIAA0143	1.6295
KCNJ16	-0.866833333333333
KRT79	2.05625
FABP2	-1.16875
NUT	-0.4055
ZNF57	-0.95825
FBXL4	-0.545875
CLEC9A	1.8845
UGT8	-1.68116666666667
BMP2K	0.13275
MAPK4	-2.0745
SLC25A23	-0.6347
HINT1	-0.5822
KRTAP13-1	0.111
SFXN5	0.8147
CHCHD2	2.68291666666667
FAM3D	3.854
NDP	-2.83775
RHOBTB1	-0.643666666666667
SLC4A4	-1.947625
RPL38	-0.50325
HTF9C	-0.295333333333333
AP2A2	0.060125
ZBTB46	-0.205
MAP7D1	0.671375
AOX1	-2.69633333333333
CYR61	-0.985666666666667
DTNA	-1.86042857142857
JRKL	0.70575
TMOD3	0.6865
EEA1	0.6117
ADCK5	0.8405
IL1R1	3.21183333333333
KLK3	0.655357142857143
HRSP12	0.09675
KTN1	0.937
LOH11CR2A	0.00780000000000001
RELL2	0.6475
MAB21L1	0.969
C20orf59	-1.04666666666667
PHKB	0.22
ADAM2	-2.41683333333333
TBC1D8B	1.11016666666667
FAM13A1	-0.6154375
LAPTM4B	-0.4805
LCN8	0.1605
TMEM147	0.265
SYT4	-0.3065
XPO7	-0.1575
C9orf62	2.13525
GPR75	0.2685
TRIM5	0.69525
APOC1	1.2505
RNASE4	-2.109
PARD6B	-2.406625
ARID1A	0.67125
TPD52L3	0.382
RRAGB	-1.10216666666667
RCN2	0.184666666666667
HIST2H2BE	0.0276875
STARD7	-0.23775
SHMT2	-1.1375
KIAA1751	-0.249166666666667
MLYCD	-0.440125
LOC162632	0.1251
UQCRH	-0.298
RP11-217H1.1	1.165
SDHA	-1.07116666666667
NCLN	-0.2771
ZNF17	0.2185
RCBTB2	-1.02125
VEGFB	-0.3483
RP4-747L4.3	1.612
COLQ	0.3195
MPN2	-0.794166666666667
DRG2	-0.69175
KLRB1	6.4975
ALPK2	-2.367
DNASE2B	0.5835
FLJ23834	-0.973666666666667
AXUD1	-0.487666666666667
SAFB	0.337
NSUN4	0.535
RFX2	0.113166666666667
MAPK8IP1	-1.079
FANCD2	-1.334
ANKZF1	-0.332
C19orf50	-0.4785
DUSP8	-0.95725
SENP5	0.985375
NFKBIL2	0.2465
LBR	-0.3665
IGFL1	0.257
LZTS2	1.705125
IL2RG	0.86025
CCDC51	-0.21925
KLF3	1.484
ANKRD37	-0.89725
KCTD14	-1.464
FZR1	-0.0106666666666667
SLC44A4	-1.2782
ESPL1	-0.68125
GMPR2	-0.4531
TBC1D19	-0.261
ERGIC1	-0.313111111111111
ERBB4	-1.8871
TSPAN32	0.722083333333333
MAP4	-0.5615
GPHN	-0.143
SLC6A2	4.651125
HIVEP1	0.58325
DFFB	-0.617
EIF4EBP2	0.979625
DMRT1	-0.7035
HSPB6	-0.055
IER2	0.532166666666667
AIFM1	0.27525
WWC2	-1.37027272727273
MRPL4	0.1345
FLJ21062	-0.2405
EPB41L4A	0.760916666666666
SH2D6	0.077
TAF4B	-0.51225
GAL3ST3	-0.29
MALT1	-0.0253333333333333
RTDR1	0.78925
ARVCF	-0.399
MEX3B	0.941833333333333
FBXO16	-1.46025
KIF7	-1.911
C1QC	4.30733333333333
ZNF783	-0.707166666666667
ZNF85	-0.08
MMP13	6.372
KIAA0329	0.23575
RTP3	4.614
ZBED3	-1.748
CLGN	-1.974
SLC25A37	0.552708333333333
hCG_18290	-0.9475
OR5AS1	0.2265
SMARCC2	0.778833333333333
FAM109A	-0.0423333333333333
CCDC12	-0.41775
USF2	0.8609
DEPDC7	-2.903
C20orf24	0.252166666666667
JMJD3	0.7975
DSP	3.02164285714286
SLIC1	1.273125
FAM20A	2.511375
IRF2BP2	1.11225
ZNF230	-0.936
MSN	-0.160214285714286
SLC9A5	-1.407
EPDR1	-2.9532
MUSK	0.394333333333333
ZNF434	-0.285666666666667
SMARCD1	-0.5165
