Hybridization REF	TCGA-BH-A0BV-11A-31R-A089-07
FHL1	2.85433333333333
OSGEP	-0.389
GATA1	-4.2685
SMC6	-1.599
TTTY14	-1.37725
LPIN3	0.2485
RPL4	0.555
RBPMS	0.8935
PRPF3	-0.681333333333333
EMR1	-2.8285
SPATA19	-0.29825
XCR1	-0.013
IRX3	1.8365
RBM6	-0.000249999999999999
KLF4	1.4151
UNC5CL	-0.41525
SEBOX	-0.2555
BTK	-1.74725
KRCC1	1.39275
C6orf27	1.0805
SYTL5	-0.317
PRND	1.640625
LOC653319	-0.967
PIGL	-1.404375
HUS1	-0.635833333333333
SFRS6	0.358083333333333
C17orf77	0.35
UIMC1	-0.169833333333333
FXYD2	-2.243
LOC283152	0.0095
ZNF667	1.0905
ZCCHC12	-0.05075
TFEC	1.6248
ATP7B	-0.280333333333333
POLD2	-1.17033333333333
RG9MTD1	-0.00775
ACOT2	-0.119
HIST1H4I	-1.820375
PPARGC1A	-0.94
ETFA	-0.9436
POLRMT	-0.82625
ZNF146	0.3335
MIA2	-1.1665
KLHL6	-1.9445
HOXB5	-1.254875
NENF	0.379666666666667
CUGBP1	-0.83275
PRSS22	0.837833333333333
CASC4	1.0537
CUL4B	0.0427
CENPJ	-1.2705
PITX1	-1.62966666666667
FLJ31033	0.316833333333333
CELSR3	-2.69316666666667
ZNF568	1.12875
ITSN1	0.02125
EHBP1L1	-0.9065
C19orf2	-0.1765
DCTN1	0.13975
LIN28B	-4.21016666666667
TNKS2	-0.594
C1QBP	-0.958875
CADPS2	1.39275
SRMS	-0.2155
GJA9	0.0286666666666667
MGC24975	-1.05216666666667
TRIM45	-0.3845
TSP50	0.732
TCP1	-0.75625
TMED7	-0.1284
CMA1	1.883
CENPL	-2.051
PTCRA	-1.01
FST	-2.4485
VWCE	-1.707
PAWR	-0.4225
ABCC12	0.403
LDLR	-1.1898
ASTN2	0.9706
LOC441212	-0.57475
GPATCH8	0.093
TANC2	-0.712
KIF4A	-3.71175
C18orf18	-0.34
PGM1	0.11875
KIAA0258	0.3295
CPD	0.6085
SNCAIP	0.43275
DCT	-4.63333333333333
HLA-DOA	2.27159090909091
OR11L1	0.0345
UPK1B	-0.475666666666667
DNAJB4	1.26475
UGT1A8	0.53525
HIST1H4L	-2.731
PECR	-1.12
HSPA2	1.16025
WFIKKN1	-2.1535
SERP1	0.8675
SYDE2	1.4565
TACR2	0.294
NUP85	-0.97575
CD177	-0.939
LGR5	-2.194
PIGG	-0.163333333333333
PTHR1	0.7095
RAB5A	0.6855
FLJ13224	-0.3125
USP9Y	-1.07433333333333
C7orf53	-0.688
LRP1B	1.55025
XAF1	1.6035
ABCG8	-0.4685
ANKDD1A	0.185
DAND5	-1.357
SPAG6	2.71183333333333
LINCR	3.268
ZDHHC22	-1.90075
CCDC60	0.2595
THOC7	-1.02666666666667
TCTA	0.8962
OR8K3	0.22575
NY-REN-7	-0.8875
B2M	0.395333333333333
C6orf141	-0.96
LPPR4	2.73125
SQLE	-2.504
SEPHS1	-0.7705
BTBD14B	-0.335642857142857
PLRG1	0.02375
SPG7	-0.4948125
ZNF614	0.261
PARD6G	0.951333333333333
INPP5B	-0.5741
GRPEL2	-0.883
PPID	-0.6331
TRIM56	0.11425
UBE2J1	-0.03125
IL20RA	5.73775
LOC387856	1.533
C1orf107	0.791333333333334
UTS2R	-0.2025
C19orf22	-0.09175
SAFB2	-0.171625
KIAA0652	0.038125
KLRG1	-0.0308333333333333
MS4A8B	1.096
FRAG1	0.865
KIAA1546	1.00825
E2F4	-0.9897
CLEC4M	0.162333333333333
BTBD14A	-1.628
KIAA0999	1.1728
GYPA	-3.756
TAC1	3.9475
TRAIP	-2.12366666666667
KIAA0232	0.773
ERCC8	-0.87375
GPX4	0.303375
KIAA0368	0.31125
GPR157	-0.924833333333333
CTAGE4	1.5945
C9orf30	-1.3705
OR52A1	-0.1125
HSP90B3P	0.0405
ALG9	-0.403
BTBD10	0.47375
SDK2	0.1075
BAIAP3	-0.42975
RABGGTB	-1.0025
ANKRD40	-0.142333333333333
KRT74	0.6515
CALCOCO2	0.616071428571429
SNCA	-2.06625
TMSL8	-2.827625
C2orf53	0.107
ESRRB	-0.69625
ARHGAP26	-0.021
TDRD9	-2.7975
HRAS	-0.5175
KLRC4	-2.5795
JAGN1	-0.145
BSDC1	0.67375
RNF43	-0.1179
NDUFAF1	0.20625
PHF12	0.3355
OR1L3	-0.36675
FOLR2	2.28125
LYZL6	0.0875
tcag7.1260	-0.954
WSB1	-0.926166666666667
PROS1	1.1492
OSTN	0.07
PSMB8	0.22525
SOCS4	0.321875
DDIT4L	2.6945
MAS1	0.0595
MGC34796	0.2855
CSHL1	0.0628333333333333
TBCCD1	0.452166666666667
ZBTB7C	-0.1615
AP2S1	-0.903625
P15RS	0.1757
VAT1	-0.6063
SHANK3	1.12233333333333
TUFM	-0.706166666666667
THEG	-0.532
KRT34	-2.178
SGSM3	0.398125
TOMM22	-0.65875
SOCS3	2.86666666666667
CPO	1.33
POP4	0.0605
BHLHB3	2.45025
MALL	2.807
OR1B1	0.635
PARK2	1.11233333333333
GPR124	1.69925
LCE1E	0.152
RUVBL2	-0.962
CGRRF1	0.9798
ACPL2	0.8645
WNT10B	-1.502875
BAIAP2L2	-2.325625
ISCA1	0.7135
C1orf125	0.215
RPAP1	-0.34075
RAI16	0.193833333333333
RPL27	-0.095125
NLRP9	0.0295
EPN1	-0.178
LOC388610	1.2245
SLC35A1	1.391
GAL	-3.68675
SLC14A2	0.1495
RDH11	-0.774
FAM138F	-0.3955
AUH	0.8895
FLJ40243	0.3605
C14orf129	0.445166666666667
MBD2	-0.610666666666667
ABHD14B	0.896375
PIGT	0.322625
ALS2CR4	0.388125
ALAS1	0.2645
FOXO1	2.11116666666667
CRLF3	-0.0875
C20orf107	0.082
FARS2	0.557
CCDC28A	1.30125
NPHP3	0.50525
OR13F1	0.0835
TSEN54	-0.997
DEFB106B	0.0617
OR8B4	0.329
STH	1.23225
ZC3H14	-0.25775
CBX2	-0.515
TMEM49	-0.3475
C6orf21	0.252
FLJ20920	0.703625
CRTAP	0.366428571428571
DDX50	0.27825
STYXL1	-0.25275
BLVRB	-0.690666666666667
LOC147650	-0.0473333333333333
MMP24	0.17425
GRID1	2.53233333333333
BANF1	-0.580666666666667
CTAGEP	0.5635
HMBS	-2.21125
SLC25A24	0.211666666666667
C14orf50	1.677
MRO	0.0628333333333333
SLC25A15	-0.75475
FAM84B	1.2101
TDP1	-0.927
C16orf78	-0.130166666666667
C11orf57	-0.4215
RFK	-0.67325
ZFYVE9	-0.058875
STCH	-0.9214
WIBG	0.04875
LOC283871	-1.2685
GBA2	-0.2854
NDUFB3	-0.94575
HSD17B13	2.5775
GRIN3A	1.19383333333333
FMNL1	-0.8285
SEPT7	-0.256
GNLY	2.1885
GRAMD1C	2.1515
ZNF165	0.2635
USP38	0.91425
FAM83A	-3.64733333333333
C14orf24	0.47525
ARMCX3	1.49125
ARHGDIB	0.333166666666667
AK1	-0.156625
KIAA1045	0.73775
DNAJB13	-0.361333333333333
NEU2	0.4875
HIST1H4B	-2.53783333333333
FAM20B	-0.5794
HES2	0.420285714285714
FAM73B	-0.469
LOC388381	0.71425
INTS7	-1.03518181818182
AMPH	0.9745
ZNF775	-0.70675
UCKL1	-0.725166666666667
C10orf97	0.57575
C1orf161	-0.62975
ALDH1L1	1.893
FLJ39378	0.36925
SLC23A1	-1.7855
RBM4B	0.61175
THAP4	0.0666666666666667
OGFRL1	1.363
KIAA0831	0.5315
PPP1R15A	1.3215
C1orf96	-0.631428571428571
C12orf11	-1.7095
BMF	0.131
MAN1A1	-0.392375
KIAA1600	1.168
NLGN4X	1.8345
ALOX12	-1.40333333333333
RB1CC1	-0.3648
NEIL2	0.6114
EIF4E	-0.0575
ABHD5	-0.0095
EXOC4	0.103666666666667
CIP29	0.0391666666666667
BATF2	-0.062
SLC29A4	0.471
HTR4	0.3425
EMB	-1.3635
TRAF6	0.832
LMNB1	-3.5345
FAM19A5	-0.500375
SHE	2.919
PIK3C2B	1.55975
C15orf15	-0.1656
USP15	0.3537
TCEAL2	1.008
C5orf39	-1.255
PTGER2	-0.70125
SLC31A1	-0.5919375
IFT172	0.72625
ADAM29	-0.021
GFOD1	0.67925
ST7L	0.3265
C15orf26	-3.396
PKN3	-0.6485
CNTD1	3.1445
COMMD1	0.246375
NTRK2	4.62741666666667
FOXN3	1.2235
MFGE8	2.3546
PFKFB2	0.181666666666667
TAS2R4	0.196
ENTHD1	-0.8455
PRMT5	-0.446875
MGC16384	-1.200875
LOC442229	-1.04575
TSKU	0.61775
KRTCAP3	2.445375
PDLIM1	0.6004
KCNS2	0.04825
RNF126	-0.511166666666667
CEP63	0.108
CLIC4	0.48775
hCG_1990170	5.04875
ACR	0.8456
KLK7	4.6925
ALOX5AP	2.101125
RIPK3	3.13925
TAS2R9	0.19
C19orf18	2.0085
BIRC6	0.0934285714285714
ZNF16	0.9065
RFT1	-0.557
SLC8A2	-0.579
TACC1	0.475875
ITGAD	0.16625
SAMHD1	0.57
SH3PXD2B	1.7726
EPC2	1.11375
C20orf85	-0.043
ATP13A2	0.00633333333333333
KRT4	0.586375
CAPNS1	0.287
MDM2	-0.646166666666667
PCDH20	3.41125
KCNK9	0.015
OR2C1	0.093
KLHDC3	-0.402333333333333
IPPK	0.396
EFHD2	-1.022375
GALR3	-0.23375
NBEA	0.565
ABCA6	4.6129
CLDN3	1.6615
AKT2	-1.23042857142857
EGFR	0.7889
RBM16	0.707625
ZDHHC3	0.1775
SLC25A4	-0.0386666666666667
CYB5B	-0.252166666666667
CPXM1	1.4655
NDRG1	-0.660384615384615
FLJ43826	0.949
OR5L2	-0.236166666666667
FARP2	0.1505
MRPL46	-0.467916666666667
LDHAL6B	0.276666666666667
MAPKAPK3	-0.667333333333333
NCAM2	-2.71575
PRKD2	0.239333333333333
ZFP36L1	1.7791
CYSLTR1	-0.37475
OR4C3	0.121
HIST1H2AJ	0.4615
CCNB2	-3.63733333333333
ZNF10	0.62125
TMEM175	-0.041
FAM134A	0.534333333333333
TIGD4	0.627
PCNP	0.13375
MGC39715	1.19175
LQK1	-1.76825
CREB1	0.9035
TMPRSS3	0.8435
C4orf32	1.386
LAT	-2.45208333333333
KCNA3	-0.4375
SKIV2L2	-0.57275
ROPN1B	4.34725
tcag7.23	0.7235
CDT1	-3.244125
ZHX2	1.011
CD28	-3.38725
ZNF624	0.9945
SEPT2	0.07725
SOHLH2	-1.345
MCOLN3	0.326125
UNQ1945	-0.1655
MASP2	-1.774
ZNRF3	0.3562
GPATCH3	-0.14725
AGL	0.47325
QRICH2	0.467
PSD4	0.679166666666667
CCNB1IP1	-0.20375
ENPP7	-0.08675
OBFC1	0.2495
KCNG3	-2.8775
C14orf79	1.09325
ENPEP	3.04333333333333
SCT	-0.0725
SKI	0.314125
SEC61G	-1.8975
CAPN11	2.591
ATXN7L3	-0.1765
DBNDD1	-0.481833333333333
FAIM	0.493
ANKRD36	-0.5105
GABRP	5.0645
TACSTD2	2.82566666666667
EIF3J	-0.58175
PPP2R2A	-0.14475
TEKT4	-0.4065
PVALB	-4.09033333333333
F10	-1.28233333333333
FAM134C	0.7034
COMP	1.89525
EFCBP1	-0.6003125
SCLT1	0.570375
TAL1	-1.0079
ACSL1	2.735
ABCC5	-0.5595
ABL1	-0.469
RBBP7	-0.458
PTPRG	0.161875
NCOR1	0.1573
SPINK4	-2.06316666666667
TXNRD1	-1.9107
TNRC15	0.606125
C9orf138	1.063
UBE2H	0.295833333333333
BRDT	-0.159833333333333
C8orf31	-0.117
CCNE2	-3.06518181818182
SLC6A8	-2.198375
CALCR	-2.56575
PPP1CB	1.64475
ABHD8	0.2885
ARF5	-0.0788
SLC24A4	0.37425
CCT3	-0.74325
ZNF121	0.65075
SLC3A2	-0.7271
OR13A1	-0.203
SLC5A10	-0.323
RAD50	-0.3835
IER5	0.28325
MTHFD1L	-2.4405
MBTPS2	-0.085
MVK	-0.343875
NCL	-0.4233
PSMD10	0.07925
MOBP	-0.44575
FLJ32894	-0.18
HRH1	-0.794833333333333
C5orf30	0.35975
NUDT16L1	0.0835
RASGRP3	3.53083333333333
PRKRIP1	-0.6564
CCDC75	-0.1175
LOC253970	-0.23225
KIAA1239	0.8705
MED21	-0.61525
SYT11	-0.0938333333333334
NTSR2	-0.436
EGFL11	-0.1005
CXorf59	0.5945
OR2A25	0.1305
SPTBN2	-0.56625
LRMP	-0.9165
RNF111	0.5135
PTH	0.5205
LOC619208	0.374833333333333
KIAA0895	0.8565
RANBP5	-0.530625
P2RY10	0.160666666666667
NME5	3.2075
DDX21	-0.705
LRSAM1	0.6395
HDAC11	0.521666666666667
VMO1	0.54775
NOLA2	-0.538166666666667
ADAR	-0.2445
MTO1	-0.606833333333333
SF4	-0.0226666666666667
P2RX1	-0.457333333333333
HBM	-0.6585
EN2	-0.4145
C14orf172	-0.537
TM9SF2	0.5915
INHBE	-1.32583333333333
TCTE3	-0.2545
TOX2	-3.36125
CTAGE3	0.36275
HBB	3.7748
MED15	-0.617166666666667
CASR	0.2805
C6orf66	-0.6405
MTPN	-0.693
UNC50	0.1305
C21orf33	0.158875
IRF2	0.995
PGR	2.79016666666667
GPR84	1.14825
CROCCL1	-1.65375
SRPX	1.71125
BRE	-0.00766666666666667
FGF10	2.9525
SDC3	1.62316666666667
ZRSR1	0.329333333333333
DKFZP434P211	-0.603375
SOX6	0.511
RPUSD2	-0.33625
C14orf173	-0.753333333333333
MAPK11	-0.669
TBC1D22A	0.3475
FAM123A	-0.8315
COL4A6	0.288333333333333
TOMM70A	0.01425
NAB1	0.4915
MGC16385	-0.00125
TSPAN18	-0.669166666666667
MED31	-0.70275
PLG	-0.588
CAPSL	0.7345
ZNF532	1.1613
ASB14	0.22925
CA8	1.28825
NUDT16P	1.15016666666667
SLFN11	-0.508
LRRIQ2	-0.395375
NOL7	-1.0095
BRMS1L	-0.23375
JARID1A	0.4695
PANK2	-0.504
ICAM3	-1.2855
MDS1	0.01925
TAF8	-0.5905
RNF139	0.51375
ZNF594	0.619333333333333
ADAM8	-0.750875
SFTPC	-0.39025
MAN2B2	1.007
RGS12	0.2754375
EIF1AY	-5.09575
LRRIQ1	-0.0206666666666667
GPR150	-0.25575
CCDC21	-1.5465
PRRG3	2.34625
SAA4	0.05125
RAPGEF5	0.8495
ZCCHC2	-0.0429166666666667
MGC39372	1.2595
PPP4R2	0.0348333333333333
CDCA2	-3.19016666666667
OR4D5	0.614833333333333
PTGFRN	0.7029
SIGLEC5	-0.6225
C19orf61	-0.173166666666667
NMUR2	0.062
KIAA1586	-0.371166666666667
DAGLA	1.03633333333333
CHCHD6	-0.46825
GPR32	0.774
NEUROD6	0.256333333333333
SLC2A4RG	-0.0939375
CA5B	0.5275
FBXL3	1.762
MPHOSPH9	-1.97875
HMG2L1	0.2375
HCN4	-0.364666666666667
CEACAM19	0.49175
SH2D4B	0.072
HFE2	-0.9915
TGM4	0.089
LYPD2	-0.10025
TBC1D15	0.08775
MRPS21	-0.5129
NONO	-0.6747
CLEC5A	0.2745
ITCH	-0.3999
MGAT3	0.667166666666667
MBP	-0.124625
RPP25	-1.50125
SOSTDC1	4.33275
HRC	-1.02825
TRIM48	-0.119
TMEM133	0.9545
ECEL1P2	-1.42025
HOXC11	-0.5655
DOK5	-0.35725
HELZ	0.749
LOC348180	-1.055
MGC33894	0.211
ADRB3	-0.024
DMD	2.01833333333333
PTRH2	-0.71325
MPEG1	2.82416666666667
NDUFA12	-0.639333333333333
KRTAP2-4	-0.282666666666667
STAMBPL1	-0.959166666666667
ADCY2	-0.1506
UNQ6125	0.0685
KLHL20	-0.00316666666666665
SRM	-0.9555
OTC	0.9105
TMIE	0.481
SNX8	-0.98625
LIPK	-0.347
CHURC1	-0.05475
KLC2	-0.103
HDAC1	-0.357166666666667
FAM128A	-0.511333333333333
FNDC3B	-0.1897
MTCP1	-0.4145
WFDC10B	0.2692
PCDHGB3	0.2265
ATRNL1	-0.8108
CAV2	2.056125
MED26	0.292166666666667
DUS1L	-0.29325
CHRM3	-0.480125
NEK9	0.83025
WARS2	0.3045
TBX22	0.487
TOMM40	-1.341
RP6-213H19.1	-1.515
TUBGCP5	-0.48675
IGSF6	4.18425
TPPP	1.65966666666667
UNQ6190	-0.2875
GSTM5	1.796125
BTD	0.830166666666667
PDCD1LG2	0.748333333333333
SNRPB2	-0.802333333333333
ERICH1	0.043875
APOA4	-2.070125
HOXA11	-1.9075
NARG1	-0.54125
MKX	0.22525
RAB28	0.159642857142857
PKP3	0.541
SH3GL2	-3.083
CTSO	3.78575
RPN2	-0.9525
IL28RA	0.834833333333333
SFMBT1	0.05125
WDR57	-0.531
FER1L3	1.594
HSF5	0.0896666666666667
TTC9B	-0.48825
C4BPA	-1.80166666666667
ALB	-4.12578571428571
SORBS3	0.5265
UPF2	0.3265
JPH1	0.157
AGBL2	0.701
DOPEY1	1.4625
TERF1	0.154333333333333
KIF22	-1.5945
NINJ1	0.775
SEC61A2	-0.82175
HIST1H1D	-1.97616666666667
SFXN4	-0.59275
UCP3	0.1305
ZNF703	0.0778333333333333
MYL6B	-0.30325
TREM1	0.7585
OR52E6	-0.305
CKMT2	3.5055
HLA-C	0.88125
SLC13A3	-0.566166666666667
TIMP4	2.47
SLIT2	3.604
RSF1	0.223777777777778
LONRF1	0.161
MON1A	-0.215833333333333
CACNG6	-2.65416666666667
DPPA4	-6.19466666666667
ZSWIM3	0.0055
ZNF804A	-0.203833333333333
CCIN	1.061
SLC25A31	-0.116
KCNMB4	0.7995
RABL5	0.212875
GALNS	-0.3566
STX6	0.084875
HIST1H1C	-2.62683333333333
CIDEB	-0.12275
CASP4	0.507333333333333
PDK3	-0.5656
KCNJ11	1.021
TPR	-0.3765
ZSCAN20	-0.6185
MTX2	-0.348
HIST1H2BH	-1.5155
LOC283767	1.019
LYRM7	-0.713388888888889
BRD3	0.108333333333333
HIST1H2BO	-1.495
MAGEB10	0.0605
SLC45A1	1.5275
SERPINA3	2.06245
KIAA0143	0.6765
KCNJ16	3.92216666666667
KRT79	0.20575
FABP2	-0.56225
NUT	0.0055
ZNF57	-0.0275
FBXL4	0.908625
CLEC9A	2.667
UGT8	1.76483333333333
BMP2K	0.33625
MAPK4	-2.03475
SLC25A23	-0.5028
HINT1	-0.9331
KRTAP13-1	0.051
SFXN5	-0.252
CHCHD2	-0.69075
FAM3D	3.893
NDP	-1.95
RHOBTB1	-0.524
SLC4A4	0.30025
RPL38	0.24175
HTF9C	-0.4555
AP2A2	0.51175
ZBTB46	0.249
MAP7D1	0.213375
AOX1	-0.230333333333333
CYR61	3.0945
DTNA	0.695428571428572
JRKL	1.068
TMOD3	0.19475
EEA1	0.1806
ADCK5	-0.95375
IL1R1	2.18866666666667
KLK3	1.22857142857143
HRSP12	-0.378
KTN1	0.30825
LOH11CR2A	1.1065
RELL2	-1.916
MAB21L1	3.63725
C20orf59	-1.4725
PHKB	0.51025
ADAM2	-1.86516666666667
TBC1D8B	1.27466666666667
FAM13A1	0.89475
LAPTM4B	-0.865833333333334
LCN8	-0.5635
TMEM147	-0.2135
SYT4	0.318666666666667
XPO7	-0.9035
C9orf62	-0.478
GPR75	1.1275
TRIM5	0.9485
APOC1	-1.65283333333333
RNASE4	1.725
PARD6B	-1.62325
ARID1A	0.378916666666667
TPD52L3	-0.0584
RRAGB	1.2135
RCN2	-0.214166666666667
HIST2H2BE	-0.6920625
STARD7	-0.45975
SHMT2	-1.1375
KIAA1751	0.039
MLYCD	0.803625
LOC162632	-0.6591
UQCRH	-1.2955
RP11-217H1.1	-0.04125
SDHA	-0.919
NCLN	-0.9019
ZNF17	0.989
RCBTB2	-0.466
VEGFB	-0.0949
RP4-747L4.3	1.43375
COLQ	0.6315
MPN2	-0.302666666666667
DRG2	-0.274
KLRB1	4.12925
ALPK2	-1.14325
DNASE2B	0.92625
FLJ23834	1.313
AXUD1	2.7205
SAFB	-0.3144
NSUN4	-0.33025
RFX2	0.873166666666667
MAPK8IP1	-0.2235
FANCD2	-1.1665
ANKZF1	-1.15266666666667
C19orf50	-0.18975
DUSP8	2.471875
SENP5	-0.79525
NFKBIL2	-1.3365
LBR	-1.59025
IGFL1	0.8605
LZTS2	0.047125
IL2RG	-1.3605
CCDC51	-0.666
KLF3	0.7205
ANKRD37	-0.284
KCTD14	2.89266666666667
FZR1	-0.233
SLC44A4	1.9058
ESPL1	-1.435875
GMPR2	0.0354
TBC1D19	-0.395166666666667
ERGIC1	-0.408555555555556
ERBB4	2.874
TSPAN32	-0.25525
MAP4	0.18025
GPHN	0.21075
SLC6A2	1.080875
HIVEP1	0.4175
DFFB	-0.2244
EIF4EBP2	0.609
DMRT1	-0.611
HSPB6	0.9505
IER2	1.86966666666667
AIFM1	-0.72675
WWC2	0.44325
MRPL4	-0.6855
FLJ21062	1.49516666666667
EPB41L4A	1.07025
SH2D6	-0.2495
TAF4B	0.2895
GAL3ST3	-0.358
MALT1	-0.602666666666667
RTDR1	0.48675
ARVCF	0.63475
MEX3B	0.427666666666667
FBXO16	0.65675
KIF7	0.225
C1QC	3.54466666666667
ZNF783	-0.143
ZNF85	1.03425
MMP13	2.5145
KIAA0329	1.305
RTP3	-1.2425
ZBED3	0.4915
CLGN	-2.092
SLC25A37	-0.7445
hCG_18290	0.549
OR5AS1	0.262
SMARCC2	0.32425
FAM109A	-0.139833333333333
CCDC12	-0.01525
USF2	0.1014
DEPDC7	-2.98375
C20orf24	-1.18
JMJD3	1.1035
DSP	1.48421428571429
SLIC1	-0.10625
FAM20A	2.588875
IRF2BP2	1.46125
ZNF230	0.166
MSN	-0.621428571428572
SLC9A5	-1.7215
EPDR1	0.0254
MUSK	-0.137666666666667
ZNF434	0.235
SMARCD1	-0.393166666666667
ZFP106	0.56825
ZNF347	0.8121
GTF2E1	-0.386
