Hybridization REF	TCGA-A8-A09E-01A-11R-A00Z-07
CD160	-0.230833333333333
MT1JP	-0.429333333333333
PHF20	-0.169375
CPNE4	2.685
GTPBP1	-0.169
RAB33B	0.8885
ALDOC	-1.76975
ZNF212	-0.36775
NUDT1	-1.0325
RFPL2	-0.24125
ZNF83	-0.667333333333333
GDPD5	-0.3945
PDCD4	0.8611
CEP350	0.284
OR10A2	0.07725
CST7	-0.4045
CIAO1	-0.793
SELL	0.1965
OR8J3	0.175
LTBP4	-0.5205
SIRT6	0.336
CCL19	3.85775
PPIL1	-0.167166666666667
GBP7	-0.106333333333333
STK17A	-1.0832
ABR	0.62325
OR9G1	0.5025
FOXE1	-0.32275
CNGA3	0.7195
GML	0.9305
CD38	-3.5395
ZDHHC6	-0.442166666666667
NEFH	-2.34775
CTDSP2	0.0405833333333333
PGBD5	-1.50066666666667
CCNY	0.146214285714286
RMND5B	0.364083333333333
ZNF257	-4.08225
FLJ22167	0.078125
EXOSC7	0.2115
ROR2	1.425625
MAOA	0.6865
TNNT3	0.732
GYPC	-1.78425
C7orf33	0.0035
PLIN	4.00933333333333
LOC90826	-0.34425
RNF4	-0.4866
F8A1	0.2845
PLEKHG4	-1.567
GRB2	0.24065
HIST1H2AD	1.104
DUS3L	-0.271333333333333
EIF1	-0.195666666666667
RP5-1077B9.4	-1.05966666666667
FPGT	1.05775
GDF10	0.0783333333333333
COQ9	0.51675
GCC2	-0.318
RARRES3	2.7855
PLXNA1	-0.8032
KIAA0100	-0.4419
PMF1	0.294
FNDC1	5.28275
HS2ST1	-0.604083333333333
CRELD2	1.65775
C8G	-1.4085
CD82	1.40775
LIM2	-0.63
UNQ6490	-0.4565
MMP16	-0.3645
DRD3	0.05975
C5orf26	-1.66875
C11orf73	-1.236125
PTP4A2	-0.62475
OR4M2	1.0475
HPCA	-0.461666666666667
SEC14L1	-0.9415
CHFR	-0.866375
EMILIN1	0.4575
NDUFS4	-0.317
COL18A1	-0.5865
PDZD3	0.0897
C9orf16	-0.433833333333333
ERBB2IP	0.0496666666666667
EMX2	2.377
FUS	-0.08425
TF	-3.6123
CLCN4	0.458833333333333
CXorf56	1.32675
C11orf72	0.323
ELAC2	0.27875
NPR1	-0.70525
ASS1	-2.828
USP42	-0.375375
POLR2J	-0.88
SEC23IP	0.354
UQCRC1	0.50675
LOC729603	-0.27625
C1orf71	0.493125
POLG	-1.2805
ADAM23	-3.409
TFR2	-0.9855
RICTOR	-1.2536
MGC39606	-0.78975
C19orf55	0.00512500000000005
SNAPC1	-1.69633333333333
GNA11	1.057375
CCDC52	0.0181666666666667
FSIP1	3.641
UPF3A	0.26075
IGSF11	-2.59933333333333
LAGE3	0.13425
CHST6	-2.948
UNC13B	0.692
TTLL4	-0.71625
ZNF687	0.3075
SDC2	-1.4692
COX7A2	-0.381
LAMB4	-0.359333333333333
FAM24A	0.1625
LRRTM3	-1.3416
GPHB5	0.23075
OR4C13	0.505
EIF3EIP	-0.385928571428571
HABP4	-0.0355
TMEM125	3.25375
CNTN2	0.77275
ASNSD1	-0.42175
FUT4	-0.789
ACF	-3.47
LOC158381	0.6385
CDH8	-0.578
AGPS	-0.0936666666666667
C4orf18	4.262375
PECI	1.19916666666667
UNG	0.152125
GSTP1	-3.21675
DCUN1D5	-2.12483333333333
DKFZP564J0863	-2.20325
SLC9A3R1	2.371375
BCDO2	-0.7075
CHMP7	0.767
REM2	1.6945
DNHD1	-0.790125
FKBP4	0.7325
ZNF350	1.14075
MGC11102	-1.18325
BST1	0.59125
KISS1R	0.6925
NCR2	0.258
DEFB125	-0.5385
UBE2W	1.394125
KRT15	1.4245
C10orf99	0.3755
SCN11A	0.202375
GFI1	-2.68625
RDHE2	1.01566666666667
FHL1	-1.25166666666667
OSGEP	-0.420666666666667
GATA1	-3.27566666666667
SMC6	-0.71925
TTTY14	-0.992
LPIN3	0.851
RPL4	-0.4316
RBPMS	0.7828
PRPF3	0.0356666666666667
EMR1	-2.842
SPATA19	0.64625
XCR1	0.328
IRX3	2.0556
RBM6	-0.586
KLF4	-0.3378
UNC5CL	1.16225
SEBOX	0.6005
BTK	-1.586
KRCC1	0.61475
C6orf27	0.387
SYTL5	-1.1975
PRND	2.09325
LOC653319	-1.2515
PIGL	-0.724875
HUS1	-0.0905
SFRS6	-0.434833333333333
C17orf77	2.16
UIMC1	-0.408166666666667
FXYD2	-1.8715
LOC283152	0.65575
ZNF667	-2.20075
ZCCHC12	-0.976
TFEC	2.1345
ATP7B	0.125
POLD2	-0.471333333333333
RG9MTD1	0.5685
ACOT2	0.382333333333333
HIST1H4I	-0.66075
PPARGC1A	-2.7481
ETFA	-1.9817
POLRMT	-0.076
ZNF146	0.189375
MIA2	-2.148
KLHL6	-2.009
HOXB5	-1.5525
NENF	1.511
CUGBP1	0.42625
PRSS22	1.27166666666667
CASC4	2.1112
CUL4B	-0.0205
CENPJ	-0.7429
PITX1	0.744333333333333
FLJ31033	1.63316666666667
CELSR3	0.0668333333333333
ZNF568	-0.7545
ITSN1	-0.529083333333333
EHBP1L1	-2.03533333333333
C19orf2	0.372
DCTN1	0.399
LIN28B	-3.76466666666667
TNKS2	-0.9145
C1QBP	-0.003375
CADPS2	-1.652
SRMS	0.981
GJA9	0.299833333333333
MGC24975	-0.626333333333333
TRIM45	-0.636333333333333
TSP50	-0.29025
TCP1	-1.08875
TMED7	0.6561
CMA1	1.0965
CENPL	0.0915
PTCRA	-0.026
FST	-4.26
VWCE	-4.3855
PAWR	-0.42325
ABCC12	-0.1608
LDLR	0.5541
ASTN2	1.433
LOC441212	-0.766125
GPATCH8	0.06375
TANC2	0.164166666666667
KIF4A	-0.83275
C18orf18	-2.6635
PGM1	-0.774
KIAA0258	-0.624
CPD	0.84175
SNCAIP	-1.759
DCT	-4.04766666666667
HLA-DOA	1.99786363636364
OR11L1	0.469
UPK1B	-0.3295
DNAJB4	-1.717625
UGT1A8	-0.18475
HIST1H4L	-0.708
PECR	-0.451666666666667
HSPA2	-0.8695
WFIKKN1	-2.054
SERP1	0.974375
SYDE2	1.4925
TACR2	0.8745
NUP85	-0.3565
CD177	-0.333333333333333
LGR5	-1.8145
PIGG	-0.80375
PTHR1	-1.7525
RAB5A	0.6477
FLJ13224	-0.838
USP9Y	-1.8125
C7orf53	-0.6125
LRP1B	0.06875
XAF1	4.0935
ABCG8	-1.0545
ANKDD1A	-1.01966666666667
DAND5	-1.0815
SPAG6	0.184833333333333
LINCR	0.073
ZDHHC22	-1.454625
CCDC60	0.019
THOC7	-0.467166666666667
TCTA	2.2138
OR8K3	-0.24925
NY-REN-7	-1.03125
B2M	2.32266666666667
C6orf141	-1.083
LPPR4	1.84625
SQLE	0.39075
SEPHS1	-0.50325
BTBD14B	0.5825
PLRG1	-0.72975
SPG7	-0.000937499999999998
ZNF614	-0.991166666666667
PARD6G	-0.139833333333333
INPP5B	-0.1471
GRPEL2	-0.307125
PPID	-0.6661
TRIM56	-1.02775
UBE2J1	-0.7235
IL20RA	5.08825
LOC387856	0.08175
C1orf107	1.18441666666667
UTS2R	0.6575
C19orf22	0.596
SAFB2	0.209375
KIAA0652	0.01275
KLRG1	-1.49066666666667
MS4A8B	3.32633333333333
FRAG1	1.0845
KIAA1546	0.01075
E2F4	-0.917
CLEC4M	0.231833333333333
BTBD14A	-1.28875
KIAA0999	-0.6004
GYPA	-3.63633333333333
TAC1	0.4144
TRAIP	-0.520666666666667
KIAA0232	0.5512
ERCC8	-1.80175
GPX4	0.653875
KIAA0368	-0.102375
GPR157	-1.18716666666667
CTAGE4	2.1745
C9orf30	-0.6785
OR52A1	0.2125
HSP90B3P	0.617
ALG9	-1.3656
BTBD10	0.90575
SDK2	0.304
BAIAP3	1.788
RABGGTB	-1.24
ANKRD40	0.641166666666667
KRT74	0.165
CALCOCO2	1.09035714285714
SNCA	-3.601
TMSL8	-1.723125
C2orf53	0.44
ESRRB	-0.58125
ARHGAP26	-2.24175
TDRD9	-2.653
HRAS	0.2885
KLRC4	-2.0115
JAGN1	0.327666666666667
BSDC1	0.361
RNF43	-1.4976
NDUFAF1	1.38525
PHF12	0.8845
OR1L3	0.114
FOLR2	1.5355
LYZL6	-0.245833333333333
tcag7.1260	-2.147
WSB1	-1.78083333333333
PROS1	-1.5124
OSTN	0.6775
PSMB8	1.4535
SOCS4	-0.312142857142857
DDIT4L	4.6055
MAS1	null
MGC34796	2.34125
CSHL1	0.3425
TBCCD1	0.656166666666667
ZBTB7C	0.266
AP2S1	0.05175
P15RS	0.0925
VAT1	-0.2856
SHANK3	0.882833333333333
TUFM	0.276
THEG	-0.5595
KRT34	-1.118
SGSM3	0.039375
TOMM22	-0.159625
SOCS3	0.7895
CPO	0.3315
POP4	0.811
BHLHB3	-0.51075
MALL	0.368
OR1B1	0.68
PARK2	1.05933333333333
GPR124	-0.29775
LCE1E	-0.599
RUVBL2	-0.1615
CGRRF1	0.4409
ACPL2	1.6635
WNT10B	-2.544625
BAIAP2L2	-2.13425
ISCA1	0.539
C1orf125	0.091875
RPAP1	-0.2295
RAI16	0.4565
RPL27	-0.503875
NLRP9	-0.1135
EPN1	0.5165
LOC388610	-0.03275
SLC35A1	0.6097
GAL	-3.4655
SLC14A2	0.5245
RDH11	-0.9205
FAM138F	-0.8185
AUH	0.14425
FLJ40243	0.3275
C14orf129	0.259333333333333
MBD2	-0.9455
ABHD14B	1.052
PIGT	1.22975
ALS2CR4	-0.36775
ALAS1	0.7163
FOXO1	-0.450166666666667
CRLF3	-0.20775
C20orf107	0.033
FARS2	1.514
CCDC28A	0.4725
NPHP3	-1.0845
OR13F1	-0.063
TSEN54	-0.14775
DEFB106B	0.127333333333333
OR8B4	0.454
STH	0.642
ZC3H14	-0.262
CBX2	-0.786
TMEM49	-0.50025
C6orf21	0.7345
FLJ20920	0.1815
CRTAP	0.383571428571429
DDX50	-0.77525
STYXL1	-0.79275
BLVRB	1.78016666666667
LOC147650	0.4065
MMP24	0.4245
GRID1	1.1965
BANF1	-1.06333333333333
CTAGEP	0.98175
HMBS	-3.19025
SLC25A24	0.185333333333333
C14orf50	-0.5525
MRO	0.502
SLC25A15	-0.18775
FAM84B	2.0507
TDP1	-0.501
C16orf78	0.0455
C11orf57	-1.625375
RFK	-0.4465
ZFYVE9	0.630875
STCH	-0.7828
WIBG	0.63525
LOC283871	0.225
GBA2	-0.7751
NDUFB3	-0.271
HSD17B13	-0.61975
GRIN3A	0.925333333333333
FMNL1	-1.05766666666667
SEPT7	-0.5799
GNLY	1.489
GRAMD1C	-0.709166666666667
ZNF165	1.01
USP38	0.3115
FAM83A	-3.21083333333333
C14orf24	0.642666666666666
ARMCX3	2.166125
ARHGDIB	0.470166666666667
AK1	0.581375
KIAA1045	-0.00425000000000003
DNAJB13	-0.307666666666667
NEU2	0.3815
HIST1H4B	-0.399
FAM20B	0.7515
HES2	-0.376642857142857
FAM73B	-0.2885
LOC388381	-0.054
INTS7	0.181818181818182
AMPH	0.7885
ZNF775	-0.36175
UCKL1	-0.424166666666667
C10orf97	0.21225
C1orf161	-0.1005
ALDH1L1	-0.71075
FLJ39378	0.1905
SLC23A1	1.759
RBM4B	1.494
THAP4	0.2165
OGFRL1	-0.021
KIAA0831	-0.235875
PPP1R15A	-0.968333333333333
C1orf96	0.985357142857143
C12orf11	-2.33325
BMF	0.903
MAN1A1	-1.868
KIAA1600	0.0296666666666667
NLGN4X	2.717
ALOX12	-1.4225
RB1CC1	0.5605
NEIL2	1.5692
EIF4E	-0.321454545454545
ABHD5	0.81825
EXOC4	-0.224166666666667
CIP29	0.114166666666667
BATF2	4.632
SLC29A4	-0.6055
HTR4	0.77825
EMB	-2.7645
TRAF6	0.15425
LMNB1	-1.5045
FAM19A5	1.779375
SHE	1.488
PIK3C2B	0.857
C15orf15	-0.3658
USP15	-0.261
TCEAL2	0.5845
C5orf39	-2.27283333333333
PTGER2	-2.0985
SLC31A1	-0.05375
IFT172	0.01125
ADAM29	0.22025
GFOD1	-0.0785
ST7L	0.235333333333333
C15orf26	-2.47975
PKN3	-0.7785
CNTD1	3.76033333333333
COMMD1	0.380875
NTRK2	3.0245
FOXN3	-0.7245
MFGE8	-1.2446
PFKFB2	0.582833333333333
TAS2R4	-0.1345
ENTHD1	0.45
PRMT5	-0.46625
MGC16384	-1.95225
LOC442229	-1.03875
TSKU	2.7315
KRTCAP3	3.232875
PDLIM1	0.7677
KCNS2	0.4145
RNF126	-0.369333333333333
CEP63	0.439
CLIC4	-0.260125
hCG_1990170	-1.5585
ACR	0.1542
KLK7	0.95625
ALOX5AP	2.230625
RIPK3	1.9165
TAS2R9	0.216
C19orf18	-1.6155
BIRC6	0.0837857142857143
ZNF16	1.563
RFT1	0.08925
SLC8A2	-0.249
TACC1	-1.187625
ITGAD	1.024
SAMHD1	1.23675
SH3PXD2B	0.3892
EPC2	0.29375
C20orf85	0.280625
ATP13A2	-0.0338333333333333
KRT4	0.489625
CAPNS1	0.746
MDM2	0.416166666666667
PCDH20	4.7705
KCNK9	1.433
OR2C1	0.153
KLHDC3	-0.0996666666666667
IPPK	0.7205
EFHD2	-0.643875
GALR3	0.7035
NBEA	0.236166666666667
ABCA6	2.5016
CLDN3	1.444
AKT2	-0.229142857142857
EGFR	-3.0177
RBM16	-0.071125
ZDHHC3	0.3535
SLC25A4	0.416333333333333
CYB5B	-0.264
CPXM1	-0.35375
NDRG1	-1.99615384615385
FLJ43826	0.12875
OR5L2	0.571333333333333
FARP2	0.5811
MRPL46	-0.01425
LDHAL6B	0.4738
MAPKAPK3	0.369333333333333
NCAM2	-0.185
PRKD2	0.636
ZFP36L1	1.3227
CYSLTR1	0.22775
OR4C3	0.04725
HIST1H2AJ	2.5015
CCNB2	-1.1
ZNF10	-0.847875
TMEM175	0.4745
FAM134A	1.104
TIGD4	-0.5485
PCNP	0.0065
MGC39715	0.056
LQK1	0.1345
CREB1	0.7307
TMPRSS3	1.516
C4orf32	0.396375
LAT	-2.28191666666667
KCNA3	-0.3785
SKIV2L2	-1.15275
ROPN1B	-3.531
tcag7.23	-0.7295
CDT1	-2.186125
ZHX2	1.068125
CD28	-4.14875
ZNF624	0.81375
SEPT2	-0.121333333333333
SOHLH2	-0.442
MCOLN3	-0.43075
UNQ1945	0.459
MASP2	-1.2385
ZNRF3	0.6766
GPATCH3	-0.68925
AGL	0.693875
QRICH2	-0.0715
PSD4	0.998833333333333
CCNB1IP1	-2.54375
ENPP7	0.36225
OBFC1	0.126
KCNG3	-1.08125
C14orf79	1.065
ENPEP	0.813166666666667
SCT	1.934
SKI	0.3045
SEC61G	-0.631
CAPN11	0.11925
ATXN7L3	-0.05775
DBNDD1	0.432
FAIM	0.6015
ANKRD36	-0.28
GABRP	0.956666666666667
TACSTD2	2.11483333333333
EIF3J	0.22925
PPP2R2A	0.104
TEKT4	0.322166666666667
PVALB	1.44833333333333
F10	-2.79316666666667
FAM134C	1.414
COMP	4.473625
EFCBP1	-3.8843125
SCLT1	0.02925
TAL1	-1.3544
ACSL1	1.491
ABCC5	0.785583333333333
ABL1	-0.15
RBBP7	1.86258333333333
PTPRG	-0.776625
NCOR1	0.661
SPINK4	-0.730166666666667
TXNRD1	-0.9127
TNRC15	1.103875
C9orf138	1.0555
UBE2H	0.716
BRDT	3.16916666666667
C8orf31	-0.094
CCNE2	-0.195090909090909
SLC6A8	-0.55875
CALCR	-4.72325
PPP1CB	0.649833333333333
ABHD8	0.55725
ARF5	0.5841
SLC24A4	0.35425
CCT3	0.54425
ZNF121	0.543875
SLC3A2	-0.4441
OR13A1	0.7715
SLC5A10	0.324
RAD50	0.545875
IER5	-0.385125
MTHFD1L	-2.373
MBTPS2	0.48525
MVK	0.128375
NCL	0.3039
PSMD10	0.764
MOBP	0.250875
FLJ32894	-0.1355
HRH1	-1.43816666666667
C5orf30	0.9055
NUDT16L1	1.396
RASGRP3	2.74983333333333
PRKRIP1	-0.5318
CCDC75	-0.3455
LOC253970	-0.0213333333333333
KIAA1239	1.0975
MED21	0.0115
SYT11	-0.28325
NTSR2	-0.963
EGFL11	-0.2105
CXorf59	-0.1325
OR2A25	0.10825
SPTBN2	1.8495
LRMP	-1.75683333333333
RNF111	0.18625
PTH	-1.089
LOC619208	-0.033
KIAA0895	0.751
RANBP5	-0.558625
P2RY10	-0.0776666666666667
NME5	4.1665
DDX21	-1.65925
LRSAM1	0.336
HDAC11	2.20816666666667
VMO1	1.62725
NOLA2	0.0123333333333334
ADAR	2.23633333333333
MTO1	-1.16316666666667
SF4	0.655166666666667
P2RX1	-0.6595
HBM	0.003
EN2	0.871
C14orf172	-0.33075
TM9SF2	0.839
INHBE	-0.818333333333333
TCTE3	0.0595
TOX2	-3.7835
CTAGE3	0.953125
HBB	3.8016
MED15	-0.753166666666667
CASR	-0.19675
C6orf66	-1.29
MTPN	-0.523375
UNC50	0.31225
C21orf33	-0.0235
IRF2	0.671875
PGR	2.9785
GPR84	1.41725
CROCCL1	-2.9445
SRPX	-1.742
BRE	0.467333333333333
FGF10	2.61025
SDC3	-0.920166666666667
ZRSR1	0.643833333333333
DKFZP434P211	-0.050625
SOX6	0.352
RPUSD2	0.2555
C14orf173	-0.28075
MAPK11	-0.592166666666667
TBC1D22A	0.412
FAM123A	-0.788
COL4A6	-3.6095
TOMM70A	0.75325
NAB1	-1.089625
MGC16385	-1.007875
TSPAN18	-0.579166666666667
MED31	0.08375
PLG	-0.61925
CAPSL	2.887
ZNF532	-0.3459
ASB14	0.1965
CA8	-4.45075
NUDT16P	-1.19716666666667
SLFN11	0.4715
LRRIQ2	0.68225
NOL7	0.175166666666667
BRMS1L	-0.477125
JARID1A	0.159
PANK2	-0.487
ICAM3	0.2545
MDS1	-0.8395
TAF8	-0.35175
RNF139	1.1505
ZNF594	-0.392166666666667
ADAM8	0.56875
SFTPC	-0.196625
MAN2B2	1.017
RGS12	0.024
EIF1AY	-4.64016666666667
LRRIQ1	-2.01516666666667
GPR150	0.75925
CCDC21	-0.617333333333333
PRRG3	0.5245
SAA4	-4.056
RAPGEF5	1.4355
ZCCHC2	-0.3685
MGC39372	2.3775
PPP4R2	0.495333333333333
CDCA2	-0.605333333333333
OR4D5	0.642666666666667
PTGFRN	0.899
SIGLEC5	0.753333333333333
C19orf61	-0.179166666666667
NMUR2	0.0205
KIAA1586	-1.09133333333333
DAGLA	-0.759833333333333
CHCHD6	0.872
GPR32	0.4145
NEUROD6	0.071
SLC2A4RG	0.096625
CA5B	0.0815
FBXL3	1.265
MPHOSPH9	-1.46275
HMG2L1	0.02175
HCN4	0.596333333333333
CEACAM19	1.2675
SH2D4B	-0.166666666666667
HFE2	-0.605
TGM4	1.07183333333333
LYPD2	0.09175
TBC1D15	-0.0065
MRPS21	0.4594
NONO	-0.4366
CLEC5A	1.095
ITCH	-0.3215
MGAT3	-1.61066666666667
MBP	-1.42125
RPP25	-2.38425
SOSTDC1	-3.2375
HRC	-1.73125
TRIM48	0.107
TMEM133	-0.837
ECEL1P2	-1.16
HOXC11	0.9895
DOK5	-1.531
HELZ	0.633333333333333
LOC348180	-0.2385
MGC33894	0.35125
ADRB3	-0.0245
DMD	-0.457166666666667
PTRH2	-0.094
MPEG1	2.44033333333333
NDUFA12	0.188166666666667
KRTAP2-4	-0.04025
STAMBPL1	-2.85183333333333
ADCY2	0.9016
UNQ6125	0.429
KLHL20	0.547
SRM	-0.37175
OTC	-0.10275
TMIE	0.754333333333333
SNX8	-0.12575
LIPK	-0.1905
CHURC1	0.354666666666667
KLC2	0.451
HDAC1	-1.2705
FAM128A	0.537166666666667
FNDC3B	-0.0758
MTCP1	0.288833333333333
WFDC10B	0.0604
PCDHGB3	0.0265
ATRNL1	0.577
CAV2	-1.267375
MED26	0.210333333333333
DUS1L	0.351
CHRM3	-1.980625
NEK9	1.35875
WARS2	-0.567
TBX22	-0.142
TOMM40	-0.2555
RP6-213H19.1	1.24333333333333
TUBGCP5	-0.05925
IGSF6	4.70775
TPPP	1.61883333333333
UNQ6190	0.604
GSTM5	-0.251375
BTD	1.08283333333333
PDCD1LG2	0.203833333333333
SNRPB2	0.0793333333333333
ERICH1	0.1255
APOA4	-1.51325
HOXA11	-1.81225
NARG1	-0.4625
MKX	-1.41275
RAB28	-0.057
PKP3	1.50725
SH3GL2	-2.4785
CTSO	3.40525
RPN2	0.899125
IL28RA	0.2805
SFMBT1	0.4725
WDR57	-0.664625
FER1L3	0.647916666666667
HSF5	-0.366
TTC9B	1.03375
C4BPA	-4.0485
ALB	-4.31507142857143
SORBS3	0.635375
UPF2	0.206
JPH1	1.81
AGBL2	-0.56025
DOPEY1	0.6035
TERF1	0.33625
KIF22	-0.497666666666667
NINJ1	1.2845
SEC61A2	0.61825
HIST1H1D	-0.404
SFXN4	0.099375
UCP3	0.0768
ZNF703	1.03683333333333
MYL6B	-1.0205
TREM1	2.407
OR52E6	0.99
CKMT2	2.02375
HLA-C	2.48625
SLC13A3	-2.84066666666667
TIMP4	-0.6435
SLIT2	0.6975
RSF1	2.55461111111111
LONRF1	0.632928571428571
MON1A	0.0438333333333333
CACNG6	1.18816666666667
DPPA4	-5.25483333333333
ZSWIM3	0.3005
ZNF804A	0.3626
CCIN	1.251
SLC25A31	0.45775
KCNMB4	-2.05925
RABL5	0.795125
GALNS	0.2341
STX6	1.366
HIST1H1C	1.347
CIDEB	-1.459125
CASP4	-1.5485
PDK3	0.7984
KCNJ11	2.502
TPR	0.147875
ZSCAN20	-1.174
MTX2	-0.18975
HIST1H2BH	1.031
LOC283767	1.9855
LYRM7	-1.03966666666667
BRD3	0.491833333333333
HIST1H2BO	0.86375
MAGEB10	-0.1575
SLC45A1	0.699
SERPINA3	3.19705
KIAA0143	1.239
KCNJ16	-0.256333333333333
KRT79	0.16425
FABP2	-1.206
NUT	-0.31725
ZNF57	0.07075
FBXL4	0.98825
CLEC9A	1.4335
UGT8	-1.405
BMP2K	-0.2095
MAPK4	-3.7585
SLC25A23	0.4483
HINT1	-0.1871
KRTAP13-1	0.193
SFXN5	-0.7109
CHCHD2	0.388666666666667
FAM3D	1.2315
NDP	-3.8685
RHOBTB1	-1.363
SLC4A4	-2.142
RPL38	0.07075
HTF9C	-0.708
AP2A2	0.413875
ZBTB46	-0.682
MAP7D1	-0.425
AOX1	-1.18016666666667
CYR61	0.0133333333333333
DTNA	-2.18314285714286
JRKL	-1.403
TMOD3	-0.08425
EEA1	0.3131
ADCK5	-0.174
IL1R1	1.29616666666667
KLK3	0.58
HRSP12	1.017
KTN1	0.2355
LOH11CR2A	0.4299
RELL2	-0.9665
MAB21L1	0.577
C20orf59	-1.16
PHKB	-0.20675
ADAM2	-2.25416666666667
TBC1D8B	1.94966666666667
FAM13A1	-0.84975
LAPTM4B	-0.10825
LCN8	-0.216
TMEM147	0.9285
SYT4	0.119333333333333
XPO7	0.382
C9orf62	0.84125
GPR75	0.1545
TRIM5	0.576375
APOC1	-0.754
RNASE4	2.22216666666667
PARD6B	0.0625
ARID1A	-0.0818333333333333
TPD52L3	0.4343
RRAGB	1.84416666666667
RCN2	0.292666666666667
HIST2H2BE	1.2814375
STARD7	-0.0125
SHMT2	-1.10525
KIAA1751	0.219666666666667
MLYCD	1.124125
LOC162632	-1.0211
UQCRH	-1.65225
RP11-217H1.1	1.2175
SDHA	-0.570166666666667
NCLN	0.1357
ZNF17	0.736666666666666
RCBTB2	-2.2005
VEGFB	-1.3673
RP4-747L4.3	0.25875
COLQ	0.5781
MPN2	-1.009
DRG2	-0.06525
KLRB1	3.03875
ALPK2	-2.51475
DNASE2B	0.2715
FLJ23834	-0.116666666666667
AXUD1	1.281
SAFB	0.00819999999999999
NSUN4	-0.72
RFX2	-0.9435
MAPK8IP1	0.9045
FANCD2	-0.0368571428571428
ANKZF1	-1.5635
C19orf50	-0.34875
DUSP8	1.32425
SENP5	-0.024125
NFKBIL2	-0.07
LBR	-2.4645
IGFL1	0.012
LZTS2	-0.44575
IL2RG	-1.407625
CCDC51	0.514
KLF3	0.189875
ANKRD37	-1.5275
KCTD14	-2.2425
FZR1	0.53025
SLC44A4	3.6774
ESPL1	-0.536
GMPR2	-0.1641
TBC1D19	-0.6885
ERGIC1	1.597
ERBB4	3.8844
TSPAN32	-0.262416666666667
MAP4	0.50375
GPHN	-1.642
SLC6A2	0.286625
HIVEP1	0.5525
DFFB	-0.2991
EIF4EBP2	-0.02475
DMRT1	0.07525
HSPB6	0.1155
IER2	0.7825
AIFM1	0.6995
WWC2	-0.821083333333333
MRPL4	0.28825
FLJ21062	0.525666666666667
EPB41L4A	-0.547416666666667
SH2D6	0.475
TAF4B	-0.8405
GAL3ST3	0.63
MALT1	-0.906666666666667
RTDR1	0.6295
ARVCF	-0.18775
MEX3B	-2.5585
FBXO16	1.52775
KIF7	-0.73175
C1QC	4.06783333333333
ZNF783	-1.31483333333333
ZNF85	-0.9345
MMP13	3.93
KIAA0329	0.23075
RTP3	-1.14
ZBED3	-0.829
CLGN	-4.9095
SLC25A37	-1.50516666666667
hCG_18290	-0.36
OR5AS1	0.4915
SMARCC2	0.508916666666667
FAM109A	0.195666666666667
CCDC12	-0.212
USF2	0.9545
DEPDC7	-3.23625
C20orf24	-0.295833333333333
JMJD3	0.9755
DSP	2.52321428571429
SLIC1	0.09975
FAM20A	0.457375
IRF2BP2	0.763
ZNF230	-0.298
MSN	-0.806785714285714
SLC9A5	-1.4005
EPDR1	-1.2431
MUSK	0.262833333333333
ZNF434	0.33
SMARCD1	-0.5845
ZFP106	-0.02725
ZNF347	-1.9094
GTF2E1	0.1895
