Hybridization REF	TCGA-A8-A07W-01A-11R-A00Z-07
SLC25A46	-1.24475
LARP7	-1.908
CD160	0.3785
MT1JP	-0.911666666666667
PHF20	0.7499375
CPNE4	-1.62825
GTPBP1	-0.238
RAB33B	0.7225
ALDOC	-1.35375
ZNF212	-0.0255
NUDT1	-0.501
RFPL2	-0.778
ZNF83	-0.264833333333333
GDPD5	0.065875
PDCD4	1.7197
CEP350	-0.65475
OR10A2	0.1195
CST7	1.27075
CIAO1	-0.736
SELL	0.493
OR8J3	-0.045
LTBP4	-0.804333333333333
SIRT6	0.00475
CCL19	3.179
PPIL1	-0.790333333333333
GBP7	0.4116
STK17A	-0.5198
ABR	0.388
OR9G1	1.404
FOXE1	-0.55725
CNGA3	1.136
GML	0.762
CD38	-2.7995
ZDHHC6	-0.201833333333333
NEFH	-3.11725
CTDSP2	1.01441666666667
PGBD5	-0.9715
CCNY	0.434214285714286
RMND5B	0.959
ZNF257	-0.797
FLJ22167	-0.237625
EXOSC7	-0.309166666666667
ROR2	1.396125
MAOA	1.46325
TNNT3	0.545
GYPC	-0.886
C7orf33	1.1245
PLIN	3.911
LOC90826	-0.52575
RNF4	-0.26
F8A1	0.194833333333333
PLEKHG4	0.5325
GRB2	0.76705
HIST1H2AD	0.43
DUS3L	-0.288166666666667
EIF1	0.133
RP5-1077B9.4	-0.954333333333333
FPGT	1.222
GDF10	-1.63933333333333
COQ9	0.563
GCC2	-0.414142857142857
RARRES3	2.036
PLXNA1	0.2671
KIAA0100	-0.3296
PMF1	0.02025
FNDC1	5.45425
HS2ST1	0.605
CRELD2	0.171
C8G	-2.239
CD82	1.07475
LIM2	-1.7075
UNQ6490	-0.2985
MMP16	-0.04575
DRD3	0.168
C5orf26	-1.548
C11orf73	-0.395125
PTP4A2	0.58725
OR4M2	-0.1325
HPCA	0.3365
SEC14L1	-0.5635
CHFR	0.4645
EMILIN1	1.462
NDUFS4	-0.06625
COL18A1	-0.512
PDZD3	0.2154
C9orf16	-0.252
ERBB2IP	0.2345
EMX2	2.79925
FUS	-0.675
TF	-4.0215
CLCN4	-0.9165
CXorf56	0.70825
C11orf72	0.4815
ELAC2	-0.687
NPR1	-0.83375
ASS1	-1.878
USP42	-0.66275
POLR2J	-0.6605
SEC23IP	0.438333333333333
UQCRC1	0.3825
LOC729603	-0.1445
C1orf71	0.2505
POLG	-1.145
ADAM23	-3.5235
TFR2	-1.6295
RICTOR	-0.9906
MGC39606	-0.21025
C19orf55	-0.386
SNAPC1	-1.625
GNA11	0.7755
CCDC52	0.104166666666667
FSIP1	5.7405
UPF3A	-0.8265
IGSF11	-2.8685
LAGE3	0.6565
CHST6	-1.529
UNC13B	-0.3275
TTLL4	-1.483875
ZNF687	0.08625
SDC2	-0.5652
COX7A2	-0.72075
LAMB4	0.60975
FAM24A	-0.2605
LRRTM3	-1.00366666666667
GPHB5	-0.08925
OR4C13	-0.926
EIF3EIP	-0.512071428571429
HABP4	-0.61
TMEM125	3.64875
CNTN2	-0.30875
ASNSD1	-0.86425
FUT4	-0.679375
ACF	-3.98025
LOC158381	0.988
CDH8	-0.0495
AGPS	-0.694833333333333
C4orf18	4.102
PECI	-0.879583333333333
UNG	0.475
GSTP1	-2.2135
DCUN1D5	-1.09466666666667
DKFZP564J0863	-1.2295
SLC9A3R1	1.822875
BCDO2	-1.423375
CHMP7	-0.548125
REM2	0.5655
DNHD1	-0.343875
FKBP4	0.14275
ZNF350	1.3415
MGC11102	0.013125
BST1	0.73475
KISS1R	1.406
NCR2	-0.147
DEFB125	0.226
UBE2W	2.83275
KRT15	0.982
C10orf99	0.174
SCN11A	0.228
GFI1	-2.538
RDHE2	0.758333333333333
FHL1	-0.696166666666667
OSGEP	-0.6335
GATA1	-3.711
SMC6	-1.59175
TTTY14	-1.14475
LPIN3	-0.063
RPL4	-0.9983
RBPMS	-0.3976
PRPF3	-0.8985
EMR1	-2.062
SPATA19	0.54575
XCR1	0.7895
IRX3	1.6596
RBM6	-0.80425
KLF4	-0.8138
UNC5CL	-1.3545
SEBOX	-0.0215
BTK	-0.20025
KRCC1	0.71775
C6orf27	0.4735
SYTL5	-0.333
PRND	1.3835
LOC653319	-0.882
PIGL	-1.591
HUS1	-0.7875
SFRS6	0.721333333333333
C17orf77	0.826
UIMC1	-0.386166666666667
FXYD2	-1.8606
LOC283152	1.43725
ZNF667	0.219
ZCCHC12	1.06725
TFEC	3.4718
ATP7B	1.27033333333333
POLD2	-1.1235
RG9MTD1	-0.0775
ACOT2	0.546666666666667
HIST1H4I	-0.507875
PPARGC1A	-3.3181
ETFA	-0.3482
POLRMT	-0.02475
ZNF146	-0.0455
MIA2	-1.403
KLHL6	-1.05283333333333
HOXB5	2.5565
NENF	-0.155333333333333
CUGBP1	-0.28025
PRSS22	1.17033333333333
CASC4	1.1889
CUL4B	-0.2708
CENPJ	-1.5552
PITX1	-0.768666666666667
FLJ31033	0.8445
CELSR3	-0.0708333333333333
ZNF568	0.297
ITSN1	-0.0826666666666667
EHBP1L1	-1.062
C19orf2	-1.01275
DCTN1	0.3815
LIN28B	-3.73116666666667
TNKS2	0.0105
C1QBP	-0.737125
CADPS2	2.18175
SRMS	1.359
GJA9	0.301333333333333
MGC24975	-0.284833333333333
TRIM45	-0.516333333333333
TSP50	-0.34725
TCP1	-0.55675
TMED7	0.3898
CMA1	0.59
CENPL	-0.252
PTCRA	-0.193
FST	-3.06175
VWCE	-4.01025
PAWR	-0.39475
ABCC12	1.98083333333333
LDLR	-0.4986
ASTN2	0.6787
LOC441212	-1.1925
GPATCH8	-0.1985
TANC2	0.41125
KIF4A	-0.91725
C18orf18	-1.30275
PGM1	-0.7885
KIAA0258	0.415
CPD	0.8735
SNCAIP	-1.478
DCT	-4.38533333333333
HLA-DOA	3.33554545454545
OR11L1	0.6805
UPK1B	-1.08333333333333
DNAJB4	-0.188125
UGT1A8	-0.8985
HIST1H4L	-0.6015
PECR	-0.639833333333333
HSPA2	3.153
WFIKKN1	-1.9105
SERP1	1.671125
SYDE2	3.25175
TACR2	0.691
NUP85	0.115
CD177	-0.176166666666667
LGR5	-2.416
PIGG	0.195083333333333
PTHR1	-0.717
RAB5A	-0.000299999999999997
FLJ13224	0.329
USP9Y	-2.67233333333333
C7orf53	-0.972
LRP1B	-0.75075
XAF1	1.0332
ABCG8	-0.686
ANKDD1A	-0.803333333333333
DAND5	-2.3095
SPAG6	-0.2122
LINCR	0.61675
ZDHHC22	-1.52525
CCDC60	-0.8715
THOC7	-1.503
TCTA	1.666
OR8K3	0.32875
NY-REN-7	-0.446666666666667
B2M	1.649
C6orf141	1.663125
LPPR4	3.0015
SQLE	1.312375
SEPHS1	-0.50975
BTBD14B	0.477
PLRG1	-0.1575
SPG7	0.4174375
ZNF614	-0.954
PARD6G	0.620833333333333
INPP5B	-1.2369
GRPEL2	-0.00125
PPID	-0.39
TRIM56	-0.33825
UBE2J1	-0.99325
IL20RA	2.79125
LOC387856	0.79825
C1orf107	0.4665
UTS2R	1.3145
C19orf22	0.53625
SAFB2	0.144375
KIAA0652	0.636375
KLRG1	-0.910333333333333
MS4A8B	4.8785
FRAG1	1.06125
KIAA1546	-0.32475
E2F4	-0.5439
CLEC4M	-0.017
BTBD14A	-1.03175
KIAA0999	-0.5259
GYPA	-4.70366666666667
TAC1	0.676333333333333
TRAIP	-0.852
KIAA0232	0.8812
ERCC8	-1.37
GPX4	0.274875
KIAA0368	-0.415875
GPR157	-0.046
CTAGE4	0.9435
C9orf30	-2.02516666666667
OR52A1	-0.0445
HSP90B3P	0.2835
ALG9	-0.635
BTBD10	1.1955
SDK2	-0.46625
BAIAP3	1.6915
RABGGTB	-0.993625
ANKRD40	0.970333333333333
KRT74	0.1465
CALCOCO2	1.18935714285714
SNCA	-2.82075
TMSL8	-2.425125
C2orf53	0.5235
ESRRB	-0.26275
ARHGAP26	-1.6535
TDRD9	0.15475
HRAS	0.760833333333333
KLRC4	-2.4765
JAGN1	-0.0305
BSDC1	0.532
RNF43	0.0977
NDUFAF1	0.39025
PHF12	0.325
OR1L3	-0.21975
FOLR2	2.59041666666667
LYZL6	0.5675
tcag7.1260	-1.5835
WSB1	-2.08466666666667
PROS1	-1.149
OSTN	0.7385
PSMB8	-0.388
SOCS4	-0.530625
DDIT4L	0.0645
MAS1	0.062
MGC34796	1.70575
CSHL1	0.692333333333333
TBCCD1	0.744833333333333
ZBTB7C	0.5905
AP2S1	-0.170125
P15RS	-0.3604
VAT1	0.7166
SHANK3	0.8355
TUFM	0.336
THEG	-0.43875
KRT34	-1.7575
SGSM3	0.922125
TOMM22	-0.198125
SOCS3	0.4545
CPO	0.5145
POP4	0.57275
BHLHB3	0.86375
MALL	0.81075
OR1B1	0.071
PARK2	0.669833333333333
GPR124	-0.00974999999999999
LCE1E	1.3035
RUVBL2	0.07775
CGRRF1	-0.0328
ACPL2	0.12075
WNT10B	-1.277375
BAIAP2L2	-2.422875
ISCA1	0.028
C1orf125	-0.658375
RPAP1	-0.318
RAI16	-0.117166666666667
RPL27	-0.6505
NLRP9	-0.7325
EPN1	0.259
LOC388610	-1.157875
SLC35A1	0.2282
GAL	-3.3195
SLC14A2	0.4355
RDH11	-0.774
FAM138F	-0.5215
AUH	0.11
FLJ40243	-0.11775
C14orf129	-0.0955
MBD2	-0.949333333333333
ABHD14B	0.138375
PIGT	0.65925
ALS2CR4	-0.440625
ALAS1	0.2427
FOXO1	0.700333333333333
CRLF3	-0.1145
C20orf107	-0.278
FARS2	0.90925
CCDC28A	0.56775
NPHP3	-1.73075
OR13F1	0.765
TSEN54	0.03925
DEFB106B	0.344777777777778
OR8B4	0.6805
STH	1.10175
ZC3H14	-0.853125
CBX2	0.2855
TMEM49	-0.234
C6orf21	0.258
FLJ20920	0.7715
CRTAP	-0.146714285714286
DDX50	-0.609
STYXL1	0.63825
BLVRB	0.279333333333333
LOC147650	0.2095
MMP24	0.81
GRID1	0.2725
BANF1	-0.4765
CTAGEP	1.0795
HMBS	-2.0945
SLC25A24	0.146166666666667
C14orf50	1.1795
MRO	1.397
SLC25A15	-1.39025
FAM84B	3.3814
TDP1	-1.172
C16orf78	0.1285
C11orf57	-0.325375
RFK	-0.252125
ZFYVE9	-0.6375
STCH	-0.1509
WIBG	0.62075
LOC283871	0.503666666666667
GBA2	-0.403
NDUFB3	-0.481
HSD17B13	-0.61575
GRIN3A	1.33366666666667
FMNL1	-0.573333333333333
SEPT7	-0.7396
GNLY	3.1635
GRAMD1C	0.492333333333333
ZNF165	0.1175
USP38	0.59825
FAM83A	-0.216166666666667
C14orf24	1.32575
ARMCX3	1.143
ARHGDIB	-0.327666666666667
AK1	0.6305
KIAA1045	-0.3175
DNAJB13	-0.471
NEU2	0.794
HIST1H4B	-0.0251666666666666
FAM20B	-0.00420000000000001
HES2	0.56475
FAM73B	-0.1189
LOC388381	-0.6685
INTS7	-0.299181818181818
AMPH	2.586
ZNF775	0.377
UCKL1	0.503833333333333
C10orf97	-0.987
C1orf161	0.23375
ALDH1L1	-0.55975
FLJ39378	-0.20075
SLC23A1	-2.785
RBM4B	-0.06625
THAP4	-0.172666666666667
OGFRL1	-0.83675
KIAA0831	-0.0345
PPP1R15A	0.379833333333333
C1orf96	-0.220928571428571
C12orf11	-1.7065
BMF	0.9485
MAN1A1	-1.376625
KIAA1600	0.433166666666667
NLGN4X	2.62925
ALOX12	-1.742
RB1CC1	1.7005
NEIL2	-0.2301
EIF4E	0.597954545454546
ABHD5	-0.05225
EXOC4	0.0446666666666667
CIP29	0.117833333333333
BATF2	0.281
SLC29A4	-0.718625
HTR4	0.07325
EMB	-1.28825
TRAF6	-0.333
LMNB1	-2.73175
FAM19A5	-1.421125
SHE	1.8665
PIK3C2B	0.602
C15orf15	-0.7435
USP15	-0.102
TCEAL2	-0.373
C5orf39	-0.589666666666667
PTGER2	-0.8165
SLC31A1	-0.00456249999999999
IFT172	0.25375
ADAM29	0.525
GFOD1	-0.557
ST7L	0.701666666666667
C15orf26	-3.1765
PKN3	-1.6885
CNTD1	4.17083333333333
COMMD1	-0.253625
NTRK2	2.6465
FOXN3	-0.266125
MFGE8	0.1942
PFKFB2	0.496166666666667
TAS2R4	-0.64225
ENTHD1	0.0833333333333333
PRMT5	-0.753625
MGC16384	-1.714625
LOC442229	-0.7525
TSKU	0.58825
KRTCAP3	2.3215
PDLIM1	0.1364
KCNS2	0.4085
RNF126	-0.746833333333333
CEP63	0.054125
CLIC4	-0.075125
hCG_1990170	-2.1705
ACR	0.2414
KLK7	-0.186
ALOX5AP	3.9205
RIPK3	2.8765
TAS2R9	0.049
C19orf18	1.2425
BIRC6	-0.1255
ZNF16	2.6115
RFT1	-0.5835
SLC8A2	0.27875
TACC1	1.789625
ITGAD	1.4855
SAMHD1	1.09825
SH3PXD2B	1.5074
EPC2	0.162
C20orf85	0.32575
ATP13A2	-0.0425
KRT4	0.773875
CAPNS1	0.08475
MDM2	-0.583833333333333
PCDH20	3.2365
KCNK9	0.8725
OR2C1	-0.1445
KLHDC3	-0.1705
IPPK	1.099
EFHD2	0.03975
GALR3	1.2225
NBEA	0.0323333333333333
ABCA6	1.8507
CLDN3	2.5025
AKT2	-0.403285714285714
EGFR	-3.578
RBM16	0.225375
ZDHHC3	0.0586
SLC25A4	0.0785
CYB5B	0.1535
CPXM1	-1.13525
NDRG1	1.34130769230769
FLJ43826	0.178
OR5L2	-0.156333333333333
FARP2	0.1393
MRPL46	-0.500083333333333
LDHAL6B	0.257
MAPKAPK3	-0.0603333333333333
NCAM2	-1.75225
PRKD2	0.418166666666667
ZFP36L1	0.7585
CYSLTR1	-1.26775
OR4C3	0.3405
HIST1H2AJ	2.8095
CCNB2	-1.21555555555556
ZNF10	-0.22725
TMEM175	0.693
FAM134A	1.1815
TIGD4	-1.1135
PCNP	0.13
MGC39715	-0.98225
LQK1	-0.00275
CREB1	0.6078
TMPRSS3	0.551
C4orf32	1.304375
LAT	-1.95658333333333
KCNA3	-0.835
SKIV2L2	-0.96525
ROPN1B	-1.9805
tcag7.23	-1.1055
CDT1	-1.509875
ZHX2	2.0065
CD28	-3.0845
ZNF624	-0.24025
SEPT2	-0.00816666666666667
SOHLH2	-3.30325
MCOLN3	0.719285714285714
UNQ1945	1.1355
MASP2	-1.375
ZNRF3	-0.0648
GPATCH3	0.41125
AGL	0.624375
QRICH2	0.043
PSD4	0.916166666666667
CCNB1IP1	-2.47125
ENPP7	0.416
OBFC1	0.4905
KCNG3	-2.09875
C14orf79	0.346416666666667
ENPEP	0.534833333333333
SCT	1.477
SKI	0.748375
SEC61G	-1.39
CAPN11	0.7815
ATXN7L3	0.4265
DBNDD1	1.14016666666667
FAIM	-0.236
ANKRD36	-1.259
GABRP	-1.071
TACSTD2	0.752166666666667
EIF3J	-0.49075
PPP2R2A	-1.333
TEKT4	-0.473
PVALB	-4.13416666666667
F10	-2.97033333333333
FAM134C	1.7892
COMP	4.87875
EFCBP1	-3.38393333333333
SCLT1	-0.538625
TAL1	-1.5342
ACSL1	0.891
ABCC5	2.4835
ABL1	-0.649333333333333
RBBP7	1.08233333333333
PTPRG	-0.3435
NCOR1	-0.3528
SPINK4	2.0765
TXNRD1	-0.3092
TNRC15	0.013375
C9orf138	-0.247625
UBE2H	0.939
BRDT	1.2914
C8orf31	0.1565
CCNE2	1.14354545454545
SLC6A8	-1.631
CALCR	-3.272
PPP1CB	0.899166666666667
ABHD8	0.08925
ARF5	0.7497
SLC24A4	1.0605
CCT3	0.16175
ZNF121	-0.989625
SLC3A2	0.0519
OR13A1	0.337
SLC5A10	0.50625
RAD50	-0.50125
IER5	0.531
MTHFD1L	-1.770625
MBTPS2	-0.61825
MVK	0.46375
NCL	-0.2093
PSMD10	0.30275
MOBP	0.6175
FLJ32894	-0.456
HRH1	-1.03466666666667
C5orf30	0.374
NUDT16L1	1.3618
RASGRP3	3.222
PRKRIP1	-0.3576
CCDC75	-0.134
LOC253970	-0.4725
KIAA1239	0.828
MED21	-0.2435
SYT11	0.708833333333333
NTSR2	0.1225
EGFL11	0.33
CXorf59	0.969
OR2A25	0.72575
SPTBN2	-0.6215
LRMP	-2.0888
RNF111	-0.10625
PTH	-0.1245
LOC619208	0.697666666666667
KIAA0895	0.32425
RANBP5	-1.771625
P2RY10	0.529
NME5	0.119666666666667
DDX21	-0.85475
LRSAM1	0.246
HDAC11	2.34416666666667
VMO1	2.51625
NOLA2	-0.109
ADAR	0.534
MTO1	-1.60916666666667
SF4	0.169833333333333
P2RX1	-0.468
HBM	0.057
EN2	1.6725
C14orf172	0.46175
TM9SF2	0.5568
INHBE	-1.445
TCTE3	-0.0318333333333333
TOX2	-2.75625
CTAGE3	1.2605
HBB	3.1108
MED15	-1.26033333333333
CASR	0.579666666666667
C6orf66	-2.03766666666667
MTPN	-0.281125
UNC50	0.1795
C21orf33	0.156875
IRF2	0.2355
PGR	2.0855
GPR84	3.87525
CROCCL1	-1.83075
SRPX	1.31
BRE	0.548333333333333
FGF10	1.36075
SDC3	-0.3095
ZRSR1	0.179
DKFZP434P211	-0.10975
SOX6	-2.083
RPUSD2	-0.20875
C14orf173	-0.326666666666667
MAPK11	-1.01916666666667
TBC1D22A	0.5255
FAM123A	-0.4675
COL4A6	-3.519
TOMM70A	0.46425
NAB1	-0.60375
MGC16385	0.82525
TSPAN18	0.0155
MED31	-0.9615
PLG	-0.327
CAPSL	1.73
ZNF532	0.1801
ASB14	1.35325
CA8	3.1875
NUDT16P	1.91333333333333
SLFN11	-1.6285
LRRIQ2	-0.117125
NOL7	-0.1905
BRMS1L	0.467125
JARID1A	-0.0335
PANK2	-0.413
ICAM3	-0.84325
MDS1	1.29675
TAF8	-0.333
RNF139	2.03925
ZNF594	-0.5
ADAM8	2.859
SFTPC	-0.0545
MAN2B2	1.44
RGS12	0.5455
EIF1AY	-5.72158333333333
LRRIQ1	0.755666666666667
GPR150	1.59525
CCDC21	-0.281333333333333
PRRG3	0.43575
SAA4	-4.58325
RAPGEF5	1.2865
ZCCHC2	-0.421083333333333
MGC39372	-0.3305
PPP4R2	0.7625
CDCA2	-1.949
OR4D5	0.428166666666667
PTGFRN	0.8156
SIGLEC5	2.40416666666667
C19orf61	0.6755
NMUR2	0.5175
KIAA1586	-1.36266666666667
DAGLA	0.562
CHCHD6	0.7695
GPR32	0.988
NEUROD6	0.0555
SLC2A4RG	0.59675
CA5B	0.28075
FBXL3	0.2315
MPHOSPH9	-1.01175
HMG2L1	-0.48025
HCN4	0.7625
CEACAM19	-0.2895
SH2D4B	0.000666666666666686
HFE2	-1.23
TGM4	0.6395
LYPD2	0.038
TBC1D15	0.2135
MRPS21	-1.3276
NONO	-0.3501
CLEC5A	3.468625
ITCH	0.0904
MGAT3	-0.780166666666667
MBP	-0.348625
RPP25	0.709
SOSTDC1	-4.01975
HRC	-0.50775
TRIM48	0.6375
TMEM133	-0.6605
ECEL1P2	-1.71325
HOXC11	1.553
DOK5	-0.29275
HELZ	0.159166666666667
LOC348180	0.11775
MGC33894	0.482
ADRB3	0.112
DMD	-0.328416666666667
PTRH2	-0.5545
MPEG1	3.73916666666667
NDUFA12	0.0973333333333333
KRTAP2-4	0.468416666666667
STAMBPL1	-1.33683333333333
ADCY2	-1.49125
UNQ6125	0.2705
KLHL20	0.346833333333333
SRM	-1.273
OTC	-0.034
TMIE	-0.367333333333333
SNX8	0.19475
LIPK	-0.3995
CHURC1	-0.64875
KLC2	0.301
HDAC1	0.0208333333333333
FAM128A	0.119666666666667
FNDC3B	0.147
MTCP1	-0.521666666666667
WFDC10B	0.078
PCDHGB3	0.367
ATRNL1	2.1538
CAV2	-0.938375
MED26	-0.582833333333333
DUS1L	0.40525
CHRM3	-0.274625
NEK9	0.6315
WARS2	-0.17275
TBX22	0.69
TOMM40	-0.61275
RP6-213H19.1	-0.616333333333333
TUBGCP5	-0.81075
IGSF6	5.6245
TPPP	1.43616666666667
UNQ6190	0.519
GSTM5	-0.00924999999999992
BTD	0.704833333333333
PDCD1LG2	0.896833333333333
SNRPB2	0.069
ERICH1	-1.51775
APOA4	-1.74625
HOXA11	-1.842
NARG1	-0.025375
MKX	3.563
RAB28	0.367928571428571
PKP3	1.08675
SH3GL2	-2.00725
CTSO	2.328
RPN2	1.000375
IL28RA	0.692833333333333
SFMBT1	0.37125
WDR57	0.395625
FER1L3	-0.25325
HSF5	0.712666666666667
TTC9B	0.75775
C4BPA	-4.27933333333333
ALB	-4.56784615384615
SORBS3	-0.587625
UPF2	0.196
JPH1	-0.8665
AGBL2	-0.53275
DOPEY1	0.7425
TERF1	1.06891666666667
KIF22	0.005
NINJ1	0.97925
SEC61A2	-0.182666666666667
HIST1H1D	0.413666666666667
SFXN4	0.371
UCP3	0.0496
ZNF703	1.61033333333333
MYL6B	0.00925
TREM1	3.43825
OR52E6	1.301
CKMT2	1.16875
HLA-C	1.925
SLC13A3	-1.376
TIMP4	-0.79275
SLIT2	2.22625
RSF1	-0.388222222222222
LONRF1	-3.00878571428571
MON1A	-0.210333333333333
CACNG6	3.48783333333333
DPPA4	-5.35466666666667
ZSWIM3	0.4
ZNF804A	0.5885
CCIN	1.11325
SLC25A31	-0.544666666666667
KCNMB4	-0.964
RABL5	0.11175
GALNS	0.2919
STX6	0.49175
HIST1H1C	-0.894833333333333
CIDEB	-1.188625
CASP4	-0.6275
PDK3	0.3643
KCNJ11	2.2605
TPR	-0.593625
ZSCAN20	-0.125
MTX2	-0.62025
HIST1H2BH	-0.4395
LOC283767	1.65475
LYRM7	-1.70716666666667
BRD3	0.368666666666667
HIST1H2BO	-0.4315
MAGEB10	-2.124
SLC45A1	1.399
SERPINA3	0.5821
KIAA0143	2.5615
KCNJ16	-0.792166666666667
KRT79	0.7765
FABP2	-0.6195
NUT	0.08
ZNF57	-0.34725
FBXL4	0.119
CLEC9A	-1.4415
UGT8	-1.86133333333333
BMP2K	-0.26025
MAPK4	-4.0465
SLC25A23	-0.5895
HINT1	-0.4155
KRTAP13-1	-0.047
SFXN5	0.5849
CHCHD2	0.704916666666667
FAM3D	0.5865
NDP	-1.330125
RHOBTB1	-0.405
SLC4A4	-1.826375
RPL38	-0.29125
HTF9C	-0.666666666666667
AP2A2	1.097875
ZBTB46	0.712
MAP7D1	0.70075
AOX1	-1.48033333333333
CYR61	0.0323333333333333
DTNA	-1.33014285714286
JRKL	-1.645
TMOD3	-0.2795
EEA1	-0.392
ADCK5	1.5945
IL1R1	2.25216666666667
KLK3	0.914857142857143
HRSP12	1.65525
KTN1	-0.29125
LOH11CR2A	0.2766
RELL2	0.064
MAB21L1	1.00225
C20orf59	-0.2035
PHKB	-0.07075
ADAM2	-3.02083333333333
TBC1D8B	1.28966666666667
FAM13A1	-1.0418125
LAPTM4B	2.34441666666667
LCN8	0.0175
TMEM147	0.525
SYT4	-0.2862
XPO7	-0.9015
C9orf62	1.9225
GPR75	0.0525
TRIM5	0.630625
APOC1	0.5195
RNASE4	-0.1505
PARD6B	0.106125
ARID1A	0.164583333333333
TPD52L3	0.459888888888889
RRAGB	1.25833333333333
RCN2	-0.904
HIST2H2BE	0.5454375
STARD7	-0.19975
SHMT2	0.57225
KIAA1751	0.5965
MLYCD	1.236875
LOC162632	-0.0279
UQCRH	-1.392
RP11-217H1.1	0.754
SDHA	-0.0853333333333333
NCLN	0.00779999999999998
ZNF17	-0.302
RCBTB2	-1.847
VEGFB	-0.1516
RP4-747L4.3	0.59025
COLQ	0.1577
MPN2	-0.589833333333333
DRG2	0.044
KLRB1	4.40625
ALPK2	-2.23975
DNASE2B	1.3205
FLJ23834	3.305
AXUD1	0.473166666666667
SAFB	-0.0225
NSUN4	-0.26825
RFX2	0.955
MAPK8IP1	-0.864666666666667
FANCD2	-0.657428571428571
ANKZF1	-1.03
C19orf50	-0.458375
DUSP8	1.02
SENP5	0.725875
NFKBIL2	1.06475
LBR	-0.666
IGFL1	0.5875
LZTS2	0.03525
IL2RG	-1.035125
CCDC51	0.13525
KLF3	0.540125
ANKRD37	-1.55575
KCTD14	-2.52566666666667
FZR1	0.2685
SLC44A4	3.0555
ESPL1	-0.158
GMPR2	-1.0286
TBC1D19	-0.3815
ERGIC1	0.888592592592593
ERBB4	3.0674
TSPAN32	0.636583333333333
MAP4	0.051125
GPHN	-1.37425
SLC6A2	-0.237875
HIVEP1	-0.35175
DFFB	-0.4946
EIF4EBP2	0.282875
DMRT1	-0.475
HSPB6	-0.321
IER2	-0.317166666666667
AIFM1	0.5765
WWC2	-0.331666666666667
MRPL4	-0.91675
FLJ21062	0.0326666666666667
EPB41L4A	0.544583333333333
SH2D6	0.37825
TAF4B	-2.0225
GAL3ST3	-0.1005
MALT1	-1.87316666666667
RTDR1	0.46975
ARVCF	0.17
MEX3B	-1.5665
FBXO16	-0.07
KIF7	-0.77425
C1QC	4.35983333333333
ZNF783	0.065
ZNF85	-0.9015
MMP13	6.625
KIAA0329	-0.030375
RTP3	-0.5535
ZBED3	-0.69525
CLGN	1.079
SLC25A37	-2.14308333333333
hCG_18290	-1.227
OR5AS1	0.5975
SMARCC2	0.784833333333333
FAM109A	0.642
CCDC12	-0.09725
USF2	1.0031
DEPDC7	-2.6615
C20orf24	0.0508333333333333
JMJD3	0.226
DSP	1.513
SLIC1	0.510125
FAM20A	1.537375
IRF2BP2	0.6595
ZNF230	-0.1475
MSN	-0.599142857142857
SLC9A5	-1.758
EPDR1	-1.4948
MUSK	0.764333333333333
ZNF434	-0.0226666666666666
SMARCD1	-0.301333333333333
ZFP106	-1.04775
ZNF347	0.4118
GTF2E1	0.48725
RY1	-0.121666666666667
ATAD2B	0.280625
