Hybridization REF	TCGA-B6-A0IQ-01A-11R-A034-07
C9orf16	0.865666666666667
ERBB2IP	-0.236666666666667
EMX2	3.439
FUS	-0.701
TF	-1.9009
CLCN4	0.481833333333333
CXorf56	-0.0285
C11orf72	0.47175
ELAC2	-0.326083333333333
NPR1	0.41675
ASS1	-0.609333333333333
USP42	-0.105875
POLR2J	-0.511
SEC23IP	-0.274666666666667
UQCRC1	-0.62775
LOC729603	-0.88275
C1orf71	0.6135
POLG	-1.438
ADAM23	-3.52725
TFR2	-1.2115
RICTOR	-0.4031
MGC39606	2.88525
C19orf55	-0.056875
SNAPC1	-0.959
GNA11	0.21
CCDC52	0.725166666666667
FSIP1	-2.128
UPF3A	-1.193125
IGSF11	-2.0605
LAGE3	0.309
CHST6	-2.843
UNC13B	0.449125
TTLL4	1.946625
ZNF687	1.221125
SDC2	-0.9459
COX7A2	0.26225
LAMB4	-0.1135
FAM24A	0.3915
LRRTM3	-0.787166666666667
GPHB5	0.43
OR4C13	0.245
EIF3EIP	-0.0216428571428571
HABP4	-1.3465
TMEM125	2.49775
CNTN2	0.49425
ASNSD1	0.38375
FUT4	-0.297875
ACF	-3.0475
LOC158381	-1.292
CDH8	-1.132
AGPS	-1.81183333333333
C4orf18	-0.7965
PECI	-0.329083333333333
UNG	0.07375
GSTP1	0.661125
DCUN1D5	0.0923333333333333
DKFZP564J0863	-0.91475
SLC9A3R1	-0.974
BCDO2	-0.20875
CHMP7	-0.59075
REM2	0.453
DNHD1	0.681
FKBP4	-1.129
ZNF350	1.5335
MGC11102	0.187875
BST1	0.03425
KISS1R	1.354
NCR2	0.0515
DEFB125	0.147
UBE2W	-0.302375
KRT15	0.78725
C10orf99	0.687
SCN11A	0.0065
GFI1	-1.26625
RDHE2	-0.038
FHL1	-2.26566666666667
OSGEP	0.2475
GATA1	-3.00933333333333
SMC6	0.1995
TTTY14	-0.80225
LPIN3	-0.7505
RPL4	-0.3658
RBPMS	-1.5924
PRPF3	1.085
EMR1	-2.3995
SPATA19	0.23025
XCR1	0.1695
IRX3	2.477
RBM6	-0.263
KLF4	-1.767
UNC5CL	0.44725
SEBOX	-0.5855
BTK	-1.049
KRCC1	1.241
C6orf27	0.4105
SYTL5	-1.38
PRND	0.63275
LOC653319	-0.3285
PIGL	-0.311375
HUS1	-0.356666666666667
SFRS6	-0.00883333333333333
C17orf77	-0.0615
UIMC1	-0.734
FXYD2	-1.3108
LOC283152	-0.1935
ZNF667	1.417
ZCCHC12	-0.30425
TFEC	0.9345
ATP7B	-1.51116666666667
POLD2	-0.645833333333333
RG9MTD1	0.90325
ACOT2	-2.00316666666667
HIST1H4I	-0.445625
PPARGC1A	-2.5907
ETFA	-1.9097
POLRMT	-0.00425
ZNF146	1.169125
MIA2	-1.248
KLHL6	-1.0715
HOXB5	-1.402875
NENF	1.50216666666667
CUGBP1	0.93825
PRSS22	-0.261333333333333
CASC4	0.1772
CUL4B	0.423
CENPJ	-0.3505
PITX1	0.2745
FLJ31033	-0.11
CELSR3	-1.6165
ZNF568	0.6455
ITSN1	-0.335916666666667
EHBP1L1	-1.19083333333333
C19orf2	0.5855
DCTN1	-0.80325
LIN28B	-1.0685
TNKS2	0.1465
C1QBP	-0.04275
CADPS2	0.79825
SRMS	-0.045
GJA9	0.438166666666667
MGC24975	0.556666666666667
TRIM45	0.146166666666667
TSP50	0.7615
TCP1	-0.7675
TMED7	-0.5308
CMA1	-0.085
CENPL	-0.0323333333333333
PTCRA	-0.218
FST	-3.3375
VWCE	-3.92525
PAWR	0.1645
ABCC12	4.04716666666667
LDLR	-2.2682
ASTN2	0.0994
LOC441212	-0.166
GPATCH8	-0.182
TANC2	-0.414166666666667
KIF4A	-0.46625
C18orf18	-0.292
PGM1	0.0765
KIAA0258	1.05175
CPD	0.37075
SNCAIP	3.091
DCT	-3.773
HLA-DOA	2.35995454545455
OR11L1	0.8235
UPK1B	0.348
DNAJB4	-0.210875
UGT1A8	-0.09075
HIST1H4L	-0.526
PECR	-1.25683333333333
HSPA2	0.93725
WFIKKN1	-1.9375
SERP1	0.389
SYDE2	0.226
TACR2	0.4275
NUP85	0.095
CD177	-0.431666666666667
LGR5	0.084
PIGG	-0.895916666666667
PTHR1	-2.29433333333333
RAB5A	-0.6318
FLJ13224	-0.2175
USP9Y	-0.656166666666667
C7orf53	-0.9885
LRP1B	-0.27075
XAF1	1.6795
ABCG8	0.058
ANKDD1A	-0.0886666666666667
DAND5	-0.037
SPAG6	-0.0353333333333333
LINCR	1.63175
ZDHHC22	-1.522
CCDC60	0.131
THOC7	-1.51216666666667
TCTA	0.0461
OR8K3	0.3555
NY-REN-7	-0.3105
B2M	0.971833333333333
C6orf141	-0.56825
LPPR4	2.20825
SQLE	-1.06975
SEPHS1	1.81025
BTBD14B	0.655785714285714
PLRG1	-0.4265
SPG7	-0.647875
ZNF614	-0.109333333333333
PARD6G	2.79616666666667
INPP5B	-0.4317
GRPEL2	0.399875
PPID	-0.4169
TRIM56	-0.6285
UBE2J1	-0.4745
IL20RA	0.37125
LOC387856	-0.00225
C1orf107	1.40266666666667
UTS2R	1.28625
C19orf22	-0.754
SAFB2	0.014125
KIAA0652	-0.29625
KLRG1	-0.226666666666667
MS4A8B	-0.131166666666667
FRAG1	0.38625
KIAA1546	0.369
E2F4	-0.9267
CLEC4M	0.595666666666667
BTBD14A	-1.598
KIAA0999	0.4902
GYPA	-3.0485
TAC1	-0.3037
TRAIP	-0.371166666666667
KIAA0232	-0.1076
ERCC8	-1.217125
GPX4	0.087625
KIAA0368	0.678375
GPR157	-0.1045
CTAGE4	0.6515
C9orf30	-0.696833333333334
OR52A1	0.455
HSP90B3P	0.0235
ALG9	-0.2487
BTBD10	0.6355
SDK2	-0.26775
BAIAP3	-1.4465
RABGGTB	0.062
ANKRD40	-0.883666666666667
KRT74	-0.285
CALCOCO2	-0.975428571428571
SNCA	-3.61025
TMSL8	2.879125
C2orf53	-0.276
ESRRB	-0.466
ARHGAP26	-0.324375
TDRD9	-1.5535
HRAS	0.0166666666666667
KLRC4	-2.0155
JAGN1	-0.111833333333333
BSDC1	0.9665
RNF43	-0.8607
NDUFAF1	0.05475
PHF12	0.0645
OR1L3	0.57425
FOLR2	0.834833333333333
LYZL6	0.0395
tcag7.1260	-1.581
WSB1	-1.3105
PROS1	-1.4994
OSTN	0.8625
PSMB8	-0.03025
SOCS4	-0.66325
DDIT4L	2.12675
MAS1	-1.395
MGC34796	-0.328
CSHL1	-0.173833333333333
TBCCD1	0.833166666666667
ZBTB7C	0.1535
AP2S1	-0.597625
P15RS	0.9392
VAT1	-0.8452
SHANK3	0.915666666666667
TUFM	0.3585
THEG	1.5835
KRT34	-1.49125
SGSM3	-0.2055
TOMM22	-0.45
SOCS3	1.02833333333333
CPO	-0.057
POP4	0.46725
BHLHB3	2.53675
MALL	0.86675
OR1B1	0.1075
PARK2	0.178833333333333
GPR124	-0.377875
LCE1E	0.2885
RUVBL2	-0.67475
CGRRF1	-0.7876
ACPL2	0.8245
WNT10B	-1.322125
BAIAP2L2	-1.305875
ISCA1	-0.398
C1orf125	-0.025375
RPAP1	-0.02825
RAI16	0.0625
RPL27	-0.258625
NLRP9	-0.3465
EPN1	-0.161
LOC388610	0.013625
SLC35A1	0.8532
GAL	-3.37025
SLC14A2	0.4465
RDH11	-0.161
FAM138F	-0.162
AUH	-1.3575
FLJ40243	0.20975
C14orf129	-0.824166666666667
MBD2	-0.1505
ABHD14B	-0.70575
PIGT	-0.7895
ALS2CR4	1.159
ALAS1	-0.3227
FOXO1	0.3255
CRLF3	-0.64975
C20orf107	-0.4245
FARS2	0.679
CCDC28A	0.67725
NPHP3	-0.42225
OR13F1	0.398
TSEN54	0.0515
DEFB106B	0.1003
OR8B4	0.855
STH	-1.04775
ZC3H14	-0.258375
CBX2	-0.378
TMEM49	-2.18875
C6orf21	0.4015
FLJ20920	-0.654125
CRTAP	-1.33485714285714
DDX50	0.26325
STYXL1	-0.62625
BLVRB	-1.61083333333333
LOC147650	0.989
MMP24	-0.42425
GRID1	1.36083333333333
BANF1	-0.4735
CTAGEP	-0.05725
HMBS	-1.776
SLC25A24	0.018
C14orf50	-1.07425
MRO	0.0975
SLC25A15	-1.12
FAM84B	0.5289
TDP1	0.124
C16orf78	-0.111666666666667
C11orf57	0.652125
RFK	-1.4305
ZFYVE9	0.638875
STCH	-0.9055
WIBG	0.2855
LOC283871	-0.760333333333333
GBA2	-0.2582
NDUFB3	0.15825
HSD17B13	-0.412
GRIN3A	0.252
FMNL1	-1.34766666666667
SEPT7	-0.99
GNLY	2.926
GRAMD1C	0.6695
ZNF165	1.84275
USP38	-0.1055
FAM83A	-1.21733333333333
C14orf24	-0.53
ARMCX3	1.385
ARHGDIB	-0.936166666666666
AK1	0.9455
KIAA1045	-0.1255
DNAJB13	-0.234833333333333
NEU2	0.404
HIST1H4B	-0.540333333333333
FAM20B	-0.1596
HES2	0.612857142857143
FAM73B	-0.0873
LOC388381	-0.03375
INTS7	0.896
AMPH	-0.13575
ZNF775	0.2145
UCKL1	-0.078
C10orf97	-0.35025
C1orf161	0.013
ALDH1L1	-0.93475
FLJ39378	-0.051625
SLC23A1	-2.5325
RBM4B	0.0475
THAP4	0.5695
OGFRL1	1.15225
KIAA0831	0.209
PPP1R15A	-0.516333333333333
C1orf96	0.769785714285714
C12orf11	-0.145
BMF	-0.536125
MAN1A1	-1.2695
KIAA1600	0.222
NLGN4X	2.7955
ALOX12	-0.9275
RB1CC1	0.2055
NEIL2	-0.2707
EIF4E	-0.394636363636364
ABHD5	-0.52925
EXOC4	0.666666666666667
CIP29	0.680333333333333
BATF2	0.0755
SLC29A4	-0.6275
HTR4	0.723
EMB	-0.65375
TRAF6	0.4425
LMNB1	1.22975
FAM19A5	0.027
SHE	1.6135
PIK3C2B	0.9585
C15orf15	-1.5189
USP15	0.3969
TCEAL2	3.6695
C5orf39	2.61216666666667
PTGER2	-2.1465
SLC31A1	-0.5445
IFT172	1.117
ADAM29	0.2535
GFOD1	0.65175
ST7L	-0.00133333333333333
C15orf26	-1.558
PKN3	-1.5395
CNTD1	-0.1895
COMMD1	0.016375
NTRK2	3.45575
FOXN3	0.113875
MFGE8	0.2584
PFKFB2	0.4145
TAS2R4	-0.70125
ENTHD1	0.199166666666667
PRMT5	-1.15925
MGC16384	-0.78325
LOC442229	-0.025
TSKU	0.047125
KRTCAP3	3.006625
PDLIM1	0.1464
KCNS2	-0.39675
RNF126	-0.612
CEP63	-0.24175
CLIC4	-0.227
hCG_1990170	4.659
ACR	1.0966
KLK7	3.7715
ALOX5AP	2.008875
RIPK3	1.12875
TAS2R9	0.8305
C19orf18	2.271
BIRC6	0.022
ZNF16	1.3375
RFT1	-0.7755
SLC8A2	-0.7625
TACC1	-1.35175
ITGAD	0.34875
SAMHD1	-0.13725
SH3PXD2B	1.488
EPC2	1.595
C20orf85	0.203125
ATP13A2	-0.2905
KRT4	1.083625
CAPNS1	-0.9705
MDM2	-0.708333333333333
PCDH20	2.073
KCNK9	0.1285
OR2C1	-0.411
KLHDC3	0.110833333333333
IPPK	-0.641
EFHD2	-0.996125
GALR3	1.257
NBEA	-2.1545
ABCA6	0.6454
CLDN3	1.04466666666667
AKT2	-0.357714285714286
EGFR	0.4611
RBM16	1.023375
ZDHHC3	-0.7346
SLC25A4	-3.30666666666667
CYB5B	-1.8605
CPXM1	0.94175
NDRG1	-0.0473076923076923
FLJ43826	0.11475
OR5L2	0.354
FARP2	0.2898
MRPL46	-1.23483333333333
LDHAL6B	0.849166666666667
MAPKAPK3	-0.656666666666667
NCAM2	-2.90275
PRKD2	-0.257333333333333
ZFP36L1	0.5056
CYSLTR1	-1.2795
OR4C3	-0.07
HIST1H2AJ	-0.3835
CCNB2	-1.29388888888889
ZNF10	1.23175
TMEM175	0.503
FAM134A	0.746
TIGD4	-0.7855
PCNP	-0.39325
MGC39715	-0.1945
LQK1	-0.3365
CREB1	0.0598
TMPRSS3	-0.2105
C4orf32	0.31925
LAT	-0.460833333333333
KCNA3	0.1465
SKIV2L2	-1.36375
ROPN1B	1.8905
tcag7.23	-0.4685
CDT1	-1.41025
ZHX2	0.5315
CD28	-2.83825
ZNF624	0.88125
SEPT2	0.570583333333333
SOHLH2	-1.402875
MCOLN3	-0.85575
UNQ1945	0.606
MASP2	-0.783
ZNRF3	-0.4235
GPATCH3	-0.02225
AGL	0.137
QRICH2	0.5915
PSD4	0.100333333333333
CCNB1IP1	-0.3305
ENPP7	-0.26425
OBFC1	-1.5005
KCNG3	-1.10025
C14orf79	-0.0538333333333333
ENPEP	0.980666666666667
SCT	1.029
SKI	0.912125
SEC61G	-0.449
CAPN11	-0.674
ATXN7L3	-0.058
DBNDD1	-0.5875
FAIM	0.35925
ANKRD36	-0.323
GABRP	5.19866666666667
TACSTD2	0.0155
EIF3J	-0.14775
PPP2R2A	-1.09925
TEKT4	-1.21633333333333
PVALB	-3.05566666666667
F10	-2.9765
FAM134C	-0.0279
COMP	3.97175
EFCBP1	-2.3205625
SCLT1	0.06075
TAL1	-1.1466
ACSL1	-1.487
ABCC5	1.039
ABL1	-0.508388888888889
RBBP7	0.245333333333333
PTPRG	-1.142625
NCOR1	-0.1635
SPINK4	-2.1215
TXNRD1	-0.9224
TNRC15	0.906125
C9orf138	0.763
UBE2H	-0.3475
BRDT	0.237666666666667
C8orf31	-0.3015
CCNE2	-0.561727272727273
SLC6A8	-0.777375
CALCR	-3.2035
PPP1CB	1.31141666666667
ABHD8	0.31725
ARF5	0.8305
SLC24A4	0.33775
CCT3	1.01225
ZNF121	0.44975
SLC3A2	-1.4091
OR13A1	0.359
SLC5A10	0.35825
RAD50	-1.010375
IER5	0.82775
MTHFD1L	-1.404875
MBTPS2	-0.57
MVK	-0.499875
NCL	0.4943
PSMD10	-0.51
MOBP	0.4505
FLJ32894	0.207
HRH1	-1.56316666666667
C5orf30	0.95175
NUDT16L1	1.4653
RASGRP3	2.94916666666667
PRKRIP1	0.0311
CCDC75	-0.0545
LOC253970	0.17275
KIAA1239	0.20575
MED21	-0.8015
SYT11	0.953333333333333
NTSR2	0.006
EGFL11	0.835
CXorf59	0.927
OR2A25	-0.13
SPTBN2	0.11925
LRMP	-1.1935
RNF111	-1.08575
PTH	-0.2465
LOC619208	0.483
KIAA0895	-0.48825
RANBP5	-0.491125
P2RY10	0.483666666666667
NME5	3.099
DDX21	0.16625
LRSAM1	-0.428
HDAC11	-0.829166666666667
VMO1	0.59375
NOLA2	-0.566166666666667
ADAR	0.773666666666667
MTO1	-0.462166666666667
SF4	0.789
P2RX1	0.0513333333333333
HBM	-0.07525
EN2	1.9685
C14orf172	0.59475
TM9SF2	-0.8163
INHBE	-1.19966666666667
TCTE3	0.63475
TOX2	-2.6025
CTAGE3	-0.538
HBB	2.5734
MED15	-0.884333333333333
CASR	-0.07575
C6orf66	0.1695
MTPN	0.348125
UNC50	-0.9485
C21orf33	0.64025
IRF2	0.478875
PGR	-2.7895
GPR84	2.05575
CROCCL1	-0.62575
SRPX	-2.3155
BRE	0.0125
FGF10	-0.08075
SDC3	-0.603333333333333
ZRSR1	0.325833333333333
DKFZP434P211	-0.351875
SOX6	-0.182
RPUSD2	-0.348
C14orf173	-0.27425
MAPK11	-0.187
TBC1D22A	0.0985
FAM123A	-0.703
COL4A6	0.7335
TOMM70A	0.92425
NAB1	0.186125
MGC16385	-0.68675
TSPAN18	-0.412333333333333
MED31	-0.2225
PLG	-0.33175
CAPSL	0.4625
ZNF532	2.1171
ASB14	0.48575
CA8	0.34475
NUDT16P	-0.633166666666667
SLFN11	-0.255
LRRIQ2	0.89775
NOL7	-0.2095
BRMS1L	-0.7485
JARID1A	0.7365
PANK2	-1.4795
ICAM3	-1.383
MDS1	-0.61475
TAF8	-1.09125
RNF139	0.02125
ZNF594	0.765833333333333
ADAM8	1.4725
SFTPC	0.917125
MAN2B2	-0.66825
RGS12	-0.2164375
EIF1AY	-4.36416666666667
LRRIQ1	1.48516666666667
GPR150	1.528
CCDC21	-1.051
PRRG3	0.3975
SAA4	-2.8165
RAPGEF5	0.995375
ZCCHC2	1.14683333333333
MGC39372	-0.5675
PPP4R2	0.396166666666667
CDCA2	-0.662666666666667
OR4D5	0.840333333333333
PTGFRN	0.5471
SIGLEC5	0.058
C19orf61	-0.478666666666667
NMUR2	-0.0975
KIAA1586	-0.0923333333333333
DAGLA	0.328166666666667
CHCHD6	-0.09675
GPR32	0.314
NEUROD6	0.465666666666667
SLC2A4RG	-0.55225
CA5B	-0.41575
FBXL3	-0.17275
MPHOSPH9	-1.535
HMG2L1	0.43825
HCN4	0.989333333333333
CEACAM19	0.7295
SH2D4B	0.486333333333333
HFE2	-0.34
TGM4	0.223833333333333
LYPD2	-0.04075
TBC1D15	0.0635
MRPS21	1.7478
NONO	-0.8919
CLEC5A	1.490375
ITCH	0.5484
MGAT3	-0.4445
MBP	-0.0570000000000001
RPP25	-1.83275
SOSTDC1	1.58225
HRC	-1.5925
TRIM48	0.382
TMEM133	0.76275
ECEL1P2	-0.8815
HOXC11	-1.5475
DOK5	-2.21025
HELZ	0.108
LOC348180	-0.59725
MGC33894	0.245
ADRB3	0.185
DMD	0.244333333333333
PTRH2	-0.38675
MPEG1	1.61883333333333
NDUFA12	-0.0453333333333333
KRTAP2-4	0.200583333333333
STAMBPL1	-1.66283333333333
ADCY2	-0.659666666666667
UNQ6125	-0.3035
KLHL20	0.0615
SRM	-0.4605
OTC	0.03975
TMIE	-0.292833333333333
SNX8	-0.07225
LIPK	0.7625
CHURC1	-1.66883333333333
KLC2	0.342666666666667
HDAC1	-0.315
FAM128A	0.201666666666667
FNDC3B	0.2594
MTCP1	0.0581666666666667
WFDC10B	0.1523
PCDHGB3	0.366
ATRNL1	-1.1837
CAV2	-1.1965
MED26	0.835333333333333
DUS1L	0.68
CHRM3	-0.17075
NEK9	-0.70725
WARS2	0.65475
TBX22	0.569
TOMM40	-0.582
RP6-213H19.1	1.06983333333333
TUBGCP5	-0.19825
IGSF6	3.47625
TPPP	0.8735
UNQ6190	-0.3025
GSTM5	-0.04225
BTD	-0.516166666666667
PDCD1LG2	-0.455166666666667
SNRPB2	0.260166666666667
ERICH1	-0.52075
APOA4	-1.006
HOXA11	-2.584
NARG1	0.26325
MKX	-0.44525
RAB28	-0.669357142857143
PKP3	1.351
SH3GL2	1.80325
CTSO	0.3575
RPN2	-0.2310625
IL28RA	1.33483333333333
SFMBT1	0.24275
WDR57	-0.294625
FER1L3	-0.402833333333333
HSF5	-0.3155
TTC9B	0.0655
C4BPA	-3.54333333333333
ALB	-3.37564285714286
SORBS3	-0.06525
UPF2	1.018
JPH1	-0.038
AGBL2	-0.77475
DOPEY1	2.387
TERF1	-0.456583333333333
KIF22	0.576666666666667
NINJ1	-0.19625
SEC61A2	0.766333333333333
HIST1H1D	0.727666666666667
SFXN4	-0.658375
UCP3	0.683
ZNF703	0.453666666666667
MYL6B	0.57725
TREM1	1.46075
OR52E6	0.3155
CKMT2	0.0785
HLA-C	1.3825
SLC13A3	0.0378333333333333
TIMP4	0.4095
SLIT2	1.22675
RSF1	0.246055555555556
LONRF1	-0.652357142857143
MON1A	-0.222166666666667
CACNG6	-1.22583333333333
DPPA4	-4.339
ZSWIM3	0.078
ZNF804A	-0.1915
CCIN	0.79
SLC25A31	0.22775
KCNMB4	0.92075
RABL5	0.290125
GALNS	-0.918
STX6	1.1465
HIST1H1C	-2.6975
CIDEB	-0.770875
CASP4	0.2125
PDK3	1.6832
KCNJ11	0.202
TPR	-0.00325
ZSCAN20	-0.6335
MTX2	0.11975
HIST1H2BH	-0.358
LOC283767	0.495
LYRM7	-0.816944444444444
BRD3	0.027
HIST1H2BO	-0.572
MAGEB10	0.44
SLC45A1	-0.3385
SERPINA3	-1.7516
KIAA0143	0.1495
KCNJ16	1.3435
KRT79	0.639
FABP2	-0.419
NUT	0.144
ZNF57	-0.299
FBXL4	-0.617625
CLEC9A	0.0405
UGT8	1.529
BMP2K	-0.37875
MAPK4	0.02375
SLC25A23	-0.1123
HINT1	0.0854999999999999
KRTAP13-1	0.223
SFXN5	0.394
CHCHD2	-0.0086666666666666
FAM3D	3.9985
NDP	-0.700125
RHOBTB1	1.71916666666667
SLC4A4	-1.271
RPL38	0.99975
HTF9C	-0.266666666666667
AP2A2	0.406375
ZBTB46	-0.6075
MAP7D1	-0.3995
AOX1	0.303833333333333
CYR61	-0.0541666666666667
DTNA	0.135357142857143
JRKL	1.45575
TMOD3	-2.22075
EEA1	-0.1216
ADCK5	-0.11575
IL1R1	0.304166666666667
KLK3	0.595571428571429
HRSP12	-0.018
KTN1	0.0785
LOH11CR2A	-0.2402
RELL2	-1.4445
MAB21L1	1.2175
C20orf59	-0.909833333333333
PHKB	-1.62375
ADAM2	-1.17516666666667
TBC1D8B	0.4435
FAM13A1	-0.235625
LAPTM4B	0.105416666666667
LCN8	0.298
TMEM147	0.468
SYT4	-0.0333333333333333
XPO7	-0.8795
C9orf62	2.153
GPR75	0.7025
TRIM5	0.842875
APOC1	-0.514333333333333
RNASE4	-1.59233333333333
PARD6B	-2.4245
ARID1A	0.694583333333333
TPD52L3	0.00440000000000003
RRAGB	0.952333333333333
RCN2	-0.497666666666667
HIST2H2BE	-0.2440625
STARD7	0.823
SHMT2	-0.30225
KIAA1751	0.197833333333333
MLYCD	-0.909
LOC162632	-0.1279
UQCRH	-0.048
RP11-217H1.1	-0.1068125
SDHA	-1.4855
NCLN	-0.1431
ZNF17	1.05333333333333
RCBTB2	-1.961
VEGFB	-1.043
RP4-747L4.3	0.782
COLQ	0.519
MPN2	-0.303333333333333
DRG2	-0.2205
KLRB1	4.47225
ALPK2	-2.68425
DNASE2B	0.29675
FLJ23834	-0.394666666666667
AXUD1	-0.262833333333333
SAFB	0.3818
NSUN4	-0.27125
RFX2	-0.655
MAPK8IP1	-0.959833333333333
FANCD2	-0.541357142857143
ANKZF1	-0.571166666666667
C19orf50	0.102375
DUSP8	0.97075
SENP5	0.625
NFKBIL2	-0.14175
LBR	0.4715
IGFL1	0.1895
LZTS2	0.07775
IL2RG	-0.363875
CCDC51	-0.43375
KLF3	-1.2685
ANKRD37	-0.72625
KCTD14	-0.185166666666667
FZR1	-0.000666666666666681
SLC44A4	-1.7668
ESPL1	-0.076375
GMPR2	-1.4612
TBC1D19	-0.533
ERGIC1	-0.711111111111111
ERBB4	-0.1814
TSPAN32	-0.0440833333333333
MAP4	-0.03125
GPHN	-0.827
SLC6A2	0.915375
HIVEP1	1.07
DFFB	-0.0889
EIF4EBP2	0.483
DMRT1	0.84425
HSPB6	-0.317
IER2	0.764
AIFM1	0.203
WWC2	-1.6735
MRPL4	0.0135
FLJ21062	0.369833333333333
EPB41L4A	0.40775
SH2D6	0.148
TAF4B	0.241
GAL3ST3	-0.506
MALT1	-0.189833333333333
RTDR1	0.465
ARVCF	0.139625
MEX3B	0.525
FBXO16	-0.02725
KIF7	-0.24075
C1QC	3.5965
ZNF783	-0.0458333333333333
ZNF85	0.183
MMP13	-0.309
KIAA0329	0.256125
RTP3	-0.476
ZBED3	0.97375
CLGN	-2.15725
SLC25A37	-0.499541666666667
hCG_18290	0.16675
OR5AS1	-0.0710000000000001
SMARCC2	0.685166666666667
FAM109A	0.208666666666667
CCDC12	0.0405
USF2	0.2772
DEPDC7	-1.541
C20orf24	-0.603
JMJD3	0.4875
DSP	1.51114285714286
SLIC1	0.425375
FAM20A	-0.0485
IRF2BP2	1.910625
ZNF230	-0.198
MSN	0.888571428571429
