Hybridization REF	TCGA-AN-A0AL-01A-11R-A00Z-07
TCP1	-0.3885
TMED7	0.2551
CMA1	1.026
CENPL	0.221833333333333
PTCRA	0.3435
FST	-4.045
VWCE	-3.9835
PAWR	1.12275
ABCC12	0.227666666666667
LDLR	-0.2739
ASTN2	-0.5147
LOC441212	-0.00275
GPATCH8	-0.33175
TANC2	-1.61441666666667
KIF4A	-0.85925
C18orf18	-0.71525
PGM1	0.12975
KIAA0258	2.179
CPD	0.77775
SNCAIP	-1.08925
DCT	-4.121
HLA-DOA	2.58319047619048
OR11L1	0.8415
UPK1B	2.43516666666667
DNAJB4	-0.163
UGT1A8	3.25975
HIST1H4L	0.3475
PECR	-1.60666666666667
HSPA2	0.25625
WFIKKN1	-1.8355
SERP1	0.78025
SYDE2	1.0185
TACR2	0.6455
NUP85	-0.4545
CD177	-0.6995
LGR5	-0.9185
PIGG	-0.365916666666667
PTHR1	-1.52116666666667
RAB5A	-0.1786
FLJ13224	0.253
USP9Y	-1.4002
C7orf53	-0.2745
LRP1B	-2.14233333333333
XAF1	2.5773
ABCG8	-0.283
ANKDD1A	-0.2205
DAND5	-2.2485
SPAG6	0.1406
LINCR	3.2805
ZDHHC22	-1.013375
CCDC60	-0.123
THOC7	-0.854666666666667
TCTA	0.1798
OR8K3	0.1495
NY-REN-7	-0.45475
B2M	2.25066666666667
C6orf141	-1.437125
LPPR4	3.75425
SQLE	-1.75875
SEPHS1	0.8275
BTBD14B	1.151
PLRG1	-0.5565
SPG7	-0.522125
ZNF614	-0.6575
PARD6G	1.57366666666667
INPP5B	-0.7007
GRPEL2	-0.064375
PPID	-1.0826
TRIM56	-0.51725
UBE2J1	0.607375
IL20RA	2.65575
LOC387856	-0.2695
C1orf107	-0.484916666666667
UTS2R	2.42175
C19orf22	-0.0485
SAFB2	0.339875
KIAA0652	0.50725
KLRG1	-0.835166666666667
MS4A8B	0.939333333333333
FRAG1	-1.06825
KIAA1546	1.107
E2F4	-0.4649
CLEC4M	0.244166666666667
BTBD14A	0.48775
KIAA0999	0.8242
GYPA	-2.9386
TAC1	-0.278
TRAIP	-1.4235
KIAA0232	0.3769
ERCC8	-1.261
GPX4	-0.67875
KIAA0368	-1.046625
GPR157	-1.0195
CTAGE4	1.7875
C9orf30	-0.411333333333333
OR52A1	0.5215
HSP90B3P	0.8715
ALG9	-0.0442
BTBD10	-0.47225
SDK2	0.30775
BAIAP3	-1.69175
RABGGTB	-1.661125
ANKRD40	-0.621333333333333
KRT74	0.455
CALCOCO2	-0.819642857142857
SNCA	-2.124
TMSL8	-3.324875
C2orf53	1.1685
ESRRB	-0.40575
ARHGAP26	0.84475
TDRD9	-2.06225
HRAS	-0.0323333333333333
KLRC4	-1.935
JAGN1	-1.08833333333333
BSDC1	0.0145
RNF43	-0.9617
NDUFAF1	0.0395
PHF12	0.0795
OR1L3	0.248666666666667
FOLR2	2.07633333333333
LYZL6	-0.0145
tcag7.1260	-1.516
WSB1	-1.98316666666667
PROS1	-0.3873
OSTN	0.9495
PSMB8	1.0655
SOCS4	-0.38475
DDIT4L	4.38325
MAS1	0.543
MGC34796	1.07275
CSHL1	-0.0683333333333333
TBCCD1	0.802833333333333
ZBTB7C	-0.3785
AP2S1	-0.251875
P15RS	-1.1576
VAT1	-0.9114
SHANK3	1.71416666666667
TUFM	-0.394333333333333
THEG	-0.04925
KRT34	-1.83775
SGSM3	1.5035
TOMM22	0.955625
SOCS3	1.61466666666667
CPO	-0.095
POP4	0.32275
BHLHB3	0.77975
MALL	3.57325
OR1B1	0.0125
PARK2	0.735833333333333
GPR124	0.638
LCE1E	-0.121
RUVBL2	-0.75725
CGRRF1	-0.1934
ACPL2	0.111
WNT10B	-2.0225
BAIAP2L2	-1.755875
ISCA1	0.0055
C1orf125	-0.342625
RPAP1	-0.9515
RAI16	0.000333333333333329
RPL27	-1.183625
NLRP9	0.7655
EPN1	0.636
LOC388610	-1.29675
SLC35A1	-0.602
GAL	-2.53175
SLC14A2	0.448
RDH11	0.842166666666667
FAM138F	-0.5735
AUH	0.43875
FLJ40243	0.27
C14orf129	0.0301666666666667
MBD2	-0.461
ABHD14B	-0.83875
PIGT	0.087875
ALS2CR4	0.0995
ALAS1	-0.0192
FOXO1	1.12216666666667
CRLF3	-0.68575
C20orf107	-0.7535
FARS2	0.167
CCDC28A	-0.34175
NPHP3	-0.949
OR13F1	0.821
TSEN54	-0.2825
DEFB106B	0.00149999999999999
OR8B4	0.556
STH	-0.148
ZC3H14	0.05275
CBX2	0.407
TMEM49	-1.254
C6orf21	0.6275
FLJ20920	-1.30975
CRTAP	-0.884928571428571
DDX50	-0.728
STYXL1	-0.19325
BLVRB	-0.634
LOC147650	-0.359333333333333
MMP24	0.28325
GRID1	2.48833333333333
BANF1	0.055
CTAGEP	1.32025
HMBS	-0.7035
SLC25A24	-0.432333333333333
C14orf50	1.01525
MRO	1.12266666666667
SLC25A15	-0.65275
FAM84B	1.0833
TDP1	-0.6485
C16orf78	0.418
C11orf57	0.673375
RFK	0.348
ZFYVE9	-0.70325
STCH	-0.0266
WIBG	0.05925
LOC283871	-0.466833333333333
GBA2	-0.1164
NDUFB3	0.7545
HSD17B13	-0.319
GRIN3A	1.4616
FMNL1	-0.699833333333333
SEPT7	0.7111
GNLY	4.037
GRAMD1C	0.297333333333333
ZNF165	-0.7515
USP38	0.34475
FAM83A	-2.639
C14orf24	0.688583333333333
ARMCX3	0.783625
ARHGDIB	-0.0641666666666667
AK1	0.475875
KIAA1045	-0.0415
DNAJB13	-0.171666666666667
NEU2	0.227
HIST1H4B	0.199666666666667
FAM20B	0.5166
HES2	-0.0273571428571429
FAM73B	-0.0216
LOC388381	-0.536
INTS7	-1.17554545454545
AMPH	0.82875
ZNF775	0.2385
UCKL1	-1.0485
C10orf97	-0.60675
C1orf161	0.04225
ALDH1L1	-0.924
FLJ39378	-0.448125
SLC23A1	-2.5535
RBM4B	-0.479
THAP4	-0.0586666666666667
OGFRL1	4.45625
KIAA0831	-0.552375
PPP1R15A	0.349666666666667
C1orf96	-0.0647142857142857
C12orf11	-1.42625
BMF	1.35675
MAN1A1	-0.652625
KIAA1600	0.9495
NLGN4X	-0.15125
ALOX12	-1.299
RB1CC1	-0.2561
NEIL2	0.3242
EIF4E	0.316409090909091
ABHD5	-0.157
EXOC4	-0.462333333333333
CIP29	-0.3795
BATF2	2.17475
SLC29A4	0.14175
HTR4	-0.5595
EMB	-0.97175
TRAF6	0.65325
LMNB1	-2.76825
FAM19A5	1.19675
SHE	1.3655
PIK3C2B	0.563
C15orf15	-0.5708
USP15	-0.3796
TCEAL2	-0.511
C5orf39	-0.568833333333333
PTGER2	-0.7165
SLC31A1	0.401625
IFT172	0.177
ADAM29	0.05775
GFOD1	1.12975
ST7L	0.772166666666667
C15orf26	-3.031
PKN3	-0.91325
CNTD1	-0.3665
COMMD1	0.187625
NTRK2	2.85191666666667
FOXN3	-0.11
MFGE8	-0.2347
PFKFB2	0.0618333333333333
TAS2R4	0.32375
ENTHD1	1.77866666666667
PRMT5	-1.03525
MGC16384	-1.309
LOC442229	0.05
TSKU	-0.260375
KRTCAP3	3.736125
PDLIM1	0.3758
KCNS2	0.31575
RNF126	-0.338
CEP63	-0.157125
CLIC4	0.25075
hCG_1990170	3.9405
ACR	0.6026
KLK7	2.7325
ALOX5AP	3.305625
RIPK3	2.7155
TAS2R9	-0.0905
C19orf18	-0.5675
BIRC6	-0.0579285714285714
ZNF16	0.672
RFT1	-0.524
SLC8A2	-0.64675
TACC1	1.06775
ITGAD	0.109333333333333
SAMHD1	1.51625
SH3PXD2B	1.6302
EPC2	1.02225
C20orf85	0.434625
ATP13A2	0.1555
KRT4	0.5635
CAPNS1	-0.199
MDM2	0.440083333333333
PCDH20	2.32575
KCNK9	0.6445
OR2C1	-0.3365
KLHDC3	-0.355833333333333
IPPK	0.022
EFHD2	0.1375
GALR3	2.2445
NBEA	2.82133333333333
ABCA6	2.4504
CLDN3	3.242
AKT2	-0.849142857142857
EGFR	0.2792
RBM16	0.02125
ZDHHC3	0.3167
SLC25A4	-0.6555
CYB5B	-0.908833333333333
CPXM1	0.88525
NDRG1	-0.330846153846154
FLJ43826	0.3705
OR5L2	1.1796
FARP2	-0.0792
MRPL46	-0.5375
LDHAL6B	0.109166666666667
MAPKAPK3	-1.0825
NCAM2	-2.44525
PRKD2	0.617833333333333
ZFP36L1	1.8928
CYSLTR1	-0.27475
OR4C3	0.309
HIST1H2AJ	0.285
CCNB2	-0.909222222222222
ZNF10	-0.54075
TMEM175	1.184
FAM134A	1.05716666666667
TIGD4	0.3305
PCNP	-0.3725
MGC39715	0.53475
LQK1	-1.0485
CREB1	0.789
TMPRSS3	3.1315
C4orf32	0.455875
LAT	-1.4285
KCNA3	0.6695
SKIV2L2	-1.4495
ROPN1B	2.72975
tcag7.23	-1.016
CDT1	-1.502875
ZHX2	1.262125
CD28	-2.30275
ZNF624	0.48525
SEPT2	0.152583333333333
SOHLH2	-1.039375
MCOLN3	-1.14371428571429
UNQ1945	1.1885
MASP2	-1.396
ZNRF3	0.9869
GPATCH3	-0.0455
AGL	0.436125
QRICH2	-0.486
PSD4	0.920166666666667
CCNB1IP1	-1.89375
ENPP7	-0.3125
OBFC1	-1.098
KCNG3	-2.557
C14orf79	-0.20875
ENPEP	2.46283333333333
SCT	2.0325
SKI	1.52225
SEC61G	0.0495
CAPN11	-0.23775
ATXN7L3	-0.50675
DBNDD1	0.822666666666667
FAIM	0.60025
ANKRD36	0.3865
GABRP	4.68333333333333
TACSTD2	3.336
EIF3J	-0.469
PPP2R2A	-0.25075
TEKT4	0.00833333333333327
PVALB	-2.94633333333333
F10	-2.09833333333333
FAM134C	0.2563
COMP	4.164375
EFCBP1	-2.48873333333333
SCLT1	1.079
TAL1	-1.0033
ACSL1	2.694
ABCC5	-0.362916666666667
ABL1	-0.368055555555556
RBBP7	0.239916666666667
PTPRG	-0.049625
NCOR1	-0.4976
SPINK4	-1.89566666666667
TXNRD1	0.2349
TNRC15	0.518
C9orf138	0.129125
UBE2H	1.77716666666667
BRDT	-0.1095
C8orf31	0.50525
CCNE2	-0.886909090909091
SLC6A8	-0.355625
CALCR	-5.05475
PPP1CB	1.0475
ABHD8	1.25925
ARF5	0.3864
SLC24A4	0.946
CCT3	-0.301
ZNF121	-0.809625
SLC3A2	-0.034
OR13A1	1.026
SLC5A10	0.032
RAD50	-1.55475
IER5	0.809375
MTHFD1L	-1.0475
MBTPS2	0.46225
MVK	0.181
NCL	0.8281
PSMD10	-0.79075
MOBP	0.643
FLJ32894	0.463
HRH1	0.127166666666667
C5orf30	-1.1035
NUDT16L1	-0.1316
RASGRP3	4.3485
PRKRIP1	-0.4588
CCDC75	0.895
LOC253970	0.3375
KIAA1239	1.153
MED21	0.57425
SYT11	0.400583333333333
NTSR2	-0.4035
EGFL11	-0.067
CXorf59	-0.18
OR2A25	0.06625
SPTBN2	0.4915
LRMP	0.757
RNF111	-0.327
PTH	-0.202
LOC619208	0.0955
KIAA0895	0.58225
RANBP5	-0.67925
P2RY10	1.09733333333333
NME5	-2.27983333333333
DDX21	-1.71775
LRSAM1	-0.657
HDAC11	0.2365
VMO1	2.23275
NOLA2	-1.41333333333333
ADAR	0.335666666666667
MTO1	-0.897
SF4	0.424666666666667
P2RX1	-0.21
HBM	0.33075
EN2	2.4945
C14orf172	0.7425
TM9SF2	0.9162
INHBE	-1.441
TCTE3	0.898333333333333
TOX2	-1.99825
CTAGE3	1.94925
HBB	4.8373
MED15	-0.289166666666667
CASR	0.213333333333333
C6orf66	-1.40716666666667
MTPN	0.73425
UNC50	-0.64475
C21orf33	-0.2265
IRF2	1.014875
PGR	-2.03233333333333
GPR84	2.658
CROCCL1	-4.13025
SRPX	-0.63425
BRE	-0.303
FGF10	0.516
SDC3	0.9815
ZRSR1	0.465
DKFZP434P211	-0.577
SOX6	0.988
RPUSD2	-0.21575
C14orf173	0.740166666666667
MAPK11	0.0251666666666667
TBC1D22A	0.3765
FAM123A	-0.0735
COL4A6	-3.70283333333333
TOMM70A	-0.63225
NAB1	2.24375
MGC16385	0.52375
TSPAN18	0.831166666666667
MED31	-1.067
PLG	-0.34225
CAPSL	0.335
ZNF532	2.0315
ASB14	0.04725
CA8	-2.6915
NUDT16P	-0.4815
SLFN11	0.3765
LRRIQ2	0.32775
NOL7	0.105833333333333
BRMS1L	-0.7005
JARID1A	1.10783333333333
PANK2	-0.36225
ICAM3	-0.28025
MDS1	2.11825
TAF8	-0.6305
RNF139	-0.021
ZNF594	-0.482166666666667
ADAM8	3.065125
SFTPC	0.249375
MAN2B2	-1.0005
RGS12	0.365125
EIF1AY	-3.85941666666667
LRRIQ1	-1.53233333333333
GPR150	2.582
CCDC21	-1.32466666666667
PRRG3	0.829
SAA4	-3.80075
RAPGEF5	2.53025
ZCCHC2	-0.219666666666667
MGC39372	0.054
PPP4R2	0.811166666666667
CDCA2	-0.401
OR4D5	0.781666666666667
PTGFRN	1.8478
SIGLEC5	1.98383333333333
C19orf61	0.1895
NMUR2	-0.301
KIAA1586	-1.13816666666667
DAGLA	0.579166666666667
CHCHD6	-0.92425
GPR32	0.557
NEUROD6	0.145
SLC2A4RG	-0.19975
CA5B	-0.26475
FBXL3	0.55575
MPHOSPH9	-0.8785
HMG2L1	0.8495
HCN4	1.8365
CEACAM19	-0.32125
SH2D4B	0.429666666666667
HFE2	-0.31
TGM4	-0.1578
LYPD2	0.80175
TBC1D15	0.91175
MRPS21	-0.2549
NONO	-1.1409
CLEC5A	1.853375
ITCH	-0.1709
MGAT3	1.4405
MBP	-0.1595
RPP25	1.057
SOSTDC1	4.736
HRC	-1.47425
TRIM48	0.452
TMEM133	1.19025
ECEL1P2	-1.05425
HOXC11	0.431
DOK5	2.42175
HELZ	0.455833333333333
LOC348180	-0.07225
MGC33894	0.29025
ADRB3	0.5755
DMD	0.7226
PTRH2	-0.472
MPEG1	3.39583333333333
NDUFA12	0.732833333333333
KRTAP2-4	0.606833333333333
STAMBPL1	-0.925333333333333
ADCY2	0.2338
UNQ6125	0.4365
KLHL20	0.429666666666667
SRM	-0.896
OTC	0.361
TMIE	0.468833333333333
SNX8	1.69975
LIPK	0.294
CHURC1	-0.587416666666667
KLC2	0.719833333333333
HDAC1	-0.12
FAM128A	-0.103166666666667
FNDC3B	1.7107
MTCP1	-0.284
WFDC10B	0.3428
PCDHGB3	-0.6685
ATRNL1	-1.8305
CAV2	-0.04375
MED26	0.379166666666667
DUS1L	1.06575
CHRM3	0.438125
NEK9	-0.13725
WARS2	-0.441
TBX22	0.3285
TOMM40	0.02675
RP6-213H19.1	-1.43316666666667
TUBGCP5	-0.65575
IGSF6	5.505
TPPP	0.341833333333333
UNQ6190	0.6015
GSTM5	0.438
BTD	-1.07866666666667
PDCD1LG2	0.0486666666666667
SNRPB2	-0.0553333333333333
ERICH1	-0.231
APOA4	-1.22925
HOXA11	0.761
NARG1	-0.965875
MKX	-1.07725
RAB28	-0.399642857142857
PKP3	0.91875
SH3GL2	-2.3115
CTSO	2.11975
RPN2	1.441375
IL28RA	0.420666666666667
SFMBT1	0.483
WDR57	-0.41425
FER1L3	0.478916666666667
HSF5	0.5385
TTC9B	0.462
C4BPA	-3.60733333333333
ALB	-4.45878571428571
SORBS3	0.4885
UPF2	-0.0875
JPH1	0.4575
AGBL2	-2.217
DOPEY1	1.558
TERF1	-0.814333333333333
KIF22	-1.28116666666667
NINJ1	0.69575
SEC61A2	-0.439083333333333
HIST1H1D	1.44466666666667
SFXN4	0.047625
UCP3	1.265
ZNF703	1.327
MYL6B	-0.93575
TREM1	2.65425
OR52E6	1.3285
CKMT2	-0.08075
HLA-C	2.685875
SLC13A3	-0.2625
TIMP4	-2.23125
SLIT2	2.6595
RSF1	0.543222222222222
LONRF1	-0.971
MON1A	-0.513833333333333
CACNG6	-0.619333333333333
DPPA4	-4.5465
ZSWIM3	0.26025
ZNF804A	0.261333333333333
CCIN	0.582
SLC25A31	-0.116333333333333
KCNMB4	-1.07675
RABL5	-0.445625
GALNS	-0.4322
STX6	1.825625
HIST1H1C	-1.00516666666667
CIDEB	-0.227125
CASP4	0.7435
PDK3	1.6062
KCNJ11	0.3105
TPR	-0.0375
ZSCAN20	-0.258
MTX2	0.708
HIST1H2BH	0.0565
LOC283767	2.1245
LYRM7	-1.76577777777778
BRD3	-0.444666666666667
HIST1H2BO	-0.33975
MAGEB10	1.111
SLC45A1	-0.49325
SERPINA3	5.2304
KIAA0143	0.811
KCNJ16	2.6725
KRT79	-0.02525
FABP2	-0.98025
NUT	0.16
ZNF57	-1.30225
FBXL4	-0.43625
CLEC9A	0.1905
UGT8	2.86566666666667
BMP2K	0.07
MAPK4	-3.0345
SLC25A23	-1.8073
HINT1	-0.9392
KRTAP13-1	1.0245
SFXN5	-0.3041
CHCHD2	0.161666666666667
FAM3D	5.0665
NDP	-2.3155
RHOBTB1	0.6555
SLC4A4	1.20925
RPL38	-0.5755
HTF9C	0.3735
AP2A2	-0.21375
ZBTB46	0.1655
MAP7D1	0.400375
AOX1	-1.712
CYR61	1.32475
DTNA	-1.47830769230769
JRKL	1.918
TMOD3	0.42625
EEA1	0.5131
ADCK5	0.25125
IL1R1	2.55966666666667
KLK3	1.05807692307692
HRSP12	-0.53875
KTN1	-0.0955
LOH11CR2A	0.2717
RELL2	-1.717
MAB21L1	0.01625
C20orf59	-0.612
PHKB	-0.40625
ADAM2	-1.48583333333333
TBC1D8B	1.612
FAM13A1	-0.140125
LAPTM4B	0.220166666666667
LCN8	0.081
TMEM147	0.1815
SYT4	0.529
XPO7	-0.006
C9orf62	2.55725
GPR75	0.6555
TRIM5	1.072
APOC1	-0.3595
RNASE4	-1.706
PARD6B	-2.656
ARID1A	0.38575
TPD52L3	0.3746
RRAGB	-0.771166666666667
RCN2	0.142833333333333
HIST2H2BE	-0.440625
STARD7	0.7205
SHMT2	-0.892
KIAA1751	0.0446666666666667
MLYCD	-0.305625
LOC162632	-1.1494
UQCRH	-0.36325
RP11-217H1.1	0.9475625
SDHA	-0.5125
NCLN	0.1111
ZNF17	-0.0236666666666667
RCBTB2	-1.66925
VEGFB	0.0575
RP4-747L4.3	1.3935
COLQ	-0.6186
MPN2	-1.01383333333333
DRG2	-1.0535
KLRB1	5.79825
ALPK2	-0.6975
DNASE2B	2.83575
FLJ23834	-0.480333333333333
AXUD1	0.871333333333333
SAFB	0.3605
NSUN4	0.38725
RFX2	-0.906
MAPK8IP1	0.433833333333333
FANCD2	-1.27292857142857
ANKZF1	-1.03916666666667
C19orf50	-0.337625
DUSP8	0.22925
SENP5	0.83175
NFKBIL2	-0.16775
LBR	-0.553875
IGFL1	-1.3205
LZTS2	0.5845
IL2RG	0.028125
CCDC51	-1.0355
KLF3	0.82125
ANKRD37	-1.143
KCTD14	1.94666666666667
FZR1	0.490833333333333
SLC44A4	0.1055
ESPL1	-0.841
GMPR2	-0.9977
TBC1D19	-0.9725
ERGIC1	-0.75262962962963
ERBB4	-1.38633333333333
TSPAN32	0.429916666666667
MAP4	-0.547375
GPHN	-0.5725
SLC6A2	0.933875
HIVEP1	0.0825
DFFB	-0.8482
EIF4EBP2	0.78725
DMRT1	-0.299666666666667
HSPB6	-0.09075
IER2	0.811
AIFM1	0.18425
WWC2	0.460666666666667
MRPL4	-0.48225
FLJ21062	-1.41
EPB41L4A	0.632083333333333
SH2D6	0.472
TAF4B	-1.16525
GAL3ST3	0.6825
MALT1	-0.494833333333333
RTDR1	-0.07875
ARVCF	0.319125
MEX3B	-0.568333333333333
FBXO16	0.04475
KIF7	-1.017
C1QC	4.68683333333333
ZNF783	-0.880833333333333
ZNF85	-0.82525
MMP13	4.53
KIAA0329	0.240875
RTP3	-0.8215
ZBED3	0.1235
CLGN	-1.24525
SLC25A37	0.296416666666667
hCG_18290	-1.11425
OR5AS1	0.7755
SMARCC2	0.4235
FAM109A	-0.1285
CCDC12	-0.50925
USF2	0.5273
DEPDC7	-1.083
C20orf24	0.879333333333333
JMJD3	0.3575
DSP	0.651142857142857
SLIC1	0.724875
FAM20A	3.0785
IRF2BP2	1.050125
ZNF230	-0.4
MSN	-0.503857142857143
SLC9A5	-1.66
EPDR1	-1.8275
MUSK	0.295833333333333
