Hybridization REF	TCGA-E2-A10F-01A-11R-A10J-07
CEP350	0.4125
OR10A2	0.1565
CST7	1.17025
CIAO1	-1.0105
SELL	1.34675
OR8J3	-0.0455
LTBP4	0.1105
SIRT6	-0.2485
CCL19	4.07875
PPIL1	-1.11466666666667
GBP7	0.0795
STK17A	-0.478
ABR	0.287
OR9G1	-0.3015
FOXE1	-0.931625
CNGA3	0.511
GML	0.00850000000000001
CD38	-2.58725
ZDHHC6	-0.215
NEFH	-1.96175
CTDSP2	0.727583333333333
PGBD5	-0.507833333333333
CCNY	0.462214285714286
RMND5B	0.511166666666667
ZNF257	0.0795
FLJ22167	0.077625
EXOSC7	-0.288333333333333
ROR2	2.09025
MAOA	0.5795
TNNT3	0.7075
GYPC	-0.44925
C7orf33	0.2485
PLIN	3.43216666666667
LOC90826	-0.51425
RNF4	-0.0873
F8A1	0.551
PLEKHG4	-1.7705
GRB2	0.47985
HIST1H2AD	1.15175
DUS3L	-0.2615
EIF1	0.303166666666667
RP5-1077B9.4	-0.968666666666667
FPGT	1.545
GDF10	1.33533333333333
COQ9	-0.39275
GCC2	-0.0619285714285714
RARRES3	2.84075
PLXNA1	-0.5125
KIAA0100	-0.3653
PMF1	0.3615
FNDC1	5.19625
HS2ST1	-0.180166666666667
CRELD2	0.02675
C8G	-1.784
CD82	1.42625
LIM2	-1.124
UNQ6490	0.9625
MMP16	0.12525
DRD3	0.233
C5orf26	-0.396
C11orf73	-0.048875
PTP4A2	1.214375
OR4M2	0.2565
HPCA	-0.7915
SEC14L1	-0.733333333333333
CHFR	-0.000750000000000001
EMILIN1	1.25825
NDUFS4	-0.15525
COL18A1	0.695375
PDZD3	0.4817
C9orf16	-0.306166666666667
ERBB2IP	0.159833333333333
EMX2	3.35925
FUS	-0.43425
TF	-4.3876
CLCN4	-0.556333333333333
CXorf56	0.56775
C11orf72	0.30975
ELAC2	-0.877333333333333
NPR1	-0.68075
ASS1	-2.76966666666667
USP42	-0.0885
POLR2J	-1.086
SEC23IP	0.511
UQCRC1	-0.15375
LOC729603	-0.36
C1orf71	0.33725
POLG	-1.9985
ADAM23	-3.07375
TFR2	-1.27975
RICTOR	-0.8963
MGC39606	0.3365
C19orf55	-0.13575
SNAPC1	-1.44633333333333
GNA11	1.048
CCDC52	0.538833333333333
FSIP1	5.519
UPF3A	0.1695
IGSF11	-2.27166666666667
LAGE3	0.11375
CHST6	-1.059
UNC13B	1.0455
TTLL4	-1.17575
ZNF687	0.395625
SDC2	0.4151
COX7A2	-1.127
LAMB4	0.10925
FAM24A	-0.0215
LRRTM3	-0.590833333333333
GPHB5	-0.05175
OR4C13	0.386
EIF3EIP	-0.192571428571429
HABP4	0.045
TMEM125	3.362
CNTN2	0.8825
ASNSD1	-0.1675
FUT4	0.394
ACF	-4.706
LOC158381	0.429
CDH8	-0.281
AGPS	0.0188333333333333
C4orf18	3.446625
PECI	-0.535166666666667
UNG	-0.635875
GSTP1	-1.780125
DCUN1D5	-1.01366666666667
DKFZP564J0863	-0.753
SLC9A3R1	1.48575
BCDO2	-0.543
CHMP7	0.284125
REM2	1.8075
DNHD1	-0.440625
FKBP4	0.332375
ZNF350	1.367
MGC11102	-0.3025
BST1	2.245
KISS1R	0.705
NCR2	0.0755
DEFB125	-0.477
UBE2W	0.843125
KRT15	4.158
C10orf99	0.298
SCN11A	0.170375
GFI1	-2.00375
RDHE2	2.244
FHL1	0.2825
OSGEP	-0.358666666666667
GATA1	-4.01016666666667
SMC6	-0.5315
TTTY14	-0.962
LPIN3	0.049
RPL4	-0.0614
RBPMS	1.1063
PRPF3	-0.435333333333333
EMR1	-1.8835
SPATA19	-0.05325
XCR1	1.1995
IRX3	2.1277
RBM6	-0.302
KLF4	-0.5444
UNC5CL	1.495
SEBOX	0.4175
BTK	0.29575
KRCC1	0.86075
C6orf27	0.696
SYTL5	0.6935
PRND	2.23225
LOC653319	-1.343
PIGL	-2.175
HUS1	-0.263333333333333
SFRS6	-0.0458333333333333
C17orf77	1.056
UIMC1	-0.470166666666667
FXYD2	-2.003
LOC283152	2.01775
ZNF667	0.40875
ZCCHC12	-0.44175
TFEC	3.0482
ATP7B	1.43783333333333
POLD2	-0.931166666666667
RG9MTD1	0.1235
ACOT2	-0.203833333333333
HIST1H4I	-0.89475
PPARGC1A	-1.638
ETFA	-1.4594
POLRMT	-0.14625
ZNF146	0.178375
MIA2	-0.7775
KLHL6	-0.0113333333333333
HOXB5	-0.5865
NENF	1.0165
CUGBP1	0.32525
PRSS22	1.3485
CASC4	1.0159
CUL4B	-0.1755
CENPJ	-0.9231
PITX1	0.193333333333333
FLJ31033	1.32666666666667
CELSR3	0.134
ZNF568	0.5925
ITSN1	-0.03275
EHBP1L1	-0.364833333333333
C19orf2	-0.4205
DCTN1	0.527
LIN28B	-3.407
TNKS2	-0.873
C1QBP	-1.046875
CADPS2	1.4555
SRMS	0.2265
GJA9	0.154666666666667
MGC24975	-0.5415
TRIM45	0.645
TSP50	-0.222
TCP1	-1.7195
TMED7	0.1962
CMA1	0.4975
CENPL	-0.510833333333333
PTCRA	0.5435
FST	-1.9455
VWCE	-4.10275
PAWR	0.00499999999999999
ABCC12	-0.156666666666667
LDLR	-1.3961
ASTN2	1.7448
LOC441212	-0.785625
GPATCH8	-0.2775
TANC2	0.10175
KIF4A	-1.8865
C18orf18	-1.9875
PGM1	-0.90275
KIAA0258	0.89875
CPD	-0.00225
SNCAIP	-0.39575
DCT	-5.07066666666667
HLA-DOA	2.73231818181818
OR11L1	0.1365
UPK1B	-0.447666666666667
DNAJB4	-0.050125
UGT1A8	-0.2245
HIST1H4L	-1.124
PECR	-1.12916666666667
HSPA2	2.29
WFIKKN1	-2.2325
SERP1	0.349375
SYDE2	1.0655
TACR2	1.0825
NUP85	-0.5735
CD177	0.0651666666666667
LGR5	-1.11683333333333
PIGG	-0.222666666666667
PTHR1	-0.789833333333333
RAB5A	0.1644
FLJ13224	-0.337
USP9Y	-1.69066666666667
C7orf53	-1.683
LRP1B	1.26475
XAF1	2.7317
ABCG8	-0.337
ANKDD1A	-0.0211666666666667
DAND5	-0.845
SPAG6	0.206
LINCR	1.64175
ZDHHC22	-1.732
CCDC60	-0.082
THOC7	-1.11566666666667
TCTA	1.1128
OR8K3	0.27875
NY-REN-7	-0.60925
B2M	1.87783333333333
C6orf141	-1.724375
LPPR4	1.34775
SQLE	-1.538875
SEPHS1	-0.92825
BTBD14B	0.347142857142857
PLRG1	-0.0895
SPG7	-0.465625
ZNF614	-0.291166666666667
PARD6G	0.593
INPP5B	-0.0951
GRPEL2	-0.40375
PPID	-0.635
TRIM56	-0.25625
UBE2J1	-0.5395
IL20RA	2.19375
LOC387856	0.72425
C1orf107	0.799166666666667
UTS2R	0.94775
C19orf22	-0.02725
SAFB2	-0.084125
KIAA0652	0.2065
KLRG1	-0.113
MS4A8B	2.73166666666667
FRAG1	0.33025
KIAA1546	0.27
E2F4	-1.039
CLEC4M	0.338666666666667
BTBD14A	-1.3505
KIAA0999	0.7024
GYPA	-3.576
TAC1	1.0983
TRAIP	-1.067
KIAA0232	0.656
ERCC8	-0.784375
GPX4	0.409375
KIAA0368	0.02225
GPR157	-0.967
CTAGE4	1.426
C9orf30	-0.810333333333333
OR52A1	0.443
HSP90B3P	-0.4895
ALG9	-0.438
BTBD10	0.87175
SDK2	0.23575
BAIAP3	-0.2445
RABGGTB	-0.80975
ANKRD40	0.239666666666667
KRT74	0.595
CALCOCO2	0.450428571428571
SNCA	-2.5355
TMSL8	-3.499625
C2orf53	0.112
ESRRB	-0.46
ARHGAP26	0.84675
TDRD9	-2.95125
HRAS	-0.399333333333333
KLRC4	-2.1155
JAGN1	-0.622166666666667
BSDC1	0.072
RNF43	-0.7144
NDUFAF1	0.4785
PHF12	0.3135
OR1L3	-0.133
FOLR2	1.72566666666667
LYZL6	0.011
tcag7.1260	-1.406
WSB1	-1.27416666666667
PROS1	-0.4805
OSTN	0.596
PSMB8	1.2195
SOCS4	-0.211
DDIT4L	2.38925
MAS1	0.7405
MGC34796	1.393
CSHL1	0.111666666666667
TBCCD1	0.323166666666667
ZBTB7C	0.0865
AP2S1	-0.52425
P15RS	-0.2171
VAT1	-0.1448
SHANK3	0.4655
TUFM	0.0491666666666667
THEG	0.2445
KRT34	-1.6485
SGSM3	-0.402625
TOMM22	-0.7195
SOCS3	1.69083333333333
CPO	0.43
POP4	0.273
BHLHB3	1.68775
MALL	1.10075
OR1B1	0.501
PARK2	0.506666666666667
GPR124	1.0875
LCE1E	-0.063
RUVBL2	-0.41025
CGRRF1	0.504
ACPL2	-0.0675
WNT10B	-2.31825
BAIAP2L2	-2.6155
ISCA1	0.498
C1orf125	0.027625
RPAP1	-0.726
RAI16	0.247833333333333
RPL27	-0.268125
NLRP9	0.0005
EPN1	0.1985
LOC388610	-0.480125
SLC35A1	-0.2288
GAL	-4.82625
SLC14A2	0.1705
RDH11	-0.8305
FAM138F	-0.239
AUH	0.22
FLJ40243	0.32975
C14orf129	0.6345
MBD2	-0.0826666666666667
ABHD14B	0.201625
PIGT	0.2715
ALS2CR4	-0.374
ALAS1	0.2484
FOXO1	1.27733333333333
CRLF3	-0.375125
C20orf107	-0.5215
FARS2	0.9755
CCDC28A	0.5135
NPHP3	-0.51775
OR13F1	0.235
TSEN54	-0.39525
DEFB106B	0.2044
OR8B4	0.449
STH	2.33625
ZC3H14	-0.76625
CBX2	-0.1405
TMEM49	-0.689
C6orf21	0.212
FLJ20920	0.218125
CRTAP	0.303642857142857
DDX50	-0.1315
STYXL1	0.07775
BLVRB	-0.225666666666667
LOC147650	-0.416
MMP24	0.1375
GRID1	1.309
BANF1	-0.431333333333333
CTAGEP	0.2475
HMBS	-1.52125
SLC25A24	0.479
C14orf50	1.76725
MRO	1.46066666666667
SLC25A15	-0.6955
FAM84B	0.8544
TDP1	-1.401
C16orf78	0.144166666666667
C11orf57	-0.122875
RFK	-0.767375
ZFYVE9	-0.60325
STCH	-0.4665
WIBG	0.37225
LOC283871	-0.623333333333333
GBA2	-0.4741
NDUFB3	-0.43075
HSD17B13	0.093
GRIN3A	0.999666666666667
FMNL1	0.0395
SEPT7	-0.2108
GNLY	2.5615
GRAMD1C	0.853666666666667
ZNF165	-0.34225
USP38	0.40625
FAM83A	-3.68933333333333
C14orf24	0.65025
ARMCX3	1.40075
ARHGDIB	1.04066666666667
AK1	-0.1335
KIAA1045	0.396
DNAJB13	-0.279333333333333
NEU2	-0.019
HIST1H4B	-0.905666666666667
FAM20B	0.0432
HES2	1.68478571428571
FAM73B	-0.4238
LOC388381	-0.01525
INTS7	0.317545454545455
AMPH	2.73225
ZNF775	-0.043875
UCKL1	-0.5265
C10orf97	-0.218
C1orf161	0.082
ALDH1L1	-0.75575
FLJ39378	-0.01325
SLC23A1	-0.694
RBM4B	0.49925
THAP4	0.3105
OGFRL1	0.00075
KIAA0831	0.353625
PPP1R15A	0.117166666666667
C1orf96	0.0837142857142857
C12orf11	-1.572
BMF	0.4095
MAN1A1	-0.56375
KIAA1600	0.7815
NLGN4X	0.5035
ALOX12	-1.1015
RB1CC1	-0.00210000000000001
NEIL2	1.0007
EIF4E	-0.00504545454545455
ABHD5	0.11825
EXOC4	-0.0631666666666667
CIP29	0.130833333333333
BATF2	1.0875
SLC29A4	-0.79525
HTR4	0.52225
EMB	-0.07075
TRAF6	0.6375
LMNB1	-2.359
FAM19A5	-0.401625
SHE	1.37375
PIK3C2B	0.796
C15orf15	-0.4536
USP15	-0.0718
TCEAL2	1.87025
C5orf39	-0.7865
PTGER2	2.09725
SLC31A1	-0.1298125
IFT172	0.3925
ADAM29	-0.035
GFOD1	-0.223
ST7L	0.683833333333333
C15orf26	-2.81075
PKN3	-1.40125
CNTD1	1.4625
COMMD1	0.445
NTRK2	2.5985
FOXN3	0.646
MFGE8	0.3201
PFKFB2	1.45666666666667
TAS2R4	-0.27425
ENTHD1	0.693833333333333
PRMT5	-0.148875
MGC16384	-1.047625
LOC442229	-0.32375
TSKU	-0.19625
KRTCAP3	1.477
PDLIM1	0.1854
KCNS2	0.35325
RNF126	-0.694
CEP63	0.227875
CLIC4	0.4325
hCG_1990170	0.2545
ACR	0.4237
KLK7	0.967
ALOX5AP	4.02375
RIPK3	3.82625
TAS2R9	0.2145
C19orf18	1.0435
BIRC6	-0.07
ZNF16	1.1515
RFT1	-0.50375
SLC8A2	-0.3205
TACC1	0.553875
ITGAD	0.58475
SAMHD1	1.42775
SH3PXD2B	1.1062
EPC2	0.93775
C20orf85	2.23375
ATP13A2	0.551833333333333
KRT4	0.302875
CAPNS1	0.37225
MDM2	-0.364916666666667
PCDH20	0.8935
KCNK9	0.535
OR2C1	0.261
KLHDC3	-1.144
IPPK	0.822
EFHD2	0.10225
GALR3	0.74175
NBEA	1.56266666666667
ABCA6	3.4337
CLDN3	0.592666666666667
AKT2	-0.857071428571429
EGFR	-1.9879
RBM16	-0.022125
ZDHHC3	0.3976
SLC25A4	-0.113333333333333
CYB5B	-1.10916666666667
CPXM1	-0.29325
NDRG1	-1.579
FLJ43826	0.42325
OR5L2	-0.0248333333333333
FARP2	0.2996
MRPL46	-0.22225
LDHAL6B	0.165666666666667
MAPKAPK3	0.490333333333333
NCAM2	-2.2
PRKD2	0.551
ZFP36L1	1.5566
CYSLTR1	-0.38225
OR4C3	-0.05975
HIST1H2AJ	0.6305
CCNB2	-2.548
ZNF10	-0.297375
TMEM175	0.6065
FAM134A	1.012
TIGD4	0.419
PCNP	-0.05075
MGC39715	0.332
LQK1	-2.88125
CREB1	0.8107
TMPRSS3	1.0895
C4orf32	0.416125
LAT	-0.939666666666667
KCNA3	0.36
SKIV2L2	-0.60875
ROPN1B	-3.46
tcag7.23	-0.4185
CDT1	-3.31875
ZHX2	0.610625
CD28	-2.4725
ZNF624	0.507
SEPT2	0.135666666666667
SOHLH2	-1.130125
MCOLN3	0.400875
UNQ1945	0.3435
MASP2	-1.4775
ZNRF3	-0.2974
GPATCH3	-0.10075
AGL	0.921625
QRICH2	-0.1785
PSD4	1.1905
CCNB1IP1	-1.4545
ENPP7	0.039
OBFC1	-0.023
KCNG3	-1.47975
C14orf79	1.15508333333333
ENPEP	1.11716666666667
SCT	2.1325
SKI	0.89225
SEC61G	-1.64075
CAPN11	0.354
ATXN7L3	0.109
DBNDD1	-0.368666666666667
FAIM	0.1715
ANKRD36	-0.517
GABRP	1.4575
TACSTD2	1.189
EIF3J	-0.28925
PPP2R2A	-0.002
TEKT4	-0.323666666666667
PVALB	-4.0305
F10	-2.346
FAM134C	0.9922
COMP	4.761375
EFCBP1	-2.157375
SCLT1	0.416625
TAL1	-1.2693
ACSL1	1.60125
ABCC5	-0.112833333333333
ABL1	-0.222277777777778
RBBP7	0.618166666666667
PTPRG	0.1895
NCOR1	-0.3282
SPINK4	-2.0525
TXNRD1	-1.6517
TNRC15	0.786125
C9orf138	0.797875
UBE2H	0.6095
BRDT	0.7705
C8orf31	0.57625
CCNE2	-1.95272727272727
SLC6A8	-1.928375
CALCR	-3.51375
PPP1CB	0.395666666666667
ABHD8	0.06525
ARF5	0.1657
SLC24A4	0.6695
CCT3	0.45025
ZNF121	0.459625
SLC3A2	-0.8324
OR13A1	0.306
SLC5A10	-0.2135
RAD50	0.146375
IER5	0.329
MTHFD1L	-2.149875
MBTPS2	0.05125
MVK	-0.532625
NCL	-0.0249
PSMD10	-0.348
MOBP	0.353375
FLJ32894	0.3335
HRH1	-0.0436666666666667
C5orf30	1.6785
NUDT16L1	0.968
RASGRP3	3.36433333333333
PRKRIP1	-0.5422
CCDC75	0.153
LOC253970	0.097
KIAA1239	0.27425
MED21	-0.2235
SYT11	0.762
NTSR2	0.0805
EGFL11	-0.671
CXorf59	0.075
OR2A25	-0.0645
SPTBN2	-0.2995
LRMP	-1.23366666666667
RNF111	0.22275
PTH	-0.5765
LOC619208	0.429666666666667
KIAA0895	0.29
RANBP5	-0.77625
P2RY10	0.862
NME5	3.9415
DDX21	-0.6205
LRSAM1	0.5595
HDAC11	1.19916666666667
VMO1	2.07375
NOLA2	-0.254333333333333
ADAR	1.2725
MTO1	-1.35633333333333
SF4	0.812166666666667
P2RX1	1.08916666666667
HBM	-0.026
EN2	0.745
C14orf172	0.01425
TM9SF2	0.4691
INHBE	-1.41433333333333
TCTE3	-0.339666666666667
TOX2	-3.20475
CTAGE3	0.233625
HBB	2.9383
MED15	-0.8605
CASR	0.571
C6orf66	-1.68016666666667
MTPN	-0.18025
UNC50	0.232
C21orf33	-0.318125
IRF2	0.83725
PGR	4.237
GPR84	2.8905
CROCCL1	-1.3545
SRPX	-0.77025
BRE	0.4835
FGF10	1.447
SDC3	0.624333333333333
ZRSR1	0.664333333333333
DKFZP434P211	0.049625
SOX6	-0.019
RPUSD2	-0.66425
C14orf173	-0.0573333333333333
MAPK11	-0.985333333333333
TBC1D22A	0.396
FAM123A	-1.093
COL4A6	1.49816666666667
TOMM70A	-0.14425
NAB1	-0.04
MGC16385	-0.333875
TSPAN18	0.0401666666666667
MED31	-0.99525
PLG	-0.562
CAPSL	3.6695
ZNF532	1.0879
ASB14	-0.033
CA8	-3.86625
NUDT16P	0.380333333333333
SLFN11	-0.5165
LRRIQ2	0.138375
NOL7	-0.5705
BRMS1L	-0.751
JARID1A	0.312666666666667
PANK2	-0.537
ICAM3	-0.21375
MDS1	0.104
TAF8	-0.26375
RNF139	0.77725
ZNF594	-0.421
ADAM8	2.71925
SFTPC	-0.071125
MAN2B2	1.13
RGS12	0.4705625
EIF1AY	-5.139
LRRIQ1	0.762
GPR150	1.11225
CCDC21	-0.7475
PRRG3	0.24275
SAA4	-4.4485
RAPGEF5	0.77975
ZCCHC2	0.22425
MGC39372	1.015
PPP4R2	0.331666666666667
CDCA2	-1.70133333333333
OR4D5	0.287666666666667
PTGFRN	1.172
SIGLEC5	1.554
C19orf61	0.214666666666667
NMUR2	0.061
KIAA1586	-0.741833333333333
DAGLA	0.5385
CHCHD6	-0.10425
GPR32	0.5035
NEUROD6	0.0808333333333333
SLC2A4RG	0.1610625
CA5B	0.1495
FBXL3	1.364
MPHOSPH9	-1.2155
HMG2L1	-0.24775
HCN4	0.7755
CEACAM19	0.31925
SH2D4B	0.151333333333333
HFE2	-0.655
TGM4	-0.388
LYPD2	-0.128
TBC1D15	0.0605
MRPS21	0.488
NONO	-0.848
CLEC5A	2.5365
ITCH	-0.2011
MGAT3	-1.46483333333333
MBP	-0.173625
RPP25	-1.43275
SOSTDC1	-0.2325
HRC	-1.63325
TRIM48	-0.0835
TMEM133	0.54175
ECEL1P2	-0.876
HOXC11	1.7855
DOK5	0.19975
HELZ	0.238
LOC348180	-1.24575
MGC33894	0.07625
ADRB3	0.02
DMD	0.0406666666666667
PTRH2	-0.788
MPEG1	2.90583333333333
NDUFA12	-0.0893333333333333
KRTAP2-4	-0.108666666666667
STAMBPL1	-0.563333333333333
ADCY2	-0.234666666666667
UNQ6125	-0.2605
KLHL20	0.623833333333333
SRM	-1.21025
OTC	0.5035
TMIE	0.322
SNX8	0.15175
LIPK	-0.4765
CHURC1	0.976
KLC2	0.155166666666667
HDAC1	-0.842333333333333
FAM128A	0.754166666666667
FNDC3B	-0.2937
MTCP1	-0.402333333333333
WFDC10B	0.000699999999999978
PCDHGB3	-0.4315
ATRNL1	-1.658
CAV2	0.3375
MED26	0.2155
DUS1L	0.11775
CHRM3	-1.6125
NEK9	0.50525
WARS2	0.1335
TBX22	0.7495
TOMM40	-1.13925
RP6-213H19.1	-0.485
TUBGCP5	-0.75825
IGSF6	4.8915
TPPP	0.8025
UNQ6190	-0.0845
GSTM5	0.708
BTD	0.871666666666667
PDCD1LG2	0.899166666666667
SNRPB2	-0.7025
ERICH1	-0.50925
APOA4	-1.761125
HOXA11	-0.89175
NARG1	-0.6305
MKX	0.273
RAB28	0.1265
PKP3	1.35625
SH3GL2	-0.3435
CTSO	2.82225
RPN2	-0.1699375
IL28RA	-0.127666666666667
SFMBT1	-0.06325
WDR57	-0.357875
FER1L3	1.638
HSF5	-0.0986666666666667
TTC9B	-0.31875
C4BPA	-4.37116666666667
ALB	-4.42892857142857
SORBS3	0.21525
UPF2	-0.036
JPH1	0.5235
AGBL2	1.015
DOPEY1	0.7545
TERF1	-0.303416666666667
KIF22	-0.348333333333333
NINJ1	1.92625
SEC61A2	-0.69775
HIST1H1D	0.360333333333333
SFXN4	-0.440875
UCP3	0.2937
ZNF703	1.34016666666667
MYL6B	-0.5895
TREM1	2.21525
OR52E6	0.4735
CKMT2	2.021
HLA-C	2.263625
SLC13A3	-1.77483333333333
TIMP4	-1.11125
SLIT2	2.53875
RSF1	0.2235
LONRF1	-0.446428571428572
MON1A	-0.230166666666667
CACNG6	-1.86
DPPA4	-6.24283333333333
ZSWIM3	0.0485
ZNF804A	0.920166666666667
CCIN	1.3115
SLC25A31	0.00275
KCNMB4	-0.02325
RABL5	0.506
GALNS	-0.155
STX6	0.943
HIST1H1C	0.577333333333333
CIDEB	0.283375
CASP4	0.896833333333333
PDK3	0.0047
KCNJ11	2.244
TPR	0.094875
ZSCAN20	-0.5175
MTX2	0.06775
HIST1H2BH	0.59525
LOC283767	1.6595
LYRM7	-1.06361111111111
BRD3	0.684666666666667
HIST1H2BO	0.45225
MAGEB10	0.4715
SLC45A1	1.2385
SERPINA3	2.8629
KIAA0143	0.79825
KCNJ16	0.0351666666666667
KRT79	0.20525
FABP2	-0.3535
NUT	-0.272
ZNF57	-0.09475
FBXL4	0.34075
CLEC9A	1.48
UGT8	-0.965166666666667
BMP2K	0.38025
MAPK4	-3.353
SLC25A23	-0.3551
HINT1	-0.7907
KRTAP13-1	0.044
SFXN5	0.7704
CHCHD2	-0.328416666666667
FAM3D	0.0765
NDP	-1.550375
RHOBTB1	0.312666666666667
SLC4A4	-0.499375
RPL38	-0.147
HTF9C	-0.798333333333333
AP2A2	0.487375
ZBTB46	-0.2795
MAP7D1	0.56375
AOX1	-0.692166666666667
CYR61	1.44791666666667
DTNA	0.105142857142857
JRKL	-0.11625
TMOD3	-0.37825
EEA1	0.2872
ADCK5	-0.311
IL1R1	1.41383333333333
KLK3	0.129928571428571
HRSP12	-0.91675
KTN1	0.232
LOH11CR2A	1.4009
RELL2	-1.36
MAB21L1	1.85325
C20orf59	-1.4645
PHKB	-0.5
ADAM2	-1.5285
TBC1D8B	1.62
FAM13A1	-0.5295
LAPTM4B	-0.799916666666667
LCN8	0.109
TMEM147	0.518
SYT4	0.150333333333333
XPO7	-0.364
C9orf62	1.1435
GPR75	-0.033
TRIM5	0.5145
APOC1	1.16
RNASE4	0.793166666666667
PARD6B	-0.4675
ARID1A	0.463166666666667
TPD52L3	-0.2759
RRAGB	1.57566666666667
RCN2	-1.0435
HIST2H2BE	0.6681875
STARD7	-0.03375
SHMT2	-0.92375
KIAA1751	-0.00166666666666665
MLYCD	0.0655
LOC162632	-0.6396
UQCRH	-1.677
RP11-217H1.1	0.4185
SDHA	-0.852666666666667
NCLN	-0.4195
ZNF17	0.6605
RCBTB2	-1.1005
VEGFB	0.3505
RP4-747L4.3	0.9565
COLQ	0.9206
MPN2	-0.6745
DRG2	-0.71875
KLRB1	4.58275
ALPK2	-0.878
DNASE2B	1.90625
FLJ23834	-0.172166666666667
AXUD1	1.024
SAFB	-0.2048
NSUN4	-0.2925
RFX2	0.593833333333333
MAPK8IP1	0.0165
FANCD2	-1.00414285714286
ANKZF1	-1.36
C19orf50	-0.228125
DUSP8	0.562125
SENP5	-0.30575
NFKBIL2	-0.553
LBR	-1.09225
IGFL1	-0.2285
LZTS2	0.680125
IL2RG	-0.179
CCDC51	0.346
KLF3	0.562625
ANKRD37	-1.62225
KCTD14	-0.739166666666667
FZR1	0.366416666666667
SLC44A4	3.4684
ESPL1	-1.187375
GMPR2	0.0996
TBC1D19	0.147833333333333
ERGIC1	0.104037037037037
ERBB4	2.3376
TSPAN32	0.655416666666667
MAP4	0.7665
GPHN	0.435
SLC6A2	-0.08725
HIVEP1	0.85075
DFFB	-0.1936
EIF4EBP2	0.075
DMRT1	-0.304
HSPB6	0.13525
IER2	0.701666666666667
AIFM1	-0.45775
WWC2	-0.1285
MRPL4	-0.28825
FLJ21062	0.829
EPB41L4A	0.563416666666667
SH2D6	0.294
TAF4B	-0.725
GAL3ST3	-0.6615
MALT1	-0.7685
RTDR1	-0.1545
ARVCF	-0.370875
MEX3B	-0.917333333333333
FBXO16	1.1745
KIF7	-0.653
C1QC	3.48216666666667
ZNF783	-1.00133333333333
ZNF85	-0.33275
MMP13	4.567
KIAA0329	0.38175
RTP3	-0.6075
ZBED3	0.0245
CLGN	-3.123
SLC25A37	-1.04066666666667
hCG_18290	-0.115
OR5AS1	0.041
SMARCC2	0.754
FAM109A	0.123666666666667
CCDC12	0.02975
USF2	0.7582
DEPDC7	-1.06425
C20orf24	-0.850833333333333
JMJD3	0.5185
DSP	1.72307142857143
SLIC1	0.53925
FAM20A	2.043625
IRF2BP2	0.88275
ZNF230	-0.1705
MSN	-0.0616428571428572
SLC9A5	-1.926
EPDR1	-0.7771
MUSK	-0.0276666666666667
ZNF434	0.4415
SMARCD1	-0.150666666666667
ZFP106	-0.33175
ZNF347	0.4012
GTF2E1	0.2725
