Hybridization REF	TCGA-BH-A0E9-01B-11R-A115-07
LOC388610	0.5705
SLC35A1	1.2151
GAL	-4.24475
SLC14A2	-0.07375
RDH11	-0.646833333333333
FAM138F	-0.5075
AUH	0.41275
FLJ40243	0.67825
C14orf129	0.631166666666667
MBD2	0.311666666666667
ABHD14B	0.345375
PIGT	0.814
ALS2CR4	0.828125
ALAS1	0.1095
FOXO1	1.86483333333333
CRLF3	-0.1865
C20orf107	0.1435
FARS2	0.64175
CCDC28A	0.6815
NPHP3	0.1885
OR13F1	0.1895
TSEN54	-0.938
DEFB106B	0.1778
OR8B4	0.1465
STH	1.8915
ZC3H14	0.063875
CBX2	-0.00850000000000001
TMEM49	-0.588
C6orf21	0.234
FLJ20920	1.185375
CRTAP	0.69
DDX50	0.3095
STYXL1	0.23725
BLVRB	-0.632333333333333
LOC147650	-0.053
MMP24	-0.041
GRID1	2.4375
BANF1	-0.161166666666667
CTAGEP	0.17025
HMBS	-2.262
SLC25A24	0.755833333333333
C14orf50	1.28875
MRO	0.322
SLC25A15	-1.0535
FAM84B	1.3282
TDP1	-0.511
C16orf78	-0.242666666666667
C11orf57	-0.655125
RFK	-0.34675
ZFYVE9	-1.27625
STCH	-0.685
WIBG	0.48775
LOC283871	-0.7695
GBA2	-0.00419999999999998
NDUFB3	-1.22425
HSD17B13	0.07
GRIN3A	0.787833333333333
FMNL1	-0.176333333333333
SEPT7	-0.391
GNLY	2.656
GRAMD1C	1.2025
ZNF165	-0.2685
USP38	0.17675
FAM83A	-3.506
C14orf24	0.5715
ARMCX3	2.346125
ARHGDIB	1.41116666666667
AK1	-0.4575
KIAA1045	1.07625
DNAJB13	-0.1455
NEU2	0.32
HIST1H4B	-2.38733333333333
FAM20B	0.4226
HES2	0.568785714285714
FAM73B	0.2046
LOC388381	0.05625
INTS7	0.442090909090909
AMPH	3.05575
ZNF775	-0.848
UCKL1	-0.844666666666667
C10orf97	0.27725
C1orf161	-0.386
ALDH1L1	0.1675
FLJ39378	0.17575
SLC23A1	-1.134
RBM4B	0.387
THAP4	0.441333333333333
OGFRL1	0.5745
KIAA0831	0.760875
PPP1R15A	0.8275
C1orf96	-0.201357142857143
C12orf11	-0.5995
BMF	0.605125
MAN1A1	-1.149
KIAA1600	1.0055
NLGN4X	2.658
ALOX12	-1.11333333333333
RB1CC1	-0.1956
NEIL2	0.5322
EIF4E	-0.187681818181818
ABHD5	-0.41075
EXOC4	0.127833333333333
CIP29	-0.206333333333333
BATF2	-0.142
SLC29A4	-0.449625
HTR4	0.75475
EMB	-0.49925
TRAF6	0.784
LMNB1	-4.691
FAM19A5	-0.433
SHE	2.64225
PIK3C2B	1.59375
C15orf15	-0.2269
USP15	-0.0818
TCEAL2	3.35225
C5orf39	-1.08833333333333
PTGER2	-0.2495
SLC31A1	-0.02
IFT172	0.67325
ADAM29	0.22775
GFOD1	0.5725
ST7L	0.3825
C15orf26	-1.88025
PKN3	-0.7195
CNTD1	2.66416666666667
COMMD1	0.116375
NTRK2	3.73866666666667
FOXN3	0.4635
MFGE8	0.9078
PFKFB2	0.4605
TAS2R4	-0.3675
ENTHD1	0.391833333333333
PRMT5	-0.10625
MGC16384	-1.088625
LOC442229	-0.8665
TSKU	0.204
KRTCAP3	2.432875
PDLIM1	1.5107
KCNS2	0.846
RNF126	-0.9315
CEP63	0.020625
CLIC4	0.506375
hCG_1990170	2.4145
ACR	0.8018
KLK7	3.87775
ALOX5AP	2.418375
RIPK3	3.301
TAS2R9	-0.174
C19orf18	2.6995
BIRC6	0.484285714285714
ZNF16	1.4095
RFT1	-0.64375
SLC8A2	-0.45625
TACC1	0.525625
ITGAD	2.08575
SAMHD1	1.38425
SH3PXD2B	1.2055
EPC2	1.6325
C20orf85	2.552125
ATP13A2	0.276666666666667
KRT4	-0.058875
CAPNS1	0.7765
MDM2	-1.01016666666667
PCDH20	2.379
KCNK9	0.426
OR2C1	0.41
KLHDC3	-0.492666666666667
IPPK	1.7465
EFHD2	-0.218125
GALR3	-1.5355
NBEA	1.14016666666667
ABCA6	4.3505
CLDN3	2.773
AKT2	-0.367428571428571
EGFR	-0.161
RBM16	0.503125
ZDHHC3	0.1653
SLC25A4	-0.2655
CYB5B	-1.14466666666667
CPXM1	0.33375
NDRG1	-0.325923076923077
FLJ43826	0.44775
OR5L2	0.0713333333333333
FARP2	0.9828
MRPL46	-0.90375
LDHAL6B	0.24
MAPKAPK3	-0.290666666666667
NCAM2	0.2545
PRKD2	0.836666666666667
ZFP36L1	1.6647
CYSLTR1	0.1695
OR4C3	0.093
HIST1H2AJ	0.657
CCNB2	-2.87811111111111
ZNF10	0.1395
TMEM175	-0.238
FAM134A	1.335
TIGD4	0.344
PCNP	0.707
MGC39715	2.30675
LQK1	0.09825
CREB1	1.0366
TMPRSS3	0.63
C4orf32	1.670125
LAT	-1.4375
KCNA3	0.0175
SKIV2L2	-0.32625
ROPN1B	-0.93275
tcag7.23	0.103
CDT1	-3.306125
ZHX2	1.377625
CD28	-3.24875
ZNF624	1.01125
SEPT2	0.742583333333333
SOHLH2	-1.53225
MCOLN3	0.516
UNQ1945	-0.156
MASP2	-1.5765
ZNRF3	0.0162000000000001
GPATCH3	-0.15775
AGL	0.60525
QRICH2	0.105
PSD4	1.56533333333333
CCNB1IP1	-1.19925
ENPP7	0.0535
OBFC1	-0.20525
KCNG3	-1.994
C14orf79	1.49741666666667
ENPEP	2.026
SCT	0.3055
SKI	-0.142125
SEC61G	-1.3045
CAPN11	2.051
ATXN7L3	0.411
DBNDD1	0.476166666666667
FAIM	0.71825
ANKRD36	-0.893
GABRP	3.6175
TACSTD2	3.061
EIF3J	-0.6005
PPP2R2A	0.15075
TEKT4	-0.566666666666667
PVALB	-1.2705
F10	-1.55016666666667
FAM134C	1.0379
COMP	4.00875
EFCBP1	-1.46675
SCLT1	-0.786625
TAL1	-0.6082
ACSL1	0.54525
ABCC5	-0.413416666666667
ABL1	-0.123166666666667
RBBP7	0.34575
PTPRG	-0.535375
NCOR1	0.0753
SPINK4	1.12166666666667
TXNRD1	-2.4995
TNRC15	0.069875
C9orf138	0.958875
UBE2H	1.0425
BRDT	2.31433333333333
C8orf31	-0.35425
CCNE2	-2.11272727272727
SLC6A8	-1.478375
CALCR	-3.4345
PPP1CB	1.17291666666667
ABHD8	0.33975
ARF5	0.7225
SLC24A4	0.7475
CCT3	-0.0385
ZNF121	0.934375
SLC3A2	-0.2901
OR13A1	-0.1205
SLC5A10	-0.5595
RAD50	0.231875
IER5	0.17575
MTHFD1L	-2.803375
MBTPS2	-0.31675
MVK	-0.3955
NCL	-0.4086
PSMD10	0.0805
MOBP	0.184125
FLJ32894	1.318
HRH1	-0.218333333333333
C5orf30	1.03975
NUDT16L1	0.7004
RASGRP3	3.32566666666667
PRKRIP1	-0.1109
CCDC75	-0.65025
LOC253970	-0.54625
KIAA1239	0.02725
MED21	-0.888
SYT11	0.503666666666667
NTSR2	0.3215
EGFL11	1.465
CXorf59	-0.849
OR2A25	0.26425
SPTBN2	-0.3255
LRMP	-0.923833333333334
RNF111	0.79925
PTH	-0.2775
LOC619208	-0.0221666666666667
KIAA0895	1.2635
RANBP5	-0.967375
P2RY10	3.5275
NME5	4.11916666666667
DDX21	-0.6145
LRSAM1	0.513
HDAC11	1.8545
VMO1	0.80375
NOLA2	-0.455166666666667
ADAR	0.792916666666667
MTO1	-0.397166666666667
SF4	0.517333333333333
P2RX1	0.0963333333333333
HBM	-0.3815
EN2	-1.1025
C14orf172	-0.20975
TM9SF2	0.5936
INHBE	-0.671333333333333
TCTE3	-0.34025
TOX2	-2.1945
CTAGE3	0.013
HBB	2.7888
MED15	-0.451833333333333
CASR	-0.131
C6orf66	-0.996833333333333
MTPN	-0.784125
UNC50	0.5185
C21orf33	-0.632875
IRF2	0.70675
PGR	2.5485
GPR84	0.555
CROCCL1	-0.433
SRPX	-0.76975
BRE	0.353166666666667
FGF10	1.43025
SDC3	0.981
ZRSR1	1.29416666666667
DKFZP434P211	-0.0735
SOX6	0.889
RPUSD2	-0.521
C14orf173	-0.629
MAPK11	-0.372
TBC1D22A	0.306
FAM123A	-1.1225
COL4A6	-0.192166666666667
TOMM70A	0.39125
NAB1	0.380125
MGC16385	-0.3435
TSPAN18	-1.0385
MED31	-0.881
PLG	-0.50275
CAPSL	3.75
ZNF532	1.5295
ASB14	-0.04725
CA8	-0.2785
NUDT16P	1.32533333333333
SLFN11	-0.526
LRRIQ2	-0.1125
NOL7	-0.759333333333333
BRMS1L	0.182375
JARID1A	-0.192333333333333
PANK2	0.54125
ICAM3	-0.611
MDS1	0.43925
TAF8	-0.4815
RNF139	0.885
ZNF594	0.112166666666667
ADAM8	0.585375
SFTPC	-0.215
MAN2B2	1.69325
RGS12	0.4988125
EIF1AY	-4.77383333333333
LRRIQ1	1.43716666666667
GPR150	-1.15775
CCDC21	-0.5185
PRRG3	0.6595
SAA4	-2.59
RAPGEF5	-0.19875
ZCCHC2	0.155833333333333
MGC39372	0.9945
PPP4R2	0.2275
CDCA2	-2.18833333333333
OR4D5	0.714833333333333
PTGFRN	0.898
SIGLEC5	0.865333333333333
C19orf61	0.415166666666667
NMUR2	0.538
KIAA1586	-1.01666666666667
DAGLA	0.0276666666666667
CHCHD6	-0.7735
GPR32	0.166
NEUROD6	0.197666666666667
SLC2A4RG	0.4565625
CA5B	0.1575
FBXL3	1.5075
MPHOSPH9	-1.026
HMG2L1	0.96025
HCN4	-0.980666666666667
CEACAM19	0.25425
SH2D4B	0.42
HFE2	-0.5435
TGM4	0.0555
LYPD2	0.038
TBC1D15	-0.37325
MRPS21	-0.1174
NONO	-1.2198
CLEC5A	1.22275
ITCH	-0.3052
MGAT3	-0.654833333333333
MBP	-0.075375
RPP25	-1.508
SOSTDC1	1.335
HRC	-0.83725
TRIM48	-0.0745
TMEM133	-0.138
ECEL1P2	-1.35875
HOXC11	1.383
DOK5	-0.11225
HELZ	-0.418666666666667
LOC348180	-0.98475
MGC33894	0.0095
ADRB3	-0.143
DMD	0.907583333333333
PTRH2	-0.839
MPEG1	2.64133333333333
NDUFA12	-0.576
KRTAP2-4	-0.417083333333333
STAMBPL1	-1.52316666666667
ADCY2	0.911166666666667
UNQ6125	-0.047
KLHL20	0.598
SRM	-1.567
OTC	1.543
TMIE	0.0831666666666667
SNX8	-0.98425
LIPK	0.033
CHURC1	0.0126666666666667
KLC2	-0.111666666666667
HDAC1	-0.4875
FAM128A	0.629666666666667
FNDC3B	-1.0407
MTCP1	-0.115166666666667
WFDC10B	0.6689
PCDHGB3	0.0985
ATRNL1	-1.1829
CAV2	1.14625
MED26	0.71
DUS1L	-0.15775
CHRM3	-1.0685
NEK9	1.7595
WARS2	-1.03725
TBX22	0.7415
TOMM40	-0.81675
RP6-213H19.1	-0.961333333333333
TUBGCP5	-0.23375
IGSF6	3.99125
TPPP	1.586
UNQ6190	-0.3855
GSTM5	2.039625
BTD	1.64966666666667
PDCD1LG2	0.858833333333333
SNRPB2	-0.282166666666667
ERICH1	-0.669625
APOA4	-1.843
HOXA11	-1.20325
NARG1	-1.1855
MKX	-0.17025
RAB28	-0.250642857142857
PKP3	0.5215
SH3GL2	-2.33375
CTSO	3.47175
RPN2	-0.6803125
IL28RA	0.869
SFMBT1	-0.2395
WDR57	-0.8865
FER1L3	1.23441666666667
HSF5	0.292333333333333
TTC9B	0.03925
C4BPA	-1.85333333333333
ALB	-4.72685714285714
SORBS3	0.301125
UPF2	-0.0705
JPH1	0.4655
AGBL2	0.12775
DOPEY1	1.567
TERF1	-0.131833333333333
KIF22	-0.740333333333333
NINJ1	0.68025
SEC61A2	-0.29425
HIST1H1D	-1.66966666666667
SFXN4	-0.40275
UCP3	-0.2459
ZNF703	0.796833333333333
MYL6B	-1.37575
TREM1	0.429
OR52E6	-0.015
CKMT2	2.55575
HLA-C	1.27725
SLC13A3	-1.16116666666667
TIMP4	-0.31825
SLIT2	2.45775
RSF1	0.252611111111111
LONRF1	0.0984285714285714
MON1A	-0.781833333333333
CACNG6	-2.2835
DPPA4	-5.78716666666667
ZSWIM3	0.5035
ZNF804A	0.285333333333333
CCIN	0.518
SLC25A31	0.19925
KCNMB4	-0.59
RABL5	0.9235
GALNS	0.088
STX6	0.7635
HIST1H1C	-1.4795
CIDEB	-0.288625
CASP4	0.1215
PDK3	-0.1851
KCNJ11	2.1755
TPR	0.44575
ZSCAN20	-0.3365
MTX2	0.1695
HIST1H2BH	-0.27
LOC283767	1.05225
LYRM7	-0.717333333333333
BRD3	0.595666666666667
HIST1H2BO	-0.11325
MAGEB10	-0.2535
SLC45A1	0.972
SERPINA3	3.5102
KIAA0143	1.0845
KCNJ16	3.30783333333333
KRT79	0.5925
FABP2	-1.2375
NUT	0.19325
ZNF57	0.5475
FBXL4	0.081
CLEC9A	2.6465
UGT8	-1.00033333333333
BMP2K	0.44925
MAPK4	-2.7005
SLC25A23	0.0815
HINT1	-1.1936
KRTAP13-1	0.897
SFXN5	1.4119
CHCHD2	-0.515
FAM3D	2.3625
NDP	-1.714375
RHOBTB1	-0.657
SLC4A4	-0.414375
RPL38	0.1245
HTF9C	-0.503
AP2A2	0.5865
ZBTB46	0.093
MAP7D1	-0.211625
AOX1	-0.121166666666667
CYR61	1.92758333333333
DTNA	-0.306357142857143
JRKL	0.56675
TMOD3	-0.69725
EEA1	0.272
ADCK5	-0.93175
IL1R1	1.74133333333333
KLK3	-0.0677857142857142
HRSP12	-0.1355
KTN1	0.41125
LOH11CR2A	0.6203
RELL2	-1.5425
MAB21L1	3.6015
C20orf59	-0.738
PHKB	0.01625
ADAM2	-1.353
TBC1D8B	1.12733333333333
FAM13A1	-0.3869375
LAPTM4B	-0.841
LCN8	-0.0005
TMEM147	-0.013
SYT4	0.193333333333333
XPO7	-0.2285
C9orf62	-1.89075
GPR75	1.053
TRIM5	1.056875
APOC1	-1.50783333333333
RNASE4	2.34833333333333
PARD6B	-0.92625
ARID1A	0.680583333333333
TPD52L3	0.0847
RRAGB	1.9135
RCN2	-0.343666666666667
HIST2H2BE	0.936375
STARD7	0.27775
SHMT2	-1.64425
KIAA1751	-0.0675
MLYCD	0.99375
LOC162632	0.1288
UQCRH	-1.63675
RP11-217H1.1	-0.3304375
SDHA	-0.262166666666667
NCLN	-0.5401
ZNF17	1.4635
RCBTB2	-0.7675
VEGFB	-0.0972
RP4-747L4.3	-1.30725
COLQ	0.9683
MPN2	-0.677
DRG2	-0.20275
KLRB1	4.974
ALPK2	-3.48675
DNASE2B	2.966
FLJ23834	-0.0331666666666667
AXUD1	2.32983333333333
SAFB	-0.298
NSUN4	-0.553
RFX2	1.085
MAPK8IP1	0.2275
FANCD2	-1.00621428571429
ANKZF1	-0.827666666666667
C19orf50	-0.097625
DUSP8	0.58675
SENP5	-0.365875
NFKBIL2	-1.10025
LBR	-2.1535
IGFL1	1.156
LZTS2	0.346125
IL2RG	-0.293125
CCDC51	-0.67175
KLF3	0.36575
ANKRD37	-1.97275
KCTD14	0.420666666666667
FZR1	-0.136833333333333
SLC44A4	3.2485
ESPL1	-1.451875
GMPR2	0.3991
TBC1D19	-0.571
ERGIC1	-0.0558888888888889
ERBB4	3.7055
TSPAN32	0.391583333333333
MAP4	0.410125
GPHN	-0.292
SLC6A2	0.271
HIVEP1	0.58375
DFFB	-0.5057
EIF4EBP2	0.05725
DMRT1	-1.11825
HSPB6	0.26275
IER2	1.0935
AIFM1	-0.26675
WWC2	-0.458416666666667
MRPL4	-0.6245
FLJ21062	2.53816666666667
EPB41L4A	1.27708333333333
SH2D6	0.13625
TAF4B	-0.1775
GAL3ST3	-0.2655
MALT1	-0.769
RTDR1	0.82875
ARVCF	0.198375
MEX3B	-0.230333333333333
FBXO16	0.73775
KIF7	0.53025
C1QC	3.366
ZNF783	-0.8555
ZNF85	0.91
MMP13	1.516
KIAA0329	0.72875
RTP3	-0.904
ZBED3	-0.27825
CLGN	-2.4065
SLC25A37	-0.666458333333333
hCG_18290	-0.16075
OR5AS1	-0.139
SMARCC2	0.0301666666666667
FAM109A	0.0156666666666667
CCDC12	-0.4115
USF2	0.8074
DEPDC7	-2.6495
C20orf24	-0.8595
JMJD3	1.1525
DSP	2.39657142857143
SLIC1	0.154875
FAM20A	1.486625
IRF2BP2	1.225125
ZNF230	0.4335
MSN	-0.105
SLC9A5	-2.1375
EPDR1	-0.2161
MUSK	-0.08
ZNF434	0.572833333333333
SMARCD1	-0.828833333333333
ZFP106	-0.05625
ZNF347	1.4266
GTF2E1	0.65075
RY1	-0.007
ATAD2B	0.127625
