Hybridization REF	TCGA-A7-A0CG-01A-12R-A056-07
TFR2	-1.49475
RICTOR	-1.2132
MGC39606	1.554
C19orf55	-0.636875
SNAPC1	-1.39883333333333
GNA11	0.68475
CCDC52	0.178333333333333
FSIP1	4.201
UPF3A	-0.630625
IGSF11	-2.274
LAGE3	0.42925
CHST6	-0.8845
UNC13B	0.240375
TTLL4	-1.36125
ZNF687	0.111375
SDC2	-0.4573
COX7A2	-0.2915
LAMB4	-0.15125
FAM24A	-0.4305
LRRTM3	-0.717666666666667
GPHB5	0.818
OR4C13	0.00800000000000001
EIF3EIP	0.754285714285714
HABP4	-0.634
TMEM125	3.58
CNTN2	0.55925
ASNSD1	-0.05425
FUT4	-0.373375
ACF	-4.07225
LOC158381	1.14
CDH8	-0.337333333333333
AGPS	-0.822166666666667
C4orf18	3.394
PECI	-0.509583333333333
UNG	-0.354
GSTP1	0.853875
DCUN1D5	-0.750833333333333
DKFZP564J0863	-0.06775
SLC9A3R1	0.165375
BCDO2	-0.824625
CHMP7	-0.273875
REM2	-0.3045
DNHD1	-1.10175
FKBP4	0.124375
ZNF350	2.00125
MGC11102	-0.043
BST1	1.94675
KISS1R	0.0565
NCR2	0.00850000000000001
DEFB125	0.1665
UBE2W	1.1315
KRT15	3.974375
C10orf99	0.108
SCN11A	0.29475
GFI1	-0.6945
RDHE2	5.7775
FHL1	0.5895
OSGEP	-0.0221666666666667
GATA1	-3.4685
SMC6	-1.1385
TTTY14	-1.2215
LPIN3	-0.164
RPL4	0.1514
RBPMS	0.7708
PRPF3	-0.9225
EMR1	-1.9805
SPATA19	-0.39625
XCR1	0.3835
IRX3	1.062
RBM6	-0.81925
KLF4	0.7795
UNC5CL	-1.65875
SEBOX	-0.42
BTK	-0.463
KRCC1	1.758
C6orf27	0.5925
SYTL5	-0.3555
PRND	3.277375
LOC653319	-1.616
PIGL	-2.28925
HUS1	-0.2665
SFRS6	0.945666666666667
C17orf77	-0.228
UIMC1	-0.6115
FXYD2	-1.7908
LOC283152	2.11975
ZNF667	-0.41275
ZCCHC12	-0.32575
TFEC	3.4626
ATP7B	1.64033333333333
POLD2	-1.42433333333333
RG9MTD1	-0.01975
ACOT2	0.911
HIST1H4I	-1.355125
PPARGC1A	-0.899
ETFA	-0.2283
POLRMT	-0.719
ZNF146	0.025125
MIA2	-0.788
KLHL6	0.189
HOXB5	1.816375
NENF	1.31683333333333
CUGBP1	0.279
PRSS22	0.655
CASC4	1.1801
CUL4B	0.2807
CENPJ	-1.775
PITX1	0.634666666666667
FLJ31033	1.03016666666667
CELSR3	-2.54383333333333
ZNF568	1.1805
ITSN1	0.40425
EHBP1L1	-0.983166666666667
C19orf2	-0.0585
DCTN1	-0.29625
LIN28B	-3.4756
TNKS2	-0.50625
C1QBP	-0.643375
CADPS2	2.0325
SRMS	-0.17775
GJA9	0.798333333333333
MGC24975	-0.636666666666667
TRIM45	-0.4965
TSP50	0.397
TCP1	-0.997
TMED7	0.9141
CMA1	2
CENPL	-0.642833333333333
PTCRA	0.4405
FST	-3.163
VWCE	-3.58525
PAWR	-0.01425
ABCC12	0.468333333333333
LDLR	-2.7797
ASTN2	0.7178
LOC441212	-1.200875
GPATCH8	-0.44175
TANC2	-1.45633333333333
KIF4A	-2.35325
C18orf18	-1.04275
PGM1	-0.5485
KIAA0258	1.034
CPD	0.837125
SNCAIP	0.037
DCT	-4.41633333333333
HLA-DOA	3.22945454545455
OR11L1	0.451
UPK1B	-0.454666666666667
DNAJB4	0.270875
UGT1A8	0.4705
HIST1H4L	-1.296
PECR	0.181666666666667
HSPA2	1.05675
WFIKKN1	-0.804
SERP1	1.824
SYDE2	1.99625
TACR2	0.793
NUP85	-1.28725
CD177	-0.677833333333333
LGR5	-1.5124
PIGG	0.357
PTHR1	-0.7335
RAB5A	0.4262
FLJ13224	-0.095
USP9Y	-1.98
C7orf53	-0.6645
LRP1B	0.41375
XAF1	0.9031
ABCG8	-1.484
ANKDD1A	-0.543
DAND5	-2.6755
SPAG6	0.1852
LINCR	0.83225
ZDHHC22	-1.644875
CCDC60	0.225
THOC7	-0.8255
TCTA	0.8024
OR8K3	0.45025
NY-REN-7	-1.03366666666667
B2M	2.369
C6orf141	-2.473
LPPR4	2.66625
SQLE	-2.63
SEPHS1	-0.27125
BTBD14B	0.122
PLRG1	-0.2005
SPG7	-0.950125
ZNF614	0.180333333333333
PARD6G	0.679166666666667
INPP5B	-0.6137
GRPEL2	0.133
PPID	-0.7997
TRIM56	-0.2565
UBE2J1	0.00175
IL20RA	5.72375
LOC387856	-0.12375
C1orf107	0.624666666666667
UTS2R	0.04525
C19orf22	-1.0095
SAFB2	-0.406875
KIAA0652	-0.2915
KLRG1	1.093
MS4A8B	1.57033333333333
FRAG1	0.7075
KIAA1546	0.34025
E2F4	-1.7506
CLEC4M	-0.2485
BTBD14A	-1.2945
KIAA0999	1.2285
GYPA	-4.056
TAC1	2.538
TRAIP	-1.80816666666667
KIAA0232	0.8998
ERCC8	-0.818375
GPX4	0.98
KIAA0368	0.075375
GPR157	-0.653333333333333
CTAGE4	0.8155
C9orf30	-1.1115
OR52A1	0.7405
HSP90B3P	-0.766
ALG9	-0.0726
BTBD10	0.37325
SDK2	-0.20075
BAIAP3	-0.9605
RABGGTB	-0.88825
ANKRD40	-0.9135
KRT74	0.429
CALCOCO2	0.1485
SNCA	-2.61
TMSL8	-2.673625
C2orf53	-0.23
ESRRB	-0.2255
ARHGAP26	-1.169875
TDRD9	-2.527
HRAS	-0.0966666666666667
KLRC4	-2.239
JAGN1	-0.227
BSDC1	0.46875
RNF43	-0.2078
NDUFAF1	0.72475
PHF12	0.24625
OR1L3	-0.09175
FOLR2	3.13491666666667
LYZL6	-0.0383333333333333
tcag7.1260	-1.221
WSB1	-1.85533333333333
PROS1	0.3188
OSTN	0.716
PSMB8	1.53975
SOCS4	0.017125
DDIT4L	2.91625
MAS1	-0.1865
MGC34796	0.93675
CSHL1	0.204166666666667
TBCCD1	-0.228166666666667
ZBTB7C	0.064
AP2S1	-0.01875
P15RS	-0.5092
VAT1	-1.1435
SHANK3	0.698666666666667
TUFM	-0.536333333333333
THEG	-0.37
KRT34	-2.14
SGSM3	0.2075
TOMM22	-0.59825
SOCS3	0.411833333333333
CPO	0.6685
POP4	0.325
BHLHB3	1.799
MALL	1.40675
OR1B1	0.968
PARK2	0.898
GPR124	1.120125
LCE1E	0.223
RUVBL2	-1.00675
CGRRF1	0.2337
ACPL2	0.74675
WNT10B	-1.727
BAIAP2L2	-2.04775
ISCA1	0.5985
C1orf125	-0.481875
RPAP1	-0.4635
RAI16	0.521
RPL27	-0.093125
NLRP9	-0.46
EPN1	-0.263
LOC388610	-1.404875
SLC35A1	1.6989
GAL	-3.71425
SLC14A2	0.4125
RDH11	-0.1185
FAM138F	0.079
AUH	0.738
FLJ40243	1.3205
C14orf129	0.370166666666667
MBD2	-0.464666666666667
ABHD14B	-0.27275
PIGT	0.276375
ALS2CR4	0.27775
ALAS1	-0.083
FOXO1	1.48033333333333
CRLF3	-0.194
C20orf107	0.034
FARS2	1.109
CCDC28A	0.838
NPHP3	-0.94275
OR13F1	0.163
TSEN54	-1.30875
DEFB106B	0.0969
OR8B4	0.0045
STH	1.29725
ZC3H14	-0.655625
CBX2	-2.561
TMEM49	-1.72375
C6orf21	0.8725
FLJ20920	0.428375
CRTAP	0.304214285714286
DDX50	-0.03225
STYXL1	-0.0245
BLVRB	0.846666666666667
LOC147650	-0.589
MMP24	0.48525
GRID1	2.594
BANF1	-0.956333333333333
CTAGEP	0.728
HMBS	-2.2045
SLC25A24	0.870833333333333
C14orf50	0.7365
MRO	1.0145
SLC25A15	-1.0725
FAM84B	1.0625
TDP1	-0.2435
C16orf78	-0.940666666666667
C11orf57	0.599625
RFK	-0.29325
ZFYVE9	-0.90475
STCH	-0.9837
WIBG	0.6125
LOC283871	-1.25866666666667
GBA2	-0.2999
NDUFB3	0.316
HSD17B13	-0.65075
GRIN3A	1.1305
FMNL1	-1.0595
SEPT7	-0.0105
GNLY	3.5325
GRAMD1C	1.2265
ZNF165	-0.51725
USP38	0.7495
FAM83A	-3.3305
C14orf24	0.752
ARMCX3	1.197
ARHGDIB	1.60383333333333
AK1	0.115
KIAA1045	0.45625
DNAJB13	-0.9055
NEU2	0.869
HIST1H4B	-1.29516666666667
FAM20B	-0.1122
HES2	0.245384615384615
FAM73B	-0.7809
LOC388381	0.084
INTS7	-0.216363636363636
AMPH	1.96725
ZNF775	-0.35375
UCKL1	-1.36616666666667
C10orf97	0.45325
C1orf161	-0.49525
ALDH1L1	0.8745
FLJ39378	-0.746125
SLC23A1	-2.8445
RBM4B	-0.02125
THAP4	-0.025
OGFRL1	0.67175
KIAA0831	0.147375
PPP1R15A	-0.618333333333333
C1orf96	-0.400071428571429
C12orf11	-2.012
BMF	0.5555
MAN1A1	-0.383625
KIAA1600	0.7785
NLGN4X	-0.14025
ALOX12	-1.42516666666667
RB1CC1	-0.0592
NEIL2	0.7335
EIF4E	0.419
ABHD5	0.0015
EXOC4	-0.695833333333333
CIP29	-0.000833333333333329
BATF2	1.02925
SLC29A4	-0.86425
HTR4	-0.01425
EMB	0.0635
TRAF6	0.875
LMNB1	-1.943
FAM19A5	-1.5
SHE	2.15225
PIK3C2B	2.15275
C15orf15	0.3104
USP15	0.0468
TCEAL2	2.351
C5orf39	0.467166666666667
PTGER2	-0.79575
SLC31A1	0.33125
IFT172	0.82525
ADAM29	0.00474999999999999
GFOD1	0.736
ST7L	0.739833333333333
C15orf26	-2.864
PKN3	-1.02375
CNTD1	3.05716666666667
COMMD1	0.535375
NTRK2	3.91545454545455
FOXN3	0.324125
MFGE8	-0.9286
PFKFB2	0.935333333333333
TAS2R4	-0.52925
ENTHD1	1.37916666666667
PRMT5	-1.01575
MGC16384	-1.71575
LOC442229	-0.2585
TSKU	2.236125
KRTCAP3	1.860125
PDLIM1	0.8608
KCNS2	0.962
RNF126	-0.294833333333333
CEP63	-0.028625
CLIC4	-0.676125
hCG_1990170	0.97025
ACR	0.4887
KLK7	2.3045
ALOX5AP	3.767125
RIPK3	4.1565
TAS2R9	0.706
C19orf18	1.6155
BIRC6	-0.101571428571429
ZNF16	0.823
RFT1	-0.52025
SLC8A2	-1.99625
TACC1	0.307
ITGAD	0.871333333333333
SAMHD1	1.1945
SH3PXD2B	0.7573
EPC2	1.14775
C20orf85	0.04075
ATP13A2	-0.109
KRT4	0.524625
CAPNS1	-0.37575
MDM2	-0.432166666666667
PCDH20	1.61275
KCNK9	0.763
OR2C1	0.3885
KLHDC3	-0.900833333333333
IPPK	0.4675
EFHD2	0.005375
GALR3	-0.018
NBEA	0.991333333333333
ABCA6	3.6213
CLDN3	-0.1345
AKT2	-0.291714285714286
EGFR	-1.0284
RBM16	0.55925
ZDHHC3	0.7334
SLC25A4	-0.288
CYB5B	-1.217
CPXM1	1.20675
NDRG1	-1.08576923076923
FLJ43826	0.887
OR5L2	-0.169
FARP2	-0.0233
MRPL46	-0.265416666666667
LDHAL6B	0.0818333333333334
MAPKAPK3	-0.515666666666667
NCAM2	-1.89725
PRKD2	0.343666666666667
ZFP36L1	1.733
CYSLTR1	1.4945
OR4C3	0.19525
HIST1H2AJ	0.898
CCNB2	-2.52288888888889
ZNF10	-0.408125
TMEM175	-0.2365
FAM134A	0.6435
TIGD4	-1.107
PCNP	-0.09375
MGC39715	0.482
LQK1	-2.86625
CREB1	0.909
TMPRSS3	1.466
C4orf32	2.706375
LAT	-0.429416666666667
KCNA3	-1.6095
SKIV2L2	-0.6415
ROPN1B	0.2905
tcag7.23	0.5725
CDT1	-3.231
ZHX2	1.201875
CD28	-1.12325
ZNF624	0.53725
SEPT2	0.577333333333333
SOHLH2	-1.92475
MCOLN3	-1.36528571428571
UNQ1945	0.3885
MASP2	-1.5055
ZNRF3	-0.9892
GPATCH3	-0.578
AGL	-0.124625
QRICH2	-0.269
PSD4	0.923166666666667
CCNB1IP1	-1.6705
ENPP7	0.2885
OBFC1	-0.0925
KCNG3	-3.51625
C14orf79	-0.461583333333333
ENPEP	2.0105
SCT	2.267
SKI	0.35625
SEC61G	-0.779
CAPN11	1.272
ATXN7L3	-1.24525
DBNDD1	-1.385
FAIM	0.577
ANKRD36	-0.2525
GABRP	4.391
TACSTD2	3
EIF3J	-0.52925
PPP2R2A	-0.0765
TEKT4	-0.394
PVALB	-3.59333333333333
F10	-1.10283333333333
FAM134C	0.4257
COMP	4.952375
EFCBP1	-1.79106666666667
SCLT1	1.087375
TAL1	-0.719
ACSL1	1.706
ABCC5	-0.831916666666667
ABL1	-0.795222222222222
RBBP7	0.0946666666666667
PTPRG	-0.42725
NCOR1	-0.3591
SPINK4	2.21216666666667
TXNRD1	-0.2299
TNRC15	0.6835
C9orf138	0.84775
UBE2H	1.08433333333333
BRDT	0.682
C8orf31	-0.229
CCNE2	-1.38918181818182
SLC6A8	-1.76275
CALCR	-2.739
PPP1CB	0.8255
ABHD8	-0.57375
ARF5	-0.139
SLC24A4	0.861
CCT3	-0.215
ZNF121	0.92275
SLC3A2	-1.7122
OR13A1	0.128
SLC5A10	-0.56175
RAD50	0.028625
IER5	-0.198875
MTHFD1L	-2.11475
MBTPS2	0.235
MVK	-0.5015
NCL	0.1609
PSMD10	0.146
MOBP	-0.224428571428571
FLJ32894	-0.329
HRH1	-0.258166666666667
C5orf30	0.39675
NUDT16L1	0.9479
RASGRP3	3.90283333333333
PRKRIP1	-0.3791
CCDC75	-0.07925
LOC253970	-0.573666666666667
KIAA1239	2.12125
MED21	0.014
SYT11	0.75125
NTSR2	-1.5965
EGFL11	0.687
CXorf59	-0.5315
OR2A25	-0.11475
SPTBN2	-0.28375
LRMP	-0.402
RNF111	0.13425
PTH	-0.026
LOC619208	1.133
KIAA0895	0.79975
RANBP5	-1.029875
P2RY10	2.66233333333333
NME5	2.73783333333333
DDX21	-1.5495
LRSAM1	-0.8145
HDAC11	1.86016666666667
VMO1	2.69275
NOLA2	-0.295
ADAR	0.385666666666667
MTO1	-0.936333333333333
SF4	0.358833333333333
P2RX1	-0.309
HBM	1.04825
EN2	-0.0735
C14orf172	-0.363
TM9SF2	1.1342
INHBE	-1.30533333333333
TCTE3	-0.360833333333333
TOX2	-2.376
CTAGE3	0.926375
HBB	4.4911
MED15	-1.297
CASR	0.162666666666667
C6orf66	-1.06766666666667
MTPN	-0.6645
UNC50	0.097
C21orf33	0.429125
IRF2	1.548375
PGR	-0.0748333333333333
GPR84	1.6595
CROCCL1	-2.243
SRPX	0.2605
BRE	0.177666666666667
FGF10	1.06075
SDC3	-1.78483333333333
ZRSR1	0.454333333333333
DKFZP434P211	-0.66825
SOX6	1.6
RPUSD2	-0.04625
C14orf173	-0.36875
MAPK11	-0.524
TBC1D22A	-0.0125
FAM123A	-0.6075
COL4A6	-1.45366666666667
TOMM70A	0.2225
NAB1	-0.700375
MGC16385	-0.6515
TSPAN18	-0.379833333333333
MED31	-0.355
PLG	0.01425
CAPSL	0.831
ZNF532	0.591
ASB14	-0.19475
CA8	1.9225
NUDT16P	0.537833333333333
SLFN11	-0.179
LRRIQ2	-0.133
NOL7	-0.735166666666667
BRMS1L	0.197
JARID1A	0.134166666666667
PANK2	-0.40525
ICAM3	0.336
MDS1	1.465
TAF8	-0.307
RNF139	0.3795
ZNF594	-0.214666666666667
ADAM8	1.942875
SFTPC	0.12425
MAN2B2	1.45625
RGS12	0.142625
EIF1AY	-4.78636363636364
LRRIQ1	-0.5995
GPR150	-0.08525
CCDC21	-2.0255
PRRG3	0.46775
SAA4	-1.7695
RAPGEF5	1.601625
ZCCHC2	-0.382416666666667
MGC39372	0.892
PPP4R2	0.408333333333333
CDCA2	-2.02116666666667
OR4D5	0.380833333333333
PTGFRN	0.993
SIGLEC5	2.5655
C19orf61	-0.559666666666667
NMUR2	0.8735
KIAA1586	-0.666166666666667
DAGLA	-0.5615
CHCHD6	-0.17075
GPR32	0.883
NEUROD6	-0.0456666666666667
SLC2A4RG	0.2515
CA5B	0.774
FBXL3	1.68475
MPHOSPH9	-1.6685
HMG2L1	-0.0015
HCN4	-0.157
CEACAM19	-0.58925
SH2D4B	0.327
HFE2	-0.9175
TGM4	-0.28675
LYPD2	-0.27025
TBC1D15	0.22625
MRPS21	0.5462
NONO	-0.4988
CLEC5A	1.1235
ITCH	-0.1936
MGAT3	-0.2145
MBP	0.108625
RPP25	-0.6245
SOSTDC1	1.81075
HRC	-0.58575
TRIM48	0.302
TMEM133	0.04375
ECEL1P2	-1.66475
HOXC11	0.1555
DOK5	0.81625
HELZ	0.209333333333333
LOC348180	-1.5325
MGC33894	-0.1645
ADRB3	0.264
DMD	0.2505
PTRH2	-1.41425
MPEG1	3.63916666666667
NDUFA12	0.222
KRTAP2-4	-0.0535833333333333
STAMBPL1	-0.5562
ADCY2	1.772
UNQ6125	0.967
KLHL20	0.6345
SRM	-1.39625
OTC	-0.037
TMIE	-0.156666666666667
SNX8	0.2395
LIPK	1.88
CHURC1	-0.234083333333333
KLC2	0.150333333333333
HDAC1	-0.554666666666667
FAM128A	0.370666666666667
FNDC3B	-0.0193
MTCP1	-0.415
WFDC10B	-0.1325
PCDHGB3	0.9315
ATRNL1	-1.7888
CAV2	0.45375
MED26	0.065
DUS1L	-0.46325
CHRM3	-1.762625
NEK9	-0.03025
WARS2	0.87825
TBX22	0.582
TOMM40	-1.366
RP6-213H19.1	-1.587
TUBGCP5	-0.74875
IGSF6	5.688
TPPP	-0.0245
UNQ6190	-0.3485
GSTM5	2.735
BTD	0.8615
PDCD1LG2	0.819166666666667
SNRPB2	-0.3015
ERICH1	0.38575
APOA4	-1.28014285714286
HOXA11	-1.7385
NARG1	-0.28575
MKX	0.345
RAB28	0.0556428571428572
PKP3	0.547
SH3GL2	-2.1065
CTSO	3.55475
RPN2	0.6640625
IL28RA	0.392666666666667
SFMBT1	0.7685
WDR57	-0.6325
FER1L3	0.48025
HSF5	-0.199
TTC9B	0.06475
C4BPA	-2.93666666666667
ALB	-2.46514285714286
SORBS3	0.613
UPF2	-0.3585
JPH1	0.263
AGBL2	-1.1415
DOPEY1	1.226
TERF1	-0.4055
KIF22	-1.19916666666667
NINJ1	1.329
SEC61A2	-1.23758333333333
HIST1H1D	-1.308
SFXN4	0.021375
UCP3	0.0307
ZNF703	0.5365
MYL6B	-0.4675
TREM1	1.19825
OR52E6	0.669
CKMT2	3.9615
HLA-C	2.5375
SLC13A3	0.540833333333333
TIMP4	0.77675
SLIT2	3.35625
RSF1	0.2435
LONRF1	-0.479357142857143
MON1A	-0.0688333333333333
CACNG6	-2.145
DPPA4	-5.24583333333333
ZSWIM3	0.18775
ZNF804A	-0.300166666666667
CCIN	1.63575
SLC25A31	0.766666666666667
KCNMB4	0.075
RABL5	0.7185
GALNS	-0.7298
STX6	0.89125
HIST1H1C	-2.132
CIDEB	0.245875
CASP4	1.04966666666667
PDK3	0.4751
KCNJ11	0.926
TPR	-0.2705
ZSCAN20	-0.6885
MTX2	-0.098
HIST1H2BH	-0.42425
LOC283767	0.068
LYRM7	-1.01244444444444
BRD3	-0.851
HIST1H2BO	-0.5625
MAGEB10	-0.876
SLC45A1	0.4005
SERPINA3	1.16425
KIAA0143	1.0365
KCNJ16	4.1118
KRT79	0.15275
FABP2	-1.78875
NUT	0.14175
ZNF57	0.17275
FBXL4	0.25125
CLEC9A	2.1505
UGT8	-0.905833333333333
BMP2K	0.46975
MAPK4	-2.97875
SLC25A23	-0.786
HINT1	0.5181
KRTAP13-1	0.6475
SFXN5	-0.9061
CHCHD2	0.075
FAM3D	3.5105
NDP	-1.563625
RHOBTB1	-0.191833333333333
SLC4A4	-0.22375
RPL38	0.158
HTF9C	-1.2105
AP2A2	0.797875
ZBTB46	-0.2905
MAP7D1	-0.312
AOX1	-0.345166666666667
CYR61	1.59358333333333
DTNA	-1.06235714285714
JRKL	0.39275
TMOD3	-0.21275
EEA1	0.1388
ADCK5	-0.95725
IL1R1	2.57116666666667
KLK3	0.213153846153846
HRSP12	-0.4135
KTN1	0.05625
LOH11CR2A	1.113
RELL2	-1.7695
MAB21L1	2.05225
C20orf59	-1.41283333333333
PHKB	-0.00025
ADAM2	-2.256
TBC1D8B	1.57083333333333
FAM13A1	-0.4855
LAPTM4B	-1.10725
LCN8	0.3635
TMEM147	0.7185
SYT4	0.28675
XPO7	-1.0535
C9orf62	0.1845
GPR75	-0.573
TRIM5	0.376625
APOC1	-0.215
RNASE4	2.07933333333333
PARD6B	-1.785375
ARID1A	-0.227916666666667
TPD52L3	-0.0407777777777778
RRAGB	0.769
RCN2	-0.743833333333333
HIST2H2BE	-0.434125
STARD7	-0.28325
SHMT2	-1.22425
KIAA1751	-0.0178333333333333
MLYCD	0.1315
LOC162632	-1.7258
UQCRH	-1.04775
RP11-217H1.1	0.8251875
SDHA	-1.09866666666667
NCLN	-0.6768
ZNF17	1.01716666666667
RCBTB2	-0.469
VEGFB	0.1603
RP4-747L4.3	0.591
COLQ	-0.0691
MPN2	-1.25466666666667
DRG2	-0.77375
KLRB1	7.21075
ALPK2	-2.29525
DNASE2B	4.00225
FLJ23834	-1.2584
AXUD1	0.494333333333333
SAFB	-0.6051
NSUN4	-0.424
RFX2	-0.300833333333333
MAPK8IP1	-0.6955
FANCD2	-1.29085714285714
ANKZF1	-1.1085
C19orf50	-0.64025
DUSP8	0.8
SENP5	0.032875
NFKBIL2	-0.8535
LBR	-0.63075
IGFL1	1.1625
LZTS2	-0.138125
IL2RG	-0.0035
CCDC51	-0.38525
KLF3	0.63575
ANKRD37	-1.08075
KCTD14	0.293666666666667
FZR1	-0.193333333333333
SLC44A4	3.8965
ESPL1	-1.166
GMPR2	0.0103
TBC1D19	-0.2235
ERGIC1	0.61037037037037
ERBB4	4.0085
TSPAN32	0.818
MAP4	-0.69525
GPHN	-1.007
SLC6A2	-0.040125
HIVEP1	0.62025
DFFB	-0.5727
EIF4EBP2	0.869375
DMRT1	-0.102
HSPB6	0.158
IER2	0.587166666666667
AIFM1	-0.373
WWC2	-0.10275
MRPL4	-0.92025
FLJ21062	1.02466666666667
EPB41L4A	1.53258333333333
SH2D6	0.256
TAF4B	-1.40525
GAL3ST3	-0.767
MALT1	-1.086
RTDR1	-0.083
ARVCF	-0.494625
MEX3B	0.1815
FBXO16	1.62175
KIF7	-1.669
C1QC	4.39366666666667
ZNF783	-0.988666666666667
ZNF85	0.168
MMP13	2.4695
KIAA0329	0.5175
RTP3	-0.009
ZBED3	0.0105
CLGN	2.4745
SLC25A37	-0.869041666666667
hCG_18290	0.7265
OR5AS1	0.29
SMARCC2	-0.118
FAM109A	-0.395333333333333
CCDC12	-0.277
USF2	0.1539
DEPDC7	-1.53075
C20orf24	-0.6545
JMJD3	-0.397
DSP	0.609428571428571
SLIC1	0.89775
FAM20A	2.106125
IRF2BP2	0.20725
ZNF230	0.3535
MSN	-0.544785714285714
SLC9A5	-1.762
EPDR1	-1.6206
MUSK	-0.340833333333333
ZNF434	0.315
SMARCD1	-0.590833333333333
ZFP106	0.65175
ZNF347	-0.0992
GTF2E1	0.45325
