Hybridization REF	TCGA-A2-A0CL-01A-11R-A115-07
SLC23A1	-0.9155
RBM4B	0.0605
THAP4	-0.135833333333333
OGFRL1	0.60325
KIAA0831	-0.085875
PPP1R15A	0.1265
C1orf96	-0.2425
C12orf11	-0.9595
BMF	1.032
MAN1A1	-0.06275
KIAA1600	1.12033333333333
NLGN4X	-1.32925
ALOX12	-1.68133333333333
RB1CC1	0.2527
NEIL2	-0.3533
EIF4E	0.0215454545454546
ABHD5	-0.82625
EXOC4	-0.364833333333333
CIP29	-0.269666666666667
BATF2	1.96225
SLC29A4	-0.42275
HTR4	0.481
EMB	1.13225
TRAF6	1.17575
LMNB1	-1.01525
FAM19A5	-1.79075
SHE	2.44525
PIK3C2B	1.243
C15orf15	-0.8518
USP15	0.6756
TCEAL2	0.91875
C5orf39	0.4385
PTGER2	0.44175
SLC31A1	-0.4314375
IFT172	-0.313
ADAM29	-0.06175
GFOD1	0.44075
ST7L	0.356333333333333
C15orf26	-3.16075
PKN3	-1.52675
CNTD1	1.75383333333333
COMMD1	0.108125
NTRK2	3.56816666666667
FOXN3	0.72125
MFGE8	0.3879
PFKFB2	0.221
TAS2R4	-0.2055
ENTHD1	3.521
PRMT5	-0.879625
MGC16384	0.55175
LOC442229	-0.1205
TSKU	1.44
KRTCAP3	2.18675
PDLIM1	0.5768
KCNS2	0.3955
RNF126	-0.346666666666667
CEP63	-0.0315
CLIC4	0.561
hCG_1990170	0.749
ACR	0.3987
KLK7	0.229
ALOX5AP	3.38875
RIPK3	2.931
TAS2R9	0.138
C19orf18	0.5555
BIRC6	0.668571428571428
ZNF16	-0.017
RFT1	-0.46775
SLC8A2	-0.96575
TACC1	0.987
ITGAD	1.91075
SAMHD1	2.81625
SH3PXD2B	0.905
EPC2	0.418
C20orf85	-0.09475
ATP13A2	0.561333333333333
KRT4	0.1005
CAPNS1	0.19275
MDM2	-0.679083333333333
PCDH20	0.587
KCNK9	0.136
OR2C1	-0.2335
KLHDC3	-0.689333333333333
IPPK	-0.1715
EFHD2	0.276625
GALR3	-0.58475
NBEA	1.39483333333333
ABCA6	4.3428
CLDN3	1.5005
AKT2	-0.331285714285714
EGFR	-1.6438
RBM16	0.049125
ZDHHC3	-0.1887
SLC25A4	-0.902833333333333
CYB5B	-0.539
CPXM1	0.2125
NDRG1	-0.889923076923077
FLJ43826	0.55
OR5L2	0.182
FARP2	0.6097
MRPL46	-0.764083333333333
LDHAL6B	0.340833333333333
MAPKAPK3	-0.387833333333333
NCAM2	1.59325
PRKD2	0.555833333333333
ZFP36L1	1.0018
CYSLTR1	1.5025
OR4C3	0.06675
HIST1H2AJ	0.9575
CCNB2	-1.64666666666667
ZNF10	0.252375
TMEM175	0.1785
FAM134A	0.263
TIGD4	0.1045
PCNP	-0.3825
MGC39715	1.32575
LQK1	-0.30375
CREB1	1.3006
TMPRSS3	-2.1625
C4orf32	1.385125
LAT	0.3615
KCNA3	2.1215
SKIV2L2	-0.78675
ROPN1B	-2.57075
tcag7.23	-0.2315
CDT1	-2.3115
ZHX2	1.105
CD28	0.2065
ZNF624	1.2965
SEPT2	0.34275
SOHLH2	-2.931125
MCOLN3	-1.24025
UNQ1945	0.094
MASP2	-1.624
ZNRF3	0.1951
GPATCH3	-0.25525
AGL	1.498375
QRICH2	-0.369
PSD4	1.196
CCNB1IP1	-1.34925
ENPP7	-0.511
OBFC1	0.08875
KCNG3	-0.425
C14orf79	-0.405416666666667
ENPEP	1.7905
SCT	1.9225
SKI	0.246875
SEC61G	-0.1435
CAPN11	1.23625
ATXN7L3	-0.1085
DBNDD1	-0.183333333333333
FAIM	2.89425
ANKRD36	0.22
GABRP	2.996
TACSTD2	0.987666666666667
EIF3J	-0.5895
PPP2R2A	-0.36675
TEKT4	0.0316666666666667
PVALB	1.6875
F10	-1.76283333333333
FAM134C	0.4717
COMP	3.169375
EFCBP1	-2.30106666666667
SCLT1	1.206375
TAL1	-0.872
ACSL1	1.982
ABCC5	0.18825
ABL1	-0.636944444444444
RBBP7	0.487083333333333
PTPRG	-0.5725
NCOR1	0.3324
SPINK4	-2.156
TXNRD1	-1.1933
TNRC15	0.498375
C9orf138	0.81275
UBE2H	0.895833333333333
BRDT	3.34266666666667
C8orf31	1.02675
CCNE2	0.0726363636363637
SLC6A8	-1.52025
CALCR	-3.69025
PPP1CB	0.380833333333333
ABHD8	-0.02475
ARF5	0.7128
SLC24A4	2.06175
CCT3	-0.2975
ZNF121	1.14725
SLC3A2	-0.6071
OR13A1	0.1735
SLC5A10	0.76525
RAD50	0.252125
IER5	-0.317625
MTHFD1L	-1.165125
MBTPS2	0.72775
MVK	-0.581125
NCL	-0.3018
PSMD10	0.17275
MOBP	0.053
FLJ32894	0.1035
HRH1	-0.346833333333333
C5orf30	1.4125
NUDT16L1	0.0378
RASGRP3	4.294
PRKRIP1	-0.1284
CCDC75	0.54575
LOC253970	0.1005
KIAA1239	2.748
MED21	-0.846
SYT11	1.22783333333333
NTSR2	-0.569
EGFL11	0.1645
CXorf59	2.9505
OR2A25	0.011
SPTBN2	-1.4385
LRMP	0.504833333333333
RNF111	0.1615
PTH	-0.3755
LOC619208	0.170333333333333
KIAA0895	0.54025
RANBP5	-1.0945
P2RY10	4.0035
NME5	0.973833333333333
DDX21	-0.75775
LRSAM1	0.3795
HDAC11	-0.232333333333333
VMO1	1.6655
NOLA2	-0.0861666666666667
ADAR	0.832166666666667
MTO1	-0.243
SF4	0.015
P2RX1	1.267
HBM	-0.0355
EN2	-0.658
C14orf172	-0.063
TM9SF2	0.1576
INHBE	-1.93516666666667
TCTE3	-0.40125
TOX2	-1.02925
CTAGE3	0.555625
HBB	2.4673
MED15	-0.354333333333333
CASR	0.4165
C6orf66	-0.554
MTPN	0.455125
UNC50	0.17025
C21orf33	-0.484625
IRF2	1.1215
PGR	-1.27316666666667
GPR84	2.748
CROCCL1	-1.01475
SRPX	-0.5615
BRE	0.2335
FGF10	2.31325
SDC3	0.243166666666667
ZRSR1	0.927833333333333
DKFZP434P211	0.175
SOX6	-1.3755
RPUSD2	-0.569
C14orf173	-0.225916666666667
MAPK11	-0.588666666666667
TBC1D22A	0.5625
FAM123A	-0.609
COL4A6	-2.46183333333333
TOMM70A	-0.28675
NAB1	0.24875
MGC16385	0.0765
TSPAN18	0.515833333333333
MED31	0.01975
PLG	-0.794
CAPSL	1.043
ZNF532	1.145
ASB14	0.0675
CA8	-3.3955
NUDT16P	0.794333333333333
SLFN11	0.336
LRRIQ2	-0.174375
NOL7	-0.430666666666667
BRMS1L	0.046875
JARID1A	0.483333333333333
PANK2	0.4865
ICAM3	0.6235
MDS1	-0.27625
TAF8	-0.45125
RNF139	0.69475
ZNF594	-0.235666666666667
ADAM8	2.371125
SFTPC	-0.29325
MAN2B2	0.585625
RGS12	-0.0168125
EIF1AY	-4.33808333333333
LRRIQ1	-2.16
GPR150	-0.51225
CCDC21	-1.25466666666667
PRRG3	0.17825
SAA4	-2.33625
RAPGEF5	1.24725
ZCCHC2	1.58308333333333
MGC39372	1.7475
PPP4R2	-0.182166666666667
CDCA2	-1.74
OR4D5	0.164666666666667
PTGFRN	0.7778
SIGLEC5	1.0035
C19orf61	-0.362166666666667
NMUR2	-0.003
KIAA1586	-1.338
DAGLA	1.01516666666667
CHCHD6	0.178
GPR32	0.3455
NEUROD6	-0.5065
SLC2A4RG	0.2998125
CA5B	1.69975
FBXL3	1.08875
MPHOSPH9	-0.70575
HMG2L1	0.61675
HCN4	-0.789166666666667
CEACAM19	-0.024
SH2D4B	1.05816666666667
HFE2	-1.294
TGM4	-0.591166666666667
LYPD2	-0.00025
TBC1D15	0.3395
MRPS21	-0.4741
NONO	-0.9596
CLEC5A	1.504375
ITCH	0.4815
MGAT3	0.068
MBP	-0.117625
RPP25	-1.02675
SOSTDC1	-1.56775
HRC	-1.504
TRIM48	-0.3425
TMEM133	0.13225
ECEL1P2	-1.6695
HOXC11	0.443
DOK5	-1.372
HELZ	0.310666666666667
LOC348180	-0.8235
MGC33894	0.18825
ADRB3	0.0195
DMD	-0.0292500000000001
PTRH2	-0.66825
MPEG1	3.0825
NDUFA12	0.0276666666666667
KRTAP2-4	-0.553583333333333
STAMBPL1	-0.457833333333333
ADCY2	-0.939
UNQ6125	0.292
KLHL20	1.06733333333333
SRM	-0.968
OTC	-0.02825
TMIE	0.6085
SNX8	-0.3515
LIPK	0.2265
CHURC1	1.0285
KLC2	0.3235
HDAC1	0.138333333333333
FAM128A	0.494833333333333
FNDC3B	-0.3885
MTCP1	0.261
WFDC10B	-0.1836
PCDHGB3	0.404
ATRNL1	-2.9514
CAV2	0.139875
MED26	-0.0405
DUS1L	-0.06825
CHRM3	-1.262
NEK9	0.2745
WARS2	0.33325
TBX22	-0.354
TOMM40	-0.56025
RP6-213H19.1	0.826
TUBGCP5	-0.34675
IGSF6	4.2425
TPPP	1.53933333333333
UNQ6190	-0.127
GSTM5	1.772375
BTD	-0.106833333333333
PDCD1LG2	2.0935
SNRPB2	0.025
ERICH1	0.317625
APOA4	-1.4695
HOXA11	-2.2985
NARG1	-0.260625
MKX	-1.0845
RAB28	-0.484071428571429
PKP3	0.6095
SH3GL2	-3.56475
CTSO	3.57825
RPN2	0.422375
IL28RA	1.025
SFMBT1	-0.12475
WDR57	-0.46825
FER1L3	1.163
HSF5	0.790166666666667
TTC9B	-0.26725
C4BPA	-3.66133333333333
ALB	-4.23678571428571
SORBS3	0.23
UPF2	0.442
JPH1	-1.133
AGBL2	-0.08275
DOPEY1	1.277
TERF1	-0.135583333333333
KIF22	-1.047
NINJ1	0.869
SEC61A2	0.820166666666667
HIST1H1D	-0.185833333333333
SFXN4	-0.520125
UCP3	0.1491
ZNF703	-0.032
MYL6B	-0.464
TREM1	1.8765
OR52E6	0.1225
CKMT2	1.90725
HLA-C	2.072875
SLC13A3	-2.156
TIMP4	-0.718
SLIT2	2.319
RSF1	1.36388888888889
LONRF1	-0.672928571428571
MON1A	-0.105166666666667
CACNG6	-1.07083333333333
DPPA4	-4.667
ZSWIM3	0.19625
ZNF804A	1.821
CCIN	1.699
SLC25A31	0.174
KCNMB4	-0.73725
RABL5	0.256
GALNS	0.024
STX6	0.717125
HIST1H1C	-2.513
CIDEB	0.46525
CASP4	0.945666666666667
PDK3	0.3709
KCNJ11	0.9195
TPR	-0.26775
ZSCAN20	-1.124
MTX2	0.2615
HIST1H2BH	-0.5165
LOC283767	1.94325
LYRM7	-1.30377777777778
BRD3	-0.0811666666666667
HIST1H2BO	-1.18425
MAGEB10	0.2405
SLC45A1	0.48625
SERPINA3	-1.2108
KIAA0143	1.272
KCNJ16	-0.300666666666667
KRT79	-0.19975
FABP2	-1.57275
NUT	-0.433
ZNF57	-0.21825
FBXL4	0.244375
CLEC9A	2.8
UGT8	-0.328166666666667
BMP2K	1.24325
MAPK4	-3.679
SLC25A23	-0.5377
HINT1	-0.7373
KRTAP13-1	0.15
SFXN5	0.5842
CHCHD2	-0.0698333333333333
FAM3D	1.2665
NDP	-1.505375
RHOBTB1	1.61166666666667
SLC4A4	-1.255375
RPL38	0.1495
HTF9C	-0.609166666666667
AP2A2	0.025875
ZBTB46	-0.4215
MAP7D1	0.32275
AOX1	-0.662666666666667
CYR61	1.54808333333333
DTNA	-1.408
JRKL	-0.47825
TMOD3	-0.1215
EEA1	0.5161
ADCK5	0.00625
IL1R1	1.6745
KLK3	0.358142857142857
HRSP12	0.025
KTN1	0.23
LOH11CR2A	0.0857000000000001
RELL2	-0.19425
MAB21L1	2.22225
C20orf59	-1.33733333333333
PHKB	0.4585
ADAM2	-3.36716666666667
TBC1D8B	0.475333333333333
FAM13A1	-0.372875
LAPTM4B	0.570083333333333
LCN8	0.1
TMEM147	0.5075
SYT4	0.051
XPO7	-0.711
C9orf62	-0.74825
GPR75	0.2785
TRIM5	0.95375
APOC1	0.219666666666667
RNASE4	0.434
PARD6B	-1.41025
ARID1A	0.411083333333333
TPD52L3	0.1712
RRAGB	1.3915
RCN2	-0.7895
HIST2H2BE	-1.6313125
STARD7	-0.29175
SHMT2	-1.057
KIAA1751	-0.1055
MLYCD	-0.10875
LOC162632	-1.1461
UQCRH	-1.13125
RP11-217H1.1	0.5381875
SDHA	-1.1355
NCLN	-0.3903
ZNF17	0.431666666666667
RCBTB2	-1.10175
VEGFB	-0.3439
RP4-747L4.3	-0.06875
COLQ	0.5044
MPN2	-0.7735
DRG2	-0.0885
KLRB1	6.19575
ALPK2	-3.32825
DNASE2B	0.99275
FLJ23834	2.255
AXUD1	1.22516666666667
SAFB	-0.0845
NSUN4	-0.1135
RFX2	0.3035
MAPK8IP1	0.442833333333333
FANCD2	-0.911857142857143
ANKZF1	-1.28383333333333
C19orf50	-0.1355
DUSP8	0.960125
SENP5	0.136875
NFKBIL2	-0.53675
LBR	-1.0425
IGFL1	0.246
LZTS2	-0.0465
IL2RG	1.85525
CCDC51	-1.05525
KLF3	0.174
ANKRD37	-1.38975
KCTD14	-0.632166666666667
FZR1	-0.0821666666666667
SLC44A4	-0.6111
ESPL1	-0.883375
GMPR2	-0.109
TBC1D19	-0.794666666666667
ERGIC1	-0.287148148148148
ERBB4	-0.6193
TSPAN32	1.49058333333333
MAP4	-0.22275
GPHN	-0.75975
SLC6A2	-0.782875
HIVEP1	1.12225
DFFB	-0.3486
EIF4EBP2	0.554625
DMRT1	-1.20775
HSPB6	0.0885
IER2	0.535166666666667
AIFM1	0.165
WWC2	-0.309166666666667
MRPL4	-0.183
FLJ21062	0.503
EPB41L4A	1.15441666666667
SH2D6	0.2105
TAF4B	-0.273
GAL3ST3	-0.4865
MALT1	0.653166666666667
RTDR1	-0.45775
ARVCF	-0.47625
MEX3B	-1.06566666666667
FBXO16	-0.185
KIF7	-0.87375
C1QC	2.9975
ZNF783	0.243
ZNF85	0.83375
MMP13	2.762
KIAA0329	-0.185875
RTP3	-0.4635
ZBED3	-0.87475
CLGN	-4.29625
SLC25A37	-1.58525
hCG_18290	-0.34475
OR5AS1	0.128
SMARCC2	-0.183416666666667
FAM109A	-0.391333333333333
CCDC12	-0.084
USF2	0.2763
DEPDC7	-2.75775
C20orf24	0.262
JMJD3	0.797
DSP	0.0595714285714286
SLIC1	1.07575
FAM20A	1.885875
IRF2BP2	0.960125
ZNF230	0.3225
MSN	0.123285714285714
SLC9A5	0.19
EPDR1	-1.9099
MUSK	0.166166666666667
ZNF434	-0.110833333333333
SMARCD1	-0.559666666666667
ZFP106	-0.33775
ZNF347	0.7729
