Hybridization REF	TCGA-E2-A15F-01A-11R-A115-07
TNNT3	0.734333333333333
GYPC	-1.5225
C7orf33	0.9295
PLIN	4.1905
LOC90826	0.79825
RNF4	0.5721
F8A1	-0.0285
PLEKHG4	-2.69
GRB2	-0.60795
HIST1H2AD	-0.336
DUS3L	-1.07216666666667
EIF1	-0.319666666666667
RP5-1077B9.4	-1.05983333333333
FPGT	1.81
GDF10	1.79033333333333
COQ9	0.26375
GCC2	0.151714285714286
RARRES3	3.019125
PLXNA1	-0.7677
KIAA0100	-0.421
PMF1	-0.56475
FNDC1	5.36225
HS2ST1	-0.984
CRELD2	0.23875
C8G	-1.778
CD82	0.2515
LIM2	-0.616
UNQ6490	-0.936
MMP16	0.33025
DRD3	-0.2115
C5orf26	-0.681
C11orf73	0.906625
PTP4A2	1.04075
OR4M2	-0.0585
HPCA	-1.46533333333333
SEC14L1	-0.628666666666667
CHFR	-0.164
EMILIN1	0.698375
NDUFS4	0.32775
COL18A1	-0.771
PDZD3	-0.242111111111111
C9orf16	-0.659333333333333
ERBB2IP	0.2825
EMX2	1.896
FUS	-1.0175
TF	-3.4104
CLCN4	-1.3205
CXorf56	0.53625
C11orf72	0.171
ELAC2	-0.151333333333333
NPR1	-1.28625
ASS1	-1.73716666666667
USP42	-0.167125
POLR2J	-0.4225
SEC23IP	0.822166666666667
UQCRC1	-0.26875
LOC729603	-1.96425
C1orf71	-0.53675
POLG	-1.574
ADAM23	-3.36275
TFR2	-1.2285
RICTOR	-0.5517
MGC39606	0.07425
C19orf55	-0.244875
SNAPC1	-1.681
GNA11	-0.15225
CCDC52	0.443166666666667
FSIP1	4.6595
UPF3A	-0.173875
IGSF11	-1.51316666666667
LAGE3	-1.03075
CHST6	-1.438
UNC13B	-0.721875
TTLL4	-1.357
ZNF687	0.226
SDC2	0.824
COX7A2	-0.33875
LAMB4	-1.16675
FAM24A	0.107
LRRTM3	-1.3808
GPHB5	0.53825
OR4C13	-0.12
EIF3EIP	0.0175
HABP4	-0.8365
TMEM125	3.925
CNTN2	0.652125
ASNSD1	0.23275
FUT4	-1.13425
ACF	-3.56175
LOC158381	1.7665
CDH8	0.31725
AGPS	-0.890166666666667
C4orf18	4.152625
PECI	-0.211
UNG	-0.211375
GSTP1	-2.284875
DCUN1D5	-1.38533333333333
DKFZP564J0863	-1.21725
SLC9A3R1	1.674875
BCDO2	0.035375
CHMP7	-0.754
REM2	0.3475
DNHD1	-0.491625
FKBP4	-0.02875
ZNF350	2.24625
MGC11102	1.103375
BST1	1.20775
KISS1R	0.463
NCR2	-0.427
DEFB125	1.173
UBE2W	1.390625
KRT15	1.91575
C10orf99	0.0895
SCN11A	0.205
GFI1	-2.04925
RDHE2	3.37766666666667
FHL1	-1.34266666666667
OSGEP	-0.0323333333333333
GATA1	-3.33633333333333
SMC6	-1.5185
TTTY14	-0.93225
LPIN3	-0.39325
RPL4	-0.4344
RBPMS	-0.6336
PRPF3	0.0718333333333333
EMR1	-0.485
SPATA19	-0.1025
XCR1	0.581
IRX3	1.9824
RBM6	-0.37875
KLF4	-1.4377
UNC5CL	-1.02125
SEBOX	0.8835
BTK	-0.07775
KRCC1	2.5085
C6orf27	0.368
SYTL5	-0.5375
PRND	2.293875
LOC653319	-1.048
PIGL	-0.022
HUS1	0.3955
SFRS6	-0.249916666666667
C17orf77	0.1185
UIMC1	0.108666666666667
FXYD2	-1.817
LOC283152	1.72175
ZNF667	-2.429
ZCCHC12	-0.566
TFEC	3.4822
ATP7B	-0.074
POLD2	-0.909
RG9MTD1	0.7215
ACOT2	0.3325
HIST1H4I	-2.022625
PPARGC1A	-2.0359
ETFA	-0.6451
POLRMT	-0.31875
ZNF146	0.39025
MIA2	-4.87
KLHL6	-0.631666666666667
HOXB5	-0.055375
NENF	1.59416666666667
CUGBP1	0.04775
PRSS22	1.51766666666667
CASC4	1.0529
CUL4B	0.0672
CENPJ	-1.3727
PITX1	-1.599
FLJ31033	2.17116666666667
CELSR3	-1.61283333333333
ZNF568	2.56925
ITSN1	-0.2225
EHBP1L1	-1.03
C19orf2	-0.01425
DCTN1	-0.80825
LIN28B	-4.8725
TNKS2	-1.94225
C1QBP	0.614625
CADPS2	1.39525
SRMS	0.59025
GJA9	0.328833333333333
MGC24975	-0.617833333333333
TRIM45	0.0768333333333333
TSP50	1.18775
TCP1	-0.95375
TMED7	0.8785
CMA1	0.402
CENPL	-1.5755
PTCRA	-0.0555
FST	-3.1275
VWCE	-3.43125
PAWR	-1.24075
ABCC12	0.5928
LDLR	-1.8621
ASTN2	0.8457
LOC441212	-0.109
GPATCH8	-0.05275
TANC2	-1.22133333333333
KIF4A	-1.84675
C18orf18	-0.34325
PGM1	-0.15925
KIAA0258	0.4905
CPD	1.480125
SNCAIP	-0.4085
DCT	-4.13866666666667
HLA-DOA	2.76836363636364
OR11L1	0.4395
UPK1B	-0.487
DNAJB4	0.718625
UGT1A8	-0.62875
HIST1H4L	-3.5265
PECR	0.006
HSPA2	2.514
WFIKKN1	-1.6685
SERP1	1.61575
SYDE2	0.362
TACR2	0.481
NUP85	-0.34275
CD177	-0.412333333333333
LGR5	-2.096
PIGG	0.174583333333333
PTHR1	-1.80283333333333
RAB5A	0.7511
FLJ13224	-0.3505
USP9Y	-2.0706
C7orf53	-0.0045
LRP1B	1.865
XAF1	2.1131
ABCG8	-0.225
ANKDD1A	-0.133833333333333
DAND5	-2.454
SPAG6	1.05683333333333
LINCR	0.805
ZDHHC22	-0.960375
CCDC60	-0.849
THOC7	-0.605666666666667
TCTA	1.5848
OR8K3	0.527
NY-REN-7	-1.234
B2M	2.1105
C6orf141	-1.301
LPPR4	1.8755
SQLE	0.5335
SEPHS1	-0.48825
BTBD14B	-0.0137857142857143
PLRG1	-0.106
SPG7	-1.1218125
ZNF614	0.469166666666667
PARD6G	0.0985
INPP5B	-0.7905
GRPEL2	0.506625
PPID	0.1549
TRIM56	-0.43675
UBE2J1	-0.635
IL20RA	5.5185
LOC387856	0.0955
C1orf107	0.229
UTS2R	-0.944
C19orf22	-0.60975
SAFB2	-0.972875
KIAA0652	-0.368125
KLRG1	-0.161833333333333
MS4A8B	4.9025
FRAG1	0.37575
KIAA1546	-0.11825
E2F4	-1.5528
CLEC4M	-0.104166666666667
BTBD14A	-0.54775
KIAA0999	1.531
GYPA	-4.50333333333333
TAC1	3.8384
TRAIP	-1.06216666666667
KIAA0232	1.5259
ERCC8	-0.8865
GPX4	1.3605
KIAA0368	0.5515
GPR157	-0.596833333333333
CTAGE4	1.78
C9orf30	-1.31266666666667
OR52A1	0.1545
HSP90B3P	0.141
ALG9	-0.4488
BTBD10	0.90825
SDK2	-0.47625
BAIAP3	1.22125
RABGGTB	0.0905
ANKRD40	-0.254
KRT74	0.356
CALCOCO2	0.670071428571429
SNCA	-2.961
TMSL8	-1.665375
C2orf53	0.373
ESRRB	-0.48575
ARHGAP26	-1.196
TDRD9	-2.657
HRAS	0.2865
KLRC4	-1.9355
JAGN1	-0.0703333333333333
BSDC1	1.22575
RNF43	0.2408
NDUFAF1	1.5055
PHF12	0.2495
OR1L3	-0.079
FOLR2	1.27308333333333
LYZL6	-0.0148333333333333
tcag7.1260	-1.486
WSB1	-1.33116666666667
PROS1	-1.0046
OSTN	0.7415
PSMB8	0.66325
SOCS4	-0.657125
DDIT4L	1.5395
MAS1	-0.534
MGC34796	2.30175
CSHL1	0.259833333333333
TBCCD1	-0.177166666666667
ZBTB7C	-0.0695
AP2S1	0.41175
P15RS	0.8017
VAT1	-1.0979
SHANK3	0.528166666666667
TUFM	-0.901166666666667
THEG	1.4425
KRT34	-1.7485
SGSM3	-1.233125
TOMM22	-1.34275
SOCS3	1.51366666666667
CPO	1.157
POP4	0.923
BHLHB3	0.837
MALL	2.2975
OR1B1	0.4855
PARK2	-0.104
GPR124	-0.179625
LCE1E	-0.3765
RUVBL2	-0.7515
CGRRF1	0.2815
ACPL2	1.0395
WNT10B	-2.038875
BAIAP2L2	-1.744
ISCA1	0.468
C1orf125	0.584125
RPAP1	-0.08175
RAI16	-0.3795
RPL27	-0.0625
NLRP9	0.0665
EPN1	0.5505
LOC388610	-0.3365
SLC35A1	0.6093
GAL	-3.65225
SLC14A2	0.4495
RDH11	-0.492833333333333
FAM138F	0.0345
AUH	0.6355
FLJ40243	0.23325
C14orf129	-0.0955
MBD2	-0.362333333333333
ABHD14B	-0.74775
PIGT	1.094125
ALS2CR4	0.165125
ALAS1	-0.1852
FOXO1	0.6995
CRLF3	-0.18275
C20orf107	-0.183
FARS2	0.133
CCDC28A	0.4715
NPHP3	-0.84625
OR13F1	0.4355
TSEN54	-0.67625
DEFB106B	0.385
OR8B4	0.6645
STH	2.798
ZC3H14	-0.597875
CBX2	-0.417
TMEM49	-1.21175
C6orf21	0.333
FLJ20920	-0.88325
CRTAP	0.269785714285714
DDX50	0.1585
STYXL1	0.29875
BLVRB	1.42133333333333
LOC147650	1.05866666666667
MMP24	0.87825
GRID1	1.91083333333333
BANF1	-0.855166666666667
CTAGEP	0.20525
HMBS	-2.30925
SLC25A24	0.7605
C14orf50	2.18925
MRO	1.35616666666667
SLC25A15	0.2075
FAM84B	1.8141
TDP1	-1.0885
C16orf78	0.247166666666667
C11orf57	-0.70625
RFK	-0.68
ZFYVE9	0.233625
STCH	-0.5575
WIBG	0.48275
LOC283871	0.405
GBA2	-0.8308
NDUFB3	1.48875
HSD17B13	-1.94225
GRIN3A	1.18066666666667
FMNL1	-1.65333333333333
SEPT7	-0.6853
GNLY	2.5165
GRAMD1C	0.826666666666667
ZNF165	0.83175
USP38	1.19475
FAM83A	-3.389
C14orf24	0.560083333333333
ARMCX3	1.372625
ARHGDIB	-0.163166666666667
AK1	-0.095625
KIAA1045	-0.0275000000000001
DNAJB13	-0.8535
NEU2	0.629
HIST1H4B	-2.36683333333333
FAM20B	-0.0757
HES2	1.55842857142857
FAM73B	-1.0255
LOC388381	0.26375
INTS7	-0.610636363636364
AMPH	2.8925
ZNF775	-0.424375
UCKL1	-0.939666666666667
C10orf97	0.71625
C1orf161	0.12725
ALDH1L1	-0.1755
FLJ39378	0.18025
SLC23A1	-1.1595
RBM4B	0.171
THAP4	0.0148333333333333
OGFRL1	0.1185
KIAA0831	-0.110375
PPP1R15A	-0.852333333333333
C1orf96	0.102714285714286
C12orf11	-1.6305
BMF	-0.311
MAN1A1	-0.3165
KIAA1600	0.424333333333333
NLGN4X	-1.45825
ALOX12	-1.50716666666667
RB1CC1	0.731
NEIL2	0.8813
EIF4E	1.08890909090909
ABHD5	0.731
EXOC4	-0.5685
CIP29	0.662
BATF2	2.5235
SLC29A4	-1.070125
HTR4	0.45725
EMB	0.7435
TRAF6	1.207
LMNB1	-2.53975
FAM19A5	0.154125
SHE	1.77075
PIK3C2B	1.3705
C15orf15	-0.2285
USP15	-0.1327
TCEAL2	2.2335
C5orf39	-0.9245
PTGER2	-0.07225
SLC31A1	-1.2438125
IFT172	0.576
ADAM29	0.463
GFOD1	-0.38575
ST7L	0.677166666666667
C15orf26	-2.15925
PKN3	-1.67975
CNTD1	3.38666666666667
COMMD1	0.6195
NTRK2	4.8635
FOXN3	-0.784625
MFGE8	-1.3376
PFKFB2	1.38716666666667
TAS2R4	-0.704
ENTHD1	0.76
PRMT5	-1.710875
MGC16384	-1.252375
LOC442229	-0.2085
TSKU	0.760875
KRTCAP3	3.194125
PDLIM1	0.8207
KCNS2	0.237
RNF126	-0.214666666666667
CEP63	0.056875
CLIC4	-0.56325
hCG_1990170	-0.67775
ACR	0.6512
KLK7	2.715
ALOX5AP	3.3305
RIPK3	3.93275
TAS2R9	-0.075
C19orf18	1.6745
BIRC6	0.297928571428571
ZNF16	1.208
RFT1	-0.65325
SLC8A2	-0.933
TACC1	-0.7075
ITGAD	1.23225
SAMHD1	1.07475
SH3PXD2B	0.2124
EPC2	1.56025
C20orf85	4.114
ATP13A2	-0.448833333333333
KRT4	0.051875
CAPNS1	-0.1665
MDM2	0.842166666666667
PCDH20	4.642
KCNK9	1.368
OR2C1	0.0405
KLHDC3	-1.871
IPPK	0.719
EFHD2	-0.448875
GALR3	-1.0985
NBEA	1.05983333333333
ABCA6	2.992
CLDN3	1.38316666666667
AKT2	-0.468142857142857
EGFR	-1.5787
RBM16	0.204875
ZDHHC3	0.1433
SLC25A4	0.254833333333333
CYB5B	-0.868
CPXM1	-1.49025
NDRG1	-1.00776923076923
FLJ43826	-0.15175
OR5L2	0.8566
FARP2	0.4129
MRPL46	0.641583333333333
LDHAL6B	-0.316833333333333
MAPKAPK3	-0.293166666666667
NCAM2	-1.74475
PRKD2	0.369
ZFP36L1	0.7019
CYSLTR1	-0.45775
OR4C3	0.02925
HIST1H2AJ	2.9065
CCNB2	-1.74655555555556
ZNF10	0.73925
TMEM175	0.151
FAM134A	0.777833333333333
TIGD4	0.6635
PCNP	-0.11875
MGC39715	0.18375
LQK1	-1.921
CREB1	-0.0438
TMPRSS3	-1.70175
C4orf32	0.874
LAT	-1.55125
KCNA3	-1.83
SKIV2L2	-0.25025
ROPN1B	-2.90925
tcag7.23	0.0225
CDT1	-3.1975
ZHX2	0.490375
CD28	-2.74625
ZNF624	1.73575
SEPT2	0.370333333333333
SOHLH2	-0.509875
MCOLN3	2.227375
UNQ1945	0.346
MASP2	-1.1495
ZNRF3	0.1309
GPATCH3	-0.44825
AGL	0.316125
QRICH2	-0.3615
PSD4	0.939333333333333
CCNB1IP1	-2.9815
ENPP7	-0.17825
OBFC1	0.15725
KCNG3	-1.15925
C14orf79	-0.761166666666667
ENPEP	1.0295
SCT	1.4155
SKI	-0.540125
SEC61G	-0.13075
CAPN11	0.03525
ATXN7L3	-0.84575
DBNDD1	-0.406833333333333
FAIM	0.45725
ANKRD36	-1.616
GABRP	1.97533333333333
TACSTD2	1.61616666666667
EIF3J	0.4395
PPP2R2A	-0.64475
TEKT4	-0.524666666666667
PVALB	1.30466666666667
F10	-2.74183333333333
FAM134C	0.5845
COMP	4.618875
EFCBP1	-1.3361875
SCLT1	-0.660125
TAL1	-0.9829
ACSL1	2.1785
ABCC5	0.316666666666667
ABL1	-1.27783333333333
RBBP7	2.07416666666667
PTPRG	0.499375
NCOR1	0.2214
SPINK4	0.849166666666667
TXNRD1	-1.0038
TNRC15	-0.022875
C9orf138	1.335125
UBE2H	0.714333333333333
BRDT	4.92416666666667
C8orf31	0.57675
CCNE2	-0.781727272727273
SLC6A8	-1.87775
CALCR	-4.79125
PPP1CB	0.774583333333333
ABHD8	-0.295
ARF5	0.0693
SLC24A4	0.717
CCT3	-0.22025
ZNF121	-0.060875
SLC3A2	-1.5285
OR13A1	0.2345
SLC5A10	0.7285
RAD50	0.558375
IER5	-0.798875
MTHFD1L	-1.760625
MBTPS2	0.59
MVK	-0.17025
NCL	0.9092
PSMD10	0.655
MOBP	0.215875
FLJ32894	-0.468
HRH1	-0.979666666666667
C5orf30	1.9845
NUDT16L1	0.9642
RASGRP3	3.98833333333333
PRKRIP1	-0.2898
CCDC75	-0.822
LOC253970	0.591333333333333
KIAA1239	2.68025
MED21	0.2785
SYT11	-0.343416666666667
NTSR2	-0.118
EGFL11	2.295
CXorf59	2.2365
OR2A25	0.1995
SPTBN2	-0.877
LRMP	-1.01816666666667
RNF111	0.139
PTH	0.533
LOC619208	0.769166666666667
KIAA0895	1.28775
RANBP5	-0.85375
P2RY10	1.05933333333333
NME5	4.632
DDX21	-0.71375
LRSAM1	-0.8985
HDAC11	1.397
VMO1	2.51475
NOLA2	0.351166666666667
ADAR	0.6905
MTO1	-1.45283333333333
SF4	0.139666666666667
P2RX1	0.0465
HBM	0.20875
EN2	-0.316
C14orf172	-0.34225
TM9SF2	1.0602
INHBE	-1.28383333333333
TCTE3	0.291666666666667
TOX2	-3.21375
CTAGE3	-0.864625
HBB	3.7873
MED15	-1.40983333333333
CASR	-0.26475
C6orf66	-0.755666666666667
MTPN	-1.27275
UNC50	0.954
C21orf33	1.00075
IRF2	1.7045
PGR	3.184
GPR84	3.326
CROCCL1	-2.269
SRPX	-1.438
BRE	0.281666666666667
FGF10	2.56025
SDC3	-0.719333333333333
ZRSR1	0.592833333333333
DKFZP434P211	-0.609625
SOX6	0.704
RPUSD2	0.189
C14orf173	-0.652166666666667
MAPK11	-0.4155
TBC1D22A	-0.34
FAM123A	-3.03
COL4A6	-2.1295
TOMM70A	0.54875
NAB1	0.01825
MGC16385	-0.44075
TSPAN18	-1.72683333333333
MED31	0.9485
PLG	-1.11
CAPSL	5.552
ZNF532	1.046
ASB14	0.759
CA8	-0.0525
NUDT16P	2.2455
SLFN11	-1.19
LRRIQ2	-0.84525
NOL7	-0.571
BRMS1L	-0.53975
JARID1A	-0.132
PANK2	-0.919
ICAM3	-0.09125
MDS1	-0.603
TAF8	-1.20175
RNF139	1.34025
ZNF594	0.9555
ADAM8	1.634125
SFTPC	-0.3125
MAN2B2	1.519
RGS12	-0.2854375
EIF1AY	-4.39683333333333
LRRIQ1	-0.1105
GPR150	-1.45
CCDC21	-0.921333333333333
PRRG3	0.056
SAA4	-1.67825
RAPGEF5	1.897
ZCCHC2	0.127
MGC39372	0.758
PPP4R2	-0.116333333333333
CDCA2	-2.58316666666667
OR4D5	0.578333333333333
PTGFRN	0.742
SIGLEC5	1.8555
C19orf61	-0.488333333333333
NMUR2	0.36
KIAA1586	-1.923
DAGLA	1.47433333333333
CHCHD6	0.83125
GPR32	0.821
NEUROD6	0.1755
SLC2A4RG	0.309
CA5B	0.85775
FBXL3	1.30125
MPHOSPH9	-1.58075
HMG2L1	-0.30225
HCN4	-1.21616666666667
CEACAM19	0.48725
SH2D4B	0.784333333333333
HFE2	-0.8825
TGM4	-0.0806
LYPD2	-0.38125
TBC1D15	0.4385
MRPS21	-0.236
NONO	-0.9156
CLEC5A	3.44175
ITCH	0.2761
MGAT3	-0.998333333333333
MBP	0.044
RPP25	-2.00425
SOSTDC1	0.602
HRC	-1.09825
TRIM48	-0.107
TMEM133	-0.11425
ECEL1P2	-1.11975
HOXC11	-2.879
DOK5	0.73025
HELZ	0.654833333333333
LOC348180	-1.441
MGC33894	0.44225
ADRB3	-0.3925
DMD	-0.3475
PTRH2	-0.37075
MPEG1	2.734
NDUFA12	0.2535
KRTAP2-4	-0.21725
STAMBPL1	-0.7295
ADCY2	-0.176166666666667
UNQ6125	0.7435
KLHL20	-0.440166666666667
SRM	-0.9155
OTC	-0.24075
TMIE	-0.5195
SNX8	0.082
LIPK	1.2255
CHURC1	-0.8875
KLC2	0.272666666666667
HDAC1	-0.00566666666666667
FAM128A	1.6025
FNDC3B	0.7821
MTCP1	-0.211666666666667
WFDC10B	1.6007
PCDHGB3	0.3355
ATRNL1	2.5192
CAV2	-0.3775
MED26	0.0358333333333333
DUS1L	-0.56525
CHRM3	-2.460375
NEK9	-0.54025
WARS2	0.091
TBX22	-1.1255
TOMM40	-0.56525
RP6-213H19.1	-0.435666666666667
TUBGCP5	-0.05475
IGSF6	5.36525
TPPP	0.608
UNQ6190	-0.4865
GSTM5	-0.0636250000000001
BTD	-0.127666666666667
PDCD1LG2	0.246166666666667
SNRPB2	0.3075
ERICH1	-1.0275
APOA4	-1.48025
HOXA11	-2.828
NARG1	1.033
MKX	-0.4405
RAB28	1.285
PKP3	1.652
SH3GL2	1.867
CTSO	3.79675
RPN2	1.431625
IL28RA	0.3965
SFMBT1	1.092
WDR57	-0.2075
FER1L3	0.878916666666667
HSF5	0.298833333333333
TTC9B	0.584
C4BPA	-2.10666666666667
ALB	-4.59271428571429
SORBS3	0.385125
UPF2	0.5685
JPH1	1.162
AGBL2	0.75225
DOPEY1	1.38
TERF1	0.903916666666667
KIF22	-1.0695
NINJ1	1.3275
SEC61A2	1.10258333333333
HIST1H1D	-2.50233333333333
SFXN4	0.627375
UCP3	-0.2425
ZNF703	2.70483333333333
MYL6B	-0.157
TREM1	2.983
OR52E6	0.4935
CKMT2	3.22175
HLA-C	1.590875
SLC13A3	-2.188
TIMP4	1.81025
SLIT2	2.20475
RSF1	0.0241111111111111
LONRF1	-0.6575
MON1A	-0.049
CACNG6	-0.243833333333333
DPPA4	-5.45066666666667
ZSWIM3	-0.1875
ZNF804A	-0.00783333333333335
CCIN	2.013
SLC25A31	-0.21425
KCNMB4	1.11875
RABL5	1.23275
GALNS	-0.5718
STX6	-0.71625
HIST1H1C	-1.206
CIDEB	-1.098125
CASP4	0.0835
PDK3	0.2189
KCNJ11	0.926
TPR	-0.90225
ZSCAN20	-0.454
MTX2	0.8135
HIST1H2BH	-0.41325
LOC283767	1.05375
LYRM7	-0.989666666666666
BRD3	-1.29216666666667
HIST1H2BO	-0.50075
MAGEB10	1.3475
SLC45A1	1.4355
SERPINA3	3.35165
KIAA0143	2.00175
KCNJ16	0.168333333333333
KRT79	-1.011
FABP2	-2.00675
NUT	-0.11325
ZNF57	0.4335
FBXL4	0.197375
CLEC9A	2.1655
UGT8	-1.3265
BMP2K	0.014
MAPK4	-2.8495
SLC25A23	-0.8461
HINT1	-0.0248
KRTAP13-1	0.6115
SFXN5	1.4534
CHCHD2	1.261
FAM3D	1.4945
NDP	-0.066875
RHOBTB1	-0.1365
SLC4A4	-1.601
RPL38	0.064
HTF9C	-0.874833333333333
AP2A2	0.4985
ZBTB46	-1.123
MAP7D1	-0.438125
AOX1	-0.690666666666667
CYR61	0.652833333333333
DTNA	0.0300714285714286
JRKL	0.55225
TMOD3	-0.7965
EEA1	0.6265
ADCK5	0.1275
IL1R1	2.58566666666667
KLK3	0.175928571428571
HRSP12	0.53225
KTN1	-0.15975
LOH11CR2A	0.9329
RELL2	-0.3715
MAB21L1	2.59325
C20orf59	-1.26633333333333
PHKB	0.79825
ADAM2	-2.58733333333333
TBC1D8B	0.969333333333333
FAM13A1	-0.4618125
LAPTM4B	1.92208333333333
LCN8	0.256
TMEM147	1.618
SYT4	1.0385
XPO7	-1.128
C9orf62	-1.90225
GPR75	1.2365
TRIM5	-0.4235
APOC1	-0.433666666666667
RNASE4	1.2305
PARD6B	1.325
ARID1A	0.0325
TPD52L3	-0.163
RRAGB	0.558666666666667
RCN2	0.306166666666667
HIST2H2BE	0.3645625
STARD7	0.099
SHMT2	-1.799
KIAA1751	0.206666666666667
MLYCD	-0.24025
LOC162632	-0.3804
UQCRH	-0.38525
RP11-217H1.1	0.8430625
SDHA	-1.9345
NCLN	-0.6104
ZNF17	1.4745
RCBTB2	-1.0885
VEGFB	-0.6856
RP4-747L4.3	0.6805
COLQ	0.134
MPN2	-0.538166666666667
DRG2	-0.20925
KLRB1	6.30225
ALPK2	-2.67825
DNASE2B	0.121
FLJ23834	0.715
AXUD1	0.3285
SAFB	-0.862
NSUN4	-0.42575
RFX2	-0.1045
MAPK8IP1	-0.146666666666667
FANCD2	-0.764785714285714
ANKZF1	-1.2605
C19orf50	-0.85925
DUSP8	1.237
SENP5	0.10425
NFKBIL2	-0.41575
LBR	-1.08375
IGFL1	4.1715
LZTS2	-0.0175
IL2RG	-0.899125
CCDC51	0.4835
KLF3	0.255375
ANKRD37	-0.53675
KCTD14	1.15566666666667
FZR1	-0.0668333333333334
SLC44A4	2.5834
ESPL1	-0.957375
GMPR2	-0.9838
TBC1D19	0.241
ERGIC1	-0.107
ERBB4	3.3259
TSPAN32	0.0864166666666667
MAP4	-0.720875
GPHN	1.2155
SLC6A2	-0.327
HIVEP1	0.458
DFFB	0.2031
EIF4EBP2	0.497875
DMRT1	-1.1855
HSPB6	-0.257
IER2	0.336
AIFM1	0.2005
WWC2	-0.376666666666667
MRPL4	-0.22425
FLJ21062	0.724666666666667
EPB41L4A	1.39
SH2D6	0.28075
TAF4B	-1.315
GAL3ST3	-0.416
MALT1	0.029
RTDR1	0.84975
ARVCF	-0.519375
MEX3B	-2.435
FBXO16	1.88525
KIF7	-0.2745
C1QC	4.187
ZNF783	-0.244833333333333
ZNF85	-0.109
MMP13	3.2245
KIAA0329	0.143125
RTP3	-3.2305
ZBED3	-0.27775
CLGN	-3.099
SLC25A37	-1.76233333333333
hCG_18290	0.057
OR5AS1	-0.2065
SMARCC2	-0.484666666666667
FAM109A	-0.523333333333333
CCDC12	0.40225
USF2	0.5906
DEPDC7	-2.34325
C20orf24	1.17916666666667
JMJD3	-0.7785
DSP	1.65657142857143
SLIC1	0.15025
FAM20A	0.336875
IRF2BP2	-0.19175
ZNF230	0.4925
MSN	-0.668571428571429
SLC9A5	-1.9895
EPDR1	-0.6277
MUSK	0.0032
ZNF434	0.5215
SMARCD1	-0.9245
ZFP106	0.1265
ZNF347	0.7568
GTF2E1	0.509
RY1	0.148333333333333
