Hybridization REF	TCGA-A8-A09D-01A-11R-A00Z-07
COQ9	-0.00125
GCC2	-0.268142857142857
RARRES3	0.87
PLXNA1	0.2452
KIAA0100	0.0606
PMF1	-0.32475
FNDC1	5.969
HS2ST1	0.21025
CRELD2	-0.1125
C8G	-0.9615
CD82	2.15125
LIM2	-1.137
UNQ6490	-0.07
MMP16	-0.83275
DRD3	0.18475
C5orf26	-0.69825
C11orf73	-1.06125
PTP4A2	0.684
OR4M2	1.03
HPCA	-1.06866666666667
SEC14L1	-0.393166666666667
CHFR	-0.341625
EMILIN1	1.41225
NDUFS4	-0.15775
COL18A1	0.610375
PDZD3	-0.329666666666667
C9orf16	-0.137666666666667
ERBB2IP	0.354333333333333
EMX2	4.855
FUS	-1.1925
TF	-3.7063
CLCN4	-0.608
CXorf56	-0.4275
C11orf72	0.662
ELAC2	0.0355833333333333
NPR1	0.80275
ASS1	-1.58383333333333
USP42	0.293125
POLR2J	-0.453
SEC23IP	0.328166666666667
UQCRC1	0.9405
LOC729603	-0.7655
C1orf71	-0.78925
POLG	-1.976
ADAM23	-3.225
TFR2	-1.72
RICTOR	-0.9524
MGC39606	0.04725
C19orf55	-0.324875
SNAPC1	-0.166666666666667
GNA11	1.131125
CCDC52	-0.719666666666667
FSIP1	4.989
UPF3A	-0.403125
IGSF11	-1.61033333333333
LAGE3	0.09225
CHST6	-2.109
UNC13B	0.269625
TTLL4	-1.05675
ZNF687	0.05975
SDC2	0.3277
COX7A2	0.11
LAMB4	0.178333333333333
FAM24A	0.3595
LRRTM3	-0.893833333333333
GPHB5	0.2625
OR4C13	-0.6205
EIF3EIP	-0.655785714285714
HABP4	-0.2085
TMEM125	2.99225
CNTN2	-0.176625
ASNSD1	-0.41575
FUT4	0.1235
ACF	-4.09575
LOC158381	0.3445
CDH8	0.1915
AGPS	-0.737833333333333
C4orf18	2.782
PECI	-0.31325
UNG	-0.798625
GSTP1	-0.94
DCUN1D5	-1.66483333333333
DKFZP564J0863	-1.2015
SLC9A3R1	2.226375
BCDO2	-1.4885
CHMP7	-0.249125
REM2	1.3115
DNHD1	-1.060375
FKBP4	-0.13925
ZNF350	1.445
MGC11102	0.401125
BST1	1.84125
KISS1R	1.0805
NCR2	0.6535
DEFB125	0.127
UBE2W	3.269
KRT15	-2.061
C10orf99	0.171
SCN11A	0.531375
GFI1	-2.844
RDHE2	2.09316666666667
FHL1	2.12716666666667
OSGEP	0.158
GATA1	-3.71083333333333
SMC6	-1.239
TTTY14	-1.06725
LPIN3	-0.3775
RPL4	-0.5446
RBPMS	0.2851
PRPF3	-0.998333333333333
EMR1	-2.041
SPATA19	-0.06025
XCR1	0.457
IRX3	0.862
RBM6	-1.62725
KLF4	-0.9017
UNC5CL	-0.79925
SEBOX	0.2445
BTK	-0.274
KRCC1	0.9145
C6orf27	0.405
SYTL5	-0.9215
PRND	4.0735
LOC653319	-1.274
PIGL	-1.780875
HUS1	-0.448
SFRS6	-0.246166666666667
C17orf77	0.0345
UIMC1	-0.859166666666667
FXYD2	-1.7157
LOC283152	-0.3025
ZNF667	-0.9505
ZCCHC12	-1.58275
TFEC	3.4204
ATP7B	1.41566666666667
POLD2	-1.1425
RG9MTD1	-0.4115
ACOT2	0.808
HIST1H4I	-0.250125
PPARGC1A	-1.9553
ETFA	-0.6983
POLRMT	-0.0025
ZNF146	-0.41375
MIA2	-1.7535
KLHL6	0.205
HOXB5	-0.495
NENF	0.138
CUGBP1	-0.27775
PRSS22	1.89283333333333
CASC4	1.545
CUL4B	-0.2743
CENPJ	-1.6488
PITX1	-0.2615
FLJ31033	0.850833333333333
CELSR3	-1.86233333333333
ZNF568	-0.31775
ITSN1	0.380666666666667
EHBP1L1	-0.607333333333333
C19orf2	-0.297
DCTN1	0.207
LIN28B	-4.04566666666667
TNKS2	-0.91525
C1QBP	-0.281625
CADPS2	1.04525
SRMS	0.23
GJA9	0.409
MGC24975	-0.709333333333333
TRIM45	-1.09583333333333
TSP50	-0.80275
TCP1	-0.80575
TMED7	0.3898
CMA1	0.234
CENPL	-0.742666666666667
PTCRA	0.777
FST	-4.015
VWCE	-3.81975
PAWR	1.4525
ABCC12	-0.252
LDLR	-0.0531
ASTN2	0.3966
LOC441212	-1.107375
GPATCH8	-0.7105
TANC2	-0.400916666666667
KIF4A	-1.81375
C18orf18	-1.3155
PGM1	-0.61325
KIAA0258	-0.32775
CPD	0.183875
SNCAIP	-0.78125
DCT	-4.146
HLA-DOA	3.21527272727273
OR11L1	0.5575
UPK1B	-0.3246
DNAJB4	-0.272125
UGT1A8	-0.1815
HIST1H4L	0.255
PECR	-1.315
HSPA2	0.931
WFIKKN1	-1.907
SERP1	1.2425
SYDE2	2.11425
TACR2	0.739
NUP85	-0.265
CD177	2.8725
LGR5	-2.02316666666667
PIGG	-0.329166666666667
PTHR1	-0.741166666666667
RAB5A	0.4891
FLJ13224	0.281
USP9Y	-1.776
C7orf53	-0.607
LRP1B	2.5925
XAF1	2.3231
ABCG8	-0.304
ANKDD1A	-0.128166666666667
DAND5	-1.845
SPAG6	0.482333333333333
LINCR	0.17975
ZDHHC22	-1.88475
CCDC60	0.9415
THOC7	-2.03583333333333
TCTA	0.3518
OR8K3	0.35225
NY-REN-7	-0.643333333333333
B2M	1.50783333333333
C6orf141	-1.282
LPPR4	2.68625
SQLE	1.08925
SEPHS1	1.5335
BTBD14B	0.872
PLRG1	-0.64425
SPG7	-0.4593125
ZNF614	-0.413833333333333
PARD6G	0.837833333333333
INPP5B	-0.9367
GRPEL2	-0.217125
PPID	-0.5545
TRIM56	-0.22175
UBE2J1	-0.022875
IL20RA	5.809
LOC387856	-0.13175
C1orf107	0.0285
UTS2R	1.35875
C19orf22	-0.000499999999999995
SAFB2	0.042875
KIAA0652	1.09425
KLRG1	-0.9995
MS4A8B	2.1165
FRAG1	-0.0245
KIAA1546	-0.30975
E2F4	-1.1702
CLEC4M	0.0168333333333334
BTBD14A	-1.07975
KIAA0999	0.0841
GYPA	-4.57016666666667
TAC1	1.5058
TRAIP	-1.81316666666667
KIAA0232	1.363
ERCC8	-1.521125
GPX4	0.772125
KIAA0368	-0.017875
GPR157	0.6275
CTAGE4	1.402
C9orf30	-1.52016666666667
OR52A1	-0.1885
HSP90B3P	-1.3965
ALG9	-0.538
BTBD10	0.81625
SDK2	0.35025
BAIAP3	-0.685
RABGGTB	-1.36175
ANKRD40	-0.171333333333333
KRT74	-0.15
CALCOCO2	0.710785714285714
SNCA	-2.388
TMSL8	-5.315875
C2orf53	0.407
ESRRB	-0.49725
ARHGAP26	-1.394625
TDRD9	-2.81075
HRAS	1.16216666666667
KLRC4	-2.2985
JAGN1	0.3475
BSDC1	0.78925
RNF43	0.5855
NDUFAF1	0.34475
PHF12	-0.45025
OR1L3	0.27225
FOLR2	3.07433333333333
LYZL6	0.1624
tcag7.1260	-1.1205
WSB1	-1.29933333333333
PROS1	-0.4371
OSTN	0.354
PSMB8	-0.00925
SOCS4	0.2065
DDIT4L	2.91075
MAS1	0.9695
MGC34796	1.12475
CSHL1	0.052
TBCCD1	-0.3775
ZBTB7C	-0.02
AP2S1	-0.065375
P15RS	-0.7173
VAT1	-0.5385
SHANK3	1.32783333333333
TUFM	0.00883333333333333
THEG	0.521
KRT34	-2.24125
SGSM3	-0.731375
TOMM22	-0.74025
SOCS3	0.413666666666667
CPO	0.3
POP4	0.01175
BHLHB3	1.34625
MALL	0.8675
OR1B1	0.084
PARK2	1.17016666666667
GPR124	1.226625
LCE1E	0.4785
RUVBL2	0.279
CGRRF1	0.8935
ACPL2	-0.262
WNT10B	-2.183125
BAIAP2L2	-2.048375
ISCA1	0.4515
C1orf125	-0.130125
RPAP1	-1.2765
RAI16	0.407333333333333
RPL27	-1.269
NLRP9	0.483
EPN1	0.0375
LOC388610	-1.443375
SLC35A1	0.2685
GAL	-2.54425
SLC14A2	0.51625
RDH11	-1.13433333333333
FAM138F	-0.4515
AUH	-0.35025
FLJ40243	0.376
C14orf129	0.2165
MBD2	-0.484166666666667
ABHD14B	-0.470125
PIGT	-0.068125
ALS2CR4	-0.3455
ALAS1	-0.0781
FOXO1	1.7515
CRLF3	-0.6035
C20orf107	1.378
FARS2	0.46275
CCDC28A	-0.50075
NPHP3	-0.98075
OR13F1	0.217
TSEN54	0.341
DEFB106B	0.378
OR8B4	1.1685
STH	2.05325
ZC3H14	-0.915875
CBX2	-1.6535
TMEM49	-0.9025
C6orf21	0.472
FLJ20920	0.57975
CRTAP	-0.194571428571429
DDX50	-0.67575
STYXL1	-0.03175
BLVRB	0.297666666666667
LOC147650	-1.02533333333333
MMP24	0.12075
GRID1	0.949666666666667
BANF1	-0.438
CTAGEP	1.016
HMBS	-2.931
SLC25A24	-0.0923333333333333
C14orf50	1.02175
MRO	2.54383333333333
SLC25A15	-1.40825
FAM84B	2.6629
TDP1	-1.654
C16orf78	0.1646
C11orf57	-0.527875
RFK	-0.305625
ZFYVE9	-0.477625
STCH	-0.9529
WIBG	-0.115
LOC283871	-0.5125
GBA2	-1.0057
NDUFB3	-0.48075
HSD17B13	1.29
GRIN3A	1.8085
FMNL1	-0.5955
SEPT7	-0.0729
GNLY	4.137
GRAMD1C	-0.367
ZNF165	-0.48
USP38	1.302
FAM83A	-3.46883333333333
C14orf24	0.694666666666667
ARMCX3	0.82975
ARHGDIB	-0.356666666666667
AK1	0.446125
KIAA1045	0.2365
DNAJB13	-0.763
NEU2	-0.1265
HIST1H4B	-0.5035
FAM20B	-0.6254
HES2	0.814142857142857
FAM73B	-0.1345
LOC388381	-0.38425
INTS7	-0.342090909090909
AMPH	0.96
ZNF775	-0.0574999999999999
UCKL1	-1.26633333333333
C10orf97	0.265
C1orf161	-1.11075
ALDH1L1	1.82975
FLJ39378	0.240625
SLC23A1	-2.0565
RBM4B	0.1665
THAP4	0.225
OGFRL1	-0.01225
KIAA0831	0.12725
PPP1R15A	-0.268333333333333
C1orf96	-0.0761428571428571
C12orf11	-2.1205
BMF	0.959
MAN1A1	-0.31925
KIAA1600	1.01833333333333
NLGN4X	-1.559
ALOX12	-1.963
RB1CC1	-0.0582
NEIL2	0.6374
EIF4E	0.329590909090909
ABHD5	-0.345
EXOC4	-0.380666666666667
CIP29	-0.548833333333333
BATF2	0.22375
SLC29A4	0.039625
HTR4	0.55525
EMB	0.49975
TRAF6	0.53075
LMNB1	-0.716
FAM19A5	-0.905125
SHE	1.78425
PIK3C2B	0.8455
C15orf15	-0.7362
USP15	-0.0188
TCEAL2	-1.10475
C5orf39	-0.915166666666667
PTGER2	0.41
SLC31A1	-0.410875
IFT172	-0.2965
ADAM29	-0.34425
GFOD1	0.96925
ST7L	-0.145333333333333
C15orf26	-3.36775
PKN3	-1.48
CNTD1	-0.167
COMMD1	0.2135
NTRK2	3.66091666666667
FOXN3	0.61375
MFGE8	-0.158
PFKFB2	0.238166666666667
TAS2R4	-0.8235
ENTHD1	1.99816666666667
PRMT5	0.182875
MGC16384	-1.237125
LOC442229	-0.4605
TSKU	0.3615
KRTCAP3	1.514625
PDLIM1	-0.1611
KCNS2	0.33075
RNF126	-0.3215
CEP63	-0.462625
CLIC4	0.426125
hCG_1990170	-0.87475
ACR	0.2055
KLK7	-0.47325
ALOX5AP	3.6445
RIPK3	3.814
TAS2R9	0.3495
C19orf18	0.777
BIRC6	-0.00728571428571429
ZNF16	0.276
RFT1	-1.08525
SLC8A2	-0.66325
TACC1	1.25375
ITGAD	2.0385
SAMHD1	1.42425
SH3PXD2B	1.4118
EPC2	0.34525
C20orf85	0.362375
ATP13A2	0.737166666666667
KRT4	1.088375
CAPNS1	0.10225
MDM2	2.33208333333333
PCDH20	-0.0215
KCNK9	0.915
OR2C1	-0.3465
KLHDC3	-1.1665
IPPK	0.1065
EFHD2	0.561125
GALR3	1.341
NBEA	1.79
ABCA6	3.6497
CLDN3	1.98983333333333
AKT2	-0.653461538461538
EGFR	-1.8287
RBM16	0.070375
ZDHHC3	-0.00140000000000001
SLC25A4	0.6085
CYB5B	-0.6715
CPXM1	0.13675
NDRG1	-1.58969230769231
FLJ43826	0.93525
OR5L2	0.217333333333333
FARP2	0.7261
MRPL46	-0.594833333333333
LDHAL6B	0.0226
MAPKAPK3	-0.492833333333333
NCAM2	-2.06425
PRKD2	0.284
ZFP36L1	0.7179
CYSLTR1	-0.4645
OR4C3	-0.128
HIST1H2AJ	1.798
CCNB2	-1.947
ZNF10	-1.30475
TMEM175	0.694
FAM134A	0.656833333333333
TIGD4	-1.552
PCNP	-0.8915
MGC39715	0.964
LQK1	-1.75675
CREB1	0.8824
TMPRSS3	-1.11975
C4orf32	0.308
LAT	-1.87166666666667
KCNA3	0.0865
SKIV2L2	-0.77
ROPN1B	-3.84925
tcag7.23	-0.5085
CDT1	-2.209875
ZHX2	0.124125
CD28	-2.46375
ZNF624	1.1215
SEPT2	0.14825
SOHLH2	-1.99285714285714
MCOLN3	0.365875
UNQ1945	0.669
MASP2	-1.257
ZNRF3	0.7959
GPATCH3	0.1025
AGL	0.536625
QRICH2	0.681
PSD4	0.1035
CCNB1IP1	-1.24
ENPP7	0.38775
OBFC1	0.0715
KCNG3	-2.01075
C14orf79	0.8715
ENPEP	1.64116666666667
SCT	1.463
SKI	1.306375
SEC61G	-1.04275
CAPN11	0.3055
ATXN7L3	-0.6915
DBNDD1	0.788666666666667
FAIM	1.05475
ANKRD36	-0.407
GABRP	0.432666666666667
TACSTD2	1.7455
EIF3J	-0.28375
PPP2R2A	-0.41275
TEKT4	-0.5215
PVALB	-0.502333333333333
F10	-3.02283333333333
FAM134C	0.5281
COMP	5.201125
EFCBP1	-1.60275
SCLT1	0.95075
TAL1	-0.9786
ACSL1	2.23925
ABCC5	1.01208333333333
ABL1	-0.521722222222222
RBBP7	-0.205916666666667
PTPRG	-0.1545
NCOR1	0.0632
SPINK4	-2.68033333333333
TXNRD1	-1.4303
TNRC15	1.014375
C9orf138	0.4665
UBE2H	0.5805
BRDT	0.353833333333333
C8orf31	-0.11525
CCNE2	1.24490909090909
SLC6A8	-1.49725
CALCR	-3.292
PPP1CB	0.702916666666667
ABHD8	-0.457
ARF5	-0.4567
SLC24A4	0.922
CCT3	-0.459
ZNF121	0.7475
SLC3A2	-1.1202
OR13A1	0.49
SLC5A10	0.012
RAD50	-0.135375
IER5	0.244875
MTHFD1L	-1.527625
MBTPS2	0.95925
MVK	-0.31475
NCL	-0.00369999999999999
PSMD10	-0.63525
MOBP	0.555714285714286
FLJ32894	1.186
HRH1	-0.708
C5orf30	1.64575
NUDT16L1	2.1203
RASGRP3	3.934
PRKRIP1	-0.1357
CCDC75	0.469
LOC253970	1.081
KIAA1239	1.565
MED21	-0.641
SYT11	0.73525
NTSR2	0.1355
EGFL11	-0.392
CXorf59	0.5315
OR2A25	0.19975
SPTBN2	-0.075
LRMP	-1.19416666666667
RNF111	0.06075
PTH	1.2595
LOC619208	-0.07
KIAA0895	0.7675
RANBP5	-0.66225
P2RY10	0.594833333333333
NME5	3.01366666666667
DDX21	-0.3675
LRSAM1	0.389
HDAC11	2.29666666666667
VMO1	1.798
NOLA2	-0.3465
ADAR	0.0293333333333333
MTO1	-0.911166666666667
SF4	0.324833333333333
P2RX1	-0.511666666666667
HBM	0.065
EN2	1.428
C14orf172	0.702
TM9SF2	0.6256
INHBE	-1.96133333333333
TCTE3	0.1805
TOX2	-3.186
CTAGE3	1.47025
HBB	4.754
MED15	-0.296333333333333
CASR	0.11975
C6orf66	-0.919666666666667
MTPN	0.2425
UNC50	-0.90725
C21orf33	0.591625
IRF2	0.64675
PGR	-2.13716666666667
GPR84	2.572
CROCCL1	-2.3605
SRPX	-0.5075
BRE	-0.312833333333333
FGF10	1.241
SDC3	0.151
ZRSR1	0.463833333333333
DKFZP434P211	0.510875
SOX6	-0.244
RPUSD2	-0.02625
C14orf173	0.188666666666667
MAPK11	-0.233666666666667
TBC1D22A	-0.3055
FAM123A	-0.7665
COL4A6	-4.62583333333333
TOMM70A	-0.13175
NAB1	0.125125
MGC16385	-0.46925
TSPAN18	2.32883333333333
MED31	-0.00825
PLG	-1.14975
CAPSL	-0.713
ZNF532	0.6395
ASB14	0.65275
CA8	0.98175
NUDT16P	0.4725
SLFN11	-0.3085
LRRIQ2	-0.480375
NOL7	-0.671666666666667
BRMS1L	0.726875
JARID1A	0.610166666666667
PANK2	-0.64825
ICAM3	-0.174
MDS1	-0.3785
TAF8	-0.2515
RNF139	1.43725
ZNF594	-0.468166666666667
ADAM8	1.931
SFTPC	-0.137
MAN2B2	1.0415
RGS12	0.5958125
EIF1AY	-4.78391666666667
LRRIQ1	-1.599
GPR150	1.485
CCDC21	-1.1865
PRRG3	0.244
SAA4	-2.98375
RAPGEF5	1.829625
ZCCHC2	-0.527166666666667
MGC39372	-0.179
PPP4R2	-0.379666666666667
CDCA2	-0.925666666666667
OR4D5	0.2215
PTGFRN	0.5616
SIGLEC5	2.8585
C19orf61	0.350333333333333
NMUR2	0.1265
KIAA1586	-1.17033333333333
DAGLA	0.733333333333333
CHCHD6	0.2155
GPR32	0.7205
NEUROD6	-0.602666666666667
SLC2A4RG	0.5038125
CA5B	0.6125
FBXL3	1.218
MPHOSPH9	0.861
HMG2L1	-0.42975
HCN4	0.8525
CEACAM19	-0.3515
SH2D4B	0.3855
HFE2	-1.468
TGM4	0.365
LYPD2	0.40025
TBC1D15	0.66375
MRPS21	-0.5912
NONO	-1.1818
CLEC5A	1.418625
ITCH	-0.0879
MGAT3	-0.451333333333333
MBP	-0.395
RPP25	-0.75275
SOSTDC1	-3.66625
HRC	-0.73075
TRIM48	-0.533
TMEM133	-0.59825
ECEL1P2	-1.2535
HOXC11	0.1945
DOK5	-0.33725
HELZ	1.331
LOC348180	-0.4565
MGC33894	0.2015
ADRB3	0.4565
DMD	0.21825
PTRH2	-0.3405
MPEG1	3.81433333333333
NDUFA12	-0.555
KRTAP2-4	0.272083333333333
STAMBPL1	-0.943833333333333
ADCY2	-1.3694
UNQ6125	-0.3055
KLHL20	0.596166666666667
SRM	-0.6185
OTC	0.01775
TMIE	-0.353833333333333
SNX8	0.48425
LIPK	0.6415
CHURC1	-0.67025
KLC2	0.371666666666667
HDAC1	-0.652166666666667
FAM128A	-0.1145
FNDC3B	-0.3403
MTCP1	-0.555333333333333
WFDC10B	-0.1945
PCDHGB3	0.9845
ATRNL1	-1.045
CAV2	0.97375
MED26	0.337
DUS1L	0.54825
CHRM3	-1.211125
NEK9	-0.21225
WARS2	-0.3165
TBX22	-0.045
TOMM40	-0.375
RP6-213H19.1	-1.6485
TUBGCP5	-0.57675
IGSF6	6.368
TPPP	0.952
UNQ6190	0.935
GSTM5	1.31625
BTD	0.902
PDCD1LG2	0.264333333333333
SNRPB2	-0.550333333333333
ERICH1	-0.079125
APOA4	-2.004
HOXA11	-1.63325
NARG1	0.141375
MKX	-0.231
RAB28	-0.475714285714286
PKP3	1.3575
SH3GL2	-3.41125
CTSO	3.27225
RPN2	0.2980625
IL28RA	0.137833333333333
SFMBT1	0.2255
WDR57	-0.39125
FER1L3	1.1215
HSF5	0.342
TTC9B	-0.0665
C4BPA	-4.8325
ALB	-5.0619
SORBS3	0.679125
UPF2	0.0455
JPH1	0.713
AGBL2	-1.40275
DOPEY1	1.664
TERF1	1.72925
KIF22	-0.579666666666667
NINJ1	1.06625
SEC61A2	0.199916666666667
HIST1H1D	0.986166666666667
SFXN4	-0.151625
UCP3	0.0394999999999999
ZNF703	1.46816666666667
MYL6B	-1.62925
TREM1	2.7225
OR52E6	0.2995
CKMT2	2.4505
HLA-C	1.821625
SLC13A3	-1.54283333333333
TIMP4	2.7125
SLIT2	2.72775
RSF1	-0.174333333333333
LONRF1	-0.419214285714286
MON1A	0.142333333333333
CACNG6	0.446666666666667
DPPA4	-4.97833333333333
ZSWIM3	-0.54525
ZNF804A	0.7895
CCIN	1.37475
SLC25A31	-0.00233333333333334
KCNMB4	1.4095
RABL5	0.3505
GALNS	-0.4064
STX6	0.55375
HIST1H1C	0.9095
CIDEB	-0.560625
CASP4	-0.551833333333333
PDK3	-0.9886
KCNJ11	0.9125
TPR	-0.589
ZSCAN20	-1.3275
MTX2	-0.75275
HIST1H2BH	1.223
LOC283767	2.39775
LYRM7	-1.576
BRD3	-0.326666666666667
HIST1H2BO	1.05625
MAGEB10	0.137
SLC45A1	0.59975
SERPINA3	-2.35495
KIAA0143	0.572
KCNJ16	-0.523666666666667
KRT79	-0.1835
FABP2	-0.47275
NUT	-0.348666666666667
ZNF57	0.976
FBXL4	-0.260125
CLEC9A	1.0335
UGT8	-1.73266666666667
BMP2K	0.16175
MAPK4	-3.9115
SLC25A23	-1.2105
HINT1	-0.9384
KRTAP13-1	-0.96
SFXN5	0.0176
CHCHD2	-0.150416666666667
FAM3D	0.8855
NDP	-3.2345
RHOBTB1	0.137166666666667
SLC4A4	-0.44575
RPL38	0.853
HTF9C	0.126
AP2A2	0.441625
ZBTB46	-0.3255
MAP7D1	0.604125
AOX1	-0.576333333333333
CYR61	-0.8095
DTNA	0.480642857142857
JRKL	-0.60375
TMOD3	0.15125
EEA1	0.344
ADCK5	-0.24725
IL1R1	1.80933333333333
KLK3	0.632857142857143
HRSP12	-0.85675
KTN1	0.38475
LOH11CR2A	-0.2611
RELL2	-1.323
MAB21L1	1.8645
C20orf59	-1.00383333333333
PHKB	-0.4535
ADAM2	-0.583833333333333
TBC1D8B	0.604666666666667
FAM13A1	-0.813625
LAPTM4B	-0.592416666666667
LCN8	-0.186
TMEM147	0.5475
SYT4	0.610833333333333
XPO7	-0.6725
C9orf62	1.34675
GPR75	-0.512
TRIM5	-0.678125
APOC1	1.66533333333333
RNASE4	0.332666666666667
PARD6B	-1.73975
ARID1A	0.297333333333333
TPD52L3	0.300333333333333
RRAGB	-0.00616666666666667
RCN2	-0.144666666666667
HIST2H2BE	0.302875
STARD7	-0.7555
SHMT2	-1.05125
KIAA1751	0.522666666666667
MLYCD	0.7825
LOC162632	-0.611
UQCRH	-1.30575
RP11-217H1.1	0.4320625
SDHA	-1.06183333333333
NCLN	0.2413
ZNF17	0.584333333333333
RCBTB2	-1.15375
VEGFB	0.0619
RP4-747L4.3	0.446
COLQ	0.2554
MPN2	-0.691833333333333
DRG2	-0.293
KLRB1	5.35475
ALPK2	-2.2595
DNASE2B	2.8985
FLJ23834	-0.839666666666667
AXUD1	-0.158
SAFB	-0.0088
NSUN4	-0.14475
RFX2	0.463166666666667
MAPK8IP1	1.77666666666667
FANCD2	-1.06021428571429
ANKZF1	-1.62516666666667
C19orf50	-0.685375
DUSP8	2.68775
SENP5	0.08975
NFKBIL2	-0.94175
LBR	-0.806375
IGFL1	2.1755
LZTS2	0.46925
IL2RG	-0.48975
CCDC51	-0.44475
KLF3	0.05675
ANKRD37	-1.63175
KCTD14	-2.0005
FZR1	0.439916666666667
SLC44A4	3.3713
ESPL1	-0.670625
GMPR2	-0.5322
TBC1D19	-0.8975
ERGIC1	1.31666666666667
ERBB4	3.1511
TSPAN32	-0.149333333333333
MAP4	-0.093
GPHN	-0.7065
SLC6A2	-0.086125
HIVEP1	0.23925
DFFB	-0.6411
EIF4EBP2	0.513375
DMRT1	-0.22875
HSPB6	0.6795
IER2	-0.0948333333333333
AIFM1	-0.25025
WWC2	0.395545454545455
MRPL4	-0.32225
FLJ21062	0.562666666666667
EPB41L4A	1.15975
SH2D6	0.4335
TAF4B	-1.1695
GAL3ST3	-0.6105
MALT1	-1.5745
RTDR1	0.70225
ARVCF	0.121875
MEX3B	-0.746833333333333
FBXO16	0.60625
KIF7	-1.22475
C1QC	4.58883333333333
ZNF783	-0.2405
ZNF85	1.057
MMP13	1.984
KIAA0329	0.286375
RTP3	-0.1665
ZBED3	-0.18425
CLGN	-0.02
SLC25A37	-1.5705
hCG_18290	0.062
OR5AS1	0.463
SMARCC2	0.47325
FAM109A	-0.00333333333333333
CCDC12	-0.79475
USF2	0.3194
DEPDC7	-1.95475
C20orf24	-0.785833333333333
JMJD3	0.37
DSP	0.419642857142857
SLIC1	0.302375
FAM20A	1.60525
IRF2BP2	0.474625
ZNF230	-0.8385
MSN	-0.425642857142857
SLC9A5	-1.9715
EPDR1	-0.1701
MUSK	0.258333333333333
