Hybridization REF	TCGA-A8-A08Z-01A-21R-A00Z-07
KIF4A	-1.9155
C18orf18	-1.5165
PGM1	-0.7165
KIAA0258	0.208
CPD	0.325375
SNCAIP	-0.89225
DCT	-4.35466666666667
HLA-DOA	3.0405
OR11L1	0.3785
UPK1B	-0.0951666666666667
DNAJB4	-0.209375
UGT1A8	-0.6055
HIST1H4L	-0.8715
PECR	-1.28933333333333
HSPA2	3.13575
WFIKKN1	-1.01
SERP1	0.40675
SYDE2	0.76175
TACR2	0.6855
NUP85	-0.32275
CD177	4.05933333333333
LGR5	-1.19416666666667
PIGG	-0.188916666666667
PTHR1	-0.719666666666667
RAB5A	0.2779
FLJ13224	0.084
USP9Y	-2.04216666666667
C7orf53	-1.1025
LRP1B	-0.6065
XAF1	1.4029
ABCG8	-1.188
ANKDD1A	-0.395833333333333
DAND5	-1.537
SPAG6	0.0915
LINCR	0.639
ZDHHC22	-1.776625
CCDC60	0.457
THOC7	-1.01666666666667
TCTA	0.8471
OR8K3	0.11475
NY-REN-7	-0.692
B2M	2.071
C6orf141	-3.127125
LPPR4	0.992
SQLE	-1.64675
SEPHS1	-0.6085
BTBD14B	0.190357142857143
PLRG1	-0.1455
SPG7	-0.3628125
ZNF614	-0.0516666666666667
PARD6G	0.442833333333333
INPP5B	0.1633
GRPEL2	-0.37375
PPID	-0.7209
TRIM56	-0.261
UBE2J1	0.404375
IL20RA	2.63475
LOC387856	1.5265
C1orf107	1.23241666666667
UTS2R	0.70475
C19orf22	-0.16975
SAFB2	0.1085
KIAA0652	0.27675
KLRG1	-0.247
MS4A8B	1.16783333333333
FRAG1	-0.0965
KIAA1546	0.92125
E2F4	-1.0634
CLEC4M	0.176166666666667
BTBD14A	-1.3145
KIAA0999	0.3427
GYPA	-3.82833333333333
TAC1	-0.024
TRAIP	-1.37833333333333
KIAA0232	0.7268
ERCC8	-0.763
GPX4	0.6995
KIAA0368	-0.39275
GPR157	-0.489
CTAGE4	1.3115
C9orf30	-0.601333333333333
OR52A1	0.3245
HSP90B3P	0.2175
ALG9	-0.2317
BTBD10	0.93175
SDK2	-0.10625
BAIAP3	0.586
RABGGTB	-0.367625
ANKRD40	0.34
KRT74	0.00950000000000001
CALCOCO2	0.334
SNCA	-1.62275
TMSL8	-3.64175
C2orf53	0.1895
ESRRB	0.4955
ARHGAP26	-0.874375
TDRD9	-1.484
HRAS	0.226666666666667
KLRC4	-2.42
JAGN1	-0.326166666666667
BSDC1	0.36675
RNF43	-0.6321
NDUFAF1	0.251
PHF12	0.11425
OR1L3	-0.2795
FOLR2	2.44291666666667
LYZL6	0.164666666666667
tcag7.1260	-1.042
WSB1	-0.551166666666667
PROS1	-0.6548
OSTN	0.5775
PSMB8	0.3655
SOCS4	-0.091625
DDIT4L	1.446
MAS1	-0.079
MGC34796	0.1425
CSHL1	0.0281666666666667
TBCCD1	0.628833333333333
ZBTB7C	0.174
AP2S1	-0.614
P15RS	-0.2345
VAT1	-0.0613
SHANK3	0.7045
TUFM	0.211
THEG	-0.838
KRT34	-2.055
SGSM3	-0.39475
TOMM22	-0.621375
SOCS3	1.3625
CPO	0.855
POP4	0.2045
BHLHB3	2.49125
MALL	0.9865
OR1B1	0.3165
PARK2	1.118
GPR124	1.3855
LCE1E	0.1665
RUVBL2	-0.487
CGRRF1	0.6333
ACPL2	0.13525
WNT10B	-1.95025
BAIAP2L2	-2.525375
ISCA1	0.6905
C1orf125	0.656625
RPAP1	-0.95025
RAI16	-0.2815
RPL27	-0.56775
NLRP9	-0.344
EPN1	0.07
LOC388610	-0.825625
SLC35A1	0.4998
GAL	-3.80075
SLC14A2	0.12625
RDH11	-0.498
FAM138F	-0.5355
AUH	0.28375
FLJ40243	0.186
C14orf129	0.747333333333333
MBD2	-0.458666666666667
ABHD14B	0.176375
PIGT	-0.2345
ALS2CR4	-0.683625
ALAS1	0.5194
FOXO1	1.76316666666667
CRLF3	-0.385625
C20orf107	-0.299
FARS2	0.7645
CCDC28A	1.14875
NPHP3	-0.53075
OR13F1	-0.0485
TSEN54	-0.6325
DEFB106B	-0.1354
OR8B4	0.605
STH	2.2215
ZC3H14	0.035125
CBX2	0.153
TMEM49	-0.86975
C6orf21	0.335
FLJ20920	0.162875
CRTAP	0.550357142857143
DDX50	-0.02
STYXL1	-0.11375
BLVRB	-0.7545
LOC147650	0.4215
MMP24	0.11175
GRID1	0.9855
BANF1	-0.243333333333333
CTAGEP	0.30475
HMBS	-1.859
SLC25A24	0.386666666666667
C14orf50	0.783
MRO	2.16466666666667
SLC25A15	-0.928
FAM84B	0.9139
TDP1	-0.73
C16orf78	-0.100833333333333
C11orf57	0.378
RFK	-0.671125
ZFYVE9	-0.986
STCH	-0.1944
WIBG	0.138
LOC283871	-0.469666666666667
GBA2	-0.2932
NDUFB3	-0.648
HSD17B13	-0.59475
GRIN3A	1.22266666666667
FMNL1	-0.0663333333333333
SEPT7	-0.0948
GNLY	2.819
GRAMD1C	0.107666666666667
ZNF165	-0.1625
USP38	0.6345
FAM83A	-3.7245
C14orf24	0.303
ARMCX3	1.2565
ARHGDIB	0.462333333333333
AK1	-0.017625
KIAA1045	-0.3615
DNAJB13	-0.121833333333333
NEU2	0.2235
HIST1H4B	-1.28416666666667
FAM20B	-0.3233
HES2	0.620642857142857
FAM73B	-0.4107
LOC388381	-0.16375
INTS7	-0.0470909090909091
AMPH	3.66775
ZNF775	0.06
UCKL1	-0.054
C10orf97	0.5215
C1orf161	0.2945
ALDH1L1	-2.41325
FLJ39378	-0.169
SLC23A1	-2.3255
RBM4B	0.62
THAP4	0.392166666666667
OGFRL1	-0.25825
KIAA0831	0.60775
PPP1R15A	-0.205
C1orf96	-0.0927857142857143
C12orf11	-1.49175
BMF	1.33575
MAN1A1	0.03875
KIAA1600	0.817666666666667
NLGN4X	-0.5725
ALOX12	-1.59216666666667
RB1CC1	0.5976
NEIL2	-0.1493
EIF4E	0.249090909090909
ABHD5	-0.33575
EXOC4	0.401666666666667
CIP29	-0.881333333333333
BATF2	0.36875
SLC29A4	-1.335375
HTR4	0.1935
EMB	-1.03575
TRAF6	0.815
LMNB1	-4.10975
FAM19A5	0.222375
SHE	2.02125
PIK3C2B	0.20675
C15orf15	-0.1898
USP15	-0.243
TCEAL2	-0.09525
C5orf39	-0.3905
PTGER2	1.6375
SLC31A1	-0.1459375
IFT172	0.27225
ADAM29	0.2045
GFOD1	-0.78675
ST7L	0.6825
C15orf26	0.6645
PKN3	-1.4875
CNTD1	1.8175
COMMD1	0.2545
NTRK2	2.118
FOXN3	0.810125
MFGE8	0.4429
PFKFB2	1.66983333333333
TAS2R4	-0.24325
ENTHD1	2.5645
PRMT5	-0.15975
MGC16384	-0.704
LOC442229	-0.128
TSKU	-0.50025
KRTCAP3	2.20675
PDLIM1	-0.161
KCNS2	0.26675
RNF126	-0.8025
CEP63	-0.09975
CLIC4	0.8465
hCG_1990170	-0.18075
ACR	0.1449
KLK7	-0.4125
ALOX5AP	4.383625
RIPK3	4.0195
TAS2R9	-0.031
C19orf18	0.87
BIRC6	0.0672857142857143
ZNF16	1.074
RFT1	-0.50225
SLC8A2	-0.89675
TACC1	0.80625
ITGAD	0.76825
SAMHD1	1.802
SH3PXD2B	1.6119
EPC2	0.967
C20orf85	5.77625
ATP13A2	-0.0351666666666667
KRT4	0.29025
CAPNS1	0.08475
MDM2	-0.480666666666667
PCDH20	2.03975
KCNK9	0.6115
OR2C1	0.1525
KLHDC3	-0.4715
IPPK	1.5075
EFHD2	-0.3805
GALR3	0.36875
NBEA	1.55916666666667
ABCA6	3.3795
CLDN3	2.15183333333333
AKT2	-0.923642857142857
EGFR	-2.2625
RBM16	0.291
ZDHHC3	0.422
SLC25A4	0.0943333333333333
CYB5B	-1.4185
CPXM1	-0.14075
NDRG1	0.0349230769230769
FLJ43826	0.45125
OR5L2	-0.4985
FARP2	0.4172
MRPL46	-0.339833333333333
LDHAL6B	0.0286666666666667
MAPKAPK3	0.0985
NCAM2	-2.12175
PRKD2	0.0233333333333333
ZFP36L1	1.4221
CYSLTR1	2.58575
OR4C3	0.355
HIST1H2AJ	-0.5615
CCNB2	-2.47933333333333
ZNF10	0.1065
TMEM175	0.403
FAM134A	0.773166666666667
TIGD4	-0.039
PCNP	0.07975
MGC39715	-0.3635
LQK1	-0.08775
CREB1	0.8855
TMPRSS3	0.629
C4orf32	-0.086875
LAT	-1.20983333333333
KCNA3	-0.245
SKIV2L2	-0.358
ROPN1B	-1.98775
tcag7.23	-0.6295
CDT1	-3.2025
ZHX2	0.30625
CD28	-2.7695
ZNF624	1.11025
SEPT2	0.604166666666667
SOHLH2	-1.6385
MCOLN3	0.071
UNQ1945	0.464
MASP2	-1.518
ZNRF3	-0.6272
GPATCH3	-0.2605
AGL	2.552
QRICH2	-0.3795
PSD4	0.876
CCNB1IP1	-1.00475
ENPP7	-0.185
OBFC1	0.3455
KCNG3	-3.62625
C14orf79	0.894
ENPEP	2.33466666666667
SCT	3.5135
SKI	1.31025
SEC61G	-0.816
CAPN11	-0.141
ATXN7L3	0.303
DBNDD1	-0.607166666666667
FAIM	0.4795
ANKRD36	-1.08
GABRP	0.3795
TACSTD2	1.30233333333333
EIF3J	-0.20275
PPP2R2A	-0.44025
TEKT4	-0.155166666666667
PVALB	-3.7305
F10	-2.68033333333333
FAM134C	0.95
COMP	5.228375
EFCBP1	-2.2229375
SCLT1	0.12825
TAL1	-1.1002
ACSL1	1.93525
ABCC5	0.658583333333333
ABL1	-0.215111111111111
RBBP7	-0.0320833333333333
PTPRG	-0.111625
NCOR1	0.3517
SPINK4	1.75916666666667
TXNRD1	-0.7241
TNRC15	0.523625
C9orf138	1.185125
UBE2H	0.587833333333333
BRDT	0.330833333333333
C8orf31	-0.06075
CCNE2	-2.54690909090909
SLC6A8	-1.52
CALCR	-4.052
PPP1CB	0.538416666666667
ABHD8	0.03525
ARF5	0.1849
SLC24A4	1.248
CCT3	0.576
ZNF121	0.534
SLC3A2	-0.8398
OR13A1	0.191
SLC5A10	-0.44225
RAD50	0.171375
IER5	0.24775
MTHFD1L	-1.593125
MBTPS2	0.113
MVK	-1.008
NCL	-0.1139
PSMD10	-0.3895
MOBP	0.31025
FLJ32894	-0.1215
HRH1	0.0753333333333333
C5orf30	1.49025
NUDT16L1	1.0414
RASGRP3	4.21
PRKRIP1	-0.7655
CCDC75	-0.6315
LOC253970	0.28425
KIAA1239	-0.38375
MED21	0.46675
SYT11	0.998666666666666
NTSR2	0.1515
EGFL11	-0.1225
CXorf59	1.005
OR2A25	0.11325
SPTBN2	-0.89075
LRMP	-1.1375
RNF111	0.6525
PTH	0.1315
LOC619208	1.21266666666667
KIAA0895	1.02075
RANBP5	-0.3815
P2RY10	0.867666666666667
NME5	3.453
DDX21	-0.702
LRSAM1	0.4185
HDAC11	0.3395
VMO1	1.66225
NOLA2	-0.137333333333333
ADAR	1.17991666666667
MTO1	-0.792333333333333
SF4	0.149666666666667
P2RX1	0.073
HBM	0.02775
EN2	0.894
C14orf172	-0.29425
TM9SF2	1.021
INHBE	-1.82716666666667
TCTE3	-0.507916666666667
TOX2	-2.40975
CTAGE3	-0.2495
HBB	4.2001
MED15	-1.165
CASR	0.295
C6orf66	-1.037
MTPN	-0.380375
UNC50	0.0705
C21orf33	-0.010375
IRF2	0.7005
PGR	3.53483333333333
GPR84	4.0885
CROCCL1	-1.97
SRPX	-0.21425
BRE	0.344666666666667
FGF10	2.2905
SDC3	1.06633333333333
ZRSR1	0.3555
DKFZP434P211	0.07975
SOX6	0.7435
RPUSD2	-0.14775
C14orf173	-0.25675
MAPK11	-0.757333333333333
TBC1D22A	0.169
FAM123A	-1.09
COL4A6	-2.902
TOMM70A	-0.281
NAB1	0.045625
MGC16385	-0.34825
TSPAN18	0.868833333333333
MED31	-0.3235
PLG	-0.734
CAPSL	4.3775
ZNF532	1.0772
ASB14	-0.04775
CA8	-2.61425
NUDT16P	1.5905
SLFN11	0.355
LRRIQ2	0.1305
NOL7	-0.521
BRMS1L	-0.398375
JARID1A	-0.3775
PANK2	-0.67025
ICAM3	-1.17175
MDS1	-0.82125
TAF8	-0.5135
RNF139	0.72325
ZNF594	0.4965
ADAM8	3.76525
SFTPC	-0.430142857142857
MAN2B2	1.6945
RGS12	0.565625
EIF1AY	-5.08316666666667
LRRIQ1	2.11366666666667
GPR150	1.015
CCDC21	-0.700166666666667
PRRG3	1.4475
SAA4	-4.07775
RAPGEF5	0.732125
ZCCHC2	-0.423
MGC39372	0.3545
PPP4R2	0.151666666666667
CDCA2	-2.33416666666667
OR4D5	0.3595
PTGFRN	1.3933
SIGLEC5	2.98466666666667
C19orf61	-0.109666666666667
NMUR2	0.162
KIAA1586	-0.803166666666667
DAGLA	-0.750333333333333
CHCHD6	-0.46275
GPR32	0.663
NEUROD6	0.2735
SLC2A4RG	0.0695
CA5B	0.529
FBXL3	1.68475
MPHOSPH9	-0.859
HMG2L1	-0.18975
HCN4	0.389166666666667
CEACAM19	0.5695
SH2D4B	0.332
HFE2	-0.9485
TGM4	0.5025
LYPD2	0.0435
TBC1D15	0.58025
MRPS21	0.4197
NONO	-0.335
CLEC5A	3.70075
ITCH	-0.4062
MGAT3	-1.22733333333333
MBP	-0.245625
RPP25	-0.731
SOSTDC1	-3.84325
HRC	-1.83625
TRIM48	-0.3945
TMEM133	0.73325
ECEL1P2	-1.828
HOXC11	1.8355
DOK5	0.9885
HELZ	-0.0463333333333333
LOC348180	-1.01925
MGC33894	0.3385
ADRB3	0.382
DMD	0.1055
PTRH2	-1.1305
MPEG1	3.6415
NDUFA12	-0.144
KRTAP2-4	-0.19675
STAMBPL1	-0.6455
ADCY2	0.6305
UNQ6125	0.289
KLHL20	0.418333333333333
SRM	-0.95425
OTC	-0.623
TMIE	0.2015
SNX8	-0.231
LIPK	0.4895
CHURC1	-0.03075
KLC2	0.125333333333333
HDAC1	-0.340166666666667
FAM128A	-0.356666666666667
FNDC3B	0.4108
MTCP1	-0.316333333333333
WFDC10B	-0.0541
PCDHGB3	0.103
ATRNL1	-1.6526
CAV2	0.13375
MED26	0.0593333333333333
DUS1L	0.0215
CHRM3	-1.821375
NEK9	0.88825
WARS2	0.24475
TBX22	-0.734
TOMM40	-1.154
RP6-213H19.1	-1.17133333333333
TUBGCP5	0.21075
IGSF6	5.569
TPPP	0.065
UNQ6190	0.0535
GSTM5	0.85475
BTD	0.6455
PDCD1LG2	1.383
SNRPB2	-0.338
ERICH1	-1.1135
APOA4	-2.023375
HOXA11	-0.93575
NARG1	-0.409
MKX	4.052
RAB28	0.324928571428571
PKP3	0.888
SH3GL2	-1.62975
CTSO	3.21975
RPN2	0.0226875
IL28RA	0.193333333333333
SFMBT1	0.094
WDR57	-0.846875
FER1L3	1.416
HSF5	0.4058
TTC9B	-0.61025
C4BPA	-3.66566666666667
ALB	-4.31821428571429
SORBS3	-0.064125
UPF2	-0.1475
JPH1	0.103
AGBL2	0.67375
DOPEY1	1.373
TERF1	-0.809916666666667
KIF22	-0.597333333333333
NINJ1	1.4035
SEC61A2	-0.814916666666667
HIST1H1D	-0.872833333333333
SFXN4	-0.416125
UCP3	0.365
ZNF703	1.15066666666667
MYL6B	-0.4415
TREM1	3.17525
OR52E6	-0.0865
CKMT2	2.01275
HLA-C	2.143375
SLC13A3	-1.899
TIMP4	-2.52075
SLIT2	2.49075
RSF1	-0.0087777777777778
LONRF1	-1.19685714285714
MON1A	-0.048
CACNG6	-2.04733333333333
DPPA4	-5.24783333333333
ZSWIM3	0.53925
ZNF804A	1.662
CCIN	1.49325
SLC25A31	-0.2225
KCNMB4	-0.24
RABL5	0.296625
GALNS	-0.2767
STX6	1.184875
HIST1H1C	-1.84533333333333
CIDEB	-0.26625
CASP4	0.366833333333333
PDK3	0.0424
KCNJ11	1.7765
TPR	0.557125
ZSCAN20	-0.072
MTX2	-0.2185
HIST1H2BH	-1.12075
LOC283767	1.112
LYRM7	-1.03394444444444
BRD3	0.8925
HIST1H2BO	-1.1125
MAGEB10	0.633
SLC45A1	2.31475
SERPINA3	0.2624
KIAA0143	1.24475
KCNJ16	-0.159
KRT79	-0.35025
FABP2	-0.79075
NUT	-0.40875
ZNF57	0.12525
FBXL4	0.658875
CLEC9A	0.3825
UGT8	-2.052
BMP2K	0.6015
MAPK4	-4.09625
SLC25A23	-0.4769
HINT1	-0.6065
KRTAP13-1	0.4045
SFXN5	0.4668
CHCHD2	-0.236666666666667
FAM3D	1.055
NDP	0.928
RHOBTB1	0.7735
SLC4A4	-0.823125
RPL38	-0.3315
HTF9C	-0.957666666666667
AP2A2	0.882375
ZBTB46	0.1625
MAP7D1	0.693
AOX1	-0.978833333333333
CYR61	1.37491666666667
DTNA	-0.417428571428571
JRKL	0.3245
TMOD3	-0.2705
EEA1	0.4204
ADCK5	-0.44725
IL1R1	1.71316666666667
KLK3	0.331857142857143
HRSP12	-0.86625
KTN1	0.845
LOH11CR2A	1.2679
RELL2	-1.8755
MAB21L1	1.90225
C20orf59	-1.453
PHKB	-0.37025
ADAM2	-1.27116666666667
TBC1D8B	1.3305
FAM13A1	-0.601875
LAPTM4B	-0.838333333333333
LCN8	-0.283
TMEM147	0.187
SYT4	-0.2432
XPO7	-0.6145
C9orf62	0.60725
GPR75	0.3705
TRIM5	0.166875
APOC1	1.91233333333333
RNASE4	0.498833333333333
PARD6B	-1.307625
ARID1A	0.669833333333333
TPD52L3	0.121777777777778
RRAGB	1.79416666666667
RCN2	-0.508166666666667
HIST2H2BE	-0.069
STARD7	0.3875
SHMT2	-0.819
KIAA1751	-0.409666666666667
MLYCD	0.132625
LOC162632	-0.00559999999999997
UQCRH	-1.55825
RP11-217H1.1	0.4613125
SDHA	-0.6815
NCLN	-0.4639
ZNF17	0.754
RCBTB2	-0.66525
VEGFB	0.4607
RP4-747L4.3	0.25225
COLQ	0.5685
MPN2	-1.18883333333333
DRG2	-0.3025
KLRB1	4.81775
ALPK2	-1.40975
DNASE2B	2.311
FLJ23834	1.6705
AXUD1	0.6855
SAFB	-0.4014
NSUN4	0.143
RFX2	0.946166666666667
MAPK8IP1	-0.0958333333333333
FANCD2	-1.19171428571429
ANKZF1	-0.881
C19orf50	-0.260875
DUSP8	1.055
SENP5	-0.134375
NFKBIL2	-0.8195
LBR	-0.68375
IGFL1	1.474
LZTS2	0.294625
IL2RG	-0.598625
CCDC51	0.056
KLF3	0.72625
ANKRD37	-0.45875
KCTD14	-2.0775
FZR1	0.044
SLC44A4	4.2117
ESPL1	-1.122
GMPR2	0.1468
TBC1D19	0.567
ERGIC1	0.224333333333333
ERBB4	3.4032
TSPAN32	0.27375
MAP4	0.72875
GPHN	0.21875
SLC6A2	-0.650625
HIVEP1	1.05875
DFFB	0.1162
EIF4EBP2	0.445625
DMRT1	-0.43725
HSPB6	-0.47325
IER2	0.1535
AIFM1	-0.3795
WWC2	-0.0198333333333333
MRPL4	-0.4475
FLJ21062	1.00916666666667
EPB41L4A	0.57725
SH2D6	0.00925000000000001
TAF4B	-0.29875
GAL3ST3	-0.2545
MALT1	-0.586833333333333
RTDR1	0.5195
ARVCF	-0.092125
MEX3B	-0.0658333333333333
FBXO16	-0.0695
KIF7	-0.73125
C1QC	4.02933333333333
ZNF783	-0.367166666666667
ZNF85	-0.3065
MMP13	5.7775
KIAA0329	0.245625
RTP3	-0.6145
ZBED3	-0.2325
CLGN	-2.4755
SLC25A37	-1.31620833333333
hCG_18290	-0.20575
OR5AS1	0.197
SMARCC2	0.399416666666667
FAM109A	0.452166666666667
CCDC12	-0.389
USF2	0.662
DEPDC7	-1.1535
C20orf24	-0.706
JMJD3	0.8885
DSP	1.9655
SLIC1	0.7075
FAM20A	1.88475
IRF2BP2	0.843875
ZNF230	-0.473
MSN	0.372928571428571
SLC9A5	-2.01
EPDR1	-0.00640000000000003
MUSK	0.312
ZNF434	0.209833333333333
SMARCD1	-0.224
ZFP106	-0.06625
ZNF347	0.179
