Hybridization REF	TCGA-AV-A03E-20A-01R-A109-07
CLEC4M	0.938333333333333
BTBD14A	-0.1115
KIAA0999	-0.3385
GYPA	-2.83
TAC1	-0.571777777777778
TRAIP	-0.439666666666667
KIAA0232	0.6703
ERCC8	-0.54075
GPX4	1.32225
KIAA0368	1.535
GPR157	0.0658333333333333
CTAGE4	-2.3795
C9orf30	1.23883333333333
OR52A1	-0.2225
HSP90B3P	-1.2565
ALG9	-0.2965
BTBD10	0.267
SDK2	0.1275
BAIAP3	-2.211
RABGGTB	0.24625
ANKRD40	-1.37633333333333
KRT74	0.261
CALCOCO2	-0.5955
SNCA	-2.6845
TMSL8	-3.989875
C2orf53	0.06
ESRRB	-0.573
ARHGAP26	0.476125
TDRD9	-2.983
HRAS	1.71783333333333
KLRC4	-1.953
JAGN1	0.120166666666667
BSDC1	0.724
RNF43	-2.6935
NDUFAF1	-0.05525
PHF12	0.28075
OR1L3	0.4575
FOLR2	0.52625
LYZL6	-0.0495
tcag7.1260	2.465
WSB1	-0.6575
PROS1	1.3285
OSTN	0.739
PSMB8	0.6865
SOCS4	-0.97625
DDIT4L	4.48025
MAS1	1.195
MGC34796	0.857
CSHL1	0.343
TBCCD1	-1.20333333333333
ZBTB7C	0.4845
AP2S1	0.810125
P15RS	-1.7281
VAT1	1.0523
SHANK3	-0.0228333333333334
TUFM	0.0253333333333333
THEG	0.732
KRT34	4.2985
SGSM3	0.34575
TOMM22	-0.3585
SOCS3	1.68683333333333
CPO	-0.0535
POP4	0.536
BHLHB3	2.95775
MALL	-2.58475
OR1B1	0.143
PARK2	0.056
GPR124	-1.601125
LCE1E	0.55
RUVBL2	-0.5855
CGRRF1	0.107
ACPL2	-0.88025
WNT10B	0.56275
BAIAP2L2	-1.518875
ISCA1	-1.0115
C1orf125	0.070625
RPAP1	0.2845
RAI16	0.984
RPL27	-0.279625
NLRP9	0.3535
EPN1	1.0615
LOC388610	-0.156125
SLC35A1	0.0675000000000001
GAL	-4.18625
SLC14A2	0.8695
RDH11	1.278
FAM138F	-0.1115
AUH	-0.501
FLJ40243	-0.01975
C14orf129	-0.949666666666667
MBD2	-0.217666666666667
ABHD14B	-0.0986249999999999
PIGT	0.281125
ALS2CR4	0.228625
ALAS1	-0.4004
FOXO1	-0.835333333333333
CRLF3	-1.4945
C20orf107	-0.097
FARS2	-0.518
CCDC28A	-0.399
NPHP3	0.7275
OR13F1	0.6095
TSEN54	-0.63025
DEFB106B	0.255
OR8B4	0.3205
STH	-0.485
ZC3H14	-0.168625
CBX2	0.3445
TMEM49	-0.6295
C6orf21	0.389
FLJ20920	-0.1965
CRTAP	0.8155
DDX50	-0.51875
STYXL1	-0.1625
BLVRB	1.64183333333333
LOC147650	2.755
MMP24	0.91725
GRID1	-0.427833333333333
BANF1	0.109166666666667
CTAGEP	-1.47425
HMBS	-1.24125
SLC25A24	-3.23516666666667
C14orf50	0.62975
MRO	-0.6165
SLC25A15	-0.4425
FAM84B	-2.3839
TDP1	-0.9755
C16orf78	0.188666666666667
C11orf57	-0.147625
RFK	-0.569375
ZFYVE9	-0.246875
STCH	-1.4004
WIBG	0.07725
LOC283871	-0.5005
GBA2	-0.0952
NDUFB3	0.98975
HSD17B13	-0.842
GRIN3A	0.421166666666667
FMNL1	-2.04083333333333
SEPT7	-1.426
GNLY	0.0695
GRAMD1C	-0.0783333333333333
ZNF165	-1.64475
USP38	0.20325
FAM83A	-2.85016666666667
C14orf24	-0.776583333333333
ARMCX3	-0.28125
ARHGDIB	-4.19733333333333
AK1	1.348125
KIAA1045	-0.7655
DNAJB13	-0.917833333333333
NEU2	0.264
HIST1H4B	1.4865
FAM20B	-0.6432
HES2	-0.279642857142857
FAM73B	0.3134
LOC388381	0.57425
INTS7	-0.315
AMPH	2.92175
ZNF775	1.2825
UCKL1	-0.382
C10orf97	-0.30925
C1orf161	0.26575
ALDH1L1	-1.874
FLJ39378	0.48
SLC23A1	-2.3015
RBM4B	-0.0515
THAP4	0.359166666666667
OGFRL1	1.0675
KIAA0831	1.04475
PPP1R15A	1.06416666666667
C1orf96	0.0434999999999999
C12orf11	-1.67825
BMF	-0.564
MAN1A1	-1.543875
KIAA1600	-0.42
NLGN4X	-3.13625
ALOX12	-1.13066666666667
RB1CC1	0.9621
NEIL2	0.0152
EIF4E	-1.1905
ABHD5	-0.04125
EXOC4	0.486
CIP29	-0.342166666666667
BATF2	0.57575
SLC29A4	-0.398625
HTR4	0.30375
EMB	-4.271
TRAF6	0.12375
LMNB1	-2.2215
FAM19A5	-1.83675
SHE	-0.81625
PIK3C2B	-1.478
C15orf15	-0.2424
USP15	0.195
TCEAL2	-0.81
C5orf39	1.13883333333333
PTGER2	-0.61625
SLC31A1	-1.2135625
IFT172	1.37225
ADAM29	0.3735
GFOD1	-0.447
ST7L	0.557333333333333
C15orf26	-0.498
PKN3	-1.17825
CNTD1	0.107
COMMD1	0.745125
NTRK2	0.199
FOXN3	-0.531875
MFGE8	-1.4561
PFKFB2	1.37433333333333
TAS2R4	0.103
ENTHD1	-0.256333333333333
PRMT5	-2.507
MGC16384	-0.15975
LOC442229	0.61325
TSKU	-1.05825
KRTCAP3	-1.186875
PDLIM1	0.279
KCNS2	0.616
RNF126	0.328333333333333
CEP63	0.936
CLIC4	-0.674375
hCG_1990170	-1.18425
ACR	0.3606
KLK7	0.117
ALOX5AP	-2.5135
RIPK3	-1.13125
TAS2R9	0.078
C19orf18	-1.817
BIRC6	-0.6645
ZNF16	0.049
RFT1	-0.32025
SLC8A2	-0.257
TACC1	0.984875
ITGAD	1.07425
SAMHD1	-0.2375
SH3PXD2B	1.7318
EPC2	0.368
C20orf85	0.79225
ATP13A2	0.4455
KRT4	1.1795
CAPNS1	0.28925
MDM2	0.50725
PCDH20	0.41375
KCNK9	0.849
OR2C1	0.9435
KLHDC3	-1.25383333333333
IPPK	-0.8665
EFHD2	0.486125
GALR3	3.17
NBEA	1.63483333333333
ABCA6	0.1908
CLDN3	-2.50866666666667
AKT2	-0.842571428571429
EGFR	0.299
RBM16	0.578375
ZDHHC3	0.4284
SLC25A4	-1.0255
CYB5B	-1.95566666666667
CPXM1	-2.3905
NDRG1	0.171538461538462
FLJ43826	0.324
OR5L2	0.855333333333333
FARP2	0.3338
MRPL46	0.356833333333333
LDHAL6B	0.404166666666667
MAPKAPK3	1.42
NCAM2	-2.58475
PRKD2	-0.866
ZFP36L1	1.5672
CYSLTR1	-3.0875
OR4C3	-0.00574999999999998
HIST1H2AJ	-1.092
CCNB2	-1.87811111111111
ZNF10	-0.416375
TMEM175	1.4865
FAM134A	0.145333333333333
TIGD4	-0.0135
PCNP	-1.7855
MGC39715	0.22975
LQK1	0.64475
CREB1	-0.6586
TMPRSS3	-3.12675
C4orf32	0.1305
LAT	1.5935
KCNA3	-0.7865
SKIV2L2	-0.54325
ROPN1B	-3.46325
tcag7.23	-0.9455
CDT1	-1.715625
ZHX2	-0.8505
CD28	-6.76075
ZNF624	0.53825
SEPT2	-1.08241666666667
SOHLH2	0.572125
MCOLN3	-1.268375
UNQ1945	1.549
MASP2	0.2745
ZNRF3	-0.4228
GPATCH3	-0.2905
AGL	0.22025
QRICH2	-0.0915
PSD4	-1.52316666666667
CCNB1IP1	-1.602
ENPP7	0.3635
OBFC1	0.33425
KCNG3	-2.71675
C14orf79	0.65375
ENPEP	-2.2815
SCT	0.492
SKI	0.826
SEC61G	-0.59075
CAPN11	-0.4395
ATXN7L3	-0.45025
DBNDD1	-1.38883333333333
FAIM	0.819
ANKRD36	0.728
GABRP	-1.00783333333333
TACSTD2	-4.556
EIF3J	-0.84775
PPP2R2A	-2.0395
TEKT4	1.536
PVALB	-3.26833333333333
F10	-2.692
FAM134C	-0.4973
COMP	0.037125
EFCBP1	-0.960125
SCLT1	0.925875
TAL1	-1.3812
ACSL1	0.883
ABCC5	0.2625
ABL1	0.160444444444444
RBBP7	-1.18583333333333
PTPRG	0.57375
NCOR1	-0.8189
SPINK4	-1.48933333333333
TXNRD1	-1.0384
TNRC15	1.26975
C9orf138	0.248
UBE2H	0.516833333333333
BRDT	0.3595
C8orf31	1.20875
CCNE2	-1.91927272727273
SLC6A8	-0.464625
CALCR	-3.1765
PPP1CB	-0.648916666666667
ABHD8	0.69225
ARF5	0.4922
SLC24A4	-0.44875
CCT3	-0.40225
ZNF121	-0.179625
SLC3A2	-0.8513
OR13A1	1.034
SLC5A10	0.649
RAD50	-0.983375
IER5	1.080875
MTHFD1L	0.0125
MBTPS2	-0.27575
MVK	0.016
NCL	-0.5247
PSMD10	-1.5865
MOBP	0.83175
FLJ32894	0.0285
HRH1	1.35583333333333
C5orf30	-0.7805
NUDT16L1	-0.7955
RASGRP3	-1.10066666666667
PRKRIP1	0.3369
CCDC75	1.5865
LOC253970	0.412
KIAA1239	0.6435
MED21	0.226
SYT11	3.24291666666667
NTSR2	0.1145
EGFL11	0.449
CXorf59	0.5445
OR2A25	0.36575
SPTBN2	-2.13925
LRMP	-2.58616666666667
RNF111	-0.80375
PTH	0.697
LOC619208	1.5595
KIAA0895	-1.14325
RANBP5	0.145875
P2RY10	-1.054
NME5	3.9165
DDX21	-1.954
LRSAM1	0.663
HDAC11	-0.903833333333333
VMO1	1.3265
NOLA2	0.449333333333333
ADAR	-0.740416666666667
MTO1	-1.65716666666667
SF4	0.809166666666667
P2RX1	0.719166666666667
HBM	0.20875
EN2	3.032
C14orf172	1.0435
TM9SF2	-0.9562
INHBE	-0.8705
TCTE3	0.593583333333333
TOX2	0.04625
CTAGE3	-1.10925
HBB	-0.1502
MED15	0.616333333333333
CASR	0.35225
C6orf66	0.076
MTPN	1.71875
UNC50	-1.8155
C21orf33	0.167875
IRF2	1.224375
PGR	-3.04883333333333
GPR84	3.58275
CROCCL1	-1.55175
SRPX	1.23925
BRE	0.812666666666667
FGF10	0.283
SDC3	-1.9665
ZRSR1	-0.425166666666667
DKFZP434P211	0.184375
SOX6	-0.153
RPUSD2	0.389
C14orf173	1.43341666666667
MAPK11	1.02383333333333
TBC1D22A	0.235
FAM123A	-0.914
COL4A6	-2.30083333333333
TOMM70A	-2.53625
NAB1	0.88125
MGC16385	-0.966125
TSPAN18	-1.337
MED31	1.12575
PLG	0.2605
CAPSL	0.315
ZNF532	0.4432
ASB14	0.46575
CA8	-3.7475
NUDT16P	-1.325
SLFN11	-2.388
LRRIQ2	-0.3475
NOL7	-0.148333333333333
BRMS1L	-2.662375
JARID1A	0.748166666666667
PANK2	-1.80925
ICAM3	-0.378
MDS1	0.35425
TAF8	-0.91625
RNF139	-0.088
ZNF594	-2.2035
ADAM8	2.42625
SFTPC	-0.03575
MAN2B2	0.639375
RGS12	0.70875
EIF1AY	-4.56633333333333
LRRIQ1	1.706
GPR150	3.4035
CCDC21	-2.18833333333333
PRRG3	0.14075
SAA4	-3.9465
RAPGEF5	-0.2305
ZCCHC2	0.358666666666667
MGC39372	-0.957
PPP4R2	-0.983333333333333
CDCA2	-0.926833333333333
OR4D5	-0.133
PTGFRN	0.5444
SIGLEC5	-0.311666666666667
C19orf61	-0.252333333333333
NMUR2	0.275
KIAA1586	-0.267
DAGLA	1.85883333333333
CHCHD6	0.45625
GPR32	-0.037
NEUROD6	0.5615
SLC2A4RG	0.0713124999999999
CA5B	-0.3585
FBXL3	-0.9105
MPHOSPH9	-1.879
HMG2L1	-0.0465
HCN4	2.11216666666667
CEACAM19	0.564
SH2D4B	0.275666666666667
HFE2	-0.8455
TGM4	0.400333333333333
LYPD2	-0.09275
TBC1D15	-0.26425
MRPS21	0.3888
NONO	-2.1491
CLEC5A	-0.031375
ITCH	0.4066
MGAT3	-4.03583333333333
MBP	-2.698125
RPP25	-1.938
SOSTDC1	-3.14225
HRC	-2.4045
TRIM48	0.2265
TMEM133	0.007
ECEL1P2	-1.61575
HOXC11	-1.3505
DOK5	-0.699
HELZ	-0.576833333333333
LOC348180	0.32925
MGC33894	0.85825
ADRB3	-0.008
DMD	-0.702583333333333
PTRH2	0.2775
MPEG1	0.269666666666667
NDUFA12	-0.259833333333333
KRTAP2-4	0.554916666666667
STAMBPL1	-0.566333333333333
ADCY2	-1.80833333333333
UNQ6125	0.516
KLHL20	-0.179166666666667
SRM	-0.23475
OTC	0.00650000000000001
TMIE	0.733833333333333
SNX8	1.75
LIPK	0.2555
CHURC1	-0.987083333333333
KLC2	0.833333333333333
HDAC1	-1.22766666666667
FAM128A	0.569
FNDC3B	-0.3601
MTCP1	0.648333333333333
WFDC10B	2.3121
PCDHGB3	0.2495
ATRNL1	-2.6512
CAV2	-2.646
MED26	-0.152
DUS1L	0.387
CHRM3	-0.558
NEK9	-0.8615
WARS2	1.06775
TBX22	-0.595
TOMM40	0.0845
RP6-213H19.1	-1.93466666666667
TUBGCP5	-0.4045
IGSF6	0.28825
TPPP	-0.277833333333333
UNQ6190	0.3615
GSTM5	0.434
BTD	-1.403
PDCD1LG2	0.2975
SNRPB2	-0.556333333333333
ERICH1	0.5795
APOA4	-0.888625
HOXA11	-2.11825
NARG1	-0.515
MKX	-0.203
RAB28	-1.43907142857143
PKP3	-2.86925
SH3GL2	0.12025
CTSO	0.46175
RPN2	1.0468125
IL28RA	-1.4155
SFMBT1	0.53975
WDR57	-1.910375
FER1L3	1.7195
HSF5	0.8915
TTC9B	1.7555
C4BPA	-4.01916666666667
ALB	-3.52285714285714
SORBS3	1.4395
UPF2	-0.547
JPH1	0.596
AGBL2	0.2345
DOPEY1	0.6855
TERF1	-0.624583333333333
KIF22	-0.431
NINJ1	1.1485
SEC61A2	0.825583333333333
HIST1H1D	0.3245
SFXN4	0.119125
UCP3	1.2856
ZNF703	1.2565
MYL6B	1.4465
TREM1	3.627
OR52E6	0.011
CKMT2	1.99775
HLA-C	1.881625
SLC13A3	-2.11083333333333
TIMP4	2.10325
SLIT2	1.43
RSF1	-1.00105555555556
LONRF1	-0.487928571428571
MON1A	0.911166666666667
CACNG6	-0.614
DPPA4	-4.716
ZSWIM3	0.22
ZNF804A	0.708666666666667
CCIN	0.7675
SLC25A31	0.56
KCNMB4	-0.85275
RABL5	0.476625
GALNS	0.9002
STX6	-0.615625
HIST1H1C	-2.59083333333333
CIDEB	-1.658125
CASP4	1.02466666666667
PDK3	-0.9608
KCNJ11	-0.8885
TPR	-1.056125
ZSCAN20	0.778
MTX2	-0.0645
HIST1H2BH	-0.4945
LOC283767	1.01575
LYRM7	-1.098
BRD3	-1.35316666666667
HIST1H2BO	-1.09225
MAGEB10	0.127
SLC45A1	1.35275
SERPINA3	-3.12265
KIAA0143	0.14825
KCNJ16	-0.138
KRT79	0.399
FABP2	-0.27975
NUT	-0.31725
ZNF57	-0.92175
FBXL4	-1.09575
CLEC9A	0.665
UGT8	1.82116666666667
BMP2K	0.21375
MAPK4	-3.0035
SLC25A23	-1.2636
HINT1	0.2337
KRTAP13-1	0.333
SFXN5	0.4822
CHCHD2	0.0168333333333333
FAM3D	0.442
NDP	0.756
RHOBTB1	-0.7675
SLC4A4	0.62475
RPL38	0.3055
HTF9C	0.979666666666667
AP2A2	0.314875
ZBTB46	-0.3865
MAP7D1	0.456
AOX1	0.4555
CYR61	-0.625333333333333
DTNA	1.91785714285714
JRKL	0.57075
TMOD3	-0.7385
EEA1	-0.6369
ADCK5	1.217
IL1R1	-0.1715
KLK3	0.982
HRSP12	0.37175
KTN1	0.27575
LOH11CR2A	0.072
RELL2	0.69325
MAB21L1	3.36975
C20orf59	-1.207
PHKB	-1.1215
ADAM2	-1.91666666666667
TBC1D8B	1.7585
FAM13A1	0.1795
LAPTM4B	-3.15858333333333
LCN8	0.26
TMEM147	1.264
SYT4	-0.299166666666667
XPO7	0.0855
C9orf62	3.8725
GPR75	0.6055
TRIM5	-0.14825
APOC1	-4.413
RNASE4	-3.539
PARD6B	-2.8125
ARID1A	-0.86525
TPD52L3	0.4022
RRAGB	0.0238333333333333
RCN2	-0.913166666666667
HIST2H2BE	-0.8591875
STARD7	-1.68475
SHMT2	-0.3565
KIAA1751	2.38933333333333
MLYCD	-1.1765
LOC162632	-0.4262
UQCRH	-0.4865
RP11-217H1.1	-1.0461875
SDHA	-2.08
NCLN	0.000699999999999998
ZNF17	0.204833333333333
RCBTB2	-3.2845
VEGFB	1.212
RP4-747L4.3	-1.983
COLQ	-0.332
MPN2	-0.123
DRG2	0.17
KLRB1	0.01925
ALPK2	1.20125
DNASE2B	-0.0295
FLJ23834	-0.65
AXUD1	-1.48833333333333
SAFB	0.2453
NSUN4	-0.52475
RFX2	0.777
MAPK8IP1	0.109833333333333
FANCD2	-1.2055
ANKZF1	-1.044
C19orf50	-0.087
DUSP8	0.499875
SENP5	0.10475
NFKBIL2	0.13775
LBR	-1.696625
IGFL1	0.0515
LZTS2	1.723
IL2RG	-1.8855
CCDC51	-0.2655
KLF3	-0.756
ANKRD37	0.0295
KCTD14	-2.933
FZR1	0.488666666666667
SLC44A4	-2.3859
ESPL1	-0.5095
GMPR2	-1.4342
TBC1D19	0.303333333333333
ERGIC1	0.722740740740741
ERBB4	-1.9651
TSPAN32	2.06441666666667
MAP4	0.283
GPHN	-1.46525
SLC6A2	0.215375
HIVEP1	-0.8415
DFFB	-0.5641
EIF4EBP2	-0.70975
DMRT1	0.806
HSPB6	1.01925
IER2	0.0725
AIFM1	-0.13825
WWC2	0.495583333333333
MRPL4	0.06525
FLJ21062	1.98583333333333
EPB41L4A	-0.57075
SH2D6	0.783
TAF4B	0.331
GAL3ST3	-0.106
MALT1	-0.9795
RTDR1	0.05175
ARVCF	-0.649625
MEX3B	-1.7435
FBXO16	1.47225
KIF7	0.54675
C1QC	0.162
ZNF783	0.409
ZNF85	-3.293
MMP13	-1.1335
KIAA0329	0.783625
RTP3	-0.2025
ZBED3	0.71525
CLGN	1.56625
SLC25A37	0.755583333333333
hCG_18290	0.53125
OR5AS1	0.2255
SMARCC2	1.48375
FAM109A	-0.0916666666666667
CCDC12	-0.18775
USF2	1.0026
DEPDC7	-0.927
C20orf24	-0.0705
JMJD3	-0.4585
DSP	-4.282
SLIC1	0.116375
FAM20A	-2.61425
IRF2BP2	-0.85075
ZNF230	0.0235
MSN	0.085
SLC9A5	2.182
EPDR1	0.9681
MUSK	-0.227833333333333
ZNF434	-1.909
SMARCD1	-0.3255
ZFP106	0.3185
ZNF347	-3.4712
GTF2E1	-0.81575
RY1	-0.346833333333333
ATAD2B	-0.204
ARHGAP17	0.2068
