Hybridization REF	TCGA-AN-A0XS-01A-22R-A109-07
PHF12	0.4915
OR1L3	0.23925
FOLR2	2.80875
LYZL6	0.641666666666667
tcag7.1260	-1.5705
WSB1	-1.20383333333333
PROS1	-0.3785
OSTN	0.5015
PSMB8	1.087
SOCS4	-0.549875
DDIT4L	0.9065
MAS1	-0.3585
MGC34796	2.0855
CSHL1	0.169833333333333
TBCCD1	0.438833333333333
ZBTB7C	0.398
AP2S1	0.168375
P15RS	-0.2152
VAT1	-0.464
SHANK3	1.56516666666667
TUFM	1.031
THEG	0.916
KRT34	-1.76825
SGSM3	0.666875
TOMM22	-0.95825
SOCS3	0.753
CPO	1.4335
POP4	0.30675
BHLHB3	1.283
MALL	1.0315
OR1B1	0.164
PARK2	0.621666666666667
GPR124	0.2535
LCE1E	-0.0645
RUVBL2	-0.06125
CGRRF1	0.6773
ACPL2	0.04775
WNT10B	-2.014125
BAIAP2L2	-2.167875
ISCA1	0.0405
C1orf125	-0.188
RPAP1	-0.82075
RAI16	-0.353833333333333
RPL27	-0.404125
NLRP9	-0.458
EPN1	0.2545
LOC388610	-1.54325
SLC35A1	1.427
GAL	-3.5635
SLC14A2	0.07975
RDH11	-0.0676666666666667
FAM138F	-0.6285
AUH	0.20275
FLJ40243	0.28625
C14orf129	0.802666666666667
MBD2	-0.202333333333333
ABHD14B	0.689
PIGT	0.45775
ALS2CR4	-0.4205
ALAS1	0.3314
FOXO1	1.88383333333333
CRLF3	-0.671125
C20orf107	-0.0155
FARS2	1.044
CCDC28A	0.70325
NPHP3	-0.00899999999999999
OR13F1	0.5585
TSEN54	-0.46975
DEFB106B	0.0455
OR8B4	-0.0025
STH	2.618
ZC3H14	-0.39275
CBX2	-0.6075
TMEM49	-1.70475
C6orf21	0.1885
FLJ20920	1.72275
CRTAP	-0.0902142857142857
DDX50	-0.45425
STYXL1	0.2235
BLVRB	0.3675
LOC147650	-0.0106666666666667
MMP24	0.19275
GRID1	1.45183333333333
BANF1	-0.602333333333333
CTAGEP	0.069
HMBS	-1.65525
SLC25A24	-0.0256666666666667
C14orf50	0.1985
MRO	1.07283333333333
SLC25A15	-0.5895
FAM84B	1.9515
TDP1	-0.973
C16orf78	0.104666666666667
C11orf57	-0.19325
RFK	-1.28975
ZFYVE9	-0.87475
STCH	-0.3195
WIBG	0.508
LOC283871	0.4235
GBA2	-0.6811
NDUFB3	-0.06275
HSD17B13	0.02625
GRIN3A	1.32083333333333
FMNL1	-0.449166666666667
SEPT7	-1.066
GNLY	3.154
GRAMD1C	1.39433333333333
ZNF165	-0.20025
USP38	0.16425
FAM83A	-3.7
C14orf24	0.154583333333333
ARMCX3	0.554875
ARHGDIB	1.25883333333333
AK1	0.53
KIAA1045	0.073
DNAJB13	-0.784
NEU2	0.198
HIST1H4B	-0.0473333333333333
FAM20B	-0.7044
HES2	0.4275
FAM73B	-0.3551
LOC388381	0.549
INTS7	-0.756181818181818
AMPH	1.392
ZNF775	0.46725
UCKL1	-0.700166666666667
C10orf97	0.04
C1orf161	-0.50625
ALDH1L1	-0.0655
FLJ39378	-0.080875
SLC23A1	-0.889
RBM4B	-0.087
THAP4	0.361666666666667
OGFRL1	0.41425
KIAA0831	0.5675
PPP1R15A	-0.441166666666667
C1orf96	-1.11264285714286
C12orf11	-2.344
BMF	1.244375
MAN1A1	0.2035
KIAA1600	0.311333333333333
NLGN4X	-1.1695
ALOX12	-1.34466666666667
RB1CC1	1.1706
NEIL2	-0.0404
EIF4E	-0.644
ABHD5	-0.298
EXOC4	-0.126833333333333
CIP29	-0.0536666666666666
BATF2	-0.08375
SLC29A4	-0.9465
HTR4	0.32475
EMB	-0.793
TRAF6	0.69925
LMNB1	-2.16675
FAM19A5	-0.323375
SHE	2.095
PIK3C2B	0.9675
C15orf15	-0.8468
USP15	0.0152
TCEAL2	0.62575
C5orf39	0.337833333333333
PTGER2	-0.153
SLC31A1	-0.623125
IFT172	0.8035
ADAM29	1.03875
GFOD1	1.61475
ST7L	0.975
C15orf26	-2.95975
PKN3	-1.65625
CNTD1	3.138
COMMD1	0.753125
NTRK2	3.20041666666667
FOXN3	0.535125
MFGE8	0.5598
PFKFB2	0.166166666666667
TAS2R4	-0.54925
ENTHD1	2.041
PRMT5	-0.727625
MGC16384	-0.885625
LOC442229	-0.874
TSKU	-0.8205
KRTCAP3	0.543
PDLIM1	-0.3974
KCNS2	0.522
RNF126	-0.656666666666667
CEP63	0.012125
CLIC4	-0.169625
hCG_1990170	-0.597
ACR	0.5203
KLK7	0.233
ALOX5AP	3.503
RIPK3	3.01125
TAS2R9	0.0225
C19orf18	2.3305
BIRC6	-0.189428571428571
ZNF16	1.7025
RFT1	-0.40075
SLC8A2	-0.39975
TACC1	0.68175
ITGAD	1.46175
SAMHD1	1.1795
SH3PXD2B	1.1612
EPC2	0.9235
C20orf85	0.260125
ATP13A2	0.497666666666667
KRT4	0.183875
CAPNS1	-0.00924999999999999
MDM2	-0.147
PCDH20	1.984
KCNK9	0.936
OR2C1	0.5075
KLHDC3	-0.618166666666667
IPPK	-0.0925
EFHD2	-0.1125
GALR3	1.9295
NBEA	1.0865
ABCA6	4.0522
CLDN3	1.99583333333333
AKT2	-0.142928571428571
EGFR	-1.8468
RBM16	0.170875
ZDHHC3	0.3998
SLC25A4	-1.187
CYB5B	-2.13866666666667
CPXM1	-0.30225
NDRG1	-1.50623076923077
FLJ43826	1.23075
OR5L2	0.276166666666667
FARP2	0.6983
MRPL46	-0.495333333333333
LDHAL6B	0.2915
MAPKAPK3	-0.158666666666667
NCAM2	-0.25875
PRKD2	0.544666666666667
ZFP36L1	1.2994
CYSLTR1	0.00375
OR4C3	0.246
HIST1H2AJ	1.931
CCNB2	-3.00155555555556
ZNF10	0.1035
TMEM175	1.0425
FAM134A	0.816666666666667
TIGD4	-0.307
PCNP	-0.2835
MGC39715	-0.1735
LQK1	-1.54775
CREB1	0.3231
TMPRSS3	2.146
C4orf32	1.616625
LAT	-0.669416666666667
KCNA3	0.087
SKIV2L2	-0.81975
ROPN1B	-2.62825
tcag7.23	-0.682
CDT1	-3.462375
ZHX2	1.72975
CD28	-2.12425
ZNF624	1.1035
SEPT2	0.227916666666667
SOHLH2	-1.812625
MCOLN3	-0.693
UNQ1945	0.8615
MASP2	-0.911
ZNRF3	-1.5998
GPATCH3	-0.122
AGL	0.837
QRICH2	-0.6435
PSD4	1.1395
CCNB1IP1	-1.73475
ENPP7	-0.04125
OBFC1	0.0305
KCNG3	-3.137
C14orf79	0.830583333333333
ENPEP	1.18966666666667
SCT	2.898
SKI	0.967375
SEC61G	-1.44475
CAPN11	0.84025
ATXN7L3	-0.41
DBNDD1	-1.059
FAIM	0.307
ANKRD36	-0.3645
GABRP	2.6715
TACSTD2	1.77633333333333
EIF3J	-0.57975
PPP2R2A	-1.23425
TEKT4	0.536166666666667
PVALB	-3.77483333333333
F10	-2.45116666666667
FAM134C	1.0964
COMP	5.051875
EFCBP1	-2.3515
SCLT1	-0.26975
TAL1	-1.0083
ACSL1	0.2805
ABCC5	0.878666666666667
ABL1	-0.498555555555556
RBBP7	0.71775
PTPRG	0.767625
NCOR1	0.2199
SPINK4	-1.98516666666667
TXNRD1	-2.1561
TNRC15	0.84925
C9orf138	0.215285714285714
UBE2H	0.523333333333333
BRDT	0.3855
C8orf31	0.08925
CCNE2	-1.71181818181818
SLC6A8	-2.17475
CALCR	-3.59625
PPP1CB	0.361083333333333
ABHD8	0.14875
ARF5	-0.2119
SLC24A4	0.768
CCT3	-0.23775
ZNF121	-0.23075
SLC3A2	-1.2838
OR13A1	0.4765
SLC5A10	0.69475
RAD50	0.210625
IER5	0.804625
MTHFD1L	-1.962875
MBTPS2	0.0505
MVK	-1.00075
NCL	-0.1965
PSMD10	-0.53075
MOBP	0.270125
FLJ32894	-0.7575
HRH1	-0.328666666666667
C5orf30	0.79675
NUDT16L1	1.69
RASGRP3	4.22916666666667
PRKRIP1	-0.7257
CCDC75	-0.07375
LOC253970	0.00674999999999999
KIAA1239	1.25425
MED21	-0.26825
SYT11	0.862583333333333
NTSR2	-0.9255
EGFL11	-0.1425
CXorf59	0.6165
OR2A25	0.153
SPTBN2	-0.24225
LRMP	-0.514166666666667
RNF111	0.2895
PTH	-0.014
LOC619208	1.2305
KIAA0895	-0.60275
RANBP5	-0.93825
P2RY10	1.742
NME5	4.27366666666667
DDX21	-1.635
LRSAM1	0.219
HDAC11	2.23316666666667
VMO1	2.19325
NOLA2	-0.1055
ADAR	0.234833333333333
MTO1	-0.658166666666667
SF4	0.422
P2RX1	0.091
HBM	0.29675
EN2	1.9365
C14orf172	0.376
TM9SF2	0.452
INHBE	-1.77633333333333
TCTE3	-0.228
TOX2	-2.12875
CTAGE3	0.1635
HBB	4.2233
MED15	-0.646833333333333
CASR	0.42
C6orf66	-0.967666666666667
MTPN	-0.76575
UNC50	-0.1725
C21orf33	0.070875
IRF2	0.782875
PGR	4.3235
GPR84	2.89775
CROCCL1	-1.612
SRPX	-0.3005
BRE	0.685166666666667
FGF10	0.817
SDC3	0.0915
ZRSR1	-0.00483333333333332
DKFZP434P211	0.15925
SOX6	0.4745
RPUSD2	0.006
C14orf173	-0.209666666666667
MAPK11	-0.1285
TBC1D22A	0.488
FAM123A	-0.906
COL4A6	-2.29433333333333
TOMM70A	-0.3315
NAB1	-0.410875
MGC16385	-0.413625
TSPAN18	-0.1115
MED31	0.538
PLG	-0.509
CAPSL	0.208
ZNF532	0.2205
ASB14	0.15825
CA8	2.19525
NUDT16P	0.874
SLFN11	-0.612
LRRIQ2	0.421625
NOL7	-0.149333333333333
BRMS1L	-1.18825
JARID1A	0.596
PANK2	-0.33
ICAM3	0.5945
MDS1	-0.212
TAF8	-0.5165
RNF139	1.666
ZNF594	0.965333333333333
ADAM8	1.459375
SFTPC	-0.362875
MAN2B2	1.1695
RGS12	0.4338125
EIF1AY	-4.61966666666667
LRRIQ1	-0.875333333333333
GPR150	2.24425
CCDC21	-1.53083333333333
PRRG3	0.33075
SAA4	-3.106
RAPGEF5	2.132
ZCCHC2	1.10183333333333
MGC39372	0.2585
PPP4R2	-0.545
CDCA2	-2.99616666666667
OR4D5	0.0713333333333333
PTGFRN	0.7779
SIGLEC5	2.3775
C19orf61	-0.160166666666667
NMUR2	-0.0145
KIAA1586	-1.65066666666667
DAGLA	0.385
CHCHD6	-0.34475
GPR32	0.532
NEUROD6	0.157166666666667
SLC2A4RG	0.18075
CA5B	0.55075
FBXL3	2.52125
MPHOSPH9	-1.86225
HMG2L1	0.0645
HCN4	1.2105
CEACAM19	0.1035
SH2D4B	0.08
HFE2	-1.528
TGM4	0.0384
LYPD2	-0.21625
TBC1D15	0.13475
MRPS21	-0.00499999999999999
NONO	-1.1782
CLEC5A	1.986375
ITCH	-0.1037
MGAT3	-0.140333333333333
MBP	0.100375
RPP25	-1.57525
SOSTDC1	-1.815
HRC	-1.5715
TRIM48	0.092
TMEM133	0.22525
ECEL1P2	-1.332
HOXC11	1.561
DOK5	-0.1025
HELZ	0.1335
LOC348180	-0.92825
MGC33894	0.93675
ADRB3	0.054
DMD	0.303416666666667
PTRH2	-0.744
MPEG1	3.742
NDUFA12	0.0361666666666667
KRTAP2-4	0.26475
STAMBPL1	-1.298
ADCY2	1.2145
UNQ6125	0.3535
KLHL20	-0.412166666666667
SRM	-1.4415
OTC	-0.10125
TMIE	0.0421666666666667
SNX8	-0.20275
LIPK	0.604
CHURC1	-0.364416666666667
KLC2	0.2555
HDAC1	0.0101666666666667
FAM128A	0.056
FNDC3B	-0.2854
MTCP1	-0.368666666666667
WFDC10B	0.1336
PCDHGB3	0.5595
ATRNL1	-2.232
CAV2	-0.324125
MED26	0.0445
DUS1L	0.09925
CHRM3	-1.922
NEK9	0.03825
WARS2	-0.4945
TBX22	0.0795
TOMM40	-1.0225
RP6-213H19.1	-2.9805
TUBGCP5	-0.604
IGSF6	5.03925
TPPP	0.171666666666667
UNQ6190	0.292
GSTM5	2.739
BTD	1.0555
PDCD1LG2	0.763166666666667
SNRPB2	0.00216666666666666
ERICH1	-0.796625
APOA4	-1.64875
HOXA11	-1.259
NARG1	-0.576625
MKX	2.96825
RAB28	-0.421357142857143
PKP3	0.1505
SH3GL2	-3.119
CTSO	2.0215
RPN2	0.269375
IL28RA	0.823833333333333
SFMBT1	0.82425
WDR57	-0.763125
FER1L3	0.927416666666667
HSF5	0.166333333333333
TTC9B	1.07775
C4BPA	-3.378
ALB	-4.08485714285714
SORBS3	0.32475
UPF2	-0.7995
JPH1	-0.8055
AGBL2	0.93175
DOPEY1	1.5695
TERF1	0.325083333333333
KIF22	0.345833333333333
NINJ1	1.98875
SEC61A2	-0.732083333333333
HIST1H1D	0.154333333333333
SFXN4	-0.86225
UCP3	0.5935
ZNF703	1.53283333333333
MYL6B	-0.044
TREM1	2.21225
OR52E6	0.179
CKMT2	2.1155
HLA-C	2.508
SLC13A3	-1.51516666666667
TIMP4	1.072
SLIT2	2.805
RSF1	-0.402388888888889
LONRF1	-1.63192857142857
MON1A	0.139166666666667
CACNG6	-0.9005
DPPA4	-5.39
ZSWIM3	0.4215
ZNF804A	0.212333333333333
CCIN	1.49925
SLC25A31	-0.01025
KCNMB4	-0.367
RABL5	0.056875
GALNS	-0.5165
STX6	0.27825
HIST1H1C	-1.83333333333333
CIDEB	-0.195625
CASP4	0.6435
PDK3	0.534
KCNJ11	1.6055
TPR	-0.879
ZSCAN20	0.1085
MTX2	-0.2425
HIST1H2BH	-0.6845
LOC283767	2.5975
LYRM7	-1.063
BRD3	-0.669833333333333
HIST1H2BO	-1.017
MAGEB10	0.1595
SLC45A1	0.60025
SERPINA3	1.2463
KIAA0143	2.27175
KCNJ16	-0.0521666666666667
KRT79	0.0495
FABP2	-0.71975
NUT	-0.58
ZNF57	-0.249
FBXL4	-0.057375
CLEC9A	1.7105
UGT8	-1.45133333333333
BMP2K	0.0885
MAPK4	-3.99425
SLC25A23	-0.3898
HINT1	-0.2593
KRTAP13-1	0.3155
SFXN5	0.5033
CHCHD2	-0.20075
FAM3D	1.346
NDP	-1.55175
RHOBTB1	-0.0476666666666667
SLC4A4	-0.860875
RPL38	-0.05425
HTF9C	-0.560333333333333
AP2A2	0.58625
ZBTB46	0.009
MAP7D1	0.627375
AOX1	-1.0125
CYR61	1.29516666666667
DTNA	-0.903071428571429
JRKL	-0.5835
TMOD3	-0.44
EEA1	-0.2472
ADCK5	0.8145
IL1R1	1.17133333333333
KLK3	0.693571428571429
HRSP12	0.34025
KTN1	1.01075
LOH11CR2A	1.1293
RELL2	-1.18425
MAB21L1	0.6865
C20orf59	-1.31116666666667
PHKB	0.654
ADAM2	-1.70733333333333
TBC1D8B	0.390833333333333
FAM13A1	-1.0235
LAPTM4B	-3.44958333333333
LCN8	-0.187
TMEM147	0.393
SYT4	0.127333333333333
XPO7	-1.1635
C9orf62	2.30175
GPR75	-0.5585
TRIM5	0.022375
APOC1	0.775666666666667
RNASE4	0.152333333333333
PARD6B	1.040375
ARID1A	0.2995
TPD52L3	0.6079
RRAGB	0.997166666666667
RCN2	-1.29283333333333
HIST2H2BE	0.4380625
STARD7	-0.125
SHMT2	-1.12725
KIAA1751	-0.107833333333333
MLYCD	-0.137875
LOC162632	-0.803
UQCRH	-1.8615
RP11-217H1.1	0.0605
SDHA	-1.0055
NCLN	-0.181
ZNF17	0.6275
RCBTB2	-1.07075
VEGFB	0.1809
RP4-747L4.3	0.37925
COLQ	0.6853
MPN2	-0.626
DRG2	0.6095
KLRB1	6.518
ALPK2	-1.233
DNASE2B	0.249
FLJ23834	-0.449333333333333
AXUD1	0.479333333333333
SAFB	-0.4174
NSUN4	-0.66825
RFX2	0.485166666666667
MAPK8IP1	-0.177
FANCD2	-1.50378571428571
ANKZF1	-1.13383333333333
C19orf50	-0.503875
DUSP8	-0.069625
SENP5	-0.4475
NFKBIL2	-0.31925
LBR	-1.530125
IGFL1	0.0155
LZTS2	0.105
IL2RG	0.503
CCDC51	0.3415
KLF3	0.043375
ANKRD37	-1.5585
KCTD14	-1.59416666666667
FZR1	0.122416666666667
SLC44A4	1.1829
ESPL1	-1.26525
GMPR2	-0.0609
TBC1D19	-0.526666666666667
ERGIC1	1.06062962962963
ERBB4	2.7774
TSPAN32	0.516833333333333
MAP4	-0.07525
GPHN	-0.027
SLC6A2	-0.048
HIVEP1	0.32275
DFFB	-0.6012
EIF4EBP2	0.070625
DMRT1	-0.00849999999999999
HSPB6	0.21775
IER2	0.0263333333333333
AIFM1	0.001
WWC2	1.0355
MRPL4	-0.75825
FLJ21062	1.3775
EPB41L4A	1.70075
SH2D6	0.32225
TAF4B	-1.71425
GAL3ST3	-0.5105
MALT1	-1.028
RTDR1	-0.483
ARVCF	0.53875
MEX3B	-1.30383333333333
FBXO16	0.7685
KIF7	-1.188
C1QC	4.26266666666667
ZNF783	-0.4215
ZNF85	-0.574
MMP13	3.6865
KIAA0329	0.44425
RTP3	-0.4385
ZBED3	-0.5165
CLGN	-1.25275
SLC25A37	-2.15520833333333
hCG_18290	0.065
OR5AS1	0.1425
SMARCC2	0.836
FAM109A	0.2195
CCDC12	0.343
USF2	0.4169
DEPDC7	-1.9445
C20orf24	-0.779333333333333
JMJD3	0.4425
DSP	1.539
SLIC1	0.81025
FAM20A	1.811125
IRF2BP2	0.51925
ZNF230	-0.6015
MSN	-0.346214285714286
SLC9A5	-2.139
EPDR1	-0.8072
MUSK	0.0543333333333333
ZNF434	0.493833333333333
SMARCD1	-0.1275
ZFP106	0.22225
