Hybridization REF	TCGA-A2-A04Y-01A-21R-A034-07
LRRTM3	-0.656666666666667
GPHB5	0.10575
OR4C13	-0.191
EIF3EIP	-0.638285714285714
HABP4	-1.15
TMEM125	3.71775
CNTN2	-0.25825
ASNSD1	-0.18025
FUT4	-0.552375
ACF	-3.14025
LOC158381	-0.8525
CDH8	0.26675
AGPS	-0.702
C4orf18	3.00725
PECI	-0.812666666666667
UNG	-0.318625
GSTP1	-2.63675
DCUN1D5	-1.459
DKFZP564J0863	-0.3575
SLC9A3R1	2.790375
BCDO2	-0.17575
CHMP7	-0.801875
REM2	0.6185
DNHD1	-0.465375
FKBP4	0.138125
ZNF350	2.29525
MGC11102	0.230875
BST1	0.774
KISS1R	1.7535
NCR2	0.3135
DEFB125	0.544
UBE2W	0.8155
KRT15	1.347125
C10orf99	0.7055
SCN11A	0.00237499999999998
GFI1	-1.7875
RDHE2	2.43366666666667
FHL1	-0.5045
OSGEP	0.0203333333333333
GATA1	-3.34383333333333
SMC6	-0.99925
TTTY14	-0.52225
LPIN3	0.29625
RPL4	-0.5775
RBPMS	-0.5648
PRPF3	-0.289666666666667
EMR1	-1.783
SPATA19	-0.369
XCR1	0.9925
IRX3	2.8813
RBM6	-0.03775
KLF4	-0.9105
UNC5CL	-1.539
SEBOX	0.084
BTK	0.15075
KRCC1	0.52225
C6orf27	0.4155
SYTL5	-0.866
PRND	0.916875
LOC653319	-0.7395
PIGL	-1.30475
HUS1	-0.299833333333333
SFRS6	0.0926666666666667
C17orf77	0.6725
UIMC1	-0.331833333333333
FXYD2	-1.5966
LOC283152	0.23275
ZNF667	0.9705
ZCCHC12	-1.11825
TFEC	3.2662
ATP7B	0.750666666666667
POLD2	-1.40816666666667
RG9MTD1	-0.60325
ACOT2	1.51333333333333
HIST1H4I	-0.499375
PPARGC1A	-2.1275
ETFA	-1.2355
POLRMT	-0.03625
ZNF146	0.171625
MIA2	-0.447
KLHL6	-0.527
HOXB5	-0.773125
NENF	1.0625
CUGBP1	0.2755
PRSS22	2.387
CASC4	1.1095
CUL4B	0.0707
CENPJ	-1.5313
PITX1	1.19683333333333
FLJ31033	1.42066666666667
CELSR3	0.8715
ZNF568	0.24975
ITSN1	-0.0313333333333333
EHBP1L1	-1.28583333333333
C19orf2	-1.1405
DCTN1	-0.44625
LIN28B	-4.0776
TNKS2	0.49175
C1QBP	-1.04275
CADPS2	0.99725
SRMS	0.59075
GJA9	0.162333333333333
MGC24975	0.703
TRIM45	0.362666666666667
TSP50	1.443
TCP1	-1.4595
TMED7	-0.0307
CMA1	1.156
CENPL	-0.942
PTCRA	0.362
FST	-4.222
VWCE	-2.873
PAWR	0.3555
ABCC12	3.40633333333333
LDLR	0.0164
ASTN2	0.7619
LOC441212	-0.899875
GPATCH8	0.1845
TANC2	-0.957833333333333
KIF4A	-1.761
C18orf18	-2.5765
PGM1	-1.55275
KIAA0258	0.59025
CPD	0.015
SNCAIP	-1.86125
DCT	-4.0525
HLA-DOA	2.8715
OR11L1	0.6745
UPK1B	-0.439833333333333
DNAJB4	-1.512
UGT1A8	-0.439
HIST1H4L	-0.247
PECR	-0.43
HSPA2	-0.5875
WFIKKN1	-2.756
SERP1	-0.2125
SYDE2	1.617
TACR2	0.6075
NUP85	-0.1335
CD177	0.892666666666667
LGR5	-1.84616666666667
PIGG	0.44075
PTHR1	-1.76866666666667
RAB5A	0.0661
FLJ13224	0.4205
USP9Y	-1.28666666666667
C7orf53	0.731
LRP1B	-0.83825
XAF1	3.7249
ABCG8	-0.992
ANKDD1A	-0.404
DAND5	-1.715
SPAG6	-0.436833333333333
LINCR	1.49375
ZDHHC22	-1.394375
CCDC60	0.0625
THOC7	-1.27833333333333
TCTA	0.7038
OR8K3	0.1055
NY-REN-7	-0.27725
B2M	1.22133333333333
C6orf141	0.991875
LPPR4	1.2445
SQLE	2.189
SEPHS1	-0.29675
BTBD14B	0.960428571428571
PLRG1	-0.5535
SPG7	-0.3131875
ZNF614	-0.0333333333333333
PARD6G	1.34616666666667
INPP5B	-1.408
GRPEL2	-0.153375
PPID	-0.9536
TRIM56	-0.2455
UBE2J1	-0.248
IL20RA	3.736
LOC387856	-0.14975
C1orf107	0.62
UTS2R	1.51175
C19orf22	0.45775
SAFB2	0.983375
KIAA0652	-0.504625
KLRG1	-0.389
MS4A8B	0.769333333333333
FRAG1	1.028
KIAA1546	-0.10925
E2F4	-0.9043
CLEC4M	0.971
BTBD14A	0.07725
KIAA0999	0.8456
GYPA	-3.46283333333333
TAC1	1.0472
TRAIP	-1.58133333333333
KIAA0232	0.9055
ERCC8	-1.907625
GPX4	1.594125
KIAA0368	0.0585
GPR157	1.02216666666667
CTAGE4	0.663
C9orf30	-2.41566666666667
OR52A1	-0.3305
HSP90B3P	-0.198
ALG9	-0.1627
BTBD10	0.21375
SDK2	0.5155
BAIAP3	0.7875
RABGGTB	-0.785125
ANKRD40	-0.819166666666667
KRT74	-0.241
CALCOCO2	0.166857142857143
SNCA	-3.7345
TMSL8	-4.60175
C2orf53	0.318
ESRRB	0.1245
ARHGAP26	-0.878625
TDRD9	-2.649
HRAS	1.04516666666667
KLRC4	-2.1285
JAGN1	-0.234666666666667
BSDC1	1.21025
RNF43	-0.075
NDUFAF1	0.23775
PHF12	0.38775
OR1L3	0.1685
FOLR2	1.53233333333333
LYZL6	0.268166666666667
tcag7.1260	-2.1195
WSB1	-1.04516666666667
PROS1	-1.2944
OSTN	0.377
PSMB8	0.86
SOCS4	-1.120625
DDIT4L	-0.26125
MAS1	-0.068
MGC34796	1.72525
CSHL1	-0.108166666666667
TBCCD1	-0.552166666666667
ZBTB7C	0.123
AP2S1	-0.808875
P15RS	-0.2771
VAT1	-1.0551
SHANK3	1.43583333333333
TUFM	-0.217666666666667
THEG	-0.1095
KRT34	-1.94275
SGSM3	0.20925
TOMM22	-1.0765
SOCS3	2.38833333333333
CPO	0.9035
POP4	-0.154
BHLHB3	0.20625
MALL	0.57975
OR1B1	0.6265
PARK2	0.145
GPR124	0.62025
LCE1E	-0.1425
RUVBL2	-0.97575
CGRRF1	-0.4649
ACPL2	-0.0895
WNT10B	-1.93775
BAIAP2L2	-1.904
ISCA1	-0.775
C1orf125	0.186125
RPAP1	-0.49275
RAI16	0.166
RPL27	-1.0205
NLRP9	-0.1365
EPN1	-0.279
LOC388610	-1.06375
SLC35A1	0.5861
GAL	-4.184
SLC14A2	0.33275
RDH11	-0.4565
FAM138F	-0.558
AUH	-0.871
FLJ40243	0.29525
C14orf129	-1.24
MBD2	0.388
ABHD14B	0.101
PIGT	0.019625
ALS2CR4	-0.996125
ALAS1	-0.4516
FOXO1	0.587666666666667
CRLF3	-0.5315
C20orf107	0.0645
FARS2	-0.0025
CCDC28A	-0.38075
NPHP3	-0.53725
OR13F1	0.447
TSEN54	0.4905
DEFB106B	0.0737
OR8B4	0.4085
STH	0.0875
ZC3H14	-0.370375
CBX2	-0.267
TMEM49	-1.2265
C6orf21	0.5585
FLJ20920	2.007
CRTAP	-0.895571428571429
DDX50	-0.38825
STYXL1	-1.0395
BLVRB	0.533666666666667
LOC147650	0.0875
MMP24	0.36875
GRID1	1.58233333333333
BANF1	-0.272166666666667
CTAGEP	0.01725
HMBS	-1.60975
SLC25A24	0.313166666666667
C14orf50	-0.36675
MRO	0.978333333333333
SLC25A15	-0.8335
FAM84B	4.1028
TDP1	-0.7025
C16orf78	-0.210666666666667
C11orf57	0.512125
RFK	-1.112375
ZFYVE9	0.83025
STCH	-2.1954
WIBG	1.0885
LOC283871	-0.3665
GBA2	-0.9388
NDUFB3	-0.32975
HSD17B13	0.35575
GRIN3A	0.5895
FMNL1	-0.170666666666667
SEPT7	-0.4074
GNLY	2.7675
GRAMD1C	0.631
ZNF165	0.75
USP38	0.768
FAM83A	-0.205166666666667
C14orf24	0.726166666666667
ARMCX3	-0.29575
ARHGDIB	0.545333333333333
AK1	0.73875
KIAA1045	0.171
DNAJB13	-0.266333333333333
NEU2	-0.4385
HIST1H4B	-0.4205
FAM20B	-0.4061
HES2	1.19607142857143
FAM73B	-0.0625
LOC388381	-0.0945
INTS7	-0.192363636363636
AMPH	2.34975
ZNF775	-0.16175
UCKL1	-0.145666666666667
C10orf97	-0.7095
C1orf161	-0.16625
ALDH1L1	-0.20875
FLJ39378	0.054
SLC23A1	-1.287
RBM4B	-0.10375
THAP4	-0.1515
OGFRL1	1.36475
KIAA0831	0.268375
PPP1R15A	0.1835
C1orf96	-0.365785714285714
C12orf11	-1.87675
BMF	0.421875
MAN1A1	-1.771
KIAA1600	0.603666666666667
NLGN4X	-1.5015
ALOX12	-1.37166666666667
RB1CC1	0.8662
NEIL2	-0.2443
EIF4E	-0.3335
ABHD5	-0.18
EXOC4	-0.421166666666667
CIP29	-0.205333333333333
BATF2	2.70775
SLC29A4	-0.790625
HTR4	-0.1305
EMB	-1.22175
TRAF6	-0.08825
LMNB1	0.039
FAM19A5	-1.165625
SHE	1.52725
PIK3C2B	1.936
C15orf15	-1.1208
USP15	-0.1882
TCEAL2	-0.3315
C5orf39	-0.147166666666667
PTGER2	-1.762
SLC31A1	-0.8238125
IFT172	0.33475
ADAM29	-0.10775
GFOD1	-0.20675
ST7L	1.0415
C15orf26	-3.40675
PKN3	-1.43625
CNTD1	0.525166666666667
COMMD1	-0.225375
NTRK2	2.3145
FOXN3	0.098125
MFGE8	-1.3344
PFKFB2	0.984333333333333
TAS2R4	-0.06025
ENTHD1	0.528
PRMT5	-1.767625
MGC16384	-0.573
LOC442229	-1.32225
TSKU	2.238625
KRTCAP3	2.75125
PDLIM1	0.5427
KCNS2	0.5955
RNF126	0.4245
CEP63	0.33425
CLIC4	-1.089375
hCG_1990170	-1.276
ACR	0.449222222222222
KLK7	0.2615
ALOX5AP	2.911375
RIPK3	3.40175
TAS2R9	0.1815
C19orf18	2.865
BIRC6	0.0365714285714286
ZNF16	0.4605
RFT1	-0.7115
SLC8A2	-0.44625
TACC1	0.830625
ITGAD	1.5375
SAMHD1	1.31625
SH3PXD2B	0.3281
EPC2	0.792
C20orf85	0.574875
ATP13A2	0.443166666666667
KRT4	1.513875
CAPNS1	-0.05625
MDM2	1.16666666666667
PCDH20	0.0545
KCNK9	0.6105
OR2C1	-0.513
KLHDC3	-0.952333333333333
IPPK	0.5445
EFHD2	0.42125
GALR3	1.63425
NBEA	1.0095
ABCA6	2.7201
CLDN3	3.27483333333333
AKT2	0.115
EGFR	-2.4509
RBM16	0.768125
ZDHHC3	-0.0525
SLC25A4	-0.122833333333333
CYB5B	-1.47033333333333
CPXM1	-1.0545
NDRG1	-1.95107692307692
FLJ43826	0.2355
OR5L2	-0.214
FARP2	0.1238
MRPL46	-1.1575
LDHAL6B	0.166666666666667
MAPKAPK3	-0.110166666666667
NCAM2	-1.07725
PRKD2	0.419166666666667
ZFP36L1	0.5227
CYSLTR1	-0.53625
OR4C3	0.133
HIST1H2AJ	2.687
CCNB2	-1.76855555555556
ZNF10	0.30575
TMEM175	1.038
FAM134A	0.56
TIGD4	0.1275
PCNP	-0.8405
MGC39715	0.5155
LQK1	0.063
CREB1	-0.0937
TMPRSS3	0.522
C4orf32	1.088625
LAT	-0.846083333333333
KCNA3	-0.1135
SKIV2L2	-0.9065
ROPN1B	-1.966
tcag7.23	-0.725
CDT1	-2.304625
ZHX2	1.203625
CD28	-2.004
ZNF624	0.398
SEPT2	-0.926833333333334
SOHLH2	-1.77528571428571
MCOLN3	0.53425
UNQ1945	0.614
MASP2	-0.6815
ZNRF3	-0.355
GPATCH3	-0.465
AGL	-0.186125
QRICH2	-0.2315
PSD4	0.902166666666667
CCNB1IP1	-1.9005
ENPP7	0.20125
OBFC1	0.34375
KCNG3	-2.62066666666667
C14orf79	0.91575
ENPEP	0.951666666666667
SCT	0.999
SKI	1.83125
SEC61G	-1.1885
CAPN11	0.2215
ATXN7L3	0.122
DBNDD1	0.819166666666667
FAIM	0.4175
ANKRD36	0.003
GABRP	1.66383333333333
TACSTD2	2.206
EIF3J	-0.21325
PPP2R2A	-1.97025
TEKT4	0.318833333333333
PVALB	-3.70016666666667
F10	-2.55666666666667
FAM134C	0.749
COMP	4.804625
EFCBP1	-0.0449375
SCLT1	1.207625
TAL1	-0.9924
ACSL1	0.8925
ABCC5	0.494
ABL1	-0.200666666666667
RBBP7	-0.288583333333333
PTPRG	-0.18075
NCOR1	-0.6669
SPINK4	2.45683333333333
TXNRD1	-2.0339
TNRC15	1.1795
C9orf138	0.668
UBE2H	1.17566666666667
BRDT	0.889
C8orf31	0.01025
CCNE2	-0.420636363636364
SLC6A8	-1.539375
CALCR	-0.028
PPP1CB	0.0185
ABHD8	0.30425
ARF5	0.327
SLC24A4	0.632
CCT3	-0.19425
ZNF121	0.4155
SLC3A2	-0.4612
OR13A1	1.1705
SLC5A10	-0.08975
RAD50	0.062375
IER5	0.456
MTHFD1L	-2.340625
MBTPS2	-0.00625
MVK	-0.323625
NCL	-0.4359
PSMD10	-1.2325
MOBP	0.601125
FLJ32894	-0.919
HRH1	-1.21283333333333
C5orf30	0.7495
NUDT16L1	0.9519
RASGRP3	3.41166666666667
PRKRIP1	-0.1804
CCDC75	0.492
LOC253970	-0.144
KIAA1239	0.30125
MED21	-1.02
SYT11	0.0398333333333334
NTSR2	0.2935
EGFL11	0.5295
CXorf59	0.1025
OR2A25	0.23525
SPTBN2	-0.84575
LRMP	-1.02533333333333
RNF111	-0.59175
PTH	-0.002
LOC619208	-0.690833333333333
KIAA0895	-0.73425
RANBP5	-1.55625
P2RY10	4.82116666666667
NME5	2.71733333333333
DDX21	-0.53025
LRSAM1	0.1175
HDAC11	1.83816666666667
VMO1	2.264
NOLA2	-0.101166666666667
ADAR	0.262666666666667
MTO1	-1.28283333333333
SF4	0.2865
P2RX1	0.061
HBM	0.5195
EN2	2.144
C14orf172	0.2445
TM9SF2	-0.1473
INHBE	-1.2125
TCTE3	0.105333333333333
TOX2	-2.789
CTAGE3	0.437375
HBB	3.3089
MED15	-0.616166666666667
CASR	0.419
C6orf66	-0.970833333333333
MTPN	0.017
UNC50	-1.29025
C21orf33	-0.19175
IRF2	1.0495
PGR	0.718833333333333
GPR84	3.52875
CROCCL1	-1.52925
SRPX	-1.7225
BRE	-0.203333333333333
FGF10	1.1215
SDC3	0.131833333333333
ZRSR1	0.595666666666667
DKFZP434P211	0.305375
SOX6	0.1615
RPUSD2	-0.35675
C14orf173	0.287583333333333
MAPK11	0.0776666666666667
TBC1D22A	-0.178
FAM123A	-0.4835
COL4A6	-3.339
TOMM70A	-0.90275
NAB1	-0.19475
MGC16385	-0.691875
TSPAN18	0.366333333333333
MED31	-0.8885
PLG	-0.83625
CAPSL	0.139
ZNF532	0.7141
ASB14	0.256
CA8	-2.27525
NUDT16P	2.23533333333333
SLFN11	-0.706
LRRIQ2	-0.126
NOL7	-0.0373333333333333
BRMS1L	-1.24875
JARID1A	0.519833333333333
PANK2	-0.3915
ICAM3	-0.6745
MDS1	-0.09225
TAF8	-0.18875
RNF139	3.72275
ZNF594	-1.11316666666667
ADAM8	2.924875
SFTPC	-0.235875
MAN2B2	1.118125
RGS12	1.1291875
EIF1AY	-4.45491666666667
LRRIQ1	-1.65533333333333
GPR150	1.693
CCDC21	-1.70266666666667
PRRG3	0.476
SAA4	-2.978
RAPGEF5	1.392375
ZCCHC2	0.884166666666667
MGC39372	0.75
PPP4R2	0.3475
CDCA2	-1.89816666666667
OR4D5	0.241833333333333
PTGFRN	0.7063
SIGLEC5	2.61316666666667
C19orf61	-0.1645
NMUR2	-0.202
KIAA1586	-1.15166666666667
DAGLA	1.25016666666667
CHCHD6	-0.71425
GPR32	0.054
NEUROD6	0.3798
SLC2A4RG	0.9366875
CA5B	0.12175
FBXL3	0.2045
MPHOSPH9	-0.941
HMG2L1	-0.20925
HCN4	1.093
CEACAM19	0.4005
SH2D4B	-0.226
HFE2	-0.8065
TGM4	0.0326
LYPD2	-0.49275
TBC1D15	-0.175
MRPS21	-0.2
NONO	-1.1184
CLEC5A	2.004
ITCH	0.1724
MGAT3	-1.095
MBP	-0.463375
RPP25	1.0565
SOSTDC1	-2.0605
HRC	-1.5205
TRIM48	-0.0535
TMEM133	-0.703
ECEL1P2	-0.84325
HOXC11	-0.3325
DOK5	-0.1085
HELZ	0.901333333333333
LOC348180	-1.042
MGC33894	0.2825
ADRB3	0.0525
DMD	-0.0888333333333333
PTRH2	0.474
MPEG1	3.19666666666667
NDUFA12	-0.151166666666667
KRTAP2-4	0.316916666666667
STAMBPL1	-1.89433333333333
ADCY2	-0.117166666666667
UNQ6125	-0.167
KLHL20	0.599
SRM	-1.2625
OTC	-0.059
TMIE	0.7825
SNX8	0.48075
LIPK	-0.2805
CHURC1	0.458416666666667
KLC2	0.447833333333333
HDAC1	-0.0756666666666667
FAM128A	0.364833333333333
FNDC3B	-0.8701
MTCP1	-1.054
WFDC10B	-0.0322
PCDHGB3	0.7145
ATRNL1	-2.0098
CAV2	-1.127375
MED26	0.508
DUS1L	1.22825
CHRM3	-1.074125
NEK9	-0.05025
WARS2	0.688
TBX22	0.1905
TOMM40	-0.582
RP6-213H19.1	-1.1745
TUBGCP5	-0.40175
IGSF6	4.9725
TPPP	2.19916666666667
UNQ6190	-0.2485
GSTM5	-0.142625
BTD	-0.371166666666667
PDCD1LG2	-0.162666666666667
SNRPB2	-0.347666666666667
ERICH1	-0.573375
APOA4	-1.5975
HOXA11	-2.23825
NARG1	-0.7585
MKX	4.8425
RAB28	-0.941214285714286
PKP3	2.22825
SH3GL2	-1.9735
CTSO	2.22125
RPN2	0.657
IL28RA	0.998
SFMBT1	1.6355
WDR57	-1.620125
FER1L3	1.36725
HSF5	0.179166666666667
TTC9B	0.8335
C4BPA	-3.51933333333333
ALB	-4.33042857142857
SORBS3	0.512875
UPF2	-0.056
JPH1	0.126
AGBL2	-1.345
DOPEY1	2.1725
TERF1	-0.699
KIF22	-0.276166666666667
NINJ1	1.506
SEC61A2	0.571333333333333
HIST1H1D	0.844833333333333
SFXN4	0.442625
UCP3	0.3296
ZNF703	1.40583333333333
MYL6B	-0.774
TREM1	1.62575
OR52E6	0.1125
CKMT2	0.738
HLA-C	1.99325
SLC13A3	-0.409833333333333
TIMP4	-0.13625
SLIT2	1.781
RSF1	0.292444444444445
LONRF1	-1.24507142857143
MON1A	-0.0178333333333333
CACNG6	-1.14166666666667
DPPA4	-4.793
ZSWIM3	-0.79825
ZNF804A	-0.129166666666667
CCIN	0.892
SLC25A31	-0.0805
KCNMB4	-1.84925
RABL5	0.07875
GALNS	0.0297
STX6	1.586125
HIST1H1C	-0.880166666666667
CIDEB	-0.489375
CASP4	0.364666666666667
PDK3	-0.5262
KCNJ11	0.9055
TPR	0.191375
ZSCAN20	-1.0425
MTX2	-0.05875
HIST1H2BH	-0.13625
LOC283767	1.3145
LYRM7	-1.45272222222222
BRD3	1.10033333333333
HIST1H2BO	-0.62375
MAGEB10	0.6585
SLC45A1	0.675
SERPINA3	0.9549
KIAA0143	2.81375
KCNJ16	0.1595
KRT79	0.8155
FABP2	-0.2395
NUT	-0.5195
ZNF57	0.11875
FBXL4	-1.686125
CLEC9A	1.4985
UGT8	-1.72283333333333
BMP2K	0.4795
MAPK4	-3.0895
SLC25A23	-0.4023
HINT1	-1.2129
KRTAP13-1	-0.3585
SFXN5	1.2595
CHCHD2	0.0149166666666667
FAM3D	2.17
NDP	0.337
RHOBTB1	-0.1895
SLC4A4	-1.27475
RPL38	0.626
HTF9C	0.368
AP2A2	0.22625
ZBTB46	-0.4655
MAP7D1	-0.212375
AOX1	-1.61983333333333
CYR61	0.985833333333333
DTNA	0.137285714285714
JRKL	-1.182
TMOD3	-0.40625
EEA1	0.5278
ADCK5	0.29975
IL1R1	0.393666666666667
KLK3	0.576928571428571
HRSP12	-1.4385
KTN1	0.343
LOH11CR2A	-0.7232
RELL2	-0.4005
MAB21L1	1.06775
C20orf59	-0.317166666666667
PHKB	-0.41
ADAM2	-1.91133333333333
TBC1D8B	0.272166666666667
FAM13A1	-0.6876875
LAPTM4B	-0.0750833333333334
LCN8	-0.006
TMEM147	-0.022
SYT4	-0.00433333333333334
XPO7	-1.1015
C9orf62	1.89725
GPR75	0.0535
TRIM5	0.48325
APOC1	0.661333333333333
RNASE4	-1.90566666666667
PARD6B	0.421
ARID1A	0.288583333333333
TPD52L3	0.2392
RRAGB	-0.157666666666667
RCN2	-0.806666666666667
HIST2H2BE	-0.595125
STARD7	-0.56525
SHMT2	-0.9655
KIAA1751	0.0928333333333334
MLYCD	-0.312875
LOC162632	-0.5201
UQCRH	-1.38775
RP11-217H1.1	0.80275
SDHA	-1.1935
NCLN	0.4682
ZNF17	0.3455
RCBTB2	-1.51275
VEGFB	-0.0609
RP4-747L4.3	-1.329
COLQ	0.7217
MPN2	-0.399166666666667
DRG2	-0.86625
KLRB1	4.745
ALPK2	-2.80575
DNASE2B	3.341
FLJ23834	1.872
AXUD1	1.37216666666667
SAFB	0.4468
NSUN4	-0.15225
RFX2	0.595666666666667
MAPK8IP1	0.4975
FANCD2	-1.28492857142857
ANKZF1	-1.22783333333333
C19orf50	-0.746125
DUSP8	2.56625
SENP5	-0.006625
NFKBIL2	-0.31525
LBR	-2.2305
IGFL1	-0.786
LZTS2	0.935375
IL2RG	-0.025625
CCDC51	-0.26475
KLF3	-0.316125
ANKRD37	-0.35
KCTD14	-1.42116666666667
FZR1	0.244
SLC44A4	-1.1057
ESPL1	-0.384875
GMPR2	-1.0162
TBC1D19	-1.71283333333333
ERGIC1	0.485259259259259
ERBB4	3.3118
TSPAN32	0.583583333333333
MAP4	-0.2
GPHN	-0.32725
SLC6A2	0.211875
HIVEP1	0.44525
DFFB	-0.2088
EIF4EBP2	0.194375
DMRT1	-0.432
HSPB6	0.18425
IER2	0.492833333333333
AIFM1	0.37475
WWC2	0.466727272727273
MRPL4	-0.7425
FLJ21062	0.468166666666667
EPB41L4A	1.36733333333333
SH2D6	0.1
TAF4B	-1.0355
GAL3ST3	-0.203
MALT1	-0.840666666666667
RTDR1	-0.51175
ARVCF	0.336125
MEX3B	-2.12466666666667
FBXO16	0.3435
KIF7	-1.05875
C1QC	4.47716666666667
ZNF783	0.125333333333333
ZNF85	0.463
MMP13	2.605
KIAA0329	0.158428571428571
RTP3	-0.488
ZBED3	-0.7295
CLGN	-1.97975
SLC25A37	-1.61733333333333
hCG_18290	-0.22925
OR5AS1	0.138
SMARCC2	0.858833333333333
FAM109A	-0.0523333333333333
CCDC12	0.2195
USF2	0.6982
DEPDC7	-2.88675
C20orf24	-1.07583333333333
JMJD3	0.6645
DSP	0.0693571428571429
SLIC1	0.740875
FAM20A	0.345125
IRF2BP2	2.226125
ZNF230	-1.0895
