Hybridization REF	TCGA-BH-A0BR-01A-21R-A115-07
HIGD1B	2.9505
USP6NL	0.397
ABCD4	-0.716166666666667
DIMT1L	-0.63875
TEK	1.189375
SLC25A46	0.23525
LARP7	-1.9448
CD160	0.2856
MT1JP	1.144
PHF20	0.014375
CPNE4	-1.9665
GTPBP1	-0.397357142857143
RAB33B	0.354666666666667
ALDOC	-2.31275
ZNF212	-0.49475
NUDT1	-0.843833333333333
RFPL2	-0.4245
ZNF83	-0.532166666666667
GDPD5	0.55025
PDCD4	1.0368
CEP350	0.09475
OR10A2	0.0975
CST7	1.55125
CIAO1	-0.277
SELL	0.84875
OR8J3	0.0505
LTBP4	-0.474
SIRT6	-0.2175
CCL19	4.226
PPIL1	-0.643333333333333
GBP7	0.184333333333333
STK17A	-0.4084
ABR	0.33175
OR9G1	0.313
FOXE1	-0.279
CNGA3	0.446
GML	0.452
CD38	-2.8
ZDHHC6	0.0863333333333333
NEFH	-2.20425
CTDSP2	0.602833333333333
PGBD5	-0.777
CCNY	-0.0396428571428571
RMND5B	0.55975
ZNF257	0.71
FLJ22167	0.117625
EXOSC7	-1.21233333333333
ROR2	1.257375
MAOA	1.390625
TNNT3	0.8315
GYPC	-1.25175
C7orf33	0.363
PLIN	2.83666666666667
LOC90826	0.5375
RNF4	0.0027
F8A1	0.252333333333333
PLEKHG4	-1.53
GRB2	0.0195
HIST1H2AD	0.211
DUS3L	-0.1825
EIF1	-0.185833333333333
RP5-1077B9.4	-0.9595
FPGT	1.204
GDF10	0.4875
COQ9	-0.07275
GCC2	1.00335714285714
RARRES3	3.244125
PLXNA1	-0.0605
KIAA0100	-0.208
PMF1	-0.06975
FNDC1	6.37875
HS2ST1	-0.27225
CRELD2	0.7635
C8G	-0.9705
CD82	1.023
LIM2	-0.6925
UNQ6490	-0.8245
MMP16	-0.0675
DRD3	0.02975
C5orf26	-0.90525
C11orf73	0.0355
PTP4A2	1.315625
OR4M2	0.9095
HPCA	-1.0765
SEC14L1	-0.129666666666667
CHFR	0.549875
EMILIN1	1.4705
NDUFS4	-0.114
COL18A1	0.681125
PDZD3	-0.0038
C9orf16	0.344666666666667
ERBB2IP	0.47
EMX2	4.18725
FUS	-1.0445
TF	-3.8026
CLCN4	1.04733333333333
CXorf56	0.45675
C11orf72	0.0975
ELAC2	-0.71725
NPR1	-0.656
ASS1	-0.725666666666667
USP42	0.29075
POLR2J	-0.61
SEC23IP	1.2815
UQCRC1	-0.45
LOC729603	0.005
C1orf71	0.23425
POLG	-2.3285
ADAM23	-3.2695
TFR2	-0.79225
RICTOR	-1.2163
MGC39606	0.60125
C19orf55	-0.187625
SNAPC1	-0.417333333333333
GNA11	0.374375
CCDC52	0.726833333333333
FSIP1	3.5895
UPF3A	-1.066
IGSF11	-1.8655
LAGE3	0.465
CHST6	-0.33
UNC13B	-0.612125
TTLL4	-1.279
ZNF687	-0.03375
SDC2	0.3089
COX7A2	-0.969
LAMB4	0.21175
FAM24A	0.5125
LRRTM3	-1.13583333333333
GPHB5	-0.239
OR4C13	-0.3435
EIF3EIP	-0.640357142857143
HABP4	-0.4665
TMEM125	3.488
CNTN2	0.39525
ASNSD1	-0.1865
FUT4	0.075
ACF	-2.916
LOC158381	0.0635
CDH8	0.40075
AGPS	0.538
C4orf18	3.807625
PECI	0.551
UNG	-1.425625
GSTP1	1.40975
DCUN1D5	-1.0285
DKFZP564J0863	0.88525
SLC9A3R1	1.44975
BCDO2	-1.10925
CHMP7	-0.2795
REM2	1.245
DNHD1	-0.468375
FKBP4	0.1485
ZNF350	0.869
MGC11102	0.631625
BST1	2.077
KISS1R	-0.105
NCR2	0.222
DEFB125	-0.516
UBE2W	0.623375
KRT15	-0.7975
C10orf99	0.0465
SCN11A	0.4405
GFI1	-1.92425
RDHE2	4.09616666666667
FHL1	-0.193
OSGEP	-0.3105
GATA1	-3.679
SMC6	-0.321
TTTY14	-1.041
LPIN3	0.42675
RPL4	-0.4976
RBPMS	-0.2856
PRPF3	-0.2615
EMR1	-1.274
SPATA19	-0.09125
XCR1	0.0815
IRX3	0.9155
RBM6	-1.5575
KLF4	-0.8443
UNC5CL	0.059
SEBOX	0.364
BTK	-0.7985
KRCC1	0.9685
C6orf27	0.001
SYTL5	-0.1925
PRND	4.135875
LOC653319	-0.8175
PIGL	-1.7555
HUS1	0.316
SFRS6	0.121
C17orf77	0.5295
UIMC1	-0.170833333333333
FXYD2	-1.4728
LOC283152	-0.3715
ZNF667	0.66875
ZCCHC12	-0.65225
TFEC	3.365
ATP7B	-0.628
POLD2	-0.739166666666667
RG9MTD1	-0.61975
ACOT2	-0.930833333333333
HIST1H4I	-0.776
PPARGC1A	-1.8865
ETFA	-1.1352
POLRMT	-1.0945
ZNF146	-0.552875
MIA2	-2.0275
KLHL6	0.0855
HOXB5	-0.4325
NENF	0.642
CUGBP1	-0.88225
PRSS22	1.90483333333333
CASC4	2.201
CUL4B	-0.0347
CENPJ	-1.6634
PITX1	1.51183333333333
FLJ31033	0.773
CELSR3	-1.4775
ZNF568	0.00024999999999999
ITSN1	0.463916666666667
EHBP1L1	-0.54
C19orf2	3.511
DCTN1	0.38675
LIN28B	-3.58916666666667
TNKS2	0.55725
C1QBP	-1.399875
CADPS2	1.354
SRMS	-0.06125
GJA9	0.495166666666667
MGC24975	-0.0685
TRIM45	-1.23183333333333
TSP50	-0.02625
TCP1	-0.262
TMED7	1.2953
CMA1	1.2215
CENPL	-0.895666666666667
PTCRA	0.1055
FST	-3.116
VWCE	-4.028
PAWR	1.06675
ABCC12	2.512
LDLR	-0.1684
ASTN2	0.2116
LOC441212	-1.26025
GPATCH8	-0.01225
TANC2	-0.0605
KIF4A	-2.03425
C18orf18	-0.133
PGM1	-0.37025
KIAA0258	0.5645
CPD	1.15425
SNCAIP	-0.3315
DCT	-4.32266666666667
HLA-DOA	2.86222727272727
OR11L1	0.2995
UPK1B	-0.244666666666667
DNAJB4	0.76775
UGT1A8	-0.12675
HIST1H4L	-1.0435
PECR	-1.14533333333333
HSPA2	0.144
WFIKKN1	-1.686
SERP1	0.439375
SYDE2	1.65925
TACR2	0.255
NUP85	-0.91025
CD177	-0.381166666666667
LGR5	-1.16316666666667
PIGG	-0.10375
PTHR1	-1.13216666666667
RAB5A	0.4265
FLJ13224	0.091
USP9Y	-1.13483333333333
C7orf53	-1.1255
LRP1B	2.0425
XAF1	1.0345
ABCG8	0.107
ANKDD1A	-0.389166666666667
DAND5	-1.931
SPAG6	0.0125
LINCR	-0.13125
ZDHHC22	-1.16225
CCDC60	2.4865
THOC7	-1.364
TCTA	0.7833
OR8K3	0.01225
NY-REN-7	1.0295
B2M	1.4955
C6orf141	-2.623625
LPPR4	2.339
SQLE	-1.791
SEPHS1	-0.06425
BTBD14B	0.537357142857143
PLRG1	-0.5425
SPG7	-0.7150625
ZNF614	-0.2555
PARD6G	0.407666666666667
INPP5B	-0.8325
GRPEL2	0.170625
PPID	-0.3274
TRIM56	0.07875
UBE2J1	0.33075
IL20RA	4.89625
LOC387856	0.19625
C1orf107	0.0494166666666667
UTS2R	0.11
C19orf22	-0.73275
SAFB2	0.2205
KIAA0652	-0.325875
KLRG1	-0.3865
MS4A8B	2.9915
FRAG1	-0.43625
KIAA1546	0.12
E2F4	-0.4805
CLEC4M	0.101166666666667
BTBD14A	-0.297
KIAA0999	0.1622
GYPA	-3.6445
TAC1	0.4368
TRAIP	-1.5365
KIAA0232	0.4046
ERCC8	-0.490875
GPX4	0.31175
KIAA0368	0.1005
GPR157	-0.801333333333333
CTAGE4	1.654
C9orf30	-0.449333333333333
OR52A1	0.1185
HSP90B3P	-0.1985
ALG9	-0.6987
BTBD10	0.16375
SDK2	0.08025
BAIAP3	0.46975
RABGGTB	-0.741125
ANKRD40	-0.442
KRT74	0.403
CALCOCO2	0.353571428571429
SNCA	-2.55
TMSL8	-3.578625
C2orf53	0.157
ESRRB	-0.29525
ARHGAP26	-0.784125
TDRD9	-2.33025
HRAS	-0.105333333333333
KLRC4	-1.3295
JAGN1	-0.683166666666667
BSDC1	0.75325
RNF43	-0.9523
NDUFAF1	-0.70225
PHF12	0.44125
OR1L3	0.31925
FOLR2	2.17791666666667
LYZL6	0.0141666666666667
tcag7.1260	-0.9925
WSB1	-1.37833333333333
PROS1	0.4155
OSTN	0.337
PSMB8	1.223
SOCS4	-0.16825
DDIT4L	1.504
MAS1	null
MGC34796	0.5395
CSHL1	0.3185
TBCCD1	0.335666666666667
ZBTB7C	0.0885
AP2S1	0.22975
P15RS	0.1748
VAT1	-0.5121
SHANK3	0.807333333333333
TUFM	-0.396166666666667
THEG	-0.419
KRT34	-0.86975
SGSM3	-0.37525
TOMM22	-0.566625
SOCS3	1.55533333333333
CPO	0.3035
POP4	3.57275
BHLHB3	2.516
MALL	1.662
OR1B1	0.3585
PARK2	-0.100833333333333
GPR124	0.915
LCE1E	-0.101
RUVBL2	-1.28175
CGRRF1	-0.0492
ACPL2	-0.0945
WNT10B	-1.96725
BAIAP2L2	-1.459875
ISCA1	0.495
C1orf125	0.00587500000000002
RPAP1	-1.433
RAI16	-0.242166666666667
RPL27	-0.574375
NLRP9	-0.00700000000000001
EPN1	0.784
LOC388610	-1.62675
SLC35A1	0.3917
GAL	-3.10625
SLC14A2	0.145
RDH11	-0.632
FAM138F	-0.1955
AUH	0.18125
FLJ40243	0.361
C14orf129	0.7575
MBD2	0.3645
ABHD14B	-0.9145
PIGT	1.77025
ALS2CR4	0.09
ALAS1	-0.7307
FOXO1	1.1805
CRLF3	-0.5145
C20orf107	0.019
FARS2	0.05625
CCDC28A	0.4585
NPHP3	-1.2135
OR13F1	0.2705
TSEN54	-0.9115
DEFB106B	-0.243111111111111
OR8B4	0.019
STH	0.061
ZC3H14	-0.407375
CBX2	0.045
TMEM49	-1.0595
C6orf21	0.478
FLJ20920	-0.327375
CRTAP	-0.0729285714285714
DDX50	-0.19075
STYXL1	-0.314
BLVRB	-0.677333333333333
LOC147650	-0.964
MMP24	0.29775
GRID1	1.86016666666667
BANF1	-0.16
CTAGEP	2.02025
HMBS	-2.41625
SLC25A24	0.791333333333333
C14orf50	0.14125
MRO	2.28133333333333
SLC25A15	-1.003
FAM84B	-0.1359
TDP1	-0.2945
C16orf78	-0.157
C11orf57	-0.45975
RFK	-0.0125
ZFYVE9	0.16175
STCH	-0.2837
WIBG	0.64625
LOC283871	-0.7155
GBA2	-0.9714
NDUFB3	0.66475
HSD17B13	-0.2815
GRIN3A	0.986
FMNL1	-0.5575
SEPT7	0.2672
GNLY	3.638
GRAMD1C	2.3355
ZNF165	0.318
USP38	2.22575
FAM83A	-2.80983333333333
C14orf24	1.00391666666667
ARMCX3	1.175125
ARHGDIB	2.13683333333333
AK1	0.487
KIAA1045	0.34525
DNAJB13	0.241
NEU2	0.497
HIST1H4B	-0.687666666666667
FAM20B	-0.5324
HES2	0.1015
FAM73B	-0.1144
LOC388381	0.13375
INTS7	-0.661545454545455
AMPH	1.4105
ZNF775	-0.676125
UCKL1	-0.707833333333333
C10orf97	1.23325
C1orf161	0.00325
ALDH1L1	-0.7955
FLJ39378	0.159125
SLC23A1	-0.9485
RBM4B	-0.3315
THAP4	0.309333333333333
OGFRL1	1.006
KIAA0831	-0.22775
PPP1R15A	0.017
C1orf96	-0.00264285714285722
C12orf11	-1.777
BMF	0.5505
MAN1A1	1.309875
KIAA1600	0.9605
NLGN4X	0.4565
ALOX12	-0.446166666666667
RB1CC1	-0.5801
NEIL2	-0.5038
EIF4E	-0.391090909090909
ABHD5	-0.3865
EXOC4	-0.476666666666667
CIP29	0.338333333333333
BATF2	-0.072
SLC29A4	-0.32175
HTR4	0.3315
EMB	-0.3765
TRAF6	1.119
LMNB1	-2.04525
FAM19A5	0.289875
SHE	1.99825
PIK3C2B	1.0105
C15orf15	-1.1768
USP15	0.1786
TCEAL2	-0.40625
C5orf39	-0.741833333333333
PTGER2	-0.0355
SLC31A1	0.867625
IFT172	1.3445
ADAM29	0.26275
GFOD1	0.116
ST7L	0.134833333333333
C15orf26	-2.61975
PKN3	-0.5135
CNTD1	1.5775
COMMD1	0.608875
NTRK2	2.31358333333333
FOXN3	0.3025
MFGE8	0.1565
PFKFB2	0.325333333333333
TAS2R4	-0.065
ENTHD1	1.94333333333333
PRMT5	-1.098875
MGC16384	-1.190875
LOC442229	-0.6185
TSKU	0.630125
KRTCAP3	2.147125
PDLIM1	0.9719
KCNS2	0.29575
RNF126	-0.9505
CEP63	-0.460625
CLIC4	0.7205
hCG_1990170	1.085
ACR	1.128
KLK7	0.9355
ALOX5AP	3.063375
RIPK3	2.95575
TAS2R9	0.072
C19orf18	1.8095
BIRC6	0.234214285714286
ZNF16	0.004
RFT1	-0.9665
SLC8A2	-0.5065
TACC1	0.426125
ITGAD	1.28925
SAMHD1	1.51175
SH3PXD2B	1.938
EPC2	0.567
C20orf85	2.529625
ATP13A2	0.685333333333333
KRT4	0.309375
CAPNS1	0.13125
MDM2	-0.0775833333333333
PCDH20	2.84525
KCNK9	0.26
OR2C1	0.00949999999999999
KLHDC3	-0.443166666666667
IPPK	0.206
EFHD2	-0.023
GALR3	0.2455
NBEA	-0.123666666666667
ABCA6	3.1066
CLDN3	0.0131666666666667
AKT2	-0.981571428571429
EGFR	-1.3606
RBM16	0.7345
ZDHHC3	0.0414
SLC25A4	0.0516666666666667
CYB5B	-0.4335
CPXM1	0.68125
NDRG1	-1.80076923076923
FLJ43826	0.25025
OR5L2	0.00283333333333333
FARP2	0.629
MRPL46	-1.41525
LDHAL6B	-0.512833333333333
MAPKAPK3	-1.08116666666667
NCAM2	-0.1935
PRKD2	-0.257333333333333
ZFP36L1	1.4089
CYSLTR1	2.33825
OR4C3	0.198
HIST1H2AJ	1.1645
CCNB2	-2.67255555555556
ZNF10	0.603875
TMEM175	0.102
FAM134A	0.445833333333333
TIGD4	-1.3105
PCNP	0.00175
MGC39715	-1.49566666666667
LQK1	-0.82275
CREB1	0.8479
TMPRSS3	0.3445
C4orf32	0.4815
LAT	-1.54941666666667
KCNA3	-0.0685
SKIV2L2	-0.62675
ROPN1B	-2.45325
tcag7.23	-0.9105
CDT1	-2.271875
ZHX2	0.6965
CD28	-1.20275
ZNF624	0.97125
SEPT2	1.03141666666667
SOHLH2	-0.721625
MCOLN3	-0.649857142857143
UNQ1945	0.224
MASP2	-0.865
ZNRF3	-0.9315
GPATCH3	-0.3315
AGL	0.536
QRICH2	0.01
PSD4	0.466166666666667
CCNB1IP1	-1.3
ENPP7	0.2755
OBFC1	0.44275
KCNG3	-1.793
C14orf79	0.948
ENPEP	2.32383333333333
SCT	0.793
SKI	0.607875
SEC61G	-0.66825
CAPN11	0.126
ATXN7L3	-0.4485
DBNDD1	0.852833333333333
FAIM	-0.20175
ANKRD36	-0.49
GABRP	1.635
TACSTD2	2.493
EIF3J	-0.98475
PPP2R2A	-0.6885
TEKT4	0.0433333333333333
PVALB	-3.71233333333333
F10	-2.6425
FAM134C	0.265
COMP	5.018
EFCBP1	-2.600625
SCLT1	0.313375
TAL1	-1.2122
ACSL1	1.9145
ABCC5	1.4425
ABL1	-0.392722222222222
RBBP7	0.334083333333333
PTPRG	-0.80225
NCOR1	-0.3471
SPINK4	1.87766666666667
TXNRD1	-1.2869
TNRC15	0.768375
C9orf138	0.760625
UBE2H	1.42283333333333
BRDT	0.3425
C8orf31	0.0635
CCNE2	-1.84981818181818
SLC6A8	-1.36175
CALCR	-3.184
PPP1CB	0.601333333333333
ABHD8	-0.2375
ARF5	0.5239
SLC24A4	0.782
CCT3	-0.24175
ZNF121	0.62575
SLC3A2	-1.1426
OR13A1	0.0985
SLC5A10	-0.568
RAD50	0.156625
IER5	-0.165
MTHFD1L	-1.5345
MBTPS2	0.85375
MVK	-0.650875
NCL	-0.1697
PSMD10	0.25375
MOBP	0.209625
FLJ32894	0.3995
HRH1	1.35133333333333
C5orf30	-0.47525
NUDT16L1	0.6357
RASGRP3	4.08433333333333
PRKRIP1	-0.1466
CCDC75	0.71375
LOC253970	-0.17325
KIAA1239	1.3445
MED21	0.552
SYT11	0.425333333333333
NTSR2	0.037
EGFL11	-0.1005
CXorf59	0.3165
OR2A25	-0.0605
SPTBN2	-0.156
LRMP	-0.938666666666667
RNF111	-0.06225
PTH	1.282
LOC619208	0.6555
KIAA0895	1.2585
RANBP5	-1.77475
P2RY10	1.38383333333333
NME5	4.694
DDX21	-0.69925
LRSAM1	0.318
HDAC11	-0.295333333333333
VMO1	1.66275
NOLA2	-0.1035
ADAR	0.640666666666667
MTO1	-0.468666666666667
SF4	-0.751
P2RX1	-0.0586666666666667
HBM	0.363
EN2	-0.048
C14orf172	-0.11725
TM9SF2	0.4866
INHBE	-0.8485
TCTE3	0.13625
TOX2	-2.52
CTAGE3	2.20025
HBB	3.7048
MED15	-0.729833333333333
CASR	0.61325
C6orf66	-1.36616666666667
MTPN	0.40225
UNC50	0.30175
C21orf33	0.023125
IRF2	1.53875
PGR	-1.8515
GPR84	2.45325
CROCCL1	-3.01325
SRPX	-0.304
BRE	0.795333333333333
FGF10	1.18275
SDC3	1.13183333333333
ZRSR1	0.0885
DKFZP434P211	-0.57425
SOX6	0.0875
RPUSD2	-1.23925
C14orf173	0.312583333333333
MAPK11	-0.403
TBC1D22A	-0.171
FAM123A	-1.376
COL4A6	-1.96283333333333
TOMM70A	0.0765
NAB1	-0.19475
MGC16385	0.30375
TSPAN18	0.289166666666667
MED31	-0.2745
PLG	-0.06425
CAPSL	2.0895
ZNF532	0.9628
ASB14	-0.3825
CA8	-0.24225
NUDT16P	-0.121166666666667
SLFN11	0.079
LRRIQ2	0.18225
NOL7	-0.461666666666667
BRMS1L	-0.182125
JARID1A	0.499833333333333
PANK2	-0.534
ICAM3	-0.08075
MDS1	0.346
TAF8	-0.27825
RNF139	-0.13275
ZNF594	-0.559833333333333
ADAM8	2.881125
SFTPC	-0.096375
MAN2B2	1.232875
RGS12	0.2373125
EIF1AY	-4.36245454545455
LRRIQ1	0.197166666666667
GPR150	0.3075
CCDC21	-1.116
PRRG3	0.2845
SAA4	-3.522
RAPGEF5	1.59125
ZCCHC2	0.526166666666667
MGC39372	-0.0685
PPP4R2	1.01433333333333
CDCA2	-2.14583333333333
OR4D5	0.1635
PTGFRN	2.3069
SIGLEC5	1.34016666666667
C19orf61	-1.029
NMUR2	0.12
KIAA1586	-0.384
DAGLA	-0.372333333333333
CHCHD6	-0.81025
GPR32	0.9225
NEUROD6	0.2535
SLC2A4RG	0.3931875
CA5B	0.54825
FBXL3	0.911
MPHOSPH9	-0.45825
HMG2L1	0.16625
HCN4	-0.0383333333333333
CEACAM19	0.11225
SH2D4B	0.2955
HFE2	0.0645
TGM4	0.3818
LYPD2	-0.30325
TBC1D15	0.21775
MRPS21	-0.216
NONO	-0.5556
CLEC5A	2.305375
ITCH	0.3403
MGAT3	-0.921333333333333
MBP	0.885625
RPP25	-1.37625
SOSTDC1	-0.40575
HRC	-1.46875
TRIM48	0.278
TMEM133	0.4065
ECEL1P2	-1.01
HOXC11	-0.402
DOK5	0.72175
HELZ	-0.00366666666666667
LOC348180	-0.93025
MGC33894	0.173
ADRB3	-0.0605
DMD	-0.0181666666666667
PTRH2	-0.9615
MPEG1	3.52533333333333
NDUFA12	-0.709166666666667
KRTAP2-4	0.218583333333333
STAMBPL1	-1.3475
ADCY2	-0.222333333333333
UNQ6125	0.37
KLHL20	0.478
SRM	-0.44675
OTC	-0.0395
TMIE	-0.0665
SNX8	-0.186
LIPK	-0.055
CHURC1	0.1435
KLC2	0.0443333333333333
HDAC1	0.0575
FAM128A	-0.122166666666667
FNDC3B	1.7557
MTCP1	-0.3
WFDC10B	0.1081
PCDHGB3	0.4155
ATRNL1	-2.1647
CAV2	0.756375
MED26	-0.3755
DUS1L	-0.26475
CHRM3	-1.677375
NEK9	-0.87575
WARS2	-0.58675
TBX22	-0.166
TOMM40	-1.076
RP6-213H19.1	-0.667666666666667
TUBGCP5	-0.72
IGSF6	4.6095
TPPP	2.116
UNQ6190	0.0565
GSTM5	0.2155
BTD	0.0723333333333333
PDCD1LG2	0.538333333333333
SNRPB2	-1.065
ERICH1	-0.688875
APOA4	-1.478125
HOXA11	-1.3575
NARG1	-0.82925
MKX	0.0615
RAB28	-0.190142857142857
PKP3	0.59725
SH3GL2	-1.73825
CTSO	3.612
RPN2	0.5350625
IL28RA	0.384666666666667
SFMBT1	0.155
WDR57	-0.7825
FER1L3	1.33083333333333
HSF5	0.560666666666667
TTC9B	0.027
C4BPA	-2.9035
ALB	-4.42392857142857
SORBS3	0.64925
UPF2	0.3915
JPH1	-0.5075
AGBL2	-1.3435
DOPEY1	1.5335
TERF1	-0.780583333333333
KIF22	-0.915
NINJ1	1.931
SEC61A2	0.565916666666667
HIST1H1D	-1.00033333333333
SFXN4	-0.76875
UCP3	0.5697
ZNF703	0.273
MYL6B	-0.262
TREM1	3.0675
OR52E6	0.649
CKMT2	0.926
HLA-C	2.120125
SLC13A3	-1.22316666666667
TIMP4	-1.0045
SLIT2	2.42425
RSF1	1.19683333333333
LONRF1	-0.558142857142857
MON1A	-0.4755
CACNG6	-1.68616666666667
DPPA4	-5.90233333333333
ZSWIM3	0.3425
ZNF804A	0.0218333333333333
CCIN	1.539
SLC25A31	0.31125
KCNMB4	0.0235
RABL5	1.096875
GALNS	0.0131
STX6	0.87575
HIST1H1C	-0.424333333333333
CIDEB	-0.4265
CASP4	0.134833333333333
PDK3	0.5142
KCNJ11	0.1285
TPR	-0.32725
ZSCAN20	-0.42
MTX2	-0.30875
HIST1H2BH	0.59225
LOC283767	0.61575
LYRM7	-1.37072222222222
BRD3	0.198666666666667
HIST1H2BO	-0.115
MAGEB10	0.166
SLC45A1	-0.046
SERPINA3	-0.6267
KIAA0143	0.6945
KCNJ16	0.1744
KRT79	0.7285
FABP2	-0.116
NUT	-0.13875
ZNF57	-1.2325
FBXL4	-0.219625
CLEC9A	0.669
UGT8	-0.7935
BMP2K	1.1625
MAPK4	-3.19425
SLC25A23	-0.813
HINT1	0.2212
KRTAP13-1	0.251
SFXN5	-0.2698
CHCHD2	0.0680833333333333
FAM3D	2.699
NDP	-2.208375
RHOBTB1	-0.132166666666667
SLC4A4	-0.722125
RPL38	-0.41725
HTF9C	-0.186
AP2A2	0.02725
ZBTB46	-0.4755
MAP7D1	0.7045
AOX1	-0.877833333333333
CYR61	0.829666666666667
DTNA	-0.441214285714286
JRKL	0.072
TMOD3	0.69525
EEA1	0.8254
ADCK5	-0.60875
IL1R1	1.912
KLK3	0.195142857142857
HRSP12	-1.226
KTN1	-0.068
LOH11CR2A	1.4506
RELL2	-0.601
MAB21L1	0.6665
C20orf59	-0.755333333333333
PHKB	0.55675
ADAM2	-2.0195
TBC1D8B	2.01283333333333
FAM13A1	-0.4714375
LAPTM4B	-1.43933333333333
LCN8	0.058
TMEM147	0.458
SYT4	-0.496333333333333
XPO7	-1.0745
C9orf62	0.57575
GPR75	-0.2695
TRIM5	-0.502625
APOC1	1.1665
RNASE4	1.38316666666667
PARD6B	-2.145625
ARID1A	0.113916666666667
TPD52L3	0.1309
RRAGB	0.0705
RCN2	0.308166666666667
HIST2H2BE	-0.3130625
STARD7	-0.7645
SHMT2	-1.19325
KIAA1751	-0.0945
MLYCD	0.26725
LOC162632	-0.873
UQCRH	-0.628
RP11-217H1.1	1.341375
SDHA	1.14483333333333
NCLN	-0.4598
ZNF17	0.713333333333333
RCBTB2	-0.89525
VEGFB	0.3392
RP4-747L4.3	0.86075
COLQ	-0.1072
MPN2	-0.959666666666667
DRG2	-0.7185
KLRB1	4.793
ALPK2	-0.8745
DNASE2B	3.184
FLJ23834	-0.288833333333333
AXUD1	0.424166666666667
SAFB	-0.2143
NSUN4	0.0985
RFX2	-0.00599999999999999
MAPK8IP1	-0.263666666666667
FANCD2	-1.24121428571429
ANKZF1	-1.6465
C19orf50	-0.493125
DUSP8	0.88075
SENP5	1.608
NFKBIL2	-1.13125
LBR	-1.65325
IGFL1	0.844
LZTS2	1.01075
IL2RG	0.00137500000000002
CCDC51	-1.16075
KLF3	0.72425
ANKRD37	0.74875
KCTD14	-1.429
FZR1	0.0211666666666667
SLC44A4	3.8372
ESPL1	-0.877125
GMPR2	-0.3932
TBC1D19	-0.0558333333333333
ERGIC1	0.736814814814815
ERBB4	1.7079
TSPAN32	0.111916666666667
MAP4	-0.30625
GPHN	-1.30125
SLC6A2	0.668125
HIVEP1	0.6895
DFFB	-0.4967
EIF4EBP2	0.791125
DMRT1	0.302
HSPB6	-0.299
IER2	0.210333333333333
AIFM1	0.33675
WWC2	0.411833333333333
MRPL4	-0.11375
FLJ21062	1.70616666666667
EPB41L4A	1.46166666666667
SH2D6	0.1855
TAF4B	-1.29275
GAL3ST3	-0.076
MALT1	0.0878333333333333
RTDR1	0.529
ARVCF	-1.465
MEX3B	-0.188833333333333
FBXO16	0.72875
KIF7	-1.2215
C1QC	4.04533333333333
ZNF783	-0.349333333333333
ZNF85	0.487
MMP13	5.866
KIAA0329	0.047125
RTP3	-0.3415
ZBED3	-1.268
CLGN	0.1845
SLC25A37	-1.42325
hCG_18290	-1.01625
OR5AS1	0.228
SMARCC2	0.206083333333333
FAM109A	-0.0668333333333333
CCDC12	-0.9085
USF2	0.2072
DEPDC7	-1.16125
C20orf24	0.0925
JMJD3	0.698
DSP	1.03478571428571
SLIC1	0.516375
FAM20A	2.314375
IRF2BP2	0.396625
ZNF230	0.1505
MSN	0.0771428571428571
SLC9A5	-0.692
EPDR1	0.0273
MUSK	0.1265
ZNF434	-0.0456666666666667
SMARCD1	-0.264166666666667
ZFP106	-0.03725
ZNF347	0.5165
GTF2E1	0.86
RY1	0.1945
ATAD2B	0.371375
