Hybridization REF	TCGA-BH-A0HU-01A-11R-A034-07
MAOA	-1.733125
TNNT3	1.214
GYPC	-1.88425
C7orf33	0.318
PLIN	3.697
LOC90826	-0.161
RNF4	-0.1951
F8A1	-0.0731666666666667
PLEKHG4	-1.33025
GRB2	-0.3613
HIST1H2AD	-0.87275
DUS3L	-2.44966666666667
EIF1	-0.145
RP5-1077B9.4	-1.0495
FPGT	1.9235
GDF10	-0.818166666666667
COQ9	0.23025
GCC2	-0.532285714285714
RARRES3	2.863625
PLXNA1	-0.5638
KIAA0100	-0.00170000000000003
PMF1	0.54925
FNDC1	6.04825
HS2ST1	-0.577833333333333
CRELD2	0.1625
C8G	-0.8465
CD82	0.17675
LIM2	-0.3695
UNQ6490	0.2715
MMP16	-0.08825
DRD3	0.0985
C5orf26	1.112
C11orf73	-0.609625
PTP4A2	2.445625
OR4M2	2.339
HPCA	-2.05333333333333
SEC14L1	-0.636833333333333
CHFR	0.319375
EMILIN1	0.576125
NDUFS4	-0.48425
COL18A1	-0.46075
PDZD3	-0.162125
C9orf16	-0.259166666666667
ERBB2IP	0.770166666666667
EMX2	3.19375
FUS	-1.07525
TF	-4.0119
CLCN4	-1.02483333333333
CXorf56	-0.96925
C11orf72	0.93925
ELAC2	-0.321
NPR1	-1.99825
ASS1	-3.07966666666667
USP42	0.210375
POLR2J	0.00900000000000001
SEC23IP	0.3265
UQCRC1	-0.1845
LOC729603	-0.698
C1orf71	-0.16525
POLG	-1.413
ADAM23	-3.50625
TFR2	-1.297
RICTOR	-0.826222222222222
MGC39606	-0.18275
C19orf55	0.087875
SNAPC1	-0.694666666666667
GNA11	-0.011125
CCDC52	0.923833333333333
FSIP1	4.179
UPF3A	-1.473125
IGSF11	-2.401
LAGE3	-0.34825
CHST6	-2.429
UNC13B	1.044125
TTLL4	-0.141125
ZNF687	1.153375
SDC2	1.1073
COX7A2	0.3245
LAMB4	0.861
FAM24A	0.0295
LRRTM3	-0.47225
GPHB5	0.97075
OR4C13	0.631
EIF3EIP	0.031
HABP4	-1.507
TMEM125	4.383
CNTN2	-0.333714285714286
ASNSD1	-0.59875
FUT4	-1.35675
ACF	-3.0475
LOC158381	0.205
CDH8	-1.23533333333333
AGPS	-2.75683333333333
C4orf18	2.543125
PECI	0.077
UNG	0.66025
GSTP1	-2.245125
DCUN1D5	-1.76016666666667
DKFZP564J0863	-0.17025
SLC9A3R1	1.15175
BCDO2	-1.192375
CHMP7	-1.3425
REM2	-4.784
DNHD1	0.232857142857143
FKBP4	-0.348
ZNF350	1.94425
MGC11102	1.262
BST1	1.3815
KISS1R	0.6815
NCR2	0.3185
DEFB125	1.235
UBE2W	0.89025
KRT15	-1.207125
C10orf99	0.61
SCN11A	0.467142857142857
GFI1	-3.75475
RDHE2	4.36183333333333
FHL1	-1.69233333333333
OSGEP	0.238166666666667
GATA1	-3.51033333333333
SMC6	-0.8155
TTTY14	-0.632
LPIN3	0.5175
RPL4	-0.6101
RBPMS	0.0522000000000001
PRPF3	-0.554666666666667
EMR1	-2.7335
SPATA19	-0.492
XCR1	1.275
IRX3	2.5597
RBM6	-1.1535
KLF4	-2.0557
UNC5CL	-0.71825
SEBOX	-0.305
BTK	-1.4815
KRCC1	1.416
C6orf27	0.418
SYTL5	0.227
PRND	2.88316666666667
LOC653319	-1.196
PIGL	-0.1735
HUS1	-0.11
SFRS6	1.59608333333333
C17orf77	0.853
UIMC1	0.109166666666667
FXYD2	-2.3796
LOC283152	2.09475
ZNF667	-0.84475
ZCCHC12	-1.23025
TFEC	1.2151
ATP7B	0.2095
POLD2	-0.982
RG9MTD1	0.68775
ACOT2	0.543666666666667
HIST1H4I	-0.762625
PPARGC1A	-2.9677
ETFA	-2.5086
POLRMT	-0.60075
ZNF146	0.353
MIA2	-1.1945
KLHL6	-1.72133333333333
HOXB5	0.1355
NENF	1.842
CUGBP1	0.99225
PRSS22	2.61416666666667
CASC4	0.6565
CUL4B	-0.4908
CENPJ	-1.3681
PITX1	1.1955
FLJ31033	0.523666666666667
CELSR3	-1.3845
ZNF568	2.2105
ITSN1	-1.163
EHBP1L1	-1.03433333333333
C19orf2	-0.05525
DCTN1	-0.2845
LIN28B	-4.46
TNKS2	-0.76675
C1QBP	-0.8555
CADPS2	1.1155
SRMS	-0.2045
GJA9	0.2128
MGC24975	-1.66066666666667
TRIM45	-0.483
TSP50	-0.08025
TCP1	-0.92825
TMED7	0.2264
CMA1	0.0854999999999999
CENPL	0.504833333333333
PTCRA	-0.45
FST	-4.782
VWCE	-3.38025
PAWR	0.126
ABCC12	2.30025
LDLR	-0.5091
ASTN2	1.0581
LOC441212	-0.2125
GPATCH8	0.28275
TANC2	-0.0545
KIF4A	-0.76775
C18orf18	-0.77525
PGM1	-0.88875
KIAA0258	1.41725
CPD	0.88625
SNCAIP	-1.92466666666667
DCT	-4.0755
HLA-DOA	3.03245454545455
OR11L1	1.3795
UPK1B	-0.401
DNAJB4	-0.490625
UGT1A8	-0.43
HIST1H4L	-0.523
PECR	-0.269166666666667
HSPA2	2.87025
WFIKKN1	-1.0085
SERP1	-0.246125
SYDE2	1.3485
TACR2	0.7545
NUP85	-0.33375
CD177	-3.13583333333333
LGR5	-2.4072
PIGG	-0.167666666666667
PTHR1	-2.51266666666667
RAB5A	0.00740000000000001
FLJ13224	-0.1175
USP9Y	-3.60716666666667
C7orf53	0.0695
LRP1B	-2.08533333333333
XAF1	0.962
ABCG8	-2.615
ANKDD1A	-0.666166666666667
DAND5	-0.023
SPAG6	-0.3645
LINCR	1.5285
ZDHHC22	-1.336
CCDC60	0.129
THOC7	-1.27416666666667
TCTA	0.6901
OR8K3	0.55775
NY-REN-7	-0.62425
B2M	0.784
C6orf141	-1.840875
LPPR4	0.9295
SQLE	-0.137625
SEPHS1	0.4965
BTBD14B	0.747785714285714
PLRG1	-0.86225
SPG7	-1.2711875
ZNF614	0.939833333333333
PARD6G	0.8795
INPP5B	-0.1437
GRPEL2	0.71375
PPID	-0.3373
TRIM56	0.05775
UBE2J1	-0.470375
IL20RA	4.60725
LOC387856	-1.159
C1orf107	0.880583333333333
UTS2R	0.3465
C19orf22	-0.4135
SAFB2	-0.278875
KIAA0652	-0.63175
KLRG1	-1.8904
MS4A8B	2.15833333333333
FRAG1	1.374
KIAA1546	-0.84925
E2F4	-1.5572
CLEC4M	0.30875
BTBD14A	-0.07725
KIAA0999	-0.5963
GYPA	-4.0445
TAC1	-0.5005
TRAIP	-0.3655
KIAA0232	0.704
ERCC8	-0.594375
GPX4	-0.528375
KIAA0368	0.10275
GPR157	-0.908
CTAGE4	1.0565
C9orf30	-0.463333333333333
OR52A1	0.244
HSP90B3P	-0.7425
ALG9	-0.3445
BTBD10	1.0985
SDK2	-0.5085
BAIAP3	-1.78475
RABGGTB	0.309125
ANKRD40	-0.413833333333333
KRT74	-0.391
CALCOCO2	0.348857142857143
SNCA	-4.14225
TMSL8	-2.486875
C2orf53	0.3565
ESRRB	-0.81375
ARHGAP26	-0.049625
TDRD9	1.6175
HRAS	1.01816666666667
KLRC4	-2.437
JAGN1	-0.1455
BSDC1	1.87225
RNF43	-0.174
NDUFAF1	-0.41175
PHF12	1.55675
OR1L3	-0.415666666666667
FOLR2	1.48075
LYZL6	0.68925
tcag7.1260	-2.482
WSB1	-1.144
PROS1	-2.552
OSTN	-0.528
PSMB8	1.0575
SOCS4	-1.296875
DDIT4L	1.21525
MAS1	0.9055
MGC34796	0.74875
CSHL1	-0.106666666666667
TBCCD1	1.04766666666667
ZBTB7C	-0.0165
AP2S1	-0.288
P15RS	-0.9142
VAT1	-1.1492
SHANK3	0.391333333333333
TUFM	-0.012
THEG	1.7065
KRT34	-1.579
SGSM3	-0.198375
TOMM22	-0.8235
SOCS3	0.0261666666666666
CPO	0.392
POP4	0.6605
BHLHB3	0.62475
MALL	-0.18825
OR1B1	1.185
PARK2	0.380166666666667
GPR124	0.115
LCE1E	-0.5875
RUVBL2	-0.677
CGRRF1	0.143
ACPL2	0.50325
WNT10B	-1.907875
BAIAP2L2	-1.20775
ISCA1	0.509
C1orf125	4.0795
RPAP1	-0.56725
RAI16	-1.31666666666667
RPL27	0.265
NLRP9	0.0825
EPN1	-0.4655
LOC388610	-2.486
SLC35A1	1.1326
GAL	-3.779
SLC14A2	0.592
RDH11	-0.237833333333333
FAM138F	-0.0605
AUH	-0.41225
FLJ40243	0.917
C14orf129	-0.527333333333333
MBD2	-0.951666666666667
ABHD14B	-0.9155
PIGT	0.51375
ALS2CR4	-0.45275
ALAS1	-0.7146
FOXO1	-0.104166666666667
CRLF3	-0.17625
C20orf107	-0.779
FARS2	1.135
CCDC28A	0.6145
NPHP3	-1.5605
OR13F1	0.2585
TSEN54	0.2505
DEFB106B	0.584
OR8B4	-0.4065
STH	2.3875
ZC3H14	-0.566375
CBX2	1.357
TMEM49	-1.88175
C6orf21	0.474
FLJ20920	0.19775
CRTAP	-1.07078571428571
DDX50	-0.49075
STYXL1	-0.1935
BLVRB	-0.338666666666667
LOC147650	-1.19666666666667
MMP24	0.35375
GRID1	1.7805
BANF1	-1.01966666666667
CTAGEP	0.63
HMBS	-2.271
SLC25A24	-0.519333333333333
C14orf50	-0.638
MRO	1.4395
SLC25A15	-0.69375
FAM84B	1.6457
TDP1	-0.08
C16orf78	-0.1586
C11orf57	0.697125
RFK	-0.619125
ZFYVE9	0.1695
STCH	-1.0935
WIBG	0.385
LOC283871	-0.733
GBA2	-0.6778
NDUFB3	-0.092
HSD17B13	-2.73666666666667
GRIN3A	-0.2752
FMNL1	-1.91533333333333
SEPT7	-0.7695
GNLY	4.073
GRAMD1C	0.951666666666667
ZNF165	0.95825
USP38	1.16275
FAM83A	-3.66566666666667
C14orf24	0.636166666666667
ARMCX3	-0.33575
ARHGDIB	0.0785
AK1	0.235375
KIAA1045	-1.528
DNAJB13	0.39975
NEU2	0.728
HIST1H4B	-0.327166666666667
FAM20B	0.6888
HES2	-0.752142857142857
FAM73B	-0.5507
LOC388381	-0.177
INTS7	-0.169636363636364
AMPH	0.983
ZNF775	-0.059375
UCKL1	-0.633333333333333
C10orf97	-0.764
C1orf161	-0.41725
ALDH1L1	-1.44975
FLJ39378	-0.21125
SLC23A1	-1.1495
RBM4B	-0.2145
THAP4	0.113333333333333
OGFRL1	2.38325
KIAA0831	0.06875
PPP1R15A	0.0901666666666667
C1orf96	0.317714285714286
C12orf11	-0.86475
BMF	0.518125
MAN1A1	-0.08575
KIAA1600	-0.018
NLGN4X	0.8125
ALOX12	-1.66716666666667
RB1CC1	0.1256
NEIL2	-1.0398
EIF4E	-0.366045454545455
ABHD5	0.40575
EXOC4	-0.862833333333333
CIP29	0.8885
BATF2	-0.28125
SLC29A4	0.04
HTR4	0.11725
EMB	-0.57425
TRAF6	1.01175
LMNB1	0.90575
FAM19A5	0.702875
SHE	0.99675
PIK3C2B	0.643
C15orf15	-1.9429
USP15	0.1098
TCEAL2	1.28275
C5orf39	-0.148833333333333
PTGER2	-1.733
SLC31A1	-1.2635625
IFT172	-0.20125
ADAM29	1.15825
GFOD1	1.03775
ST7L	-0.404166666666667
C15orf26	-2.32575
PKN3	-0.858
CNTD1	3.48816666666667
COMMD1	-0.19825
NTRK2	2.4828
FOXN3	-1.021375
MFGE8	-1.2498
PFKFB2	1.15966666666667
TAS2R4	-0.27
ENTHD1	-0.257833333333333
PRMT5	-1.148875
MGC16384	-1.184875
LOC442229	1.16975
TSKU	-0.00987500000000001
KRTCAP3	2.465625
PDLIM1	1.4938
KCNS2	-0.3305
RNF126	-0.693333333333333
CEP63	0.5745
CLIC4	-1.615
hCG_1990170	-2.37775
ACR	0.5849
KLK7	-0.858
ALOX5AP	1.492625
RIPK3	4.524
TAS2R9	1.527
C19orf18	3.9025
BIRC6	-0.186071428571429
ZNF16	1.7615
RFT1	-0.659
SLC8A2	-2.39333333333333
TACC1	-0.927875
ITGAD	0.682
SAMHD1	0.37625
SH3PXD2B	1.1012
EPC2	0.61675
C20orf85	0.432714285714286
ATP13A2	0.655
KRT4	0.229625
CAPNS1	-0.32825
MDM2	0.265583333333333
PCDH20	1.9345
KCNK9	0.838
OR2C1	-0.317
KLHDC3	-0.575166666666667
IPPK	0.4585
EFHD2	-0.193
GALR3	0.5585
NBEA	0.9575
ABCA6	1.8971
CLDN3	2.646
AKT2	-0.343384615384615
EGFR	-1.6989
RBM16	1.063625
ZDHHC3	0.6056
SLC25A4	-0.374666666666667
CYB5B	-1.94583333333333
CPXM1	-0.64675
NDRG1	-2.10438461538462
FLJ43826	0.38725
OR5L2	0.8032
FARP2	-0.3805
MRPL46	-1.16508333333333
LDHAL6B	0.79625
MAPKAPK3	-0.365
NCAM2	-3.80233333333333
PRKD2	-0.435166666666667
ZFP36L1	1.1729
CYSLTR1	-1.739
OR4C3	1.323
HIST1H2AJ	0.9635
CCNB2	-1.503
ZNF10	0.159625
TMEM175	0.0935
FAM134A	1.25816666666667
TIGD4	0.004
PCNP	-0.6685
MGC39715	-0.07
LQK1	-2.458
CREB1	-0.211
TMPRSS3	1.01475
C4orf32	0.84425
LAT	-1.96258333333333
KCNA3	0.1905
SKIV2L2	-0.58325
ROPN1B	-3.76525
tcag7.23	-0.4515
CDT1	-1.820625
ZHX2	0.879875
CD28	-3.66325
ZNF624	0.7935
SEPT2	-0.304833333333333
SOHLH2	-0.58125
MCOLN3	-0.6665
UNQ1945	0.5935
MASP2	-1.207
ZNRF3	-0.4993
GPATCH3	-0.3325
AGL	0.692125
QRICH2	-1.0695
PSD4	0.448166666666667
CCNB1IP1	0.0575
ENPP7	0.63775
OBFC1	0.11225
KCNG3	-1.97625
C14orf79	1.08308333333333
ENPEP	1.40133333333333
SCT	0.438
SKI	0.02125
SEC61G	-0.81225
CAPN11	0.15525
ATXN7L3	-0.108
DBNDD1	0.0055
FAIM	0.19175
ANKRD36	-0.3295
GABRP	0.396
TACSTD2	3.38233333333333
EIF3J	-1.12375
PPP2R2A	-1.99225
TEKT4	-0.571166666666667
PVALB	-3.39166666666667
F10	-3.057
FAM134C	0.8678
COMP	4.579625
EFCBP1	-2.865875
SCLT1	0.764875
TAL1	-1.105
ACSL1	0.462
ABCC5	0.272916666666667
ABL1	-0.521777777777778
RBBP7	-0.0691666666666667
PTPRG	-1.654
NCOR1	-0.3983
SPINK4	1.52833333333333
TXNRD1	-1.243
TNRC15	0.516125
C9orf138	0.567
UBE2H	1.025
BRDT	0.699166666666667
C8orf31	-0.92325
CCNE2	1.11336363636364
SLC6A8	-2.578375
CALCR	-3.36725
PPP1CB	0.558583333333333
ABHD8	0.5865
ARF5	0.8733
SLC24A4	0.0419999999999999
CCT3	0.03275
ZNF121	1.2555
SLC3A2	-1.9964
OR13A1	0.9645
SLC5A10	0.10425
RAD50	-0.24325
IER5	0.16775
MTHFD1L	-2.63275
MBTPS2	0.427666666666667
MVK	0.1915
NCL	0.3456
PSMD10	-1.03925
MOBP	0.990857142857143
FLJ32894	null
HRH1	-1.45166666666667
C5orf30	1.0935
NUDT16L1	1.1828
RASGRP3	3.2605
PRKRIP1	0.3975
CCDC75	-0.141
LOC253970	0.8525
KIAA1239	-0.881
MED21	-0.4615
SYT11	-0.505636363636364
NTSR2	0.107
EGFL11	-1.342
CXorf59	null
OR2A25	1.1325
SPTBN2	-0.50375
LRMP	-2.2015
RNF111	-1.03475
PTH	null
LOC619208	0.491833333333333
KIAA0895	0.593
RANBP5	-1.233375
P2RY10	0.276666666666667
NME5	3.22616666666667
DDX21	-1.26525
LRSAM1	-0.044
HDAC11	1.10083333333333
VMO1	1.726
NOLA2	-0.0225
ADAR	0.217666666666667
MTO1	-0.909333333333333
SF4	0.2835
P2RX1	-0.579333333333333
HBM	1.1385
EN2	1.294
C14orf172	1.5685
TM9SF2	-0.745
INHBE	-2.20616666666667
TCTE3	-0.252363636363636
TOX2	-0.439
CTAGE3	0.207857142857143
HBB	3.6388
MED15	-1.56983333333333
CASR	-0.85025
C6orf66	-0.293166666666667
MTPN	-0.408375
UNC50	-0.65775
C21orf33	-0.0275
IRF2	0.903625
PGR	1.26283333333333
GPR84	1.5265
CROCCL1	-2.31925
SRPX	-2.73375
BRE	-0.387166666666667
FGF10	0.93
SDC3	0.444666666666667
ZRSR1	-0.0106666666666667
DKFZP434P211	-1.732875
SOX6	0.81
RPUSD2	-0.02775
C14orf173	-0.0135833333333333
MAPK11	-0.314
TBC1D22A	-0.704
FAM123A	-1.2125
COL4A6	-2.98
TOMM70A	-0.3665
NAB1	0.01225
MGC16385	0.173375
TSPAN18	-0.938
MED31	-0.135
PLG	-0.41075
CAPSL	2.304
ZNF532	0.696
ASB14	-1.06166666666667
CA8	-0.98375
NUDT16P	0.987666666666667
SLFN11	-2.3995
LRRIQ2	0.99625
NOL7	-0.327166666666667
BRMS1L	-0.75225
JARID1A	0.484833333333333
PANK2	-0.0275
ICAM3	-0.409
MDS1	-0.4605
TAF8	0.34825
RNF139	1.40425
ZNF594	-0.187166666666667
ADAM8	0.996375
SFTPC	0.255375
MAN2B2	0.37025
RGS12	0.394875
EIF1AY	-4.51608333333333
LRRIQ1	1.36266666666667
GPR150	0.57525
CCDC21	-1.92666666666667
PRRG3	0.258666666666667
SAA4	-3.8155
RAPGEF5	2.158375
ZCCHC2	0.06875
MGC39372	-1.6345
PPP4R2	0.419833333333333
CDCA2	-2.1115
OR4D5	-0.487333333333333
PTGFRN	0.1242
SIGLEC5	1.04666666666667
C19orf61	-0.393833333333333
NMUR2	0.881
KIAA1586	-0.2925
DAGLA	0.620166666666667
CHCHD6	-0.60725
GPR32	0.0645
NEUROD6	0.2688
SLC2A4RG	0.6694375
CA5B	0.50775
FBXL3	-0.33025
MPHOSPH9	-1.87575
HMG2L1	0.23
HCN4	0.327833333333333
CEACAM19	1.5705
SH2D4B	0.262833333333333
HFE2	-2.153
TGM4	0.39
LYPD2	0.367
TBC1D15	-0.357
MRPS21	0.2821
NONO	-0.3286
CLEC5A	0.472
ITCH	0.1603
MGAT3	-1.6346
MBP	-1.77175
RPP25	-1.411
SOSTDC1	-2.07475
HRC	-1.84175
TRIM48	-1.416
TMEM133	-1.23
ECEL1P2	-1.60175
HOXC11	1.0425
DOK5	-1.47225
HELZ	0.0995
LOC348180	-0.9205
MGC33894	0.3415
ADRB3	0.644
DMD	-1.10016666666667
PTRH2	0.0515
MPEG1	2.60233333333333
NDUFA12	0.352333333333333
KRTAP2-4	-0.56975
STAMBPL1	-1.2455
ADCY2	1.841
UNQ6125	0.7495
KLHL20	0.516166666666667
SRM	-2.03725
OTC	0.21575
TMIE	-0.469
SNX8	-0.2585
LIPK	-5.58
CHURC1	0.268833333333333
KLC2	0.637833333333333
HDAC1	0.151833333333333
FAM128A	1.026
FNDC3B	-0.2845
MTCP1	-0.768333333333333
WFDC10B	-0.52
PCDHGB3	0.3295
ATRNL1	-1.3582
CAV2	-1.55085714285714
MED26	0.397166666666667
DUS1L	0.4765
CHRM3	-2.41275
NEK9	-0.77175
WARS2	0.18125
TBX22	0.0495
TOMM40	-0.72
RP6-213H19.1	-2.04483333333333
TUBGCP5	-1.1655
IGSF6	5.538
TPPP	1.241
UNQ6190	null
GSTM5	-0.042125
BTD	-0.603
PDCD1LG2	-1.1566
SNRPB2	0.0433333333333334
ERICH1	-0.99825
APOA4	-1.26125
HOXA11	-3.46375
NARG1	0.016
MKX	-1.20375
RAB28	-0.622428571428571
PKP3	1.04275
SH3GL2	0.321
CTSO	2.4625
RPN2	0.7401875
IL28RA	-0.142833333333333
SFMBT1	1.58475
WDR57	0.4675
FER1L3	-0.535083333333333
HSF5	-2.00333333333333
TTC9B	-0.70175
C4BPA	-4.20266666666667
ALB	-4.47341666666667
SORBS3	0.094125
UPF2	1.8075
JPH1	0.743
AGBL2	-0.9655
DOPEY1	1.7585
TERF1	0.38
KIF22	-0.0591666666666667
NINJ1	1.39825
SEC61A2	-0.0398333333333334
HIST1H1D	-0.3885
SFXN4	0.25375
UCP3	0.4496
ZNF703	1.0435
MYL6B	-0.38925
TREM1	1.97575
OR52E6	0.681
CKMT2	0.77525
HLA-C	1.897625
SLC13A3	-1.266
TIMP4	-0.77625
SLIT2	1.72775
RSF1	-0.444666666666667
LONRF1	-1.647
MON1A	0.36
CACNG6	-0.734833333333333
DPPA4	-5.208
ZSWIM3	0.713
ZNF804A	0.356
CCIN	1.80666666666667
SLC25A31	2.4975
KCNMB4	-0.23075
RABL5	1.176
GALNS	-0.6753
STX6	1.1145
HIST1H1C	-3.68433333333333
CIDEB	-1.025875
CASP4	-0.460166666666667
PDK3	-0.2934
KCNJ11	0.726
TPR	0.2745
ZSCAN20	0.4885
MTX2	-0.359
HIST1H2BH	-1.04425
LOC283767	2.114
LYRM7	-1.87652941176471
BRD3	0.848833333333333
HIST1H2BO	-1.59325
MAGEB10	0.0815
SLC45A1	-0.63825
SERPINA3	3.25775
KIAA0143	1.3305
KCNJ16	-0.249166666666667
KRT79	0.45375
FABP2	-0.525
NUT	-3.12966666666667
ZNF57	-0.2965
FBXL4	0.3835
CLEC9A	-0.029
UGT8	2.12966666666667
BMP2K	-0.4185
MAPK4	-3.473
SLC25A23	-0.843444444444444
HINT1	-0.0557
KRTAP13-1	0.98
SFXN5	-0.4816
CHCHD2	0.199666666666667
FAM3D	3.23
NDP	-2.098625
RHOBTB1	-0.4305
SLC4A4	-2.28785714285714
RPL38	-0.03925
HTF9C	-0.879333333333333
AP2A2	0.273375
ZBTB46	-0.426
MAP7D1	0.818625
AOX1	-0.911333333333333
CYR61	-1.05541666666667
DTNA	0.406285714285714
JRKL	-0.8945
TMOD3	-0.61875
EEA1	0.1665
ADCK5	0.77875
IL1R1	0.7315
KLK3	0.209090909090909
HRSP12	-0.3435
KTN1	0.53425
LOH11CR2A	-1.6424
RELL2	-1.0605
MAB21L1	0.785666666666667
C20orf59	-1.12783333333333
PHKB	-1.492
ADAM2	-2.73616666666667
TBC1D8B	0.376166666666667
FAM13A1	-1.1466
LAPTM4B	-0.133666666666667
LCN8	-0.5255
TMEM147	0.4725
SYT4	0.450666666666667
XPO7	-1.8875
C9orf62	0.84775
GPR75	0.2325
TRIM5	-0.26275
APOC1	0.135
RNASE4	0.475333333333333
PARD6B	-0.062875
ARID1A	-0.451666666666667
TPD52L3	-0.409625
RRAGB	-0.690833333333333
RCN2	-0.944833333333333
HIST2H2BE	-0.796
STARD7	0.038
SHMT2	-0.6215
KIAA1751	-0.156
MLYCD	-0.2715
LOC162632	-0.3458
UQCRH	0.13925
RP11-217H1.1	0.3698125
SDHA	-1.56316666666667
NCLN	-0.4643
ZNF17	0.968166666666667
RCBTB2	-2.54225
VEGFB	-0.4081
RP4-747L4.3	0.941
COLQ	0.127875
MPN2	-1.37116666666667
DRG2	-0.267
KLRB1	5.5725
ALPK2	-2.76225
DNASE2B	2.37625
FLJ23834	1.3754
AXUD1	-0.599666666666667
SAFB	-0.4621
NSUN4	0.41625
RFX2	0.313666666666667
MAPK8IP1	-0.511166666666667
FANCD2	-0.686
ANKZF1	-1.4605
C19orf50	-0.499375
DUSP8	2.368375
SENP5	1.53475
NFKBIL2	-0.5435
LBR	-0.562375
IGFL1	0.835
LZTS2	0.67975
IL2RG	-0.626125
CCDC51	-0.60075
KLF3	-0.096875
ANKRD37	-0.2775
KCTD14	-0.602666666666667
FZR1	-0.0308333333333333
SLC44A4	3.8215
ESPL1	-0.334
GMPR2	-0.5618
TBC1D19	-0.663666666666667
ERGIC1	0.805666666666667
ERBB4	3.0846
TSPAN32	-0.286
MAP4	-0.318875
GPHN	-0.8355
SLC6A2	-0.645625
HIVEP1	0.667
DFFB	0.1004
EIF4EBP2	0.011
DMRT1	-1.454
HSPB6	-0.096
IER2	0.459
AIFM1	-0.52175
WWC2	0.513416666666667
MRPL4	-0.14475
FLJ21062	0.594
EPB41L4A	2.1055
SH2D6	-0.169
TAF4B	-0.34975
GAL3ST3	-1.092
MALT1	-1.58016666666667
RTDR1	-0.0415
ARVCF	0.261857142857143
MEX3B	-0.895
FBXO16	0.66175
KIF7	-1.24875
C1QC	4.31533333333333
ZNF783	-0.0156666666666667
ZNF85	0.37325
MMP13	0.3175
KIAA0329	1.05614285714286
RTP3	-0.1195
ZBED3	1.6355
CLGN	-0.08475
SLC25A37	-2.17270833333333
hCG_18290	-0.6685
OR5AS1	-0.174
SMARCC2	0.13225
FAM109A	0.224333333333333
CCDC12	0.2175
USF2	0.1498
DEPDC7	-2.91125
C20orf24	-0.333166666666667
JMJD3	0.374
DSP	0.942071428571429
SLIC1	-0.291625
FAM20A	0.103375
