Hybridization REF	TCGA-BH-A0EA-01A-11R-A115-07
ZNF212	-0.29975
NUDT1	-1.80866666666667
RFPL2	0.738
ZNF83	0.457666666666667
GDPD5	0.106875
PDCD4	1.56515
CEP350	1.2605
OR10A2	0.19
CST7	1.29
CIAO1	-1.05375
SELL	1.068
OR8J3	-0.6725
LTBP4	0.566166666666667
SIRT6	-0.535
CCL19	4.27775
PPIL1	-1.477
GBP7	0.2315
STK17A	-0.6978
ABR	0.132
OR9G1	0.1945
FOXE1	-0.883875
CNGA3	2.1665
GML	0.157
CD38	-2.117
ZDHHC6	-0.0871666666666667
NEFH	-2.27725
CTDSP2	0.2965
PGBD5	-2.10816666666667
CCNY	0.202857142857143
RMND5B	0.172416666666667
ZNF257	0.1245
FLJ22167	-0.532125
EXOSC7	-1.50116666666667
ROR2	1.185
MAOA	3.364875
TNNT3	2.39133333333333
GYPC	-0.376
C7orf33	1.0765
PLIN	4.11833333333333
LOC90826	-0.00200000000000001
RNF4	0.0399
F8A1	0.861333333333333
PLEKHG4	-2.1565
GRB2	-0.09285
HIST1H2AD	0.92475
DUS3L	-0.806166666666667
EIF1	-0.133666666666667
RP5-1077B9.4	-0.977333333333333
FPGT	1.1415
GDF10	2.07533333333333
COQ9	-1.197
GCC2	0.667285714285714
RARRES3	2.268875
PLXNA1	-0.041
KIAA0100	0.4034
PMF1	0.226
FNDC1	5.284
HS2ST1	-0.00891666666666679
CRELD2	0.05375
C8G	-1.985
CD82	1.45575
LIM2	-1.3085
UNQ6490	0.2985
MMP16	-0.077
DRD3	0.1025
C5orf26	-0.08625
C11orf73	-0.610125
PTP4A2	0.76525
OR4M2	0.0205
HPCA	-1.1305
SEC14L1	-0.164
CHFR	-0.68275
EMILIN1	0.9845
NDUFS4	0.10675
COL18A1	0.665625
PDZD3	0.1596
C9orf16	0.214
ERBB2IP	0.282
EMX2	4.57925
FUS	-1.0015
TF	-2.6807
CLCN4	-0.473666666666667
CXorf56	0.1305
C11orf72	0
ELAC2	-0.821916666666667
NPR1	1.41775
ASS1	-1.59066666666667
USP42	0.504625
POLR2J	-0.3945
SEC23IP	0.639
UQCRC1	-0.61725
LOC729603	-0.46275
C1orf71	0.2205
POLG	-2.7615
ADAM23	-4.01575
TFR2	-1.72925
RICTOR	-1.0233
MGC39606	1.5995
C19orf55	-0.0135
SNAPC1	-1.44783333333333
GNA11	0.67275
CCDC52	-0.644666666666667
FSIP1	2.17
UPF3A	-0.6235
IGSF11	-2.16583333333333
LAGE3	-0.00975000000000001
CHST6	-0.7775
UNC13B	0.645
TTLL4	-0.3935
ZNF687	0.97675
SDC2	-0.5408
COX7A2	-0.33525
LAMB4	-0.2715
FAM24A	-0.068
LRRTM3	-1.718
GPHB5	0.03025
OR4C13	0.274
EIF3EIP	0.413
HABP4	-0.2535
TMEM125	3.11225
CNTN2	0.61275
ASNSD1	-0.08375
FUT4	-0.181
ACF	-4.0305
LOC158381	0.0875
CDH8	1.24525
AGPS	-0.170333333333333
C4orf18	3.29
PECI	-0.0171666666666667
UNG	-1.23275
GSTP1	-0.768375
DCUN1D5	-2.07216666666667
DKFZP564J0863	-1.409
SLC9A3R1	-0.016125
BCDO2	-0.037375
CHMP7	-0.51925
REM2	1.226
DNHD1	-0.444625
FKBP4	-0.847125
ZNF350	1.807
MGC11102	-0.872375
BST1	1.32425
KISS1R	0.757
NCR2	0.448
DEFB125	1.384
UBE2W	0.797625
KRT15	3.166625
C10orf99	-0.111
SCN11A	1.05725
GFI1	-2.59575
RDHE2	1.51216666666667
FHL1	1.09916666666667
OSGEP	-0.335666666666667
GATA1	-3.648
SMC6	-1.36375
TTTY14	-0.83225
LPIN3	-0.11625
RPL4	-0.6988
RBPMS	0.8623
PRPF3	0.397
EMR1	-2.2975
SPATA19	-0.362
XCR1	-0.3975
IRX3	1.8386
RBM6	-0.785
KLF4	0.0977
UNC5CL	1.111
SEBOX	0.3905
BTK	-1.83675
KRCC1	0.8045
C6orf27	0.4205
SYTL5	-1.3945
PRND	3.617875
LOC653319	-1.2105
PIGL	-1.6585
HUS1	-0.744166666666667
SFRS6	-0.96625
C17orf77	0.226
UIMC1	-0.6585
FXYD2	-1.8549
LOC283152	1.70775
ZNF667	0.9985
ZCCHC12	-1.53575
TFEC	2.6407
ATP7B	0.0778333333333333
POLD2	-1.2825
RG9MTD1	-0.8175
ACOT2	0.0286666666666667
HIST1H4I	-1.163375
PPARGC1A	-1.1832
ETFA	-1.8689
POLRMT	-0.66825
ZNF146	-1.0065
MIA2	2.073
KLHL6	-1.09566666666667
HOXB5	0.003
NENF	1.30816666666667
CUGBP1	-0.42875
PRSS22	1.2465
CASC4	2.0219
CUL4B	0.6885
CENPJ	-1.6234
PITX1	-1.717
FLJ31033	0.2415
CELSR3	-1.96683333333333
ZNF568	1.02225
ITSN1	0.101916666666667
EHBP1L1	-0.6145
C19orf2	-0.49
DCTN1	0.36625
LIN28B	-3.89
TNKS2	-0.545
C1QBP	-1.811
CADPS2	1.0185
SRMS	-0.02225
GJA9	0.207166666666667
MGC24975	-0.3285
TRIM45	0.466
TSP50	0.428
TCP1	-1.39
TMED7	0.6374
CMA1	1.625
CENPL	-1.74516666666667
PTCRA	-0.241
FST	-1.5725
VWCE	-2.1775
PAWR	0.34
ABCC12	1.355
LDLR	-1.1898
ASTN2	1.3385
LOC441212	-0.523125
GPATCH8	0.06625
TANC2	-0.372083333333333
KIF4A	-3.89525
C18orf18	-1.43475
PGM1	-0.31775
KIAA0258	0.04275
CPD	0.32425
SNCAIP	-0.346
DCT	-4.81316666666667
HLA-DOA	2.60481818181818
OR11L1	0.0915
UPK1B	-0.191333333333333
DNAJB4	0.05425
UGT1A8	-0.811
HIST1H4L	-0.3415
PECR	-1.17816666666667
HSPA2	1.7515
WFIKKN1	-1.149
SERP1	-0.094875
SYDE2	1.8985
TACR2	-0.0395
NUP85	-1.04125
CD177	-0.707833333333333
LGR5	-1.10416666666667
PIGG	-0.0295
PTHR1	0.444
RAB5A	-0.1964
FLJ13224	-0.328
USP9Y	-2.89983333333333
C7orf53	-0.973
LRP1B	4.06125
XAF1	1.6447
ABCG8	-1.404
ANKDD1A	-0.140166666666667
DAND5	0
SPAG6	0.634666666666667
LINCR	1.34225
ZDHHC22	-1.5635
CCDC60	0.361
THOC7	-1.2235
TCTA	0.9726
OR8K3	-0.196
NY-REN-7	-1.027
B2M	0.460833333333333
C6orf141	-2.5555
LPPR4	3.242
SQLE	-1.750125
SEPHS1	-1.06075
BTBD14B	0.700214285714286
PLRG1	-0.44425
SPG7	-1.016125
ZNF614	-0.677333333333333
PARD6G	1.60066666666667
INPP5B	-0.5383
GRPEL2	-1.00025
PPID	-0.6067
TRIM56	0.0225
UBE2J1	-0.883625
IL20RA	5.766
LOC387856	1.32725
C1orf107	0.913333333333333
UTS2R	1.722
C19orf22	-0.76275
SAFB2	-0.1755
KIAA0652	-0.103
KLRG1	0.533
MS4A8B	1.44383333333333
FRAG1	-0.1275
KIAA1546	0.63575
E2F4	-1.5056
CLEC4M	-0.0226666666666667
BTBD14A	-1.24925
KIAA0999	0.9453
GYPA	-4.39716666666667
TAC1	1.7525
TRAIP	-2.09133333333333
KIAA0232	0.9477
ERCC8	-1.810375
GPX4	0.96575
KIAA0368	0.160375
GPR157	-0.756666666666667
CTAGE4	1.354
C9orf30	-1.61633333333333
OR52A1	-0.1925
HSP90B3P	-1.5865
ALG9	-0.5334
BTBD10	0.03625
SDK2	0.191
BAIAP3	0.5495
RABGGTB	-1.279375
ANKRD40	-0.676166666666667
KRT74	0.129
CALCOCO2	0.221285714285714
SNCA	-2.81875
TMSL8	-4.353875
C2orf53	0.068
ESRRB	-0.563
ARHGAP26	-0.7865
TDRD9	-3.125
HRAS	-0.3075
KLRC4	-2.0275
JAGN1	-0.101666666666667
BSDC1	0.4315
RNF43	0.4978
NDUFAF1	-0.3605
PHF12	1.0405
OR1L3	0.0485
FOLR2	2.47366666666667
LYZL6	0.0816666666666667
tcag7.1260	-2.266
WSB1	-1.27616666666667
PROS1	0.4795
OSTN	0.3905
PSMB8	0.11825
SOCS4	-0.585714285714286
DDIT4L	3.21375
MAS1	0.1915
MGC34796	0.72125
CSHL1	-0.0668333333333333
TBCCD1	-0.539666666666667
ZBTB7C	0.0845
AP2S1	-0.538375
P15RS	-0.00140000000000002
VAT1	-0.4824
SHANK3	2.06516666666667
TUFM	-0.397
THEG	-0.5725
KRT34	-2.30325
SGSM3	0.09925
TOMM22	-0.397625
SOCS3	1.29
CPO	1.7545
POP4	-0.305
BHLHB3	2.31
MALL	1.98525
OR1B1	-0.458
PARK2	0.917666666666667
GPR124	0.582625
LCE1E	-0.5345
RUVBL2	-1.351
CGRRF1	0.8864
ACPL2	0.7985
WNT10B	-2.25675
BAIAP2L2	-2.2605
ISCA1	0.01
C1orf125	0.240875
RPAP1	-1.034
RAI16	0.200166666666667
RPL27	-0.08875
NLRP9	-0.3975
EPN1	-0.003
LOC388610	-0.01325
SLC35A1	0.4599
GAL	-3.623
SLC14A2	0.0615
RDH11	-0.644166666666667
FAM138F	-0.6285
AUH	-0.11625
FLJ40243	0.0915
C14orf129	0.22
MBD2	-0.801333333333333
ABHD14B	0.31825
PIGT	0.959375
ALS2CR4	-0.477625
ALAS1	-0.1319
FOXO1	2.18716666666667
CRLF3	-0.76025
C20orf107	-0.817
FARS2	0.2705
CCDC28A	1.208
NPHP3	-0.25275
OR13F1	0.4935
TSEN54	-0.74575
DEFB106B	-0.3743
OR8B4	0.411
STH	1.411
ZC3H14	-0.934125
CBX2	0.52
TMEM49	-1.3215
C6orf21	0.3095
FLJ20920	1.74675
CRTAP	0.230214285714286
DDX50	0.10525
STYXL1	-0.36625
BLVRB	-0.528333333333333
LOC147650	0.504833333333333
MMP24	0.445
GRID1	2.35716666666667
BANF1	-0.522666666666667
CTAGEP	0.322
HMBS	-1.9945
SLC25A24	-0.144666666666667
C14orf50	2.606
MRO	0.250166666666667
SLC25A15	-1.14075
FAM84B	1.1625
TDP1	-0.853
C16orf78	-0.0131666666666666
C11orf57	0.070375
RFK	-0.729875
ZFYVE9	-0.08825
STCH	-1.331
WIBG	0.01325
LOC283871	-0.792833333333333
GBA2	-0.191
NDUFB3	-0.04625
HSD17B13	1.76975
GRIN3A	0.3814
FMNL1	-0.472166666666667
SEPT7	-0.3342
GNLY	3.188
GRAMD1C	0.694666666666667
ZNF165	-1.3645
USP38	0.84875
FAM83A	-3.878
C14orf24	-0.146333333333333
ARMCX3	1.612625
ARHGDIB	0.539166666666667
AK1	0.070875
KIAA1045	0.01675
DNAJB13	-0.49
NEU2	-0.127
HIST1H4B	-0.918333333333333
FAM20B	-0.0948
HES2	0.720857142857143
FAM73B	-0.47
LOC388381	0.28225
INTS7	-0.387181818181818
AMPH	1.72375
ZNF775	0.288375
UCKL1	-1.08316666666667
C10orf97	-0.1855
C1orf161	-0.68025
ALDH1L1	2.31375
FLJ39378	0.157875
SLC23A1	-0.0895
RBM4B	0.1955
THAP4	0.305833333333333
OGFRL1	0.20775
KIAA0831	-0.0265
PPP1R15A	-0.0728333333333333
C1orf96	0.145
C12orf11	-2.562
BMF	0.6125
MAN1A1	-0.44625
KIAA1600	0.934166666666667
NLGN4X	1.0575
ALOX12	-1.234
RB1CC1	0.1808
NEIL2	-0.00599999999999999
EIF4E	-1.17895454545455
ABHD5	0.1365
EXOC4	0.2695
CIP29	-1.356
BATF2	-0.0135
SLC29A4	0.5695
HTR4	0.5495
EMB	-0.6175
TRAF6	0.848
LMNB1	-5.65475
FAM19A5	-0.67125
SHE	2.886
PIK3C2B	1.431
C15orf15	-1.1958
USP15	-0.2531
TCEAL2	0.81975
C5orf39	-0.3945
PTGER2	-0.9735
SLC31A1	-0.627375
IFT172	0.78425
ADAM29	0.16725
GFOD1	0.592
ST7L	0.658333333333333
C15orf26	-3.17175
PKN3	-0.88625
CNTD1	3.472
COMMD1	1.269375
NTRK2	4.104
FOXN3	0.536625
MFGE8	0.8264
PFKFB2	0.324833333333333
TAS2R4	0.1575
ENTHD1	-0.350166666666667
PRMT5	-1.278875
MGC16384	-0.5625
LOC442229	-0.746
TSKU	0.53475
KRTCAP3	2.231875
PDLIM1	1.2386
KCNS2	0.38375
RNF126	-0.789833333333333
CEP63	0.2145
CLIC4	0.086
hCG_1990170	2.34125
ACR	1.3005
KLK7	3.069
ALOX5AP	3.172125
RIPK3	3.80175
TAS2R9	0.429
C19orf18	1.679
BIRC6	-0.6885
ZNF16	0.428
RFT1	-0.1555
SLC8A2	-0.8525
TACC1	1.515
ITGAD	1.59525
SAMHD1	0.3105
SH3PXD2B	1.0047
EPC2	1.3255
C20orf85	0.927125
ATP13A2	0.611166666666667
KRT4	0.323375
CAPNS1	0.5475
MDM2	0.0316666666666666
PCDH20	4.27825
KCNK9	-0.1035
OR2C1	0.169
KLHDC3	-0.498
IPPK	-0.6915
EFHD2	-0.690625
GALR3	2.01775
NBEA	1.84083333333333
ABCA6	4.1646
CLDN3	1.25816666666667
AKT2	-0.865857142857143
EGFR	-0.7477
RBM16	0.534125
ZDHHC3	0.1621
SLC25A4	-0.262833333333333
CYB5B	-2.15133333333333
CPXM1	0.80575
NDRG1	-1.33007692307692
FLJ43826	0.16875
OR5L2	0.647833333333333
FARP2	0.6525
MRPL46	-0.613916666666667
LDHAL6B	0.0181666666666667
MAPKAPK3	-0.407666666666667
NCAM2	0.5745
PRKD2	0.489166666666667
ZFP36L1	1.9196
CYSLTR1	2.5245
OR4C3	0.3275
HIST1H2AJ	0.8405
CCNB2	-4.16666666666667
ZNF10	0.043375
TMEM175	0.587
FAM134A	0.593166666666667
TIGD4	1.091
PCNP	-0.476
MGC39715	-0.4015
LQK1	-3.0195
CREB1	0.6918
TMPRSS3	0.20675
C4orf32	1.40075
LAT	-1.73841666666667
KCNA3	0.906
SKIV2L2	-0.932
ROPN1B	-2.31725
tcag7.23	0.0125
CDT1	-4.22625
ZHX2	1.277875
CD28	-3.71525
ZNF624	1.2745
SEPT2	-0.462416666666667
SOHLH2	-0.600125
MCOLN3	-0.632875
UNQ1945	-0.188
MASP2	-1.563
ZNRF3	0.349
GPATCH3	-0.4035
AGL	0.477625
QRICH2	-0.7505
PSD4	1.5725
CCNB1IP1	-1.55125
ENPP7	-0.2755
OBFC1	-0.145
KCNG3	-2.02325
C14orf79	0.573666666666667
ENPEP	2.184
SCT	1.267
SKI	1.0685
SEC61G	-1.37275
CAPN11	1.8125
ATXN7L3	-0.78025
DBNDD1	-1.479
FAIM	0.77375
ANKRD36	0.2775
GABRP	1.96266666666667
TACSTD2	1.56916666666667
EIF3J	-0.92225
PPP2R2A	-0.62475
TEKT4	0.991
PVALB	-1.54833333333333
F10	-1.9815
FAM134C	0.2646
COMP	4.7915
EFCBP1	-2.33325
SCLT1	0.943
TAL1	-0.7215
ACSL1	2.78675
ABCC5	1.06541666666667
ABL1	-0.431
RBBP7	-0.69025
PTPRG	0.05675
NCOR1	-0.1719
SPINK4	-0.726
TXNRD1	-1.5423
TNRC15	1.706875
C9orf138	2.012
UBE2H	0.298833333333333
BRDT	1.51483333333333
C8orf31	-0.4075
CCNE2	-3.64018181818182
SLC6A8	-1.224125
CALCR	-4.63725
PPP1CB	-0.1405
ABHD8	-0.20275
ARF5	-0.4016
SLC24A4	0.71075
CCT3	-0.244
ZNF121	1.079625
SLC3A2	-1.7288
OR13A1	0.1115
SLC5A10	0.8795
RAD50	-0.530125
IER5	1.61975
MTHFD1L	-2.154
MBTPS2	0.39475
MVK	-1.019
NCL	-0.9468
PSMD10	-0.29125
MOBP	0.2055
FLJ32894	0.189
HRH1	0.0735
C5orf30	2.21475
NUDT16L1	0.8925
RASGRP3	3.89283333333333
PRKRIP1	-0.2375
CCDC75	0.86125
LOC253970	0.033
KIAA1239	2.14325
MED21	-0.21525
SYT11	0.9225
NTSR2	-0.463
EGFL11	0.296
CXorf59	0.0145
OR2A25	0.13425
SPTBN2	-1.623
LRMP	-1.027
RNF111	0.499
PTH	0.5805
LOC619208	0.657833333333333
KIAA0895	0.5755
RANBP5	-0.944
P2RY10	2.124
NME5	4.23616666666667
DDX21	-1.5525
LRSAM1	0.71
HDAC11	0.5965
VMO1	1.67975
NOLA2	-0.592166666666667
ADAR	1.29191666666667
MTO1	-0.403333333333333
SF4	-0.158833333333333
P2RX1	0.652166666666667
HBM	0.011
EN2	1.444
C14orf172	-0.461
TM9SF2	-0.0129
INHBE	-1.43733333333333
TCTE3	-0.299416666666667
TOX2	-2.42175
CTAGE3	0.337125
HBB	4.002
MED15	-0.352666666666667
CASR	0.6725
C6orf66	-0.9865
MTPN	0.554625
UNC50	-0.0945
C21orf33	-0.337625
IRF2	1.2045
PGR	0.238166666666667
GPR84	1.88175
CROCCL1	-1.95425
SRPX	0.16975
BRE	0.182833333333333
FGF10	5.502
SDC3	0.278666666666667
ZRSR1	0.287166666666667
DKFZP434P211	0.304125
SOX6	-0.2355
RPUSD2	-0.1285
C14orf173	-0.390583333333333
MAPK11	0.229833333333333
TBC1D22A	-0.0105
FAM123A	-1.402
COL4A6	-0.6095
TOMM70A	-0.96075
NAB1	-0.051875
MGC16385	-0.859625
TSPAN18	1.30666666666667
MED31	-0.126
PLG	-0.78725
CAPSL	3.7035
ZNF532	0.2036
ASB14	-0.09125
CA8	0.5595
NUDT16P	1.4095
SLFN11	-0.279
LRRIQ2	-0.10025
NOL7	-1.06183333333333
BRMS1L	-1.118625
JARID1A	0.884666666666666
PANK2	-1.0535
ICAM3	-0.58325
MDS1	0.03
TAF8	-0.26375
RNF139	0.3565
ZNF594	0.32
ADAM8	2.12
SFTPC	-0.424375
MAN2B2	0.91075
RGS12	0.7323125
EIF1AY	-5.57125
LRRIQ1	0.2815
GPR150	2.426
CCDC21	-2.29483333333333
PRRG3	0.7455
SAA4	-0.71575
RAPGEF5	3.466
ZCCHC2	0.443166666666667
MGC39372	-0.2965
PPP4R2	-0.461166666666667
CDCA2	-3.65533333333333
OR4D5	0.1725
PTGFRN	0.9219
SIGLEC5	-0.589833333333333
C19orf61	-0.832
NMUR2	0.0275
KIAA1586	-1.13766666666667
DAGLA	0.375833333333333
CHCHD6	-0.78025
GPR32	0.256
NEUROD6	-0.2008
SLC2A4RG	0.3769375
CA5B	0.51425
FBXL3	1.7405
MPHOSPH9	-1.966
HMG2L1	0.64125
HCN4	1.03683333333333
CEACAM19	0.0815
SH2D4B	0.692666666666667
HFE2	-0.8775
TGM4	-0.052
LYPD2	-0.275
TBC1D15	-0.16425
MRPS21	0.1262
NONO	-0.4069
CLEC5A	2.44825
ITCH	-0.6795
MGAT3	-0.2615
MBP	-0.03425
RPP25	-1.5245
SOSTDC1	1.169
HRC	0.17225
TRIM48	0.024
TMEM133	0.563
ECEL1P2	-1.47825
HOXC11	1.361
DOK5	-0.551
HELZ	0.248333333333333
LOC348180	-1.51225
MGC33894	0.413
ADRB3	-0.0295
DMD	0.995916666666667
PTRH2	-0.987
MPEG1	3.24666666666667
NDUFA12	-0.0901666666666667
KRTAP2-4	0.0833333333333333
STAMBPL1	-1.8575
ADCY2	4.62592926927149e-18
UNQ6125	-0.1455
KLHL20	0.397666666666667
SRM	-1.2295
OTC	0.76175
TMIE	0.950166666666667
SNX8	-0.75025
LIPK	-0.311
CHURC1	0.220166666666667
KLC2	-0.015
HDAC1	-0.377833333333333
FAM128A	-0.0341666666666667
FNDC3B	-0.1977
MTCP1	-0.128333333333333
WFDC10B	0.2823
PCDHGB3	-0.217
ATRNL1	-0.162
CAV2	1.24825
MED26	0.209
DUS1L	-0.3675
CHRM3	-1.36425
NEK9	0.01975
WARS2	0.17975
TBX22	0.103
TOMM40	-1.0895
RP6-213H19.1	-2.171
TUBGCP5	-0.982
IGSF6	4.898
TPPP	0.822
UNQ6190	0.0255
GSTM5	1.29725
BTD	0.2105
PDCD1LG2	0.2165
SNRPB2	-0.8585
ERICH1	0.125625
APOA4	-1.88225
HOXA11	-1.77375
NARG1	-1.078875
MKX	0.46475
RAB28	-1.06621428571429
PKP3	0.9375
SH3GL2	-1.80225
CTSO	3.0185
RPN2	-0.5983125
IL28RA	1.17983333333333
SFMBT1	-0.09925
WDR57	-2.0305
FER1L3	1.61966666666667
HSF5	0.573166666666667
TTC9B	-0.455
C4BPA	-4.12616666666667
ALB	-5.36385714285714
SORBS3	1.30975
UPF2	-0.383
JPH1	-0.398
AGBL2	0.398
DOPEY1	1.2305
TERF1	0.071
KIF22	-1.0335
NINJ1	2.065
SEC61A2	-0.551083333333333
HIST1H1D	-0.5195
SFXN4	-0.70475
UCP3	0.2872
ZNF703	0.977666666666667
MYL6B	-0.72125
TREM1	1.075
OR52E6	0.702
CKMT2	4.18875
HLA-C	1.669625
SLC13A3	-1.68233333333333
TIMP4	2.27125
SLIT2	2.93275
RSF1	0.1825
LONRF1	-0.697714285714286
MON1A	0.379833333333333
CACNG6	-1.23266666666667
DPPA4	-5.92383333333333
ZSWIM3	0.12075
ZNF804A	-0.363166666666667
CCIN	1.47475
SLC25A31	0.4075
KCNMB4	-0.028
RABL5	0.78375
GALNS	-0.6824
STX6	1.35225
HIST1H1C	-0.4245
CIDEB	0.791875
CASP4	-0.2035
PDK3	0.5377
KCNJ11	1.695
TPR	0.037125
ZSCAN20	-0.846
MTX2	-1.01275
HIST1H2BH	0.1655
LOC283767	2.735
LYRM7	-1.51477777777778
BRD3	0.440333333333333
HIST1H2BO	0.09075
MAGEB10	1.1045
SLC45A1	1.6685
SERPINA3	1.1911
KIAA0143	0.77975
KCNJ16	0.596333333333333
KRT79	-0.66425
FABP2	-1.6205
NUT	0.74725
ZNF57	-1.00125
FBXL4	0.243375
CLEC9A	2.021
UGT8	-1.769
BMP2K	0.4425
MAPK4	-1.43325
SLC25A23	-0.1451
HINT1	-0.6914
KRTAP13-1	0.45
SFXN5	0.0225
CHCHD2	-0.986833333333333
FAM3D	1.2055
NDP	3.95825
RHOBTB1	0.1005
SLC4A4	0.033875
RPL38	0.0185
HTF9C	-0.410666666666667
AP2A2	0.5505
ZBTB46	-0.105
MAP7D1	0.2235
AOX1	-0.167333333333333
CYR61	2.33408333333333
DTNA	0.201785714285714
JRKL	-0.7105
TMOD3	-0.49175
EEA1	-0.0069
ADCK5	-0.80375
IL1R1	1.49566666666667
KLK3	0.636857142857143
HRSP12	-0.126
KTN1	0.5135
LOH11CR2A	0.6829
RELL2	-1.7495
MAB21L1	2.8985
C20orf59	-1.40566666666667
PHKB	-0.21475
ADAM2	-3.18816666666667
TBC1D8B	1.89833333333333
FAM13A1	-0.274
LAPTM4B	-2.17575
LCN8	-0.5305
TMEM147	0.2395
SYT4	-0.0835
XPO7	-0.652
C9orf62	2.7645
GPR75	0.0705
TRIM5	-0.39125
APOC1	-0.1615
RNASE4	0.8035
PARD6B	-0.4915
ARID1A	0.374333333333333
TPD52L3	0.114222222222222
RRAGB	1.27683333333333
RCN2	-0.435
HIST2H2BE	0.5919375
STARD7	-0.73775
SHMT2	-2.196
KIAA1751	-0.0705
MLYCD	0.082125
LOC162632	-0.3193
UQCRH	-1.341
RP11-217H1.1	0.3424375
SDHA	-1.441
NCLN	-0.8386
ZNF17	0.764833333333333
RCBTB2	-0.96325
VEGFB	0.4853
RP4-747L4.3	1.479
COLQ	0.3676
MPN2	-0.761333333333333
DRG2	-0.26225
KLRB1	4.96975
ALPK2	-1.31825
DNASE2B	2.10025
FLJ23834	0.205
AXUD1	1.51766666666667
SAFB	-0.3054
NSUN4	-0.592
RFX2	0.522166666666667
MAPK8IP1	0.841166666666667
FANCD2	-2.30764285714286
ANKZF1	-1.713
C19orf50	-0.63675
DUSP8	2.1695
SENP5	-1.057875
NFKBIL2	-1.236
LBR	-2.17925
IGFL1	2.123
LZTS2	0.965375
IL2RG	-0.137125
CCDC51	-0.314
KLF3	0.37375
ANKRD37	-0.833
KCTD14	-0.240166666666667
FZR1	-0.4145
SLC44A4	3.4714
ESPL1	-1.731
GMPR2	-0.3718
TBC1D19	-0.359333333333333
ERGIC1	-0.379
ERBB4	4.2543
TSPAN32	-0.19875
MAP4	-0.117125
GPHN	-0.6445
SLC6A2	1.216875
HIVEP1	1.04125
DFFB	-0.6247
EIF4EBP2	0.546625
DMRT1	-0.385
HSPB6	0.939
IER2	0.2485
AIFM1	-0.14725
WWC2	-0.168333333333333
MRPL4	-0.65125
FLJ21062	2.5935
EPB41L4A	1.30258333333333
SH2D6	-0.05575
TAF4B	-1.58325
GAL3ST3	-0.143
MALT1	-0.7425
RTDR1	1.0545
ARVCF	0.12825
MEX3B	-0.584833333333333
FBXO16	1.4415
KIF7	-1.333
C1QC	3.88233333333333
ZNF783	-0.436333333333333
ZNF85	0.824
MMP13	2.431
KIAA0329	0.702
RTP3	0.144
ZBED3	0.62225
CLGN	-0.4565
SLC25A37	-1.00958333333333
hCG_18290	0.434
OR5AS1	0.1865
SMARCC2	1.04733333333333
FAM109A	-0.223666666666667
CCDC12	-0.31175
USF2	0.1784
DEPDC7	-1.531
C20orf24	-0.81
JMJD3	0.8965
DSP	2.1365
SLIC1	0.309875
FAM20A	1.141875
IRF2BP2	1.391875
ZNF230	-0.5315
MSN	-0.374642857142857
SLC9A5	-1.819
EPDR1	-0.7209
MUSK	-0.144333333333333
ZNF434	0.0731666666666667
SMARCD1	-0.639833333333333
ZFP106	0.463
