Hybridization REF	TCGA-A1-A0SD-01A-11R-A115-07
TCTA	0.6739
OR8K3	0.40425
NY-REN-7	0.11575
B2M	0.881
C6orf141	1.75775
LPPR4	1.85375
SQLE	-1.314375
SEPHS1	-0.952
BTBD14B	0.0495
PLRG1	0.06575
SPG7	-1.1916875
ZNF614	-0.135833333333333
PARD6G	0.922333333333333
INPP5B	-0.6659
GRPEL2	-0.189625
PPID	-0.424
TRIM56	-0.24125
UBE2J1	-0.5505
IL20RA	2.9375
LOC387856	0.909
C1orf107	0.2795
UTS2R	-0.58775
C19orf22	-0.212
SAFB2	-0.458125
KIAA0652	0.03575
KLRG1	-1.1295
MS4A8B	3.87216666666667
FRAG1	1.05525
KIAA1546	0.32925
E2F4	-1.5802
CLEC4M	-0.136
BTBD14A	-1.55475
KIAA0999	0.9423
GYPA	-3.78483333333333
TAC1	1.1524
TRAIP	-1.75233333333333
KIAA0232	1.2343
ERCC8	-0.707125
GPX4	0.625125
KIAA0368	0.683625
GPR157	-1.73283333333333
CTAGE4	0.835
C9orf30	-0.876833333333333
OR52A1	0.364
HSP90B3P	-0.645
ALG9	-0.7439
BTBD10	1.09175
SDK2	-0.41575
BAIAP3	-1.337
RABGGTB	-0.696125
ANKRD40	-0.347666666666667
KRT74	0.844
CALCOCO2	0.550857142857143
SNCA	-2.80775
TMSL8	-4.326375
C2orf53	0.0555
ESRRB	-0.03425
ARHGAP26	-1.85575
TDRD9	-2.62975
HRAS	0.068
KLRC4	-0.552
JAGN1	-0.0781666666666667
BSDC1	0.36525
RNF43	-1.7498
NDUFAF1	0.71275
PHF12	0.54225
OR1L3	0.225
FOLR2	1.7885
LYZL6	-0.286666666666667
tcag7.1260	0.263
WSB1	-1.34416666666667
PROS1	-0.3379
OSTN	0.4405
PSMB8	0.442
SOCS4	0.3025
DDIT4L	1.757
MAS1	-0.882
MGC34796	0.60375
CSHL1	0.502666666666667
TBCCD1	-0.214
ZBTB7C	-0.258
AP2S1	-0.74925
P15RS	0.1538
VAT1	-0.291
SHANK3	0.291833333333333
TUFM	-1.38233333333333
THEG	-0.855
KRT34	-1.30275
SGSM3	-0.429
TOMM22	-0.50875
SOCS3	0.364
CPO	0.6445
POP4	0.207
BHLHB3	1.16
MALL	0.5965
OR1B1	0.359
PARK2	0.627
GPR124	1.07825
LCE1E	1.1925
RUVBL2	-1.48925
CGRRF1	1.2688
ACPL2	0.99275
WNT10B	-2.31225
BAIAP2L2	-2.33875
ISCA1	0.612
C1orf125	0.078625
RPAP1	-0.8005
RAI16	-0.770333333333333
RPL27	0.122
NLRP9	-1.1645
EPN1	1.3965
LOC388610	-0.5555
SLC35A1	1.0551
GAL	-4.25875
SLC14A2	0.12625
RDH11	-0.204
FAM138F	-0.068
AUH	0.43375
FLJ40243	-0.44475
C14orf129	1.07433333333333
MBD2	-1.03
ABHD14B	0.05425
PIGT	0.66725
ALS2CR4	0.432125
ALAS1	-0.7586
FOXO1	1.35233333333333
CRLF3	-0.569125
C20orf107	0.4995
FARS2	0.48975
CCDC28A	0.047
NPHP3	-0.28225
OR13F1	0.5395
TSEN54	-1.11575
DEFB106B	-0.7751
OR8B4	0.0305
STH	1.17975
ZC3H14	-0.33325
CBX2	-0.5595
TMEM49	-0.88025
C6orf21	0.5635
FLJ20920	-0.628875
CRTAP	0.104142857142857
DDX50	0.47025
STYXL1	0.33275
BLVRB	-0.123833333333333
LOC147650	1.11433333333333
MMP24	0.279
GRID1	2.6515
BANF1	-0.669833333333333
CTAGEP	0.02125
HMBS	-2.62275
SLC25A24	0.822
C14orf50	2.9495
MRO	1.07816666666667
SLC25A15	-0.25425
FAM84B	0.5333
TDP1	-0.994
C16orf78	-0.052
C11orf57	-0.396125
RFK	0.190875
ZFYVE9	-0.107875
STCH	1.2217
WIBG	0.19725
LOC283871	-0.771666666666667
GBA2	-0.652
NDUFB3	0.138
HSD17B13	-0.702
GRIN3A	0.942666666666667
FMNL1	-1.64183333333333
SEPT7	0.2513
GNLY	0.5175
GRAMD1C	1.0825
ZNF165	0.36775
USP38	0.999
FAM83A	-3.6455
C14orf24	1.71233333333333
ARMCX3	2.353375
ARHGDIB	-0.217333333333333
AK1	0.6135
KIAA1045	0.1875
DNAJB13	-0.389
NEU2	0.4015
HIST1H4B	-1.86966666666667
FAM20B	-0.7188
HES2	2.13457142857143
FAM73B	-0.7172
LOC388381	0.164
INTS7	-1.031
AMPH	3.085
ZNF775	-0.132375
UCKL1	-0.9835
C10orf97	0.80575
C1orf161	-0.39575
ALDH1L1	-1.52525
FLJ39378	0.135375
SLC23A1	-1.8975
RBM4B	0.30475
THAP4	-0.3945
OGFRL1	-0.37825
KIAA0831	0.61975
PPP1R15A	-0.551833333333333
C1orf96	-0.543928571428571
C12orf11	-1.45275
BMF	0.818625
MAN1A1	-0.126
KIAA1600	0.550833333333333
NLGN4X	1.16325
ALOX12	-0.835666666666667
RB1CC1	-0.5324
NEIL2	0.0242
EIF4E	0.201363636363636
ABHD5	-0.31075
EXOC4	-0.656
CIP29	0.0571666666666667
BATF2	0.22675
SLC29A4	-0.986125
HTR4	-0.13525
EMB	0.135
TRAF6	1.08025
LMNB1	-2.33125
FAM19A5	-0.511125
SHE	1.4135
PIK3C2B	0.9985
C15orf15	-0.6743
USP15	-0.0134
TCEAL2	2.652
C5orf39	-0.626
PTGER2	1.95675
SLC31A1	-1.318375
IFT172	0.7085
ADAM29	0.8365
GFOD1	-0.10625
ST7L	1.30483333333333
C15orf26	-3.16275
PKN3	-1.952
CNTD1	2.15833333333333
COMMD1	0.43675
NTRK2	5.10866666666667
FOXN3	0.939875
MFGE8	-0.3842
PFKFB2	0.120166666666667
TAS2R4	-0.41075
ENTHD1	2.36816666666667
PRMT5	-1.466125
MGC16384	-1.439625
LOC442229	-0.8615
TSKU	0.723625
KRTCAP3	2.71725
PDLIM1	-0.9207
KCNS2	0.457
RNF126	-0.723
CEP63	0.127
CLIC4	0.5545
hCG_1990170	-1.15775
ACR	0.8224
KLK7	-0.04525
ALOX5AP	3.38825
RIPK3	2.23825
TAS2R9	0.1605
C19orf18	1.3085
BIRC6	0.0908571428571429
ZNF16	0.6275
RFT1	-0.79175
SLC8A2	-1.29175
TACC1	0.38025
ITGAD	1.1145
SAMHD1	0.1295
SH3PXD2B	1.8052
EPC2	1.63025
C20orf85	0.428625
ATP13A2	-0.169833333333333
KRT4	0.3235
CAPNS1	-0.0585
MDM2	-0.538
PCDH20	7.23675
KCNK9	0.837
OR2C1	0.457
KLHDC3	-1.39416666666667
IPPK	0.019
EFHD2	-1.294625
GALR3	-0.4985
NBEA	2.16416666666667
ABCA6	4.0017
CLDN3	1.86533333333333
AKT2	-1.22235714285714
EGFR	-2.0293
RBM16	0.397
ZDHHC3	0.2289
SLC25A4	-1.15066666666667
CYB5B	-0.285
CPXM1	0.414
NDRG1	-1.83769230769231
FLJ43826	-0.01175
OR5L2	0.0976666666666667
FARP2	-0.1748
MRPL46	-0.475666666666667
LDHAL6B	0.2232
MAPKAPK3	-0.878333333333333
NCAM2	0.16625
PRKD2	-0.634833333333333
ZFP36L1	1.6633
CYSLTR1	-1.78525
OR4C3	0.31225
HIST1H2AJ	2.0905
CCNB2	-2.75277777777778
ZNF10	0.68225
TMEM175	0.0365
FAM134A	0.714333333333333
TIGD4	1.491
PCNP	-0.088
MGC39715	-0.18075
LQK1	-0.59175
CREB1	1.0949
TMPRSS3	-3.02775
C4orf32	1.314
LAT	-2.02358333333333
KCNA3	-2.0415
SKIV2L2	-0.37175
ROPN1B	-1.89025
tcag7.23	0.261
CDT1	-2.812375
ZHX2	0.8965
CD28	-2.5195
ZNF624	1.4915
SEPT2	-0.174666666666667
SOHLH2	-0.942
MCOLN3	1.251625
UNQ1945	0.144
MASP2	-1.2255
ZNRF3	0.3496
GPATCH3	-0.48775
AGL	0.70975
QRICH2	-0.246
PSD4	1.53316666666667
CCNB1IP1	-1.713
ENPP7	0.0425
OBFC1	0.1395
KCNG3	-1.63275
C14orf79	-0.2505
ENPEP	2.691
SCT	1.497
SKI	-0.334
SEC61G	-1.19525
CAPN11	0.721
ATXN7L3	-0.7415
DBNDD1	-0.253
FAIM	0.97075
ANKRD36	-0.319
GABRP	1.73916666666667
TACSTD2	1.81016666666667
EIF3J	-0.53525
PPP2R2A	-0.9015
TEKT4	-0.340333333333333
PVALB	0.268833333333333
F10	-3.1365
FAM134C	0.4554
COMP	4.575375
EFCBP1	-2.5878125
SCLT1	1.11825
TAL1	-1.2695
ACSL1	0.95675
ABCC5	-0.503916666666667
ABL1	-0.776611111111111
RBBP7	-0.473083333333333
PTPRG	0.0545
NCOR1	-0.5309
SPINK4	1.23833333333333
TXNRD1	-1.6192
TNRC15	0.368125
C9orf138	1.61325
UBE2H	0.362
BRDT	2.08083333333333
C8orf31	0.31875
CCNE2	-1.48690909090909
SLC6A8	-1.786125
CALCR	-3.8555
PPP1CB	0.735416666666667
ABHD8	0.04925
ARF5	-0.1198
SLC24A4	0.566
CCT3	-1.5135
ZNF121	0.378
SLC3A2	-1.6921
OR13A1	0.05
SLC5A10	0.475
RAD50	-0.470875
IER5	-0.0839999999999999
MTHFD1L	-1.789125
MBTPS2	0.7245
MVK	-0.8625
NCL	-0.233
PSMD10	1.0245
MOBP	0.285625
FLJ32894	2.5745
HRH1	-0.7505
C5orf30	2.95125
NUDT16L1	0.2419
RASGRP3	3.65883333333333
PRKRIP1	-0.4732
CCDC75	-0.0565
LOC253970	0.52825
KIAA1239	-0.75425
MED21	-0.0445
SYT11	0.451583333333333
NTSR2	-0.3605
EGFL11	1.0985
CXorf59	1.0175
OR2A25	-0.05375
SPTBN2	-1.98025
LRMP	-1.50933333333333
RNF111	0.1145
PTH	-0.614
LOC619208	1.10883333333333
KIAA0895	0.70725
RANBP5	-0.733875
P2RY10	-0.48
NME5	4.36316666666667
DDX21	-1.11275
LRSAM1	-0.007
HDAC11	0.671166666666667
VMO1	2.3655
NOLA2	-0.385
ADAR	-0.126333333333333
MTO1	-0.871166666666667
SF4	-0.319333333333333
P2RX1	-0.000666666666666677
HBM	0.28125
EN2	-0.551
C14orf172	-0.73025
TM9SF2	0.605
INHBE	-1.3095
TCTE3	-0.07225
TOX2	-3.5155
CTAGE3	-0.126
HBB	3.2094
MED15	-1.15116666666667
CASR	0.332
C6orf66	-1.2805
MTPN	-0.6065
UNC50	0.42725
C21orf33	-0.294125
IRF2	1.785375
PGR	-1.276
GPR84	1.365
CROCCL1	-1.20775
SRPX	-0.78825
BRE	0.284666666666667
FGF10	6.2085
SDC3	-0.0468333333333333
ZRSR1	0.309833333333333
DKFZP434P211	-0.722875
SOX6	-1.993
RPUSD2	0.00325
C14orf173	-0.232666666666667
MAPK11	-0.494166666666667
TBC1D22A	-0.1315
FAM123A	-0.64
COL4A6	-1.913
TOMM70A	0.13025
NAB1	-0.23125
MGC16385	-0.293125
TSPAN18	-0.860333333333333
MED31	-0.18625
PLG	0.22725
CAPSL	1.369
ZNF532	1.3683
ASB14	0.7895
CA8	-4.09925
NUDT16P	2.68916666666667
SLFN11	-0.4305
LRRIQ2	-0.710875
NOL7	-0.413833333333333
BRMS1L	-0.2245
JARID1A	0.0113333333333333
PANK2	0.08225
ICAM3	-0.87375
MDS1	-0.344
TAF8	-0.5395
RNF139	0.54125
ZNF594	0.0535
ADAM8	1.488
SFTPC	-0.180625
MAN2B2	1.122125
RGS12	-0.308375
EIF1AY	-5.17741666666667
LRRIQ1	1.57366666666667
GPR150	-0.57575
CCDC21	-1.78666666666667
PRRG3	0.00549999999999999
SAA4	-3.93275
RAPGEF5	0.679625
ZCCHC2	0.138916666666667
MGC39372	0.2945
PPP4R2	0.0913333333333333
CDCA2	-2.91133333333333
OR4D5	0.387166666666667
PTGFRN	0.6116
SIGLEC5	1.18333333333333
C19orf61	-0.889333333333333
NMUR2	0.6435
KIAA1586	-0.530166666666667
DAGLA	0.2205
CHCHD6	-0.11325
GPR32	1.583
NEUROD6	0.105833333333333
SLC2A4RG	0.30225
CA5B	0.6735
FBXL3	2.295
MPHOSPH9	-1.87625
HMG2L1	0.54675
HCN4	-0.762166666666667
CEACAM19	0.26375
SH2D4B	0.802333333333333
HFE2	-1.465
TGM4	0.4224
LYPD2	-0.10175
TBC1D15	-0.128
MRPS21	-0.0931
NONO	0.2162
CLEC5A	2.746375
ITCH	0.3984
MGAT3	-1.00833333333333
MBP	0.233125
RPP25	-2.48425
SOSTDC1	-1.26625
HRC	-1.4565
TRIM48	0.278
TMEM133	1.12175
ECEL1P2	-1.4025
HOXC11	-0.765
DOK5	0.537
HELZ	0.492333333333333
LOC348180	-1.30925
MGC33894	0.02425
ADRB3	0.436
DMD	-0.6855
PTRH2	-0.925
MPEG1	2.7695
NDUFA12	0.277833333333333
KRTAP2-4	-0.00808333333333332
STAMBPL1	-1.00983333333333
ADCY2	-0.1065
UNQ6125	0.149
KLHL20	-0.179
SRM	-1.8845
OTC	-0.624
TMIE	-0.0805
SNX8	-0.63825
LIPK	3.008
CHURC1	0.211
KLC2	0.253333333333333
HDAC1	-0.271166666666667
FAM128A	0.308166666666667
FNDC3B	-0.2722
MTCP1	0.782
WFDC10B	0.0463
PCDHGB3	0.106
ATRNL1	-1.0339
CAV2	-0.078625
MED26	-0.111166666666667
DUS1L	-1.04225
CHRM3	-1.758625
NEK9	0.12575
WARS2	-0.34075
TBX22	-0.163
TOMM40	-1.47275
RP6-213H19.1	-0.285
TUBGCP5	-0.42675
IGSF6	4.49925
TPPP	1.065
UNQ6190	-0.2165
GSTM5	1.557125
BTD	-0.0836666666666667
PDCD1LG2	-0.0826666666666667
SNRPB2	0.201166666666667
ERICH1	-0.37125
APOA4	-1.318625
HOXA11	-1.048
NARG1	-0.266
MKX	-0.45575
RAB28	0.229928571428571
PKP3	1.6105
SH3GL2	-2.59275
CTSO	4.61
RPN2	0.000749999999999983
IL28RA	0.423833333333333
SFMBT1	0.17725
WDR57	-0.098375
FER1L3	1.98183333333333
HSF5	0.216333333333333
TTC9B	-0.01425
C4BPA	-4.4815
ALB	-5.31821428571429
SORBS3	0.528
UPF2	0.4735
JPH1	0.5675
AGBL2	2.9555
DOPEY1	0.928
TERF1	0.666333333333333
KIF22	-1.58433333333333
NINJ1	1.12675
SEC61A2	-0.16825
HIST1H1D	-0.926333333333333
SFXN4	-0.497
UCP3	0.2874
ZNF703	2.40983333333333
MYL6B	0.2795
TREM1	2.729
OR52E6	0.6445
CKMT2	1.701
HLA-C	1.796375
SLC13A3	-1.81366666666667
TIMP4	-0.9565
SLIT2	3.7605
RSF1	0.809777777777778
LONRF1	-0.947071428571429
MON1A	0.008
CACNG6	-2.13266666666667
DPPA4	-5.96083333333333
ZSWIM3	0.313
ZNF804A	-0.315166666666667
CCIN	2.07325
SLC25A31	0.33375
KCNMB4	1.568
RABL5	0.938125
GALNS	-0.7353
STX6	0.15975
HIST1H1C	0.2195
CIDEB	0.692375
CASP4	-0.532333333333333
PDK3	-0.2742
KCNJ11	1.1525
TPR	-0.678375
ZSCAN20	-0.505
MTX2	-0.0325
HIST1H2BH	0.857
LOC283767	2.9435
LYRM7	-0.796888888888889
BRD3	-0.6905
HIST1H2BO	0.40225
MAGEB10	-0.271
SLC45A1	1.42075
SERPINA3	0.7653
KIAA0143	0.765
KCNJ16	0.594666666666667
KRT79	-0.04625
FABP2	-0.807
NUT	-0.84725
ZNF57	-0.025
FBXL4	-0.168125
CLEC9A	0.538
UGT8	-0.403
BMP2K	0.23625
MAPK4	-3.531
SLC25A23	-0.2306
HINT1	-0.7468
KRTAP13-1	0.069
SFXN5	0.4592
CHCHD2	-0.583
FAM3D	0.188
NDP	-2.432
RHOBTB1	0.160333333333333
SLC4A4	-1.6665
RPL38	0.307
HTF9C	-1.17966666666667
AP2A2	0.60875
ZBTB46	-1.129
MAP7D1	-0.366125
AOX1	-0.795
CYR61	0.555333333333333
DTNA	0.197857142857143
JRKL	0.051
TMOD3	-0.338
EEA1	-0.1511
ADCK5	-1.2235
IL1R1	1.7685
KLK3	0.204857142857143
HRSP12	-0.395
KTN1	0.711
LOH11CR2A	0.7967
RELL2	-1.302
MAB21L1	2.6935
C20orf59	-0.800666666666667
PHKB	0.632
ADAM2	1.63583333333333
TBC1D8B	2.9765
FAM13A1	-0.4645
LAPTM4B	-0.9385
LCN8	-0.1865
TMEM147	0.5175
SYT4	0.247333333333333
XPO7	-1.6255
C9orf62	-0.40125
GPR75	0.682
TRIM5	-0.194625
APOC1	-1.0105
RNASE4	2.00433333333333
PARD6B	-1.345
ARID1A	0.0816666666666667
TPD52L3	0.7118
RRAGB	2.00183333333333
RCN2	-0.207
HIST2H2BE	0.945875
STARD7	-0.83675
SHMT2	-1.9395
KIAA1751	-0.11
MLYCD	-0.0565
LOC162632	-0.2714
UQCRH	-0.98025
RP11-217H1.1	1.281875
SDHA	-1.63583333333333
NCLN	-0.9806
ZNF17	1.11416666666667
RCBTB2	-0.728
VEGFB	-0.1347
RP4-747L4.3	0.53925
COLQ	0.1748
MPN2	-1.35416666666667
DRG2	-0.9425
KLRB1	3.91825
ALPK2	-2.1075
DNASE2B	2.82075
FLJ23834	0.350166666666667
AXUD1	-0.259166666666667
SAFB	-0.8612
NSUN4	-1.0225
RFX2	1.48416666666667
MAPK8IP1	-0.017
FANCD2	-1.33142857142857
ANKZF1	-1.839
C19orf50	-0.459625
DUSP8	0.514875
SENP5	-0.970625
NFKBIL2	-1.1865
LBR	-2.350125
IGFL1	1.0915
LZTS2	0.27175
IL2RG	-1.6565
CCDC51	-0.55475
KLF3	0.27325
ANKRD37	-0.91025
KCTD14	1.2975
FZR1	-0.305333333333333
SLC44A4	2.6655
ESPL1	-1.488125
GMPR2	-0.1113
TBC1D19	-0.0905
ERGIC1	-0.335555555555556
ERBB4	1.4259
TSPAN32	-0.278166666666667
MAP4	-0.6805
GPHN	0.37625
SLC6A2	0.067375
HIVEP1	1.204
DFFB	-0.4921
EIF4EBP2	0.319375
DMRT1	-0.637
HSPB6	-0.35175
IER2	-0.116333333333333
AIFM1	0.2625
WWC2	0.02825
MRPL4	-1.1245
FLJ21062	0.957
EPB41L4A	-0.514916666666667
SH2D6	0.23
TAF4B	-1.1235
GAL3ST3	0.0615
MALT1	-0.474
RTDR1	0.78525
ARVCF	-0.329
MEX3B	0.063
FBXO16	0.43825
KIF7	-0.641
C1QC	3.8165
ZNF783	-1.147
ZNF85	0.59975
MMP13	6.3735
KIAA0329	0.556375
RTP3	-0.032
ZBED3	-0.11725
CLGN	-3.55875
SLC25A37	-2.01358333333333
hCG_18290	0.30275
OR5AS1	0.1685
SMARCC2	0.091
FAM109A	-0.276166666666667
CCDC12	-0.203
USF2	0.1851
DEPDC7	-0.13875
C20orf24	-0.645833333333333
JMJD3	0.0245
DSP	1.5875
SLIC1	-0.279
FAM20A	1.440875
IRF2BP2	-0.204875
ZNF230	0.7105
MSN	-0.604142857142857
SLC9A5	-0.8345
EPDR1	-0.4632
MUSK	-0.122333333333333
ZNF434	0.611166666666667
SMARCD1	-0.563
ZFP106	0.33125
ZNF347	0.8437
GTF2E1	0.481
RY1	0.244
ATAD2B	0.323
