Hybridization REF	TCGA-A8-A08R-01A-11R-A034-07
FUS	-0.8885
TF	-3.2045
CLCN4	0.5745
CXorf56	0.72925
C11orf72	0.3295
ELAC2	-0.616
NPR1	-0.9265
ASS1	-1.27566666666667
USP42	0.06875
POLR2J	-0.539
SEC23IP	-0.148166666666667
UQCRC1	-0.38975
LOC729603	-0.32925
C1orf71	0.67075
POLG	-0.4815
ADAM23	-3.588
TFR2	-0.91325
RICTOR	-0.9294
MGC39606	-0.12875
C19orf55	-0.23225
SNAPC1	-0.935333333333333
GNA11	0.987625
CCDC52	-0.4445
FSIP1	-0.924
UPF3A	-0.5285
IGSF11	-2.12
LAGE3	0.62025
CHST6	0.939
UNC13B	0.120875
TTLL4	0.55775
ZNF687	-0.2685
SDC2	2.6336
COX7A2	0.19675
LAMB4	-0.29
FAM24A	-0.0205
LRRTM3	-1.15083333333333
GPHB5	-0.145
OR4C13	0.13
EIF3EIP	0.120785714285714
HABP4	1.09
TMEM125	4.557
CNTN2	-0.0744285714285714
ASNSD1	-0.501
FUT4	0.57825
ACF	-3.847
LOC158381	-0.3985
CDH8	0.3345
AGPS	-0.6865
C4orf18	1.38525
PECI	-2.13058333333333
UNG	0.0585
GSTP1	0.0345
DCUN1D5	-0.278666666666667
DKFZP564J0863	0.0535
SLC9A3R1	0.181375
BCDO2	-0.231125
CHMP7	-0.201875
REM2	0.147
DNHD1	-0.0995
FKBP4	-0.26725
ZNF350	0.5895
MGC11102	-0.5695
BST1	1.91375
KISS1R	0.411
NCR2	0.274
DEFB125	0.0545
UBE2W	1.32125
KRT15	0.899
C10orf99	0.4595
SCN11A	0.146125
GFI1	-1.4215
RDHE2	-0.525
FHL1	-1.0535
OSGEP	0.291666666666667
GATA1	-3.894
SMC6	-0.22475
TTTY14	-0.7465
LPIN3	-0.179
RPL4	-1.0456
RBPMS	1.3053
PRPF3	-0.0413333333333333
EMR1	-1.301
SPATA19	-0.40775
XCR1	0.786
IRX3	0.8445
RBM6	-0.82
KLF4	-0.8381
UNC5CL	0.11675
SEBOX	0.0995
BTK	0.4575
KRCC1	0.58325
C6orf27	0.0585
SYTL5	-0.7895
PRND	0.513875
LOC653319	-1.558
PIGL	-1.554125
HUS1	-0.985666666666667
SFRS6	-0.797833333333334
C17orf77	0.576
UIMC1	-1.79916666666667
FXYD2	-1.4464
LOC283152	-0.76225
ZNF667	0.345
ZCCHC12	-1.01425
TFEC	4.7137
ATP7B	-0.410166666666667
POLD2	-1.32566666666667
RG9MTD1	-0.3605
ACOT2	-0.1795
HIST1H4I	-0.584875
PPARGC1A	-1.8738
ETFA	-0.7968
POLRMT	-0.69175
ZNF146	0.984125
MIA2	-0.914
KLHL6	0.837166666666667
HOXB5	-1.192125
NENF	0.0556666666666667
CUGBP1	-0.171
PRSS22	1.45816666666667
CASC4	0.6642
CUL4B	0.1577
CENPJ	-0.7668
PITX1	1.1005
FLJ31033	1.18733333333333
CELSR3	-0.534666666666667
ZNF568	0.876
ITSN1	-0.61
EHBP1L1	-0.753333333333333
C19orf2	-0.236
DCTN1	0.45575
LIN28B	-4.0215
TNKS2	0.55475
C1QBP	-0.80525
CADPS2	-0.6305
SRMS	0.501
GJA9	0.336666666666667
MGC24975	-1.12916666666667
TRIM45	-1.402
TSP50	-0.2385
TCP1	-0.70825
TMED7	-0.0813
CMA1	0.1145
CENPL	1.111
PTCRA	0.561
FST	-4.1285
VWCE	-3.54125
PAWR	0.7935
ABCC12	-0.108333333333333
LDLR	-1.1509
ASTN2	0.6561
LOC441212	-1.521625
GPATCH8	-0.49875
TANC2	-0.415083333333333
KIF4A	-0.75325
C18orf18	-1.3745
PGM1	-0.579
KIAA0258	-0.55375
CPD	0.191375
SNCAIP	-1.79975
DCT	-4.114
HLA-DOA	3.07295454545455
OR11L1	0.38
UPK1B	-1.1882
DNAJB4	-0.260125
UGT1A8	0.01
HIST1H4L	0.3965
PECR	-2.1625
HSPA2	0.93225
WFIKKN1	-2.804
SERP1	1.99025
SYDE2	0.42525
TACR2	0.1045
NUP85	-0.39175
CD177	2.94333333333333
LGR5	-1.33466666666667
PIGG	0.167166666666667
PTHR1	-2.08183333333333
RAB5A	0.3401
FLJ13224	0.2385
USP9Y	-1.8515
C7orf53	-0.3065
LRP1B	-0.77475
XAF1	3.4347
ABCG8	-1.343
ANKDD1A	-0.380833333333333
DAND5	-1.387
SPAG6	0.773666666666667
LINCR	2.223
ZDHHC22	-1.614125
CCDC60	-0.3725
THOC7	-1.09333333333333
TCTA	1.4084
OR8K3	-0.11975
NY-REN-7	-0.457
B2M	2.0025
C6orf141	0.409625
LPPR4	1.39625
SQLE	1.109625
SEPHS1	1.24625
BTBD14B	0.776214285714286
PLRG1	-0.66625
SPG7	-0.2728125
ZNF614	-1.03716666666667
PARD6G	0.427
INPP5B	0.3789
GRPEL2	0.491875
PPID	-0.8776
TRIM56	-0.408
UBE2J1	1.80675
IL20RA	0.305
LOC387856	0.11625
C1orf107	1.16166666666667
UTS2R	0.66875
C19orf22	0.05675
SAFB2	0.181125
KIAA0652	0.244
KLRG1	-0.945166666666667
MS4A8B	-0.00800000000000001
FRAG1	-0.199
KIAA1546	-0.0385
E2F4	-0.4611
CLEC4M	0.324
BTBD14A	0.038
KIAA0999	0.583
GYPA	-4.58766666666667
TAC1	-0.3633
TRAIP	-0.522833333333333
KIAA0232	-0.9569
ERCC8	-1.432625
GPX4	-0.071375
KIAA0368	-0.531625
GPR157	-0.666666666666667
CTAGE4	1.2015
C9orf30	-0.521
OR52A1	-0.0575
HSP90B3P	-0.1215
ALG9	-0.5172
BTBD10	0.34225
SDK2	1.20775
BAIAP3	-0.4905
RABGGTB	-1.605
ANKRD40	0.553166666666667
KRT74	-0.024
CALCOCO2	-0.256214285714286
SNCA	-3.57975
TMSL8	-1.25325
C2orf53	-0.0085
ESRRB	-0.25825
ARHGAP26	-0.57625
TDRD9	-2.57575
HRAS	-0.643666666666667
KLRC4	-2.019
JAGN1	0.2435
BSDC1	0.5405
RNF43	-0.846
NDUFAF1	-0.375
PHF12	0.223
OR1L3	-0.149
FOLR2	0.973833333333333
LYZL6	0.2755
tcag7.1260	-1.0765
WSB1	-1.268
PROS1	-1.2004
OSTN	0.1575
PSMB8	0.2435
SOCS4	-0.073125
DDIT4L	1.68025
MAS1	-0.5065
MGC34796	0.6395
CSHL1	0.532166666666667
TBCCD1	1.3015
ZBTB7C	0.1975
AP2S1	-0.577625
P15RS	-0.4932
VAT1	-0.6963
SHANK3	1.892
TUFM	-0.452333333333333
THEG	-0.3615
KRT34	-2.055
SGSM3	0.542875
TOMM22	0.79425
SOCS3	0.410166666666667
CPO	0.764
POP4	0.55425
BHLHB3	1.0085
MALL	2.7145
OR1B1	0.0625
PARK2	0.720833333333333
GPR124	0.453875
LCE1E	-0.4365
RUVBL2	-0.181
CGRRF1	-0.5096
ACPL2	0.32125
WNT10B	-1.112625
BAIAP2L2	-0.786375
ISCA1	-0.081
C1orf125	-0.00262500000000003
RPAP1	-0.79925
RAI16	-0.2645
RPL27	-0.783875
NLRP9	-0.3435
EPN1	0.081
LOC388610	0.190625
SLC35A1	1.2
GAL	1.3255
SLC14A2	0.4745
RDH11	-1.1165
FAM138F	-1.079
AUH	-1.4275
FLJ40243	0.21175
C14orf129	0.0691666666666667
MBD2	-0.522666666666667
ABHD14B	-0.030625
PIGT	-0.086875
ALS2CR4	-0.28775
ALAS1	0.6617
FOXO1	0.765833333333333
CRLF3	0.899875
C20orf107	-0.0705
FARS2	0.81675
CCDC28A	0.1805
NPHP3	-1.329
OR13F1	0.186
TSEN54	-0.0005
DEFB106B	0.4756
OR8B4	0.262
STH	-0.8365
ZC3H14	-0.20225
CBX2	-0.456
TMEM49	-1.323
C6orf21	0.5135
FLJ20920	-0.996
CRTAP	-0.0937857142857143
DDX50	-0.8865
STYXL1	-0.04275
BLVRB	-0.637833333333333
LOC147650	-0.346666666666667
MMP24	-0.8995
GRID1	1.17733333333333
BANF1	-0.0618333333333333
CTAGEP	0.24975
HMBS	-1.4435
SLC25A24	-0.011
C14orf50	-0.19975
MRO	0.416666666666667
SLC25A15	-0.22375
FAM84B	1.5617
TDP1	-0.2015
C16orf78	0.391333333333333
C11orf57	0.35925
RFK	-0.9565
ZFYVE9	0.582625
STCH	-1.0382
WIBG	0.165
LOC283871	-0.591333333333333
GBA2	-0.4425
NDUFB3	-0.342
HSD17B13	-0.6895
GRIN3A	2.223
FMNL1	-0.164333333333333
SEPT7	-0.7343
GNLY	4.246
GRAMD1C	0.163166666666667
ZNF165	0.233
USP38	0.069
FAM83A	-3.32683333333333
C14orf24	0.530166666666667
ARMCX3	0.28
ARHGDIB	0.410666666666667
AK1	-0.1395
KIAA1045	1.036
DNAJB13	-0.240666666666667
NEU2	0.328
HIST1H4B	-0.0528333333333334
FAM20B	0.8499
HES2	2.22985714285714
FAM73B	-0.6492
LOC388381	0.74425
INTS7	0.384727272727273
AMPH	0.609
ZNF775	0.023125
UCKL1	0.496166666666667
C10orf97	0.0955
C1orf161	0.089
ALDH1L1	-0.17575
FLJ39378	-0.48075
SLC23A1	-3.817
RBM4B	0.22625
THAP4	-0.448
OGFRL1	2.64625
KIAA0831	-0.347125
PPP1R15A	-0.467
C1orf96	2.02821428571429
C12orf11	-2.70575
BMF	0.824875
MAN1A1	0.671875
KIAA1600	0.6425
NLGN4X	-1.6495
ALOX12	-1.18283333333333
RB1CC1	2.096
NEIL2	-0.3021
EIF4E	-0.410090909090909
ABHD5	0.48425
EXOC4	-0.474333333333333
CIP29	-0.111
BATF2	2.421
SLC29A4	-0.9705
HTR4	0.454
EMB	-1.085
TRAF6	0.1995
LMNB1	-0.06075
FAM19A5	-0.891875
SHE	1.39675
PIK3C2B	0.17275
C15orf15	-0.5966
USP15	0.095
TCEAL2	-0.9345
C5orf39	1.0635
PTGER2	-0.463
SLC31A1	1.0261875
IFT172	0.57025
ADAM29	0.13125
GFOD1	1.2015
ST7L	0.611
C15orf26	-2.97275
PKN3	-1.5135
CNTD1	1.13433333333333
COMMD1	0.32625
NTRK2	1.30033333333333
FOXN3	0.0745
MFGE8	2.975
PFKFB2	0.8105
TAS2R4	-0.204
ENTHD1	0.904333333333333
PRMT5	0.304625
MGC16384	-0.889875
LOC442229	-0.569
TSKU	-1.000875
KRTCAP3	3.38075
PDLIM1	0.0374
KCNS2	0.292
RNF126	-0.8205
CEP63	0.096625
CLIC4	0.953875
hCG_1990170	-0.7385
ACR	1.9175
KLK7	3.34075
ALOX5AP	2.90325
RIPK3	3.82825
TAS2R9	-0.169
C19orf18	0.064
BIRC6	0.170428571428571
ZNF16	1.3405
RFT1	-0.558
SLC8A2	-0.46425
TACC1	0.375125
ITGAD	1.621
SAMHD1	1.90725
SH3PXD2B	1.2548
EPC2	0.53325
C20orf85	0.12175
ATP13A2	0.0673333333333333
KRT4	0.88075
CAPNS1	0.456
MDM2	0.3785
PCDH20	1.59725
KCNK9	0.2785
OR2C1	0.126
KLHDC3	0.941666666666667
IPPK	-0.4205
EFHD2	-0.058125
GALR3	0.4355
NBEA	-1.38566666666667
ABCA6	1.9237
CLDN3	2.58016666666667
AKT2	0.316928571428571
EGFR	0.137
RBM16	-0.69075
ZDHHC3	0.0628
SLC25A4	-0.5705
CYB5B	-1.33916666666667
CPXM1	0.33075
NDRG1	1.05846153846154
FLJ43826	0.0435
OR5L2	-0.115833333333333
FARP2	-0.3422
MRPL46	-0.495666666666667
LDHAL6B	-0.0343333333333333
MAPKAPK3	-0.972
NCAM2	-3.20525
PRKD2	-0.098
ZFP36L1	1.2378
CYSLTR1	-0.09
OR4C3	0.0765
HIST1H2AJ	-0.157
CCNB2	-0.848333333333333
ZNF10	-0.844875
TMEM175	0.5475
FAM134A	1.23166666666667
TIGD4	-0.6815
PCNP	-0.436
MGC39715	0.13825
LQK1	-2.003
CREB1	0.9156
TMPRSS3	1.5745
C4orf32	-0.018875
LAT	-0.976666666666667
KCNA3	-0.0895
SKIV2L2	-2.031
ROPN1B	4.801
tcag7.23	-1.2265
CDT1	-1.318
ZHX2	1.994
CD28	-2.51825
ZNF624	-0.42925
SEPT2	-0.0733333333333333
SOHLH2	-2.40157142857143
MCOLN3	-0.779714285714286
UNQ1945	0.6905
MASP2	-0.8795
ZNRF3	0.4379
GPATCH3	-0.01525
AGL	-0.399375
QRICH2	0.8795
PSD4	-0.366333333333333
CCNB1IP1	-1.31275
ENPP7	0.0295
OBFC1	-0.27225
KCNG3	-2.2945
C14orf79	0.128916666666667
ENPEP	0.862
SCT	0.6225
SKI	1.21125
SEC61G	-0.86675
CAPN11	0.11125
ATXN7L3	0.0965
DBNDD1	1.12016666666667
FAIM	0.8915
ANKRD36	0.2555
GABRP	5.3325
TACSTD2	0.195833333333333
EIF3J	-0.22225
PPP2R2A	-0.34875
TEKT4	-1.05183333333333
PVALB	-4.008
F10	-3.19133333333333
FAM134C	0.6632
COMP	3.27075
EFCBP1	-3.46725
SCLT1	0.405125
TAL1	-1.6942
ACSL1	1.633
ABCC5	1.39266666666667
ABL1	-0.610888888888889
RBBP7	-0.02475
PTPRG	-0.490375
NCOR1	-0.2481
SPINK4	-2.56683333333333
TXNRD1	-0.7926
TNRC15	0.802
C9orf138	0.436375
UBE2H	0.870166666666667
BRDT	-0.353833333333333
C8orf31	-0.01525
CCNE2	-0.0815454545454546
SLC6A8	-0.889625
CALCR	-4.20725
PPP1CB	1.19625
ABHD8	0.59925
ARF5	0.2683
SLC24A4	0.77725
CCT3	0.52325
ZNF121	0.0185
SLC3A2	0.0455
OR13A1	0.0605
SLC5A10	-0.26575
RAD50	-0.824625
IER5	0.132875
MTHFD1L	-0.695625
MBTPS2	0.0233333333333333
MVK	-0.553625
NCL	0.4132
PSMD10	-0.34325
MOBP	0.236
FLJ32894	-0.1955
HRH1	-0.784666666666667
C5orf30	-4.152
NUDT16L1	0.6718
RASGRP3	4.06533333333333
PRKRIP1	-0.5296
CCDC75	0.31075
LOC253970	-0.408
KIAA1239	-0.165
MED21	-1.45325
SYT11	0.695583333333333
NTSR2	-0.4995
EGFL11	-1.696
CXorf59	-0.147
OR2A25	-0.1605
SPTBN2	-1.195
LRMP	-0.736666666666667
RNF111	-0.48125
PTH	-0.2
LOC619208	0.740333333333333
KIAA0895	0.25775
RANBP5	-0.951875
P2RY10	1.68683333333333
NME5	-0.561833333333333
DDX21	-0.81475
LRSAM1	-0.055
HDAC11	0.281
VMO1	2.62325
NOLA2	-0.538333333333333
ADAR	1.47341666666667
MTO1	-0.836
SF4	0.528666666666667
P2RX1	0.266333333333333
HBM	0.31975
EN2	0.8105
C14orf172	0.84825
TM9SF2	0.6115
INHBE	-1.5095
TCTE3	-0.0238333333333334
TOX2	-2.6145
CTAGE3	0.2845
HBB	2.4049
MED15	-0.953166666666667
CASR	0.20475
C6orf66	0.405333333333333
MTPN	0.18825
UNC50	0.24
C21orf33	-0.030125
IRF2	0.74425
PGR	-2.45116666666667
GPR84	3.0945
CROCCL1	-1.73975
SRPX	-1.6135
BRE	0.167833333333333
FGF10	0.64225
SDC3	1.48316666666667
ZRSR1	-0.0665
DKFZP434P211	-0.379875
SOX6	0.558
RPUSD2	-0.19625
C14orf173	0.267666666666667
MAPK11	-0.6625
TBC1D22A	1.4335
FAM123A	0.4325
COL4A6	-3.939
TOMM70A	-0.088
NAB1	0.892125
MGC16385	1.2155
TSPAN18	1.66666666666667
MED31	-1.051
PLG	-0.396
CAPSL	-0.2895
ZNF532	1.8669
ASB14	-0.1745
CA8	3.42775
NUDT16P	0.743166666666667
SLFN11	0.459
LRRIQ2	-0.0415
NOL7	0.138666666666667
BRMS1L	0.003375
JARID1A	0.0931666666666667
PANK2	-0.6515
ICAM3	-0.0025
MDS1	-0.5575
TAF8	0.14125
RNF139	1.2345
ZNF594	-0.7095
ADAM8	2.6375
SFTPC	-0.35525
MAN2B2	0.1005
RGS12	0.2946875
EIF1AY	-5.21075
LRRIQ1	-1.2045
GPR150	0.7835
CCDC21	0.0613333333333333
PRRG3	0.158
SAA4	-1.74
RAPGEF5	1.476125
ZCCHC2	0.327916666666667
MGC39372	0.5255
PPP4R2	0.563
CDCA2	0.69
OR4D5	0.678666666666667
PTGFRN	0.9157
SIGLEC5	1.839
C19orf61	0.442333333333333
NMUR2	0.044
KIAA1586	-1.25533333333333
DAGLA	0.464833333333333
CHCHD6	-0.8835
GPR32	0.9685
NEUROD6	0.105833333333333
SLC2A4RG	0.697625
CA5B	-0.2175
FBXL3	0.45275
MPHOSPH9	-0.415
HMG2L1	0.38075
HCN4	0.6035
CEACAM19	0.6295
SH2D4B	0.460166666666667
HFE2	-0.671
TGM4	0.528666666666667
LYPD2	0.01175
TBC1D15	0.555
MRPS21	-0.1011
NONO	-0.9908
CLEC5A	2.1685
ITCH	0.215
MGAT3	-0.401666666666667
MBP	0.0905
RPP25	0.69375
SOSTDC1	3.3695
HRC	-2.29625
TRIM48	-0.2325
TMEM133	-0.87575
ECEL1P2	-0.9715
HOXC11	-0.543
DOK5	0.35875
HELZ	0.101833333333333
LOC348180	0.19975
MGC33894	0.28525
ADRB3	0.081
DMD	-0.0439166666666667
PTRH2	-0.44275
MPEG1	3.198
NDUFA12	-0.1265
KRTAP2-4	0.313416666666667
STAMBPL1	-0.398666666666667
ADCY2	2.22383333333333
UNQ6125	-0.066
KLHL20	0.878
SRM	-0.6535
OTC	-0.26625
TMIE	0.496333333333333
SNX8	0.69375
LIPK	-0.4125
CHURC1	-0.62825
KLC2	0.169333333333333
HDAC1	0.635833333333333
FAM128A	-0.120833333333333
FNDC3B	1.6621
MTCP1	0.0286666666666667
WFDC10B	0.2236
PCDHGB3	0.1915
ATRNL1	-0.9523
CAV2	0.1425
MED26	-0.166
DUS1L	1.202
CHRM3	0.35225
NEK9	0.74475
WARS2	-1.27775
TBX22	-0.021
TOMM40	0.00150000000000001
RP6-213H19.1	1.83116666666667
TUBGCP5	-0.50725
IGSF6	5.72125
TPPP	-0.213166666666667
UNQ6190	0.616
GSTM5	0.447125
BTD	0.0325
PDCD1LG2	1.783
SNRPB2	0.157833333333333
ERICH1	-0.54125
APOA4	-1.583125
HOXA11	-1.2395
NARG1	-0.742625
MKX	-0.71875
RAB28	-0.478785714285714
PKP3	0.557
SH3GL2	-1.5155
CTSO	2.15225
RPN2	0.2298125
IL28RA	1.34583333333333
SFMBT1	1.0405
WDR57	-0.14975
FER1L3	0.171166666666667
HSF5	-0.0876666666666666
TTC9B	0.0855
C4BPA	-3.547
ALB	-4.64607142857143
SORBS3	0.01625
UPF2	1.0475
JPH1	0.9025
AGBL2	-1.1485
DOPEY1	1.0705
TERF1	-0.2025
KIF22	-0.613333333333333
NINJ1	0.24025
SEC61A2	-0.568
HIST1H1D	-0.225666666666667
SFXN4	-0.339
UCP3	0.7162
ZNF703	0.0795
MYL6B	-0.99225
TREM1	2.27025
OR52E6	0.601
CKMT2	0.1465
HLA-C	2.497625
SLC13A3	-0.141
TIMP4	-3.573
SLIT2	1.699
RSF1	-0.0273888888888889
LONRF1	-1.02507142857143
MON1A	0.148833333333333
CACNG6	-1.6845
DPPA4	-5.38016666666667
ZSWIM3	0.48725
ZNF804A	0.962666666666667
CCIN	0.69225
SLC25A31	0.01625
KCNMB4	-0.2155
RABL5	-0.7415
GALNS	0.9075
STX6	1.403375
HIST1H1C	-2.03233333333333
CIDEB	1.433625
CASP4	0.0296666666666667
PDK3	2.3586
KCNJ11	-0.566
TPR	-0.176625
ZSCAN20	-0.047
MTX2	-0.7265
HIST1H2BH	-0.03925
LOC283767	0.71675
LYRM7	-1.56033333333333
BRD3	0.0838333333333333
HIST1H2BO	-0.382
MAGEB10	0.466
SLC45A1	0.49875
SERPINA3	-0.2735
KIAA0143	1.869
KCNJ16	0.0626
KRT79	1.547
FABP2	-0.4255
NUT	-0.19525
ZNF57	-0.26475
FBXL4	1.294375
CLEC9A	0.291
UGT8	3.2235
BMP2K	0.327
MAPK4	-0.94975
SLC25A23	-0.3944
HINT1	-1.3328
KRTAP13-1	-0.197
SFXN5	-0.8688
CHCHD2	-0.238333333333333
FAM3D	0.907
NDP	-2.86825
RHOBTB1	-0.307333333333333
SLC4A4	-1.0195
RPL38	-0.25925
HTF9C	-0.668666666666667
AP2A2	0.01925
ZBTB46	0.744
MAP7D1	0.715
AOX1	-2.34883333333333
CYR61	1.79916666666667
DTNA	-0.00521428571428574
JRKL	0.9485
TMOD3	-0.30375
EEA1	-0.3353
ADCK5	-0.1
IL1R1	1.11866666666667
KLK3	0.427071428571428
HRSP12	-0.08875
KTN1	-0.58175
LOH11CR2A	-0.471
RELL2	-1.4635
MAB21L1	1.38525
C20orf59	-0.9975
PHKB	-0.77825
ADAM2	-1.89466666666667
TBC1D8B	1.023
FAM13A1	-0.833625
LAPTM4B	0.711666666666667
LCN8	0.236
TMEM147	0.505
SYT4	-0.191333333333333
XPO7	-0.102
C9orf62	1.047
GPR75	0.5545
TRIM5	0.351625
APOC1	1.2855
RNASE4	0.216833333333333
PARD6B	-2.11175
ARID1A	0.197083333333333
TPD52L3	0.391666666666667
RRAGB	0.284166666666667
RCN2	-0.2265
HIST2H2BE	-0.0109375
STARD7	0.612
SHMT2	-0.146
KIAA1751	-0.000500000000000002
MLYCD	0.607375
LOC162632	-1.2234
UQCRH	-1.51425
RP11-217H1.1	0.8026875
SDHA	0.086
NCLN	-0.0696
ZNF17	-0.185166666666667
RCBTB2	-1.478
VEGFB	-0.7472
RP4-747L4.3	2.751
COLQ	0.088
MPN2	-1.17216666666667
DRG2	-0.74825
KLRB1	4.8605
ALPK2	-2.519
DNASE2B	1.8435
FLJ23834	-0.480833333333333
AXUD1	-0.0101666666666667
SAFB	-0.2371
NSUN4	-0.37125
RFX2	-0.474833333333333
MAPK8IP1	-0.5755
FANCD2	-2.17307142857143
ANKZF1	-0.952666666666667
C19orf50	1.040125
DUSP8	-0.181125
SENP5	1.539375
NFKBIL2	-0.1915
LBR	-0.442375
IGFL1	0.063
LZTS2	-0.074
IL2RG	0.764125
CCDC51	-0.1405
KLF3	0.318375
ANKRD37	-1.65725
KCTD14	0.439
FZR1	0.366666666666667
SLC44A4	-1.7666
ESPL1	-0.305625
GMPR2	-0.1473
TBC1D19	-1.654
ERGIC1	-0.504777777777778
ERBB4	-0.5256
TSPAN32	0.167666666666667
MAP4	0.285
GPHN	-0.44325
SLC6A2	1.562625
HIVEP1	0.7285
DFFB	-0.2337
EIF4EBP2	-0.132625
DMRT1	0.89275
HSPB6	0.00950000000000001
IER2	0.584333333333333
AIFM1	0.29525
WWC2	-0.195666666666667
MRPL4	-0.815
FLJ21062	-1.52733333333333
EPB41L4A	0.0174166666666665
SH2D6	0.30975
TAF4B	0.40925
GAL3ST3	-0.361
MALT1	-0.883666666666667
RTDR1	0.173
ARVCF	-0.42925
MEX3B	0.397666666666667
FBXO16	0.01525
KIF7	-0.9665
C1QC	4.11433333333333
ZNF783	0.565333333333333
ZNF85	-0.30075
MMP13	4.066
KIAA0329	0.394875
RTP3	-0.6805
ZBED3	-0.98325
CLGN	-4.04275
SLC25A37	-0.933083333333333
hCG_18290	-0.78075
OR5AS1	-0.115
SMARCC2	0.45825
FAM109A	0.158833333333333
CCDC12	-0.406
USF2	0.6069
DEPDC7	-1.0175
C20orf24	-0.0185
JMJD3	0.553
DSP	2.79085714285714
SLIC1	1.065375
FAM20A	2.037625
IRF2BP2	1.51025
ZNF230	-0.4035
MSN	0.995142857142857
SLC9A5	-1.7365
EPDR1	-2.038
MUSK	0.332333333333333
