Hybridization REF	TCGA-A2-A0EO-01A-11R-A034-07
NENF	0.9375
CUGBP1	0.52275
PRSS22	1.254
CASC4	2.4192
CUL4B	0.1917
CENPJ	-1.6286
PITX1	-0.870833333333333
FLJ31033	0.615833333333333
CELSR3	-1.099
ZNF568	1.39125
ITSN1	0.3845
EHBP1L1	-0.855666666666667
C19orf2	-1.3095
DCTN1	-0.3975
LIN28B	-3.687
TNKS2	0.10425
C1QBP	-1.25775
CADPS2	1.85825
SRMS	0.90375
GJA9	0.152
MGC24975	-1.66733333333333
TRIM45	-0.820166666666667
TSP50	-0.96925
TCP1	-1.8105
TMED7	0.8378
CMA1	0.8715
CENPL	-1.743
PTCRA	0.519
FST	-2.16275
VWCE	-4.1015
PAWR	0.75725
ABCC12	0.1134
LDLR	-0.6967
ASTN2	1.8037
LOC441212	-0.735875
GPATCH8	-0.33425
TANC2	-0.797333333333333
KIF4A	-2.6935
C18orf18	-0.0595
PGM1	-1.33025
KIAA0258	0.50625
CPD	0.58075
SNCAIP	0.24375
DCT	-4.43166666666667
HLA-DOA	3.35936363636364
OR11L1	0.1545
UPK1B	-0.732666666666667
DNAJB4	-0.172125
UGT1A8	-0.733333333333333
HIST1H4L	-1.3225
PECR	-1.46616666666667
HSPA2	2.53875
WFIKKN1	-2.983
SERP1	0.678
SYDE2	1.854
TACR2	0.2415
NUP85	-0.73475
CD177	1.66483333333333
LGR5	-1.46133333333333
PIGG	0.0635833333333333
PTHR1	-0.780333333333333
RAB5A	0.0648
FLJ13224	-1.41
USP9Y	-1.33183333333333
C7orf53	-2.0395
LRP1B	0.4525
XAF1	1.0152
ABCG8	-1.396
ANKDD1A	-0.3315
DAND5	-5.3125
SPAG6	0.5125
LINCR	1.71875
ZDHHC22	-1.718375
CCDC60	0.2265
THOC7	-1.58733333333333
TCTA	1.1507
OR8K3	0.30425
NY-REN-7	-0.20975
B2M	1.39616666666667
C6orf141	-1.488
LPPR4	1.89575
SQLE	-1.306625
SEPHS1	-0.5975
BTBD14B	0.252428571428571
PLRG1	-0.209
SPG7	-0.9158125
ZNF614	-0.467
PARD6G	1.1905
INPP5B	-0.8667
GRPEL2	-0.1335
PPID	-1.1584
TRIM56	-0.19375
UBE2J1	-0.526125
IL20RA	3.7465
LOC387856	0.27225
C1orf107	1.01141666666667
UTS2R	1.24475
C19orf22	-0.4975
SAFB2	0.089125
KIAA0652	0.01225
KLRG1	0.307333333333333
MS4A8B	-0.1975
FRAG1	0.57825
KIAA1546	0.02875
E2F4	-1.53
CLEC4M	0.0641666666666667
BTBD14A	-1.12825
KIAA0999	0.6031
GYPA	-3.0088
TAC1	4.1913
TRAIP	-2.00883333333333
KIAA0232	0.832
ERCC8	-1.3865
GPX4	0.131375
KIAA0368	0.047625
GPR157	-1.1795
CTAGE4	0.226
C9orf30	-1.7445
OR52A1	-0.0675
HSP90B3P	-0.204
ALG9	-0.1438
BTBD10	0.722
SDK2	-0.55175
BAIAP3	-0.31075
RABGGTB	-1.293875
ANKRD40	-0.407333333333333
KRT74	0.9565
CALCOCO2	-0.000571428571428568
SNCA	-2.77575
TMSL8	-3.596375
C2orf53	-0.873
ESRRB	-0.72175
ARHGAP26	-0.631375
TDRD9	-2.7215
HRAS	-0.287666666666667
KLRC4	-2.6395
JAGN1	-0.327833333333333
BSDC1	0.634
RNF43	0.6387
NDUFAF1	0.27875
PHF12	0.3695
OR1L3	-1.25766666666667
FOLR2	1.38608333333333
LYZL6	0.0419999999999999
tcag7.1260	-2.515
WSB1	-2.07566666666667
PROS1	0.2156
OSTN	0.2635
PSMB8	0.39875
SOCS4	-0.27775
DDIT4L	2.24325
MAS1	0.0475
MGC34796	0.45525
CSHL1	-0.0731666666666666
TBCCD1	0.139
ZBTB7C	-0.047
AP2S1	-0.8575
P15RS	-0.1483
VAT1	-0.3727
SHANK3	0.875666666666667
TUFM	0.0706666666666667
THEG	-0.3235
KRT34	-2.628
SGSM3	0.326125
TOMM22	-0.070375
SOCS3	1.3625
CPO	0.908
POP4	-0.1145
BHLHB3	3.4155
MALL	1.395
OR1B1	-0.287
PARK2	0.881333333333334
GPR124	1.13775
LCE1E	0.8365
RUVBL2	-0.929
CGRRF1	0.4588
ACPL2	0.6805
WNT10B	-2.0935
BAIAP2L2	-1.90075
ISCA1	0.3045
C1orf125	0.984875
RPAP1	-0.90875
RAI16	-0.1045
RPL27	-0.1735
NLRP9	-0.61
EPN1	-0.1755
LOC388610	-0.648
SLC35A1	0.614
GAL	-3.95875
SLC14A2	0.1895
RDH11	-0.17
FAM138F	-0.417
AUH	-0.424
FLJ40243	0.565
C14orf129	0.398333333333333
MBD2	-0.411166666666667
ABHD14B	0.120875
PIGT	0.100375
ALS2CR4	-0.37
ALAS1	-0.4303
FOXO1	2.19166666666667
CRLF3	-0.045625
C20orf107	-1.7375
FARS2	0.52325
CCDC28A	0.84475
NPHP3	-0.886
OR13F1	0.299
TSEN54	-0.67075
DEFB106B	0.0726
OR8B4	-0.222
STH	1.93125
ZC3H14	-0.227
CBX2	0.4815
TMEM49	-1.00375
C6orf21	0.7495
FLJ20920	0.813875
CRTAP	-0.0396428571428571
DDX50	0.349
STYXL1	-0.09325
BLVRB	-0.421333333333333
LOC147650	-0.0318333333333333
MMP24	0.277
GRID1	2.157
BANF1	-0.518666666666667
CTAGEP	0.07375
HMBS	-2.16875
SLC25A24	0.0596666666666667
C14orf50	1.415
MRO	0.303333333333333
SLC25A15	-0.5955
FAM84B	1.4914
TDP1	-0.67
C16orf78	-0.9932
C11orf57	0.998
RFK	-0.74925
ZFYVE9	0.442
STCH	-0.4033
WIBG	0.3675
LOC283871	-0.673666666666667
GBA2	-1.0317
NDUFB3	-0.7765
HSD17B13	0.00124999999999999
GRIN3A	0.122166666666667
FMNL1	-1.14666666666667
SEPT7	0.1923
GNLY	2.791
GRAMD1C	1.50466666666667
ZNF165	-1.0495
USP38	0.61375
FAM83A	-3.55916666666667
C14orf24	0.7225
ARMCX3	1.23275
ARHGDIB	0.368166666666667
AK1	-0.598125
KIAA1045	0.93425
DNAJB13	-0.385666666666667
NEU2	0.3705
HIST1H4B	-1.23266666666667
FAM20B	-0.0405
HES2	0.569285714285714
FAM73B	-0.8986
LOC388381	0.23375
INTS7	-1.02309090909091
AMPH	1.3195
ZNF775	0.03275
UCKL1	-0.972833333333333
C10orf97	-0.17075
C1orf161	-0.7185
ALDH1L1	-0.54575
FLJ39378	-0.111625
SLC23A1	-1.4795
RBM4B	-0.05125
THAP4	-0.166833333333333
OGFRL1	1.03375
KIAA0831	0.3005
PPP1R15A	-0.306166666666667
C1orf96	0.5025
C12orf11	-2.24075
BMF	1.037875
MAN1A1	-0.2265
KIAA1600	0.776666666666667
NLGN4X	0.172
ALOX12	-1.08916666666667
RB1CC1	0.6035
NEIL2	0.5279
EIF4E	-0.198818181818182
ABHD5	-0.01875
EXOC4	-0.0705
CIP29	0.274833333333333
BATF2	-0.16875
SLC29A4	-1.292625
HTR4	0.3775
EMB	0.454
TRAF6	0.7845
LMNB1	-1.141
FAM19A5	0.584375
SHE	1.59775
PIK3C2B	1.10125
C15orf15	-0.6513
USP15	0.229
TCEAL2	2.37225
C5orf39	-0.434333333333333
PTGER2	2.01975
SLC31A1	-0.8538125
IFT172	0.2405
ADAM29	-0.03625
GFOD1	-0.0365
ST7L	0.720666666666667
C15orf26	-3.07425
PKN3	-0.79475
CNTD1	3.18533333333333
COMMD1	0.12775
NTRK2	3.75566666666667
FOXN3	0.706375
MFGE8	0.072
PFKFB2	0.564666666666667
TAS2R4	-0.419333333333333
ENTHD1	1.99433333333333
PRMT5	-0.811875
MGC16384	-1.5215
LOC442229	-0.71375
TSKU	0.129375
KRTCAP3	2.31675
PDLIM1	1.1268
KCNS2	0.675
RNF126	-0.698833333333333
CEP63	0.229875
CLIC4	0.018875
hCG_1990170	2.82925
ACR	0.0225
KLK7	3.77
ALOX5AP	4.09875
RIPK3	3.9415
TAS2R9	-0.5825
C19orf18	0.8695
BIRC6	-0.493571428571429
ZNF16	1.353
RFT1	-0.643
SLC8A2	-1.3225
TACC1	0.728125
ITGAD	0.441333333333333
SAMHD1	1.36175
SH3PXD2B	1.277
EPC2	1.421
C20orf85	2.465625
ATP13A2	0.102166666666667
KRT4	0.65175
CAPNS1	-0.663
MDM2	-0.0613333333333333
PCDH20	3.43775
KCNK9	1.019
OR2C1	-0.025
KLHDC3	-1.039
IPPK	-0.521
EFHD2	-0.39775
GALR3	1.194
NBEA	1.28583333333333
ABCA6	4.3895
CLDN3	1.16316666666667
AKT2	-0.430142857142857
EGFR	-0.2773
RBM16	0.147125
ZDHHC3	0.3062
SLC25A4	-0.027
CYB5B	-1.65933333333333
CPXM1	1.261
NDRG1	-1.04676923076923
FLJ43826	0.277
OR5L2	-0.384666666666667
FARP2	0.4398
MRPL46	-1.006
LDHAL6B	0.494833333333333
MAPKAPK3	-0.973833333333333
NCAM2	0.6855
PRKD2	0.342166666666667
ZFP36L1	2.2792
CYSLTR1	0.04225
OR4C3	0.417
HIST1H2AJ	1.7695
CCNB2	-3.10833333333333
ZNF10	-0.088875
TMEM175	0.309
FAM134A	1.0435
TIGD4	-0.891
PCNP	-0.463
MGC39715	0.97525
LQK1	-1.86925
CREB1	0.6685
TMPRSS3	1.692
C4orf32	1.977
LAT	-1.47991666666667
KCNA3	0.808
SKIV2L2	-0.6715
ROPN1B	0.3605
tcag7.23	-0.4725
CDT1	-3.599625
ZHX2	1.5735
CD28	-2.40675
ZNF624	0.8885
SEPT2	-0.0549166666666667
SOHLH2	-1.8335
MCOLN3	-0.595428571428571
UNQ1945	0.4815
MASP2	-1.459
ZNRF3	0.2819
GPATCH3	-0.459
AGL	0.02025
QRICH2	-0.653
PSD4	0.658666666666667
CCNB1IP1	-1.70625
ENPP7	-0.469
OBFC1	-0.0895
KCNG3	-3.13175
C14orf79	1.07616666666667
ENPEP	1.4195
SCT	3.195
SKI	1.2515
SEC61G	-1.464
CAPN11	-0.099
ATXN7L3	-0.495
DBNDD1	-1.0675
FAIM	-0.389
ANKRD36	-0.8785
GABRP	4.62366666666667
TACSTD2	2.18216666666667
EIF3J	-0.61925
PPP2R2A	0.0855
TEKT4	-0.271833333333333
PVALB	-2.7635
F10	-1.49883333333333
FAM134C	0.8141
COMP	4.859875
EFCBP1	-1.2944375
SCLT1	1.5875
TAL1	-1.0459
ACSL1	1.20175
ABCC5	0.340666666666667
ABL1	-0.735722222222222
RBBP7	-0.5515
PTPRG	-0.05825
NCOR1	-0.2237
SPINK4	-0.932833333333333
TXNRD1	-1.2597
TNRC15	1.37875
C9orf138	1.26775
UBE2H	1.098
BRDT	0.679833333333333
C8orf31	-0.50975
CCNE2	-1.79545454545455
SLC6A8	-1.422625
CALCR	-4.02
PPP1CB	1.03316666666667
ABHD8	-0.70625
ARF5	0.1877
SLC24A4	0.41075
CCT3	-0.20875
ZNF121	0.41675
SLC3A2	-0.6697
OR13A1	0.239
SLC5A10	-0.28025
RAD50	-0.114375
IER5	0.52625
MTHFD1L	-2.344125
MBTPS2	1.24325
MVK	-0.643375
NCL	-0.4553
PSMD10	-0.649
MOBP	0.388375
FLJ32894	1.033
HRH1	0.0231666666666667
C5orf30	1.744
NUDT16L1	1.1375
RASGRP3	3.58333333333333
PRKRIP1	-0.5606
CCDC75	0.194
LOC253970	0.0986666666666667
KIAA1239	-0.19775
MED21	-0.4715
SYT11	1.36091666666667
NTSR2	-0.2795
EGFL11	0.081
CXorf59	0.217
OR2A25	-0.13175
SPTBN2	-1.83075
LRMP	-1.21883333333333
RNF111	-0.033
PTH	0.378
LOC619208	1.02916666666667
KIAA0895	0.07775
RANBP5	-0.86125
P2RY10	1.58366666666667
NME5	4.0985
DDX21	-1.09225
LRSAM1	-0.627
HDAC11	0.434166666666667
VMO1	2.04625
NOLA2	-0.444
ADAR	0.579416666666667
MTO1	-1.42133333333333
SF4	0.00933333333333333
P2RX1	-0.1535
HBM	0.022
EN2	1.391
C14orf172	-0.0325
TM9SF2	0.4793
INHBE	-1.5376
TCTE3	-0.573666666666667
TOX2	-2.63
CTAGE3	0.26275
HBB	4.2192
MED15	-0.7005
CASR	0.55525
C6orf66	-1.87433333333333
MTPN	-0.11425
UNC50	-0.30275
C21orf33	0.1335
IRF2	0.814875
PGR	3.96783333333333
GPR84	2.8245
CROCCL1	-2.32475
SRPX	-1.06625
BRE	0.0445
FGF10	2.30925
SDC3	0.793166666666667
ZRSR1	0.396333333333333
DKFZP434P211	-0.614625
SOX6	-0.312
RPUSD2	-0.18425
C14orf173	-0.0630833333333333
MAPK11	-0.345166666666667
TBC1D22A	0.5215
FAM123A	-0.765
COL4A6	-1.59483333333333
TOMM70A	-0.1565
NAB1	-0.087625
MGC16385	-0.9265
TSPAN18	0.115333333333333
MED31	-0.23
PLG	-0.1655
CAPSL	0.381
ZNF532	1.1226
ASB14	0.5885
CA8	1.9055
NUDT16P	0.739833333333333
SLFN11	-0.6235
LRRIQ2	-0.1705
NOL7	-0.671
BRMS1L	-0.527875
JARID1A	0.658333333333333
PANK2	-0.59175
ICAM3	-0.112
MDS1	-0.35575
TAF8	-1.04975
RNF139	0.84125
ZNF594	-0.129166666666667
ADAM8	1.940125
SFTPC	-0.3715
MAN2B2	1.030625
RGS12	0.371375
EIF1AY	-4.38125
LRRIQ1	-0.719833333333333
GPR150	1.27275
CCDC21	-1.98366666666667
PRRG3	0.516
SAA4	-2.014
RAPGEF5	2.287625
ZCCHC2	0.749916666666667
MGC39372	0.043
PPP4R2	0.0673333333333333
CDCA2	-2.21516666666667
OR4D5	0.00916666666666666
PTGFRN	1.1395
SIGLEC5	2.94266666666667
C19orf61	-0.462166666666667
NMUR2	0.136
KIAA1586	-1.069
DAGLA	1.093
CHCHD6	-0.5585
GPR32	0.887
NEUROD6	0.382666666666667
SLC2A4RG	-0.17
CA5B	-0.131
FBXL3	1.88025
MPHOSPH9	-2.292
HMG2L1	0.51375
HCN4	0.562666666666667
CEACAM19	-0.28625
SH2D4B	0.0543333333333334
HFE2	-1.3585
TGM4	0.183
LYPD2	-0.588
TBC1D15	0.41475
MRPS21	-0.3239
NONO	-0.802
CLEC5A	2.845125
ITCH	0.4991
MGAT3	-0.0861666666666667
MBP	-0.42125
RPP25	-1.808
SOSTDC1	1.86125
HRC	-1.762
TRIM48	-0.084
TMEM133	0.3705
ECEL1P2	-1.032
HOXC11	1.1585
DOK5	0.7495
HELZ	0.682666666666667
LOC348180	-1.2185
MGC33894	0.3385
ADRB3	0.4325
DMD	0.332833333333333
PTRH2	-0.52225
MPEG1	3.128
NDUFA12	-0.137666666666667
KRTAP2-4	-0.02175
STAMBPL1	-1.04316666666667
ADCY2	1.35916666666667
UNQ6125	0.723
KLHL20	0.867333333333333
SRM	-1.28425
OTC	0.43625
TMIE	-0.0841666666666667
SNX8	-0.12925
LIPK	0.3005
CHURC1	0.8945
KLC2	0.166166666666667
HDAC1	-0.485666666666667
FAM128A	-0.0745
FNDC3B	-0.0673
MTCP1	-1.09616666666667
WFDC10B	-0.1841
PCDHGB3	0.1475
ATRNL1	-2.115
CAV2	-0.0285
MED26	0.1
DUS1L	-0.029
CHRM3	-2.019125
NEK9	0.35475
WARS2	-0.09575
TBX22	1.946
TOMM40	-1.3735
RP6-213H19.1	-1.231
TUBGCP5	-0.78875
IGSF6	5.97825
TPPP	0.915666666666667
UNQ6190	0.8705
GSTM5	1.11175
BTD	1.42183333333333
PDCD1LG2	0.230333333333333
SNRPB2	-0.435
ERICH1	0.3175
APOA4	-1.721375
HOXA11	-1.6125
NARG1	-0.1815
MKX	7.086
RAB28	-0.352214285714286
PKP3	1.2855
SH3GL2	-0.6445
CTSO	3.72575
RPN2	0.1030625
IL28RA	0.544166666666667
SFMBT1	-0.12225
WDR57	-0.240875
FER1L3	1.24175
HSF5	0.6444
TTC9B	0.00924999999999999
C4BPA	-3.32833333333333
ALB	-4.19478571428571
SORBS3	0.7875
UPF2	0.3295
JPH1	0.1375
AGBL2	0.15825
DOPEY1	0.985
TERF1	0.139166666666667
KIF22	-0.924
NINJ1	1.267
SEC61A2	-1.47483333333333
HIST1H1D	0.0445
SFXN4	-0.559
UCP3	0.1939
ZNF703	2.08833333333333
MYL6B	-0.96175
TREM1	3.18425
OR52E6	1.8195
CKMT2	1.9065
HLA-C	1.692
SLC13A3	-1.87683333333333
TIMP4	-1.1345
SLIT2	3.272
RSF1	0.387722222222222
LONRF1	-0.264428571428571
MON1A	-0.408166666666667
CACNG6	-1.49566666666667
DPPA4	-5.052
ZSWIM3	-0.76625
ZNF804A	0.363
CCIN	1.35375
SLC25A31	1.114
KCNMB4	0.2025
RABL5	0.70825
GALNS	-0.5466
STX6	1.1335
HIST1H1C	-0.2415
CIDEB	-0.66075
CASP4	0.0331666666666667
PDK3	-0.6097
KCNJ11	2.3405
TPR	0.200375
ZSCAN20	-0.355
MTX2	-0.32875
HIST1H2BH	0.77375
LOC283767	0.59325
LYRM7	-1.17261111111111
BRD3	0.9715
HIST1H2BO	0.7555
MAGEB10	0.619
SLC45A1	0.82475
SERPINA3	3.2481
KIAA0143	1.185
KCNJ16	1.70183333333333
KRT79	-0.291
FABP2	-1.25175
NUT	-0.536333333333333
ZNF57	-0.52075
FBXL4	0.326375
CLEC9A	1.999
UGT8	-0.241166666666667
BMP2K	0.77575
MAPK4	-3.314
SLC25A23	-0.5674
HINT1	-0.0284
KRTAP13-1	-0.253
SFXN5	-1.2681
CHCHD2	-0.4185
FAM3D	3.9905
NDP	-0.14425
RHOBTB1	0.522333333333333
SLC4A4	-1.199125
RPL38	-0.2385
HTF9C	-0.04
AP2A2	0.535
ZBTB46	-0.7745
MAP7D1	0.304125
AOX1	-0.905166666666667
CYR61	1.04041666666667
DTNA	0.379428571428572
JRKL	0.202
TMOD3	0.15975
EEA1	0.3527
ADCK5	-0.63775
IL1R1	2.23133333333333
KLK3	1.54192857142857
HRSP12	-0.36925
KTN1	1.15325
LOH11CR2A	1.4266
RELL2	-1.98125
MAB21L1	2.6975
C20orf59	-1.49783333333333
PHKB	-0.4315
ADAM2	-1.2436
TBC1D8B	1.76283333333333
FAM13A1	-1.0165625
LAPTM4B	-1.10483333333333
LCN8	-0.617
TMEM147	0.5175
SYT4	0.2125
XPO7	-0.081
C9orf62	1.395
GPR75	-0.0215
TRIM5	0.264875
APOC1	0.334833333333333
RNASE4	0.459333333333333
PARD6B	0.054
ARID1A	0.063
TPD52L3	0.6179
RRAGB	0.920333333333333
RCN2	-0.912833333333333
HIST2H2BE	1.13225
STARD7	-0.1115
SHMT2	-1.6075
KIAA1751	-0.357
MLYCD	0.126
LOC162632	0.1819
UQCRH	-1.7835
RP11-217H1.1	0.5044375
SDHA	-0.878833333333333
NCLN	-0.6891
ZNF17	0.7305
RCBTB2	-0.886
VEGFB	-0.2982
RP4-747L4.3	1.32075
COLQ	-0.28
MPN2	-1.62783333333333
DRG2	-0.8655
KLRB1	6.22175
ALPK2	-2.81775
DNASE2B	1.1005
FLJ23834	0.147666666666667
AXUD1	1.15
SAFB	0.0998
NSUN4	-0.811
RFX2	0.730166666666667
MAPK8IP1	-1.01916666666667
FANCD2	-1.40514285714286
ANKZF1	-1.62783333333333
C19orf50	-0.77575
DUSP8	1.846
SENP5	-0.995125
NFKBIL2	-0.87325
LBR	-0.96375
IGFL1	0.628
LZTS2	0.6165
IL2RG	-0.434625
CCDC51	-0.198
KLF3	0.366875
ANKRD37	-0.70175
KCTD14	0.0725
FZR1	0.32675
SLC44A4	3.8666
ESPL1	-1.499875
GMPR2	-0.0652
TBC1D19	-0.6765
ERGIC1	0.679888888888889
ERBB4	4.61677777777778
TSPAN32	0.113
MAP4	-0.31775
GPHN	-0.33925
SLC6A2	0.143625
HIVEP1	0.46325
DFFB	-0.1557
EIF4EBP2	0.408125
DMRT1	-0.8825
HSPB6	-0.1785
IER2	0.7535
AIFM1	-0.3165
WWC2	0.135818181818182
MRPL4	-1.0205
FLJ21062	0.646
EPB41L4A	1.67741666666667
SH2D6	0.15425
TAF4B	-0.72175
GAL3ST3	-1.201
MALT1	-0.932166666666667
RTDR1	-0.09
ARVCF	-0.16025
MEX3B	-0.597
FBXO16	0.76975
KIF7	-1.126
C1QC	4.34116666666667
ZNF783	-1.321
ZNF85	-0.96325
MMP13	2.3305
KIAA0329	0.692625
RTP3	-0.809
ZBED3	-0.43575
CLGN	-1.74175
SLC25A37	-0.853208333333333
hCG_18290	-0.097
OR5AS1	-0.954
SMARCC2	0.601583333333333
FAM109A	-0.162833333333333
CCDC12	-0.131
USF2	0.0355
DEPDC7	-1.734
C20orf24	-0.837666666666667
JMJD3	0.244
DSP	1.008
SLIC1	0.517
FAM20A	1.73975
IRF2BP2	0.8295
ZNF230	-0.084
MSN	-0.178571428571429
SLC9A5	-2.2065
