Hybridization REF	TCGA-B6-A0RO-01A-22R-A084-07
ZNF83	-0.358666666666667
GDPD5	-0.484625
PDCD4	1.95925
CEP350	-0.2565
OR10A2	-0.06225
CST7	-0.359
CIAO1	-0.30125
SELL	0.29125
OR8J3	-0.074
LTBP4	-0.515
SIRT6	-0.415
CCL19	4.13025
PPIL1	-0.2125
GBP7	0.1155
STK17A	-0.7515
ABR	0.6585
OR9G1	0.4625
FOXE1	-0.7065
CNGA3	0.3785
GML	0.4705
CD38	-3.86925
ZDHHC6	0.252666666666667
NEFH	-1.81625
CTDSP2	0.929833333333333
PGBD5	-0.7115
CCNY	0.804428571428571
RMND5B	0.750333333333333
ZNF257	-2.51175
FLJ22167	2.45325
EXOSC7	-0.3855
ROR2	1.339125
MAOA	-1.227125
TNNT3	0.723
GYPC	-1.4675
C7orf33	0.7355
PLIN	1.56066666666667
LOC90826	0.00625
RNF4	-0.2498
F8A1	0.478166666666667
PLEKHG4	-0.35525
GRB2	0.02885
HIST1H2AD	2.4625
DUS3L	-1.07316666666667
EIF1	-0.0763333333333334
RP5-1077B9.4	-1.38266666666667
FPGT	1.2145
GDF10	0.9905
COQ9	0.693
GCC2	0.302857142857143
RARRES3	3.162875
PLXNA1	-1.3524
KIAA0100	0.1155
PMF1	0.93725
FNDC1	4.2925
HS2ST1	-0.0461666666666667
CRELD2	0.7535
C8G	-1.8355
CD82	1.88475
LIM2	-1.1795
UNQ6490	-0.3085
MMP16	-0.08875
DRD3	-0.1225
C5orf26	-1.5605
C11orf73	0.171625
PTP4A2	0.83625
OR4M2	0.17
HPCA	0.0256666666666667
SEC14L1	-0.616333333333333
CHFR	-0.30275
EMILIN1	-0.11775
NDUFS4	0.1045
COL18A1	-1.221125
PDZD3	0.0728
C9orf16	-0.256333333333333
ERBB2IP	0.240166666666667
EMX2	1.20625
FUS	-0.97675
TF	-3.7876
CLCN4	-0.533833333333333
CXorf56	0.1495
C11orf72	0.2535
ELAC2	-0.40725
NPR1	-1.1385
ASS1	-1.47733333333333
USP42	-0.878625
POLR2J	-0.8895
SEC23IP	1.8725
UQCRC1	0.37925
LOC729603	-0.335
C1orf71	-0.028875
POLG	-2.4315
ADAM23	-3.79
TFR2	-0.99925
RICTOR	-0.6975
MGC39606	0.94325
C19orf55	-0.513
SNAPC1	-0.751666666666667
GNA11	0.425625
CCDC52	0.688833333333333
FSIP1	2.8755
UPF3A	0.014625
IGSF11	-2.80733333333333
LAGE3	-0.02
CHST6	-1.2845
UNC13B	0.593
TTLL4	-1.384125
ZNF687	0.612875
SDC2	-1.4994
COX7A2	-0.04275
LAMB4	0.041
FAM24A	0.3765
LRRTM3	-0.649666666666667
GPHB5	-0.07625
OR4C13	0.491
EIF3EIP	-0.4005
HABP4	-1.2545
TMEM125	4.25625
CNTN2	0.780375
ASNSD1	-0.02275
FUT4	0.061625
ACF	-3.658
LOC158381	0.954
CDH8	0.132
AGPS	0.078
C4orf18	4.659
PECI	0.20175
UNG	0.105125
GSTP1	-2.06925
DCUN1D5	-1.0615
DKFZP564J0863	-0.05725
SLC9A3R1	2.305875
BCDO2	-0.38825
CHMP7	-0.52625
REM2	1.23
DNHD1	-0.669625
FKBP4	1.06025
ZNF350	1.47475
MGC11102	0.340375
BST1	0.54275
KISS1R	0.624
NCR2	0.278
DEFB125	0.5025
UBE2W	1.666
KRT15	2.591375
C10orf99	0.163
SCN11A	0.458125
GFI1	-3.17025
RDHE2	0.295833333333333
FHL1	-2.26866666666667
OSGEP	0.585
GATA1	-3.43316666666667
SMC6	-2.0095
TTTY14	-1.445
LPIN3	0.082
RPL4	-0.9922
RBPMS	0.3661
PRPF3	-1.09133333333333
EMR1	-1.7085
SPATA19	0.0105
XCR1	0.7965
IRX3	1.935
RBM6	-1.921
KLF4	-0.4339
UNC5CL	-1.65425
SEBOX	0.251
BTK	-1.202
KRCC1	1.366
C6orf27	0.1745
SYTL5	-0.615
PRND	1.828625
LOC653319	-1.727
PIGL	-0.973875
HUS1	-0.125833333333333
SFRS6	1.55425
C17orf77	0.684
UIMC1	-1.00083333333333
FXYD2	-2.0394
LOC283152	2.447
ZNF667	-0.34275
ZCCHC12	-0.7025
TFEC	1.5815
ATP7B	1.56483333333333
POLD2	-0.822
RG9MTD1	-0.75425
ACOT2	2.1095
HIST1H4I	-0.4675
PPARGC1A	-2.3611
ETFA	-0.8353
POLRMT	-1.235
ZNF146	-0.334875
MIA2	-1.8
KLHL6	-2.22783333333333
HOXB5	1.604
NENF	1.05833333333333
CUGBP1	-0.3615
PRSS22	2.03066666666667
CASC4	1.3598
CUL4B	0.1586
CENPJ	-1.9348
PITX1	1.86566666666667
FLJ31033	0.447166666666667
CELSR3	-1.84866666666667
ZNF568	0.7675
ITSN1	-0.493166666666667
EHBP1L1	-1.43316666666667
C19orf2	-0.3365
DCTN1	0.343
LIN28B	-2.97866666666667
TNKS2	-1.12575
C1QBP	-0.27075
CADPS2	1.5575
SRMS	0.39275
GJA9	0.249
MGC24975	-1.84483333333333
TRIM45	0.677333333333333
TSP50	-0.4575
TCP1	-1.60425
TMED7	1.2316
CMA1	-0.2525
CENPL	-1.275
PTCRA	0.616
FST	-4.21225
VWCE	-4.51
PAWR	0.0225
ABCC12	0.1
LDLR	-2.2117
ASTN2	1.2894
LOC441212	-2.201625
GPATCH8	-0.2455
TANC2	-0.587666666666667
KIF4A	-2.8745
C18orf18	-2.61225
PGM1	-0.5705
KIAA0258	0.44675
CPD	1.92125
SNCAIP	-0.37525
DCT	-4.516
HLA-DOA	1.79336363636364
OR11L1	0.542
UPK1B	-0.147666666666667
DNAJB4	-0.291875
UGT1A8	-0.02375
HIST1H4L	-2.2625
PECR	-0.228833333333333
HSPA2	0.928
WFIKKN1	-3.3145
SERP1	1.277125
SYDE2	0.907
TACR2	0.879
NUP85	-0.8645
CD177	-0.467
LGR5	-1.47233333333333
PIGG	0.522333333333333
PTHR1	-2.19516666666667
RAB5A	0.3337
FLJ13224	-0.356
USP9Y	-0.995333333333333
C7orf53	-2.038
LRP1B	-0.128
XAF1	1.5481
ABCG8	-0.4575
ANKDD1A	-0.9435
DAND5	-1.8435
SPAG6	0.554333333333333
LINCR	0.03925
ZDHHC22	-1.58025
CCDC60	-0.23
THOC7	-1.50983333333333
TCTA	1.657
OR8K3	0.164
NY-REN-7	-0.60425
B2M	1.07083333333333
C6orf141	-2.6315
LPPR4	0.8065
SQLE	-0.61125
SEPHS1	0.39575
BTBD14B	0.378285714285714
PLRG1	-0.83325
SPG7	0.2606875
ZNF614	0.937166666666667
PARD6G	0.4005
INPP5B	-0.6795
GRPEL2	-0.105375
PPID	-1.0234
TRIM56	-1.131
UBE2J1	-0.194875
IL20RA	5.66875
LOC387856	0.52075
C1orf107	0.25925
UTS2R	0.75075
C19orf22	0.34325
SAFB2	-0.954625
KIAA0652	0.52875
KLRG1	-0.587666666666667
MS4A8B	4.622
FRAG1	0.69
KIAA1546	-0.336
E2F4	-1.1481
CLEC4M	0.437
BTBD14A	-1.19975
KIAA0999	0.3184
GYPA	-3.197
TAC1	2.0142
TRAIP	-2.32183333333333
KIAA0232	0.6546
ERCC8	-0.673375
GPX4	0.592
KIAA0368	-1.202625
GPR157	-0.705
CTAGE4	1.1235
C9orf30	-1.85466666666667
OR52A1	0.087
HSP90B3P	0.212
ALG9	-0.2081
BTBD10	1.07775
SDK2	0.63775
BAIAP3	2.493
RABGGTB	-1.85575
ANKRD40	0.116833333333333
KRT74	0.5815
CALCOCO2	0.7845
SNCA	-3.17875
TMSL8	-4.949125
C2orf53	0.1365
ESRRB	-0.469
ARHGAP26	-1.680875
TDRD9	-2.89525
HRAS	-0.187666666666667
KLRC4	-2.7195
JAGN1	0.169833333333333
BSDC1	-0.1715
RNF43	-0.5417
NDUFAF1	0.77075
PHF12	0.48975
OR1L3	-0.6015
FOLR2	0.68275
LYZL6	0.152
tcag7.1260	-0.8185
WSB1	-2.27366666666667
PROS1	-0.8603
OSTN	0.5745
PSMB8	1.70775
SOCS4	0.51175
DDIT4L	3.42
MAS1	0.304
MGC34796	2.00675
CSHL1	0.311
TBCCD1	0.68
ZBTB7C	0.066
AP2S1	0.35325
P15RS	0.6762
VAT1	-1.4035
SHANK3	0.469833333333333
TUFM	0.563666666666667
THEG	-0.175
KRT34	-1.69575
SGSM3	0.548875
TOMM22	-0.403375
SOCS3	0.188333333333333
CPO	0.518
POP4	0.556
BHLHB3	3.72275
MALL	0.90325
OR1B1	-0.0705
PARK2	0.513666666666667
GPR124	-0.814625
LCE1E	0.1815
RUVBL2	-0.02525
CGRRF1	1.1935
ACPL2	0.9145
WNT10B	-2.710625
BAIAP2L2	-2.17875
ISCA1	0.048
C1orf125	0.099125
RPAP1	-1.4615
RAI16	-1.316
RPL27	-1.04425
NLRP9	0.047
EPN1	-0.0905
LOC388610	-0.4595
SLC35A1	2.1218
GAL	-4.97925
SLC14A2	0.491
RDH11	-0.421333333333333
FAM138F	-0.698
AUH	-0.18775
FLJ40243	-0.048
C14orf129	1.48316666666667
MBD2	-0.715
ABHD14B	0.53975
PIGT	1.46725
ALS2CR4	-0.395625
ALAS1	-0.3168
FOXO1	1.6025
CRLF3	-0.7745
C20orf107	-0.3285
FARS2	1.37725
CCDC28A	-0.58325
NPHP3	-1.83625
OR13F1	0.524
TSEN54	-0.8295
DEFB106B	0.0681
OR8B4	1.407
STH	-0.0235
ZC3H14	-0.180125
CBX2	-0.515
TMEM49	-0.427
C6orf21	0.705
FLJ20920	1.2675
CRTAP	-0.925714285714286
DDX50	0.0765
STYXL1	0.3465
BLVRB	0.755833333333333
LOC147650	-1.76766666666667
MMP24	0.1265
GRID1	0.962666666666667
BANF1	-0.287833333333333
CTAGEP	1.05175
HMBS	-1.21925
SLC25A24	1.0345
C14orf50	2.9735
MRO	0.168333333333333
SLC25A15	-0.676
FAM84B	1.3847
TDP1	-0.5745
C16orf78	0.0861666666666667
C11orf57	-0.6855
RFK	-0.297
ZFYVE9	-0.2485
STCH	-0.4217
WIBG	1.18725
LOC283871	0.184666666666667
GBA2	-0.8071
NDUFB3	-0.304
HSD17B13	-0.0375
GRIN3A	0.5355
FMNL1	-0.990666666666667
SEPT7	-0.4824
GNLY	1.572
GRAMD1C	0.494833333333333
ZNF165	-0.60075
USP38	1.12775
FAM83A	-3.20083333333333
C14orf24	1.41858333333333
ARMCX3	1.333875
ARHGDIB	1.77866666666667
AK1	0.98225
KIAA1045	-2.77555756156289e-17
DNAJB13	0.6265
NEU2	0.715
HIST1H4B	-0.851666666666667
FAM20B	-0.2336
HES2	-0.0127857142857143
FAM73B	-0.3754
LOC388381	-0.143
INTS7	-0.616363636363636
AMPH	2.02925
ZNF775	-0.26675
UCKL1	-0.949666666666667
C10orf97	1.2265
C1orf161	-0.13475
ALDH1L1	-0.434
FLJ39378	-0.22375
SLC23A1	-0.31
RBM4B	0.271
THAP4	0.459
OGFRL1	0.49225
KIAA0831	0.059125
PPP1R15A	-0.2125
C1orf96	-0.408571428571429
C12orf11	-1.29325
BMF	0.247375
MAN1A1	-0.96825
KIAA1600	0.199166666666667
NLGN4X	-0.886
ALOX12	-1.07333333333333
RB1CC1	-0.7185
NEIL2	-0.3855
EIF4E	0.733045454545454
ABHD5	-0.152
EXOC4	0.0633333333333333
CIP29	0.476666666666667
BATF2	0.2445
SLC29A4	-0.869375
HTR4	0.28125
EMB	0.0795
TRAF6	0.43875
LMNB1	-2.84275
FAM19A5	-1.3615
SHE	1.8115
PIK3C2B	0.88575
C15orf15	-0.8227
USP15	0.5594
TCEAL2	2.102
C5orf39	-1.6885
PTGER2	-1.88625
SLC31A1	-0.9583125
IFT172	0.56875
ADAM29	0.2415
GFOD1	0.37625
ST7L	0.5275
C15orf26	-0.2145
PKN3	-1.28225
CNTD1	3.65233333333333
COMMD1	0.7985
NTRK2	2.41758333333333
FOXN3	-1.0725
MFGE8	-1.1803
PFKFB2	0.4235
TAS2R4	-0.000500000000000007
ENTHD1	0.0826666666666667
PRMT5	0.193875
MGC16384	-1.6055
LOC442229	-0.77875
TSKU	-0.810125
KRTCAP3	3.593625
PDLIM1	0.0295
KCNS2	-0.374
RNF126	-0.600666666666667
CEP63	-0.39625
CLIC4	-1.425625
hCG_1990170	0.53025
ACR	0.4271
KLK7	2.213
ALOX5AP	3.205875
RIPK3	3.46775
TAS2R9	0.3435
C19orf18	1.965
BIRC6	0.386714285714286
ZNF16	1.032
RFT1	-0.188
SLC8A2	-0.15075
TACC1	-0.161125
ITGAD	0.23525
SAMHD1	0.54675
SH3PXD2B	0.6202
EPC2	0.5385
C20orf85	5.68525
ATP13A2	1.18683333333333
KRT4	2.357875
CAPNS1	0.714
MDM2	-0.0909166666666666
PCDH20	0.4905
KCNK9	0.593
OR2C1	-0.168
KLHDC3	-0.233333333333333
IPPK	0.722
EFHD2	0.8855
GALR3	0.62875
NBEA	2.57083333333333
ABCA6	1.2349
CLDN3	3.173
AKT2	-0.2305
EGFR	-2.1209
RBM16	0.0755
ZDHHC3	0.1583
SLC25A4	0.4735
CYB5B	0.453666666666667
CPXM1	-1.49925
NDRG1	-2.50276923076923
FLJ43826	-0.06675
OR5L2	0.0115
FARP2	0.6586
MRPL46	-0.303666666666667
LDHAL6B	0.432166666666667
MAPKAPK3	-0.0235
NCAM2	-1.99075
PRKD2	-0.086
ZFP36L1	0.8533
CYSLTR1	-1.24575
OR4C3	0.334
HIST1H2AJ	3.392
CCNB2	-3.45533333333333
ZNF10	-0.342875
TMEM175	0.392
FAM134A	1.23683333333333
TIGD4	1.0805
PCNP	-0.46875
MGC39715	0.20725
LQK1	-0.253
CREB1	0.8422
TMPRSS3	0.34575
C4orf32	1.297625
LAT	-2.94133333333333
KCNA3	-0.203
SKIV2L2	-0.79425
ROPN1B	-0.2175
tcag7.23	-0.821
CDT1	-2.8785
ZHX2	0.640875
CD28	-4.07125
ZNF624	1.316
SEPT2	0.69125
SOHLH2	-1.406625
MCOLN3	-0.593125
UNQ1945	0.669
MASP2	-0.5515
ZNRF3	-0.8723
GPATCH3	-0.623
AGL	0.133625
QRICH2	-0.3585
PSD4	1.26816666666667
CCNB1IP1	-2.057
ENPP7	0.18175
OBFC1	0.54425
KCNG3	-1.9445
C14orf79	1.26016666666667
ENPEP	0.0368333333333333
SCT	0.565
SKI	0.432875
SEC61G	-1.734
CAPN11	1.57375
ATXN7L3	-0.18375
DBNDD1	0.493833333333333
FAIM	0.402
ANKRD36	-1.606
GABRP	3.36683333333333
TACSTD2	2.73833333333333
EIF3J	-1.06475
PPP2R2A	0.044
TEKT4	0.773333333333333
PVALB	-0.900833333333333
F10	-2.81633333333333
FAM134C	1.0486
COMP	3.67975
EFCBP1	-2.3590625
SCLT1	-0.38525
TAL1	-1.2168
ACSL1	-0.67875
ABCC5	-0.455666666666667
ABL1	-0.749166666666667
RBBP7	0.96925
PTPRG	-1.824375
NCOR1	-0.2067
SPINK4	3.12183333333333
TXNRD1	-1.3702
TNRC15	0.14575
C9orf138	0.703
UBE2H	0.662333333333333
BRDT	0.433666666666667
C8orf31	0.03275
CCNE2	-2.11390909090909
SLC6A8	-1.230125
CALCR	-3.957
PPP1CB	1.37008333333333
ABHD8	0.2635
ARF5	0.7345
SLC24A4	0.239
CCT3	-0.1875
ZNF121	-0.147375
SLC3A2	-0.637
OR13A1	0.444
SLC5A10	-0.0445
RAD50	0.0745
IER5	0.035375
MTHFD1L	-2.651375
MBTPS2	1.0335
MVK	0.047
NCL	-0.3708
PSMD10	0.614
MOBP	0.1945
FLJ32894	-0.601
HRH1	-2.32366666666667
C5orf30	0.249
NUDT16L1	1.6543
RASGRP3	2.49583333333333
PRKRIP1	-0.2656
CCDC75	-0.63525
LOC253970	0.379
KIAA1239	0.4465
MED21	0.10575
SYT11	0.0710833333333333
NTSR2	-0.181
EGFL11	0.4235
CXorf59	1.447
OR2A25	0.32475
SPTBN2	0.22425
LRMP	-2.24033333333333
RNF111	-0.07025
PTH	0.1665
LOC619208	1.102
KIAA0895	1.326
RANBP5	-0.666125
P2RY10	-0.0665
NME5	4.9875
DDX21	-1.04675
LRSAM1	-0.1195
HDAC11	2.36366666666667
VMO1	2.0695
NOLA2	-0.151333333333333
ADAR	0.599916666666667
MTO1	-1.4025
SF4	-0.443166666666667
P2RX1	-0.3535
HBM	0.17275
EN2	0.9775
C14orf172	0.2115
TM9SF2	2.2221
INHBE	-0.8425
TCTE3	-0.25925
TOX2	-3.53375
CTAGE3	1.306625
HBB	3.6724
MED15	-1.2935
CASR	0.40525
C6orf66	-1.79166666666667
MTPN	-1.02625
UNC50	0.21775
C21orf33	0.48425
IRF2	1.01775
PGR	-0.3465
GPR84	1.7155
CROCCL1	-3.25975
SRPX	-2.79775
BRE	0.5865
FGF10	0.50275
SDC3	-0.0668333333333333
ZRSR1	0.349833333333333
DKFZP434P211	-0.887125
SOX6	-0.0125
RPUSD2	-0.6575
C14orf173	0.177
MAPK11	-0.542
TBC1D22A	0.3895
FAM123A	-0.358
COL4A6	-2.2865
TOMM70A	0.34225
NAB1	-1.041875
MGC16385	-0.110625
TSPAN18	-1.316
MED31	0.2205
PLG	-0.0455
CAPSL	5.9525
ZNF532	0.5052
ASB14	-0.10825
CA8	-0.908
NUDT16P	3.07533333333333
SLFN11	-1.6225
LRRIQ2	0.1975
NOL7	-0.456166666666667
BRMS1L	-0.060375
JARID1A	0.239333333333333
PANK2	-0.286
ICAM3	0.051
MDS1	0.30025
TAF8	-0.93925
RNF139	1.04175
ZNF594	-0.298833333333333
ADAM8	2.57875
SFTPC	-0.017875
MAN2B2	1.686375
RGS12	0.3925
EIF1AY	-4.31258333333333
LRRIQ1	0.546666666666667
GPR150	0.83875
CCDC21	-1.2505
PRRG3	0.114
SAA4	-3.00775
RAPGEF5	0.60425
ZCCHC2	0.110583333333333
MGC39372	1.0415
PPP4R2	0.255166666666667
CDCA2	-2.69116666666667
OR4D5	0.517166666666667
PTGFRN	1.5811
SIGLEC5	1.83683333333333
C19orf61	-0.786666666666667
NMUR2	0.145
KIAA1586	-0.883333333333333
DAGLA	0.804
CHCHD6	0.31725
GPR32	0.4805
NEUROD6	-0.2135
SLC2A4RG	0.7834375
CA5B	0.191
FBXL3	2.03275
MPHOSPH9	-0.84525
HMG2L1	0.70625
HCN4	0.945666666666667
CEACAM19	-0.54225
SH2D4B	-0.157
HFE2	-0.5305
TGM4	0.0496666666666666
LYPD2	0.22825
TBC1D15	0.558
MRPS21	-0.4276
NONO	-1.0275
CLEC5A	1.18825
ITCH	0.1431
MGAT3	-1.398
MBP	-0.0543750000000001
RPP25	-1.13975
SOSTDC1	0.52825
HRC	-1.0665
TRIM48	-0.064
TMEM133	-0.49025
ECEL1P2	-0.566
HOXC11	1.1145
DOK5	-0.8135
HELZ	-0.181833333333333
LOC348180	-0.1985
MGC33894	0.5425
ADRB3	0.1245
DMD	0.0493333333333334
PTRH2	-0.81425
MPEG1	1.812
NDUFA12	0.5215
KRTAP2-4	0.0143333333333333
STAMBPL1	-2.04666666666667
ADCY2	0.163833333333333
UNQ6125	0.1525
KLHL20	-0.141
SRM	-1.74875
OTC	0.10425
TMIE	0.332
SNX8	0.5845
LIPK	0.4165
CHURC1	1.03833333333333
KLC2	0.0613333333333333
HDAC1	-0.1925
FAM128A	0.510833333333333
FNDC3B	-0.6218
MTCP1	0.138833333333333
WFDC10B	0.0841
PCDHGB3	0.165
ATRNL1	-0.4037
CAV2	-1.088125
MED26	-0.553833333333333
DUS1L	0.275
CHRM3	-1.799
NEK9	1.03575
WARS2	-0.3615
TBX22	-0.5025
TOMM40	-0.79925
RP6-213H19.1	-2.92533333333333
TUBGCP5	-0.647
IGSF6	4.27625
TPPP	0.526666666666667
UNQ6190	0.138
GSTM5	1.40275
BTD	2.4855
PDCD1LG2	-0.117333333333333
SNRPB2	-0.490666666666667
ERICH1	-0.645625
APOA4	-1.31525
HOXA11	-1.3635
NARG1	-0.244375
MKX	0.54075
RAB28	0.152785714285714
PKP3	1.07375
SH3GL2	-2.63075
CTSO	2.27575
RPN2	0.768375
IL28RA	0.402833333333333
SFMBT1	0.171
WDR57	0.372
FER1L3	0.742916666666667
HSF5	0.235666666666667
TTC9B	0.9615
C4BPA	-1.775
ALB	-3.19421428571429
SORBS3	-0.626125
UPF2	-0.827
JPH1	-0.239
AGBL2	1.2665
DOPEY1	0.927
TERF1	-0.22425
KIF22	-0.496833333333333
NINJ1	1.164
SEC61A2	-0.256
HIST1H1D	0.203666666666667
SFXN4	0.790125
UCP3	-0.2327
ZNF703	0.782833333333333
MYL6B	-0.4455
TREM1	1.4675
OR52E6	0.7975
CKMT2	1.43975
HLA-C	2.671625
SLC13A3	-0.871333333333333
TIMP4	1.025
SLIT2	1.94825
RSF1	-0.364111111111111
LONRF1	-1.19928571428571
MON1A	-0.125
CACNG6	1.80433333333333
DPPA4	-5.51733333333333
ZSWIM3	0.63375
ZNF804A	0.346166666666667
CCIN	0.797
SLC25A31	0.20775
KCNMB4	-1.00475
RABL5	1.049875
GALNS	0.0614
STX6	0.62475
HIST1H1C	1.00833333333333
CIDEB	-0.638375
CASP4	-1.41566666666667
PDK3	1.3801
KCNJ11	3.5245
TPR	-1.344875
ZSCAN20	-1.1305
MTX2	0.13725
HIST1H2BH	1.834
LOC283767	-0.65425
LYRM7	-1.18111111111111
BRD3	-0.707666666666667
HIST1H2BO	1.19175
MAGEB10	0.5315
SLC45A1	1.73775
SERPINA3	4.37455
KIAA0143	1.583
KCNJ16	1.84866666666667
KRT79	0.31125
FABP2	-0.77275
NUT	0.06825
ZNF57	0.21375
FBXL4	-0.114875
CLEC9A	1.753
UGT8	-0.752
BMP2K	-0.10775
MAPK4	-3.5105
SLC25A23	-1.325
HINT1	-1.3935
KRTAP13-1	0.4475
SFXN5	0.4341
CHCHD2	0.114
FAM3D	2.263
NDP	-1.683
RHOBTB1	-0.685333333333333
SLC4A4	-0.387625
RPL38	-1.01225
HTF9C	-0.315
AP2A2	0.4135
ZBTB46	-0.034
MAP7D1	-1.187875
AOX1	-2.11333333333333
CYR61	0.335916666666667
DTNA	-0.863071428571428
JRKL	-0.53375
TMOD3	-0.48675
EEA1	0.1923
ADCK5	0.14625
IL1R1	0.5435
KLK3	0.720642857142857
HRSP12	-0.99375
KTN1	-0.62975
LOH11CR2A	0.3983
RELL2	-0.7305
MAB21L1	1.06425
C20orf59	-0.789333333333333
PHKB	0.91525
ADAM2	-1.65283333333333
TBC1D8B	2.1455
FAM13A1	-0.8464375
LAPTM4B	-0.618083333333333
LCN8	0.0195
TMEM147	0.4485
SYT4	0.2105
XPO7	-1.7705
C9orf62	0.66225
GPR75	0.005
TRIM5	0.0145
APOC1	-0.501
RNASE4	0.835333333333333
PARD6B	-1.98225
ARID1A	-0.285583333333333
TPD52L3	0.1624
RRAGB	1.54716666666667
RCN2	0.073
HIST2H2BE	1.510125
STARD7	0.29275
SHMT2	-0.3985
KIAA1751	0.932833333333333
MLYCD	1.7395
LOC162632	-1.083
UQCRH	-1.91375
RP11-217H1.1	1.3789375
SDHA	-0.0911666666666667
NCLN	-0.0662
ZNF17	0.744166666666667
RCBTB2	-1.987
VEGFB	-0.6485
RP4-747L4.3	0.11475
COLQ	-0.1522
MPN2	-0.796833333333333
DRG2	-0.04275
KLRB1	3.7485
ALPK2	-3.6725
DNASE2B	0.9735
FLJ23834	2.87616666666667
AXUD1	1.20666666666667
SAFB	-0.5491
NSUN4	0.31525
RFX2	0.830833333333333
MAPK8IP1	0.409833333333333
FANCD2	-1.4675
ANKZF1	-1.54033333333333
C19orf50	-1.0955
DUSP8	0.259625
SENP5	-0.18925
NFKBIL2	0.0465
LBR	-2.228875
IGFL1	-0.263
LZTS2	-0.005875
IL2RG	-1.377875
CCDC51	-0.423
KLF3	0.44825
ANKRD37	-0.12575
KCTD14	-0.402833333333333
FZR1	0.348333333333333
SLC44A4	4.1642
ESPL1	-1.4955
GMPR2	0.3986
TBC1D19	0.2865
ERGIC1	0.976407407407407
ERBB4	0.6948
TSPAN32	-0.0139166666666667
MAP4	-0.698625
GPHN	0.14025
SLC6A2	0.351125
HIVEP1	-0.008
DFFB	-0.5293
EIF4EBP2	0.985375
DMRT1	0.184
HSPB6	-0.207
IER2	0.905166666666667
AIFM1	0.54025
WWC2	0.267833333333333
MRPL4	-0.5395
FLJ21062	2.01083333333333
EPB41L4A	1.32675
SH2D6	0.095
TAF4B	-1.29225
GAL3ST3	-0.488
MALT1	0.206333333333333
RTDR1	2.26025
ARVCF	0.535375
MEX3B	-1.6285
FBXO16	2.0855
KIF7	-1.73975
C1QC	3.5615
ZNF783	-1.09583333333333
ZNF85	0.8815
MMP13	0.8
KIAA0329	0.26675
RTP3	-0.0605
ZBED3	-1.4295
CLGN	0.81425
SLC25A37	-1.981625
hCG_18290	-0.86725
OR5AS1	0.463
SMARCC2	0.426666666666667
FAM109A	0.306166666666667
CCDC12	-0.516
USF2	0.3754
DEPDC7	-3.325
C20orf24	-0.0846666666666667
JMJD3	0.202
DSP	1.23892857142857
SLIC1	0.043375
FAM20A	-0.483875
IRF2BP2	0.371625
ZNF230	0.472
MSN	-1.55485714285714
SLC9A5	-0.1445
EPDR1	-2.42
MUSK	0.292
ZNF434	0.218166666666667
