Hybridization REF	TCGA-BH-A0B7-01A-12R-A115-07
LAGE3	0.3375
CHST6	-1.2915
UNC13B	-0.03775
TTLL4	0.34875
ZNF687	0.707
SDC2	-0.7406
COX7A2	0.84475
LAMB4	-0.01825
FAM24A	-0.042
LRRTM3	-1.42666666666667
GPHB5	0.0455
OR4C13	0.427
EIF3EIP	-0.232071428571429
HABP4	-0.3555
TMEM125	2.94525
CNTN2	0.369875
ASNSD1	-0.42125
FUT4	0.458875
ACF	-3.499
LOC158381	0.754
CDH8	-0.08775
AGPS	-0.0285
C4orf18	2.727125
PECI	-0.268583333333333
UNG	-1.285125
GSTP1	0.150875
DCUN1D5	-1.36416666666667
DKFZP564J0863	-0.5045
SLC9A3R1	0.769625
BCDO2	1.431875
CHMP7	0.059
REM2	0.3125
DNHD1	-0.09875
FKBP4	-0.784625
ZNF350	1.88575
MGC11102	-0.198125
BST1	1.3835
KISS1R	0.208
NCR2	0.203
DEFB125	-1.442
UBE2W	1.227125
KRT15	-0.577375
C10orf99	-0.069
SCN11A	0.05675
GFI1	-0.98375
RDHE2	3.43266666666667
FHL1	0.995833333333333
OSGEP	-0.5185
GATA1	-3.83416666666667
SMC6	-0.7445
TTTY14	-1.3125
LPIN3	-0.0225
RPL4	-0.5699
RBPMS	-0.2581
PRPF3	0.572666666666667
EMR1	-1.828
SPATA19	0.161
XCR1	0.015
IRX3	1.5657
RBM6	-0.78375
KLF4	0.5108
UNC5CL	-1.061
SEBOX	-0.2975
BTK	-0.34
KRCC1	0.60375
C6orf27	0.1715
SYTL5	-0.2705
PRND	2.437625
LOC653319	-1.7095
PIGL	-2.092
HUS1	0.227666666666667
SFRS6	-1.14733333333333
C17orf77	0.432
UIMC1	-0.409166666666667
FXYD2	-1.7296
LOC283152	0.14575
ZNF667	-0.9995
ZCCHC12	-0.17825
TFEC	4.4667
ATP7B	-0.86
POLD2	-0.765833333333333
RG9MTD1	-0.3235
ACOT2	0.1035
HIST1H4I	0.67425
PPARGC1A	-1.3227
ETFA	0.2614
POLRMT	-0.98
ZNF146	0.26525
MIA2	-2.32
KLHL6	0.536
HOXB5	-1.342625
NENF	0.0131666666666667
CUGBP1	0.38275
PRSS22	0.685333333333333
CASC4	1.5468
CUL4B	0.6383
CENPJ	-2.0473
PITX1	1.56516666666667
FLJ31033	0.929333333333333
CELSR3	-0.835666666666667
ZNF568	0.568
ITSN1	0.362083333333333
EHBP1L1	-0.2255
C19orf2	-0.3155
DCTN1	0.17125
LIN28B	-4.0324
TNKS2	-0.20675
C1QBP	-1.02575
CADPS2	2.89175
SRMS	-0.18325
GJA9	0.628166666666667
MGC24975	-1.03916666666667
TRIM45	-1.37966666666667
TSP50	-0.434
TCP1	-0.33375
TMED7	-0.2599
CMA1	1.405
CENPL	-0.785333333333333
PTCRA	0.4345
FST	-3.3685
VWCE	-2.84275
PAWR	-0.35575
ABCC12	4.705
LDLR	-1.6878
ASTN2	0.9936
LOC441212	-0.93325
GPATCH8	0.629
TANC2	0.806666666666667
KIF4A	-1.31775
C18orf18	-1.356
PGM1	-0.30625
KIAA0258	-1.024
CPD	2.048375
SNCAIP	-0.2305
DCT	-4.37716666666667
HLA-DOA	3.09009090909091
OR11L1	0.4225
UPK1B	1.71733333333333
DNAJB4	0.43775
UGT1A8	4.449
HIST1H4L	-2.427
PECR	-1.032
HSPA2	0.91925
WFIKKN1	-2.701
SERP1	0.727
SYDE2	0.88575
TACR2	0.1295
NUP85	-0.53425
CD177	-0.361833333333333
LGR5	-1.303
PIGG	-0.329583333333333
PTHR1	-0.594833333333333
RAB5A	0.6628
FLJ13224	0.27
USP9Y	-2.49216666666667
C7orf53	-1.609
LRP1B	-0.2215
XAF1	2.4141
ABCG8	0.2165
ANKDD1A	-0.203666666666667
DAND5	-1.768
SPAG6	-0.2225
LINCR	0.106
ZDHHC22	-1.296875
CCDC60	0.863
THOC7	-0.803333333333333
TCTA	1.2712
OR8K3	-0.2315
NY-REN-7	-0.85825
B2M	1.643
C6orf141	-1.23625
LPPR4	4.187
SQLE	-0.46925
SEPHS1	-0.497
BTBD14B	0.225571428571429
PLRG1	0.08425
SPG7	-0.5088125
ZNF614	0.0171666666666667
PARD6G	0.654166666666667
INPP5B	-0.9432
GRPEL2	0.49075
PPID	-0.5928
TRIM56	-0.884
UBE2J1	0.111875
IL20RA	4.49725
LOC387856	0.6025
C1orf107	1.171
UTS2R	0.46775
C19orf22	0.28675
SAFB2	-0.6085
KIAA0652	0.30725
KLRG1	0.5715
MS4A8B	4.8395
FRAG1	0.86975
KIAA1546	0.495
E2F4	-1.0814
CLEC4M	-0.797
BTBD14A	-0.514
KIAA0999	0.3846
GYPA	-4.42866666666667
TAC1	2.8387
TRAIP	-1.68183333333333
KIAA0232	0.7409
ERCC8	-0.98625
GPX4	0.662
KIAA0368	-1.07825
GPR157	-0.880833333333333
CTAGE4	1.6325
C9orf30	-1.77616666666667
OR52A1	0.073
HSP90B3P	-0.5565
ALG9	-0.1683
BTBD10	0.779
SDK2	0.195
BAIAP3	0.6925
RABGGTB	-0.766625
ANKRD40	-0.2655
KRT74	0.4365
CALCOCO2	-0.662714285714286
SNCA	-2.55225
TMSL8	-0.678875
C2orf53	-0.742
ESRRB	-0.05775
ARHGAP26	-0.40825
TDRD9	-0.809
HRAS	0.791166666666667
KLRC4	-1.2615
JAGN1	-0.4
BSDC1	0.6815
RNF43	0.2371
NDUFAF1	0.5625
PHF12	0.52475
OR1L3	0.342
FOLR2	2.23375
LYZL6	0.0526666666666667
tcag7.1260	1.028
WSB1	-2.33833333333333
PROS1	0.2769
OSTN	0.574
PSMB8	0.4795
SOCS4	0.097375
DDIT4L	2.4025
MAS1	-0.216
MGC34796	-0.08725
CSHL1	0.4015
TBCCD1	0.032
ZBTB7C	-0.097
AP2S1	0.7695
P15RS	0.801
VAT1	-0.6446
SHANK3	1.43733333333333
TUFM	-0.2305
THEG	-0.296
KRT34	-1.7015
SGSM3	0.328875
TOMM22	-0.2755
SOCS3	1.3415
CPO	1.013
POP4	0.101
BHLHB3	2.33875
MALL	2.78025
OR1B1	0.215
PARK2	0.354666666666667
GPR124	0.7975
LCE1E	-0.313
RUVBL2	-0.7225
CGRRF1	0.4534
ACPL2	0.403
WNT10B	-1.49525
BAIAP2L2	-2.32475
ISCA1	-0.04
C1orf125	0.0252500000000001
RPAP1	-0.85875
RAI16	-0.586666666666667
RPL27	-1.155
NLRP9	-0.2465
EPN1	0.328
LOC388610	-1.389125
SLC35A1	1.283
GAL	-1.89025
SLC14A2	0.2465
RDH11	-0.0941666666666667
FAM138F	-0.438
AUH	0.154
FLJ40243	0.12875
C14orf129	0.880166666666667
MBD2	0.055
ABHD14B	0.50975
PIGT	0.530125
ALS2CR4	0.054125
ALAS1	0.7237
FOXO1	1.50283333333333
CRLF3	-0.238125
C20orf107	0.88
FARS2	0.66075
CCDC28A	0.063
NPHP3	-0.8955
OR13F1	-0.053
TSEN54	-0.82925
DEFB106B	-0.423222222222222
OR8B4	0.8055
STH	-0.48775
ZC3H14	-0.978125
CBX2	-0.6315
TMEM49	-0.55875
C6orf21	0.3495
FLJ20920	-0.012375
CRTAP	0.0872142857142857
DDX50	-0.629
STYXL1	-1.068
BLVRB	-0.136666666666667
LOC147650	-1.006
MMP24	-0.587
GRID1	2.22466666666667
BANF1	0.0803333333333333
CTAGEP	0.361
HMBS	-1.516
SLC25A24	0.483166666666667
C14orf50	0.16675
MRO	0.913
SLC25A15	-0.6545
FAM84B	1.3275
TDP1	-0.5455
C16orf78	0.372
C11orf57	0.3715
RFK	-0.686375
ZFYVE9	-1.58975
STCH	-0.3716
WIBG	0.38175
LOC283871	-0.511
GBA2	-0.6232
NDUFB3	0.55525
HSD17B13	-0.0785
GRIN3A	0.6964
FMNL1	0.499666666666667
SEPT7	0.0056
GNLY	5.078
GRAMD1C	0.8685
ZNF165	-1.40825
USP38	1.09675
FAM83A	-2.6145
C14orf24	0.589083333333333
ARMCX3	1.249125
ARHGDIB	1.28083333333333
AK1	0.26325
KIAA1045	0.92275
DNAJB13	0.265333333333333
NEU2	0.973
HIST1H4B	-1.13633333333333
FAM20B	0.0414
HES2	1.83821428571429
FAM73B	-0.4598
LOC388381	-0.65675
INTS7	-0.266454545454545
AMPH	1.008
ZNF775	-0.556625
UCKL1	-1.41833333333333
C10orf97	0.0785
C1orf161	0.3245
ALDH1L1	0.47175
FLJ39378	-0.4555
SLC23A1	-0.306
RBM4B	0.2955
THAP4	0.719833333333333
OGFRL1	0.232
KIAA0831	-0.543
PPP1R15A	0.439
C1orf96	0.00292857142857148
C12orf11	-1.9875
BMF	0.66275
MAN1A1	-0.319625
KIAA1600	0.8045
NLGN4X	1.675
ALOX12	-1.3525
RB1CC1	-0.4111
NEIL2	-0.0528
EIF4E	0.257181818181818
ABHD5	0.88375
EXOC4	-0.725
CIP29	-0.179833333333333
BATF2	0.806
SLC29A4	1.267625
HTR4	0.6125
EMB	-0.1345
TRAF6	0.6295
LMNB1	-3.8045
FAM19A5	-2.082375
SHE	2.573
PIK3C2B	1.2975
C15orf15	-0.6299
USP15	-0.0834
TCEAL2	0.5175
C5orf39	0.731333333333333
PTGER2	-0.30125
SLC31A1	0.8056875
IFT172	0.4265
ADAM29	0.45025
GFOD1	0.3185
ST7L	0.901166666666667
C15orf26	-2.71925
PKN3	-1.144
CNTD1	1.21616666666667
COMMD1	0.700125
NTRK2	2.977
FOXN3	0.241875
MFGE8	0.3468
PFKFB2	1.11916666666667
TAS2R4	-0.73325
ENTHD1	2.119
PRMT5	-1.382875
MGC16384	-1.842125
LOC442229	-1.065
TSKU	0.798875
KRTCAP3	-2.917875
PDLIM1	0.9018
KCNS2	0.71025
RNF126	-0.535166666666667
CEP63	-0.131125
CLIC4	0.67975
hCG_1990170	0.6075
ACR	1.3017
KLK7	2.7725
ALOX5AP	3.368125
RIPK3	3.48825
TAS2R9	-0.2435
C19orf18	0.0205
BIRC6	0.339071428571429
ZNF16	0.283
RFT1	-0.206
SLC8A2	-0.13
TACC1	0.34025
ITGAD	2.40825
SAMHD1	1.51225
SH3PXD2B	2.1538
EPC2	0.8475
C20orf85	4.949625
ATP13A2	0.957
KRT4	0.165625
CAPNS1	1.11725
MDM2	-0.686666666666667
PCDH20	2.402
KCNK9	0.384
OR2C1	-0.063
KLHDC3	-0.142833333333333
IPPK	-0.168
EFHD2	-0.07175
GALR3	0.339
NBEA	1.3155
ABCA6	3.9722
CLDN3	1.81916666666667
AKT2	-0.559142857142857
EGFR	-1.1832
RBM16	0.516625
ZDHHC3	0.6004
SLC25A4	-0.827666666666667
CYB5B	-0.662166666666667
CPXM1	1.0745
NDRG1	-0.757230769230769
FLJ43826	0.4675
OR5L2	0.299166666666667
FARP2	0.7067
MRPL46	-0.752666666666667
LDHAL6B	0.389333333333333
MAPKAPK3	0.00433333333333333
NCAM2	-0.3645
PRKD2	0.487666666666667
ZFP36L1	1.6286
CYSLTR1	2.15
OR4C3	0.61625
HIST1H2AJ	0.7865
CCNB2	-1.81777777777778
ZNF10	-0.49525
TMEM175	0.1645
FAM134A	0.8285
TIGD4	1.186
PCNP	-0.3785
MGC39715	2.759
LQK1	-0.7385
CREB1	1.1659
TMPRSS3	0.294
C4orf32	1.762375
LAT	-0.222916666666667
KCNA3	0.405
SKIV2L2	-0.75925
ROPN1B	-3.37275
tcag7.23	-0.5635
CDT1	-3.1495
ZHX2	0.894875
CD28	-1.49225
ZNF624	0.73275
SEPT2	1.13608333333333
SOHLH2	-1.34075
MCOLN3	-0.796
UNQ1945	0.424
MASP2	-0.7895
ZNRF3	-0.6316
GPATCH3	-0.50075
AGL	1.2815
QRICH2	0.4115
PSD4	0.4035
CCNB1IP1	-2.45025
ENPP7	0.175
OBFC1	0.22975
KCNG3	-1.74675
C14orf79	-0.211666666666667
ENPEP	2.73016666666667
SCT	1.0385
SKI	0.6035
SEC61G	-0.77075
CAPN11	1.0785
ATXN7L3	0.07175
DBNDD1	0.9485
FAIM	0.5685
ANKRD36	-1.1
GABRP	-0.0846666666666666
TACSTD2	3.0094
EIF3J	-0.25975
PPP2R2A	-0.828
TEKT4	-0.2215
PVALB	-3.8435
F10	-1.94116666666667
FAM134C	0.3171
COMP	4.47825
EFCBP1	-2.5913125
SCLT1	0.4385
TAL1	-0.7697
ACSL1	2.693
ABCC5	-0.725416666666667
ABL1	-0.586777777777778
RBBP7	-0.358583333333333
PTPRG	-1.017375
NCOR1	-0.3082
SPINK4	-2.02833333333333
TXNRD1	-0.9899
TNRC15	0.580875
C9orf138	1.13028571428571
UBE2H	0.525666666666667
BRDT	-0.6588
C8orf31	-0.05825
CCNE2	-0.598090909090909
SLC6A8	-1.261
CALCR	-3.84725
PPP1CB	0.63975
ABHD8	-0.6285
ARF5	0.1409
SLC24A4	1.61675
CCT3	-0.24675
ZNF121	0.684375
SLC3A2	-1.0767
OR13A1	0.2245
SLC5A10	-0.081
RAD50	-0.958375
IER5	0.00650000000000002
MTHFD1L	-2.145875
MBTPS2	0.0655
MVK	-0.502125
NCL	-0.1858
PSMD10	0.82875
MOBP	0.16875
FLJ32894	1.9125
HRH1	0.659
C5orf30	0.00525
NUDT16L1	0.732
RASGRP3	4.475
PRKRIP1	-0.819
CCDC75	-0.1315
LOC253970	0.16575
KIAA1239	1.70625
MED21	-1.0715
SYT11	0.952
NTSR2	-0.4305
EGFL11	0.8135
CXorf59	0.739
OR2A25	0.6815
SPTBN2	-0.055
LRMP	-0.467833333333333
RNF111	0.53925
PTH	-3.725
LOC619208	0.522166666666667
KIAA0895	0.54325
RANBP5	-1.413125
P2RY10	3.0405
NME5	0.583333333333333
DDX21	-0.9495
LRSAM1	0.5405
HDAC11	0.2785
VMO1	1.4285
NOLA2	-0.0143333333333333
ADAR	0.93475
MTO1	-0.580333333333333
SF4	0.0121666666666667
P2RX1	-0.0288333333333333
HBM	0.1465
EN2	0.4505
C14orf172	-0.381
TM9SF2	0.5917
INHBE	-0.516333333333333
TCTE3	-0.0365833333333333
TOX2	-1.95075
CTAGE3	0.05675
HBB	3.7063
MED15	-0.5585
CASR	-0.7065
C6orf66	-0.486666666666667
MTPN	-0.163375
UNC50	-0.4035
C21orf33	0.45125
IRF2	1.111375
PGR	-3.01583333333333
GPR84	1.744
CROCCL1	-2.3975
SRPX	0.33525
BRE	0.201833333333333
FGF10	2.12
SDC3	0.201833333333333
ZRSR1	0.594833333333333
DKFZP434P211	-0.280875
SOX6	0.166
RPUSD2	-0.77
C14orf173	-0.112833333333333
MAPK11	-0.0425
TBC1D22A	-0.396
FAM123A	-1.3325
COL4A6	-2.00033333333333
TOMM70A	0.087
NAB1	0.095375
MGC16385	0.0205
TSPAN18	0.110333333333333
MED31	-0.1615
PLG	0.106
CAPSL	2.967
ZNF532	0.7006
ASB14	-0.40225
CA8	0.1735
NUDT16P	0.923833333333333
SLFN11	0.223
LRRIQ2	0.0285
NOL7	-0.622333333333333
BRMS1L	-0.8585
JARID1A	-0.043
PANK2	-0.3085
ICAM3	-0.15225
MDS1	-0.5585
TAF8	-0.4295
RNF139	0.71225
ZNF594	-1.04916666666667
ADAM8	1.73275
SFTPC	0.419714285714286
MAN2B2	1.524875
RGS12	0.3429375
EIF1AY	-4.84272727272727
LRRIQ1	-0.137666666666667
GPR150	0.608
CCDC21	-1.1825
PRRG3	0.66875
SAA4	-2.16125
RAPGEF5	2.009875
ZCCHC2	-0.194416666666667
MGC39372	2.0675
PPP4R2	0.686833333333333
CDCA2	-2.3045
OR4D5	0.658666666666667
PTGFRN	1.7479
SIGLEC5	1.77183333333333
C19orf61	-0.363166666666667
NMUR2	0.003
KIAA1586	-1.68533333333333
DAGLA	-0.12
CHCHD6	-0.574
GPR32	0.93
NEUROD6	-0.4474
SLC2A4RG	-0.6025625
CA5B	0.77
FBXL3	1.5315
MPHOSPH9	-1.58425
HMG2L1	0.25725
HCN4	0.395333333333333
CEACAM19	0.1475
SH2D4B	1.55466666666667
HFE2	-0.69
TGM4	1.078
LYPD2	0.14475
TBC1D15	-0.2045
MRPS21	-0.1477
NONO	-0.8496
CLEC5A	2.008625
ITCH	-0.9638
MGAT3	-0.531166666666667
MBP	-0.2835
RPP25	0.0455
SOSTDC1	1.402
HRC	-0.69975
TRIM48	0.8235
TMEM133	0.5355
ECEL1P2	-1.39875
HOXC11	0.8085
DOK5	-0.23025
HELZ	-0.113666666666667
LOC348180	-0.97825
MGC33894	0.36275
ADRB3	-0.111
DMD	-0.27075
PTRH2	-0.7565
MPEG1	3.69716666666667
NDUFA12	0.198833333333333
KRTAP2-4	0.155833333333333
STAMBPL1	-0.798166666666667
ADCY2	2.13233333333333
UNQ6125	0.2875
KLHL20	0.0398333333333333
SRM	-0.625
OTC	-0.1995
TMIE	0.456666666666667
SNX8	-0.061
LIPK	2.177
CHURC1	0.442416666666667
KLC2	0.029
HDAC1	-1.16766666666667
FAM128A	-0.0446666666666667
FNDC3B	0.4717
MTCP1	-0.241833333333333
WFDC10B	0.1068
PCDHGB3	-0.502
ATRNL1	-2.545
CAV2	1.252125
MED26	-0.126666666666667
DUS1L	0.20725
CHRM3	-1.73775
NEK9	0.22625
WARS2	0.446
TBX22	-5.108
TOMM40	-0.45275
RP6-213H19.1	-0.649
TUBGCP5	-0.31825
IGSF6	4.23975
TPPP	0.273333333333333
UNQ6190	-0.6235
GSTM5	1.646625
BTD	0.868833333333333
PDCD1LG2	1.22533333333333
SNRPB2	-0.336333333333333
ERICH1	-0.56975
APOA4	-1.677625
HOXA11	-1.438
NARG1	-0.684125
MKX	-1.458
RAB28	-0.4015
PKP3	0.48975
SH3GL2	-2.98225
CTSO	4.01325
RPN2	0.10775
IL28RA	-0.4655
SFMBT1	-0.0585
WDR57	-1.013875
FER1L3	0.29825
HSF5	1.7075
TTC9B	-0.47775
C4BPA	-3.86083333333333
ALB	-5.29371428571429
SORBS3	0.075375
UPF2	0.321
JPH1	-0.233
AGBL2	-2.0495
DOPEY1	1.7555
TERF1	-0.23175
KIF22	-1.02783333333333
NINJ1	0.9305
SEC61A2	-0.407416666666667
HIST1H1D	0.858833333333333
SFXN4	-0.68425
UCP3	0.1068
ZNF703	0.107833333333333
MYL6B	-0.95625
TREM1	2.24625
OR52E6	0.4885
CKMT2	3.0045
HLA-C	1.758125
SLC13A3	-0.912166666666667
TIMP4	0.32975
SLIT2	2.92125
RSF1	0.135666666666667
LONRF1	-1.25878571428571
MON1A	0.212
CACNG6	-1.689
DPPA4	-5.54083333333333
ZSWIM3	0.05975
ZNF804A	0.751
CCIN	1.41325
SLC25A31	2.86725
KCNMB4	1.05675
RABL5	0.67975
GALNS	0.179
STX6	0.958875
HIST1H1C	2.45066666666667
CIDEB	-0.36175
CASP4	0.532166666666667
PDK3	-0.3239
KCNJ11	0.6775
TPR	-0.7215
ZSCAN20	-0.999
MTX2	0.02
HIST1H2BH	1.1425
LOC283767	-0.2035
LYRM7	-0.873055555555556
BRD3	-1.237
HIST1H2BO	0.62775
MAGEB10	0.487
SLC45A1	0.67825
SERPINA3	-1.3325
KIAA0143	1.87025
KCNJ16	1.5534
KRT79	0.28025
FABP2	-0.59425
NUT	1.48125
ZNF57	-0.12975
FBXL4	-0.137
CLEC9A	2.5105
UGT8	-0.2365
BMP2K	1.08625
MAPK4	-3.7015
SLC25A23	-0.6178
HINT1	-0.0579
KRTAP13-1	0.107
SFXN5	0.3113
CHCHD2	-0.20425
FAM3D	3.078
NDP	-0.62025
RHOBTB1	-0.927166666666667
SLC4A4	1.0805
RPL38	0.11325
HTF9C	-0.699666666666667
AP2A2	0.776
ZBTB46	0.0015
MAP7D1	0.43625
AOX1	0.045
CYR61	2.10591666666667
DTNA	0.839214285714286
JRKL	-0.3185
TMOD3	1.06975
EEA1	0.0756
ADCK5	-1.15825
IL1R1	2.28083333333333
KLK3	0.265642857142857
HRSP12	-1.437
KTN1	-0.04275
LOH11CR2A	2.0099
RELL2	-0.96625
MAB21L1	2.79825
C20orf59	-0.711666666666667
PHKB	0.5015
ADAM2	-3.11983333333333
TBC1D8B	1.01466666666667
FAM13A1	0.055875
LAPTM4B	-0.131583333333333
LCN8	-0.37
TMEM147	0.454
SYT4	0.5088
XPO7	-1.032
C9orf62	0.542
GPR75	0.37
TRIM5	0.88875
APOC1	1.646
RNASE4	-0.5325
PARD6B	-3.580125
ARID1A	0.46125
TPD52L3	-0.364333333333333
RRAGB	0.913666666666667
RCN2	-0.0151666666666667
HIST2H2BE	1.507625
STARD7	-0.47725
SHMT2	-1.06825
KIAA1751	-0.307166666666667
MLYCD	0.094625
LOC162632	-0.5103
UQCRH	-0.15075
RP11-217H1.1	0.992
SDHA	-0.668333333333333
NCLN	-0.6286
ZNF17	0.902
RCBTB2	-1.27725
VEGFB	0.2227
RP4-747L4.3	0.46225
COLQ	0.1314
MPN2	-0.885833333333333
DRG2	-0.4015
KLRB1	6.4155
ALPK2	-3.261
DNASE2B	4.6395
FLJ23834	-0.695333333333333
AXUD1	1.76216666666667
SAFB	-0.6519
NSUN4	-0.7475
RFX2	-0.483166666666667
MAPK8IP1	-0.0268333333333333
FANCD2	-1.08971428571429
ANKZF1	-1.40533333333333
C19orf50	-0.332125
DUSP8	2.182625
SENP5	-0.000749999999999994
NFKBIL2	-0.86925
LBR	-1.114625
IGFL1	1.5855
LZTS2	0.279125
IL2RG	1.389125
CCDC51	-0.18075
KLF3	0.492375
ANKRD37	-0.794
KCTD14	-1.80366666666667
FZR1	-0.215416666666667
SLC44A4	3.6307
ESPL1	-1.122875
GMPR2	-0.8536
TBC1D19	-0.519666666666667
ERGIC1	1.69348148148148
ERBB4	1.1516
TSPAN32	0.694833333333333
MAP4	0.21075
GPHN	-0.9645
SLC6A2	0.139375
HIVEP1	1.30275
DFFB	-0.8513
EIF4EBP2	0.427375
DMRT1	-0.25575
HSPB6	0.527
IER2	0.216666666666667
AIFM1	0.25025
WWC2	0.352833333333333
MRPL4	-0.7755
FLJ21062	0.398166666666667
EPB41L4A	1.08433333333333
SH2D6	0.25475
TAF4B	-1.283
GAL3ST3	-0.3465
MALT1	-0.822333333333333
RTDR1	-0.43025
ARVCF	0.102625
MEX3B	0.241333333333333
FBXO16	0.144
KIF7	-0.9215
C1QC	3.92416666666667
ZNF783	-0.760666666666666
ZNF85	0.5965
MMP13	6.109
KIAA0329	-0.042875
RTP3	-0.9955
ZBED3	-0.71925
CLGN	-0.83575
SLC25A37	-2.050375
hCG_18290	-0.20375
OR5AS1	-0.3735
SMARCC2	0.242583333333333
FAM109A	-0.291166666666667
CCDC12	-0.3395
USF2	0.4087
DEPDC7	-2.36225
C20orf24	0.242333333333333
JMJD3	1.0345
DSP	1.17071428571429
SLIC1	0.950875
FAM20A	1.753625
IRF2BP2	1.27525
ZNF230	-0.1725
MSN	0.180071428571428
SLC9A5	-1.719
EPDR1	-0.972
MUSK	-0.421333333333333
ZNF434	0.0178333333333333
SMARCD1	-0.706
