Hybridization REF	TCGA-B6-A0WY-01A-11R-A109-07
UNQ6490	-0.4035
MMP16	0.71775
DRD3	-0.059
C5orf26	0.06225
C11orf73	0.070875
PTP4A2	0.65625
OR4M2	0.31
HPCA	-1.1335
SEC14L1	-0.480833333333333
CHFR	-0.075875
EMILIN1	1.61925
NDUFS4	0.21475
COL18A1	1.204125
PDZD3	0.1223
C9orf16	0.235
ERBB2IP	0.317
EMX2	2.32725
FUS	-1.282
TF	-1.7092
CLCN4	0.354166666666667
CXorf56	-0.76825
C11orf72	0.036
ELAC2	-0.395166666666667
NPR1	-0.569
ASS1	-1.123
USP42	-0.2655
POLR2J	-0.686
SEC23IP	0.378
UQCRC1	-0.0695
LOC729603	-1.0595
C1orf71	-0.639375
POLG	-2.3655
ADAM23	-2.9415
TFR2	-1.548
RICTOR	-0.7424
MGC39606	1.758
C19orf55	-0.32725
SNAPC1	-1.43983333333333
GNA11	0.60325
CCDC52	-0.323
FSIP1	5.4755
UPF3A	-0.7015
IGSF11	-2.36
LAGE3	0.1775
CHST6	-1.6875
UNC13B	0.037125
TTLL4	-1.002
ZNF687	0.153875
SDC2	0.2785
COX7A2	-0.47675
LAMB4	0.4315
FAM24A	0.2835
LRRTM3	-0.360333333333333
GPHB5	0.25875
OR4C13	-0.026
EIF3EIP	0.418928571428571
HABP4	-0.6375
TMEM125	3.41
CNTN2	1.363
ASNSD1	-0.1305
FUT4	0.289625
ACF	-3.5395
LOC158381	0.1195
CDH8	0.287
AGPS	-1.17233333333333
C4orf18	3.032875
PECI	0.528416666666667
UNG	-0.257
GSTP1	-0.357625
DCUN1D5	-1.3745
DKFZP564J0863	-0.7375
SLC9A3R1	1.833375
BCDO2	-0.2865
CHMP7	-0.699375
REM2	0.5025
DNHD1	-0.453125
FKBP4	0.097375
ZNF350	1.379
MGC11102	0.86225
BST1	0.3605
KISS1R	1.627
NCR2	0.218
DEFB125	0.7515
UBE2W	1.080625
KRT15	4.0205
C10orf99	0.015
SCN11A	-0.075125
GFI1	-2.045
RDHE2	1.109
FHL1	-1.79133333333333
OSGEP	0.282833333333333
GATA1	-3.13183333333333
SMC6	-1.3475
TTTY14	-1.32675
LPIN3	0.24075
RPL4	-0.0758
RBPMS	0.4081
PRPF3	-1.06616666666667
EMR1	-1.991
SPATA19	-0.135
XCR1	0.1645
IRX3	2.2433
RBM6	-1.3315
KLF4	-1.2023
UNC5CL	-0.97775
SEBOX	-0.038
BTK	-1.238
KRCC1	0.49975
C6orf27	0.5435
SYTL5	-0.5385
PRND	1.999625
LOC653319	-1.2385
PIGL	-1.0045
HUS1	-0.48
SFRS6	0.597916666666667
C17orf77	0.654
UIMC1	-0.464166666666667
FXYD2	-1.6523
LOC283152	1.6915
ZNF667	-0.2565
ZCCHC12	-0.82275
TFEC	2.1271
ATP7B	0.972
POLD2	-1.3195
RG9MTD1	-0.2405
ACOT2	0.278166666666667
HIST1H4I	-0.600625
PPARGC1A	-2.0962
ETFA	-1.3051
POLRMT	-0.51625
ZNF146	-0.04075
MIA2	-1.614
KLHL6	-0.976666666666667
HOXB5	-0.675
NENF	0.524166666666667
CUGBP1	-0.12775
PRSS22	1.37916666666667
CASC4	1.3305
CUL4B	0.0949
CENPJ	-1.4281
PITX1	0.373166666666667
FLJ31033	0.73
CELSR3	-0.502166666666667
ZNF568	0.4545
ITSN1	-0.45425
EHBP1L1	-1.00366666666667
C19orf2	-0.13075
DCTN1	0.05275
LIN28B	-3.00533333333333
TNKS2	-0.654
C1QBP	-0.58625
CADPS2	2.02325
SRMS	0.57
GJA9	0.180666666666667
MGC24975	-0.888
TRIM45	-0.283333333333333
TSP50	-0.2035
TCP1	-1.57025
TMED7	0.5222
CMA1	0.771
CENPL	-1.719
PTCRA	0.3415
FST	-2.58725
VWCE	-4.04175
PAWR	0.04125
ABCC12	0.322833333333333
LDLR	-1.7402
ASTN2	2.1792
LOC441212	-1.07575
GPATCH8	-0.59625
TANC2	-0.347166666666667
KIF4A	-2.9725
C18orf18	-0.762
PGM1	-0.94575
KIAA0258	0.76425
CPD	0.694875
SNCAIP	-0.2645
DCT	-4.13866666666667
HLA-DOA	2.74172727272727
OR11L1	0.529
UPK1B	-0.792333333333333
DNAJB4	-0.9385
UGT1A8	-0.02075
HIST1H4L	-0.937
PECR	-1.46166666666667
HSPA2	1.48675
WFIKKN1	-2.8135
SERP1	0.209875
SYDE2	0.47175
TACR2	0.898
NUP85	-0.58
CD177	-0.747666666666666
LGR5	-1.979
PIGG	-0.469916666666667
PTHR1	-1.64066666666667
RAB5A	-0.4086
FLJ13224	0.1695
USP9Y	-1.88816666666667
C7orf53	-1.3525
LRP1B	0.94775
XAF1	3.4554
ABCG8	0.086
ANKDD1A	-0.831833333333333
DAND5	-2.0425
SPAG6	1.8895
LINCR	1.02625
ZDHHC22	-1.52425
CCDC60	0.2545
THOC7	-1.52633333333333
TCTA	0.8987
OR8K3	0.50725
NY-REN-7	-0.5305
B2M	1.62866666666667
C6orf141	0.870875
LPPR4	2.11725
SQLE	-1.013875
SEPHS1	-0.43625
BTBD14B	0.954928571428571
PLRG1	-0.38775
SPG7	-0.393
ZNF614	-0.4025
PARD6G	2.02833333333333
INPP5B	-0.8318
GRPEL2	0.062375
PPID	-0.8675
TRIM56	-0.1985
UBE2J1	-0.443875
IL20RA	4.63975
LOC387856	0.85125
C1orf107	0.197333333333333
UTS2R	1.84275
C19orf22	-0.41325
SAFB2	-0.336
KIAA0652	0.140625
KLRG1	-0.333666666666667
MS4A8B	0.9725
FRAG1	0.09475
KIAA1546	0.1375
E2F4	-1.1072
CLEC4M	0.354666666666667
BTBD14A	-0.68825
KIAA0999	1.0804
GYPA	-2.973
TAC1	2.7247
TRAIP	-1.7025
KIAA0232	0.1615
ERCC8	-0.706625
GPX4	0.2745
KIAA0368	-0.377375
GPR157	-0.696833333333333
CTAGE4	-0.2265
C9orf30	-1.0755
OR52A1	0.467
HSP90B3P	-0.587
ALG9	-0.3848
BTBD10	0.564
SDK2	0.7515
BAIAP3	-1.1115
RABGGTB	-1.045125
ANKRD40	-0.114
KRT74	0.8065
CALCOCO2	0.571214285714286
SNCA	-2.75
TMSL8	-4.4095
C2orf53	-0.6615
ESRRB	-0.43575
ARHGAP26	-1.329
TDRD9	-0.0595
HRAS	0.707666666666667
KLRC4	-2.994
JAGN1	0.0176666666666667
BSDC1	0.306
RNF43	-0.1458
NDUFAF1	0.091
PHF12	0.44175
OR1L3	-0.019
FOLR2	1.73591666666667
LYZL6	0.2155
tcag7.1260	-1.725
WSB1	-1.485
PROS1	0.5392
OSTN	0.383
PSMB8	1.739
SOCS4	-0.44825
DDIT4L	1.4275
MAS1	0.1785
MGC34796	1.244
CSHL1	0.152833333333333
TBCCD1	0.344833333333333
ZBTB7C	-0.132
AP2S1	-0.461875
P15RS	-0.5721
VAT1	-0.0232
SHANK3	1.2055
TUFM	0.1805
THEG	0.545
KRT34	-1.91
SGSM3	-0.168875
TOMM22	-0.449625
SOCS3	0.693166666666667
CPO	0.475
POP4	0.332
BHLHB3	3.63375
MALL	0.81625
OR1B1	0.201
PARK2	0.6215
GPR124	0.495875
LCE1E	0.465
RUVBL2	-0.52975
CGRRF1	0.7371
ACPL2	0.6355
WNT10B	-2.26475
BAIAP2L2	-1.958
ISCA1	0.093
C1orf125	0.166875
RPAP1	-0.62625
RAI16	-0.145166666666667
RPL27	0.100875
NLRP9	0.159
EPN1	0.115
LOC388610	-0.07875
SLC35A1	0.4446
GAL	-2.5215
SLC14A2	0.18875
RDH11	0.0168333333333333
FAM138F	-0.0675
AUH	0.2305
FLJ40243	-0.067
C14orf129	-0.0126666666666667
MBD2	-0.565
ABHD14B	0.13525
PIGT	0.3405
ALS2CR4	0.400125
ALAS1	-0.3595
FOXO1	1.6525
CRLF3	-0.58225
C20orf107	-0.61
FARS2	1.19075
CCDC28A	0.59525
NPHP3	-1.0645
OR13F1	-0.2075
TSEN54	-0.2625
DEFB106B	-0.4456
OR8B4	0.2345
STH	0.63825
ZC3H14	-0.879375
CBX2	-0.697
TMEM49	-1.8
C6orf21	0.445
FLJ20920	0.894
CRTAP	-0.369571428571429
DDX50	-0.095
STYXL1	-0.17625
BLVRB	0.6535
LOC147650	-0.624
MMP24	0.542
GRID1	1.59233333333333
BANF1	-0.326166666666667
CTAGEP	0.17025
HMBS	-1.8675
SLC25A24	0.0225
C14orf50	0.83375
MRO	0.512666666666667
SLC25A15	-0.613
FAM84B	1.3537
TDP1	-1.2135
C16orf78	-0.0288
C11orf57	0.1045
RFK	-0.557125
ZFYVE9	-0.846625
STCH	-0.8631
WIBG	0.715
LOC283871	-0.131333333333333
GBA2	-0.7221
NDUFB3	-0.02
HSD17B13	-1.245
GRIN3A	0.900833333333333
FMNL1	-1.06833333333333
SEPT7	-0.722
GNLY	2.917
GRAMD1C	1.88316666666667
ZNF165	0.0465
USP38	0.063
FAM83A	-2.64216666666667
C14orf24	0.64125
ARMCX3	0.70575
ARHGDIB	0.1165
AK1	0.28075
KIAA1045	-0.262
DNAJB13	-0.819333333333333
NEU2	-0.316
HIST1H4B	-0.448166666666667
FAM20B	-0.334
HES2	0.937142857142857
FAM73B	-0.7044
LOC388381	0.10025
INTS7	-1.022
AMPH	4.071
ZNF775	0.25925
UCKL1	-0.413166666666667
C10orf97	-0.16525
C1orf161	-0.0745
ALDH1L1	-1.2225
FLJ39378	0.0125
SLC23A1	-1.3095
RBM4B	0.0115
THAP4	0.155
OGFRL1	0.902
KIAA0831	0.420875
PPP1R15A	-0.868666666666667
C1orf96	-0.572285714285714
C12orf11	-1.74625
BMF	1.184375
MAN1A1	-0.87725
KIAA1600	0.505333333333333
NLGN4X	1.2275
ALOX12	-1.794
RB1CC1	0.2463
NEIL2	0.309
EIF4E	-0.528227272727273
ABHD5	-0.15325
EXOC4	-0.587333333333333
CIP29	0.0246666666666667
BATF2	2.6315
SLC29A4	-1.1855
HTR4	-0.167
EMB	0.15475
TRAF6	0.71875
LMNB1	-1.757
FAM19A5	0.24525
SHE	2.27075
PIK3C2B	0.98175
C15orf15	-0.7005
USP15	-0.229
TCEAL2	1.492
C5orf39	-0.903333333333333
PTGER2	-0.93075
SLC31A1	-0.8250625
IFT172	0.38125
ADAM29	-0.05775
GFOD1	0.16575
ST7L	0.404666666666667
C15orf26	-2.61025
PKN3	-1.44375
CNTD1	1.9065
COMMD1	0.40925
NTRK2	4.69
FOXN3	-0.116125
MFGE8	1.0418
PFKFB2	0.832166666666667
TAS2R4	-0.3495
ENTHD1	0.8485
PRMT5	-0.721375
MGC16384	-1.409375
LOC442229	-0.32
TSKU	1.094875
KRTCAP3	2.197
PDLIM1	0.8997
KCNS2	-0.00475
RNF126	-0.6645
CEP63	0.128375
CLIC4	-0.456375
hCG_1990170	0.341
ACR	1.0137
KLK7	4.398
ALOX5AP	3.381125
RIPK3	3.8665
TAS2R9	0.2375
C19orf18	1.3955
BIRC6	-0.441142857142857
ZNF16	1.3605
RFT1	-0.377
SLC8A2	-0.36775
TACC1	0.084
ITGAD	0.947
SAMHD1	1.397
SH3PXD2B	1.2553
EPC2	1.0355
C20orf85	0.364
ATP13A2	0.0735
KRT4	0.412875
CAPNS1	0.275
MDM2	-0.301666666666667
PCDH20	3.1425
KCNK9	0.249
OR2C1	-0.718
KLHDC3	-0.405166666666667
IPPK	0.0475
EFHD2	-0.181375
GALR3	1.849
NBEA	1.98583333333333
ABCA6	2.3657
CLDN3	1.34966666666667
AKT2	-0.631857142857143
EGFR	-0.4381
RBM16	-0.10625
ZDHHC3	0.319
SLC25A4	-0.342666666666667
CYB5B	-1.18066666666667
CPXM1	0.59325
NDRG1	-1.27107692307692
FLJ43826	0.53575
OR5L2	-0.185333333333333
FARP2	0.1929
MRPL46	-0.163833333333333
LDHAL6B	-0.093
MAPKAPK3	-0.00766666666666668
NCAM2	-0.11925
PRKD2	0.3245
ZFP36L1	1.2224
CYSLTR1	-0.2585
OR4C3	0.24325
HIST1H2AJ	3.8505
CCNB2	-3.51311111111111
ZNF10	-0.005375
TMEM175	0.68
FAM134A	0.6585
TIGD4	0.2435
PCNP	-0.23925
MGC39715	0.2015
LQK1	-0.89825
CREB1	0.1962
TMPRSS3	-0.08575
C4orf32	0.673
LAT	-1.73075
KCNA3	0.5035
SKIV2L2	-0.714
ROPN1B	0.07475
tcag7.23	-0.33
CDT1	-2.597125
ZHX2	1.35775
CD28	-3.3315
ZNF624	0.658
SEPT2	-0.0208333333333333
SOHLH2	-1.549375
MCOLN3	0.184375
UNQ1945	0.8045
MASP2	-1.1625
ZNRF3	-0.0268
GPATCH3	-0.135
AGL	0.672
QRICH2	-0.3465
PSD4	0.578833333333333
CCNB1IP1	-1.00375
ENPP7	0.0155
OBFC1	0.3965
KCNG3	-2.26375
C14orf79	0.0695833333333333
ENPEP	1.69233333333333
SCT	1.298
SKI	1.035625
SEC61G	-0.91525
CAPN11	2.62425
ATXN7L3	-0.39025
DBNDD1	0.043
FAIM	0.3175
ANKRD36	-0.843
GABRP	3.46783333333333
TACSTD2	1.54766666666667
EIF3J	-0.52325
PPP2R2A	-0.936
TEKT4	0.394666666666667
PVALB	-3.1465
F10	-2.18516666666667
FAM134C	0.7567
COMP	5.044375
EFCBP1	-1.04775
SCLT1	0.025
TAL1	-1.1241
ACSL1	0.9645
ABCC5	1.32141666666667
ABL1	-0.32
RBBP7	-0.212333333333333
PTPRG	-0.273125
NCOR1	-0.6278
SPINK4	-0.376166666666667
TXNRD1	-1.0254
TNRC15	0.724875
C9orf138	0.250375
UBE2H	0.314166666666667
BRDT	0.801333333333333
C8orf31	0.04575
CCNE2	-1.56145454545455
SLC6A8	-1.957875
CALCR	-2.95375
PPP1CB	0.56075
ABHD8	0.51975
ARF5	0.0388
SLC24A4	0.1975
CCT3	-0.134
ZNF121	-0.069625
SLC3A2	-0.811
OR13A1	0.363
SLC5A10	0.32925
RAD50	0.387625
IER5	0.962375
MTHFD1L	-1.83
MBTPS2	-0.1565
MVK	-0.303
NCL	-0.1489
PSMD10	-0.6465
MOBP	0.332375
FLJ32894	-1.5345
HRH1	-0.566666666666667
C5orf30	1.01875
NUDT16L1	0.686
RASGRP3	3.399
PRKRIP1	-0.5312
CCDC75	0.45025
LOC253970	0.19775
KIAA1239	0.59
MED21	-0.06425
SYT11	0.614583333333333
NTSR2	-0.436
EGFL11	0.5725
CXorf59	0.177
OR2A25	0.13775
SPTBN2	-0.59125
LRMP	-1.18383333333333
RNF111	-0.29
PTH	-0.357
LOC619208	0.521666666666667
KIAA0895	0.09225
RANBP5	-0.7535
P2RY10	0.375166666666667
NME5	4.259
DDX21	-0.86475
LRSAM1	0.748
HDAC11	1.125
VMO1	2.02075
NOLA2	0.220833333333333
ADAR	0.896
MTO1	-1.1355
SF4	0.344333333333333
P2RX1	-0.556333333333333
HBM	0.1875
EN2	1.907
C14orf172	0.256
TM9SF2	0.3105
INHBE	-0.492833333333333
TCTE3	-0.537583333333333
TOX2	-2.6605
CTAGE3	0.266125
HBB	3.4765
MED15	-0.809666666666667
CASR	0.59575
C6orf66	-1.02283333333333
MTPN	-0.494375
UNC50	-0.2235
C21orf33	0.835625
IRF2	0.73775
PGR	1.71116666666667
GPR84	2.592
CROCCL1	-2.90725
SRPX	-1.19025
BRE	0.369666666666667
FGF10	0.4105
SDC3	0.572
ZRSR1	-0.2005
DKFZP434P211	-0.636125
SOX6	0.1075
RPUSD2	0.0125
C14orf173	-0.296833333333333
MAPK11	0.339333333333333
TBC1D22A	0.374
FAM123A	-0.472
COL4A6	0.706333333333333
TOMM70A	0.20475
NAB1	-0.095875
MGC16385	0.562375
TSPAN18	-0.240666666666667
MED31	0.12
PLG	-0.099
CAPSL	3.3435
ZNF532	0.9233
ASB14	0.0675
CA8	0.509
NUDT16P	0.877333333333333
SLFN11	-1.0555
LRRIQ2	-0.1145
NOL7	-0.0438333333333333
BRMS1L	-0.411875
JARID1A	0.452666666666667
PANK2	-0.0155
ICAM3	0.993
MDS1	0.3105
TAF8	-0.43725
RNF139	1.33225
ZNF594	0.00583333333333334
ADAM8	0.822
SFTPC	-0.161375
MAN2B2	0.655125
RGS12	0.5683125
EIF1AY	-4.86033333333333
LRRIQ1	0.187833333333333
GPR150	1.99325
CCDC21	-1.81116666666667
PRRG3	0.34625
SAA4	-2.55875
RAPGEF5	1.743375
ZCCHC2	0.327666666666667
MGC39372	0.796
PPP4R2	-0.414166666666667
CDCA2	-2.9305
OR4D5	0.589333333333333
PTGFRN	0.9944
SIGLEC5	2.36266666666667
C19orf61	-0.398333333333333
NMUR2	0.188
KIAA1586	-0.875166666666667
DAGLA	0.3605
CHCHD6	0.32325
GPR32	0.3145
NEUROD6	0.267333333333333
SLC2A4RG	0.313375
CA5B	-0.361
FBXL3	1.21825
MPHOSPH9	-1.5905
HMG2L1	-0.35475
HCN4	1.22983333333333
CEACAM19	0.67475
SH2D4B	0.3835
HFE2	-0.4015
TGM4	-0.0433333333333333
LYPD2	-0.46025
TBC1D15	0.287
MRPS21	-0.14
NONO	-1.2599
CLEC5A	0.7995
ITCH	-0.0292
MGAT3	0.012
MBP	-0.309375
RPP25	-0.41925
SOSTDC1	1.821
HRC	-0.79275
TRIM48	-0.225
TMEM133	0.55975
ECEL1P2	-0.98225
HOXC11	0.0245
DOK5	0.40875
HELZ	0.0998333333333333
LOC348180	-0.498
MGC33894	0.427
ADRB3	0.3555
DMD	0.483916666666667
PTRH2	-0.39325
MPEG1	3.27583333333333
NDUFA12	0.224833333333333
KRTAP2-4	0.447666666666667
STAMBPL1	-1.444
ADCY2	0.677166666666667
UNQ6125	0.2665
KLHL20	0.0171666666666667
SRM	-1.2485
OTC	-0.62975
TMIE	-0.3175
SNX8	-0.09375
LIPK	0.6235
CHURC1	0.793083333333333
KLC2	0.249
HDAC1	-0.577
FAM128A	0.0785
FNDC3B	0.5436
MTCP1	-0.197333333333333
WFDC10B	0.2234
PCDHGB3	0.116
ATRNL1	-0.3495
CAV2	-0.13175
MED26	4.62592926927149e-18
DUS1L	-0.13075
CHRM3	-1.305625
NEK9	-0.23375
WARS2	0.791
TBX22	0.0175
TOMM40	-1.1995
RP6-213H19.1	0.989666666666667
TUBGCP5	-0.51875
IGSF6	5.2555
TPPP	0.15
UNQ6190	0.3425
GSTM5	2.31475
BTD	0.11
PDCD1LG2	0.142666666666667
SNRPB2	0.1685
ERICH1	-0.5415
APOA4	-1.70025
HOXA11	-2.16025
NARG1	-0.548375
MKX	-1.0915
RAB28	-0.8215
PKP3	1.1925
SH3GL2	-2.595
CTSO	2.776
RPN2	0.8784375
IL28RA	0.755666666666667
SFMBT1	-0.02075
WDR57	-0.929875
FER1L3	1.1545
HSF5	0.443833333333333
TTC9B	0.3225
C4BPA	-2.38116666666667
ALB	-3.44571428571429
SORBS3	0.34725
UPF2	-0.478
JPH1	-0.1685
AGBL2	-0.19525
DOPEY1	1.002
TERF1	-0.0219166666666667
KIF22	-0.965166666666667
NINJ1	1.29075
SEC61A2	-0.59275
HIST1H1D	-0.179333333333333
SFXN4	0.02475
UCP3	0.5459
ZNF703	2.44566666666667
MYL6B	0.106
TREM1	0.8135
OR52E6	0.235
CKMT2	3.15375
HLA-C	2.668625
SLC13A3	-0.374
TIMP4	-2.3645
SLIT2	2.56825
RSF1	0.295055555555556
LONRF1	-1.29114285714286
MON1A	0.0691666666666667
CACNG6	1.32816666666667
DPPA4	-4.9725
ZSWIM3	0.436
ZNF804A	0.111166666666667
CCIN	1.39225
SLC25A31	-0.06825
KCNMB4	-0.4175
RABL5	0.3385
GALNS	-0.1422
STX6	0.577125
HIST1H1C	-0.5905
CIDEB	-0.307
CASP4	0.331333333333333
PDK3	0.1127
KCNJ11	1.474
TPR	-0.8155
ZSCAN20	-0.7715
MTX2	-0.5825
HIST1H2BH	0.94525
LOC283767	1.71375
LYRM7	-1.30616666666667
BRD3	-0.116666666666667
HIST1H2BO	0.8145
MAGEB10	0.601
SLC45A1	0.3205
SERPINA3	3.3259
KIAA0143	1.461
KCNJ16	1.75833333333333
KRT79	-0.296
FABP2	-0.70675
NUT	-0.99175
ZNF57	-0.173
FBXL4	-0.085625
CLEC9A	0.883
UGT8	-0.967333333333333
BMP2K	-0.1675
MAPK4	-2.97425
SLC25A23	-0.4788
HINT1	-0.4682
KRTAP13-1	0.6835
SFXN5	0.315
CHCHD2	0.0381666666666666
FAM3D	1.835
NDP	-0.588125
RHOBTB1	-0.0368333333333333
SLC4A4	-1.355
RPL38	0.24325
HTF9C	-0.392833333333333
AP2A2	0.33675
ZBTB46	-0.3495
MAP7D1	0.1755
AOX1	-1.2795
CYR61	-0.503666666666667
DTNA	0.125142857142857
JRKL	-0.03275
TMOD3	-0.6645
EEA1	-0.1384
ADCK5	0.58175
IL1R1	2.30916666666667
KLK3	1.97214285714286
HRSP12	-0.071
KTN1	0.23075
LOH11CR2A	1.3252
RELL2	-0.80425
MAB21L1	0.626
C20orf59	-0.936166666666667
PHKB	-0.031
ADAM2	-1.78766666666667
TBC1D8B	0.965833333333333
FAM13A1	-0.61
LAPTM4B	-0.822666666666667
LCN8	-0.1135
TMEM147	0.9125
SYT4	-0.613
XPO7	-1.2325
C9orf62	2.17625
GPR75	0.575
TRIM5	0.85725
APOC1	0.0735
RNASE4	0.204166666666667
PARD6B	0.8025
ARID1A	0.0876666666666667
TPD52L3	0.1119
RRAGB	0.8085
RCN2	-0.392833333333333
HIST2H2BE	0.259375
STARD7	-0.2455
SHMT2	-0.369
KIAA1751	-0.00466666666666668
MLYCD	0.81125
LOC162632	-0.6319
UQCRH	-1.63775
RP11-217H1.1	-0.1866875
SDHA	-1.101
NCLN	-0.2276
ZNF17	0.363333333333333
RCBTB2	-0.962
VEGFB	-0.301
RP4-747L4.3	0.69
COLQ	0.1397
MPN2	-0.712666666666667
DRG2	-0.227
KLRB1	4.07125
ALPK2	-2.3245
DNASE2B	0.51875
FLJ23834	-0.545666666666667
AXUD1	0.229
SAFB	-0.2754
NSUN4	-0.497
RFX2	0.4465
MAPK8IP1	-0.097
FANCD2	-1.69885714285714
ANKZF1	-1.52766666666667
C19orf50	-0.32375
DUSP8	0.580625
SENP5	0.45125
NFKBIL2	-0.724
LBR	-1.96075
IGFL1	0.6195
LZTS2	0.41225
IL2RG	-0.4525
CCDC51	-0.0485
KLF3	-0.14375
ANKRD37	-1.47825
KCTD14	2.15083333333333
FZR1	0.101
SLC44A4	2.6485
ESPL1	-1.254125
GMPR2	0.1197
TBC1D19	-0.310666666666667
ERGIC1	0.339814814814815
ERBB4	2.1153
TSPAN32	0.107666666666667
MAP4	-0.303
GPHN	0.14925
SLC6A2	0.083
HIVEP1	0.59525
DFFB	-0.5179
EIF4EBP2	0.301625
DMRT1	-0.5385
HSPB6	-0.39775
IER2	0.901666666666667
AIFM1	0.20975
WWC2	0.059
MRPL4	0.7355
FLJ21062	0.477666666666667
EPB41L4A	1.49433333333333
SH2D6	0.18075
TAF4B	-1.01475
GAL3ST3	-0.609
MALT1	-0.938166666666667
RTDR1	1.0055
ARVCF	0.192
MEX3B	-0.412333333333333
FBXO16	0.82625
KIF7	-0.77675
C1QC	4.27016666666667
ZNF783	-0.721833333333333
ZNF85	-0.501
MMP13	2.8625
KIAA0329	0.513375
RTP3	-0.9855
ZBED3	-0.17775
CLGN	-3.3035
SLC25A37	-1.455375
hCG_18290	0.0215
OR5AS1	-0.0315
SMARCC2	0.639833333333333
FAM109A	0.0676666666666667
CCDC12	0.04775
USF2	0.5363
DEPDC7	-2.018
C20orf24	-0.299833333333333
JMJD3	0.179
DSP	1.67692857142857
SLIC1	0.60625
FAM20A	1.843625
IRF2BP2	0.068125
ZNF230	-0.4495
MSN	-0.145714285714286
SLC9A5	-1.67
EPDR1	-0.1725
MUSK	-0.0398333333333334
ZNF434	0.103333333333333
SMARCD1	-0.3385
ZFP106	-0.40625
ZNF347	-0.0287
