Hybridization REF	TCGA-A2-A0EM-01A-11R-A034-07
PMF1	0.63925
FNDC1	5.322
HS2ST1	-0.10925
CRELD2	0.2265
C8G	-2.2225
CD82	1.18525
LIM2	-1.3315
UNQ6490	0.4235
MMP16	0.0545
DRD3	-0.472
C5orf26	-0.97025
C11orf73	0.1555
PTP4A2	1.735625
OR4M2	0.7205
HPCA	-1.22916666666667
SEC14L1	-0.703
CHFR	-0.747875
EMILIN1	0.553125
NDUFS4	-0.43625
COL18A1	0.123875
PDZD3	0.0281
C9orf16	0.0186666666666667
ERBB2IP	0.387
EMX2	2.87925
FUS	-0.9045
TF	-3.9065
CLCN4	-1.21716666666667
CXorf56	-0.146
C11orf72	0.0375
ELAC2	-0.192083333333333
NPR1	-1.00975
ASS1	-2.43433333333333
USP42	-0.058125
POLR2J	-0.943
SEC23IP	0.891333333333333
UQCRC1	-0.1685
LOC729603	-0.81925
C1orf71	0.34075
POLG	-2.427
ADAM23	-3.02075
TFR2	-1.4865
RICTOR	-1.446
MGC39606	0.1655
C19orf55	-0.628125
SNAPC1	-1.54666666666667
GNA11	0.64925
CCDC52	-0.357666666666667
FSIP1	3.481
UPF3A	-0.2735
IGSF11	-2.3955
LAGE3	-0.31475
CHST6	-1.659
UNC13B	1.134375
TTLL4	-1.10325
ZNF687	0.67575
SDC2	-0.0653
COX7A2	-0.155
LAMB4	0.27125
FAM24A	-0.127
LRRTM3	-0.594333333333333
GPHB5	-0.43225
OR4C13	0.2235
EIF3EIP	0.4065
HABP4	-0.498
TMEM125	4.0425
CNTN2	-0.131375
ASNSD1	-0.28275
FUT4	-1.48275
ACF	-3.61175
LOC158381	1.2455
CDH8	0.324333333333333
AGPS	-2.1335
C4orf18	3.497625
PECI	0.986083333333333
UNG	-0.267
GSTP1	-0.4825
DCUN1D5	-0.7795
DKFZP564J0863	-0.95475
SLC9A3R1	0.078875
BCDO2	-1.8855
CHMP7	-0.603375
REM2	-0.7895
DNHD1	-1.225375
FKBP4	0.531125
ZNF350	1.62725
MGC11102	-0.05725
BST1	0.919
KISS1R	0.623
NCR2	-0.906
DEFB125	-0.6905
UBE2W	1.185375
KRT15	-2.116625
C10orf99	0.1995
SCN11A	-0.13375
GFI1	-3.098
RDHE2	3.8195
FHL1	-1.22216666666667
OSGEP	0.0203333333333333
GATA1	-3.27833333333333
SMC6	-1.02
TTTY14	-0.82225
LPIN3	-0.39925
RPL4	0.0215
RBPMS	-0.00249999999999999
PRPF3	-0.336666666666667
EMR1	-2.388
SPATA19	-0.9205
XCR1	0.0105
IRX3	1.8485
RBM6	-1.17275
KLF4	-1.1051
UNC5CL	-0.596
SEBOX	0.0935
BTK	-0.50075
KRCC1	1.27175
C6orf27	0.035
SYTL5	-1.235
PRND	1.45471428571429
LOC653319	-2.738
PIGL	-1.357
HUS1	-0.185333333333333
SFRS6	0.641
C17orf77	-0.4435
UIMC1	-0.7505
FXYD2	-1.7678
LOC283152	1.98975
ZNF667	-1.585
ZCCHC12	-0.71975
TFEC	1.8822
ATP7B	0.0315
POLD2	-1.089
RG9MTD1	-0.0535
ACOT2	0.208666666666667
HIST1H4I	-0.91175
PPARGC1A	-1.9124
ETFA	-1.4684
POLRMT	-0.8555
ZNF146	0.01425
MIA2	-1.465
KLHL6	-1.682
HOXB5	-0.217875
NENF	0.947333333333333
CUGBP1	0.75475
PRSS22	1.126
CASC4	1.6557
CUL4B	0.356
CENPJ	-2.052
PITX1	-2.04466666666667
FLJ31033	-0.260166666666667
CELSR3	-2.1575
ZNF568	1.1715
ITSN1	-0.256909090909091
EHBP1L1	-0.739333333333333
C19orf2	-0.40325
DCTN1	-0.00525
LIN28B	-2.68333333333333
TNKS2	-1.52075
C1QBP	-0.144375
CADPS2	2.61625
SRMS	0.05025
GJA9	0.188166666666667
MGC24975	-0.880166666666667
TRIM45	0.831833333333333
TSP50	-0.27925
TCP1	-1.097
TMED7	0.833
CMA1	1.794
CENPL	-0.735166666666667
PTCRA	-0.0515
FST	-1.95175
VWCE	-4.09325
PAWR	0.23125
ABCC12	0.685
LDLR	-0.3484
ASTN2	1.3218
LOC441212	-1.39675
GPATCH8	-0.15525
TANC2	-0.6165
KIF4A	-2.5995
C18orf18	-0.54825
PGM1	-0.92775
KIAA0258	0.378
CPD	1.034625
SNCAIP	-1.78775
DCT	-3.998
HLA-DOA	2.18659090909091
OR11L1	0.4625
UPK1B	-0.1946
DNAJB4	-0.048375
UGT1A8	-0.267
HIST1H4L	-0.8595
PECR	-0.981833333333333
HSPA2	2.90125
WFIKKN1	-0.9345
SERP1	1.50525
SYDE2	1.40125
TACR2	0.429
NUP85	-0.85325
CD177	0.0206666666666667
LGR5	-1.514
PIGG	0.0574166666666667
PTHR1	-0.287333333333333
RAB5A	0.3689
FLJ13224	0.416
USP9Y	-0.958333333333333
C7orf53	-1.0375
LRP1B	-0.0912499999999999
XAF1	0.3944
ABCG8	-0.433
ANKDD1A	-0.4145
DAND5	-0.642
SPAG6	-0.366
LINCR	0.27375
ZDHHC22	-1.2435
CCDC60	-0.647
THOC7	-1.50816666666667
TCTA	1.1224
OR8K3	-0.209
NY-REN-7	-2.362
B2M	0.726666666666667
C6orf141	-2.339625
LPPR4	1.3645
SQLE	-1.035125
SEPHS1	-0.58925
BTBD14B	0.347285714285714
PLRG1	-1.17825
SPG7	-0.9458125
ZNF614	-0.325
PARD6G	1.3535
INPP5B	-0.4523
GRPEL2	-0.11
PPID	-0.8273
TRIM56	-0.75825
UBE2J1	-0.077875
IL20RA	6.08025
LOC387856	0.31925
C1orf107	1.06191666666667
UTS2R	0.73975
C19orf22	-0.2615
SAFB2	-0.437375
KIAA0652	-0.30325
KLRG1	-0.698166666666667
MS4A8B	1.56383333333333
FRAG1	0.59975
KIAA1546	0.17125
E2F4	-1.7581
CLEC4M	0.453166666666667
BTBD14A	-1.2765
KIAA0999	2.2657
GYPA	-3.3235
TAC1	1.0821
TRAIP	-1.65116666666667
KIAA0232	0.8088
ERCC8	-0.943125
GPX4	0.37025
KIAA0368	-0.252375
GPR157	-0.926666666666667
CTAGE4	-0.1755
C9orf30	-1.16383333333333
OR52A1	-0.3715
HSP90B3P	-1.0115
ALG9	-0.2463
BTBD10	0.60825
SDK2	0.10675
BAIAP3	1.66075
RABGGTB	-1.594375
ANKRD40	-0.3165
KRT74	-0.6415
CALCOCO2	-0.0160714285714286
SNCA	-2.528
TMSL8	-3.111375
C2orf53	-0.3285
ESRRB	-0.32875
ARHGAP26	-1.9275
TDRD9	-2.48225
HRAS	-0.160166666666667
KLRC4	-5.3315
JAGN1	-0.480833333333333
BSDC1	0.723
RNF43	0.0751
NDUFAF1	0.50425
PHF12	0.72325
OR1L3	-0.251
FOLR2	1.76216666666667
LYZL6	0.3722
tcag7.1260	-2.3985
WSB1	-2.0375
PROS1	-0.9252
OSTN	0.2765
PSMB8	0.19625
SOCS4	0.424714285714286
DDIT4L	2.81225
MAS1	0.4935
MGC34796	0.654
CSHL1	-0.773833333333333
TBCCD1	0.147666666666667
ZBTB7C	-0.1245
AP2S1	-0.498125
P15RS	1.171
VAT1	-0.6225
SHANK3	0.865
TUFM	0.0556666666666667
THEG	-0.24625
KRT34	-2.04525
SGSM3	0.279
TOMM22	0.064
SOCS3	0.0531666666666667
CPO	0.514
POP4	0.02575
BHLHB3	1.11675
MALL	0.59625
OR1B1	0.49
PARK2	-0.539
GPR124	0.18375
LCE1E	-2.3625
RUVBL2	-0.943
CGRRF1	0.3138
ACPL2	1.37875
WNT10B	-2.13625
BAIAP2L2	-2.087625
ISCA1	0.099
C1orf125	-0.163875
RPAP1	-0.82925
RAI16	-0.146833333333333
RPL27	-0.33225
NLRP9	0.607
EPN1	0.068
LOC388610	-1.373
SLC35A1	0.3461
GAL	-4.0875
SLC14A2	0.00274999999999999
RDH11	-0.436166666666667
FAM138F	-0.324
AUH	0.29925
FLJ40243	-1.27233333333333
C14orf129	0.921
MBD2	-0.687
ABHD14B	0.195375
PIGT	0.933375
ALS2CR4	-0.301375
ALAS1	-0.0939
FOXO1	1.324
CRLF3	0.2635
C20orf107	0.169
FARS2	0.87375
CCDC28A	1.36925
NPHP3	-1.2625
OR13F1	0.589
TSEN54	-0.9215
DEFB106B	0.426
OR8B4	0.0295
STH	2.446
ZC3H14	-0.22075
CBX2	0.286
TMEM49	-1.574
C6orf21	0.923
FLJ20920	0.5135
CRTAP	-0.1785
DDX50	0.094
STYXL1	-0.33325
BLVRB	-0.587333333333333
LOC147650	0.269
MMP24	0.18575
GRID1	1.80866666666667
BANF1	-0.877
CTAGEP	-0.22025
HMBS	-1.35975
SLC25A24	1.16283333333333
C14orf50	-0.09925
MRO	-0.161666666666667
SLC25A15	-0.43675
FAM84B	1.5121
TDP1	-0.85
C16orf78	0.610666666666667
C11orf57	0.487625
RFK	-0.42825
ZFYVE9	0.137875
STCH	-0.815
WIBG	0.3895
LOC283871	-0.4825
GBA2	-0.4271
NDUFB3	-0.07275
HSD17B13	-1.5105
GRIN3A	-0.138
FMNL1	-1.3725
SEPT7	-0.159
GNLY	1.5035
GRAMD1C	1.03833333333333
ZNF165	0.20875
USP38	-0.213
FAM83A	-3.1288
C14orf24	0.766833333333333
ARMCX3	1.3365
ARHGDIB	0.953
AK1	0.074875
KIAA1045	0.0885
DNAJB13	-1.1915
NEU2	1.024
HIST1H4B	-1.3255
FAM20B	0.6703
HES2	1.00985714285714
FAM73B	-0.6733
LOC388381	-0.14775
INTS7	0.221
AMPH	2.7605
ZNF775	-0.10425
UCKL1	-1.03116666666667
C10orf97	0.151
C1orf161	-0.53825
ALDH1L1	-1.569
FLJ39378	-0.00787499999999997
SLC23A1	-0.637
RBM4B	0.328
THAP4	0.1175
OGFRL1	0.67875
KIAA0831	0.07
PPP1R15A	-0.833
C1orf96	0.0108571428571428
C12orf11	-1.9655
BMF	-0.82825
MAN1A1	-1.0675
KIAA1600	0.529
NLGN4X	0.24575
ALOX12	-1.703
RB1CC1	-0.0729
NEIL2	0.881
EIF4E	0.188363636363636
ABHD5	0.09
EXOC4	-0.0968333333333333
CIP29	0.0593333333333333
BATF2	-1.3625
SLC29A4	-0.882875
HTR4	0.2795
EMB	1.29
TRAF6	0.7545
LMNB1	-2.12875
FAM19A5	-0.598
SHE	1.07525
PIK3C2B	0.96225
C15orf15	-0.1613
USP15	0.2518
TCEAL2	0.45175
C5orf39	-1.4525
PTGER2	-1.3695
SLC31A1	-0.3741875
IFT172	0.60225
ADAM29	0.435
GFOD1	1.067
ST7L	0.522666666666667
C15orf26	-3.08725
PKN3	-0.6515
CNTD1	3.47316666666667
COMMD1	0.29375
NTRK2	4.06258333333333
FOXN3	-0.175875
MFGE8	-0.8782
PFKFB2	0.700666666666667
TAS2R4	0.188
ENTHD1	-1.0392
PRMT5	-0.55375
MGC16384	-1.130875
LOC442229	-0.41775
TSKU	0.312125
KRTCAP3	2.767375
PDLIM1	0.8175
KCNS2	0.427
RNF126	-0.576666666666667
CEP63	-0.076625
CLIC4	-0.14825
hCG_1990170	-0.752
ACR	0.2162
KLK7	1.36025
ALOX5AP	3.5985
RIPK3	4.15825
TAS2R9	0.128
C19orf18	0.966
BIRC6	-0.110214285714286
ZNF16	0.845
RFT1	-0.28175
SLC8A2	-0.5785
TACC1	-0.43325
ITGAD	0.903
SAMHD1	0.4415
SH3PXD2B	1.0626
EPC2	1.2625
C20orf85	0.279285714285714
ATP13A2	0.594833333333333
KRT4	0.059
CAPNS1	-0.1955
MDM2	-0.544333333333333
PCDH20	3.70525
KCNK9	0.119
OR2C1	-0.883
KLHDC3	-1.11733333333333
IPPK	0.3065
EFHD2	0.544125
GALR3	0.672
NBEA	1.79433333333333
ABCA6	1.9667
CLDN3	0.792833333333333
AKT2	-1.25778571428571
EGFR	-1.9889
RBM16	0.620375
ZDHHC3	0.4675
SLC25A4	-1.13216666666667
CYB5B	-0.687
CPXM1	0.382
NDRG1	-1.85053846153846
FLJ43826	-0.19225
OR5L2	-0.60775
FARP2	0.6125
MRPL46	-0.745916666666667
LDHAL6B	0.03
MAPKAPK3	-0.219333333333333
NCAM2	2.671
PRKD2	0.357166666666667
ZFP36L1	0.8838
CYSLTR1	0.06125
OR4C3	-3.208
HIST1H2AJ	1.713
CCNB2	-2.79688888888889
ZNF10	-0.06875
TMEM175	0.27
FAM134A	0.924666666666667
TIGD4	-1.3345
PCNP	-0.27675
MGC39715	-0.0816666666666667
LQK1	-2.54
CREB1	0.6882
TMPRSS3	0.71775
C4orf32	3.009875
LAT	-2.4265
KCNA3	-0.9815
SKIV2L2	-0.49825
ROPN1B	-3.09866666666667
tcag7.23	-0.646
CDT1	-3.197
ZHX2	1.109625
CD28	-3.91875
ZNF624	1.10275
SEPT2	0.007
SOHLH2	-1.31742857142857
MCOLN3	-1.531125
UNQ1945	0.37
MASP2	-0.991
ZNRF3	0.3511
GPATCH3	-0.2935
AGL	-0.031625
QRICH2	-0.5565
PSD4	0.776833333333333
CCNB1IP1	-1.84525
ENPP7	-0.50425
OBFC1	0.05275
KCNG3	-2.2055
C14orf79	0.770416666666667
ENPEP	1.40833333333333
SCT	0.976
SKI	0.49875
SEC61G	-1.68125
CAPN11	0.72375
ATXN7L3	-0.64225
DBNDD1	-0.981833333333333
FAIM	0.08825
ANKRD36	-0.647
GABRP	-0.5132
TACSTD2	2.221
EIF3J	-0.5815
PPP2R2A	-0.1425
TEKT4	-2.144
PVALB	-1.00316666666667
F10	-2.679
FAM134C	0.8039
COMP	4.199375
EFCBP1	-2.3516875
SCLT1	0.41675
TAL1	-1.5071
ACSL1	-0.90675
ABCC5	-0.898833333333333
ABL1	-0.610833333333333
RBBP7	0.38725
PTPRG	-0.64825
NCOR1	0.3932
SPINK4	3.09616666666667
TXNRD1	-1.1815
TNRC15	1.077375
C9orf138	0.1965
UBE2H	0.806
BRDT	0.4685
C8orf31	-0.13975
CCNE2	-1.45363636363636
SLC6A8	-1.410875
CALCR	-2.9485
PPP1CB	1.32925
ABHD8	0.08525
ARF5	-0.2144
SLC24A4	0.528666666666667
CCT3	0.20925
ZNF121	0.280875
SLC3A2	-1.1023
OR13A1	0.5665
SLC5A10	0.41375
RAD50	-0.2995
IER5	0.1325
MTHFD1L	-1.9665
MBTPS2	-0.48675
MVK	-0.366375
NCL	0.0743
PSMD10	0.06425
MOBP	0.704625
FLJ32894	-0.376
HRH1	-1.03216666666667
C5orf30	1.26825
NUDT16L1	1.4467
RASGRP3	3.065
PRKRIP1	-0.5738
CCDC75	0.26125
LOC253970	1.0205
KIAA1239	0.919
MED21	-0.252
SYT11	0.29475
NTSR2	-0.073
EGFL11	0.865
CXorf59	0.7095
OR2A25	-0.40275
SPTBN2	-0.4165
LRMP	-1.5318
RNF111	-0.089
PTH	-0.348
LOC619208	0.2416
KIAA0895	0.90825
RANBP5	-0.911125
P2RY10	0.366
NME5	4.75966666666667
DDX21	-0.84175
LRSAM1	-0.4115
HDAC11	1.62016666666667
VMO1	1.30425
NOLA2	-0.3745
ADAR	1.20741666666667
MTO1	-0.9425
SF4	0.150833333333333
P2RX1	-0.466333333333333
HBM	0.30025
EN2	1.204
C14orf172	-0.112
TM9SF2	0.771
INHBE	-1.54233333333333
TCTE3	-0.324333333333333
TOX2	-3.049
CTAGE3	0.00812500000000001
HBB	3.9187
MED15	-1.01933333333333
CASR	-0.7495
C6orf66	-1.369
MTPN	-0.641875
UNC50	0.53175
C21orf33	0.326375
IRF2	0.555
PGR	4.01916666666667
GPR84	3.059
CROCCL1	-2.16625
SRPX	-1.04575
BRE	0.1235
FGF10	6.17625
SDC3	0.921666666666667
ZRSR1	0.601666666666667
DKFZP434P211	-0.061375
SOX6	null
RPUSD2	0.24125
C14orf173	-0.273
MAPK11	-0.347166666666667
TBC1D22A	0.5015
FAM123A	-1.1215
COL4A6	-1.809
TOMM70A	-0.2935
NAB1	0.334375
MGC16385	-0.797375
TSPAN18	0.0506666666666667
MED31	0.05475
PLG	-0.703
CAPSL	0.2205
ZNF532	0.8131
ASB14	0.11925
CA8	1.4475
NUDT16P	1.6385
SLFN11	-1.149
LRRIQ2	0.440625
NOL7	-0.174166666666667
BRMS1L	-0.286375
JARID1A	0.3645
PANK2	-0.842
ICAM3	-0.35525
MDS1	-0.2525
TAF8	-1.728
RNF139	0.8365
ZNF594	0.297833333333333
ADAM8	2.45875
SFTPC	-0.90275
MAN2B2	1.240625
RGS12	0.6315625
EIF1AY	-4.32941666666667
LRRIQ1	-1.48983333333333
GPR150	0.75825
CCDC21	-1.43266666666667
PRRG3	0.12175
SAA4	-3.07925
RAPGEF5	2.016125
ZCCHC2	0.491666666666667
MGC39372	-1.951
PPP4R2	0.777666666666667
CDCA2	-2.44566666666667
OR4D5	0.0411666666666667
PTGFRN	1.1219
SIGLEC5	1.86866666666667
C19orf61	-0.240833333333333
NMUR2	-0.274
KIAA1586	-1.392
DAGLA	-0.161833333333333
CHCHD6	-0.561
GPR32	-0.27
NEUROD6	-0.0228333333333334
SLC2A4RG	0.102875
CA5B	0.31125
FBXL3	1.80425
MPHOSPH9	-1.403
HMG2L1	0.57325
HCN4	0.6174
CEACAM19	-0.5145
SH2D4B	0.465333333333333
HFE2	-1.4465
TGM4	0.168
LYPD2	-0.348
TBC1D15	0.15725
MRPS21	0.5778
NONO	-0.7687
CLEC5A	2.807125
ITCH	0.0469
MGAT3	-1.172
MBP	0.531857142857143
RPP25	-0.6875
SOSTDC1	0.7265
HRC	-1.2925
TRIM48	0.265
TMEM133	-0.87025
ECEL1P2	-2.0085
HOXC11	-1.204
DOK5	-0.41125
HELZ	0.537666666666667
LOC348180	-1.3445
MGC33894	-0.463
ADRB3	0.263
DMD	-0.78875
PTRH2	-0.54625
MPEG1	2.6195
NDUFA12	-0.0303333333333333
KRTAP2-4	0.00983333333333331
STAMBPL1	-1.96083333333333
ADCY2	-0.00483333333333333
UNQ6125	1.013
KLHL20	0.988166666666667
SRM	-1.43
OTC	-0.269333333333333
TMIE	-0.198
SNX8	-0.36975
LIPK	0.6245
CHURC1	0.624
KLC2	0.2735
HDAC1	0.239
FAM128A	0.575666666666667
FNDC3B	-0.2805
MTCP1	-0.339
WFDC10B	-0.0326
PCDHGB3	-0.162
ATRNL1	1.2488
CAV2	-0.029125
MED26	-0.0701666666666667
DUS1L	0.06025
CHRM3	-1.641
NEK9	0.36375
WARS2	-0.1185
TBX22	-0.591
TOMM40	-1.14025
RP6-213H19.1	-3.75183333333333
TUBGCP5	-1.05525
IGSF6	5.26875
TPPP	0.814
UNQ6190	-0.00850000000000001
GSTM5	0.0626249999999999
BTD	1.51466666666667
PDCD1LG2	0.0903333333333333
SNRPB2	-0.728333333333333
ERICH1	-0.46775
APOA4	-1.538375
HOXA11	-1.70933333333333
NARG1	-0.337375
MKX	3.64125
RAB28	-0.122142857142857
PKP3	0.6375
SH3GL2	-0.198
CTSO	3.33025
RPN2	0.21325
IL28RA	0.894
SFMBT1	1.499
WDR57	0.49975
FER1L3	0.800416666666667
HSF5	-0.0756666666666666
TTC9B	0.3925
C4BPA	-3.1632
ALB	-3.53246153846154
SORBS3	0.368125
UPF2	-0.4235
JPH1	-1.6595
AGBL2	-0.078
DOPEY1	1.2315
TERF1	-0.370333333333333
KIF22	-0.827333333333333
NINJ1	0.92725
SEC61A2	-0.33825
HIST1H1D	-1.40983333333333
SFXN4	0.107875
UCP3	0.3402
ZNF703	0.537166666666667
MYL6B	-0.832
TREM1	1.0415
OR52E6	0.1335
CKMT2	1.139
HLA-C	1.94175
SLC13A3	-2.14866666666667
TIMP4	-0.97
SLIT2	2.45775
RSF1	0.0811666666666667
LONRF1	-0.585142857142857
MON1A	0.028
CACNG6	-1.613
DPPA4	-4.90083333333333
ZSWIM3	0.7925
ZNF804A	-1.024
CCIN	1.6465
SLC25A31	1.02233333333333
KCNMB4	-0.121
RABL5	0.4215
GALNS	-0.944
STX6	0.782625
HIST1H1C	-2.80916666666667
CIDEB	0.46425
CASP4	-0.394
PDK3	0.1704
KCNJ11	2.2585
TPR	-0.05
ZSCAN20	-0.281
MTX2	-0.3645
HIST1H2BH	-0.687
LOC283767	0.7575
LYRM7	-1.11627777777778
BRD3	0.162166666666667
HIST1H2BO	-1.23425
MAGEB10	0.7885
SLC45A1	1.0975
SERPINA3	2.9674
KIAA0143	1.7495
KCNJ16	0.0633333333333333
KRT79	-0.976
FABP2	-0.01475
NUT	-0.0555
ZNF57	-0.1845
FBXL4	1.147
CLEC9A	0.8555
UGT8	-1.08783333333333
BMP2K	0.77425
MAPK4	-3.367
SLC25A23	-0.7358
HINT1	0.0974
KRTAP13-1	-0.459
SFXN5	-0.4764
CHCHD2	-0.283583333333333
FAM3D	0.5015
NDP	-1.704875
RHOBTB1	0.4665
SLC4A4	0.295875
RPL38	-0.575
HTF9C	-0.798666666666667
AP2A2	0.5165
ZBTB46	-1.5465
MAP7D1	-0.134125
AOX1	-1.059
CYR61	-0.152
DTNA	-1.22991666666667
JRKL	-0.731
TMOD3	-0.0255
EEA1	-0.06
ADCK5	-1.1105
IL1R1	1.102
KLK3	0.389428571428571
HRSP12	-1.3005
KTN1	0.00174999999999998
LOH11CR2A	-0.29
RELL2	-2.0785
MAB21L1	1.0885
C20orf59	-1.043
PHKB	-0.62825
ADAM2	-1.7522
TBC1D8B	1.06833333333333
FAM13A1	-1.05075
LAPTM4B	-1.28483333333333
LCN8	0.2205
TMEM147	0.6335
SYT4	-0.756666666666667
XPO7	-0.581
C9orf62	0.93
GPR75	0.3505
TRIM5	-0.193625
APOC1	-1.633
RNASE4	0.347666666666667
PARD6B	0.47775
ARID1A	0.077
TPD52L3	1.47116666666667
RRAGB	1.09133333333333
RCN2	-0.182833333333333
HIST2H2BE	-0.0468125
STARD7	-0.33625
SHMT2	-1.702
KIAA1751	-0.614
MLYCD	0.10775
LOC162632	0.2645
UQCRH	-1.34375
RP11-217H1.1	0.295875
SDHA	-1.2885
NCLN	-0.3797
ZNF17	0.551333333333333
RCBTB2	-1.315
VEGFB	-0.2133
RP4-747L4.3	1.44375
COLQ	-0.3143
MPN2	-0.781
DRG2	-0.4935
KLRB1	2.09225
ALPK2	-1.16375
DNASE2B	0.4965
FLJ23834	0.3745
AXUD1	0.03
SAFB	-0.1827
NSUN4	-0.32175
RFX2	-0.359333333333333
MAPK8IP1	-0.8335
FANCD2	-1.32514285714286
ANKZF1	-1.69933333333333
C19orf50	-0.71075
DUSP8	1.146875
SENP5	-0.386625
NFKBIL2	-1.0025
LBR	-1.098125
IGFL1	1.4555
LZTS2	0.26525
IL2RG	-1.076875
CCDC51	-0.3355
KLF3	0.09225
ANKRD37	-2.0725
KCTD14	0.796833333333333
FZR1	0.12475
SLC44A4	3.7296
ESPL1	-1.363625
GMPR2	-0.4031
TBC1D19	-0.324
ERGIC1	0.151888888888889
ERBB4	3.2171
TSPAN32	-0.1735
MAP4	-0.38925
GPHN	-1.165
SLC6A2	-0.168125
HIVEP1	0.19875
DFFB	-0.1218
EIF4EBP2	0.409375
DMRT1	-0.60525
HSPB6	-0.11425
IER2	-0.317
AIFM1	-0.405
WWC2	-0.669181818181818
MRPL4	-0.8565
FLJ21062	2.06983333333333
EPB41L4A	0.604166666666666
SH2D6	0.00924999999999998
TAF4B	-1.08125
GAL3ST3	-0.4185
MALT1	-0.414
RTDR1	-0.22175
ARVCF	0.069375
MEX3B	-1.35133333333333
FBXO16	2.039
KIF7	-1.1985
C1QC	3.76566666666667
ZNF783	-0.8162
ZNF85	0.1185
MMP13	3.734
KIAA0329	0.74775
RTP3	-2.4085
ZBED3	0.1015
CLGN	-3.85525
SLC25A37	-1.36370833333333
hCG_18290	-0.41475
OR5AS1	0.061
SMARCC2	0.508416666666667
FAM109A	-0.0201666666666667
CCDC12	-0.22425
USF2	0.5236
DEPDC7	-1.1855
C20orf24	-0.810833333333333
JMJD3	0.254
DSP	1.95371428571429
SLIC1	0.1715
FAM20A	1.27375
IRF2BP2	1.144625
ZNF230	0.0385
MSN	-0.681285714285714
SLC9A5	-2.0325
EPDR1	-1.8534
