Hybridization REF	TCGA-E2-A15S-01A-11R-A115-07
ZNF687	0.125375
SDC2	-1.3921
COX7A2	0.704
LAMB4	-0.34225
FAM24A	-0.0665
LRRTM3	-1.482
GPHB5	-0.15
OR4C13	0.3665
EIF3EIP	-0.555571428571429
HABP4	-1.3315
TMEM125	2.7755
CNTN2	-0.387
ASNSD1	-0.25125
FUT4	-0.6885
ACF	-3.65125
LOC158381	0.2305
CDH8	2.249
AGPS	-0.967666666666667
C4orf18	0.965125
PECI	0.24075
UNG	1.165125
GSTP1	-3.054625
DCUN1D5	-2.63666666666667
DKFZP564J0863	-1.04875
SLC9A3R1	1.526
BCDO2	-1.785625
CHMP7	-0.97325
REM2	0.348
DNHD1	-0.769375
FKBP4	0.8605
ZNF350	3.06625
MGC11102	0.373375
BST1	-0.0305
KISS1R	-0.407
NCR2	0.089
DEFB125	0.5805
UBE2W	1.33075
KRT15	0.246125
C10orf99	0.0715
SCN11A	-0.085125
GFI1	-3.226
RDHE2	3.94383333333333
FHL1	-0.882166666666667
OSGEP	0.505
GATA1	-3.328
SMC6	0.18675
TTTY14	-1.0395
LPIN3	0.32625
RPL4	-0.8421
RBPMS	-0.3396
PRPF3	0.636
EMR1	-2.967
SPATA19	-0.306
XCR1	0.295
IRX3	1.3603
RBM6	0.40375
KLF4	-1.1471
UNC5CL	2.7075
SEBOX	0.01
BTK	-2.48875
KRCC1	-0.67475
C6orf27	0.1375
SYTL5	-0.7745
PRND	1.611125
LOC653319	-1.2425
PIGL	-0.49475
HUS1	-0.998833333333333
SFRS6	-0.678
C17orf77	0.45
UIMC1	0.0985
FXYD2	-1.9962
LOC283152	0.04525
ZNF667	0.3405
ZCCHC12	-0.79625
TFEC	1.6107
ATP7B	1.07066666666667
POLD2	-1.21633333333333
RG9MTD1	-0.0645
ACOT2	-0.148166666666667
HIST1H4I	-0.170375
PPARGC1A	-2.7683
ETFA	-1.5955
POLRMT	-1.243
ZNF146	-0.353625
MIA2	-1.607
KLHL6	-2.45616666666667
HOXB5	-1.704625
NENF	0.251
CUGBP1	-0.9805
PRSS22	1.01766666666667
CASC4	2.1982
CUL4B	0.803
CENPJ	-0.9475
PITX1	-1.424
FLJ31033	0.965333333333333
CELSR3	-0.366666666666667
ZNF568	1.66475
ITSN1	-0.2585
EHBP1L1	-0.9075
C19orf2	0.647
DCTN1	-0.1595
LIN28B	-3.86766666666667
TNKS2	0.885
C1QBP	-1.9925
CADPS2	-1.23275
SRMS	0.17
GJA9	0.3595
MGC24975	-1.22216666666667
TRIM45	0.3525
TSP50	-0.5315
TCP1	-1.4255
TMED7	0.3279
CMA1	0.9065
CENPL	0.518
PTCRA	-0.2585
FST	-4.10625
VWCE	-4.028
PAWR	-0.023
ABCC12	0.205
LDLR	-0.8984
ASTN2	0.928
LOC441212	-0.31525
GPATCH8	-0.048
TANC2	0.877666666666666
KIF4A	-0.84525
C18orf18	-0.59725
PGM1	-0.808
KIAA0258	1.822
CPD	0.94
SNCAIP	-1.73475
DCT	-4.22733333333333
HLA-DOA	1.52727272727273
OR11L1	0.427
UPK1B	-0.453
DNAJB4	-1.121875
UGT1A8	-0.47125
HIST1H4L	0.1165
PECR	-0.7275
HSPA2	2.503
WFIKKN1	-3.3525
SERP1	-0.20775
SYDE2	2.772
TACR2	0.1665
NUP85	0.4295
CD177	-0.711833333333333
LGR5	-2.20366666666667
PIGG	0.835416666666667
PTHR1	-2.18733333333333
RAB5A	0.361
FLJ13224	-0.109
USP9Y	-2.37383333333333
C7orf53	-0.36
LRP1B	-1.1595
XAF1	0.5943
ABCG8	-0.4735
ANKDD1A	-0.785833333333333
DAND5	-1.5045
SPAG6	0.370833333333333
LINCR	0.92125
ZDHHC22	-1.043875
CCDC60	0.469
THOC7	-1.0645
TCTA	1.6022
OR8K3	-0.242
NY-REN-7	-0.64125
B2M	-0.6515
C6orf141	0.60425
LPPR4	2.60675
SQLE	0.48225
SEPHS1	-0.6645
BTBD14B	0.174785714285714
PLRG1	-0.6085
SPG7	-1.2076875
ZNF614	0.944833333333333
PARD6G	0.349
INPP5B	-0.4052
GRPEL2	0.116
PPID	-0.0398
TRIM56	-0.46325
UBE2J1	-0.39
IL20RA	3.19025
LOC387856	2.297
C1orf107	0.389666666666667
UTS2R	-0.40625
C19orf22	-0.4635
SAFB2	-0.452125
KIAA0652	0.299625
KLRG1	-0.9575
MS4A8B	4.066
FRAG1	0.4795
KIAA1546	0.30025
E2F4	-1.5537
CLEC4M	-0.144833333333333
BTBD14A	-0.9445
KIAA0999	0.8625
GYPA	-3.564
TAC1	0.9356
TRAIP	-0.0301666666666667
KIAA0232	1.7856
ERCC8	-0.98125
GPX4	0.24175
KIAA0368	0.620875
GPR157	-0.367333333333333
CTAGE4	1.602
C9orf30	-1.142
OR52A1	-0.407
HSP90B3P	-0.486
ALG9	-0.7428
BTBD10	0.9375
SDK2	0.356
BAIAP3	1.61075
RABGGTB	-0.404625
ANKRD40	0.144666666666667
KRT74	0.294
CALCOCO2	0.738
SNCA	-4.25325
TMSL8	-1.342
C2orf53	-0.3045
ESRRB	-0.3355
ARHGAP26	-0.956125
TDRD9	-2.90425
HRAS	0.168
KLRC4	-1.6715
JAGN1	0.537666666666667
BSDC1	1.21625
RNF43	0.7004
NDUFAF1	0.2255
PHF12	0.71875
OR1L3	0.35675
FOLR2	1.63925
LYZL6	0.367666666666667
tcag7.1260	-2.4035
WSB1	-0.233666666666667
PROS1	-0.7879
OSTN	0.2135
PSMB8	-0.619
SOCS4	0.2605
DDIT4L	3.22425
MAS1	-0.955
MGC34796	0.956
CSHL1	0.383666666666667
TBCCD1	-0.339166666666667
ZBTB7C	-0.0455
AP2S1	-0.198125
P15RS	1.0333
VAT1	-0.2641
SHANK3	0.635166666666667
TUFM	-0.938166666666667
THEG	-0.539
KRT34	-1.83875
SGSM3	-0.180875
TOMM22	-0.027625
SOCS3	-0.688333333333333
CPO	-0.1725
POP4	-0.01225
BHLHB3	-1.39175
MALL	0.4075
OR1B1	0.0685
PARK2	0.0758333333333333
GPR124	0.029625
LCE1E	-0.387
RUVBL2	-0.70225
CGRRF1	1.2396
ACPL2	-0.37875
WNT10B	1.015375
BAIAP2L2	-1.608
ISCA1	0.098
C1orf125	0.649625
RPAP1	-0.85225
RAI16	-0.765666666666667
RPL27	-0.4465
NLRP9	0.063
EPN1	0.1105
LOC388610	-0.136375
SLC35A1	1.1896
GAL	-4.26925
SLC14A2	-0.03575
RDH11	-0.236666666666667
FAM138F	-0.512
AUH	-0.79625
FLJ40243	0.5305
C14orf129	-0.654333333333333
MBD2	0.914166666666667
ABHD14B	-0.810625
PIGT	0.7565
ALS2CR4	-0.508
ALAS1	-0.0019
FOXO1	0.0876666666666667
CRLF3	0.01675
C20orf107	0.2705
FARS2	0.70025
CCDC28A	-0.31175
NPHP3	-0.01225
OR13F1	0.5255
TSEN54	0.4175
DEFB106B	0.0842
OR8B4	0.3665
STH	0.36225
ZC3H14	-0.864625
CBX2	-0.593
TMEM49	-1.13875
C6orf21	0.045
FLJ20920	1.562625
CRTAP	-0.516142857142857
DDX50	0.51425
STYXL1	-1.2665
BLVRB	0.0645
LOC147650	0.949
MMP24	0.289
GRID1	2.15566666666667
BANF1	0.414
CTAGEP	0.128
HMBS	-2.931
SLC25A24	0.209333333333333
C14orf50	1.79125
MRO	0.258333333333333
SLC25A15	0.0015
FAM84B	3.3901
TDP1	-0.9875
C16orf78	-0.00833333333333334
C11orf57	0.018625
RFK	1.28975
ZFYVE9	0.933
STCH	-0.4503
WIBG	0.31525
LOC283871	-0.726666666666667
GBA2	-0.0166
NDUFB3	-0.4975
HSD17B13	-0.70025
GRIN3A	0.892166666666667
FMNL1	-0.975666666666667
SEPT7	-0.6651
GNLY	1.9375
GRAMD1C	0.667166666666667
ZNF165	1.556
USP38	1.32775
FAM83A	-2.52316666666667
C14orf24	0.848
ARMCX3	1.159125
ARHGDIB	-1.46833333333333
AK1	-0.362375
KIAA1045	-0.12775
DNAJB13	-0.317333333333333
NEU2	0.7925
HIST1H4B	-0.413666666666667
FAM20B	-0.1361
HES2	1.0505
FAM73B	-0.2577
LOC388381	-0.14975
INTS7	-0.704545454545455
AMPH	0.53825
ZNF775	-0.792625
UCKL1	0.112833333333333
C10orf97	0.03725
C1orf161	-0.00625000000000001
ALDH1L1	-1.66125
FLJ39378	0.432
SLC23A1	-0.52
RBM4B	0.7245
THAP4	-0.297666666666667
OGFRL1	-0.89025
KIAA0831	0.50175
PPP1R15A	-1.06233333333333
C1orf96	-0.175071428571429
C12orf11	-1.0385
BMF	1.72325
MAN1A1	-1.45875
KIAA1600	1.03616666666667
NLGN4X	-1.32075
ALOX12	-1.42916666666667
RB1CC1	0.7663
NEIL2	-0.2895
EIF4E	-0.895363636363636
ABHD5	-0.4335
EXOC4	0.0271666666666667
CIP29	-0.0393333333333333
BATF2	-0.4335
SLC29A4	-0.92175
HTR4	-0.000499999999999987
EMB	0.1095
TRAF6	0.84775
LMNB1	-1.75875
FAM19A5	1.964125
SHE	1.9745
PIK3C2B	0.13525
C15orf15	-0.5171
USP15	0.0997
TCEAL2	0.9925
C5orf39	-1.76116666666667
PTGER2	1.6585
SLC31A1	-0.920375
IFT172	1.282
ADAM29	0.25625
GFOD1	-0.68
ST7L	0.868166666666667
C15orf26	-3.586
PKN3	-1.37475
CNTD1	3.07416666666667
COMMD1	-0.015875
NTRK2	1.42616666666667
FOXN3	-1.02425
MFGE8	-1.0434
PFKFB2	-0.309166666666667
TAS2R4	0.5355
ENTHD1	-1.23316666666667
PRMT5	-0.723375
MGC16384	0.24425
LOC442229	0.2725
TSKU	0.9835
KRTCAP3	1.472
PDLIM1	-1.106
KCNS2	0.277
RNF126	-1.02116666666667
CEP63	0.667
CLIC4	-0.31225
hCG_1990170	-0.37775
ACR	0.4243
KLK7	0.89525
ALOX5AP	0.0045
RIPK3	1.6115
TAS2R9	0.338
C19orf18	2.0485
BIRC6	0.824
ZNF16	1.5165
RFT1	-0.116
SLC8A2	-0.0595
TACC1	-0.611875
ITGAD	1.217
SAMHD1	0.0175
SH3PXD2B	0.2214
EPC2	1.599
C20orf85	-0.0665
ATP13A2	-0.0158333333333333
KRT4	0.61575
CAPNS1	-0.02175
MDM2	0.271666666666667
PCDH20	2.1315
KCNK9	0.431
OR2C1	0.204
KLHDC3	0.143166666666667
IPPK	-0.264
EFHD2	-1.35875
GALR3	-0.25775
NBEA	1.36366666666667
ABCA6	3.0406
CLDN3	1.10116666666667
AKT2	0.172
EGFR	-2.3502
RBM16	0.018875
ZDHHC3	-0.2951
SLC25A4	0.151
CYB5B	-1.16716666666667
CPXM1	-1.19125
NDRG1	-1.44546153846154
FLJ43826	0.0775
OR5L2	0.218833333333333
FARP2	-0.0559
MRPL46	-0.467916666666667
LDHAL6B	0.0203333333333333
MAPKAPK3	-0.717
NCAM2	-1.94775
PRKD2	-0.307833333333333
ZFP36L1	-0.5428
CYSLTR1	-0.579
OR4C3	0.438
HIST1H2AJ	1.8235
CCNB2	-0.939333333333333
ZNF10	1.3575
TMEM175	-0.311
FAM134A	0.887666666666667
TIGD4	0.2125
PCNP	0.07425
MGC39715	-0.40075
LQK1	-0.61775
CREB1	0.4173
TMPRSS3	-2.1155
C4orf32	0.443875
LAT	-2.30341666666667
KCNA3	0.3365
SKIV2L2	-1.00325
ROPN1B	-1.5695
tcag7.23	-0.424
CDT1	-2.46775
ZHX2	1.137875
CD28	-4.244
ZNF624	1.03875
SEPT2	-0.81575
SOHLH2	-2.84125
MCOLN3	1.302125
UNQ1945	0.094
MASP2	-0.538
ZNRF3	1.2319
GPATCH3	-0.716
AGL	-0.0835
QRICH2	0.0285
PSD4	-0.3945
CCNB1IP1	-1.5115
ENPP7	0.0615
OBFC1	0.76825
KCNG3	0.2885
C14orf79	0.1475
ENPEP	3.3885
SCT	0.2105
SKI	0.452875
SEC61G	-0.5935
CAPN11	1.683
ATXN7L3	0.12825
DBNDD1	-0.457666666666667
FAIM	1.0955
ANKRD36	0.4335
GABRP	1.72083333333333
TACSTD2	0.844
EIF3J	-0.038
PPP2R2A	-0.51525
TEKT4	-0.204666666666667
PVALB	0.2255
F10	-2.7135
FAM134C	0.6509
COMP	3.00975
EFCBP1	-3.051375
SCLT1	0.41425
TAL1	-1.4378
ACSL1	0.685
ABCC5	0.981416666666667
ABL1	-0.0729444444444444
RBBP7	-0.242416666666667
PTPRG	-1.06175
NCOR1	-0.0769
SPINK4	0.474666666666667
TXNRD1	-0.1652
TNRC15	0.642375
C9orf138	0.551875
UBE2H	0.9425
BRDT	0.130166666666667
C8orf31	0.06625
CCNE2	1.33590909090909
SLC6A8	-2.220375
CALCR	-5.21725
PPP1CB	0.683916666666667
ABHD8	-0.3765
ARF5	-0.1133
SLC24A4	0.181
CCT3	-0.21175
ZNF121	0.322875
SLC3A2	-1.0036
OR13A1	-0.015
SLC5A10	1.59425
RAD50	-0.347375
IER5	0.013625
MTHFD1L	-2.486125
MBTPS2	0.352
MVK	-0.01225
NCL	-1.0066
PSMD10	0.62275
MOBP	0.119625
FLJ32894	0.1255
HRH1	-1.94666666666667
C5orf30	2.50675
NUDT16L1	0.5542
RASGRP3	3.07716666666667
PRKRIP1	-0.0473
CCDC75	0.985
LOC253970	0.0245
KIAA1239	-0.11125
MED21	-0.44225
SYT11	-0.621416666666667
NTSR2	2.3965
EGFL11	0.2225
CXorf59	-0.191
OR2A25	0.054
SPTBN2	0.03825
LRMP	-1.77516666666667
RNF111	0.589
PTH	-0.2645
LOC619208	-0.3985
KIAA0895	1.343
RANBP5	-1.252125
P2RY10	-0.593333333333333
NME5	3.68583333333333
DDX21	-0.55125
LRSAM1	0.7005
HDAC11	2.2885
VMO1	0.52825
NOLA2	0.890666666666667
ADAR	0.410083333333333
MTO1	0.167833333333333
SF4	-0.471166666666667
P2RX1	-0.0533333333333333
HBM	1.00425
EN2	-0.5305
C14orf172	-0.5985
TM9SF2	-0.418
INHBE	-0.454333333333333
TCTE3	-0.19
TOX2	-2.22025
CTAGE3	0.4205
HBB	3.0101
MED15	-0.517166666666667
CASR	0.117
C6orf66	-0.1605
MTPN	0.81125
UNC50	-0.22175
C21orf33	0.116125
IRF2	0.29275
PGR	-2.14833333333333
GPR84	0.6395
CROCCL1	-1.59625
SRPX	-2.77225
BRE	0.607
FGF10	3.29325
SDC3	-1.2005
ZRSR1	0.118666666666667
DKFZP434P211	0.1455
SOX6	-0.431
RPUSD2	-0.529
C14orf173	-1.02375
MAPK11	-0.1695
TBC1D22A	0.0425
FAM123A	-0.407
COL4A6	-3.425
TOMM70A	0.35425
NAB1	-0.476375
MGC16385	-0.323625
TSPAN18	-0.3965
MED31	0.25375
PLG	-0.446
CAPSL	0.2425
ZNF532	0.1187
ASB14	0.04975
CA8	2.78875
NUDT16P	2.67283333333333
SLFN11	-0.276
LRRIQ2	1.020625
NOL7	0.0561666666666667
BRMS1L	-0.210875
JARID1A	0.991
PANK2	-0.878
ICAM3	-1.791
MDS1	-0.718
TAF8	0.84825
RNF139	1.501
ZNF594	0.2575
ADAM8	0.672
SFTPC	-0.617125
MAN2B2	0.73625
RGS12	0.6063125
EIF1AY	-4.66533333333333
LRRIQ1	-0.2275
GPR150	-0.39325
CCDC21	-0.912833333333333
PRRG3	0.3405
SAA4	-3.9665
RAPGEF5	1.316375
ZCCHC2	0.787666666666667
MGC39372	0.2555
PPP4R2	0.435833333333333
CDCA2	-1.59116666666667
OR4D5	0.3535
PTGFRN	-0.1178
SIGLEC5	0.884166666666667
C19orf61	-0.38
NMUR2	0.0555
KIAA1586	-0.126333333333333
DAGLA	-0.342
CHCHD6	-0.58025
GPR32	0.157
NEUROD6	0.185166666666667
SLC2A4RG	1.264875
CA5B	0.3755
FBXL3	1.0855
MPHOSPH9	-0.062
HMG2L1	1.044
HCN4	-0.281
CEACAM19	0.41475
SH2D4B	0.0945
HFE2	-0.7335
TGM4	0.0875
LYPD2	-0.0225
TBC1D15	0.46575
MRPS21	-1.5798
NONO	-0.3614
CLEC5A	0.431875
ITCH	-0.3928
MGAT3	-0.767833333333333
MBP	-0.02475
RPP25	-0.595
SOSTDC1	-0.75375
HRC	0.01025
TRIM48	-0.1275
TMEM133	-0.31575
ECEL1P2	-1.55525
HOXC11	-0.3595
DOK5	-2.7695
HELZ	0.547666666666667
LOC348180	-1.6205
MGC33894	0.2555
ADRB3	0.012
DMD	-0.557333333333333
PTRH2	-0.01525
MPEG1	2.3795
NDUFA12	0.205666666666667
KRTAP2-4	-0.212333333333333
STAMBPL1	-1.0465
ADCY2	-1.346
UNQ6125	0.057
KLHL20	0.986
SRM	-1.963
OTC	0.01025
TMIE	0.2
SNX8	-0.64375
LIPK	0.2205
CHURC1	0.6275
KLC2	0.164833333333333
HDAC1	1.3475
FAM128A	0.821666666666667
FNDC3B	-1.5569
MTCP1	-0.755333333333333
WFDC10B	0.1636
PCDHGB3	0.242
ATRNL1	2.0809
CAV2	-1.190625
MED26	-0.2555
DUS1L	-0.212
CHRM3	-1.03075
NEK9	-0.3155
WARS2	-0.5875
TBX22	-1.136
TOMM40	-0.88325
RP6-213H19.1	-1.89
TUBGCP5	-0.1645
IGSF6	4.18575
TPPP	0.794666666666667
UNQ6190	0.4895
GSTM5	0.416
BTD	-0.366833333333333
PDCD1LG2	-0.243666666666667
SNRPB2	0.151833333333333
ERICH1	-0.954625
APOA4	-1.711375
HOXA11	-1.727
NARG1	-0.970375
MKX	-0.593
RAB28	-0.0892857142857142
PKP3	1.09325
SH3GL2	0.397
CTSO	2.26725
RPN2	-0.4471875
IL28RA	0.682833333333333
SFMBT1	0.9085
WDR57	-1.175875
FER1L3	1.63383333333333
HSF5	-0.305333333333333
TTC9B	0.145
C4BPA	-3.81916666666667
ALB	-5.18521428571429
SORBS3	0.6605
UPF2	0.329
JPH1	0.184
AGBL2	2.88025
DOPEY1	1.4085
TERF1	0.386916666666667
KIF22	-0.454333333333333
NINJ1	0.798
SEC61A2	0.481333333333333
HIST1H1D	-2.08016666666667
SFXN4	-1.023
UCP3	0.039
ZNF703	1.46466666666667
MYL6B	-0.089
TREM1	-0.09325
OR52E6	0.733
CKMT2	0.22875
HLA-C	0.324125
SLC13A3	-2.94966666666667
TIMP4	-2.07475
SLIT2	2.0145
RSF1	0.7585
LONRF1	-1.76171428571429
MON1A	-0.501
CACNG6	1.485
DPPA4	-5.34583333333333
ZSWIM3	-0.21375
ZNF804A	0.1585
CCIN	0.67775
SLC25A31	0.71575
KCNMB4	-0.87875
RABL5	0.721875
GALNS	-0.5667
STX6	0.88525
HIST1H1C	-0.7135
CIDEB	-0.966375
CASP4	-1.855
PDK3	-0.7399
KCNJ11	0.856
TPR	0.1795
ZSCAN20	0.7305
MTX2	-0.27925
HIST1H2BH	1.05075
LOC283767	0.46175
LYRM7	-1.38644444444444
BRD3	-0.233333333333333
HIST1H2BO	0.993
MAGEB10	-0.2685
SLC45A1	0.73075
SERPINA3	-0.748
KIAA0143	1.318
KCNJ16	0.00266666666666666
KRT79	-0.496
FABP2	-1.01175
NUT	-1.21875
ZNF57	-0.86525
FBXL4	1.877375
CLEC9A	-0.289
UGT8	-1.5895
BMP2K	-0.259
MAPK4	-3.38375
SLC25A23	-1.0652
HINT1	0.0883
KRTAP13-1	0.439
SFXN5	-0.5614
CHCHD2	-0.272083333333333
FAM3D	1.35
NDP	-3.369875
RHOBTB1	0.0638333333333333
SLC4A4	-1.2595
RPL38	0.849
HTF9C	-0.404833333333333
AP2A2	0.4535
ZBTB46	0.321
MAP7D1	-0.653
AOX1	-1.85183333333333
CYR61	-1.30058333333333
DTNA	-1.06271428571429
JRKL	-1.421
TMOD3	-0.05825
EEA1	0.0745
ADCK5	0.11375
IL1R1	0.831166666666667
KLK3	0.120571428571429
HRSP12	-0.1805
KTN1	1.11025
LOH11CR2A	-1.0515
RELL2	-0.2435
MAB21L1	1.66825
C20orf59	-0.342166666666667
PHKB	0.6675
ADAM2	-2.292
TBC1D8B	0.0405
FAM13A1	-1.4156875
LAPTM4B	0.0476666666666667
LCN8	0.0225
TMEM147	-0.18
SYT4	1.50183333333333
XPO7	-0.7745
C9orf62	-0.30275
GPR75	2.423
TRIM5	-1.603125
APOC1	-1.437
RNASE4	0.750833333333333
PARD6B	0.62225
ARID1A	-0.225
TPD52L3	0.0095
RRAGB	1.1235
RCN2	0.587
HIST2H2BE	0.6678125
STARD7	-0.17675
SHMT2	-1.27825
KIAA1751	-0.507333333333333
MLYCD	-0.348
LOC162632	0.3153
UQCRH	-0.83375
RP11-217H1.1	0.02525
SDHA	-1.243
NCLN	-1.2223
ZNF17	1.0505
RCBTB2	-2.3275
VEGFB	-0.0257
RP4-747L4.3	0.693
COLQ	0.3401
MPN2	-0.671
DRG2	-0.91325
KLRB1	3.8045
ALPK2	-4.046
DNASE2B	0.71
FLJ23834	0.231833333333333
AXUD1	-0.2055
SAFB	-0.5803
NSUN4	-0.5115
RFX2	0.480833333333333
MAPK8IP1	0.715166666666667
FANCD2	-0.319928571428571
ANKZF1	-1.83583333333333
C19orf50	-1.214875
DUSP8	0.62475
SENP5	0.438
NFKBIL2	-0.06675
LBR	-2.147375
IGFL1	1.481
LZTS2	1.117125
IL2RG	-1.33925
CCDC51	0.16975
KLF3	0.51875
ANKRD37	-1.89875
KCTD14	-2.11116666666667
FZR1	-0.188666666666667
SLC44A4	3.3782
ESPL1	0.179125
GMPR2	-0.1874
TBC1D19	-0.541
ERGIC1	1.38262962962963
ERBB4	4.2085
TSPAN32	-0.313333333333333
MAP4	-0.3855
GPHN	-0.2445
SLC6A2	0.296875
HIVEP1	0.71275
DFFB	0.1606
EIF4EBP2	0.120875
DMRT1	-0.90075
HSPB6	0.157
IER2	-0.741833333333333
AIFM1	-0.28925
WWC2	-1.0675
MRPL4	-1.0255
FLJ21062	0.935666666666667
EPB41L4A	1.53958333333333
SH2D6	0.24825
TAF4B	-1.02925
GAL3ST3	-0.219
MALT1	-0.638333333333333
RTDR1	2.19525
ARVCF	-0.223
MEX3B	0.294833333333333
FBXO16	0.77675
KIF7	-1.07925
C1QC	3.30733333333333
ZNF783	0.544333333333333
ZNF85	1.2115
MMP13	-0.403
KIAA0329	-0.668875
RTP3	0.584
ZBED3	-0.335
CLGN	0.63125
SLC25A37	-2.49433333333333
hCG_18290	0.015
OR5AS1	0.2225
SMARCC2	0.551583333333333
FAM109A	-0.219166666666667
CCDC12	0.07075
USF2	0.2086
DEPDC7	-3.56425
C20orf24	-0.251833333333333
JMJD3	0.687
DSP	2.97171428571429
SLIC1	-0.065875
FAM20A	-0.013375
IRF2BP2	1.10375
ZNF230	0.679
MSN	-2.01507142857143
SLC9A5	-1.786
EPDR1	-1.1935
MUSK	0.362666666666667
ZNF434	0.177
SMARCD1	-0.4415
