Hybridization REF	TCGA-A2-A04W-01A-31R-A115-07
CCDC95	-0.8455
HIGD1B	3.55525
USP6NL	0.85575
ABCD4	-0.9675
DIMT1L	-1.43733333333333
TEK	1.382625
SLC25A46	-0.3755
LARP7	-1.8057
CD160	0.037
MT1JP	-0.516833333333333
PHF20	-0.0764375
CPNE4	0.37025
GTPBP1	-0.2765
RAB33B	1.1255
ALDOC	-2.780375
ZNF212	-0.55225
NUDT1	-0.427333333333333
RFPL2	-0.48425
ZNF83	0.599833333333333
GDPD5	0.499625
PDCD4	0.5134
CEP350	0.423
OR10A2	0.000500000000000014
CST7	-0.56
CIAO1	-0.9305
SELL	0.13
OR8J3	0.192
LTBP4	-0.281833333333333
SIRT6	0.2125
CCL19	3.2785
PPIL1	-1.61033333333333
GBP7	-0.165166666666667
STK17A	0.2817
ABR	0.6405
OR9G1	0.0715
FOXE1	-0.382375
CNGA3	0.573
GML	0.9035
CD38	-2.67075
ZDHHC6	-0.0465
NEFH	-1.49925
CTDSP2	0.897583333333333
PGBD5	-0.981666666666667
CCNY	0.743785714285714
RMND5B	-0.679583333333333
ZNF257	-0.68125
FLJ22167	-0.017375
EXOSC7	-0.2905
ROR2	2.126875
MAOA	-2.050625
TNNT3	0.574
GYPC	-1.50325
C7orf33	0.5705
PLIN	0.188
LOC90826	-0.28575
RNF4	0.269
F8A1	0.206333333333333
PLEKHG4	-2.658
GRB2	-0.31115
HIST1H2AD	-0.33675
DUS3L	-1.32583333333333
EIF1	-0.638833333333333
RP5-1077B9.4	-1.3
FPGT	2.10275
GDF10	-0.0231666666666667
COQ9	0.10925
GCC2	0.344285714285714
RARRES3	2.592125
PLXNA1	-0.0649
KIAA0100	0.6029
PMF1	-0.32625
FNDC1	5.6355
HS2ST1	-0.44475
CRELD2	1.0245
C8G	-1.531
CD82	1.33725
LIM2	-0.911
UNQ6490	-0.1945
MMP16	0.155
DRD3	0.07375
C5orf26	-2.24525
C11orf73	-0.67525
PTP4A2	0.063
OR4M2	-0.1285
HPCA	-0.231166666666667
SEC14L1	0.517666666666667
CHFR	0.57175
EMILIN1	1.24625
NDUFS4	-0.49475
COL18A1	0.90175
PDZD3	0.168
C9orf16	0.217166666666667
ERBB2IP	-0.7105
EMX2	2.45975
FUS	-0.74525
TF	-3.5952
CLCN4	0.339833333333333
CXorf56	0.17275
C11orf72	0.4345
ELAC2	-0.41825
NPR1	-1.14275
ASS1	0.8325
USP42	-0.17025
POLR2J	-0.4235
SEC23IP	1.42266666666667
UQCRC1	-0.23075
LOC729603	-0.41175
C1orf71	-0.192875
POLG	-1.8265
ADAM23	-3.07675
TFR2	-1.023
RICTOR	-1.0081
MGC39606	2.22975
C19orf55	-0.283125
SNAPC1	-1.0935
GNA11	1.30675
CCDC52	0.576333333333333
FSIP1	2.2855
UPF3A	-0.31275
IGSF11	-1.75016666666667
LAGE3	-1.52625
CHST6	-0.969
UNC13B	-0.132875
TTLL4	-0.01125
ZNF687	0.517625
SDC2	-0.4167
COX7A2	-0.08825
LAMB4	-0.1045
FAM24A	0.4705
LRRTM3	-1.09816666666667
GPHB5	0.222
OR4C13	0.2445
EIF3EIP	0.2425
HABP4	-0.299
TMEM125	4.35525
CNTN2	0.25425
ASNSD1	-0.3405
FUT4	0.582
ACF	-2.79025
LOC158381	-0.305
CDH8	-0.35575
AGPS	0.0465
C4orf18	2.531875
PECI	-0.86
UNG	-0.83875
GSTP1	1.225875
DCUN1D5	-0.972
DKFZP564J0863	-0.3695
SLC9A3R1	0.77875
BCDO2	-0.499
CHMP7	0.4265
REM2	1.5805
DNHD1	-0.498875
FKBP4	-0.65775
ZNF350	2.60025
MGC11102	0.80725
BST1	0.89575
KISS1R	-0.304
NCR2	0.5085
DEFB125	0.373
UBE2W	0.962
KRT15	-2.335875
C10orf99	0.5425
SCN11A	-0.00474999999999998
GFI1	-2.44775
RDHE2	5.988
FHL1	-1.383
OSGEP	-1.12433333333333
GATA1	-3.54433333333333
SMC6	-0.893
TTTY14	-1.3245
LPIN3	-0.044
RPL4	-1.017
RBPMS	-0.0486
PRPF3	-0.269666666666667
EMR1	-0.997
SPATA19	0.16425
XCR1	0.373
IRX3	0.504
RBM6	-0.6715
KLF4	-0.1688
UNC5CL	0.7895
SEBOX	0.4585
BTK	-1.11225
KRCC1	0.8825
C6orf27	0.378
SYTL5	0.8385
PRND	3.134375
LOC653319	-1.4415
PIGL	-1.426125
HUS1	0.8445
SFRS6	0.740916666666667
C17orf77	0.8345
UIMC1	-0.8635
FXYD2	-1.648
LOC283152	-0.77475
ZNF667	1.386
ZCCHC12	-0.12675
TFEC	1.6523
ATP7B	0.122
POLD2	-0.4065
RG9MTD1	-0.023
ACOT2	-0.515333333333333
HIST1H4I	-1.578625
PPARGC1A	1.0311
ETFA	-0.3403
POLRMT	-1
ZNF146	0.889875
MIA2	-1.401
KLHL6	-0.828166666666667
HOXB5	-0.69775
NENF	0.9145
CUGBP1	-0.62775
PRSS22	2.51066666666667
CASC4	1.1401
CUL4B	0.2527
CENPJ	-0.0412
PITX1	1.74533333333333
FLJ31033	-0.180333333333333
CELSR3	-1.41633333333333
ZNF568	0.75575
ITSN1	-0.34875
EHBP1L1	-1.13666666666667
C19orf2	0.2615
DCTN1	0.052
LIN28B	-3.50283333333333
TNKS2	0.60675
C1QBP	-0.472375
CADPS2	2.61725
SRMS	0.15775
GJA9	0.327
MGC24975	-0.997
TRIM45	-1.60883333333333
TSP50	-0.2205
TCP1	-0.43925
TMED7	-0.3119
CMA1	0.1665
CENPL	-0.239666666666667
PTCRA	-0.0205
FST	-2.59225
VWCE	-3.10725
PAWR	-0.07525
ABCC12	0.978
LDLR	-0.3416
ASTN2	0.0239
LOC441212	-0.5375
GPATCH8	-0.336
TANC2	-0.0685
KIF4A	-1.687
C18orf18	-1.79225
PGM1	0.31425
KIAA0258	1.1375
CPD	1.39975
SNCAIP	-0.65225
DCT	-3.96916666666667
HLA-DOA	2.15531818181818
OR11L1	0.3895
UPK1B	-0.283
DNAJB4	1.077125
UGT1A8	-0.1615
HIST1H4L	-1.965
PECR	-0.740666666666667
HSPA2	1.68175
WFIKKN1	-2.353
SERP1	0.828125
SYDE2	1.2115
TACR2	0.0445
NUP85	-1.04675
CD177	-0.577833333333333
LGR5	-2.099
PIGG	-0.147833333333333
PTHR1	-0.753166666666667
RAB5A	0.7276
FLJ13224	-0.0095
USP9Y	-1.681
C7orf53	-0.703
LRP1B	-1.209
XAF1	1.2427
ABCG8	0.456
ANKDD1A	-0.365166666666667
DAND5	-2.091
SPAG6	0.1414
LINCR	-0.2255
ZDHHC22	-1.282125
CCDC60	0.1595
THOC7	-0.6695
TCTA	1.6803
OR8K3	0.84325
NY-REN-7	-0.451
B2M	1.23683333333333
C6orf141	-2.202375
LPPR4	2.531
SQLE	1.040375
SEPHS1	-0.03075
BTBD14B	0.247214285714286
PLRG1	-0.6415
SPG7	-0.37125
ZNF614	0.637666666666667
PARD6G	0.207333333333333
INPP5B	-1.2082
GRPEL2	0.018125
PPID	-0.9946
TRIM56	0.08575
UBE2J1	0.361125
IL20RA	3.6025
LOC387856	0.80475
C1orf107	0.572416666666667
UTS2R	-0.43025
C19orf22	0.608
SAFB2	-0.404125
KIAA0652	0.48225
KLRG1	-1.64466666666667
MS4A8B	1.99716666666667
FRAG1	0.08125
KIAA1546	-0.1945
E2F4	-0.9715
CLEC4M	0.186333333333333
BTBD14A	1.36125
KIAA0999	0.1554
GYPA	-3.10783333333333
TAC1	0.0401
TRAIP	-1.16633333333333
KIAA0232	1.4115
ERCC8	-1.15475
GPX4	0.17925
KIAA0368	-0.850375
GPR157	0.42
CTAGE4	1.1125
C9orf30	-0.502
OR52A1	0.1095
HSP90B3P	0.788
ALG9	-0.311
BTBD10	0.6625
SDK2	0.32225
BAIAP3	-0.84125
RABGGTB	-0.399125
ANKRD40	0.507333333333333
KRT74	0.4885
CALCOCO2	2.61107142857143
SNCA	-2.83225
TMSL8	-3.087375
C2orf53	0.4225
ESRRB	-0.271
ARHGAP26	-0.338
TDRD9	-1.7885
HRAS	0.275
KLRC4	-1.369
JAGN1	-0.506666666666667
BSDC1	0.8325
RNF43	-1.0092
NDUFAF1	-0.454
PHF12	0.48775
OR1L3	0.103
FOLR2	1.1975
LYZL6	-0.18
tcag7.1260	-0.7835
WSB1	-1.22783333333333
PROS1	-0.8533
OSTN	0.777
PSMB8	-0.669
SOCS4	-0.4
DDIT4L	1.27775
MAS1	-0.2725
MGC34796	0.57875
CSHL1	0.319833333333333
TBCCD1	-0.0936666666666667
ZBTB7C	0.1265
AP2S1	-0.276
P15RS	-0.0385
VAT1	-0.7612
SHANK3	0.471166666666667
TUFM	-0.883166666666667
THEG	-0.235
KRT34	-1.3205
SGSM3	0.73525
TOMM22	-0.542
SOCS3	1.926
CPO	0.0435
POP4	-0.20775
BHLHB3	2.24825
MALL	4.573
OR1B1	-0.0235
PARK2	-0.0891666666666667
GPR124	1.52375
LCE1E	0.66
RUVBL2	-0.699
CGRRF1	-0.0497
ACPL2	0.75
WNT10B	-1.864625
BAIAP2L2	-2.266625
ISCA1	0.5155
C1orf125	-0.073125
RPAP1	-1.63175
RAI16	-0.754166666666667
RPL27	-1.339875
NLRP9	0.164
EPN1	0.6515
LOC388610	-0.967875
SLC35A1	0.4204
GAL	-3.083
SLC14A2	0.3025
RDH11	-0.02
FAM138F	0.023
AUH	-0.7295
FLJ40243	0.0535
C14orf129	0.131666666666667
MBD2	0.427166666666667
ABHD14B	-0.274125
PIGT	0.28625
ALS2CR4	0.5635
ALAS1	0.28
FOXO1	1.37983333333333
CRLF3	-1.4545
C20orf107	0.123
FARS2	-0.57175
CCDC28A	-0.855
NPHP3	-0.8475
OR13F1	0.228
TSEN54	-1.15475
DEFB106B	0.0444
OR8B4	0.6075
STH	-0.51775
ZC3H14	-1.01675
CBX2	0.104
TMEM49	-0.67275
C6orf21	0.515
FLJ20920	3.28825
CRTAP	0.552214285714286
DDX50	-0.8065
STYXL1	0.34025
BLVRB	-0.776333333333333
LOC147650	0.0313333333333333
MMP24	0.3305
GRID1	2.2695
BANF1	0.158166666666667
CTAGEP	0.82125
HMBS	-2.5035
SLC25A24	0.2855
C14orf50	0.29475
MRO	1.08333333333333
SLC25A15	-0.181
FAM84B	1.0693
TDP1	-1.0805
C16orf78	-0.254833333333333
C11orf57	0.287625
RFK	-0.469625
ZFYVE9	0.159
STCH	-0.0908
WIBG	0.1535
LOC283871	-0.391666666666667
GBA2	-0.3314
NDUFB3	-0.11025
HSD17B13	-0.29075
GRIN3A	0.345
FMNL1	-1.248
SEPT7	-0.2399
GNLY	1.995
GRAMD1C	-1.16233333333333
ZNF165	-0.422
USP38	1.11725
FAM83A	-2.61166666666667
C14orf24	1.26958333333333
ARMCX3	2.0595
ARHGDIB	1.06166666666667
AK1	1.007375
KIAA1045	-0.07175
DNAJB13	-0.1635
NEU2	0.0805
HIST1H4B	-1.452
FAM20B	-0.00540000000000001
HES2	1.69785714285714
FAM73B	-0.4081
LOC388381	0.000749999999999973
INTS7	-0.688454545454545
AMPH	1.342
ZNF775	-0.663375
UCKL1	-1.25516666666667
C10orf97	1.40625
C1orf161	0.541
ALDH1L1	-0.97
FLJ39378	0.117
SLC23A1	-2.0875
RBM4B	-0.032
THAP4	0.281666666666667
OGFRL1	1.41025
KIAA0831	-0.375625
PPP1R15A	1.23566666666667
C1orf96	0.754785714285714
C12orf11	-0.9675
BMF	0.3895
MAN1A1	-0.07075
KIAA1600	1.00633333333333
NLGN4X	-0.36675
ALOX12	-0.957333333333333
RB1CC1	-0.5066
NEIL2	-0.1822
EIF4E	0.0649545454545455
ABHD5	0.8125
EXOC4	-0.685666666666667
CIP29	0.447666666666667
BATF2	1.55175
SLC29A4	0.495875
HTR4	0.26275
EMB	-2.52575
TRAF6	0.6595
LMNB1	-3.39
FAM19A5	0.97575
SHE	2.6445
PIK3C2B	1.9095
C15orf15	-0.6165
USP15	0.0887
TCEAL2	0.02575
C5orf39	-0.870666666666667
PTGER2	-0.94125
SLC31A1	-0.07925
IFT172	0.00475
ADAM29	0.9805
GFOD1	-0.3705
ST7L	-0.444
C15orf26	-3.37125
PKN3	-0.49475
CNTD1	1.2125
COMMD1	-0.2065
NTRK2	1.50966666666667
FOXN3	0.183625
MFGE8	0.1296
PFKFB2	1.43533333333333
TAS2R4	-0.157
ENTHD1	1.5935
PRMT5	-1.457625
MGC16384	-2.058125
LOC442229	0.3835
TSKU	1.63825
KRTCAP3	-2.867625
PDLIM1	0.7356
KCNS2	0.61275
RNF126	-0.152
CEP63	-0.148
CLIC4	1.14825
hCG_1990170	-1.0335
ACR	0.5141
KLK7	5.149
ALOX5AP	2.122125
RIPK3	1.4965
TAS2R9	-0.0455
C19orf18	2.122
BIRC6	0.661071428571429
ZNF16	0.8135
RFT1	-0.2425
SLC8A2	-0.015
TACC1	0.749
ITGAD	0.596
SAMHD1	0.3595
SH3PXD2B	1.8185
EPC2	0.68075
C20orf85	0.29325
ATP13A2	0.316833333333333
KRT4	4.1935
CAPNS1	0.15575
MDM2	-1.17858333333333
PCDH20	3.326
KCNK9	0.6805
OR2C1	-0.0905
KLHDC3	-1.19666666666667
IPPK	0.423
EFHD2	-0.24375
GALR3	-0.835
NBEA	0.1835
ABCA6	2.5828
CLDN3	1.88583333333333
AKT2	-0.817714285714286
EGFR	-0.5356
RBM16	0.0105
ZDHHC3	0.7081
SLC25A4	-0.126666666666667
CYB5B	-0.467833333333333
CPXM1	0.7305
NDRG1	-0.824538461538461
FLJ43826	0.54925
OR5L2	0.734833333333333
FARP2	0.1779
MRPL46	-1.66416666666667
LDHAL6B	-0.2855
MAPKAPK3	0.488833333333333
NCAM2	-3.75125
PRKD2	0.544
ZFP36L1	1.5083
CYSLTR1	1.93675
OR4C3	0.34
HIST1H2AJ	1.004
CCNB2	-2.11688888888889
ZNF10	0.136875
TMEM175	0.1545
FAM134A	0.507166666666667
TIGD4	-0.159
PCNP	-0.1645
MGC39715	0.1965
LQK1	-2.5255
CREB1	0.2719
TMPRSS3	0.2235
C4orf32	-0.492625
LAT	-2.28
KCNA3	0.1435
SKIV2L2	-1.22825
ROPN1B	-1.316
tcag7.23	-0.373
CDT1	-2.830625
ZHX2	0.585375
CD28	-3.302
ZNF624	1.36325
SEPT2	0.943333333333333
SOHLH2	-1.523375
MCOLN3	0.68725
UNQ1945	0.3725
MASP2	-0.6895
ZNRF3	0.2112
GPATCH3	-0.508
AGL	0.69675
QRICH2	-0.414
PSD4	0.416166666666667
CCNB1IP1	-1.7005
ENPP7	0.5185
OBFC1	-0.25225
KCNG3	-2.241
C14orf79	0.39425
ENPEP	2.26916666666667
SCT	2.386
SKI	0.64875
SEC61G	0.996
CAPN11	-0.75475
ATXN7L3	-0.4655
DBNDD1	1.0165
FAIM	0.936
ANKRD36	-1.267
GABRP	4.08966666666667
TACSTD2	3.49866666666667
EIF3J	-0.8285
PPP2R2A	-0.42575
TEKT4	0.0158333333333333
PVALB	-3.01966666666667
F10	-1.96916666666667
FAM134C	0.3346
COMP	4.8725
EFCBP1	-2.7475625
SCLT1	-0.699125
TAL1	-0.9435
ACSL1	3.20525
ABCC5	-0.123416666666667
ABL1	-0.238
RBBP7	-1.24575
PTPRG	-0.13775
NCOR1	-0.4877
SPINK4	-1.58333333333333
TXNRD1	-0.7217
TNRC15	0.22375
C9orf138	0.539625
UBE2H	1.95283333333333
BRDT	0.279166666666667
C8orf31	0.3115
CCNE2	-1.96772727272727
SLC6A8	-0.453125
CALCR	-4.10125
PPP1CB	1.008
ABHD8	0.53
ARF5	0.8563
SLC24A4	0.39325
CCT3	-0.36475
ZNF121	1.15525
SLC3A2	-0.9546
OR13A1	0.143
SLC5A10	-0.24625
RAD50	-0.804625
IER5	-0.304125
MTHFD1L	-1.522875
MBTPS2	2.3065
MVK	0.218
NCL	0.1562
PSMD10	0.20125
MOBP	0.579875
FLJ32894	0.552
HRH1	0.112
C5orf30	-0.73175
NUDT16L1	-0.0553
RASGRP3	3.48566666666667
PRKRIP1	-0.5898
CCDC75	-0.51275
LOC253970	-0.0165
KIAA1239	0.488
MED21	-0.4005
SYT11	0.0558333333333334
NTSR2	-0.4255
EGFL11	-0.067
CXorf59	0.3495
OR2A25	0.54675
SPTBN2	0.60875
LRMP	-1.616
RNF111	-0.02175
PTH	0.5105
LOC619208	0.7765
KIAA0895	1.3315
RANBP5	-0.446375
P2RY10	0.473
NME5	3.7915
DDX21	-0.991
LRSAM1	-0.351
HDAC11	1.2975
VMO1	2.18875
NOLA2	-1.173
ADAR	0.5355
MTO1	-1.57433333333333
SF4	0.254166666666667
P2RX1	-0.004
HBM	0.05825
EN2	-0.29
C14orf172	0.36875
TM9SF2	1.7067
INHBE	-0.5185
TCTE3	-0.0734166666666667
TOX2	-3.184
CTAGE3	0.896375
HBB	3.5343
MED15	-0.358
CASR	0.40425
C6orf66	-0.872333333333333
MTPN	0.26825
UNC50	-0.39225
C21orf33	-0.511375
IRF2	0.30625
PGR	-2.18016666666667
GPR84	1.354
CROCCL1	-3.37425
SRPX	-1.85775
BRE	0.186833333333333
FGF10	0.9455
SDC3	2.04216666666667
ZRSR1	0.710166666666667
DKFZP434P211	-0.53525
SOX6	0.369
RPUSD2	-1.0035
C14orf173	0.69175
MAPK11	0.528166666666667
TBC1D22A	0.769
FAM123A	-0.442
COL4A6	-3.62266666666667
TOMM70A	0.3265
NAB1	-0.32175
MGC16385	-0.249875
TSPAN18	-0.0756666666666667
MED31	0.17025
PLG	-0.41775
CAPSL	4.1525
ZNF532	1.9168
ASB14	-0.03025
CA8	-3.1775
NUDT16P	-0.655833333333333
SLFN11	-0.4075
LRRIQ2	-0.64775
NOL7	-0.721666666666667
BRMS1L	-0.25975
JARID1A	0.468333333333333
PANK2	-0.17575
ICAM3	-0.54175
MDS1	-0.31375
TAF8	-0.91825
RNF139	1.08825
ZNF594	-0.3115
ADAM8	0.625125
SFTPC	1.9435
MAN2B2	1.928375
RGS12	0.011375
EIF1AY	-3.94066666666667
LRRIQ1	-1.78816666666667
GPR150	-0.819
CCDC21	-1.406
PRRG3	0.5145
SAA4	-3.93025
RAPGEF5	0.1475
ZCCHC2	-0.011
MGC39372	-0.1865
PPP4R2	0.572166666666667
CDCA2	-1.545
OR4D5	0.554333333333333
PTGFRN	2.3572
SIGLEC5	1.3115
C19orf61	-0.35
NMUR2	0.6105
KIAA1586	-1.65083333333333
DAGLA	-0.0111666666666667
CHCHD6	-0.41375
GPR32	1.1565
NEUROD6	0.061
SLC2A4RG	0.318875
CA5B	0.30025
FBXL3	0.94975
MPHOSPH9	-1.6425
HMG2L1	0.80275
HCN4	-0.890666666666667
CEACAM19	1.12925
SH2D4B	0.504833333333333
HFE2	-0.584
TGM4	0.108
LYPD2	0.322
TBC1D15	-0.152
MRPS21	-0.1663
NONO	-1.3541
CLEC5A	1.13925
ITCH	0.5831
MGAT3	-0.612333333333333
MBP	-0.95925
RPP25	-0.51625
SOSTDC1	3.47675
HRC	-1.3765
TRIM48	0.1215
TMEM133	0.50025
ECEL1P2	-1.1285
HOXC11	0.318
DOK5	-0.01075
HELZ	-0.277166666666667
LOC348180	-0.38025
MGC33894	0.3795
ADRB3	0.2965
DMD	0.0918333333333333
PTRH2	-0.4455
MPEG1	2.05233333333333
NDUFA12	-0.4085
KRTAP2-4	0.114666666666667
STAMBPL1	-1.47683333333333
ADCY2	2.02866666666667
UNQ6125	0.4125
KLHL20	0.264166666666667
SRM	-1.1215
OTC	0.2995
TMIE	0.0333333333333333
SNX8	0.0435
LIPK	-0.9565
CHURC1	-0.825166666666667
KLC2	0.254666666666667
HDAC1	0.147833333333333
FAM128A	-0.128333333333333
FNDC3B	0.5403
MTCP1	-0.4015
WFDC10B	0.00850000000000001
PCDHGB3	0.358
ATRNL1	-3.0779
CAV2	-0.140875
MED26	0.053
DUS1L	0.32175
CHRM3	-1.87375
NEK9	-0.42375
WARS2	0.41
TBX22	-0.134
TOMM40	-0.0955
RP6-213H19.1	-0.7185
TUBGCP5	-0.4825
IGSF6	3.85075
TPPP	2.706
UNQ6190	0.401
GSTM5	0.71825
BTD	0.136
PDCD1LG2	-0.319
SNRPB2	-0.472333333333333
ERICH1	-0.643
APOA4	-1.35925
HOXA11	-0.26775
NARG1	-0.39825
MKX	-0.65825
RAB28	-0.604571428571429
PKP3	1.143
SH3GL2	-1.57525
CTSO	2.37275
RPN2	0.7788125
IL28RA	-0.303666666666667
SFMBT1	-0.0495
WDR57	-1.2245
FER1L3	0.445833333333333
HSF5	0.42
TTC9B	0.022
C4BPA	0.379833333333333
ALB	-4.448
SORBS3	0.35625
UPF2	0.0835
JPH1	-0.8165
AGBL2	-2.61025
DOPEY1	1.3585
TERF1	0.239666666666667
KIF22	-1.53533333333333
NINJ1	0.67625
SEC61A2	0.518
HIST1H1D	-0.7235
SFXN4	0.221375
UCP3	-0.1719
ZNF703	0.308333333333333
MYL6B	-0.95
TREM1	2.81925
OR52E6	0.5875
CKMT2	1.908
HLA-C	1.392375
SLC13A3	-1.65083333333333
TIMP4	-3.448
SLIT2	2.596
RSF1	0.512388888888889
LONRF1	-0.681214285714286
MON1A	0.0835
CACNG6	-1.10883333333333
DPPA4	-5.39483333333333
ZSWIM3	-0.42825
ZNF804A	0.200333333333333
CCIN	1.91575
SLC25A31	0.20825
KCNMB4	1.45275
RABL5	1.669875
GALNS	-0.236
STX6	0.817875
HIST1H1C	-0.808833333333333
CIDEB	-1.214
CASP4	-0.701666666666667
PDK3	-0.7765
KCNJ11	0.268
TPR	-0.581
ZSCAN20	-0.5595
MTX2	0.11825
HIST1H2BH	-0.156
LOC283767	0.91325
LYRM7	-1.72544444444444
BRD3	0.3575
HIST1H2BO	-0.485
MAGEB10	0.401
SLC45A1	1.3705
SERPINA3	-1.1086
KIAA0143	1.31575
KCNJ16	-0.00833333333333332
KRT79	0.39525
FABP2	-0.593
NUT	-0.1475
ZNF57	-0.24675
FBXL4	-0.434625
CLEC9A	0.7645
UGT8	-1.38266666666667
BMP2K	0.129
MAPK4	-3.30575
SLC25A23	-0.1287
HINT1	-0.512
KRTAP13-1	0.414
SFXN5	-0.1303
CHCHD2	0.180666666666667
FAM3D	4.4485
NDP	-3.063875
RHOBTB1	-0.667666666666667
SLC4A4	4.505625
RPL38	0.55175
HTF9C	-0.0475
AP2A2	0.222625
ZBTB46	-0.111
MAP7D1	0.609375
AOX1	-2.02616666666667
CYR61	2.41991666666667
DTNA	0.4985
JRKL	1.06175
TMOD3	-0.064
EEA1	1.1341
ADCK5	-0.37175
IL1R1	2.62683333333333
KLK3	0.0188571428571428
HRSP12	-0.872
KTN1	-0.469
LOH11CR2A	2.0902
RELL2	-0.97975
MAB21L1	1.90775
C20orf59	-0.920833333333333
PHKB	1.0535
ADAM2	-2.36633333333333
TBC1D8B	2.94233333333333
FAM13A1	-0.443125
LAPTM4B	-1.08575
LCN8	0.1825
TMEM147	0.4465
SYT4	0.460666666666667
XPO7	-0.974
C9orf62	-1.20425
GPR75	0.1545
TRIM5	1.131
APOC1	0.4015
RNASE4	0.894166666666667
PARD6B	-3.223875
ARID1A	0.237666666666667
TPD52L3	0.337
RRAGB	1.211
RCN2	-0.821833333333333
HIST2H2BE	-0.064375
STARD7	0.0775
SHMT2	0.18775
KIAA1751	-0.0331666666666667
MLYCD	0.266
LOC162632	-0.9795
UQCRH	0.73075
RP11-217H1.1	0.818625
SDHA	-0.840833333333333
NCLN	0.2689
ZNF17	1.1105
RCBTB2	-1.1895
VEGFB	-0.2485
RP4-747L4.3	-1.79075
COLQ	0.0875
MPN2	-0.970833333333333
DRG2	-0.89225
KLRB1	4.60675
ALPK2	-1.21075
DNASE2B	3.786
FLJ23834	-0.385166666666667
AXUD1	1.73533333333333
SAFB	-0.7692
NSUN4	-0.07775
RFX2	0.464333333333333
MAPK8IP1	-0.17
FANCD2	-0.00507142857142858
ANKZF1	-1.45133333333333
C19orf50	-0.285125
DUSP8	1.783
SENP5	0.585125
NFKBIL2	-0.404
LBR	-1.018625
IGFL1	-0.435
LZTS2	-0.015375
IL2RG	-0.7615
CCDC51	-0.61375
KLF3	0.96575
ANKRD37	-0.31025
KCTD14	-1.98183333333333
FZR1	-0.229166666666667
SLC44A4	3.9249
ESPL1	-1.01975
GMPR2	-0.6523
TBC1D19	-0.194833333333333
ERGIC1	0.65162962962963
ERBB4	2.1061
TSPAN32	0.165833333333333
MAP4	0.5685
GPHN	-0.6465
SLC6A2	-0.08625
HIVEP1	0.501
DFFB	-0.6186
EIF4EBP2	0.609
DMRT1	3.16325
HSPB6	-0.19375
IER2	1.67133333333333
AIFM1	0.64025
WWC2	0.01875
MRPL4	-0.822
FLJ21062	1.48383333333333
EPB41L4A	0.79
SH2D6	0.29775
TAF4B	-1.22175
GAL3ST3	-0.033
MALT1	-0.0761666666666667
RTDR1	0.18325
ARVCF	0.215375
MEX3B	-0.342666666666667
FBXO16	0.94375
KIF7	-0.41725
C1QC	4.12083333333333
ZNF783	-0.7695
ZNF85	0.84225
MMP13	4.197
KIAA0329	0.085625
RTP3	-0.5075
ZBED3	-0.78525
CLGN	-2.117
SLC25A37	-1.59158333333333
hCG_18290	-0.38125
OR5AS1	0.5735
SMARCC2	-0.420583333333333
FAM109A	0.2075
CCDC12	0.07025
USF2	0.1457
DEPDC7	-1.4965
C20orf24	0.528833333333333
JMJD3	1.0135
DSP	0.385071428571429
SLIC1	-0.085375
FAM20A	1.603375
IRF2BP2	0.260875
ZNF230	0.445
MSN	-0.264928571428571
SLC9A5	-1.742
EPDR1	-1.9672
MUSK	0.1925
ZNF434	0.334166666666667
SMARCD1	-0.889333333333333
ZFP106	-0.736
