Hybridization REF	TCGA-D8-A13Z-01A-11R-A115-07
POU3F1	-1.3598
C20orf32	-1.7325
CCDC95	-0.3165
HIGD1B	4.2525
USP6NL	1.1355
ABCD4	-0.996833333333333
DIMT1L	-1.24508333333333
TEK	1.100875
SLC25A46	-1.0825
LARP7	-1.3473
CD160	1.09116666666667
MT1JP	0.125333333333333
PHF20	0.243875
CPNE4	2.45375
GTPBP1	-0.177357142857143
RAB33B	0.858666666666667
ALDOC	-0.978375
ZNF212	-0.16425
NUDT1	0.0955
RFPL2	-0.69075
ZNF83	-0.292
GDPD5	-0.2565
PDCD4	0.66805
CEP350	0.70475
OR10A2	0.6925
CST7	1.69375
CIAO1	-0.0755
SELL	1.981
OR8J3	-0.2305
LTBP4	-0.756166666666667
SIRT6	0.46475
CCL19	4.38375
PPIL1	0.247666666666667
GBP7	0.1644
STK17A	-0.5326
ABR	0.6875
OR9G1	0.782
FOXE1	-1.051125
CNGA3	1.351
GML	0.234
CD38	-1.365
ZDHHC6	-0.133166666666667
NEFH	-2.51525
CTDSP2	0.25075
PGBD5	2.46283333333333
CCNY	0.979
RMND5B	0.0368333333333333
ZNF257	-0.4555
FLJ22167	-0.640375
EXOSC7	-0.167833333333333
ROR2	0.888375
MAOA	0.115125
TNNT3	-0.190833333333333
GYPC	-1.10325
C7orf33	-1.324
PLIN	0.323166666666667
LOC90826	0.81025
RNF4	-0.4145
F8A1	1.25
PLEKHG4	-2.09475
GRB2	-0.05695
HIST1H2AD	-0.98125
DUS3L	-0.378333333333333
EIF1	-0.776166666666667
RP5-1077B9.4	-0.931833333333333
FPGT	0.9945
GDF10	-0.240833333333333
COQ9	-0.021
GCC2	-0.255642857142857
RARRES3	1.98325
PLXNA1	-0.2313
KIAA0100	-0.7378
PMF1	0.50825
FNDC1	5.16
HS2ST1	-0.177833333333333
CRELD2	0.76825
C8G	-0.2275
CD82	1.2885
LIM2	-1.146
UNQ6490	-0.271
MMP16	0.169
DRD3	-0.0545
C5orf26	-2.46075
C11orf73	0.1005
PTP4A2	0.64225
OR4M2	-0.00650000000000001
HPCA	-0.3895
SEC14L1	-0.141166666666667
CHFR	0.684
EMILIN1	1.4525
NDUFS4	-0.98125
COL18A1	0.269875
PDZD3	-0.0229
C9orf16	0.342
ERBB2IP	-0.224
EMX2	3.92025
FUS	-0.09525
TF	-0.0875
CLCN4	1.148
CXorf56	0.419
C11orf72	0.381
ELAC2	-0.660166666666667
NPR1	-0.128
ASS1	-1.05616666666667
USP42	-0.248875
POLR2J	-1.058
SEC23IP	0.499666666666667
UQCRC1	-0.13125
LOC729603	-0.7025
C1orf71	-0.584625
POLG	-1.6835
ADAM23	-3.409
TFR2	-1.03025
RICTOR	-1.1503
MGC39606	0.9515
C19orf55	-0.1165
SNAPC1	-0.303833333333333
GNA11	0.907875
CCDC52	1.04933333333333
FSIP1	-0.307
UPF3A	-0.96025
IGSF11	-2.449
LAGE3	0.68825
CHST6	-0.161
UNC13B	1.069375
TTLL4	0.02725
ZNF687	0.360875
SDC2	0.132
COX7A2	0.2275
LAMB4	-0.3385
FAM24A	-0.164
LRRTM3	-1.39616666666667
GPHB5	-0.50325
OR4C13	-1.696
EIF3EIP	-0.715857142857143
HABP4	-0.7275
TMEM125	3.3345
CNTN2	0.26025
ASNSD1	-0.75725
FUT4	0.56475
ACF	-4.22975
LOC158381	0.519
CDH8	0.14225
AGPS	-0.123833333333333
C4orf18	2.9915
PECI	-0.0625833333333333
UNG	0.199375
GSTP1	0.630875
DCUN1D5	-0.654833333333333
DKFZP564J0863	-0.0835
SLC9A3R1	0.16875
BCDO2	-1.174125
CHMP7	-0.37125
REM2	1.6925
DNHD1	-0.84325
FKBP4	-1.069625
ZNF350	1.60525
MGC11102	0.237125
BST1	1.60425
KISS1R	-0.17
NCR2	0.6865
DEFB125	-1.3415
UBE2W	0.38975
KRT15	0.75375
C10orf99	0.3305
SCN11A	-0.076875
GFI1	-1.78975
RDHE2	4.635
FHL1	-0.991666666666667
OSGEP	0.841666666666667
GATA1	-3.823
SMC6	-0.21
TTTY14	-0.97175
LPIN3	0.1415
RPL4	-1.0823
RBPMS	-0.6351
PRPF3	-0.144
EMR1	-1.568
SPATA19	-0.01025
XCR1	0.4195
IRX3	0.7554
RBM6	-0.76275
KLF4	0.436
UNC5CL	0.59425
SEBOX	0.7205
BTK	-0.20475
KRCC1	0.85725
C6orf27	0.0965
SYTL5	-0.7865
PRND	3.61075
LOC653319	-1.0885
PIGL	-0.88975
HUS1	-0.640833333333333
SFRS6	0.182083333333333
C17orf77	0.804
UIMC1	-0.414166666666667
FXYD2	-1.7243
LOC283152	0.786
ZNF667	0.63
ZCCHC12	0.0275
TFEC	3.672
ATP7B	0.738666666666667
POLD2	-0.609
RG9MTD1	0.0755
ACOT2	0.947666666666667
HIST1H4I	-1.192875
PPARGC1A	0.0204
ETFA	-0.0627
POLRMT	-0.06425
ZNF146	0.553875
MIA2	-4.3845
KLHL6	-0.0806666666666667
HOXB5	0.259375
NENF	1.35233333333333
CUGBP1	-0.33175
PRSS22	1.934
CASC4	1.2449
CUL4B	0.2621
CENPJ	-1.7916
PITX1	1.53
FLJ31033	2.30616666666667
CELSR3	-0.601666666666667
ZNF568	0.7635
ITSN1	-0.399083333333333
EHBP1L1	-0.552333333333333
C19orf2	0.31925
DCTN1	0.6125
LIN28B	-4.5065
TNKS2	-2.31475
C1QBP	-0.893625
CADPS2	2.4995
SRMS	0.958
GJA9	0.188833333333333
MGC24975	0.163333333333333
TRIM45	-0.356166666666667
TSP50	-0.49025
TCP1	-0.231
TMED7	-0.2759
CMA1	0.9155
CENPL	0.149333333333333
PTCRA	0.872
FST	-3.9135
VWCE	-3.21575
PAWR	-0.24075
ABCC12	0.345333333333333
LDLR	0.2953
ASTN2	-0.3941
LOC441212	-0.766375
GPATCH8	-0.11925
TANC2	-0.394666666666667
KIF4A	-0.4795
C18orf18	-0.6435
PGM1	0.08475
KIAA0258	1.39825
CPD	1.007
SNCAIP	-1.04075
DCT	-4.61783333333333
HLA-DOA	3.10095454545455
OR11L1	0.316
UPK1B	3.2475
DNAJB4	-0.23075
UGT1A8	-0.31525
HIST1H4L	-2.51
PECR	-1.74733333333333
HSPA2	1.7305
WFIKKN1	-1.009
SERP1	1.03575
SYDE2	-1.0135
TACR2	-0.1315
NUP85	-0.4645
CD177	0.308833333333333
LGR5	-1.57566666666667
PIGG	-0.7605
PTHR1	-1.88983333333333
RAB5A	0.1844
FLJ13224	0.483
USP9Y	-2.2015
C7orf53	-1.371
LRP1B	-1.07125
XAF1	2.8995
ABCG8	-1.061
ANKDD1A	-0.220833333333333
DAND5	-0.2765
SPAG6	2.4865
LINCR	3.2355
ZDHHC22	-1.633125
CCDC60	2.0005
THOC7	-1.35816666666667
TCTA	0.0108
OR8K3	0.02375
NY-REN-7	-1.03875
B2M	2.32716666666667
C6orf141	-0.362875
LPPR4	1.9635
SQLE	0.341125
SEPHS1	0.3645
BTBD14B	0.390642857142857
PLRG1	-0.25625
SPG7	-0.74275
ZNF614	1.26783333333333
PARD6G	0.407666666666667
INPP5B	0.3521
GRPEL2	0.1335
PPID	0.195
TRIM56	-0.33775
UBE2J1	0.817625
IL20RA	3.9835
LOC387856	0.0505
C1orf107	1.01533333333333
UTS2R	-0.07875
C19orf22	0.43475
SAFB2	-0.558625
KIAA0652	-0.020375
KLRG1	-0.737666666666667
MS4A8B	4.64566666666667
FRAG1	0.67475
KIAA1546	0.03175
E2F4	-0.9159
CLEC4M	-0.265166666666667
BTBD14A	-0.93525
KIAA0999	0.086
GYPA	-3.96533333333333
TAC1	0.0455
TRAIP	-0.556166666666667
KIAA0232	0.0281
ERCC8	-1.311
GPX4	0.445875
KIAA0368	-0.729375
GPR157	-1.1665
CTAGE4	1.346
C9orf30	-0.719166666666667
OR52A1	0.3405
HSP90B3P	0.049
ALG9	-0.0358
BTBD10	0.76925
SDK2	0.26225
BAIAP3	0.6385
RABGGTB	-1.44
ANKRD40	0.00583333333333334
KRT74	1.204
CALCOCO2	-0.583428571428571
SNCA	-2.85375
TMSL8	-0.23825
C2orf53	0.2595
ESRRB	-0.80825
ARHGAP26	0.749
TDRD9	-2.249
HRAS	0.390833333333333
KLRC4	-1.677
JAGN1	-0.708666666666667
BSDC1	0.72775
RNF43	0.113
NDUFAF1	-0.402
PHF12	0.47025
OR1L3	0.1775
FOLR2	2.5855
LYZL6	0.0243333333333333
tcag7.1260	0.7495
WSB1	-1.4745
PROS1	-0.9638
OSTN	1.0005
PSMB8	0.29375
SOCS4	1.398125
DDIT4L	0.822
MAS1	-0.199
MGC34796	0.45125
CSHL1	0.2515
TBCCD1	0.549333333333333
ZBTB7C	0.2875
AP2S1	0.724125
P15RS	-0.8575
VAT1	-0.5109
SHANK3	0.954666666666667
TUFM	-0.614833333333333
THEG	-0.1115
KRT34	-2.02025
SGSM3	-1.82775
TOMM22	-0.747625
SOCS3	0.804666666666667
CPO	0.8855
POP4	0.55325
BHLHB3	0.9365
MALL	3.8985
OR1B1	0.035
PARK2	0.181666666666667
GPR124	0.683
LCE1E	-0.318
RUVBL2	-0.46925
CGRRF1	1.4241
ACPL2	0.401
WNT10B	-2.46875
BAIAP2L2	-2.51825
ISCA1	-0.003
C1orf125	0.054875
RPAP1	-1.024
RAI16	-0.569333333333333
RPL27	-1.05925
NLRP9	-0.2805
EPN1	0.3735
LOC388610	-1.37175
SLC35A1	0.951
GAL	-3.64225
SLC14A2	0.249
RDH11	0.164166666666667
FAM138F	-0.145
AUH	-0.97
FLJ40243	-0.13
C14orf129	0.00483333333333332
MBD2	-1.10516666666667
ABHD14B	-0.697375
PIGT	0.5465
ALS2CR4	0.167875
ALAS1	0.604
FOXO1	0.9705
CRLF3	-0.27125
C20orf107	-0.1435
FARS2	0.61075
CCDC28A	0.77475
NPHP3	-0.7965
OR13F1	0.3855
TSEN54	-0.591
DEFB106B	-0.0542
OR8B4	0.5245
STH	0.1045
ZC3H14	-0.264625
CBX2	-0.426
TMEM49	-0.90425
C6orf21	0.5275
FLJ20920	0.174
CRTAP	-0.731571428571429
DDX50	0.50325
STYXL1	-0.37375
BLVRB	0.411333333333333
LOC147650	-0.789333333333333
MMP24	-0.205
GRID1	1.22166666666667
BANF1	-0.4935
CTAGEP	1.99
HMBS	-1.668
SLC25A24	-0.113833333333333
C14orf50	0.0965
MRO	1.33283333333333
SLC25A15	-0.519
FAM84B	1.5198
TDP1	-0.4125
C16orf78	-0.768333333333333
C11orf57	-1.12725
RFK	-0.14175
ZFYVE9	-0.68325
STCH	-0.2267
WIBG	0.96275
LOC283871	0.097
GBA2	-0.2175
NDUFB3	-0.2175
HSD17B13	-0.7415
GRIN3A	2.3215
FMNL1	-0.218
SEPT7	-0.8244
GNLY	4.352
GRAMD1C	0.273166666666667
ZNF165	0.8945
USP38	0.38275
FAM83A	-1.98583333333333
C14orf24	2.3575
ARMCX3	1.270125
ARHGDIB	0.541833333333333
AK1	0.4465
KIAA1045	0.446
DNAJB13	-0.643166666666667
NEU2	1.118
HIST1H4B	-1.66733333333333
FAM20B	0.8023
HES2	1.31607142857143
FAM73B	-0.5688
LOC388381	-0.81225
INTS7	1.26009090909091
AMPH	1.27425
ZNF775	-0.25825
UCKL1	1.19316666666667
C10orf97	2.00175
C1orf161	1.52375
ALDH1L1	-2.0385
FLJ39378	0.15125
SLC23A1	-2.8465
RBM4B	0.502
THAP4	0.235333333333333
OGFRL1	-0.43375
KIAA0831	1.268375
PPP1R15A	0.550833333333333
C1orf96	-0.0787857142857143
C12orf11	-0.207
BMF	0.79925
MAN1A1	-1.016125
KIAA1600	0.00433333333333334
NLGN4X	0.438
ALOX12	-1.64783333333333
RB1CC1	-1.0415
NEIL2	-0.769
EIF4E	-0.283181818181818
ABHD5	-0.171
EXOC4	-0.249
CIP29	0.589833333333333
BATF2	1.626
SLC29A4	-0.445625
HTR4	0.211
EMB	-1.276
TRAF6	1.04375
LMNB1	-1.5705
FAM19A5	-0.933375
SHE	2.34325
PIK3C2B	1.14225
C15orf15	-1.2329
USP15	0.254
TCEAL2	1.06825
C5orf39	-0.172166666666667
PTGER2	-0.8925
SLC31A1	0.4184375
IFT172	1.316
ADAM29	0.3245
GFOD1	-0.52325
ST7L	0.664666666666667
C15orf26	-3.5285
PKN3	-1.22425
CNTD1	1.30816666666667
COMMD1	1.141375
NTRK2	1.982
FOXN3	0.1245
MFGE8	0.6416
PFKFB2	1.14316666666667
TAS2R4	-0.453
ENTHD1	2.831
PRMT5	-0.18575
MGC16384	-1.15975
LOC442229	0.55475
TSKU	0.41425
KRTCAP3	3.036375
PDLIM1	0.7197
KCNS2	0.1225
RNF126	-0.108666666666667
CEP63	-0.8625
CLIC4	0.24525
hCG_1990170	-0.36825
ACR	0.5435
KLK7	5.7015
ALOX5AP	3.880875
RIPK3	3.08875
TAS2R9	0.2155
C19orf18	0.9165
BIRC6	0.488642857142857
ZNF16	0.836
RFT1	-0.62375
SLC8A2	-0.271
TACC1	-0.368
ITGAD	0.53275
SAMHD1	1.9655
SH3PXD2B	2.0711
EPC2	0.4695
C20orf85	0.41125
ATP13A2	0.498
KRT4	3.585
CAPNS1	0.05075
MDM2	-0.621166666666667
PCDH20	4.12775
KCNK9	0.6355
OR2C1	0.1685
KLHDC3	0.011
IPPK	0.0005
EFHD2	0.235125
GALR3	-0.06725
NBEA	-0.862666666666667
ABCA6	2.821
CLDN3	1.9935
AKT2	-0.237142857142857
EGFR	1.4102
RBM16	0.617875
ZDHHC3	0.2554
SLC25A4	-1.08366666666667
CYB5B	-0.342
CPXM1	0.22225
NDRG1	0.478153846153846
FLJ43826	0.26625
OR5L2	-0.662
FARP2	-0.1094
MRPL46	-0.706666666666667
LDHAL6B	0.1866
MAPKAPK3	-0.436833333333333
NCAM2	-3.1175
PRKD2	0.0115
ZFP36L1	1.7466
CYSLTR1	-0.1595
OR4C3	1.06525
HIST1H2AJ	1.1485
CCNB2	-1.74133333333333
ZNF10	0.46025
TMEM175	0.062
FAM134A	-0.0848333333333333
TIGD4	-0.924
PCNP	-0.69175
MGC39715	1.1915
LQK1	-2.05175
CREB1	0.4822
TMPRSS3	-0.82225
C4orf32	-0.976875
LAT	-1.2625
KCNA3	-0.4535
SKIV2L2	-1.6975
ROPN1B	-1.3415
tcag7.23	-0.6235
CDT1	-2.014875
ZHX2	0.688
CD28	-2.7285
ZNF624	0.61475
SEPT2	0.275416666666667
SOHLH2	-1.55425
MCOLN3	-0.498142857142857
UNQ1945	0.4685
MASP2	-0.986
ZNRF3	-0.2085
GPATCH3	0.002
AGL	-0.38375
QRICH2	0.523
PSD4	1.29383333333333
CCNB1IP1	-1.158
ENPP7	0.17325
OBFC1	0.07
KCNG3	-1.25525
C14orf79	0.132083333333333
ENPEP	2.947
SCT	2.1435
SKI	0.39125
SEC61G	-0.4735
CAPN11	0.93275
ATXN7L3	-0.26875
DBNDD1	0.377
FAIM	0.75875
ANKRD36	-1.1425
GABRP	3.70983333333333
TACSTD2	2.26866666666667
EIF3J	0.20675
PPP2R2A	-1.26425
TEKT4	-0.4495
PVALB	-3.33083333333333
F10	-2.89833333333333
FAM134C	0.7054
COMP	4.392375
EFCBP1	-3.059375
SCLT1	-0.5205
TAL1	-1.3222
ACSL1	0.55375
ABCC5	-0.11475
ABL1	-0.670833333333333
RBBP7	0.784583333333333
PTPRG	-1.069375
NCOR1	-0.3751
SPINK4	-2.22983333333333
TXNRD1	-0.5903
TNRC15	-0.679
C9orf138	0.544625
UBE2H	0.424166666666667
BRDT	-0.111
C8orf31	-0.0845
CCNE2	0.814181818181818
SLC6A8	-2.044625
CALCR	-4.74025
PPP1CB	1.86908333333333
ABHD8	0.61425
ARF5	0.2925
SLC24A4	1.201
CCT3	0.28375
ZNF121	0.574375
SLC3A2	-1.2343
OR13A1	0.466
SLC5A10	0.219
RAD50	-0.171625
IER5	0.00137499999999999
MTHFD1L	-1.0785
MBTPS2	0.0285
MVK	0.849875
NCL	-0.1059
PSMD10	0.597
MOBP	0.340875
FLJ32894	-0.302
HRH1	0.1985
C5orf30	-1.20975
NUDT16L1	0.3984
RASGRP3	4.48
PRKRIP1	-0.658
CCDC75	0.19175
LOC253970	0.66925
KIAA1239	-0.0936666666666667
MED21	1.33325
SYT11	0.398666666666667
NTSR2	-1.004
EGFL11	0.611
CXorf59	-0.301
OR2A25	-0.18675
SPTBN2	-0.148
LRMP	-0.803
RNF111	-0.506
PTH	1.0975
LOC619208	0.539
KIAA0895	0.22725
RANBP5	-1.58075
P2RY10	1.4435
NME5	3.50516666666667
DDX21	-0.224
LRSAM1	-0.163
HDAC11	-0.15
VMO1	2.88425
NOLA2	-0.0205
ADAR	1.5965
MTO1	-0.5245
SF4	0.245333333333333
P2RX1	0.240833333333333
HBM	0.19225
EN2	-0.1125
C14orf172	0.136
TM9SF2	0.3869
INHBE	-1.27433333333333
TCTE3	0.158
TOX2	-1.1055
CTAGE3	1.590875
HBB	2.8697
MED15	-0.581666666666667
CASR	1.1725
C6orf66	0.2155
MTPN	-0.797375
UNC50	0.48675
C21orf33	0.6095
IRF2	0.76325
PGR	-2.31483333333333
GPR84	3.712
CROCCL1	-2.6165
SRPX	-1.38325
BRE	0.8585
FGF10	0.752
SDC3	0.880166666666667
ZRSR1	0.00633333333333333
DKFZP434P211	-0.83925
SOX6	0.024
RPUSD2	-0.07875
C14orf173	0.151333333333333
MAPK11	-0.491666666666667
TBC1D22A	-0.119
FAM123A	-3.0945
COL4A6	-2.89933333333333
TOMM70A	-0.23
NAB1	-0.963875
MGC16385	0.173125
TSPAN18	-0.104
MED31	-0.06825
PLG	0.64975
CAPSL	2.2975
ZNF532	1.6496
ASB14	-0.341
CA8	-0.01225
NUDT16P	-0.0905
SLFN11	-1.7355
LRRIQ2	-0.5935
NOL7	-0.175166666666667
BRMS1L	1.89475
JARID1A	0.563333333333333
PANK2	-0.07575
ICAM3	-0.175
MDS1	-0.9505
TAF8	0.081
RNF139	0.07425
ZNF594	-0.186666666666667
ADAM8	3.7835
SFTPC	-0.33825
MAN2B2	0.6175
RGS12	-0.0505
EIF1AY	-4.94991666666667
LRRIQ1	1.66033333333333
GPR150	0.0035
CCDC21	-0.852666666666667
PRRG3	0.37675
SAA4	-2.4615
RAPGEF5	2.653125
ZCCHC2	-0.489833333333333
MGC39372	1.089
PPP4R2	0.2395
CDCA2	-2.31066666666667
OR4D5	1.05833333333333
PTGFRN	2.3332
SIGLEC5	3.005
C19orf61	0.428666666666667
NMUR2	0.1595
KIAA1586	-0.5065
DAGLA	-0.6385
CHCHD6	0.4915
GPR32	0.7795
NEUROD6	-0.323666666666667
SLC2A4RG	1.488375
CA5B	1.4135
FBXL3	0.14975
MPHOSPH9	-0.82
HMG2L1	-0.108
HCN4	-0.372166666666667
CEACAM19	0.91975
SH2D4B	0.291
HFE2	-1.6885
TGM4	0.346833333333333
LYPD2	-0.01975
TBC1D15	0.07125
MRPS21	0.1882
NONO	-0.3496
CLEC5A	3.537125
ITCH	0.2728
MGAT3	-0.872666666666667
MBP	-0.238625
RPP25	0.04775
SOSTDC1	2.75825
HRC	-1.09925
TRIM48	0.028
TMEM133	0.31625
ECEL1P2	-1.544
HOXC11	1.229
DOK5	-0.4565
HELZ	0.495
LOC348180	-1.00225
MGC33894	0.337
ADRB3	0.4365
DMD	0.163583333333333
PTRH2	-0.2205
MPEG1	3.49266666666667
NDUFA12	0.573333333333333
KRTAP2-4	0.620833333333333
STAMBPL1	-1.093
ADCY2	0.074
UNQ6125	0.121
KLHL20	0.357166666666667
SRM	-1.11775
OTC	-0.28825
TMIE	-0.4825
SNX8	0.12775
LIPK	0.069
CHURC1	-0.971083333333333
KLC2	0.131
HDAC1	0.732333333333333
FAM128A	-0.138166666666667
FNDC3B	0.5394
MTCP1	0.00716666666666666
WFDC10B	1.4898
PCDHGB3	0.9485
ATRNL1	-3.7982
CAV2	0.35825
MED26	0.0886666666666667
DUS1L	0.42525
CHRM3	0.03175
NEK9	-0.0115
WARS2	-0.222
TBX22	-0.2315
TOMM40	-0.25175
RP6-213H19.1	-0.729833333333333
TUBGCP5	-0.107
IGSF6	5.57075
TPPP	0.673166666666667
UNQ6190	-0.188
GSTM5	1.161875
BTD	0.5865
PDCD1LG2	1.47266666666667
SNRPB2	0.160333333333333
ERICH1	-1.53225
APOA4	-1.51225
HOXA11	1.062
NARG1	-0.262625
MKX	-1.64575
RAB28	-0.0625714285714286
PKP3	0.594
SH3GL2	-2.6755
CTSO	3.58225
RPN2	1.2583125
IL28RA	1.952
SFMBT1	0.2835
WDR57	0.427875
FER1L3	-0.155083333333333
HSF5	0.295666666666667
TTC9B	-0.01025
C4BPA	-4.59066666666667
ALB	-5.06592857142857
SORBS3	0.1615
UPF2	1.037
JPH1	-0.4335
AGBL2	-1.17375
DOPEY1	2.456
TERF1	-0.0141666666666667
KIF22	-0.918166666666667
NINJ1	0.497
SEC61A2	-0.558666666666667
HIST1H1D	-0.825833333333333
SFXN4	-0.7005
UCP3	-0.0762
ZNF703	1.4025
MYL6B	0.503
TREM1	3.25275
OR52E6	0.769
CKMT2	0.541
HLA-C	2.491
SLC13A3	-0.116666666666667
TIMP4	-3.0465
SLIT2	1.6265
RSF1	-0.672
LONRF1	-1.90692857142857
MON1A	-0.093
CACNG6	-2.06866666666667
DPPA4	-5.7355
ZSWIM3	1.169
ZNF804A	0.815333333333333
CCIN	1.22875
SLC25A31	0.165
KCNMB4	-0.05625
RABL5	0.4695
GALNS	-0.2671
STX6	0.967875
HIST1H1C	-0.5705
CIDEB	1.113625
CASP4	0.2725
PDK3	0.1322
KCNJ11	1.244
TPR	0.085125
ZSCAN20	0.1135
MTX2	0.07225
HIST1H2BH	0.7335
LOC283767	0.72425
LYRM7	-1.51044444444444
BRD3	-0.00816666666666666
HIST1H2BO	-0.19775
MAGEB10	0.173
SLC45A1	0.518
SERPINA3	-1.55145
KIAA0143	0.699
KCNJ16	-0.379166666666667
KRT79	1.18775
FABP2	-1.0915
NUT	-0.47025
ZNF57	0.79425
FBXL4	0.507875
CLEC9A	1.053
UGT8	-1.472
BMP2K	0.5685
MAPK4	-2.8185
SLC25A23	-0.1395
HINT1	0.8498
KRTAP13-1	0.2125
SFXN5	-0.2057
CHCHD2	0.405
FAM3D	3.944
NDP	-2.376625
RHOBTB1	-0.453333333333333
SLC4A4	-0.116875
RPL38	-0.55075
HTF9C	-1.57783333333333
AP2A2	0.5585
ZBTB46	-0.3
MAP7D1	0.571625
AOX1	-1.669
CYR61	1.23725
DTNA	0.134571428571429
JRKL	-0.14225
TMOD3	-0.138
EEA1	-0.2638
ADCK5	-0.039
IL1R1	1.43983333333333
KLK3	0.155
HRSP12	-1.26775
KTN1	1.21875
LOH11CR2A	0.1445
RELL2	-1.19825
MAB21L1	1.47775
C20orf59	-1.4485
PHKB	-0.4355
ADAM2	-2.6225
TBC1D8B	1.922
FAM13A1	-0.52325
LAPTM4B	0.614583333333333
LCN8	0.014
TMEM147	0.4955
SYT4	-0.284333333333333
XPO7	-1.1765
C9orf62	-0.05725
GPR75	1.6305
TRIM5	0.736875
APOC1	0.309
RNASE4	0.807
PARD6B	-3.41475
ARID1A	0.183583333333333
TPD52L3	-0.0373
RRAGB	1.63466666666667
RCN2	-0.4215
HIST2H2BE	-0.65375
STARD7	0.0895
SHMT2	-0.531
KIAA1751	-0.0176666666666667
MLYCD	0.16075
LOC162632	-1.0978
UQCRH	0.0215
RP11-217H1.1	0.0664375
SDHA	-1.08633333333333
NCLN	-0.1342
ZNF17	0.434666666666667
RCBTB2	-1.6845
VEGFB	-0.6074
RP4-747L4.3	1.8515
COLQ	0.1937
MPN2	-1.14583333333333
DRG2	-0.171
KLRB1	5.47725
ALPK2	-2.03525
DNASE2B	1.899
FLJ23834	-0.796666666666667
AXUD1	0.3245
SAFB	0.0796
NSUN4	-0.32725
RFX2	0.398166666666667
MAPK8IP1	0.753833333333333
FANCD2	-0.643785714285714
ANKZF1	-0.952
C19orf50	-0.281125
DUSP8	1.729625
SENP5	-0.0135
NFKBIL2	-0.13325
LBR	0.18875
IGFL1	4.081
LZTS2	0.09425
IL2RG	0.46475
CCDC51	-0.51475
KLF3	0.771875
ANKRD37	-0.75925
KCTD14	-1.8
FZR1	0.201166666666667
SLC44A4	3.396
ESPL1	-1.031625
GMPR2	-0.471
TBC1D19	-0.697
ERGIC1	1.14522222222222
ERBB4	-1.9032
TSPAN32	0.431916666666667
MAP4	-0.16325
GPHN	-1.2475
SLC6A2	2.15575
HIVEP1	1.2485
DFFB	-0.1343
EIF4EBP2	1.403
DMRT1	4.6245
HSPB6	-0.47675
IER2	0.847
AIFM1	0.5885
WWC2	-0.849916666666667
MRPL4	-0.24575
FLJ21062	0.142666666666667
EPB41L4A	0.547666666666667
SH2D6	0.3695
TAF4B	-1.64925
GAL3ST3	0.3775
MALT1	-0.834333333333333
RTDR1	0.84975
ARVCF	0.268625
MEX3B	-0.163166666666667
FBXO16	0.2585
KIF7	-1.18075
C1QC	4.0065
ZNF783	-1.65833333333333
ZNF85	0.50975
MMP13	4.1085
KIAA0329	0.177875
RTP3	-1.1835
ZBED3	-0.22825
CLGN	-2.21
SLC25A37	-2.16291666666667
hCG_18290	-0.945
OR5AS1	0.604
SMARCC2	-0.509
FAM109A	0.485166666666667
CCDC12	-0.33825
USF2	0.4356
DEPDC7	-0.35175
C20orf24	0.136166666666667
JMJD3	0.78
DSP	1.764
SLIC1	0.96375
FAM20A	1.683875
IRF2BP2	0.9105
ZNF230	1.2845
MSN	0.270142857142857
SLC9A5	-1.8355
EPDR1	-1.2034
MUSK	-0.0171666666666667
ZNF434	0.0338333333333333
SMARCD1	-0.5755
ZFP106	0.258
ZNF347	1.0681
