Hybridization REF	TCGA-A2-A0YH-01A-11R-A109-07
EXOSC7	-0.1875
ROR2	1.61
MAOA	0.60925
TNNT3	0.0733333333333333
GYPC	-1.2745
C7orf33	0.752
PLIN	1.3555
LOC90826	0.22275
RNF4	-0.1697
F8A1	0.666666666666667
PLEKHG4	-2.7925
GRB2	0.84245
HIST1H2AD	1.433
DUS3L	-0.890666666666667
EIF1	-0.270833333333333
RP5-1077B9.4	-1.034
FPGT	0.9335
GDF10	-0.743
COQ9	0.76375
GCC2	-0.133285714285714
RARRES3	3.209125
PLXNA1	-0.4824
KIAA0100	0.1647
PMF1	-0.13375
FNDC1	5.50075
HS2ST1	-0.359916666666667
CRELD2	0.35375
C8G	-2.0235
CD82	0.8375
LIM2	-0.9015
UNQ6490	-0.724
MMP16	2.019
DRD3	-0.176
C5orf26	-2.19625
C11orf73	-0.0785
PTP4A2	0.638125
OR4M2	0.717
HPCA	-0.6415
SEC14L1	-0.110833333333333
CHFR	-0.08625
EMILIN1	0.8895
NDUFS4	-0.38975
COL18A1	-0.979875
PDZD3	-0.0108
C9orf16	-0.868
ERBB2IP	-0.043
EMX2	3.41
FUS	-0.24375
TF	-4.1686
CLCN4	-0.3275
CXorf56	1.012
C11orf72	0.35975
ELAC2	-0.702
NPR1	-1.3285
ASS1	-1.42366666666667
USP42	0.3175
POLR2J	-0.785
SEC23IP	1.13833333333333
UQCRC1	0.058
LOC729603	2.5025
C1orf71	0.122875
POLG	-1.037
ADAM23	-3.35375
TFR2	-0.6445
RICTOR	-0.8618
MGC39606	-0.16675
C19orf55	-0.348125
SNAPC1	-1.24033333333333
GNA11	0.627125
CCDC52	0.1755
FSIP1	3.138
UPF3A	-0.316125
IGSF11	-2.6005
LAGE3	1.24675
CHST6	-1.7295
UNC13B	0.346875
TTLL4	-1.014625
ZNF687	0.493875
SDC2	0.7224
COX7A2	0.415
LAMB4	0.0255
FAM24A	0.1785
LRRTM3	-0.7075
GPHB5	-0.502
OR4C13	0.0735
EIF3EIP	-1.092
HABP4	-0.727
TMEM125	3.0335
CNTN2	0.069375
ASNSD1	-0.69275
FUT4	0.99975
ACF	-3.491
LOC158381	0.534
CDH8	-0.4745
AGPS	-0.864333333333333
C4orf18	1.934375
PECI	-0.207166666666667
UNG	0.071125
GSTP1	-1.9645
DCUN1D5	-1.0795
DKFZP564J0863	-0.6375
SLC9A3R1	1.53175
BCDO2	-0.348
CHMP7	-0.231
REM2	0.842
DNHD1	-0.503
FKBP4	0.765375
ZNF350	1.76575
MGC11102	0.384125
BST1	2.64075
KISS1R	-0.302
NCR2	-0.306
DEFB125	0.346
UBE2W	2.19775
KRT15	0.618125
C10orf99	0.0725
SCN11A	0.06625
GFI1	-1.608
RDHE2	0.0893333333333333
FHL1	-1.138
OSGEP	-0.298333333333333
GATA1	-3.56666666666667
SMC6	-1.798
TTTY14	-0.643
LPIN3	6.93889390390723e-18
RPL4	-0.6732
RBPMS	-0.5759
PRPF3	0.402
EMR1	-0.97
SPATA19	0.28075
XCR1	0.2265
IRX3	1.8409
RBM6	-0.38225
KLF4	-1.1367
UNC5CL	-1.54825
SEBOX	0.268
BTK	0.402
KRCC1	0.16875
C6orf27	0.000999999999999999
SYTL5	-0.2185
PRND	2.31925
LOC653319	-2.129
PIGL	-1.474875
HUS1	-0.044
SFRS6	-0.0255
C17orf77	0.5615
UIMC1	-0.645833333333333
FXYD2	-1.5903
LOC283152	0.61325
ZNF667	-0.72475
ZCCHC12	-0.3845
TFEC	5.152
ATP7B	0.996166666666667
POLD2	-0.523833333333333
RG9MTD1	0.28725
ACOT2	1.094
HIST1H4I	-0.439375
PPARGC1A	-2.0035
ETFA	-1.6855
POLRMT	-0.50175
ZNF146	0.54225
MIA2	-0.8395
KLHL6	1.03133333333333
HOXB5	-0.777
NENF	0.605
CUGBP1	-0.047
PRSS22	0.981
CASC4	0.5768
CUL4B	-0.1231
CENPJ	-1.1589
PITX1	-0.522833333333333
FLJ31033	2.73433333333333
CELSR3	-1.985
ZNF568	0.3655
ITSN1	0.15
EHBP1L1	-0.859
C19orf2	0.59825
DCTN1	0.2365
LIN28B	-4.33666666666667
TNKS2	-0.32125
C1QBP	-0.83825
CADPS2	1.414
SRMS	0.31775
GJA9	0.152333333333333
MGC24975	-0.789666666666667
TRIM45	0.887
TSP50	-0.049
TCP1	-0.65925
TMED7	-0.0328
CMA1	0.5975
CENPL	0.0656666666666667
PTCRA	0.1205
FST	-2.76525
VWCE	-3.02525
PAWR	-0.61875
ABCC12	-0.0848333333333333
LDLR	-1.5585
ASTN2	0.8575
LOC441212	-1.33175
GPATCH8	-0.06575
TANC2	-0.1245
KIF4A	-0.551
C18orf18	-1.73175
PGM1	-1.40425
KIAA0258	1.39
CPD	1.023375
SNCAIP	-1.3155
DCT	-4.10916666666667
HLA-DOA	2.9695
OR11L1	0.2355
UPK1B	-0.1785
DNAJB4	-0.4755
UGT1A8	-0.51775
HIST1H4L	-1.872
PECR	-1.31516666666667
HSPA2	0.63575
WFIKKN1	-1.203
SERP1	0.753875
SYDE2	1.66425
TACR2	0.536
NUP85	-0.428
CD177	0.409333333333333
LGR5	-0.9435
PIGG	-0.598083333333333
PTHR1	-1.40066666666667
RAB5A	0.656
FLJ13224	-0.3795
USP9Y	-1.2075
C7orf53	-1.0685
LRP1B	1.497
XAF1	4.3061
ABCG8	-0.4575
ANKDD1A	-0.587166666666667
DAND5	-1.806
SPAG6	3.56516666666667
LINCR	1.9575
ZDHHC22	-0.942625
CCDC60	0.709
THOC7	-0.649666666666667
TCTA	1.1339
OR8K3	-0.29475
NY-REN-7	-0.65575
B2M	2.15533333333333
C6orf141	-1.87575
LPPR4	1.856
SQLE	-0.025375
SEPHS1	-0.184
BTBD14B	-0.247428571428571
PLRG1	-0.42875
SPG7	-0.7948125
ZNF614	0.029
PARD6G	-0.225166666666667
INPP5B	-0.5833
GRPEL2	0.07375
PPID	-0.404
TRIM56	-0.39625
UBE2J1	0.5315
IL20RA	4.9855
LOC387856	0.6275
C1orf107	0.861916666666667
UTS2R	-0.2765
C19orf22	0.7015
SAFB2	0.027875
KIAA0652	0.468375
KLRG1	-0.1875
MS4A8B	1.83116666666667
FRAG1	0.89825
KIAA1546	0.159
E2F4	-0.9371
CLEC4M	0.1545
BTBD14A	-0.7645
KIAA0999	1.4935
GYPA	-3.30216666666667
TAC1	0.8906
TRAIP	-1.2245
KIAA0232	0.2637
ERCC8	-0.91525
GPX4	0.441
KIAA0368	-0.770875
GPR157	-0.436833333333333
CTAGE4	1.308
C9orf30	-1.47533333333333
OR52A1	-0.144
HSP90B3P	0.1605
ALG9	0.0207
BTBD10	0.81375
SDK2	0.41175
BAIAP3	1.467
RABGGTB	-0.757125
ANKRD40	0.712333333333333
KRT74	0.349
CALCOCO2	0.795571428571429
SNCA	-2.292
TMSL8	-5.53525
C2orf53	-0.095
ESRRB	-0.2075
ARHGAP26	-0.50075
TDRD9	-2.34375
HRAS	0.528
KLRC4	-1.6335
JAGN1	-0.027
BSDC1	-0.158
RNF43	0.1418
NDUFAF1	0.5605
PHF12	0.306
OR1L3	-0.01325
FOLR2	2.1315
LYZL6	0.526166666666667
tcag7.1260	-1.0355
WSB1	-0.813666666666667
PROS1	-1.3383
OSTN	0.521
PSMB8	1.10375
SOCS4	0.502
DDIT4L	3.35175
MAS1	0.4555
MGC34796	0.92225
CSHL1	0.432833333333333
TBCCD1	0.693
ZBTB7C	-0.079
AP2S1	0.300625
P15RS	0.7946
VAT1	-0.3721
SHANK3	0.0246666666666667
TUFM	0.0705
THEG	0.063
KRT34	-1.37725
SGSM3	-0.191875
TOMM22	-0.36275
SOCS3	1.35883333333333
CPO	0.314
POP4	0.15625
BHLHB3	1.19775
MALL	0.47875
OR1B1	-0.0135
PARK2	0.6085
GPR124	0.559625
LCE1E	0.144
RUVBL2	-0.02825
CGRRF1	0.7518
ACPL2	-0.3215
WNT10B	-2.404
BAIAP2L2	-1.14875
ISCA1	-0.2015
C1orf125	-0.031125
RPAP1	-0.45325
RAI16	-0.5355
RPL27	-0.886
NLRP9	0.0215
EPN1	0.3735
LOC388610	-1.06
SLC35A1	0.813
GAL	-2.531
SLC14A2	0.159
RDH11	-0.04
FAM138F	-0.7415
AUH	0.1895
FLJ40243	0.1945
C14orf129	0.677
MBD2	-0.3565
ABHD14B	0.0735
PIGT	1.156125
ALS2CR4	-0.887125
ALAS1	0.8276
FOXO1	1.40483333333333
CRLF3	0.523625
C20orf107	-0.0355
FARS2	1.08625
CCDC28A	0.29625
NPHP3	-1.1905
OR13F1	0.3135
TSEN54	-0.438
DEFB106B	-0.1365
OR8B4	0.516
STH	-0.0445
ZC3H14	-0.032875
CBX2	-0.0665
TMEM49	-0.404
C6orf21	0.1825
FLJ20920	0.62
CRTAP	-0.168214285714286
DDX50	-0.2645
STYXL1	0.257
BLVRB	0.525666666666667
LOC147650	-0.629333333333333
MMP24	0.174
GRID1	1.298
BANF1	-0.0738333333333333
CTAGEP	0.74875
HMBS	-1.82575
SLC25A24	-0.219833333333333
C14orf50	0.97025
MRO	1.75266666666667
SLC25A15	-0.44675
FAM84B	2.7067
TDP1	0.3335
C16orf78	0.411166666666667
C11orf57	-0.70875
RFK	-0.5365
ZFYVE9	-1.198125
STCH	-0.6043
WIBG	0.39975
LOC283871	0.397333333333333
GBA2	0.0031
NDUFB3	-0.74775
HSD17B13	-0.528
GRIN3A	2.289
FMNL1	0.498833333333333
SEPT7	-0.0808
GNLY	4.172
GRAMD1C	-0.0386666666666667
ZNF165	0.342
USP38	1.09525
FAM83A	-0.394666666666667
C14orf24	0.6225
ARMCX3	0.023125
ARHGDIB	1.45783333333333
AK1	-0.29725
KIAA1045	0.047
DNAJB13	-0.0345
NEU2	0.503
HIST1H4B	-1.33733333333333
FAM20B	0.1986
HES2	-0.215571428571429
FAM73B	-0.4436
LOC388381	-0.0855
INTS7	0.357090909090909
AMPH	1.8975
ZNF775	-0.720625
UCKL1	-0.481166666666667
C10orf97	0.1245
C1orf161	0.2055
ALDH1L1	-1.62625
FLJ39378	-0.1365
SLC23A1	0.117
RBM4B	0.60425
THAP4	-0.0615
OGFRL1	0.8415
KIAA0831	0.334125
PPP1R15A	-0.5835
C1orf96	-0.519642857142857
C12orf11	-0.814
BMF	1.02975
MAN1A1	0.360125
KIAA1600	0.85
NLGN4X	-0.4375
ALOX12	-0.698
RB1CC1	1.3713
NEIL2	0.0086
EIF4E	0.307636363636364
ABHD5	0.13175
EXOC4	0.0788333333333333
CIP29	-0.4995
BATF2	2.98575
SLC29A4	-0.800375
HTR4	0.658
EMB	0.803
TRAF6	0.684
LMNB1	-2.21875
FAM19A5	-0.172625
SHE	1.53975
PIK3C2B	1.04025
C15orf15	-0.7784
USP15	-0.0017
TCEAL2	0.373
C5orf39	-1.84716666666667
PTGER2	0.866
SLC31A1	0.0323125
IFT172	0.42125
ADAM29	0.29825
GFOD1	0.07225
ST7L	-0.0856666666666667
C15orf26	-2.3305
PKN3	-1.9565
CNTD1	2.57733333333333
COMMD1	0.176875
NTRK2	1.71583333333333
FOXN3	0.053625
MFGE8	-0.5839
PFKFB2	0.45
TAS2R4	0.50275
ENTHD1	-0.0881666666666667
PRMT5	0.545
MGC16384	-1.192
LOC442229	0.2915
TSKU	2.016875
KRTCAP3	2.28875
PDLIM1	0.0145
KCNS2	-0.08775
RNF126	-0.963166666666667
CEP63	0.3005
CLIC4	0.1915
hCG_1990170	-0.7135
ACR	0.2508
KLK7	0.491
ALOX5AP	3.311375
RIPK3	3.79525
TAS2R9	-0.306
C19orf18	-0.7425
BIRC6	0.411785714285714
ZNF16	2.169
RFT1	0.134
SLC8A2	0.05175
TACC1	2.03025
ITGAD	1.46075
SAMHD1	2.42675
SH3PXD2B	0.9509
EPC2	0.47775
C20orf85	0.7715
ATP13A2	0.108166666666667
KRT4	1.01975
CAPNS1	0.66425
MDM2	0.21725
PCDH20	3.706
KCNK9	0.693
OR2C1	-0.2285
KLHDC3	-0.490166666666667
IPPK	1.0055
EFHD2	0.32625
GALR3	-0.33725
NBEA	1.05616666666667
ABCA6	2.2923
CLDN3	2.5645
AKT2	0.201428571428571
EGFR	-2.902
RBM16	0.571125
ZDHHC3	0.4869
SLC25A4	-1.60016666666667
CYB5B	-1.087
CPXM1	-0.032
NDRG1	1.42469230769231
FLJ43826	0.48
OR5L2	-0.028
FARP2	0.1258
MRPL46	-0.0423333333333333
LDHAL6B	0.171833333333333
MAPKAPK3	-0.043
NCAM2	0.672
PRKD2	0.602666666666667
ZFP36L1	0.6624
CYSLTR1	0.316
OR4C3	0.446
HIST1H2AJ	-0.273
CCNB2	-1.66377777777778
ZNF10	-0.656125
TMEM175	0.1525
FAM134A	0.763333333333333
TIGD4	0.7355
PCNP	-0.494
MGC39715	1.10975
LQK1	-1.33075
CREB1	0.508
TMPRSS3	1.019
C4orf32	0.827
LAT	-1.28016666666667
KCNA3	0.8945
SKIV2L2	-0.58725
ROPN1B	-5.1925
tcag7.23	-0.26
CDT1	-3.234875
ZHX2	1.393
CD28	-2.21575
ZNF624	0.43425
SEPT2	0.15375
SOHLH2	-1.199125
MCOLN3	0.64975
UNQ1945	0.052
MASP2	-0.738
ZNRF3	-0.3959
GPATCH3	-0.28325
AGL	0.249625
QRICH2	-0.4085
PSD4	0.590333333333333
CCNB1IP1	-2.30475
ENPP7	0.2625
OBFC1	0.4395
KCNG3	-1.438
C14orf79	0.889833333333333
ENPEP	1.6685
SCT	2.243
SKI	0.453875
SEC61G	-0.17375
CAPN11	0.648
ATXN7L3	0.16375
DBNDD1	-0.498833333333333
FAIM	0.28825
ANKRD36	-1.6035
GABRP	0.630333333333333
TACSTD2	1.476
EIF3J	-0.39675
PPP2R2A	-0.771
TEKT4	0.151166666666667
PVALB	0.938166666666667
F10	-2.7945
FAM134C	0.7919
COMP	4.505
EFCBP1	-2.5915
SCLT1	0.1035
TAL1	-1.5407
ACSL1	1.19275
ABCC5	1.02491666666667
ABL1	-0.672777777777778
RBBP7	0.520666666666667
PTPRG	-0.595875
NCOR1	0.083
SPINK4	1.36216666666667
TXNRD1	-1.3785
TNRC15	0.443
C9orf138	0.565375
UBE2H	0.745
BRDT	1.53983333333333
C8orf31	0.59575
CCNE2	0.901272727272727
SLC6A8	-1.11625
CALCR	-3.03025
PPP1CB	0.547
ABHD8	0.50075
ARF5	0.2578
SLC24A4	0.98525
CCT3	0.2955
ZNF121	-0.08325
SLC3A2	0.1247
OR13A1	0.635
SLC5A10	0.773
RAD50	-0.185875
IER5	-0.313375
MTHFD1L	-1.509
MBTPS2	0.82575
MVK	-0.410625
NCL	-0.3154
PSMD10	0.41125
MOBP	-0.03575
FLJ32894	0.5835
HRH1	-0.454
C5orf30	0.704
NUDT16L1	1.3937
RASGRP3	3.69383333333333
PRKRIP1	-0.3234
CCDC75	-0.3405
LOC253970	0.27825
KIAA1239	-0.331
MED21	-0.33125
SYT11	0.70225
NTSR2	-0.232
EGFL11	0.154
CXorf59	0.1985
OR2A25	-0.00350000000000002
SPTBN2	-0.6235
LRMP	-0.8245
RNF111	0.38375
PTH	-0.103
LOC619208	-0.113833333333333
KIAA0895	0.0115
RANBP5	-0.89425
P2RY10	1.87533333333333
NME5	1.4875
DDX21	-0.53575
LRSAM1	0.2145
HDAC11	2.44266666666667
VMO1	2.53725
NOLA2	0.369833333333333
ADAR	1.59808333333333
MTO1	-0.779833333333333
SF4	0.190166666666667
P2RX1	0.303166666666667
HBM	0.1115
EN2	-0.092
C14orf172	0.15075
TM9SF2	1.0352
INHBE	-0.501666666666667
TCTE3	-0.253166666666667
TOX2	-3.033
CTAGE3	1.081875
HBB	3.2042
MED15	-0.2955
CASR	-0.10175
C6orf66	-0.6985
MTPN	0.26325
UNC50	0.05325
C21orf33	-0.205375
IRF2	1.077625
PGR	0.118666666666667
GPR84	3.065
CROCCL1	-2.3245
SRPX	-1.89025
BRE	0.742666666666667
FGF10	2.5235
SDC3	0.251666666666667
ZRSR1	0.374
DKFZP434P211	-0.385375
SOX6	-0.138
RPUSD2	0.2685
C14orf173	-0.653416666666667
MAPK11	-0.3665
TBC1D22A	0.5005
FAM123A	-1.066
COL4A6	-3.38016666666667
TOMM70A	0.614
NAB1	-0.949625
MGC16385	-0.4625
TSPAN18	-0.733666666666667
MED31	-1.1475
PLG	-0.3255
CAPSL	1.044
ZNF532	0.5413
ASB14	-0.2535
CA8	0.958
NUDT16P	2.812
SLFN11	-0.218
LRRIQ2	0.308125
NOL7	-0.367333333333333
BRMS1L	-0.28525
JARID1A	0.451666666666667
PANK2	-0.21675
ICAM3	-0.539
MDS1	-0.708
TAF8	-0.03875
RNF139	2.029
ZNF594	-0.742
ADAM8	2.933875
SFTPC	-0.346625
MAN2B2	1.592625
RGS12	-0.0896875
EIF1AY	-4.94758333333333
LRRIQ1	-1.6595
GPR150	-0.04975
CCDC21	-0.794166666666667
PRRG3	0.2845
SAA4	-4.21025
RAPGEF5	0.519125
ZCCHC2	0.402333333333333
MGC39372	1.632
PPP4R2	0.802666666666667
CDCA2	-2.16266666666667
OR4D5	0.368833333333333
PTGFRN	1.3568
SIGLEC5	2.5585
C19orf61	-0.109166666666667
NMUR2	0.05
KIAA1586	-0.525666666666667
DAGLA	0.538833333333333
CHCHD6	-0.27375
GPR32	0.49
NEUROD6	0.0156666666666667
SLC2A4RG	0.6751875
CA5B	0.764
FBXL3	1.02275
MPHOSPH9	-0.7955
HMG2L1	0.244
HCN4	-0.0285
CEACAM19	0.33875
SH2D4B	0.406166666666667
HFE2	-0.6265
TGM4	0.1655
LYPD2	0.1805
TBC1D15	-0.09175
MRPS21	-0.0481
NONO	-0.4915
CLEC5A	2.9035
ITCH	0.0867
MGAT3	-1.82883333333333
MBP	-0.465625
RPP25	-0.35775
SOSTDC1	-2.2255
HRC	-1.5685
TRIM48	0.202
TMEM133	-0.16375
ECEL1P2	-0.8535
HOXC11	1.1255
DOK5	-0.46275
HELZ	0.101166666666667
LOC348180	-1.31325
MGC33894	-0.086
ADRB3	-0.118
DMD	-0.256666666666667
PTRH2	-0.2135
MPEG1	3.63633333333333
NDUFA12	0.176
KRTAP2-4	0.0574166666666666
STAMBPL1	-1.29066666666667
ADCY2	0.93
UNQ6125	-0.199
KLHL20	0.488666666666667
SRM	-0.98925
OTC	-0.14475
TMIE	1.73366666666667
SNX8	-0.01675
LIPK	0.1145
CHURC1	0.0489166666666667
KLC2	0.0256666666666667
HDAC1	-0.052
FAM128A	0.0121666666666667
FNDC3B	-0.4922
MTCP1	-0.409
WFDC10B	0.3714
PCDHGB3	-0.108
ATRNL1	-2.2023
CAV2	-0.531625
MED26	0.687333333333333
DUS1L	-0.002
CHRM3	-1.58325
NEK9	1.6685
WARS2	0.10575
TBX22	2.4965
TOMM40	0.01925
RP6-213H19.1	-1.67683333333333
TUBGCP5	0.0875
IGSF6	5.458
TPPP	0.889666666666667
UNQ6190	0.2805
GSTM5	1.025
BTD	1.0375
PDCD1LG2	2.53766666666667
SNRPB2	0.0723333333333333
ERICH1	-1.12525
APOA4	-1.799875
HOXA11	-1.41725
NARG1	-0.13625
MKX	0.85775
RAB28	-0.203
PKP3	0.9945
SH3GL2	-2.42725
CTSO	3.537
RPN2	0.0924375
IL28RA	0.535833333333333
SFMBT1	0.742
WDR57	-0.020125
FER1L3	1.63025
HSF5	0.365833333333333
TTC9B	-0.225
C4BPA	-3.37933333333333
ALB	-3.17728571428571
SORBS3	-0.388
UPF2	0.329
JPH1	1.7225
AGBL2	-0.59025
DOPEY1	1.125
TERF1	0.849
KIF22	-0.067
NINJ1	1.045
SEC61A2	0.188
HIST1H1D	1.24916666666667
SFXN4	0.0435
UCP3	-0.1557
ZNF703	1.59066666666667
MYL6B	-0.762
TREM1	2.513
OR52E6	0.433
CKMT2	0.981
HLA-C	2.6475
SLC13A3	-0.878166666666667
TIMP4	-3.145
SLIT2	1.97825
RSF1	0.0506666666666667
LONRF1	-1.79671428571429
MON1A	-0.278166666666667
CACNG6	-0.958666666666667
DPPA4	-5.66966666666667
ZSWIM3	0.83775
ZNF804A	1.11633333333333
CCIN	1.2595
SLC25A31	0.48
KCNMB4	-0.97175
RABL5	0.40575
GALNS	-0.7501
STX6	1.129375
HIST1H1C	2.55733333333333
CIDEB	0.251375
CASP4	0.325
PDK3	0.3609
KCNJ11	1.8695
TPR	0.047
ZSCAN20	-0.774
MTX2	-0.50375
HIST1H2BH	0.8565
LOC283767	-0.7695
LYRM7	-1.94388888888889
BRD3	0.0593333333333333
HIST1H2BO	0.84275
MAGEB10	0.1195
SLC45A1	1.06
SERPINA3	2.8057
KIAA0143	2.205
KCNJ16	-0.0933333333333333
KRT79	0.62475
FABP2	-0.55825
NUT	-0.061
ZNF57	-0.069
FBXL4	0.705625
CLEC9A	1.2885
UGT8	-1.00183333333333
BMP2K	0.868
MAPK4	-3.702
SLC25A23	-0.7401
HINT1	-1.1321
KRTAP13-1	0.508
SFXN5	0.322
CHCHD2	0.34925
FAM3D	1.3425
NDP	2.4955
RHOBTB1	0.347333333333333
SLC4A4	-1.351125
RPL38	-0.42975
HTF9C	-0.120333333333333
AP2A2	0.707125
ZBTB46	0.091
MAP7D1	-0.167375
AOX1	-0.9915
CYR61	0.412833333333333
DTNA	-0.614285714285714
JRKL	-0.91325
TMOD3	-0.2025
EEA1	0.1534
ADCK5	0.26225
IL1R1	3.1695
KLK3	0.218071428571429
HRSP12	1.02125
KTN1	0.43775
LOH11CR2A	0.3149
RELL2	-1.35325
MAB21L1	1.73075
C20orf59	-0.651333333333333
PHKB	0.23475
ADAM2	-1.68383333333333
TBC1D8B	0.2385
FAM13A1	-0.9598125
LAPTM4B	2.55075
LCN8	0.1945
TMEM147	1.299
SYT4	-0.0998333333333333
XPO7	-1.3245
C9orf62	-0.36725
GPR75	-0.2675
TRIM5	1.13025
APOC1	1.67966666666667
RNASE4	-0.374666666666667
PARD6B	-0.952625
ARID1A	0.202583333333333
TPD52L3	0.0958888888888889
RRAGB	1.4355
RCN2	-0.748
HIST2H2BE	1.0576875
STARD7	-0.15775
SHMT2	-1.45675
KIAA1751	0.304
MLYCD	0.13775
LOC162632	-0.4922
UQCRH	-1.92575
RP11-217H1.1	0.7360625
SDHA	-0.3545
NCLN	-0.3325
ZNF17	0.2185
RCBTB2	-1.485
VEGFB	0.6762
RP4-747L4.3	-0.44075
COLQ	0.1203
MPN2	-0.836333333333333
DRG2	-0.3895
KLRB1	4.3045
ALPK2	-0.0445
DNASE2B	1.3415
FLJ23834	-0.336333333333333
AXUD1	1.13716666666667
SAFB	-0.1268
NSUN4	-0.03925
RFX2	0.2675
MAPK8IP1	-0.128
FANCD2	-1.02714285714286
ANKZF1	-2.0005
C19orf50	-0.108625
DUSP8	-0.000750000000000004
SENP5	0.435
NFKBIL2	-0.304
LBR	-1.72775
IGFL1	-0.082
LZTS2	-0.528375
IL2RG	0.704875
CCDC51	0.2165
KLF3	0.14875
ANKRD37	-0.8605
KCTD14	-0.433833333333333
FZR1	-0.520583333333333
SLC44A4	3.4899
ESPL1	-0.22875
GMPR2	0.5388
TBC1D19	-0.6855
ERGIC1	0.542444444444445
ERBB4	2.205
TSPAN32	0.293083333333333
MAP4	0.3155
GPHN	1.368
SLC6A2	-0.1655
HIVEP1	0.59875
DFFB	-0.5868
EIF4EBP2	0.821375
DMRT1	-0.34275
HSPB6	-0.201
IER2	-0.822833333333333
AIFM1	0.474
WWC2	-0.484416666666667
MRPL4	-0.775
FLJ21062	0.097
EPB41L4A	-0.186
SH2D6	0.337
TAF4B	-0.2865
GAL3ST3	-0.3005
MALT1	-0.505833333333333
RTDR1	0.94975
ARVCF	-0.305
MEX3B	-2.407
FBXO16	-0.4
KIF7	-0.369
C1QC	3.94533333333333
ZNF783	-0.269666666666667
ZNF85	0.7715
MMP13	4.916
KIAA0329	0.466125
RTP3	0.0315
ZBED3	-0.627
CLGN	-0.49075
SLC25A37	-2.11666666666667
hCG_18290	-0.55275
OR5AS1	0.1635
SMARCC2	0.07475
FAM109A	0.0226666666666667
CCDC12	0.34375
USF2	0.8614
DEPDC7	-2.4755
C20orf24	0.159666666666667
JMJD3	0.401
DSP	-2.68864285714286
SLIC1	0.877875
FAM20A	2.108375
IRF2BP2	0.90325
ZNF230	0.348
MSN	-0.507214285714286
SLC9A5	-2.2015
EPDR1	-0.6933
MUSK	0.237166666666667
ZNF434	0.665333333333333
SMARCD1	-0.439666666666667
ZFP106	-0.6165
ZNF347	0.9417
GTF2E1	0.41125
RY1	-0.651666666666667
ATAD2B	-0.882625
ARHGAP17	-0.0131
