Hybridization REF	TCGA-BH-A0RX-01A-21R-A084-07
SLC25A46	-0.603
LARP7	-1.7016
CD160	0.905
MT1JP	0.114333333333333
PHF20	-0.380625
CPNE4	0.089
GTPBP1	-0.182357142857143
RAB33B	0.0948333333333333
ALDOC	-2.124375
ZNF212	-0.3745
NUDT1	-0.150833333333333
RFPL2	-0.386
ZNF83	-1.62066666666667
GDPD5	-0.221125
PDCD4	1.17931578947368
CEP350	0.39725
OR10A2	0.34225
CST7	2.48225
CIAO1	-0.80225
SELL	1.743375
OR8J3	-0.7135
LTBP4	0.00249999999999998
SIRT6	-0.324
CCL19	5.629
PPIL1	-0.7365
GBP7	0.273333333333333
STK17A	-0.1363
ABR	1.50875
OR9G1	0.4255
FOXE1	-0.553125
CNGA3	0.0855
GML	0.2795
CD38	1.67925
ZDHHC6	-0.254166666666667
NEFH	-2.3765
CTDSP2	0.3285
PGBD5	-0.0725
CCNY	1.10335714285714
RMND5B	-0.778
ZNF257	-2.05375
FLJ22167	0.15625
EXOSC7	-0.798
ROR2	0.959375
MAOA	-0.353375
TNNT3	-0.215333333333333
GYPC	0.2925
C7orf33	0.3315
PLIN	2.35933333333333
LOC90826	-0.703
RNF4	-0.6864
F8A1	0.8425
PLEKHG4	-2.666
GRB2	0.2592
HIST1H2AD	-0.1565
DUS3L	-1.29083333333333
EIF1	-0.223333333333333
RP5-1077B9.4	-1.0595
FPGT	0.72325
GDF10	-0.457
COQ9	0.4425
GCC2	-0.602285714285714
RARRES3	3.51575
PLXNA1	0.1876
KIAA0100	-0.3267
PMF1	0.48675
FNDC1	5.962
HS2ST1	0.460166666666667
CRELD2	1.831
C8G	-2.196
CD82	1.5405
LIM2	-1.0535
UNQ6490	0.578
MMP16	1.84425
DRD3	-0.11275
C5orf26	-1.39925
C11orf73	-0.500375
PTP4A2	0.292125
OR4M2	1.042
HPCA	0.034
SEC14L1	0.172
CHFR	0.55875
EMILIN1	1.443875
NDUFS4	-0.9855
COL18A1	0.625
PDZD3	-0.0643
C9orf16	0.6845
ERBB2IP	-0.123833333333333
EMX2	3.0215
FUS	-1.258
TF	-2.0637
CLCN4	0.051
CXorf56	0.36025
C11orf72	0.09925
ELAC2	-0.527833333333333
NPR1	-0.25475
ASS1	0.785
USP42	0.490375
POLR2J	-0.5985
SEC23IP	0.3765
UQCRC1	-0.37775
LOC729603	-0.6595
C1orf71	-0.52775
POLG	-1.5905
ADAM23	-3.257
TFR2	-1.02375
RICTOR	-1.1441
MGC39606	0.953
C19orf55	-0.401
SNAPC1	-0.87
GNA11	0.5375
CCDC52	-0.5465
FSIP1	1.3915
UPF3A	-1.312625
IGSF11	-2.7565
LAGE3	0.302
CHST6	0.3235
UNC13B	0.13
TTLL4	-0.810875
ZNF687	0.48475
SDC2	1.2275
COX7A2	-0.31775
LAMB4	0.4325
FAM24A	0.2005
LRRTM3	-0.2565
GPHB5	0.31325
OR4C13	-0.00650000000000001
EIF3EIP	0.0235
HABP4	-0.1505
TMEM125	2.92825
CNTN2	0.198125
ASNSD1	-0.39125
FUT4	1.025875
ACF	-3.589
LOC158381	-0.3
CDH8	-0.0215
AGPS	-0.726333333333333
C4orf18	1.805875
PECI	-0.316333333333333
UNG	0.228125
GSTP1	0.3685
DCUN1D5	-0.002
DKFZP564J0863	-0.35125
SLC9A3R1	-0.38775
BCDO2	-0.9425
CHMP7	-0.218
REM2	0.516
DNHD1	-0.35825
FKBP4	-0.90025
ZNF350	0.30525
MGC11102	0.298875
BST1	1.74975
KISS1R	1.418
NCR2	-0.102
DEFB125	-0.467
UBE2W	1.4625
KRT15	2.39225
C10orf99	0.464
SCN11A	0.3895
GFI1	-0.41675
RDHE2	-0.190833333333333
FHL1	-1.41066666666667
OSGEP	-0.763
GATA1	-2.92716666666667
SMC6	-0.0525
TTTY14	-0.85025
LPIN3	-0.20175
RPL4	-0.7434
RBPMS	-0.0605
PRPF3	-0.808833333333333
EMR1	-2.0695
SPATA19	0.02
XCR1	-0.1035
IRX3	2.5827
RBM6	-0.9355
KLF4	-1.7978
UNC5CL	-1.7285
SEBOX	-0.356
BTK	0.04675
KRCC1	0.365
C6orf27	0.4485
SYTL5	-0.7235
PRND	1.370375
LOC653319	-1.475
PIGL	-0.3535
HUS1	0.0205
SFRS6	0.172416666666667
C17orf77	0.129
UIMC1	-1.01816666666667
FXYD2	-1.5958
LOC283152	-0.52125
ZNF667	0.26575
ZCCHC12	-0.654
TFEC	2.8564
ATP7B	-0.406666666666667
POLD2	-1.21683333333333
RG9MTD1	-1.16625
ACOT2	-0.408333333333333
HIST1H4I	-0.49
PPARGC1A	-2.3464
ETFA	-1.9427
POLRMT	-0.423
ZNF146	0.4285
MIA2	-0.399
KLHL6	0.4945
HOXB5	-0.75475
NENF	1.1805
CUGBP1	0.1075
PRSS22	0.6695
CASC4	0.9856
CUL4B	0.2186
CENPJ	-1.2386
PITX1	0.232333333333333
FLJ31033	1.2495
CELSR3	-2.232
ZNF568	0.86725
ITSN1	-0.60825
EHBP1L1	-0.598
C19orf2	0.57
DCTN1	-0.50925
LIN28B	-2.64083333333333
TNKS2	-1.154
C1QBP	-0.31475
CADPS2	2.0235
SRMS	-0.29425
GJA9	-0.00966666666666667
MGC24975	-1.133
TRIM45	-1.78533333333333
TSP50	-0.22
TCP1	-1.339
TMED7	0.0304
CMA1	0.41
CENPL	0.502666666666667
PTCRA	0.591
FST	-2.8385
VWCE	-4.2095
PAWR	0.82075
ABCC12	-0.607333333333333
LDLR	-1.3256
ASTN2	0.9945
LOC441212	-0.363125
GPATCH8	-0.361
TANC2	-0.777833333333333
KIF4A	-1.19025
C18orf18	-1.3055
PGM1	-0.43475
KIAA0258	0.7825
CPD	0.586625
SNCAIP	-0.4885
DCT	-4.17833333333333
HLA-DOA	2.84886363636364
OR11L1	0.793
UPK1B	0.041
DNAJB4	-0.31925
UGT1A8	-0.07875
HIST1H4L	-0.597
PECR	-1.48516666666667
HSPA2	0.7755
WFIKKN1	-2.992
SERP1	0.34875
SYDE2	0.63475
TACR2	0.713
NUP85	-1.066
CD177	-0.267
LGR5	-1.22866666666667
PIGG	-1.20441666666667
PTHR1	-1.79983333333333
RAB5A	-0.2306
FLJ13224	-0.2595
USP9Y	-0.501166666666667
C7orf53	-1.843
LRP1B	-1.159
XAF1	3.2937
ABCG8	0.0135
ANKDD1A	-0.453
DAND5	-1.3845
SPAG6	0.138
LINCR	0.7925
ZDHHC22	-1.691625
CCDC60	0.4565
THOC7	-1.49183333333333
TCTA	0.7653
OR8K3	0.43225
NY-REN-7	-0.09325
B2M	1.37733333333333
C6orf141	-1.23975
LPPR4	2.99925
SQLE	-0.229375
SEPHS1	1.29875
BTBD14B	0.719214285714286
PLRG1	-0.656
SPG7	-0.6639375
ZNF614	0.352
PARD6G	1.4085
INPP5B	-1.0615
GRPEL2	-0.1915
PPID	-1.1517
TRIM56	-0.4425
UBE2J1	0.65675
IL20RA	1.911
LOC387856	0.026
C1orf107	0.7635
UTS2R	1.39175
C19orf22	0.209
SAFB2	0.272
KIAA0652	-0.276375
KLRG1	0.5325
MS4A8B	0.192166666666667
FRAG1	0.49375
KIAA1546	-0.3305
E2F4	-0.6605
CLEC4M	0.7645
BTBD14A	0.93175
KIAA0999	0.8341
GYPA	-2.571
TAC1	0.0544
TRAIP	-1.448
KIAA0232	-0.7648
ERCC8	-1.28075
GPX4	-0.353375
KIAA0368	-0.319125
GPR157	-1.01966666666667
CTAGE4	0.4305
C9orf30	-0.833666666666667
OR52A1	0.472
HSP90B3P	0.3035
ALG9	-0.0027
BTBD10	0.46625
SDK2	1.07775
BAIAP3	-1.78775
RABGGTB	-0.96925
ANKRD40	-1.18683333333333
KRT74	0.961
CALCOCO2	-0.149857142857143
SNCA	-3.11225
TMSL8	-2.498875
C2orf53	0.1305
ESRRB	-0.655
ARHGAP26	0.02875
TDRD9	-2.7925
HRAS	-0.0818333333333333
KLRC4	-1.6255
JAGN1	-0.2865
BSDC1	0.63525
RNF43	-0.6609
NDUFAF1	-0.17475
PHF12	0.05925
OR1L3	0.062
FOLR2	2.135
LYZL6	-0.462166666666667
tcag7.1260	-1.276
WSB1	-1.2835
PROS1	-0.2171
OSTN	0.211
PSMB8	1.63775
SOCS4	-0.823625
DDIT4L	2.30725
MAS1	0.566
MGC34796	-0.05825
CSHL1	-0.104666666666667
TBCCD1	0.795666666666667
ZBTB7C	-0.155
AP2S1	-0.1605
P15RS	-0.2198
VAT1	0.26
SHANK3	1.54183333333333
TUFM	-0.289166666666667
THEG	2.0565
KRT34	-1.337
SGSM3	-0.355125
TOMM22	-0.06975
SOCS3	2.12183333333333
CPO	0.0615
POP4	0.396
BHLHB3	0.683
MALL	1.51875
OR1B1	0.1765
PARK2	0.5195
GPR124	0.608875
LCE1E	0.3445
RUVBL2	-0.5385
CGRRF1	-0.3875
ACPL2	-0.02275
WNT10B	-1.193
BAIAP2L2	1.44125
ISCA1	0.4655
C1orf125	0.109571428571429
RPAP1	-1.00775
RAI16	-0.877666666666667
RPL27	0.010125
NLRP9	0.4935
EPN1	-0.142
LOC388610	0.71025
SLC35A1	0.0979
GAL	0.24575
SLC14A2	-0.000750000000000001
RDH11	-0.582333333333333
FAM138F	-0.119
AUH	-0.5745
FLJ40243	-0.177
C14orf129	-0.492166666666667
MBD2	-0.319666666666667
ABHD14B	-0.35975
PIGT	-0.021625
ALS2CR4	-0.637
ALAS1	0.2541
FOXO1	1.46416666666667
CRLF3	0.53725
C20orf107	-0.162
FARS2	0.60825
CCDC28A	-0.14225
NPHP3	-1.002
OR13F1	0.3655
TSEN54	-0.6455
DEFB106B	-0.0113
OR8B4	0.3065
STH	-1.21025
ZC3H14	-0.610875
CBX2	-0.231
TMEM49	-1.79075
C6orf21	0.4085
FLJ20920	-0.567375
CRTAP	-0.427142857142857
DDX50	0.10575
STYXL1	-0.44575
BLVRB	-1.431
LOC147650	-0.025
MMP24	0.6325
GRID1	1.12333333333333
BANF1	0.101333333333333
CTAGEP	0.04975
HMBS	-1.8055
SLC25A24	-0.3275
C14orf50	-0.2325
MRO	1.355
SLC25A15	-0.4305
FAM84B	0.7409
TDP1	-0.336
C16orf78	0.127833333333333
C11orf57	0.761
RFK	-0.20025
ZFYVE9	0.25725
STCH	-0.7861
WIBG	0.26575
LOC283871	-0.665
GBA2	-1.0861
NDUFB3	-0.90025
HSD17B13	0.19725
GRIN3A	1.5205
FMNL1	0.395
SEPT7	0.4495
GNLY	5.6625
GRAMD1C	-0.337166666666667
ZNF165	0.37
USP38	0.317
FAM83A	-2.82866666666667
C14orf24	0.25025
ARMCX3	0.432125
ARHGDIB	0.647
AK1	0.40925
KIAA1045	-0.093
DNAJB13	-0.310833333333333
NEU2	-0.4205
HIST1H4B	-0.3735
FAM20B	-0.206
HES2	0.039
FAM73B	-0.672
LOC388381	0.399
INTS7	0.308272727272727
AMPH	0.42525
ZNF775	-0.0491249999999999
UCKL1	-1.241
C10orf97	-0.4475
C1orf161	-0.289
ALDH1L1	-1.189
FLJ39378	0.04575
SLC23A1	-1.891
RBM4B	0.03575
THAP4	-0.0635
OGFRL1	1.9965
KIAA0831	-0.656375
PPP1R15A	-0.2525
C1orf96	0.787928571428571
C12orf11	-1.28675
BMF	0.749
MAN1A1	-0.2635
KIAA1600	0.516833333333333
NLGN4X	0.2705
ALOX12	-0.833166666666667
RB1CC1	1.4803
NEIL2	0.1057
EIF4E	-0.0439090909090909
ABHD5	-0.258
EXOC4	-0.180333333333333
CIP29	-0.439
BATF2	4.29775
SLC29A4	0.164125
HTR4	0.232
EMB	0.22925
TRAF6	0.7345
LMNB1	-0.4625
FAM19A5	0.5005
SHE	1.539
PIK3C2B	1.909
C15orf15	-0.7273
USP15	0.2847
TCEAL2	0.57175
C5orf39	1.95383333333333
PTGER2	-0.843
SLC31A1	-0.1721875
IFT172	0.928
ADAM29	0.01225
GFOD1	1.0125
ST7L	-0.229666666666667
C15orf26	-2.317
PKN3	-1.1665
CNTD1	0.735666666666667
COMMD1	0.356125
NTRK2	2.09375
FOXN3	0.174
MFGE8	1.1498
PFKFB2	0.0248333333333333
TAS2R4	-0.254
ENTHD1	0.450333333333333
PRMT5	-1.6735
MGC16384	-1.531375
LOC442229	0.1895
TSKU	0.189875
KRTCAP3	3.49
PDLIM1	0.5923
KCNS2	0.39475
RNF126	-0.589
CEP63	-0.194
CLIC4	-0.135
hCG_1990170	0.45575
ACR	1.4409
KLK7	4.84325
ALOX5AP	3.348875
RIPK3	2.85475
TAS2R9	0.067
C19orf18	0.8455
BIRC6	0.161928571428571
ZNF16	1.818
RFT1	-0.39825
SLC8A2	-0.28425
TACC1	0.530375
ITGAD	1.16225
SAMHD1	2.407
SH3PXD2B	1.3712
EPC2	0.3805
C20orf85	0.266625
ATP13A2	0.258333333333333
KRT4	0.136125
CAPNS1	-0.2375
MDM2	-0.12425
PCDH20	1.0895
KCNK9	-0.5935
OR2C1	-0.0645
KLHDC3	-0.5695
IPPK	0.0625
EFHD2	0.365625
GALR3	1.34975
NBEA	-1.379
ABCA6	2.1837
CLDN3	1.70683333333333
AKT2	-0.5405
EGFR	-1.1025
RBM16	-0.147
ZDHHC3	0.0867
SLC25A4	-1.39583333333333
CYB5B	-0.8385
CPXM1	0.06
NDRG1	0.159076923076923
FLJ43826	-0.29525
OR5L2	-0.245833333333333
FARP2	-0.5509
MRPL46	-1.183
LDHAL6B	0.2785
MAPKAPK3	-0.317166666666667
NCAM2	-2.48475
PRKD2	0.165666666666667
ZFP36L1	0.9246
CYSLTR1	0.597
OR4C3	-0.305333333333333
HIST1H2AJ	1.3875
CCNB2	-1.83411111111111
ZNF10	0.06175
TMEM175	1.082
FAM134A	0.2045
TIGD4	-0.2615
PCNP	-1.41125
MGC39715	-0.1825
LQK1	-1.181
CREB1	0.1597
TMPRSS3	0.559
C4orf32	0.16175
LAT	-0.36
KCNA3	0.1145
SKIV2L2	-1.04
ROPN1B	3.164
tcag7.23	-0.149
CDT1	-2.42975
ZHX2	0.5835
CD28	-1.209
ZNF624	0.5565
SEPT2	0.03575
SOHLH2	-1.16925
MCOLN3	-0.847875
UNQ1945	0.7895
MASP2	-1.117
ZNRF3	-0.2233
GPATCH3	-0.522
AGL	0.2195
QRICH2	-0.1325
PSD4	0.039
CCNB1IP1	-1.675
ENPP7	-0.29325
OBFC1	-0.2805
KCNG3	-2.18675
C14orf79	-0.3095
ENPEP	2.01316666666667
SCT	1.475
SKI	1.421125
SEC61G	-0.977
CAPN11	0.27075
ATXN7L3	-0.5835
DBNDD1	0.779166666666667
FAIM	1.04625
ANKRD36	-0.552
GABRP	4.37616666666667
TACSTD2	1.691
EIF3J	-0.5005
PPP2R2A	-0.706
TEKT4	-1.09433333333333
PVALB	-3.37816666666667
F10	-2.61566666666667
FAM134C	0.7046
COMP	4.265
EFCBP1	-1.794625
SCLT1	1.4425
TAL1	-0.7781
ACSL1	0.748
ABCC5	-0.635333333333333
ABL1	-0.222833333333333
RBBP7	-0.391916666666667
PTPRG	-0.553375
NCOR1	-0.533
SPINK4	-2.079
TXNRD1	-1.2082
TNRC15	1.077375
C9orf138	0.367
UBE2H	0.2165
BRDT	0.3755
C8orf31	0.0435
CCNE2	-0.802454545454545
SLC6A8	-0.9065
CALCR	-3.3485
PPP1CB	0.891166666666667
ABHD8	-0.022
ARF5	0.8522
SLC24A4	1.09425
CCT3	0.3925
ZNF121	0.208125
SLC3A2	-1.1261
OR13A1	0.3785
SLC5A10	0.59825
RAD50	-1.354625
IER5	0.58025
MTHFD1L	-0.731125
MBTPS2	-0.1485
MVK	-0.5305
NCL	-0.0912
PSMD10	-0.54375
MOBP	0.353875
FLJ32894	0.3465
HRH1	-0.0785
C5orf30	0.72025
NUDT16L1	-0.1766
RASGRP3	4.421
PRKRIP1	-0.4059
CCDC75	0.90675
LOC253970	-0.60975
KIAA1239	0.39
MED21	-0.668
SYT11	0.951833333333333
NTSR2	0.428
EGFL11	-0.6995
CXorf59	-0.021
OR2A25	0.32675
SPTBN2	-0.0395
LRMP	-0.615
RNF111	-0.8505
PTH	-0.5355
LOC619208	0.263833333333333
KIAA0895	-0.0045
RANBP5	-1.077125
P2RY10	2.37966666666667
NME5	1.70166666666667
DDX21	0.21225
LRSAM1	0.0595
HDAC11	-0.434666666666667
VMO1	3.3625
NOLA2	-0.434666666666667
ADAR	0.851166666666667
MTO1	-1.101
SF4	0.0403333333333333
P2RX1	0.0776666666666666
HBM	0.20975
EN2	1.258
C14orf172	0.408
TM9SF2	-0.398
INHBE	-0.617333333333333
TCTE3	0.0319166666666666
TOX2	-1.26975
CTAGE3	0.224875
HBB	3.9411
MED15	-0.4955
CASR	0.35025
C6orf66	-0.4005
MTPN	0.319625
UNC50	-1.217
C21orf33	-0.1505
IRF2	0.90275
PGR	-1.18033333333333
GPR84	4.1415
CROCCL1	-3.10575
SRPX	-1.216
BRE	-0.206333333333333
FGF10	0.55275
SDC3	1.16516666666667
ZRSR1	-0.0508333333333333
DKFZP434P211	-0.547625
SOX6	-0.6725
RPUSD2	0.24025
C14orf173	-0.535333333333333
MAPK11	0.1965
TBC1D22A	0.2855
FAM123A	-0.404
COL4A6	-1.67666666666667
TOMM70A	-0.9525
NAB1	0.33225
MGC16385	-0.1605
TSPAN18	0.790666666666667
MED31	-0.531
PLG	-0.231
CAPSL	-0.0375
ZNF532	1.5426
ASB14	0.2235
CA8	-2.0205
NUDT16P	0.352666666666667
SLFN11	-0.1875
LRRIQ2	-0.435
NOL7	-0.116666666666667
BRMS1L	-1.0085
JARID1A	0.708166666666667
PANK2	0.03525
ICAM3	0.26025
MDS1	-0.54175
TAF8	0.06725
RNF139	0.949
ZNF594	-0.395833333333333
ADAM8	2.66775
SFTPC	-0.2085
MAN2B2	-0.020875
RGS12	-0.3761875
EIF1AY	-4.6085
LRRIQ1	-0.989
GPR150	1.391
CCDC21	-1.91216666666667
PRRG3	-0.11925
SAA4	-2.1095
RAPGEF5	1.23725
ZCCHC2	0.30175
MGC39372	1.072
PPP4R2	0.00633333333333334
CDCA2	-0.2175
OR4D5	0.735166666666667
PTGFRN	0.816
SIGLEC5	2.35416666666667
C19orf61	-0.737333333333333
NMUR2	0.108
KIAA1586	-0.410833333333333
DAGLA	0.7235
CHCHD6	-0.09275
GPR32	0.4035
NEUROD6	0.201
SLC2A4RG	0.1629375
CA5B	0.094
FBXL3	0.27
MPHOSPH9	-1.51625
HMG2L1	0.22375
HCN4	0.722
CEACAM19	1.18575
SH2D4B	0.292833333333333
HFE2	-0.313
TGM4	0.212333333333333
LYPD2	0.161
TBC1D15	0.208
MRPS21	0.5804
NONO	-0.8327
CLEC5A	2.685125
ITCH	0.2393
MGAT3	0.708333333333333
MBP	-0.00974999999999995
RPP25	0.16375
SOSTDC1	2.91425
HRC	-1.628
TRIM48	0.3575
TMEM133	1.278
ECEL1P2	-1.02466666666667
HOXC11	-0.398
DOK5	2.05825
HELZ	0.119
LOC348180	-0.73625
MGC33894	0.209
ADRB3	0.115
DMD	0.422
PTRH2	-0.739
MPEG1	4.23783333333333
NDUFA12	-0.230333333333333
KRTAP2-4	0.177
STAMBPL1	-1.14433333333333
ADCY2	1.29783333333333
UNQ6125	1.1135
KLHL20	0.896166666666667
SRM	-0.53125
OTC	-0.101
TMIE	0.398
SNX8	0.5555
LIPK	-0.06
CHURC1	0.1225
KLC2	0.3035
HDAC1	-0.0975
FAM128A	-0.427833333333333
FNDC3B	0.6297
MTCP1	-0.0805
WFDC10B	0.599
PCDHGB3	0.1365
ATRNL1	-2.026
CAV2	1.232875
MED26	0.447833333333333
DUS1L	-0.15825
CHRM3	-1.474625
NEK9	-0.3595
WARS2	-0.58075
TBX22	-0.6325
TOMM40	-0.057
RP6-213H19.1	-0.701
TUBGCP5	-1.1525
IGSF6	5.66475
TPPP	-0.00500000000000001
UNQ6190	0.529
GSTM5	0.401
BTD	-0.294333333333333
PDCD1LG2	1.00016666666667
SNRPB2	0.563
ERICH1	0.039125
APOA4	-1.296125
HOXA11	-0.21575
NARG1	-0.5595
MKX	-0.77275
RAB28	-1.336
PKP3	1.54975
SH3GL2	-2.827
CTSO	1.875
RPN2	0.668875
IL28RA	0.193666666666667
SFMBT1	0.07175
WDR57	0.036125
FER1L3	0.456833333333333
HSF5	0.388
TTC9B	0.1935
C4BPA	0.157333333333333
ALB	-3.41464285714286
SORBS3	0.295375
UPF2	1.0115
JPH1	2.089
AGBL2	-1.91625
DOPEY1	1.092
TERF1	0.626833333333333
KIF22	-1.37466666666667
NINJ1	0.5805
SEC61A2	-0.104416666666667
HIST1H1D	0.825
SFXN4	-0.054
UCP3	0.6655
ZNF703	0.579333333333333
MYL6B	0.122
TREM1	3.178
OR52E6	0.7485
CKMT2	1.798
HLA-C	2.87625
SLC13A3	0.320666666666667
TIMP4	-1.88825
SLIT2	2.77725
RSF1	-0.0341111111111111
LONRF1	-0.677214285714286
MON1A	0.180666666666667
CACNG6	-0.970166666666667
DPPA4	-4.96916666666667
ZSWIM3	0.359
ZNF804A	0.4295
CCIN	1.57
SLC25A31	0.0655
KCNMB4	-1.24625
RABL5	0.546125
GALNS	-0.0512
STX6	2.095375
HIST1H1C	-2.549
CIDEB	0.0935
CASP4	0.6565
PDK3	0.9431
KCNJ11	0.319
TPR	0.427625
ZSCAN20	-0.776
MTX2	-1.21325
HIST1H2BH	-0.36875
LOC283767	-0.3215
LYRM7	-1.65361111111111
BRD3	0.0921666666666667
HIST1H2BO	-0.701
MAGEB10	0.1535
SLC45A1	-0.06725
SERPINA3	0.66485
KIAA0143	0.8225
KCNJ16	2.68066666666667
KRT79	0.193
FABP2	-0.45375
NUT	0.003
ZNF57	-0.27725
FBXL4	-0.2995
CLEC9A	1.85
UGT8	1.115
BMP2K	0.28925
MAPK4	0.54125
SLC25A23	-1.1542
HINT1	-1.0278
KRTAP13-1	0.2845
SFXN5	-0.3257
CHCHD2	0.3815
FAM3D	2.4385
NDP	-0.61775
RHOBTB1	1.22233333333333
SLC4A4	-1.178875
RPL38	0.762
HTF9C	-0.811666666666667
AP2A2	0.31325
ZBTB46	-0.559
MAP7D1	-0.21625
AOX1	1.26866666666667
CYR61	0.94725
DTNA	-0.5765
JRKL	0.89425
TMOD3	0.03725
EEA1	-0.3054
ADCK5	0.068
IL1R1	1.66683333333333
KLK3	0.619857142857143
HRSP12	0.83275
KTN1	0.18925
LOH11CR2A	0.545
RELL2	-1.3145
MAB21L1	0.65375
C20orf59	-0.775166666666667
PHKB	-0.851
ADAM2	-1.334
TBC1D8B	0.369333333333333
FAM13A1	-0.2699375
LAPTM4B	0.815916666666667
LCN8	-0.117
TMEM147	1.2545
SYT4	0.227333333333333
XPO7	-0.3115
C9orf62	1.41425
GPR75	-0.224
TRIM5	1.006
APOC1	-0.535
RNASE4	-1.03466666666667
PARD6B	-3.2385
ARID1A	0.0155
TPD52L3	0.306
RRAGB	0.272333333333333
RCN2	-0.475166666666667
HIST2H2BE	-1.0118125
STARD7	-0.32675
SHMT2	-0.43225
KIAA1751	-0.168
MLYCD	-0.032625
LOC162632	-1.0101
UQCRH	-0.75525
RP11-217H1.1	0.7143125
SDHA	-1.14983333333333
NCLN	0.0352
ZNF17	0.0471666666666667
RCBTB2	-1.69
VEGFB	-0.4562
RP4-747L4.3	1.32575
COLQ	-0.1199
MPN2	-0.4025
DRG2	0.30625
KLRB1	6.0435
ALPK2	-1.136
DNASE2B	0.026
FLJ23834	-0.642
AXUD1	0.155666666666667
SAFB	0.2907
NSUN4	0.167
RFX2	-0.578
MAPK8IP1	-0.695
FANCD2	-0.968214285714286
ANKZF1	-1.71866666666667
C19orf50	-0.262375
DUSP8	0.97025
SENP5	0.0795
NFKBIL2	-0.341
LBR	-0.409
IGFL1	-0.2225
LZTS2	0.28775
IL2RG	0.930875
CCDC51	-0.653
KLF3	-0.386875
ANKRD37	-1.949
KCTD14	2.23816666666667
FZR1	-0.342583333333333
SLC44A4	-0.2673
ESPL1	-0.728375
GMPR2	-1.2759
TBC1D19	-1.3985
ERGIC1	-0.405962962962963
ERBB4	1.3826
TSPAN32	0.321166666666667
MAP4	-0.0345
GPHN	-1.0725
SLC6A2	1.63075
HIVEP1	0.46975
DFFB	0.1876
EIF4EBP2	1.230875
DMRT1	-0.227
HSPB6	-0.26225
IER2	-0.017
AIFM1	0.4365
WWC2	-0.297833333333333
MRPL4	-0.11425
FLJ21062	0.101
EPB41L4A	0.537833333333333
SH2D6	0.409
TAF4B	0.185
GAL3ST3	0.139
MALT1	-0.00983333333333334
RTDR1	1.1285
ARVCF	-0.155
MEX3B	0.685
FBXO16	0.68125
KIF7	-1.29225
C1QC	4.60466666666667
ZNF783	-0.154
ZNF85	0.3135
MMP13	2.646
KIAA0329	0.114375
RTP3	-0.7435
ZBED3	-0.028
CLGN	-3.999
SLC25A37	-1.33125
hCG_18290	-0.1
OR5AS1	-0.514
SMARCC2	0.36375
FAM109A	0.421333333333333
CCDC12	-0.42
USF2	0.7043
DEPDC7	-1.826
C20orf24	-0.100833333333333
JMJD3	0.2295
DSP	1.2335
SLIC1	1.1375
FAM20A	3.476625
IRF2BP2	0.8825
ZNF230	0.0425
MSN	1.48457142857143
SLC9A5	-2.118
EPDR1	-1.9831
MUSK	0.387166666666667
ZNF434	-0.336
SMARCD1	-0.462333333333333
ZFP106	-0.8205
ZNF347	0.2014
GTF2E1	0.0455
RY1	-0.657666666666667
ATAD2B	1.08475
ARHGAP17	0.1417
KCNIP3	-0.30725
SFPQ	0.442625
GFRA4	0.979833333333333
AKR1B10	-3.669125
TIGD6	0.112
