Hybridization REF	TCGA-AN-A0AM-01A-11R-A034-07
SPG7	-0.5980625
ZNF614	-0.380166666666667
PARD6G	0.349666666666667
INPP5B	-1.2973
GRPEL2	0.36225
PPID	-0.6338
TRIM56	-0.678
UBE2J1	0.79875
IL20RA	6.39175
LOC387856	0.07825
C1orf107	0.21875
UTS2R	0.91075
C19orf22	-0.05225
SAFB2	0.37275
KIAA0652	0.404375
KLRG1	-0.461666666666667
MS4A8B	0.207166666666667
FRAG1	-0.1175
KIAA1546	-0.78775
E2F4	-0.5695
CLEC4M	0.377
BTBD14A	0.20775
KIAA0999	0.5653
GYPA	-2.84
TAC1	0.0599
TRAIP	-0.943666666666667
KIAA0232	-0.0188
ERCC8	-0.6415
GPX4	0.7735
KIAA0368	-0.418625
GPR157	0.164166666666667
CTAGE4	1.6975
C9orf30	-1.095
OR52A1	0.093
HSP90B3P	0.1145
ALG9	-0.53
BTBD10	-0.01475
SDK2	0.151
BAIAP3	0.59075
RABGGTB	-0.0675
ANKRD40	-0.315833333333333
KRT74	0.512
CALCOCO2	0.0197142857142857
SNCA	-3.51775
TMSL8	-1.78575
C2orf53	0.1805
ESRRB	-0.497
ARHGAP26	-0.158375
TDRD9	-2.525
HRAS	0.326666666666667
KLRC4	-2.1215
JAGN1	0.159833333333333
BSDC1	0.489
RNF43	-0.6193
NDUFAF1	0.16625
PHF12	0.639
OR1L3	0.4685
FOLR2	1.19341666666667
LYZL6	0.0361666666666667
tcag7.1260	-1.555
WSB1	-1.07316666666667
PROS1	-1.1477
OSTN	0.269
PSMB8	2.08775
SOCS4	-1.0065
DDIT4L	3.04375
MAS1	0.1725
MGC34796	1.822
CSHL1	0.33
TBCCD1	-0.0413333333333333
ZBTB7C	-0.17
AP2S1	0.952875
P15RS	-0.7809
VAT1	-1.0939
SHANK3	0.790833333333333
TUFM	0.743166666666667
THEG	1.2555
KRT34	-1.674
SGSM3	0.384875
TOMM22	0.62525
SOCS3	1.27966666666667
CPO	0.1405
POP4	0.37125
BHLHB3	0.3705
MALL	0.44225
OR1B1	0.251
PARK2	0.312
GPR124	-0.11675
LCE1E	0.354
RUVBL2	0.297
CGRRF1	0.28
ACPL2	-0.25925
WNT10B	0.28725
BAIAP2L2	-1.28575
ISCA1	-0.2025
C1orf125	-0.103125
RPAP1	-0.98475
RAI16	0.283833333333333
RPL27	-0.74725
NLRP9	0.239
EPN1	0.152
LOC388610	-0.8095
SLC35A1	1.6759
GAL	-0.70375
SLC14A2	0.1455
RDH11	0.215166666666667
FAM138F	0.238
AUH	-1.35875
FLJ40243	0.372
C14orf129	0.578666666666667
MBD2	-0.410666666666667
ABHD14B	0.163125
PIGT	1.736
ALS2CR4	-0.1295
ALAS1	-0.029
FOXO1	0.731166666666667
CRLF3	-0.378625
C20orf107	0.389
FARS2	0.4385
CCDC28A	1.29425
NPHP3	-0.5795
OR13F1	0.309
TSEN54	0.32
DEFB106B	0.596
OR8B4	0.3905
STH	-0.44625
ZC3H14	-0.597125
CBX2	-0.5735
TMEM49	-0.7505
C6orf21	0.5555
FLJ20920	-0.152125
CRTAP	-0.2105
DDX50	-0.55925
STYXL1	-0.2285
BLVRB	0.625166666666667
LOC147650	-0.222833333333333
MMP24	1.05725
GRID1	0.6985
BANF1	-0.280166666666667
CTAGEP	1.40875
HMBS	-1.87825
SLC25A24	-1.04966666666667
C14orf50	-0.4725
MRO	0.5745
SLC25A15	0.04875
FAM84B	1.0135
TDP1	-0.7505
C16orf78	0.0721666666666667
C11orf57	0.20625
RFK	-0.8315
ZFYVE9	0.203375
STCH	-0.1509
WIBG	1.0085
LOC283871	0.0423333333333333
GBA2	-0.8841
NDUFB3	-0.06275
HSD17B13	-0.41075
GRIN3A	1.26583333333333
FMNL1	-0.656333333333333
SEPT7	-0.6709
GNLY	3.7025
GRAMD1C	0.293
ZNF165	0.638
USP38	0.3385
FAM83A	-1.37866666666667
C14orf24	1.06458333333333
ARMCX3	1.035375
ARHGDIB	-0.650333333333333
AK1	0.307125
KIAA1045	0.17025
DNAJB13	-0.348833333333333
NEU2	0.3355
HIST1H4B	-1.04166666666667
FAM20B	-0.6623
HES2	0.2825
FAM73B	-1.0066
LOC388381	-0.22975
INTS7	-0.252545454545455
AMPH	1.2085
ZNF775	-0.0955
UCKL1	-0.500333333333333
C10orf97	-0.23975
C1orf161	-0.0505
ALDH1L1	-1.92925
FLJ39378	0.55075
SLC23A1	0.694
RBM4B	0.13425
THAP4	0.588333333333333
OGFRL1	1.116
KIAA0831	-0.30175
PPP1R15A	-0.595666666666667
C1orf96	1.03192857142857
C12orf11	-1.52575
BMF	-0.348375
MAN1A1	-1.336
KIAA1600	-0.110166666666667
NLGN4X	-1.729
ALOX12	-1.00916666666667
RB1CC1	-0.3038
NEIL2	0.5082
EIF4E	-0.0393181818181818
ABHD5	0.054
EXOC4	-1.149
CIP29	-0.130666666666667
BATF2	4.375
SLC29A4	-0.328625
HTR4	0.399
EMB	0.37525
TRAF6	-0.09175
LMNB1	-1.384
FAM19A5	1.01225
SHE	1.23675
PIK3C2B	1.47525
C15orf15	-0.7999
USP15	0.4484
TCEAL2	1.359
C5orf39	-0.0291666666666667
PTGER2	-1.44
SLC31A1	-0.2078125
IFT172	0.285
ADAM29	0.3565
GFOD1	1.2635
ST7L	-0.8985
C15orf26	-1.874
PKN3	-0.89975
CNTD1	0.853833333333333
COMMD1	0.34525
NTRK2	2.97725
FOXN3	-0.44125
MFGE8	0.0013
PFKFB2	0.0623333333333334
TAS2R4	-0.0555
ENTHD1	0.151666666666667
PRMT5	-0.595375
MGC16384	-0.75625
LOC442229	-0.255
TSKU	1.675
KRTCAP3	3.984625
PDLIM1	0.5555
KCNS2	0.2685
RNF126	-0.303666666666667
CEP63	-0.025375
CLIC4	-0.787
hCG_1990170	-0.48025
ACR	0.6586
KLK7	0.885
ALOX5AP	2.865875
RIPK3	1.61575
TAS2R9	0.173
C19orf18	1.835
BIRC6	-0.0655714285714286
ZNF16	0.7805
RFT1	-0.12475
SLC8A2	-0.50475
TACC1	-0.116125
ITGAD	0.4385
SAMHD1	0.637
SH3PXD2B	0.9518
EPC2	0.133
C20orf85	1.15925
ATP13A2	0.721666666666667
KRT4	0.630625
CAPNS1	-0.114
MDM2	3.45591666666667
PCDH20	1.54
KCNK9	0.0685
OR2C1	-0.2225
KLHDC3	-0.911666666666667
IPPK	0.4325
EFHD2	-0.029375
GALR3	0.89625
NBEA	0.4085
ABCA6	1.2956
CLDN3	0.3365
AKT2	-0.0717857142857143
EGFR	-1.539
RBM16	-0.744375
ZDHHC3	0.108
SLC25A4	0.141833333333333
CYB5B	-1.0995
CPXM1	-0.55125
NDRG1	-1.20423076923077
FLJ43826	0.3375
OR5L2	-0.1115
FARP2	0.4283
MRPL46	0.00266666666666667
LDHAL6B	0.214
MAPKAPK3	0.342666666666667
NCAM2	1.07
PRKD2	0.4475
ZFP36L1	0.9391
CYSLTR1	-0.95575
OR4C3	0.101
HIST1H2AJ	1.7225
CCNB2	-0.689888888888889
ZNF10	-0.656875
TMEM175	0.425
FAM134A	0.6935
TIGD4	0.0865
PCNP	-0.8085
MGC39715	0.0855
LQK1	-2.0735
CREB1	0.081
TMPRSS3	1.3625
C4orf32	0.735125
LAT	-1.31741666666667
KCNA3	0.5005
SKIV2L2	-0.89875
ROPN1B	-1.798
tcag7.23	-0.0475
CDT1	-1.79575
ZHX2	0.696125
CD28	-2.935
ZNF624	-0.40375
SEPT2	-0.1405
SOHLH2	-1.056625
MCOLN3	-0.04225
UNQ1945	0.649
MASP2	-1.103
ZNRF3	-0.1299
GPATCH3	-0.32475
AGL	-0.1365
QRICH2	-0.3085
PSD4	0.357666666666667
CCNB1IP1	-1.59825
ENPP7	0.077
OBFC1	-0.59875
KCNG3	-1.49375
C14orf79	0.25575
ENPEP	0.602666666666667
SCT	0.8445
SKI	0.851625
SEC61G	0.2135
CAPN11	0.064
ATXN7L3	-0.685
DBNDD1	0.228333333333333
FAIM	1.23775
ANKRD36	-0.418
GABRP	-0.517
TACSTD2	1.862
EIF3J	-0.54525
PPP2R2A	-0.85475
TEKT4	-0.504166666666667
PVALB	-3.10233333333333
F10	-2.27133333333333
FAM134C	0.183
COMP	4.49525
EFCBP1	-2.685625
SCLT1	0.18625
TAL1	-1.0252
ACSL1	1.558
ABCC5	-0.215
ABL1	-0.892833333333333
RBBP7	1.39125
PTPRG	-0.41825
NCOR1	-0.8823
SPINK4	0.751
TXNRD1	-0.6082
TNRC15	0.806
C9orf138	0.46075
UBE2H	0.3385
BRDT	-0.0341666666666667
C8orf31	0.2065
CCNE2	-0.911272727272727
SLC6A8	-1.2565
CALCR	-3.7705
PPP1CB	0.559916666666667
ABHD8	0.31375
ARF5	-0.587
SLC24A4	0.38325
CCT3	0.20425
ZNF121	-0.210125
SLC3A2	-0.3717
OR13A1	0.4415
SLC5A10	-0.16425
RAD50	-0.524625
IER5	0.3655
MTHFD1L	-0.356875
MBTPS2	1.538
MVK	-0.201125
NCL	0.1253
PSMD10	0.05425
MOBP	0.152625
FLJ32894	-0.027
HRH1	0.364166666666667
C5orf30	-0.44925
NUDT16L1	1.6051
RASGRP3	2.27066666666667
PRKRIP1	-0.7998
CCDC75	0.247
LOC253970	0.176
KIAA1239	0.52725
MED21	-0.906
SYT11	0.0035
NTSR2	-0.192
EGFL11	0.186
CXorf59	0.057
OR2A25	0.31
SPTBN2	-0.31375
LRMP	-1.77383333333333
RNF111	-0.2875
PTH	-0.525
LOC619208	-0.252333333333333
KIAA0895	0.6785
RANBP5	-0.51025
P2RY10	0.311166666666667
NME5	3.09483333333333
DDX21	-0.4455
LRSAM1	-0.5865
HDAC11	1.02133333333333
VMO1	2.81625
NOLA2	-0.0318333333333333
ADAR	0.5615
MTO1	-0.861833333333333
SF4	-0.0873333333333333
P2RX1	-0.339333333333333
HBM	0.456
EN2	1.2135
C14orf172	0.38125
TM9SF2	1.0548
INHBE	-1.0745
TCTE3	-0.215083333333333
TOX2	-2.16575
CTAGE3	1.299875
HBB	2.1768
MED15	-0.5605
CASR	0.11975
C6orf66	0.291666666666667
MTPN	-0.2405
UNC50	-0.4865
C21orf33	0.435375
IRF2	0.549375
PGR	-1.673
GPR84	2.94425
CROCCL1	-2.64575
SRPX	-0.6365
BRE	0.146
FGF10	0.4215
SDC3	0.273833333333333
ZRSR1	0.202
DKFZP434P211	-0.70525
SOX6	-0.0755
RPUSD2	-0.545
C14orf173	0.474916666666667
MAPK11	0.0426666666666666
TBC1D22A	1.1525
FAM123A	-0.3785
COL4A6	-2.68916666666667
TOMM70A	0.43125
NAB1	-0.012
MGC16385	0.022
TSPAN18	0.413
MED31	-0.50825
PLG	0.0955
CAPSL	1.6495
ZNF532	0.4888
ASB14	0.2185
CA8	0.7305
NUDT16P	1.10083333333333
SLFN11	-0.5565
LRRIQ2	-0.147125
NOL7	-0.237333333333333
BRMS1L	-0.79775
JARID1A	2.8015
PANK2	-0.91625
ICAM3	0.3445
MDS1	-0.383
TAF8	-0.6465
RNF139	0.1605
ZNF594	-0.126833333333333
ADAM8	3.005875
SFTPC	0.00999999999999999
MAN2B2	0.6795
RGS12	-0.00124999999999998
EIF1AY	-3.68691666666667
LRRIQ1	-1.23616666666667
GPR150	1.0125
CCDC21	-1.20516666666667
PRRG3	0.224
SAA4	-2.43225
RAPGEF5	0.431625
ZCCHC2	-0.0589166666666666
MGC39372	-0.3165
PPP4R2	-0.473833333333333
CDCA2	-1.66966666666667
OR4D5	0.282833333333333
PTGFRN	0.5805
SIGLEC5	1.17833333333333
C19orf61	-0.206166666666667
NMUR2	0.137
KIAA1586	-1.47533333333333
DAGLA	0.8075
CHCHD6	0.46175
GPR32	0.452
NEUROD6	0.1685
SLC2A4RG	0.0798125
CA5B	-0.3465
FBXL3	0.1035
MPHOSPH9	-1.4145
HMG2L1	-0.0345
HCN4	0.675333333333333
CEACAM19	0.57925
SH2D4B	0.277
HFE2	-0.6345
TGM4	0.251166666666667
LYPD2	0.13825
TBC1D15	1.266
MRPS21	-0.153
NONO	-1.0607
CLEC5A	2.206125
ITCH	-0.8595
MGAT3	-1.8505
MBP	0.098125
RPP25	0.6125
SOSTDC1	-2.264
HRC	-1.41725
TRIM48	-0.039
TMEM133	-0.6775
ECEL1P2	-1.0125
HOXC11	-0.0505
DOK5	-0.95175
HELZ	1.17866666666667
LOC348180	-0.408
MGC33894	-0.0235
ADRB3	0.537
DMD	-0.414583333333333
PTRH2	0.84125
MPEG1	2.76966666666667
NDUFA12	-0.740166666666667
KRTAP2-4	0.248583333333333
STAMBPL1	-1.16133333333333
ADCY2	-0.256333333333333
UNQ6125	0.542
KLHL20	0.1195
SRM	-0.67975
OTC	-0.179
TMIE	0.493
SNX8	0.3155
LIPK	0.348
CHURC1	-0.043
KLC2	0.467833333333333
HDAC1	-0.923833333333333
FAM128A	0.123
FNDC3B	0.4317
MTCP1	-0.6985
WFDC10B	0.3345
PCDHGB3	0.8455
ATRNL1	-1.482
CAV2	-0.852375
MED26	-0.285666666666667
DUS1L	1.5465
CHRM3	-1.79175
NEK9	-0.2515
WARS2	-0.8565
TBX22	-0.1485
TOMM40	-0.464
RP6-213H19.1	-1.24266666666667
TUBGCP5	-0.02275
IGSF6	3.63625
TPPP	1.5185
UNQ6190	0.222
GSTM5	0.121625
BTD	0.348166666666667
PDCD1LG2	0.321833333333333
SNRPB2	-0.778833333333333
ERICH1	-0.892375
APOA4	-1.450625
HOXA11	0.07075
NARG1	-0.2525
MKX	0.455
RAB28	-0.758857142857143
PKP3	1.159
SH3GL2	0.6825
CTSO	1.67825
RPN2	1.707875
IL28RA	0.096
SFMBT1	0.007
WDR57	-0.3945
FER1L3	-0.0435833333333333
HSF5	0.164
TTC9B	0.42975
C4BPA	-2.42316666666667
ALB	-3.15135714285714
SORBS3	0.4285
UPF2	-0.064
JPH1	-0.59
AGBL2	-1.1795
DOPEY1	1.429
TERF1	0.0820833333333333
KIF22	-0.282166666666667
NINJ1	0.95025
SEC61A2	0.389333333333333
HIST1H1D	-0.220333333333333
SFXN4	-0.06
UCP3	0.3399
ZNF703	0.747
MYL6B	-0.7165
TREM1	3.193
OR52E6	0.278
CKMT2	3.982
HLA-C	2.917
SLC13A3	-2.2475
TIMP4	1.137
SLIT2	1.16725
RSF1	-0.490777777777778
LONRF1	-1.06292857142857
MON1A	-0.128166666666667
CACNG6	-1.09383333333333
DPPA4	-4.59833333333333
ZSWIM3	1.3655
ZNF804A	0.292333333333333
CCIN	0.8455
SLC25A31	0.10575
KCNMB4	-0.212
RABL5	0.302125
GALNS	0.1535
STX6	0.491
HIST1H1C	-1.2585
CIDEB	-0.201125
CASP4	0.817333333333333
PDK3	3.0075
KCNJ11	0.321
TPR	-0.55475
ZSCAN20	-0.4705
MTX2	-0.40175
HIST1H2BH	0.2705
LOC283767	0.4485
LYRM7	-1.37083333333333
BRD3	-1.314
HIST1H2BO	0.0235
MAGEB10	-0.135
SLC45A1	0.91325
SERPINA3	1.44275
KIAA0143	0.93325
KCNJ16	0.0708333333333333
KRT79	-0.05325
FABP2	-0.28075
NUT	-0.28325
ZNF57	0.00900000000000001
FBXL4	-0.48525
CLEC9A	0.4275
UGT8	-0.474666666666667
BMP2K	-0.13625
MAPK4	-2.93
SLC25A23	-0.626
HINT1	-0.1275
KRTAP13-1	0.244
SFXN5	-0.089
CHCHD2	0.915
FAM3D	0.4295
NDP	-2.139125
RHOBTB1	-1.09533333333333
SLC4A4	-1.108
RPL38	1.423
HTF9C	0.1325
AP2A2	0.17425
ZBTB46	-0.219
MAP7D1	0.087
AOX1	0.202
CYR61	-0.252666666666667
DTNA	-0.252785714285714
JRKL	-0.71625
TMOD3	-0.1145
EEA1	-0.2838
ADCK5	-0.2435
IL1R1	0.205
KLK3	0.355571428571429
HRSP12	-0.06925
KTN1	-0.2335
LOH11CR2A	-0.2659
RELL2	-1.29375
MAB21L1	0.34025
C20orf59	0.00116666666666666
PHKB	-0.0075
ADAM2	-1.1564
TBC1D8B	1.35
FAM13A1	-0.867
LAPTM4B	0.155083333333333
LCN8	-0.052
TMEM147	0.638
SYT4	0.187166666666667
XPO7	-0.878
C9orf62	1.41425
GPR75	0.1505
TRIM5	0.5215
APOC1	-0.710166666666667
RNASE4	0.983833333333333
PARD6B	-1.87425
ARID1A	-0.20425
TPD52L3	0.2694
RRAGB	0.214333333333333
RCN2	0.02
HIST2H2BE	-0.3154375
STARD7	-0.23825
SHMT2	-0.3325
KIAA1751	0.412666666666667
MLYCD	0.42625
LOC162632	-1.0859
UQCRH	-0.92925
RP11-217H1.1	1.056375
SDHA	0.185666666666667
NCLN	0.6362
ZNF17	-0.0393333333333333
RCBTB2	-1.9175
VEGFB	-0.474
RP4-747L4.3	0.17575
COLQ	-0.2318
MPN2	-0.435333333333333
DRG2	-0.61
KLRB1	3.1075
ALPK2	-0.86525
DNASE2B	0.951
FLJ23834	-0.196333333333333
AXUD1	0.3055
SAFB	-0.2678
NSUN4	-0.42425
RFX2	0.248666666666667
MAPK8IP1	-0.0346666666666667
FANCD2	-0.664357142857143
ANKZF1	-1.04283333333333
C19orf50	-0.781625
DUSP8	0.612
SENP5	0.277375
NFKBIL2	-0.38525
LBR	-1.08875
IGFL1	0.372
LZTS2	-0.176625
IL2RG	-0.280625
CCDC51	0.1005
KLF3	-0.86125
ANKRD37	-1.31
KCTD14	-1.52716666666667
FZR1	0.471
SLC44A4	0.2241
ESPL1	-0.575375
GMPR2	-0.0741
TBC1D19	-1.15916666666667
ERGIC1	0.791111111111111
ERBB4	1.5752
TSPAN32	0.11075
MAP4	-0.328875
GPHN	-0.3865
SLC6A2	-0.03525
HIVEP1	0.39675
DFFB	-0.2118
EIF4EBP2	0.15525
DMRT1	0.44525
HSPB6	-0.507
IER2	0.608666666666667
AIFM1	-0.23675
WWC2	0.201583333333333
MRPL4	-0.1505
FLJ21062	-0.1725
EPB41L4A	0.46075
SH2D6	0.19775
TAF4B	-1.37675
GAL3ST3	-0.269
MALT1	-1.33783333333333
RTDR1	0.252
ARVCF	-0.301625
MEX3B	-1.46983333333333
FBXO16	2.133
KIF7	-0.71975
C1QC	4.293
ZNF783	-1.02283333333333
ZNF85	-1.00375
MMP13	4.6495
KIAA0329	0.32725
RTP3	-0.6315
ZBED3	-1.1985
CLGN	0.52575
SLC25A37	-1.60433333333333
hCG_18290	0.42175
OR5AS1	0.3825
SMARCC2	0.164916666666667
FAM109A	-0.0856666666666667
CCDC12	-0.7285
USF2	0.3293
DEPDC7	-1.232
C20orf24	-0.00766666666666665
JMJD3	-0.392
DSP	0.177857142857143
SLIC1	0.39975
FAM20A	1.87525
IRF2BP2	0.372875
ZNF230	-0.3195
MSN	-0.109642857142857
SLC9A5	-0.152
EPDR1	-0.1018
MUSK	0.231
