Hybridization REF	TCGA-AN-A0FS-01A-11R-A034-07
ZNF350	2.02475
MGC11102	0.373375
BST1	1.57975
KISS1R	0.486
NCR2	0.6055
DEFB125	0.717
UBE2W	0.9395
KRT15	2.472875
C10orf99	0.2945
SCN11A	0.43325
GFI1	-3.23275
RDHE2	5.17383333333333
FHL1	0.979833333333333
OSGEP	-0.0585
GATA1	-3.6715
SMC6	-1.40375
TTTY14	-1.0955
LPIN3	-0.58625
RPL4	-0.3733
RBPMS	-0.0524
PRPF3	-0.832166666666667
EMR1	-3.1075
SPATA19	-0.0115
XCR1	0.1745
IRX3	2.0898
RBM6	-0.4735
KLF4	0.4957
UNC5CL	-0.4895
SEBOX	-0.6995
BTK	-1.015
KRCC1	0.998
C6orf27	0.238
SYTL5	-1.4735
PRND	3.509125
LOC653319	-2.195
PIGL	-1.563
HUS1	-0.521666666666667
SFRS6	0.437583333333333
C17orf77	1.87
UIMC1	-0.655833333333333
FXYD2	-2.31177777777778
LOC283152	-0.3115
ZNF667	-0.0565
ZCCHC12	-0.542333333333333
TFEC	1.4596
ATP7B	0.145
POLD2	-1.27733333333333
RG9MTD1	0.262
ACOT2	0.621666666666667
HIST1H4I	-0.984125
PPARGC1A	-1.0533
ETFA	-1.2172
POLRMT	-0.36775
ZNF146	-0.12725
MIA2	-2.0935
KLHL6	-2.20666666666667
HOXB5	-0.670875
NENF	1.306
CUGBP1	0.2925
PRSS22	0.818166666666667
CASC4	1.5554
CUL4B	0.4748
CENPJ	-1.6425
PITX1	-2.01383333333333
FLJ31033	0.0561666666666667
CELSR3	-2.5955
ZNF568	1.461
ITSN1	-0.141
EHBP1L1	-1.16833333333333
C19orf2	-0.52975
DCTN1	-0.1425
LIN28B	-3.09016666666667
TNKS2	0.18325
C1QBP	-0.893
CADPS2	1.87225
SRMS	0.24625
GJA9	-0.300333333333333
MGC24975	-1.51716666666667
TRIM45	1.12583333333333
TSP50	1.23425
TCP1	-1.38475
TMED7	0.6276
CMA1	2.3635
CENPL	-0.724166666666667
PTCRA	-0.8725
FST	-3.878
VWCE	-3.3785
PAWR	-0.218
ABCC12	0.842
LDLR	-1.2854
ASTN2	2.0372
LOC441212	-0.746375
GPATCH8	-0.245
TANC2	-0.597333333333333
KIF4A	-3.057
C18orf18	-0.55225
PGM1	-0.4065
KIAA0258	1.303
CPD	0.718
SNCAIP	0.1495
DCT	-4.8445
HLA-DOA	2.35381818181818
OR11L1	0.6425
UPK1B	0.00139999999999998
DNAJB4	0.552
UGT1A8	-0.039
HIST1H4L	-0.783
PECR	-1.18116666666667
HSPA2	2.59875
WFIKKN1	-1.5535
SERP1	0.64325
SYDE2	2.0885
TACR2	0.1985
NUP85	-0.93575
CD177	-1.13466666666667
LGR5	-2.41083333333333
PIGG	0.14125
PTHR1	-0.389166666666667
RAB5A	0.2119
FLJ13224	-0.935
USP9Y	-1.692
C7orf53	-0.398
LRP1B	-0.95625
XAF1	0.9816
ABCG8	-0.388
ANKDD1A	-0.403666666666667
DAND5	-1.546
SPAG6	5.44983333333333
LINCR	0.659
ZDHHC22	-1.954625
CCDC60	-0.341
THOC7	-1.1065
TCTA	0.6726
OR8K3	-0.27025
NY-REN-7	-0.50125
B2M	0.664
C6orf141	-0.965625
LPPR4	2.97925
SQLE	-2.072875
SEPHS1	-0.81375
BTBD14B	0.2015
PLRG1	-0.1725
SPG7	-0.694875
ZNF614	0.21
PARD6G	1.54833333333333
INPP5B	-0.1063
GRPEL2	0.061
PPID	-0.4314
TRIM56	-0.5845
UBE2J1	-0.51025
IL20RA	4.6555
LOC387856	0.45625
C1orf107	0.979333333333333
UTS2R	0.5595
C19orf22	-1.14475
SAFB2	-0.1815
KIAA0652	-0.0245
KLRG1	-0.614
MS4A8B	3.54733333333333
FRAG1	0.37275
KIAA1546	0.4525
E2F4	-1.8281
CLEC4M	0.155
BTBD14A	-1.25525
KIAA0999	2.2823
GYPA	-3.43233333333333
TAC1	3.1529
TRAIP	-1.79966666666667
KIAA0232	1.1499
ERCC8	-1.01025
GPX4	0.48525
KIAA0368	-0.1755
GPR157	-0.709
CTAGE4	0.529
C9orf30	-1.51133333333333
OR52A1	0.251
HSP90B3P	-1.0525
ALG9	-0.8657
BTBD10	0.4795
SDK2	-0.6775
BAIAP3	-0.3065
RABGGTB	-1.38625
ANKRD40	0.0981666666666667
KRT74	0.12
CALCOCO2	0.278214285714286
SNCA	-2.7765
TMSL8	-3.09225
C2orf53	0.114
ESRRB	-0.38075
ARHGAP26	-0.98
TDRD9	-3.3
HRAS	-0.387166666666667
KLRC4	-2.9935
JAGN1	-0.00666666666666666
BSDC1	0.77775
RNF43	-0.3202
NDUFAF1	0.488
PHF12	0.1595
OR1L3	-0.0373333333333333
FOLR2	2.66925
LYZL6	-0.2808
tcag7.1260	-2.0455
WSB1	-1.636
PROS1	0.045
OSTN	0.245
PSMB8	0.01675
SOCS4	0.08675
DDIT4L	2.355
MAS1	0.285
MGC34796	1.4055
CSHL1	0.2415
TBCCD1	0.376333333333333
ZBTB7C	-0.2565
AP2S1	-0.545625
P15RS	-0.1066
VAT1	-0.4924
SHANK3	1.0895
TUFM	-0.2735
THEG	-0.82475
KRT34	-1.8305
SGSM3	0.3315
TOMM22	0.037875
SOCS3	1.791
CPO	0.9945
POP4	0.14425
BHLHB3	2.1445
MALL	1.60525
OR1B1	-1.1605
PARK2	0.668666666666667
GPR124	1.395125
LCE1E	-0.0015
RUVBL2	-1.06525
CGRRF1	0.7424
ACPL2	1.33825
WNT10B	-1.1295
BAIAP2L2	-2.10625
ISCA1	0.6055
C1orf125	0.212375
RPAP1	-0.591
RAI16	-0.59
RPL27	0.039125
NLRP9	-0.6935
EPN1	-0.329
LOC388610	-1.98175
SLC35A1	1.1925
GAL	-4.444
SLC14A2	-0.11375
RDH11	-0.866333333333333
FAM138F	-0.562
AUH	0.38175
FLJ40243	0.286
C14orf129	0.181166666666667
MBD2	-0.728333333333333
ABHD14B	-0.31225
PIGT	0.637375
ALS2CR4	-0.36075
ALAS1	-0.4725
FOXO1	1.91633333333333
CRLF3	-0.114125
C20orf107	-1.846
FARS2	0.956
CCDC28A	1.3075
NPHP3	-0.92475
OR13F1	0.387
TSEN54	-0.59875
DEFB106B	-0.1858
OR8B4	0.8445
STH	1.666
ZC3H14	-0.20825
CBX2	-0.136
TMEM49	-1.2315
C6orf21	0.4865
FLJ20920	1.225
CRTAP	-0.113
DDX50	0.32625
STYXL1	0.094
BLVRB	-0.2965
LOC147650	-0.130333333333333
MMP24	0.49275
GRID1	2.16166666666667
BANF1	-0.9535
CTAGEP	-0.40225
HMBS	-1.94675
SLC25A24	0.802833333333333
C14orf50	1.2515
MRO	0.194666666666667
SLC25A15	-0.86025
FAM84B	2.091
TDP1	-1.1615
C16orf78	0.0223333333333333
C11orf57	0.2085
RFK	-0.17725
ZFYVE9	0.03875
STCH	-1.1607
WIBG	0.1565
LOC283871	-1.15233333333333
GBA2	-0.3955
NDUFB3	0.01425
HSD17B13	-0.7305
GRIN3A	0.471166666666667
FMNL1	-1.8725
SEPT7	0.0308
GNLY	2.709
GRAMD1C	1.58316666666667
ZNF165	-0.6775
USP38	0.3835
FAM83A	-3.90116666666667
C14orf24	0.514416666666667
ARMCX3	0.8705
ARHGDIB	1.04583333333333
AK1	0.230125
KIAA1045	0.1425
DNAJB13	-0.257
NEU2	0.3915
HIST1H4B	-1.67033333333333
FAM20B	0.761
HES2	0.158642857142857
FAM73B	-0.9386
LOC388381	-1.20625
INTS7	0.413818181818182
AMPH	2.3345
ZNF775	-0.288875
UCKL1	-0.924333333333333
C10orf97	0.39225
C1orf161	-1.31925
ALDH1L1	0.3825
FLJ39378	-0.445875
SLC23A1	-2.1865
RBM4B	0.4645
THAP4	-0.064
OGFRL1	0.67525
KIAA0831	0.279125
PPP1R15A	0.682166666666667
C1orf96	0.0233571428571429
C12orf11	-2.6865
BMF	1.089
MAN1A1	-0.036125
KIAA1600	0.768833333333333
NLGN4X	0.52775
ALOX12	-1.8942
RB1CC1	0.307
NEIL2	-0.00129999999999998
EIF4E	0.280318181818182
ABHD5	0.07925
EXOC4	-0.161666666666667
CIP29	-0.130833333333333
BATF2	-0.72975
SLC29A4	-1.2035
HTR4	0.257
EMB	-0.832
TRAF6	1.0195
LMNB1	-2.308
FAM19A5	-0.145125
SHE	1.611
PIK3C2B	1.64225
C15orf15	-0.3433
USP15	0.1374
TCEAL2	2.17775
C5orf39	-0.316
PTGER2	2.2
SLC31A1	-0.762625
IFT172	0.5115
ADAM29	-0.17875
GFOD1	0.368
ST7L	0.130333333333333
C15orf26	-3.285
PKN3	-1.4565
CNTD1	3.34533333333333
COMMD1	0.42075
NTRK2	3.89272727272727
FOXN3	0.776875
MFGE8	-0.387
PFKFB2	0.8095
TAS2R4	-0.68775
ENTHD1	0.294666666666667
PRMT5	-0.9485
MGC16384	-1.420125
LOC442229	-0.02925
TSKU	0.032625
KRTCAP3	2.664125
PDLIM1	0.7436
KCNS2	0.06675
RNF126	-0.683166666666667
CEP63	-0.05475
CLIC4	-0.449
hCG_1990170	0.25025
ACR	0.1722
KLK7	2.4155
ALOX5AP	3.040875
RIPK3	4.417
TAS2R9	0.289
C19orf18	1.2275
BIRC6	-0.6075
ZNF16	1.0245
RFT1	-0.25
SLC8A2	-0.8455
TACC1	0.400375
ITGAD	0.918666666666667
SAMHD1	0.53775
SH3PXD2B	1.3733
EPC2	1.004
C20orf85	-0.311875
ATP13A2	-0.0588333333333333
KRT4	0.162
CAPNS1	-0.17925
MDM2	-0.549083333333333
PCDH20	5.803
KCNK9	-0.2195
OR2C1	-1.606
KLHDC3	-0.7135
IPPK	-0.115
EFHD2	-0.446125
GALR3	0.45225
NBEA	1.0735
ABCA6	4.0385
CLDN3	0.498
AKT2	-0.0714285714285714
EGFR	-0.6052
RBM16	0.873375
ZDHHC3	0.3034
SLC25A4	-0.159833333333333
CYB5B	-1.08416666666667
CPXM1	0.92275
NDRG1	-1.06607692307692
FLJ43826	0.29525
OR5L2	-0.629666666666667
FARP2	0.1363
MRPL46	-0.357333333333333
LDHAL6B	0.279833333333333
MAPKAPK3	-0.542833333333333
NCAM2	2.18425
PRKD2	0.471833333333333
ZFP36L1	1.8266
CYSLTR1	-0.16575
OR4C3	-0.22675
HIST1H2AJ	1.781
CCNB2	-3.12755555555556
ZNF10	-0.0605
TMEM175	0.1905
FAM134A	1.262
TIGD4	0.5075
PCNP	-0.11375
MGC39715	-0.89275
LQK1	-1.2735
CREB1	1.0675
TMPRSS3	1.5255
C4orf32	2.36875
LAT	-2.12983333333333
KCNA3	0.891
SKIV2L2	-0.59825
ROPN1B	-0.508
tcag7.23	-0.889
CDT1	-3.53375
ZHX2	1.425
CD28	-3.79775
ZNF624	1.502
SEPT2	-0.225666666666667
SOHLH2	-1.412
MCOLN3	0.133875
UNQ1945	-0.1125
MASP2	-2.29
ZNRF3	-0.7656
GPATCH3	-0.06225
AGL	0.569375
QRICH2	-0.6675
PSD4	0.659833333333333
CCNB1IP1	-1.86375
ENPP7	-0.32725
OBFC1	-0.26025
KCNG3	-1.858
C14orf79	0.750416666666667
ENPEP	1.6825
SCT	-0.2265
SKI	0.62
SEC61G	-1.2495
CAPN11	0.74525
ATXN7L3	-0.64525
DBNDD1	-1.3315
FAIM	0.0165
ANKRD36	-0.871
GABRP	3.00166666666667
TACSTD2	2.0355
EIF3J	-0.7075
PPP2R2A	-0.55375
TEKT4	-0.652333333333333
PVALB	1.53283333333333
F10	-0.779833333333333
FAM134C	0.6314
COMP	4.71
EFCBP1	-1.6566875
SCLT1	1.11425
TAL1	-1.2888
ACSL1	0.56775
ABCC5	-0.387166666666667
ABL1	-0.567444444444444
RBBP7	-0.463583333333333
PTPRG	0.23075
NCOR1	0.045
SPINK4	-0.7475
TXNRD1	-1.5813
TNRC15	1.197125
C9orf138	1.202
UBE2H	0.326333333333333
BRDT	0.779
C8orf31	-0.10375
CCNE2	-1.586
SLC6A8	-2.292875
CALCR	-3.80875
PPP1CB	1.0675
ABHD8	-0.32325
ARF5	0.4185
SLC24A4	-0.159
CCT3	0.163
ZNF121	0.03225
SLC3A2	-0.7809
OR13A1	0.764
SLC5A10	0.33175
RAD50	-0.35275
IER5	0.28325
MTHFD1L	-2.562875
MBTPS2	0.918333333333333
MVK	-0.61625
NCL	-0.2691
PSMD10	-0.0115
MOBP	0.41875
FLJ32894	-0.2195
HRH1	-0.0758333333333334
C5orf30	1.04925
NUDT16L1	0.6202
RASGRP3	3.48583333333333
PRKRIP1	-0.5468
CCDC75	0.418
LOC253970	0.527666666666667
KIAA1239	1.31066666666667
MED21	-0.21975
SYT11	0.519833333333333
NTSR2	-0.818
EGFL11	-0.734
CXorf59	2.0075
OR2A25	0.3505
SPTBN2	-1.29775
LRMP	-1.44366666666667
RNF111	0.36625
PTH	-1.1275
LOC619208	1.59016666666667
KIAA0895	0.6455
RANBP5	-1.13
P2RY10	0.552666666666667
NME5	3.95083333333333
DDX21	-1.42425
LRSAM1	-0.52
HDAC11	1.279
VMO1	1.16225
NOLA2	-0.227833333333333
ADAR	1.02158333333333
MTO1	-1.00266666666667
SF4	0.142333333333333
P2RX1	-0.1075
HBM	0.035
EN2	0.9165
C14orf172	-0.16975
TM9SF2	0.6504
INHBE	-2.2135
TCTE3	-0.744083333333334
TOX2	-3.092
CTAGE3	-0.072
HBB	4.426
MED15	-0.851
CASR	0.07125
C6orf66	-1.3345
MTPN	-0.509875
UNC50	-0.0755
C21orf33	0.4465
IRF2	1.1855
PGR	-0.469666666666667
GPR84	0.808
CROCCL1	-1.41575
SRPX	-0.27325
BRE	0.133833333333333
FGF10	4.86475
SDC3	-0.203833333333333
ZRSR1	0.3525
DKFZP434P211	-0.24125
SOX6	0.713
RPUSD2	0.226
C14orf173	-0.753583333333333
MAPK11	-0.3295
TBC1D22A	0.418
FAM123A	-0.976
COL4A6	-2.497
TOMM70A	-0.33375
NAB1	0.4135
MGC16385	-0.934125
TSPAN18	0.315666666666667
MED31	-0.0105
PLG	-0.0577500000000001
CAPSL	0.3775
ZNF532	1.0259
ASB14	0.63675
CA8	2.51075
NUDT16P	1.89983333333333
SLFN11	-0.6365
LRRIQ2	0.267
NOL7	-0.511833333333333
BRMS1L	-0.547625
JARID1A	0.249
PANK2	-0.87975
ICAM3	-0.5325
MDS1	-1.16125
TAF8	-1.17425
RNF139	0.981
ZNF594	0.380333333333333
ADAM8	1.275625
SFTPC	-0.0331666666666667
MAN2B2	1.140875
RGS12	0.508375
EIF1AY	-4.08508333333333
LRRIQ1	-0.0701666666666667
GPR150	0.83475
CCDC21	-1.7625
PRRG3	1.77175
SAA4	-3.4085
RAPGEF5	1.756875
ZCCHC2	0.719583333333333
MGC39372	-0.7135
PPP4R2	0.5695
CDCA2	-3.2565
OR4D5	0.074
PTGFRN	1.1499
SIGLEC5	1.43316666666667
C19orf61	-0.792666666666667
NMUR2	0.4765
KIAA1586	-0.447166666666667
DAGLA	0.0323333333333333
CHCHD6	-0.20875
GPR32	0.572
NEUROD6	-0.339
SLC2A4RG	-0.071375
CA5B	0.79525
FBXL3	1.77425
MPHOSPH9	-1.8235
HMG2L1	0.67725
HCN4	0.495166666666667
CEACAM19	-0.372
SH2D4B	-1.3735
HFE2	-1.0915
TGM4	0.0601666666666666
LYPD2	-1.0325
TBC1D15	-0.1195
MRPS21	0.7411
NONO	-0.8936
CLEC5A	1.810625
ITCH	-0.045
MGAT3	-0.648333333333333
MBP	-0.00687499999999996
RPP25	-0.369
SOSTDC1	1.661
HRC	-0.831
TRIM48	-0.4055
TMEM133	0.506
ECEL1P2	-1.0365
HOXC11	-1.946
DOK5	0.27275
HELZ	0.625666666666667
LOC348180	-1.34675
MGC33894	0.281
ADRB3	0.3145
DMD	0.144666666666667
PTRH2	-1.14075
MPEG1	2.91266666666667
NDUFA12	0.0825
KRTAP2-4	0.262
STAMBPL1	-0.590333333333333
ADCY2	1.43775
UNQ6125	-0.8695
KLHL20	0.745666666666667
SRM	-1.646
OTC	0.63425
TMIE	-0.337333333333333
SNX8	-0.453
LIPK	0.175
CHURC1	0.735666666666667
KLC2	0.239
HDAC1	-0.111666666666667
FAM128A	-0.6435
FNDC3B	-0.6802
MTCP1	-0.811666666666667
WFDC10B	-0.285888888888889
PCDHGB3	0.16
ATRNL1	1.7951
CAV2	0.2835
MED26	-0.081
DUS1L	-0.24675
CHRM3	-1.4
NEK9	0.10975
WARS2	0.38375
TBX22	0.58
TOMM40	-1.637
RP6-213H19.1	-1.10866666666667
TUBGCP5	-1.49275
IGSF6	5.4045
TPPP	1.51883333333333
UNQ6190	0.3745
GSTM5	2.6085
BTD	1.228
PDCD1LG2	0.228166666666667
SNRPB2	-0.464333333333333
ERICH1	-0.453625
APOA4	-1.85271428571429
HOXA11	-2.19466666666667
NARG1	-0.174
MKX	0.45575
RAB28	0.0769285714285714
PKP3	0.59725
SH3GL2	2.81825
CTSO	4.08225
RPN2	-0.1449375
IL28RA	0.378
SFMBT1	0.52975
WDR57	0.316875
FER1L3	0.946083333333333
HSF5	-0.8476
TTC9B	0.23325
C4BPA	-3.5055
ALB	-3.12921428571429
SORBS3	0.28175
UPF2	-0.426
JPH1	-3.321
AGBL2	-0.5005
DOPEY1	1.5225
TERF1	0.0113333333333333
KIF22	-1.07566666666667
NINJ1	1.648
SEC61A2	-0.81975
HIST1H1D	-2.43366666666667
SFXN4	-0.252
UCP3	1.378
ZNF703	0.471166666666667
MYL6B	-0.70975
TREM1	1.16025
OR52E6	-1.4505
CKMT2	2.21825
HLA-C	1.101125
SLC13A3	-2.1344
TIMP4	0.78075
SLIT2	3.387
RSF1	0.0734444444444445
LONRF1	-1.061
MON1A	0.133166666666667
CACNG6	-2.04316666666667
DPPA4	-5.26116666666667
ZSWIM3	0.0095
ZNF804A	-1.32183333333333
CCIN	1.53775
SLC25A31	0.3395
KCNMB4	0.27925
RABL5	0.256125
GALNS	-1.6333
STX6	0.956875
HIST1H1C	-3.51733333333333
CIDEB	0.24075
CASP4	-0.1425
PDK3	-0.5098
KCNJ11	2.7595
TPR	0.22775
ZSCAN20	-0.281
MTX2	-0.2995
HIST1H2BH	-0.5165
LOC283767	-0.5185
LYRM7	-0.605666666666667
BRD3	0.906833333333333
HIST1H2BO	-1.034
MAGEB10	-0.1045
SLC45A1	1.4375
SERPINA3	2.682
KIAA0143	0.9745
KCNJ16	3.47316666666667
KRT79	-0.11
FABP2	-1.21725
NUT	-0.0585
ZNF57	-0.36575
FBXL4	0.6805
CLEC9A	0.2755
UGT8	-1.56016666666667
BMP2K	1.1635
MAPK4	-3.06025
SLC25A23	-0.6368
HINT1	-0.361
KRTAP13-1	0.2675
SFXN5	0.00160000000000001
CHCHD2	-0.0459166666666666
FAM3D	2.0275
NDP	-0.336375
RHOBTB1	1.12433333333333
SLC4A4	-0.61375
RPL38	-0.23675
HTF9C	-0.649833333333333
AP2A2	0.463875
ZBTB46	-0.169
MAP7D1	0.17
AOX1	-0.3645
CYR61	2.11308333333333
DTNA	-0.964857142857143
JRKL	0.39775
TMOD3	-0.03675
EEA1	0.2339
ADCK5	-0.8965
IL1R1	2.2165
KLK3	0.830142857142857
HRSP12	-1.0365
KTN1	0.125
LOH11CR2A	0.6891
RELL2	-1.838
MAB21L1	2.6315
C20orf59	-1.73366666666667
PHKB	-0.60375
ADAM2	-3.16616666666667
TBC1D8B	1.39383333333333
FAM13A1	-0.611625
LAPTM4B	-2.06316666666667
LCN8	-0.5395
TMEM147	0.7425
SYT4	0.0726
XPO7	-1.0655
C9orf62	1.092
GPR75	-0.4405
TRIM5	0.249
APOC1	-1.79083333333333
RNASE4	1.68366666666667
PARD6B	-1.982625
ARID1A	0.04225
TPD52L3	0.757125
RRAGB	1.22283333333333
RCN2	-0.345
HIST2H2BE	-0.4666875
STARD7	-1.01425
SHMT2	-1.66775
KIAA1751	-0.195833333333333
MLYCD	0.410875
LOC162632	-0.749
UQCRH	-1.63625
RP11-217H1.1	0.4756875
SDHA	-1.087
NCLN	-0.4406
ZNF17	0.686833333333333
RCBTB2	-0.8935
VEGFB	-0.1691
RP4-747L4.3	1.17925
COLQ	-0.0723
MPN2	-0.4665
DRG2	-0.4735
KLRB1	4.09875
ALPK2	-3.422
DNASE2B	0.618
FLJ23834	1.36733333333333
AXUD1	1.69116666666667
SAFB	-0.0452
NSUN4	-0.0685
RFX2	1.03066666666667
MAPK8IP1	-0.858
FANCD2	-1.15178571428571
ANKZF1	-1.28483333333333
C19orf50	-0.76175
DUSP8	1.052125
SENP5	-0.415125
NFKBIL2	-1.00625
LBR	-1.206
IGFL1	0.7445
LZTS2	0.709375
IL2RG	-1.759875
CCDC51	-0.3935
KLF3	-0.101375
ANKRD37	-0.082
KCTD14	-0.604166666666667
FZR1	0.144083333333333
SLC44A4	3.5331
ESPL1	-1.63875
GMPR2	-0.2399
TBC1D19	-0.655166666666667
ERGIC1	0.12137037037037
ERBB4	3.6732
TSPAN32	-0.504083333333333
MAP4	-0.845625
GPHN	-0.96425
SLC6A2	0.115125
HIVEP1	0.4805
DFFB	0.0663
EIF4EBP2	0.598375
DMRT1	0.00366666666666666
HSPB6	-0.06125
IER2	1.31866666666667
AIFM1	-0.28875
WWC2	-0.21475
MRPL4	-0.86525
FLJ21062	-0.0536666666666668
EPB41L4A	1.50116666666667
SH2D6	0.0375
TAF4B	-1.87375
GAL3ST3	0.081
MALT1	-1.0245
RTDR1	-0.289
ARVCF	-0.186625
MEX3B	-0.1375
FBXO16	0.3465
KIF7	-1.24875
C1QC	4.173
ZNF783	-0.694666666666667
ZNF85	0.41125
MMP13	1.0935
KIAA0329	0.3885
RTP3	-0.15
ZBED3	0.69575
CLGN	0.143
SLC25A37	-1.75754166666667
hCG_18290	-0.26925
OR5AS1	-0.4865
SMARCC2	0.367
FAM109A	-0.228
CCDC12	0.31075
USF2	0.2564
DEPDC7	-2.18925
C20orf24	-0.634833333333333
JMJD3	0.797
DSP	0.772785714285714
SLIC1	-0.580125
FAM20A	1.110625
IRF2BP2	1.70625
ZNF230	0.106
MSN	-0.618285714285714
