Hybridization REF	TCGA-BH-A0EI-01A-11R-A115-07
HIGD1B	4.52425
USP6NL	-0.36875
ABCD4	-0.403666666666667
DIMT1L	-0.91925
TEK	1.97575
SLC25A46	-0.94525
LARP7	-1.6472
CD160	0.0306
MT1JP	-0.343
PHF20	0.3686875
CPNE4	1.0415
GTPBP1	-0.380571428571429
RAB33B	1.35833333333333
ALDOC	-2.641
ZNF212	-0.31925
NUDT1	-1.475
RFPL2	-0.63125
ZNF83	0.2835
GDPD5	-0.282
PDCD4	0.81605
CEP350	0.374
OR10A2	0.538
CST7	1.003
CIAO1	-0.53875
SELL	1.850875
OR8J3	-0.14
LTBP4	0.2905
SIRT6	-0.29775
CCL19	4.79175
PPIL1	-0.8425
GBP7	0.8804
STK17A	-0.5501
ABR	0.0835
OR9G1	-0.6475
FOXE1	-0.787625
CNGA3	3.0425
GML	0.3125
CD38	-1.6385
ZDHHC6	-0.141166666666667
NEFH	-0.29375
CTDSP2	0.773
PGBD5	-0.941666666666667
CCNY	0.355785714285714
RMND5B	1.02241666666667
ZNF257	-0.742
FLJ22167	-0.240125
EXOSC7	-0.689166666666667
ROR2	1.304875
MAOA	3.041875
TNNT3	0.807333333333333
GYPC	-1.08775
C7orf33	0.2115
PLIN	4.098
LOC90826	0.082
RNF4	0.2462
F8A1	0.299
PLEKHG4	-2.39775
GRB2	0.23185
HIST1H2AD	0.8075
DUS3L	-1.01266666666667
EIF1	0.0883333333333333
RP5-1077B9.4	-1.248
FPGT	1.2785
GDF10	1.47066666666667
COQ9	-0.78175
GCC2	0.719428571428572
RARRES3	2.349625
PLXNA1	-0.0611
KIAA0100	0.0281
PMF1	-0.068
FNDC1	5.8655
HS2ST1	-0.144
CRELD2	-0.02975
C8G	-1.985
CD82	0.7805
LIM2	-0.9425
UNQ6490	1.679
MMP16	0.53775
DRD3	-0.77125
C5orf26	-0.47575
C11orf73	-1.142375
PTP4A2	0.72775
OR4M2	0.525
HPCA	-0.828166666666667
SEC14L1	-0.562333333333333
CHFR	-0.43575
EMILIN1	0.899875
NDUFS4	0.276
COL18A1	1.1155
PDZD3	0.4801
C9orf16	-0.091
ERBB2IP	0.384333333333333
EMX2	3.32725
FUS	-0.532
TF	-3.7877
CLCN4	-0.0223333333333333
CXorf56	-0.01425
C11orf72	-0.18325
ELAC2	-0.743333333333333
NPR1	0.26275
ASS1	-2.21333333333333
USP42	0.349375
POLR2J	-0.1605
SEC23IP	0.6875
UQCRC1	-0.121
LOC729603	-0.18725
C1orf71	-0.185125
POLG	-1.978
ADAM23	-3.196
TFR2	-1.30325
RICTOR	-0.6494
MGC39606	0.973
C19orf55	-0.46625
SNAPC1	-0.802166666666667
GNA11	0.737125
CCDC52	0.348833333333333
FSIP1	5.8395
UPF3A	-0.756
IGSF11	-2.348
LAGE3	0.18225
CHST6	-1.8765
UNC13B	1.335375
TTLL4	-1.361375
ZNF687	1.138
SDC2	-0.4699
COX7A2	0.3235
LAMB4	-0.34125
FAM24A	-0.5105
LRRTM3	-1.217
GPHB5	-0.51
OR4C13	-0.927
EIF3EIP	-1.04235714285714
HABP4	-0.0825
TMEM125	2.369
CNTN2	0.214
ASNSD1	-0.09325
FUT4	0.041375
ACF	-4.0545
LOC158381	0.1745
CDH8	-0.0975
AGPS	-0.971
C4orf18	2.636875
PECI	0.157083333333333
UNG	-0.347125
GSTP1	-1.072
DCUN1D5	-2.18116666666667
DKFZP564J0863	-1.62525
SLC9A3R1	1.9175
BCDO2	-0.85025
CHMP7	0.29375
REM2	0.4435
DNHD1	-0.34475
FKBP4	0.48775
ZNF350	2.009
MGC11102	0.499
BST1	1.32225
KISS1R	0.3115
NCR2	0.0065
DEFB125	-0.1215
UBE2W	0.944125
KRT15	1.5155
C10orf99	0.0485
SCN11A	0.457
GFI1	-2.68025
RDHE2	3.59766666666667
FHL1	-0.109833333333333
OSGEP	-0.548166666666667
GATA1	-4.0835
SMC6	-1.3275
TTTY14	-0.9605
LPIN3	0.082
RPL4	-1.0785
RBPMS	0.4998
PRPF3	0.0905
EMR1	-2.64
SPATA19	-1.07525
XCR1	0.015
IRX3	1.8601
RBM6	-0.5525
KLF4	-0.446
UNC5CL	0.91875
SEBOX	1.007
BTK	-1.3445
KRCC1	1.08375
C6orf27	0.231
SYTL5	-0.5065
PRND	3.3075
LOC653319	-1.973
PIGL	-1.760125
HUS1	-0.809
SFRS6	-1.18891666666667
C17orf77	0.6785
UIMC1	-0.6105
FXYD2	-2.104
LOC283152	-0.57675
ZNF667	0.48975
ZCCHC12	-0.81675
TFEC	3.1675
ATP7B	0.5785
POLD2	-0.818833333333333
RG9MTD1	-0.54625
ACOT2	0.662166666666667
HIST1H4I	-1.429875
PPARGC1A	-1.3839
ETFA	-1.5434
POLRMT	-0.739
ZNF146	-0.23875
MIA2	-0.407
KLHL6	-0.8075
HOXB5	-0.6925
NENF	0.263666666666667
CUGBP1	-0.57525
PRSS22	1.60316666666667
CASC4	2.168
CUL4B	-0.2718
CENPJ	-1.8874
PITX1	0.0475
FLJ31033	2.24766666666667
CELSR3	-2.80516666666667
ZNF568	1.045
ITSN1	0.01575
EHBP1L1	-0.656833333333333
C19orf2	-0.30525
DCTN1	0.9945
LIN28B	-4.66133333333333
TNKS2	0.192
C1QBP	-1.91075
CADPS2	1.552
SRMS	0.3925
GJA9	0.297333333333333
MGC24975	-2.035
TRIM45	-0.494
TSP50	1.35875
TCP1	-0.634
TMED7	0.527
CMA1	1.8925
CENPL	-1.60766666666667
PTCRA	-0.16
FST	-0.19875
VWCE	-4.1895
PAWR	0.5305
ABCC12	2.94633333333333
LDLR	-1.1225
ASTN2	1.7873
LOC441212	-0.995125
GPATCH8	-0.0125
TANC2	0.105583333333333
KIF4A	-2.625
C18orf18	-1.1515
PGM1	-1.46
KIAA0258	1.25425
CPD	0.327625
SNCAIP	-0.62725
DCT	-5.38383333333333
HLA-DOA	2.563
OR11L1	0.1125
UPK1B	0.442833333333333
DNAJB4	0.265
UGT1A8	0.17175
HIST1H4L	-2.2435
PECR	-1.07066666666667
HSPA2	3.1245
WFIKKN1	-1.817
SERP1	0.432125
SYDE2	2.845
TACR2	0.2215
NUP85	-0.9865
CD177	-0.163166666666667
LGR5	-1.38433333333333
PIGG	-0.0311666666666667
PTHR1	-1.1635
RAB5A	0.473
FLJ13224	-0.2105
USP9Y	-3.0314
C7orf53	-1.2055
LRP1B	-0.323
XAF1	3.176
ABCG8	-0.218
ANKDD1A	-0.146666666666667
DAND5	-1.733
SPAG6	0.9045
LINCR	2.00975
ZDHHC22	-1.5705
CCDC60	2.8965
THOC7	-0.945333333333333
TCTA	0.3336
OR8K3	0.232666666666667
NY-REN-7	-0.69125
B2M	0.97
C6orf141	-2.538375
LPPR4	3.0305
SQLE	-0.074375
SEPHS1	-0.6245
BTBD14B	0.315214285714286
PLRG1	-0.50975
SPG7	-0.727375
ZNF614	0.026
PARD6G	0.8695
INPP5B	-0.7875
GRPEL2	-0.372125
PPID	-0.6527
TRIM56	0.006
UBE2J1	-0.440125
IL20RA	4.8035
LOC387856	1.7515
C1orf107	0.0428333333333333
UTS2R	0.8645
C19orf22	-0.25125
SAFB2	-0.544625
KIAA0652	0.60175
KLRG1	-0.171
MS4A8B	1.71316666666667
FRAG1	0.85525
KIAA1546	0.38975
E2F4	-1.1849
CLEC4M	-0.998
BTBD14A	-1.207
KIAA0999	0.8903
GYPA	-6.1255
TAC1	3.2701
TRAIP	-1.68616666666667
KIAA0232	0.9786
ERCC8	-1.584875
GPX4	0.54175
KIAA0368	-0.44275
GPR157	-1.09333333333333
CTAGE4	2.518
C9orf30	-1.25433333333333
OR52A1	-0.638
HSP90B3P	-0.3345
ALG9	-1.059
BTBD10	0.5555
SDK2	0.3735
BAIAP3	1.06075
RABGGTB	-0.88825
ANKRD40	0.260666666666667
KRT74	0.2395
CALCOCO2	0.586857142857143
SNCA	-2.808
TMSL8	-4.983125
C2orf53	-0.4665
ESRRB	-0.4645
ARHGAP26	-1.154625
TDRD9	-3.3255
HRAS	0.723666666666667
KLRC4	-2.107
JAGN1	0.443333333333333
BSDC1	-0.04825
RNF43	0.1714
NDUFAF1	-0.0465
PHF12	0.2365
OR1L3	0.07075
FOLR2	1.88916666666667
LYZL6	-0.562
tcag7.1260	-1.985
WSB1	-0.9015
PROS1	0.3254
OSTN	0.2345
PSMB8	0.64175
SOCS4	-0.62075
DDIT4L	3.247
MAS1	1.271
MGC34796	1.676
CSHL1	0.187833333333333
TBCCD1	-0.0945
ZBTB7C	0.1335
AP2S1	-0.280125
P15RS	-0.0992
VAT1	-0.201
SHANK3	1.58066666666667
TUFM	-0.479666666666667
THEG	-0.50175
KRT34	-1.962
SGSM3	-0.528625
TOMM22	-0.97225
SOCS3	1.969
CPO	-0.2295
POP4	0.1985
BHLHB3	1.619
MALL	1.63425
OR1B1	-0.5665
PARK2	0.331666666666667
GPR124	0.844625
LCE1E	-0.653
RUVBL2	-0.50875
CGRRF1	0.8328
ACPL2	-0.20325
WNT10B	-0.57725
BAIAP2L2	-2.641625
ISCA1	0.086
C1orf125	0.555875
RPAP1	-1.043
RAI16	0.0128333333333333
RPL27	-0.71
NLRP9	0.662
EPN1	0.82
LOC388610	0.2945
SLC35A1	0.8632
GAL	-4.41675
SLC14A2	0.1535
RDH11	-0.566833333333333
FAM138F	-0.6525
AUH	-0.07975
FLJ40243	-0.197
C14orf129	0.808833333333333
MBD2	-0.5205
ABHD14B	0.36275
PIGT	1.396875
ALS2CR4	-0.10275
ALAS1	0.5473
FOXO1	1.39233333333333
CRLF3	-0.68425
C20orf107	0.259
FARS2	0.68225
CCDC28A	0.51475
NPHP3	-0.642
OR13F1	-0.3685
TSEN54	-0.494
DEFB106B	-0.016
OR8B4	0.7375
STH	1.60725
ZC3H14	-0.488125
CBX2	1.538
TMEM49	-0.6085
C6orf21	0.5
FLJ20920	1.294375
CRTAP	0.0950714285714285
DDX50	0.14975
STYXL1	0.0595
BLVRB	0.0508333333333333
LOC147650	-0.530333333333333
MMP24	-0.136
GRID1	3.11916666666667
BANF1	0.661
CTAGEP	0.92825
HMBS	-2.78775
SLC25A24	0.144
C14orf50	2.913
MRO	0.445666666666667
SLC25A15	-1.45575
FAM84B	1.8213
TDP1	-0.5535
C16orf78	-0.09125
C11orf57	-0.60775
RFK	0.06425
ZFYVE9	-0.42475
STCH	-0.8291
WIBG	0.23175
LOC283871	-0.474333333333333
GBA2	0.2156
NDUFB3	-0.21225
HSD17B13	-0.95025
GRIN3A	1.38916666666667
FMNL1	-0.0708333333333333
SEPT7	-0.493
GNLY	3.42
GRAMD1C	1.542
ZNF165	0.098
USP38	1.44775
FAM83A	-3.917
C14orf24	0.964666666666667
ARMCX3	1.379375
ARHGDIB	0.446333333333333
AK1	0.141375
KIAA1045	-0.22025
DNAJB13	-0.500333333333333
NEU2	-0.6375
HIST1H4B	-2.05883333333333
FAM20B	-0.5334
HES2	0.696928571428572
FAM73B	-0.36
LOC388381	-1.09525
INTS7	-0.510454545454545
AMPH	1.521
ZNF775	-0.140875
UCKL1	-0.541166666666667
C10orf97	0.1005
C1orf161	-0.20025
ALDH1L1	0.223
FLJ39378	0.351375
SLC23A1	-1.9395
RBM4B	-0.27925
THAP4	0.462833333333333
OGFRL1	0.0275
KIAA0831	0.071
PPP1R15A	0.184666666666667
C1orf96	-0.514928571428572
C12orf11	-1.9525
BMF	1.4695
MAN1A1	0.427875
KIAA1600	0.866666666666667
NLGN4X	0.14
ALOX12	-1.22133333333333
RB1CC1	-0.3234
NEIL2	0.5609
EIF4E	-0.398909090909091
ABHD5	-0.29425
EXOC4	0.422333333333333
CIP29	-0.761833333333333
BATF2	0.83775
SLC29A4	-0.510625
HTR4	0.33175
EMB	-0.914
TRAF6	0.644
LMNB1	-4.00925
FAM19A5	-1.49275
SHE	2.65925
PIK3C2B	0.6125
C15orf15	-1.2091
USP15	-0.1269
TCEAL2	1.972
C5orf39	-1.523
PTGER2	-0.54375
SLC31A1	-0.823875
IFT172	0.36925
ADAM29	0.29725
GFOD1	0.09075
ST7L	0.598666666666667
C15orf26	-2.80375
PKN3	-0.93725
CNTD1	2.84966666666667
COMMD1	0.60575
NTRK2	3.76108333333333
FOXN3	0.566875
MFGE8	1.3475
PFKFB2	0.0801666666666667
TAS2R4	1.17775
ENTHD1	0.4775
PRMT5	-0.945
MGC16384	-0.8645
LOC442229	-0.6725
TSKU	0.586625
KRTCAP3	1.7035
PDLIM1	0.8686
KCNS2	-0.39725
RNF126	-0.815
CEP63	0.017625
CLIC4	0.426375
hCG_1990170	0.39575
ACR	0.9981
KLK7	3.63075
ALOX5AP	2.3495
RIPK3	4.036
TAS2R9	0.2665
C19orf18	1.513
BIRC6	-0.00957142857142856
ZNF16	1.2615
RFT1	-0.253
SLC8A2	-0.30525
TACC1	0.23925
ITGAD	2.31333333333333
SAMHD1	1.3415
SH3PXD2B	1.0834
EPC2	1.052
C20orf85	1.048875
ATP13A2	0.785833333333333
KRT4	-0.16125
CAPNS1	1.1235
MDM2	-0.278916666666667
PCDH20	3.4575
KCNK9	0.6885
OR2C1	0.0325
KLHDC3	-0.184
IPPK	0.445
EFHD2	-0.69425
GALR3	0.63075
NBEA	1.26216666666667
ABCA6	3.6394
CLDN3	2.046
AKT2	-0.160928571428571
EGFR	-1.3034
RBM16	0.661875
ZDHHC3	0.3251
SLC25A4	0.323333333333333
CYB5B	-1.47116666666667
CPXM1	-0.22925
NDRG1	-0.721538461538462
FLJ43826	0.207
OR5L2	-0.0632
FARP2	0.4494
MRPL46	-0.280083333333333
LDHAL6B	-0.335833333333333
MAPKAPK3	-0.507166666666667
NCAM2	-1.54
PRKD2	0.876166666666667
ZFP36L1	1.2614
CYSLTR1	0.09775
OR4C3	-0.00799999999999999
HIST1H2AJ	1.1595
CCNB2	-3.17866666666667
ZNF10	-0.4865
TMEM175	0.4325
FAM134A	1.40566666666667
TIGD4	-0.217
PCNP	-0.293
MGC39715	1.44575
LQK1	-3.66075
CREB1	1.1997
TMPRSS3	-0.4005
C4orf32	1.344875
LAT	-1.77158333333333
KCNA3	-0.4415
SKIV2L2	-1.10725
ROPN1B	-1.48225
tcag7.23	-0.5045
CDT1	-3.661
ZHX2	1.396625
CD28	-3.51075
ZNF624	0.99775
SEPT2	0.277
SOHLH2	-2.66814285714286
MCOLN3	1.02028571428571
UNQ1945	0.1235
MASP2	-1.1445
ZNRF3	0.4643
GPATCH3	-0.471
AGL	2.16025
QRICH2	-0.208
PSD4	1.63616666666667
CCNB1IP1	-2.546
ENPP7	0.05675
OBFC1	0.3745
KCNG3	-1.6955
C14orf79	0.979
ENPEP	3.24333333333333
SCT	1.6015
SKI	0.44775
SEC61G	-1.17175
CAPN11	1.30675
ATXN7L3	0.35
DBNDD1	0.1675
FAIM	0.78375
ANKRD36	-0.756
GABRP	3.267
TACSTD2	2.9336
EIF3J	-0.68175
PPP2R2A	-0.022
TEKT4	-0.4925
PVALB	2.1835
F10	-2.20933333333333
FAM134C	0.9199
COMP	4.87225
EFCBP1	-2.1328
SCLT1	0.76675
TAL1	-0.8676
ACSL1	1.26025
ABCC5	1.41558333333333
ABL1	-0.263555555555556
RBBP7	-0.88225
PTPRG	-0.18725
NCOR1	-0.2224
SPINK4	0.4195
TXNRD1	-1.8243
TNRC15	0.91725
C9orf138	2.0125
UBE2H	0.966666666666667
BRDT	1.51033333333333
C8orf31	-0.11425
CCNE2	-2.06118181818182
SLC6A8	-1.47625
CALCR	-3.8245
PPP1CB	0.0805
ABHD8	0.4175
ARF5	0.1158
SLC24A4	0.88975
CCT3	-0.06075
ZNF121	0.3085
SLC3A2	-1.054
OR13A1	0.342
SLC5A10	0.19225
RAD50	-0.2725
IER5	0.84625
MTHFD1L	-2.36725
MBTPS2	0.167
MVK	-0.2625
NCL	-0.7699
PSMD10	-0.24525
MOBP	-0.2005
FLJ32894	1.496
HRH1	-0.191
C5orf30	2.537
NUDT16L1	0.4826
RASGRP3	4.213
PRKRIP1	-0.4636
CCDC75	0.12625
LOC253970	0.931
KIAA1239	1.19675
MED21	-0.51325
SYT11	0.80575
NTSR2	-0.7975
EGFL11	-1.315
CXorf59	2.0045
OR2A25	-0.0445
SPTBN2	-0.21775
LRMP	-1.51783333333333
RNF111	0.4085
PTH	-3.1505
LOC619208	0.364166666666667
KIAA0895	0.9685
RANBP5	-1.724875
P2RY10	1.00866666666667
NME5	2.91833333333333
DDX21	-0.4325
LRSAM1	0.961
HDAC11	1.509
VMO1	0.955
NOLA2	-0.223833333333333
ADAR	1.78991666666667
MTO1	-0.8705
SF4	0.4955
P2RX1	-0.035
HBM	-0.1465
EN2	0.384
C14orf172	-0.059
TM9SF2	-0.1004
INHBE	-1.341
TCTE3	-0.267818181818182
TOX2	-2.3745
CTAGE3	0.69225
HBB	3.6054
MED15	-0.439333333333333
CASR	0.5195
C6orf66	-1.1975
MTPN	0.182375
UNC50	-0.08925
C21orf33	-0.207875
IRF2	1.877625
PGR	0.371833333333333
GPR84	2.297
CROCCL1	-2.53625
SRPX	-1.428
BRE	0.602666666666667
FGF10	3.08125
SDC3	-0.512666666666667
ZRSR1	0.1645
DKFZP434P211	-0.391375
SOX6	1.186
RPUSD2	-0.389
C14orf173	-0.46675
MAPK11	-0.339333333333333
TBC1D22A	-0.065
FAM123A	-2.866
COL4A6	-1.533
TOMM70A	0.27525
NAB1	-0.21575
MGC16385	-0.77525
TSPAN18	0.542166666666667
MED31	-0.804
PLG	-0.76975
CAPSL	3.8605
ZNF532	1.0906
ASB14	-0.994333333333333
CA8	-0.10575
NUDT16P	2.35266666666667
SLFN11	-0.634
LRRIQ2	-0.19725
NOL7	-0.468
BRMS1L	-0.95875
JARID1A	0.552
PANK2	-0.1575
ICAM3	-1.15775
MDS1	0.35525
TAF8	-0.29175
RNF139	0.93575
ZNF594	-0.0981666666666667
ADAM8	1.134125
SFTPC	-0.326375
MAN2B2	1.862
RGS12	0.7689375
EIF1AY	-5.36936363636364
LRRIQ1	0.407333333333333
GPR150	1.1285
CCDC21	-1.74233333333333
PRRG3	0.588
SAA4	-2.72425
RAPGEF5	1.598625
ZCCHC2	0.0670833333333333
MGC39372	0.3755
PPP4R2	0.5445
CDCA2	-2.50083333333333
OR4D5	0.196333333333333
PTGFRN	0.9041
SIGLEC5	0.693333333333333
C19orf61	-0.477
NMUR2	0.086
KIAA1586	-1.44516666666667
DAGLA	-0.399333333333333
CHCHD6	-0.34925
GPR32	0.746
NEUROD6	-0.6414
SLC2A4RG	0.9205
CA5B	-0.0165
FBXL3	1.313
MPHOSPH9	-1.24075
HMG2L1	0.32525
HCN4	0.323
CEACAM19	0.30175
SH2D4B	0.0116666666666667
HFE2	-0.8025
TGM4	-0.31525
LYPD2	0.492
TBC1D15	-0.344
MRPS21	-0.3509
NONO	-0.8705
CLEC5A	1.51228571428571
ITCH	0.1359
MGAT3	-0.587833333333333
MBP	-0.81775
RPP25	-0.84825
SOSTDC1	1.6385
HRC	-1.27125
TRIM48	-0.0355
TMEM133	0.43175
ECEL1P2	-2.112
HOXC11	0.6555
DOK5	-0.16275
HELZ	0.332166666666667
LOC348180	-1.0535
MGC33894	0.0305
ADRB3	-0.059
DMD	0.449416666666667
PTRH2	-0.7
MPEG1	3.4418
NDUFA12	0.035
KRTAP2-4	-0.136583333333333
STAMBPL1	-1.62666666666667
ADCY2	1.40033333333333
UNQ6125	0.8545
KLHL20	0.168666666666667
SRM	-1.40875
OTC	-0.458
TMIE	0.581833333333333
SNX8	0.0275
LIPK	2.326
CHURC1	0.232166666666667
KLC2	0.501666666666667
HDAC1	-0.988833333333333
FAM128A	0.6055
FNDC3B	-0.5012
MTCP1	-0.723166666666667
WFDC10B	0.048
PCDHGB3	0.576
ATRNL1	0.9193
CAV2	0.568
MED26	0.359
DUS1L	0.07075
CHRM3	-1.2415
NEK9	0.6665
WARS2	-0.89025
TBX22	0.156
TOMM40	-0.525
RP6-213H19.1	-1.4315
TUBGCP5	-0.849
IGSF6	5.32775
TPPP	0.183333333333333
UNQ6190	-0.383
GSTM5	1.306375
BTD	0.450333333333333
PDCD1LG2	0.865666666666667
SNRPB2	-0.0015
ERICH1	-0.14425
APOA4	-2.129375
HOXA11	-0.8975
NARG1	-0.577625
MKX	-0.07975
RAB28	-0.382
PKP3	1.59625
SH3GL2	-3.12775
CTSO	4.20175
RPN2	0.24
IL28RA	0.668833333333333
SFMBT1	0.18375
WDR57	-1.727125
FER1L3	1.33816666666667
HSF5	-0.13975
TTC9B	-0.0715
C4BPA	-2.50483333333333
ALB	-4.08521428571429
SORBS3	1.064375
UPF2	0.4545
JPH1	0.114
AGBL2	0.80175
DOPEY1	1.428
TERF1	0.42075
KIF22	-0.962166666666667
NINJ1	1.755
SEC61A2	-0.16375
HIST1H1D	-1.042
SFXN4	-0.515625
UCP3	-0.0629
ZNF703	1.004
MYL6B	-1.13175
TREM1	1.865
OR52E6	0.646
CKMT2	2.462
HLA-C	2.3495
SLC13A3	-1.04766666666667
TIMP4	-0.9195
SLIT2	2.66975
RSF1	0.719444444444444
LONRF1	-0.101714285714286
MON1A	-0.229166666666667
CACNG6	0.820333333333333
DPPA4	-6.15066666666667
ZSWIM3	0.2775
ZNF804A	0.2432
CCIN	1.8155
SLC25A31	-0.918333333333333
KCNMB4	-0.6275
RABL5	0.6655
GALNS	-0.8011
STX6	0.7515
HIST1H1C	-0.579333333333333
CIDEB	1.08
CASP4	-0.371333333333333
PDK3	-0.5487
KCNJ11	2.235
TPR	-0.2405
ZSCAN20	-1.2885
MTX2	-0.232
HIST1H2BH	0.409
LOC283767	-0.5065
LYRM7	-1.88844444444444
BRD3	0.492166666666667
HIST1H2BO	0.0945
MAGEB10	-0.1295
SLC45A1	1.0595
SERPINA3	3.47015
KIAA0143	1.1475
KCNJ16	0.477333333333333
KRT79	0.61375
FABP2	-2.517
NUT	-0.18275
ZNF57	-0.5375
FBXL4	0.84925
CLEC9A	1.6705
UGT8	-1.46466666666667
BMP2K	0.714
MAPK4	-1.6455
SLC25A23	-0.3641
HINT1	-1.2935
KRTAP13-1	0.502
SFXN5	0.7007
CHCHD2	-0.724583333333333
FAM3D	1.1715
NDP	0.3465
RHOBTB1	0.223666666666667
SLC4A4	-0.298375
RPL38	0.061
HTF9C	-0.404833333333333
AP2A2	0.655125
ZBTB46	0.004
MAP7D1	0.098875
AOX1	1.10583333333333
CYR61	1.05083333333333
DTNA	-0.476071428571429
JRKL	-0.395
TMOD3	0.2325
EEA1	0.1599
ADCK5	-0.5345
IL1R1	1.90466666666667
KLK3	0.385928571428571
HRSP12	0.29325
KTN1	1.101
LOH11CR2A	0.4783
RELL2	-1.65
MAB21L1	2.18575
C20orf59	-1.12916666666667
PHKB	-0.4995
ADAM2	-2.46325
TBC1D8B	1.31266666666667
FAM13A1	-0.6219375
LAPTM4B	-0.600583333333333
LCN8	0.0715
TMEM147	0.565
SYT4	0.1208
XPO7	-0.381
C9orf62	1.2525
GPR75	0.828
TRIM5	0.705625
APOC1	-0.306666666666667
RNASE4	0.496166666666667
PARD6B	-0.6625
ARID1A	0.23375
TPD52L3	0.41725
RRAGB	0.5655
RCN2	-0.0366666666666667
HIST2H2BE	0.935125
STARD7	-0.3495
SHMT2	-2.0185
KIAA1751	-0.327166666666667
MLYCD	-0.075625
LOC162632	-0.4422
UQCRH	-1.8795
RP11-217H1.1	0.183875
SDHA	-0.947333333333333
NCLN	-0.918
ZNF17	0.686833333333333
RCBTB2	-1.3995
VEGFB	-0.1129
RP4-747L4.3	0.06625
COLQ	0.4428
MPN2	-1.17016666666667
DRG2	-0.36225
KLRB1	4.954
ALPK2	-1.468
DNASE2B	1.95175
FLJ23834	0.565
AXUD1	1.59916666666667
SAFB	-0.4403
NSUN4	-0.9325
RFX2	0.695166666666667
MAPK8IP1	-0.2405
FANCD2	-1.66128571428571
ANKZF1	-1.6645
C19orf50	-0.2555
DUSP8	1.694625
SENP5	-0.404
NFKBIL2	-0.84025
LBR	-2.621125
IGFL1	3.423
LZTS2	0.93825
IL2RG	0.00637500000000001
CCDC51	-0.4085
KLF3	0.825875
ANKRD37	-1.46725
KCTD14	-0.326166666666667
FZR1	-0.140416666666667
SLC44A4	4.1802
ESPL1	-1.372625
GMPR2	-0.209
TBC1D19	-0.0233333333333333
ERGIC1	0.444444444444444
ERBB4	2.1193
TSPAN32	0.132
MAP4	0.543875
GPHN	0.1795
SLC6A2	0.877625
HIVEP1	1.15675
DFFB	-1.049
EIF4EBP2	0.606375
DMRT1	-1.877
HSPB6	0.1945
IER2	0.371333333333333
AIFM1	-0.57525
WWC2	0.381666666666667
MRPL4	-0.8695
FLJ21062	0.9785
EPB41L4A	1.34275
SH2D6	-0.02825
TAF4B	-1.346
GAL3ST3	-0.0215
MALT1	-1.19833333333333
RTDR1	0.2175
ARVCF	-0.13575
MEX3B	-0.672833333333334
FBXO16	0.772
KIF7	-0.118
C1QC	3.96683333333333
ZNF783	-0.177666666666667
ZNF85	0.697
MMP13	5.474
KIAA0329	0.691571428571429
RTP3	-3.898
ZBED3	-0.69725
CLGN	0.344
SLC25A37	-1.14825
hCG_18290	-0.36125
OR5AS1	-0.0215
SMARCC2	0.68825
FAM109A	0.329333333333333
CCDC12	0.005
USF2	0.6447
DEPDC7	-1.76275
C20orf24	-0.3025
JMJD3	0.898
DSP	1.57278571428571
SLIC1	0.23025
FAM20A	0.980625
IRF2BP2	0.81175
ZNF230	0.0065
MSN	-0.310642857142857
SLC9A5	-2.682
EPDR1	-1.4662
MUSK	0.0168333333333334
ZNF434	0.445
SMARCD1	-0.78
ZFP106	-0.4165
ZNF347	0.7313
GTF2E1	0.0965
