Hybridization REF	TCGA-AR-A0TP-01A-11R-A084-07
ASS1	-2.37466666666667
USP42	-0.009875
POLR2J	-0.507
SEC23IP	0.238833333333333
UQCRC1	-0.6265
LOC729603	-0.414
C1orf71	0.128
POLG	-0.415
ADAM23	-3.89175
TFR2	0.016
RICTOR	-1.0395
MGC39606	1.46425
C19orf55	-0.283
SNAPC1	-1.87866666666667
GNA11	1.59725
CCDC52	-0.269166666666667
FSIP1	-1.067
UPF3A	0.170125
IGSF11	2.12833333333333
LAGE3	0.453
CHST6	1.7545
UNC13B	0.773625
TTLL4	-0.003125
ZNF687	1.009625
SDC2	1.7348
COX7A2	-0.80575
LAMB4	0.41775
FAM24A	0.537
LRRTM3	-1.11366666666667
GPHB5	-0.0995
OR4C13	0.678
EIF3EIP	0.511214285714286
HABP4	0.815
TMEM125	4.0625
CNTN2	1.57425
ASNSD1	-0.141
FUT4	1.0725
ACF	-4.073
LOC158381	0.744
CDH8	-0.01775
AGPS	-1.66833333333333
C4orf18	3.570875
PECI	-0.749916666666667
UNG	1.02525
GSTP1	0.30475
DCUN1D5	-0.955
DKFZP564J0863	-0.36975
SLC9A3R1	-0.479875
BCDO2	-0.401125
CHMP7	-0.2725
REM2	0.5145
DNHD1	-0.673625
FKBP4	-0.458875
ZNF350	0.99175
MGC11102	0.24575
BST1	1.44375
KISS1R	0.5315
NCR2	0.1965
DEFB125	0.432
UBE2W	0.986375
KRT15	4.190875
C10orf99	0.3555
SCN11A	-0.029
GFI1	-3.57875
RDHE2	-1.00216666666667
FHL1	-0.230166666666667
OSGEP	-0.5785
GATA1	-3.65066666666667
SMC6	-0.0615
TTTY14	-1.27225
LPIN3	0.28
RPL4	-0.4134
RBPMS	0.2342
PRPF3	0.160333333333333
EMR1	-3.0895
SPATA19	-0.05025
XCR1	0.4935
IRX3	2.2115
RBM6	-1.164
KLF4	-0.7771
UNC5CL	-0.9305
SEBOX	-0.0075
BTK	-1.658
KRCC1	1.57075
C6orf27	0.7335
SYTL5	-0.8135
PRND	1.9485
LOC653319	-1.2735
PIGL	-2.259125
HUS1	0.901666666666667
SFRS6	-0.286
C17orf77	0.055
UIMC1	-0.5875
FXYD2	-1.6806
LOC283152	-0.22525
ZNF667	1.484
ZCCHC12	-0.2695
TFEC	1.5997
ATP7B	-1.945
POLD2	0.170666666666667
RG9MTD1	-1.14675
ACOT2	-1.1745
HIST1H4I	-1.155
PPARGC1A	0.6826
ETFA	-0.8855
POLRMT	-0.943
ZNF146	0.811
MIA2	-1.834
KLHL6	-3.00283333333333
HOXB5	-1.402875
NENF	1.05283333333333
CUGBP1	-0.14725
PRSS22	1.27833333333333
CASC4	0.3371
CUL4B	0.4829
CENPJ	-1.3788
PITX1	-0.345
FLJ31033	0.156
CELSR3	-2.163
ZNF568	0.577
ITSN1	-0.993333333333333
EHBP1L1	-0.645333333333333
C19orf2	0.5825
DCTN1	0.20825
LIN28B	-3.69066666666667
TNKS2	-0.35275
C1QBP	-1.05025
CADPS2	-2.5615
SRMS	0.49875
GJA9	0.3365
MGC24975	-1.244
TRIM45	0.803666666666667
TSP50	1.13125
TCP1	-1.34625
TMED7	-0.5409
CMA1	0.2295
CENPL	0.1935
PTCRA	-0.5265
FST	-4.3045
VWCE	-3.515
PAWR	1.1115
ABCC12	-0.178666666666667
LDLR	-2.2269
ASTN2	1.3826
LOC441212	-0.057
GPATCH8	-0.26725
TANC2	-0.217916666666667
KIF4A	-0.8
C18orf18	-0.22275
PGM1	-0.94325
KIAA0258	1.721
CPD	-0.409375
SNCAIP	-2.2025
DCT	-4.20233333333333
HLA-DOA	1.25668181818182
OR11L1	0.434
UPK1B	-0.7325
DNAJB4	0.55075
UGT1A8	0.43475
HIST1H4L	-1.4425
PECR	-1.1255
HSPA2	0.11625
WFIKKN1	-1.133
SERP1	1.98
SYDE2	0.36775
TACR2	0.8705
NUP85	-0.7165
CD177	-1.09383333333333
LGR5	-0.860166666666667
PIGG	-0.826666666666667
PTHR1	-2.36833333333333
RAB5A	0.0606
FLJ13224	-0.275
USP9Y	-1.76983333333333
C7orf53	0.0945
LRP1B	1.4415
XAF1	-1.0452
ABCG8	0.4055
ANKDD1A	-0.643333333333333
DAND5	0.411
SPAG6	0.373833333333333
LINCR	2.89825
ZDHHC22	-1.789625
CCDC60	-1.498
THOC7	-1.41133333333333
TCTA	0.9491
OR8K3	0.38075
NY-REN-7	-0.155
B2M	-0.716666666666667
C6orf141	-0.05075
LPPR4	0.6895
SQLE	-0.07875
SEPHS1	-0.04625
BTBD14B	0.139357142857143
PLRG1	-0.85125
SPG7	-0.5559375
ZNF614	-0.164166666666667
PARD6G	0.647
INPP5B	-0.3239
GRPEL2	-0.263875
PPID	-0.5241
TRIM56	-0.3095
UBE2J1	0.438
IL20RA	-1.42775
LOC387856	-0.08525
C1orf107	2.01766666666667
UTS2R	0.488
C19orf22	-0.231
SAFB2	-0.278625
KIAA0652	0.323375
KLRG1	-1.40016666666667
MS4A8B	0.3966
FRAG1	0.26925
KIAA1546	-0.2525
E2F4	-0.689
CLEC4M	0.3265
BTBD14A	-1.30525
KIAA0999	0.8505
GYPA	-4.01633333333333
TAC1	-0.3113
TRAIP	-1.6505
KIAA0232	-0.8258
ERCC8	-1.799625
GPX4	-0.685625
KIAA0368	-0.629625
GPR157	0.243833333333333
CTAGE4	1.8955
C9orf30	-0.261166666666667
OR52A1	0.608
HSP90B3P	0.8775
ALG9	0.0222
BTBD10	-0.095
SDK2	0.70825
BAIAP3	-0.92625
RABGGTB	-1.44225
ANKRD40	-0.412333333333333
KRT74	0.5125
CALCOCO2	-0.372857142857143
SNCA	-2.81675
TMSL8	1.074875
C2orf53	0.522
ESRRB	0.401
ARHGAP26	-1.472375
TDRD9	-3.293
HRAS	-0.356833333333333
KLRC4	-2.487
JAGN1	-0.538333333333333
BSDC1	0.536
RNF43	-0.2147
NDUFAF1	-0.9375
PHF12	-0.00949999999999999
OR1L3	-0.0125
FOLR2	2.1595
LYZL6	0.129666666666667
tcag7.1260	-2.3415
WSB1	-2.3895
PROS1	-1.8598
OSTN	0.772
PSMB8	-0.40575
SOCS4	-0.265125
DDIT4L	3.63
MAS1	-0.0125
MGC34796	1.48625
CSHL1	0.334333333333333
TBCCD1	1.01216666666667
ZBTB7C	0.8415
AP2S1	-0.582375
P15RS	-0.039
VAT1	-1.0505
SHANK3	1.15116666666667
TUFM	-0.509333333333333
THEG	-0.80025
KRT34	-1.2265
SGSM3	0.932875
TOMM22	0.443875
SOCS3	0.701166666666667
CPO	0.546
POP4	0.43125
BHLHB3	0.841
MALL	3.02
OR1B1	0.56
PARK2	0.902
GPR124	-0.23725
LCE1E	0.433
RUVBL2	-0.8035
CGRRF1	-0.8778
ACPL2	1.105
WNT10B	-1.319125
BAIAP2L2	-0.963875
ISCA1	0.493
C1orf125	0.072125
RPAP1	-1.26025
RAI16	-0.973333333333333
RPL27	-1.219625
NLRP9	-0.167
EPN1	0.35
LOC388610	1.066625
SLC35A1	1.3019
GAL	-3.41725
SLC14A2	0.09925
RDH11	-1.28766666666667
FAM138F	0.216
AUH	-0.67325
FLJ40243	0.31
C14orf129	0.431666666666667
MBD2	-0.279666666666667
ABHD14B	-0.61675
PIGT	0.646125
ALS2CR4	0.7695
ALAS1	0.1141
FOXO1	0.418333333333333
CRLF3	-0.597625
C20orf107	-0.37
FARS2	1.10625
CCDC28A	0.34275
NPHP3	-0.12375
OR13F1	0.6265
TSEN54	-0.319
DEFB106B	0.4893
OR8B4	0.426
STH	-0.063
ZC3H14	0.35725
CBX2	-2.483
TMEM49	-1.71525
C6orf21	0.6705
FLJ20920	-1.1705
CRTAP	-0.777428571428571
DDX50	0.16475
STYXL1	0.22375
BLVRB	-1.06233333333333
LOC147650	0.471666666666667
MMP24	0.2625
GRID1	0.839333333333333
BANF1	0.016
CTAGEP	0.30925
HMBS	-1.60375
SLC25A24	0.406333333333333
C14orf50	-1.50275
MRO	0.420666666666667
SLC25A15	-0.888
FAM84B	0.8055
TDP1	-0.603
C16orf78	0.0553333333333333
C11orf57	-0.421625
RFK	-0.138
ZFYVE9	0.423625
STCH	-0.4134
WIBG	-0.5975
LOC283871	-0.903333333333333
GBA2	0.895
NDUFB3	-0.69975
HSD17B13	-0.493
GRIN3A	-0.0343333333333333
FMNL1	-1.81166666666667
SEPT7	-0.4837
GNLY	0.4705
GRAMD1C	0.909166666666667
ZNF165	-0.10275
USP38	0.0225
FAM83A	-3.73383333333333
C14orf24	-0.215916666666667
ARMCX3	1.446875
ARHGDIB	1.47266666666667
AK1	-0.858125
KIAA1045	-0.3715
DNAJB13	-0.4375
NEU2	0.6925
HIST1H4B	-1.09
FAM20B	0.0949
HES2	-0.532
FAM73B	-1.2575
LOC388381	-0.23475
INTS7	0.627727272727273
AMPH	-0.00924999999999999
ZNF775	0.46575
UCKL1	-0.451
C10orf97	-0.889
C1orf161	0.2115
ALDH1L1	-1.3255
FLJ39378	0.28975
SLC23A1	-2.163
RBM4B	0.83975
THAP4	-0.469
OGFRL1	2.75125
KIAA0831	-0.649625
PPP1R15A	-0.186
C1orf96	0.494357142857143
C12orf11	-0.673
BMF	0.4035
MAN1A1	-2.377625
KIAA1600	1.17833333333333
NLGN4X	-2.11075
ALOX12	-1.15233333333333
RB1CC1	0.983
NEIL2	0.1219
EIF4E	-0.5225
ABHD5	-0.34775
EXOC4	0.035
CIP29	0.0418333333333333
BATF2	-1.97875
SLC29A4	-0.222875
HTR4	0.34675
EMB	-3.482
TRAF6	0.43375
LMNB1	-1.80775
FAM19A5	0.357375
SHE	1.4865
PIK3C2B	0.555
C15orf15	-0.7258
USP15	0.5286
TCEAL2	1.53075
C5orf39	-0.288666666666667
PTGER2	-2.35625
SLC31A1	-0.88525
IFT172	0.659
ADAM29	0.2715
GFOD1	0.47275
ST7L	0.820833333333333
C15orf26	-3.0685
PKN3	-1.7815
CNTD1	2.66983333333333
COMMD1	-0.015875
NTRK2	3.15258333333333
FOXN3	0.036625
MFGE8	3.8835
PFKFB2	0.486833333333333
TAS2R4	-0.45625
ENTHD1	-0.168166666666667
PRMT5	0.205
MGC16384	-1.25925
LOC442229	-0.44275
TSKU	-1.92375
KRTCAP3	4.512
PDLIM1	0.4417
KCNS2	-0.0265
RNF126	-0.949333333333333
CEP63	-0.005625
CLIC4	1.395
hCG_1990170	4.0765
ACR	1.9306
KLK7	2.64075
ALOX5AP	2.8925
RIPK3	0.88625
TAS2R9	0.389
C19orf18	1.723
BIRC6	0.115142857142857
ZNF16	2.1525
RFT1	-1.1405
SLC8A2	-0.34025
TACC1	-1.211375
ITGAD	-0.07075
SAMHD1	-0.512
SH3PXD2B	1.4946
EPC2	0.9925
C20orf85	0.43525
ATP13A2	-0.0811666666666667
KRT4	0.3785
CAPNS1	-0.0235
MDM2	-0.300333333333333
PCDH20	5.50625
KCNK9	0.708
OR2C1	0.041
KLHDC3	-0.1285
IPPK	0.6805
EFHD2	-0.709625
GALR3	0.51775
NBEA	-1.74316666666667
ABCA6	0.1207
CLDN3	1.95483333333333
AKT2	-0.854785714285714
EGFR	0.3311
RBM16	-0.824625
ZDHHC3	-0.3977
SLC25A4	1.06633333333333
CYB5B	-1.034
CPXM1	-1.06925
NDRG1	2.19115384615385
FLJ43826	0.08725
OR5L2	0.357833333333333
FARP2	-0.1494
MRPL46	-0.432833333333333
LDHAL6B	0.2615
MAPKAPK3	-1.413
NCAM2	-3.18725
PRKD2	0.363333333333333
ZFP36L1	1.1184
CYSLTR1	-2.06775
OR4C3	0.00774999999999998
HIST1H2AJ	0.281
CCNB2	-1.92822222222222
ZNF10	0.501
TMEM175	0.2555
FAM134A	0.3685
TIGD4	1.084
PCNP	-0.63625
MGC39715	-0.22125
LQK1	-2.3895
CREB1	0.6983
TMPRSS3	0.13
C4orf32	-2.295125
LAT	-2.65708333333333
KCNA3	-1.374
SKIV2L2	-1.66125
ROPN1B	5.58275
tcag7.23	-0.0365
CDT1	-0.8785
ZHX2	2.506125
CD28	-3.157
ZNF624	-0.3085
SEPT2	-0.41625
SOHLH2	-2.296
MCOLN3	0.049375
UNQ1945	0.6645
MASP2	-1.349
ZNRF3	0.6251
GPATCH3	-0.15
AGL	-0.218375
QRICH2	2.17
PSD4	0.543
CCNB1IP1	-0.729
ENPP7	0.045
OBFC1	-0.3415
KCNG3	-1.9385
C14orf79	0.152583333333333
ENPEP	2.5985
SCT	0.2965
SKI	0.9405
SEC61G	-0.72425
CAPN11	-0.3285
ATXN7L3	-0.54175
DBNDD1	1.23266666666667
FAIM	2.23625
ANKRD36	-1.161
GABRP	5.41216666666667
TACSTD2	2.77583333333333
EIF3J	-0.83475
PPP2R2A	-0.49725
TEKT4	-0.169333333333333
PVALB	-3.8845
F10	-3.27016666666667
FAM134C	0.3128
COMP	3.81675
EFCBP1	-2.7149375
SCLT1	-0.54575
TAL1	-1.5052
ACSL1	1.2845
ABCC5	0.463833333333333
ABL1	-0.958833333333333
RBBP7	1.40408333333333
PTPRG	-2.086125
NCOR1	-0.8457
SPINK4	-2.13933333333333
TXNRD1	-0.2959
TNRC15	-0.3725
C9orf138	0.9155
UBE2H	0.702166666666667
BRDT	-0.0325
C8orf31	-0.33275
CCNE2	0.035
SLC6A8	-0.573625
CALCR	-4.965
PPP1CB	1.49275
ABHD8	0.14875
ARF5	0.9126
SLC24A4	1.0905
CCT3	0.3935
ZNF121	0.0705
SLC3A2	-0.4261
OR13A1	0.311
SLC5A10	-0.0195
RAD50	-0.934875
IER5	-0.192625
MTHFD1L	-1.372625
MBTPS2	0.38925
MVK	-0.867125
NCL	-1.0979
PSMD10	0.2305
MOBP	0.391833333333333
FLJ32894	0.033
HRH1	-1.85983333333333
C5orf30	-0.62375
NUDT16L1	0.1538
RASGRP3	3.88966666666667
PRKRIP1	-0.4372
CCDC75	-0.77
LOC253970	0.33175
KIAA1239	0.32875
MED21	0.36575
SYT11	-0.083
NTSR2	0.0615
EGFL11	-1.653
CXorf59	0.775
OR2A25	0.176
SPTBN2	0.4585
LRMP	-2.46766666666667
RNF111	-0.2295
PTH	0.886
LOC619208	0.385666666666667
KIAA0895	1.189
RANBP5	0.19825
P2RY10	-1.33733333333333
NME5	-2.14616666666667
DDX21	-0.419
LRSAM1	-0.0825
HDAC11	0.421833333333333
VMO1	0.66425
NOLA2	-1.092
ADAR	0.467916666666667
MTO1	-0.507166666666667
SF4	0.418833333333333
P2RX1	-0.278166666666667
HBM	2.363
EN2	0.813
C14orf172	0.26925
TM9SF2	1.4696
INHBE	-1.257
TCTE3	0.366833333333333
TOX2	-3.18225
CTAGE3	-0.10175
HBB	2.6956
MED15	-0.0246666666666667
CASR	-0.20175
C6orf66	-0.384666666666667
MTPN	0.386375
UNC50	-0.438
C21orf33	-0.551625
IRF2	0.736375
PGR	-3.41716666666667
GPR84	1.9195
CROCCL1	-2.23175
SRPX	0.34725
BRE	0.0795
FGF10	0.32775
SDC3	2.0805
ZRSR1	0.3195
DKFZP434P211	-0.18575
SOX6	0.6055
RPUSD2	-0.5285
C14orf173	0.208583333333333
MAPK11	-0.900166666666666
TBC1D22A	0.146
FAM123A	4.5145
COL4A6	-4.66466666666667
TOMM70A	-0.5985
NAB1	1.193375
MGC16385	0.595125
TSPAN18	-1.0105
MED31	-1.8835
PLG	-0.2045
CAPSL	-0.1695
ZNF532	1.8729
ASB14	0.32175
CA8	-2.8715
NUDT16P	-0.591833333333333
SLFN11	-0.574
LRRIQ2	-0.59875
NOL7	-0.465666666666667
BRMS1L	-0.731125
JARID1A	0.188
PANK2	-0.412
ICAM3	-1.21075
MDS1	-0.862
TAF8	-1.012
RNF139	0.55625
ZNF594	-0.658666666666667
ADAM8	0.7225
SFTPC	-0.456875
MAN2B2	-0.14425
RGS12	-0.0654375
EIF1AY	-4.613
LRRIQ1	-2.15866666666667
GPR150	0.56425
CCDC21	0.073
PRRG3	-0.0175
SAA4	-3.4635
RAPGEF5	2.0215
ZCCHC2	0.538583333333333
MGC39372	-0.002
PPP4R2	0.261833333333333
CDCA2	-1.07333333333333
OR4D5	0.856833333333333
PTGFRN	1.2806
SIGLEC5	0.639333333333333
C19orf61	0.440333333333333
NMUR2	0.4755
KIAA1586	-0.741333333333333
DAGLA	-0.3985
CHCHD6	0.29025
GPR32	0.5005
NEUROD6	0.3454
SLC2A4RG	-0.0045
CA5B	1.3205
FBXL3	1.45825
MPHOSPH9	-1.4445
HMG2L1	0.93875
HCN4	0.1905
CEACAM19	0.20075
SH2D4B	0.761
HFE2	-1.123
TGM4	0.349666666666667
LYPD2	0.3255
TBC1D15	0.43475
MRPS21	0.3305
NONO	-0.4302
CLEC5A	2.07425
ITCH	0.3585
MGAT3	1.505
MBP	0.277
RPP25	1.971
SOSTDC1	5.228
HRC	-2.27175
TRIM48	0.077
TMEM133	1.58675
ECEL1P2	-0.9205
HOXC11	2.056
DOK5	2.46475
HELZ	-0.127666666666667
LOC348180	-0.3535
MGC33894	0.23625
ADRB3	0.399
DMD	2.69608333333333
PTRH2	-0.98175
MPEG1	2.64933333333333
NDUFA12	0.717666666666667
KRTAP2-4	0.0938333333333333
STAMBPL1	0.899833333333333
ADCY2	2.24816666666667
UNQ6125	0.7835
KLHL20	-1.07433333333333
SRM	-1.21425
OTC	0.10575
TMIE	0.6355
SNX8	-0.16575
LIPK	1.2295
CHURC1	-1.86966666666667
KLC2	0.263
HDAC1	-0.420666666666667
FAM128A	-0.221833333333333
FNDC3B	1.453
MTCP1	0.567
WFDC10B	-0.4576
PCDHGB3	-0.72
ATRNL1	-0.0028
CAV2	1.547375
MED26	0.569166666666667
DUS1L	0.43225
CHRM3	1.528
NEK9	0.0735
WARS2	-0.24875
TBX22	-0.798
TOMM40	-0.86325
RP6-213H19.1	0.911
TUBGCP5	-0.468
IGSF6	3.15225
TPPP	1.81133333333333
UNQ6190	0.3895
GSTM5	-0.04725
BTD	-0.322166666666667
PDCD1LG2	0.290166666666667
SNRPB2	-0.6195
ERICH1	-3.597875
APOA4	-1.7775
HOXA11	-0.97175
NARG1	-0.789375
MKX	-1.6235
RAB28	-0.101142857142857
PKP3	0.48425
SH3GL2	-1.32
CTSO	2.39375
RPN2	0.4533125
IL28RA	1.99633333333333
SFMBT1	0.249
WDR57	-0.172125
FER1L3	0.845666666666667
HSF5	0.167833333333333
TTC9B	0.689
C4BPA	-4.85416666666667
ALB	-4.00342857142857
SORBS3	0.068
UPF2	0.504
JPH1	1.203
AGBL2	-1.58175
DOPEY1	1.4615
TERF1	0.140916666666667
KIF22	-0.533333333333333
NINJ1	1.21375
SEC61A2	-0.527916666666667
HIST1H1D	-0.355833333333333
SFXN4	0.176375
UCP3	1.2414
ZNF703	0.0913333333333333
MYL6B	-0.14575
TREM1	2.7935
OR52E6	-0.5225
CKMT2	1.82825
HLA-C	1.049125
SLC13A3	0.961666666666667
TIMP4	-3.814
SLIT2	1.24325
RSF1	-0.108555555555556
LONRF1	-0.172285714285714
MON1A	-0.154666666666667
CACNG6	-2.09733333333333
DPPA4	-5.266
ZSWIM3	-0.05175
ZNF804A	0.4595
CCIN	1.0785
SLC25A31	0.5275
KCNMB4	-1.80075
RABL5	-0.306625
GALNS	0.0263
STX6	0.86775
HIST1H1C	-2.4675
CIDEB	1.45775
CASP4	-1.202
PDK3	1.0484
KCNJ11	0.9885
TPR	-0.37925
ZSCAN20	0.07
MTX2	-0.32375
HIST1H2BH	-0.107
LOC283767	1.388
LYRM7	-1.08927777777778
BRD3	-0.368
HIST1H2BO	-0.07675
MAGEB10	0.3155
SLC45A1	1.1145
SERPINA3	0.55095
KIAA0143	0.36575
KCNJ16	4.32433333333333
KRT79	0.05325
FABP2	-0.671
NUT	-0.16575
ZNF57	0.1845
FBXL4	0.57325
CLEC9A	0.829
UGT8	2.48733333333333
BMP2K	-1.16125
MAPK4	1.5805
SLC25A23	0.3374
HINT1	-1.1725
KRTAP13-1	0.037
SFXN5	-0.1735
CHCHD2	0.108333333333333
FAM3D	0.259
NDP	1.055875
RHOBTB1	-0.694
SLC4A4	-0.11775
RPL38	-0.441
HTF9C	0.754166666666667
AP2A2	-0.276
ZBTB46	-0.4885
MAP7D1	-0.011125
AOX1	-2.44683333333333
CYR61	1.3375
DTNA	-0.078
JRKL	2.15275
TMOD3	-1.51125
EEA1	1.1699
ADCK5	1.101
IL1R1	-0.374666666666667
KLK3	0.2855
HRSP12	-0.25225
KTN1	-0.88375
LOH11CR2A	-1.6175
RELL2	-1.328
MAB21L1	0.629
C20orf59	-1.47216666666667
PHKB	0.49175
ADAM2	-1.86716666666667
TBC1D8B	2.1585
FAM13A1	-0.278125
LAPTM4B	0.984
LCN8	-0.198
TMEM147	0.6
SYT4	0.711
XPO7	0.2095
C9orf62	0.46775
GPR75	0.289
TRIM5	-0.15175
APOC1	-1.6495
RNASE4	0.557
PARD6B	-3.08075
ARID1A	0.401583333333333
TPD52L3	0.0994
RRAGB	0.575833333333333
RCN2	0.981333333333333
HIST2H2BE	0.372375
STARD7	0.3695
SHMT2	0.0665
KIAA1751	-0.0035
MLYCD	0.668125
LOC162632	-0.7802
UQCRH	-0.865
RP11-217H1.1	0.9748125
SDHA	-0.111
NCLN	0.2931
ZNF17	0.591833333333333
RCBTB2	-0.979
VEGFB	0.349
RP4-747L4.3	2.803
COLQ	0.5065
MPN2	-1.2205
DRG2	-1.1895
KLRB1	1.3685
ALPK2	-2.11775
DNASE2B	0.33025
FLJ23834	1.25583333333333
AXUD1	0.5525
SAFB	0.0173
NSUN4	0.07275
RFX2	-0.216
MAPK8IP1	-0.121666666666667
FANCD2	-0.434714285714286
ANKZF1	-1.23433333333333
C19orf50	-0.396875
DUSP8	0.674375
SENP5	-0.148125
NFKBIL2	0.20625
LBR	-0.22025
IGFL1	-0.2475
LZTS2	0.74925
IL2RG	-1.892
CCDC51	-0.9945
KLF3	0.71925
ANKRD37	0.79725
KCTD14	2.385
FZR1	0.581833333333333
SLC44A4	-2.1759
ESPL1	-0.675375
GMPR2	0.0163
TBC1D19	-0.6875
ERGIC1	-0.301481481481482
ERBB4	0.0587
TSPAN32	-0.411916666666667
MAP4	-0.315625
GPHN	-0.81325
SLC6A2	3.645125
HIVEP1	0.4365
DFFB	-0.18
EIF4EBP2	1.254125
DMRT1	2.6585
HSPB6	-0.128
IER2	0.529333333333333
AIFM1	-0.999
WWC2	0.0578333333333333
MRPL4	-0.57675
FLJ21062	-1.01683333333333
EPB41L4A	-1.24925
SH2D6	-0.0875
TAF4B	1.395
GAL3ST3	-0.0545
MALT1	-0.204666666666667
RTDR1	1.918
ARVCF	1.388
MEX3B	1.1115
FBXO16	-1.09925
KIF7	0.658
C1QC	3.87683333333333
ZNF783	0.662333333333333
ZNF85	-0.50375
MMP13	4.8635
KIAA0329	1.07075
RTP3	-1.668
ZBED3	-0.5585
CLGN	-5.33425
SLC25A37	0.0217916666666667
hCG_18290	-0.8915
OR5AS1	0.739
SMARCC2	0.667166666666667
FAM109A	0.331333333333333
CCDC12	-1.0375
USF2	0.8899
DEPDC7	0.1455
C20orf24	-0.725
JMJD3	0.0155
DSP	1.74492857142857
SLIC1	-0.0578750000000001
FAM20A	-0.018625
IRF2BP2	1.56175
ZNF230	0.2165
MSN	0.788714285714286
SLC9A5	-1.535
EPDR1	-2.7229
MUSK	0.245333333333333
ZNF434	-0.276666666666667
