Hybridization REF	TCGA-C8-A12N-01A-11R-A115-07
TUFM	0.392833333333333
THEG	-0.53625
KRT34	-2.33525
SGSM3	0.24375
TOMM22	-0.588
SOCS3	1.00783333333333
CPO	1.843
POP4	-0.09325
BHLHB3	0.97525
MALL	0.98075
OR1B1	0.519
PARK2	0.515
GPR124	0.642875
LCE1E	-1.3995
RUVBL2	0.0605
CGRRF1	0.7753
ACPL2	0.1175
WNT10B	-2.757375
BAIAP2L2	-2.371875
ISCA1	0.084
C1orf125	0.162375
RPAP1	-1.28425
RAI16	-0.314333333333333
RPL27	-0.55975
NLRP9	-0.2005
EPN1	1.522
LOC388610	-0.3605
SLC35A1	0.9334
GAL	-4.3595
SLC14A2	0.5665
RDH11	-0.179
FAM138F	-0.043
AUH	0.55
FLJ40243	-0.14575
C14orf129	0.252166666666667
MBD2	-0.424333333333333
ABHD14B	1.51975
PIGT	0.40125
ALS2CR4	-0.940875
ALAS1	0.1122
FOXO1	0.7865
CRLF3	-0.870875
C20orf107	0.3035
FARS2	0.4225
CCDC28A	0.3855
NPHP3	-0.35
OR13F1	0.3915
TSEN54	-0.482
DEFB106B	0.101666666666667
OR8B4	0.3545
STH	3.0875
ZC3H14	-0.581125
CBX2	-0.2985
TMEM49	-1.51725
C6orf21	0.7215
FLJ20920	1.712875
CRTAP	0.115071428571429
DDX50	-0.47775
STYXL1	0.01225
BLVRB	-0.0833333333333333
LOC147650	0.84
MMP24	0.2395
GRID1	1.8868
BANF1	0.995
CTAGEP	0.29125
HMBS	-1.67275
SLC25A24	-0.705333333333333
C14orf50	2.58875
MRO	0.79
SLC25A15	-0.07625
FAM84B	1.0881
TDP1	-1.232
C16orf78	-0.0638333333333333
C11orf57	0.35075
RFK	-0.871
ZFYVE9	-1.006
STCH	-0.6287
WIBG	0.9995
LOC283871	0.5205
GBA2	-0.0576
NDUFB3	-0.03875
HSD17B13	-1.11875
GRIN3A	0.9838
FMNL1	0.799166666666667
SEPT7	-1.0237
GNLY	3.363
GRAMD1C	0.870666666666667
ZNF165	0.2285
USP38	0.87075
FAM83A	-2.57333333333333
C14orf24	-0.0911666666666666
ARMCX3	0.495375
ARHGDIB	1.11716666666667
AK1	0.54325
KIAA1045	-0.16175
DNAJB13	-0.313166666666667
NEU2	0.7285
HIST1H4B	-0.838333333333333
FAM20B	-1.0276
HES2	0.680642857142857
FAM73B	-0.1306
LOC388381	1.431
INTS7	-0.776909090909091
AMPH	1.80375
ZNF775	-0.17675
UCKL1	-0.727333333333333
C10orf97	-0.36475
C1orf161	-0.27275
ALDH1L1	-1.783
FLJ39378	0.17325
SLC23A1	-0.6735
RBM4B	0.52325
THAP4	0.619833333333333
OGFRL1	0.12425
KIAA0831	0.65875
PPP1R15A	0.325666666666667
C1orf96	-1.39014285714286
C12orf11	-2.05675
BMF	1.03975
MAN1A1	-0.15875
KIAA1600	0.2435
NLGN4X	-0.341
ALOX12	-1.545
RB1CC1	0.8108
NEIL2	0.0148
EIF4E	-0.685909090909091
ABHD5	-0.46975
EXOC4	-0.156666666666667
CIP29	-0.870166666666667
BATF2	0.70425
SLC29A4	0.237375
HTR4	0.11375
EMB	-1.85525
TRAF6	0.88
LMNB1	-4.5765
FAM19A5	-0.42475
SHE	1.67675
PIK3C2B	0.8695
C15orf15	-1.249
USP15	-0.3736
TCEAL2	-0.386
C5orf39	-1.80633333333333
PTGER2	-1.817
SLC31A1	-1.0236875
IFT172	0.29975
ADAM29	0.39075
GFOD1	-0.38675
ST7L	1.1325
C15orf26	-3.45175
PKN3	-1.921
CNTD1	1.17866666666667
COMMD1	0.454375
NTRK2	3.94433333333333
FOXN3	-0.233625
MFGE8	0.7578
PFKFB2	0.787
TAS2R4	-0.11625
ENTHD1	-0.00566666666666666
PRMT5	-1.03475
MGC16384	-1.185
LOC442229	-0.58775
TSKU	1.399375
KRTCAP3	1.905375
PDLIM1	0.8305
KCNS2	0.68475
RNF126	-0.6455
CEP63	0.000124999999999997
CLIC4	0.24275
hCG_1990170	-1.27325
ACR	1.4759
KLK7	-0.40175
ALOX5AP	3.124625
RIPK3	4.12725
TAS2R9	-0.1025
C19orf18	2.5545
BIRC6	-0.0471428571428571
ZNF16	1.6335
RFT1	-0.28475
SLC8A2	-0.50025
TACC1	-0.70175
ITGAD	0.4395
SAMHD1	1.2655
SH3PXD2B	1.4956
EPC2	0.6325
C20orf85	4.866
ATP13A2	1.4175
KRT4	0.471375
CAPNS1	1.45675
MDM2	-0.385333333333333
PCDH20	2.7015
KCNK9	0.7665
OR2C1	0.3795
KLHDC3	0.349
IPPK	0.38
EFHD2	-0.21175
GALR3	0.7845
NBEA	0.6705
ABCA6	2.6819
CLDN3	2.03883333333333
AKT2	-0.473357142857143
EGFR	-2.8938
RBM16	0.44625
ZDHHC3	0.305
SLC25A4	-1.2185
CYB5B	-2.419
CPXM1	0.76475
NDRG1	-0.661307692307692
FLJ43826	0.383
OR5L2	0.236666666666667
FARP2	0.7982
MRPL46	-1.02316666666667
LDHAL6B	-0.0191666666666666
MAPKAPK3	0.349166666666667
NCAM2	0.49
PRKD2	0.632333333333333
ZFP36L1	1.5731
CYSLTR1	0.4895
OR4C3	0.1085
HIST1H2AJ	1.72
CCNB2	-3.378
ZNF10	0.46
TMEM175	0.664
FAM134A	0.8725
TIGD4	0.8365
PCNP	-0.813
MGC39715	0.47975
LQK1	-2.88375
CREB1	0.1735
TMPRSS3	0.634
C4orf32	1.291625
LAT	-1.87616666666667
KCNA3	-0.3315
SKIV2L2	-0.86575
ROPN1B	-2.35825
tcag7.23	-0.008
CDT1	-3.75875
ZHX2	1.284125
CD28	-3.84625
ZNF624	1.31
SEPT2	-0.0754166666666667
SOHLH2	-1.386
MCOLN3	-0.766375
UNQ1945	0.1335
MASP2	-1.6185
ZNRF3	-0.4039
GPATCH3	0.0355
AGL	0.6895
QRICH2	0.37
PSD4	1.23516666666667
CCNB1IP1	-1.56375
ENPP7	0.3985
OBFC1	-0.0335
KCNG3	-2.869
C14orf79	1.49325
ENPEP	2.02416666666667
SCT	2.6555
SKI	0.457125
SEC61G	-0.787
CAPN11	-0.028
ATXN7L3	0.756
DBNDD1	0.205666666666667
FAIM	0.7065
ANKRD36	-0.845
GABRP	1.79866666666667
TACSTD2	1.86516666666667
EIF3J	-0.74025
PPP2R2A	-0.9395
TEKT4	0.902333333333333
PVALB	-4.09883333333333
F10	-3.48983333333333
FAM134C	0.793
COMP	4.485375
EFCBP1	-1.8416875
SCLT1	0.135375
TAL1	-1.5934
ACSL1	-0.3625
ABCC5	0.0144166666666667
ABL1	-0.127833333333333
RBBP7	-0.648333333333333
PTPRG	0.417
NCOR1	-0.2027
SPINK4	-0.2045
TXNRD1	-2.3089
TNRC15	0.71925
C9orf138	1.1365
UBE2H	0.837333333333333
BRDT	2.891
C8orf31	0.80325
CCNE2	-2.28445454545455
SLC6A8	-1.73875
CALCR	-4.1295
PPP1CB	-0.480833333333333
ABHD8	1.09225
ARF5	0.577
SLC24A4	0.65525
CCT3	-0.182
ZNF121	0.10925
SLC3A2	-0.922
OR13A1	0.4265
SLC5A10	1.04025
RAD50	-0.343375
IER5	0.142625
MTHFD1L	-2.392
MBTPS2	0.20425
MVK	-1.034
NCL	-0.7429
PSMD10	-0.948
MOBP	0.37
FLJ32894	0.342
HRH1	0.00616666666666667
C5orf30	1.438
NUDT16L1	0.798
RASGRP3	3.8385
PRKRIP1	-0.4779
CCDC75	-0.1185
LOC253970	0.08275
KIAA1239	-0.35175
MED21	-0.57675
SYT11	0.498
NTSR2	-0.752
EGFL11	0.3715
CXorf59	0.924
OR2A25	0.3445
SPTBN2	0.17325
LRMP	-1.64333333333333
RNF111	0.21475
PTH	-0.479
LOC619208	1.1765
KIAA0895	1.0215
RANBP5	-0.901
P2RY10	0.586666666666667
NME5	4.44116666666667
DDX21	-1.672
LRSAM1	1.5725
HDAC11	1.84433333333333
VMO1	1.991
NOLA2	0.351166666666667
ADAR	0.706083333333333
MTO1	-0.903333333333333
SF4	0.307333333333333
P2RX1	-0.335833333333333
HBM	0.13475
EN2	0.641
C14orf172	0.46675
TM9SF2	-0.3466
INHBE	-1.21883333333333
TCTE3	-0.361666666666667
TOX2	-3.9035
CTAGE3	0.042875
HBB	2.6976
MED15	0.484666666666667
CASR	0.54175
C6orf66	-1.03583333333333
MTPN	-0.052
UNC50	-0.65175
C21orf33	-0.04925
IRF2	1.692875
PGR	3.15316666666667
GPR84	3.52775
CROCCL1	-1.94075
SRPX	-1.3195
BRE	0.995166666666667
FGF10	1.515
SDC3	0.912833333333333
ZRSR1	-0.028
DKFZP434P211	-0.40575
SOX6	-1.382
RPUSD2	-0.34575
C14orf173	-0.427333333333333
MAPK11	-0.161333333333333
TBC1D22A	0.4825
FAM123A	-1.086
COL4A6	-2.14666666666667
TOMM70A	-0.6415
NAB1	-0.14775
MGC16385	-0.564
TSPAN18	0.476166666666667
MED31	0.41975
PLG	-0.70725
CAPSL	4.649
ZNF532	0.4702
ASB14	0.04325
CA8	0.008
NUDT16P	2.60166666666667
SLFN11	-0.6505
LRRIQ2	0.017
NOL7	-0.672166666666667
BRMS1L	-1.60075
JARID1A	0.0336666666666667
PANK2	-0.207
ICAM3	-0.42725
MDS1	-0.92275
TAF8	0.23875
RNF139	1.21025
ZNF594	0.463833333333333
ADAM8	2.197125
SFTPC	-0.06275
MAN2B2	1.33175
RGS12	0.4603125
EIF1AY	-5.12525
LRRIQ1	-0.214333333333333
GPR150	1.0535
CCDC21	-1.45666666666667
PRRG3	0.263
SAA4	-4.49575
RAPGEF5	1.301375
ZCCHC2	0.16725
MGC39372	0.0175
PPP4R2	-0.313333333333333
CDCA2	-3.34833333333333
OR4D5	0.286333333333333
PTGFRN	1.2444
SIGLEC5	2.376
C19orf61	0.162166666666667
NMUR2	0.1885
KIAA1586	-1.611
DAGLA	-0.652666666666667
CHCHD6	-0.7605
GPR32	1.626
NEUROD6	0.2085
SLC2A4RG	0.28375
CA5B	-0.038
FBXL3	1.576
MPHOSPH9	-1.679
HMG2L1	0.5895
HCN4	0.370666666666667
CEACAM19	-0.23825
SH2D4B	0.477
HFE2	-1.1685
TGM4	0.7844
LYPD2	-0.4035
TBC1D15	-0.261
MRPS21	-0.493
NONO	-0.7339
CLEC5A	3.268625
ITCH	-0.7877
MGAT3	-2.20316666666667
MBP	-0.975875
RPP25	-0.87425
SOSTDC1	-2.5935
HRC	-1.8455
TRIM48	-1.096
TMEM133	-0.0935
ECEL1P2	-1.20475
HOXC11	1.092
DOK5	0.78525
HELZ	0.250666666666667
LOC348180	-1.07825
MGC33894	0.55775
ADRB3	0.063
DMD	-0.580583333333333
PTRH2	-0.794
MPEG1	3.34716666666667
NDUFA12	0.0716666666666667
KRTAP2-4	0.0426666666666667
STAMBPL1	-1.60216666666667
ADCY2	0.119833333333333
UNQ6125	-0.018
KLHL20	-0.408666666666667
SRM	-0.73575
OTC	-0.53725
TMIE	0.408666666666667
SNX8	-0.4355
LIPK	1.632
CHURC1	-0.12525
KLC2	0.498166666666667
HDAC1	-0.165666666666667
FAM128A	0.201666666666667
FNDC3B	-0.3884
MTCP1	0.0295
WFDC10B	-0.3513
PCDHGB3	-0.089
ATRNL1	-2.2118
CAV2	-0.63625
MED26	0.331666666666667
DUS1L	0.55975
CHRM3	-1.8345
NEK9	0.2625
WARS2	-0.323
TBX22	-0.0574999999999999
TOMM40	-0.1815
RP6-213H19.1	-2.841
TUBGCP5	-0.789
IGSF6	4.96025
TPPP	0.794333333333333
UNQ6190	0.1605
GSTM5	2.182375
BTD	0.565166666666667
PDCD1LG2	0.358833333333333
SNRPB2	-0.614833333333333
ERICH1	-1.546375
APOA4	-1.704875
HOXA11	-0.95375
NARG1	-1.111375
MKX	0.129
RAB28	-0.839928571428571
PKP3	0.8875
SH3GL2	-2.5745
CTSO	3.206
RPN2	0.143375
IL28RA	0.3475
SFMBT1	1.11025
WDR57	-1.227125
FER1L3	0.803083333333333
HSF5	0.568833333333333
TTC9B	0.215
C4BPA	-4.36983333333333
ALB	-5.5695
SORBS3	0.665875
UPF2	-0.0695
JPH1	0.521
AGBL2	1.34
DOPEY1	0.8735
TERF1	0.0279166666666667
KIF22	0.260666666666667
NINJ1	2.595
SEC61A2	-0.08625
HIST1H1D	0.00533333333333333
SFXN4	-0.408875
UCP3	0.3957
ZNF703	1.19133333333333
MYL6B	-0.255
TREM1	2.90375
OR52E6	0.1955
CKMT2	0.6605
HLA-C	1.89625
SLC13A3	-1.67833333333333
TIMP4	0.13775
SLIT2	1.40925
RSF1	-0.0302222222222223
LONRF1	-1.67814285714286
MON1A	0.415333333333333
CACNG6	0.0108333333333333
DPPA4	-6.0105
ZSWIM3	0.264
ZNF804A	0.775166666666667
CCIN	2.26825
SLC25A31	0.65225
KCNMB4	0.76275
RABL5	0.630375
GALNS	0.3082
STX6	0.428625
HIST1H1C	-0.0463333333333333
CIDEB	0.406
CASP4	0.245166666666667
PDK3	-0.1049
KCNJ11	1.93
TPR	-0.828375
ZSCAN20	-0.991
MTX2	-0.328
HIST1H2BH	0.43325
LOC283767	0.80825
LYRM7	-1.75633333333333
BRD3	0.0866666666666667
HIST1H2BO	0.06
MAGEB10	0.734
SLC45A1	0.83425
SERPINA3	1.96975
KIAA0143	1.55275
KCNJ16	0.2865
KRT79	0.83175
FABP2	-1.14375
NUT	1.2895
ZNF57	-0.53925
FBXL4	0.3355
CLEC9A	0.811
UGT8	-1.38533333333333
BMP2K	0.794
MAPK4	-3.913
SLC25A23	0.3811
HINT1	-0.881
KRTAP13-1	-0.1375
SFXN5	1.631
CHCHD2	-0.40925
FAM3D	0.7325
NDP	1.964875
RHOBTB1	0.559
SLC4A4	-1.578875
RPL38	-0.248
HTF9C	0.1275
AP2A2	0.6945
ZBTB46	-0.5
MAP7D1	0.518
AOX1	-1.595
CYR61	0.792916666666667
DTNA	-2.0435
JRKL	-0.47525
TMOD3	-0.1925
EEA1	-0.4008
ADCK5	0.73975
IL1R1	1.0215
KLK3	0.587857142857143
HRSP12	0.3975
KTN1	1.4305
LOH11CR2A	1.4851
RELL2	-0.48125
MAB21L1	1.35575
C20orf59	-0.9835
PHKB	-1.11225
ADAM2	-2.1055
TBC1D8B	1.179
FAM13A1	-0.295625
LAPTM4B	-1.47541666666667
LCN8	-0.173
TMEM147	0.778
SYT4	-1.0628
XPO7	-1.171
C9orf62	1.12725
GPR75	-0.023
TRIM5	0.886125
APOC1	-0.768
RNASE4	0.149833333333333
PARD6B	-0.284375
ARID1A	0.734416666666667
TPD52L3	0.0884444444444444
RRAGB	0.784833333333333
RCN2	-1.00616666666667
HIST2H2BE	0.868625
STARD7	-0.56125
SHMT2	-1.413
KIAA1751	-0.297333333333333
MLYCD	-0.6875
LOC162632	-1.0648
UQCRH	-1.8045
RP11-217H1.1	0.00475000000000004
SDHA	-1.79333333333333
NCLN	-0.528
ZNF17	0.907333333333333
RCBTB2	-1.45175
VEGFB	0.334
RP4-747L4.3	-0.9355
COLQ	0.7064
MPN2	-0.568666666666667
DRG2	0.812
KLRB1	2.6755
ALPK2	-1.26125
DNASE2B	0.31375
FLJ23834	0.667166666666667
AXUD1	0.744666666666667
SAFB	-0.4865
NSUN4	0.093
RFX2	-0.073
MAPK8IP1	-0.5325
FANCD2	-1.51428571428571
ANKZF1	-1.74733333333333
C19orf50	-0.213375
DUSP8	0.53275
SENP5	-0.6495
NFKBIL2	-0.59475
LBR	-2.844125
IGFL1	2.837
LZTS2	0.955375
IL2RG	0.785125
CCDC51	-0.04675
KLF3	-0.05875
ANKRD37	-1.4225
KCTD14	-1.00916666666667
FZR1	0.31525
SLC44A4	3.5357
ESPL1	-1.525
GMPR2	-0.2096
TBC1D19	-0.556333333333333
ERGIC1	-0.0951111111111111
ERBB4	3.4983
TSPAN32	0.34725
MAP4	0.404625
GPHN	0.4235
SLC6A2	-0.408875
HIVEP1	1.00325
DFFB	-0.6892
EIF4EBP2	0.3345
DMRT1	-0.95025
HSPB6	-0.16775
IER2	-0.233166666666667
AIFM1	-0.234
WWC2	0.265833333333333
MRPL4	0.1745
FLJ21062	1.89716666666667
EPB41L4A	0.88975
SH2D6	0.01825
TAF4B	-2.00025
GAL3ST3	0.2735
MALT1	-1.04966666666667
RTDR1	0.1285
ARVCF	0.319
MEX3B	-0.6275
FBXO16	0.45925
KIF7	-0.04775
C1QC	3.88183333333333
ZNF783	-0.101833333333333
ZNF85	0.54825
MMP13	6.5735
KIAA0329	-0.00100000000000002
RTP3	-0.6875
ZBED3	-0.47225
CLGN	-1.47075
SLC25A37	-2.00554166666667
hCG_18290	0.10675
OR5AS1	0.3705
SMARCC2	0.738333333333333
FAM109A	0.430166666666667
CCDC12	0.02625
USF2	0.9481
DEPDC7	-0.91975
C20orf24	-1.15183333333333
JMJD3	1.234
DSP	1.59414285714286
SLIC1	0.75425
FAM20A	1.18175
IRF2BP2	-0.2995
ZNF230	-0.4335
MSN	-0.283857142857143
SLC9A5	-1.8125
EPDR1	-1.7131
MUSK	0.366666666666667
ZNF434	1.19183333333333
SMARCD1	-0.290333333333333
ZFP106	-0.4715
