Hybridization REF	TCGA-AN-A0FX-01A-11R-A034-07
KIAA0232	0.0905
ERCC8	-1.3105
GPX4	-0.09325
KIAA0368	-0.420375
GPR157	-1.21333333333333
CTAGE4	-0.0975
C9orf30	-0.749833333333333
OR52A1	0.7565
HSP90B3P	-0.493
ALG9	-1.0984
BTBD10	0.63425
SDK2	0.261
BAIAP3	-1.9355
RABGGTB	-1.296
ANKRD40	-0.567166666666667
KRT74	0.2735
CALCOCO2	0.157142857142857
SNCA	-2.8405
TMSL8	1.276
C2orf53	0.285
ESRRB	-0.33525
ARHGAP26	-1.678125
TDRD9	-3.1305
HRAS	0.672833333333334
KLRC4	-2.7275
JAGN1	0.180333333333333
BSDC1	0.56825
RNF43	-0.4535
NDUFAF1	-0.15075
PHF12	0.11375
OR1L3	0.159
FOLR2	1.76925
LYZL6	0.628166666666667
tcag7.1260	-1.4455
WSB1	-1.638
PROS1	0.8096
OSTN	0.7935
PSMB8	-0.2135
SOCS4	-0.10175
DDIT4L	2.276
MAS1	-0.0555
MGC34796	0.52425
CSHL1	0.357666666666667
TBCCD1	0.272833333333333
ZBTB7C	-0.1335
AP2S1	-0.42925
P15RS	0.4629
VAT1	-1.1114
SHANK3	1.31116666666667
TUFM	-1.22916666666667
THEG	0.37325
KRT34	-1.5915
SGSM3	0.411375
TOMM22	0.097875
SOCS3	1.22483333333333
CPO	0.722
POP4	1.13425
BHLHB3	2.156
MALL	2.4045
OR1B1	0.2425
PARK2	0.233166666666667
GPR124	1.011
LCE1E	0.0525
RUVBL2	-0.892
CGRRF1	-0.1965
ACPL2	1.29275
WNT10B	-0.802375
BAIAP2L2	1.0535
ISCA1	1.154
C1orf125	0.28775
RPAP1	-0.59025
RAI16	-0.0205000000000001
RPL27	0.056625
NLRP9	-0.2865
EPN1	-0.042
LOC388610	-0.29575
SLC35A1	0.2205
GAL	-2.96025
SLC14A2	0.481
RDH11	-0.863
FAM138F	-0.0755
AUH	-0.32975
FLJ40243	0.6575
C14orf129	-0.4735
MBD2	-0.582666666666667
ABHD14B	-0.772875
PIGT	-0.825125
ALS2CR4	1.199875
ALAS1	-0.5626
FOXO1	1.0655
CRLF3	-0.0915
C20orf107	-0.4595
FARS2	-0.53875
CCDC28A	1.15575
NPHP3	-1.2805
OR13F1	0.4405
TSEN54	-0.78125
DEFB106B	0.2176
OR8B4	0.6015
STH	0.1995
ZC3H14	-0.542
CBX2	-0.52
TMEM49	-0.89975
C6orf21	0.5175
FLJ20920	0.467375
CRTAP	-0.677357142857143
DDX50	0.13375
STYXL1	-0.3125
BLVRB	-0.153833333333333
LOC147650	0.849
MMP24	0.096
GRID1	2.62266666666667
BANF1	-1.0225
CTAGEP	-0.53325
HMBS	-3.261
SLC25A24	0.209
C14orf50	0.133
MRO	0.822
SLC25A15	-0.92975
FAM84B	2.0908
TDP1	-0.8825
C16orf78	0.294666666666667
C11orf57	-0.518125
RFK	-0.008
ZFYVE9	0.435875
STCH	-1.3372
WIBG	-0.662
LOC283871	-1.2915
GBA2	-0.6838
NDUFB3	0.71825
HSD17B13	-0.8745
GRIN3A	1.24766666666667
FMNL1	-1.43716666666667
SEPT7	0.0432
GNLY	3.0005
GRAMD1C	1.27783333333333
ZNF165	-2.7805
USP38	0.86375
FAM83A	-3.88633333333333
C14orf24	0.589916666666667
ARMCX3	1.2455
ARHGDIB	0.308833333333333
AK1	0.19475
KIAA1045	1.0885
DNAJB13	-0.283333333333333
NEU2	-0.245
HIST1H4B	-1.976
FAM20B	0.0715
HES2	-0.122571428571429
FAM73B	-0.7735
LOC388381	-0.361
INTS7	-0.0715454545454546
AMPH	0.459
ZNF775	-0.57325
UCKL1	-0.9525
C10orf97	-1.7255
C1orf161	-0.20225
ALDH1L1	-0.70375
FLJ39378	-0.173
SLC23A1	-2.757
RBM4B	0.40375
THAP4	0.3075
OGFRL1	2.0025
KIAA0831	-0.00962499999999999
PPP1R15A	-0.678333333333333
C1orf96	0.444285714285714
C12orf11	-0.228
BMF	1.6615
MAN1A1	-1.013875
KIAA1600	0.494166666666667
NLGN4X	1.826
ALOX12	-0.9515
RB1CC1	0.2362
NEIL2	0.2302
EIF4E	0.636590909090909
ABHD5	-0.20075
EXOC4	-0.926333333333333
CIP29	0.532333333333333
BATF2	-0.29375
SLC29A4	-0.332
HTR4	0.1755
EMB	-1.6405
TRAF6	0.66075
LMNB1	-0.6455
FAM19A5	-1.23125
SHE	1.82
PIK3C2B	1.63575
C15orf15	-0.7005
USP15	0.779
TCEAL2	0.50775
C5orf39	0.387333333333333
PTGER2	-1.308
SLC31A1	-1.2456875
IFT172	1.255
ADAM29	0.6165
GFOD1	0.47075
ST7L	0.414166666666667
C15orf26	-3.0465
PKN3	-1.63325
CNTD1	1.23516666666667
COMMD1	-0.366875
NTRK2	4.68891666666667
FOXN3	0.7345
MFGE8	1.5234
PFKFB2	0.762
TAS2R4	-0.1125
ENTHD1	1.77483333333333
PRMT5	-1.780125
MGC16384	-1.339
LOC442229	0.00950000000000001
TSKU	0.020625
KRTCAP3	2.7825
PDLIM1	0.0183
KCNS2	0.19925
RNF126	-0.165
CEP63	0.536125
CLIC4	0.725375
hCG_1990170	3.10125
ACR	1.3323
KLK7	4.52075
ALOX5AP	2.187625
RIPK3	1.86775
TAS2R9	0.725
C19orf18	1.064
BIRC6	0.399857142857143
ZNF16	2.0175
RFT1	-0.9405
SLC8A2	-0.653
TACC1	-0.079
ITGAD	0.76125
SAMHD1	0.2465
SH3PXD2B	1.6592
EPC2	0.73875
C20orf85	0.57125
ATP13A2	0.0595
KRT4	2.147375
CAPNS1	-0.5785
MDM2	-0.519833333333333
PCDH20	1.9855
KCNK9	0.5805
OR2C1	-0.1355
KLHDC3	-0.172166666666667
IPPK	-0.213
EFHD2	-0.725875
GALR3	-0.13825
NBEA	-0.796
ABCA6	3.0481
CLDN3	-1.62283333333333
AKT2	0.213785714285714
EGFR	-0.2845
RBM16	0.37875
ZDHHC3	-0.6248
SLC25A4	0.291166666666667
CYB5B	0.0228333333333333
CPXM1	-0.1445
NDRG1	1.41107692307692
FLJ43826	0.32225
OR5L2	0.0291666666666667
FARP2	-0.1629
MRPL46	-0.888416666666667
LDHAL6B	-0.0906
MAPKAPK3	-1.06866666666667
NCAM2	-2.617
PRKD2	0.0528333333333333
ZFP36L1	1.3875
CYSLTR1	-1.79525
OR4C3	0.16125
HIST1H2AJ	0.611
CCNB2	-1.89733333333333
ZNF10	0.849375
TMEM175	-0.115
FAM134A	0.779833333333333
TIGD4	-0.707
PCNP	0.4525
MGC39715	0.35825
LQK1	-0.762
CREB1	0.8145
TMPRSS3	-0.8125
C4orf32	-0.212125
LAT	-2.08233333333333
KCNA3	0.1795
SKIV2L2	-1.19575
ROPN1B	5.59725
tcag7.23	0.246
CDT1	-1.5605
ZHX2	1.162125
CD28	-3.222
ZNF624	0.48725
SEPT2	0.389166666666667
SOHLH2	-1.976375
MCOLN3	1.093125
UNQ1945	0.342
MASP2	-1.4635
ZNRF3	0.2407
GPATCH3	-0.44225
AGL	0.51875
QRICH2	-0.091
PSD4	-0.295166666666667
CCNB1IP1	-1.8335
ENPP7	0.4155
OBFC1	-0.204
KCNG3	-1.756
C14orf79	-1.54716666666667
ENPEP	2.52366666666667
SCT	2.094
SKI	0.573375
SEC61G	-0.54725
CAPN11	-0.18075
ATXN7L3	-0.54925
DBNDD1	-0.0621666666666667
FAIM	1.59225
ANKRD36	0.0175
GABRP	5.541
TACSTD2	2.8795
EIF3J	-0.5775
PPP2R2A	-0.6435
TEKT4	0.4305
PVALB	-3.89383333333333
F10	-2.60166666666667
FAM134C	0.2824
COMP	4.337125
EFCBP1	-2.01875
SCLT1	0.400125
TAL1	-0.8733
ACSL1	0.98225
ABCC5	0.454833333333333
ABL1	-0.626
RBBP7	0.27325
PTPRG	-0.157875
NCOR1	-0.3503
SPINK4	-2.64433333333333
TXNRD1	-1.0995
TNRC15	0.599625
C9orf138	0.136375
UBE2H	0.283833333333333
BRDT	-0.329333333333333
C8orf31	-0.4005
CCNE2	0.0911818181818182
SLC6A8	-1.487375
CALCR	-4.593
PPP1CB	2.09683333333333
ABHD8	0.69775
ARF5	-0.0451
SLC24A4	0.96225
CCT3	-0.28325
ZNF121	0.8935
SLC3A2	-2.0611
OR13A1	0.3905
SLC5A10	-0.22075
RAD50	-0.313375
IER5	-0.538125
MTHFD1L	-1.355
MBTPS2	0.002
MVK	-0.37575
NCL	0.1771
PSMD10	-0.3265
MOBP	0.192625
FLJ32894	-0.3605
HRH1	0.169333333333333
C5orf30	-0.551
NUDT16L1	0.3283
RASGRP3	3.73
PRKRIP1	-0.7452
CCDC75	-0.05825
LOC253970	0.35575
KIAA1239	0.1965
MED21	0.62625
SYT11	0.14875
NTSR2	-0.2795
EGFL11	0.1005
CXorf59	0.1145
OR2A25	0.14025
SPTBN2	0.334
LRMP	-1.61033333333333
RNF111	-0.415
PTH	-0.1165
LOC619208	1.1285
KIAA0895	1.46625
RANBP5	0.461875
P2RY10	0.0305
NME5	2.59416666666667
DDX21	-0.5985
LRSAM1	-0.897
HDAC11	0.267333333333333
VMO1	1.35325
NOLA2	-0.00649999999999999
ADAR	0.146666666666667
MTO1	-0.927833333333334
SF4	0.3975
P2RX1	-0.375333333333333
HBM	0.29975
EN2	0.1055
C14orf172	-0.236
TM9SF2	2.0544
INHBE	-1.33133333333333
TCTE3	0.481416666666667
TOX2	-2.60875
CTAGE3	-0.7455
HBB	3.5479
MED15	-0.948333333333333
CASR	-0.00225000000000002
C6orf66	-0.804833333333333
MTPN	-0.761375
UNC50	-0.54875
C21orf33	0.2995
IRF2	1.113625
PGR	-1.16633333333333
GPR84	1.94275
CROCCL1	-1.52575
SRPX	-0.19325
BRE	-0.688
FGF10	1.1895
SDC3	1.21733333333333
ZRSR1	-0.0636666666666667
DKFZP434P211	-0.4505
SOX6	0.9515
RPUSD2	-0.1645
C14orf173	-0.406916666666667
MAPK11	-0.194
TBC1D22A	0.0345
FAM123A	-0.799
COL4A6	-2.363
TOMM70A	0.928
NAB1	0.594625
MGC16385	-0.409625
TSPAN18	-0.0208333333333333
MED31	-0.52625
PLG	0.155
CAPSL	3.527
ZNF532	2.6862
ASB14	-0.35175
CA8	-0.9105
NUDT16P	0.264666666666667
SLFN11	-0.285
LRRIQ2	-0.09225
NOL7	-0.283
BRMS1L	0.153125
JARID1A	0.463
PANK2	-0.2925
ICAM3	-1.6065
MDS1	-0.026
TAF8	-0.76175
RNF139	1.523
ZNF594	0.1055
ADAM8	1.396625
SFTPC	-0.024125
MAN2B2	-0.424
RGS12	-0.225375
EIF1AY	-4.40683333333333
LRRIQ1	-0.614
GPR150	-0.2125
CCDC21	-1.76733333333333
PRRG3	0.16475
SAA4	-2.25875
RAPGEF5	1.497875
ZCCHC2	-0.189166666666667
MGC39372	-1.2465
PPP4R2	0.0898333333333333
CDCA2	-1.3755
OR4D5	0.6265
PTGFRN	0.2912
SIGLEC5	1.74
C19orf61	-0.130166666666667
NMUR2	0.679
KIAA1586	-1.10233333333333
DAGLA	0.8885
CHCHD6	0.9295
GPR32	0.7355
NEUROD6	0.254166666666667
SLC2A4RG	-0.725375
CA5B	1.09925
FBXL3	0.20025
MPHOSPH9	-1.66575
HMG2L1	0.5815
HCN4	-0.137
CEACAM19	0.80775
SH2D4B	-0.0575
HFE2	-0.62
TGM4	0.035
LYPD2	0.1625
TBC1D15	0.1825
MRPS21	0.2252
NONO	-0.2932
CLEC5A	1.848625
ITCH	0.1501
MGAT3	2.036
MBP	0.691375
RPP25	-0.41575
SOSTDC1	3.565
HRC	-1.8415
TRIM48	0.2905
TMEM133	-0.14475
ECEL1P2	-1.58425
HOXC11	0.00650000000000001
DOK5	1.232
HELZ	1.10716666666667
LOC348180	-0.5015
MGC33894	0.14275
ADRB3	0.2895
DMD	1.654
PTRH2	-0.585
MPEG1	2.74183333333333
NDUFA12	0.199833333333333
KRTAP2-4	-0.0490833333333333
STAMBPL1	-1.465
ADCY2	2.47966666666667
UNQ6125	0.2405
KLHL20	0.436166666666667
SRM	-1.14775
OTC	0.06925
TMIE	-0.0668333333333333
SNX8	-0.17825
LIPK	-0.367
CHURC1	-1.11141666666667
KLC2	0.165833333333333
HDAC1	-0.6785
FAM128A	-0.338666666666667
FNDC3B	0.6317
MTCP1	-0.644166666666667
WFDC10B	0.2198
PCDHGB3	0.2895
ATRNL1	-0.00450000000000002
CAV2	0.93175
MED26	0.573666666666667
DUS1L	-0.36975
CHRM3	0.421875
NEK9	-0.731
WARS2	-0.255
TBX22	0.2935
TOMM40	-1.04625
RP6-213H19.1	0.0601666666666667
TUBGCP5	-1.01275
IGSF6	3.9315
TPPP	0.0276666666666666
UNQ6190	-0.155
GSTM5	-0.20975
BTD	-0.321166666666667
PDCD1LG2	0.207
SNRPB2	-0.437333333333333
ERICH1	-0.312625
APOA4	-1.745
HOXA11	-1.43325
NARG1	0.389875
MKX	-0.394
RAB28	0.322428571428571
PKP3	1.74875
SH3GL2	1.002
CTSO	2.463
RPN2	-0.10375
IL28RA	0.4645
SFMBT1	-0.14175
WDR57	0.217
FER1L3	-0.197583333333333
HSF5	0.510333333333333
TTC9B	1.075
C4BPA	-3.08216666666667
ALB	-4.63428571428571
SORBS3	0.373625
UPF2	0.7995
JPH1	-0.075
AGBL2	-1.55725
DOPEY1	1.7705
TERF1	0.604833333333333
KIF22	-1.7085
NINJ1	-0.78825
SEC61A2	-0.593916666666667
HIST1H1D	-2.80516666666667
SFXN4	-0.0615
UCP3	0.3037
ZNF703	0.325833333333333
MYL6B	-0.364
TREM1	2.397
OR52E6	0.442
CKMT2	1.58425
HLA-C	1.109375
SLC13A3	-1.48466666666667
TIMP4	-0.6755
SLIT2	2.61
RSF1	0.282
LONRF1	-0.473
MON1A	0.0901666666666667
CACNG6	0.277166666666667
DPPA4	-5.4455
ZSWIM3	0.07275
ZNF804A	-0.0971666666666667
CCIN	1.594
SLC25A31	0.06675
KCNMB4	-0.31325
RABL5	0.2285
GALNS	-0.8531
STX6	0.352875
HIST1H1C	-2.29733333333333
CIDEB	-0.0635
CASP4	-0.00383333333333333
PDK3	-1.4449
KCNJ11	-0.561
TPR	-0.0705
ZSCAN20	-0.038
MTX2	-0.30125
HIST1H2BH	0.1455
LOC283767	2.12225
LYRM7	-0.415611111111111
BRD3	0.0968333333333333
HIST1H2BO	0.18475
MAGEB10	0.3475
SLC45A1	0.66125
SERPINA3	1.18785
KIAA0143	0.781
KCNJ16	1.28516666666667
KRT79	0.0235
FABP2	-1.16375
NUT	-0.41825
ZNF57	0.0765
FBXL4	0.802625
CLEC9A	0.8525
UGT8	2.93866666666667
BMP2K	-0.527
MAPK4	-0.5015
SLC25A23	-0.9578
HINT1	0.3241
KRTAP13-1	0.349
SFXN5	-0.3097
CHCHD2	-0.0709166666666666
FAM3D	3.493
NDP	-1.009875
RHOBTB1	-0.361
SLC4A4	-1.296875
RPL38	-0.04575
HTF9C	-0.580666666666667
AP2A2	-0.132
ZBTB46	-0.9025
MAP7D1	0.608875
AOX1	-0.936666666666667
CYR61	0.399666666666667
DTNA	0.0302142857142857
JRKL	0.54175
TMOD3	-0.288
EEA1	0.1168
ADCK5	0.84775
IL1R1	1.20283333333333
KLK3	0.118642857142857
HRSP12	0.87
KTN1	-0.60675
LOH11CR2A	-0.6526
RELL2	-0.8925
MAB21L1	1.19125
C20orf59	-1.397
PHKB	-1.1655
ADAM2	-2.07266666666667
TBC1D8B	1.604
FAM13A1	0.856625
LAPTM4B	0.899333333333333
LCN8	0.135
TMEM147	0.962
SYT4	0.223166666666667
XPO7	-0.9125
C9orf62	0.24625
GPR75	0.243
TRIM5	-1.2235
APOC1	-1.39516666666667
RNASE4	0.693666666666667
PARD6B	-3.35575
ARID1A	-0.15825
TPD52L3	0.2679
RRAGB	0.1985
RCN2	-0.252
HIST2H2BE	0.31775
STARD7	-0.51525
SHMT2	-1.4645
KIAA1751	0.0838333333333334
MLYCD	0.1405
LOC162632	-0.3174
UQCRH	-0.40375
RP11-217H1.1	0.58275
SDHA	-1.17283333333333
NCLN	-0.2086
ZNF17	0.5965
RCBTB2	-1.34475
VEGFB	-0.6888
RP4-747L4.3	2.87225
COLQ	0.0429
MPN2	-0.928333333333333
DRG2	-1.02625
KLRB1	4.69425
ALPK2	-2.02
DNASE2B	0.4645
FLJ23834	-0.0713333333333333
AXUD1	-0.0563333333333333
SAFB	-0.0205
NSUN4	-0.3065
RFX2	-0.2665
MAPK8IP1	-0.581166666666667
FANCD2	-0.373928571428571
ANKZF1	-0.514166666666667
C19orf50	-0.0355
DUSP8	0.1905
SENP5	0.545
NFKBIL2	0.000500000000000014
LBR	-0.045375
IGFL1	2.0905
LZTS2	-0.043625
IL2RG	-1.26025
CCDC51	-0.73
KLF3	0.292125
ANKRD37	-0.097
KCTD14	1.39083333333333
FZR1	0.574083333333333
SLC44A4	-1.63
ESPL1	-1.001
GMPR2	-1.1357
TBC1D19	-0.7595
ERGIC1	0.0844444444444444
ERBB4	0.2456
TSPAN32	-0.03625
MAP4	-0.705
GPHN	-1.45025
SLC6A2	1.23375
HIVEP1	0.865
DFFB	-0.1178
EIF4EBP2	0.70175
DMRT1	1.069
HSPB6	-0.08375
IER2	0.173166666666667
AIFM1	-0.33
WWC2	-0.889
MRPL4	-0.48275
FLJ21062	0.0455
EPB41L4A	-0.0184166666666666
SH2D6	0.24325
TAF4B	0.08
GAL3ST3	-0.2005
MALT1	-0.623
RTDR1	0.872
ARVCF	0.30525
MEX3B	0.367
FBXO16	-1.37575
KIF7	-0.44925
C1QC	3.82533333333333
ZNF783	-0.6455
ZNF85	-1.0425
MMP13	4.3885
KIAA0329	0.30675
RTP3	1.975
ZBED3	-0.00525
CLGN	-3.633
SLC25A37	-0.479458333333333
hCG_18290	0.67575
OR5AS1	0.034
SMARCC2	-0.244416666666667
FAM109A	-0.376166666666667
CCDC12	-0.52375
USF2	0.621
DEPDC7	-0.79225
C20orf24	-0.838333333333333
JMJD3	-0.2335
DSP	1.72735714285714
SLIC1	0.3875
FAM20A	1.442625
IRF2BP2	0.552625
ZNF230	1.4375
MSN	0.669357142857143
SLC9A5	-1.705
