Hybridization REF	TCGA-B6-A0IB-01A-11R-A034-07
LRRTM3	-0.855666666666667
GPHB5	0.34475
OR4C13	-0.2425
EIF3EIP	0.425928571428571
HABP4	-1.848
TMEM125	3.7985
CNTN2	0.72475
ASNSD1	0.019
FUT4	-1.832625
ACF	-4.0315
LOC158381	0.0225
CDH8	-0.03675
AGPS	-2.454
C4orf18	4.62125
PECI	0.80325
UNG	-0.304875
GSTP1	-2.75575
DCUN1D5	-1.664
DKFZP564J0863	0.21775
SLC9A3R1	1.19025
BCDO2	-1.814125
CHMP7	0.331625
REM2	0.652
DNHD1	-0.588
FKBP4	0.09725
ZNF350	1.2255
MGC11102	0.302875
BST1	-1.022
KISS1R	0.298
NCR2	0.457
DEFB125	0.631
UBE2W	1.4235
KRT15	-2.40975
C10orf99	0.2915
SCN11A	-0.288875
GFI1	-3.4535
RDHE2	-0.648
FHL1	-1.634
OSGEP	0.4145
GATA1	-3.69166666666667
SMC6	-0.55575
TTTY14	-1.0255
LPIN3	0.0885
RPL4	-1.3829
RBPMS	1.0857
PRPF3	-0.0495
EMR1	-3.1025
SPATA19	-0.638
XCR1	0.839
IRX3	1.6574
RBM6	-1.012
KLF4	-1.4043
UNC5CL	-0.02775
SEBOX	0.175
BTK	-2.16375
KRCC1	2.40225
C6orf27	0.348
SYTL5	-0.9925
PRND	2.363875
LOC653319	-1.2545
PIGL	-1.998125
HUS1	0.273666666666667
SFRS6	0.2875
C17orf77	-0.005
UIMC1	-1.0685
FXYD2	-2.1525
LOC283152	1.83625
ZNF667	-1.92475
ZCCHC12	-0.98225
TFEC	0.3605
ATP7B	-0.387833333333333
POLD2	-0.181666666666667
RG9MTD1	-0.46225
ACOT2	0.564833333333333
HIST1H4I	0.628875
PPARGC1A	-2.7551
ETFA	-2.0377
POLRMT	-0.465
ZNF146	-0.234875
MIA2	-0.683
KLHL6	-3.09016666666667
HOXB5	0.98725
NENF	1.789
CUGBP1	1.25875
PRSS22	1.23566666666667
CASC4	1.3497
CUL4B	0.7783
CENPJ	-1.9062
PITX1	-0.263833333333333
FLJ31033	0.328833333333333
CELSR3	-2.16733333333333
ZNF568	1.12375
ITSN1	-0.317
EHBP1L1	-1.3545
C19orf2	0.27875
DCTN1	0.12125
LIN28B	-2.4228
TNKS2	-0.87925
C1QBP	-0.879
CADPS2	3.07775
SRMS	0.645
GJA9	0.191666666666667
MGC24975	-1.22333333333333
TRIM45	0.120666666666667
TSP50	0.44625
TCP1	-1.12275
TMED7	-0.0534
CMA1	0.489
CENPL	-0.384666666666667
PTCRA	-0.4585
FST	-2.8845
VWCE	-3.837
PAWR	0.1295
ABCC12	1.28216666666667
LDLR	-1.1007
ASTN2	1.4402
LOC441212	0.374625
GPATCH8	-0.29175
TANC2	0.6925
KIF4A	-1.24875
C18orf18	-0.29625
PGM1	-0.59525
KIAA0258	0.1685
CPD	0.751625
SNCAIP	-0.7925
DCT	-4.58566666666667
HLA-DOA	1.73545454545455
OR11L1	0.741
UPK1B	-0.803833333333333
DNAJB4	-2.352
UGT1A8	-0.4175
HIST1H4L	0.6035
PECR	0.0095
HSPA2	3.68925
WFIKKN1	-0.8005
SERP1	0.393375
SYDE2	0.92875
TACR2	0.7275
NUP85	-0.90575
CD177	-0.7815
LGR5	-2.2695
PIGG	-0.771166666666667
PTHR1	-1.413
RAB5A	-0.7694
FLJ13224	-0.0295
USP9Y	-2.0395
C7orf53	-0.5535
LRP1B	5.82075
XAF1	0.533
ABCG8	-0.2375
ANKDD1A	-0.682666666666667
DAND5	-0.633
SPAG6	1.07666666666667
LINCR	1.8835
ZDHHC22	-1.449375
CCDC60	-0.5715
THOC7	-1.251
TCTA	1.3858
OR8K3	0.51875
NY-REN-7	-0.892
B2M	0.271333333333333
C6orf141	0.142375
LPPR4	1.4735
SQLE	0.076125
SEPHS1	0.48275
BTBD14B	0.578571428571429
PLRG1	-0.57125
SPG7	-0.997125
ZNF614	-0.361666666666667
PARD6G	0.679833333333333
INPP5B	-0.6234
GRPEL2	-0.1645
PPID	-0.7749
TRIM56	0.20225
UBE2J1	-0.106875
IL20RA	1.01375
LOC387856	0.3895
C1orf107	0.0625833333333333
UTS2R	0.597
C19orf22	-0.5325
SAFB2	-0.103875
KIAA0652	-0.003625
KLRG1	-0.912333333333333
MS4A8B	4.85183333333333
FRAG1	1.3455
KIAA1546	0.6555
E2F4	-1.8138
CLEC4M	0.888
BTBD14A	-0.967
KIAA0999	-1.7443
GYPA	-3.12783333333333
TAC1	0.1281
TRAIP	-1.3225
KIAA0232	0.4078
ERCC8	-0.670125
GPX4	0.885125
KIAA0368	-0.587375
GPR157	-1.42633333333333
CTAGE4	0.6645
C9orf30	-1.39733333333333
OR52A1	0.2425
HSP90B3P	-0.342
ALG9	-0.8231
BTBD10	0.7885
SDK2	-0.21525
BAIAP3	1.9
RABGGTB	-1.1725
ANKRD40	-0.536
KRT74	-0.182
CALCOCO2	0.409714285714286
SNCA	-4.54375
TMSL8	-4.34325
C2orf53	0.2335
ESRRB	-0.65925
ARHGAP26	-1.047625
TDRD9	-3.11425
HRAS	-0.00416666666666666
KLRC4	-2.9485
JAGN1	-0.3475
BSDC1	-0.038
RNF43	-0.0794
NDUFAF1	-0.4075
PHF12	0.1055
OR1L3	0.025
FOLR2	0.875833333333333
LYZL6	0.808333333333333
tcag7.1260	-2.7255
WSB1	-1.39216666666667
PROS1	-1.7963
OSTN	0.462
PSMB8	-0.528
SOCS4	-0.566375
DDIT4L	-0.1105
MAS1	-0.896
MGC34796	2.29875
CSHL1	0.036
TBCCD1	0.192666666666667
ZBTB7C	0.4
AP2S1	0.554375
P15RS	0.3957
VAT1	-0.467
SHANK3	0.731833333333333
TUFM	-0.155
THEG	-0.431
KRT34	-2.29925
SGSM3	0.57075
TOMM22	-0.12325
SOCS3	0.0206666666666667
CPO	0.46
POP4	0.40475
BHLHB3	3.01225
MALL	0.686
OR1B1	0.5975
PARK2	0.3365
GPR124	-0.108125
LCE1E	-1.108
RUVBL2	-0.86425
CGRRF1	0.1551
ACPL2	0.0055
WNT10B	-3.347
BAIAP2L2	-2.60125
ISCA1	0.1605
C1orf125	0.8745
RPAP1	-0.8725
RAI16	0.133333333333333
RPL27	-0.358625
NLRP9	0.071
EPN1	-0.728
LOC388610	-0.359375
SLC35A1	1.0067
GAL	-4.8295
SLC14A2	0.554
RDH11	0.145833333333333
FAM138F	-0.4555
AUH	-0.16275
FLJ40243	0.01025
C14orf129	0.908333333333333
MBD2	-0.545666666666667
ABHD14B	-0.827625
PIGT	0.797125
ALS2CR4	-0.467875
ALAS1	-0.3368
FOXO1	0.3475
CRLF3	-0.806125
C20orf107	-0.298
FARS2	0.80225
CCDC28A	1.37025
NPHP3	-0.58725
OR13F1	0.459
TSEN54	-0.65525
DEFB106B	0.0108888888888889
OR8B4	0.547
STH	2.565
ZC3H14	-0.073
CBX2	-0.525
TMEM49	-1.75425
C6orf21	0.4235
FLJ20920	0.086625
CRTAP	-0.785642857142857
DDX50	-0.421
STYXL1	1.80075
BLVRB	0.5795
LOC147650	0.378333333333333
MMP24	0.76225
GRID1	1.1555
BANF1	-0.169666666666667
CTAGEP	0.5285
HMBS	-2.1685
SLC25A24	-0.124166666666667
C14orf50	3.53175
MRO	0.307
SLC25A15	-1.265
FAM84B	0.884
TDP1	-0.057
C16orf78	0.2735
C11orf57	-0.00549999999999998
RFK	-0.628625
ZFYVE9	0.382375
STCH	-0.1449
WIBG	0.5085
LOC283871	-0.5135
GBA2	-1.1088
NDUFB3	0.066
HSD17B13	-0.1385
GRIN3A	0.2516
FMNL1	-2.395
SEPT7	0.3641
GNLY	1.7065
GRAMD1C	0.779666666666667
ZNF165	0.1675
USP38	0.25625
FAM83A	-2.71516666666667
C14orf24	1.72625
ARMCX3	1.30675
ARHGDIB	-0.762833333333333
AK1	0.185125
KIAA1045	-0.1985
DNAJB13	-0.206833333333333
NEU2	0.3685
HIST1H4B	0.585833333333333
FAM20B	0.4023
HES2	1.491
FAM73B	-0.7422
LOC388381	0.00524999999999998
INTS7	-0.218
AMPH	1.13025
ZNF775	0.240875
UCKL1	-0.684666666666667
C10orf97	0.315
C1orf161	0.31425
ALDH1L1	0.0475
FLJ39378	-0.081375
SLC23A1	-0.6005
RBM4B	0.15575
THAP4	0.315
OGFRL1	0.98375
KIAA0831	0.09925
PPP1R15A	-1.39
C1orf96	1.00385714285714
C12orf11	-1.87325
BMF	0.621625
MAN1A1	-2.295875
KIAA1600	1.1915
NLGN4X	3.0675
ALOX12	-1.41783333333333
RB1CC1	0.0451
NEIL2	1.5381
EIF4E	-0.3105
ABHD5	-0.06075
EXOC4	-0.154166666666667
CIP29	-0.2845
BATF2	-0.5135
SLC29A4	-0.0415
HTR4	0.364
EMB	-0.81025
TRAF6	1.5505
LMNB1	-1.07975
FAM19A5	-1.529
SHE	2.45825
PIK3C2B	1.45675
C15orf15	-1.1382
USP15	-0.2435
TCEAL2	-0.217
C5orf39	-1.58133333333333
PTGER2	-0.0605
SLC31A1	-0.13075
IFT172	0.466
ADAM29	0.37225
GFOD1	0.52925
ST7L	-0.591833333333333
C15orf26	-1.535
PKN3	-1.8665
CNTD1	3.191
COMMD1	0.693
NTRK2	1.91266666666667
FOXN3	-0.666
MFGE8	-2.1014
PFKFB2	1.6735
TAS2R4	-0.48025
ENTHD1	-0.378833333333333
PRMT5	-1.124375
MGC16384	-0.570125
LOC442229	-0.09775
TSKU	0.904875
KRTCAP3	3.9205
PDLIM1	0.0097
KCNS2	-0.2955
RNF126	-1.21983333333333
CEP63	0.38975
CLIC4	-1.159375
hCG_1990170	-0.9465
ACR	1.2442
KLK7	-0.60125
ALOX5AP	1.010375
RIPK3	3.70475
TAS2R9	0.567
C19orf18	1.7
BIRC6	0.1865
ZNF16	1.2375
RFT1	-0.6665
SLC8A2	-0.71875
TACC1	0.3115
ITGAD	0.47275
SAMHD1	0.60175
SH3PXD2B	0.639
EPC2	1.15825
C20orf85	4.103125
ATP13A2	0.0245
KRT4	0.618625
CAPNS1	-0.495
MDM2	0.00374999999999998
PCDH20	2.95175
KCNK9	0.767
OR2C1	0.1515
KLHDC3	-1.10383333333333
IPPK	0.21
EFHD2	-0.61675
GALR3	0.42775
NBEA	1.44733333333333
ABCA6	1.6594
CLDN3	3.62633333333333
AKT2	-0.523642857142857
EGFR	-3.6867
RBM16	0.637625
ZDHHC3	0.3658
SLC25A4	-1.68783333333333
CYB5B	-1.85233333333333
CPXM1	-1.02625
NDRG1	-2.13307692307692
FLJ43826	0.34475
OR5L2	0.392333333333333
FARP2	0.4978
MRPL46	-1.02
LDHAL6B	0.360333333333333
MAPKAPK3	-0.255333333333333
NCAM2	0.017
PRKD2	-0.237
ZFP36L1	2.5239
CYSLTR1	-0.914
OR4C3	-0.11675
HIST1H2AJ	1.289
CCNB2	-1.88111111111111
ZNF10	0.035875
TMEM175	0.119
FAM134A	1.254
TIGD4	0.1955
PCNP	-0.83625
MGC39715	-0.0877500000000001
LQK1	-1.8145
CREB1	0.5549
TMPRSS3	-1.44675
C4orf32	0.83425
LAT	-2.677
KCNA3	-0.144
SKIV2L2	-1.52825
ROPN1B	-3.33525
tcag7.23	-0.3815
CDT1	-2.69675
ZHX2	1.537625
CD28	-4.78675
ZNF624	0.9935
SEPT2	0.817583333333333
SOHLH2	-2.22275
MCOLN3	-0.76025
UNQ1945	0.4875
MASP2	-0.94
ZNRF3	0.6772
GPATCH3	-0.7625
AGL	0.46275
QRICH2	-0.879
PSD4	1.34883333333333
CCNB1IP1	-1.67675
ENPP7	0.10775
OBFC1	-0.097
KCNG3	-0.8595
C14orf79	0.870416666666667
ENPEP	2.07683333333333
SCT	2.1175
SKI	0.4005
SEC61G	-0.202
CAPN11	-0.327
ATXN7L3	-0.477
DBNDD1	-0.524
FAIM	0.391
ANKRD36	0.064
GABRP	-0.858166666666667
TACSTD2	1.97866666666667
EIF3J	-1.01725
PPP2R2A	-0.1845
TEKT4	-0.0728333333333333
PVALB	-2.04066666666667
F10	-2.97583333333333
FAM134C	0.4911
COMP	4.9765
EFCBP1	-3.1899375
SCLT1	0.589875
TAL1	-1.0143
ACSL1	-0.342
ABCC5	0.505166666666667
ABL1	-0.854111111111111
RBBP7	0.8685
PTPRG	0.40775
NCOR1	-0.0901
SPINK4	2.52716666666667
TXNRD1	-0.8845
TNRC15	1.24175
C9orf138	1.004875
UBE2H	1.2335
BRDT	1.06183333333333
C8orf31	-0.519
CCNE2	-0.807545454545454
SLC6A8	-1.186875
CALCR	-3.105
PPP1CB	0.0696666666666667
ABHD8	0.0655
ARF5	0.4239
SLC24A4	0.101
CCT3	0.25175
ZNF121	0.456625
SLC3A2	-1.3791
OR13A1	0.4215
SLC5A10	-0.1865
RAD50	-0.103125
IER5	0.33375
MTHFD1L	-3.479125
MBTPS2	0.853
MVK	-0.7865
NCL	-0.1503
PSMD10	-0.0775
MOBP	0.291875
FLJ32894	-0.1815
HRH1	-1.58416666666667
C5orf30	-0.21675
NUDT16L1	0.8803
RASGRP3	2.71333333333333
PRKRIP1	0.5921
CCDC75	0.40075
LOC253970	0.17525
KIAA1239	0.9475
MED21	0.0705
SYT11	-0.470416666666667
NTSR2	-0.04
EGFL11	-0.2755
CXorf59	0.9555
OR2A25	-0.01475
SPTBN2	-0.1585
LRMP	-2.34766666666667
RNF111	-0.55325
PTH	-0.2275
LOC619208	1.29616666666667
KIAA0895	2.09925
RANBP5	0.35375
P2RY10	-0.608333333333333
NME5	4.22683333333333
DDX21	-1.2315
LRSAM1	-0.627
HDAC11	1.348
VMO1	0.8895
NOLA2	-0.340666666666667
ADAR	1.13608333333333
MTO1	-0.929
SF4	0.0266666666666667
P2RX1	-0.357333333333333
HBM	0.2725
EN2	0.377
C14orf172	0.613
TM9SF2	1.0218
INHBE	-1.37966666666667
TCTE3	0.186583333333333
TOX2	-4.06275
CTAGE3	0.42775
HBB	3.3205
MED15	-1.16166666666667
CASR	-0.0965
C6orf66	-1.07833333333333
MTPN	0.563875
UNC50	-0.0265
C21orf33	-0.441875
IRF2	0.742875
PGR	4.4785
GPR84	0.58675
CROCCL1	-2.98925
SRPX	-2.2435
BRE	0.316166666666667
FGF10	3.3125
SDC3	-0.0895
ZRSR1	0.0451666666666667
DKFZP434P211	-0.352875
SOX6	1.55
RPUSD2	-0.14725
C14orf173	-0.119916666666667
MAPK11	0.2785
TBC1D22A	0.3575
FAM123A	-0.594
COL4A6	-3.41733333333333
TOMM70A	0.2535
NAB1	-0.798125
MGC16385	-0.060625
TSPAN18	-0.303333333333333
MED31	-0.24425
PLG	-0.29125
CAPSL	1.5065
ZNF532	1.019
ASB14	0.124
CA8	1.50875
NUDT16P	2.311
SLFN11	-2.415
LRRIQ2	1.1915
NOL7	-0.560166666666667
BRMS1L	-0.444125
JARID1A	0.941
PANK2	0.10275
ICAM3	-0.36975
MDS1	0.477
TAF8	-0.2475
RNF139	0.7265
ZNF594	0.375166666666667
ADAM8	-0.07275
SFTPC	-0.020125
MAN2B2	0.583125
RGS12	0.2455
EIF1AY	-4.59941666666667
LRRIQ1	1.79783333333333
GPR150	0.69775
CCDC21	-1.87166666666667
PRRG3	-0.0695
SAA4	-3.723
RAPGEF5	1.3855
ZCCHC2	0.694666666666667
MGC39372	0.1195
PPP4R2	0.448
CDCA2	-1.01533333333333
OR4D5	0.397666666666667
PTGFRN	1.7969
SIGLEC5	1.0875
C19orf61	-1.03116666666667
NMUR2	0.5345
KIAA1586	-2.62216666666667
DAGLA	0.00483333333333334
CHCHD6	-0.299
GPR32	0.5155
NEUROD6	0.356166666666667
SLC2A4RG	0.9979375
CA5B	0.14375
FBXL3	-0.07775
MPHOSPH9	-1.02675
HMG2L1	0.74375
HCN4	0.2375
CEACAM19	0.42225
SH2D4B	0.272
HFE2	-1.475
TGM4	0.1222
LYPD2	-0.12275
TBC1D15	0.42325
MRPS21	1.0114
NONO	-0.3037
CLEC5A	0.941125
ITCH	0.4277
MGAT3	-1.4795
MBP	-1.946625
RPP25	0.13425
SOSTDC1	-2.7585
HRC	-1.93
TRIM48	-0.017
TMEM133	0.60075
ECEL1P2	-1.49
HOXC11	1.2775
DOK5	-1.731
HELZ	-0.120833333333333
LOC348180	-1.14075
MGC33894	0.1225
ADRB3	0.296
DMD	-0.535833333333333
PTRH2	-0.64375
MPEG1	1.8065
NDUFA12	0.235166666666667
KRTAP2-4	-0.0170833333333333
STAMBPL1	-1.76783333333333
ADCY2	-0.924333333333333
UNQ6125	1.101
KLHL20	0.928333333333333
SRM	-1.71025
OTC	0.71775
TMIE	0.352166666666667
SNX8	0.6625
LIPK	0.041
CHURC1	0.973833333333333
KLC2	0.3135
HDAC1	-0.532
FAM128A	1.3165
FNDC3B	-1.0471
MTCP1	0.276
WFDC10B	-0.2109
PCDHGB3	-0.884
ATRNL1	0.4497
CAV2	-1.873875
MED26	-0.213666666666667
DUS1L	-0.20925
CHRM3	-0.977625
NEK9	0.492
WARS2	0.60875
TBX22	0.908
TOMM40	-1.18325
RP6-213H19.1	-0.9045
TUBGCP5	-1.28625
IGSF6	3.569
TPPP	0.120333333333333
UNQ6190	-0.314
GSTM5	0.094875
BTD	0.285333333333333
PDCD1LG2	-0.667666666666667
SNRPB2	0.0575
ERICH1	0.7735
APOA4	-1.77
HOXA11	-1.29175
NARG1	-0.643375
MKX	2.6735
RAB28	-0.670714285714286
PKP3	1.0315
SH3GL2	-3.13525
CTSO	0.78575
RPN2	0.729625
IL28RA	-0.134666666666667
SFMBT1	0.95
WDR57	-1.3325
FER1L3	0.564833333333333
HSF5	-0.14
TTC9B	0.90175
C4BPA	-3.61
ALB	-4.75221428571429
SORBS3	0.539125
UPF2	0.138
JPH1	1.157
AGBL2	0.52825
DOPEY1	1.416
TERF1	0.725833333333333
KIF22	-0.561666666666667
NINJ1	1.481
SEC61A2	0.443
HIST1H1D	0.861333333333333
SFXN4	0.506125
UCP3	0.2094
ZNF703	0.136666666666667
MYL6B	0.21775
TREM1	1.261
OR52E6	0.789
CKMT2	0.7515
HLA-C	1.843875
SLC13A3	0.027
TIMP4	0.6415
SLIT2	1.81725
RSF1	0.457777777777778
LONRF1	-0.256214285714286
MON1A	-1.07733333333333
CACNG6	-2.24283333333333
DPPA4	-5.65383333333333
ZSWIM3	0.54125
ZNF804A	-0.133333333333333
CCIN	1.08
SLC25A31	0.97975
KCNMB4	-1.3745
RABL5	1.78975
GALNS	-0.5181
STX6	1.5495
HIST1H1C	1.40333333333333
CIDEB	0.402625
CASP4	-1.03533333333333
PDK3	0.9963
KCNJ11	1.536
TPR	0.656
ZSCAN20	-0.7565
MTX2	0.4475
HIST1H2BH	1.25575
LOC283767	2.291
LYRM7	-1.60694444444444
BRD3	0.925
HIST1H2BO	0.91925
MAGEB10	0.39
SLC45A1	0.45775
SERPINA3	3.56915
KIAA0143	0.751
KCNJ16	-0.452
KRT79	0.0205
FABP2	-0.5295
NUT	-0.359
ZNF57	-0.36975
FBXL4	0.44675
CLEC9A	-0.301
UGT8	-1.535
BMP2K	-0.534
MAPK4	-4.02725
SLC25A23	-0.2726
HINT1	-0.5176
KRTAP13-1	-0.496
SFXN5	0.3573
CHCHD2	-0.26275
FAM3D	1.1035
NDP	-3.47125
RHOBTB1	0.5365
SLC4A4	-0.0855
RPL38	-0.131
HTF9C	-0.878
AP2A2	0.526625
ZBTB46	-0.487
MAP7D1	-0.96425
AOX1	0.207166666666667
CYR61	-0.564333333333333
DTNA	-1.81584615384615
JRKL	-1.58775
TMOD3	-0.7205
EEA1	-0.1425
ADCK5	0.385
IL1R1	0.588166666666667
KLK3	1.48321428571429
HRSP12	0.51775
KTN1	0.41875
LOH11CR2A	0.0126
RELL2	-1.41175
MAB21L1	0.55125
C20orf59	-1.2815
PHKB	0.1155
ADAM2	-2.1082
TBC1D8B	2.0965
FAM13A1	-0.00750000000000001
LAPTM4B	-0.306083333333333
LCN8	0.526
TMEM147	0.493
SYT4	0.563166666666667
XPO7	0.02
C9orf62	0.90875
GPR75	0.3155
TRIM5	-0.06175
APOC1	-0.928
RNASE4	2.59866666666667
PARD6B	-1.739
ARID1A	0.123083333333333
TPD52L3	0.0122
RRAGB	1.346
RCN2	-0.763666666666667
HIST2H2BE	1.940875
STARD7	0.203
SHMT2	-1.70825
KIAA1751	-0.131166666666667
MLYCD	0.309125
LOC162632	-0.4462
UQCRH	-1.38075
RP11-217H1.1	0.8751875
SDHA	-2.117
NCLN	-0.2227
ZNF17	0.416166666666667
RCBTB2	-3.049
VEGFB	0.078
RP4-747L4.3	0.5035
COLQ	-0.0958
MPN2	-0.611
DRG2	-0.51425
KLRB1	3.22725
ALPK2	-2.88825
DNASE2B	1.81425
FLJ23834	0.680333333333333
AXUD1	-0.669166666666667
SAFB	-0.2371
NSUN4	-0.9785
RFX2	0.0323333333333334
MAPK8IP1	0.0266666666666667
FANCD2	-1.06357142857143
ANKZF1	-1.3205
C19orf50	-0.83175
DUSP8	0.164125
SENP5	0.473375
NFKBIL2	-0.9795
LBR	-0.850625
IGFL1	-0.549
LZTS2	0.196875
IL2RG	-1.955375
CCDC51	-0.27725
KLF3	-0.0825
ANKRD37	-2.164
KCTD14	-1.40616666666667
FZR1	-0.3195
SLC44A4	4.0464
ESPL1	-0.7705
GMPR2	-0.2805
TBC1D19	0.162666666666667
ERGIC1	0.363925925925926
ERBB4	3.9716
TSPAN32	-0.182083333333333
MAP4	-0.7735
GPHN	-0.5145
SLC6A2	-0.3335
HIVEP1	1.06375
DFFB	-0.6625
EIF4EBP2	0.3755
DMRT1	-0.158
HSPB6	-0.1325
IER2	0.082
AIFM1	0.818
WWC2	-1.58541666666667
MRPL4	-0.94575
FLJ21062	2.70016666666667
EPB41L4A	1.15425
SH2D6	0.21
TAF4B	-1.91375
GAL3ST3	-0.6365
MALT1	-0.4785
RTDR1	1.97275
ARVCF	-0.170125
MEX3B	-1.4835
FBXO16	2.493
KIF7	-1.4605
C1QC	3.80066666666667
ZNF783	-0.857833333333333
ZNF85	-0.26925
MMP13	2.061
KIAA0329	0.687
RTP3	0.0105
ZBED3	0.08075
CLGN	2.00225
SLC25A37	-0.869833333333333
hCG_18290	-0.29875
OR5AS1	0.1335
SMARCC2	0.308833333333333
FAM109A	-0.2295
CCDC12	-0.5165
USF2	0.2866
DEPDC7	-3.72375
C20orf24	-0.361666666666667
JMJD3	0.917
DSP	1.85678571428571
SLIC1	0.013875
FAM20A	-0.620625
IRF2BP2	1.228
ZNF230	0.0155
MSN	-1.25071428571429
SLC9A5	-1.4695
EPDR1	-3.6529
MUSK	-0.223
ZNF434	0.564833333333333
SMARCD1	-0.453666666666667
ZFP106	-0.9185
ZNF347	0.4823
GTF2E1	0.7205
RY1	-0.328166666666667
