Hybridization REF	TCGA-BH-A0E0-11A-13R-A089-07
CD160	1.14366666666667
MT1JP	0.612166666666667
PHF20	-0.0561875
CPNE4	-0.11075
GTPBP1	-0.500714285714286
RAB33B	1.74133333333333
ALDOC	-1.458625
ZNF212	-0.23125
NUDT1	-0.973166666666667
RFPL2	-0.679
ZNF83	-0.0441666666666667
GDPD5	-0.43925
PDCD4	2.23955
CEP350	-0.402
OR10A2	-0.093
CST7	-0.543
CIAO1	-1.0625
SELL	0.182125
OR8J3	-0.4265
LTBP4	-0.278666666666667
SIRT6	-0.8685
CCL19	2.24875
PPIL1	-1.401
GBP7	0.0733333333333333
STK17A	-0.77
ABR	0.65325
OR9G1	0.218
FOXE1	-0.496625
CNGA3	-0.017
GML	-0.211
CD38	-3.23
ZDHHC6	-0.0661666666666667
NEFH	-0.9855
CTDSP2	0.825833333333333
PGBD5	-2.16433333333333
CCNY	0.301071428571429
RMND5B	0.00791666666666666
ZNF257	-0.25625
FLJ22167	0.173625
EXOSC7	-0.214666666666667
ROR2	0.5175
MAOA	3.020875
TNNT3	2.32416666666667
GYPC	-0.3655
C7orf33	0.0545
PLIN	4.73616666666667
LOC90826	0.25425
RNF4	-0.3278
F8A1	-0.0346666666666667
PLEKHG4	-0.9515
GRB2	-0.51075
HIST1H2AD	0.1515
DUS3L	-0.801333333333333
EIF1	-0.156833333333333
RP5-1077B9.4	-1.93583333333333
FPGT	1.51025
GDF10	1.902
COQ9	-0.2185
GCC2	0.979214285714286
RARRES3	2.10875
PLXNA1	-0.7905
KIAA0100	-0.2218
PMF1	-0.3225
FNDC1	3.184
HS2ST1	-0.203666666666667
CRELD2	-0.248
C8G	-2.1575
CD82	0.8815
LIM2	-0.74
UNQ6490	0.4185
MMP16	0.673
DRD3	-0.38325
C5orf26	0.61125
C11orf73	-0.285125
PTP4A2	0.70375
OR4M2	-1.25
HPCA	-1.89983333333333
SEC14L1	-0.739666666666667
CHFR	-0.745125
EMILIN1	0.5615
NDUFS4	0.063
COL18A1	0.2445
PDZD3	0.2812
C9orf16	-0.267
ERBB2IP	0.318166666666667
EMX2	3.9875
FUS	-1.453
TF	-2.026
CLCN4	0.161333333333333
CXorf56	0.33625
C11orf72	-0.00550000000000002
ELAC2	-0.505916666666667
NPR1	1.447
ASS1	-1.20783333333333
USP42	0.27725
POLR2J	-1.6515
SEC23IP	0.688333333333333
UQCRC1	-0.3165
LOC729603	-0.101
C1orf71	-0.573875
POLG	-3.0515
ADAM23	-3.87125
TFR2	-1.9925
RICTOR	0.0236
MGC39606	2.0395
C19orf55	-0.49425
SNAPC1	-0.876
GNA11	0.8725
CCDC52	-0.265
FSIP1	4.045
UPF3A	-0.1175
IGSF11	-2.207
LAGE3	-0.90625
CHST6	-2.72
UNC13B	-0.018125
TTLL4	-1.734
ZNF687	-0.0625
SDC2	1.7871
COX7A2	-0.37025
LAMB4	-0.4435
FAM24A	0.073
LRRTM3	-0.751166666666667
GPHB5	0.1225
OR4C13	0.586
EIF3EIP	0.554642857142857
HABP4	-0.2565
TMEM125	3.5555
CNTN2	0.67375
ASNSD1	0.3775
FUT4	-0.40475
ACF	-3.059
LOC158381	0.754
CDH8	0.3265
AGPS	-1.43433333333333
C4orf18	3.529125
PECI	0.322833333333333
UNG	-0.710125
GSTP1	0.206625
DCUN1D5	-1.22683333333333
DKFZP564J0863	-1.3435
SLC9A3R1	0.537875
BCDO2	-0.055625
CHMP7	-0.092625
REM2	0.261
DNHD1	-0.730375
FKBP4	-0.8855
ZNF350	1.56125
MGC11102	-0.31825
BST1	0.567
KISS1R	-0.7325
NCR2	0.024
DEFB125	-0.0255
UBE2W	1.202125
KRT15	4.022875
C10orf99	-0.195
SCN11A	-0.071
GFI1	-2.72325
RDHE2	2.428
FHL1	0.566
OSGEP	0.0348333333333333
GATA1	-4.01766666666667
SMC6	-1.74175
TTTY14	-0.79775
LPIN3	-0.4225
RPL4	0.2896
RBPMS	0.5296
PRPF3	-1.18466666666667
EMR1	-2.447
SPATA19	-0.0565
XCR1	0.104
IRX3	2.0883
RBM6	-0.39325
KLF4	0.8686
UNC5CL	-0.80325
SEBOX	0.31
BTK	-2.1875
KRCC1	1.828
C6orf27	0.0175
SYTL5	-0.354
PRND	1.867625
LOC653319	-1.829
PIGL	-1.532375
HUS1	-0.559666666666667
SFRS6	0.4575
C17orf77	-0.206
UIMC1	-0.297666666666667
FXYD2	-1.8965
LOC283152	-0.40575
ZNF667	1.196
ZCCHC12	-0.43775
TFEC	1.3255
ATP7B	-0.00783333333333333
POLD2	-1.6475
RG9MTD1	-0.137
ACOT2	0.645333333333333
HIST1H4I	-0.618375
PPARGC1A	-1.01
ETFA	-0.0814
POLRMT	-0.796
ZNF146	-0.075375
MIA2	0.248
KLHL6	-2.07116666666667
HOXB5	-0.55025
NENF	0.291833333333333
CUGBP1	-0.22125
PRSS22	1.06466666666667
CASC4	1.3707
CUL4B	0.2622
CENPJ	-1.8256
PITX1	-2.79366666666667
FLJ31033	0.946666666666667
CELSR3	-2.56833333333333
ZNF568	1.15775
ITSN1	0.0744999999999999
EHBP1L1	-1.43566666666667
C19orf2	-0.39775
DCTN1	-0.50375
LIN28B	-3.0156
TNKS2	-0.27825
C1QBP	-0.132875
CADPS2	3.09025
SRMS	0.13325
GJA9	0.2835
MGC24975	-1.10283333333333
TRIM45	-0.679
TSP50	0.312
TCP1	-0.99575
TMED7	0.4681
CMA1	1.111
CENPL	-1.86866666666667
PTCRA	-0.5095
FST	-3.70975
VWCE	-3.334
PAWR	0.56325
ABCC12	1.909
LDLR	-1.8837
ASTN2	2.2471
LOC441212	-0.830375
GPATCH8	-0.30425
TANC2	-0.958166666666667
KIF4A	-3.84825
C18orf18	-0.20575
PGM1	-0.06275
KIAA0258	-0.0435
CPD	0.529
SNCAIP	-0.63975
DCT	-3.784
HLA-DOA	1.90177272727273
OR11L1	0.235
UPK1B	-0.5612
DNAJB4	1.27125
UGT1A8	-0.5685
HIST1H4L	0.0175
PECR	-0.5985
HSPA2	2.169
WFIKKN1	-2.369
SERP1	1.296375
SYDE2	2.00525
TACR2	0.298
NUP85	-1.29425
CD177	-0.899833333333333
LGR5	-2.53916666666667
PIGG	-0.284333333333333
PTHR1	-0.732166666666667
RAB5A	0.292
FLJ13224	-0.1365
USP9Y	-1.82983333333333
C7orf53	-0.887
LRP1B	0.828
XAF1	0.8004
ABCG8	-1.015
ANKDD1A	-0.407333333333333
DAND5	-2.177
SPAG6	1.17333333333333
LINCR	1.95775
ZDHHC22	-1.463875
CCDC60	-0.201
THOC7	-1.09216666666667
TCTA	0.5705
OR8K3	0.508
NY-REN-7	-1.12
B2M	0.746333333333333
C6orf141	-1.850875
LPPR4	2.893
SQLE	-2.102125
SEPHS1	-0.359
BTBD14B	-0.134071428571429
PLRG1	0.00975000000000001
SPG7	-0.884
ZNF614	0.00783333333333335
PARD6G	0.6205
INPP5B	-1.0608
GRPEL2	-0.233875
PPID	-0.4012
TRIM56	-0.3725
UBE2J1	-0.091125
IL20RA	6.768
LOC387856	0.50275
C1orf107	0.223416666666667
UTS2R	-0.56325
C19orf22	-0.8365
SAFB2	0.293125
KIAA0652	-0.465125
KLRG1	0.0453333333333333
MS4A8B	0.315833333333333
FRAG1	0.2425
KIAA1546	0.56575
E2F4	-1.432
CLEC4M	-0.225333333333333
BTBD14A	-2.124
KIAA0999	1.3127
GYPA	-3.40666666666667
TAC1	3.7297
TRAIP	-2.09516666666667
KIAA0232	0.726
ERCC8	-0.887625
GPX4	-0.156625
KIAA0368	0.278625
GPR157	-0.884666666666667
CTAGE4	1.0785
C9orf30	-1.56966666666667
OR52A1	0.1425
HSP90B3P	-0.2565
ALG9	-0.4927
BTBD10	0.64925
SDK2	-1.192
BAIAP3	-1.10375
RABGGTB	-0.7985
ANKRD40	-0.448333333333333
KRT74	0.808
CALCOCO2	0.549714285714286
SNCA	-1.56675
TMSL8	-3.8335
C2orf53	0.363
ESRRB	-0.973
ARHGAP26	-1.13975
TDRD9	1.038
HRAS	-0.345166666666667
KLRC4	-2.244
JAGN1	-0.0383333333333333
BSDC1	0.89375
RNF43	-0.3086
NDUFAF1	0.67875
PHF12	0.3815
OR1L3	0.27275
FOLR2	0.974166666666667
LYZL6	0.778333333333333
tcag7.1260	-2.3885
WSB1	-0.928166666666667
PROS1	1.3602
OSTN	0.118
PSMB8	0.50725
SOCS4	0.478
DDIT4L	2.984
MAS1	-0.487
MGC34796	0.863
CSHL1	-0.0126666666666667
TBCCD1	0.122166666666667
ZBTB7C	-0.58
AP2S1	-0.735625
P15RS	0.1426
VAT1	-0.953
SHANK3	0.593666666666667
TUFM	-0.341333333333333
THEG	-0.80825
KRT34	-2.3735
SGSM3	-0.045875
TOMM22	0.39875
SOCS3	0.996666666666667
CPO	1.413
POP4	0.247
BHLHB3	2.73525
MALL	0.71725
OR1B1	0.198
PARK2	0.872666666666667
GPR124	0.8755
LCE1E	0.043
RUVBL2	-0.8335
CGRRF1	1.1107
ACPL2	1.52725
WNT10B	-2.67125
BAIAP2L2	-2.03675
ISCA1	1.2055
C1orf125	-0.53825
RPAP1	-0.686
RAI16	0.557
RPL27	0.11625
NLRP9	0.582
EPN1	-0.413
LOC388610	0.876875
SLC35A1	1.1684
GAL	-3.6235
SLC14A2	0.12575
RDH11	-0.406666666666667
FAM138F	-0.3125
AUH	1.45425
FLJ40243	-0.188
C14orf129	0.5845
MBD2	0.0331666666666667
ABHD14B	-0.329625
PIGT	0.21575
ALS2CR4	0.769625
ALAS1	-0.649
FOXO1	2.064
CRLF3	-0.082375
C20orf107	-0.937
FARS2	1.01025
CCDC28A	1.5465
NPHP3	0.19425
OR13F1	0.5965
TSEN54	-1.38175
DEFB106B	0.329
OR8B4	0.2985
STH	0.64925
ZC3H14	-0.3005
CBX2	-0.7335
TMEM49	-0.7035
C6orf21	0.649
FLJ20920	0.8335
CRTAP	-0.0907857142857143
DDX50	0.27625
STYXL1	0.38775
BLVRB	-0.3965
LOC147650	-0.433
MMP24	0.311
GRID1	1.9665
BANF1	-0.757333333333333
CTAGEP	0.46625
HMBS	-2.006
SLC25A24	0.946666666666667
C14orf50	0.73
MRO	0.186
SLC25A15	-0.86525
FAM84B	1.1043
TDP1	-1.1425
C16orf78	-0.618166666666667
C11orf57	0.497625
RFK	0.557125
ZFYVE9	-0.786875
STCH	-0.8807
WIBG	0.307
LOC283871	-1.26516666666667
GBA2	-0.8984
NDUFB3	-0.22775
HSD17B13	1.8065
GRIN3A	0.165333333333333
FMNL1	-2.13816666666667
SEPT7	0.394
GNLY	1.8095
GRAMD1C	2.6555
ZNF165	0.2515
USP38	0.85075
FAM83A	-1.88
C14orf24	1.40083333333333
ARMCX3	1.49775
ARHGDIB	-0.636833333333333
AK1	-0.236375
KIAA1045	0.34175
DNAJB13	-0.61
NEU2	0.581
HIST1H4B	-0.867333333333333
FAM20B	-0.6964
HES2	0.5325
FAM73B	-0.6624
LOC388381	0.19275
INTS7	-1.06254545454545
AMPH	4.52925
ZNF775	-0.7945
UCKL1	-1.413
C10orf97	1.02175
C1orf161	-0.4555
ALDH1L1	2.6405
FLJ39378	-0.131125
SLC23A1	-1.9195
RBM4B	0.07225
THAP4	-0.106166666666667
OGFRL1	1.1625
KIAA0831	0.259625
PPP1R15A	0.585833333333333
C1orf96	-0.187857142857143
C12orf11	-1.23425
BMF	0.1125
MAN1A1	-0.382375
KIAA1600	1.3525
NLGN4X	1.78375
ALOX12	-1.3366
RB1CC1	0.1078
NEIL2	0.6221
EIF4E	0.421285714285714
ABHD5	0.83
EXOC4	-0.1995
CIP29	0.1065
BATF2	0.33825
SLC29A4	-0.771375
HTR4	0.739
EMB	-0.68225
TRAF6	0.61975
LMNB1	-3.135
FAM19A5	-0.785625
SHE	2.42675
PIK3C2B	1.102
C15orf15	0.3779
USP15	0.2425
TCEAL2	3.4095
C5orf39	-0.625
PTGER2	-1.7335
SLC31A1	-0.0675
IFT172	0.50425
ADAM29	-0.0225
GFOD1	0.80725
ST7L	0.697333333333333
C15orf26	-3.141
PKN3	-1.61975
CNTD1	2.607
COMMD1	0.439125
NTRK2	4.97175
FOXN3	0.888
MFGE8	-0.1593
PFKFB2	1.10366666666667
TAS2R4	-0.05875
ENTHD1	-0.0271666666666667
PRMT5	-0.891
MGC16384	-1.2635
LOC442229	-0.90275
TSKU	-0.343125
KRTCAP3	2.2965
PDLIM1	0.6974
KCNS2	-0.50475
RNF126	-0.903166666666667
CEP63	0.370875
CLIC4	-0.115625
hCG_1990170	2.42125
ACR	0.3682
KLK7	4.152
ALOX5AP	1.98475
RIPK3	2.48225
TAS2R9	0.6265
C19orf18	1.8715
BIRC6	-0.0654285714285715
ZNF16	0.824
RFT1	-0.6845
SLC8A2	-0.546
TACC1	1.18775
ITGAD	0.3995
SAMHD1	-0.13525
SH3PXD2B	0.8503
EPC2	1.5625
C20orf85	0.109
ATP13A2	-0.414
KRT4	0.13125
CAPNS1	-0.255
MDM2	-0.766833333333333
PCDH20	1.8455
KCNK9	0.372
OR2C1	-0.2805
KLHDC3	-0.8955
IPPK	-0.4655
EFHD2	-0.67475
GALR3	-0.32725
NBEA	2.31216666666667
ABCA6	4.2035
CLDN3	1.22266666666667
AKT2	-0.604428571428571
EGFR	0.2679
RBM16	0.571625
ZDHHC3	0.3078
SLC25A4	-0.0443333333333333
CYB5B	-0.0823333333333333
CPXM1	0.7795
NDRG1	-1.51946153846154
FLJ43826	0.68375
OR5L2	-0.00416666666666667
FARP2	0.1214
MRPL46	-0.46025
LDHAL6B	-0.0628333333333333
MAPKAPK3	-0.488
NCAM2	-1.44975
PRKD2	-0.3035
ZFP36L1	1.5905
CYSLTR1	0.115
OR4C3	0.25325
HIST1H2AJ	0.9045
CCNB2	-3.98811111111111
ZNF10	0.274625
TMEM175	-0.2735
FAM134A	0.572833333333333
TIGD4	0.693
PCNP	0.26
MGC39715	0.218
LQK1	-1.537
CREB1	1.8554
TMPRSS3	0.222
C4orf32	1.98825
LAT	-2.28166666666667
KCNA3	0.945
SKIV2L2	-0.6575
ROPN1B	2.184
tcag7.23	0.359
CDT1	-4.067625
ZHX2	1.4315
CD28	-4.797
ZNF624	1.5595
SEPT2	0.36875
SOHLH2	-0.20825
MCOLN3	0.243571428571429
UNQ1945	-0.0545
MASP2	-1.2415
ZNRF3	0.4272
GPATCH3	-0.16525
AGL	1.223125
QRICH2	-0.3775
PSD4	0.7435
CCNB1IP1	-0.70575
ENPP7	0.03175
OBFC1	0.7295
KCNG3	-1.83125
C14orf79	0.0341666666666667
ENPEP	1.99066666666667
SCT	-0.1685
SKI	0.07225
SEC61G	-2.1835
CAPN11	2.9335
ATXN7L3	-1.136
DBNDD1	-0.349166666666667
FAIM	0.98075
ANKRD36	0.2505
GABRP	4.6575
TACSTD2	1.67116666666667
EIF3J	-0.53825
PPP2R2A	-0.56325
TEKT4	-0.133333333333333
PVALB	-2.95416666666667
F10	-2.06866666666667
FAM134C	0.6304
COMP	2.93125
EFCBP1	-0.3388125
SCLT1	1.032375
TAL1	-1.0998
ACSL1	2.616
ABCC5	-0.896583333333333
ABL1	-0.887222222222222
RBBP7	-0.23625
PTPRG	0.977125
NCOR1	0.46
SPINK4	-1.88966666666667
TXNRD1	-2.0499
TNRC15	0.924375
C9orf138	0.76975
UBE2H	0.856666666666667
BRDT	1.48
C8orf31	-0.94125
CCNE2	-3.10590909090909
SLC6A8	-2.199625
CALCR	-2.5165
PPP1CB	1.72525
ABHD8	-0.5565
ARF5	-0.1559
SLC24A4	0.73675
CCT3	-0.65075
ZNF121	0.568625
SLC3A2	-1.3808
OR13A1	0.1915
SLC5A10	-0.753
RAD50	0.08525
IER5	-0.531875
MTHFD1L	-2.71875
MBTPS2	0.3385
MVK	-0.261125
NCL	-0.1691
PSMD10	-0.1205
MOBP	0.195
FLJ32894	-0.958
HRH1	-1.6595
C5orf30	1.0725
NUDT16L1	0.296
RASGRP3	2.80816666666667
PRKRIP1	-0.6872
CCDC75	1.04425
LOC253970	-0.2395
KIAA1239	1.29075
MED21	-0.2125
SYT11	-0.61625
NTSR2	-0.927
EGFL11	0.6375
CXorf59	0.293
OR2A25	-0.0555
SPTBN2	-1.00025
LRMP	-1.015
RNF111	0.10675
PTH	0.204
LOC619208	0.3955
KIAA0895	1.24775
RANBP5	-0.480125
P2RY10	0.392666666666667
NME5	4.42266666666667
DDX21	-1.0455
LRSAM1	-0.2255
HDAC11	-0.119166666666667
VMO1	0.19375
NOLA2	-0.275166666666667
ADAR	-0.622333333333333
MTO1	-0.8575
SF4	0.0245
P2RX1	-0.8125
HBM	-0.0865
EN2	-0.524
C14orf172	-0.559
TM9SF2	0.7263
INHBE	-1.62933333333333
TCTE3	-0.383833333333333
TOX2	-3.18875
CTAGE3	0.944625
HBB	4.0523
MED15	-1.38616666666667
CASR	0.28775
C6orf66	-1.11933333333333
MTPN	0.613375
UNC50	0.42875
C21orf33	0.76975
IRF2	1.323875
PGR	2.48533333333333
GPR84	0.76675
CROCCL1	-2.745
SRPX	0.3555
BRE	-0.190833333333333
FGF10	3.16875
SDC3	1.5505
ZRSR1	0.325333333333333
DKFZP434P211	-0.375375
SOX6	0.4285
RPUSD2	-0.1345
C14orf173	-0.628166666666667
MAPK11	-0.428166666666667
TBC1D22A	0.003
FAM123A	-0.8
COL4A6	1.84433333333333
TOMM70A	0.47625
NAB1	0.457875
MGC16385	-0.081
TSPAN18	-0.568333333333333
MED31	-0.03775
PLG	-0.93075
CAPSL	-0.046
ZNF532	1.0317
ASB14	0.0995
CA8	0.19425
NUDT16P	1.852
SLFN11	-0.993
LRRIQ2	0.045375
NOL7	-0.6805
BRMS1L	0.224875
JARID1A	0.778666666666667
PANK2	-0.634
ICAM3	-0.606
MDS1	0.29475
TAF8	0.068
RNF139	0.96125
ZNF594	0.228
ADAM8	-1.088125
SFTPC	-0.02625
MAN2B2	1.417625
RGS12	0.4421875
EIF1AY	-4.30625
LRRIQ1	0.715666666666667
GPR150	-0.86475
CCDC21	-2.289
PRRG3	1.48275
SAA4	-2.409
RAPGEF5	0.6085
ZCCHC2	-0.298333333333333
MGC39372	0.396
PPP4R2	0.722666666666667
CDCA2	-3.3575
OR4D5	0.5855
PTGFRN	0.0121
SIGLEC5	0.75
C19orf61	-0.904333333333333
NMUR2	0.4485
KIAA1586	-0.0656666666666667
DAGLA	0.709166666666667
CHCHD6	0.11875
GPR32	-0.274
NEUROD6	0.1925
SLC2A4RG	-0.50975
CA5B	0.1675
FBXL3	2.0945
MPHOSPH9	-1.9935
HMG2L1	0.333
HCN4	-1.254
CEACAM19	-0.1195
SH2D4B	0.802833333333333
HFE2	-0.915
TGM4	-0.392
LYPD2	0.037
TBC1D15	0.306
MRPS21	-0.4383
NONO	-0.4974
CLEC5A	-0.12425
ITCH	-0.0514000000000001
MGAT3	0.0473333333333333
MBP	-0.85475
RPP25	-1.59175
SOSTDC1	3.00225
HRC	-1.1115
TRIM48	0.023
TMEM133	0.55975
ECEL1P2	-1.5275
HOXC11	-0.4305
DOK5	0.604
HELZ	1.1635
LOC348180	-1.159
MGC33894	0.1155
ADRB3	0.344
DMD	1.0325
PTRH2	-0.79825
MPEG1	2.04616666666667
NDUFA12	-0.2855
KRTAP2-4	-0.194916666666667
STAMBPL1	-1.62016666666667
ADCY2	-0.0601666666666666
UNQ6125	0.281
KLHL20	0.7865
SRM	-1.218
OTC	-0.0895
TMIE	0.27
SNX8	-0.91175
LIPK	0.0885
CHURC1	0.92425
KLC2	-0.167666666666667
HDAC1	-0.6575
FAM128A	-0.760333333333333
FNDC3B	-0.2465
MTCP1	-0.615333333333333
WFDC10B	-0.349
PCDHGB3	0.67
ATRNL1	0.1411
CAV2	1.501125
MED26	-0.295333333333333
DUS1L	-0.46325
CHRM3	-1.1415
NEK9	0.1325
WARS2	1.253
TBX22	0.2345
TOMM40	-1.57375
RP6-213H19.1	-0.864
TUBGCP5	-1.35925
IGSF6	4.17775
TPPP	1.20583333333333
UNQ6190	-0.367
GSTM5	1.189625
BTD	0.917333333333333
PDCD1LG2	-0.508
SNRPB2	-0.768833333333333
ERICH1	1.1995
APOA4	-1.486
HOXA11	-3.06775
NARG1	-0.585
MKX	0.51375
RAB28	0.2115
PKP3	0.82575
SH3GL2	-1.84625
CTSO	3.74975
RPN2	-0.4675
IL28RA	0.528
SFMBT1	-0.46425
WDR57	-0.178875
FER1L3	1.46408333333333
HSF5	0.2575
TTC9B	-0.231
C4BPA	-2.33283333333333
ALB	-2.03921428571429
SORBS3	0.0605
UPF2	0.311
JPH1	-0.4705
AGBL2	0.024
DOPEY1	1.654
TERF1	-0.0200833333333333
KIF22	-1.85766666666667
NINJ1	0.529
SEC61A2	-1.464
HIST1H1D	-1.78183333333333
SFXN4	0.099125
UCP3	-0.19
ZNF703	-0.0971666666666667
MYL6B	-0.39225
TREM1	-0.6465
OR52E6	-0.1435
CKMT2	3.70375
HLA-C	1.1615
SLC13A3	-2.03066666666667
TIMP4	2.313
SLIT2	3.45725
RSF1	0.672888888888889
LONRF1	-0.052
MON1A	-0.606666666666667
CACNG6	-2.41033333333333
DPPA4	-5.852
ZSWIM3	0.0185
ZNF804A	-0.136
CCIN	0.73025
SLC25A31	-0.0185
KCNMB4	0.20475
RABL5	0.23525
GALNS	-0.9973
STX6	0.308
HIST1H1C	-2.75383333333333
CIDEB	-0.447
CASP4	0.140166666666667
PDK3	-0.0244
KCNJ11	1.9735
TPR	-0.237625
ZSCAN20	-1.0615
MTX2	-0.20575
HIST1H2BH	-0.68725
LOC283767	3.67725
LYRM7	-1.0885
BRD3	-0.0541666666666667
HIST1H2BO	-0.7565
MAGEB10	0.0835
SLC45A1	0.18125
SERPINA3	2.14465
KIAA0143	1.078
KCNJ16	3.69333333333333
KRT79	-0.18325
FABP2	-1.9095
NUT	-1.16775
ZNF57	-0.18325
FBXL4	0.307875
CLEC9A	1.1055
UGT8	0.28
BMP2K	0.497
MAPK4	-2.77575
SLC25A23	-0.7904
HINT1	-0.4421
KRTAP13-1	-0.0775
SFXN5	-0.4331
CHCHD2	-0.2175
FAM3D	2.286
NDP	-1.425875
RHOBTB1	0.158333333333333
SLC4A4	0.1535
RPL38	0.1255
HTF9C	-0.6565
AP2A2	0.14
ZBTB46	-0.095
MAP7D1	-0.035125
AOX1	-0.420666666666667
CYR61	1.40308333333333
DTNA	0.558142857142857
JRKL	1.10925
TMOD3	0.2895
EEA1	0.0458
ADCK5	-1.01575
IL1R1	1.763
KLK3	2.23107142857143
HRSP12	0.123
KTN1	0.1745
LOH11CR2A	1.5903
RELL2	-1.676
MAB21L1	3.2915
C20orf59	-1.75683333333333
PHKB	0.435
ADAM2	-2.49733333333333
TBC1D8B	1.36433333333333
FAM13A1	0.5915
LAPTM4B	-0.778416666666667
LCN8	-0.549
TMEM147	0.392
SYT4	0.2526
XPO7	-1.0845
C9orf62	-1.48575
GPR75	1.4135
TRIM5	1.274375
APOC1	-1.27583333333333
RNASE4	1.59183333333333
PARD6B	-1.502625
ARID1A	-0.269333333333333
TPD52L3	0.131
RRAGB	1.54133333333333
RCN2	0.0353333333333333
HIST2H2BE	-0.67975
STARD7	-0.441
SHMT2	-1.531
KIAA1751	-0.400166666666667
MLYCD	0.86525
LOC162632	-0.3824
UQCRH	-1.12875
RP11-217H1.1	-0.0195625
SDHA	-1.18916666666667
NCLN	-0.8981
ZNF17	0.807333333333333
RCBTB2	-0.54425
VEGFB	-0.8249
RP4-747L4.3	-0.5075
COLQ	-0.0476
MPN2	-0.281833333333333
DRG2	-0.64375
KLRB1	4.41875
ALPK2	-1.3205
DNASE2B	1.159
FLJ23834	-0.228
AXUD1	2.19583333333333
SAFB	-0.0707
NSUN4	-0.107
RFX2	0.830333333333333
MAPK8IP1	-0.3245
FANCD2	-1.55357142857143
ANKZF1	-1.70266666666667
C19orf50	-0.621125
DUSP8	2.348875
SENP5	-0.5485
NFKBIL2	-1.3445
LBR	-1.700375
IGFL1	0.3145
LZTS2	0.586125
IL2RG	-1.464625
CCDC51	-0.01275
KLF3	0.34
ANKRD37	-0.33475
KCTD14	1.46416666666667
FZR1	-0.262583333333333
SLC44A4	2.3315
ESPL1	-1.80625
GMPR2	-0.1351
TBC1D19	-0.383
ERGIC1	0.481222222222222
ERBB4	3.6239
TSPAN32	-0.265833333333333
MAP4	-0.78675
GPHN	-0.372
SLC6A2	1.88025
HIVEP1	0.388
DFFB	-0.4882
EIF4EBP2	0.8595
DMRT1	-0.592333333333333
HSPB6	0.62
IER2	0.896166666666667
AIFM1	0.00725000000000001
WWC2	0.583833333333333
MRPL4	-0.90725
FLJ21062	2.222
EPB41L4A	1.71891666666667
SH2D6	0.1645
TAF4B	-0.35725
GAL3ST3	-0.3325
MALT1	-1.19433333333333
RTDR1	0.59725
ARVCF	0.202375
MEX3B	-0.119
FBXO16	0.386
KIF7	-1.112
C1QC	3.77733333333333
ZNF783	-0.736666666666667
ZNF85	0.994
MMP13	-0.433
KIAA0329	0.69175
RTP3	-0.7535
ZBED3	-0.345
CLGN	-1.90875
SLC25A37	-1.010625
hCG_18290	0.203
OR5AS1	-0.3685
SMARCC2	0.48025
FAM109A	-0.555666666666667
CCDC12	0.0535
USF2	-0.2627
DEPDC7	-2.65
C20orf24	-1.185
JMJD3	0.458
DSP	1.439
SLIC1	-0.193375
FAM20A	1.1555
IRF2BP2	0.70675
ZNF230	0.613
MSN	-0.877285714285714
SLC9A5	-1.7095
EPDR1	-0.77
MUSK	-0.0681666666666667
