Hybridization REF	TCGA-AR-A0TT-01A-31R-A084-07
ACOT2	0.171333333333333
HIST1H4I	-0.960375
PPARGC1A	-1.0706
ETFA	-1.3468
POLRMT	-0.72425
ZNF146	0.374375
MIA2	-1.054
KLHL6	1.5725
HOXB5	-0.104625
NENF	0.271333333333333
CUGBP1	-0.4605
PRSS22	0.599166666666667
CASC4	0.7211
CUL4B	-0.5855
CENPJ	-0.7561
PITX1	-0.4945
FLJ31033	1
CELSR3	0.1125
ZNF568	0.5385
ITSN1	-0.209916666666667
EHBP1L1	-0.0363333333333333
C19orf2	-0.399
DCTN1	0.1685
LIN28B	-2.23216666666667
TNKS2	0.09125
C1QBP	-0.771625
CADPS2	1.193
SRMS	0.136
GJA9	-0.0821666666666667
MGC24975	-0.781833333333333
TRIM45	0.269666666666667
TSP50	-0.349
TCP1	-0.09725
TMED7	-0.2808
CMA1	0.737
CENPL	-0.574333333333333
PTCRA	1.119
FST	-3.2775
VWCE	-3.0225
PAWR	-0.2825
ABCC12	0.0765
LDLR	-1.0728
ASTN2	0.3558
LOC441212	-1.30775
GPATCH8	-0.22125
TANC2	-0.5975
KIF4A	-1.9485
C18orf18	-0.789
PGM1	-1.596
KIAA0258	1.132
CPD	1.320625
SNCAIP	-1.274
DCT	-4.11483333333333
HLA-DOA	3.38127272727273
OR11L1	0.509
UPK1B	-0.171333333333333
DNAJB4	-0.764
UGT1A8	-0.18675
HIST1H4L	-0.3805
PECR	-1.05833333333333
HSPA2	0.1425
WFIKKN1	-1.8595
SERP1	0.599
SYDE2	0.90725
TACR2	0.424
NUP85	-0.4995
CD177	1.96133333333333
LGR5	-1.40233333333333
PIGG	-0.246583333333333
PTHR1	-1.71266666666667
RAB5A	0.1071
FLJ13224	-0.2845
USP9Y	-0.994333333333333
C7orf53	-0.246
LRP1B	-0.1615
XAF1	2.6195
ABCG8	-0.998
ANKDD1A	-0.128833333333333
DAND5	-2.165
SPAG6	0.094
LINCR	2.1245
ZDHHC22	-1.82625
CCDC60	-0.069
THOC7	-1.111
TCTA	0.5104
OR8K3	0.05575
NY-REN-7	-0.19175
B2M	2.66033333333333
C6orf141	-2.40625
LPPR4	2.018
SQLE	-1.2085
SEPHS1	0.323
BTBD14B	0.158071428571429
PLRG1	-0.468
SPG7	0.03075
ZNF614	0.476666666666667
PARD6G	0.0416666666666667
INPP5B	-0.47
GRPEL2	-0.34225
PPID	-0.7279
TRIM56	-0.045
UBE2J1	0.743875
IL20RA	3.72575
LOC387856	0.17875
C1orf107	0.84725
UTS2R	0.78
C19orf22	-0.16725
SAFB2	0.0975
KIAA0652	0.1025
KLRG1	0.695166666666667
MS4A8B	0.962833333333333
FRAG1	-0.638
KIAA1546	0.265
E2F4	-0.3825
CLEC4M	-0.0405
BTBD14A	-1.45225
KIAA0999	0.5958
GYPA	-2.68066666666667
TAC1	-0.1425
TRAIP	-1.5655
KIAA0232	1.0369
ERCC8	-1.309625
GPX4	0.250125
KIAA0368	-0.189875
GPR157	-0.296666666666667
CTAGE4	1.158
C9orf30	-1.30433333333333
OR52A1	0.338
HSP90B3P	-0.2435
ALG9	-0.7138
BTBD10	0.3405
SDK2	0.63425
BAIAP3	-0.54925
RABGGTB	-1.112375
ANKRD40	0.304833333333333
KRT74	0.0975
CALCOCO2	0.335928571428571
SNCA	-2.9335
TMSL8	-3.709625
C2orf53	-0.047
ESRRB	-0.2855
ARHGAP26	-1.25875
TDRD9	-3.21875
HRAS	0.0668333333333333
KLRC4	-2.037
JAGN1	-0.239666666666667
BSDC1	0.6405
RNF43	0.949
NDUFAF1	0.049
PHF12	0.5285
OR1L3	-0.04975
FOLR2	2.75175
LYZL6	0.134666666666667
tcag7.1260	-0.992
WSB1	0.384
PROS1	-0.7083
OSTN	0.4165
PSMB8	1.40975
SOCS4	-0.1485
DDIT4L	0.99325
MAS1	0.3465
MGC34796	0.71575
CSHL1	0.270166666666667
TBCCD1	0.199666666666667
ZBTB7C	0.022
AP2S1	-0.587875
P15RS	-0.9629
VAT1	-0.9406
SHANK3	0.8255
TUFM	0.447166666666667
THEG	-0.248
KRT34	-1.9895
SGSM3	0.04925
TOMM22	-0.53875
SOCS3	1.1755
CPO	-0.187
POP4	0.44
BHLHB3	1.55025
MALL	1.04325
OR1B1	0.439
PARK2	0.706333333333333
GPR124	0.433125
LCE1E	0.0895
RUVBL2	-0.63175
CGRRF1	0.1076
ACPL2	-0.6835
WNT10B	0.374875
BAIAP2L2	-2.23075
ISCA1	0.2515
C1orf125	-0.036875
RPAP1	-1.06225
RAI16	-1.24083333333333
RPL27	-1.03275
NLRP9	0.1125
EPN1	0.2015
LOC388610	-2.36975
SLC35A1	0.2819
GAL	-3.81575
SLC14A2	0.131
RDH11	-0.702
FAM138F	-0.568
AUH	0.3085
FLJ40243	-0.13175
C14orf129	0.573333333333333
MBD2	-0.278666666666667
ABHD14B	-0.4095
PIGT	0.773
ALS2CR4	0.1845
ALAS1	0.5878
FOXO1	1.34083333333333
CRLF3	0.78125
C20orf107	-0.253
FARS2	0.1945
CCDC28A	0.784
NPHP3	-0.69225
OR13F1	0.381
TSEN54	-0.312
DEFB106B	0.1481
OR8B4	0.664
STH	0.00625000000000001
ZC3H14	-0.7185
CBX2	-0.077
TMEM49	0.20075
C6orf21	0.147
FLJ20920	-0.23525
CRTAP	-0.402928571428571
DDX50	0.3875
STYXL1	-0.94
BLVRB	-0.406333333333333
LOC147650	-0.779166666666667
MMP24	0.0585
GRID1	0.478166666666667
BANF1	0.105666666666667
CTAGEP	0.1335
HMBS	-2.105
SLC25A24	-0.0661666666666667
C14orf50	0.7955
MRO	0.6475
SLC25A15	0.52475
FAM84B	2.1667
TDP1	-0.367
C16orf78	0.143
C11orf57	-0.187
RFK	-0.125375
ZFYVE9	-0.692375
STCH	-0.7247
WIBG	0.217
LOC283871	-0.590166666666667
GBA2	0.0395
NDUFB3	-0.393
HSD17B13	-0.196333333333333
GRIN3A	2.414
FMNL1	0.627833333333333
SEPT7	0.084
GNLY	3.8975
GRAMD1C	0.931833333333333
ZNF165	-0.7015
USP38	0.2995
FAM83A	-3.0445
C14orf24	0.277583333333333
ARMCX3	0.270625
ARHGDIB	1.25383333333333
AK1	0.039875
KIAA1045	-0.51375
DNAJB13	0.191166666666667
NEU2	0.559
HIST1H4B	-0.884833333333333
FAM20B	-0.4971
HES2	0.691214285714286
FAM73B	-0.1811
LOC388381	-0.487
INTS7	-0.00436363636363636
AMPH	0.10325
ZNF775	-0.032625
UCKL1	-0.146833333333333
C10orf97	0.1085
C1orf161	-0.2005
ALDH1L1	-1.2995
FLJ39378	-0.357375
SLC23A1	-2.176
RBM4B	0.1975
THAP4	0.079
OGFRL1	0.178
KIAA0831	-0.160125
PPP1R15A	-0.349666666666667
C1orf96	-0.231
C12orf11	-2.11825
BMF	1.525875
MAN1A1	1.85025
KIAA1600	0.577166666666667
NLGN4X	-1.1755
ALOX12	-0.828166666666667
RB1CC1	0.6277
NEIL2	-0.4394
EIF4E	0.436272727272727
ABHD5	-0.6385
EXOC4	-0.0421666666666667
CIP29	-0.555666666666667
BATF2	2.12675
SLC29A4	-0.751375
HTR4	0.61875
EMB	0.5585
TRAF6	0.4195
LMNB1	-1.5515
FAM19A5	-0.9295
SHE	1.5095
PIK3C2B	1.0195
C15orf15	-0.5334
USP15	0.2654
TCEAL2	-1.019
C5orf39	0.317
PTGER2	-0.0185
SLC31A1	-0.00768750000000001
IFT172	0.518
ADAM29	0.078
GFOD1	-1.14525
ST7L	0.204666666666667
C15orf26	-2.237
PKN3	-1.7035
CNTD1	0.330166666666667
COMMD1	0.03125
NTRK2	1.93333333333333
FOXN3	0.468125
MFGE8	0.0725
PFKFB2	0.2525
TAS2R4	0.2345
ENTHD1	1.56666666666667
PRMT5	-0.866875
MGC16384	-1.206
LOC442229	0.10475
TSKU	1.706875
KRTCAP3	-2.1885
PDLIM1	0.7267
KCNS2	0.34775
RNF126	-0.546666666666667
CEP63	-0.02975
CLIC4	0.179
hCG_1990170	-0.96275
ACR	0.9725
KLK7	-0.57
ALOX5AP	3.948
RIPK3	3.18575
TAS2R9	-0.1925
C19orf18	1.3425
BIRC6	0.0475714285714286
ZNF16	0.1705
RFT1	-0.6725
SLC8A2	-0.45425
TACC1	0.250875
ITGAD	1.934
SAMHD1	2.3125
SH3PXD2B	0.3487
EPC2	1.01875
C20orf85	-0.11
ATP13A2	0.494
KRT4	0.16975
CAPNS1	0.105
MDM2	0.510916666666667
PCDH20	2.20575
KCNK9	0.4875
OR2C1	-0.1215
KLHDC3	-0.508666666666667
IPPK	0.6235
EFHD2	0.59575
GALR3	0.70275
NBEA	0.239
ABCA6	2.9662
CLDN3	0.143666666666667
AKT2	-0.494
EGFR	-2.3616
RBM16	0.392875
ZDHHC3	-0.0717
SLC25A4	-0.577666666666667
CYB5B	-0.8255
CPXM1	-0.19275
NDRG1	-0.899461538461538
FLJ43826	0.25275
OR5L2	-0.0905
FARP2	0.532
MRPL46	-0.676833333333333
LDHAL6B	0.322833333333333
MAPKAPK3	-0.2805
NCAM2	-1.01325
PRKD2	0.4775
ZFP36L1	0.8804
CYSLTR1	1.20125
OR4C3	0.35775
HIST1H2AJ	0.084
CCNB2	-2.11944444444444
ZNF10	0.16525
TMEM175	0.768
FAM134A	0.559
TIGD4	0.2215
PCNP	0.07975
MGC39715	-0.18225
LQK1	0.69675
CREB1	0.4357
TMPRSS3	-0.74775
C4orf32	0.985875
LAT	0.538416666666667
KCNA3	0.5135
SKIV2L2	-0.959
ROPN1B	-3.09
tcag7.23	-0.646
CDT1	-2.674375
ZHX2	0.875
CD28	-0.62025
ZNF624	1.35425
SEPT2	0.524916666666667
SOHLH2	-0.708875
MCOLN3	0.26825
UNQ1945	0.709
MASP2	-0.8925
ZNRF3	-0.7292
GPATCH3	-0.232
AGL	1.814625
QRICH2	-0.208
PSD4	1.034
CCNB1IP1	-1.3485
ENPP7	-0.191
OBFC1	0.25775
KCNG3	-2.4375
C14orf79	0.42425
ENPEP	0.564666666666667
SCT	1.8465
SKI	0.632625
SEC61G	-0.754
CAPN11	0.2445
ATXN7L3	-0.04775
DBNDD1	0.282333333333333
FAIM	0.79425
ANKRD36	0.2025
GABRP	-0.625666666666667
TACSTD2	0.552166666666667
EIF3J	-0.18625
PPP2R2A	-1.1945
TEKT4	-0.316
PVALB	-0.658166666666667
F10	-2.40833333333333
FAM134C	0.5187
COMP	4.88575
EFCBP1	-3.1315
SCLT1	0.4055
TAL1	-1.3955
ACSL1	0.52475
ABCC5	-0.467916666666667
ABL1	-0.3415
RBBP7	0.581
PTPRG	-0.725625
NCOR1	-0.1639
SPINK4	-0.9375
TXNRD1	-0.8642
TNRC15	0.972375
C9orf138	0.234
UBE2H	1.17716666666667
BRDT	0.120333333333333
C8orf31	-0.1285
CCNE2	-0.850090909090909
SLC6A8	-1.79175
CALCR	-2.9545
PPP1CB	0.4195
ABHD8	0.29025
ARF5	0.2377
SLC24A4	0.9885
CCT3	-0.56975
ZNF121	-0.2255
SLC3A2	-0.3246
OR13A1	0.1215
SLC5A10	0.09
RAD50	0.0025
IER5	0.5205
MTHFD1L	-1.70975
MBTPS2	0.1745
MVK	-0.489625
NCL	-0.1072
PSMD10	-0.24925
MOBP	0.002125
FLJ32894	0.111
HRH1	0.196166666666667
C5orf30	0.67825
NUDT16L1	0.6331
RASGRP3	4.21116666666667
PRKRIP1	-0.5492
CCDC75	-0.3195
LOC253970	-0.012
KIAA1239	0.8355
MED21	-0.7
SYT11	1.16708333333333
NTSR2	-0.1325
EGFL11	0.811
CXorf59	-1.1705
OR2A25	0.33025
SPTBN2	-0.964
LRMP	0.508666666666667
RNF111	0.156
PTH	0.4105
LOC619208	0.978333333333333
KIAA0895	1.038
RANBP5	-0.578375
P2RY10	2.8105
NME5	-0.180666666666667
DDX21	0.27525
LRSAM1	0.3565
HDAC11	1.04733333333333
VMO1	2.16075
NOLA2	-0.321
ADAR	1.40933333333333
MTO1	-0.717166666666667
SF4	0.428833333333333
P2RX1	1.092
HBM	0.08325
EN2	0.7415
C14orf172	-0.05625
TM9SF2	1.12
INHBE	-1.09466666666667
TCTE3	-0.0540833333333334
TOX2	-1.42825
CTAGE3	0.104625
HBB	3.0226
MED15	-0.716
CASR	0.03475
C6orf66	0.599833333333333
MTPN	0.02575
UNC50	0.15075
C21orf33	-0.302125
IRF2	0.853625
PGR	-2.27533333333333
GPR84	3.31125
CROCCL1	-0.8575
SRPX	-1.05825
BRE	0.1385
FGF10	0.125
SDC3	0.228166666666667
ZRSR1	0.9135
DKFZP434P211	-0.535625
SOX6	0.251
RPUSD2	-0.1625
C14orf173	-0.543
MAPK11	-0.424333333333333
TBC1D22A	0.7085
FAM123A	-0.5645
COL4A6	-3.02883333333333
TOMM70A	0.658
NAB1	-0.19525
MGC16385	0.6965
TSPAN18	-0.0271666666666667
MED31	-0.611
PLG	-0.43325
CAPSL	0.395
ZNF532	0.4097
ASB14	0.103
CA8	0.439
NUDT16P	1.61566666666667
SLFN11	-0.007
LRRIQ2	0.04025
NOL7	-0.349833333333333
BRMS1L	-0.995625
JARID1A	0.365
PANK2	-0.4985
ICAM3	0.546
MDS1	-0.41925
TAF8	-0.26275
RNF139	0.388
ZNF594	-0.145333333333333
ADAM8	3.40325
SFTPC	-0.27275
MAN2B2	1.282875
RGS12	0.3396875
EIF1AY	-4.32833333333333
LRRIQ1	-1.2545
GPR150	0.91675
CCDC21	0.296833333333333
PRRG3	0.14425
SAA4	-3.78
RAPGEF5	1.20575
ZCCHC2	0.149583333333333
MGC39372	1.824
PPP4R2	0.651333333333333
CDCA2	-2.067
OR4D5	0.184666666666667
PTGFRN	0.3748
SIGLEC5	1.7245
C19orf61	0.365
NMUR2	0.166
KIAA1586	-0.2115
DAGLA	-0.792166666666667
CHCHD6	-0.18775
GPR32	0.3245
NEUROD6	0.217166666666667
SLC2A4RG	0.539125
CA5B	1.3585
FBXL3	1.52975
MPHOSPH9	-0.47975
HMG2L1	0.15225
HCN4	0.471666666666667
CEACAM19	-0.7765
SH2D4B	0.415166666666667
HFE2	-0.486
TGM4	0.5092
LYPD2	0.27725
TBC1D15	-0.014
MRPS21	-0.0645
NONO	-1.3178
CLEC5A	1.850125
ITCH	0.0089
MGAT3	-0.383666666666667
MBP	0.272
RPP25	-0.4475
SOSTDC1	-2.80175
HRC	-1.44175
TRIM48	-0.1765
TMEM133	-0.34475
ECEL1P2	-1.033
HOXC11	0.664
DOK5	0.12275
HELZ	0.197666666666667
LOC348180	-1.087
MGC33894	-0.038
ADRB3	0.191
DMD	-0.259916666666667
PTRH2	0.54
MPEG1	3.47816666666667
NDUFA12	-0.134333333333333
KRTAP2-4	0.0618333333333333
STAMBPL1	-0.094
ADCY2	-0.689333333333333
UNQ6125	0.4145
KLHL20	0.4365
SRM	-1.0245
OTC	-0.2535
TMIE	-0.038
SNX8	-0.07525
LIPK	0.305
CHURC1	-0.259416666666667
KLC2	0.3505
HDAC1	0.0415
FAM128A	0.419333333333333
FNDC3B	-0.3172
MTCP1	-0.690666666666667
WFDC10B	1.0394
PCDHGB3	-0.026
ATRNL1	-1.7861
CAV2	-0.27475
MED26	-0.0238333333333333
DUS1L	0.129
CHRM3	-1.371
NEK9	0.322
WARS2	0.13825
TBX22	1.465
TOMM40	-0.71775
RP6-213H19.1	-0.584666666666667
TUBGCP5	-0.21575
IGSF6	5.462
TPPP	-0.0825
UNQ6190	-0.062
GSTM5	0.70175
BTD	0.254166666666667
PDCD1LG2	1.69466666666667
SNRPB2	-0.0485
ERICH1	-0.368625
APOA4	-1.48225
HOXA11	-1.6225
NARG1	-0.433625
MKX	-0.16275
RAB28	7.14285714285715e-05
PKP3	0.5015
SH3GL2	-2.248
CTSO	2.572
RPN2	0.2231875
IL28RA	0.410833333333333
SFMBT1	-0.17775
WDR57	-0.511375
FER1L3	0.699583333333333
HSF5	-0.184666666666667
TTC9B	-0.268
C4BPA	-3.30916666666667
ALB	-3.52935714285714
SORBS3	-0.15825
UPF2	0.535
JPH1	-0.256
AGBL2	-1.191
DOPEY1	1.32
TERF1	-0.423833333333333
KIF22	0.232833333333333
NINJ1	1.37625
SEC61A2	0.0673333333333333
HIST1H1D	-0.552333333333333
SFXN4	0.00725
UCP3	0.4857
ZNF703	0.869666666666667
MYL6B	-0.6755
TREM1	2.3125
OR52E6	0.3445
CKMT2	0.755
HLA-C	2.778
SLC13A3	-1.97866666666667
TIMP4	-1.65725
SLIT2	2.09625
RSF1	0.529388888888889
LONRF1	-0.408214285714286
MON1A	-0.472
CACNG6	-1.03716666666667
DPPA4	-5.1535
ZSWIM3	0.34375
ZNF804A	1.27466666666667
CCIN	0.955
SLC25A31	-0.029
KCNMB4	-1.3575
RABL5	0.02225
GALNS	0.2278
STX6	1.565375
HIST1H1C	-3.13533333333333
CIDEB	-0.52625
CASP4	0.743
PDK3	-0.0673
KCNJ11	0.293
TPR	0.83075
ZSCAN20	-0.2445
MTX2	0.2185
HIST1H2BH	-1.17625
LOC283767	-0.28125
LYRM7	-0.869222222222222
BRD3	0.967166666666667
HIST1H2BO	-1.2335
MAGEB10	0.282
SLC45A1	-0.0395
SERPINA3	-1.44815
KIAA0143	0.768
KCNJ16	-0.332
KRT79	-0.3945
FABP2	-0.178
NUT	-0.86625
ZNF57	-0.658
FBXL4	2.19975
CLEC9A	1.543
UGT8	-1.07416666666667
BMP2K	0.746
MAPK4	-3.77925
SLC25A23	-1.4474
HINT1	-0.8936
KRTAP13-1	-0.5885
SFXN5	1.0313
CHCHD2	0.279166666666667
FAM3D	-0.165
NDP	-2.802125
RHOBTB1	1.11166666666667
SLC4A4	-0.663375
RPL38	0.1835
HTF9C	-0.337
AP2A2	0.36125
ZBTB46	0.192
MAP7D1	0.545625
AOX1	-1.046
CYR61	0.231333333333333
DTNA	0.145857142857143
JRKL	-0.91725
TMOD3	-0.23075
EEA1	0.0075
ADCK5	-0.46325
IL1R1	0.032
KLK3	0.3645
HRSP12	-0.572
KTN1	-0.0295
LOH11CR2A	-0.2375
RELL2	-0.97025
MAB21L1	0.84025
C20orf59	-0.734666666666667
PHKB	0.35525
ADAM2	-1.248
TBC1D8B	0.121666666666667
FAM13A1	-0.8695
LAPTM4B	0.779333333333334
LCN8	0.1965
TMEM147	0.296
SYT4	0.5635
XPO7	-1.2845
C9orf62	0.921
GPR75	-0.1125
TRIM5	0.116375
APOC1	1.63116666666667
RNASE4	-0.2925
PARD6B	-1.726625
ARID1A	0.451666666666667
TPD52L3	-0.1461
RRAGB	0.321
RCN2	-1.02716666666667
HIST2H2BE	-0.7090625
STARD7	0.18375
SHMT2	-1.1615
KIAA1751	0.295666666666667
MLYCD	1.1425
LOC162632	0.5803
UQCRH	-1.24175
RP11-217H1.1	0.2603125
SDHA	-0.8885
NCLN	-0.3391
ZNF17	1.03333333333333
RCBTB2	-0.9445
VEGFB	0.0232
RP4-747L4.3	0.94075
COLQ	0.1733
MPN2	-0.571166666666667
DRG2	-0.49025
KLRB1	6.233
ALPK2	-1.349
DNASE2B	1.0015
FLJ23834	-0.381666666666667
AXUD1	0.208666666666667
SAFB	-0.1134
NSUN4	0.05325
RFX2	0.460166666666667
MAPK8IP1	-0.6815
FANCD2	-0.8645
ANKZF1	-0.8815
C19orf50	-0.26
DUSP8	1.329
SENP5	0.00137499999999999
NFKBIL2	-0.98275
LBR	-1.009625
IGFL1	-0.2755
LZTS2	0.07375
IL2RG	1.33225
CCDC51	-0.357
KLF3	0.297
ANKRD37	-1.7365
KCTD14	-2.0745
FZR1	0.437333333333333
SLC44A4	-0.2176
ESPL1	-0.705875
GMPR2	-0.3915
TBC1D19	-0.809666666666667
ERGIC1	-0.14037037037037
ERBB4	1.767
TSPAN32	1.46491666666667
MAP4	-0.165875
GPHN	-0.7105
SLC6A2	-0.0145
HIVEP1	0.99875
DFFB	-0.0062
EIF4EBP2	0.895375
DMRT1	-0.4565
HSPB6	-0.57825
IER2	-0.2935
AIFM1	-0.59975
WWC2	-0.647333333333333
MRPL4	-0.9795
FLJ21062	0.231333333333333
EPB41L4A	0.76425
SH2D6	0.08725
TAF4B	-0.70325
GAL3ST3	-0.255
MALT1	-0.449166666666667
RTDR1	-0.31975
ARVCF	0.022875
MEX3B	-1.35366666666667
FBXO16	-0.6565
KIF7	-1.3075
C1QC	4.08716666666667
ZNF783	-0.0638333333333334
ZNF85	-0.16075
MMP13	2.993
KIAA0329	-0.09075
RTP3	0.0995
ZBED3	-0.2815
CLGN	-3.21775
SLC25A37	-1.78404166666667
hCG_18290	0.04425
OR5AS1	0.273
SMARCC2	0.507416666666667
FAM109A	-0.1195
CCDC12	-0.11975
USF2	0.6466
DEPDC7	-1.79725
C20orf24	-0.438
JMJD3	0.668
DSP	0.631571428571428
SLIC1	1.347375
FAM20A	2.103875
IRF2BP2	0.822125
ZNF230	0.1715
MSN	-0.0686428571428571
SLC9A5	-1.4875
EPDR1	-0.6538
MUSK	0.1745
ZNF434	-0.108333333333333
SMARCD1	-0.5245
