Hybridization REF	TCGA-A2-A0CX-01A-21R-A00Z-07
TNKS2	0.7855
C1QBP	-0.498625
CADPS2	2.30075
SRMS	0.34275
GJA9	0.344833333333333
MGC24975	-0.1175
TRIM45	-1.31916666666667
TSP50	-0.01925
TCP1	-1.86375
TMED7	0.2443
CMA1	0.3385
CENPL	-0.0246666666666667
PTCRA	0.4915
FST	-2.18875
VWCE	-3.2555
PAWR	0.39525
ABCC12	3.04083333333333
LDLR	-0.0465
ASTN2	0.5019
LOC441212	-1.23
GPATCH8	-0.187
TANC2	-0.355416666666667
KIF4A	-1.4825
C18orf18	-1.68125
PGM1	-0.18375
KIAA0258	-0.828
CPD	2.792375
SNCAIP	-1.09933333333333
DCT	-3.64316666666667
HLA-DOA	2.55954545454546
OR11L1	0.282
UPK1B	-0.402
DNAJB4	-0.30375
UGT1A8	0.024
HIST1H4L	0.3565
PECR	-1.5655
HSPA2	-0.39525
WFIKKN1	-2.0225
SERP1	0.990125
SYDE2	1.406
TACR2	0.3235
NUP85	-0.07925
CD177	0.1745
LGR5	-1.302
PIGG	0.474083333333333
PTHR1	-1.7215
RAB5A	0.7051
FLJ13224	0.0285
USP9Y	-1.1646
C7orf53	-1.538
LRP1B	-0.2745
XAF1	2.3794
ABCG8	1.245
ANKDD1A	-0.4805
DAND5	-1.4535
SPAG6	0.439666666666667
LINCR	0.121
ZDHHC22	-1.449375
CCDC60	0.768
THOC7	-1.48766666666667
TCTA	0.6867
OR8K3	1.0085
NY-REN-7	-1.84225
B2M	1.66966666666667
C6orf141	-2.4665
LPPR4	1.68075
SQLE	0.167625
SEPHS1	0.224
BTBD14B	0.3295
PLRG1	-0.5875
SPG7	-1.2185
ZNF614	-0.00183333333333332
PARD6G	0.488833333333333
INPP5B	-0.6491
GRPEL2	-0.213875
PPID	-0.8644
TRIM56	-0.6725
UBE2J1	0.294875
IL20RA	3.76375
LOC387856	0.9695
C1orf107	1.27641666666667
UTS2R	-0.87325
C19orf22	-0.64075
SAFB2	0.40975
KIAA0652	-0.558
KLRG1	-0.279166666666667
MS4A8B	0.518166666666667
FRAG1	-0.115
KIAA1546	-0.16475
E2F4	-1.1618
CLEC4M	-0.0561666666666667
BTBD14A	0.27925
KIAA0999	0.372
GYPA	-2.6645
TAC1	-0.1185
TRAIP	-1.0825
KIAA0232	0.6169
ERCC8	-0.949
GPX4	0.735375
KIAA0368	-0.39325
GPR157	-0.8615
CTAGE4	1.0175
C9orf30	-0.435333333333333
OR52A1	0.017
HSP90B3P	0.4725
ALG9	-0.8054
BTBD10	0.5855
SDK2	-0.1135
BAIAP3	0.29
RABGGTB	-0.231125
ANKRD40	0.124166666666667
KRT74	-0.1195
CALCOCO2	-0.0595
SNCA	-2.8765
TMSL8	-1.40925
C2orf53	0.115
ESRRB	0.96275
ARHGAP26	-0.71425
TDRD9	0.90125
HRAS	0.1935
KLRC4	-1.947
JAGN1	-0.903
BSDC1	0.132
RNF43	1.3737
NDUFAF1	-0.16225
PHF12	-0.116
OR1L3	0.7325
FOLR2	2.1265
LYZL6	-0.209166666666667
tcag7.1260	-0.5845
WSB1	-0.849166666666667
PROS1	-0.5841
OSTN	0.6755
PSMB8	0.874
SOCS4	-0.629375
DDIT4L	0.8545
MAS1	0.5565
MGC34796	1.717
CSHL1	0.9996
TBCCD1	0.243333333333333
ZBTB7C	-0.121
AP2S1	-0.131375
P15RS	0.1793
VAT1	-1.0617
SHANK3	0.528166666666667
TUFM	0.178666666666667
THEG	-0.7535
KRT34	-1.2245
SGSM3	0.2765
TOMM22	0.720625
SOCS3	0.610333333333333
CPO	-0.0335
POP4	0.51175
BHLHB3	0.5015
MALL	1.4395
OR1B1	0.2055
PARK2	-0.179333333333333
GPR124	0.729375
LCE1E	-0.178
RUVBL2	-1.11575
CGRRF1	-0.000100000000000001
ACPL2	1.21975
WNT10B	-0.5885
BAIAP2L2	-1.960625
ISCA1	0.6905
C1orf125	-0.043375
RPAP1	-0.973
RAI16	-0.0965
RPL27	-0.66525
NLRP9	0.6835
EPN1	-0.0355
LOC388610	-1.727125
SLC35A1	1.3309
GAL	-0.49175
SLC14A2	0.208
RDH11	0.239833333333333
FAM138F	0.6095
AUH	-0.7045
FLJ40243	0.9715
C14orf129	0.246666666666667
MBD2	0.997833333333333
ABHD14B	-0.222
PIGT	0.30225
ALS2CR4	-0.3875
ALAS1	0.1834
FOXO1	1.148
CRLF3	0.497375
C20orf107	-0.033
FARS2	0.462
CCDC28A	-0.072
NPHP3	-0.36
OR13F1	0.3405
TSEN54	-0.05525
DEFB106B	-0.395555555555556
OR8B4	0.513
STH	-1.19125
ZC3H14	-0.697625
CBX2	-0.639
TMEM49	-0.50125
C6orf21	0.124
FLJ20920	-0.299625
CRTAP	0.209714285714286
DDX50	-0.2425
STYXL1	-0.802
BLVRB	0.306333333333333
LOC147650	-0.382833333333333
MMP24	-0.469
GRID1	1.34316666666667
BANF1	-0.172666666666667
CTAGEP	0.2975
HMBS	-2.074
SLC25A24	-0.482333333333333
C14orf50	-0.213
MRO	1.46916666666667
SLC25A15	-1.0265
FAM84B	1.4032
TDP1	-0.214
C16orf78	0.0368
C11orf57	0.54975
RFK	-0.080375
ZFYVE9	0.685285714285714
STCH	-1.017
WIBG	0.89025
LOC283871	-0.5355
GBA2	-0.8492
NDUFB3	-0.17
HSD17B13	-0.49
GRIN3A	1.04483333333333
FMNL1	-1.2015
SEPT7	-0.1152
GNLY	4.2555
GRAMD1C	1.086
ZNF165	-1.013
USP38	0.42225
FAM83A	-0.165333333333333
C14orf24	0.195416666666667
ARMCX3	1.57825
ARHGDIB	0.51
AK1	-0.38625
KIAA1045	0.0595
DNAJB13	-0.15
NEU2	0.5515
HIST1H4B	0.398
FAM20B	0.5696
HES2	0.261928571428571
FAM73B	-0.6926
LOC388381	0.3965
INTS7	0.825909090909091
AMPH	1.00475
ZNF775	-0.999375
UCKL1	-0.742
C10orf97	-0.19925
C1orf161	0.343
ALDH1L1	-1.35325
FLJ39378	-0.523875
SLC23A1	-1.145
RBM4B	-0.24575
THAP4	0.538666666666667
OGFRL1	0.15075
KIAA0831	0.318375
PPP1R15A	-0.815666666666667
C1orf96	0.694928571428571
C12orf11	-1.902
BMF	-0.122625
MAN1A1	-0.119375
KIAA1600	0.648333333333333
NLGN4X	-1.4265
ALOX12	-1.3845
RB1CC1	0.4643
NEIL2	1.1723
EIF4E	0.164590909090909
ABHD5	-0.67875
EXOC4	-0.0891666666666667
CIP29	-0.497666666666667
BATF2	2.19475
SLC29A4	-0.406
HTR4	0.32875
EMB	-0.27925
TRAF6	0.29475
LMNB1	-2.033
FAM19A5	-0.7755
SHE	1.37466666666667
PIK3C2B	2.0855
C15orf15	-1.0857
USP15	-0.2876
TCEAL2	0.31625
C5orf39	-0.710166666666667
PTGER2	1.181
SLC31A1	1.2988125
IFT172	0.5345
ADAM29	0.14325
GFOD1	2.55925
ST7L	-0.51
C15orf26	-2.593
PKN3	-1.93
CNTD1	1.6675
COMMD1	0.2335
NTRK2	1.84316666666667
FOXN3	-0.0305
MFGE8	-0.3451
PFKFB2	0.845166666666667
TAS2R4	0.83275
ENTHD1	0.128
PRMT5	-1.09025
MGC16384	-1.147
LOC442229	-0.1775
TSKU	-0.154875
KRTCAP3	-2.84325
PDLIM1	1.0311
KCNS2	-0.461
RNF126	-0.583833333333333
CEP63	0.53725
CLIC4	-0.217625
hCG_1990170	-0.9915
ACR	0.7809
KLK7	0.6315
ALOX5AP	2.776375
RIPK3	1.61575
TAS2R9	0.799
C19orf18	2.605
BIRC6	-0.194857142857143
ZNF16	0.6055
RFT1	0.029
SLC8A2	-1.23375
TACC1	1.96575
ITGAD	0.743
SAMHD1	1.60025
SH3PXD2B	0.9228
EPC2	1.07375
C20orf85	0.503125
ATP13A2	-0.396
KRT4	0.61725
CAPNS1	-0.55
MDM2	-0.0878333333333333
PCDH20	0.29275
KCNK9	0.632
OR2C1	0.2935
KLHDC3	-1.08016666666667
IPPK	0.456
EFHD2	-0.049875
GALR3	-0.4595
NBEA	-0.141333333333333
ABCA6	2.2659
CLDN3	0.809666666666667
AKT2	-0.588071428571429
EGFR	-1.9704
RBM16	-0.584375
ZDHHC3	0.6059
SLC25A4	-0.153333333333333
CYB5B	-1.73133333333333
CPXM1	-0.08225
NDRG1	0.162
FLJ43826	0.43075
OR5L2	0.2822
FARP2	-0.2175
MRPL46	-0.927916666666667
LDHAL6B	0.470166666666667
MAPKAPK3	-0.636
NCAM2	-1.28675
PRKD2	-0.320833333333333
ZFP36L1	1.387
CYSLTR1	1.09075
OR4C3	0.75775
HIST1H2AJ	1.9965
CCNB2	-1.72411111111111
ZNF10	0.001375
TMEM175	0.0935
FAM134A	0.586166666666667
TIGD4	-0.673
PCNP	-0.6055
MGC39715	1.7435
LQK1	0.16025
CREB1	0.4962
TMPRSS3	-1.32025
C4orf32	1.09925
LAT	-1.53966666666667
KCNA3	0.384
SKIV2L2	-1.34575
ROPN1B	-4.362
tcag7.23	-0.5925
CDT1	-2.845625
ZHX2	1.86575
CD28	-2.563
ZNF624	0.78825
SEPT2	0.3265
SOHLH2	-1.415625
MCOLN3	-1.40933333333333
UNQ1945	0.6205
MASP2	-0.5725
ZNRF3	-0.1662
GPATCH3	-0.63225
AGL	3.48975
QRICH2	-0.653
PSD4	-0.0871666666666667
CCNB1IP1	-1.54025
ENPP7	0.07075
OBFC1	-0.365
KCNG3	-1.37725
C14orf79	0.0811666666666667
ENPEP	2.17466666666667
SCT	2.7075
SKI	0.966875
SEC61G	-0.36625
CAPN11	1.166
ATXN7L3	-0.35825
DBNDD1	-0.614833333333333
FAIM	0.88675
ANKRD36	-0.242
GABRP	1.166
TACSTD2	2.59833333333333
EIF3J	-1.01225
PPP2R2A	-0.248
TEKT4	0.00683333333333331
PVALB	-3.0375
F10	-2.91616666666667
FAM134C	0.5046
COMP	5.258875
EFCBP1	-2.403375
SCLT1	1.18025
TAL1	-0.8488
ACSL1	1.42125
ABCC5	0.301916666666667
ABL1	-0.377333333333333
RBBP7	0.208416666666667
PTPRG	-0.38125
NCOR1	-0.3741
SPINK4	-1.62466666666667
TXNRD1	-0.0416
TNRC15	1.24175
C9orf138	0.54875
UBE2H	1.0835
BRDT	0.352
C8orf31	-0.00599999999999999
CCNE2	0.0917272727272727
SLC6A8	-0.975
CALCR	-3.41225
PPP1CB	0.390583333333333
ABHD8	-0.97925
ARF5	0.3211
SLC24A4	1.24425
CCT3	1.0615
ZNF121	0.6325
SLC3A2	-1.5869
OR13A1	0.302
SLC5A10	0.37875
RAD50	-0.7545
IER5	-0.818625
MTHFD1L	-2.111875
MBTPS2	0.06875
MVK	-0.012625
NCL	0.5088
PSMD10	-0.13175
MOBP	-0.0905714285714286
FLJ32894	0.2575
HRH1	0.5595
C5orf30	-0.82775
NUDT16L1	0.8063
RASGRP3	3.67
PRKRIP1	-0.3181
CCDC75	1.09725
LOC253970	-0.245
KIAA1239	-0.466666666666667
MED21	0.0595
SYT11	0.401916666666667
NTSR2	-0.071
EGFL11	-0.173
CXorf59	1.004
OR2A25	0.214
SPTBN2	-0.8925
LRMP	-1.869
RNF111	-0.1235
PTH	0.192
LOC619208	0.377833333333333
KIAA0895	0.5205
RANBP5	-0.660875
P2RY10	2.3015
NME5	3.88783333333333
DDX21	-0.084
LRSAM1	-0.6065
HDAC11	0.168666666666667
VMO1	1.934
NOLA2	-0.528166666666667
ADAR	0.98175
MTO1	-0.679
SF4	-0.15
P2RX1	-0.499
HBM	0.2195
EN2	0.3195
C14orf172	0.294
TM9SF2	0.481
INHBE	-0.6445
TCTE3	-0.934333333333333
TOX2	-3.0655
CTAGE3	0.4005
HBB	3.3963
MED15	-0.580666666666667
CASR	-0.75925
C6orf66	-0.647
MTPN	0.811375
UNC50	-0.185
C21orf33	0.006
IRF2	0.8035
PGR	-2.9985
GPR84	2.433
CROCCL1	-3.82275
SRPX	-1.6855
BRE	0.231833333333333
FGF10	0.7705
SDC3	-0.2545
ZRSR1	0.163166666666667
DKFZP434P211	-0.339875
SOX6	0.586
RPUSD2	-0.16725
C14orf173	-0.417416666666667
MAPK11	-0.310166666666667
TBC1D22A	0.524
FAM123A	-0.422
COL4A6	1.49383333333333
TOMM70A	0.857
NAB1	-1.1245
MGC16385	-0.4
TSPAN18	0.901666666666667
MED31	-0.177
PLG	0.447
CAPSL	1.0505
ZNF532	1.3722
ASB14	0.51225
CA8	2.01525
NUDT16P	-0.0655
SLFN11	-0.919
LRRIQ2	0.778875
NOL7	-0.201
BRMS1L	-0.610625
JARID1A	0.638833333333333
PANK2	-0.1665
ICAM3	-0.498
MDS1	0.027
TAF8	-0.24375
RNF139	1.06925
ZNF594	-1.23133333333333
ADAM8	2.214625
SFTPC	0.1015
MAN2B2	1.436375
RGS12	0.243
EIF1AY	-4.12672727272727
LRRIQ1	0.863333333333333
GPR150	-1.326
CCDC21	-1.47233333333333
PRRG3	0.06825
SAA4	-3.59275
RAPGEF5	0.64
ZCCHC2	1.153
MGC39372	-0.8905
PPP4R2	0.107333333333333
CDCA2	-0.869333333333333
OR4D5	0.4855
PTGFRN	0.4803
SIGLEC5	1.91933333333333
C19orf61	-0.4745
NMUR2	0.382
KIAA1586	-0.485166666666667
DAGLA	-0.868
CHCHD6	-0.365
GPR32	0.925
NEUROD6	0.187166666666667
SLC2A4RG	0.0866875
CA5B	0.689
FBXL3	1.60225
MPHOSPH9	-0.649
HMG2L1	1.04225
HCN4	-1.11933333333333
CEACAM19	0.1875
SH2D4B	-0.194166666666667
HFE2	-0.2895
TGM4	0.5395
LYPD2	-0.4595
TBC1D15	0.28325
MRPS21	0.9515
NONO	-0.2409
CLEC5A	1.310375
ITCH	-0.1807
MGAT3	-1.22866666666667
MBP	-0.30725
RPP25	-0.57775
SOSTDC1	-0.311
HRC	-1.50275
TRIM48	-0.129
TMEM133	-0.0695
ECEL1P2	-1.5855
HOXC11	1.105
DOK5	-0.559
HELZ	0.209833333333333
LOC348180	-0.9935
MGC33894	0.521
ADRB3	-0.0265
DMD	0.227083333333333
PTRH2	1.355
MPEG1	2.813
NDUFA12	0.595333333333333
KRTAP2-4	-0.0321666666666667
STAMBPL1	-1.02483333333333
ADCY2	-0.406
UNQ6125	1.8505
KLHL20	0.714666666666667
SRM	-1.285
OTC	0.1055
TMIE	0.1855
SNX8	-0.48625
LIPK	0.3155
CHURC1	0.53225
KLC2	0.0666666666666667
HDAC1	-1.04716666666667
FAM128A	0.232833333333333
FNDC3B	0.4457
MTCP1	-0.595
WFDC10B	0.249
PCDHGB3	-0.868
ATRNL1	-2.48775
CAV2	-0.3
MED26	-0.00733333333333333
DUS1L	0.74025
CHRM3	-1.11325
NEK9	-0.30975
WARS2	2.15425
TBX22	0.799
TOMM40	-0.52025
RP6-213H19.1	-0.890166666666667
TUBGCP5	-0.67425
IGSF6	5.28225
TPPP	0.6
UNQ6190	-0.6665
GSTM5	0.375875
BTD	1.79766666666667
PDCD1LG2	0.444333333333333
SNRPB2	0.210833333333333
ERICH1	0.297875
APOA4	-1.531625
HOXA11	-0.262
NARG1	0.0815
MKX	-0.258
RAB28	-0.321785714285714
PKP3	0.974
SH3GL2	-1.95866666666667
CTSO	2.30125
RPN2	1.06475
IL28RA	0.3365
SFMBT1	-0.764
WDR57	-1.29525
FER1L3	0.122
HSF5	0.982666666666667
TTC9B	0.05725
C4BPA	-3.00566666666667
ALB	2.05907142857143
SORBS3	0.02075
UPF2	0.348
JPH1	0.3625
AGBL2	-0.61025
DOPEY1	1.4235
TERF1	0.152416666666667
KIF22	0.121333333333333
NINJ1	0.86275
SEC61A2	-0.64225
HIST1H1D	0.684333333333333
SFXN4	0.3645
UCP3	-0.1728
ZNF703	0.581333333333333
MYL6B	-1.19875
TREM1	3.03875
OR52E6	0.046
CKMT2	0.293333333333333
HLA-C	2.2455
SLC13A3	-0.9045
TIMP4	-3.002
SLIT2	2.164
RSF1	0.284944444444444
LONRF1	-0.691142857142857
MON1A	-0.611833333333333
CACNG6	-1.44866666666667
DPPA4	-5.25583333333333
ZSWIM3	0.47075
ZNF804A	-0.0388333333333333
CCIN	1.6125
SLC25A31	-0.693666666666667
KCNMB4	-0.5495
RABL5	0.097375
GALNS	-0.8423
STX6	2.163125
HIST1H1C	0.216666666666667
CIDEB	-1.3025
CASP4	-0.0318333333333333
PDK3	0.5704
KCNJ11	0.732
TPR	0.297375
ZSCAN20	-0.9245
MTX2	0.0325
HIST1H2BH	0.9035
LOC283767	1.323
LYRM7	-1.78461111111111
BRD3	1.42316666666667
HIST1H2BO	0.73325
MAGEB10	0.271
SLC45A1	0.46575
SERPINA3	-1.01245
KIAA0143	2.56825
KCNJ16	-0.0382
KRT79	-0.1535
FABP2	-1.03475
NUT	-0.73475
ZNF57	-0.1505
FBXL4	0.101
CLEC9A	0.166
UGT8	-1.26033333333333
BMP2K	0.785
MAPK4	-3.4605
SLC25A23	-0.4318
HINT1	-0.3303
KRTAP13-1	0.4105
SFXN5	0.568
CHCHD2	0.046
FAM3D	0.897
NDP	-1.256875
RHOBTB1	0.469166666666667
SLC4A4	-0.80825
RPL38	0.5555
HTF9C	-0.228166666666667
AP2A2	-0.146875
ZBTB46	-0.49
MAP7D1	-0.036125
AOX1	-1.36316666666667
CYR61	1.58125
DTNA	-1.06892307692308
JRKL	-0.69775
TMOD3	-0.5965
EEA1	0.1706
ADCK5	-0.584
IL1R1	1.18683333333333
KLK3	-0.117
HRSP12	0.285
KTN1	0.391
LOH11CR2A	0.1185
RELL2	-1.886
MAB21L1	1.0055
C20orf59	-0.6345
PHKB	0.3065
ADAM2	1.42666666666667
TBC1D8B	0.589666666666667
FAM13A1	-0.7890625
LAPTM4B	1.04483333333333
LCN8	-0.186
TMEM147	0.8635
SYT4	0.617
XPO7	-0.136
C9orf62	-0.83725
GPR75	-0.1395
TRIM5	0.907125
APOC1	1.09533333333333
RNASE4	-0.985666666666667
PARD6B	-3.367125
ARID1A	-0.15675
TPD52L3	0.00177777777777779
RRAGB	1.0045
RCN2	-0.912833333333333
HIST2H2BE	0.6620625
STARD7	-0.28625
SHMT2	-0.057
KIAA1751	0.0855
MLYCD	-0.189375
LOC162632	-0.3446
UQCRH	-1.2485
RP11-217H1.1	1.004875
SDHA	-0.529666666666667
NCLN	0.1317
ZNF17	0.246333333333333
RCBTB2	-1.3815
VEGFB	-0.5751
RP4-747L4.3	0.78825
COLQ	0.1964
MPN2	-1.6134
DRG2	0.4465
KLRB1	4.29325
ALPK2	-0.439
DNASE2B	2.45025
FLJ23834	-0.698
AXUD1	0.3155
SAFB	0.0778
NSUN4	-0.0735
RFX2	-0.1775
MAPK8IP1	-1.05566666666667
FANCD2	-1.28907142857143
ANKZF1	-1.65333333333333
C19orf50	-0.826625
DUSP8	-0.480875
SENP5	1.594875
NFKBIL2	-0.5045
LBR	-1.025
IGFL1	0.6765
LZTS2	0.21175
IL2RG	0.043875
CCDC51	-0.08525
KLF3	-0.302125
ANKRD37	-0.523
KCTD14	-1.70866666666667
FZR1	-0.140916666666667
SLC44A4	2.6993
ESPL1	-1.038125
GMPR2	-0.7866
TBC1D19	-1.002
ERGIC1	-0.152481481481481
ERBB4	2.7741
TSPAN32	0.2555
MAP4	-0.257375
GPHN	0.10625
SLC6A2	0.272375
HIVEP1	1.67675
DFFB	-0.1887
EIF4EBP2	0.447
DMRT1	-0.3105
HSPB6	0.275
IER2	-0.301666666666667
AIFM1	0.519
WWC2	0.801166666666667
MRPL4	-0.531
FLJ21062	0.2855
EPB41L4A	0.455916666666667
SH2D6	0.40775
TAF4B	-1.1585
GAL3ST3	-0.3605
MALT1	-0.885333333333333
RTDR1	-0.243
ARVCF	-0.144
MEX3B	-1.20116666666667
FBXO16	0.9775
KIF7	-1.53875
C1QC	4.31033333333333
ZNF783	-0.8425
ZNF85	-0.6315
MMP13	5.1685
KIAA0329	-0.052625
RTP3	2.0055
ZBED3	-0.3285
CLGN	2.22775
SLC25A37	-1.49916666666667
hCG_18290	-0.81025
OR5AS1	0.441
SMARCC2	0.243
FAM109A	0.44
CCDC12	-0.504
USF2	0.00800000000000001
DEPDC7	-1.59525
C20orf24	0.221666666666667
JMJD3	0.9685
DSP	1.30871428571429
SLIC1	0.542142857142857
FAM20A	1.8845
IRF2BP2	1.096125
ZNF230	-0.0415
MSN	-0.2375
SLC9A5	-0.991
EPDR1	-0.8602
MUSK	0.2845
