Hybridization REF	TCGA-B6-A0IA-01A-11R-A034-07
CD38	-4.48775
ZDHHC6	0.44
NEFH	-1.4385
CTDSP2	0.377
PGBD5	-1.91
CCNY	0.541428571428571
RMND5B	0.1335
ZNF257	-0.69625
FLJ22167	-0.929625
EXOSC7	-0.5675
ROR2	0.2775
MAOA	2.7425
TNNT3	-0.251333333333333
GYPC	-2.086
C7orf33	0.8645
PLIN	0.839666666666667
LOC90826	-0.125
RNF4	-0.3814
F8A1	-1.36533333333333
PLEKHG4	-2.65675
GRB2	0.1028
HIST1H2AD	1.274
DUS3L	-1.36766666666667
EIF1	-0.2185
RP5-1077B9.4	-1.33966666666667
FPGT	2.594
GDF10	-2.14233333333333
COQ9	-1.00125
GCC2	-0.183142857142857
RARRES3	3.279375
PLXNA1	-0.825
KIAA0100	-0.1627
PMF1	0.404
FNDC1	3.879
HS2ST1	-0.13125
CRELD2	0.72275
C8G	-2.3745
CD82	1.44
LIM2	-0.6875
UNQ6490	0.202
MMP16	-0.8095
DRD3	0.08875
C5orf26	-1.452
C11orf73	-0.335375
PTP4A2	1.739
OR4M2	0.6405
HPCA	-1.0995
SEC14L1	-0.620833333333333
CHFR	-0.072625
EMILIN1	0.36175
NDUFS4	-0.36
COL18A1	-1.27
PDZD3	0.1285
C9orf16	0.529166666666667
ERBB2IP	0.488833333333333
EMX2	1.57475
FUS	-1.4035
TF	-3.7625
CLCN4	-1.4135
CXorf56	-0.22325
C11orf72	0.60625
ELAC2	-0.60275
NPR1	-1.915
ASS1	-3.38733333333333
USP42	-0.19825
POLR2J	-0.387
SEC23IP	1.21466666666667
UQCRC1	0.06075
LOC729603	-0.0015
C1orf71	0.703375
POLG	-1.9975
ADAM23	-3.822
TFR2	-0.774
RICTOR	-1.5426
MGC39606	-0.22325
C19orf55	-0.09275
SNAPC1	-1.05283333333333
GNA11	0.33625
CCDC52	-0.2585
FSIP1	3.8825
UPF3A	-0.681
IGSF11	-1.89616666666667
LAGE3	-0.33975
CHST6	-1.9515
UNC13B	0.41225
TTLL4	-1.768125
ZNF687	0.778375
SDC2	-2.6155
COX7A2	1.02975
LAMB4	0.171
FAM24A	0.427
LRRTM3	-0.679833333333333
GPHB5	1.159
OR4C13	2.6805
EIF3EIP	0.508571428571429
HABP4	-1.726
TMEM125	4.4825
CNTN2	0.753125
ASNSD1	-0.0735
FUT4	-1.276125
ACF	-3.26725
LOC158381	0.703
CDH8	0.29775
AGPS	1.49133333333333
C4orf18	4.07975
PECI	-1.10275
UNG	-0.57175
GSTP1	-3.11975
DCUN1D5	-1.44433333333333
DKFZP564J0863	0.4245
SLC9A3R1	0.167375
BCDO2	-1.9
CHMP7	-0.8875
REM2	0.7035
DNHD1	-0.961142857142857
FKBP4	0.213
ZNF350	1.48425
MGC11102	0.06725
BST1	1.65725
KISS1R	0.8955
NCR2	-0.4415
DEFB125	1.221
UBE2W	2.03625
KRT15	2.246375
C10orf99	0.9255
SCN11A	0.642375
GFI1	-3.48025
RDHE2	5.49966666666667
FHL1	-2.8405
OSGEP	-0.0793333333333333
GATA1	-3.56966666666667
SMC6	-1.24625
TTTY14	-1.22175
LPIN3	0.07075
RPL4	-0.5274
RBPMS	-1.5614
PRPF3	-0.8185
EMR1	-2.8775
SPATA19	-0.1675
XCR1	1.7275
IRX3	1.9815
RBM6	-1.74575
KLF4	0.4573
UNC5CL	1.865
SEBOX	0.199
BTK	-2.0915
KRCC1	1.4165
C6orf27	0.545
SYTL5	0.581
PRND	0.6315
LOC653319	-1.4685
PIGL	-0.520375
HUS1	-0.0761666666666667
SFRS6	0.4565
C17orf77	0.516
UIMC1	-0.3425
FXYD2	-1.8189
LOC283152	3.77175
ZNF667	-2.9155
ZCCHC12	-0.847
TFEC	0.9395
ATP7B	-0.422333333333333
POLD2	-1.91333333333333
RG9MTD1	-0.1645
ACOT2	0.222833333333333
HIST1H4I	-0.381125
PPARGC1A	-2.2761
ETFA	-3.449
POLRMT	-0.182
ZNF146	-0.50775
MIA2	-0.3215
KLHL6	-2.71666666666667
HOXB5	-1.423
NENF	1.5705
CUGBP1	0.9635
PRSS22	2.11683333333333
CASC4	1.8504
CUL4B	0.3837
CENPJ	-2.0871
PITX1	-1.84916666666667
FLJ31033	0.0125
CELSR3	-1.182
ZNF568	1.22575
ITSN1	0.1555
EHBP1L1	-1.7025
C19orf2	-0.79425
DCTN1	-0.5635
LIN28B	-2.92083333333333
TNKS2	-2.2945
C1QBP	-0.446
CADPS2	1.8405
SRMS	-0.37975
GJA9	0.202333333333333
MGC24975	-1.1835
TRIM45	-0.7865
TSP50	0.30825
TCP1	-2.2095
TMED7	1.2628
CMA1	1.138
CENPL	-0.598
PTCRA	0.1085
FST	-3.164
VWCE	-4.14
PAWR	1.069
ABCC12	1.38216666666667
LDLR	-1.1695
ASTN2	0.9695
LOC441212	-1.053875
GPATCH8	-0.09525
TANC2	0.0914166666666667
KIF4A	-1.84925
C18orf18	-1.567
PGM1	-2.3735
KIAA0258	1.604
CPD	0.061
SNCAIP	-2.40475
DCT	-4.1445
HLA-DOA	1.19909090909091
OR11L1	1.0735
UPK1B	-0.773
DNAJB4	-2.75
UGT1A8	-0.4245
HIST1H4L	1.198
PECR	-1.67816666666667
HSPA2	3.10375
WFIKKN1	-3.151
SERP1	1.348625
SYDE2	0.252
TACR2	1.0995
NUP85	-1.51075
CD177	-0.663666666666667
LGR5	-1.95175
PIGG	-0.19075
PTHR1	-2.1015
RAB5A	0.6684
FLJ13224	-0.199
USP9Y	-1.979
C7orf53	-1.5075
LRP1B	-1.37425
XAF1	0.7803
ABCG8	-0.5295
ANKDD1A	-0.884166666666667
DAND5	-1.697
SPAG6	7.46066666666667
LINCR	0.98525
ZDHHC22	-0.744125
CCDC60	0.684
THOC7	-0.251666666666667
TCTA	1.8375
OR8K3	0.399
NY-REN-7	-0.37875
B2M	1.49883333333333
C6orf141	-1.00725
LPPR4	-0.0135
SQLE	-1.141
SEPHS1	-0.82225
BTBD14B	0.392142857142857
PLRG1	-1.5535
SPG7	-2.0276875
ZNF614	-0.43
PARD6G	0.954833333333333
INPP5B	-0.3809
GRPEL2	0.993375
PPID	-1.4679
TRIM56	-1.0355
UBE2J1	0.27625
IL20RA	4.93825
LOC387856	-0.3745
C1orf107	0.47425
UTS2R	0.99825
C19orf22	0.22075
SAFB2	0.33925
KIAA0652	-0.979125
KLRG1	-0.458666666666667
MS4A8B	1.09533333333333
FRAG1	0.421
KIAA1546	-0.86125
E2F4	-2.2718
CLEC4M	0.238833333333333
BTBD14A	-0.3315
KIAA0999	1.5678
GYPA	-3.8225
TAC1	-0.8312
TRAIP	-1.02866666666667
KIAA0232	0.1861
ERCC8	-1.399
GPX4	1.208625
KIAA0368	-0.59725
GPR157	-1.0775
CTAGE4	-0.2075
C9orf30	-0.803666666666667
OR52A1	0.108
HSP90B3P	0.199
ALG9	-0.2478
BTBD10	0.53375
SDK2	-0.308
BAIAP3	1.76675
RABGGTB	-0.43025
ANKRD40	0.164833333333333
KRT74	1.0385
CALCOCO2	-0.106357142857143
SNCA	-4.19425
TMSL8	-3.396
C2orf53	0.8095
ESRRB	0.284
ARHGAP26	1.05
TDRD9	1.527
HRAS	0.515833333333333
KLRC4	-2.105
JAGN1	0.6315
BSDC1	1.0185
RNF43	-3.0701
NDUFAF1	0.73875
PHF12	0.382
OR1L3	-0.044
FOLR2	1.71241666666667
LYZL6	-0.0411666666666666
tcag7.1260	-3.2125
WSB1	-0.664333333333333
PROS1	-2.0992
OSTN	1.2145
PSMB8	1.0535
SOCS4	-0.086875
DDIT4L	-0.06975
MAS1	-0.2785
MGC34796	2.23425
CSHL1	0.235166666666667
TBCCD1	0.896166666666666
ZBTB7C	-0.0165
AP2S1	-0.395
P15RS	0.05
VAT1	-0.8399
SHANK3	0.578833333333333
TUFM	0.4645
THEG	0.17575
KRT34	-2.0625
SGSM3	-0.308875
TOMM22	-0.217
SOCS3	1.11633333333333
CPO	0.1125
POP4	0.3875
BHLHB3	-1.69375
MALL	-0.802
OR1B1	0.669
PARK2	0.283333333333333
GPR124	-1.268625
LCE1E	0.887
RUVBL2	-0.9795
CGRRF1	0.6497
ACPL2	0.915
WNT10B	-2.493625
BAIAP2L2	-1.984875
ISCA1	0.2495
C1orf125	-0.00575
RPAP1	-1.069
RAI16	-0.364166666666667
RPL27	-0.84625
NLRP9	0.116
EPN1	-0.171
LOC388610	-0.48575
SLC35A1	0.6758
GAL	-3.8095
SLC14A2	0.69675
RDH11	0.1255
FAM138F	-0.0115
AUH	0.591
FLJ40243	0.37575
C14orf129	0.392666666666667
MBD2	-0.3875
ABHD14B	0.347625
PIGT	1.056875
ALS2CR4	-1.162
ALAS1	-0.455
FOXO1	0.553166666666667
CRLF3	-0.595875
C20orf107	0.2115
FARS2	-0.5235
CCDC28A	0.02775
NPHP3	-0.68425
OR13F1	0.8735
TSEN54	-1.06175
DEFB106B	0.1026
OR8B4	1.58
STH	2.16525
ZC3H14	-0.584625
CBX2	-0.8045
TMEM49	-1.6855
C6orf21	0.6115
FLJ20920	1.12025
CRTAP	-0.546785714285714
DDX50	-0.39575
STYXL1	-0.14625
BLVRB	0.499166666666667
LOC147650	-0.042
MMP24	0.7195
GRID1	0.108166666666667
BANF1	-0.642833333333333
CTAGEP	0.2145
HMBS	-1.7715
SLC25A24	1.23166666666667
C14orf50	3.94275
MRO	-0.318166666666667
SLC25A15	-0.068
FAM84B	1.3611
TDP1	-1.338
C16orf78	0.2855
C11orf57	1.0625
RFK	-0.1865
ZFYVE9	-0.704375
STCH	-0.6154
WIBG	0.64675
LOC283871	-0.0381666666666667
GBA2	-0.9452
NDUFB3	0.5335
HSD17B13	-0.61475
GRIN3A	0.123166666666667
FMNL1	-2.09516666666667
SEPT7	-0.6517
GNLY	1.169
GRAMD1C	2.05066666666667
ZNF165	1.474
USP38	0.941
FAM83A	-2.426
C14orf24	1.38916666666667
ARMCX3	0.530875
ARHGDIB	-0.064
AK1	1.618125
KIAA1045	0.3555
DNAJB13	0.177333333333333
NEU2	-0.2815
HIST1H4B	0.716666666666667
FAM20B	0.4825
HES2	1.41178571428571
FAM73B	-0.7932
LOC388381	-0.00375
INTS7	0.0570909090909091
AMPH	4.13325
ZNF775	-0.01525
UCKL1	-1.7085
C10orf97	-0.172
C1orf161	0.382
ALDH1L1	-1.78125
FLJ39378	-0.44325
SLC23A1	0.686
RBM4B	0.38175
THAP4	0.22
OGFRL1	0.5865
KIAA0831	0.875375
PPP1R15A	0.117166666666667
C1orf96	0.422357142857143
C12orf11	-1.41675
BMF	-1.034625
MAN1A1	-3.0215
KIAA1600	-0.683166666666667
NLGN4X	4.62825
ALOX12	-0.363666666666667
RB1CC1	1.2832
NEIL2	-0.718
EIF4E	0.0748636363636363
ABHD5	1.11225
EXOC4	-0.120833333333333
CIP29	-0.5235
BATF2	1.37175
SLC29A4	-0.247625
HTR4	0.34475
EMB	-2.837
TRAF6	0.86825
LMNB1	-1.10225
FAM19A5	0.221375
SHE	-0.00749999999999998
PIK3C2B	0.5795
C15orf15	-0.3099
USP15	-0.0371
TCEAL2	-1.48525
C5orf39	-2.78033333333333
PTGER2	-1.6865
SLC31A1	-0.954625
IFT172	0.54325
ADAM29	0.55075
GFOD1	0.80925
ST7L	-0.227666666666667
C15orf26	-2.54125
PKN3	-1.36925
CNTD1	0.760833333333333
COMMD1	0.32325
NTRK2	6.07541666666667
FOXN3	-0.474625
MFGE8	-2.0542
PFKFB2	2.132
TAS2R4	-0.42675
ENTHD1	-0.0626666666666667
PRMT5	-1.921375
MGC16384	-1.65275
LOC442229	-0.00525
TSKU	-0.9555
KRTCAP3	4.5985
PDLIM1	-1.5504
KCNS2	0.5215
RNF126	-0.660833333333333
CEP63	1.3765
CLIC4	-0.723875
hCG_1990170	-0.7625
ACR	0.6885
KLK7	0.884
ALOX5AP	0.08775
RIPK3	4.86625
TAS2R9	0.734
C19orf18	2.2315
BIRC6	0.101214285714286
ZNF16	0.8585
RFT1	0.32075
SLC8A2	-0.24375
TACC1	0.18775
ITGAD	0.48725
SAMHD1	-0.35125
SH3PXD2B	0.6514
EPC2	0.93675
C20orf85	3.91925
ATP13A2	-0.148833333333333
KRT4	0.590375
CAPNS1	-0.42725
MDM2	0.451166666666667
PCDH20	0.86475
KCNK9	1.297
OR2C1	0.1695
KLHDC3	-1.3725
IPPK	0.379
EFHD2	1.0575
GALR3	1.0535
NBEA	0.473666666666667
ABCA6	-0.0790000000000001
CLDN3	1.45233333333333
AKT2	-0.781285714285714
EGFR	-2.2199
RBM16	0.291375
ZDHHC3	0.4475
SLC25A4	-2.63966666666667
CYB5B	-1.7495
CPXM1	-1.39075
NDRG1	-2.02453846153846
FLJ43826	0.072
OR5L2	0.63625
FARP2	-0.1998
MRPL46	-1.39666666666667
LDHAL6B	0.467666666666667
MAPKAPK3	0.688166666666667
NCAM2	-3.6295
PRKD2	-0.687833333333333
ZFP36L1	1.1619
CYSLTR1	-1.4375
OR4C3	0.75575
HIST1H2AJ	2.592
CCNB2	-2.34511111111111
ZNF10	-0.538625
TMEM175	0.007
FAM134A	0.740666666666667
TIGD4	-0.56
PCNP	-0.39075
MGC39715	0.2425
LQK1	-1.6895
CREB1	0.4879
TMPRSS3	0.74325
C4orf32	3.057125
LAT	-2.03566666666667
KCNA3	0.6785
SKIV2L2	-0.78025
ROPN1B	-3.9085
tcag7.23	-0.4945
CDT1	-3.12425
ZHX2	0.45575
CD28	-4.76625
ZNF624	1.3735
SEPT2	0.08425
SOHLH2	-1.985
MCOLN3	-1.69714285714286
UNQ1945	1.0615
MASP2	-0.8385
ZNRF3	0.2818
GPATCH3	-0.6245
AGL	0.073125
QRICH2	-0.61
PSD4	0.280333333333333
CCNB1IP1	-2.08875
ENPP7	0.26325
OBFC1	0.3615
KCNG3	-0.36825
C14orf79	-0.314166666666667
ENPEP	-1.78233333333333
SCT	0.705
SKI	0.74
SEC61G	-0.961
CAPN11	0.637
ATXN7L3	-0.47025
DBNDD1	-0.6465
FAIM	0.71275
ANKRD36	-0.073
GABRP	-0.8472
TACSTD2	2.51733333333333
EIF3J	-0.4395
PPP2R2A	-2.07175
TEKT4	0.326666666666667
PVALB	-3.0882
F10	-3.44333333333333
FAM134C	0.8751
COMP	3.817
EFCBP1	-3.92126666666667
SCLT1	0.759375
TAL1	-1.6441
ACSL1	-2.50975
ABCC5	-0.03575
ABL1	-0.329888888888889
RBBP7	-0.0996666666666667
PTPRG	-1.903125
NCOR1	-0.1497
SPINK4	3.97233333333333
TXNRD1	-2.528
TNRC15	1.457
C9orf138	1.0445
UBE2H	1.4305
BRDT	0.201
C8orf31	0.24075
CCNE2	-0.270727272727273
SLC6A8	-1.3265
CALCR	-3.67925
PPP1CB	0.572166666666667
ABHD8	0.04775
ARF5	0.0498
SLC24A4	0.522
CCT3	0.212
ZNF121	0.390625
SLC3A2	-1.0873
OR13A1	1.0275
SLC5A10	0.53575
RAD50	-0.083875
IER5	0.4105
MTHFD1L	-3.08725
MBTPS2	0.5395
MVK	-0.6205
NCL	-0.1169
PSMD10	-0.72225
MOBP	0.273
FLJ32894	-1.6005
HRH1	1.1675
C5orf30	0.256
NUDT16L1	1.3538
RASGRP3	1.91366666666667
PRKRIP1	-0.5464
CCDC75	1.32675
LOC253970	0.31175
KIAA1239	0.457
MED21	0.02225
SYT11	-0.82225
NTSR2	0.678
EGFL11	0.008
CXorf59	0.314
OR2A25	0.48825
SPTBN2	-0.14875
LRMP	-2.334
RNF111	-0.55775
PTH	0.145
LOC619208	0.215333333333333
KIAA0895	0.45275
RANBP5	-0.781625
P2RY10	-0.857333333333333
NME5	4.783
DDX21	-0.121
LRSAM1	-1.0115
HDAC11	2.12516666666667
VMO1	1.352
NOLA2	-0.76
ADAR	0.571
MTO1	-0.908333333333333
SF4	0.163166666666667
P2RX1	-0.272333333333333
HBM	1.22875
EN2	0.6795
C14orf172	0.254
TM9SF2	-0.2168
INHBE	-0.8475
TCTE3	-0.0889166666666666
TOX2	-3.9755
CTAGE3	0.841875
HBB	5.1151
MED15	-0.8925
CASR	0.4015
C6orf66	-2.52183333333333
MTPN	0.993625
UNC50	-1.1555
C21orf33	0.05275
IRF2	1.200125
PGR	4.67633333333333
GPR84	1.7345
CROCCL1	-4.04475
SRPX	-2.57425
BRE	0.449
FGF10	6.12225
SDC3	0.1095
ZRSR1	0.0688333333333333
DKFZP434P211	-0.449625
SOX6	1.7725
RPUSD2	-0.15675
C14orf173	-0.585083333333333
MAPK11	0.271166666666667
TBC1D22A	0.2985
FAM123A	-0.3635
COL4A6	-2.26966666666667
TOMM70A	0.46825
NAB1	-1.088625
MGC16385	-1.598375
TSPAN18	-0.371166666666667
MED31	0.28175
PLG	-0.10775
CAPSL	1.6765
ZNF532	0.1575
ASB14	-0.393
CA8	-4.8265
NUDT16P	2.76783333333333
SLFN11	-2.9025
LRRIQ2	1.27725
NOL7	0.258
BRMS1L	-1.496625
JARID1A	0.965833333333333
PANK2	-1.0465
ICAM3	-0.78375
MDS1	-0.6515
TAF8	0.10475
RNF139	1.50625
ZNF594	-0.8085
ADAM8	1.180875
SFTPC	-0.24625
MAN2B2	0.1065
RGS12	0.4740625
EIF1AY	-4.21341666666667
LRRIQ1	-1.51883333333333
GPR150	0.97725
CCDC21	-1.90383333333333
PRRG3	0.25275
SAA4	-3.965
RAPGEF5	1.765
ZCCHC2	0.03675
MGC39372	-0.6855
PPP4R2	1.49416666666667
CDCA2	-2.283
OR4D5	0.0643333333333333
PTGFRN	0.6408
SIGLEC5	1.00083333333333
C19orf61	-0.902166666666667
NMUR2	0.6025
KIAA1586	-1.70783333333333
DAGLA	0.600833333333333
CHCHD6	-0.641
GPR32	0.832
NEUROD6	0.7555
SLC2A4RG	-0.3599375
CA5B	0.08
FBXL3	1.294
MPHOSPH9	-1.76275
HMG2L1	0.57875
HCN4	0.621333333333333
CEACAM19	-0.14725
SH2D4B	0.6798
HFE2	0.1165
TGM4	0.558
LYPD2	0.51475
TBC1D15	0.281
MRPS21	1.0873
NONO	-0.8329
CLEC5A	2.028375
ITCH	0.473
MGAT3	-1.07916666666667
MBP	0.0943749999999999
RPP25	-0.44725
SOSTDC1	-1.9365
HRC	-2.49525
TRIM48	0.09
TMEM133	-2.62075
ECEL1P2	-1.175
HOXC11	-1.1165
DOK5	-1.60325
HELZ	0.431666666666667
LOC348180	-1.696
MGC33894	0.9065
ADRB3	0.812
DMD	-0.483083333333333
PTRH2	-0.64225
MPEG1	1.74016666666667
NDUFA12	-0.143833333333333
KRTAP2-4	0.18
STAMBPL1	-2.54183333333333
ADCY2	-0.9155
UNQ6125	0.409
KLHL20	0.85
SRM	-1.905
OTC	0.4265
TMIE	0.321333333333333
SNX8	0.2305
LIPK	-0.4515
CHURC1	0.24475
KLC2	0.606333333333333
HDAC1	-0.617666666666667
FAM128A	0.7545
FNDC3B	-0.107
MTCP1	0.127666666666667
WFDC10B	-0.00319999999999996
PCDHGB3	-0.027
ATRNL1	-2.206
CAV2	-2.863
MED26	-0.281833333333333
DUS1L	0.5755
CHRM3	-1.92325
NEK9	-0.0795
WARS2	0.6755
TBX22	1.058
TOMM40	-1.16475
RP6-213H19.1	-6.0495
TUBGCP5	-1.076
IGSF6	3.555
TPPP	0.677166666666667
UNQ6190	0.128
GSTM5	0.41325
BTD	0.84
PDCD1LG2	-0.750333333333333
SNRPB2	-0.265
ERICH1	-0.370625
APOA4	-1.189375
HOXA11	-1.50525
NARG1	-1.03725
MKX	-1.20025
RAB28	-1.26971428571429
PKP3	1.638
SH3GL2	1.0055
CTSO	0.354
RPN2	0.369
IL28RA	0.352
SFMBT1	2.1195
WDR57	-1.178875
FER1L3	1.22141666666667
HSF5	0.245333333333333
TTC9B	1.37675
C4BPA	-3.7865
ALB	-4.10621428571429
SORBS3	-0.097875
UPF2	-0.388
JPH1	0.4565
AGBL2	0.11
DOPEY1	1.6335
TERF1	0.754333333333333
KIF22	0.00883333333333332
NINJ1	1.93525
SEC61A2	0.2905
HIST1H1D	0.881666666666666
SFXN4	0.331
UCP3	0.1277
ZNF703	1.88116666666667
MYL6B	-0.042
TREM1	1.344
OR52E6	0.55
CKMT2	0.119333333333333
HLA-C	2.48225
SLC13A3	-2.2575
TIMP4	-1.011
SLIT2	1.0615
RSF1	0.650611111111111
LONRF1	-1.29457142857143
MON1A	0.445833333333333
CACNG6	-1.76066666666667
DPPA4	-5.23166666666667
ZSWIM3	0.1145
ZNF804A	-0.202
CCIN	0.86925
SLC25A31	0.30675
KCNMB4	-2.07525
RABL5	0.804375
GALNS	-0.6249
STX6	1.529625
HIST1H1C	0.547666666666667
CIDEB	-0.309125
CASP4	-1.44
PDK3	0.3041
KCNJ11	1.0265
TPR	0.98125
ZSCAN20	-0.4645
MTX2	0.3845
HIST1H2BH	1.53775
LOC283767	0.92525
LYRM7	-1.32033333333333
BRD3	-0.189833333333333
HIST1H2BO	0.992
MAGEB10	-0.7235
SLC45A1	1.5525
SERPINA3	2.62735
KIAA0143	-0.15225
KCNJ16	-1.06883333333333
KRT79	0.20975
FABP2	-0.58325
NUT	-0.2895
ZNF57	-0.40275
FBXL4	-0.64025
CLEC9A	-0.2675
UGT8	-1.34716666666667
BMP2K	-1.594
MAPK4	-3.35275
SLC25A23	-0.1385
HINT1	-1.1723
KRTAP13-1	0.461
SFXN5	0.1736
CHCHD2	0.168333333333333
FAM3D	1.5415
NDP	-3.652875
RHOBTB1	-0.654833333333333
SLC4A4	-0.837375
RPL38	0.30625
HTF9C	-0.219166666666667
AP2A2	0.067875
ZBTB46	-0.453
MAP7D1	-0.553
AOX1	-2.67166666666667
CYR61	0.24225
DTNA	0.3415
JRKL	-2.4155
TMOD3	1.17075
EEA1	0.1354
ADCK5	0.21275
IL1R1	2.76
KLK3	0.344214285714286
HRSP12	0.8765
KTN1	1.713
LOH11CR2A	0.6421
RELL2	0.1235
MAB21L1	-0.2655
C20orf59	-0.806333333333333
PHKB	0.413
ADAM2	-1.71466666666667
TBC1D8B	1.5655
FAM13A1	-1.3915625
LAPTM4B	-1.94366666666667
LCN8	0.7755
TMEM147	0.7655
SYT4	2.42966666666667
XPO7	-0.957
C9orf62	1.4295
GPR75	0.4845
TRIM5	-0.383125
APOC1	-2.65283333333333
RNASE4	0.4665
PARD6B	-1.55375
ARID1A	-0.241583333333333
TPD52L3	0.266625
RRAGB	1.02983333333333
RCN2	-0.7405
HIST2H2BE	0.5434375
STARD7	-1.22475
SHMT2	-1.5185
KIAA1751	0.254666666666667
MLYCD	-1.279375
LOC162632	-0.3456
UQCRH	-1.064
RP11-217H1.1	0.86425
SDHA	-2.486
NCLN	-0.572
ZNF17	0.608
RCBTB2	-3.11275
VEGFB	-0.3689
RP4-747L4.3	-0.4555
COLQ	-0.2987
MPN2	-1.068
DRG2	-0.6845
KLRB1	2.5285
ALPK2	-3.08675
DNASE2B	0.28075
FLJ23834	0.497666666666667
AXUD1	0.9175
SAFB	0.1258
NSUN4	-0.08625
RFX2	0.301166666666667
MAPK8IP1	0.144
FANCD2	0.608357142857143
ANKZF1	-2.33616666666667
C19orf50	-0.831125
DUSP8	1.757875
SENP5	1.046625
NFKBIL2	-0.7975
LBR	-0.989
IGFL1	-0.3855
LZTS2	0.281125
IL2RG	-1.54475
CCDC51	0.42
KLF3	0.06225
ANKRD37	-1.55875
KCTD14	-1.9585
FZR1	0.146833333333333
SLC44A4	4.132
ESPL1	-1.15625
GMPR2	-0.4314
TBC1D19	-1.5515
ERGIC1	-0.0606666666666666
ERBB4	3.5119
TSPAN32	0.0603333333333333
MAP4	0.167375
GPHN	0.078
SLC6A2	0.148125
HIVEP1	-0.087
DFFB	-0.757
EIF4EBP2	0.810375
DMRT1	0.33525
HSPB6	0.7615
IER2	-0.3555
AIFM1	-0.0445
WWC2	-1.48258333333333
MRPL4	-1.36475
FLJ21062	2.13816666666667
EPB41L4A	0.275
SH2D6	0.518
TAF4B	-1.4785
GAL3ST3	0.1755
MALT1	-1.5215
RTDR1	1.1475
ARVCF	-0.267875
MEX3B	-1.03833333333333
FBXO16	1.33675
KIF7	-0.673
C1QC	4.16566666666667
ZNF783	-0.974666666666667
ZNF85	0.49675
MMP13	5.423
KIAA0329	0.041375
RTP3	-0.6455
ZBED3	-2.89425
CLGN	-5.0415
SLC25A37	-1.802375
hCG_18290	0.6565
OR5AS1	-0.2865
SMARCC2	0.704833333333333
FAM109A	0.0283333333333333
CCDC12	-0.06625
USF2	0.7805
DEPDC7	-3.1195
C20orf24	-1.01816666666667
JMJD3	0.2105
DSP	2.5215
SLIC1	0.670625
FAM20A	-0.702625
IRF2BP2	1.444125
ZNF230	0.163
MSN	-0.789214285714286
SLC9A5	-1.3395
EPDR1	-3.2493
MUSK	-0.0526666666666667
ZNF434	0.965333333333333
