Hybridization REF	TCGA-A8-A08G-01A-11R-A00Z-07
CHMP7	0.000125000000000006
REM2	0.9305
DNHD1	-0.224375
FKBP4	1.15625
ZNF350	0.99825
MGC11102	-0.438625
BST1	1.427
KISS1R	-0.576
NCR2	-0.1625
DEFB125	-0.56
UBE2W	1.09725
KRT15	-0.196
C10orf99	0.144
SCN11A	0.17425
GFI1	-2.276
RDHE2	4.1005
FHL1	-0.701
OSGEP	-0.820166666666667
GATA1	-3.6285
SMC6	-1.03125
TTTY14	-1.2985
LPIN3	0.208
RPL4	-1.0831
RBPMS	-1.3197
PRPF3	0.8995
EMR1	-2.59
SPATA19	0.22375
XCR1	0.3235
IRX3	2.1103
RBM6	-0.05025
KLF4	0.1609
UNC5CL	-0.2
SEBOX	0.0125
BTK	0.14775
KRCC1	2.03425
C6orf27	0.3735
SYTL5	1.935
PRND	1.9335
LOC653319	-1.4715
PIGL	-1.136375
HUS1	-0.120833333333333
SFRS6	0.783166666666667
C17orf77	-0.0845
UIMC1	-0.344833333333333
FXYD2	-2.1531
LOC283152	0.6765
ZNF667	-1.562
ZCCHC12	-1.018
TFEC	2.8348
ATP7B	0.705166666666667
POLD2	-0.0855
RG9MTD1	-0.19325
ACOT2	0.6695
HIST1H4I	-0.608
PPARGC1A	-1.7238
ETFA	-1.7025
POLRMT	-0.13275
ZNF146	-0.09875
MIA2	-2.1405
KLHL6	-1.357
HOXB5	-1.413125
NENF	0.632833333333333
CUGBP1	-0.1205
PRSS22	1.838
CASC4	0.5563
CUL4B	-0.1609
CENPJ	-0.5256
PITX1	-1.53866666666667
FLJ31033	1.36266666666667
CELSR3	1.17333333333333
ZNF568	0.16525
ITSN1	-0.140083333333333
EHBP1L1	-0.9435
C19orf2	-0.42975
DCTN1	0.85925
LIN28B	-3.41083333333333
TNKS2	1.20975
C1QBP	-1.4535
CADPS2	2.11775
SRMS	0.94025
GJA9	0.0581666666666666
MGC24975	-0.9395
TRIM45	0.567833333333333
TSP50	2.1875
TCP1	-0.25675
TMED7	0.097
CMA1	0.9665
CENPL	0.0446666666666667
PTCRA	-0.2445
FST	-3.1095
VWCE	-4.179
PAWR	-0.40625
ABCC12	0.177166666666667
LDLR	-0.4531
ASTN2	1.6186
LOC441212	-0.759875
GPATCH8	0.76
TANC2	1.36275
KIF4A	-0.804
C18orf18	-2.1125
PGM1	-1.05975
KIAA0258	0.387
CPD	1.08375
SNCAIP	-1.72275
DCT	-4.30483333333333
HLA-DOA	2.44663636363636
OR11L1	0.3175
UPK1B	-0.328833333333333
DNAJB4	-0.286875
UGT1A8	-0.26325
HIST1H4L	-3.396
PECR	-0.698666666666667
HSPA2	2.14775
WFIKKN1	-1.5315
SERP1	0.977
SYDE2	0.67975
TACR2	0.033
NUP85	0.179
CD177	-0.415
LGR5	-1.51266666666667
PIGG	0.816916666666667
PTHR1	-1.70683333333333
RAB5A	0.085
FLJ13224	-0.305
USP9Y	-1.47383333333333
C7orf53	-0.644
LRP1B	0.721
XAF1	2.4714
ABCG8	-0.0525
ANKDD1A	-0.676166666666667
DAND5	-1.7605
SPAG6	2.6415
LINCR	0.99875
ZDHHC22	-1.836125
CCDC60	0.2365
THOC7	-1.336
TCTA	1.2912
OR8K3	-0.11425
NY-REN-7	-0.81775
B2M	1.46466666666667
C6orf141	-0.209875
LPPR4	1.1905
SQLE	-1.1345
SEPHS1	-0.59275
BTBD14B	0.106428571428571
PLRG1	-0.2345
SPG7	0.0233125
ZNF614	-0.641666666666667
PARD6G	-0.412166666666667
INPP5B	-0.0898
GRPEL2	-0.414875
PPID	-0.0831
TRIM56	0.714
UBE2J1	-0.2705
IL20RA	4.976
LOC387856	1.36175
C1orf107	1.30875
UTS2R	-0.66025
C19orf22	1.126
SAFB2	0.069
KIAA0652	0.278
KLRG1	-0.00983333333333334
MS4A8B	0.8425
FRAG1	1.54575
KIAA1546	0.3615
E2F4	-0.7715
CLEC4M	0.0343333333333333
BTBD14A	-1.842
KIAA0999	0.2063
GYPA	-3.67183333333333
TAC1	1.9288
TRAIP	-0.882333333333333
KIAA0232	1.3984
ERCC8	-0.65
GPX4	1.445375
KIAA0368	0.131375
GPR157	-0.410333333333333
CTAGE4	1.5335
C9orf30	-1.03066666666667
OR52A1	-0.3235
HSP90B3P	0.9805
ALG9	-0.4816
BTBD10	2.10225
SDK2	-0.23375
BAIAP3	2.004
RABGGTB	-0.27
ANKRD40	0.825833333333333
KRT74	0.623
CALCOCO2	0.999357142857143
SNCA	-2.8245
TMSL8	-4.678375
C2orf53	-0.339
ESRRB	-0.59175
ARHGAP26	-1.4685
TDRD9	-3.4395
HRAS	1.76183333333333
KLRC4	-1.993
JAGN1	-0.336
BSDC1	0.3935
RNF43	0.4425
NDUFAF1	0.304
PHF12	0.833
OR1L3	-0.04725
FOLR2	1.80041666666667
LYZL6	0.299
tcag7.1260	-0.711
WSB1	-1.26583333333333
PROS1	-1.7043
OSTN	0.5905
PSMB8	0.7605
SOCS4	0.20575
DDIT4L	-0.05425
MAS1	0.031
MGC34796	1.79625
CSHL1	-0.0465
TBCCD1	0.527833333333333
ZBTB7C	0.494
AP2S1	-1.025375
P15RS	0.3397
VAT1	0.5173
SHANK3	0.321833333333333
TUFM	0.0536666666666667
THEG	0.9245
KRT34	-1.94225
SGSM3	-0.083375
TOMM22	-0.78125
SOCS3	1.25433333333333
CPO	0.401
POP4	0.23175
BHLHB3	0.105
MALL	0.53475
OR1B1	0.137
PARK2	1.44533333333333
GPR124	0.398375
LCE1E	0.256
RUVBL2	-0.4665
CGRRF1	0.4318
ACPL2	-0.3885
WNT10B	-2.0285
BAIAP2L2	-2.5485
ISCA1	0.2565
C1orf125	0.024625
RPAP1	-1.24275
RAI16	-1.03883333333333
RPL27	-1.549625
NLRP9	-0.2805
EPN1	0.536
LOC388610	-2.212625
SLC35A1	0.6806
GAL	-3.83725
SLC14A2	0.0425
RDH11	-0.2935
FAM138F	-0.637
AUH	-0.2485
FLJ40243	-0.4845
C14orf129	0.445166666666667
MBD2	-0.0591666666666666
ABHD14B	0.943125
PIGT	1.4555
ALS2CR4	-0.806
ALAS1	0.9399
FOXO1	0.580333333333333
CRLF3	-0.382125
C20orf107	0.129
FARS2	0.62375
CCDC28A	-0.071
NPHP3	-0.56825
OR13F1	0.5875
TSEN54	0.58
DEFB106B	0.1105
OR8B4	0.3225
STH	1.2525
ZC3H14	0.32375
CBX2	-0.247
TMEM49	0.01175
C6orf21	0.2925
FLJ20920	1.0615
CRTAP	0.205857142857143
DDX50	-0.26925
STYXL1	0.9325
BLVRB	0.0871666666666667
LOC147650	-0.572333333333333
MMP24	-0.31525
GRID1	0.6845
BANF1	-0.0733333333333333
CTAGEP	0.8825
HMBS	-2.0555
SLC25A24	-0.520166666666667
C14orf50	2.61125
MRO	1.47416666666667
SLC25A15	0.41875
FAM84B	1.4619
TDP1	-0.822
C16orf78	-0.465166666666667
C11orf57	-0.75175
RFK	0.32925
ZFYVE9	-0.754375
STCH	-0.8278
WIBG	1.0785
LOC283871	0.419166666666667
GBA2	0.4064
NDUFB3	-1.057
HSD17B13	-0.455
GRIN3A	1.2075
FMNL1	0.1455
SEPT7	-0.1187
GNLY	2.6305
GRAMD1C	0.801166666666667
ZNF165	0.4115
USP38	1.08825
FAM83A	-1.81183333333333
C14orf24	0.48775
ARMCX3	1.0795
ARHGDIB	0.276833333333333
AK1	0.845875
KIAA1045	0.0705
DNAJB13	-0.142
NEU2	0.386
HIST1H4B	-2.24733333333333
FAM20B	0.1023
HES2	-0.413692307692308
FAM73B	0.1809
LOC388381	0.413
INTS7	0.330727272727273
AMPH	2.08
ZNF775	-0.419375
UCKL1	0.603666666666667
C10orf97	0.2795
C1orf161	-0.218
ALDH1L1	-1.488
FLJ39378	0.21625
SLC23A1	-1.6195
RBM4B	0.9015
THAP4	0.120666666666667
OGFRL1	-0.3345
KIAA0831	-0.082625
PPP1R15A	-0.128
C1orf96	-0.441357142857143
C12orf11	-0.214
BMF	1.05825
MAN1A1	-0.242625
KIAA1600	0.574333333333333
NLGN4X	-1.42275
ALOX12	-1.56533333333333
RB1CC1	0.1361
NEIL2	-0.2966
EIF4E	0.582363636363636
ABHD5	-0.49875
EXOC4	0.5515
CIP29	-0.425833333333333
BATF2	2.09175
SLC29A4	-0.966
HTR4	0.346
EMB	-0.3905
TRAF6	-0.06625
LMNB1	-4.129
FAM19A5	-1.46075
SHE	1.23125
PIK3C2B	1.773
C15orf15	-1.3376
USP15	-0.29
TCEAL2	-0.06
C5orf39	-1.58783333333333
PTGER2	-0.04275
SLC31A1	-0.6113125
IFT172	0.3445
ADAM29	1.419
GFOD1	-0.53325
ST7L	1.06083333333333
C15orf26	-1.99075
PKN3	-1.28225
CNTD1	1.50733333333333
COMMD1	-0.5775
NTRK2	3.18175
FOXN3	-0.105625
MFGE8	-0.2453
PFKFB2	1.96333333333333
TAS2R4	0.3045
ENTHD1	0.1245
PRMT5	0.090125
MGC16384	-1.03175
LOC442229	-0.5765
TSKU	0.03325
KRTCAP3	2.842625
PDLIM1	-0.1842
KCNS2	0.2575
RNF126	-0.2705
CEP63	-0.176125
CLIC4	-0.384
hCG_1990170	-1.2695
ACR	0.5297
KLK7	-0.59325
ALOX5AP	2.816125
RIPK3	4.0295
TAS2R9	0.272
C19orf18	1.27
BIRC6	0.405214285714286
ZNF16	1.38
RFT1	-0.32475
SLC8A2	-0.479
TACC1	-0.219375
ITGAD	0.966
SAMHD1	2.0565
SH3PXD2B	1.3866
EPC2	0.89575
C20orf85	3.5675
ATP13A2	0.636666666666667
KRT4	0.14775
CAPNS1	0.63375
MDM2	-0.56175
PCDH20	4.2355
KCNK9	0.767
OR2C1	0.5695
KLHDC3	-0.756666666666667
IPPK	2.503
EFHD2	-0.326625
GALR3	-0.815
NBEA	1.62533333333333
ABCA6	2.7366
CLDN3	3.09966666666667
AKT2	-0.404928571428571
EGFR	-3.4374
RBM16	-0.011625
ZDHHC3	-0.011
SLC25A4	-0.621666666666667
CYB5B	-0.913833333333333
CPXM1	-0.3655
NDRG1	-1.85607692307692
FLJ43826	0.647
OR5L2	0.247
FARP2	0.8316
MRPL46	-0.0698333333333333
LDHAL6B	-0.0293333333333333
MAPKAPK3	0.4295
NCAM2	-2.694
PRKD2	0.616666666666667
ZFP36L1	0.0956
CYSLTR1	-1.0285
OR4C3	0.505
HIST1H2AJ	1.435
CCNB2	-2.35588888888889
ZNF10	-0.07225
TMEM175	0.2605
FAM134A	1.53016666666667
TIGD4	0.7635
PCNP	-0.24825
MGC39715	-0.11675
LQK1	-0.72075
CREB1	0.6182
TMPRSS3	-2.765
C4orf32	0.120125
LAT	-1.48316666666667
KCNA3	-0.7155
SKIV2L2	-0.084
ROPN1B	-2.634
tcag7.23	-0.7065
CDT1	-2.917
ZHX2	0.37075
CD28	-3.133
ZNF624	1.14025
SEPT2	0.272083333333333
SOHLH2	0.99725
MCOLN3	0.521
UNQ1945	-0.0085
MASP2	-1.582
ZNRF3	0.4723
GPATCH3	0.0045
AGL	0.111375
QRICH2	-0.4255
PSD4	1.35183333333333
CCNB1IP1	-2.469
ENPP7	0.01125
OBFC1	0.6775
KCNG3	-1.92125
C14orf79	1.74733333333333
ENPEP	1.401
SCT	1.7075
SKI	0.541625
SEC61G	-0.5865
CAPN11	0.517
ATXN7L3	1.054
DBNDD1	1.23133333333333
FAIM	-0.46575
ANKRD36	-1.6615
GABRP	0.444166666666667
TACSTD2	2.7785
EIF3J	-1.00925
PPP2R2A	-0.7305
TEKT4	-0.674833333333333
PVALB	-0.751666666666667
F10	-3.217
FAM134C	1.6976
COMP	4.103375
EFCBP1	-1.7365625
SCLT1	-0.212
TAL1	-1.3424
ACSL1	1.5295
ABCC5	0.473
ABL1	-0.446444444444444
RBBP7	0.263916666666667
PTPRG	-1.04925
NCOR1	0.801
SPINK4	-0.958166666666667
TXNRD1	-0.5662
TNRC15	0.071
C9orf138	1.659875
UBE2H	1.13366666666667
BRDT	0.177166666666667
C8orf31	0.5065
CCNE2	-1.02809090909091
SLC6A8	-0.585
CALCR	-3.942
PPP1CB	0.600666666666667
ABHD8	0.16825
ARF5	0.6314
SLC24A4	0.90675
CCT3	1.262
ZNF121	-0.17925
SLC3A2	0.4321
OR13A1	0.6015
SLC5A10	0.312
RAD50	0.561625
IER5	-0.298875
MTHFD1L	-2.409625
MBTPS2	0.062
MVK	0.11625
NCL	-0.6344
PSMD10	0.24775
MOBP	0.503125
FLJ32894	-0.8355
HRH1	-1.52733333333333
C5orf30	1.1385
NUDT16L1	1.1883
RASGRP3	3.46333333333333
PRKRIP1	-0.0969
CCDC75	-0.47925
LOC253970	-0.1855
KIAA1239	0.0595
MED21	-1.1095
SYT11	0.238833333333333
NTSR2	-0.2175
EGFL11	-0.3575
CXorf59	-0.6855
OR2A25	0.196
SPTBN2	-1.11475
LRMP	-1.90316666666667
RNF111	0.06675
PTH	-1.086
LOC619208	-0.1095
KIAA0895	1.6555
RANBP5	-0.442875
P2RY10	0.685
NME5	4.108
DDX21	-0.5485
LRSAM1	0.445
HDAC11	1.72383333333333
VMO1	1.29375
NOLA2	0.517833333333333
ADAR	1.76291666666667
MTO1	-0.886
SF4	0.597666666666667
P2RX1	-0.103833333333333
HBM	-0.26375
EN2	-0.47
C14orf172	-0.27325
TM9SF2	1.6034
INHBE	-1.10066666666667
TCTE3	-0.493666666666667
TOX2	-3.333
CTAGE3	0.331625
HBB	2.6603
MED15	-0.912833333333333
CASR	0.4385
C6orf66	-1.403
MTPN	-0.278625
UNC50	0.52475
C21orf33	0.458125
IRF2	1.02925
PGR	0.433833333333333
GPR84	2.819
CROCCL1	-1.2885
SRPX	-1.99
BRE	0.74
FGF10	2.728
SDC3	1.6615
ZRSR1	1.13366666666667
DKFZP434P211	-0.254
SOX6	-0.169
RPUSD2	-0.89425
C14orf173	0.313916666666667
MAPK11	-0.815333333333333
TBC1D22A	0.7825
FAM123A	-1.1665
COL4A6	-3.79866666666667
TOMM70A	0.14175
NAB1	-0.714125
MGC16385	-0.2055
TSPAN18	-0.920666666666667
MED31	-1.61175
PLG	-0.24275
CAPSL	2.713
ZNF532	1.0835
ASB14	0.1895
CA8	-1.945
NUDT16P	2.7665
SLFN11	-0.835
LRRIQ2	-0.421125
NOL7	-0.641833333333333
BRMS1L	-0.719625
JARID1A	-0.500166666666667
PANK2	-0.63525
ICAM3	-0.3585
MDS1	-0.79175
TAF8	-0.215
RNF139	0.906
ZNF594	-0.962833333333333
ADAM8	2.78175
SFTPC	-0.428625
MAN2B2	2.4935
RGS12	0.806875
EIF1AY	-5.2345
LRRIQ1	1.53566666666667
GPR150	-0.4225
CCDC21	0.734333333333333
PRRG3	0.59175
SAA4	-4.0215
RAPGEF5	0.16525
ZCCHC2	-0.41975
MGC39372	1.4215
PPP4R2	0.0805
CDCA2	-2.306
OR4D5	0.7875
PTGFRN	0.7621
SIGLEC5	1.70183333333333
C19orf61	0.375833333333333
NMUR2	0.923
KIAA1586	-1.31466666666667
DAGLA	-0.141333333333333
CHCHD6	-0.46
GPR32	0.49
NEUROD6	0.116166666666667
SLC2A4RG	1.19325
CA5B	-0.193
FBXL3	1.4775
MPHOSPH9	-0.42025
HMG2L1	0.16625
HCN4	-0.491833333333333
CEACAM19	-0.12875
SH2D4B	0.500333333333333
HFE2	-0.577
TGM4	0.3692
LYPD2	0.23375
TBC1D15	0.39625
MRPS21	-1.659
NONO	0.0225
CLEC5A	2.48275
ITCH	-0.7587
MGAT3	-1.019
MBP	-0.427375
RPP25	1.027
SOSTDC1	-3.17575
HRC	-1.85275
TRIM48	-0.248
TMEM133	-0.43075
ECEL1P2	-1.08475
HOXC11	-0.7265
DOK5	-1.22475
HELZ	0.763333333333333
LOC348180	-0.85675
MGC33894	0.211
ADRB3	1.5485
DMD	-0.530333333333333
PTRH2	-0.6825
MPEG1	3.347
NDUFA12	-0.140833333333333
KRTAP2-4	-0.05925
STAMBPL1	-1.2205
ADCY2	0.3188
UNQ6125	0.654
KLHL20	0.173666666666667
SRM	-1.17825
OTC	-0.26125
TMIE	0.164333333333333
SNX8	0.237
LIPK	-0.368
CHURC1	0.640333333333333
KLC2	0.911666666666667
HDAC1	0.431333333333333
FAM128A	0.734
FNDC3B	-1.4033
MTCP1	4.20833333333333
WFDC10B	0.2828
PCDHGB3	-0.0925
ATRNL1	-1.5676
CAV2	-0.728
MED26	0.554
DUS1L	0.64875
CHRM3	-1.174625
NEK9	1.77625
WARS2	-0.7345
TBX22	-0.773
TOMM40	-0.66575
RP6-213H19.1	-1.30433333333333
TUBGCP5	0.0355
IGSF6	4.7925
TPPP	1.008
UNQ6190	-0.582
GSTM5	2.54575
BTD	1.3395
PDCD1LG2	1.26466666666667
SNRPB2	-0.575833333333333
ERICH1	-1.21375
APOA4	-1.841
HOXA11	-1.32475
NARG1	-0.311875
MKX	-0.308
RAB28	0.419071428571429
PKP3	2.8405
SH3GL2	-1.36875
CTSO	4.4825
RPN2	0.5900625
IL28RA	-0.02
SFMBT1	-0.11225
WDR57	0.133375
FER1L3	1.01858333333333
HSF5	1.479
TTC9B	-0.62375
C4BPA	-3.8535
ALB	-4.10535714285714
SORBS3	-0.48475
UPF2	0.552
JPH1	-0.033
AGBL2	-0.32275
DOPEY1	0.262
TERF1	-0.445833333333333
KIF22	-0.128833333333333
NINJ1	0.666
SEC61A2	0.164583333333333
HIST1H1D	-0.8735
SFXN4	0.120625
UCP3	-0.2709
ZNF703	1.522
MYL6B	-0.65925
TREM1	2.55875
OR52E6	0.8175
CKMT2	1.27375
HLA-C	2.203
SLC13A3	-2.01883333333333
TIMP4	-2.11175
SLIT2	1.0355
RSF1	-0.480055555555556
LONRF1	-1.24857142857143
MON1A	-0.187166666666667
CACNG6	-2.57466666666667
DPPA4	-5.54833333333333
ZSWIM3	0.65225
ZNF804A	0.9765
CCIN	1.0345
SLC25A31	0.47275
KCNMB4	-1.02025
RABL5	0.69
GALNS	-0.2508
STX6	0.762125
HIST1H1C	-1.06466666666667
CIDEB	0.64675
CASP4	-0.272
PDK3	0.1406
KCNJ11	2.9615
TPR	0.168625
ZSCAN20	-1.417
MTX2	0.22525
HIST1H2BH	-0.0225
LOC283767	0.319
LYRM7	-0.547055555555556
BRD3	0.9665
HIST1H2BO	0.205
MAGEB10	0.0665
SLC45A1	2.31825
SERPINA3	-0.16895
KIAA0143	1.48475
KCNJ16	-0.336833333333333
KRT79	0.55975
FABP2	-0.777
NUT	-0.135
ZNF57	-0.0725
FBXL4	0.45425
CLEC9A	0.3735
UGT8	-1.4265
BMP2K	0.1435
MAPK4	-3.78325
SLC25A23	-0.3043
HINT1	-0.7499
KRTAP13-1	0.079
SFXN5	1.5785
CHCHD2	0.902583333333333
FAM3D	0.826
NDP	-4.31175
RHOBTB1	-0.081
SLC4A4	-1.55075
RPL38	-0.21125
HTF9C	-0.4875
AP2A2	1.982625
ZBTB46	0.8225
MAP7D1	0.529375
AOX1	-1.81433333333333
CYR61	-0.63675
DTNA	0.223071428571429
JRKL	-0.98925
TMOD3	-1.39825
EEA1	0.0609
ADCK5	-0.207
IL1R1	0.00733333333333334
KLK3	0.109071428571429
HRSP12	-0.332
KTN1	0.446
LOH11CR2A	0.562
RELL2	0.34975
MAB21L1	2.08825
C20orf59	-0.00900000000000001
PHKB	0.2675
ADAM2	-1.71216666666667
TBC1D8B	0.718666666666667
FAM13A1	-0.94325
LAPTM4B	-0.0475
LCN8	0.1505
TMEM147	0.6615
SYT4	1.00466666666667
XPO7	-0.9745
C9orf62	-1.0385
GPR75	0.6435
TRIM5	0.78575
APOC1	0.108666666666667
RNASE4	-0.625166666666667
PARD6B	-0.643125
ARID1A	1.268
TPD52L3	0.129
RRAGB	1.855
RCN2	-0.187833333333333
HIST2H2BE	0.367375
STARD7	0.43925
SHMT2	-0.472
KIAA1751	0.894333333333333
MLYCD	0.454625
LOC162632	0.7669
UQCRH	-1.7395
RP11-217H1.1	0.55025
SDHA	0.0335
NCLN	-0.3312
ZNF17	0.158166666666667
RCBTB2	-1.637
VEGFB	0.1921
RP4-747L4.3	-0.85775
COLQ	0.6949
MPN2	-0.072
DRG2	-0.34525
KLRB1	3.21725
ALPK2	-1.46
DNASE2B	0.3205
FLJ23834	0.9305
AXUD1	1.23266666666667
SAFB	-0.0949999999999999
NSUN4	-0.24975
RFX2	0.859
MAPK8IP1	0.0735
FANCD2	-1.20278571428571
ANKZF1	-0.905833333333333
C19orf50	-0.25775
DUSP8	3.429375
SENP5	-0.8015
NFKBIL2	-0.2375
LBR	-1.3465
IGFL1	0.0745
LZTS2	0.57675
IL2RG	-0.45675
CCDC51	0.166
KLF3	0.6
ANKRD37	-2.207
KCTD14	-1.5845
FZR1	0.64925
SLC44A4	3.7898
ESPL1	-0.67
GMPR2	0.2254
TBC1D19	-0.219333333333333
ERGIC1	0.321851851851852
ERBB4	2.7747
TSPAN32	-0.019
MAP4	0.534875
GPHN	1.4225
SLC6A2	-0.529875
HIVEP1	0.504
DFFB	-0.1346
EIF4EBP2	0.202875
DMRT1	-0.61575
HSPB6	-0.5125
IER2	-0.173166666666667
AIFM1	0.47475
WWC2	-0.241818181818182
MRPL4	-0.29
FLJ21062	0.4765
EPB41L4A	0.0261666666666667
SH2D6	0.2035
TAF4B	-0.0165
GAL3ST3	-0.0535
MALT1	-0.947333333333333
RTDR1	0.147
ARVCF	-0.17275
MEX3B	-0.387666666666667
FBXO16	-0.51375
KIF7	-0.288
C1QC	3.79566666666667
ZNF783	0.5655
ZNF85	-0.20275
MMP13	4.8945
KIAA0329	0.151625
RTP3	-0.8095
ZBED3	-1.43725
CLGN	0.01525
SLC25A37	-1.75658333333333
hCG_18290	-1.13325
OR5AS1	0.372
SMARCC2	0.420083333333333
FAM109A	0.617333333333333
CCDC12	-0.18
USF2	1.0906
DEPDC7	-2.20975
C20orf24	0.119166666666667
JMJD3	1.441
DSP	0.613857142857143
SLIC1	0.75175
FAM20A	0.6375
IRF2BP2	1.227125
ZNF230	-0.0695
MSN	-0.476928571428571
SLC9A5	-2.0075
EPDR1	0.709
MUSK	-0.0283333333333333
ZNF434	0.644
SMARCD1	-0.264833333333333
ZFP106	-0.15625
ZNF347	-0.072
GTF2E1	0.2475
RY1	-0.537833333333333
