Hybridization REF	TCGA-E2-A10A-01A-21R-A115-07
FLJ22167	-0.22125
EXOSC7	-0.7105
ROR2	1.66
MAOA	0.683
TNNT3	0.447
GYPC	-1.5595
C7orf33	0.89
PLIN	1.82616666666667
LOC90826	0.2055
RNF4	0.5277
F8A1	0.342666666666667
PLEKHG4	-2.0215
GRB2	-0.0956
HIST1H2AD	0.52075
DUS3L	-1.177
EIF1	0.234666666666667
RP5-1077B9.4	-1.24766666666667
FPGT	1.38675
GDF10	-1.629
COQ9	-0.88725
GCC2	0.533714285714286
RARRES3	3.08375
PLXNA1	-0.322
KIAA0100	-0.0788000000000001
PMF1	-0.28875
FNDC1	5.14825
HS2ST1	-0.722583333333333
CRELD2	-0.106
C8G	-1.6025
CD82	0.35025
LIM2	-1.0055
UNQ6490	-0.644
MMP16	-0.14625
DRD3	0.07125
C5orf26	-0.95
C11orf73	-0.819375
PTP4A2	1.422625
OR4M2	-0.032
HPCA	-0.941166666666667
SEC14L1	-0.6525
CHFR	-0.2715
EMILIN1	0.696375
NDUFS4	0.7165
COL18A1	0.0255
PDZD3	0.2387
C9orf16	-0.6625
ERBB2IP	-0.02
EMX2	4.07675
FUS	-0.66
TF	-4.1296
CLCN4	-1.32233333333333
CXorf56	0.4225
C11orf72	0.57975
ELAC2	-0.106416666666667
NPR1	-1.102
ASS1	-3.0025
USP42	0.099875
POLR2J	-0.3935
SEC23IP	1.43
UQCRC1	-0.19475
LOC729603	0.05325
C1orf71	-0.859375
POLG	-0.2365
ADAM23	-3.55475
TFR2	-1.56675
RICTOR	-0.1295
MGC39606	-0.0945
C19orf55	-0.37625
SNAPC1	-1.99533333333333
GNA11	0.5855
CCDC52	0.674
FSIP1	6.2015
UPF3A	0.1495
IGSF11	-2.51283333333333
LAGE3	-0.802
CHST6	-1.273
UNC13B	0.705125
TTLL4	-1.284625
ZNF687	0.055875
SDC2	-0.2926
COX7A2	0.9475
LAMB4	-0.0185
FAM24A	0.8525
LRRTM3	-1.22816666666667
GPHB5	-0.21575
OR4C13	-0.0835
EIF3EIP	-0.817285714285714
HABP4	-0.5635
TMEM125	3.6065
CNTN2	1.02075
ASNSD1	0.23575
FUT4	-0.34525
ACF	-3.43125
LOC158381	1.498
CDH8	0.10025
AGPS	0.685
C4orf18	4.326875
PECI	-0.540166666666667
UNG	-0.752625
GSTP1	-2.403375
DCUN1D5	-1.22133333333333
DKFZP564J0863	-1.3535
SLC9A3R1	0.235375
BCDO2	0.254375
CHMP7	0.21075
REM2	0.8905
DNHD1	-0.3545
FKBP4	-0.703375
ZNF350	1.58
MGC11102	-0.071875
BST1	1.68225
KISS1R	-0.55
NCR2	-0.1455
DEFB125	-1.436
UBE2W	0.9945
KRT15	-2.831375
C10orf99	0.059
SCN11A	-0.2875
GFI1	-2.8915
RDHE2	5.28416666666667
FHL1	-1.41166666666667
OSGEP	-0.541166666666667
GATA1	-3.7425
SMC6	-0.79025
TTTY14	-0.9955
LPIN3	-0.15975
RPL4	-0.347
RBPMS	-0.547
PRPF3	0.9755
EMR1	-1.7495
SPATA19	0.271
XCR1	0.305
IRX3	1.7845
RBM6	-0.55875
KLF4	0.3385
UNC5CL	1.807
SEBOX	0.4195
BTK	-1.23475
KRCC1	1.51875
C6orf27	-0.0125
SYTL5	0.181
PRND	2.784125
LOC653319	-1.2685
PIGL	-1.609625
HUS1	0.2145
SFRS6	-1.07716666666667
C17orf77	0.3805
UIMC1	-0.386
FXYD2	-2.0324
LOC283152	1.3995
ZNF667	-1.49475
ZCCHC12	-0.4115
TFEC	3.2895
ATP7B	1.68716666666667
POLD2	-0.9595
RG9MTD1	-0.015
ACOT2	-0.337833333333333
HIST1H4I	-1.02725
PPARGC1A	-2.4745
ETFA	-0.6787
POLRMT	-0.34325
ZNF146	0.01225
MIA2	-1.036
KLHL6	-1.11283333333333
HOXB5	-0.541625
NENF	-0.662
CUGBP1	-0.30025
PRSS22	1.83533333333333
CASC4	2.3938
CUL4B	-0.2354
CENPJ	-0.6518
PITX1	-1.02783333333333
FLJ31033	1.605
CELSR3	-2.05833333333333
ZNF568	0.835
ITSN1	-0.73075
EHBP1L1	-1.00066666666667
C19orf2	-0.4145
DCTN1	1.075
LIN28B	-3.93666666666667
TNKS2	0.30075
C1QBP	-0.874125
CADPS2	1.20125
SRMS	-0.1495
GJA9	0.173333333333333
MGC24975	-0.136666666666667
TRIM45	-0.5295
TSP50	1.3545
TCP1	0.0285
TMED7	0.6185
CMA1	0.481
CENPL	-0.6955
PTCRA	0.095
FST	-2.4435
VWCE	-4.159
PAWR	0.74925
ABCC12	1.375
LDLR	-0.6246
ASTN2	0.0137
LOC441212	-0.805
GPATCH8	0.20775
TANC2	0.103916666666667
KIF4A	-1.3375
C18orf18	-0.42575
PGM1	-0.31475
KIAA0258	0.6665
CPD	1.28275
SNCAIP	-2.041
DCT	-4.533
HLA-DOA	1.978
OR11L1	0.3595
UPK1B	-0.2065
DNAJB4	-0.09475
UGT1A8	-0.51825
HIST1H4L	-1.9235
PECR	-0.416
HSPA2	2.19175
WFIKKN1	0.6585
SERP1	0.2225
SYDE2	1.8805
TACR2	0.7565
NUP85	-0.56575
CD177	-0.263166666666667
LGR5	-1.72733333333333
PIGG	-0.209833333333333
PTHR1	-1.43533333333333
RAB5A	0.5918
FLJ13224	-0.2695
USP9Y	-2.11716666666667
C7orf53	0.046
LRP1B	4.477
XAF1	2.8633
ABCG8	-1.0455
ANKDD1A	-0.2175
DAND5	-1.2695
SPAG6	0.519
LINCR	1.76825
ZDHHC22	-1.483375
CCDC60	1.7945
THOC7	-0.249833333333333
TCTA	1.0603
OR8K3	0.126
NY-REN-7	-0.301
B2M	1.96083333333333
C6orf141	0.218875
LPPR4	2.16225
SQLE	-0.939875
SEPHS1	-1.083
BTBD14B	0.189214285714286
PLRG1	-0.24325
SPG7	-1.0466875
ZNF614	-0.078
PARD6G	0.0873333333333333
INPP5B	-0.0373
GRPEL2	-0.317375
PPID	-0.1433
TRIM56	0.10825
UBE2J1	-0.1825
IL20RA	4.54025
LOC387856	1.40375
C1orf107	0.681166666666667
UTS2R	-0.51475
C19orf22	0.36525
SAFB2	-0.4575
KIAA0652	0.083375
KLRG1	-1.1705
MS4A8B	4.13283333333333
FRAG1	0.37875
KIAA1546	0.61475
E2F4	-1.5815
CLEC4M	-0.1715
BTBD14A	-0.1225
KIAA0999	1.0998
GYPA	-3.86783333333333
TAC1	1.6954
TRAIP	-0.660833333333333
KIAA0232	1.4852
ERCC8	-1.1355
GPX4	0.070375
KIAA0368	-0.03975
GPR157	-1.6995
CTAGE4	2.562
C9orf30	-0.891833333333333
OR52A1	0.1105
HSP90B3P	-0.225
ALG9	-0.8951
BTBD10	0.63125
SDK2	-0.26375
BAIAP3	2.0725
RABGGTB	0.21425
ANKRD40	0.0413333333333333
KRT74	0.592
CALCOCO2	0.729285714285714
SNCA	-3.43
TMSL8	-2.7715
C2orf53	0.261
ESRRB	-0.328
ARHGAP26	-0.510375
TDRD9	-2.82575
HRAS	0.333666666666667
KLRC4	-1.064
JAGN1	0.105666666666667
BSDC1	1.171
RNF43	-0.3693
NDUFAF1	1.206
PHF12	0.4895
OR1L3	0.01375
FOLR2	0.91975
LYZL6	0.373166666666667
tcag7.1260	-2.3485
WSB1	-1.2115
PROS1	-0.4974
OSTN	0.493
PSMB8	1.23025
SOCS4	-0.675125
DDIT4L	2.71575
MAS1	0.1695
MGC34796	2.113
CSHL1	-0.0628333333333333
TBCCD1	-0.4925
ZBTB7C	-0.078
AP2S1	-0.6615
P15RS	0.3256
VAT1	-0.9361
SHANK3	0.528666666666667
TUFM	-0.546
THEG	-0.935
KRT34	-1.4195
SGSM3	-0.24375
TOMM22	-1.169125
SOCS3	0.949833333333333
CPO	0.8775
POP4	0.17975
BHLHB3	0.4735
MALL	0.41875
OR1B1	0.1775
PARK2	0.434166666666667
GPR124	0.394625
LCE1E	-0.481
RUVBL2	-0.98625
CGRRF1	1.6962
ACPL2	-0.05675
WNT10B	-2.939625
BAIAP2L2	-2.5435
ISCA1	0.129
C1orf125	0.150125
RPAP1	0.102
RAI16	-0.799166666666667
RPL27	-0.665625
NLRP9	0.587
EPN1	0.2465
LOC388610	-2.496125
SLC35A1	1.1588
GAL	-4.56375
SLC14A2	0.4135
RDH11	-0.735833333333333
FAM138F	-0.515
AUH	0.70975
FLJ40243	0.11225
C14orf129	0.705666666666667
MBD2	-0.513333333333333
ABHD14B	0.0585
PIGT	1.12325
ALS2CR4	-0.056375
ALAS1	0.1456
FOXO1	0.6685
CRLF3	-0.559875
C20orf107	0.4965
FARS2	0.77825
CCDC28A	0.40125
NPHP3	-0.48825
OR13F1	0.234
TSEN54	-0.56725
DEFB106B	-0.2134
OR8B4	0.738
STH	1.03125
ZC3H14	0.201375
CBX2	-0.6105
TMEM49	-0.4235
C6orf21	0.1355
FLJ20920	1.365375
CRTAP	0.591928571428571
DDX50	0.063
STYXL1	-0.36325
BLVRB	-0.393166666666667
LOC147650	0.487666666666667
MMP24	0.27925
GRID1	1.30266666666667
BANF1	-0.494833333333333
CTAGEP	1.2665
HMBS	-2.3995
SLC25A24	1.06216666666667
C14orf50	1.92
MRO	1.66816666666667
SLC25A15	-0.2555
FAM84B	1.5328
TDP1	-0.369
C16orf78	3.43716666666667
C11orf57	-0.21875
RFK	0.664875
ZFYVE9	0.49525
STCH	-0.2515
WIBG	0.34475
LOC283871	0.446666666666667
GBA2	-0.088
NDUFB3	0.595
HSD17B13	0.000999999999999973
GRIN3A	0.306666666666667
FMNL1	-0.978833333333334
SEPT7	-0.5382
GNLY	2.8585
GRAMD1C	2.0425
ZNF165	0.872
USP38	1.5205
FAM83A	-3.23183333333333
C14orf24	0.655083333333333
ARMCX3	1.51075
ARHGDIB	0.250166666666667
AK1	0.223625
KIAA1045	-0.6845
DNAJB13	-0.0813333333333333
NEU2	0.402
HIST1H4B	-1.534
FAM20B	0.1539
HES2	-0.0257857142857143
FAM73B	-0.3279
LOC388381	0.2035
INTS7	-1.34218181818182
AMPH	2.93875
ZNF775	-0.55325
UCKL1	-0.3205
C10orf97	0.45125
C1orf161	0.22625
ALDH1L1	-1.60125
FLJ39378	0.293625
SLC23A1	-1.3105
RBM4B	-0.1925
THAP4	0.3805
OGFRL1	0.46475
KIAA0831	-0.10675
PPP1R15A	-0.2765
C1orf96	-0.7875
C12orf11	-1.4505
BMF	1.719375
MAN1A1	0.19625
KIAA1600	0.7685
NLGN4X	-0.076
ALOX12	-0.559
RB1CC1	0.2267
NEIL2	-0.3835
EIF4E	-0.0575909090909091
ABHD5	0.2295
EXOC4	-0.015
CIP29	-0.0328333333333333
BATF2	1.08775
SLC29A4	-0.891625
HTR4	0.3055
EMB	1.3935
TRAF6	0.5955
LMNB1	-2.71275
FAM19A5	-1.512125
SHE	1.33675
PIK3C2B	1.28425
C15orf15	-0.3228
USP15	-0.1949
TCEAL2	0.04075
C5orf39	-0.982833333333333
PTGER2	0.627
SLC31A1	-0.8125625
IFT172	0.6965
ADAM29	0.50225
GFOD1	0.2885
ST7L	1.06016666666667
C15orf26	-2.59425
PKN3	-1.064
CNTD1	1.19133333333333
COMMD1	0.045375
NTRK2	1.77133333333333
FOXN3	0.01575
MFGE8	0.2316
PFKFB2	0.532
TAS2R4	-0.11425
ENTHD1	0.320666666666667
PRMT5	-1.506625
MGC16384	-1.64275
LOC442229	-0.422
TSKU	0.52675
KRTCAP3	3.362875
PDLIM1	-0.4146
KCNS2	-0.19175
RNF126	-0.744333333333333
CEP63	0.181875
CLIC4	0.057875
hCG_1990170	-1.11675
ACR	0.6694
KLK7	-0.06225
ALOX5AP	3.893625
RIPK3	3.87575
TAS2R9	0.101
C19orf18	2.512
BIRC6	0.204357142857143
ZNF16	0.712
RFT1	-0.8265
SLC8A2	0.033
TACC1	0.4785
ITGAD	1.152
SAMHD1	1.749
SH3PXD2B	0.9643
EPC2	1.43025
C20orf85	3.343125
ATP13A2	0.256333333333333
KRT4	0.38075
CAPNS1	0.49875
MDM2	-0.338333333333333
PCDH20	6.53125
KCNK9	0.753
OR2C1	0.1675
KLHDC3	-0.6605
IPPK	-0.327
EFHD2	-0.973875
GALR3	-0.73475
NBEA	1.71783333333333
ABCA6	2.06
CLDN3	1.1315
AKT2	0.120071428571429
EGFR	-3.1565
RBM16	0.92275
ZDHHC3	-0.3161
SLC25A4	0.2105
CYB5B	-1.18483333333333
CPXM1	-1.12575
NDRG1	-2.07061538461538
FLJ43826	0.76825
OR5L2	0.7835
FARP2	0.3066
MRPL46	0.27625
LDHAL6B	0.480333333333333
MAPKAPK3	-0.499666666666667
NCAM2	-2.3175
PRKD2	0.341666666666667
ZFP36L1	0.9075
CYSLTR1	-0.36125
OR4C3	0.21325
HIST1H2AJ	1.0615
CCNB2	-0.864444444444445
ZNF10	-0.563875
TMEM175	-0.192
FAM134A	0.718
TIGD4	0.8
PCNP	-0.08675
MGC39715	-0.2545
LQK1	-2.52525
CREB1	1.0787
TMPRSS3	0.05475
C4orf32	1.3665
LAT	-1.91983333333333
KCNA3	-0.4745
SKIV2L2	-0.39225
ROPN1B	-4.3625
tcag7.23	-0.303
CDT1	-2.8615
ZHX2	0.9575
CD28	-4.16975
ZNF624	1.0745
SEPT2	0.0369166666666667
SOHLH2	-0.444
MCOLN3	1.555125
UNQ1945	0.067
MASP2	-1.191
ZNRF3	0.313
GPATCH3	-0.821
AGL	3.557625
QRICH2	0.043
PSD4	1.30016666666667
CCNB1IP1	-2.80825
ENPP7	0.091
OBFC1	-0.18125
KCNG3	-2.054
C14orf79	0.460666666666667
ENPEP	2.4885
SCT	1.3525
SKI	-0.20125
SEC61G	-0.3185
CAPN11	0.166
ATXN7L3	-0.1085
DBNDD1	-0.342
FAIM	1.379
ANKRD36	0.077
GABRP	-0.313666666666667
TACSTD2	1.4735
EIF3J	0.60575
PPP2R2A	-1.091
TEKT4	-0.689333333333333
PVALB	2.1675
F10	-3.87116666666667
FAM134C	0.9107
COMP	4.418875
EFCBP1	-3.25606666666667
SCLT1	0.922125
TAL1	-1.063
ACSL1	2.35425
ABCC5	0.582333333333333
ABL1	-0.5355
RBBP7	-0.263416666666667
PTPRG	0.2465
NCOR1	0.2836
SPINK4	1.1835
TXNRD1	-0.8272
TNRC15	0.40125
C9orf138	0.93925
UBE2H	0.807
BRDT	1.2305
C8orf31	0.1545
CCNE2	-1.34481818181818
SLC6A8	-1.826875
CALCR	-4.61875
PPP1CB	0.3055
ABHD8	-0.04325
ARF5	-0.3367
SLC24A4	0.2
CCT3	-0.35575
ZNF121	0.435
SLC3A2	-1.7911
OR13A1	0.274
SLC5A10	1.07525
RAD50	0.011125
IER5	-0.211625
MTHFD1L	-2.14475
MBTPS2	0.2955
MVK	-0.6335
NCL	-0.3578
PSMD10	0.44475
MOBP	0.1505
FLJ32894	-0.1485
HRH1	-0.630833333333333
C5orf30	2.62375
NUDT16L1	0.5772
RASGRP3	4.035
PRKRIP1	-0.581
CCDC75	0.03925
LOC253970	0.0555
KIAA1239	0.2155
MED21	0.259
SYT11	0.351083333333333
NTSR2	-0.497
EGFL11	-0.2075
CXorf59	0.816
OR2A25	0.02475
SPTBN2	-1.92875
LRMP	-1.6345
RNF111	0.94575
PTH	-0.1365
LOC619208	0.647333333333333
KIAA0895	1.21
RANBP5	-0.93425
P2RY10	-0.131333333333333
NME5	4.35
DDX21	-1.08275
LRSAM1	0.19
HDAC11	1.05783333333333
VMO1	1.8625
NOLA2	-0.127666666666667
ADAR	1.60308333333333
MTO1	-0.339
SF4	0.113
P2RX1	-0.286166666666667
HBM	0.00425
EN2	-0.7845
C14orf172	-0.20325
TM9SF2	0.9404
INHBE	-0.780333333333333
TCTE3	-0.0626666666666667
TOX2	-3.78875
CTAGE3	1.199
HBB	2.8321
MED15	-0.951166666666667
CASR	-0.6185
C6orf66	-0.456
MTPN	-0.151875
UNC50	0.3485
C21orf33	-0.2185
IRF2	1.248125
PGR	2.00183333333333
GPR84	3.20925
CROCCL1	-1.613
SRPX	-1.148
BRE	0.120166666666667
FGF10	5.284
SDC3	0.0141666666666667
ZRSR1	0.586
DKFZP434P211	-0.34475
SOX6	-0.2675
RPUSD2	0.41225
C14orf173	-0.2425
MAPK11	-0.590833333333333
TBC1D22A	-0.3555
FAM123A	-0.436
COL4A6	-1.51216666666667
TOMM70A	0.08
NAB1	-0.272625
MGC16385	-0.54425
TSPAN18	-0.3235
MED31	0.48925
PLG	-0.4795
CAPSL	4.0325
ZNF532	0.7334
ASB14	-0.08575
CA8	-3.208
NUDT16P	2.62533333333333
SLFN11	-0.783
LRRIQ2	0.66575
NOL7	-0.472333333333333
BRMS1L	-0.525625
JARID1A	-0.346666666666667
PANK2	-0.672
ICAM3	-0.9965
MDS1	-0.91125
TAF8	-0.4025
RNF139	1.6385
ZNF594	0.501833333333333
ADAM8	3.14725
SFTPC	-0.240375
MAN2B2	1.765125
RGS12	0.4463125
EIF1AY	-4.78691666666667
LRRIQ1	0.429333333333333
GPR150	-0.392
CCDC21	-1.51066666666667
PRRG3	0.59725
SAA4	-4.35375
RAPGEF5	1.459
ZCCHC2	0.500416666666667
MGC39372	1.2215
PPP4R2	0.440666666666667
CDCA2	-2.359
OR4D5	0.207833333333333
PTGFRN	0.6664
SIGLEC5	2.50083333333333
C19orf61	-0.616833333333333
NMUR2	-0.326
KIAA1586	-0.401666666666667
DAGLA	0.284
CHCHD6	-0.5475
GPR32	0.569
NEUROD6	0.224666666666667
SLC2A4RG	-0.5425
CA5B	0.3215
FBXL3	1.90225
MPHOSPH9	-1.377
HMG2L1	0.3295
HCN4	-0.560666666666667
CEACAM19	0.629
SH2D4B	0.4375
HFE2	-0.471
TGM4	-0.993666666666667
LYPD2	-0.08975
TBC1D15	0.0145
MRPS21	0.00800000000000003
NONO	-0.6824
CLEC5A	3.425875
ITCH	-0.3076
MGAT3	-1.7005
MBP	0.0536249999999999
RPP25	-1.3215
SOSTDC1	-0.3255
HRC	-0.5055
TRIM48	-0.1065
TMEM133	0.15475
ECEL1P2	-1.256
HOXC11	-0.57
DOK5	0.79325
HELZ	0.118333333333333
LOC348180	-1.5195
MGC33894	0.17375
ADRB3	0.145
DMD	-0.451666666666667
PTRH2	-0.68975
MPEG1	2.93733333333333
NDUFA12	-0.0428333333333333
KRTAP2-4	-0.108333333333333
STAMBPL1	-1.1505
ADCY2	-0.561166666666667
UNQ6125	0.073
KLHL20	0.229333333333333
SRM	-1.844
OTC	0.20025
TMIE	0.0415
SNX8	-0.9345
LIPK	-0.2185
CHURC1	-0.715
KLC2	0.207166666666667
HDAC1	0.452166666666667
FAM128A	0.769666666666667
FNDC3B	-0.0422
MTCP1	-0.6055
WFDC10B	-0.2007
PCDHGB3	-0.5475
ATRNL1	1.883
CAV2	-0.736
MED26	-0.0171666666666667
DUS1L	-0.287
CHRM3	-1.871125
NEK9	-0.23125
WARS2	-0.01875
TBX22	-0.7865
TOMM40	-0.7965
RP6-213H19.1	-0.57
TUBGCP5	0.23475
IGSF6	4.305
TPPP	1.289
UNQ6190	-0.3525
GSTM5	1.003125
BTD	0.6035
PDCD1LG2	0.0746666666666667
SNRPB2	0.0665
ERICH1	-0.906625
APOA4	-1.64425
HOXA11	-1.054
NARG1	-0.34075
MKX	-0.06525
RAB28	-0.256142857142857
PKP3	1.43625
SH3GL2	-1.07725
CTSO	3.79525
RPN2	-0.00375000000000001
IL28RA	0.448
SFMBT1	-0.18125
WDR57	-0.243875
FER1L3	1.34266666666667
HSF5	-0.741166666666667
TTC9B	0.035
C4BPA	-3.66966666666667
ALB	-4.53928571428571
SORBS3	0.605
UPF2	-0.0845
JPH1	-0.3335
AGBL2	0.686
DOPEY1	1.474
TERF1	0.471166666666667
KIF22	-0.365333333333333
NINJ1	1.1185
SEC61A2	0.318916666666667
HIST1H1D	-0.748833333333333
SFXN4	-0.336625
UCP3	-0.0881
ZNF703	0.369666666666667
MYL6B	-1.03575
TREM1	2.926
OR52E6	1.176
CKMT2	1.09075
HLA-C	2.384125
SLC13A3	-1.46633333333333
TIMP4	-1.8475
SLIT2	2.108
RSF1	0.713722222222222
LONRF1	-2.27057142857143
MON1A	-0.1745
CACNG6	-2.38733333333333
DPPA4	-6.1195
ZSWIM3	-0.48325
ZNF804A	0.293666666666667
CCIN	1.66675
SLC25A31	0.68875
KCNMB4	-0.7175
RABL5	0.91275
GALNS	-0.3894
STX6	0.473125
HIST1H1C	-1.0445
CIDEB	-0.33625
CASP4	0.358166666666667
PDK3	0.097
KCNJ11	1.129
TPR	0.26325
ZSCAN20	-0.0035
MTX2	0.32275
HIST1H2BH	-0.64225
LOC283767	1.41875
LYRM7	-1.49527777777778
BRD3	0.0136666666666667
HIST1H2BO	-0.55625
MAGEB10	0.866
SLC45A1	1.12625
SERPINA3	-0.00795
KIAA0143	0.8765
KCNJ16	0.146
KRT79	0.125
FABP2	-0.10925
NUT	0.1965
ZNF57	0.05375
FBXL4	0.80875
CLEC9A	0.025
UGT8	-1.34733333333333
BMP2K	0.49925
MAPK4	-3.677
SLC25A23	-0.4616
HINT1	-0.5928
KRTAP13-1	0.003
SFXN5	0.7244
CHCHD2	-0.190583333333333
FAM3D	0.1855
NDP	-3.25175
RHOBTB1	0.099
SLC4A4	-1.38275
RPL38	-0.1455
HTF9C	-1.1335
AP2A2	0.61675
ZBTB46	-0.934
MAP7D1	0.516
AOX1	-0.869166666666667
CYR61	0.693666666666667
DTNA	0.343214285714286
JRKL	-0.4735
TMOD3	0.76125
EEA1	0.0266
ADCK5	-0.7215
IL1R1	0.448
KLK3	-0.191357142857143
HRSP12	-0.6195
KTN1	0.691
LOH11CR2A	0.8052
RELL2	-0.68925
MAB21L1	2.437
C20orf59	-0.428333333333333
PHKB	-0.32825
ADAM2	-1.66966666666667
TBC1D8B	2.17433333333333
FAM13A1	-0.5698125
LAPTM4B	-1.37683333333333
LCN8	-0.1085
TMEM147	0.3805
SYT4	-0.152
XPO7	-1.0395
C9orf62	-0.34925
GPR75	0.8945
TRIM5	0.847875
APOC1	-0.4655
RNASE4	0.4085
PARD6B	-2.238625
ARID1A	-0.167666666666667
TPD52L3	0.758666666666667
RRAGB	1.093
RCN2	0.4175
HIST2H2BE	0.8930625
STARD7	-0.31175
SHMT2	-1.745
KIAA1751	0.251833333333333
MLYCD	-0.027375
LOC162632	-0.5622
UQCRH	-0.523
RP11-217H1.1	0.4435
SDHA	-1.6345
NCLN	-0.5484
ZNF17	0.963
RCBTB2	-0.956
VEGFB	0.1387
RP4-747L4.3	0.5135
COLQ	0.6459
MPN2	-1.12283333333333
DRG2	0.044
KLRB1	3.1235
ALPK2	-0.83925
DNASE2B	0.525
FLJ23834	1.269
AXUD1	1.00833333333333
SAFB	-0.5952
NSUN4	0.00825000000000001
RFX2	1.17633333333333
MAPK8IP1	0.240833333333333
FANCD2	-0.755571428571429
ANKZF1	-1.26033333333333
C19orf50	-0.38875
DUSP8	2.296625
SENP5	0.14025
NFKBIL2	-0.3965
LBR	-2.754125
IGFL1	0.011
LZTS2	0.261875
IL2RG	-0.75575
CCDC51	-0.36525
KLF3	0.898375
ANKRD37	-0.90175
KCTD14	-1.9605
FZR1	-0.19375
SLC44A4	3.5428
ESPL1	-0.83175
GMPR2	-0.6646
TBC1D19	0.1075
ERGIC1	0.648
ERBB4	3.9241
TSPAN32	0.1145
MAP4	-0.253625
GPHN	-0.78675
SLC6A2	-0.34375
HIVEP1	0.435
DFFB	-0.8116
EIF4EBP2	0.30325
DMRT1	-0.5425
HSPB6	-0.08475
IER2	0.4195
AIFM1	0.3095
WWC2	0.922916666666667
MRPL4	-0.7195
FLJ21062	1.00866666666667
EPB41L4A	1.60308333333333
SH2D6	0.03925
TAF4B	-0.88275
GAL3ST3	0.0505
MALT1	-0.0775
RTDR1	0.303
ARVCF	-0.157
MEX3B	-0.2495
FBXO16	0.2955
KIF7	-0.3685
C1QC	3.79183333333333
ZNF783	-0.346666666666667
ZNF85	1.3575
MMP13	4.7655
KIAA0329	0.781
RTP3	-1.7205
ZBED3	0.56525
CLGN	1.2325
SLC25A37	-2.22558333333333
hCG_18290	-0.38625
OR5AS1	0.213
SMARCC2	0.016
FAM109A	-0.130666666666667
CCDC12	0.154
USF2	0.3935
DEPDC7	-1.538
C20orf24	-0.543166666666667
JMJD3	0.4465
DSP	0.553142857142857
SLIC1	0.13275
FAM20A	0.30175
IRF2BP2	-0.3955
ZNF230	-0.1575
MSN	-0.555642857142857
SLC9A5	-2.3515
EPDR1	-0.503
MUSK	0.2525
ZNF434	-0.2565
SMARCD1	-0.435833333333333
ZFP106	0.64
