Hybridization REF	TCGA-A8-A08I-01A-11R-A00Z-07
ACOT2	0.654
HIST1H4I	0.334
PPARGC1A	-3.2441
ETFA	-1.6055
POLRMT	-1.0085
ZNF146	0.830875
MIA2	2.4675
KLHL6	1.4205
HOXB5	-0.87925
NENF	0.889333333333333
CUGBP1	-0.44375
PRSS22	-0.133333333333333
CASC4	1.4927
CUL4B	0.2268
CENPJ	-1.9213
PITX1	0.995333333333333
FLJ31033	1.63083333333333
CELSR3	-1.46116666666667
ZNF568	1.01725
ITSN1	-0.206666666666667
EHBP1L1	-0.478
C19orf2	-0.46775
DCTN1	0.1555
LIN28B	-3.6355
TNKS2	0.18075
C1QBP	-0.8625
CADPS2	2.75175
SRMS	0.15825
GJA9	0.2635
MGC24975	-1.5325
TRIM45	0.625166666666667
TSP50	0.80975
TCP1	-1.9
TMED7	0.8232
CMA1	0.5775
CENPL	-0.329
PTCRA	0.895
FST	-4.321
VWCE	-3.98275
PAWR	-0.26775
ABCC12	-0.00950000000000001
LDLR	-0.7579
ASTN2	1.1791
LOC441212	-0.579625
GPATCH8	-0.4065
TANC2	0.00141666666666667
KIF4A	-1
C18orf18	0.22025
PGM1	0.11675
KIAA0258	1.023
CPD	0.401125
SNCAIP	-2.39725
DCT	-4.37216666666667
HLA-DOA	3.728
OR11L1	0.293
UPK1B	-0.35425
DNAJB4	-1.02825
UGT1A8	-0.383
HIST1H4L	0.069
PECR	-1.60516666666667
HSPA2	2.36425
WFIKKN1	-1.643
SERP1	1.682875
SYDE2	0.60625
TACR2	0.6245
NUP85	0.048
CD177	-0.780166666666667
LGR5	-2.0785
PIGG	0.1685
PTHR1	-2.727
RAB5A	0.3346
FLJ13224	-0.058
USP9Y	-1.68083333333333
C7orf53	-2.4095
LRP1B	-0.9295
XAF1	4.3022
ABCG8	-0.4725
ANKDD1A	-0.0511666666666667
DAND5	-0.961
SPAG6	0.109
LINCR	1.96625
ZDHHC22	-1.65675
CCDC60	-0.4405
THOC7	-0.785333333333333
TCTA	1.0031
OR8K3	-0.05325
NY-REN-7	-1.32766666666667
B2M	2.96466666666667
C6orf141	-1.600875
LPPR4	0.52325
SQLE	-0.51475
SEPHS1	-0.4335
BTBD14B	0.136714285714286
PLRG1	-0.71225
SPG7	-0.1039375
ZNF614	1.85433333333333
PARD6G	0.386333333333333
INPP5B	-0.1876
GRPEL2	-0.0745
PPID	-0.9418
TRIM56	-0.2805
UBE2J1	-0.03075
IL20RA	4.131
LOC387856	0.766
C1orf107	0.903666666666667
UTS2R	0.70975
C19orf22	-0.989
SAFB2	0.021
KIAA0652	0.473375
KLRG1	-0.275666666666667
MS4A8B	4.18266666666667
FRAG1	-0.64125
KIAA1546	-0.2925
E2F4	-0.4526
CLEC4M	0.356833333333333
BTBD14A	-2.26525
KIAA0999	1.0822
GYPA	-3.724
TAC1	-0.40675
TRAIP	-0.597
KIAA0232	0.463
ERCC8	-0.5255
GPX4	-0.021625
KIAA0368	-0.379375
GPR157	-0.854333333333333
CTAGE4	1.4205
C9orf30	-1.215
OR52A1	0.4085
HSP90B3P	0.6855
ALG9	-0.581
BTBD10	0.46875
SDK2	0.32825
BAIAP3	-0.7645
RABGGTB	-0.23075
ANKRD40	-0.170166666666667
KRT74	0.453
CALCOCO2	0.621714285714286
SNCA	-4.101
TMSL8	-1.4135
C2orf53	0.6305
ESRRB	-0.33375
ARHGAP26	-0.28925
TDRD9	-3.296
HRAS	-0.480833333333333
KLRC4	-1.0395
JAGN1	-0.655
BSDC1	0.93375
RNF43	0.4093
NDUFAF1	0.1205
PHF12	0.2245
OR1L3	0.31625
FOLR2	2.51108333333333
LYZL6	0.0566666666666667
tcag7.1260	-0.8685
WSB1	-1.06516666666667
PROS1	-1.436
OSTN	0.4195
PSMB8	2.93375
SOCS4	-0.032625
DDIT4L	0.87625
MAS1	0.676
MGC34796	-0.07525
CSHL1	0.369666666666667
TBCCD1	0.4905
ZBTB7C	0.1215
AP2S1	0.236375
P15RS	0.4021
VAT1	-0.7566
SHANK3	-0.456666666666667
TUFM	-0.0291666666666667
THEG	-0.54725
KRT34	-2.061
SGSM3	-0.4715
TOMM22	-0.87625
SOCS3	0.401833333333333
CPO	0.134
POP4	0.17
BHLHB3	1.839
MALL	0.4085
OR1B1	0.195
PARK2	0.0878333333333334
GPR124	-1.322375
LCE1E	0.0955
RUVBL2	-0.532
CGRRF1	1.0134
ACPL2	0.59325
WNT10B	-1.446375
BAIAP2L2	-2.13675
ISCA1	-0.4135
C1orf125	-0.149125
RPAP1	-1.60225
RAI16	0.172333333333333
RPL27	-0.6095
NLRP9	0.017
EPN1	1.737
LOC388610	0.074625
SLC35A1	0.0871
GAL	-4.44975
SLC14A2	0.50925
RDH11	0.921833333333333
FAM138F	-0.7105
AUH	0.16525
FLJ40243	0.65375
C14orf129	0.722333333333333
MBD2	0.4125
ABHD14B	0.06725
PIGT	0.98825
ALS2CR4	-0.317625
ALAS1	1.114
FOXO1	0.578833333333333
CRLF3	-0.44225
C20orf107	0.282
FARS2	-0.12
CCDC28A	2.16625
NPHP3	-0.57575
OR13F1	0.39
TSEN54	-0.704
DEFB106B	0.160333333333333
OR8B4	1.0255
STH	2.55775
ZC3H14	-0.153875
CBX2	-0.69
TMEM49	-1.38
C6orf21	0.394
FLJ20920	1.069875
CRTAP	-0.752571428571429
DDX50	-0.22875
STYXL1	-0.90075
BLVRB	0.335666666666667
LOC147650	1.52766666666667
MMP24	-0.34325
GRID1	0.034
BANF1	-0.248833333333333
CTAGEP	1.028
HMBS	-2.559
SLC25A24	-0.0721666666666666
C14orf50	0.922
MRO	-1.04133333333333
SLC25A15	-0.32825
FAM84B	1.7776
TDP1	-0.08
C16orf78	0.2788
C11orf57	-0.09025
RFK	-1.25475
ZFYVE9	0.680875
STCH	0.4851
WIBG	0.109
LOC283871	-0.404166666666667
GBA2	0.6966
NDUFB3	-0.05375
HSD17B13	-0.68125
GRIN3A	3.01383333333333
FMNL1	0.205833333333333
SEPT7	-0.3945
GNLY	3.4465
GRAMD1C	0.954
ZNF165	-0.04075
USP38	0.353
FAM83A	-3.39116666666667
C14orf24	0.15875
ARMCX3	1.75025
ARHGDIB	0.824333333333333
AK1	-1.394375
KIAA1045	-0.422
DNAJB13	0.8735
NEU2	0.3355
HIST1H4B	0.897166666666667
FAM20B	0.6307
HES2	0.408142857142857
FAM73B	-0.2007
LOC388381	1.5755
INTS7	0.210272727272727
AMPH	2.935
ZNF775	-0.000999999999999987
UCKL1	-0.109166666666667
C10orf97	-0.24075
C1orf161	0.089
ALDH1L1	-2.184
FLJ39378	-0.94125
SLC23A1	0.183
RBM4B	0.3365
THAP4	-0.512166666666667
OGFRL1	0.62725
KIAA0831	0.837125
PPP1R15A	-1.0175
C1orf96	0.551642857142857
C12orf11	-2.41525
BMF	0.753375
MAN1A1	-1.118
KIAA1600	0.7845
NLGN4X	-1.96275
ALOX12	-0.5805
RB1CC1	0.6595
NEIL2	0.8387
EIF4E	-0.561045454545455
ABHD5	0.4605
EXOC4	-0.341333333333333
CIP29	-0.938833333333333
BATF2	3.6095
SLC29A4	-1.57275
HTR4	0.1415
EMB	0.0145
TRAF6	0.64225
LMNB1	-1.024
FAM19A5	-2.241375
SHE	1.57775
PIK3C2B	-0.551
C15orf15	-0.887
USP15	0.1211
TCEAL2	2.281
C5orf39	0.521666666666667
PTGER2	-0.032
SLC31A1	0.6385
IFT172	0.37175
ADAM29	0.5655
GFOD1	-0.52175
ST7L	0.180166666666667
C15orf26	-1.753
PKN3	-1.802
CNTD1	3.89983333333333
COMMD1	0.343625
NTRK2	2.58108333333333
FOXN3	0.76125
MFGE8	-1.8218
PFKFB2	0.9085
TAS2R4	-0.02175
ENTHD1	1.31233333333333
PRMT5	-0.087375
MGC16384	-0.59575
LOC442229	1.26325
TSKU	0.8975
KRTCAP3	0.834625
PDLIM1	0.7715
KCNS2	0.2385
RNF126	-1.03866666666667
CEP63	0.648875
CLIC4	0.10425
hCG_1990170	-0.09275
ACR	0.3751
KLK7	-0.45775
ALOX5AP	3.564625
RIPK3	3.93125
TAS2R9	0.024
C19orf18	2.897
BIRC6	-0.398571428571429
ZNF16	0.9955
RFT1	-0.4565
SLC8A2	0.77375
TACC1	0.75675
ITGAD	1.84725
SAMHD1	2.42775
SH3PXD2B	0.4931
EPC2	0.783
C20orf85	1.262375
ATP13A2	1.103
KRT4	0.2135
CAPNS1	0.474
MDM2	0.0330833333333334
PCDH20	1.27425
KCNK9	0.4735
OR2C1	0.1385
KLHDC3	-0.198666666666667
IPPK	-0.4515
EFHD2	0.417125
GALR3	0.629
NBEA	-0.575666666666667
ABCA6	3.6586
CLDN3	-0.219833333333333
AKT2	0.0858571428571429
EGFR	-2.4807
RBM16	-0.632625
ZDHHC3	0.0516
SLC25A4	-0.56
CYB5B	-0.9355
CPXM1	-0.40125
NDRG1	-0.171307692307692
FLJ43826	-0.2025
OR5L2	-0.00933333333333336
FARP2	-0.917
MRPL46	-0.490916666666667
LDHAL6B	0.341333333333333
MAPKAPK3	0.0771666666666667
NCAM2	-0.95125
PRKD2	0.397333333333333
ZFP36L1	1.2223
CYSLTR1	0.2125
OR4C3	-0.0855
HIST1H2AJ	2.4605
CCNB2	-1.81788888888889
ZNF10	0.2975
TMEM175	0.53
FAM134A	0.7645
TIGD4	-0.18
PCNP	0.28775
MGC39715	0.1195
LQK1	-1.3305
CREB1	0.4419
TMPRSS3	-0.26425
C4orf32	1.248125
LAT	-0.0774166666666667
KCNA3	0.376
SKIV2L2	-1.036
ROPN1B	-2.376
tcag7.23	-0.102
CDT1	-0.954125
ZHX2	1.060375
CD28	-1.837
ZNF624	0.60075
SEPT2	-0.275583333333333
SOHLH2	-2.43825
MCOLN3	0.54625
UNQ1945	0.42
MASP2	-1.9245
ZNRF3	-0.5823
GPATCH3	0.37525
AGL	1.48475
QRICH2	-0.286
PSD4	0.672666666666667
CCNB1IP1	-1.71275
ENPP7	-0.101
OBFC1	-0.83125
KCNG3	-2.04025
C14orf79	0.982333333333333
ENPEP	-0.983166666666667
SCT	0.7625
SKI	0.446125
SEC61G	-0.77575
CAPN11	0.0425
ATXN7L3	-0.432
DBNDD1	-0.253833333333333
FAIM	1.03975
ANKRD36	-0.667
GABRP	0.376333333333333
TACSTD2	1.96183333333333
EIF3J	-0.936
PPP2R2A	-0.20375
TEKT4	-0.408
PVALB	-1.97283333333333
F10	-3.04783333333333
FAM134C	0.8031
COMP	3.22925
EFCBP1	-4.016125
SCLT1	0.384
TAL1	-2.039
ACSL1	1.25725
ABCC5	-0.960333333333333
ABL1	-0.777388888888889
RBBP7	1.60675
PTPRG	-0.806375
NCOR1	-0.073
SPINK4	-1.87966666666667
TXNRD1	-0.8452
TNRC15	1.01925
C9orf138	0.29875
UBE2H	0.307
BRDT	2.5725
C8orf31	1.049
CCNE2	0.412090909090909
SLC6A8	-2.286625
CALCR	0.54875
PPP1CB	-0.281833333333333
ABHD8	-0.4225
ARF5	-0.0166
SLC24A4	1.307
CCT3	-0.687
ZNF121	0.446875
SLC3A2	-0.4858
OR13A1	0.3935
SLC5A10	-0.5735
RAD50	-0.1115
IER5	-0.160875
MTHFD1L	-0.43225
MBTPS2	0.24775
MVK	-0.797625
NCL	-0.564
PSMD10	0.495
MOBP	0.24675
FLJ32894	-0.3
HRH1	-1.78616666666667
C5orf30	1.08875
NUDT16L1	0.9829
RASGRP3	3.77916666666667
PRKRIP1	-1.0737
CCDC75	0.20275
LOC253970	0.42775
KIAA1239	-0.174
MED21	-0.46825
SYT11	1.46425
NTSR2	-0.0435
EGFL11	-0.136
CXorf59	-0.0685
OR2A25	-0.24925
SPTBN2	-1.89775
LRMP	-0.477333333333333
RNF111	-0.0195
PTH	-0.6325
LOC619208	0.104833333333333
KIAA0895	0.23325
RANBP5	1.318
P2RY10	2.33983333333333
NME5	4.56366666666667
DDX21	-1.582
LRSAM1	-0.518
HDAC11	0.828333333333333
VMO1	3.15925
NOLA2	-0.388333333333333
ADAR	1.28808333333333
MTO1	-0.2795
SF4	-0.0265
P2RX1	0.4105
HBM	-0.26975
EN2	0.741
C14orf172	-0.18975
TM9SF2	1.8564
INHBE	-1.54766666666667
TCTE3	-0.197166666666667
TOX2	-1.54075
CTAGE3	1.545
HBB	3.2899
MED15	-1.09866666666667
CASR	0.34175
C6orf66	-1.52633333333333
MTPN	0.314625
UNC50	0.15
C21orf33	-0.27675
IRF2	1.372625
PGR	2.99766666666667
GPR84	3.599
CROCCL1	-1.625
SRPX	-3.60325
BRE	0.6685
FGF10	2.53825
SDC3	1.01616666666667
ZRSR1	1.09683333333333
DKFZP434P211	-0.026
SOX6	-0.358
RPUSD2	-0.528
C14orf173	-0.737833333333333
MAPK11	-1.045
TBC1D22A	0.497
FAM123A	-1.5555
COL4A6	-3.60083333333333
TOMM70A	-0.17125
NAB1	0.43825
MGC16385	0.955375
TSPAN18	-1.001
MED31	0.78475
PLG	-0.4665
CAPSL	1.761
ZNF532	0.3557
ASB14	-0.548
CA8	2.31225
NUDT16P	2.4865
SLFN11	0.7905
LRRIQ2	1.197875
NOL7	-0.691333333333333
BRMS1L	-0.03775
JARID1A	0.714333333333333
PANK2	0.2995
ICAM3	0.39675
MDS1	-1.12925
TAF8	-0.471
RNF139	0.98375
ZNF594	0.435833333333333
ADAM8	2.237
SFTPC	-0.7075
MAN2B2	1.139625
RGS12	0.0513125
EIF1AY	-4.42125
LRRIQ1	-1.09466666666667
GPR150	0.721
CCDC21	-0.366166666666667
PRRG3	-0.01725
SAA4	-4.1225
RAPGEF5	0.75675
ZCCHC2	1.55725
MGC39372	0.87
PPP4R2	-0.0968333333333333
CDCA2	-0.898333333333333
OR4D5	0.4155
PTGFRN	-0.4431
SIGLEC5	2.19766666666667
C19orf61	-0.399
NMUR2	0.264
KIAA1586	-1.31683333333333
DAGLA	0.456333333333333
CHCHD6	-0.64825
GPR32	0.0385
NEUROD6	-0.1085
SLC2A4RG	0.3138125
CA5B	1.495
FBXL3	0.581
MPHOSPH9	-0.181
HMG2L1	-0.104
HCN4	0.434166666666667
CEACAM19	0.21225
SH2D4B	2.10683333333333
HFE2	-0.6875
TGM4	0.059
LYPD2	0.00300000000000001
TBC1D15	0.816
MRPS21	0.1417
NONO	-0.4616
CLEC5A	2.410875
ITCH	0.3517
MGAT3	-0.532666666666667
MBP	-0.40525
RPP25	-0.566
SOSTDC1	-2.80175
HRC	-2.5625
TRIM48	0.55
TMEM133	-1.395
ECEL1P2	-1.44275
HOXC11	-1.121
DOK5	-2.15075
HELZ	-0.220333333333333
LOC348180	-0.3545
MGC33894	-0.206
ADRB3	0.3025
DMD	-0.705416666666667
PTRH2	-1.033
MPEG1	3.91266666666667
NDUFA12	0.249666666666667
KRTAP2-4	0.00216666666666666
STAMBPL1	-0.791666666666667
ADCY2	0.1962
UNQ6125	0.1525
KLHL20	0.353333333333333
SRM	-1.51825
OTC	-0.4575
TMIE	-0.086
SNX8	-0.155
LIPK	0.053
CHURC1	0.293
KLC2	0.0473333333333333
HDAC1	0.5675
FAM128A	-0.136
FNDC3B	-0.0551
MTCP1	0.133833333333333
WFDC10B	0.2184
PCDHGB3	0.7145
ATRNL1	2.4169
CAV2	-2.261625
MED26	-0.262833333333333
DUS1L	-0.34025
CHRM3	-1.741
NEK9	0.82025
WARS2	-0.3025
TBX22	0.4895
TOMM40	-0.46225
RP6-213H19.1	-1.48633333333333
TUBGCP5	-0.52575
IGSF6	5.36475
TPPP	0.683
UNQ6190	0.78
GSTM5	-0.228125
BTD	1.22783333333333
PDCD1LG2	2.67266666666667
SNRPB2	0.420833333333333
ERICH1	0.094375
APOA4	-2.034875
HOXA11	-2.3575
NARG1	-0.941625
MKX	3.62
RAB28	-0.158357142857143
PKP3	-0.16425
SH3GL2	2.02675
CTSO	3.4185
RPN2	1.0775625
IL28RA	0.7235
SFMBT1	0.9855
WDR57	-0.757375
FER1L3	0.936333333333333
HSF5	0.332333333333333
TTC9B	0.346
C4BPA	-4.20283333333333
ALB	-3.85761538461538
SORBS3	0.054
UPF2	-0.2075
JPH1	0.8195
AGBL2	1.7385
DOPEY1	0.4145
TERF1	0.3175
KIF22	-1.41183333333333
NINJ1	1.175
SEC61A2	-0.381833333333333
HIST1H1D	1.7275
SFXN4	-0.766
UCP3	1.2649
ZNF703	0.835
MYL6B	-0.755
TREM1	2.8985
OR52E6	0.582
CKMT2	-0.45675
HLA-C	3.698
SLC13A3	-2.23733333333333
TIMP4	-1.813
SLIT2	-0.032
RSF1	0.394333333333333
LONRF1	0.155785714285714
MON1A	-0.677666666666667
CACNG6	-0.594666666666667
DPPA4	-5.26583333333333
ZSWIM3	0.64725
ZNF804A	1.11616666666667
CCIN	1.255
SLC25A31	-0.3445
KCNMB4	0.96525
RABL5	0.11875
GALNS	0.094
STX6	0.192625
HIST1H1C	2.72433333333333
CIDEB	1.04325
CASP4	0.409333333333333
PDK3	1.3282
KCNJ11	2.969
TPR	0.223125
ZSCAN20	1.39
MTX2	-0.438
HIST1H2BH	1.8255
LOC283767	0.6215
LYRM7	-0.759444444444444
BRD3	0.151166666666667
HIST1H2BO	1.3885
MAGEB10	0.4025
SLC45A1	1.097
SERPINA3	3.0863
KIAA0143	1.3605
KCNJ16	0.0925
KRT79	-0.74425
FABP2	-0.783
NUT	0.30625
ZNF57	-0.88325
FBXL4	-0.202875
CLEC9A	1.5815
UGT8	-1.51116666666667
BMP2K	0.493
MAPK4	-3.72475
SLC25A23	-0.8061
HINT1	0.2741
KRTAP13-1	0.3745
SFXN5	1.0001
CHCHD2	-0.54075
FAM3D	1.5375
NDP	-1.086125
RHOBTB1	1.123
SLC4A4	-0.70975
RPL38	-0.228
HTF9C	-0.776833333333333
AP2A2	-0.375
ZBTB46	0.05
MAP7D1	0.51125
AOX1	-2.16133333333333
CYR61	-2.074
DTNA	-1.03957142857143
JRKL	-0.69575
TMOD3	-0.651
EEA1	0.1646
ADCK5	-0.60825
IL1R1	2.02516666666667
KLK3	0.591642857142857
HRSP12	0.57
KTN1	1.36175
LOH11CR2A	0.4046
RELL2	-1.425
MAB21L1	1.3525
C20orf59	-0.945166666666667
PHKB	0.3055
ADAM2	-1.816
TBC1D8B	1.01066666666667
FAM13A1	-1.21425
LAPTM4B	-1.04466666666667
LCN8	0.095
TMEM147	1.0875
SYT4	-0.0984
XPO7	-0.13
C9orf62	1.041
GPR75	0.426
TRIM5	0.20225
APOC1	0.9945
RNASE4	2.0395
PARD6B	0.04775
ARID1A	0.738416666666667
TPD52L3	0.0917
RRAGB	1.3535
RCN2	-0.626833333333333
HIST2H2BE	1.2234375
STARD7	0.146
SHMT2	-1.05725
KIAA1751	0.0878333333333333
MLYCD	1.0395
LOC162632	-1.0266
UQCRH	-0.67675
RP11-217H1.1	1.94175
SDHA	-0.182166666666667
NCLN	-0.8868
ZNF17	1.59216666666667
RCBTB2	-1.68875
VEGFB	-0.3394
RP4-747L4.3	0.21525
COLQ	-0.1954
MPN2	-1.093
DRG2	-0.28525
KLRB1	6.38675
ALPK2	-3.4895
DNASE2B	3.94625
FLJ23834	-0.302333333333333
AXUD1	0.0248333333333333
SAFB	-0.442
NSUN4	-0.29575
RFX2	0.7385
MAPK8IP1	-0.375666666666667
FANCD2	-0.9185
ANKZF1	-1.41233333333333
C19orf50	-0.1235
DUSP8	-0.8245
SENP5	0.395625
NFKBIL2	-0.76575
LBR	-0.715
IGFL1	-0.513
LZTS2	-0.020125
IL2RG	1.481375
CCDC51	0.064
KLF3	-0.076875
ANKRD37	-0.82425
KCTD14	1.6985
FZR1	-0.223083333333333
SLC44A4	4.0508
ESPL1	-0.54375
GMPR2	0.1779
TBC1D19	-0.66
ERGIC1	0.461444444444444
ERBB4	2.4756
TSPAN32	1.70466666666667
MAP4	-0.044125
GPHN	0.19625
SLC6A2	-0.10625
HIVEP1	0.11175
DFFB	-0.6981
EIF4EBP2	0.378375
DMRT1	-0.80275
HSPB6	-0.3565
IER2	-1.04133333333333
AIFM1	0.2205
WWC2	-1.60075
MRPL4	-0.4405
FLJ21062	-0.2555
EPB41L4A	1.19233333333333
SH2D6	0.36025
TAF4B	-0.064
GAL3ST3	-0.323
MALT1	-0.240666666666667
RTDR1	-0.21775
ARVCF	-0.927375
MEX3B	-1.045
FBXO16	1.3535
KIF7	-1.93125
C1QC	4.03883333333333
ZNF783	0.151
ZNF85	0.4825
MMP13	1.235
KIAA0329	0.1465
RTP3	-0.897
ZBED3	-1.31525
CLGN	-0.73775
SLC25A37	-1.514625
hCG_18290	-0.25075
OR5AS1	0.151
SMARCC2	0.268583333333333
FAM109A	-0.295666666666667
CCDC12	-0.33275
USF2	1.2165
DEPDC7	-3.2465
C20orf24	0.503166666666667
JMJD3	0.0365
DSP	-0.423071428571429
SLIC1	1.47275
FAM20A	1.881375
IRF2BP2	0.418375
ZNF230	0.774
MSN	0.116357142857143
SLC9A5	-1.1495
EPDR1	-2.6319
MUSK	0.122666666666667
ZNF434	0.0876666666666667
SMARCD1	-0.538166666666667
