Hybridization REF	TCGA-A8-A07S-01A-11R-A034-07
ACF	-3.658
LOC158381	1.276
CDH8	-0.0755
AGPS	-0.667333333333333
C4orf18	3.47075
PECI	-0.1175
UNG	0.25075
GSTP1	-1.89275
DCUN1D5	-1.04833333333333
DKFZP564J0863	-0.66125
SLC9A3R1	1.68225
BCDO2	-0.925375
CHMP7	-0.515375
REM2	1.1955
DNHD1	-0.480125
FKBP4	0.118625
ZNF350	1.4575
MGC11102	0.110375
BST1	1.5695
KISS1R	0.7645
NCR2	-0.2645
DEFB125	-0.223
UBE2W	0.889125
KRT15	0.4345
C10orf99	-0.0005
SCN11A	-0.22275
GFI1	-3.043
RDHE2	2.07833333333333
FHL1	-1.69866666666667
OSGEP	-0.411166666666667
GATA1	-3.34783333333333
SMC6	-0.24725
TTTY14	-1.23475
LPIN3	-0.08225
RPL4	-0.5473
RBPMS	-0.364
PRPF3	-0.259333333333333
EMR1	-2.449
SPATA19	0.42375
XCR1	0.2385
IRX3	1.1892
RBM6	-0.59475
KLF4	-1.3007
UNC5CL	1.152
SEBOX	-0.364
BTK	-0.883
KRCC1	0.657
C6orf27	0.202
SYTL5	-0.1655
PRND	1.900875
LOC653319	-1.086
PIGL	-0.77875
HUS1	-0.6
SFRS6	0.804583333333333
C17orf77	0.4
UIMC1	-0.657166666666667
FXYD2	-1.9954
LOC283152	2.852
ZNF667	-1.6855
ZCCHC12	-0.542
TFEC	2.4003
ATP7B	0.969666666666667
POLD2	-1.51633333333333
RG9MTD1	-0.183
ACOT2	0.921166666666667
HIST1H4I	-0.97975
PPARGC1A	-2.7499
ETFA	-1.96
POLRMT	-0.33325
ZNF146	0.305375
MIA2	-1.281
KLHL6	-1.46816666666667
HOXB5	2.659875
NENF	0.706166666666667
CUGBP1	0.55175
PRSS22	1.1625
CASC4	1.5189
CUL4B	0.1056
CENPJ	-1.4872
PITX1	-0.762833333333333
FLJ31033	0.978
CELSR3	-1.19833333333333
ZNF568	0.7685
ITSN1	-0.848666666666667
EHBP1L1	-0.695166666666667
C19orf2	-0.5355
DCTN1	-0.000750000000000001
LIN28B	-2.9564
TNKS2	-0.77975
C1QBP	-0.496
CADPS2	1.54875
SRMS	0.356
GJA9	0.00883333333333332
MGC24975	-1.149
TRIM45	-0.539833333333333
TSP50	-0.16525
TCP1	-1.9065
TMED7	0.8246
CMA1	0.872
CENPL	-0.0583333333333333
PTCRA	0.2335
FST	-4.7095
VWCE	-4.271
PAWR	-0.085
ABCC12	0.402666666666667
LDLR	-1.3939
ASTN2	2.4426
LOC441212	-2.24625
GPATCH8	-0.24775
TANC2	0.0124166666666667
KIF4A	-1.74625
C18orf18	-1.57125
PGM1	-1.16175
KIAA0258	0.15725
CPD	0.496875
SNCAIP	-1.37175
DCT	-4.6185
HLA-DOA	1.96945454545455
OR11L1	0.149
UPK1B	-0.92
DNAJB4	-0.755375
UGT1A8	-0.2575
HIST1H4L	-0.78
PECR	-0.599666666666667
HSPA2	2.78825
WFIKKN1	-1.596
SERP1	1.90975
SYDE2	1.22625
TACR2	0.7885
NUP85	-0.9425
CD177	-0.656166666666667
LGR5	-1.41083333333333
PIGG	0.332666666666667
PTHR1	-1.90516666666667
RAB5A	0.2041
FLJ13224	-0.147
USP9Y	-1.04016666666667
C7orf53	-1.707
LRP1B	4.25925
XAF1	2.1921
ABCG8	-0.134
ANKDD1A	-0.835833333333333
DAND5	0.821
SPAG6	-0.417666666666667
LINCR	0.186
ZDHHC22	-1.479125
CCDC60	0.4305
THOC7	-1.10983333333333
TCTA	1.6849
OR8K3	-0.03025
NY-REN-7	-0.2955
B2M	1.46933333333333
C6orf141	-1.441375
LPPR4	1.15325
SQLE	-2.954625
SEPHS1	-0.72075
BTBD14B	0.343071428571429
PLRG1	-0.29775
SPG7	-0.6840625
ZNF614	-0.0956666666666667
PARD6G	0.826
INPP5B	0.205
GRPEL2	-0.153375
PPID	-0.9427
TRIM56	-0.655
UBE2J1	-0.858625
IL20RA	4.71275
LOC387856	-0.0175
C1orf107	0.72075
UTS2R	0.7495
C19orf22	-0.29075
SAFB2	0.216875
KIAA0652	0.347375
KLRG1	0.163166666666667
MS4A8B	0.127833333333333
FRAG1	0.5855
KIAA1546	0.775
E2F4	-1.3928
CLEC4M	0.4505
BTBD14A	-0.644
KIAA0999	2.0846
GYPA	-3.10416666666667
TAC1	0.4989
TRAIP	-1.35483333333333
KIAA0232	0.7897
ERCC8	-1.023625
GPX4	0.41075
KIAA0368	0.134875
GPR157	-0.5635
CTAGE4	1.1125
C9orf30	-1.3845
OR52A1	-0.113
HSP90B3P	-0.136
ALG9	-0.4169
BTBD10	0.174
SDK2	-0.3
BAIAP3	-0.97725
RABGGTB	-0.592875
ANKRD40	-0.1685
KRT74	0.537
CALCOCO2	0.926714285714286
SNCA	-3.738
TMSL8	-3.240125
C2orf53	-0.313
ESRRB	-0.33525
ARHGAP26	-1.752625
TDRD9	-2.18325
HRAS	-0.024
KLRC4	-2.634
JAGN1	-0.1305
BSDC1	0.60525
RNF43	-1.3318
NDUFAF1	0.018
PHF12	0.55075
OR1L3	-0.13225
FOLR2	0.662083333333333
LYZL6	0.330333333333333
tcag7.1260	-2.13
WSB1	-1.85183333333333
PROS1	-1.055
OSTN	0.426
PSMB8	0.98425
SOCS4	-0.00499999999999999
DDIT4L	3.35875
MAS1	0.8505
MGC34796	1.62925
CSHL1	-0.113666666666667
TBCCD1	-0.365333333333333
ZBTB7C	0.0515
AP2S1	-0.1165
P15RS	0.4173
VAT1	-0.7327
SHANK3	1.01033333333333
TUFM	0.279
THEG	-0.6365
KRT34	-1.5775
SGSM3	0.46625
TOMM22	0.297
SOCS3	0.62
CPO	1.016
POP4	0.3845
BHLHB3	0.4905
MALL	0.58375
OR1B1	0.088
PARK2	0.189333333333333
GPR124	0.510375
LCE1E	0.4335
RUVBL2	-0.60175
CGRRF1	0.437
ACPL2	0.7065
WNT10B	-2.374125
BAIAP2L2	-1.392875
ISCA1	0.225
C1orf125	0.5955
RPAP1	-0.834
RAI16	-0.740166666666667
RPL27	-0.601875
NLRP9	0.251
EPN1	-0.0085
LOC388610	-2.15525
SLC35A1	-0.2434
GAL	-4.639
SLC14A2	1.371
RDH11	-0.4535
FAM138F	-0.633
AUH	0.361
FLJ40243	0.26775
C14orf129	0.555666666666667
MBD2	-1.08133333333333
ABHD14B	0.556875
PIGT	0.735
ALS2CR4	-0.86275
ALAS1	0.0755
FOXO1	-0.097
CRLF3	-0.472
C20orf107	-0.267
FARS2	1.01325
CCDC28A	1.34725
NPHP3	-1.45875
OR13F1	0.4425
TSEN54	-0.58175
DEFB106B	-0.1501
OR8B4	0.126
STH	2.2745
ZC3H14	-0.423375
CBX2	0.303
TMEM49	-1.0975
C6orf21	0.314
FLJ20920	-0.26875
CRTAP	-0.260285714285714
DDX50	0.05625
STYXL1	-0.554
BLVRB	-0.175333333333333
LOC147650	-0.405333333333333
MMP24	0.67425
GRID1	1.1495
BANF1	-0.660333333333333
CTAGEP	0.54
HMBS	-1.47425
SLC25A24	0.172166666666667
C14orf50	2.30525
MRO	2.30166666666667
SLC25A15	-0.61425
FAM84B	1.687
TDP1	-0.605
C16orf78	0.2185
C11orf57	0.2825
RFK	-0.588875
ZFYVE9	-1.9165
STCH	0.8351
WIBG	0.44375
LOC283871	-0.378166666666667
GBA2	-0.1805
NDUFB3	0.2035
HSD17B13	-0.2245
GRIN3A	0.695
FMNL1	-0.604333333333333
SEPT7	-0.2912
GNLY	1.3845
GRAMD1C	0.695666666666667
ZNF165	0.439
USP38	0.5975
FAM83A	-0.964666666666667
C14orf24	0.754583333333333
ARMCX3	1.50225
ARHGDIB	0.601666666666667
AK1	0.482875
KIAA1045	0.01425
DNAJB13	-0.312333333333333
NEU2	0.084
HIST1H4B	-0.4635
FAM20B	0.3994
HES2	-0.0262142857142857
FAM73B	-0.4122
LOC388381	-0.68975
INTS7	0.504545454545455
AMPH	2.33975
ZNF775	-0.275125
UCKL1	-0.722666666666667
C10orf97	0.065
C1orf161	0.2305
ALDH1L1	-1.41025
FLJ39378	-0.684125
SLC23A1	-0.3715
RBM4B	0.6285
THAP4	0.494333333333333
OGFRL1	-0.3785
KIAA0831	0.0415
PPP1R15A	-0.683
C1orf96	-0.561357142857143
C12orf11	-2.49375
BMF	0.57625
MAN1A1	-1.772
KIAA1600	0.676
NLGN4X	0.374
ALOX12	-1.40883333333333
RB1CC1	0.0986
NEIL2	0.0461
EIF4E	0.00677272727272728
ABHD5	0.092
EXOC4	-0.166166666666667
CIP29	-0.057
BATF2	0.79925
SLC29A4	-0.586
HTR4	0.4905
EMB	-1.88625
TRAF6	0.39925
LMNB1	-1.3525
FAM19A5	-1.096125
SHE	1.0895
PIK3C2B	0.94825
C15orf15	-0.4265
USP15	-0.1296
TCEAL2	-0.00549999999999998
C5orf39	-1.75366666666667
PTGER2	-2.1285
SLC31A1	-0.8051875
IFT172	0.298
ADAM29	0.084
GFOD1	-0.27375
ST7L	0.918166666666667
C15orf26	-2.816
PKN3	-1.41725
CNTD1	2.20416666666667
COMMD1	0.3975
NTRK2	2.78066666666667
FOXN3	-0.8345
MFGE8	-1.0692
PFKFB2	0.9015
TAS2R4	-0.245
ENTHD1	0.229666666666667
PRMT5	-0.65175
MGC16384	-1.7295
LOC442229	-0.858
TSKU	0.1425
KRTCAP3	3.341875
PDLIM1	1.0625
KCNS2	0.42025
RNF126	-0.488333333333333
CEP63	0.14925
CLIC4	0.00725
hCG_1990170	-0.6895
ACR	0.5137
KLK7	0.56675
ALOX5AP	3.33325
RIPK3	4.248
TAS2R9	0.032
C19orf18	1.498
BIRC6	0.128142857142857
ZNF16	1.0145
RFT1	-0.3525
SLC8A2	-0.78525
TACC1	-0.659125
ITGAD	1.082
SAMHD1	1.2575
SH3PXD2B	0.7517
EPC2	0.739
C20orf85	0.09975
ATP13A2	0.592666666666667
KRT4	0.207875
CAPNS1	-0.21225
MDM2	-0.1825
PCDH20	0.32375
KCNK9	0.259
OR2C1	-0.209
KLHDC3	-0.8425
IPPK	0.7675
EFHD2	0.5715
GALR3	0.62925
NBEA	0.166333333333333
ABCA6	1.1574
CLDN3	0.6745
AKT2	-0.934571428571428
EGFR	-2.5187
RBM16	-0.086
ZDHHC3	0.3818
SLC25A4	-1.38866666666667
CYB5B	-1.41566666666667
CPXM1	-0.421
NDRG1	-2.06076923076923
FLJ43826	0.2065
OR5L2	-0.109
FARP2	0.2956
MRPL46	-0.438083333333333
LDHAL6B	0.0978333333333333
MAPKAPK3	0.187166666666667
NCAM2	-1.34625
PRKD2	0.242833333333333
ZFP36L1	0.7986
CYSLTR1	0.512
OR4C3	-0.07075
HIST1H2AJ	1.5805
CCNB2	-1.84777777777778
ZNF10	-0.179875
TMEM175	0.296
FAM134A	0.919
TIGD4	0.3725
PCNP	-0.36975
MGC39715	-0.677
LQK1	-2.6395
CREB1	0.704
TMPRSS3	2.81325
C4orf32	2.3365
LAT	-2.56925
KCNA3	0.1315
SKIV2L2	-0.85625
ROPN1B	-3.21
tcag7.23	-0.8055
CDT1	-3.156125
ZHX2	1.03975
CD28	-2.21125
ZNF624	0.70325
SEPT2	0.134833333333333
SOHLH2	0.7375
MCOLN3	0.10675
UNQ1945	0.116
MASP2	-0.807
ZNRF3	1.0709
GPATCH3	-0.4905
AGL	0.642125
QRICH2	-0.0585
PSD4	1.1625
CCNB1IP1	-1.13175
ENPP7	-0.14075
OBFC1	0.4475
KCNG3	-1.332
C14orf79	1.3355
ENPEP	2.11966666666667
SCT	0.42
SKI	0.642
SEC61G	-1.1025
CAPN11	-0.398
ATXN7L3	-0.12
DBNDD1	-0.823166666666667
FAIM	1.1235
ANKRD36	-0.6345
GABRP	0.940666666666667
TACSTD2	1.91033333333333
EIF3J	-0.42425
PPP2R2A	-0.9125
TEKT4	-0.894666666666667
PVALB	-3.91716666666667
F10	-3.33483333333333
FAM134C	0.7483
COMP	4.021
EFCBP1	-2.8315625
SCLT1	0.717
TAL1	-1.4466
ACSL1	-0.2525
ABCC5	0.373333333333333
ABL1	-0.438333333333333
RBBP7	1.57333333333333
PTPRG	-0.7255
NCOR1	0.4238
SPINK4	3.52316666666667
TXNRD1	-1.3399
TNRC15	1.479875
C9orf138	0.784875
UBE2H	0.8325
BRDT	0.185666666666667
C8orf31	0.181
CCNE2	-1.23418181818182
SLC6A8	-1.48275
CALCR	-3.24325
PPP1CB	0.43325
ABHD8	0.1505
ARF5	-0.1481
SLC24A4	0.39525
CCT3	0.21125
ZNF121	0.804
SLC3A2	-0.4598
OR13A1	0.032
SLC5A10	0.283
RAD50	0.593375
IER5	-0.00562499999999998
MTHFD1L	-2.642125
MBTPS2	0.41
MVK	-1.00825
NCL	-0.2082
PSMD10	-0.26225
MOBP	0.177285714285714
FLJ32894	-0.6085
HRH1	-1.3395
C5orf30	0.48175
NUDT16L1	1.0196
RASGRP3	3.0635
PRKRIP1	-0.2307
CCDC75	0.02175
LOC253970	0.3525
KIAA1239	0.404
MED21	-0.46725
SYT11	0.140666666666667
NTSR2	-0.6115
EGFL11	-0.291
CXorf59	0.1465
OR2A25	-0.09875
SPTBN2	0.03575
LRMP	-1.45533333333333
RNF111	0.3505
PTH	0.1085
LOC619208	-0.8105
KIAA0895	0.368
RANBP5	-0.689875
P2RY10	1.42933333333333
NME5	4.45583333333333
DDX21	-1.058
LRSAM1	0.3525
HDAC11	1.57683333333333
VMO1	1.2575
NOLA2	-0.274333333333333
ADAR	1.38475
MTO1	-1.95033333333333
SF4	-0.180666666666667
P2RX1	-0.382166666666667
HBM	0.1575
EN2	0.913
C14orf172	-0.155
TM9SF2	0.8848
INHBE	-1.30266666666667
TCTE3	-0.17975
TOX2	-3.48125
CTAGE3	0.764125
HBB	2.3898
MED15	-0.747
CASR	0.4815
C6orf66	-1.7755
MTPN	-0.1345
UNC50	0.3035
C21orf33	-0.10675
IRF2	1.03275
PGR	0.160666666666667
GPR84	1.92325
CROCCL1	-2.5735
SRPX	-2.27075
BRE	0.143333333333333
FGF10	3.1195
SDC3	1.00533333333333
ZRSR1	0.3345
DKFZP434P211	-0.06475
SOX6	0.205
RPUSD2	-0.348
C14orf173	-0.2495
MAPK11	-0.783666666666667
TBC1D22A	0.9035
FAM123A	-0.6075
COL4A6	-1.45
TOMM70A	-0.0825
NAB1	0.447375
MGC16385	-0.986375
TSPAN18	-0.111666666666667
MED31	0.0465
PLG	-0.1255
CAPSL	0.141
ZNF532	0.5081
ASB14	0.06725
CA8	1.37525
NUDT16P	1.49
SLFN11	-1.4035
LRRIQ2	0.78475
NOL7	-0.249333333333333
BRMS1L	-1.204
JARID1A	0.397666666666667
PANK2	-0.45675
ICAM3	-0.8785
MDS1	-0.37475
TAF8	-0.5915
RNF139	0.957
ZNF594	0.0375
ADAM8	3.26525
SFTPC	-0.2835
MAN2B2	1.066125
RGS12	0.7526875
EIF1AY	-4.69208333333333
LRRIQ1	-1.93
GPR150	0.721
CCDC21	-1.02616666666667
PRRG3	0.44575
SAA4	-3.53025
RAPGEF5	1.056125
ZCCHC2	0.00524999999999998
MGC39372	-0.058
PPP4R2	0.785833333333333
CDCA2	-1.88016666666667
OR4D5	0.157666666666667
PTGFRN	0.971
SIGLEC5	2.05383333333333
C19orf61	0.184666666666667
NMUR2	0.072
KIAA1586	-0.980333333333333
DAGLA	0.187333333333333
CHCHD6	-0.917
GPR32	0.6655
NEUROD6	0.3125
SLC2A4RG	-0.07025
CA5B	-0.3865
FBXL3	1.3675
MPHOSPH9	-0.69525
HMG2L1	1.0435
HCN4	0.493833333333333
CEACAM19	-0.98525
SH2D4B	-0.143833333333333
HFE2	-0.157
TGM4	0.356166666666667
LYPD2	-0.20175
TBC1D15	0.46925
MRPS21	0.9732
NONO	-0.4254
CLEC5A	2.351125
ITCH	0.0405
MGAT3	-1.1105
MBP	0.201625
RPP25	-1.01425
SOSTDC1	-1.3125
HRC	-1.5875
TRIM48	0.00599999999999999
TMEM133	-0.02825
ECEL1P2	-0.7805
HOXC11	-0.9215
DOK5	-0.62375
HELZ	0.296
LOC348180	-1.33175
MGC33894	-0.0125
ADRB3	0.255
DMD	-0.52325
PTRH2	-0.6115
MPEG1	2.45733333333333
NDUFA12	0.0035
KRTAP2-4	0.0221666666666667
STAMBPL1	-1.50533333333333
ADCY2	0.587166666666667
UNQ6125	0.052
KLHL20	0.606666666666667
SRM	-1.48
OTC	-0.05475
TMIE	0.924333333333333
SNX8	-0.21675
LIPK	0.25
CHURC1	0.41475
KLC2	0.126333333333333
HDAC1	-0.550833333333333
FAM128A	0.184666666666667
FNDC3B	0.5146
MTCP1	-0.365166666666667
WFDC10B	0.0122
PCDHGB3	-0.0875
ATRNL1	-1.388
CAV2	-1.08625
MED26	-0.410666666666667
DUS1L	0.14175
CHRM3	-1.621625
NEK9	0.91775
WARS2	1.125
TBX22	-0.0625
TOMM40	-1.11975
RP6-213H19.1	-0.732833333333333
TUBGCP5	0.166
IGSF6	4.58675
TPPP	0.229666666666667
UNQ6190	0.165
GSTM5	1.05275
BTD	0.305833333333333
PDCD1LG2	0.0308333333333333
SNRPB2	-0.6685
ERICH1	-1.097
APOA4	-1.664
HOXA11	-1.44625
NARG1	-0.437125
MKX	0.073
RAB28	-0.172285714285714
PKP3	1.168
SH3GL2	-0.51425
CTSO	3.058
RPN2	0.3225
IL28RA	0.165
SFMBT1	0.73975
WDR57	-0.19875
FER1L3	1.19833333333333
HSF5	0.0341666666666667
TTC9B	0.19575
C4BPA	-3.10783333333333
ALB	-4.07864285714286
SORBS3	-0.1385
UPF2	-0.432
JPH1	-0.732
AGBL2	0.97075
DOPEY1	0.846
TERF1	0.0628333333333333
KIF22	-0.532666666666667
NINJ1	1.39075
SEC61A2	-0.334416666666667
HIST1H1D	1.12833333333333
SFXN4	0.153625
UCP3	0.396
ZNF703	0.763833333333333
MYL6B	-0.387
TREM1	2.25075
OR52E6	0.3585
CKMT2	0.632
HLA-C	1.791375
SLC13A3	-1.2005
TIMP4	-0.77375
SLIT2	1.14125
RSF1	0.109444444444444
LONRF1	-1.92107142857143
MON1A	-0.158
CACNG6	-1.82483333333333
DPPA4	-5.3255
ZSWIM3	-0.04625
ZNF804A	0.605666666666667
CCIN	0.7395
SLC25A31	0.3775
KCNMB4	-0.9385
RABL5	0.50625
GALNS	-0.3588
STX6	1.606375
HIST1H1C	0.5445
CIDEB	-0.294125
CASP4	-0.299
PDK3	0.6239
KCNJ11	2.397
TPR	0.394625
ZSCAN20	0.353
MTX2	-0.10125
HIST1H2BH	0.9925
LOC283767	1.4405
LYRM7	-0.982555555555555
BRD3	0.342666666666667
HIST1H2BO	0.66125
MAGEB10	0.2585
SLC45A1	2.5095
SERPINA3	2.8651
KIAA0143	0.9645
KCNJ16	0.0995
KRT79	0.031
FABP2	-0.97975
NUT	-0.19875
ZNF57	-0.4755
FBXL4	-0.3015
CLEC9A	0.3215
UGT8	-0.893666666666666
BMP2K	-0.121
MAPK4	-3.43
SLC25A23	-0.7013
HINT1	-0.4041
KRTAP13-1	-0.0195
SFXN5	0.6536
CHCHD2	-0.204833333333333
FAM3D	0.0465
NDP	-0.732875
RHOBTB1	0.142166666666667
SLC4A4	-0.970125
RPL38	-0.51525
HTF9C	-0.199833333333333
AP2A2	0.423625
ZBTB46	-0.723
MAP7D1	-0.3685
AOX1	-0.224666666666667
CYR61	-0.197583333333333
DTNA	-1.21228571428571
JRKL	-1.351
TMOD3	-0.6445
EEA1	-0.0282
ADCK5	-0.562
IL1R1	-0.0348333333333333
KLK3	0.392714285714286
HRSP12	-0.74325
KTN1	0.63475
LOH11CR2A	1.272
RELL2	-0.7825
MAB21L1	1.245
C20orf59	-1.393
PHKB	-2.76875
ADAM2	-1.4625
TBC1D8B	1.91583333333333
FAM13A1	-0.00725000000000001
LAPTM4B	0.406333333333333
LCN8	-0.155
TMEM147	0.2765
SYT4	0.2265
XPO7	-1.4505
C9orf62	0.9455
GPR75	-0.079
TRIM5	0.697125
APOC1	-0.532666666666667
RNASE4	1.388
PARD6B	-0.2895
ARID1A	0.564583333333333
TPD52L3	0.334777777777778
RRAGB	1.062
RCN2	-0.856666666666667
HIST2H2BE	1.0348125
STARD7	0.1515
SHMT2	-1.334
KIAA1751	0.369666666666667
MLYCD	-0.498875
LOC162632	-0.7173
UQCRH	-1.19525
RP11-217H1.1	0.74225
SDHA	-1.02833333333333
NCLN	-0.5228
ZNF17	0.771833333333333
RCBTB2	-1.7405
VEGFB	-0.0486
RP4-747L4.3	0.9075
COLQ	-0.1345
MPN2	-0.921333333333333
DRG2	-0.35175
KLRB1	1.78025
ALPK2	-2.5205
DNASE2B	0.0565
FLJ23834	-0.1545
AXUD1	0.440333333333333
SAFB	-0.1732
NSUN4	0.5795
RFX2	-0.2965
MAPK8IP1	-0.1655
FANCD2	-1.0625
ANKZF1	-1.808
C19orf50	-0.464375
DUSP8	1.412
SENP5	-0.513625
NFKBIL2	-0.8695
LBR	-1.55225
IGFL1	0.8085
LZTS2	0.513375
IL2RG	-1.292625
CCDC51	0.0915
KLF3	0.300125
ANKRD37	-0.88175
KCTD14	0.522666666666667
FZR1	0.606833333333333
SLC44A4	3.8523
ESPL1	-0.469625
GMPR2	-0.0317
TBC1D19	-0.453166666666667
ERGIC1	0.589
ERBB4	1.0708
TSPAN32	0.15625
MAP4	-0.102
GPHN	0.466
SLC6A2	-0.193
HIVEP1	0.76075
DFFB	-0.0546
EIF4EBP2	0.12625
DMRT1	-0.0426666666666667
HSPB6	-0.12325
IER2	-0.0195
AIFM1	0.3805
WWC2	-0.832416666666667
MRPL4	-0.38
FLJ21062	1.31933333333333
EPB41L4A	1.48658333333333
SH2D6	-0.012
TAF4B	-1.729
GAL3ST3	0.158
MALT1	-0.900166666666667
RTDR1	0.623
ARVCF	0.525125
MEX3B	-1.9705
FBXO16	1.498
KIF7	-1.88475
C1QC	3.546
ZNF783	-0.690166666666667
ZNF85	0.29775
MMP13	2.048
KIAA0329	0.646
RTP3	0.354
ZBED3	-1.376
CLGN	-0.834
SLC25A37	-1.572375
hCG_18290	-0.40025
OR5AS1	0.188
SMARCC2	0.513083333333333
FAM109A	-0.0733333333333333
CCDC12	-0.4125
USF2	0.9964
DEPDC7	-2.15175
C20orf24	-0.937333333333333
JMJD3	0.609
DSP	1.52171428571429
SLIC1	-0.024125
FAM20A	-0.24075
IRF2BP2	1.262375
ZNF230	-0.0545
