Hybridization REF	TCGA-C8-A12L-01A-11R-A115-07
RP5-1077B9.4	-1.2255
FPGT	2.45725
GDF10	-2.2255
COQ9	-0.032
GCC2	0.487714285714286
RARRES3	1.428875
PLXNA1	-0.4135
KIAA0100	0.1246
PMF1	-0.12825
FNDC1	5.19175
HS2ST1	-1.20966666666667
CRELD2	1.00325
C8G	-1.055
CD82	1.16525
LIM2	-0.8765
UNQ6490	-0.2765
MMP16	-0.0995
DRD3	0.0205
C5orf26	-2.07575
C11orf73	0.210375
PTP4A2	0.504875
OR4M2	0.035
HPCA	-0.948333333333333
SEC14L1	0.0666666666666667
CHFR	0.457875
EMILIN1	0.5485
NDUFS4	-0.0535
COL18A1	-1.13425
PDZD3	0.3689
C9orf16	-0.451833333333333
ERBB2IP	-0.679
EMX2	1.206
FUS	-0.8325
TF	-3.7663
CLCN4	-0.043
CXorf56	1.16325
C11orf72	0.276
ELAC2	-0.886916666666667
NPR1	-1.553
ASS1	0.163166666666667
USP42	0.43575
POLR2J	-1.3705
SEC23IP	0.614
UQCRC1	-0.75375
LOC729603	-0.303
C1orf71	0.808125
POLG	-1.353
ADAM23	-3.7365
TFR2	-0.82425
RICTOR	-0.7044
MGC39606	0.00675
C19orf55	-0.263
SNAPC1	-1.347
GNA11	0.90675
CCDC52	-0.0475
FSIP1	2.353
UPF3A	0.344375
IGSF11	-2.21883333333333
LAGE3	0.48475
CHST6	-1.8515
UNC13B	-0.400875
TTLL4	-0.966375
ZNF687	0.570875
SDC2	-1.2675
COX7A2	0.44125
LAMB4	0.27225
FAM24A	0.4985
LRRTM3	-1.45133333333333
GPHB5	-0.24375
OR4C13	-0.154
EIF3EIP	-0.0207142857142857
HABP4	-0.8605
TMEM125	2.516
CNTN2	0.33525
ASNSD1	0.68625
FUT4	-0.358125
ACF	-4.00625
LOC158381	0.7545
CDH8	0.34175
AGPS	-0.135333333333333
C4orf18	1.39025
PECI	-0.548666666666667
UNG	0.496
GSTP1	0.86525
DCUN1D5	-0.126166666666667
DKFZP564J0863	-0.3935
SLC9A3R1	0.859125
BCDO2	-0.33375
CHMP7	-0.294
REM2	0.1955
DNHD1	-0.542
FKBP4	0.37475
ZNF350	1.8215
MGC11102	0.411375
BST1	1.49
KISS1R	-0.886
NCR2	0.066
DEFB125	0.35
UBE2W	0.330375
KRT15	2.309625
C10orf99	0.1505
SCN11A	-0.200142857142857
GFI1	-1.9625
RDHE2	4.88033333333333
FHL1	-2.53566666666667
OSGEP	-0.02
GATA1	-3.5255
SMC6	0.297
TTTY14	-0.74975
LPIN3	-0.36175
RPL4	-0.3096
RBPMS	-1.0444
PRPF3	1.4485
EMR1	-2.3575
SPATA19	0.08275
XCR1	0.2075
IRX3	1.2545
RBM6	-0.961
KLF4	0.2237
UNC5CL	0.409
SEBOX	0.2955
BTK	-0.914
KRCC1	1.31975
C6orf27	0.0355
SYTL5	0.7
PRND	0.471
LOC653319	-0.491
PIGL	-0.187
HUS1	0.5625
SFRS6	-1.49675
C17orf77	0.54
UIMC1	-0.8475
FXYD2	-2.073
LOC283152	-0.77875
ZNF667	0.3465
ZCCHC12	0.1935
TFEC	2.8081
ATP7B	-0.858
POLD2	-0.785166666666667
RG9MTD1	0.6735
ACOT2	-1.8225
HIST1H4I	-1.389625
PPARGC1A	-1.3892
ETFA	0.83
POLRMT	-1.29625
ZNF146	1.03375
MIA2	-1.3555
KLHL6	0.0461666666666667
HOXB5	-1.357125
NENF	0.0665
CUGBP1	0.673
PRSS22	1.86933333333333
CASC4	0.9142
CUL4B	1.3983
CENPJ	-1.2199
PITX1	-0.205333333333333
FLJ31033	0.355666666666667
CELSR3	0.3175
ZNF568	0.618
ITSN1	-0.1245
EHBP1L1	-1.25233333333333
C19orf2	0.5795
DCTN1	-0.75025
LIN28B	-3.46116666666667
TNKS2	-0.04025
C1QBP	-0.978875
CADPS2	1.656
SRMS	-0.17675
GJA9	0.263
MGC24975	-0.633
TRIM45	0.375333333333333
TSP50	-0.1725
TCP1	0.46875
TMED7	0.6976
CMA1	-0.407
CENPL	-0.156666666666667
PTCRA	-0.258
FST	-3.73475
VWCE	-4.04025
PAWR	0.9925
ABCC12	2.42983333333333
LDLR	0.00230000000000002
ASTN2	-0.438
LOC441212	-0.228375
GPATCH8	0.14375
TANC2	0.63475
KIF4A	-1.65425
C18orf18	-0.45925
PGM1	-0.534
KIAA0258	0.588
CPD	2.34625
SNCAIP	0.969
DCT	-4.37183333333333
HLA-DOA	2.24540909090909
OR11L1	0.6175
UPK1B	-0.558333333333333
DNAJB4	0.2435
UGT1A8	1.068
HIST1H4L	-0.5465
PECR	-0.675333333333333
HSPA2	0.8125
WFIKKN1	-3.1415
SERP1	1.79275
SYDE2	0.815
TACR2	-0.0455
NUP85	0.00875
CD177	-0.546833333333333
LGR5	-1.93883333333333
PIGG	0.32125
PTHR1	-2.21016666666667
RAB5A	0.8521
FLJ13224	-0.173
USP9Y	-2.28583333333333
C7orf53	0.0525
LRP1B	0.80325
XAF1	0.7941
ABCG8	0.2285
ANKDD1A	-0.214333333333333
DAND5	-0.353
SPAG6	3.30983333333333
LINCR	1.537
ZDHHC22	-1.496625
CCDC60	0.9955
THOC7	-0.830833333333333
TCTA	0.5324
OR8K3	0.15125
NY-REN-7	-0.806
B2M	1.2775
C6orf141	0.753875
LPPR4	3.0905
SQLE	-0.42675
SEPHS1	1.56075
BTBD14B	0.361357142857143
PLRG1	0.03
SPG7	-1.4676875
ZNF614	-0.0536666666666667
PARD6G	-0.3115
INPP5B	-0.7626
GRPEL2	0.1615
PPID	0.2412
TRIM56	-1.07025
UBE2J1	1.14475
IL20RA	4.159
LOC387856	-0.23125
C1orf107	-0.437916666666667
UTS2R	-1.60925
C19orf22	-1.216
SAFB2	-0.26525
KIAA0652	-0.80375
KLRG1	-0.136333333333333
MS4A8B	0.1258
FRAG1	-0.46125
KIAA1546	0.8755
E2F4	-0.8643
CLEC4M	0.309666666666667
BTBD14A	1.89675
KIAA0999	1.3618
GYPA	-4.2912
TAC1	-0.5284
TRAIP	-0.986166666666667
KIAA0232	1.3857
ERCC8	-1.041875
GPX4	-0.950375
KIAA0368	-0.90275
GPR157	-0.8315
CTAGE4	-0.118
C9orf30	-0.0881666666666667
OR52A1	0.554
HSP90B3P	0.46
ALG9	-0.2382
BTBD10	0.462
SDK2	0.61925
BAIAP3	-1.3635
RABGGTB	-1.189625
ANKRD40	0.994166666666667
KRT74	0.2675
CALCOCO2	0.280857142857143
SNCA	-3.5555
TMSL8	-0.428875
C2orf53	0.051
ESRRB	-0.394
ARHGAP26	-0.301
TDRD9	-3.346
HRAS	-0.591
KLRC4	-2.063
JAGN1	-0.933
BSDC1	-0.30275
RNF43	-1.0004
NDUFAF1	-0.5595
PHF12	0.32275
OR1L3	0.6835
FOLR2	1.20491666666667
LYZL6	0.3025
tcag7.1260	1.321
WSB1	-0.247166666666667
PROS1	-0.0111
OSTN	0.7275
PSMB8	0.136
SOCS4	-0.111875
DDIT4L	1.482
MAS1	0.0505
MGC34796	0.86825
CSHL1	-0.02
TBCCD1	-0.0241666666666667
ZBTB7C	-0.036
AP2S1	-0.707375
P15RS	1.4663
VAT1	-1.3102
SHANK3	0.6455
TUFM	-1.21366666666667
THEG	0.5425
KRT34	-1.71575
SGSM3	-0.68475
TOMM22	0.16975
SOCS3	0.982333333333333
CPO	1.208
POP4	0.48175
BHLHB3	0.23375
MALL	3.47975
OR1B1	0.217
PARK2	-0.0118333333333333
GPR124	-0.082875
LCE1E	-0.1985
RUVBL2	-1.099
CGRRF1	0.5277
ACPL2	0.677
WNT10B	-2.20675
BAIAP2L2	-0.667375
ISCA1	-0.3645
C1orf125	0.5355
RPAP1	-1.3635
RAI16	-1.1945
RPL27	-0.44775
NLRP9	0.182
EPN1	-0.226
LOC388610	-2.171125
SLC35A1	1.6648
GAL	0.82325
SLC14A2	0.14975
RDH11	-0.833
FAM138F	-0.089
AUH	-0.729
FLJ40243	1.51175
C14orf129	1.29616666666667
MBD2	0.1475
ABHD14B	-1.175375
PIGT	1.137875
ALS2CR4	0.9905
ALAS1	-0.0782
FOXO1	0.515666666666667
CRLF3	0.524
C20orf107	1.226
FARS2	0.405
CCDC28A	0.771
NPHP3	-0.8545
OR13F1	0.6075
TSEN54	-0.1105
DEFB106B	0.7669
OR8B4	0.094
STH	-0.09875
ZC3H14	-0.370375
CBX2	-1.297
TMEM49	-0.09025
C6orf21	0.1945
FLJ20920	-0.8475
CRTAP	-0.656714285714286
DDX50	-0.34675
STYXL1	-0.218
BLVRB	-0.073
LOC147650	-2.585
MMP24	-0.81025
GRID1	1.7515
BANF1	-0.534333333333333
CTAGEP	-0.24875
HMBS	-1.702
SLC25A24	1.2915
C14orf50	-0.7845
MRO	0.7065
SLC25A15	-0.5635
FAM84B	1.5654
TDP1	0.8945
C16orf78	-0.1275
C11orf57	0.398875
RFK	-0.761
ZFYVE9	0.395125
STCH	0.3886
WIBG	0.4175
LOC283871	-0.334666666666667
GBA2	-1.2747
NDUFB3	0.7855
HSD17B13	-0.36025
GRIN3A	3.02683333333333
FMNL1	-1.93633333333333
SEPT7	0.2514
GNLY	3.483
GRAMD1C	0.154833333333333
ZNF165	0.74225
USP38	1.07025
FAM83A	0.6475
C14orf24	1.62941666666667
ARMCX3	1.0325
ARHGDIB	-0.154833333333333
AK1	-0.039
KIAA1045	-0.63425
DNAJB13	0.0286666666666667
NEU2	0.343
HIST1H4B	-0.651333333333333
FAM20B	0.4206
HES2	1.69385714285714
FAM73B	-0.8356
LOC388381	-0.01175
INTS7	0.249
AMPH	1.504
ZNF775	-1.523625
UCKL1	-0.317333333333333
C10orf97	1.084
C1orf161	0.23975
ALDH1L1	-1.72875
FLJ39378	0.193875
SLC23A1	-1.8705
RBM4B	1.013
THAP4	-0.440833333333333
OGFRL1	2.09425
KIAA0831	0.251375
PPP1R15A	0.0641666666666667
C1orf96	1.31257142857143
C12orf11	-1.81025
BMF	-0.444375
MAN1A1	0.909625
KIAA1600	0.285166666666667
NLGN4X	-1.59725
ALOX12	-1.1485
RB1CC1	0.3467
NEIL2	-0.0071
EIF4E	0.292590909090909
ABHD5	0.19375
EXOC4	-0.745833333333333
CIP29	0.00216666666666667
BATF2	0.6705
SLC29A4	-0.33275
HTR4	-0.13275
EMB	0.848
TRAF6	0.80475
LMNB1	-1.8595
FAM19A5	-0.901125
SHE	1.77175
PIK3C2B	1.21525
C15orf15	-0.2741
USP15	-0.3835
TCEAL2	1.0695
C5orf39	-0.928833333333333
PTGER2	-1.8465
SLC31A1	0.1670625
IFT172	1.8225
ADAM29	0.08275
GFOD1	-0.20225
ST7L	0.7325
C15orf26	-2.1755
PKN3	-0.63125
CNTD1	0.354166666666667
COMMD1	0.162
NTRK2	1.288
FOXN3	-0.653625
MFGE8	-1.4496
PFKFB2	0.695833333333333
TAS2R4	-0.3675
ENTHD1	2.90116666666667
PRMT5	-0.951
MGC16384	-0.84575
LOC442229	0.12575
TSKU	-0.494
KRTCAP3	3.394875
PDLIM1	1.3097
KCNS2	0.115
RNF126	-1.30533333333333
CEP63	0.722375
CLIC4	-0.265125
hCG_1990170	1.21625
ACR	0.8218
KLK7	0.42575
ALOX5AP	3.202875
RIPK3	1.74425
TAS2R9	0.277
C19orf18	1.1145
BIRC6	-0.122642857142857
ZNF16	0.919
RFT1	-0.412
SLC8A2	-0.4625
TACC1	-0.071625
ITGAD	0.624
SAMHD1	1.0335
SH3PXD2B	0.4571
EPC2	1.073
C20orf85	0.334625
ATP13A2	-0.3965
KRT4	2.14775
CAPNS1	-0.2655
MDM2	-0.80975
PCDH20	5.54
KCNK9	1.1705
OR2C1	-0.187
KLHDC3	-1.441
IPPK	-0.489
EFHD2	-0.296142857142857
GALR3	-2.08875
NBEA	0.634333333333333
ABCA6	1.4738
CLDN3	-1.27883333333333
AKT2	-0.816428571428571
EGFR	2.2951
RBM16	0.197375
ZDHHC3	0.4017
SLC25A4	-0.909666666666667
CYB5B	-0.173
CPXM1	-0.892
NDRG1	2.32984615384615
FLJ43826	0.4425
OR5L2	0.04
FARP2	-0.5686
MRPL46	-0.551666666666667
LDHAL6B	0.297666666666667
MAPKAPK3	-0.682833333333333
NCAM2	-1.6445
PRKD2	-0.320333333333333
ZFP36L1	1.2596
CYSLTR1	-1.25575
OR4C3	0.279
HIST1H2AJ	1.3685
CCNB2	-0.269888888888889
ZNF10	0.216375
TMEM175	-0.4655
FAM134A	-0.361166666666667
TIGD4	-1.55
PCNP	-0.0155
MGC39715	0.997
LQK1	-1.313
CREB1	1.4343
TMPRSS3	-0.222
C4orf32	1.62675
LAT	-1.85383333333333
KCNA3	-0.038
SKIV2L2	-1.2615
ROPN1B	-0.422
tcag7.23	-0.757
CDT1	-2.95125
ZHX2	1.597875
CD28	-3.6625
ZNF624	0.377
SEPT2	-0.0246666666666667
SOHLH2	-0.66775
MCOLN3	1.871
UNQ1945	0.02
MASP2	-0.908
ZNRF3	0.62
GPATCH3	-1.2705
AGL	0.114625
QRICH2	0.009
PSD4	-0.0303333333333333
CCNB1IP1	-2.44625
ENPP7	0.24375
OBFC1	0.70175
KCNG3	-1.31275
C14orf79	-0.392583333333333
ENPEP	2.6635
SCT	0.625
SKI	-0.273875
SEC61G	1.23125
CAPN11	0.141
ATXN7L3	-0.4725
DBNDD1	-0.724833333333333
FAIM	1.9125
ANKRD36	0.8015
GABRP	0.840333333333333
TACSTD2	1.32133333333333
EIF3J	-0.2375
PPP2R2A	-0.5005
TEKT4	-1.381
PVALB	-3.56333333333333
F10	-3.29033333333333
FAM134C	0.2448
COMP	2.398375
EFCBP1	-3.50375
SCLT1	0.814
TAL1	-1.371
ACSL1	0.84175
ABCC5	-0.0679166666666667
ABL1	-0.480944444444444
RBBP7	0.768583333333333
PTPRG	0.236125
NCOR1	-0.0691
SPINK4	1.15966666666667
TXNRD1	0.7485
TNRC15	0.024875
C9orf138	0.49125
UBE2H	1.42
BRDT	-0.127666666666667
C8orf31	-0.316
CCNE2	0.255818181818182
SLC6A8	-0.983375
CALCR	-4.843
PPP1CB	0.788833333333333
ABHD8	-0.846
ARF5	-0.6125
SLC24A4	0.55
CCT3	0.18875
ZNF121	1.388625
SLC3A2	-1.3337
OR13A1	0.0255
SLC5A10	-0.49275
RAD50	-0.448
IER5	-0.407
MTHFD1L	-1.7395
MBTPS2	0.607
MVK	-0.22325
NCL	0.7208
PSMD10	0.1425
MOBP	0.033625
FLJ32894	0.184
HRH1	1.1035
C5orf30	0.42725
NUDT16L1	-0.3054
RASGRP3	3.6675
PRKRIP1	-1.1311
CCDC75	-0.02375
LOC253970	0.0005
KIAA1239	2.6355
MED21	0.84225
SYT11	0.03875
NTSR2	-0.3
EGFL11	0.795
CXorf59	0.0875
OR2A25	0.299
SPTBN2	0.01225
LRMP	-1.3855
RNF111	0.42025
PTH	0.00649999999999999
LOC619208	1.22983333333333
KIAA0895	1.7115
RANBP5	-0.3585
P2RY10	0.767333333333334
NME5	3.713
DDX21	-0.01025
LRSAM1	-0.3125
HDAC11	-0.256166666666667
VMO1	1.82025
NOLA2	-1.04366666666667
ADAR	1.36266666666667
MTO1	0.265166666666667
SF4	-0.4995
P2RX1	0.016
HBM	-0.00525
EN2	-1.5595
C14orf172	0.00349999999999999
TM9SF2	1.3615
INHBE	-0.387
TCTE3	0.322333333333333
TOX2	-3.6135
CTAGE3	-0.194
HBB	3.222
MED15	-1.05716666666667
CASR	0.244
C6orf66	0.536333333333333
MTPN	-0.475625
UNC50	0.72325
C21orf33	0.02275
IRF2	0.760875
PGR	-2.412
GPR84	2.21725
CROCCL1	-3.16375
SRPX	-0.78625
BRE	0.079
FGF10	0.47425
SDC3	-0.907833333333333
ZRSR1	0.0245
DKFZP434P211	-0.49375
SOX6	0.906
RPUSD2	-0.42175
C14orf173	-0.31175
MAPK11	-0.0281666666666666
TBC1D22A	0.2215
FAM123A	-0.779
COL4A6	-0.7075
TOMM70A	1.66875
NAB1	1.19775
MGC16385	-0.667375
TSPAN18	-0.897333333333333
MED31	-0.73075
PLG	-0.12775
CAPSL	1.617
ZNF532	1.6799
ASB14	-0.35725
CA8	1.56725
NUDT16P	1.807
SLFN11	0.618
LRRIQ2	0.591875
NOL7	-0.6585
BRMS1L	0.564875
JARID1A	0.422666666666667
PANK2	-1.23325
ICAM3	-0.221
MDS1	-0.537
TAF8	-1.02425
RNF139	0.73675
ZNF594	0.0258333333333333
ADAM8	1.795125
SFTPC	-0.371
MAN2B2	0.598875
RGS12	0.2001875
EIF1AY	-4.42908333333333
LRRIQ1	2.2685
GPR150	-2.815
CCDC21	-1.2165
PRRG3	0.03125
SAA4	-0.49925
RAPGEF5	1.60325
ZCCHC2	0.619666666666667
MGC39372	1.057
PPP4R2	1.622
CDCA2	-0.775
OR4D5	0.177333333333333
PTGFRN	2.5537
SIGLEC5	2.15166666666667
C19orf61	-0.837833333333333
NMUR2	0.23
KIAA1586	0.102
DAGLA	-1.96766666666667
CHCHD6	-1.35875
GPR32	0.67
NEUROD6	0.0982
SLC2A4RG	-0.352875
CA5B	0.1765
FBXL3	1.42975
MPHOSPH9	-0.283
HMG2L1	0.8305
HCN4	-1.958
CEACAM19	1.35325
SH2D4B	0.4805
HFE2	-0.7435
TGM4	-0.065
LYPD2	-0.193
TBC1D15	0.032
MRPS21	-1.1375
NONO	-0.7733
CLEC5A	2.9835
ITCH	0.3046
MGAT3	-1.51883333333333
MBP	0.17125
RPP25	-0.023
SOSTDC1	-2.595
HRC	-2.23275
TRIM48	-0.1155
TMEM133	0.16875
ECEL1P2	-1.2435
HOXC11	0.067
DOK5	-1.267
HELZ	-0.1005
LOC348180	-1.3985
MGC33894	0.1645
ADRB3	0.072
DMD	-0.210666666666667
PTRH2	0.594
MPEG1	2.0035
NDUFA12	0.534666666666667
KRTAP2-4	-0.142083333333333
STAMBPL1	-1.01866666666667
ADCY2	0.810333333333333
UNQ6125	0.0705
KLHL20	0.4845
SRM	-1.575
OTC	-0.01225
TMIE	0.00116666666666667
SNX8	-0.086
LIPK	1.881
CHURC1	-1.11758333333333
KLC2	0.0918333333333333
HDAC1	-0.822833333333333
FAM128A	-0.0485
FNDC3B	2.0765
MTCP1	0.0596666666666666
WFDC10B	0.7609
PCDHGB3	1.383
ATRNL1	-2.3226
CAV2	0.5975
MED26	0.273666666666667
DUS1L	0.04125
CHRM3	-1.89275
NEK9	-0.38275
WARS2	0.72675
TBX22	0.112
TOMM40	-0.75825
RP6-213H19.1	0.923666666666667
TUBGCP5	-0.58825
IGSF6	4.605
TPPP	1.00566666666667
UNQ6190	0.133
GSTM5	-0.252
BTD	-0.262333333333333
PDCD1LG2	0.917166666666667
SNRPB2	0.281833333333333
ERICH1	-0.805625
APOA4	-1.633125
HOXA11	-0.24025
NARG1	-0.39
MKX	1.05725
RAB28	0.758285714285714
PKP3	1.88725
SH3GL2	-2.766
CTSO	2.7175
RPN2	1.171375
IL28RA	-0.603833333333333
SFMBT1	-0.863
WDR57	-2.72175
FER1L3	0.689916666666667
HSF5	0.2856
TTC9B	0.906
C4BPA	-2.015
ALB	-5.18007142857143
SORBS3	-0.275375
UPF2	1.8555
JPH1	-0.3655
AGBL2	-1.54275
DOPEY1	2.164
TERF1	0.393083333333333
KIF22	-0.905833333333333
NINJ1	-1.33675
SEC61A2	1.80525
HIST1H1D	-1.86533333333333
SFXN4	-0.673125
UCP3	0.4687
ZNF703	0.155166666666667
MYL6B	-1.3445
TREM1	3.4635
OR52E6	0.7415
CKMT2	-0.10325
HLA-C	1.312375
SLC13A3	-1.815
TIMP4	-0.81875
SLIT2	1.0835
RSF1	0.807166666666667
LONRF1	0.478
MON1A	-0.445166666666667
CACNG6	-3.0095
DPPA4	-6.03183333333333
ZSWIM3	0.743
ZNF804A	0.447
CCIN	1.153
SLC25A31	0.69625
KCNMB4	1.26425
RABL5	-0.142
GALNS	-0.719
STX6	0.5225
HIST1H1C	-2.976
CIDEB	-0.532875
CASP4	1.04583333333333
PDK3	-0.316
KCNJ11	-0.0505
TPR	0.653625
ZSCAN20	-0.738
MTX2	-0.03675
HIST1H2BH	-0.52
LOC283767	-0.369
LYRM7	-1.41422222222222
BRD3	-0.178666666666667
HIST1H2BO	-1.593
MAGEB10	0.3765
SLC45A1	-0.28
SERPINA3	2.18605
KIAA0143	2.17225
KCNJ16	-0.1568
KRT79	0.50125
FABP2	-0.96625
NUT	-0.8275
ZNF57	1.7295
FBXL4	0.707625
CLEC9A	0.1875
UGT8	1.67233333333333
BMP2K	1.0105
MAPK4	-2.30775
SLC25A23	-1.1348
HINT1	0.0802
KRTAP13-1	1.096
SFXN5	-0.4599
CHCHD2	0.966083333333333
FAM3D	0.2175
NDP	-0.314375
RHOBTB1	0.792
SLC4A4	-1.56225
RPL38	0.87125
HTF9C	-1.7395
AP2A2	-0.62325
ZBTB46	0.4505
MAP7D1	-0.802875
AOX1	-1.56666666666667
CYR61	0.225916666666667
DTNA	1.26992857142857
JRKL	0.981
TMOD3	1.11525
EEA1	0.9209
ADCK5	-0.279
IL1R1	0.664666666666667
KLK3	-0.354214285714286
HRSP12	0.10475
KTN1	0.60375
LOH11CR2A	1.7162
RELL2	-1.539
MAB21L1	0.8875
C20orf59	-0.666666666666667
PHKB	0.865
ADAM2	-2.005
TBC1D8B	1.431
FAM13A1	-1.0113125
LAPTM4B	0.693583333333333
LCN8	-0.1675
TMEM147	0.9605
SYT4	0.00149999999999998
XPO7	-0.1185
C9orf62	-2.98125
GPR75	-0.541
TRIM5	0.107875
APOC1	-0.0633333333333333
RNASE4	0.5005
PARD6B	-2.956875
ARID1A	-0.74675
TPD52L3	0.12
RRAGB	1.52033333333333
RCN2	0.0678333333333333
HIST2H2BE	-1.104
STARD7	-0.41125
SHMT2	-0.24325
KIAA1751	0.112333333333333
MLYCD	-0.063375
LOC162632	-0.2634
UQCRH	-0.1165
RP11-217H1.1	1.2703125
SDHA	-0.945833333333333
NCLN	0.5236
ZNF17	0.541166666666667
RCBTB2	-1.557
VEGFB	-1.0675
RP4-747L4.3	0.389
COLQ	-0.0274
MPN2	-1.11416666666667
DRG2	-1.29675
KLRB1	3.91825
ALPK2	-1.11975
DNASE2B	2.799
FLJ23834	-0.651666666666667
AXUD1	0.298333333333333
SAFB	0.1053
NSUN4	-0.17875
RFX2	-0.933333333333333
MAPK8IP1	-0.742
FANCD2	-0.649928571428571
ANKZF1	-1.8835
C19orf50	-0.620875
DUSP8	-0.023625
SENP5	0.804
NFKBIL2	-0.10775
LBR	0.107875
IGFL1	1.4555
LZTS2	0.21125
IL2RG	-0.581125
CCDC51	-0.28375
KLF3	0.11425
ANKRD37	-0.03225
KCTD14	-1.988
FZR1	0.977833333333333
SLC44A4	1.7786
ESPL1	-0.35925
GMPR2	-0.7458
TBC1D19	-0.1605
ERGIC1	-0.699407407407408
ERBB4	0.8252
TSPAN32	0.436416666666667
MAP4	-0.429125
GPHN	-0.306
SLC6A2	0.968875
HIVEP1	1.16275
DFFB	-0.0624
EIF4EBP2	0.07875
DMRT1	-0.5085
HSPB6	0.03125
IER2	1.32383333333333
AIFM1	0.81825
WWC2	0.348833333333333
MRPL4	0.017
FLJ21062	-0.3545
EPB41L4A	0.72975
SH2D6	0.297
TAF4B	0.13275
GAL3ST3	-0.1345
MALT1	0.754833333333333
RTDR1	-0.97525
ARVCF	-0.786875
MEX3B	1.247
FBXO16	1.8685
KIF7	-2.2185
C1QC	3.8635
ZNF783	-0.819166666666667
ZNF85	0.57825
MMP13	5.615
KIAA0329	0.5595
RTP3	-0.698
ZBED3	-1.13875
CLGN	0.51075
SLC25A37	-1.049125
hCG_18290	-0.58925
OR5AS1	0.394
SMARCC2	-0.651333333333333
FAM109A	-0.1375
CCDC12	-1.1795
USF2	0.0829
DEPDC7	-1.58025
C20orf24	0.0461666666666667
JMJD3	0.24
DSP	1.80192857142857
SLIC1	0.169875
FAM20A	0.48875
IRF2BP2	1.50675
ZNF230	0.7695
MSN	-0.0656428571428571
SLC9A5	-0.7455
EPDR1	-2.5767
MUSK	0.2325
ZNF434	-0.207333333333333
SMARCD1	-0.351333333333333
ZFP106	-0.498
ZNF347	0.8921
GTF2E1	0.08375
RY1	0.141
ATAD2B	0.9175
