Hybridization REF	TCGA-A8-A09C-01A-11R-A00Z-07
PLEKHG4	-2.96675
GRB2	-0.6249
HIST1H2AD	1.11575
DUS3L	-0.258666666666667
EIF1	-0.730666666666667
RP5-1077B9.4	-1.148
FPGT	0.88875
GDF10	0.0886666666666667
COQ9	0.018
GCC2	0.0757142857142857
RARRES3	2.620125
PLXNA1	-0.6681
KIAA0100	1.3386
PMF1	0.34425
FNDC1	5.48975
HS2ST1	-0.971916666666667
CRELD2	0.0545
C8G	-1.624
CD82	0.9225
LIM2	-1.7095
UNQ6490	-1.095
MMP16	-1.007
DRD3	0.48
C5orf26	-0.31725
C11orf73	1.707
PTP4A2	0.97025
OR4M2	-0.213
HPCA	-1.37166666666667
SEC14L1	-0.591666666666667
CHFR	-0.189
EMILIN1	0.345625
NDUFS4	1.20825
COL18A1	-0.56175
PDZD3	0.0355
C9orf16	-0.186666666666667
ERBB2IP	0.116
EMX2	3.61825
FUS	-0.47525
TF	-3.58
CLCN4	-2.1532
CXorf56	0.158
C11orf72	-0.1485
ELAC2	-0.298333333333333
NPR1	-1.0395
ASS1	-2.94483333333333
USP42	0.032
POLR2J	-0.852
SEC23IP	0.9495
UQCRC1	0.13075
LOC729603	-1.21225
C1orf71	0.774875
POLG	-2.246
ADAM23	-3.14525
TFR2	-1.163
RICTOR	0.7033
MGC39606	-0.2955
C19orf55	0.00762500000000001
SNAPC1	-0.446833333333333
GNA11	0.247625
CCDC52	0.0833333333333333
FSIP1	4.927
UPF3A	-0.041125
IGSF11	-2.62966666666667
LAGE3	-0.64675
CHST6	-1.024
UNC13B	0.504875
TTLL4	-1.26125
ZNF687	0.583
SDC2	0.9249
COX7A2	-0.3985
LAMB4	-0.62975
FAM24A	-0.198
LRRTM3	-0.719333333333333
GPHB5	0.56
OR4C13	-1.432
EIF3EIP	0.148285714285714
HABP4	-1.046
TMEM125	3.42225
CNTN2	0.604625
ASNSD1	-0.40975
FUT4	0.94
ACF	-4.676
LOC158381	-0.022
CDH8	-0.862
AGPS	-2.7115
C4orf18	3.40825
PECI	0.510083333333333
UNG	-0.395625
GSTP1	-2.565375
DCUN1D5	-0.937666666666667
DKFZP564J0863	0.29675
SLC9A3R1	0.94875
BCDO2	-0.6575
CHMP7	-0.033375
REM2	-0.612
DNHD1	-0.306333333333333
FKBP4	0.882875
ZNF350	2.0465
MGC11102	0.520375
BST1	0.835
KISS1R	0.4045
NCR2	-0.3185
DEFB125	0.946
UBE2W	1.193875
KRT15	-0.8505
C10orf99	0.108
SCN11A	0.310428571428571
GFI1	-3.24175
RDHE2	3.417
FHL1	-0.7975
OSGEP	0.336333333333333
GATA1	-3.22416666666667
SMC6	-0.7395
TTTY14	-1.2045
LPIN3	0.35025
RPL4	-0.234
RBPMS	1.2259
PRPF3	0.758
EMR1	-2.956
SPATA19	-0.25425
XCR1	-0.042
IRX3	2.1901
RBM6	-0.0615
KLF4	-1.712
UNC5CL	0.0285
SEBOX	0.689
BTK	-1.5525
KRCC1	0.8225
C6orf27	-0.0215
SYTL5	-0.619
PRND	2.961375
LOC653319	-0.977
PIGL	-0.395375
HUS1	0.0465
SFRS6	1.25616666666667
C17orf77	0.3185
UIMC1	-0.136333333333333
FXYD2	-2.2326
LOC283152	2.0875
ZNF667	0.1465
ZCCHC12	-1.478
TFEC	1.2462
ATP7B	0.494833333333333
POLD2	-0.596
RG9MTD1	0.06025
ACOT2	-0.0233333333333333
HIST1H4I	-0.850875
PPARGC1A	-3.197
ETFA	-1.9208
POLRMT	-0.49525
ZNF146	0.174625
MIA2	-0.4185
KLHL6	-2.0245
HOXB5	1.366
NENF	1.13933333333333
CUGBP1	0.25125
PRSS22	1.97833333333333
CASC4	1.0137
CUL4B	-0.2981
CENPJ	-0.7907
PITX1	1.55983333333333
FLJ31033	0.666833333333333
CELSR3	-0.736333333333333
ZNF568	0.668
ITSN1	0.310166666666667
EHBP1L1	-0.815333333333333
C19orf2	0.2395
DCTN1	-0.2585
LIN28B	-2.80833333333333
TNKS2	-0.6325
C1QBP	-0.51675
CADPS2	1.1115
SRMS	0.346
GJA9	0.271
MGC24975	-0.947
TRIM45	1.6125
TSP50	-0.37175
TCP1	-1.51025
TMED7	-0.3868
CMA1	0.371
CENPL	-0.498166666666667
PTCRA	-0.3265
FST	-2.1335
VWCE	-3.7815
PAWR	1.14175
ABCC12	1.7476
LDLR	-1.0846
ASTN2	0.8665
LOC441212	-1.3395
GPATCH8	0.31975
TANC2	-0.600916666666667
KIF4A	-2.42575
C18orf18	-1.28825
PGM1	-2.0805
KIAA0258	0.5335
CPD	1.3945
SNCAIP	-1.992
DCT	-3.904
HLA-DOA	2.27068181818182
OR11L1	0.7655
UPK1B	-0.393
DNAJB4	-1.1695
UGT1A8	-0.839666666666667
HIST1H4L	-0.665
PECR	-1.07666666666667
HSPA2	-0.32225
WFIKKN1	-1.045
SERP1	0.05
SYDE2	1.8165
TACR2	0.625
NUP85	-0.79775
CD177	0.3775
LGR5	-2.37966666666667
PIGG	-0.09125
PTHR1	-0.99
RAB5A	0.0672
FLJ13224	-1.7105
USP9Y	-2.094
C7orf53	-0.3425
LRP1B	-1.01425
XAF1	0.9861
ABCG8	-0.475
ANKDD1A	-1.33133333333333
DAND5	-1.224
SPAG6	-0.1765
LINCR	-1.06175
ZDHHC22	-0.82825
CCDC60	0.667
THOC7	-0.887166666666667
TCTA	1.1022
OR8K3	0.413
NY-REN-7	-2.42
B2M	-0.263
C6orf141	-2.89175
LPPR4	0.95075
SQLE	-0.463375
SEPHS1	-0.33125
BTBD14B	0.343071428571429
PLRG1	-0.63025
SPG7	-0.00943750000000001
ZNF614	0.085
PARD6G	0.199666666666667
INPP5B	-0.724
GRPEL2	0.008875
PPID	-0.7542
TRIM56	-0.208
UBE2J1	-0.321
IL20RA	3.9265
LOC387856	0.0746666666666667
C1orf107	0.965666666666666
UTS2R	0.395
C19orf22	-0.29675
SAFB2	0.18725
KIAA0652	-0.284125
KLRG1	-0.751833333333333
MS4A8B	3.1205
FRAG1	0.4645
KIAA1546	0.722
E2F4	-1.0938
CLEC4M	0.108333333333333
BTBD14A	-1.10975
KIAA0999	0.8669
GYPA	-3.95566666666667
TAC1	-0.205444444444444
TRAIP	-1.0645
KIAA0232	0.5925
ERCC8	-0.15675
GPX4	-0.10875
KIAA0368	-0.592
GPR157	-0.404333333333333
CTAGE4	0.9095
C9orf30	-1.1165
OR52A1	-0.8375
HSP90B3P	-0.4695
ALG9	-0.5837
BTBD10	0.01925
SDK2	-0.49175
BAIAP3	0.7005
RABGGTB	-1.2625
ANKRD40	0.0498333333333333
KRT74	0.604
CALCOCO2	2.18178571428571
SNCA	-3.1635
TMSL8	-5.190875
C2orf53	1.3605
ESRRB	-1.108
ARHGAP26	-1.539375
TDRD9	-2.4205
HRAS	-0.059
KLRC4	-2.8775
JAGN1	-0.135
BSDC1	-0.029
RNF43	-0.5299
NDUFAF1	-0.381
PHF12	0.9105
OR1L3	0.00149999999999998
FOLR2	1.85875
LYZL6	0.0228
tcag7.1260	-2.578
WSB1	-1.28916666666667
PROS1	-1.9655
OSTN	0.3965
PSMB8	0.36075
SOCS4	-0.511875
DDIT4L	0.531
MAS1	-0.381
MGC34796	1.1325
CSHL1	-1.159
TBCCD1	0.0353333333333333
ZBTB7C	-0.275
AP2S1	-0.52225
P15RS	-0.1634
VAT1	-1.319
SHANK3	0.423666666666667
TUFM	-0.3525
THEG	-1.00625
KRT34	-2.65625
SGSM3	-0.25475
TOMM22	-0.16925
SOCS3	0.564333333333333
CPO	0.944
POP4	0.3135
BHLHB3	3.28775
MALL	0.103
OR1B1	-0.45
PARK2	0.24
GPR124	0.268375
LCE1E	0.649
RUVBL2	-0.11625
CGRRF1	0.463
ACPL2	0.546
WNT10B	-2.386375
BAIAP2L2	-1.516125
ISCA1	-0.1845
C1orf125	0.840375
RPAP1	-0.871
RAI16	-0.588
RPL27	-0.16875
NLRP9	0.999
EPN1	0.446
LOC388610	-1.488375
SLC35A1	1.1781
GAL	-3.631
SLC14A2	0.1065
RDH11	-0.1755
FAM138F	0.2345
AUH	-0.14425
FLJ40243	0.644666666666667
C14orf129	0.393666666666667
MBD2	-0.919
ABHD14B	-0.0975
PIGT	0.35125
ALS2CR4	-0.898125
ALAS1	-0.8326
FOXO1	1.2965
CRLF3	0.288125
C20orf107	-1.973
FARS2	1.1915
CCDC28A	-0.27725
NPHP3	-0.29025
OR13F1	-0.433
TSEN54	-0.07725
DEFB106B	0.06275
OR8B4	-0.0195
STH	2.67475
ZC3H14	0.059
CBX2	0.3725
TMEM49	-1.25
C6orf21	0.753
FLJ20920	0.098125
CRTAP	-0.237071428571429
DDX50	-0.09125
STYXL1	0.272
BLVRB	0.656833333333333
LOC147650	-0.575833333333333
MMP24	0.076
GRID1	1.26816666666667
BANF1	-0.514666666666667
CTAGEP	0.51425
HMBS	-2.077
SLC25A24	-0.115
C14orf50	0.0155
MRO	0.430333333333333
SLC25A15	-0.1485
FAM84B	1.2503
TDP1	0.7065
C16orf78	-0.984166666666667
C11orf57	0.374
RFK	-1.324375
ZFYVE9	-0.3885
STCH	-1.3152
WIBG	0.9165
LOC283871	-1.64133333333333
GBA2	-0.8313
NDUFB3	-0.28325
HSD17B13	-0.8145
GRIN3A	0.048
FMNL1	-1.6135
SEPT7	-0.5725
GNLY	1.4375
GRAMD1C	1.6455
ZNF165	0.853
USP38	0.0055
FAM83A	-3.444
C14orf24	0.43
ARMCX3	-0.11725
ARHGDIB	0.359
AK1	-0.358125
KIAA1045	-0.74425
DNAJB13	-0.503
NEU2	1.043
HIST1H4B	-0.394333333333333
FAM20B	0.1097
HES2	-0.747769230769231
FAM73B	-0.0625
LOC388381	-0.985
INTS7	-0.219181818181818
AMPH	0.351
ZNF775	-0.289125
UCKL1	-0.343
C10orf97	0.35075
C1orf161	-0.9935
ALDH1L1	-0.4505
FLJ39378	-0.44525
SLC23A1	-2.336
RBM4B	0.0635
THAP4	0.270333333333333
OGFRL1	0.988
KIAA0831	0.845625
PPP1R15A	-0.733666666666667
C1orf96	-0.0883571428571428
C12orf11	-1.16
BMF	1.183875
MAN1A1	-1.8075
KIAA1600	0.601333333333333
NLGN4X	-1.169
ALOX12	-1.49966666666667
RB1CC1	0.3765
NEIL2	1.5598
EIF4E	-0.726
ABHD5	0.22875
EXOC4	-0.433
CIP29	0.358
BATF2	-0.584
SLC29A4	-0.914375
HTR4	0.201666666666667
EMB	-0.10775
TRAF6	0.51025
LMNB1	-0.7685
FAM19A5	-0.206
SHE	1.407
PIK3C2B	0.77275
C15orf15	-0.9141
USP15	0.245
TCEAL2	-0.7965
C5orf39	-1.065
PTGER2	-1.84725
SLC31A1	-0.5251875
IFT172	0.40775
ADAM29	0.149
GFOD1	0.60825
ST7L	0.4595
C15orf26	-2.76575
PKN3	-1.445
CNTD1	3.92783333333333
COMMD1	0.43325
NTRK2	2.62890909090909
FOXN3	0.05775
MFGE8	-1.2902
PFKFB2	1.2685
TAS2R4	-0.0996666666666667
ENTHD1	-0.518833333333333
PRMT5	-0.3235
MGC16384	0.236125
LOC442229	-1.5095
TSKU	-0.422625
KRTCAP3	3.0385
PDLIM1	0.6689
KCNS2	-0.481333333333333
RNF126	-0.9505
CEP63	0.636625
CLIC4	-1.162
hCG_1990170	-1.11875
ACR	-0.0049
KLK7	-0.304
ALOX5AP	2.9965
RIPK3	4.63375
TAS2R9	0.5665
C19orf18	1.001
BIRC6	0.0862142857142857
ZNF16	1.304
RFT1	0.1365
SLC8A2	-1.39025
TACC1	-0.09725
ITGAD	0.9795
SAMHD1	0.23125
SH3PXD2B	1.0068
EPC2	0.71725
C20orf85	6.143375
ATP13A2	0.0221666666666667
KRT4	0.754125
CAPNS1	-0.05075
MDM2	0.194833333333333
PCDH20	3.12675
KCNK9	-0.039
OR2C1	-1.558
KLHDC3	-0.734
IPPK	0.14
EFHD2	-0.352875
GALR3	0.7845
NBEA	2.07766666666667
ABCA6	2.1713
CLDN3	1.16616666666667
AKT2	-0.342285714285714
EGFR	-2.603
RBM16	0.06325
ZDHHC3	0.3213
SLC25A4	-0.0256666666666667
CYB5B	-0.8645
CPXM1	-0.3965
NDRG1	-1.83076923076923
FLJ43826	-0.869
OR5L2	0.5598
FARP2	0.0104
MRPL46	-0.885666666666667
LDHAL6B	0.473833333333333
MAPKAPK3	-0.152666666666667
NCAM2	-0.50475
PRKD2	-0.0301666666666667
ZFP36L1	0.7815
CYSLTR1	-1.66375
OR4C3	0.225
HIST1H2AJ	2.3615
CCNB2	-2.43333333333333
ZNF10	0.16125
TMEM175	0.058
FAM134A	0.819
TIGD4	-0.2895
PCNP	-0.6585
MGC39715	-0.00975000000000001
LQK1	-0.76925
CREB1	0.2823
TMPRSS3	0.10525
C4orf32	1.274625
LAT	-2.0105
KCNA3	-0.8185
SKIV2L2	-0.16225
ROPN1B	-1.064
tcag7.23	0.4885
CDT1	-1.89125
ZHX2	1.53975
CD28	-3.64825
ZNF624	0.6485
SEPT2	0.631416666666667
SOHLH2	-1.7415
MCOLN3	-1.700625
UNQ1945	0.101
MASP2	-1.3105
ZNRF3	0.0265
GPATCH3	-0.43675
AGL	0.77525
QRICH2	-2.0605
PSD4	1.22683333333333
CCNB1IP1	-0.958
ENPP7	-0.4155
OBFC1	0.76625
KCNG3	-3.3515
C14orf79	1.18533333333333
ENPEP	0.582
SCT	1.843
SKI	0.462875
SEC61G	-0.596
CAPN11	-0.13625
ATXN7L3	-0.66
DBNDD1	-0.188166666666667
FAIM	0.103
ANKRD36	0.603
GABRP	-0.466
TACSTD2	1.98666666666667
EIF3J	-0.99075
PPP2R2A	0.34725
TEKT4	0.929666666666667
PVALB	-3.98616666666667
F10	-2.932
FAM134C	-0.0721
COMP	4.718625
EFCBP1	-3.2733125
SCLT1	0.369625
TAL1	-1.4048
ACSL1	0.07575
ABCC5	0.554083333333333
ABL1	-0.565666666666667
RBBP7	-0.197666666666667
PTPRG	0.488
NCOR1	0.1737
SPINK4	-1.7298
TXNRD1	-0.7129
TNRC15	1.167125
C9orf138	-0.0617142857142857
UBE2H	0.871833333333333
BRDT	0.2238
C8orf31	-0.381
CCNE2	-0.765636363636364
SLC6A8	-1.850625
CALCR	-4.1975
PPP1CB	0.0746666666666667
ABHD8	-0.4545
ARF5	0.04
SLC24A4	0.33625
CCT3	0.261
ZNF121	0.336125
SLC3A2	-1.2478
OR13A1	0.576
SLC5A10	-0.5505
RAD50	0.64275
IER5	-0.55025
MTHFD1L	-2.179625
MBTPS2	0.634666666666667
MVK	-0.763375
NCL	-0.1215
PSMD10	-0.85025
MOBP	0.1835
FLJ32894	0.6865
HRH1	-1.377
C5orf30	1.527
NUDT16L1	0.9096
RASGRP3	2.79966666666667
PRKRIP1	0.1642
CCDC75	0.40825
LOC253970	0.8805
KIAA1239	0.913
MED21	0.32675
SYT11	-0.503166666666667
NTSR2	-0.797
EGFL11	-1.079
CXorf59	-0.0505
OR2A25	0.245
SPTBN2	0.08575
LRMP	-1.804
RNF111	-0.11475
PTH	-2.214
LOC619208	0.042
KIAA0895	-0.598
RANBP5	-0.13325
P2RY10	-0.935
NME5	4.0565
DDX21	-0.83225
LRSAM1	-0.1895
HDAC11	0.817833333333333
VMO1	1.16475
NOLA2	0.111166666666667
ADAR	0.403166666666667
MTO1	-0.983333333333333
SF4	0.5015
P2RX1	-0.790833333333333
HBM	-0.00125000000000001
EN2	0.6765
C14orf172	0.6085
TM9SF2	1.1037
INHBE	-2.20183333333333
TCTE3	-0.088
TOX2	-3.50725
CTAGE3	0.240625
HBB	2.8283
MED15	-0.786333333333333
CASR	0.29075
C6orf66	-1.24733333333333
MTPN	-0.1085
UNC50	-0.1895
C21orf33	0.177
IRF2	0.809625
PGR	4.036
GPR84	1.95325
CROCCL1	-2.129
SRPX	-1.65125
BRE	-0.073
FGF10	0.7475
SDC3	-1.31616666666667
ZRSR1	-0.0615
DKFZP434P211	0.473
SOX6	-0.599
RPUSD2	-0.16225
C14orf173	-0.526916666666667
MAPK11	-0.5355
TBC1D22A	0.2295
FAM123A	-2.244
COL4A6	-3.5505
TOMM70A	-0.05675
NAB1	-0.904
MGC16385	0.308
TSPAN18	0.31
MED31	-0.4995
PLG	-0.957666666666667
CAPSL	5.7715
ZNF532	1.1898
ASB14	0.43025
CA8	1.2275
NUDT16P	3.08033333333333
SLFN11	-1.558
LRRIQ2	0.129375
NOL7	-0.0426666666666667
BRMS1L	-0.139375
JARID1A	0.819833333333333
PANK2	-0.46375
ICAM3	-0.19025
MDS1	-1.003
TAF8	-0.41075
RNF139	1.03275
ZNF594	0.1845
ADAM8	1.05075
SFTPC	-0.294
MAN2B2	0.354875
RGS12	0.492125
EIF1AY	-5.16690909090909
LRRIQ1	1.20616666666667
GPR150	0.58875
CCDC21	-1.63616666666667
PRRG3	-0.046
SAA4	-3.63575
RAPGEF5	0.0115
ZCCHC2	0.6565
MGC39372	-1.2925
PPP4R2	0.347333333333333
CDCA2	-0.966666666666667
OR4D5	0.106
PTGFRN	1.1556
SIGLEC5	0.810833333333333
C19orf61	-0.545
NMUR2	0.4505
KIAA1586	-0.156166666666667
DAGLA	-0.938166666666667
CHCHD6	-0.68375
GPR32	-0.1425
NEUROD6	-0.191333333333333
SLC2A4RG	0.3750625
CA5B	0.139
FBXL3	1.25625
MPHOSPH9	-0.28325
HMG2L1	0.0165
HCN4	0.3098
CEACAM19	0.992
SH2D4B	0.0598
HFE2	-1.197
TGM4	0.8894
LYPD2	0.1535
TBC1D15	0.20525
MRPS21	0.6011
NONO	-1.0844
CLEC5A	2.266
ITCH	0.0316
MGAT3	-1.31866666666667
MBP	-1.416625
RPP25	-1.80975
SOSTDC1	-3.622
HRC	-1.63625
TRIM48	1.063
TMEM133	-0.88325
ECEL1P2	-1.28375
HOXC11	1.5185
DOK5	-1.47575
HELZ	0.786833333333333
LOC348180	-0.56425
MGC33894	0.085
ADRB3	0.4325
DMD	-0.1315
PTRH2	-0.24525
MPEG1	2.58183333333333
NDUFA12	0.2175
KRTAP2-4	0.115181818181818
STAMBPL1	-1.43366666666667
ADCY2	1.5276
UNQ6125	0.7705
KLHL20	0.796333333333333
SRM	-1.034
OTC	-0.735333333333333
TMIE	0.404833333333333
SNX8	0.792
LIPK	-0.269
CHURC1	-0.13825
KLC2	0.210833333333333
HDAC1	-1.16866666666667
FAM128A	0.2515
FNDC3B	-1.1603
MTCP1	-0.596333333333333
WFDC10B	-0.489
PCDHGB3	0.865
ATRNL1	-1.43957142857143
CAV2	-1.272
MED26	0.214333333333333
DUS1L	0.25125
CHRM3	-1.49025
NEK9	0.0925
WARS2	-0.384
TBX22	0.3995
TOMM40	-0.76625
RP6-213H19.1	0.133
TUBGCP5	-0.36025
IGSF6	4.684
TPPP	-0.2194
UNQ6190	null
GSTM5	-0.00625000000000001
BTD	1.043
PDCD1LG2	-0.46
SNRPB2	0.177166666666667
ERICH1	0.80775
APOA4	-1.462375
HOXA11	-2.30725
NARG1	-0.631125
MKX	-0.4545
RAB28	-0.588428571428571
PKP3	1.0105
SH3GL2	-2.72175
CTSO	2.2765
RPN2	0.336
IL28RA	-0.36
SFMBT1	0.665
WDR57	-0.80775
FER1L3	1.11516666666667
HSF5	0.9558
TTC9B	0.56275
C4BPA	-3.2645
ALB	-4.24908333333333
SORBS3	0.1225
UPF2	0.26
JPH1	0.7575
AGBL2	0.572
DOPEY1	0.296
TERF1	0.0945833333333333
KIF22	-0.2415
NINJ1	1.504
SEC61A2	0.1015
HIST1H1D	0.173833333333333
SFXN4	-0.032875
UCP3	0.4391
ZNF703	1.3735
MYL6B	-0.22825
TREM1	2.7365
OR52E6	-0.918
CKMT2	0.0705
HLA-C	0.550375
SLC13A3	-1.78133333333333
TIMP4	0.16825
SLIT2	2.1955
RSF1	2.08111111111111
LONRF1	-0.0107857142857143
MON1A	-0.139166666666667
CACNG6	-1.64533333333333
DPPA4	-4.82566666666667
ZSWIM3	0.51375
ZNF804A	-0.598
CCIN	1.27375
SLC25A31	0.665333333333333
KCNMB4	-0.63
RABL5	0.492
GALNS	-0.0882
STX6	1.123125
HIST1H1C	0.3905
CIDEB	-1.147375
CASP4	-0.2165
PDK3	-0.9473
KCNJ11	1.322
TPR	0.371875
ZSCAN20	-0.3315
MTX2	-0.122
HIST1H2BH	1.50625
LOC283767	1.32175
LYRM7	-1.05966666666667
BRD3	1.34566666666667
HIST1H2BO	0.6735
MAGEB10	0.4525
SLC45A1	-0.88175
SERPINA3	2.6066
KIAA0143	0.9525
KCNJ16	-0.274666666666667
KRT79	-1.03
FABP2	-0.77725
NUT	-0.2255
ZNF57	0.0525
FBXL4	0.463875
CLEC9A	-1.385
UGT8	-2.51633333333333
BMP2K	-0.50375
MAPK4	-3.794
SLC25A23	-0.5695
HINT1	-0.9219
KRTAP13-1	-0.1835
SFXN5	-1.0413
CHCHD2	-0.09175
FAM3D	2.266
NDP	-3.817875
RHOBTB1	0.230166666666667
SLC4A4	-1.60142857142857
RPL38	-0.1565
HTF9C	-0.1015
AP2A2	-0.307125
ZBTB46	-2.8565
MAP7D1	-0.468625
AOX1	-1.97333333333333
CYR61	-0.419083333333333
DTNA	-1.6945
JRKL	0.035
TMOD3	-0.88375
EEA1	0.9569
ADCK5	0.91775
IL1R1	3.8255
KLK3	0.375
HRSP12	0.00250000000000002
KTN1	0.45525
LOH11CR2A	0.1586
RELL2	-1.39325
MAB21L1	0.175
C20orf59	-1.4155
PHKB	0.08775
ADAM2	-3.1756
TBC1D8B	1.163
FAM13A1	-1.11457142857143
LAPTM4B	0.222833333333333
LCN8	-0.1195
TMEM147	0.5025
SYT4	0.041
XPO7	0.0585
C9orf62	0.91225
GPR75	-0.25
TRIM5	-1.093875
APOC1	-0.927833333333333
RNASE4	1.25966666666667
PARD6B	0.453375
ARID1A	-0.190166666666667
TPD52L3	0.427666666666667
RRAGB	0.0116666666666667
RCN2	-0.709
HIST2H2BE	0.848125
STARD7	-0.18775
SHMT2	-0.645
KIAA1751	-0.0546666666666666
MLYCD	1.101
LOC162632	-0.3985
UQCRH	-1.8965
RP11-217H1.1	-0.0681875
SDHA	-1.20033333333333
NCLN	0.2477
ZNF17	0.964833333333333
RCBTB2	-1.84175
VEGFB	-0.3346
RP4-747L4.3	0.40775
COLQ	0.1708
MPN2	-0.8646
DRG2	-0.944
KLRB1	4.21575
ALPK2	-1.60775
DNASE2B	-0.00866666666666667
FLJ23834	2.41283333333333
AXUD1	0.104
SAFB	-0.1425
NSUN4	-0.595
RFX2	0.4462
MAPK8IP1	0.2
FANCD2	-0.811
ANKZF1	-0.958833333333333
C19orf50	-0.80975
DUSP8	0.18925
SENP5	0.668
NFKBIL2	-0.423
LBR	-1.442375
IGFL1	0.011
LZTS2	0.580375
IL2RG	-0.935125
CCDC51	-0.04825
KLF3	0.0195
ANKRD37	-0.97525
KCTD14	1.77133333333333
FZR1	0.555
SLC44A4	3.0764
ESPL1	-1.082125
GMPR2	0.0789
TBC1D19	-0.506666666666667
ERGIC1	0.755333333333334
ERBB4	4.4168
TSPAN32	-0.378818181818182
MAP4	-0.19475
GPHN	0.30675
SLC6A2	-0.5435
HIVEP1	0.7855
DFFB	-0.5471
EIF4EBP2	0.676875
DMRT1	-0.999333333333333
HSPB6	-0.133
IER2	-0.1555
AIFM1	-1.00175
WWC2	0.589916666666667
MRPL4	-0.5255
FLJ21062	0.993666666666667
EPB41L4A	0.671916666666667
SH2D6	-0.33075
TAF4B	-0.406
GAL3ST3	-0.4435
MALT1	-0.414666666666667
RTDR1	2.31025
ARVCF	0.03325
MEX3B	-1.562
FBXO16	1.93825
KIF7	-1.4415
C1QC	4.13583333333333
ZNF783	0.202666666666667
ZNF85	0.29475
MMP13	4.518
KIAA0329	0.43425
RTP3	-2.2795
ZBED3	-0.0085
CLGN	-1.54675
SLC25A37	-0.900583333333334
hCG_18290	0.4895
OR5AS1	1.363
SMARCC2	0.583083333333333
FAM109A	0.391
CCDC12	0.20225
USF2	0.0595
DEPDC7	-2.058
C20orf24	-0.7985
JMJD3	0.717
DSP	1.82192857142857
SLIC1	0.038
FAM20A	0.741
IRF2BP2	0.491875
ZNF230	0.1195
MSN	-1.6695
SLC9A5	-1.128
EPDR1	-2.011
MUSK	0.661
ZNF434	0.295833333333333
SMARCD1	-0.0661666666666666
ZFP106	-0.568
