Hybridization REF	TCGA-AN-A0XN-01A-21R-A109-07
NEFH	-1.88425
CTDSP2	0.952166666666667
PGBD5	-0.9515
CCNY	0.473071428571429
RMND5B	1.09025
ZNF257	-0.60875
FLJ22167	-0.094875
EXOSC7	-0.215333333333333
ROR2	2.32625
MAOA	-0.5875
TNNT3	0.257333333333333
GYPC	-0.247
C7orf33	0.0515
PLIN	0.6715
LOC90826	0.12725
RNF4	-0.301
F8A1	0.605333333333333
PLEKHG4	-2.9025
GRB2	0.14765
HIST1H2AD	0.37875
DUS3L	-0.474
EIF1	0.263666666666667
RP5-1077B9.4	-1.18033333333333
FPGT	1.20075
GDF10	-2.091
COQ9	-0.18225
GCC2	-0.434285714285714
RARRES3	2.123875
PLXNA1	0.2271
KIAA0100	-0.31
PMF1	-0.355
FNDC1	5.84625
HS2ST1	0.206166666666667
CRELD2	0.61475
C8G	-2.1345
CD82	1.9185
LIM2	-1.301
UNQ6490	-0.0675
MMP16	0.12725
DRD3	0.3655
C5orf26	-1.00975
C11orf73	-0.027125
PTP4A2	-0.386875
OR4M2	0.5835
HPCA	-0.907
SEC14L1	-0.340333333333333
CHFR	-0.13125
EMILIN1	1.723875
NDUFS4	0.1
COL18A1	1.381625
PDZD3	-0.0117
C9orf16	-0.077
ERBB2IP	-0.302
EMX2	3.1575
FUS	-1.1135
TF	-4.0434
CLCN4	-0.523
CXorf56	0.17875
C11orf72	0.168
ELAC2	-1.0765
NPR1	0.26625
ASS1	-0.1625
USP42	-0.24675
POLR2J	-0.4145
SEC23IP	0.258833333333333
UQCRC1	-0.20675
LOC729603	-0.882
C1orf71	0.369125
POLG	-2.337
ADAM23	-2.9735
TFR2	-1.114
RICTOR	-0.926
MGC39606	1.2145
C19orf55	-0.3415
SNAPC1	-1.46666666666667
GNA11	1.104
CCDC52	-0.367
FSIP1	5.0295
UPF3A	-0.865
IGSF11	-1.8235
LAGE3	-0.137
CHST6	0.0525
UNC13B	0.165625
TTLL4	-0.41525
ZNF687	0.265875
SDC2	1.2867
COX7A2	-0.86025
LAMB4	0.272
FAM24A	0.1355
LRRTM3	0.00733333333333338
GPHB5	0.52425
OR4C13	0.34
EIF3EIP	0.317142857142857
HABP4	0.398
TMEM125	3.111
CNTN2	0.135375
ASNSD1	0.69925
FUT4	0.764125
ACF	-3.855
LOC158381	0.3355
CDH8	-0.0395
AGPS	0.194666666666667
C4orf18	3.509125
PECI	-0.411166666666667
UNG	-0.707875
GSTP1	-1.26075
DCUN1D5	-0.213333333333333
DKFZP564J0863	-0.383
SLC9A3R1	-0.00875000000000001
BCDO2	-0.651
CHMP7	-0.2885
REM2	-0.1185
DNHD1	-0.349875
FKBP4	-0.650375
ZNF350	1.376
MGC11102	0.6355
BST1	2.0135
KISS1R	0.662
NCR2	0.3555
DEFB125	0.9025
UBE2W	1.182
KRT15	-1.426875
C10orf99	0.0335
SCN11A	-0.082
GFI1	-2.28325
RDHE2	3.35416666666667
FHL1	0.616
OSGEP	-0.6555
GATA1	-3.52516666666667
SMC6	-1.13925
TTTY14	-1.04625
LPIN3	-0.15775
RPL4	-0.2179
RBPMS	0.00649999999999999
PRPF3	-0.797
EMR1	-0.179
SPATA19	-0.0845
XCR1	0.883
IRX3	1.7146
RBM6	-0.853
KLF4	-0.8112
UNC5CL	-1.50075
SEBOX	0.1515
BTK	-0.26925
KRCC1	0.43375
C6orf27	0.3975
SYTL5	-0.8785
PRND	3.4965
LOC653319	-1.4885
PIGL	-1.191625
HUS1	-0.242666666666667
SFRS6	0.30175
C17orf77	0.943
UIMC1	-0.007
FXYD2	-1.8866
LOC283152	0.04575
ZNF667	0.66075
ZCCHC12	0.32625
TFEC	3.5044
ATP7B	-0.577833333333333
POLD2	-0.861833333333333
RG9MTD1	-0.269
ACOT2	0.809166666666667
HIST1H4I	-0.470625
PPARGC1A	-1.6424
ETFA	-1.7421
POLRMT	-0.57925
ZNF146	-0.377625
MIA2	-1.267
KLHL6	-0.207166666666667
HOXB5	-0.616375
NENF	1.1575
CUGBP1	0.24125
PRSS22	1.50216666666667
CASC4	0.9268
CUL4B	0.186
CENPJ	-1.2801
PITX1	1.05433333333333
FLJ31033	0.837666666666667
CELSR3	0.166166666666667
ZNF568	0.5815
ITSN1	-0.611333333333333
EHBP1L1	-0.5375
C19orf2	-0.44975
DCTN1	-0.149
LIN28B	-2.73983333333333
TNKS2	-0.911
C1QBP	-0.871375
CADPS2	0.75175
SRMS	0.70125
GJA9	0.608833333333333
MGC24975	-0.513
TRIM45	-0.381166666666667
TSP50	-0.2275
TCP1	-1.61175
TMED7	0.4325
CMA1	-0.0665
CENPL	-1.082
PTCRA	0.179
FST	-1.069
VWCE	-3.18575
PAWR	0.18475
ABCC12	0.994166666666667
LDLR	-1.0137
ASTN2	1.0287
LOC441212	-0.402875
GPATCH8	0.114
TANC2	0.19875
KIF4A	-1.52725
C18orf18	-0.61125
PGM1	-0.058
KIAA0258	1.35675
CPD	0.396125
SNCAIP	-1.1285
DCT	-4.17583333333333
HLA-DOA	3.03090909090909
OR11L1	0.472
UPK1B	-0.210333333333333
DNAJB4	0.55075
UGT1A8	0.034
HIST1H4L	-2.02
PECR	-0.803166666666667
HSPA2	0.77675
WFIKKN1	-1.994
SERP1	0.427375
SYDE2	1.728
TACR2	0.4075
NUP85	-0.62375
CD177	1.48316666666667
LGR5	-1.91866666666667
PIGG	-0.416083333333333
PTHR1	-0.934333333333333
RAB5A	0.4281
FLJ13224	0.096
USP9Y	-1.29966666666667
C7orf53	-0.0785
LRP1B	0.18475
XAF1	2.5767
ABCG8	-0.7825
ANKDD1A	-0.182666666666667
DAND5	-1.4695
SPAG6	0.149833333333333
LINCR	2.368
ZDHHC22	-0.889
CCDC60	0.387
THOC7	-1.43866666666667
TCTA	0.6129
OR8K3	0.074
NY-REN-7	-0.273
B2M	1.85033333333333
C6orf141	1.024125
LPPR4	3.18125
SQLE	-1.17925
SEPHS1	-0.1555
BTBD14B	0.0817142857142857
PLRG1	0.23425
SPG7	-0.582
ZNF614	-0.0486666666666667
PARD6G	1.04066666666667
INPP5B	-0.2395
GRPEL2	-0.308875
PPID	-0.6501
TRIM56	-0.51525
UBE2J1	0.673125
IL20RA	4.96625
LOC387856	0.948
C1orf107	1.30466666666667
UTS2R	0.58325
C19orf22	-0.584
SAFB2	-0.207625
KIAA0652	0.514
KLRG1	-0.911
MS4A8B	0.710333333333333
FRAG1	-0.718
KIAA1546	0.07675
E2F4	-0.765
CLEC4M	-0.0245
BTBD14A	-1.0135
KIAA0999	0.3461
GYPA	-3.59533333333333
TAC1	0.0368
TRAIP	-1.658
KIAA0232	0.2758
ERCC8	-1.314125
GPX4	0.664125
KIAA0368	-0.469
GPR157	-0.717
CTAGE4	0.651
C9orf30	0.0363333333333333
OR52A1	-0.2525
HSP90B3P	0.009
ALG9	-0.2985
BTBD10	0.89525
SDK2	0.43975
BAIAP3	-1.5505
RABGGTB	-0.846625
ANKRD40	-0.123833333333333
KRT74	0.5685
CALCOCO2	0.2735
SNCA	-2.8695
TMSL8	-3.411875
C2orf53	0.1935
ESRRB	-0.175
ARHGAP26	-0.984875
TDRD9	-1.44075
HRAS	-0.3605
KLRC4	-2.2165
JAGN1	-0.0341666666666667
BSDC1	-0.1335
RNF43	-1.1205
NDUFAF1	-0.291
PHF12	0.171
OR1L3	0.215
FOLR2	2.145
LYZL6	0.116
tcag7.1260	-0.985
WSB1	-1.1295
PROS1	-0.1136
OSTN	0.531
PSMB8	0.324
SOCS4	-0.073
DDIT4L	1.404
MAS1	0.4825
MGC34796	1.0035
CSHL1	-0.178833333333333
TBCCD1	0.411833333333333
ZBTB7C	-0.014
AP2S1	0.000375
P15RS	0.2071
VAT1	-0.0051
SHANK3	0.991166666666667
TUFM	-0.846666666666667
THEG	0.0955
KRT34	-1.276
SGSM3	-0.104625
TOMM22	0.07825
SOCS3	1.228
CPO	0.9195
POP4	0.284
BHLHB3	1.83475
MALL	0.59425
OR1B1	0.411
PARK2	0.818166666666667
GPR124	0.930375
LCE1E	0.4315
RUVBL2	-0.78875
CGRRF1	1.0172
ACPL2	-0.06525
WNT10B	-1.06125
BAIAP2L2	-2.196875
ISCA1	0.6955
C1orf125	0.3005
RPAP1	-0.74075
RAI16	0.0525
RPL27	-0.15975
NLRP9	-0.9285
EPN1	0.0625
LOC388610	-0.87175
SLC35A1	0.6265
GAL	-1.57775
SLC14A2	0.13925
RDH11	-0.703666666666667
FAM138F	-0.188
AUH	0.16625
FLJ40243	-0.24275
C14orf129	0.471333333333333
MBD2	-0.146166666666667
ABHD14B	-0.276875
PIGT	0.311375
ALS2CR4	0.638125
ALAS1	0.1665
FOXO1	2.02683333333333
CRLF3	-0.486375
C20orf107	0.2955
FARS2	0.822
CCDC28A	-0.04075
NPHP3	-0.16025
OR13F1	0.2485
TSEN54	-0.85775
DEFB106B	0.0872
OR8B4	0.365
STH	-0.159
ZC3H14	-0.1945
CBX2	-0.21
TMEM49	-0.506
C6orf21	0.546
FLJ20920	0.122625
CRTAP	0.476428571428571
DDX50	-0.105
STYXL1	0.03925
BLVRB	0.0706666666666667
LOC147650	0.493
MMP24	0.153
GRID1	1.29416666666667
BANF1	-0.787333333333333
CTAGEP	0.583
HMBS	-2.22475
SLC25A24	-0.101333333333333
C14orf50	-0.00724999999999999
MRO	2.07466666666667
SLC25A15	-1.10475
FAM84B	0.5482
TDP1	-0.911
C16orf78	0.153
C11orf57	-0.660625
RFK	-0.86425
ZFYVE9	-1.301375
STCH	0.6031
WIBG	0.1925
LOC283871	-0.887166666666667
GBA2	-0.8045
NDUFB3	0.40375
HSD17B13	-0.54175
GRIN3A	0.9805
FMNL1	0.126
SEPT7	0.1813
GNLY	3.152
GRAMD1C	0.0953333333333333
ZNF165	-0.226
USP38	0.79175
FAM83A	-3.57783333333333
C14orf24	0.96775
ARMCX3	0.871625
ARHGDIB	0.173166666666667
AK1	-0.180125
KIAA1045	-0.056
DNAJB13	-0.0198333333333333
NEU2	0.247
HIST1H4B	-0.988833333333333
FAM20B	-0.3747
HES2	0.422928571428571
FAM73B	-0.6552
LOC388381	0.518
INTS7	-0.185363636363636
AMPH	2.838
ZNF775	-0.249
UCKL1	-0.296666666666667
C10orf97	0.346
C1orf161	-0.6195
ALDH1L1	-1.91625
FLJ39378	0.133875
SLC23A1	-1.138
RBM4B	0.7935
THAP4	0.559833333333333
OGFRL1	0.49325
KIAA0831	0.859625
PPP1R15A	0.0965
C1orf96	0.330357142857143
C12orf11	-2.561
BMF	0.43
MAN1A1	-0.71975
KIAA1600	0.635666666666667
NLGN4X	0.004
ALOX12	-0.977
RB1CC1	-0.2567
NEIL2	-0.1042
EIF4E	-0.176590909090909
ABHD5	0.2785
EXOC4	0.382
CIP29	-0.0256666666666667
BATF2	0.8655
SLC29A4	-0.48625
HTR4	0.79925
EMB	-0.7665
TRAF6	0.8085
LMNB1	-2.9465
FAM19A5	-0.243
SHE	1.28275
PIK3C2B	0.63125
C15orf15	-0.5403
USP15	0.0974
TCEAL2	0.02975
C5orf39	-0.171666666666667
PTGER2	0.78775
SLC31A1	-0.0595
IFT172	-0.203
ADAM29	0.4585
GFOD1	-0.27025
ST7L	0.2165
C15orf26	-2.8095
PKN3	-2.155
CNTD1	1.6985
COMMD1	0.504625
NTRK2	1.93083333333333
FOXN3	0.757875
MFGE8	1.0668
PFKFB2	0.812166666666667
TAS2R4	0.2725
ENTHD1	4.81283333333333
PRMT5	-0.6815
MGC16384	-1.08325
LOC442229	0.2095
TSKU	1.009125
KRTCAP3	0.483625
PDLIM1	0.1497
KCNS2	0.291
RNF126	-0.453
CEP63	-0.205125
CLIC4	0.719125
hCG_1990170	-0.62075
ACR	1.1974
KLK7	-0.46175
ALOX5AP	4.526375
RIPK3	3.4905
TAS2R9	0.466
C19orf18	0.9735
BIRC6	-0.155714285714286
ZNF16	1.1785
RFT1	-0.0045
SLC8A2	-0.51775
TACC1	0.58825
ITGAD	0.837
SAMHD1	1.29975
SH3PXD2B	1.5793
EPC2	0.7855
C20orf85	0.1545
ATP13A2	0.0456666666666667
KRT4	0.6455
CAPNS1	-0.3685
MDM2	-0.3935
PCDH20	2.5605
KCNK9	1.012
OR2C1	-0.1645
KLHDC3	-0.951666666666667
IPPK	0.32
EFHD2	-0.085125
GALR3	0.43625
NBEA	-0.0851666666666667
ABCA6	2.3474
CLDN3	0.625
AKT2	-0.493
EGFR	-1.0177
RBM16	0.2655
ZDHHC3	0.4066
SLC25A4	0.268833333333333
CYB5B	-1.12
CPXM1	0.06725
NDRG1	1.18730769230769
FLJ43826	0.402
OR5L2	0.115666666666667
FARP2	0.534
MRPL46	-0.642416666666667
LDHAL6B	-0.212
MAPKAPK3	-0.197833333333333
NCAM2	-1.705
PRKD2	0.116166666666667
ZFP36L1	1.6131
CYSLTR1	-0.73475
OR4C3	-0.155
HIST1H2AJ	0.356
CCNB2	-2.61344444444445
ZNF10	-0.683125
TMEM175	0.481
FAM134A	1.076
TIGD4	0.4165
PCNP	-0.445
MGC39715	0.37475
LQK1	-0.60075
CREB1	0.3384
TMPRSS3	2.22275
C4orf32	0.069375
LAT	-1.45508333333333
KCNA3	0.4155
SKIV2L2	-0.37225
ROPN1B	-2.20925
tcag7.23	-0.0465
CDT1	-2.863125
ZHX2	0.960375
CD28	-1.90225
ZNF624	0.6045
SEPT2	0.61575
SOHLH2	-0.314375
MCOLN3	0.165857142857143
UNQ1945	0.9265
MASP2	-1.257
ZNRF3	-0.547
GPATCH3	-0.20175
AGL	1.849625
QRICH2	-0.016
PSD4	0.595333333333333
CCNB1IP1	-1.201
ENPP7	0.29025
OBFC1	-0.01775
KCNG3	-2.7815
C14orf79	-0.0414166666666667
ENPEP	3.38183333333333
SCT	3.197
SKI	1.131375
SEC61G	-0.4985
CAPN11	-0.19325
ATXN7L3	-0.523
DBNDD1	-0.8825
FAIM	-0.05775
ANKRD36	-0.788
GABRP	-0.233666666666667
TACSTD2	1.07633333333333
EIF3J	-0.71325
PPP2R2A	-0.79725
TEKT4	0.582166666666667
PVALB	-3.74133333333333
F10	-2.2995
FAM134C	0.5871
COMP	4.956375
EFCBP1	-1.78825
SCLT1	-0.35875
TAL1	-1.0859
ACSL1	1.4075
ABCC5	-0.0731666666666666
ABL1	-0.478388888888889
RBBP7	-0.186666666666667
PTPRG	-0.0417500000000001
NCOR1	-0.1634
SPINK4	-1.28666666666667
TXNRD1	-1.0039
TNRC15	0.757625
C9orf138	1.037625
UBE2H	0.276166666666667
BRDT	0.1065
C8orf31	0.30275
CCNE2	-1.15236363636364
SLC6A8	-1.159125
CALCR	-3.846
PPP1CB	-0.0978333333333333
ABHD8	0.45825
ARF5	0.0113
SLC24A4	1.26075
CCT3	-0.195
ZNF121	0.094
SLC3A2	-0.3159
OR13A1	0.7755
SLC5A10	-0.3775
RAD50	-0.78025
IER5	-0.070625
MTHFD1L	-0.69875
MBTPS2	0.20925
MVK	-0.595625
NCL	0.0701
PSMD10	-0.405
MOBP	0.23875
FLJ32894	0.959
HRH1	0.365833333333333
C5orf30	-0.99675
NUDT16L1	0.4891
RASGRP3	4.087
PRKRIP1	-0.3264
CCDC75	-0.066
LOC253970	0.0215
KIAA1239	0.15
MED21	-1.00975
SYT11	1.77041666666667
NTSR2	-0.6195
EGFL11	-0.704
CXorf59	-0.1745
OR2A25	0.392
SPTBN2	-0.2855
LRMP	-1.46233333333333
RNF111	0.185
PTH	-0.565
LOC619208	1.08216666666667
KIAA0895	-0.02425
RANBP5	-0.628875
P2RY10	0.4955
NME5	2.23583333333333
DDX21	-0.96875
LRSAM1	-0.36
HDAC11	1.0725
VMO1	2.5545
NOLA2	0.659
ADAR	0.456166666666667
MTO1	-0.667666666666667
SF4	0.100833333333333
P2RX1	-0.308
HBM	0.12575
EN2	0.6235
C14orf172	-0.0295
TM9SF2	0.0831
INHBE	-1.23666666666667
TCTE3	-0.403916666666666
TOX2	-2.33125
CTAGE3	0.60125
HBB	3.9696
MED15	-0.550166666666667
CASR	0.146
C6orf66	-0.0875
MTPN	0.272625
UNC50	-0.3615
C21orf33	-0.227625
IRF2	0.262875
PGR	4.36116666666667
GPR84	4.661
CROCCL1	-2.97025
SRPX	0.79525
BRE	0.268333333333333
FGF10	2.236
SDC3	-0.302
ZRSR1	0.101333333333333
DKFZP434P211	-0.31875
SOX6	-0.017
RPUSD2	-0.3195
C14orf173	-0.21475
MAPK11	-0.204666666666667
TBC1D22A	0.706
FAM123A	-0.6905
COL4A6	-3.51066666666667
TOMM70A	-0.3195
NAB1	0.60475
MGC16385	-0.26675
TSPAN18	0.6115
MED31	-0.5255
PLG	-0.57075
CAPSL	0.786
ZNF532	1.4929
ASB14	0.41275
CA8	0.98725
NUDT16P	1.63783333333333
SLFN11	0.1005
LRRIQ2	-0.24225
NOL7	-0.415333333333333
BRMS1L	-0.0415
JARID1A	0.143833333333333
PANK2	-0.53025
ICAM3	-0.4135
MDS1	0.179
TAF8	-0.48125
RNF139	0.75575
ZNF594	-0.229166666666667
ADAM8	4.152375
SFTPC	-0.07025
MAN2B2	1.220125
RGS12	0.0515
EIF1AY	-4.86941666666667
LRRIQ1	0.3675
GPR150	0.6525
CCDC21	-1.61616666666667
PRRG3	0.6915
SAA4	-3.39425
RAPGEF5	0.709375
ZCCHC2	0.346166666666667
MGC39372	-0.1915
PPP4R2	-0.218166666666667
CDCA2	-2.21916666666667
OR4D5	0.4345
PTGFRN	1.1581
SIGLEC5	2.88833333333333
C19orf61	-0.0896666666666667
NMUR2	0.1975
KIAA1586	-0.4915
DAGLA	0.6245
CHCHD6	-0.07625
GPR32	1.1145
NEUROD6	0.1415
SLC2A4RG	0.0651875
CA5B	0.58825
FBXL3	1.32975
MPHOSPH9	-1.64025
HMG2L1	-0.32975
HCN4	0.201333333333333
CEACAM19	-0.011
SH2D4B	0.218333333333333
HFE2	-0.4275
TGM4	-0.5175
LYPD2	-0.29475
TBC1D15	0.6945
MRPS21	-0.2378
NONO	-0.9641
CLEC5A	3.76775
ITCH	-0.2805
MGAT3	-1.342
MBP	0.382625
RPP25	-1.15525
SOSTDC1	-3.537
HRC	-2.5755
TRIM48	1.3655
TMEM133	1.6295
ECEL1P2	-1.201
HOXC11	0.58
DOK5	0.278
HELZ	0.003
LOC348180	-0.883
MGC33894	0.262
ADRB3	0.1255
DMD	0.26075
PTRH2	-0.65375
MPEG1	3.41633333333333
NDUFA12	-0.277666666666667
KRTAP2-4	0.0843333333333333
STAMBPL1	-1.21433333333333
ADCY2	1.465
UNQ6125	-0.1935
KLHL20	0.298833333333333
SRM	-1.102
OTC	0.1435
TMIE	0.412833333333333
SNX8	0.5785
LIPK	0.264
CHURC1	-0.359833333333333
KLC2	0.225333333333333
HDAC1	-0.627166666666667
FAM128A	-0.0386666666666667
FNDC3B	0.8913
MTCP1	-0.320833333333333
WFDC10B	0.3086
PCDHGB3	0
ATRNL1	-0.5826
CAV2	0.6505
MED26	0.2025
DUS1L	-0.47775
CHRM3	-1.30475
NEK9	0.301
WARS2	-0.3445
TBX22	-0.6655
TOMM40	-0.411
RP6-213H19.1	-0.7725
TUBGCP5	-0.28075
IGSF6	5.064
TPPP	0.727666666666667
UNQ6190	0.1945
GSTM5	2.313125
BTD	1.06666666666667
PDCD1LG2	1.40366666666667
SNRPB2	-0.57
ERICH1	-0.627375
APOA4	-1.598125
HOXA11	-0.77875
NARG1	0.37225
MKX	2.815
RAB28	0.0128571428571429
PKP3	-0.945
SH3GL2	0.84425
CTSO	3.706
RPN2	0.1404375
IL28RA	0.248166666666667
SFMBT1	0.09675
WDR57	-0.131
FER1L3	2.01716666666667
HSF5	0.5665
TTC9B	0.066
C4BPA	-3.4815
ALB	-4.05028571428571
SORBS3	0.397875
UPF2	0.111
JPH1	0.5125
AGBL2	-0.219
DOPEY1	1.1665
TERF1	-0.345833333333333
KIF22	-1.52633333333333
NINJ1	1.45325
SEC61A2	-0.337
HIST1H1D	0.227166666666667
SFXN4	-0.61075
UCP3	0.5301
ZNF703	2.29216666666667
MYL6B	-0.33075
TREM1	3.2665
OR52E6	0.3575
CKMT2	2.972
HLA-C	2.463625
SLC13A3	-1.28133333333333
TIMP4	-2.785
SLIT2	2.58825
RSF1	0.200166666666667
LONRF1	-1.17678571428571
MON1A	0.321166666666667
CACNG6	-1.74416666666667
DPPA4	-5.30366666666667
ZSWIM3	0.08775
ZNF804A	0.922833333333333
CCIN	1.917
SLC25A31	-0.57625
KCNMB4	0.3055
RABL5	0.94675
GALNS	-0.1405
STX6	0.646
HIST1H1C	-0.579833333333333
CIDEB	-0.3395
CASP4	0.1645
PDK3	0.3299
KCNJ11	1.276
TPR	-0.357125
ZSCAN20	-0.0605
MTX2	0.26075
HIST1H2BH	0.82775
LOC283767	2.72125
LYRM7	-1.52955555555556
BRD3	-0.708
HIST1H2BO	-0.30725
MAGEB10	-0.593
SLC45A1	1.2805
SERPINA3	-0.26825
KIAA0143	1.58925
KCNJ16	-0.451666666666667
KRT79	0.12775
FABP2	-0.5005
NUT	-0.2445
ZNF57	-0.016
FBXL4	0.86325
CLEC9A	0.613
UGT8	-1.3435
BMP2K	0.7725
MAPK4	-4.01475
SLC25A23	-0.1479
HINT1	-0.985
KRTAP13-1	0.6515
SFXN5	-0.7029
CHCHD2	0.478583333333333
FAM3D	0.0875
NDP	0.575375
RHOBTB1	0.00616666666666667
SLC4A4	-0.946
RPL38	-0.223
HTF9C	-0.9455
AP2A2	0.007375
ZBTB46	-0.012
MAP7D1	0.532875
AOX1	-1.108
CYR61	2.34816666666667
DTNA	0.0332142857142857
JRKL	0.643
TMOD3	-0.58125
EEA1	0.3527
ADCK5	-0.581
IL1R1	1.12083333333333
KLK3	0.444285714285714
HRSP12	-0.5425
KTN1	0.832
LOH11CR2A	0.3592
RELL2	-1.761
MAB21L1	1.808
C20orf59	-1.07533333333333
PHKB	-0.25875
ADAM2	-1.76316666666667
TBC1D8B	1.4375
FAM13A1	-0.7156875
LAPTM4B	-0.818583333333334
LCN8	0.0835
TMEM147	0.417
SYT4	0.838166666666667
XPO7	-1.0775
C9orf62	0.356
GPR75	0.354
TRIM5	0.1895
APOC1	0.181333333333333
RNASE4	1.08916666666667
PARD6B	-1.611375
ARID1A	-0.373916666666667
TPD52L3	-0.0271111111111111
RRAGB	1.27566666666667
RCN2	-0.9835
HIST2H2BE	-0.3051875
STARD7	-0.57475
SHMT2	-1.0985
KIAA1751	-0.220833333333333
MLYCD	0.12775
LOC162632	-0.6608
UQCRH	-1.472
RP11-217H1.1	0.403375
SDHA	-0.272666666666667
NCLN	-0.1359
ZNF17	0.541
RCBTB2	-0.93725
VEGFB	0.6352
RP4-747L4.3	-0.26725
COLQ	0.656
MPN2	-0.483666666666667
DRG2	-0.42675
KLRB1	4.317
ALPK2	0.67375
DNASE2B	0.34025
FLJ23834	-0.221333333333333
AXUD1	0.934166666666667
SAFB	-0.1198
NSUN4	-0.30475
RFX2	0.402833333333333
MAPK8IP1	-0.0761666666666667
FANCD2	-1.13578571428571
ANKZF1	-0.9155
C19orf50	0.23025
DUSP8	-0.48425
SENP5	0.3205
NFKBIL2	-1.041
LBR	-0.81225
IGFL1	1.7475
LZTS2	-0.185
IL2RG	-0.05825
CCDC51	-0.24575
KLF3	0.236125
ANKRD37	0.3265
KCTD14	-0.854166666666667
FZR1	0.198583333333333
SLC44A4	3.6405
ESPL1	-1.36625
GMPR2	-0.6163
TBC1D19	-0.184
ERGIC1	0.270518518518518
ERBB4	3.622
TSPAN32	0.376916666666667
MAP4	0.473875
GPHN	-0.53875
SLC6A2	-0.339625
HIVEP1	1.26825
DFFB	-0.7883
EIF4EBP2	0.16925
DMRT1	-0.701
HSPB6	-0.19275
IER2	-0.072
AIFM1	-0.7205
WWC2	0.42575
MRPL4	-0.2415
FLJ21062	0.839
EPB41L4A	-0.44275
SH2D6	0.41525
TAF4B	-0.29275
GAL3ST3	-0.073
MALT1	0.0591666666666667
RTDR1	0.59575
ARVCF	-0.494
MEX3B	-0.206
FBXO16	0.31175
KIF7	-0.36375
C1QC	4.28266666666667
ZNF783	-0.581666666666667
ZNF85	-0.14475
MMP13	7.069
KIAA0329	0.30425
RTP3	-0.5015
ZBED3	-0.45875
CLGN	-2.09275
SLC25A37	-1.68908333333333
hCG_18290	0.58025
OR5AS1	0.728
SMARCC2	0.267
FAM109A	0.355333333333333
CCDC12	-0.2005
USF2	0.4221
DEPDC7	-0.5475
C20orf24	-0.1725
JMJD3	-0.282
DSP	0.770928571428571
SLIC1	0.6545
FAM20A	2.274625
IRF2BP2	0.916875
ZNF230	-0.063
MSN	0.0558571428571429
SLC9A5	-1.1575
EPDR1	0.279
MUSK	0.445
ZNF434	-0.0726666666666667
SMARCD1	-0.417833333333333
ZFP106	-0.7085
