Hybridization REF	TCGA-B6-A0RL-01A-11R-A084-07
FAM20B	0.1125
HES2	-0.256214285714286
FAM73B	-0.0756
LOC388381	-0.2705
INTS7	-0.358636363636364
AMPH	-0.32775
ZNF775	-0.135125
UCKL1	0.147
C10orf97	0.395
C1orf161	-0.26725
ALDH1L1	-2.27775
FLJ39378	0.651875
SLC23A1	-1.844
RBM4B	0.1195
THAP4	-0.109333333333333
OGFRL1	0.4235
KIAA0831	0.399125
PPP1R15A	-0.667
C1orf96	0.462928571428571
C12orf11	-2.2545
BMF	1.07225
MAN1A1	-3.15375
KIAA1600	0.377333333333333
NLGN4X	-1.21125
ALOX12	-0.566166666666667
RB1CC1	0.6863
NEIL2	0.0559
EIF4E	-0.138909090909091
ABHD5	-0.05975
EXOC4	0.055
CIP29	-0.401666666666667
BATF2	0.78325
SLC29A4	-0.637375
HTR4	0.39675
EMB	0.463
TRAF6	1.28625
LMNB1	-0.48725
FAM19A5	-2.660375
SHE	-0.0973333333333333
PIK3C2B	1.05725
C15orf15	-0.4028
USP15	-0.0673
TCEAL2	0.91
C5orf39	-2.62866666666667
PTGER2	-2.03525
SLC31A1	-1.4776875
IFT172	0.7245
ADAM29	0.2545
GFOD1	-1.444
ST7L	0.187333333333333
C15orf26	-2.788
PKN3	-1.07175
CNTD1	3.19183333333333
COMMD1	0.47525
NTRK2	1.20566666666667
FOXN3	-0.17225
MFGE8	-2.9249
PFKFB2	-0.152833333333333
TAS2R4	0.562
ENTHD1	-0.495
PRMT5	-0.575
MGC16384	-0.090625
LOC442229	-0.4625
TSKU	1.512875
KRTCAP3	3.10825
PDLIM1	0.2345
KCNS2	0.21425
RNF126	-1.21633333333333
CEP63	0.49225
CLIC4	0.021125
hCG_1990170	-0.70375
ACR	1.4173
KLK7	0.46925
ALOX5AP	1.40975
RIPK3	3.64425
TAS2R9	0.658
C19orf18	2.01
BIRC6	0.545571428571429
ZNF16	1.3595
RFT1	0.146
SLC8A2	-0.3545
TACC1	-2.359875
ITGAD	0.68025
SAMHD1	0.80125
SH3PXD2B	0.2843
EPC2	0.61425
C20orf85	0.57
ATP13A2	-0.207
KRT4	0.338
CAPNS1	0.143
MDM2	0.763583333333333
PCDH20	3.57725
KCNK9	0.931
OR2C1	0.0355
KLHDC3	-0.66
IPPK	0.4445
EFHD2	-0.959625
GALR3	-0.07875
NBEA	0.147666666666667
ABCA6	0.5655
CLDN3	1.371
AKT2	-0.236428571428571
EGFR	-3.9007
RBM16	1.1615
ZDHHC3	-0.0617
SLC25A4	0.479
CYB5B	-1.15183333333333
CPXM1	-2.76375
NDRG1	0.107846153846154
FLJ43826	0.1355
OR5L2	0.313
FARP2	0.4761
MRPL46	-0.3285
LDHAL6B	0.1756
MAPKAPK3	-0.396333333333333
NCAM2	-1.11775
PRKD2	0.258
ZFP36L1	-0.0357
CYSLTR1	-0.7445
OR4C3	0.14325
HIST1H2AJ	2.395
CCNB2	-1.17822222222222
ZNF10	0.475
TMEM175	0.147
FAM134A	1.16766666666667
TIGD4	0.6035
PCNP	0.00375
MGC39715	0.30725
LQK1	-2.67875
CREB1	0.0552
TMPRSS3	-2.56975
C4orf32	0.742375
LAT	-2.12933333333333
KCNA3	-0.3045
SKIV2L2	-0.51625
ROPN1B	-2.574
tcag7.23	-0.553
CDT1	-2.342875
ZHX2	0.456875
CD28	-4.80825
ZNF624	1.9035
SEPT2	-0.219166666666667
SOHLH2	-1.011625
MCOLN3	1.971125
UNQ1945	-0.0455
MASP2	-0.9615
ZNRF3	0.1183
GPATCH3	-0.29725
AGL	-0.146375
QRICH2	0.524
PSD4	1.865
CCNB1IP1	-2.348
ENPP7	0.153
OBFC1	-0.77475
KCNG3	-0.58825
C14orf79	1.34283333333333
ENPEP	-0.827166666666667
SCT	1.3225
SKI	0.5755
SEC61G	-0.79375
CAPN11	1.16275
ATXN7L3	-0.01825
DBNDD1	-0.363833333333333
FAIM	0.38425
ANKRD36	0.7155
GABRP	1.26566666666667
TACSTD2	2.002
EIF3J	-0.14275
PPP2R2A	-0.659
TEKT4	0.0503333333333333
PVALB	1.32016666666667
F10	-3.91866666666667
FAM134C	1.1378
COMP	1.87875
EFCBP1	-3.75986666666667
SCLT1	0.7825
TAL1	-1.8518
ACSL1	0.515
ABCC5	1.51958333333333
ABL1	-0.167833333333333
RBBP7	0.440166666666667
PTPRG	0.845375
NCOR1	0.7292
SPINK4	-0.973
TXNRD1	-0.4152
TNRC15	0.965125
C9orf138	2.028
UBE2H	1.26516666666667
BRDT	2.09166666666667
C8orf31	0.39875
CCNE2	-0.106727272727273
SLC6A8	-1.696
CALCR	-5.314
PPP1CB	-0.184833333333333
ABHD8	0.10175
ARF5	0.4411
SLC24A4	-0.125
CCT3	0.25125
ZNF121	-0.143428571428571
SLC3A2	-0.6309
OR13A1	0.278
SLC5A10	2.241
RAD50	0.5935
IER5	0.103375
MTHFD1L	-2.725875
MBTPS2	0.17625
MVK	-0.276375
NCL	-0.6981
PSMD10	0.24425
MOBP	-0.56675
FLJ32894	-0.6445
HRH1	-3.21
C5orf30	1.73
NUDT16L1	0.8616
RASGRP3	2.6615
PRKRIP1	0.0388
CCDC75	0.4305
LOC253970	0.2975
KIAA1239	0.473
MED21	-0.57625
SYT11	-1.41733333333333
NTSR2	0.211
EGFL11	1.102
CXorf59	2.61
OR2A25	-0.273
SPTBN2	-1.7055
LRMP	-2.5635
RNF111	0.208
PTH	-0.0115
LOC619208	0.637666666666667
KIAA0895	1.67425
RANBP5	-1.709125
P2RY10	-0.754833333333333
NME5	4.00283333333333
DDX21	-2.18025
LRSAM1	-0.3015
HDAC11	2.00383333333333
VMO1	1.04075
NOLA2	0.0138333333333333
ADAR	1.10541666666667
MTO1	-1.11916666666667
SF4	0.701166666666667
P2RX1	-0.0243333333333333
HBM	0.02725
EN2	0.5035
C14orf172	-0.08275
TM9SF2	-0.3607
INHBE	-1.19566666666667
TCTE3	0.0460833333333333
TOX2	-4.7215
CTAGE3	0.483125
HBB	1.5281
MED15	-1.17416666666667
CASR	0.5145
C6orf66	-0.5445
MTPN	-0.015625
UNC50	0.062
C21orf33	0.1725
IRF2	1.194625
PGR	-1.43716666666667
GPR84	1.788
CROCCL1	-0.266
SRPX	-5.12725
BRE	0.321166666666667
FGF10	0.88525
SDC3	0.856
ZRSR1	0.2525
DKFZP434P211	-0.0985
SOX6	0.1085
RPUSD2	0.55575
C14orf173	-0.813083333333333
MAPK11	-1.0755
TBC1D22A	-0.2325
FAM123A	-0.6275
COL4A6	-3.55966666666667
TOMM70A	0.19875
NAB1	-2.113375
MGC16385	-0.766
TSPAN18	-1.742
MED31	-1.102
PLG	-0.14275
CAPSL	3.216
ZNF532	-0.788
ASB14	-0.0945
CA8	-2.23575
NUDT16P	3.02316666666667
SLFN11	-3.756
LRRIQ2	0.51125
NOL7	-0.0681666666666667
BRMS1L	-0.689
JARID1A	0.825166666666667
PANK2	-1.05975
ICAM3	-1.44925
MDS1	-0.10025
TAF8	-0.558
RNF139	0.81925
ZNF594	0.727166666666667
ADAM8	0.703375
SFTPC	-0.60475
MAN2B2	0.76675
RGS12	1.0249375
EIF1AY	-4.77858333333333
LRRIQ1	-0.487666666666667
GPR150	0.2385
CCDC21	-0.2885
PRRG3	-0.10525
SAA4	-4.3765
RAPGEF5	1.54757142857143
ZCCHC2	0.672
MGC39372	0.784
PPP4R2	0.795
CDCA2	-1.393
OR4D5	0.6855
PTGFRN	0.2331
SIGLEC5	0.899833333333333
C19orf61	-0.432
NMUR2	0.6175
KIAA1586	0.00116666666666659
DAGLA	0.726166666666667
CHCHD6	0.35275
GPR32	0.5365
NEUROD6	-0.0403333333333334
SLC2A4RG	0.70975
CA5B	0.89175
FBXL3	0.377
MPHOSPH9	-0.16225
HMG2L1	0.1235
HCN4	0.298
CEACAM19	0.284
SH2D4B	0.297333333333333
HFE2	-0.7615
TGM4	1.043
LYPD2	0.08625
TBC1D15	0.583
MRPS21	-0.0519
NONO	-0.5783
CLEC5A	1.9225
ITCH	1.0248
MGAT3	-2.90266666666667
MBP	-0.30925
RPP25	-2.4525
SOSTDC1	-1.77775
HRC	-2.265
TRIM48	-0.403
TMEM133	-2.6175
ECEL1P2	-1.317
HOXC11	-0.3895
DOK5	-1.90575
HELZ	0.763666666666667
LOC348180	-1.7205
MGC33894	0.05275
ADRB3	0.2475
DMD	-0.990916666666667
PTRH2	-0.49625
MPEG1	1.57633333333333
NDUFA12	0.0128333333333333
KRTAP2-4	-0.26275
STAMBPL1	-3.43033333333333
ADCY2	-1.352
UNQ6125	0.423
KLHL20	0.900166666666667
SRM	-2.39075
OTC	-0.5215
TMIE	0.957166666666667
SNX8	-0.82825
LIPK	0.299
CHURC1	0.88875
KLC2	0.3355
HDAC1	0.294333333333333
FAM128A	-0.017
FNDC3B	-2.9215
MTCP1	0.161166666666667
WFDC10B	0.8085
PCDHGB3	-0.408
ATRNL1	0.9567
CAV2	-3.8105
MED26	0.222
DUS1L	0.21475
CHRM3	-1.45525
NEK9	1.08325
WARS2	-0.8755
TBX22	-0.1035
TOMM40	-0.59225
RP6-213H19.1	-1.38683333333333
TUBGCP5	0.404
IGSF6	3.886
TPPP	1.40166666666667
UNQ6190	0.612
GSTM5	-0.172875
BTD	-0.7985
PDCD1LG2	-0.352833333333333
SNRPB2	-0.824166666666667
ERICH1	-0.794
APOA4	-1.574625
HOXA11	-1.787
NARG1	-0.167375
MKX	-1.1835
RAB28	0.350785714285714
PKP3	1.89275
SH3GL2	0.434
CTSO	2.64375
RPN2	0.70875
IL28RA	0.6665
SFMBT1	1.64125
WDR57	-0.536125
FER1L3	0.879916666666666
HSF5	0.34
TTC9B	0.694
C4BPA	-3.91183333333333
ALB	-3.951
SORBS3	0.0755714285714286
UPF2	0.3805
JPH1	2.0075
AGBL2	1.861
DOPEY1	1.957
TERF1	-0.168083333333333
KIF22	0.329
NINJ1	1.66475
SEC61A2	0.489666666666667
HIST1H1D	0.716833333333333
SFXN4	-0.326125
UCP3	2.0334
ZNF703	1.93883333333333
MYL6B	-0.54725
TREM1	2.201
OR52E6	0.4395
CKMT2	1.4945
HLA-C	1.562375
SLC13A3	-1.787
TIMP4	-3.52925
SLIT2	-0.48475
RSF1	2.31305555555556
LONRF1	-0.690857142857143
MON1A	-0.460666666666667
CACNG6	2.19516666666667
DPPA4	-5.71516666666667
ZSWIM3	1.12325
ZNF804A	0.573
CCIN	0.165
SLC25A31	0.65
KCNMB4	-2.9525
RABL5	1.287125
GALNS	-0.3063
STX6	1.089
HIST1H1C	-2.0395
CIDEB	-1.82575
CASP4	-2.58566666666667
PDK3	1.2871
KCNJ11	1.027
TPR	0.625375
ZSCAN20	-0.91
MTX2	-0.05275
HIST1H2BH	-0.4655
LOC283767	1.7815
LYRM7	-1.40677777777778
BRD3	1.41666666666667
HIST1H2BO	-0.728
MAGEB10	1.184
SLC45A1	1.09475
SERPINA3	1.80265
KIAA0143	0.35
KCNJ16	0.423333333333333
KRT79	-0.07975
FABP2	-0.4555
NUT	0.258
ZNF57	-0.616
FBXL4	1.2855
CLEC9A	0.65
UGT8	-1.38983333333333
BMP2K	-0.2675
MAPK4	-4.05775
SLC25A23	0.2749
HINT1	-0.1224
KRTAP13-1	-0.321
SFXN5	0.3422
CHCHD2	0.3705
FAM3D	0.087
NDP	4.12375
RHOBTB1	0.00983333333333333
SLC4A4	-1.69675
RPL38	0.082
HTF9C	-1.1115
AP2A2	0.72575
ZBTB46	-0.6095
MAP7D1	-0.764
AOX1	-1.40983333333333
CYR61	-0.715333333333333
DTNA	1.68735714285714
JRKL	-2.64575
TMOD3	0.3445
EEA1	0.8564
ADCK5	-0.18275
IL1R1	2.801
KLK3	0.263142857142857
HRSP12	-0.307
KTN1	0.71025
LOH11CR2A	-0.732
RELL2	-1.1125
MAB21L1	0.865333333333333
C20orf59	-1.786
PHKB	-0.6285
ADAM2	-0.887333333333333
TBC1D8B	-0.6885
FAM13A1	-1.7085625
LAPTM4B	-0.427
LCN8	0.189
TMEM147	1.0905
SYT4	0.0605
XPO7	-0.354
C9orf62	0.157
GPR75	0.7945
TRIM5	-0.376375
APOC1	-0.750333333333333
RNASE4	1.25883333333333
PARD6B	-0.162875
ARID1A	0.549416666666667
TPD52L3	0.00288888888888888
RRAGB	1.22583333333333
RCN2	0.00733333333333331
HIST2H2BE	0.3368125
STARD7	0.26
SHMT2	-1.41175
KIAA1751	0.662
MLYCD	-0.43375
LOC162632	-0.0773
UQCRH	-1.621
RP11-217H1.1	0.1010625
SDHA	-1.366
NCLN	-1.3046
ZNF17	1.09416666666667
RCBTB2	-3.823
VEGFB	-1.6897
RP4-747L4.3	0.39525
COLQ	0.8987
MPN2	-0.0931666666666667
DRG2	-0.3235
KLRB1	0.56075
ALPK2	-4.5695
DNASE2B	-0.2705
FLJ23834	1.10733333333333
AXUD1	0.664833333333333
SAFB	0.6481
NSUN4	-0.43275
RFX2	2.45716666666667
MAPK8IP1	-0.339333333333333
FANCD2	-0.291285714285714
ANKZF1	-1.01066666666667
C19orf50	-0.629375
DUSP8	1.654125
SENP5	0.67
NFKBIL2	-0.479
LBR	-0.728
IGFL1	-0.534
LZTS2	-0.097375
IL2RG	-1.923375
CCDC51	-0.03175
KLF3	0.7355
ANKRD37	-0.29225
KCTD14	-1.75783333333333
FZR1	-0.501333333333333
SLC44A4	2.6144
ESPL1	0.03875
GMPR2	-0.5259
TBC1D19	-0.165
ERGIC1	0.582444444444444
ERBB4	2.938
TSPAN32	-0.408363636363636
MAP4	0.17925
GPHN	0.2875
SLC6A2	0.034625
HIVEP1	0.18725
DFFB	-0.1416
EIF4EBP2	-0.02375
DMRT1	0.33
HSPB6	-0.2755
IER2	0.439166666666667
AIFM1	-0.064
WWC2	0.1155
MRPL4	-1.21625
FLJ21062	1.74983333333333
EPB41L4A	-0.568
SH2D6	0.1885
TAF4B	-1.17075
GAL3ST3	-0.398
MALT1	-0.287166666666667
RTDR1	1.4195
ARVCF	0.108375
MEX3B	-2.71516666666667
FBXO16	0.27025
KIF7	-0.0645
C1QC	3.11416666666667
ZNF783	0.206333333333333
ZNF85	0.864
MMP13	0.306
KIAA0329	0.519375
RTP3	-1.04
ZBED3	0.8785
CLGN	-3.14025
SLC25A37	-2.18095833333333
hCG_18290	-0.00625
OR5AS1	0.437
SMARCC2	0.570083333333333
FAM109A	-0.0478333333333333
CCDC12	0.3085
USF2	0.7779
DEPDC7	-5.078
C20orf24	-0.148833333333333
JMJD3	0.383
DSP	2.544
SLIC1	-0.455
FAM20A	-1.535
IRF2BP2	1.107
ZNF230	0.9845
MSN	-1.71892857142857
SLC9A5	-2.2035
EPDR1	-0.0879
MUSK	0.444833333333333
ZNF434	1.3895
