Hybridization REF	TCGA-E2-A15R-01A-11R-A115-07
TMSL8	-1.672375
C2orf53	0.109
ESRRB	-0.1135
ARHGAP26	-2.16025
TDRD9	-3.3655
HRAS	1.26366666666667
KLRC4	-1.503
JAGN1	0.227666666666667
BSDC1	-0.28175
RNF43	0.1346
NDUFAF1	0.80125
PHF12	0.70025
OR1L3	0.46725
FOLR2	1.0225
LYZL6	0.0961666666666667
tcag7.1260	-2.6265
WSB1	-1.84433333333333
PROS1	-1.5673
OSTN	0.254
PSMB8	-2.364
SOCS4	0.04725
DDIT4L	4.179
MAS1	0.222
MGC34796	2.1
CSHL1	0.226833333333333
TBCCD1	-0.234833333333333
ZBTB7C	0.4595
AP2S1	-0.501125
P15RS	1.0153
VAT1	-0.2025
SHANK3	0.822166666666667
TUFM	-0.130166666666667
THEG	-0.6565
KRT34	-1.77225
SGSM3	0.268
TOMM22	0.2175
SOCS3	0.300666666666667
CPO	-0.0275
POP4	0.099
BHLHB3	0.854
MALL	0.8365
OR1B1	-0.114
PARK2	0.209166666666667
GPR124	0.86975
LCE1E	0.471
RUVBL2	-0.56525
CGRRF1	0.9167
ACPL2	1.69875
WNT10B	-0.3465
BAIAP2L2	-2.583375
ISCA1	0.4375
C1orf125	0.995125
RPAP1	0.15475
RAI16	-0.550166666666667
RPL27	-1.1085
NLRP9	0.2535
EPN1	0.2745
LOC388610	-0.16025
SLC35A1	0.7738
GAL	-4.3045
SLC14A2	0.1945
RDH11	-0.896166666666667
FAM138F	-0.314
AUH	0.914
FLJ40243	0.137
C14orf129	0.573333333333333
MBD2	0.974
ABHD14B	0.376375
PIGT	1.098625
ALS2CR4	0.11375
ALAS1	0.2664
FOXO1	-0.0518333333333333
CRLF3	-0.921875
C20orf107	2.94
FARS2	0.31225
CCDC28A	-0.47725
NPHP3	-1.2235
OR13F1	0.3175
TSEN54	-0.14425
DEFB106B	0.0455
OR8B4	0.5365
STH	1.46325
ZC3H14	-0.519375
CBX2	0.2135
TMEM49	-1.22025
C6orf21	0.185
FLJ20920	-1.83275
CRTAP	-0.160785714285714
DDX50	0.096
STYXL1	0.9275
BLVRB	0.3765
LOC147650	-1.03166666666667
MMP24	0.52825
GRID1	2.24583333333333
BANF1	-0.591
CTAGEP	-0.5945
HMBS	-2.1805
SLC25A24	1.32333333333333
C14orf50	1.79775
MRO	0.282333333333333
SLC25A15	-0.40125
FAM84B	2.1442
TDP1	-0.4695
C16orf78	-0.119333333333333
C11orf57	-0.118875
RFK	0.36475
ZFYVE9	0.428875
STCH	-0.6723
WIBG	-0.2975
LOC283871	0.807
GBA2	-0.1398
NDUFB3	-0.20075
HSD17B13	-0.46925
GRIN3A	0.256
FMNL1	-0.872333333333333
SEPT7	-0.5504
GNLY	0.9935
GRAMD1C	1.54816666666667
ZNF165	0.038
USP38	1.345
FAM83A	-3.60683333333333
C14orf24	1.13475
ARMCX3	1.349125
ARHGDIB	-1.3885
AK1	-0.1875
KIAA1045	0.3075
DNAJB13	-0.352833333333333
NEU2	0.765
HIST1H4B	-2.09766666666667
FAM20B	0.43
HES2	-0.544785714285714
FAM73B	-0.3544
LOC388381	-0.70275
INTS7	0.234363636363636
AMPH	0.93575
ZNF775	-0.053875
UCKL1	0.890833333333333
C10orf97	0.11475
C1orf161	-0.013
ALDH1L1	-1.2825
FLJ39378	0.364625
SLC23A1	-0.603
RBM4B	0.396
THAP4	0.488333333333333
OGFRL1	-1.41625
KIAA0831	0.55275
PPP1R15A	-1.41716666666667
C1orf96	-0.528428571428571
C12orf11	-1.791
BMF	0.99875
MAN1A1	3.043375
KIAA1600	-0.171333333333333
NLGN4X	-1.8875
ALOX12	-0.773666666666667
RB1CC1	1.3913
NEIL2	0.993
EIF4E	0.201590909090909
ABHD5	-0.215
EXOC4	0.316333333333333
CIP29	-0.958333333333333
BATF2	-0.608
SLC29A4	-0.52325
HTR4	0.0975
EMB	-2.3965
TRAF6	1.246
LMNB1	-3.71225
FAM19A5	-1.655875
SHE	1.28725
PIK3C2B	0.9115
C15orf15	-0.6362
USP15	-0.1451
TCEAL2	0.684
C5orf39	-2.63833333333333
PTGER2	3.6945
SLC31A1	-0.403875
IFT172	-0.41775
ADAM29	0.3625
GFOD1	0.43875
ST7L	0.512333333333333
C15orf26	-1.97825
PKN3	-1.84425
CNTD1	3.053
COMMD1	0.4945
NTRK2	3.41066666666667
FOXN3	-0.5825
MFGE8	-0.7363
PFKFB2	0.0956666666666667
TAS2R4	-0.17775
ENTHD1	-0.618
PRMT5	-0.799
MGC16384	-1.488
LOC442229	-0.24425
TSKU	-0.70675
KRTCAP3	3.012125
PDLIM1	-1.2112
KCNS2	0.35575
RNF126	-0.151833333333333
CEP63	0.385
CLIC4	-1.099125
hCG_1990170	-0.651
ACR	0.8274
KLK7	1.23475
ALOX5AP	2.068125
RIPK3	1.2585
TAS2R9	-0.243
C19orf18	2.2405
BIRC6	0.282214285714286
ZNF16	0.8855
RFT1	-0.363
SLC8A2	2.34925
TACC1	-1.299125
ITGAD	0.76375
SAMHD1	-0.216
SH3PXD2B	0.4834
EPC2	0.61875
C20orf85	2.987875
ATP13A2	0.455833333333333
KRT4	0.269625
CAPNS1	0.43125
MDM2	-0.0509166666666667
PCDH20	1.4865
KCNK9	0.608
OR2C1	0.654
KLHDC3	-0.210333333333333
IPPK	1.13
EFHD2	-1.80725
GALR3	0.18325
NBEA	1.31833333333333
ABCA6	1.513
CLDN3	1.47433333333333
AKT2	0.284357142857143
EGFR	-2.7481
RBM16	-0.23975
ZDHHC3	0.371
SLC25A4	1.05716666666667
CYB5B	-1.36516666666667
CPXM1	-0.234
NDRG1	-1.50638461538462
FLJ43826	0.13875
OR5L2	0.0876666666666667
FARP2	0.8246
MRPL46	-0.691333333333333
LDHAL6B	-0.0488333333333333
MAPKAPK3	-0.401666666666667
NCAM2	0.9145
PRKD2	-0.03
ZFP36L1	0.00670000000000001
CYSLTR1	1.40875
OR4C3	0.39275
HIST1H2AJ	2.7855
CCNB2	-2.07411111111111
ZNF10	-0.156875
TMEM175	0.2115
FAM134A	1.4685
TIGD4	0.325
PCNP	0.08575
MGC39715	0.278
LQK1	-2.94825
CREB1	0.8205
TMPRSS3	-3.0295
C4orf32	0.238625
LAT	-2.70333333333333
KCNA3	0.1075
SKIV2L2	-0.57525
ROPN1B	-1.065
tcag7.23	-0.09
CDT1	-2.66675
ZHX2	0.36225
CD28	-4.56075
ZNF624	1.52825
SEPT2	0.269083333333333
SOHLH2	-2.297125
MCOLN3	1.902625
UNQ1945	0.012
MASP2	-1.1875
ZNRF3	1.6834
GPATCH3	-0.4855
AGL	1.305625
QRICH2	-0.3155
PSD4	1.90416666666667
CCNB1IP1	-2.13175
ENPP7	0.22
OBFC1	0.035
KCNG3	-1.3055
C14orf79	1.60266666666667
ENPEP	1.96316666666667
SCT	1.321
SKI	0.490625
SEC61G	0.948
CAPN11	0.3305
ATXN7L3	0.15975
DBNDD1	0.0956666666666667
FAIM	0.60125
ANKRD36	-0.854
GABRP	2.2575
TACSTD2	-0.0855
EIF3J	-0.16875
PPP2R2A	-1.55725
TEKT4	-0.850666666666667
PVALB	4.10733333333333
F10	-3.09333333333333
FAM134C	1.1653
COMP	3.614875
EFCBP1	-3.3269375
SCLT1	-0.38325
TAL1	-1.5158
ACSL1	1.30225
ABCC5	1.10716666666667
ABL1	-0.288166666666667
RBBP7	0.35625
PTPRG	-1.477625
NCOR1	0.8076
SPINK4	-0.962166666666667
TXNRD1	-2.2446
TNRC15	0.878
C9orf138	2.385125
UBE2H	1.23266666666667
BRDT	3.66033333333333
C8orf31	-0.14925
CCNE2	-0.000272727272727278
SLC6A8	-0.87825
CALCR	-4.1975
PPP1CB	0.212583333333333
ABHD8	0.0735
ARF5	0.7466
SLC24A4	0.231
CCT3	0.26525
ZNF121	0.995875
SLC3A2	-1.3229
OR13A1	0.4
SLC5A10	1.19075
RAD50	0.295125
IER5	0.496875
MTHFD1L	-2.23225
MBTPS2	0.56325
MVK	0.77025
NCL	-0.0742
PSMD10	0.20875
MOBP	-0.06825
FLJ32894	0.421
HRH1	-0.358
C5orf30	2.072
NUDT16L1	1.3167
RASGRP3	2.69983333333333
PRKRIP1	0.3323
CCDC75	-0.656
LOC253970	0.41175
KIAA1239	0.19775
MED21	-0.3835
SYT11	-0.0568333333333333
NTSR2	-0.21
EGFL11	0.3835
CXorf59	0.2085
OR2A25	0.11
SPTBN2	1.818
LRMP	-1.87666666666667
RNF111	0.68775
PTH	0.0885
LOC619208	0.1815
KIAA0895	1.6535
RANBP5	-1.506625
P2RY10	-0.668333333333333
NME5	4.8705
DDX21	-0.4315
LRSAM1	0.438
HDAC11	2.02866666666667
VMO1	2.1275
NOLA2	0.573666666666667
ADAR	1.74191666666667
MTO1	-1.22183333333333
SF4	-0.203
P2RX1	-0.274833333333333
HBM	-0.06725
EN2	0.1215
C14orf172	0.2025
TM9SF2	-0.1265
INHBE	-0.660333333333333
TCTE3	-0.340833333333333
TOX2	-3.886
CTAGE3	0.288125
HBB	3.3348
MED15	-0.724333333333333
CASR	0.06775
C6orf66	-1.59616666666667
MTPN	0.31175
UNC50	0.58875
C21orf33	-0.014
IRF2	0.753125
PGR	-0.971
GPR84	1.31675
CROCCL1	-2.7045
SRPX	-3.02675
BRE	0.367166666666667
FGF10	0.17125
SDC3	-0.23
ZRSR1	0.620666666666667
DKFZP434P211	-0.5355
SOX6	-0.2525
RPUSD2	0.18525
C14orf173	-0.860833333333333
MAPK11	0.4885
TBC1D22A	0.397
FAM123A	-0.431
COL4A6	-3.56333333333333
TOMM70A	0.55625
NAB1	-0.56175
MGC16385	-1.07525
TSPAN18	-0.836166666666667
MED31	0.33675
PLG	-0.64575
CAPSL	2.864
ZNF532	0.5348
ASB14	0.64175
CA8	0.967
NUDT16P	-0.530333333333333
SLFN11	-1.9745
LRRIQ2	0.792875
NOL7	-0.338666666666667
BRMS1L	-1.16825
JARID1A	0.151166666666667
PANK2	-0.66
ICAM3	-0.73475
MDS1	-0.6915
TAF8	-1.14875
RNF139	0.77175
ZNF594	1.229
ADAM8	-0.650375
SFTPC	-0.278125
MAN2B2	1.57075
RGS12	0.7406875
EIF1AY	-4.902
LRRIQ1	-1.7395
GPR150	0.43225
CCDC21	-0.846333333333333
PRRG3	0.36275
SAA4	-4.12075
RAPGEF5	1.041125
ZCCHC2	0.904583333333333
MGC39372	0.7535
PPP4R2	0.1535
CDCA2	-2.36133333333333
OR4D5	0.4665
PTGFRN	1.2738
SIGLEC5	0.2925
C19orf61	-0.610666666666667
NMUR2	0.29
KIAA1586	0.260666666666667
DAGLA	1.3515
CHCHD6	0.819
GPR32	0.453
NEUROD6	0.226166666666667
SLC2A4RG	1.393125
CA5B	0.32025
FBXL3	0.34425
MPHOSPH9	-0.98425
HMG2L1	0.7425
HCN4	0.143
CEACAM19	0.69975
SH2D4B	0.482166666666667
HFE2	-0.7325
TGM4	-0.141833333333333
LYPD2	0.18125
TBC1D15	-0.2365
MRPS21	-0.0445
NONO	-0.4189
CLEC5A	1.7235
ITCH	-0.00580000000000002
MGAT3	-0.403333333333333
MBP	0.428125
RPP25	-2.84525
SOSTDC1	-0.4
HRC	-1.306
TRIM48	0.096
TMEM133	-0.756
ECEL1P2	-1.392
HOXC11	0.0995
DOK5	-1.74575
HELZ	0.279666666666667
LOC348180	-1.0475
MGC33894	0.31275
ADRB3	-0.166
DMD	-0.375916666666667
PTRH2	-0.463
MPEG1	2.25933333333333
NDUFA12	-0.182666666666667
KRTAP2-4	-0.06725
STAMBPL1	-2.20166666666667
ADCY2	1.29066666666667
UNQ6125	0.234
KLHL20	0.377833333333333
SRM	-1.12325
OTC	-0.02925
TMIE	-0.2705
SNX8	-0.206
LIPK	0.2445
CHURC1	1.14925
KLC2	1.06083333333333
HDAC1	-1.6345
FAM128A	1.72416666666667
FNDC3B	-1.021
MTCP1	-0.118166666666667
WFDC10B	0.0218
PCDHGB3	0.1125
ATRNL1	0.2894
CAV2	-0.730875
MED26	0.543333333333333
DUS1L	0.108
CHRM3	-1.762875
NEK9	1.14275
WARS2	0.933
TBX22	-0.5335
TOMM40	-0.512
RP6-213H19.1	-1.8515
TUBGCP5	-0.57225
IGSF6	3.7515
TPPP	1.358
UNQ6190	0.236
GSTM5	2.117125
BTD	-0.212833333333333
PDCD1LG2	-0.095
SNRPB2	-0.00933333333333334
ERICH1	-0.58275
APOA4	-1.502625
HOXA11	-1.4555
NARG1	0.219375
MKX	-1.35875
RAB28	0.200428571428571
PKP3	2.33175
SH3GL2	-3.3835
CTSO	3.726
RPN2	0.1425
IL28RA	0.750833333333333
SFMBT1	0.836
WDR57	-1.127875
FER1L3	1.82266666666667
HSF5	-0.0423333333333333
TTC9B	0.78925
C4BPA	-3.258
ALB	-4.79257142857143
SORBS3	0.445
UPF2	-1.335
JPH1	2.1885
AGBL2	2.053
DOPEY1	0.886
TERF1	0.79475
KIF22	-0.599
NINJ1	0.69525
SEC61A2	0.16775
HIST1H1D	-0.0126666666666667
SFXN4	-0.678125
UCP3	-0.6966
ZNF703	2.04066666666667
MYL6B	-0.63675
TREM1	0.9315
OR52E6	0.3355
CKMT2	0.65
HLA-C	-0.097375
SLC13A3	-2.6405
TIMP4	-2.535
SLIT2	1.51275
RSF1	-0.322555555555555
LONRF1	-0.248785714285714
MON1A	-0.452333333333333
CACNG6	-1.26816666666667
DPPA4	-5.59083333333333
ZSWIM3	0.59125
ZNF804A	2.41366666666667
CCIN	1.14075
SLC25A31	0.4465
KCNMB4	-0.7485
RABL5	1.961125
GALNS	-0.9153
STX6	0.929375
HIST1H1C	0.827833333333333
CIDEB	-1.262375
CASP4	-2.04266666666667
PDK3	-0.1325
KCNJ11	2.8395
TPR	-0.017
ZSCAN20	-2.232
MTX2	0.49375
HIST1H2BH	1.97325
LOC283767	0.73125
LYRM7	-0.700611111111111
BRD3	0.864
HIST1H2BO	1.832
MAGEB10	-0.0345
SLC45A1	1.395
SERPINA3	0.60655
KIAA0143	0.199
KCNJ16	0.377666666666667
KRT79	-0.417
FABP2	-0.8395
NUT	-0.42125
ZNF57	-0.2395
FBXL4	0.625125
CLEC9A	1.635
UGT8	-1.57033333333333
BMP2K	0.352
MAPK4	-3.6435
SLC25A23	0.625
HINT1	0.0048
KRTAP13-1	0.3475
SFXN5	1.2472
CHCHD2	0.733166666666667
FAM3D	1.443
NDP	-3.697
RHOBTB1	-0.0426666666666667
SLC4A4	-1.531
RPL38	-0.73225
HTF9C	-0.176166666666667
AP2A2	1.094375
ZBTB46	-0.1195
MAP7D1	-0.84275
AOX1	-1.29733333333333
CYR61	0.0414166666666667
DTNA	-0.0888571428571429
JRKL	-2.244
TMOD3	-0.64725
EEA1	0.5845
ADCK5	-0.71825
IL1R1	0.811
KLK3	0.0354285714285714
HRSP12	0.30925
KTN1	0.33225
LOH11CR2A	-1.1143
RELL2	0.409
MAB21L1	1.9025
C20orf59	-0.944666666666667
PHKB	-0.78325
ADAM2	5.63883333333333
TBC1D8B	-0.000333333333333331
FAM13A1	-1.5096875
LAPTM4B	-0.7995
LCN8	-0.073
TMEM147	0.847
SYT4	0.256333333333333
XPO7	-0.957
C9orf62	0.359
GPR75	0.861
TRIM5	-1.661625
APOC1	-2.30833333333333
RNASE4	0.243333333333333
PARD6B	-0.671625
ARID1A	-0.0311666666666667
TPD52L3	-0.2106
RRAGB	1.50866666666667
RCN2	-0.384833333333333
HIST2H2BE	2.0033125
STARD7	-0.14325
SHMT2	-2.05475
KIAA1751	-0.311666666666667
MLYCD	-0.134125
LOC162632	-0.8812
UQCRH	-1.80375
RP11-217H1.1	0.0211875
SDHA	-0.540166666666667
NCLN	-0.2034
ZNF17	0.626833333333333
RCBTB2	-2.3165
VEGFB	-0.7839
RP4-747L4.3	1.012
COLQ	0.0757
MPN2	-0.894833333333333
DRG2	-0.378
KLRB1	2.784
ALPK2	-3.00125
DNASE2B	2.4825
FLJ23834	1.86416666666667
AXUD1	0.5215
SAFB	-0.4388
NSUN4	-0.89775
RFX2	-0.0106666666666667
MAPK8IP1	2.489
FANCD2	-1.06357142857143
ANKZF1	-1.31966666666667
C19orf50	-0.669625
DUSP8	2.798125
SENP5	0.17
NFKBIL2	-0.20475
LBR	-2.636375
IGFL1	0.617
LZTS2	0.459875
IL2RG	-1.63275
CCDC51	0.16875
KLF3	0.6625
ANKRD37	-0.21025
KCTD14	-1.81666666666667
FZR1	0.103
SLC44A4	3.272
ESPL1	-0.571125
GMPR2	0.039
TBC1D19	0.143833333333333
ERGIC1	0.506111111111111
ERBB4	3.0587
TSPAN32	-0.277333333333333
MAP4	-0.237625
GPHN	1.182
SLC6A2	-0.39025
HIVEP1	0.18975
DFFB	-0.7775
EIF4EBP2	0.02375
DMRT1	-0.381
HSPB6	-0.299
IER2	0.0146666666666667
AIFM1	0.2985
WWC2	-0.629166666666667
MRPL4	-0.44725
FLJ21062	1.79833333333333
EPB41L4A	0.1125
SH2D6	0.17625
TAF4B	-0.85325
GAL3ST3	-0.2545
MALT1	0.484833333333333
RTDR1	2.61125
ARVCF	0.262875
MEX3B	-1.3445
FBXO16	0.73825
KIF7	-1.0015
C1QC	3.402
ZNF783	0.687333333333333
ZNF85	0.68025
MMP13	0.08
KIAA0329	0.76975
RTP3	-0.357
ZBED3	-0.59875
CLGN	-0.0865
SLC25A37	-2.47270833333333
hCG_18290	-0.73025
OR5AS1	0.3365
SMARCC2	0.197
FAM109A	0.019
CCDC12	-0.32825
USF2	0.7425
DEPDC7	-2.8545
C20orf24	0.286666666666667
JMJD3	1.122
DSP	1.64721428571429
SLIC1	0.08075
FAM20A	-0.49125
IRF2BP2	-0.193875
ZNF230	-0.0675
MSN	-1.8475
