Hybridization REF	TCGA-BH-A0HP-01A-12R-A084-07
PPID	-0.4163
TRIM56	0.1075
UBE2J1	-0.278
IL20RA	5.1525
LOC387856	0.78
C1orf107	0.300083333333333
UTS2R	0.4285
C19orf22	0.4715
SAFB2	-0.59325
KIAA0652	0.179
KLRG1	-0.622166666666667
MS4A8B	1.728
FRAG1	1.288
KIAA1546	0.0045
E2F4	-1.4004
CLEC4M	0.39
BTBD14A	-2.06625
KIAA0999	0.7866
GYPA	-3.29266666666667
TAC1	3.5645
TRAIP	-1.03683333333333
KIAA0232	0.7378
ERCC8	-1.3795
GPX4	0.48475
KIAA0368	0.89825
GPR157	-0.909
CTAGE4	0.4255
C9orf30	-1.151
OR52A1	0.166
HSP90B3P	-0.359
ALG9	-0.5807
BTBD10	0.87525
SDK2	0.033
BAIAP3	0.685
RABGGTB	-1.32275
ANKRD40	-0.5995
KRT74	0.112
CALCOCO2	0.366857142857143
SNCA	-2.22675
TMSL8	-4.000125
C2orf53	-0.109
ESRRB	-0.39175
ARHGAP26	-0.88525
TDRD9	0.3245
HRAS	-0.556833333333333
KLRC4	-2.2945
JAGN1	0.0106666666666667
BSDC1	0.451
RNF43	-0.5813
NDUFAF1	-0.0715
PHF12	-0.07475
OR1L3	0.1575
FOLR2	1.74075
LYZL6	-0.111833333333333
tcag7.1260	-1.1915
WSB1	-2.35166666666667
PROS1	0.0801
OSTN	0.465
PSMB8	1.1035
SOCS4	-0.097375
DDIT4L	1.86125
MAS1	0.229
MGC34796	1.66225
CSHL1	0.524166666666667
TBCCD1	0.576166666666667
ZBTB7C	0.4885
AP2S1	-0.102875
P15RS	-0.1423
VAT1	-0.4094
SHANK3	1.076
TUFM	-0.177166666666667
THEG	0.62525
KRT34	-2.04675
SGSM3	0.62475
TOMM22	-0.296875
SOCS3	0.1075
CPO	1.559
POP4	0.3775
BHLHB3	2.1075
MALL	1.845
OR1B1	0.418
PARK2	1.3185
GPR124	1.2395
LCE1E	-0.845
RUVBL2	-0.6235
CGRRF1	0.6858
ACPL2	0.98525
WNT10B	-2.732
BAIAP2L2	-2.19275
ISCA1	0.944
C1orf125	2.356
RPAP1	-1.311
RAI16	-0.453166666666667
RPL27	-0.5795
NLRP9	-0.6735
EPN1	0.065
LOC388610	-0.47775
SLC35A1	1.9422
GAL	-4.35725
SLC14A2	0.1875
RDH11	-1.04116666666667
FAM138F	0.0815
AUH	0.62275
FLJ40243	0.27375
C14orf129	0.432833333333333
MBD2	-0.0341666666666667
ABHD14B	0.882875
PIGT	0.74175
ALS2CR4	0.2775
ALAS1	0.0705
FOXO1	1.43433333333333
CRLF3	-0.48875
C20orf107	-0.6955
FARS2	1.1655
CCDC28A	1.01075
NPHP3	-0.92425
OR13F1	0.3805
TSEN54	-1.3845
DEFB106B	0.0511111111111111
OR8B4	0.29
STH	1.2125
ZC3H14	-0.320125
CBX2	-0.5345
TMEM49	-1.39675
C6orf21	0.6115
FLJ20920	1.23375
CRTAP	0.592
DDX50	0.51525
STYXL1	0.9225
BLVRB	0.580666666666667
LOC147650	-0.282333333333333
MMP24	0.10475
GRID1	1.77033333333333
BANF1	-0.422166666666667
CTAGEP	0.25775
HMBS	-2.80875
SLC25A24	0.458833333333333
C14orf50	1.20575
MRO	0.880166666666666
SLC25A15	-0.774
FAM84B	1.5451
TDP1	-0.7595
C16orf78	-0.3545
C11orf57	-1.048625
RFK	-0.32225
ZFYVE9	0.189375
STCH	-1.2296
WIBG	0.87875
LOC283871	-0.683666666666667
GBA2	-0.7545
NDUFB3	-0.62575
HSD17B13	-0.60225
GRIN3A	1.08016666666667
FMNL1	-0.87
SEPT7	0.1249
GNLY	3.243
GRAMD1C	1.24766666666667
ZNF165	-0.14975
USP38	0.81075
FAM83A	-3.80433333333333
C14orf24	0.515
ARMCX3	1.569
ARHGDIB	0.866833333333333
AK1	-0.59375
KIAA1045	0.59125
DNAJB13	-0.4285
NEU2	0.3435
HIST1H4B	-1.76216666666667
FAM20B	-0.0208
HES2	0.794428571428572
FAM73B	-0.54
LOC388381	0.07325
INTS7	-0.341545454545455
AMPH	2.01
ZNF775	-0.22125
UCKL1	-0.965166666666667
C10orf97	0.24725
C1orf161	0.17975
ALDH1L1	-0.28275
FLJ39378	-0.00149999999999998
SLC23A1	-0.8485
RBM4B	0.6675
THAP4	0.413666666666667
OGFRL1	0.75275
KIAA0831	0.35125
PPP1R15A	-0.0595
C1orf96	-0.170428571428571
C12orf11	-1.76275
BMF	0.622875
MAN1A1	-1.109
KIAA1600	1.06483333333333
NLGN4X	0.02175
ALOX12	-1.316
RB1CC1	-0.5347
NEIL2	1.0564
EIF4E	0.363909090909091
ABHD5	-0.1005
EXOC4	-0.121666666666667
CIP29	0.476
BATF2	1.21875
SLC29A4	-0.918625
HTR4	0.83375
EMB	-0.28725
TRAF6	1.01325
LMNB1	-1.93975
FAM19A5	-1.00625
SHE	2.729
PIK3C2B	1.6875
C15orf15	-0.6421
USP15	-0.0951
TCEAL2	2.87825
C5orf39	-0.745
PTGER2	-0.42275
SLC31A1	-0.1650625
IFT172	0.63025
ADAM29	0.3545
GFOD1	0.2605
ST7L	0.975833333333333
C15orf26	-3.00125
PKN3	-1.141
CNTD1	2.04816666666667
COMMD1	0.391625
NTRK2	3.5955
FOXN3	0.40275
MFGE8	-0.2296
PFKFB2	-0.100666666666667
TAS2R4	-0.39325
ENTHD1	0.177666666666667
PRMT5	-0.2925
MGC16384	-1.76775
LOC442229	-0.797
TSKU	0.32775
KRTCAP3	1.629
PDLIM1	1.9932
KCNS2	0.44875
RNF126	-0.603666666666667
CEP63	0.04575
CLIC4	-0.025625
hCG_1990170	1.687
ACR	0.4823
KLK7	1.29
ALOX5AP	3.2955
RIPK3	4.18025
TAS2R9	0.537
C19orf18	0.32
BIRC6	0.0463571428571429
ZNF16	1.8565
RFT1	0.138
SLC8A2	-0.42775
TACC1	-0.175
ITGAD	0.43575
SAMHD1	1.14825
SH3PXD2B	0.9984
EPC2	1.243
C20orf85	0.364625
ATP13A2	0.175833333333333
KRT4	0.27675
CAPNS1	0.3875
MDM2	-0.77075
PCDH20	3.57575
KCNK9	0.375
OR2C1	0.3575
KLHDC3	-0.7305
IPPK	1.1385
EFHD2	0.0305
GALR3	0.375
NBEA	-0.488166666666667
ABCA6	3.6072
CLDN3	0.809333333333333
AKT2	-0.697285714285714
EGFR	-0.7091
RBM16	0.44875
ZDHHC3	0.6724
SLC25A4	-0.295166666666667
CYB5B	-0.592333333333333
CPXM1	0.46425
NDRG1	-1.16353846153846
FLJ43826	0.441
OR5L2	0.135
FARP2	0.4669
MRPL46	-0.927916666666667
LDHAL6B	-0.229833333333333
MAPKAPK3	0.212833333333333
NCAM2	-0.77025
PRKD2	0.707333333333333
ZFP36L1	1.554
CYSLTR1	-0.32375
OR4C3	0.46775
HIST1H2AJ	0.352
CCNB2	-2.785
ZNF10	0.267875
TMEM175	0.1455
FAM134A	1.24
TIGD4	0.1925
PCNP	0.09525
MGC39715	0.21925
LQK1	-1.75825
CREB1	0.6474
TMPRSS3	1.89775
C4orf32	1.1855
LAT	-1.531
KCNA3	0.018
SKIV2L2	-0.5295
ROPN1B	-1.67275
tcag7.23	0.405
CDT1	-3.179125
ZHX2	1.285625
CD28	-3.38175
ZNF624	0.96625
SEPT2	-0.109
SOHLH2	-1.986375
MCOLN3	0.125375
UNQ1945	0.4035
MASP2	-1.2495
ZNRF3	-0.5226
GPATCH3	0.17425
AGL	1.906875
QRICH2	-0.484
PSD4	1.437
CCNB1IP1	-1.14725
ENPP7	0.023
OBFC1	-0.20675
KCNG3	-2.8975
C14orf79	1.00325
ENPEP	0.9715
SCT	0.5035
SKI	0.643875
SEC61G	-1.918
CAPN11	0.856
ATXN7L3	-0.57325
DBNDD1	0.123833333333333
FAIM	-0.16775
ANKRD36	-1.05
GABRP	2.95983333333333
TACSTD2	2.19366666666667
EIF3J	-1.3345
PPP2R2A	-0.0575
TEKT4	-0.293833333333333
PVALB	-0.428166666666667
F10	-1.7605
FAM134C	0.7016
COMP	4.627125
EFCBP1	-2.216
SCLT1	-0.23625
TAL1	-0.8245
ACSL1	1.02975
ABCC5	-0.917333333333333
ABL1	-0.642333333333333
RBBP7	0.471416666666667
PTPRG	-0.3655
NCOR1	-0.251
SPINK4	-1.4695
TXNRD1	-1.8028
TNRC15	0.31275
C9orf138	1.463125
UBE2H	0.4605
BRDT	3.53133333333333
C8orf31	-0.27075
CCNE2	-1.74681818181818
SLC6A8	-1.54675
CALCR	-3.14775
PPP1CB	1.24075
ABHD8	0.38225
ARF5	0.5625
SLC24A4	0.465
CCT3	0.11575
ZNF121	-0.0495
SLC3A2	-0.9772
OR13A1	0.411
SLC5A10	-0.41
RAD50	0.185
IER5	0.0825
MTHFD1L	-2.51325
MBTPS2	0.38
MVK	-0.221
NCL	-0.1963
PSMD10	-0.065
MOBP	0.229875
FLJ32894	-0.9865
HRH1	-0.201166666666667
C5orf30	1.03425
NUDT16L1	0.7647
RASGRP3	3.4875
PRKRIP1	-0.3802
CCDC75	-0.6455
LOC253970	0.56575
KIAA1239	0.16775
MED21	-0.44
SYT11	1.16166666666667
NTSR2	0.2665
EGFL11	-0.223
CXorf59	0.8385
OR2A25	0.28075
SPTBN2	-0.0075
LRMP	-0.7225
RNF111	-0.2925
PTH	0.1115
LOC619208	1.07266666666667
KIAA0895	1.42225
RANBP5	-0.69725
P2RY10	0.535666666666667
NME5	4.5595
DDX21	-1.489
LRSAM1	0.2145
HDAC11	1.76416666666667
VMO1	2.0845
NOLA2	-0.446
ADAR	0.68275
MTO1	-0.594166666666667
SF4	1.01366666666667
P2RX1	-0.259333333333333
HBM	0.126
EN2	0.6415
C14orf172	-0.28925
TM9SF2	0.8375
INHBE	-1.15416666666667
TCTE3	0.12825
TOX2	-2.2525
CTAGE3	0.182625
HBB	4.0637
MED15	-0.828166666666667
CASR	0.316
C6orf66	-1.68583333333333
MTPN	-0.978375
UNC50	-0.128
C21orf33	0.381375
IRF2	1.19475
PGR	-1.6535
GPR84	2.62125
CROCCL1	-2.45825
SRPX	-1.3705
BRE	0.6875
FGF10	-0.000250000000000007
SDC3	0.840333333333333
ZRSR1	0.9505
DKFZP434P211	0.034875
SOX6	-0.5865
RPUSD2	-0.39925
C14orf173	-0.250333333333333
MAPK11	-0.480833333333333
TBC1D22A	0.7555
FAM123A	-0.6155
COL4A6	-0.746166666666667
TOMM70A	0.2375
NAB1	-0.00187499999999999
MGC16385	-0.265
TSPAN18	-0.684
MED31	-1.12125
PLG	-0.1925
CAPSL	4.948
ZNF532	1.0999
ASB14	0.0735
CA8	0.019
NUDT16P	1.87533333333333
SLFN11	-0.9585
LRRIQ2	-0.567875
NOL7	-0.838166666666667
BRMS1L	-0.36925
JARID1A	0.0401666666666667
PANK2	-0.52625
ICAM3	0.138
MDS1	-0.34825
TAF8	-0.57525
RNF139	0.48525
ZNF594	-0.319666666666667
ADAM8	0.607125
SFTPC	-0.075875
MAN2B2	1.866125
RGS12	0.355
EIF1AY	-4.76991666666667
LRRIQ1	-1.234
GPR150	0.311
CCDC21	-1.081
PRRG3	0.35
SAA4	-3.32975
RAPGEF5	1.40225
ZCCHC2	-0.331416666666667
MGC39372	-0.618
PPP4R2	0.088
CDCA2	-1.62266666666667
OR4D5	1.07266666666667
PTGFRN	1.2016
SIGLEC5	1.994
C19orf61	-0.121666666666667
NMUR2	0.8535
KIAA1586	-1.11166666666667
DAGLA	-0.0101666666666667
CHCHD6	0.02975
GPR32	0.8165
NEUROD6	0.00633333333333333
SLC2A4RG	0.7193125
CA5B	0.28675
FBXL3	1.82325
MPHOSPH9	-1.54925
HMG2L1	0.658
HCN4	0.406166666666667
CEACAM19	0.05825
SH2D4B	0.5465
HFE2	-0.511
TGM4	-0.1075
LYPD2	0.4225
TBC1D15	0.21875
MRPS21	-0.7109
NONO	-0.7861
CLEC5A	2.04225
ITCH	-0.0986
MGAT3	-0.907333333333333
MBP	-0.3565
RPP25	-1.502
SOSTDC1	0.49725
HRC	-0.83575
TRIM48	0.379
TMEM133	0.20925
ECEL1P2	-0.7945
HOXC11	-0.1585
DOK5	0.4225
HELZ	-0.1435
LOC348180	-1.4805
MGC33894	0.16575
ADRB3	0.218
DMD	0.273333333333333
PTRH2	-1.862
MPEG1	3.31233333333333
NDUFA12	-0.185166666666667
KRTAP2-4	-0.01925
STAMBPL1	-1.1135
ADCY2	2.71666666666667
UNQ6125	-0.2765
KLHL20	0.00199999999999999
SRM	-1.3985
OTC	0.3195
TMIE	0.401
SNX8	-0.086
LIPK	0.3035
CHURC1	-0.0973333333333333
KLC2	-0.006
HDAC1	-0.632166666666667
FAM128A	0.0075
FNDC3B	-0.7355
MTCP1	-0.1575
WFDC10B	0.1093
PCDHGB3	0.098
ATRNL1	-2.47744444444445
CAV2	0.08725
MED26	0.2915
DUS1L	-0.531
CHRM3	-1.237375
NEK9	1.0575
WARS2	0.27775
TBX22	0.9875
TOMM40	-1.268
RP6-213H19.1	-1.28233333333333
TUBGCP5	-0.8965
IGSF6	5.295
TPPP	0.864833333333333
UNQ6190	0.6965
GSTM5	0.89175
BTD	1.02466666666667
PDCD1LG2	1.16083333333333
SNRPB2	-0.934166666666667
ERICH1	-0.563
APOA4	-1.74225
HOXA11	-1.65825
NARG1	-0.357625
MKX	0.2805
RAB28	0.244214285714286
PKP3	0.829
SH3GL2	-2.58975
CTSO	3.58425
RPN2	-0.24675
IL28RA	0.102666666666667
SFMBT1	0.20575
WDR57	0.39675
FER1L3	0.299
HSF5	0.312166666666667
TTC9B	0.2145
C4BPA	-3.52016666666667
ALB	-4.17257142857143
SORBS3	0.17075
UPF2	0.184
JPH1	-0.6295
AGBL2	-0.4
DOPEY1	1.594
TERF1	-0.355833333333333
KIF22	-0.681833333333333
NINJ1	1.676
SEC61A2	-1.08116666666667
HIST1H1D	-2.0775
SFXN4	-0.84325
UCP3	0.4485
ZNF703	0.753166666666667
MYL6B	-0.352
TREM1	0.99875
OR52E6	0.1955
CKMT2	2.456
HLA-C	1.979625
SLC13A3	-1.67733333333333
TIMP4	2.42275
SLIT2	3.63675
RSF1	-0.143055555555556
LONRF1	-0.24
MON1A	0.0938333333333333
CACNG6	-1.92466666666667
DPPA4	-5.47
ZSWIM3	0.0995
ZNF804A	0.81
CCIN	0.898
SLC25A31	0.321333333333333
KCNMB4	-0.42525
RABL5	0.912375
GALNS	-1.0351
STX6	0.942875
HIST1H1C	-3.08883333333333
CIDEB	-0.209375
CASP4	0.1615
PDK3	-0.342
KCNJ11	2.7855
TPR	-0.783375
ZSCAN20	-0.4055
MTX2	-0.38425
HIST1H2BH	-0.553
LOC283767	1.006
LYRM7	-0.852222222222222
BRD3	-0.3485
HIST1H2BO	-0.765
MAGEB10	0.8865
SLC45A1	1.19425
SERPINA3	1.52855
KIAA0143	1.13075
KCNJ16	3.06383333333333
KRT79	0.58425
FABP2	-0.74375
NUT	-0.452
ZNF57	-0.3115
FBXL4	0.403125
CLEC9A	2.3405
UGT8	-1.00283333333333
BMP2K	0.629
MAPK4	-3.154
SLC25A23	-0.1791
HINT1	-0.5636
KRTAP13-1	-0.148
SFXN5	0.0904
CHCHD2	-0.22675
FAM3D	1.546
NDP	-0.853875
RHOBTB1	-0.1415
SLC4A4	-1.21875
RPL38	-0.804
HTF9C	-0.735166666666667
AP2A2	0.505625
ZBTB46	-0.134
MAP7D1	-0.199625
AOX1	-0.7525
CYR61	0.71925
DTNA	-0.884428571428571
JRKL	0.11525
TMOD3	-0.8755
EEA1	-0.2406
ADCK5	-0.26725
IL1R1	1.66683333333333
KLK3	0.348571428571429
HRSP12	-0.8415
KTN1	-0.99125
LOH11CR2A	1.053
RELL2	-1.85175
MAB21L1	2.58525
C20orf59	-1.408
PHKB	-0.0955
ADAM2	-2.69916666666667
TBC1D8B	1.53983333333333
FAM13A1	-0.291625
LAPTM4B	-1.756
LCN8	-0.044
TMEM147	0.47
SYT4	-0.107
XPO7	-0.786
C9orf62	0.2585
GPR75	0.071
TRIM5	0.510375
APOC1	-0.518
RNASE4	2.11566666666667
PARD6B	-2.38925
ARID1A	0.393583333333333
TPD52L3	-0.212
RRAGB	0.974166666666667
RCN2	-1.5515
HIST2H2BE	-0.69925
STARD7	0.2315
SHMT2	-0.6655
KIAA1751	-0.213333333333333
MLYCD	0.27275
LOC162632	-1.6984
UQCRH	-1.3575
RP11-217H1.1	0.089375
SDHA	0.2395
NCLN	-0.5698
ZNF17	0.6006
RCBTB2	-0.98925
VEGFB	0.2082
RP4-747L4.3	0.508
COLQ	0.6677
MPN2	0.358166666666667
DRG2	-0.677
KLRB1	5.114
ALPK2	-4.142
DNASE2B	1.536
FLJ23834	1.25233333333333
AXUD1	1.53716666666667
SAFB	-0.1705
NSUN4	-0.0855
RFX2	0.653166666666667
MAPK8IP1	-0.715833333333333
FANCD2	-0.790928571428571
ANKZF1	-1.20566666666667
C19orf50	-0.4315
DUSP8	0.556625
SENP5	-0.668625
NFKBIL2	-0.76475
LBR	-1.420375
IGFL1	0.9935
LZTS2	0.751
IL2RG	-0.777875
CCDC51	0.2505
KLF3	0.752375
ANKRD37	-1.4165
KCTD14	-0.0745
FZR1	0.1785
SLC44A4	4.3246
ESPL1	-1.069
GMPR2	0.2356
TBC1D19	0.1145
ERGIC1	0.512814814814815
ERBB4	4.4292
TSPAN32	0.381
MAP4	0.37225
GPHN	-0.90475
SLC6A2	-0.09525
HIVEP1	0.6015
DFFB	-0.3683
EIF4EBP2	0.99025
DMRT1	-0.177
HSPB6	0.13325
IER2	-0.163166666666667
AIFM1	-0.159
WWC2	0.185333333333333
MRPL4	-0.46725
FLJ21062	1.727
EPB41L4A	1.32016666666667
SH2D6	0.35725
TAF4B	-0.90375
GAL3ST3	0.057
MALT1	-0.6935
RTDR1	0.892
ARVCF	0.043625
MEX3B	-0.429
FBXO16	0.714
KIF7	-0.95775
C1QC	4.18433333333333
ZNF783	-0.7845
ZNF85	0.1715
MMP13	0.419
KIAA0329	0.42975
RTP3	-0.5055
ZBED3	0.4845
CLGN	0.19925
SLC25A37	-0.607083333333333
hCG_18290	0.37125
OR5AS1	-0.2195
SMARCC2	0.4255
FAM109A	0.177166666666667
CCDC12	-0.179
USF2	0.6973
DEPDC7	-2.48675
C20orf24	-0.708666666666667
JMJD3	0.016
DSP	1.7075
SLIC1	0.510125
FAM20A	0.45975
IRF2BP2	0.598125
ZNF230	0.4855
MSN	-0.482071428571429
SLC9A5	-1.5545
EPDR1	-1.0337
MUSK	0.342333333333333
ZNF434	0.370833333333333
SMARCD1	-0.427
ZFP106	-0.44775
ZNF347	0.6532
GTF2E1	0.1875
RY1	-0.0171666666666667
ATAD2B	-0.120875
