Hybridization REF	TCGA-A2-A04V-01A-21R-A034-07
FHL1	0.381833333333333
OSGEP	-0.594166666666667
GATA1	-3.26533333333333
SMC6	-0.881
TTTY14	-1.433
LPIN3	0.07025
RPL4	0.1775
RBPMS	-0.0065
PRPF3	-0.625333333333333
EMR1	-2.598
SPATA19	0.45275
XCR1	0.5425
IRX3	2.0366
RBM6	-0.47575
KLF4	-1.2424
UNC5CL	1.34525
SEBOX	0.1935
BTK	-0.89275
KRCC1	1.516
C6orf27	0.656
SYTL5	-1.2545
PRND	2.885125
LOC653319	-2.0905
PIGL	-1.255375
HUS1	-0.963166666666667
SFRS6	-1.35158333333333
C17orf77	0.522
UIMC1	-0.563166666666667
FXYD2	-1.7817
LOC283152	-0.9715
ZNF667	-1.4515
ZCCHC12	-1.09225
TFEC	2.021
ATP7B	0.152666666666667
POLD2	-1.08416666666667
RG9MTD1	-0.15025
ACOT2	0.252666666666667
HIST1H4I	-0.311
PPARGC1A	-2.0985
ETFA	-2.2745
POLRMT	-0.34775
ZNF146	0.2045
MIA2	-1.981
KLHL6	-1.197
HOXB5	-1.048
NENF	0.117
CUGBP1	-0.07575
PRSS22	1.47083333333333
CASC4	1.4609
CUL4B	0.4523
CENPJ	-1.125
PITX1	-1.47733333333333
FLJ31033	0.237
CELSR3	-2.03316666666667
ZNF568	0.889
ITSN1	0.0359166666666666
EHBP1L1	-0.884833333333333
C19orf2	0.012
DCTN1	0.84625
LIN28B	-3.581
TNKS2	-0.59925
C1QBP	-1.46975
CADPS2	2.056
SRMS	0.347
GJA9	-0.0658333333333333
MGC24975	-0.474833333333333
TRIM45	0.530166666666667
TSP50	0.83175
TCP1	-1.3925
TMED7	-0.0141
CMA1	1.3025
CENPL	-0.974833333333333
PTCRA	0.05
FST	-3.94875
VWCE	-4.208
PAWR	1.17575
ABCC12	0.809166666666667
LDLR	-2.1885
ASTN2	0.6077
LOC441212	-0.54225
GPATCH8	0.26625
TANC2	-0.375
KIF4A	-1.5425
C18orf18	-0.64025
PGM1	-2.007
KIAA0258	0.694
CPD	0.701
SNCAIP	-1.44675
DCT	-4.39583333333333
HLA-DOA	2.18577272727273
OR11L1	0.625
UPK1B	-0.102
DNAJB4	-1.092875
UGT1A8	-0.05375
HIST1H4L	0.2895
PECR	-1.61566666666667
HSPA2	3.6835
WFIKKN1	-2.219
SERP1	0.227125
SYDE2	2.03225
TACR2	0.7665
NUP85	-0.955
CD177	-1.1604
LGR5	-2.62683333333333
PIGG	-0.3415
PTHR1	-1.4475
RAB5A	0.081
FLJ13224	0.19
USP9Y	-1.8962
C7orf53	-0.6665
LRP1B	-1.03075
XAF1	1.7987
ABCG8	-1.494
ANKDD1A	-0.512666666666667
DAND5	-1.774
SPAG6	0.459666666666667
LINCR	0.79575
ZDHHC22	-1.856375
CCDC60	0.036
THOC7	-1.12783333333333
TCTA	0.2156
OR8K3	0.61075
NY-REN-7	-0.1275
B2M	0.7775
C6orf141	1.17175
LPPR4	1.6905
SQLE	-1.056625
SEPHS1	-0.57975
BTBD14B	0.636785714285714
PLRG1	-0.41825
SPG7	-0.8958125
ZNF614	0.059
PARD6G	1.34866666666667
INPP5B	-0.2813
GRPEL2	0.026
PPID	-0.8704
TRIM56	-0.092
UBE2J1	-0.33525
IL20RA	1.30525
LOC387856	1.91975
C1orf107	0.19975
UTS2R	1.371
C19orf22	0.0705
SAFB2	0.360875
KIAA0652	0.209375
KLRG1	-0.665833333333333
MS4A8B	4.63366666666667
FRAG1	0.595
KIAA1546	0.12625
E2F4	-1.6233
CLEC4M	0.8785
BTBD14A	-1.48925
KIAA0999	1.0691
GYPA	-4.13
TAC1	-0.324333333333333
TRAIP	-1.34983333333333
KIAA0232	1.0464
ERCC8	-1.241375
GPX4	0.38975
KIAA0368	0.726625
GPR157	-1.69583333333333
CTAGE4	1.073
C9orf30	-1.6315
OR52A1	-0.3635
HSP90B3P	-1.236
ALG9	-0.9957
BTBD10	0.4995
SDK2	0.125
BAIAP3	1.752
RABGGTB	-0.1755
ANKRD40	-0.0233333333333333
KRT74	0.712
CALCOCO2	-0.4355
SNCA	-3.70925
TMSL8	-4.34775
C2orf53	-0.753
ESRRB	-0.272
ARHGAP26	-2.1155
TDRD9	-2.7315
HRAS	0.172666666666667
KLRC4	-1.301
JAGN1	0.049
BSDC1	0.94075
RNF43	0.81
NDUFAF1	-0.14225
PHF12	0.7415
OR1L3	0.12
FOLR2	1.83383333333333
LYZL6	0.441666666666667
tcag7.1260	-2.1585
WSB1	-1.249
PROS1	-1.0191
OSTN	0.635
PSMB8	-0.05625
SOCS4	-0.926875
DDIT4L	4.85975
MAS1	0.072
MGC34796	1.239
CSHL1	0.307666666666667
TBCCD1	0.2145
ZBTB7C	0.0085
AP2S1	-0.644625
P15RS	-0.1983
VAT1	-0.1091
SHANK3	1.1155
TUFM	-0.316833333333333
THEG	-0.8775
KRT34	-1.2705
SGSM3	-0.715
TOMM22	-1.245875
SOCS3	1.39416666666667
CPO	1.0975
POP4	-0.361
BHLHB3	4.1895
MALL	0.48975
OR1B1	0.3215
PARK2	0.549333333333333
GPR124	0.538375
LCE1E	1.562
RUVBL2	-0.82975
CGRRF1	0.4915
ACPL2	1.402
WNT10B	-1.11075
BAIAP2L2	-2.28225
ISCA1	0.438
C1orf125	-0.234375
RPAP1	-1.08375
RAI16	0.0748333333333334
RPL27	-0.31975
NLRP9	0.3835
EPN1	0.352
LOC388610	-1.26525
SLC35A1	0.1272
GAL	-3.58425
SLC14A2	0.111
RDH11	-0.231333333333333
FAM138F	0.426
AUH	0.5985
FLJ40243	-0.2205
C14orf129	-0.0983333333333333
MBD2	-0.2735
ABHD14B	-0.14025
PIGT	0.354875
ALS2CR4	-0.36025
ALAS1	-0.1097
FOXO1	2.00066666666667
CRLF3	-0.673125
C20orf107	-1.219
FARS2	0.2465
CCDC28A	0.47825
NPHP3	-0.2285
OR13F1	0.6895
TSEN54	-0.2345
DEFB106B	0.52
OR8B4	-0.8145
STH	2.12475
ZC3H14	-0.301125
CBX2	-1.3045
TMEM49	-1.689
C6orf21	0.547
FLJ20920	1.438625
CRTAP	0.0107857142857142
DDX50	0.0065
STYXL1	0.18675
BLVRB	-1.21066666666667
LOC147650	-0.242666666666667
MMP24	-0.066
GRID1	0.838666666666667
BANF1	0.2445
CTAGEP	0.0875
HMBS	-2.77075
SLC25A24	0.367833333333333
C14orf50	2.04975
MRO	0.556666666666667
SLC25A15	0.0235
FAM84B	1.1591
TDP1	-1.1695
C16orf78	0.308666666666667
C11orf57	0.165875
RFK	-0.819875
ZFYVE9	-0.173
STCH	-1.0462
WIBG	0.5435
LOC283871	-1.2835
GBA2	-0.5744
NDUFB3	-0.8235
HSD17B13	-0.063
GRIN3A	0.577166666666667
FMNL1	-0.839833333333333
SEPT7	-0.518
GNLY	1.2235
GRAMD1C	1.444
ZNF165	0.01775
USP38	1.2195
FAM83A	-3.5155
C14orf24	0.654666666666667
ARMCX3	0.380375
ARHGDIB	-0.613333333333333
AK1	-0.200125
KIAA1045	-0.692333333333333
DNAJB13	-0.755333333333333
NEU2	0.17
HIST1H4B	-0.235833333333333
FAM20B	-0.614
HES2	0.0772142857142857
FAM73B	-0.459
LOC388381	1.216
INTS7	-1.14363636363636
AMPH	0.458
ZNF775	0.0595000000000001
UCKL1	-0.308333333333333
C10orf97	0.0445
C1orf161	0.161
ALDH1L1	-0.9375
FLJ39378	0.329375
SLC23A1	-0.14
RBM4B	0.57125
THAP4	0.617333333333333
OGFRL1	1.183
KIAA0831	0.3805
PPP1R15A	0.252666666666667
C1orf96	-0.383928571428572
C12orf11	-1.9745
BMF	0.8095
MAN1A1	-0.380375
KIAA1600	0.381333333333333
NLGN4X	-1.4065
ALOX12	-1.35216666666667
RB1CC1	0.763
NEIL2	-0.7379
EIF4E	-0.561136363636364
ABHD5	-0.38
EXOC4	-0.0391666666666667
CIP29	-0.205666666666667
BATF2	-1.14775
SLC29A4	-1.2555
HTR4	0.2815
EMB	-1.896
TRAF6	0.2165
LMNB1	-0.66975
FAM19A5	-0.066375
SHE	1.51675
PIK3C2B	0.6605
C15orf15	-0.368
USP15	-0.3572
TCEAL2	-0.281
C5orf39	-1.30783333333333
PTGER2	3.01425
SLC31A1	-0.94275
IFT172	-0.21775
ADAM29	0.253
GFOD1	-1.35325
ST7L	0.243833333333333
C15orf26	-2.665
PKN3	-1.212
CNTD1	3.082
COMMD1	0.039625
NTRK2	2.62233333333333
FOXN3	1.69775
MFGE8	-0.6983
PFKFB2	0.284333333333333
TAS2R4	0.08675
ENTHD1	1.31283333333333
PRMT5	-1.26825
MGC16384	-1.090875
LOC442229	-0.80275
TSKU	1.44325
KRTCAP3	1.788875
PDLIM1	-0.4905
KCNS2	-0.02625
RNF126	-0.256166666666667
CEP63	0.283625
CLIC4	0.667875
hCG_1990170	-1.8925
ACR	0.4277
KLK7	0.22275
ALOX5AP	2.57875
RIPK3	4.09175
TAS2R9	0.61
C19orf18	1.8655
BIRC6	0.272571428571429
ZNF16	1.9285
RFT1	-0.5995
SLC8A2	-0.95775
TACC1	0.2025
ITGAD	0.351
SAMHD1	0.6445
SH3PXD2B	1.5009
EPC2	1.72475
C20orf85	1.342375
ATP13A2	0.781166666666667
KRT4	0.435625
CAPNS1	0.221
MDM2	-0.112833333333333
PCDH20	3.1335
KCNK9	1.6595
OR2C1	0.2255
KLHDC3	-0.304833333333333
IPPK	-0.019
EFHD2	-0.523125
GALR3	1.326
NBEA	2.19983333333333
ABCA6	3.2863
CLDN3	1.23883333333333
AKT2	-0.599214285714286
EGFR	-2.3862
RBM16	1.211125
ZDHHC3	-0.0565
SLC25A4	-0.214833333333333
CYB5B	-1.83583333333333
CPXM1	0.384
NDRG1	-1.00084615384615
FLJ43826	0.2325
OR5L2	0.7474
FARP2	0.0708
MRPL46	-0.994833333333333
LDHAL6B	0.246
MAPKAPK3	-0.291
NCAM2	-0.552
PRKD2	0.152666666666667
ZFP36L1	0.8535
CYSLTR1	-0.485
OR4C3	0.4325
HIST1H2AJ	1.3815
CCNB2	-2.10544444444444
ZNF10	0.12925
TMEM175	0.6865
FAM134A	0.966333333333333
TIGD4	0.12
PCNP	-0.08675
MGC39715	-0.37975
LQK1	-2.999
CREB1	0.7194
TMPRSS3	-0.21725
C4orf32	1.195125
LAT	-1.73216666666667
KCNA3	1.47
SKIV2L2	-0.60575
ROPN1B	-4.75275
tcag7.23	-0.029
CDT1	-3.12125
ZHX2	1.246
CD28	-3.775
ZNF624	1.4705
SEPT2	0.0964166666666667
SOHLH2	-1.678
MCOLN3	-0.174285714285714
UNQ1945	0.6625
MASP2	-0.9985
ZNRF3	0.0625
GPATCH3	-0.27175
AGL	1.393375
QRICH2	0.3585
PSD4	1.44066666666667
CCNB1IP1	-0.77725
ENPP7	0.0455
OBFC1	0.01225
KCNG3	-1.9855
C14orf79	0.216166666666667
ENPEP	1.93916666666667
SCT	1.981
SKI	1.07425
SEC61G	-1.44825
CAPN11	0.206
ATXN7L3	0.2075
DBNDD1	-0.4775
FAIM	0.46925
ANKRD36	0.1365
GABRP	1.324
TACSTD2	1.16583333333333
EIF3J	-0.4135
PPP2R2A	-1.374
TEKT4	0.294166666666667
PVALB	0.209833333333333
F10	-3.06366666666667
FAM134C	1.0427
COMP	5.020625
EFCBP1	-3.1200625
SCLT1	1.027625
TAL1	-0.9756
ACSL1	0.5925
ABCC5	1.04175
ABL1	-0.165277777777778
RBBP7	0.124333333333333
PTPRG	-0.931875
NCOR1	-0.1394
SPINK4	-0.5545
TXNRD1	-2.7631
TNRC15	1.56675
C9orf138	1.277
UBE2H	1.10983333333333
BRDT	0.7535
C8orf31	0.00450000000000001
CCNE2	-1.08563636363636
SLC6A8	-1.608625
CALCR	-4.67725
PPP1CB	0.128583333333333
ABHD8	0.26475
ARF5	0.1035
SLC24A4	0.164
CCT3	-0.238
ZNF121	0.3295
SLC3A2	-0.5655
OR13A1	0.483
SLC5A10	0.89925
RAD50	-0.175625
IER5	0.28125
MTHFD1L	-2.66525
MBTPS2	-0.3405
MVK	-0.767875
NCL	-0.2057
PSMD10	-0.814
MOBP	0.620428571428571
FLJ32894	0.858
HRH1	-0.71
C5orf30	1.8355
NUDT16L1	1.0172
RASGRP3	3.68233333333333
PRKRIP1	-0.5724
CCDC75	0.1615
LOC253970	0.43875
KIAA1239	0.00350000000000003
MED21	-0.9795
SYT11	0.274083333333333
NTSR2	-0.567
EGFL11	1.2315
CXorf59	0.7205
OR2A25	0.492
SPTBN2	-2.0665
LRMP	-1.857
RNF111	0.1355
PTH	0.321
LOC619208	0.675166666666667
KIAA0895	0.59
RANBP5	-0.80175
P2RY10	0.318166666666667
NME5	2.53533333333333
DDX21	-0.64025
LRSAM1	1.2575
HDAC11	1.17133333333333
VMO1	1.41125
NOLA2	-0.379166666666667
ADAR	0.0614166666666667
MTO1	-1.08366666666667
SF4	0.388166666666667
P2RX1	-0.225666666666667
HBM	-0.097
EN2	1.413
C14orf172	-0.31825
TM9SF2	-0.3651
INHBE	-1.25583333333333
TCTE3	-0.507083333333333
TOX2	-3.5275
CTAGE3	0.126875
HBB	4.1047
MED15	-1.247
CASR	0.25025
C6orf66	-1.5655
MTPN	0.476
UNC50	-0.78575
C21orf33	0.065125
IRF2	1.5205
PGR	-0.665166666666667
GPR84	2.8835
CROCCL1	-1.43575
SRPX	-0.69575
BRE	0.0801666666666667
FGF10	2.4615
SDC3	-0.3385
ZRSR1	0.264666666666667
DKFZP434P211	-0.538625
SOX6	0.743
RPUSD2	-0.284
C14orf173	0.0515833333333333
MAPK11	-0.368333333333333
TBC1D22A	-0.2255
FAM123A	-1.3455
COL4A6	-4.35383333333333
TOMM70A	-0.3995
NAB1	-1.424125
MGC16385	-1.100125
TSPAN18	0.544833333333333
MED31	-0.776
PLG	-0.0936666666666667
CAPSL	0.2955
ZNF532	1.0212
ASB14	-0.871
CA8	-3.27825
NUDT16P	2.502
SLFN11	-0.8785
LRRIQ2	0.503375
NOL7	-0.5075
BRMS1L	-1.4695
JARID1A	0.592833333333333
PANK2	-0.9225
ICAM3	-1.006
MDS1	-0.99125
TAF8	-0.05275
RNF139	1.51325
ZNF594	-0.0538333333333333
ADAM8	2.085625
SFTPC	-1.0555
MAN2B2	1.043
RGS12	0.7569375
EIF1AY	-4.66933333333333
LRRIQ1	-2.17016666666667
GPR150	1.377
CCDC21	-1.40583333333333
PRRG3	0.41425
SAA4	-4.17375
RAPGEF5	1.605875
ZCCHC2	0.0904999999999999
MGC39372	-0.4355
PPP4R2	0.376666666666667
CDCA2	-2.45566666666667
OR4D5	0.3178
PTGFRN	0.3227
SIGLEC5	2.22216666666667
C19orf61	-0.669333333333333
NMUR2	0.7655
KIAA1586	-0.994166666666667
DAGLA	-1.0145
CHCHD6	-0.8585
GPR32	0.592
NEUROD6	-0.053
SLC2A4RG	0.395375
CA5B	0.42025
FBXL3	1.62925
MPHOSPH9	-1.645
HMG2L1	0.56275
HCN4	1.1005
CEACAM19	0.35225
SH2D4B	0.260833333333333
HFE2	-1.5745
TGM4	0.867
LYPD2	-0.26975
TBC1D15	-0.0715
MRPS21	-0.0542
NONO	-0.6757
CLEC5A	2.782625
ITCH	0.0144
MGAT3	-1.51433333333333
MBP	-0.403125
RPP25	-0.58425
SOSTDC1	-3.69575
HRC	-2.14525
TRIM48	0.47
TMEM133	-0.53325
ECEL1P2	-1.53233333333333
HOXC11	2.5115
DOK5	0.119
HELZ	0.703666666666667
LOC348180	-1.043
MGC33894	0.29775
ADRB3	0.264
DMD	-0.391333333333333
PTRH2	-1.13725
MPEG1	3.01033333333333
NDUFA12	-0.294
KRTAP2-4	0.480166666666667
STAMBPL1	-2.52516666666667
ADCY2	0.5664
UNQ6125	0.3495
KLHL20	0.386333333333333
SRM	-1.341
OTC	0.2225
TMIE	-0.0923333333333334
SNX8	0.06025
LIPK	0.4015
CHURC1	-0.0449166666666667
KLC2	0.573333333333333
HDAC1	0.167
FAM128A	0.803833333333333
FNDC3B	-0.6338
MTCP1	-0.675833333333333
WFDC10B	0.4169
PCDHGB3	-0.714
ATRNL1	-2.4133
CAV2	-0.508
MED26	0.347166666666667
DUS1L	0.18
CHRM3	-1.84325
NEK9	0.50025
WARS2	-0.3335
TBX22	0.9875
TOMM40	-0.89375
RP6-213H19.1	-3.573
TUBGCP5	-1.6025
IGSF6	5.64075
TPPP	1.2555
UNQ6190	0.384
GSTM5	0.6145
BTD	0.144833333333333
PDCD1LG2	-0.0903333333333333
SNRPB2	-0.6205
ERICH1	-1.00575
APOA4	-1.372625
HOXA11	-2.0925
NARG1	-0.3285
MKX	-2.94575
RAB28	-0.694214285714286
PKP3	0.76425
SH3GL2	-2.92975
CTSO	2.31825
RPN2	-0.396625
IL28RA	1.15833333333333
SFMBT1	0.5265
WDR57	-1.22
FER1L3	1.697
HSF5	0.2255
TTC9B	0.07325
C4BPA	-4.5482
ALB	-4.43678571428571
SORBS3	0.006625
UPF2	-0.156
JPH1	-0.687
AGBL2	1.2705
DOPEY1	0.937
TERF1	-0.423166666666667
KIF22	0.1065
NINJ1	1.49375
SEC61A2	-0.673666666666667
HIST1H1D	0.561
SFXN4	-0.68125
UCP3	0.0827
ZNF703	2.556
MYL6B	-0.066
TREM1	2.03775
OR52E6	-0.255
CKMT2	0.6265
HLA-C	1.441125
SLC13A3	-2.1765
TIMP4	-0.7305
SLIT2	2.667
RSF1	0.0969444444444444
LONRF1	-1.82185714285714
MON1A	-0.845666666666667
CACNG6	-1.663
DPPA4	-5.19383333333333
ZSWIM3	0.265
ZNF804A	0.9435
CCIN	1.75075
SLC25A31	1.62125
KCNMB4	-0.7845
RABL5	0.12275
GALNS	-0.9765
STX6	0.8495
HIST1H1C	-1.686
CIDEB	0.408875
CASP4	-1.06416666666667
PDK3	-0.3598
KCNJ11	0.471
TPR	-0.04875
ZSCAN20	-1.095
MTX2	0.0875
HIST1H2BH	-0.08175
LOC283767	1.45525
LYRM7	-1.34488888888889
BRD3	1.759
HIST1H2BO	-0.42075
MAGEB10	0.8745
SLC45A1	0.95925
SERPINA3	1.78865
KIAA0143	1.14425
KCNJ16	-0.5492
KRT79	-0.33325
FABP2	-1.03575
NUT	0.1415
ZNF57	-0.67275
FBXL4	0.617
CLEC9A	1.6485
UGT8	-1.5855
BMP2K	0.6405
MAPK4	-3.9595
SLC25A23	-0.1291
HINT1	-1.0288
KRTAP13-1	1.282
SFXN5	0.5139
CHCHD2	-0.398833333333333
FAM3D	0.2285
NDP	0.462625
RHOBTB1	0.601166666666667
SLC4A4	-1.266125
RPL38	0.10075
HTF9C	-1.00616666666667
AP2A2	0.707125
ZBTB46	-0.743
MAP7D1	0.288375
AOX1	-1.32766666666667
CYR61	1.05375
DTNA	0.224428571428571
JRKL	-0.7855
TMOD3	-0.0185
EEA1	-0.1773
ADCK5	-0.3835
IL1R1	2.10116666666667
KLK3	1.20371428571429
HRSP12	-0.5375
KTN1	0.6845
LOH11CR2A	-0.0715
RELL2	-2.6045
MAB21L1	1.0655
C20orf59	-1.302
PHKB	-0.92325
ADAM2	-1.68183333333333
TBC1D8B	1.08133333333333
FAM13A1	-0.967
LAPTM4B	-0.700166666666667
LCN8	-0.297
TMEM147	0.285
SYT4	0.163
XPO7	-0.8735
C9orf62	1.5335
GPR75	0.3705
TRIM5	-0.980875
APOC1	-0.193166666666667
RNASE4	0.396166666666667
PARD6B	0.63525
ARID1A	0.765666666666667
TPD52L3	-0.0195
RRAGB	1.18216666666667
RCN2	-0.492666666666667
HIST2H2BE	-0.150375
STARD7	0.20075
SHMT2	-1.46875
KIAA1751	0.655166666666667
MLYCD	-0.741125
LOC162632	0.0564
UQCRH	-1.30725
RP11-217H1.1	-0.0865
SDHA	-1.63733333333333
NCLN	-0.5771
ZNF17	0.965666666666667
RCBTB2	-1.9415
VEGFB	0.0024
RP4-747L4.3	-0.62825
COLQ	1.0044
MPN2	-0.966666666666667
DRG2	-0.77775
KLRB1	5.4335
ALPK2	-2.60075
DNASE2B	-0.61625
FLJ23834	0.995
AXUD1	0.845833333333333
SAFB	0.1365
NSUN4	-0.16375
RFX2	1.0385
MAPK8IP1	-0.673166666666667
FANCD2	-1.38221428571429
ANKZF1	-1.47983333333333
C19orf50	-0.8895
DUSP8	2.393625
SENP5	-0.1345
NFKBIL2	-0.60575
LBR	-1.859375
IGFL1	2.1165
LZTS2	0.788
IL2RG	-0.598375
CCDC51	-0.11325
KLF3	0.396875
ANKRD37	-1.8915
KCTD14	-1.87533333333333
FZR1	0.338583333333333
SLC44A4	4.1623
ESPL1	-0.597625
GMPR2	-0.4933
TBC1D19	-0.955333333333333
ERGIC1	0.396037037037037
ERBB4	3.6292
TSPAN32	-0.252
MAP4	0.399875
GPHN	0.50975
SLC6A2	0.10575
HIVEP1	1.21775
DFFB	-0.2566
EIF4EBP2	0.383375
DMRT1	-0.22475
HSPB6	0.18525
IER2	0.176666666666667
AIFM1	-0.52425
WWC2	-1.14275
MRPL4	-1.023
FLJ21062	0.8305
EPB41L4A	-0.000749999999999991
SH2D6	0.425
TAF4B	-0.7285
GAL3ST3	0.3145
MALT1	-0.823333333333333
RTDR1	0.32125
ARVCF	-0.27075
MEX3B	-0.957333333333333
FBXO16	-0.656
KIF7	-0.5795
C1QC	4.30416666666667
ZNF783	-0.0626666666666667
ZNF85	0.8405
MMP13	5.6525
KIAA0329	0.891428571428571
RTP3	0.794
ZBED3	0.72575
CLGN	-1.43375
SLC25A37	-2.189875
hCG_18290	0.20525
OR5AS1	-0.291
SMARCC2	0.975833333333333
FAM109A	0.535333333333333
CCDC12	0.07025
USF2	0.9338
DEPDC7	-1.42425
C20orf24	-1.168
JMJD3	0.3185
DSP	2.55085714285714
SLIC1	0.735
FAM20A	0.891125
IRF2BP2	0.7015
ZNF230	-0.407
MSN	-0.848857142857143
